,index,name,names,gender,total_agent,total_object,perc_agent
165,623,Lucifer,['Lucifer'],he/him/his,6,2,0.75
167,2366,the child,"['the child', 'The child']",he/him/his,7,6,0.5384615385
168,731,Pyramus,['Pyramus'],he/him/his,16,1,0.9411764706
169,6636,the one man,['the one man'],he/him/his,3,5,0.375
172,1135,Pygmalion,['Pygmalion'],he/him/his,16,0,1
173,1160,Thetis,['Thetis'],he/him/his,9,4,0.6923076923
174,1182,Aesacus,['Aesacus'],he/him/his,10,0,1
176,507,Lycaon,['Lycaon'],he/him/his,10,0,1
179,606,Arcas,['Arcas'],he/him/his,8,2,0.8
180,2300,Autonoë ’s brave son,['Autonoë ’s brave son'],he/him/his,8,1,0.8888888889
183,2896,the river - god,"['the river - god', 'The river - god']",he/him/his,14,1,0.9333333333
186,1330,Acis,['Acis'],he/him/his,3,4,0.4285714286
187,5997,a father,['a father'],he/him/his,1,1,0.5
188,568,Vulcan,['Vulcan'],he/him/his,5,1,0.8333333333
190,683,Tiresias,"['Tiresias', 'learned Tiresias']",he/him/his,10,4,0.7142857143
191,792,Rhoetus,['Rhoetus'],he/him/his,14,2,0.875
192,817,Pelates,"['Pelates', 'Pelates of Pella']",he/him/his,7,4,0.6363636364
196,4921,the son of Telamon,"['the son of Telamon', 'The son of Telamon']",he/him/his,12,0,1
198,638,Actaeon,['Actaeon'],he/him/his,2,1,0.6666666667
201,799,Eurytus,"['Eurytus', 'King Eurytus']",he/him/his,3,1,0.75
202,888,Macareus,"['Macareus', 'Macareus of Neritos']",he/him/his,11,1,0.9166666667
203,912,Itys,['Itys'],he/him/his,2,3,0.4
204,3469,the son of the Nereid,['the son of the Nereid'],he/him/his,5,3,0.625
206,7968,the son of Aeacus,"['the son of Aeacus', 'The son of Aeacus']",he/him/his,10,2,0.8333333333
207,1173,Morpheus,['Morpheus'],he/him/his,11,1,0.9166666667
208,1221,Petraeus,['Petraeus'],he/him/his,8,1,0.8888888889
210,526,Amor,['Amor'],he/him/his,12,0,1
211,550,Cyllenian Mercury,"['Cyllenian Mercury', 'Mercury', 'Peace - loving Cyllenian Mercury']",he/him/his,8,0,1
212,551,Nile,"['Nile', 'But Nileus who falsely claimed that he was born of the Nile with its seven mouths', 'Nileus']",he/him/his,4,2,0.6666666667
213,600,Sol,"['Sol', 'great Sol', 'shining Sol', 'Bright Sol']",he/him/his,6,2,0.75
218,906,Marsyas,['Marsyas'],he/him/his,5,1,0.8333333333
219,1005,Calydon,"['Calydon', 'Oeneus', 'King Oeneus of Calydon', 'Noble Calydon']",he/him/his,5,0,1
220,1011,Pirithoüs,['Pirithoüs'],he/him/his,3,2,0.6
221,1048,Acheloüs,['Acheloüs'],he/him/his,4,2,0.6666666667
225,1270,Agamemnon,['Agamemnon'],he/him/his,9,1,0.9
226,1367,Acmon,"['Acmon', 'Acmon of Pleuron']",he/him/his,5,1,0.8333333333
227,8936,"a youth , born of humble stock","['a youth , born of humble stock']",he/him/his,9,0,1
229,1883,her brother,['her brother'],he/him/his,2,2,0.5
232,678,Typhoeus,['Typhoeus'],he/him/his,7,2,0.7777777778
233,2439,"an unarmed boy , who takes no pleasure in fighting , or weapons , or the use of horses","['an unarmed boy , who takes no pleasure in fighting , or weapons , or the use of horses']",he/him/his,1,6,0.1428571429
234,717,Lyaeus,['Lyaeus'],he/him/his,3,5,0.375
236,898,Ismenus,['Ismenus'],he/him/his,6,1,0.8571428571
237,1029,Ancaeus,"['Ancaeus', 'Ancaeus of Arcady']",he/him/his,7,1,0.875
238,1074,Eurystheus,['Eurystheus'],he/him/his,4,2,0.6666666667
239,1077,Jupiter,"['Jupiter', 'Saturnian Jupiter']",he/him/his,6,0,1
241,4543,The star - born husband,['The star - born husband'],he/him/his,8,2,0.8
242,1555,their king,['their king'],he/him/his,5,1,0.8333333333
243,1607,one man,"['one man', 'One man']",he/him/his,2,2,0.5
247,2335,her lover,"['her lover', 'Her lover']",he/him/his,2,5,0.2857142857
248,685,Narcissus,['Narcissus'],he/him/his,8,2,0.8
249,694,Acrisius,['Acrisius'],he/him/his,8,2,0.8
252,796,Phorbas,"['Phorbas', 'Phorbas of Syene']",he/him/his,8,0,1
253,816,Pedasus,['Pedasus'],he/him/his,9,1,0.9
254,6772,the informant,['the informant'],he/him/his,2,4,0.3333333333
255,901,Alphenor,['Alphenor'],he/him/his,5,1,0.8333333333
260,1143,Adonis,['Adonis'],he/him/his,4,3,0.5714285714
261,1152,Midas,"['Midas', 'King Midas']",he/him/his,5,2,0.7142857143
264,1392,Romulus,['Romulus'],he/him/his,6,1,0.8571428571
269,2424,the seer,['the seer'],he/him/his,0,3,0
270,2450,a man of Tyrrhenian stock,['a man of Tyrrhenian stock'],he/him/his,1,1,0.5
272,759,Cerberus,['Cerberus'],he/him/his,4,2,0.6666666667
273,763,Ixion,['Ixion'],he/him/his,2,0,1
276,6665,the young man,"['the young man', 'The young man']",he/him/his,1,2,0.3333333333
278,942,Alcidamas,['Alcidamas'],he/him/his,6,1,0.8571428571
280,1030,Mopsus,['Mopsus'],he/him/his,6,0,1
281,7557,the wretched man,['the wretched man'],he/him/his,6,0,1
282,1064,Nessus,['Nessus'],he/him/his,5,1,0.8333333333
284,1158,Jupiter,"['Jupiter', 'Jupiter the Thunderer']",he/him/his,4,0,1
285,4657,her Ceyx,['her Ceyx'],he/him/his,3,5,0.375
287,1273,Jupiter,"['Jupiter', 'Lofty Jupiter']",he/him/his,8,0,1
290,1363,Venulus,['Venulus'],he/him/his,10,1,0.9090909091
291,1684,the Delian god,"['the Delian god', 'The Delian god']",he/him/his,10,1,0.9090909091
292,1972,Phaethon ’s father,['Phaethon ’s father'],he/him/his,4,0,1
293,616,Aesculapius,['Aesculapius'],he/him/his,2,1,0.6666666667
295,2515,this man,['this man'],he/him/his,1,6,0.1428571429
296,6252,the priest,"['the priest', 'The priest']",he/him/his,9,1,0.9
298,6319,a child born of Hermes,['a child born of Hermes'],he/him/his,5,1,0.8333333333
303,1023,Lelex,['Lelex'],he/him/his,9,1,0.9
304,3865,an enemy,['an enemy'],he/him/his,5,1,0.8333333333
306,8664,a new inhabitant of the sea,['a new inhabitant of the sea'],he/him/his,4,0,1
308,1352,Picus,['Picus'],he/him/his,4,0,1
310,5789,friend,"['friend', 'Friend']",he/him/his,3,2,0.6
311,1685,Venus ’s son,['Venus ’s son'],he/him/his,10,1,0.9090909091
315,2286,Another,"['Another', 'another']",he/him/his,10,1,0.9090909091
316,679,Cyclops,"['Cyclops', 'the Cyclops', 'savage Cyclops']",he/him/his,5,1,0.8333333333
317,695,Athamas,"['Athamas', 'King Athamas']",he/him/his,2,1,0.6666666667
318,2480,Lycabas the most audacious of them all,['Lycabas the most audacious of them all'],he/him/his,6,3,0.6666666667
319,6576,his enemy,['his enemy'],he/him/his,1,1,0.5
320,6653,The victorious descendant of Abas,['The victorious descendant of Abas'],he/him/his,6,0,1
323,907,Pelops,['Pelops'],he/him/his,0,2,0
326,983,Laelaps,['Laelaps'],he/him/his,3,2,0.6
327,3564,a peace - loving conqueror,['a peace - loving conqueror'],he/him/his,3,0,1
328,991,Daedalus,['Daedalus'],he/him/his,4,1,0.8
330,4661,my poor husband,['my poor husband'],he/him/his,8,0,1
331,9165,"a man here who shall be king , unless you drive him from the city","['a man here who shall be king , unless you drive him from the city']",he/him/his,5,1,0.8333333333
333,505,Nereus,['Nereus'],he/him/his,4,1,0.8
336,522,Cupid,"['Cupid', 'winged Cupid']",he/him/his,2,0,1
338,633,Agenor,['Agenor'],he/him/his,2,0,1
339,637,Echion,['Echion'],he/him/his,2,0,1
344,6431,her uncle,['her uncle'],he/him/his,4,1,0.8
345,6480,the victor,"['the victor', 'The victor']",he/him/his,2,1,0.6666666667
346,6743,foul - mouthed boy,['foul - mouthed boy'],he/him/his,4,1,0.8
348,994,Icarus,['Icarus'],he/him/his,0,2,0
350,3944,this child,['this child'],he/him/his,7,1,0.875
352,1163,Daedalion,['Daedalion'],he/him/his,1,4,0.2
353,1204,Gryneus,['Gryneus'],he/him/his,3,2,0.6
356,1401,Numa,['Numa'],he/him/his,6,0,1
357,5694,the Epidaurian,['the Epidaurian'],he/him/his,6,1,0.8571428571
358,500,Saturn,['Saturn'],he/him/his,1,1,0.5
359,6046,their brother,['their brother'],he/him/his,4,0,1
362,2341,The infant Bacchus,['The infant Bacchus'],he/him/his,0,4,0
363,704,Lycabas,['Lycabas'],he/him/his,4,0,1
365,758,Dis,"['Dis', 'black Dis']",he/him/his,3,1,0.75
366,847,Dread Pyreneus,"['Dread Pyreneus', 'Pyreneus']",he/him/his,6,1,0.8571428571
368,7008,the son of Aeson,['the son of Aeson'],he/him/his,5,1,0.8333333333
369,933,Husband,['Husband'],he/him/his,2,0,1
372,3428,a husband,['a husband'],he/him/his,1,1,0.5
377,1155,Father,['Father'],he/him/his,5,1,0.8333333333
379,4517,Oetean King Ceyx,['Oetean King Ceyx'],he/him/his,2,2,0.5
380,4556,The captain,"['The captain', 'the captain']",he/him/his,6,0,1
383,1277,the Ithacan,['the Ithacan'],he/him/his,4,0,1
384,1360,Turnus,['Turnus'],he/him/his,7,0,1
386,1422,Hippolytus,['Hippolytus'],he/him/his,3,0,1
388,1777,a shepherd,['a shepherd'],he/him/his,2,0,1
389,554,Merops,['Merops'],he/him/his,2,0,1
390,1830,Clymene ’s son,['Clymene ’s son'],he/him/his,3,0,1
393,2049,The garrulous Crow,['The garrulous Crow'],he/him/his,4,0,1
397,6244,the unhappy man,['the unhappy man'],he/him/his,3,0,1
398,6289,"Sol prisoner , who rules all the stars with his light","['Sol prisoner , who rules all the stars with his light']",he/him/his,3,1,0.75
399,775,Abas,['Abas'],he/him/his,2,0,1
402,6589,The grandson of Acrisius,['The grandson of Acrisius'],he/him/his,3,0,1
403,6602,One very old man,['One very old man'],he/him/his,5,1,0.8333333333
405,6697,the king of the dark,['the king of the dark'],he/him/his,6,0,1
406,6727,the son of Saturn,"['the son of Saturn', 'The son of Saturn']",he/him/his,7,0,1
411,3466,the grandson of Aeolus,['the grandson of Aeolus'],he/him/his,5,0,1
412,987,Nisus,"['Nisus', 'King Nisus']",he/him/his,2,0,1
421,1259,Tlepolemus,['Tlepolemus'],he/him/his,1,2,0.3333333333
422,1284,Teucer,['Teucer'],he/him/his,4,0,1
424,8655,a youth,['a youth'],he/him/his,1,0,1
426,5437,The founder of the Roman city,['The founder of the Roman city'],he/him/his,4,1,0.8
429,1652,the king of the oceans,['the king of the oceans'],he/him/his,2,0,1
432,566,Scorpio,['Scorpio'],he/him/his,1,0,1
435,6062,my husband,['my husband'],he/him/his,0,2,0
436,608,Corvus,['Corvus'],he/him/his,0,1,0
438,2166,her stern father,['her stern father'],he/him/his,3,2,0.6
440,2200,Agenor ’s son,['Agenor ’s son'],he/him/his,3,1,0.75
444,709,Medon,['Medon'],he/him/his,2,0,1
445,726,Silenus,['Silenus'],he/him/his,0,1,0
448,838,Astyages,['Astyages'],he/him/his,4,1,0.8
449,2771,That fierce man,['That fierce man'],he/him/his,5,0,1
454,7017,the Haemonian hero,['the Haemonian hero'],he/him/his,2,1,0.6666666667
457,1054,Hero,['Hero'],he/him/his,3,2,0.6
460,1098,Pallas,"['Pallas', 'the Titan Pallas', 'Titan']",he/him/his,1,1,0.5
461,7783,the poet of Rhodope,"['the poet of Rhodope', 'The poet of Rhodope']",he/him/his,4,0,1
462,7894,the dying boy,['the dying boy'],he/him/his,0,1,0
463,1156,Tmolus,"['Tmolus', 'sacred Tmolus', 'Mount Tmolus']",he/him/his,1,1,0.5
467,271,Troy,"['Troy', 'perfidious Troy']",he/him/his,2,0,1
469,1278,Rhesus,['Rhesus'],he/him/his,0,1,0
472,8533,The Thracian,['The Thracian'],he/him/his,5,0,1
473,1541,Saturn ’s son,['Saturn ’s son'],he/him/his,4,0,1
476,516,Deucalion,['Deucalion'],he/him/his,3,0,1
478,5893,The archer god,['The archer god'],he/him/his,4,0,1
481,552,Epaphus,['Epaphus'],he/him/his,2,0,1
482,556,Mulciber,['Mulciber'],he/him/his,4,0,1
484,570,Fortune,['Fortune'],he/him/his,3,0,1
488,2270,no man,['no man'],he/him/his,3,0,1
489,2369,the son of Cephisus,['the son of Cephisus'],he/him/his,2,3,0.4
490,2421,the son of Echion,"['the son of Echion', 'The son of Echion']",he/him/his,2,1,0.6666666667
495,756,Salmacis,['Salmacis'],he/him/his,1,2,0.3333333333
497,6526,the descendant of Inachus,['the descendant of Inachus'],he/him/his,2,2,0.5
498,785,Cepheus,['Cepheus'],he/him/his,5,0,1
499,833,Thesculus,['Thesculus'],he/him/his,1,2,0.3333333333
500,834,Ampyx,['Ampyx'],he/him/his,2,0,1
502,851,Delian Apollo,"['Delian Apollo', 'Apollo']",he/him/his,4,1,0.8
506,6810,The barbarian,['The barbarian'],he/him/his,3,1,0.75
517,1031,Amphiaraüs,['Amphiaraüs'],he/him/his,1,1,0.5
518,7443,The descendant of Mars,['The descendant of Mars'],he/him/his,4,0,1
521,7635,the Tirynthian hero,['the Tirynthian hero'],he/him/his,2,0,1
526,4175,her sire,['her sire'],he/him/his,2,0,1
529,7972,the Carpathian seer,['the Carpathian seer'],he/him/his,3,0,1
530,4803,The wounded man,['The wounded man'],he/him/his,4,0,1
531,1210,Dryas,['Dryas'],he/him/his,0,2,0
532,1220,Aphidas,['Aphidas'],he/him/his,1,0,1
533,1239,Phaeocomes,['Phaeocomes'],he/him/his,4,0,1
534,1264,Sminthean Apollo,"['Sminthean Apollo', 'Apollo']",he/him/his,2,0,1
535,1279,Dolon,['Dolon'],he/him/his,1,2,0.3333333333
537,4954,my partner,['my partner'],he/him/his,3,0,1
538,4998,"that same Achilles who has ruined Troy and made me childless , who has destroyed so many of your brothers","['that same Achilles who has ruined Troy and made me childless , who has destroyed so many of your brothers']",he/him/his,2,1,0.6666666667
539,1322,Anius,['Anius'],he/him/his,3,1,0.75
541,1349,Antiphates,['Antiphates'],he/him/his,1,1,0.5
544,9110,Whoever,['Whoever'],he/him/his,3,0,1
545,5589,the Amazon ’s son,['the Amazon ’s son'],he/him/his,1,1,0.5
546,5601,the Tyrrhenian seer,['the Tyrrhenian seer'],he/him/his,5,0,1
549,1594,the sea - god,['the sea - god'],he/him/his,4,0,1
552,5963,my son,['my son'],he/him/his,1,0,1
553,574,the Bears,"['the Bears', 'the Great and Little Bears']",he/him/his,0,1,0
556,1933,your brother,['your brother'],he/him/his,1,0,1
560,6098,"one old man , well known in that country , whom they called Battus","['one old man , well known in that country , whom they called Battus']",he/him/his,1,2,0.3333333333
561,2118,The god with the caduceus,['The god with the caduceus'],he/him/his,4,0,1
565,647,Melampus,['Melampus'],he/him/his,5,0,1
567,2368,the augur,"['the augur', 'The augur']",he/him/his,1,0,1
568,700,Libys,['Libys'],he/him/his,4,0,1
570,6223,someone else,"['someone else', 'Someone else']",he/him/his,3,1,0.75
574,754,Hermaphroditus,['Hermaphroditus'],he/him/his,4,0,1
575,6365,That son of my rival,['That son of my rival'],he/him/his,4,0,1
576,761,Tantalus,['Tantalus'],he/him/his,3,0,1
579,770,Learchus,['Learchus'],he/him/his,0,1,0
581,2716,the young hero,['the young hero'],he/him/his,0,1,0
584,818,Corythus,['Corythus'],he/him/his,1,0,1
585,820,Halcyoneus of Bactria,['Halcyoneus of Bactria'],he/him/his,2,0,1
587,831,Molpeus,['Molpeus'],he/him/his,1,2,0.3333333333
590,871,Triptolemus,['Triptolemus'],he/him/his,0,2,0
593,6889,The last son,['The last son'],he/him/his,3,0,1
594,6917,one of the men of that country,['one of the men of that country'],he/him/his,1,2,0.3333333333
595,3070,Latona ’s son,['Latona ’s son'],he/him/his,3,0,1
603,7093,"the woolly creature , worn out by innumerable years","['the woolly creature , worn out by innumerable years']",he/him/his,0,1,0
608,1035,Enaesimus,['Enaesimus'],he/him/his,2,0,1
611,1051,Pittheus,['Pittheus'],he/him/his,1,0,1
613,7546,a young man,['a young man'],he/him/his,1,1,0.5
619,1125,Olenos,['Olenos'],he/him/his,2,0,1
620,7823,the winner,['the winner'],he/him/his,1,0,1
621,1130,Hyacinthus,['Hyacinthus'],he/him/his,0,1,0
625,1191,Rumour,['Rumour'],he/him/his,3,0,1
631,1333,Aetna,"['Aetna', 'Sicilian Mount Aetna']",he/him/his,2,1,0.6666666667
635,8967,your deserving grandson,['your deserving grandson'],he/him/his,0,2,0
636,1396,Jupiter,"['Jupiter', 'Omnipotent Jupiter']",he/him/his,2,0,1
637,5471,the oxen,['the oxen'],he/him/his,1,0,1
638,5557,"one , born of the blood of Iülus","['one , born of the blood of Iülus']",he/him/his,1,1,0.5
639,5751,This descendant of yours,['This descendant of yours'],he/him/his,3,0,1
641,498,Prometheus,['Prometheus'],he/him/his,2,0,1
642,1559,the man who committed such actions,['the man who committed such actions'],he/him/his,0,1,0
651,2254,The Sidonian wanderer,['The Sidonian wanderer'],he/him/his,2,0,1
653,2290,Cadmus ’s grandson,['Cadmus ’s grandson'],he/him/his,1,0,1
657,699,Dictys,['Dictys'],he/him/his,3,0,1
659,707,Aethalion,['Aethalion'],he/him/his,2,0,1
660,711,the Bacchantes,"['the Bacchantes', 'Bacchantes']",he/him/his,1,0,1
663,2585,the informer,['the informer'],he/him/his,0,1,0
664,745,Hyperion,['Hyperion'],he/him/his,1,0,1
667,2741,the man who did seek it,['the man who did seek it'],he/him/his,3,0,1
671,822,Clanis,['Clanis'],he/him/his,0,1,0
674,848,Mnemonides,['Mnemonides'],he/him/his,1,1,0.5
675,6693,a wrestler,['a wrestler'],he/him/his,3,0,1
676,2834,Ceres ’s son,['Ceres ’s son'],he/him/his,0,2,0
677,83,Elis,['Elis'],he/him/his,1,0,1
679,6848,the Ocean god,['the Ocean god'],he/him/his,0,1,0
685,3267,the thief,['the thief'],he/him/his,2,0,1
687,7067,the shadowy king,['the shadowy king'],he/him/his,0,1,0
689,948,Menephron,['Menephron'],he/him/his,1,0,1
690,963,Sciron,['Sciron'],he/him/his,0,1,0
695,1004,King Cocalus,['King Cocalus'],he/him/his,2,0,1
696,1013,Toxeus,['Toxeus'],he/him/his,0,1,0
700,7484,the greatest of heroes,['the greatest of heroes'],he/him/his,2,0,1
703,7555,Triopas ’s son,['Triopas ’s son'],he/him/his,2,0,1
704,3768,a fisherman,['a fisherman'],he/him/his,1,0,1
705,1065,Alcides,['Alcides'],he/him/his,1,1,0.5
706,1069,fierce Antaeus,['fierce Antaeus'],he/him/his,0,2,0
709,1086,Andraemon,['Andraemon'],he/him/his,2,0,1
713,7696,Maeander ’s grandson,['Maeander ’s grandson'],he/him/his,1,0,1
714,7726,a man named Ligdus,['a man named Ligdus'],he/him/his,0,1,0
715,1129,Phrygian Ganymede,"['Phrygian Ganymede', 'Ganymede']",he/him/his,0,1,0
716,95,Sparta,['Sparta'],he/him/his,1,0,1
718,7897,my hero,"['my hero', 'My hero']",he/him/his,2,0,1
719,7898,the poet of Thrace,['the poet of Thrace'],he/him/his,1,1,0.5
722,4510,Peleus ’s herdsman,['Peleus ’s herdsman'],he/him/his,0,1,0
723,4512,the Trachinian king,['the Trachinian king'],he/him/his,2,0,1
724,4540,The infamous Phorbas,['The infamous Phorbas'],he/him/his,3,0,1
725,1177,Thaumas,['Thaumas'],he/him/his,1,0,1
727,4686,Hector ’s brother,['Hector ’s brother'],he/him/his,1,0,1
728,4721,son of Thestor,['son of Thestor'],he/him/his,3,0,1
729,4765,the Greek hero,['the Greek hero'],he/him/his,1,0,1
730,1209,Euagrus,['Euagrus'],he/him/his,1,1,0.5
731,1213,Mermeros,['Mermeros'],he/him/his,1,0,1
733,4880,the Phylleian youth,['the Phylleian youth'],he/him/his,0,1,0
734,4922,Laërtes ’s son,['Laërtes ’s son'],he/him/his,1,0,1
735,8239,that man,['that man'],he/him/his,0,2,0
736,1274,Palamades,"['Palamades', 'luckless Palamades']",he/him/his,3,1,0.75
738,8361,Telamon ’s son,['Telamon ’s son'],he/him/his,1,0,1
739,4959,the lesser Ajax,['the lesser Ajax'],he/him/his,2,0,1
741,8491,the impious king of Thrace,['the impious king of Thrace'],he/him/his,2,0,1
742,1315,Neoptolemus,['Neoptolemus'],he/him/his,1,0,1
744,5195,your dear father,['your dear father'],he/him/his,0,1,0
747,1374,Silvius,['Silvius'],he/him/his,2,1,0.6666666667
748,1379,Tiberinus,['Tiberinus'],he/him/his,1,0,1
