English Word	Valence	Arousal	Dominance	Azerbaijani Word
absent	0.177	0.221	0.116	yox
absentee	0.235	0.330	0.279	qaib
absenteeism	0.404	0.273	0.357	davamsızlıq
absinthe	0.481	0.510	0.462	absinthe
absolute	0.526	0.510	0.827	mütləq
absolution	0.715	0.500	0.664	bağışlanma
absolve	0.684	0.449	0.660	bağışlamaq
absorb	0.469	0.558	0.670	udmaq
absorbed	0.490	0.471	0.519	udulmuş
absorbent	0.552	0.394	0.718	absorbent
absorbing	0.490	0.490	0.578	udma
absorption	0.609	0.422	0.446	udma
abstain	0.385	0.385	0.427	çəkinmək
abstention	0.271	0.264	0.509	bitərəf
abstinence	0.260	0.392	0.429	çəkinmə
abstract	0.438	0.292	0.444	mücərrəd
abstraction	0.469	0.439	0.525	abstraksiya
absurd	0.188	0.656	0.284	absurd
absurdity	0.115	0.528	0.227	absurdluq
abundance	0.812	0.690	0.852	bolluq
abundant	0.958	0.590	0.760	bol
abuse	0.071	0.873	0.469	sui-istifadə
abused	0.021	0.874	0.235	sui-istifadə
abusive	0.125	0.903	0.567	təhqiramiz
abutment	0.500	0.265	0.616	dayaq
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	uçurum
abyss	0.353	0.725	0.296	uçurum
academic	0.781	0.420	0.812	akademik
academy	0.704	0.473	0.792	akademiya
accede	0.698	0.510	0.537	qoşulmaq
accelerant	0.643	0.844	0.802	sürətləndirici
accelerate	0.615	0.902	0.759	sürətləndirmək
accelerated	0.610	0.812	0.682	sürətləndirdi
acceleration	0.704	0.905	0.843	sürətlənmə
accelerator	0.593	0.830	0.812	sürətləndirici
accent	0.598	0.357	0.509	vurğu
accentuate	0.673	0.556	0.667	vurğulamaq
accept	0.847	0.286	0.565	qəbul et
acceptable	0.812	0.286	0.583	məqbuldur
acceptance	0.833	0.287	0.755	qəbul
acceptances	0.847	0.413	0.648	qəbullar
access	0.714	0.472	0.567	Giriş
accessible	0.796	0.410	0.645	əlçatan
accession	0.612	0.383	0.636	qoşulma
accessory	0.562	0.292	0.445	Aksesuar
accident	0.125	0.908	0.336	qəza
accidental	0.319	0.784	0.307	təsadüfi
accidentally	0.333	0.741	0.333	təsadüfən
acclaim	0.562	0.809	0.718	alqışlamaq
accolade	0.688	0.591	0.775	alqış
accommodate	0.844	0.375	0.566	yerləşdirmək
accommodation	0.817	0.415	0.587	yaşayış
accompaniment	0.740	0.479	0.695	müşayiət
accompany	0.833	0.406	0.585	müşayiət etmək
accompanying	0.787	0.460	0.582	müşayiət edən
accomplice	0.408	0.580	0.510	ortaq
accomplish	0.929	0.673	0.816	yerinə yetirmək
accomplished	0.870	0.520	0.798	yerinə yetirildi
accomplishment	0.917	0.694	0.888	nailiyyət
accord	0.898	0.264	0.382	razılıq
accordance	0.659	0.349	0.600	uyğun
accordion	0.604	0.490	0.361	akkordeon
account	0.531	0.347	0.472	hesab
accountability	0.755	0.537	0.833	cavabdehlik
accountable	0.709	0.282	0.777	cavabdehdir
accountant	0.625	0.450	0.639	mühasib
accounting	0.552	0.390	0.677	mühasibat uçotu
accounts	0.592	0.340	0.471	hesablar
accredited	0.669	0.479	0.768	akkreditə olunub
accretion	0.448	0.519	0.672	yığılma
accrue	0.520	0.481	0.602	yığılır
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	toplamaq
accumulation	0.479	0.527	0.600	akkumulyasiya
accuracy	0.604	0.481	0.802	dəqiqlik
accurate	0.743	0.360	0.737	dəqiq
accursed	0.135	0.745	0.345	lənətlənmiş
accusation	0.073	0.718	0.564	ittiham
accusative	0.198	0.755	0.482	ittihamedici
accuse	0.133	0.752	0.500	ittiham etmək
accused	0.130	0.670	0.420	ittiham olunur
accuser	0.122	0.779	0.615	ittihamçı
accusing	0.156	0.745	0.324	ittiham edir
accustomed	0.542	0.365	0.441	alışmış
ace	0.643	0.481	0.546	ace
acetic	0.333	0.420	0.519	sirkə
acetylene	0.306	0.469	0.509	asetilen
ache	0.146	0.760	0.312	ağrı
achieve	0.816	0.545	0.843	nail olmaq
achieved	0.896	0.519	0.775	nail olub
achievement	0.896	0.808	0.759	nailiyyət
aching	0.053	0.880	0.348	ağrıyan
achy	0.167	0.840	0.373	ağrıyır
acid	0.265	0.642	0.566	turşu
acidity	0.156	0.663	0.360	turşuluq
acknowledge	0.786	0.370	0.661	etiraf etmək
acknowledged	0.714	0.443	0.765	etiraf etdi
acknowledgement	0.819	0.539	0.830	etiraf
acknowledgment	0.796	0.528	0.777	etiraf
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	sızanaq
acorn	0.448	0.198	0.192	palamut
acoustic	0.542	0.462	0.536	akustik
acoustics	0.611	0.330	0.509	akustika
acquaint	0.646	0.491	0.639	tanış olmaq
acquaintance	0.656	0.290	0.670	tanışlıq
acquainted	0.906	0.358	0.632	tanış
acquiescence	0.542	0.480	0.554	razılıq
acquire	0.833	0.468	0.700	əldə etmek
acquiring	0.735	0.510	0.817	əldə etmək
acquisition	0.698	0.509	0.736	alınması
acquisitions	0.773	0.660	0.790	alışlar
acquit	0.583	0.571	0.611	bəraət
acquittal	0.760	0.497	0.700	bəraət
acre	0.583	0.387	0.423	akr
acreage	0.741	0.450	0.528	akr
acres	0.510	0.363	0.500	akr
acrobat	0.708	0.828	0.602	akrobat
acrylic	0.582	0.279	0.420	akril
act	0.656	0.704	0.735	hərəkət
acting	0.698	0.643	0.500	aktyorluq
action	0.760	0.898	0.802	hərəkət
action figure	0.615	0.774	0.611	hərəkət fiquru
actionable	0.673	0.702	0.613	təsirli
activate	0.764	0.650	0.806	aktivləşdirin
activation	0.781	0.800	0.754	aktivləşdirmə
active	0.847	0.730	0.731	aktiv
activist	0.531	0.653	0.877	fəal
activity	0.701	0.660	0.807	fəaliyyət
actor	0.653	0.561	0.629	aktyor
actress	0.633	0.556	0.596	aktrisa
actual	0.729	0.400	0.716	faktiki
actuality	0.750	0.464	0.600	aktuallıq
actuary	0.510	0.404	0.491	aktuar
acuity	0.469	0.378	0.741	kəskinlik
acumen	0.564	0.660	0.679	fərasət
acupuncture	0.531	0.324	0.549	akupunktur
acute	0.427	0.652	0.534	kəskin
acutely	0.417	0.543	0.491	kəskin şəkildə
ad	0.521	0.705	0.558	reklam
adage	0.517	0.415	0.566	məsəl
adamant	0.344	0.529	0.575	israrlı
adapt	0.740	0.355	0.551	uyğunlaşdırmaq
adaptable	0.735	0.423	0.641	uyğunlaşa bilən
adaptation	0.663	0.365	0.609	uyğunlaşma
add	0.728	0.490	0.554	əlavə edin
added	0.562	0.405	0.509	əlavə etdi
addendum	0.392	0.370	0.418	əlavə
adder	0.388	0.461	0.588	toplayıcı
addict	0.075	0.696	0.327	aludəçi
addicted	0.156	0.712	0.483	asılılıq
addiction	0.180	0.806	0.420	asılılıq
addictive	0.302	0.683	0.472	asılılıq yaradır
addition	0.562	0.373	0.471	əlavə
additional	0.673	0.462	0.526	əlavə
additive	0.561	0.633	0.691	əlavə
address	0.650	0.327	0.567	ünvanı
addressee	0.622	0.382	0.538	ünvan sahibi
addresses	0.510	0.354	0.450	ünvanlar
adept	0.594	0.539	0.789	mahir
adequacy	0.615	0.435	0.702	adekvatlıq
adequate	0.854	0.264	0.705	adekvat
adhere	0.633	0.339	0.554	riayət etmək
adherence	0.760	0.307	0.630	bağlılıq
adherent	0.561	0.385	0.555	sadiq
adhering	0.612	0.561	0.537	yapışaraq
adhesion	0.521	0.445	0.586	yapışma
adhesive	0.604	0.350	0.413	yapışqan
adieu	0.250	0.471	0.342	salam
adipose	0.333	0.350	0.391	yağlı
adjacency	0.365	0.417	0.375	qonşuluq
adjacent	0.645	0.276	0.536	bitişik
adjective	0.570	0.316	0.569	sifət
adjoining	0.520	0.400	0.393	bitişik
adjourn	0.385	0.456	0.475	fasilə vermək
adjournment	0.438	0.510	0.370	fasilə
adjudicate	0.559	0.520	0.683	hökm etmək
adjudication	0.551	0.462	0.691	mühakimə
adjunct	0.459	0.440	0.426	əlavə
adjust	0.647	0.327	0.638	tənzimləmək
adjuster	0.510	0.540	0.760	tənzimləyici
adjustment	0.590	0.520	0.661	tənzimləmə
adjuvant	0.510	0.500	0.456	köməkçi
admin	0.688	0.420	0.854	admin
administer	0.635	0.425	0.860	idarə etmək
administration	0.625	0.404	0.786	idarə
administrative	0.542	0.415	0.579	inzibati
administrator	0.538	0.480	0.902	administrator
admirable	0.929	0.600	0.870	təqdirəlayiq
admiral	0.844	0.490	0.847	admiral
admiralty	0.594	0.547	0.733	admirallıq
admiration	0.969	0.583	0.726	heyranlıq
admire	0.867	0.692	0.704	heyran olmaq
admired	0.917	0.560	0.815	heyran qaldı
admirer	0.796	0.720	0.650	pərəstişkarı
admiring	0.867	0.578	0.629	heyran
admissibility	0.802	0.580	0.602	məqbulluq
admissible	0.780	0.528	0.642	məqbuldur
admission	0.802	0.415	0.732	qəbul
admit	0.538	0.423	0.667	etiraf etmək
admittance	0.690	0.451	0.598	qəbul
admitted	0.720	0.490	0.767	qəbul etdi
admitting	0.620	0.500	0.546	etiraf edir
admixture	0.450	0.375	0.438	qarışıq
admonition	0.357	0.606	0.455	nəsihət
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	yeniyetməlik
adolescent	0.781	0.680	0.509	yeniyetmə
adopt	0.694	0.612	0.701	qəbul etmək
adoption	0.625	0.566	0.589	övladlığa götürmə
adoptive	0.531	0.469	0.520	övladlığa götürən
adorable	0.969	0.519	0.457	cazibədar
adoration	0.885	0.699	0.708	pərəstiş
adore	0.854	0.438	0.657	pərəstiş etmək
adoring	0.885	0.620	0.717	pərəstiş edən
adorn	0.910	0.424	0.482	bəzəmək
adornment	0.918	0.373	0.377	bəzək
adrenalin	0.865	0.920	0.786	adrenalin
adrenaline	0.765	0.965	0.825	adrenalin
adrift	0.398	0.486	0.230	sürünmək
adult	0.815	0.491	0.787	yetkin
adulterated	0.188	0.865	0.370	saxtalaşdırılmış
adulterer	0.229	0.814	0.407	zinakar
adultery	0.120	0.922	0.510	zina
adulthood	0.541	0.454	0.652	yetkinlik
advance	0.673	0.472	0.858	avans
advanced	0.844	0.623	0.797	qabaqcıl
advancement	0.776	0.650	0.839	irəliləyiş
advancing	0.929	0.608	0.812	irəliləyir
advantage	0.917	0.548	0.859	üstünlük
advantageous	0.837	0.640	0.789	sərfəli
advent	0.665	0.560	0.627	gəlişi
adventure	0.917	0.857	0.710	macəra
adventurer	0.781	0.839	0.868	macəraçı
adventures	0.812	0.764	0.749	sərgüzəştlər
adventurous	0.969	0.898	0.722	macəraçı
adversary	0.349	0.777	0.457	düşmən
adverse	0.323	0.610	0.385	mənfi
adversity	0.276	0.760	0.538	müsibət
advertise	0.500	0.529	0.580	reklam etmək
advertisement	0.600	0.566	0.539	reklam
advertising	0.622	0.608	0.632	reklam
adverts	0.551	0.500	0.595	reklamlar
advice	0.698	0.408	0.688	məsləhət
advisable	0.867	0.480	0.510	məsləhətdir
advise	0.760	0.393	0.705	məsləhət vermək
advised	0.823	0.330	0.509	məsləhət gördü
advisement	0.698	0.235	0.655	məsləhət
adviser	0.745	0.362	0.705	məsləhətçi
advisor	0.646	0.350	0.689	məsləhətçi
advisory	0.656	0.429	0.633	məsləhət
advocacy	0.500	0.646	0.731	vəkillik
advocate	0.551	0.530	0.818	vəkil
aegis	0.490	0.439	0.462	aegis
aeration	0.550	0.500	0.433	aerasiya
aerial	0.615	0.461	0.463	hava
aerobics	0.708	0.771	0.627	aerobika
aerodrome	0.541	0.740	0.678	aerodrom
aerodynamic	0.561	0.724	0.728	aerodinamik
aerodynamics	0.590	0.663	0.722	aerodinamika
aeronautics	0.551	0.633	0.688	aeronavtika
aeroplane	0.714	0.642	0.644	təyyarə
aerospace	0.643	0.520	0.779	aerokosmik
aesthetic	0.708	0.442	0.526	estetik
aesthetics	0.847	0.327	0.549	estetika
aetiology	0.480	0.398	0.615	etiologiyası
afar	0.396	0.373	0.358	uzaqda
affable	0.704	0.380	0.452	mehriban
affair	0.520	0.459	0.657	iş
affect	0.458	0.569	0.578	təsir
affecting	0.350	0.574	0.394	təsir edən
affection	0.898	0.559	0.696	məhəbbət
affectionate	0.949	0.422	0.550	mehriban
affections	0.760	0.547	0.655	ehtiraslar
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	ifadə
affiliated	0.673	0.519	0.535	bağlı
affiliation	0.615	0.594	0.500	mənsubiyyət
affinity	0.800	0.500	0.537	qohumluq
affirm	0.745	0.509	0.731	təsdiq etmək
affirmation	0.750	0.500	0.689	təsdiq
affirmative	0.854	0.589	0.816	təsdiqedici
affirmatively	0.908	0.500	0.811	təsdiqlə
affix	0.438	0.335	0.411	fiks
afflict	0.302	0.555	0.293	əzab çəkmək
afflicted	0.271	0.500	0.167	əziyyət çəkdi
affliction	0.294	0.635	0.392	əziyyət
affluence	0.663	0.618	0.722	zənginlik
affluent	0.756	0.388	0.477	varlı
afford	0.571	0.580	0.575	imkanı vermək
affordable	0.840	0.398	0.493	sərfəli
affront	0.327	0.740	0.547	təhqir etmək
affronted	0.385	0.750	0.527	təhqir etdi
afield	0.594	0.370	0.373	uzaqda
afire	0.367	0.904	0.675	yanğın
afloat	0.602	0.427	0.444	üzmək
afore	0.500	0.337	0.382	əvvəl
aforementioned	0.490	0.316	0.408	yuxarıda qeyd olunan
aforesaid	0.531	0.358	0.478	yuxarıda deyilir
afraid	0.010	0.775	0.245	qorxur
afresh	0.643	0.521	0.480	təzədən
aft	0.480	0.417	0.518	arxa
afterlife	0.571	0.567	0.568	axirət
aftermath	0.312	0.449	0.444	sonra
afternoon	0.533	0.388	0.339	günorta
aftershave	0.406	0.384	0.415	təraşdan sonra
aftertaste	0.354	0.362	0.455	daddan sonra
afterthought	0.396	0.392	0.349	sonra fikir
aga	0.542	0.327	0.398	ağa
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	əqiq
age	0.561	0.226	0.498	yaş
aged	0.135	0.365	0.236	yaşlı
agency	0.460	0.296	0.583	agentlik
agenda	0.531	0.296	0.553	gündəm
agent	0.480	0.439	0.755	agent
agglomeration	0.450	0.765	0.509	aqlomerasiya
aggravate	0.224	0.770	0.464	ağırlaşdırmaq
aggravated	0.079	0.760	0.430	ağırlaşmışdır
aggravates	0.108	0.778	0.357	ağırlaşdırır
aggravating	0.257	0.794	0.640	ağırlaşdıran
aggravation	0.071	0.784	0.613	ağırlaşma
aggregate	0.730	0.378	0.556	məcmu
aggregation	0.583	0.517	0.694	aqreqasiya
aggresive	0.059	0.971	0.639	aqressiv
aggression	0.094	0.929	0.533	aqressiya
aggressive	0.125	0.949	0.648	aqressiv
aggressively	0.250	0.926	0.688	aqressiv şəkildə
aggressiveness	0.077	0.913	0.648	aqressivlik
aggressor	0.146	0.948	0.823	təcavüzkar
agh	0.260	0.500	0.400	ağ
aghast	0.133	0.865	0.464	hirsli
aghhh	0.281	0.635	0.243	aghhh
agile	0.800	0.657	0.775	çevik
agility	0.720	0.702	0.815	çeviklik
aging	0.214	0.255	0.284	qocalma
agitate	0.300	0.796	0.593	həyəcanlandırmaq
agitated	0.444	0.882	0.491	həyəcanlı
agitation	0.240	0.931	0.447	təşviqat
aglow	0.780	0.510	0.797	parıldamaq
agnostic	0.306	0.396	0.574	aqnostik
ago	0.317	0.280	0.404	əvvəl
agonizing	0.083	0.800	0.340	əzabverici
agony	0.083	0.775	0.393	əzab
agoraphobia	0.127	0.712	0.438	agorafobiya
agree	0.906	0.260	0.545	razılaşmaq
agreeable	0.906	0.500	0.696	məqbul
agreed	0.797	0.449	0.574	razılaşdı
agreeing	0.854	0.480	0.557	razılaşır
agreement	0.760	0.440	0.736	razılaşma
agressive	0.083	0.918	0.751	aqressiv
agricultural	0.686	0.321	0.473	kənd təsərrüfatı
agriculture	0.640	0.357	0.465	Kənd təsərrüfatı
aground	0.333	0.340	0.445	quruya
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	qabaqda
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhh
ahoy	0.500	0.497	0.380	ayy
aid	0.796	0.491	0.541	yardım
aide	0.724	0.342	0.434	köməkçi
aiding	0.643	0.533	0.569	yardım
aids	0.561	0.480	0.500	yardımlar
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	xəstə
ailment	0.146	0.734	0.277	xəstəlik
aim	0.481	0.569	0.567	məqsəd
aimless	0.150	0.267	0.183	məqsədsiz
air	0.708	0.163	0.427	hava
airbag	0.510	0.402	0.433	hava yastığı
airborne	0.542	0.519	0.385	havadan
aircraft	0.646	0.644	0.691	təyyarə
aircraft carrier	0.490	0.740	0.727	təyyarə gəmisi
airfield	0.601	0.650	0.645	aerodrom
airhead	0.271	0.481	0.276	hava başlığı
airlift	0.573	0.622	0.642	hava daşımaları
airline	0.650	0.482	0.688	aviaşirkət
airliner	0.667	0.777	0.647	təyyarə
airlock	0.398	0.520	0.447	hava kilidi
airman	0.587	0.716	0.721	təyyarəçi
airplane	0.719	0.702	0.708	təyyarə
airport	0.729	0.684	0.682	hava limanı
airs	0.583	0.196	0.370	hava verir
airship	0.542	0.472	0.529	dirijabl
airspace	0.562	0.510	0.640	hava məkanı
airspeed	0.583	0.780	0.544	hava sürəti
airstrip	0.550	0.690	0.649	uçuş zolağı
airtight	0.479	0.381	0.570	hava keçirməz
airway	0.638	0.585	0.482	hava yolu
aisle	0.438	0.222	0.283	koridor
ait	0.385	0.390	0.402	aid
ajar	0.460	0.413	0.446	ara
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	yaxın
alabaster	0.542	0.404	0.445	alebastr
alarm	0.241	0.882	0.698	həyəcan siqnalı
alarm clock	0.542	0.727	0.642	Zəngli saat
alarmed	0.188	0.822	0.492	həyəcanlandı
alarming	0.204	0.890	0.585	narahatedici
alas	0.571	0.310	0.279	heyf
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatros
albino	0.500	0.240	0.358	albinos
album	0.635	0.349	0.453	albom
alchemy	0.541	0.583	0.693	kimyagərlik
alcohol	0.323	0.667	0.377	spirt
alcoholic	0.153	0.688	0.361	spirtli
alcoholism	0.061	0.779	0.407	alkoqolizm
alcove	0.490	0.340	0.356	oyuk
alderman	0.550	0.459	0.691	alderman
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	xəbərdarlıq
alertness	0.375	0.875	0.750	sayıqlıq
alerts	0.337	0.804	0.673	xəbərdarlıqlar
alfalfa	0.546	0.250	0.311	yonca
algebra	0.440	0.340	0.565	cəbr
algebraic	0.531	0.412	0.441	cəbri
algorithm	0.448	0.394	0.559	alqoritm
alias	0.541	0.353	0.333	ləqəb
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	yadplanetli
alienate	0.247	0.500	0.523	özgələşdirmək
alienated	0.410	0.423	0.559	özgəninkiləşdirilib
alienation	0.378	0.530	0.462	yadlaşma
alight	0.667	0.657	0.605	yanır
align	0.656	0.364	0.627	hizalayın
aligned	0.583	0.275	0.553	düzülüb
alignment	0.643	0.412	0.683	hizalanma
alike	0.653	0.173	0.444	eyni
alimentation	0.781	0.551	0.602	qidalanma
alimony	0.612	0.477	0.464	aliment
aliquot	0.440	0.310	0.404	hissəcik
alive	0.816	0.637	0.731	diri
alkali	0.490	0.350	0.408	qələvi
alkaloids	0.433	0.562	0.402	alkaloidlər
allay	0.417	0.406	0.398	sakitləşdirmək
allegation	0.578	0.578	0.608	iddia
allege	0.418	0.482	0.587	iddia edir
alleged	0.365	0.522	0.520	iddia edilir
allegiance	0.917	0.398	0.750	sədaqət
allegorical	0.517	0.558	0.598	alleqorik
allegory	0.615	0.580	0.509	alleqoriya
allegro	0.635	0.627	0.453	alleqro
allergic	0.135	0.549	0.273	allergik
allergy	0.296	0.606	0.389	allergiya
alleviate	0.869	0.270	0.528	yüngülləşdirmək
alleviation	0.735	0.200	0.491	yüngülləşdirmə
alley	0.347	0.500	0.355	xiyaban
alleyway	0.357	0.471	0.382	xiyaban
alliance	0.696	0.473	0.769	ittifaq
allied	0.714	0.245	0.642	müttəfiq
alligator	0.354	0.704	0.645	timsah
allocate	0.673	0.462	0.672	ayırmaq
allocation	0.604	0.388	0.679	ayrılması
allot	0.622	0.481	0.616	pay
allotment	0.600	0.390	0.640	paylama
allow	0.698	0.429	0.538	icazə verin
allowable	0.698	0.500	0.561	icazə verilir
allowance	0.673	0.382	0.591	müavinət
allowed	0.730	0.360	0.655	icazə verilir
alloy	0.583	0.443	0.593	ərintisi
allsmiles	0.786	0.528	0.430	gülümsəyir
allure	0.804	0.585	0.686	cazibədarlıq
alluring	0.837	0.745	0.843	cazibədar
allusion	0.440	0.308	0.462	eyham
alluvial	0.323	0.490	0.491	allüvial
ally	0.792	0.320	0.688	müttəfiq
almanac	0.688	0.190	0.412	almanax
almighty	0.938	0.874	0.958	qüdrətli
almond	0.698	0.183	0.314	badam
aloft	0.771	0.373	0.700	yuxarı
aloha	0.698	0.440	0.441	salam
alone	0.333	0.167	0.216	tək
alongside	0.458	0.333	0.347	yanaşı
aloof	0.189	0.423	0.302	uzaq
aloud	0.458	0.713	0.750	ucadan
alpha	0.708	0.340	0.755	alfa
alphabet	0.562	0.204	0.672	əlifba
alphabetical	0.537	0.296	0.535	əlifba sırası ilə
alpine	0.594	0.337	0.474	alp
alreadyyyyy	0.592	0.717	0.351	artıq ayyy
altar	0.724	0.387	0.635	qurbangah
altar boy	0.434	0.206	0.350	qurbangah oğlan
alter	0.333	0.694	0.654	dəyişdirmək
alteration	0.167	0.798	0.609	dəyişiklik
altercation	0.170	0.806	0.500	mübahisə
altered	0.255	0.765	0.500	dəyişdirilmiş
alternate	0.625	0.363	0.589	alternativ
alternating	0.480	0.494	0.542	növbəli
alternative	0.628	0.373	0.631	alternativ
altimeter	0.615	0.510	0.580	hündürlükölçən
altitude	0.708	0.482	0.736	hündürlük
alto	0.656	0.404	0.730	alto
altogether	0.833	0.324	0.644	bütövlükdə
aluminum	0.449	0.280	0.434	alüminium
alumnus	0.633	0.368	0.422	məzun
alveolar	0.469	0.481	0.367	alveolyar
alzheimers	0.194	0.518	0.319	alzheimer
amalgam	0.438	0.333	0.510	amalgam
amalgamation	0.406	0.470	0.531	birləşmə
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	yığmaq
amateur	0.469	0.500	0.409	həvəskar
amaze	0.896	0.843	0.783	heyrətləndirmək
amazed	0.796	0.779	0.533	heyran
amazedness	0.827	0.872	0.510	heyranlıq
amazement	0.750	0.800	0.639	heyrət
amazing	0.906	0.837	0.849	heyrətamiz
amazingly	0.918	0.765	0.920	heyrətamiz şəkildə
ambassador	0.651	0.529	0.917	səfir
amber	0.635	0.308	0.369	kəhrəba
ambience	0.735	0.356	0.426	mühit
ambient	0.625	0.360	0.582	mühit
ambiguity	0.164	0.460	0.370	qeyri-müəyyənlik
ambiguous	0.265	0.462	0.358	qeyri-müəyyən
ambit	0.479	0.380	0.386	ambit
ambition	0.510	0.804	0.661	ambisiya
ambitious	0.484	0.821	0.717	iddialı
ambivalent	0.510	0.404	0.482	qeyri-müəyyən
ambrosia	0.571	0.452	0.480	ambrosiya
ambulance	0.500	0.750	0.609	təcili yardım
ambush	0.281	0.830	0.500	pusquya düşmək
ameliorate	0.770	0.548	0.747	yaxşılaşdırmaq
amen	0.781	0.182	0.542	amin
amenable	0.448	0.410	0.406	münasib
amend	0.688	0.406	0.658	düzəliş etmək
amendment	0.531	0.459	0.606	düzəliş
amends	0.640	0.366	0.517	düzəlişlər edir
amenity	0.750	0.327	0.574	rahatlıq
amethyst	0.622	0.406	0.517	ametist
amiable	0.847	0.290	0.483	mehriban
amicable	0.875	0.330	0.507	mehriban
amid	0.510	0.340	0.256	arasında
amidst	0.480	0.330	0.316	arasında
amino	0.551	0.402	0.433	amin
ammo	0.323	0.765	0.621	sursat
ammonia	0.292	0.587	0.409	ammonyak
ammonium	0.354	0.396	0.368	ammonium
ammunition	0.338	0.635	0.667	sursat
amnesia	0.296	0.330	0.308	amneziya
amnesty	0.551	0.451	0.814	amnistiya
amorous	0.844	0.670	0.636	aşiq
amorphous	0.327	0.402	0.349	amorf
amortization	0.592	0.491	0.522	amortizasiya
amount	0.562	0.422	0.649	məbləğ
amour	0.865	0.480	0.652	həvəs
amp	0.439	0.393	0.375	amp
ampersand	0.480	0.448	0.483	ampersand
amphetamines	0.133	0.667	0.526	amfetaminlər
amphibian	0.427	0.357	0.474	amfibiya
amphibious	0.479	0.346	0.445	amfibiya
amphitheater	0.653	0.480	0.545	amfiteatr
ample	0.744	0.349	0.719	bol
amplification	0.690	0.677	0.810	gücləndirmə
amplify	0.677	0.735	0.827	gücləndirmək
amplitude	0.694	0.439	0.692	amplituda
amply	0.781	0.431	0.766	bol-bol
amputate	0.092	0.660	0.509	amputasiya etmək
amputation	0.100	0.755	0.483	amputasiya
amuck	0.385	0.602	0.321	amuck
amulet	0.781	0.260	0.630	amulet
