English Word	Valence	Arousal	Dominance	Icelandic Word
absent	0.177	0.221	0.116	fjarverandi
absentee	0.235	0.330	0.279	fjarverandi
absenteeism	0.404	0.273	0.357	fjarvistir
absinthe	0.481	0.510	0.462	absinth
absolute	0.526	0.510	0.827	alger
absolution	0.715	0.500	0.664	aflausn
absolve	0.684	0.449	0.660	afnema
absorb	0.469	0.558	0.670	gleypa
absorbed	0.490	0.471	0.519	frásogast
absorbent	0.552	0.394	0.718	gleypið
absorbing	0.490	0.490	0.578	hrífandi
absorption	0.609	0.422	0.446	frásog
abstain	0.385	0.385	0.427	sitja hjá
abstention	0.271	0.264	0.509	sitja hjá
abstinence	0.260	0.392	0.429	bindindi
abstract	0.438	0.292	0.444	abstrakt
abstraction	0.469	0.439	0.525	útdráttur
absurd	0.188	0.656	0.284	fáránlegt
absurdity	0.115	0.528	0.227	fáránleiki
abundance	0.812	0.690	0.852	gnægð
abundant	0.958	0.590	0.760	nóg
abuse	0.071	0.873	0.469	misnotkun
abused	0.021	0.874	0.235	misnotuð
abusive	0.125	0.903	0.567	Ofbeldisfull
abutment	0.500	0.265	0.616	stoð
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	ömurlegt
abyss	0.353	0.725	0.296	hyldýpi
academic	0.781	0.420	0.812	fræðileg
academy	0.704	0.473	0.792	Háskóli
accede	0.698	0.510	0.537	ganga að
accelerant	0.643	0.844	0.802	hröðun
accelerate	0.615	0.902	0.759	flýta fyrir
accelerated	0.610	0.812	0.682	flýtt
acceleration	0.704	0.905	0.843	hröðun
accelerator	0.593	0.830	0.812	inngjöf
accent	0.598	0.357	0.509	hreim
accentuate	0.673	0.556	0.667	leggja áherslu á
accept	0.847	0.286	0.565	taka
acceptable	0.812	0.286	0.583	viðunandi
acceptance	0.833	0.287	0.755	samþykki
acceptances	0.847	0.413	0.648	samþykki
access	0.714	0.472	0.567	aðgangur
accessible	0.796	0.410	0.645	aðgengileg
accession	0.612	0.383	0.636	aðild
accessory	0.562	0.292	0.445	aukabúnaður
accident	0.125	0.908	0.336	slys
accidental	0.319	0.784	0.307	óvart
accidentally	0.333	0.741	0.333	óvart
acclaim	0.562	0.809	0.718	lof
accolade	0.688	0.591	0.775	viðurkenningu
accommodate	0.844	0.375	0.566	koma til móts við
accommodation	0.817	0.415	0.587	gistingu
accompaniment	0.740	0.479	0.695	undirleik
accompany	0.833	0.406	0.585	fylgja
accompanying	0.787	0.460	0.582	í fylgd með
accomplice	0.408	0.580	0.510	vitorðsmaður
accomplish	0.929	0.673	0.816	afreka
accomplished	0.870	0.520	0.798	afrekað
accomplishment	0.917	0.694	0.888	afrek
accord	0.898	0.264	0.382	samkomulagi
accordance	0.659	0.349	0.600	samræmi
accordion	0.604	0.490	0.361	harmonikku
account	0.531	0.347	0.472	reikning
accountability	0.755	0.537	0.833	ábyrgð
accountable	0.709	0.282	0.777	ábyrgur
accountant	0.625	0.450	0.639	endurskoðandi
accounting	0.552	0.390	0.677	bókhald
accounts	0.592	0.340	0.471	reikningar
accredited	0.669	0.479	0.768	viðurkenndur
accretion	0.448	0.519	0.672	uppsöfnun
accrue	0.520	0.481	0.602	safnast upp
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	safnast upp
accumulation	0.479	0.527	0.600	uppsöfnun
accuracy	0.604	0.481	0.802	nákvæmni
accurate	0.743	0.360	0.737	nákvæm
accursed	0.135	0.745	0.345	bölvaður
accusation	0.073	0.718	0.564	ásökun
accusative	0.198	0.755	0.482	ásakandi
accuse	0.133	0.752	0.500	saka
accused	0.130	0.670	0.420	ákærður
accuser	0.122	0.779	0.615	ákærandi
accusing	0.156	0.745	0.324	ásakandi
accustomed	0.542	0.365	0.441	vanir
ace	0.643	0.481	0.546	ás
acetic	0.333	0.420	0.519	edik
acetylene	0.306	0.469	0.509	asetýleni
ache	0.146	0.760	0.312	verki
achieve	0.816	0.545	0.843	afreka
achieved	0.896	0.519	0.775	náð
achievement	0.896	0.808	0.759	afrek
aching	0.053	0.880	0.348	verkir
achy	0.167	0.840	0.373	verkur
acid	0.265	0.642	0.566	sýru
acidity	0.156	0.663	0.360	sýrustig
acknowledge	0.786	0.370	0.661	viðurkenna
acknowledged	0.714	0.443	0.765	viðurkennt
acknowledgement	0.819	0.539	0.830	viðurkenning
acknowledgment	0.796	0.528	0.777	viðurkenning
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	unglingabólur
acorn	0.448	0.198	0.192	akorn
acoustic	0.542	0.462	0.536	hljóðeinangrun
acoustics	0.611	0.330	0.509	hljóðvist
acquaint	0.646	0.491	0.639	kynnast
acquaintance	0.656	0.290	0.670	kunningi
acquainted	0.906	0.358	0.632	kynnast
acquiescence	0.542	0.480	0.554	sátt
acquire	0.833	0.468	0.700	eignast
acquiring	0.735	0.510	0.817	öðlast
acquisition	0.698	0.509	0.736	kaup
acquisitions	0.773	0.660	0.790	yfirtökur
acquit	0.583	0.571	0.611	sýkna
acquittal	0.760	0.497	0.700	sýknudómur
acre	0.583	0.387	0.423	hektara
acreage	0.741	0.450	0.528	svæði
acres	0.510	0.363	0.500	hektara
acrobat	0.708	0.828	0.602	loftfimleika
acrylic	0.582	0.279	0.420	akrýl
act	0.656	0.704	0.735	framkvæma
acting	0.698	0.643	0.500	leiklist
action	0.760	0.898	0.802	aðgerð
action figure	0.615	0.774	0.611	ofurhetja
actionable	0.673	0.702	0.613	aðgerðarhæfar
activate	0.764	0.650	0.806	virkja
activation	0.781	0.800	0.754	virkjun
active	0.847	0.730	0.731	virkur
activist	0.531	0.653	0.877	aðgerðarsinni
activity	0.701	0.660	0.807	starfsemi
actor	0.653	0.561	0.629	leikari
actress	0.633	0.556	0.596	leikkona
actual	0.729	0.400	0.716	raunverulegt
actuality	0.750	0.464	0.600	raunveruleika
actuary	0.510	0.404	0.491	tryggingarfræðingur
acuity	0.469	0.378	0.741	skerpu
acumen	0.564	0.660	0.679	skynsemi
acupuncture	0.531	0.324	0.549	nálastungumeðferð
acute	0.427	0.652	0.534	bráð
acutely	0.417	0.543	0.491	bráðlega
ad	0.521	0.705	0.558	auglýsingu
adage	0.517	0.415	0.566	orðatiltæki
adamant	0.344	0.529	0.575	staðfastur
adapt	0.740	0.355	0.551	aðlagast
adaptable	0.735	0.423	0.641	aðlögunarhæfur
adaptation	0.663	0.365	0.609	aðlögun
add	0.728	0.490	0.554	Bæta við
added	0.562	0.405	0.509	bætt við
addendum	0.392	0.370	0.418	viðauka
adder	0.388	0.461	0.588	adder
addict	0.075	0.696	0.327	fíkill
addicted	0.156	0.712	0.483	háður
addiction	0.180	0.806	0.420	fíkn
addictive	0.302	0.683	0.472	ávanabindandi
addition	0.562	0.373	0.471	viðbót
additional	0.673	0.462	0.526	til viðbótar
additive	0.561	0.633	0.691	aukefni
address	0.650	0.327	0.567	heimilisfang
addressee	0.622	0.382	0.538	viðtakanda
addresses	0.510	0.354	0.450	heimilisföng
adept	0.594	0.539	0.789	duglegur
adequacy	0.615	0.435	0.702	fullnægjandi
adequate	0.854	0.264	0.705	fullnægjandi
adhere	0.633	0.339	0.554	fylgja
adherence	0.760	0.307	0.630	fylgja
adherent	0.561	0.385	0.555	fylgjandi
adhering	0.612	0.561	0.537	viðloðandi
adhesion	0.521	0.445	0.586	viðloðun
adhesive	0.604	0.350	0.413	lím
adieu	0.250	0.471	0.342	adieu
adipose	0.333	0.350	0.391	fitu
adjacency	0.365	0.417	0.375	nálægð
adjacent	0.645	0.276	0.536	aðliggjandi
adjective	0.570	0.316	0.569	lýsingarorð
adjoining	0.520	0.400	0.393	samliggjandi
adjourn	0.385	0.456	0.475	fresta
adjournment	0.438	0.510	0.370	frestun
adjudicate	0.559	0.520	0.683	dæma
adjudication	0.551	0.462	0.691	dómur
adjunct	0.459	0.440	0.426	aðjúnkt
adjust	0.647	0.327	0.638	stilla
adjuster	0.510	0.540	0.760	stillari
adjustment	0.590	0.520	0.661	aðlögun
adjuvant	0.510	0.500	0.456	hjálparefni
admin	0.688	0.420	0.854	admin
administer	0.635	0.425	0.860	stjórna
administration	0.625	0.404	0.786	stjórnsýslu
administrative	0.542	0.415	0.579	stjórnsýslu
administrator	0.538	0.480	0.902	stjórnandi
admirable	0.929	0.600	0.870	aðdáunarvert
admiral	0.844	0.490	0.847	aðmíráls
admiralty	0.594	0.547	0.733	admirality
admiration	0.969	0.583	0.726	aðdáun
admire	0.867	0.692	0.704	dáist að
admired	0.917	0.560	0.815	dáðist
admirer	0.796	0.720	0.650	aðdáandi
admiring	0.867	0.578	0.629	aðdáunarvert
admissibility	0.802	0.580	0.602	leyfisleysi
admissible	0.780	0.528	0.642	leyfilegt
admission	0.802	0.415	0.732	inngöngu
admit	0.538	0.423	0.667	viðurkenna
admittance	0.690	0.451	0.598	inngöngu
admitted	0.720	0.490	0.767	viðurkenndi
admitting	0.620	0.500	0.546	viðurkenna
admixture	0.450	0.375	0.438	íblöndun
admonition	0.357	0.606	0.455	áminning
ado	0.520	0.423	0.385	þras
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	unglingsárin
adolescent	0.781	0.680	0.509	unglingur
adopt	0.694	0.612	0.701	ættleiða
adoption	0.625	0.566	0.589	ættleiðing
adoptive	0.531	0.469	0.520	ættleiðandi
adorable	0.969	0.519	0.457	yndisleg
adoration	0.885	0.699	0.708	tilbeiðslu
adore	0.854	0.438	0.657	dýrka
adoring	0.885	0.620	0.717	dýrkandi
adorn	0.910	0.424	0.482	prýða
adornment	0.918	0.373	0.377	skraut
adrenalin	0.865	0.920	0.786	adrenalín
adrenaline	0.765	0.965	0.825	adrenalín
adrift	0.398	0.486	0.230	á reki
adult	0.815	0.491	0.787	fullorðinn
adulterated	0.188	0.865	0.370	falsað
adulterer	0.229	0.814	0.407	hórkarl
adultery	0.120	0.922	0.510	framhjáhald
adulthood	0.541	0.454	0.652	fullorðinsárum
advance	0.673	0.472	0.858	fyrirfram
advanced	0.844	0.623	0.797	háþróaður
advancement	0.776	0.650	0.839	framfarir
advancing	0.929	0.608	0.812	sækja fram
advantage	0.917	0.548	0.859	kostur
advantageous	0.837	0.640	0.789	hagstæðar
advent	0.665	0.560	0.627	aðventu
adventure	0.917	0.857	0.710	ævintýri
adventurer	0.781	0.839	0.868	ævintýramaður
adventures	0.812	0.764	0.749	ævintýri
adventurous	0.969	0.898	0.722	ævintýralegur
adversary	0.349	0.777	0.457	andstæðingur
adverse	0.323	0.610	0.385	skaðleg
adversity	0.276	0.760	0.538	mótlæti
advertise	0.500	0.529	0.580	auglýsa
advertisement	0.600	0.566	0.539	auglýsingu
advertising	0.622	0.608	0.632	auglýsingar
adverts	0.551	0.500	0.595	auglýsingar
advice	0.698	0.408	0.688	ráðh
advisable	0.867	0.480	0.510	ráðlegt
advise	0.760	0.393	0.705	ráðleggja
advised	0.823	0.330	0.509	ráðh
advisement	0.698	0.235	0.655	ráðgjöf
adviser	0.745	0.362	0.705	ráðgjafi
advisor	0.646	0.350	0.689	ráðgjafi
advisory	0.656	0.429	0.633	ráðgefandi
advocacy	0.500	0.646	0.731	málsvörn
advocate	0.551	0.530	0.818	málsvari
aegis	0.490	0.439	0.462	aegis
aeration	0.550	0.500	0.433	loftun
aerial	0.615	0.461	0.463	loftnet
aerobics	0.708	0.771	0.627	þolfimi
aerodrome	0.541	0.740	0.678	flugvöllur
aerodynamic	0.561	0.724	0.728	loftafl
aerodynamics	0.590	0.663	0.722	loftaflfræði
aeronautics	0.551	0.633	0.688	flugfræði
aeroplane	0.714	0.642	0.644	flugvél
aerospace	0.643	0.520	0.779	loftrými
aesthetic	0.708	0.442	0.526	fagurfræðilegu
aesthetics	0.847	0.327	0.549	fagurfræði
aetiology	0.480	0.398	0.615	orsök
afar	0.396	0.373	0.358	fjarri
affable	0.704	0.380	0.452	vingjarnlegur
affair	0.520	0.459	0.657	mál
affect	0.458	0.569	0.578	áhrif
affecting	0.350	0.574	0.394	hafa áhrif
affection	0.898	0.559	0.696	ástúð
affectionate	0.949	0.422	0.550	ástúðlegur
affections	0.760	0.547	0.655	ástúð
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	yfirlýsingu
affiliated	0.673	0.519	0.535	tengd
affiliation	0.615	0.594	0.500	tengsl
affinity	0.800	0.500	0.537	skyldleika
affirm	0.745	0.509	0.731	staðfesta
affirmation	0.750	0.500	0.689	staðfestingu
affirmative	0.854	0.589	0.816	játandi
affirmatively	0.908	0.500	0.811	játandi
affix	0.438	0.335	0.411	festa
afflict	0.302	0.555	0.293	þjást
afflicted	0.271	0.500	0.167	þjakaður
affliction	0.294	0.635	0.392	þjáning
affluence	0.663	0.618	0.722	allsnægtir
affluent	0.756	0.388	0.477	auðugur
afford	0.571	0.580	0.575	efni á
affordable	0.840	0.398	0.493	á viðráðanlegu verði
affront	0.327	0.740	0.547	níðingur
affronted	0.385	0.750	0.527	misboðið
afield	0.594	0.370	0.373	fjarri
afire	0.367	0.904	0.675	eldur
afloat	0.602	0.427	0.444	á floti
afore	0.500	0.337	0.382	áðan
aforementioned	0.490	0.316	0.408	áðurnefndur
aforesaid	0.531	0.358	0.478	fyrrnefnd
afraid	0.010	0.775	0.245	hræddur
afresh	0.643	0.521	0.480	á ný
aft	0.480	0.417	0.518	aftan
afterlife	0.571	0.567	0.568	framhaldslíf
aftermath	0.312	0.449	0.444	eftirmáli
afternoon	0.533	0.388	0.339	síðdegis
aftershave	0.406	0.384	0.415	eftirrakstur
aftertaste	0.354	0.362	0.455	eftirbragð
afterthought	0.396	0.392	0.349	eftiráhugsun
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	agat
age	0.561	0.226	0.498	Aldur
aged	0.135	0.365	0.236	aldraður
agency	0.460	0.296	0.583	stofnun
agenda	0.531	0.296	0.553	dagskrá
agent	0.480	0.439	0.755	umboðsmaður
agglomeration	0.450	0.765	0.509	þéttbýli
aggravate	0.224	0.770	0.464	auka á
aggravated	0.079	0.760	0.430	versnað
aggravates	0.108	0.778	0.357	eykur á
aggravating	0.257	0.794	0.640	versnandi
aggravation	0.071	0.784	0.613	versnun
aggregate	0.730	0.378	0.556	samanlagt
aggregation	0.583	0.517	0.694	samansafn
aggresive	0.059	0.971	0.639	árásargjarn
aggression	0.094	0.929	0.533	árásargirni
aggressive	0.125	0.949	0.648	árásargjarn
aggressively	0.250	0.926	0.688	árásargjarn
aggressiveness	0.077	0.913	0.648	árásargirni
aggressor	0.146	0.948	0.823	árásarmaður
agh	0.260	0.500	0.400	æjj
aghast	0.133	0.865	0.464	agndofa
aghhh	0.281	0.635	0.243	ahhh
agile	0.800	0.657	0.775	lipur
agility	0.720	0.702	0.815	lipurð
aging	0.214	0.255	0.284	öldrun
agitate	0.300	0.796	0.593	æsa
agitated	0.444	0.882	0.491	æstur
agitation	0.240	0.931	0.447	æsingur
aglow	0.780	0.510	0.797	glóandi
agnostic	0.306	0.396	0.574	agnostískur
ago	0.317	0.280	0.404	síðan
agonizing	0.083	0.800	0.340	kvalafullur
agony	0.083	0.775	0.393	kvöl
agoraphobia	0.127	0.712	0.438	víðáttufælni
agree	0.906	0.260	0.545	sammála
agreeable	0.906	0.500	0.696	viðunandi
agreed	0.797	0.449	0.574	samþykkt
agreeing	0.854	0.480	0.557	sammála
agreement	0.760	0.440	0.736	samningur
agressive	0.083	0.918	0.751	árásargjarn
agricultural	0.686	0.321	0.473	landbúnaðar
agriculture	0.640	0.357	0.465	landbúnaði
aground	0.333	0.340	0.445	strandaði
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	framundan
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhh
ahoy	0.500	0.497	0.380	hey
aid	0.796	0.491	0.541	aðstoð
aide	0.724	0.342	0.434	aðstoðarmaður
aiding	0.643	0.533	0.569	aðstoða
aids	0.561	0.480	0.500	hjálpartæki
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	veik
ailment	0.146	0.734	0.277	kvilla
aim	0.481	0.569	0.567	stefna
aimless	0.150	0.267	0.183	stefnulaus
air	0.708	0.163	0.427	lofti
airbag	0.510	0.402	0.433	loftpúða
airborne	0.542	0.519	0.385	loftborinn
aircraft	0.646	0.644	0.691	flugvélar
aircraft carrier	0.490	0.740	0.727	flugmóðurskip
airfield	0.601	0.650	0.645	flugvöllur
airhead	0.271	0.481	0.276	lofthaus
airlift	0.573	0.622	0.642	loftbrú
airline	0.650	0.482	0.688	flugfélag
airliner	0.667	0.777	0.647	farþegaflugvél
airlock	0.398	0.520	0.447	loftlás
airman	0.587	0.716	0.721	flugmaður
airplane	0.719	0.702	0.708	flugvél
airport	0.729	0.684	0.682	flugvöllur
airs	0.583	0.196	0.370	fer í loftið
airship	0.542	0.472	0.529	loftskip
airspace	0.562	0.510	0.640	loftrými
airspeed	0.583	0.780	0.544	flughraða
airstrip	0.550	0.690	0.649	flugbraut
airtight	0.479	0.381	0.570	loftþétt
airway	0.638	0.585	0.482	öndunarvegi
aisle	0.438	0.222	0.283	gangur
ait	0.385	0.390	0.402	aít
ajar	0.460	0.413	0.446	ajar
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	í ætt
alabaster	0.542	0.404	0.445	alabastur
alarm	0.241	0.882	0.698	viðvörun
alarm clock	0.542	0.727	0.642	Vekjaraklukka
alarmed	0.188	0.822	0.492	brugðið
alarming	0.204	0.890	0.585	ógnvekjandi
alas	0.571	0.310	0.279	því miður
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatross
albino	0.500	0.240	0.358	albínói
album	0.635	0.349	0.453	albúm
alchemy	0.541	0.583	0.693	gullgerðarlist
alcohol	0.323	0.667	0.377	áfengi
alcoholic	0.153	0.688	0.361	alkóhólisti
alcoholism	0.061	0.779	0.407	alkóhólismi
alcove	0.490	0.340	0.356	alkófa
alderman	0.550	0.459	0.691	alþingismaður
ale	0.530	0.450	0.358	öl
alert	0.479	0.820	0.648	viðvörun
alertness	0.375	0.875	0.750	árvekni
alerts	0.337	0.804	0.673	viðvaranir
alfalfa	0.546	0.250	0.311	alfalfa
algebra	0.440	0.340	0.565	algebru
algebraic	0.531	0.412	0.441	algebru
algorithm	0.448	0.394	0.559	reiknirit
alias	0.541	0.353	0.333	samnefni
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	geimvera
alienate	0.247	0.500	0.523	fjarlæga
alienated	0.410	0.423	0.559	firrtur
alienation	0.378	0.530	0.462	höfnun
alight	0.667	0.657	0.605	kveikt
align	0.656	0.364	0.627	samræma
aligned	0.583	0.275	0.553	samræmd
alignment	0.643	0.412	0.683	jöfnun
alike	0.653	0.173	0.444	eins
alimentation	0.781	0.551	0.602	næring
alimony	0.612	0.477	0.464	meðlag
aliquot	0.440	0.310	0.404	skammtur
alive	0.816	0.637	0.731	lifandi
alkali	0.490	0.350	0.408	basa
alkaloids	0.433	0.562	0.402	alkalóíða
allay	0.417	0.406	0.398	lægja
allegation	0.578	0.578	0.608	ásökun
allege	0.418	0.482	0.587	meina
alleged	0.365	0.522	0.520	meint
allegiance	0.917	0.398	0.750	tryggð
allegorical	0.517	0.558	0.598	allegórísk
allegory	0.615	0.580	0.509	allegóríu
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	ofnæmi
allergy	0.296	0.606	0.389	ofnæmi
alleviate	0.869	0.270	0.528	létta
alleviation	0.735	0.200	0.491	léttir
alley	0.347	0.500	0.355	sundið
alleyway	0.357	0.471	0.382	sundið
alliance	0.696	0.473	0.769	bandalag
allied	0.714	0.245	0.642	bandamanna
alligator	0.354	0.704	0.645	alligator
allocate	0.673	0.462	0.672	úthluta
allocation	0.604	0.388	0.679	úthlutun
allot	0.622	0.481	0.616	úthluta
allotment	0.600	0.390	0.640	úthlutun
allow	0.698	0.429	0.538	leyfa
allowable	0.698	0.500	0.561	leyfilegt
allowance	0.673	0.382	0.591	vasapeninga
allowed	0.730	0.360	0.655	leyfilegt
alloy	0.583	0.443	0.593	álfelgur
allsmiles	0.786	0.528	0.430	allsmilar
allure	0.804	0.585	0.686	aðdráttarafl
alluring	0.837	0.745	0.843	aðlaðandi
allusion	0.440	0.308	0.462	skírskotun
alluvial	0.323	0.490	0.491	alluvial
ally	0.792	0.320	0.688	bandamann
almanac	0.688	0.190	0.412	almanak
almighty	0.938	0.874	0.958	almáttugur
almond	0.698	0.183	0.314	möndlu
aloft	0.771	0.373	0.700	á lofti
aloha	0.698	0.440	0.441	alóha
alone	0.333	0.167	0.216	ein
alongside	0.458	0.333	0.347	við hlið
aloof	0.189	0.423	0.302	fjarlægur
aloud	0.458	0.713	0.750	upphátt
alpha	0.708	0.340	0.755	alfa
alphabet	0.562	0.204	0.672	stafrófið
alphabetical	0.537	0.296	0.535	stafrófsröð
alpine	0.594	0.337	0.474	alpa
alreadyyyyy	0.592	0.717	0.351	þegaryyyy
altar	0.724	0.387	0.635	altari
altar boy	0.434	0.206	0.350	altarisdrengur
alter	0.333	0.694	0.654	breyta
alteration	0.167	0.798	0.609	breytingu
altercation	0.170	0.806	0.500	deilur
altered	0.255	0.765	0.500	breytt
alternate	0.625	0.363	0.589	varamaður
alternating	0.480	0.494	0.542	til skiptis
alternative	0.628	0.373	0.631	val
altimeter	0.615	0.510	0.580	hæðarmælir
altitude	0.708	0.482	0.736	hæð
alto	0.656	0.404	0.730	alt
altogether	0.833	0.324	0.644	með öllu
aluminum	0.449	0.280	0.434	áli
alumnus	0.633	0.368	0.422	alumn
alveolar	0.469	0.481	0.367	alveolar
alzheimers	0.194	0.518	0.319	alzheimers
amalgam	0.438	0.333	0.510	amalgam
amalgamation	0.406	0.470	0.531	sameining
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	safna saman
amateur	0.469	0.500	0.409	áhugamaður
amaze	0.896	0.843	0.783	undrast
amazed	0.796	0.779	0.533	undrandi
amazedness	0.827	0.872	0.510	undrun
amazement	0.750	0.800	0.639	undrun
amazing	0.906	0.837	0.849	æðislegur
amazingly	0.918	0.765	0.920	ótrúlega
ambassador	0.651	0.529	0.917	sendiherra
amber	0.635	0.308	0.369	gulbrún
ambience	0.735	0.356	0.426	andrúmsloft
ambient	0.625	0.360	0.582	umhverfis
ambiguity	0.164	0.460	0.370	tvíræðni
ambiguous	0.265	0.462	0.358	óljós
ambit	0.479	0.380	0.386	gildissvið
ambition	0.510	0.804	0.661	metnað
ambitious	0.484	0.821	0.717	metnaðarfullur
ambivalent	0.510	0.404	0.482	tvísýnn
ambrosia	0.571	0.452	0.480	ambrosia
ambulance	0.500	0.750	0.609	sjúkrabíll
ambush	0.281	0.830	0.500	fyrirsát
ameliorate	0.770	0.548	0.747	bæta
amen	0.781	0.182	0.542	amen
amenable	0.448	0.410	0.406	viðunandi
amend	0.688	0.406	0.658	breyta
amendment	0.531	0.459	0.606	breytingartillögu
amends	0.640	0.366	0.517	bætir
amenity	0.750	0.327	0.574	þægindi
amethyst	0.622	0.406	0.517	ametist
amiable	0.847	0.290	0.483	vingjarnlegur
amicable	0.875	0.330	0.507	vinsamleg
amid	0.510	0.340	0.256	innan um
amidst	0.480	0.330	0.316	innan um
amino	0.551	0.402	0.433	amínó
ammo	0.323	0.765	0.621	ammo
ammonia	0.292	0.587	0.409	ammoníak
ammonium	0.354	0.396	0.368	ammoníum
ammunition	0.338	0.635	0.667	skotfæri
amnesia	0.296	0.330	0.308	minnisleysi
amnesty	0.551	0.451	0.814	sakaruppgjöf
amorous	0.844	0.670	0.636	ástfanginn
amorphous	0.327	0.402	0.349	formlaus
amortization	0.592	0.491	0.522	afskrift
amount	0.562	0.422	0.649	magn
amour	0.865	0.480	0.652	ást
amp	0.439	0.393	0.375	magnara
ampersand	0.480	0.448	0.483	ampersand
amphetamines	0.133	0.667	0.526	amfetamín
amphibian	0.427	0.357	0.474	froskdýr
amphibious	0.479	0.346	0.445	froskdýr
amphitheater	0.653	0.480	0.545	hringleikahús
ample	0.744	0.349	0.719	nægur
amplification	0.690	0.677	0.810	mögnun
amplify	0.677	0.735	0.827	magna upp
amplitude	0.694	0.439	0.692	amplitude
amply	0.781	0.431	0.766	ríflega
amputate	0.092	0.660	0.509	aflima
amputation	0.100	0.755	0.483	aflimun
amuck	0.385	0.602	0.321	amk
amulet	0.781	0.260	0.630	verndargripur
amuse	0.812	0.684	0.664	skemmta
amused	0.942	0.847	0.596	skemmt
amusement	0.929	0.837	0.803	skemmtun
amusing	0.960	0.829	0.632	skemmtilegur
ana	0.541	0.300	0.314	ana
anaconda	0.146	0.830	0.540	anaconda
anaesthesia	0.350	0.217	0.473	svæfingu
anaesthetic	0.449	0.268	0.509	svæfingarlyf
anagram	0.552	0.327	0.449	anagram
anal	0.333	0.798	0.334	endaþarms
analgesic	0.417	0.321	0.441	verkjalyf
analogous	0.531	0.270	0.500	hliðstæða
analogue	0.570	0.320	0.446	hliðstæða
analogy	0.510	0.367	0.509	líking
analysis	0.729	0.448	0.705	greiningu
analyst	0.604	0.415	0.755	sérfræðingur
