English Word	Valence	Arousal	Dominance	Luxembourgish Word
absent	0.177	0.221	0.116	absent
absentee	0.235	0.330	0.279	absentee
absenteeism	0.404	0.273	0.357	Absenteeismus
absinthe	0.481	0.510	0.462	absinth
absolute	0.526	0.510	0.827	absolut
absolution	0.715	0.500	0.664	Absolutioun
absolve	0.684	0.449	0.660	befreien
absorb	0.469	0.558	0.670	absorbéieren
absorbed	0.490	0.471	0.519	absorbéiert
absorbent	0.552	0.394	0.718	absorbéierend
absorbing	0.490	0.490	0.578	absorbéieren
absorption	0.609	0.422	0.446	Absorptioun
abstain	0.385	0.385	0.427	enthalen
abstention	0.271	0.264	0.509	Enthalung
abstinence	0.260	0.392	0.429	Abstinenz
abstract	0.438	0.292	0.444	abstrakt
abstraction	0.469	0.439	0.525	Abstraktioun
absurd	0.188	0.656	0.284	absurd
absurdity	0.115	0.528	0.227	Absurditéit
abundance	0.812	0.690	0.852	Iwwerfloss
abundant	0.958	0.590	0.760	reichend
abuse	0.071	0.873	0.469	Mëssbrauch
abused	0.021	0.874	0.235	mëssbraucht
abusive	0.125	0.903	0.567	mëssbraucht
abutment	0.500	0.265	0.616	abutment
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	onheemlech
abyss	0.353	0.725	0.296	Ofgrond
academic	0.781	0.420	0.812	akademesch
academy	0.704	0.473	0.792	Akademie
accede	0.698	0.510	0.537	zouginn
accelerant	0.643	0.844	0.802	beschleunegen
accelerate	0.615	0.902	0.759	beschleunegen
accelerated	0.610	0.812	0.682	beschleunegt
acceleration	0.704	0.905	0.843	Beschleunegung
accelerator	0.593	0.830	0.812	Beschleuniger
accent	0.598	0.357	0.509	Akzent
accentuate	0.673	0.556	0.667	accentuéieren
accept	0.847	0.286	0.565	akzeptéieren
acceptable	0.812	0.286	0.583	akzeptabel
acceptance	0.833	0.287	0.755	Akzeptanz
acceptances	0.847	0.413	0.648	Akzeptanz
access	0.714	0.472	0.567	Zougang
accessible	0.796	0.410	0.645	zougänglech
accession	0.612	0.383	0.636	Bäitrëtt
accessory	0.562	0.292	0.445	Accessoire
accident	0.125	0.908	0.336	Accident
accidental	0.319	0.784	0.307	zoufälleg
accidentally	0.333	0.741	0.333	zoufälleg
acclaim	0.562	0.809	0.718	applaudéieren
accolade	0.688	0.591	0.775	unerkannt
accommodate	0.844	0.375	0.566	aménagéieren
accommodation	0.817	0.415	0.587	Ënnerkunft
accompaniment	0.740	0.479	0.695	Begleedung
accompany	0.833	0.406	0.585	begleeden
accompanying	0.787	0.460	0.582	begleeden
accomplice	0.408	0.580	0.510	Kompliz
accomplish	0.929	0.673	0.816	erreechen
accomplished	0.870	0.520	0.798	erfëllt
accomplishment	0.917	0.694	0.888	Leeschtung
accord	0.898	0.264	0.382	Accord
accordance	0.659	0.349	0.600	konform
accordion	0.604	0.490	0.361	Akkordeon
account	0.531	0.347	0.472	Kont
accountability	0.755	0.537	0.833	Rechenschaftspflicht
accountable	0.709	0.282	0.777	verantwortlech
accountant	0.625	0.450	0.639	Comptabel
accounting	0.552	0.390	0.677	Comptabilitéit
accounts	0.592	0.340	0.471	Konten
accredited	0.669	0.479	0.768	akkreditéiert
accretion	0.448	0.519	0.672	Accretioun
accrue	0.520	0.481	0.602	anhuelen
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	accumuléieren
accumulation	0.479	0.527	0.600	Akkumulation
accuracy	0.604	0.481	0.802	Genauegkeet
accurate	0.743	0.360	0.737	korrekt
accursed	0.135	0.745	0.345	verflucht
accusation	0.073	0.718	0.564	Uklo
accusative	0.198	0.755	0.482	akuzativ
accuse	0.133	0.752	0.500	beschëllegt
accused	0.130	0.670	0.420	beschëllegt
accuser	0.122	0.779	0.615	Uklo
accusing	0.156	0.745	0.324	beschëllegt
accustomed	0.542	0.365	0.441	gewinnt
ace	0.643	0.481	0.546	ass
acetic	0.333	0.420	0.519	acetic
acetylene	0.306	0.469	0.509	acetylen
ache	0.146	0.760	0.312	ach
achieve	0.816	0.545	0.843	erreechen
achieved	0.896	0.519	0.775	erreecht
achievement	0.896	0.808	0.759	Leeschtung
aching	0.053	0.880	0.348	eech
achy	0.167	0.840	0.373	achy
acid	0.265	0.642	0.566	sauer
acidity	0.156	0.663	0.360	Aciditéit
acknowledge	0.786	0.370	0.661	unerkennen
acknowledged	0.714	0.443	0.765	unerkannt
acknowledgement	0.819	0.539	0.830	Unerkennung
acknowledgment	0.796	0.528	0.777	Unerkennung
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	Akne
acorn	0.448	0.198	0.192	Eichel
acoustic	0.542	0.462	0.536	akustesch
acoustics	0.611	0.330	0.509	Akustik
acquaint	0.646	0.491	0.639	kennt
acquaintance	0.656	0.290	0.670	Bekannten
acquainted	0.906	0.358	0.632	kennt
acquiescence	0.542	0.480	0.554	Acquiescence
acquire	0.833	0.468	0.700	kréien
acquiring	0.735	0.510	0.817	kréien
acquisition	0.698	0.509	0.736	Acquisitioun
acquisitions	0.773	0.660	0.790	Acquisitioune
acquit	0.583	0.571	0.611	befreien
acquittal	0.760	0.497	0.700	befreiung
acre	0.583	0.387	0.423	Hektar
acreage	0.741	0.450	0.528	Fläch
acres	0.510	0.363	0.500	Hektar
acrobat	0.708	0.828	0.602	akrobat
acrylic	0.582	0.279	0.420	acrylic
act	0.656	0.704	0.735	handelen
acting	0.698	0.643	0.500	handelen
action	0.760	0.898	0.802	Aktioun
action figure	0.615	0.774	0.611	Aktioun Figur
actionable	0.673	0.702	0.613	handelbar
activate	0.764	0.650	0.806	aktivéieren
activation	0.781	0.800	0.754	Aktivatioun
active	0.847	0.730	0.731	aktiv
activist	0.531	0.653	0.877	aktivist
activity	0.701	0.660	0.807	Aktivitéit
actor	0.653	0.561	0.629	Schauspiller
actress	0.633	0.556	0.596	Actrice
actual	0.729	0.400	0.716	tatsächlech
actuality	0.750	0.464	0.600	Realitéit
actuary	0.510	0.404	0.491	Aktuar
acuity	0.469	0.378	0.741	Akuitéit
acumen	0.564	0.660	0.679	Éierlechkeet
acupuncture	0.531	0.324	0.549	Akupunktur
acute	0.427	0.652	0.534	akut
acutely	0.417	0.543	0.491	akut
ad	0.521	0.705	0.558	ad
adage	0.517	0.415	0.566	adage
adamant	0.344	0.529	0.575	ustrengend
adapt	0.740	0.355	0.551	adaptéieren
adaptable	0.735	0.423	0.641	adaptéierbar
adaptation	0.663	0.365	0.609	Adaptatioun
add	0.728	0.490	0.554	dobäizemaachen
added	0.562	0.405	0.509	dobäi
addendum	0.392	0.370	0.418	addendum
adder	0.388	0.461	0.588	adder
addict	0.075	0.696	0.327	süchteg
addicted	0.156	0.712	0.483	süchteg
addiction	0.180	0.806	0.420	Sucht
addictive	0.302	0.683	0.472	Suchtfaktor
addition	0.562	0.373	0.471	Zousätzlech
additional	0.673	0.462	0.526	zousätzlech
additive	0.561	0.633	0.691	additiv
address	0.650	0.327	0.567	Adress
addressee	0.622	0.382	0.538	adresséiert
addresses	0.510	0.354	0.450	Adressen
adept	0.594	0.539	0.789	adept
adequacy	0.615	0.435	0.702	Adequatitéit
adequate	0.854	0.264	0.705	adäquate
adhere	0.633	0.339	0.554	hänken
adherence	0.760	0.307	0.630	Anhale
adherent	0.561	0.385	0.555	adherent
adhering	0.612	0.561	0.537	anhalen
adhesion	0.521	0.445	0.586	Haftung
adhesive	0.604	0.350	0.413	Klebstoff
adieu	0.250	0.471	0.342	adieu
adipose	0.333	0.350	0.391	adipose
adjacency	0.365	0.417	0.375	adjacency
adjacent	0.645	0.276	0.536	ugrenzend
adjective	0.570	0.316	0.569	Adjektiv
adjoining	0.520	0.400	0.393	ugrenzend
adjourn	0.385	0.456	0.475	ajouréieren
adjournment	0.438	0.510	0.370	ajournement
adjudicate	0.559	0.520	0.683	beurteelen
adjudication	0.551	0.462	0.691	Uerteel
adjunct	0.459	0.440	0.426	adjunct
adjust	0.647	0.327	0.638	ajustéieren
adjuster	0.510	0.540	0.760	Upasser
adjustment	0.590	0.520	0.661	Upassung
adjuvant	0.510	0.500	0.456	adjuvant
admin	0.688	0.420	0.854	admin
administer	0.635	0.425	0.860	verwalten
administration	0.625	0.404	0.786	Verwaltung
administrative	0.542	0.415	0.579	administrativ
administrator	0.538	0.480	0.902	Administrateur
admirable	0.929	0.600	0.870	bewonneren
admiral	0.844	0.490	0.847	admiral
admiralty	0.594	0.547	0.733	admiralitéit
admiration	0.969	0.583	0.726	Bewonnerung
admire	0.867	0.692	0.704	bewonneren
admired	0.917	0.560	0.815	bewonnert
admirer	0.796	0.720	0.650	bewonneren
admiring	0.867	0.578	0.629	bewonneren
admissibility	0.802	0.580	0.602	zougänglech
admissible	0.780	0.528	0.642	zulässlech
admission	0.802	0.415	0.732	Entrée
admit	0.538	0.423	0.667	zouginn
admittance	0.690	0.451	0.598	Entrée
admitted	0.720	0.490	0.767	zouginn
admitting	0.620	0.500	0.546	zouginn
admixture	0.450	0.375	0.438	Zousatz
admonition	0.357	0.606	0.455	Vermanung
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	Jugendlecher
adolescent	0.781	0.680	0.509	adolescent
adopt	0.694	0.612	0.701	adoptéieren
adoption	0.625	0.566	0.589	Adoptioun
adoptive	0.531	0.469	0.520	adoptiv
adorable	0.969	0.519	0.457	séiss
adoration	0.885	0.699	0.708	adoration
adore	0.854	0.438	0.657	bewonneren
adoring	0.885	0.620	0.717	bewonneren
adorn	0.910	0.424	0.482	verschéineren
adornment	0.918	0.373	0.377	Dekoratioun
adrenalin	0.865	0.920	0.786	adrenalin
adrenaline	0.765	0.965	0.825	adrenalin
adrift	0.398	0.486	0.230	oflafen
adult	0.815	0.491	0.787	erwuessener
adulterated	0.188	0.865	0.370	erwuessene
adulterer	0.229	0.814	0.407	Erwuessener
adultery	0.120	0.922	0.510	Erhuelung
adulthood	0.541	0.454	0.652	erwuessener
advance	0.673	0.472	0.858	viraus
advanced	0.844	0.623	0.797	fortgeschratt
advancement	0.776	0.650	0.839	Fortschrëtt
advancing	0.929	0.608	0.812	virugoen
advantage	0.917	0.548	0.859	Virdeel
advantageous	0.837	0.640	0.789	avantagéis
advent	0.665	0.560	0.627	Advent
adventure	0.917	0.857	0.710	Erliefnes
adventurer	0.781	0.839	0.868	Abenteuer
adventures	0.812	0.764	0.749	Abenteuer
adventurous	0.969	0.898	0.722	abenteuerlech
adversary	0.349	0.777	0.457	Géigner
adverse	0.323	0.610	0.385	negativ
adversity	0.276	0.760	0.538	Néierlag
advertise	0.500	0.529	0.580	annoncéieren
advertisement	0.600	0.566	0.539	Annonce
advertising	0.622	0.608	0.632	Reklammen
adverts	0.551	0.500	0.595	Annoncen
advice	0.698	0.408	0.688	Rotschléi
advisable	0.867	0.480	0.510	beroden
advise	0.760	0.393	0.705	beroden
advised	0.823	0.330	0.509	beroden
advisement	0.698	0.235	0.655	beroden
adviser	0.745	0.362	0.705	Beroder
advisor	0.646	0.350	0.689	Beroder
advisory	0.656	0.429	0.633	berodend
advocacy	0.500	0.646	0.731	Plädoyer
advocate	0.551	0.530	0.818	Affekot
aegis	0.490	0.439	0.462	aegis
aeration	0.550	0.500	0.433	Belëftung
aerial	0.615	0.461	0.463	Loftopklärung
aerobics	0.708	0.771	0.627	aerobic
aerodrome	0.541	0.740	0.678	Fluchhafen
aerodynamic	0.561	0.724	0.728	aerodynamesch
aerodynamics	0.590	0.663	0.722	Aerodynamik
aeronautics	0.551	0.633	0.688	Loftfaart
aeroplane	0.714	0.642	0.644	Fliger
aerospace	0.643	0.520	0.779	Loftfaart
aesthetic	0.708	0.442	0.526	ästhetesch
aesthetics	0.847	0.327	0.549	Ästhetik
aetiology	0.480	0.398	0.615	ätiologie
afar	0.396	0.373	0.358	wäit ewech
affable	0.704	0.380	0.452	affektabel
affair	0.520	0.459	0.657	Affär
affect	0.458	0.569	0.578	beaflossen
affecting	0.350	0.574	0.394	beaflosst
affection	0.898	0.559	0.696	Häerzen verbonnen
affectionate	0.949	0.422	0.550	häerzlech
affections	0.760	0.547	0.655	Häerzen verbonnen
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	affidavit
affiliated	0.673	0.519	0.535	verbonnen
affiliation	0.615	0.594	0.500	Associatioun
affinity	0.800	0.500	0.537	Affinitéit
affirm	0.745	0.509	0.731	affirméieren
affirmation	0.750	0.500	0.689	affirmatioun
affirmative	0.854	0.589	0.816	affirméieren
affirmatively	0.908	0.500	0.811	affirméierend
affix	0.438	0.335	0.411	affixen
afflict	0.302	0.555	0.293	affektéieren
afflicted	0.271	0.500	0.167	betraff
affliction	0.294	0.635	0.392	Leed
affluence	0.663	0.618	0.722	Räichtum
affluent	0.756	0.388	0.477	räich
afford	0.571	0.580	0.575	leeschten
affordable	0.840	0.398	0.493	bezuelbar
affront	0.327	0.740	0.547	Affront
affronted	0.385	0.750	0.527	affrontéiert
afield	0.594	0.370	0.373	ewech
afire	0.367	0.904	0.675	feieren
afloat	0.602	0.427	0.444	fléien
afore	0.500	0.337	0.382	virun
aforementioned	0.490	0.316	0.408	virdrun ernimmt
aforesaid	0.531	0.358	0.478	virdru gesot
afraid	0.010	0.775	0.245	Angscht
afresh	0.643	0.521	0.480	nei
aft	0.480	0.417	0.518	aft
afterlife	0.571	0.567	0.568	nom Liewen
aftermath	0.312	0.449	0.444	no
afternoon	0.533	0.388	0.339	Mëtteg
aftershave	0.406	0.384	0.415	aftershave
aftertaste	0.354	0.362	0.455	Nogeschmaach
afterthought	0.396	0.392	0.349	nodenken
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	agate
age	0.561	0.226	0.498	Alter
aged	0.135	0.365	0.236	alen
agency	0.460	0.296	0.583	Agence
agenda	0.531	0.296	0.553	Agenda
agent	0.480	0.439	0.755	Agent
agglomeration	0.450	0.765	0.509	Agglomeratioun
aggravate	0.224	0.770	0.464	verschäerfen
aggravated	0.079	0.760	0.430	verschäerft
aggravates	0.108	0.778	0.357	verschäerft
aggravating	0.257	0.794	0.640	verschlechtert
aggravation	0.071	0.784	0.613	Verschlechterung
aggregate	0.730	0.378	0.556	aggregéiert
aggregation	0.583	0.517	0.694	Aggregatioun
aggresive	0.059	0.971	0.639	aggressiv
aggression	0.094	0.929	0.533	Agressioun
aggressive	0.125	0.949	0.648	aggressiv
aggressively	0.250	0.926	0.688	aggressiv
aggressiveness	0.077	0.913	0.648	aggressivitéit
aggressor	0.146	0.948	0.823	agressor
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	entsat
aghhh	0.281	0.635	0.243	aachhh
agile	0.800	0.657	0.775	agile
agility	0.720	0.702	0.815	Beweeglechkeet
aging	0.214	0.255	0.284	alternd
agitate	0.300	0.796	0.593	agitéieren
agitated	0.444	0.882	0.491	agitéiert
agitation	0.240	0.931	0.447	agitation
aglow	0.780	0.510	0.797	glänzend
agnostic	0.306	0.396	0.574	agnostiker
ago	0.317	0.280	0.404	ago
agonizing	0.083	0.800	0.340	agonéierend
agony	0.083	0.775	0.393	agoy
agoraphobia	0.127	0.712	0.438	agoraphobie
agree	0.906	0.260	0.545	averstanen
agreeable	0.906	0.500	0.696	agreabel
agreed	0.797	0.449	0.574	ausgemaach
agreeing	0.854	0.480	0.557	averstanen
agreement	0.760	0.440	0.736	Accord
agressive	0.083	0.918	0.751	aggressiv
agricultural	0.686	0.321	0.473	landwirtschaftlech
agriculture	0.640	0.357	0.465	Landwirtschaft
aground	0.333	0.340	0.445	agrond
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	viraus
ahhh	0.562	0.517	0.241	aahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhh
ahoy	0.500	0.497	0.380	ahjo
aid	0.796	0.491	0.541	Hëllef
aide	0.724	0.342	0.434	Hëllef
aiding	0.643	0.533	0.569	hëllefen
aids	0.561	0.480	0.500	Hëllefsmëttel
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	krank
ailment	0.146	0.734	0.277	Krankheet
aim	0.481	0.569	0.567	zielen
aimless	0.150	0.267	0.183	Zillos
air	0.708	0.163	0.427	loft
airbag	0.510	0.402	0.433	airbag
airborne	0.542	0.519	0.385	airborne
aircraft	0.646	0.644	0.691	Fliger
aircraft carrier	0.490	0.740	0.727	Fligerdréier
airfield	0.601	0.650	0.645	Fluchhafen
airhead	0.271	0.481	0.276	airhead
airlift	0.573	0.622	0.642	Loftlift
airline	0.650	0.482	0.688	Fluchgesellschaft
airliner	0.667	0.777	0.647	Fliger
airlock	0.398	0.520	0.447	Loftschloss
airman	0.587	0.716	0.721	Fliger
airplane	0.719	0.702	0.708	Fliger
airport	0.729	0.684	0.682	Flughafen
airs	0.583	0.196	0.370	loft
airship	0.542	0.472	0.529	Loftschëff
airspace	0.562	0.510	0.640	Loftraum
airspeed	0.583	0.780	0.544	Loftgeschwindegkeet
airstrip	0.550	0.690	0.649	Fluchhafen
airtight	0.479	0.381	0.570	loftdicht
airway	0.638	0.585	0.482	Airway
aisle	0.438	0.222	0.283	gang
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	ajar
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	ähnlech
alabaster	0.542	0.404	0.445	albaster
alarm	0.241	0.882	0.698	Alarm
alarm clock	0.542	0.727	0.642	Wecker
alarmed	0.188	0.822	0.492	alarméiert
alarming	0.204	0.890	0.585	alarméierend
alas	0.571	0.310	0.279	ach
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatross
albino	0.500	0.240	0.358	albino
album	0.635	0.349	0.453	Album
alchemy	0.541	0.583	0.693	alchimie
alcohol	0.323	0.667	0.377	alkohol
alcoholic	0.153	0.688	0.361	alkoholesch
alcoholism	0.061	0.779	0.407	Alkoholismus
alcove	0.490	0.340	0.356	alkove
alderman	0.550	0.459	0.691	Schäfferot
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	alert
alertness	0.375	0.875	0.750	alertheet
alerts	0.337	0.804	0.673	Alarmer
alfalfa	0.546	0.250	0.311	alfalfa
algebra	0.440	0.340	0.565	algebra
algebraic	0.531	0.412	0.441	algebraesch
algorithm	0.448	0.394	0.559	Algorithmus
alias	0.541	0.353	0.333	alias
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	auslännesch
alienate	0.247	0.500	0.523	alienéieren
alienated	0.410	0.423	0.559	alien
alienation	0.378	0.530	0.462	Auslännerung
alight	0.667	0.657	0.605	opgoen
align	0.656	0.364	0.627	ausriichten
aligned	0.583	0.275	0.553	ausgeriicht
alignment	0.643	0.412	0.683	Ausrichtung
alike	0.653	0.173	0.444	gläich
alimentation	0.781	0.551	0.602	alimentatioun
alimony	0.612	0.477	0.464	Ënnerhaltgeld
aliquot	0.440	0.310	0.404	aliquot
alive	0.816	0.637	0.731	lieweg
alkali	0.490	0.350	0.408	alkalesch
alkaloids	0.433	0.562	0.402	Alkaloiden
allay	0.417	0.406	0.398	alley
allegation	0.578	0.578	0.608	Uklo
allege	0.418	0.482	0.587	behaapten
alleged	0.365	0.522	0.520	behaapt
allegiance	0.917	0.398	0.750	trei
allegorical	0.517	0.558	0.598	allegoresch
allegory	0.615	0.580	0.509	allegorie
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	allergesch
allergy	0.296	0.606	0.389	allergesch
alleviate	0.869	0.270	0.528	erliichteren
alleviation	0.735	0.200	0.491	Erliichterung
alley	0.347	0.500	0.355	Gaass
alleyway	0.357	0.471	0.382	Gaass
alliance	0.696	0.473	0.769	Allianz
allied	0.714	0.245	0.642	alliéierten
alligator	0.354	0.704	0.645	alligator
allocate	0.673	0.462	0.672	verdeelen
allocation	0.604	0.388	0.679	Allocatioun
allot	0.622	0.481	0.616	zouginn
allotment	0.600	0.390	0.640	Allotment
allow	0.698	0.429	0.538	erlaben
allowable	0.698	0.500	0.561	erlaabt
allowance	0.673	0.382	0.591	Zoulag
allowed	0.730	0.360	0.655	erlaabt
alloy	0.583	0.443	0.593	Legierung
allsmiles	0.786	0.528	0.430	allmiles
allure	0.804	0.585	0.686	allure
alluring	0.837	0.745	0.843	verlockend
allusion	0.440	0.308	0.462	allusion
alluvial	0.323	0.490	0.491	alluvial
ally	0.792	0.320	0.688	Alliéierten
almanac	0.688	0.190	0.412	almanach
almighty	0.938	0.874	0.958	allmächteg
almond	0.698	0.183	0.314	Mandel
aloft	0.771	0.373	0.700	aloft
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	alleng
alongside	0.458	0.333	0.347	niewent
aloof	0.189	0.423	0.302	ofgesinn
aloud	0.458	0.713	0.750	haart
alpha	0.708	0.340	0.755	alpha
alphabet	0.562	0.204	0.672	Alphabet
alphabetical	0.537	0.296	0.535	alphabetesch
alpine	0.594	0.337	0.474	alpine
alreadyyyyy	0.592	0.717	0.351	schoyyyy
altar	0.724	0.387	0.635	altar
altar boy	0.434	0.206	0.350	Altor Jong
alter	0.333	0.694	0.654	änneren
alteration	0.167	0.798	0.609	Ännerung
altercation	0.170	0.806	0.500	streiden
altered	0.255	0.765	0.500	geännert
alternate	0.625	0.363	0.589	ofwiesselnd
alternating	0.480	0.494	0.542	ofwiesselnd
alternative	0.628	0.373	0.631	alternativ
altimeter	0.615	0.510	0.580	Héichtmeter
altitude	0.708	0.482	0.736	Héicht
alto	0.656	0.404	0.730	alt
altogether	0.833	0.324	0.644	ganz
aluminum	0.449	0.280	0.434	Aluminium
alumnus	0.633	0.368	0.422	alumnus
alveolar	0.469	0.481	0.367	alveolar
alzheimers	0.194	0.518	0.319	Alzheimer
amalgam	0.438	0.333	0.510	amalgam
amalgamation	0.406	0.470	0.531	Amalgamatioun
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	sammelen
amateur	0.469	0.500	0.409	amateur
amaze	0.896	0.843	0.783	erstaunen
amazed	0.796	0.779	0.533	erstaunt
amazedness	0.827	0.872	0.510	Staunen
amazement	0.750	0.800	0.639	Erstaunung
amazing	0.906	0.837	0.849	erstaunlech
amazingly	0.918	0.765	0.920	erstaunlecherweis
ambassador	0.651	0.529	0.917	Ambassadeur
amber	0.635	0.308	0.369	amber
ambience	0.735	0.356	0.426	Ambiance
ambient	0.625	0.360	0.582	ambient
ambiguity	0.164	0.460	0.370	Ambiguitéit
ambiguous	0.265	0.462	0.358	zweedeiteg
ambit	0.479	0.380	0.386	ambit
ambition	0.510	0.804	0.661	Ambitioun
ambitious	0.484	0.821	0.717	ambitiéis
ambivalent	0.510	0.404	0.482	ambivalent
ambrosia	0.571	0.452	0.480	ambrosia
ambulance	0.500	0.750	0.609	Ambulanz
ambush	0.281	0.830	0.500	ambush
ameliorate	0.770	0.548	0.747	verbesseren
amen	0.781	0.182	0.542	amen
amenable	0.448	0.410	0.406	aménagéierten
amend	0.688	0.406	0.658	änneren
amendment	0.531	0.459	0.606	Ännerung
amends	0.640	0.366	0.517	amendéiert
amenity	0.750	0.327	0.574	Komfort
amethyst	0.622	0.406	0.517	amethyst
amiable	0.847	0.290	0.483	frëndlech
amicable	0.875	0.330	0.507	frëndlech
amid	0.510	0.340	0.256	an der Mëtt
amidst	0.480	0.330	0.316	an der Mëtt
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	munitioun
ammonia	0.292	0.587	0.409	ammoniak
ammonium	0.354	0.396	0.368	ammonium
ammunition	0.338	0.635	0.667	Munitioun
amnesia	0.296	0.330	0.308	Amnesie
amnesty	0.551	0.451	0.814	Amnestie
amorous	0.844	0.670	0.636	amoréis
amorphous	0.327	0.402	0.349	amorph
amortization	0.592	0.491	0.522	amortization
amount	0.562	0.422	0.649	Betrag
amour	0.865	0.480	0.652	amour
amp	0.439	0.393	0.375	amp
ampersand	0.480	0.448	0.483	ampersand
amphetamines	0.133	0.667	0.526	amphetamines
amphibian	0.427	0.357	0.474	Amphibien
amphibious	0.479	0.346	0.445	Amphibien
amphitheater	0.653	0.480	0.545	amphitheater
ample	0.744	0.349	0.719	genuch
amplification	0.690	0.677	0.810	amplification
amplify	0.677	0.735	0.827	verstäerken
amplitude	0.694	0.439	0.692	amplitude
amply	0.781	0.431	0.766	räich
amputate	0.092	0.660	0.509	amputéieren
amputation	0.100	0.755	0.483	amputatioun
amuck	0.385	0.602	0.321	amuck
amulet	0.781	0.260	0.630	amulett
amuse	0.812	0.684	0.664	ameséieren
amused	0.942	0.847	0.596	amuséiert
amusement	0.929	0.837	0.803	Amusement
amusing	0.960	0.829	0.632	lëschteg
ana	0.541	0.300	0.314	ana
anaconda	0.146	0.830	0.540	anakonda
anaesthesia	0.350	0.217	0.473	Anästhesie
anaesthetic	0.449	0.268	0.509	Anästhesie
anagram	0.552	0.327	0.449	anagram
anal	0.333	0.798	0.334	anal
analgesic	0.417	0.321	0.441	analgesic
analogous	0.531	0.270	0.500	analog
analogue	0.570	0.320	0.446	analog
analogy	0.510	0.367	0.509	Analogie
analysis	0.729	0.448	0.705	Analyse
analyst	0.604	0.415	0.755	Analyst
