English Word	Valence	Arousal	Dominance	Romanian Word
acoustics	0.611	0.330	0.509	acustică
acquaint	0.646	0.491	0.639	cunoaște
acquaintance	0.656	0.290	0.670	cunoștință
acquainted	0.906	0.358	0.632	cunoscut
acquiescence	0.542	0.480	0.554	încuviințare
acquire	0.833	0.468	0.700	dobândi
acquiring	0.735	0.510	0.817	dobândind
acquisition	0.698	0.509	0.736	achiziţie
acquisitions	0.773	0.660	0.790	achizitii
acquit	0.583	0.571	0.611	achita
acquittal	0.760	0.497	0.700	achitare
acre	0.583	0.387	0.423	acru
acreage	0.741	0.450	0.528	suprafata
acres	0.510	0.363	0.500	acri
acrobat	0.708	0.828	0.602	acrobat
acrylic	0.582	0.279	0.420	acril
act	0.656	0.704	0.735	act
acting	0.698	0.643	0.500	actorie
action	0.760	0.898	0.802	acțiune
action figure	0.615	0.774	0.611	figură de acțiune
actionable	0.673	0.702	0.613	acționabilă
activate	0.764	0.650	0.806	Activati
activation	0.781	0.800	0.754	activare
active	0.847	0.730	0.731	activ
activist	0.531	0.653	0.877	activist
activity	0.701	0.660	0.807	activitate
actor	0.653	0.561	0.629	actor
actress	0.633	0.556	0.596	actriţă
actual	0.729	0.400	0.716	real
actuality	0.750	0.464	0.600	actualitatea
actuary	0.510	0.404	0.491	actuar
acuity	0.469	0.378	0.741	acuitate
acumen	0.564	0.660	0.679	pătrundere
acupuncture	0.531	0.324	0.549	acupunctura
acute	0.427	0.652	0.534	acut
acutely	0.417	0.543	0.491	acut
ad	0.521	0.705	0.558	anunț
adage	0.517	0.415	0.566	zicală
adamant	0.344	0.529	0.575	neclintit
adapt	0.740	0.355	0.551	adapta
adaptable	0.735	0.423	0.641	adaptabil
adaptation	0.663	0.365	0.609	adaptare
add	0.728	0.490	0.554	adăuga
added	0.562	0.405	0.509	adăugat
addendum	0.392	0.370	0.418	addendum
adder	0.388	0.461	0.588	sumator
addict	0.075	0.696	0.327	dependent
addicted	0.156	0.712	0.483	dependent
addiction	0.180	0.806	0.420	dependenta
addictive	0.302	0.683	0.472	creează dependență
addition	0.562	0.373	0.471	plus
additional	0.673	0.462	0.526	adiţional
additive	0.561	0.633	0.691	aditiv
address	0.650	0.327	0.567	abordare
addressee	0.622	0.382	0.538	destinatar
addresses	0.510	0.354	0.450	adrese
adept	0.594	0.539	0.789	adept
adequacy	0.615	0.435	0.702	adecvarea
adequate	0.854	0.264	0.705	adecvat
adhere	0.633	0.339	0.554	adera
adherence	0.760	0.307	0.630	aderenta
adherent	0.561	0.385	0.555	aderent
adhering	0.612	0.561	0.537	aderare
adhesion	0.521	0.445	0.586	adeziune
adhesive	0.604	0.350	0.413	adeziv
adieu	0.250	0.471	0.342	Adio
adipose	0.333	0.350	0.391	adipos
adjacency	0.365	0.417	0.375	adiacenta
adjacent	0.645	0.276	0.536	adiacent
adjective	0.570	0.316	0.569	adjectiv
adjoining	0.520	0.400	0.393	alăturat
adjourn	0.385	0.456	0.475	amână
adjournment	0.438	0.510	0.370	amânare
adjudicate	0.559	0.520	0.683	judeca
adjudication	0.551	0.462	0.691	adjudecare
adjunct	0.459	0.440	0.426	adjunct
adjust	0.647	0.327	0.638	regla
adjuster	0.510	0.540	0.760	reglator
adjustment	0.590	0.520	0.661	ajustare
adjuvant	0.510	0.500	0.456	adjuvant
admin	0.688	0.420	0.854	admin
administer	0.635	0.425	0.860	administra
administration	0.625	0.404	0.786	administrare
administrative	0.542	0.415	0.579	administrativ
administrator	0.538	0.480	0.902	administrator
admirable	0.929	0.600	0.870	admirabil
admiral	0.844	0.490	0.847	amiral
admiralty	0.594	0.547	0.733	amiralitate
admiration	0.969	0.583	0.726	admirație
admire	0.867	0.692	0.704	admira
admired	0.917	0.560	0.815	admirat
admirer	0.796	0.720	0.650	admirator
admiring	0.867	0.578	0.629	admirând
admissibility	0.802	0.580	0.602	admisibilitate
admissible	0.780	0.528	0.642	admisibilă
admission	0.802	0.415	0.732	admitere
admit	0.538	0.423	0.667	admite
admittance	0.690	0.451	0.598	admitere
admitted	0.720	0.490	0.767	admis
admitting	0.620	0.500	0.546	admitând
admixture	0.450	0.375	0.438	amestec
admonition	0.357	0.606	0.455	avertizare
ado	0.520	0.423	0.385	zgomot
adobe	0.500	0.319	0.328	chirpici
adolescence	0.487	0.694	0.444	adolescent
adolescent	0.781	0.680	0.509	adolescent
adopt	0.694	0.612	0.701	adopta
adoption	0.625	0.566	0.589	adopţie
adoptive	0.531	0.469	0.520	adoptiv
adorable	0.969	0.519	0.457	adorabil
adoration	0.885	0.699	0.708	adorare
adore	0.854	0.438	0.657	adora
adoring	0.885	0.620	0.717	adorând
adorn	0.910	0.424	0.482	împodobi
adornment	0.918	0.373	0.377	podoabă
adrenalin	0.865	0.920	0.786	adrenalină
adrenaline	0.765	0.965	0.825	adrenalina
adrift	0.398	0.486	0.230	în derivă
adult	0.815	0.491	0.787	adult
adulterated	0.188	0.865	0.370	alterat
adulterer	0.229	0.814	0.407	adulter
adultery	0.120	0.922	0.510	adulter
adulthood	0.541	0.454	0.652	maturitate
advance	0.673	0.472	0.858	avans
advanced	0.844	0.623	0.797	avansat
advancement	0.776	0.650	0.839	avansare
advancing	0.929	0.608	0.812	înaintând
advantage	0.917	0.548	0.859	avantaj
advantageous	0.837	0.640	0.789	avantajos
advent	0.665	0.560	0.627	venire
adventure	0.917	0.857	0.710	aventură
adventurer	0.781	0.839	0.868	aventurier
adventures	0.812	0.764	0.749	aventuri
adventurous	0.969	0.898	0.722	aventuros
adversary	0.349	0.777	0.457	adversar
adverse	0.323	0.610	0.385	advers
adversity	0.276	0.760	0.538	adversitate
advertise	0.500	0.529	0.580	face publicitate
advertisement	0.600	0.566	0.539	publicitate
advertising	0.622	0.608	0.632	publicitate
adverts	0.551	0.500	0.595	reclame
advice	0.698	0.408	0.688	sfat
advisable	0.867	0.480	0.510	recomandabil
advise	0.760	0.393	0.705	recomanda
advised	0.823	0.330	0.509	sfătuit
advisement	0.698	0.235	0.655	sfat
adviser	0.745	0.362	0.705	consilier
advisor	0.646	0.350	0.689	consilier
advisory	0.656	0.429	0.633	consultativ
advocacy	0.500	0.646	0.731	advocacy
advocate	0.551	0.530	0.818	avocat
aegis	0.490	0.439	0.462	egida
aeration	0.550	0.500	0.433	aerare
aerial	0.615	0.461	0.463	aerian
aerobics	0.708	0.771	0.627	aerobic
aerodrome	0.541	0.740	0.678	aerodrom
aerodynamic	0.561	0.724	0.728	aerodinamic
aerodynamics	0.590	0.663	0.722	aerodinamica
aeronautics	0.551	0.633	0.688	aeronautică
aeroplane	0.714	0.642	0.644	avion
aerospace	0.643	0.520	0.779	aerospațială
aesthetic	0.708	0.442	0.526	estetic
aesthetics	0.847	0.327	0.549	estetică
aetiology	0.480	0.398	0.615	etiologie
afar	0.396	0.373	0.358	departe
affable	0.704	0.380	0.452	afabil
affair	0.520	0.459	0.657	afacere
affect	0.458	0.569	0.578	a afecta
affecting	0.350	0.574	0.394	afectând
affection	0.898	0.559	0.696	afecţiune
affectionate	0.949	0.422	0.550	afectuos
affections	0.760	0.547	0.655	afectiuni
affiche	0.479	0.265	0.402	afiș
affidavit	0.469	0.584	0.526	declarație
affiliated	0.673	0.519	0.535	afiliat
affiliation	0.615	0.594	0.500	afiliere
affinity	0.800	0.500	0.537	afinitate
affirm	0.745	0.509	0.731	afirma
affirmation	0.750	0.500	0.689	afirmare
affirmative	0.854	0.589	0.816	afirmativ
affirmatively	0.908	0.500	0.811	afirmativ
affix	0.438	0.335	0.411	afix
afflict	0.302	0.555	0.293	dezola
afflicted	0.271	0.500	0.167	nenorocit
affliction	0.294	0.635	0.392	suferinta
affluence	0.663	0.618	0.722	bunăstare
affluent	0.756	0.388	0.477	afluent
afford	0.571	0.580	0.575	permite
affordable	0.840	0.398	0.493	accesibil
affront	0.327	0.740	0.547	afront
affronted	0.385	0.750	0.527	jignit
afield	0.594	0.370	0.373	departe
afire	0.367	0.904	0.675	un foc
afloat	0.602	0.427	0.444	plutitoare
afore	0.500	0.337	0.382	înainte
aforementioned	0.490	0.316	0.408	mentionate mai sus
aforesaid	0.531	0.358	0.478	mai sus mentionat
afraid	0.010	0.775	0.245	frică
afresh	0.643	0.521	0.480	din nou
aft	0.480	0.417	0.518	la pupa
afterlife	0.571	0.567	0.568	viata de apoi
aftermath	0.312	0.449	0.444	Urmări
afternoon	0.533	0.388	0.339	dupa amiaza
aftershave	0.406	0.384	0.415	after-shave
aftertaste	0.354	0.362	0.455	gust care persista
afterthought	0.396	0.392	0.349	după gânduri
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	agat
age	0.561	0.226	0.498	vârstă
aged	0.135	0.365	0.236	în vârstă
agency	0.460	0.296	0.583	agenţie
agenda	0.531	0.296	0.553	agendă
agent	0.480	0.439	0.755	agent
agglomeration	0.450	0.765	0.509	aglomerare
aggravate	0.224	0.770	0.464	agrava
aggravated	0.079	0.760	0.430	agravat
aggravates	0.108	0.778	0.357	agravează
aggravating	0.257	0.794	0.640	agravante
aggravation	0.071	0.784	0.613	agravare
aggregate	0.730	0.378	0.556	agregat
aggregation	0.583	0.517	0.694	agregare
aggresive	0.059	0.971	0.639	agresiv
aggression	0.094	0.929	0.533	agresiune
aggressive	0.125	0.949	0.648	agresiv
aggressively	0.250	0.926	0.688	agresiv
aggressiveness	0.077	0.913	0.648	agresivitate
aggressor	0.146	0.948	0.823	agresor
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	îngrozit
aghhh	0.281	0.635	0.243	aghhh
agile	0.800	0.657	0.775	agil
agility	0.720	0.702	0.815	agilitate
aging	0.214	0.255	0.284	îmbătrânire
agitate	0.300	0.796	0.593	agita
agitated	0.444	0.882	0.491	agitat
agitation	0.240	0.931	0.447	agitaţie
aglow	0.780	0.510	0.797	strălucitor
agnostic	0.306	0.396	0.574	agnostic
ago	0.317	0.280	0.404	în urmă
agonizing	0.083	0.800	0.340	agonizant
agony	0.083	0.775	0.393	agonie
agoraphobia	0.127	0.712	0.438	agorafobie
agree	0.906	0.260	0.545	de acord
agreeable	0.906	0.500	0.696	agreabil
agreed	0.797	0.449	0.574	de acord
agreeing	0.854	0.480	0.557	fiind de acord
agreement	0.760	0.440	0.736	acord
agressive	0.083	0.918	0.751	agresiv
agricultural	0.686	0.321	0.473	agricol
agriculture	0.640	0.357	0.465	agricultură
aground	0.333	0.340	0.445	eşuat
agua	0.598	0.180	0.436	apa
ahead	0.708	0.520	0.673	înainte
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhh
ahoy	0.500	0.497	0.380	ahoy
aid	0.796	0.491	0.541	ajutor
aide	0.724	0.342	0.434	ajutor
aiding	0.643	0.533	0.569	ajutând
aids	0.561	0.480	0.500	ajutoare
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	bolnavă
ailment	0.146	0.734	0.277	boală
aim	0.481	0.569	0.567	scop
aimless	0.150	0.267	0.183	fără rost
air	0.708	0.163	0.427	aer
airbag	0.510	0.402	0.433	airbag
airborne	0.542	0.519	0.385	în aer
aircraft	0.646	0.644	0.691	aeronave
aircraft carrier	0.490	0.740	0.727	portavion
airfield	0.601	0.650	0.645	aerodrom
airhead	0.271	0.481	0.276	cap de aer
airlift	0.573	0.622	0.642	transport aerian
airline	0.650	0.482	0.688	companie aeriană
airliner	0.667	0.777	0.647	avion de pasageri
airlock	0.398	0.520	0.447	ecluză
airman	0.587	0.716	0.721	aviator
airplane	0.719	0.702	0.708	avion
airport	0.729	0.684	0.682	aeroport
airs	0.583	0.196	0.370	aerisire
airship	0.542	0.472	0.529	dirijabil
airspace	0.562	0.510	0.640	spaţiul aerian
airspeed	0.583	0.780	0.544	viteza aerului
airstrip	0.550	0.690	0.649	pista de aterizare
airtight	0.479	0.381	0.570	ermetic
airway	0.638	0.585	0.482	căilor respiratorii
aisle	0.438	0.222	0.283	interval
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	întredeschisă
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	înrudit
alabaster	0.542	0.404	0.445	alabastru
alarm	0.241	0.882	0.698	alarma
alarm clock	0.542	0.727	0.642	ceas deşteptător
alarmed	0.188	0.822	0.492	alarmat
alarming	0.204	0.890	0.585	alarmant
alas	0.571	0.310	0.279	Vai
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatros
albino	0.500	0.240	0.358	albinos
album	0.635	0.349	0.453	album
alchemy	0.541	0.583	0.693	alchimie
alcohol	0.323	0.667	0.377	alcool
alcoholic	0.153	0.688	0.361	alcoolic
alcoholism	0.061	0.779	0.407	alcoolism
alcove	0.490	0.340	0.356	nişă
alderman	0.550	0.459	0.691	consilier municipal
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	alerta
alertness	0.375	0.875	0.750	vigilenţă
alerts	0.337	0.804	0.673	alerte
alfalfa	0.546	0.250	0.311	lucernă
algebra	0.440	0.340	0.565	algebră
algebraic	0.531	0.412	0.441	algebric
algorithm	0.448	0.394	0.559	algoritm
alias	0.541	0.353	0.333	alias
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	străin
alienate	0.247	0.500	0.523	înstrăina
alienated	0.410	0.423	0.559	înstrăinat
alienation	0.378	0.530	0.462	alienare
alight	0.667	0.657	0.605	aprins
align	0.656	0.364	0.627	alinia
aligned	0.583	0.275	0.553	aliniat
alignment	0.643	0.412	0.683	aliniere
alike	0.653	0.173	0.444	deopotrivă
alimentation	0.781	0.551	0.602	alimentatie
alimony	0.612	0.477	0.464	pensie alimentară
aliquot	0.440	0.310	0.404	alicot
alive	0.816	0.637	0.731	în viaţă
alkali	0.490	0.350	0.408	alcaline
alkaloids	0.433	0.562	0.402	alcaloizi
allay	0.417	0.406	0.398	alina
allegation	0.578	0.578	0.608	afirmaţie
allege	0.418	0.482	0.587	pretind
alleged	0.365	0.522	0.520	pretins
allegiance	0.917	0.398	0.750	loialitate
allegorical	0.517	0.558	0.598	alegoric
allegory	0.615	0.580	0.509	alegorie
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	alergic
allergy	0.296	0.606	0.389	alergie
alleviate	0.869	0.270	0.528	atenua
alleviation	0.735	0.200	0.491	atenuare
alley	0.347	0.500	0.355	alee
alleyway	0.357	0.471	0.382	aleea
alliance	0.696	0.473	0.769	alianţă
allied	0.714	0.245	0.642	aliat
alligator	0.354	0.704	0.645	aligator
allocate	0.673	0.462	0.672	aloca
allocation	0.604	0.388	0.679	alocare
allot	0.622	0.481	0.616	aloca
allotment	0.600	0.390	0.640	alocare
allow	0.698	0.429	0.538	permite
allowable	0.698	0.500	0.561	admisibil
allowance	0.673	0.382	0.591	indemnizatie
allowed	0.730	0.360	0.655	permis
alloy	0.583	0.443	0.593	aliaj
allsmiles	0.786	0.528	0.430	toate zâmbesc
allure	0.804	0.585	0.686	alura
alluring	0.837	0.745	0.843	ademenitor
allusion	0.440	0.308	0.462	aluzie
alluvial	0.323	0.490	0.491	aluvionare
ally	0.792	0.320	0.688	aliat
almanac	0.688	0.190	0.412	almanah
almighty	0.938	0.874	0.958	atotputernic
almond	0.698	0.183	0.314	migdale
aloft	0.771	0.373	0.700	în aer
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	singur
alongside	0.458	0.333	0.347	pe langa
aloof	0.189	0.423	0.302	departe
aloud	0.458	0.713	0.750	cu voce tare
alpha	0.708	0.340	0.755	alfa
alphabet	0.562	0.204	0.672	alfabet
alphabetical	0.537	0.296	0.535	alfabetic
alpine	0.594	0.337	0.474	alpin
alreadyyyyy	0.592	0.717	0.351	dejaaaaa
altar	0.724	0.387	0.635	altar
altar boy	0.434	0.206	0.350	baiat de altar
alter	0.333	0.694	0.654	modifica
alteration	0.167	0.798	0.609	modificare
altercation	0.170	0.806	0.500	altercaţie
altered	0.255	0.765	0.500	alterat
alternate	0.625	0.363	0.589	alterna
alternating	0.480	0.494	0.542	alternativ
alternative	0.628	0.373	0.631	alternativă
altimeter	0.615	0.510	0.580	altimetru
altitude	0.708	0.482	0.736	altitudine
alto	0.656	0.404	0.730	alto
altogether	0.833	0.324	0.644	cu totul
aluminum	0.449	0.280	0.434	aluminiu
alumnus	0.633	0.368	0.422	absolvent
alveolar	0.469	0.481	0.367	alveolar
alzheimers	0.194	0.518	0.319	Alzheimer
amalgam	0.438	0.333	0.510	amalgam
amalgamation	0.406	0.470	0.531	amalgamare
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	aduna
amateur	0.469	0.500	0.409	amator
amaze	0.896	0.843	0.783	uimi
amazed	0.796	0.779	0.533	uimit
amazedness	0.827	0.872	0.510	uimirea
amazement	0.750	0.800	0.639	uimire
amazing	0.906	0.837	0.849	uimitor
amazingly	0.918	0.765	0.920	uimitor
ambassador	0.651	0.529	0.917	ambasador
amber	0.635	0.308	0.369	chihlimbar
ambience	0.735	0.356	0.426	ambianta
ambient	0.625	0.360	0.582	înconjurător
ambiguity	0.164	0.460	0.370	ambiguitate
ambiguous	0.265	0.462	0.358	ambiguu
ambit	0.479	0.380	0.386	ambit
ambition	0.510	0.804	0.661	ambiţie
ambitious	0.484	0.821	0.717	ambiţios
ambivalent	0.510	0.404	0.482	ambivalent
ambrosia	0.571	0.452	0.480	ambrozie
ambulance	0.500	0.750	0.609	ambulanță
ambush	0.281	0.830	0.500	ambuscadă
ameliorate	0.770	0.548	0.747	ameliora
amen	0.781	0.182	0.542	Amin
amenable	0.448	0.410	0.406	susceptibil
amend	0.688	0.406	0.658	modifica
amendment	0.531	0.459	0.606	amendament
amends	0.640	0.366	0.517	amendeaza
amenity	0.750	0.327	0.574	amenitate
amethyst	0.622	0.406	0.517	ametist
amiable	0.847	0.290	0.483	amabil
amicable	0.875	0.330	0.507	amiabil
amid	0.510	0.340	0.256	în mijlocul
amidst	0.480	0.330	0.316	în mijlocul
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	muniție
ammonia	0.292	0.587	0.409	amoniac
ammonium	0.354	0.396	0.368	amoniu
ammunition	0.338	0.635	0.667	muniţie
amnesia	0.296	0.330	0.308	amnezie
amnesty	0.551	0.451	0.814	amnistia
amorous	0.844	0.670	0.636	amoros
amorphous	0.327	0.402	0.349	amorf
amortization	0.592	0.491	0.522	amortizare
amount	0.562	0.422	0.649	Cantitate
amour	0.865	0.480	0.652	amour
amp	0.439	0.393	0.375	amp
ampersand	0.480	0.448	0.483	ampersand
amphetamines	0.133	0.667	0.526	amfetaminele
amphibian	0.427	0.357	0.474	amfibiu
amphibious	0.479	0.346	0.445	amfibiu
amphitheater	0.653	0.480	0.545	amfiteatru
ample	0.744	0.349	0.719	amplu
amplification	0.690	0.677	0.810	amplificare
amplify	0.677	0.735	0.827	amplifica
amplitude	0.694	0.439	0.692	amplitudine
amply	0.781	0.431	0.766	amplu
amputate	0.092	0.660	0.509	amputate
amputation	0.100	0.755	0.483	amputare
amuck	0.385	0.602	0.321	la naiba
amulet	0.781	0.260	0.630	amuletă
amuse	0.812	0.684	0.664	amuza
amused	0.942	0.847	0.596	amuzat
amusement	0.929	0.837	0.803	amuzament
amusing	0.960	0.829	0.632	amuzant
ana	0.541	0.300	0.314	ana
anaconda	0.146	0.830	0.540	anaconda
anaesthesia	0.350	0.217	0.473	anestezie
anaesthetic	0.449	0.268	0.509	anestezic
anagram	0.552	0.327	0.449	anagramă
anal	0.333	0.798	0.334	anal
analgesic	0.417	0.321	0.441	analgezic
analogous	0.531	0.270	0.500	analog
analogue	0.570	0.320	0.446	analogic
analogy	0.510	0.367	0.509	analogie
analysis	0.729	0.448	0.705	analiză
analyst	0.604	0.415	0.755	analist
analytic	0.665	0.521	0.634	analitic
analytical	0.625	0.324	0.800	analitic
analyze	0.667	0.462	0.710	a analiza
analyzer	0.625	0.556	0.854	analizor
anaphylactic	0.378	0.588	0.500	anafilactic
anarchism	0.125	0.804	0.623	anarhism
anarchist	0.204	0.700	0.759	anarhist
anarchy	0.146	0.755	0.620	anarhie
anastomosis	0.375	0.470	0.490	anastomoza
anathema	0.286	0.490	0.519	anatema
anatomic	0.562	0.442	0.546	anatomic
anatomy	0.562	0.390	0.571	anatomie
ancestor	0.592	0.388	0.594	strămoş
ancestral	0.640	0.481	0.750	ancestral
ancestry	0.708	0.519	0.717	origine
anchor	0.520	0.284	0.564	ancoră
anchorage	0.500	0.325	0.639	ancorare
ancient	0.420	0.217	0.439	vechi
ancillary	0.449	0.442	0.278	auxiliar
androgen	0.255	0.523	0.527	androgen
android	0.663	0.436	0.500	android
anecdote	0.583	0.529	0.500	anecdotă
anemia	0.188	0.327	0.310	anemie
anemic	0.167	0.279	0.155	anemic
anemone	0.552	0.538	0.327	anemonă
anesthesia	0.365	0.216	0.394	anestezie
anesthesiologist	0.419	0.224	0.526	anestezist
anesthetic	0.350	0.264	0.482	anestezic
