English Word	Valence	Arousal	Dominance	Maltese Word
acid	0.265	0.642	0.566	aċidu
acidity	0.156	0.663	0.360	aċidità
acknowledge	0.786	0.370	0.661	jirrikonoxxi
acknowledged	0.714	0.443	0.765	rikonoxxuti
acknowledgement	0.819	0.539	0.830	rikonoxximent
acknowledgment	0.796	0.528	0.777	rikonoxximent
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	akne
acorn	0.448	0.198	0.192	ġandar
acoustic	0.542	0.462	0.536	akustiku
acoustics	0.611	0.330	0.509	akustika
acquaint	0.646	0.491	0.639	jiffamiljarizzaw
acquaintance	0.656	0.290	0.670	konoxxenza
acquainted	0.906	0.358	0.632	familjari
acquiescence	0.542	0.480	0.554	kunsens
acquire	0.833	0.468	0.700	jakkwistaw
acquiring	0.735	0.510	0.817	akkwist
acquisition	0.698	0.509	0.736	akkwist
acquisitions	0.773	0.660	0.790	akkwisti
acquit	0.583	0.571	0.611	illibera
acquittal	0.760	0.497	0.700	liberazzjoni
acre	0.583	0.387	0.423	acre
acreage	0.741	0.450	0.528	qisien
acres	0.510	0.363	0.500	acres
acrobat	0.708	0.828	0.602	akrobat
acrylic	0.582	0.279	0.420	akriliku
act	0.656	0.704	0.735	att
acting	0.698	0.643	0.500	jaġixxi
action	0.760	0.898	0.802	azzjoni
action figure	0.615	0.774	0.611	figura ta' azzjoni
actionable	0.673	0.702	0.613	azzjonabbli
activate	0.764	0.650	0.806	jattiva
activation	0.781	0.800	0.754	attivazzjoni
active	0.847	0.730	0.731	attiv
activist	0.531	0.653	0.877	attivist
activity	0.701	0.660	0.807	attività
actor	0.653	0.561	0.629	attur
actress	0.633	0.556	0.596	attriċi
actual	0.729	0.400	0.716	attwali
actuality	0.750	0.464	0.600	attwalità
actuary	0.510	0.404	0.491	attwarju
acuity	0.469	0.378	0.741	akutezza
acumen	0.564	0.660	0.679	dehen
acupuncture	0.531	0.324	0.549	acupuncture
acute	0.427	0.652	0.534	akuta
acutely	0.417	0.543	0.491	b'mod akut
ad	0.521	0.705	0.558	ad
adage	0.517	0.415	0.566	qawl
adamant	0.344	0.529	0.575	sod
adapt	0.740	0.355	0.551	tadatta
adaptable	0.735	0.423	0.641	adattabbli
adaptation	0.663	0.365	0.609	adattament
add	0.728	0.490	0.554	żid
added	0.562	0.405	0.509	miżjud
addendum	0.392	0.370	0.418	addendum
adder	0.388	0.461	0.588	adder
addict	0.075	0.696	0.327	vizzju
addicted	0.156	0.712	0.483	vizzju
addiction	0.180	0.806	0.420	vizzju
addictive	0.302	0.683	0.472	vizzju
addition	0.562	0.373	0.471	żieda
additional	0.673	0.462	0.526	addizzjonali
additive	0.561	0.633	0.691	addittiv
address	0.650	0.327	0.567	indirizz
addressee	0.622	0.382	0.538	destinatarju
addresses	0.510	0.354	0.450	indirizzi
adept	0.594	0.539	0.789	adept
adequacy	0.615	0.435	0.702	adegwatezza
adequate	0.854	0.264	0.705	adegwata
adhere	0.633	0.339	0.554	jaderixxu
adherence	0.760	0.307	0.630	aderenza
adherent	0.561	0.385	0.555	aderenti
adhering	0.612	0.561	0.537	li jeħel
adhesion	0.521	0.445	0.586	adeżjoni
adhesive	0.604	0.350	0.413	kolla
adieu	0.250	0.471	0.342	adieu
adipose	0.333	0.350	0.391	xaħmi
adjacency	0.365	0.417	0.375	ħdejn xulxin
adjacent	0.645	0.276	0.536	biswit
adjective	0.570	0.316	0.569	aġġettiv
adjoining	0.520	0.400	0.393	kontigwi
adjourn	0.385	0.456	0.475	jaġġorna
adjournment	0.438	0.510	0.370	aġġornament
adjudicate	0.559	0.520	0.683	jaġġudika
adjudication	0.551	0.462	0.691	ġudizzju
adjunct	0.459	0.440	0.426	aġġunt
adjust	0.647	0.327	0.638	aġġusta
adjuster	0.510	0.540	0.760	aġġustatur
adjustment	0.590	0.520	0.661	aġġustament
adjuvant	0.510	0.500	0.456	adjuvant
admin	0.688	0.420	0.854	admin
administer	0.635	0.425	0.860	jamministra
administration	0.625	0.404	0.786	amministrazzjoni
administrative	0.542	0.415	0.579	amministrattiva
administrator	0.538	0.480	0.902	amministratur
admirable	0.929	0.600	0.870	ammirevoli
admiral	0.844	0.490	0.847	ammirall
admiralty	0.594	0.547	0.733	ammiraljat
admiration	0.969	0.583	0.726	ammirazzjoni
admire	0.867	0.692	0.704	jammiraw
admired	0.917	0.560	0.815	ammirajt
admirer	0.796	0.720	0.650	ammiratur
admiring	0.867	0.578	0.629	jammiraw
admissibility	0.802	0.580	0.602	l-ammissibbiltà
admissible	0.780	0.528	0.642	ammissibbli
admission	0.802	0.415	0.732	ammissjoni
admit	0.538	0.423	0.667	jammetti
admittance	0.690	0.451	0.598	ammissjoni
admitted	0.720	0.490	0.767	ammessi
admitting	0.620	0.500	0.546	ammettiet
admixture	0.450	0.375	0.438	taħlita
admonition	0.357	0.606	0.455	twissija
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	adolexxenza
adolescent	0.781	0.680	0.509	adolexxenti
adopt	0.694	0.612	0.701	jadotta
adoption	0.625	0.566	0.589	adozzjoni
adoptive	0.531	0.469	0.520	adottiv
adorable	0.969	0.519	0.457	adorable
adoration	0.885	0.699	0.708	adorazzjoni
adore	0.854	0.438	0.657	nadura
adoring	0.885	0.620	0.717	jadura
adorn	0.910	0.424	0.482	iżejnu
adornment	0.918	0.373	0.377	tiżjin
adrenalin	0.865	0.920	0.786	adrenalina
adrenaline	0.765	0.965	0.825	adrenalina
adrift	0.398	0.486	0.230	deriva
adult	0.815	0.491	0.787	adult
adulterated	0.188	0.865	0.370	adulterat
adulterer	0.229	0.814	0.407	adulteru
adultery	0.120	0.922	0.510	adulterju
adulthood	0.541	0.454	0.652	maturità
advance	0.673	0.472	0.858	bil-quddiem
advanced	0.844	0.623	0.797	avvanzati
advancement	0.776	0.650	0.839	avvanz
advancing	0.929	0.608	0.812	javvanza
advantage	0.917	0.548	0.859	vantaġġ
advantageous	0.837	0.640	0.789	vantaġġuża
advent	0.665	0.560	0.627	miġja
adventure	0.917	0.857	0.710	avventura
adventurer	0.781	0.839	0.868	avventuru
adventures	0.812	0.764	0.749	avventuri
adventurous	0.969	0.898	0.722	avventuruż
adversary	0.349	0.777	0.457	avversarju
adverse	0.323	0.610	0.385	avvers
adversity	0.276	0.760	0.538	avversità
advertise	0.500	0.529	0.580	jirreklama
advertisement	0.600	0.566	0.539	reklam
advertising	0.622	0.608	0.632	reklamar
adverts	0.551	0.500	0.595	reklami
advice	0.698	0.408	0.688	pariri
advisable	0.867	0.480	0.510	rakkomandabbli
advise	0.760	0.393	0.705	jagħti parir
advised	0.823	0.330	0.509	avżat
advisement	0.698	0.235	0.655	parir
adviser	0.745	0.362	0.705	konsulent
advisor	0.646	0.350	0.689	konsulent
advisory	0.656	0.429	0.633	konsultattiv
advocacy	0.500	0.646	0.731	promozzjoni
advocate	0.551	0.530	0.818	avukat
aegis	0.490	0.439	0.462	aegis
aeration	0.550	0.500	0.433	arjazzjoni
aerial	0.615	0.461	0.463	mill-ajru
aerobics	0.708	0.771	0.627	aerobika
aerodrome	0.541	0.740	0.678	ajrudrom
aerodynamic	0.561	0.724	0.728	aerodinamika
aerodynamics	0.590	0.663	0.722	aerodinamika
aeronautics	0.551	0.633	0.688	ajrunawtika
aeroplane	0.714	0.642	0.644	ajruplan
aerospace	0.643	0.520	0.779	aerospazjali
aesthetic	0.708	0.442	0.526	estetika
aesthetics	0.847	0.327	0.549	estetika
aetiology	0.480	0.398	0.615	etjoloġija
afar	0.396	0.373	0.358	il-bogħod
affable	0.704	0.380	0.452	affable
affair	0.520	0.459	0.657	affari
affect	0.458	0.569	0.578	jaffettwaw
affecting	0.350	0.574	0.394	jaffettwaw
affection	0.898	0.559	0.696	affezzjoni
affectionate	0.949	0.422	0.550	affettiva
affections	0.760	0.547	0.655	affezzjonijiet
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	affidavit
affiliated	0.673	0.519	0.535	affiljati
affiliation	0.615	0.594	0.500	affiljazzjoni
affinity	0.800	0.500	0.537	affinità
affirm	0.745	0.509	0.731	jaffermaw
affirmation	0.750	0.500	0.689	affermazzjoni
affirmative	0.854	0.589	0.816	affermattiv
affirmatively	0.908	0.500	0.811	affermattivament
affix	0.438	0.335	0.411	iwaħħal
afflict	0.302	0.555	0.293	ibati
afflicted	0.271	0.500	0.167	milquta
affliction	0.294	0.635	0.392	afflizzjoni
affluence	0.663	0.618	0.722	ġid
affluent	0.756	0.388	0.477	sinjuri
afford	0.571	0.580	0.575	jaffordjaw
affordable	0.840	0.398	0.493	affordabbli
affront	0.327	0.740	0.547	affront
affronted	0.385	0.750	0.527	affronted
afield	0.594	0.370	0.373	il-bogħod
afire	0.367	0.904	0.675	nar
afloat	0.602	0.427	0.444	fil-wiċċ
afore	0.500	0.337	0.382	qabel
aforementioned	0.490	0.316	0.408	hawn fuq imsemmija
aforesaid	0.531	0.358	0.478	hawn fuq imsemmija
afraid	0.010	0.775	0.245	jibżgħu
afresh	0.643	0.521	0.480	mill-ġdid
aft	0.480	0.417	0.518	poppa
afterlife	0.571	0.567	0.568	wara l-ħajja
aftermath	0.312	0.449	0.444	wara
afternoon	0.533	0.388	0.339	wara nofsinhar
aftershave	0.406	0.384	0.415	aftershave
aftertaste	0.354	0.362	0.455	wara togħma
afterthought	0.396	0.392	0.349	afterthought
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	agate
age	0.561	0.226	0.498	età
aged	0.135	0.365	0.236	età
agency	0.460	0.296	0.583	aġenzija
agenda	0.531	0.296	0.553	aġenda
agent	0.480	0.439	0.755	aġent
agglomeration	0.450	0.765	0.509	agglomerazzjoni
aggravate	0.224	0.770	0.464	taggrava
aggravated	0.079	0.760	0.430	aggravat
aggravates	0.108	0.778	0.357	taggrava
aggravating	0.257	0.794	0.640	aggravanti
aggravation	0.071	0.784	0.613	aggravament
aggregate	0.730	0.378	0.556	aggregat
aggregation	0.583	0.517	0.694	aggregazzjoni
aggresive	0.059	0.971	0.639	aggressiv
aggression	0.094	0.929	0.533	aggressjoni
aggressive	0.125	0.949	0.648	aggressiv
aggressively	0.250	0.926	0.688	b'mod aggressiv
aggressiveness	0.077	0.913	0.648	aggressività
aggressor	0.146	0.948	0.823	aggressur
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	aghast
aghhh	0.281	0.635	0.243	aghhh
agile	0.800	0.657	0.775	b'aġilità
agility	0.720	0.702	0.815	b'aġilità
aging	0.214	0.255	0.284	tixjiħ
agitate	0.300	0.796	0.593	ħawwad
agitated	0.444	0.882	0.491	aġitat
agitation	0.240	0.931	0.447	aġitazzjoni
aglow	0.780	0.510	0.797	tiddi
agnostic	0.306	0.396	0.574	agnostiku
ago	0.317	0.280	0.404	ilu
agonizing	0.083	0.800	0.340	agonizzanti
agony	0.083	0.775	0.393	agunija
agoraphobia	0.127	0.712	0.438	agorafobija
agree	0.906	0.260	0.545	naqbel
agreeable	0.906	0.500	0.696	aċċettabbli
agreed	0.797	0.449	0.574	miftiehem
agreeing	0.854	0.480	0.557	jaqbel
agreement	0.760	0.440	0.736	ftehim
agressive	0.083	0.918	0.751	aggressiv
agricultural	0.686	0.321	0.473	agrikoli
agriculture	0.640	0.357	0.465	agrikoltura
aground	0.333	0.340	0.445	inkaljat
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	quddiem
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhhh
ahoy	0.500	0.497	0.380	ahoy
aid	0.796	0.491	0.541	għajnuna
aide	0.724	0.342	0.434	aide
aiding	0.643	0.533	0.569	għajnuna
aids	0.561	0.480	0.500	għajnuniet
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	marid
ailment	0.146	0.734	0.277	marda
aim	0.481	0.569	0.567	għan
aimless	0.150	0.267	0.183	bla għan
air	0.708	0.163	0.427	arja
airbag	0.510	0.402	0.433	airbag
airborne	0.542	0.519	0.385	fl-ajru
aircraft	0.646	0.644	0.691	ajruplani
aircraft carrier	0.490	0.740	0.727	trasportatur tal-ajruplani
airfield	0.601	0.650	0.645	ajruport
airhead	0.271	0.481	0.276	airhead
airlift	0.573	0.622	0.642	airlift
airline	0.650	0.482	0.688	linja tal-ajru
airliner	0.667	0.777	0.647	ajruplan tal-linja
airlock	0.398	0.520	0.447	airlock
airman	0.587	0.716	0.721	ajruman
airplane	0.719	0.702	0.708	ajruplan
airport	0.729	0.684	0.682	ajruport
airs	0.583	0.196	0.370	arja
airship	0.542	0.472	0.529	airship
airspace	0.562	0.510	0.640	spazju tal-ajru
airspeed	0.583	0.780	0.544	veloċità tal-ajru
airstrip	0.550	0.690	0.649	airstrip
airtight	0.479	0.381	0.570	mitbuq
airway	0.638	0.585	0.482	passaġġ tan-nifs
aisle	0.438	0.222	0.283	korsija
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	ajar
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	simili
alabaster	0.542	0.404	0.445	alabastru
alarm	0.241	0.882	0.698	allarm
alarm clock	0.542	0.727	0.642	arloġġ tal-allarm
alarmed	0.188	0.822	0.492	allarmat
alarming	0.204	0.890	0.585	allarmanti
alas	0.571	0.310	0.279	sfortunatament
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatross
albino	0.500	0.240	0.358	albini
album	0.635	0.349	0.453	album
alchemy	0.541	0.583	0.693	alkimija
alcohol	0.323	0.667	0.377	alkoħol
alcoholic	0.153	0.688	0.361	alkoħoliku
alcoholism	0.061	0.779	0.407	alkoħoliżmu
alcove	0.490	0.340	0.356	alcove
alderman	0.550	0.459	0.691	alderman
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	twissija
alertness	0.375	0.875	0.750	viġilanza
alerts	0.337	0.804	0.673	twissijiet
alfalfa	0.546	0.250	0.311	alfalfa
algebra	0.440	0.340	0.565	alġebra
algebraic	0.531	0.412	0.441	alġebrin
algorithm	0.448	0.394	0.559	algoritmu
alias	0.541	0.353	0.333	alias
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	barrani
alienate	0.247	0.500	0.523	jaljenaw
alienated	0.410	0.423	0.559	aljenati
alienation	0.378	0.530	0.462	aljenazzjoni
alight	0.667	0.657	0.605	jinxtegħel
align	0.656	0.364	0.627	tallinja
aligned	0.583	0.275	0.553	allinjati
alignment	0.643	0.412	0.683	allinjament
alike	0.653	0.173	0.444	bl-istess mod
alimentation	0.781	0.551	0.602	alimentazzjoni
alimony	0.612	0.477	0.464	ikel
aliquot	0.440	0.310	0.404	alikwot
alive	0.816	0.637	0.731	ħaj
alkali	0.490	0.350	0.408	alkali
alkaloids	0.433	0.562	0.402	alkalojdi
allay	0.417	0.406	0.398	ittaffi
allegation	0.578	0.578	0.608	allegazzjoni
allege	0.418	0.482	0.587	jallega
alleged	0.365	0.522	0.520	allegat
allegiance	0.917	0.398	0.750	lealtà
allegorical	0.517	0.558	0.598	allegoriku
allegory	0.615	0.580	0.509	allegorija
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	allerġiku
allergy	0.296	0.606	0.389	allerġija
alleviate	0.869	0.270	0.528	ittaffi
alleviation	0.735	0.200	0.491	itaffija
alley	0.347	0.500	0.355	sqaq
alleyway	0.357	0.471	0.382	sqaq
alliance	0.696	0.473	0.769	alleanza
allied	0.714	0.245	0.642	alleati
alligator	0.354	0.704	0.645	alligatur
allocate	0.673	0.462	0.672	jalloka
allocation	0.604	0.388	0.679	allokazzjoni
allot	0.622	0.481	0.616	jalloka
allotment	0.600	0.390	0.640	allokazzjoni
allow	0.698	0.429	0.538	jippermettu
allowable	0.698	0.500	0.561	permessibbli
allowance	0.673	0.382	0.591	allowance
allowed	0.730	0.360	0.655	permess
alloy	0.583	0.443	0.593	liga
allsmiles	0.786	0.528	0.430	allsmiles
allure	0.804	0.585	0.686	allure
alluring	0.837	0.745	0.843	sellenti
allusion	0.440	0.308	0.462	allużjoni
alluvial	0.323	0.490	0.491	alluvjali
ally	0.792	0.320	0.688	alleat
almanac	0.688	0.190	0.412	almanakk
almighty	0.938	0.874	0.958	li jista’ kollox
almond	0.698	0.183	0.314	lewż
aloft	0.771	0.373	0.700	'il fuq
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	waħdu
alongside	0.458	0.333	0.347	maġenb
aloof	0.189	0.423	0.302	aloof
aloud	0.458	0.713	0.750	b'leħen għoli
alpha	0.708	0.340	0.755	alfa
alphabet	0.562	0.204	0.672	alfabett
alphabetical	0.537	0.296	0.535	alfabetiku
alpine	0.594	0.337	0.474	alpini
alreadyyyyy	0.592	0.717	0.351	diġàyyyy
altar	0.724	0.387	0.635	artal
altar boy	0.434	0.206	0.350	tifel tal-artal
alter	0.333	0.694	0.654	jibdel
alteration	0.167	0.798	0.609	alterazzjoni
altercation	0.170	0.806	0.500	alterkazzjoni
altered	0.255	0.765	0.500	mibdula
alternate	0.625	0.363	0.589	sostitut
alternating	0.480	0.494	0.542	jalterna
alternative	0.628	0.373	0.631	alternattiva
altimeter	0.615	0.510	0.580	altimetru
altitude	0.708	0.482	0.736	altitudni
alto	0.656	0.404	0.730	alto
altogether	0.833	0.324	0.644	għal kollox
aluminum	0.449	0.280	0.434	aluminju
alumnus	0.633	0.368	0.422	alumnus
alveolar	0.469	0.481	0.367	alveolari
alzheimers	0.194	0.518	0.319	alzheimers
amalgam	0.438	0.333	0.510	amalgama
amalgamation	0.406	0.470	0.531	amalgamazzjoni
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	amass
amateur	0.469	0.500	0.409	dilettanti
amaze	0.896	0.843	0.783	tiskanta
amazed	0.796	0.779	0.533	mistagħġeb
amazedness	0.827	0.872	0.510	istagħġib
amazement	0.750	0.800	0.639	istagħġib
amazing	0.906	0.837	0.849	aqwa
amazingly	0.918	0.765	0.920	tal-għaġeb
ambassador	0.651	0.529	0.917	ambaxxatur
amber	0.635	0.308	0.369	ambra
ambience	0.735	0.356	0.426	atmosfera
ambient	0.625	0.360	0.582	ambjentali
ambiguity	0.164	0.460	0.370	ambigwità
ambiguous	0.265	0.462	0.358	ambigwa
ambit	0.479	0.380	0.386	ambitu
ambition	0.510	0.804	0.661	ambizzjoni
ambitious	0.484	0.821	0.717	ambizzjuż
ambivalent	0.510	0.404	0.482	ambivalenti
ambrosia	0.571	0.452	0.480	ambrosja
ambulance	0.500	0.750	0.609	ambulanza
ambush	0.281	0.830	0.500	ambush
ameliorate	0.770	0.548	0.747	ittejjeb
amen	0.781	0.182	0.542	amen
amenable	0.448	0.410	0.406	suġġebbli
amend	0.688	0.406	0.658	temenda
amendment	0.531	0.459	0.606	emenda
amends	0.640	0.366	0.517	jemenda
amenity	0.750	0.327	0.574	amenità
amethyst	0.622	0.406	0.517	ametista
amiable	0.847	0.290	0.483	amikevoli
amicable	0.875	0.330	0.507	amikevoli
amid	0.510	0.340	0.256	fost
amidst	0.480	0.330	0.316	fost
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	munizzjoni
ammonia	0.292	0.587	0.409	ammonja
ammonium	0.354	0.396	0.368	ammonju
ammunition	0.338	0.635	0.667	munizzjon
amnesia	0.296	0.330	0.308	amnesija
amnesty	0.551	0.451	0.814	amnestija
amorous	0.844	0.670	0.636	amoruża
amorphous	0.327	0.402	0.349	amorfu
amortization	0.592	0.491	0.522	amortizzament
amount	0.562	0.422	0.649	ammont
amour	0.865	0.480	0.652	amour
amp	0.439	0.393	0.375	amp
ampersand	0.480	0.448	0.483	ampersand
amphetamines	0.133	0.667	0.526	amfetamini
amphibian	0.427	0.357	0.474	anfibju
amphibious	0.479	0.346	0.445	anfibju
amphitheater	0.653	0.480	0.545	anfiteatru
ample	0.744	0.349	0.719	abbundanti
amplification	0.690	0.677	0.810	amplifikazzjoni
amplify	0.677	0.735	0.827	jamplifika
amplitude	0.694	0.439	0.692	amplitudni
amply	0.781	0.431	0.766	abbundanti
amputate	0.092	0.660	0.509	amputat
amputation	0.100	0.755	0.483	amputazzjoni
amuck	0.385	0.602	0.321	amuck
amulet	0.781	0.260	0.630	amulet
amuse	0.812	0.684	0.664	pjaċir
amused	0.942	0.847	0.596	divertenti
amusement	0.929	0.837	0.803	divertiment
amusing	0.960	0.829	0.632	divertenti
ana	0.541	0.300	0.314	ana
anaconda	0.146	0.830	0.540	anakonda
anaesthesia	0.350	0.217	0.473	anestesija
anaesthetic	0.449	0.268	0.509	anestetiku
anagram	0.552	0.327	0.449	anagramma
anal	0.333	0.798	0.334	anali
analgesic	0.417	0.321	0.441	analġeżiku
analogous	0.531	0.270	0.500	analogu
analogue	0.570	0.320	0.446	analogu
analogy	0.510	0.367	0.509	analoġija
analysis	0.729	0.448	0.705	analiżi
analyst	0.604	0.415	0.755	analista
