English Word	Valence	Arousal	Dominance	Igbo Word
adoptive	0.531	0.469	0.520	nkuchi
adorable	0.969	0.519	0.457	mara mma
adoration	0.885	0.699	0.708	ofufe
adore	0.854	0.438	0.657	hụrụ n'anya
adoring	0.885	0.620	0.717	na-asọpụrụ
adorn	0.910	0.424	0.482	chọọ mma
adornment	0.918	0.373	0.377	ịchọ mma
adrenalin	0.865	0.920	0.786	adrenalin
adrenaline	0.765	0.965	0.825	adrenaline
adrift	0.398	0.486	0.230	iduhie
adult	0.815	0.491	0.787	okenye
adulterated	0.188	0.865	0.370	kwara iko
adulterer	0.229	0.814	0.407	onye nākwa iko
adultery	0.120	0.922	0.510	ịkwa iko
adulthood	0.541	0.454	0.652	okenye
advance	0.673	0.472	0.858	n'ihu
advanced	0.844	0.623	0.797	elu
advancement	0.776	0.650	0.839	ọganihu
advancing	0.929	0.608	0.812	na-aga n'ihu
advantage	0.917	0.548	0.859	uru
advantageous	0.837	0.640	0.789	bara uru
advent	0.665	0.560	0.627	biakwa obibia
adventure	0.917	0.857	0.710	njem njem
adventurer	0.781	0.839	0.868	onye njem
adventures	0.812	0.764	0.749	njem nlegharị anya
adventurous	0.969	0.898	0.722	adventurous
adversary	0.349	0.777	0.457	onye mmegide
adverse	0.323	0.610	0.385	ọjọọ
adversity	0.276	0.760	0.538	ahụhụ
advertise	0.500	0.529	0.580	kpọsaanụ
advertisement	0.600	0.566	0.539	mgbasa ozi
advertising	0.622	0.608	0.632	mgbasa ozi
adverts	0.551	0.500	0.595	mgbasa ozi
advice	0.698	0.408	0.688	ndụmọdụ
advisable	0.867	0.480	0.510	dị mma
advise	0.760	0.393	0.705	ndụmọdụ
advised	0.823	0.330	0.509	dụrụ ọdụ
advisement	0.698	0.235	0.655	ndụmọdụ
adviser	0.745	0.362	0.705	onye ndụmọdụ
advisor	0.646	0.350	0.689	onye ndumodu
advisory	0.656	0.429	0.633	ndụmọdụ
advocacy	0.500	0.646	0.731	nkwado
advocate	0.551	0.530	0.818	na-akwado
aegis	0.490	0.439	0.462	aegis
aeration	0.550	0.500	0.433	ikuku
aerial	0.615	0.461	0.463	ikuku
aerobics	0.708	0.771	0.627	aerobics
aerodrome	0.541	0.740	0.678	ikuku ikuku
aerodynamic	0.561	0.724	0.728	aerodynamic
aerodynamics	0.590	0.663	0.722	aerodynamics
aeronautics	0.551	0.633	0.688	aeronautics
aeroplane	0.714	0.642	0.644	ụgbọ elu
aerospace	0.643	0.520	0.779	ikuku ikuku
aesthetic	0.708	0.442	0.526	aesthetic
aesthetics	0.847	0.327	0.549	aesthetics
aetiology	0.480	0.398	0.615	etiology
afar	0.396	0.373	0.358	anya
affable	0.704	0.380	0.452	ike
affair	0.520	0.459	0.657	okwu
affect	0.458	0.569	0.578	emetụta
affecting	0.350	0.574	0.394	na-emetụta
affection	0.898	0.559	0.696	ịhụnanya
affectionate	0.949	0.422	0.550	ịhụnanya
affections	0.760	0.547	0.655	mmetụta ịhụnanya
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	nkwupụta
affiliated	0.673	0.519	0.535	mmekọ
affiliation	0.615	0.594	0.500	mmekọ
affinity	0.800	0.500	0.537	mmekọ
affirm	0.745	0.509	0.731	kwuputa
affirmation	0.750	0.500	0.689	nkwenye
affirmative	0.854	0.589	0.816	kwenye
affirmatively	0.908	0.500	0.811	n'ezie
affix	0.438	0.335	0.411	tinye
afflict	0.302	0.555	0.293	mmekpa ahụ
afflicted	0.271	0.500	0.167	na-akpagbu
affliction	0.294	0.635	0.392	nhụsianya
affluence	0.663	0.618	0.722	ịba ọgaranya
affluent	0.756	0.388	0.477	ọgaranya
afford	0.571	0.580	0.575	nwee ike
affordable	0.840	0.398	0.493	ọnụ ala
affront	0.327	0.740	0.547	mkparị
affronted	0.385	0.750	0.527	mkparị
afield	0.594	0.370	0.373	n'èzí
afire	0.367	0.904	0.675	ọkụ
afloat	0.602	0.427	0.444	see n'elu
afore	0.500	0.337	0.382	mbụ
aforementioned	0.490	0.316	0.408	kwuru na mbụ
aforesaid	0.531	0.358	0.478	kwuru na mbụ
afraid	0.010	0.775	0.245	egwu
afresh	0.643	0.521	0.480	ohuru
aft	0.480	0.417	0.518	n'azụ
afterlife	0.571	0.567	0.568	ndụ mgbe a nwụsịrị
aftermath	0.312	0.449	0.444	n'esochi
afternoon	0.533	0.388	0.339	ehihie
aftershave	0.406	0.384	0.415	afụcha ya
aftertaste	0.354	0.362	0.455	uto mgbe emechara
afterthought	0.396	0.392	0.349	echiche emechaa
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	agate
age	0.561	0.226	0.498	afọ
aged	0.135	0.365	0.236	mere agadi
agency	0.460	0.296	0.583	ụlọ ọrụ
agenda	0.531	0.296	0.553	agenda
agent	0.480	0.439	0.755	onye nnọchi anya
agglomeration	0.450	0.765	0.509	agglomeration
aggravate	0.224	0.770	0.464	ime ka njọ
aggravated	0.079	0.760	0.430	ka njọ
aggravates	0.108	0.778	0.357	na-akawanye njọ
aggravating	0.257	0.794	0.640	na-akawanye njọ
aggravation	0.071	0.784	0.613	ihe ka njọ
aggregate	0.730	0.378	0.556	mkpokọta
aggregation	0.583	0.517	0.694	nchịkọta
aggresive	0.059	0.971	0.639	ime ihe ike
aggression	0.094	0.929	0.533	ime ihe ike
aggressive	0.125	0.949	0.648	ike ike
aggressively	0.250	0.926	0.688	ike ike
aggressiveness	0.077	0.913	0.648	ike ike
aggressor	0.146	0.948	0.823	onye na-eme ihe ike
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	egwu
aghhh	0.281	0.635	0.243	ahuhu
agile	0.800	0.657	0.775	agile
agility	0.720	0.702	0.815	ike
aging	0.214	0.255	0.284	ịka nká
agitate	0.300	0.796	0.593	kpalite
agitated	0.444	0.882	0.491	iwe iwe
agitation	0.240	0.931	0.447	mkpasu iwe
aglow	0.780	0.510	0.797	egwu
agnostic	0.306	0.396	0.574	agnostic
ago	0.317	0.280	0.404	gara aga
agonizing	0.083	0.800	0.340	na-ata ahụhụ
agony	0.083	0.775	0.393	ihe mgbu
agoraphobia	0.127	0.712	0.438	agoraphobia
agree	0.906	0.260	0.545	kwenye
agreeable	0.906	0.500	0.696	mma
agreed	0.797	0.449	0.574	kwetara
agreeing	0.854	0.480	0.557	ikweta
agreement	0.760	0.440	0.736	nkwekọrịta
agressive	0.083	0.918	0.751	ike ike
agricultural	0.686	0.321	0.473	ugbo
agriculture	0.640	0.357	0.465	ugbo
aground	0.333	0.340	0.445	ala
agua	0.598	0.180	0.436	agu
ahead	0.708	0.520	0.673	n'ihu
ahhh	0.562	0.517	0.241	ahuhu
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhh
ahoy	0.500	0.497	0.380	aho
aid	0.796	0.491	0.541	enyemaka
aide	0.724	0.342	0.434	onye inyeaka
aiding	0.643	0.533	0.569	inye aka
aids	0.561	0.480	0.500	ihe enyemaka
ail	0.375	0.434	0.385	ike
ailing	0.094	0.518	0.153	na-arịa ọrịa
ailment	0.146	0.734	0.277	ọrịa
aim	0.481	0.569	0.567	ebumnuche
aimless	0.150	0.267	0.183	enweghị isi
air	0.708	0.163	0.427	ikuku
airbag	0.510	0.402	0.433	akpa ikuku
airborne	0.542	0.519	0.385	ikuku
aircraft	0.646	0.644	0.691	ugbo elu
aircraft carrier	0.490	0.740	0.727	ebu ụgbọ elu
airfield	0.601	0.650	0.645	ugbo elu
airhead	0.271	0.481	0.276	isi ikuku
airlift	0.573	0.622	0.642	mbuli elu
airline	0.650	0.482	0.688	ụgbọ elu
airliner	0.667	0.777	0.647	ụgbọelu
airlock	0.398	0.520	0.447	mkpuchi ikuku
airman	0.587	0.716	0.721	onye ugbo elu
airplane	0.719	0.702	0.708	ụgbọ elu
airport	0.729	0.684	0.682	ọdụ ụgbọ elu
airs	0.583	0.196	0.370	ikuku
airship	0.542	0.472	0.529	ụgbọ elu
airspace	0.562	0.510	0.640	ikuku
airspeed	0.583	0.780	0.544	ikuku ọsọ
airstrip	0.550	0.690	0.649	ọdụ ụgbọ elu
airtight	0.479	0.381	0.570	ikuku
airway	0.638	0.585	0.482	ụzọ ikuku
aisle	0.438	0.222	0.283	wara wara
ait	0.385	0.390	0.402	ihe
ajar	0.460	0.413	0.446	agba
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	akin
alabaster	0.542	0.404	0.445	alabaster
alarm	0.241	0.882	0.698	mkpu
alarm clock	0.542	0.727	0.642	elekere mkpu
alarmed	0.188	0.822	0.492	tụrụ ụjọ
alarming	0.204	0.890	0.585	na-atụ egwu
alas	0.571	0.310	0.279	Ewoo
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatross
albino	0.500	0.240	0.358	albino
album	0.635	0.349	0.453	album
alchemy	0.541	0.583	0.693	alchemy
alcohol	0.323	0.667	0.377	mmanya
alcoholic	0.153	0.688	0.361	aṅụrụma
alcoholism	0.061	0.779	0.407	mmanya na-egbu egbu
alcove	0.490	0.340	0.356	agbago
alderman	0.550	0.459	0.691	alderman
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	njikere
alertness	0.375	0.875	0.750	njikere
alerts	0.337	0.804	0.673	ọkwa
alfalfa	0.546	0.250	0.311	alfalfa
algebra	0.440	0.340	0.565	algebra
algebraic	0.531	0.412	0.441	algebraic
algorithm	0.448	0.394	0.559	algọridim
alias	0.541	0.353	0.333	utu aha
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	ọbịa
alienate	0.247	0.500	0.523	kewapụ
alienated	0.410	0.423	0.559	kewapụrụ
alienation	0.378	0.530	0.462	nkewa
alight	0.667	0.657	0.605	ìhè
align	0.656	0.364	0.627	dozie
aligned	0.583	0.275	0.553	kwadoro
alignment	0.643	0.412	0.683	nhazi
alike	0.653	0.173	0.444	otu
alimentation	0.781	0.551	0.602	alimentation
alimony	0.612	0.477	0.464	alimoni
aliquot	0.440	0.310	0.404	ihe
alive	0.816	0.637	0.731	dị ndụ
alkali	0.490	0.350	0.408	alkali
alkaloids	0.433	0.562	0.402	alkaloids
allay	0.417	0.406	0.398	ekwela
allegation	0.578	0.578	0.608	ebubo
allege	0.418	0.482	0.587	ebubo
alleged	0.365	0.522	0.520	ebubo
allegiance	0.917	0.398	0.750	nkwado
allegorical	0.517	0.558	0.598	ihe atụ
allegory	0.615	0.580	0.509	ilu
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	ihe nfụkasị ahụ
allergy	0.296	0.606	0.389	ihe nfụkasị ahụ
alleviate	0.869	0.270	0.528	ibelata
alleviation	0.735	0.200	0.491	ibelata
alley	0.347	0.500	0.355	uzo
alleyway	0.357	0.471	0.382	uzo uzo
alliance	0.696	0.473	0.769	njikọ aka
allied	0.714	0.245	0.642	jikọrọ aka
alligator	0.354	0.704	0.645	alligator
allocate	0.673	0.462	0.672	ekenye
allocation	0.604	0.388	0.679	oke
allot	0.622	0.481	0.616	oke
allotment	0.600	0.390	0.640	oke
allow	0.698	0.429	0.538	kwe
allowable	0.698	0.500	0.561	ekwe
allowance	0.673	0.382	0.591	ohere
allowed	0.730	0.360	0.655	ekwe
alloy	0.583	0.443	0.593	alloy
allsmiles	0.786	0.528	0.430	na-achị ọchị
allure	0.804	0.585	0.686	mmata
alluring	0.837	0.745	0.843	na-adọrọ adọrọ
allusion	0.440	0.308	0.462	ntutu aka
alluvial	0.323	0.490	0.491	alluvil
ally	0.792	0.320	0.688	mmekorita
almanac	0.688	0.190	0.412	almanac
almighty	0.938	0.874	0.958	ime ihe nile
almond	0.698	0.183	0.314	almond
aloft	0.771	0.373	0.700	elu
aloha	0.698	0.440	0.441	udo
alone	0.333	0.167	0.216	naanị ya
alongside	0.458	0.333	0.347	n'akụkụ
aloof	0.189	0.423	0.302	n'efu
aloud	0.458	0.713	0.750	n'olu dara ụda
alpha	0.708	0.340	0.755	alfa
alphabet	0.562	0.204	0.672	mkpụrụedemede
alphabetical	0.537	0.296	0.535	mkpụrụedemede
alpine	0.594	0.337	0.474	alpine
alreadyyyyy	0.592	0.717	0.351	ugbua
altar	0.724	0.387	0.635	ebe ịchụàjà
altar boy	0.434	0.206	0.350	ebe ịchụàjà nwoke
alter	0.333	0.694	0.654	gbanwee
alteration	0.167	0.798	0.609	mgbanwe
altercation	0.170	0.806	0.500	esemokwu
altered	0.255	0.765	0.500	gbanwere
alternate	0.625	0.363	0.589	ọzọ
alternating	0.480	0.494	0.542	ọzọ
alternative	0.628	0.373	0.631	ọzọ
altimeter	0.615	0.510	0.580	altimeter
altitude	0.708	0.482	0.736	elu
alto	0.656	0.404	0.730	alto
altogether	0.833	0.324	0.644	kpam kpam
aluminum	0.449	0.280	0.434	aluminom
alumnus	0.633	0.368	0.422	alumnu
alveolar	0.469	0.481	0.367	alveolar
alzheimers	0.194	0.518	0.319	ọrịa Alzheimer
amalgam	0.438	0.333	0.510	ngwakọta
amalgamation	0.406	0.470	0.531	ngwakọta
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	kpokọta
amateur	0.469	0.500	0.409	onye amu amu
amaze	0.896	0.843	0.783	ijuanya
amazed	0.796	0.779	0.533	tụrụ n'anya
amazedness	0.827	0.872	0.510	ihe ijuanya
amazement	0.750	0.800	0.639	ihe ijuanya
amazing	0.906	0.837	0.849	ịtụnanya
amazingly	0.918	0.765	0.920	dị ịtụnanya
ambassador	0.651	0.529	0.917	onye nnọchianya
amber	0.635	0.308	0.369	agba
ambience	0.735	0.356	0.426	ambience
ambient	0.625	0.360	0.582	ambient
ambiguity	0.164	0.460	0.370	ambiguity
ambiguous	0.265	0.462	0.358	ihe mgbagwoju anya
ambit	0.479	0.380	0.386	ambit
ambition	0.510	0.804	0.661	oké ọchịchọ
ambitious	0.484	0.821	0.717	oké ochicho
ambivalent	0.510	0.404	0.482	ambivalent
ambrosia	0.571	0.452	0.480	ambrosia
ambulance	0.500	0.750	0.609	ụgbọ ihe mberede
ambush	0.281	0.830	0.500	zoro ezo
ameliorate	0.770	0.548	0.747	emeziwanye
amen	0.781	0.182	0.542	amen
amenable	0.448	0.410	0.406	dị mma
amend	0.688	0.406	0.658	megharia
amendment	0.531	0.459	0.606	mmezi
amends	0.640	0.366	0.517	na-emezi
amenity	0.750	0.327	0.574	ihe oriri
amethyst	0.622	0.406	0.517	amethyst
amiable	0.847	0.290	0.483	dị mma
amicable	0.875	0.330	0.507	udo
amid	0.510	0.340	0.256	n'etiti
amidst	0.480	0.330	0.316	n'etiti
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	ammo
ammonia	0.292	0.587	0.409	amonia
ammonium	0.354	0.396	0.368	ammonium
ammunition	0.338	0.635	0.667	mgboagha
amnesia	0.296	0.330	0.308	amnesia
amnesty	0.551	0.451	0.814	mgbaghara
amorous	0.844	0.670	0.636	obi ụtọ
amorphous	0.327	0.402	0.349	amorphous
amortization	0.592	0.491	0.522	amortization
amount	0.562	0.422	0.649	ego
amour	0.865	0.480	0.652	amuru
amp	0.439	0.393	0.375	amp
ampersand	0.480	0.448	0.483	ampersand
amphetamines	0.133	0.667	0.526	amphetamines
amphibian	0.427	0.357	0.474	amphibian
amphibious	0.479	0.346	0.445	ihe na-egbu egbu
amphitheater	0.653	0.480	0.545	ụlọ ihe nkiri
ample	0.744	0.349	0.719	zuru oke
amplification	0.690	0.677	0.810	mmụba
amplify	0.677	0.735	0.827	gbasaa
amplitude	0.694	0.439	0.692	njupụta
amply	0.781	0.431	0.766	zuru oke
amputate	0.092	0.660	0.509	bepụ
amputation	0.100	0.755	0.483	ebipụ
amuck	0.385	0.602	0.321	amuchi
amulet	0.781	0.260	0.630	amulet
amuse	0.812	0.684	0.664	ihe ọchị
amused	0.942	0.847	0.596	ọchị
amusement	0.929	0.837	0.803	ntụrụndụ
