English Word	Valence	Arousal	Dominance	Swedish Word
absenteeism	0.404	0.273	0.357	skolk
absinthe	0.481	0.510	0.462	absint
absolute	0.526	0.510	0.827	absolut
absolution	0.715	0.500	0.664	absolution
absolve	0.684	0.449	0.660	frikänna
absorb	0.469	0.558	0.670	absorbera
absorbed	0.490	0.471	0.519	absorberas
absorbent	0.552	0.394	0.718	absorberande
absorbing	0.490	0.490	0.578	absorberande
absorption	0.609	0.422	0.446	absorption
abstain	0.385	0.385	0.427	avstå
abstention	0.271	0.264	0.509	röstnedläggelse
abstinence	0.260	0.392	0.429	nykterhet
abstract	0.438	0.292	0.444	abstrakt
abstraction	0.469	0.439	0.525	abstraktion
absurd	0.188	0.656	0.284	absurd
absurdity	0.115	0.528	0.227	absurditet
abundance	0.812	0.690	0.852	överflöd
abundant	0.958	0.590	0.760	riklig
abuse	0.071	0.873	0.469	missbruk
abused	0.021	0.874	0.235	missbrukas
abusive	0.125	0.903	0.567	kränkande
abutment	0.500	0.265	0.616	distans
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	bottenlös
abyss	0.353	0.725	0.296	avgrund
academic	0.781	0.420	0.812	akademisk
academy	0.704	0.473	0.792	akademi
accede	0.698	0.510	0.537	gå med
accelerant	0.643	0.844	0.802	accelerator
accelerate	0.615	0.902	0.759	accelerera
accelerated	0.610	0.812	0.682	accelererad
acceleration	0.704	0.905	0.843	acceleration
accelerator	0.593	0.830	0.812	accelerator
accent	0.598	0.357	0.509	accent
accentuate	0.673	0.556	0.667	accentuera
accept	0.847	0.286	0.565	acceptera
acceptable	0.812	0.286	0.583	godtagbar
acceptance	0.833	0.287	0.755	godkännande
acceptances	0.847	0.413	0.648	acceptanser
access	0.714	0.472	0.567	tillgång
accessible	0.796	0.410	0.645	tillgänglig
accession	0.612	0.383	0.636	anslutning
accessory	0.562	0.292	0.445	tillbehör
accident	0.125	0.908	0.336	olycka
accidental	0.319	0.784	0.307	olycklig
accidentally	0.333	0.741	0.333	av misstag
acclaim	0.562	0.809	0.718	hylla
accolade	0.688	0.591	0.775	utmärkelse
accommodate	0.844	0.375	0.566	rymma
accommodation	0.817	0.415	0.587	boende
accompaniment	0.740	0.479	0.695	ackompanjemang
accompany	0.833	0.406	0.585	följa
accompanying	0.787	0.460	0.582	medföljande
accomplice	0.408	0.580	0.510	medbrottsling
accomplish	0.929	0.673	0.816	utföra
accomplished	0.870	0.520	0.798	skicklig
accomplishment	0.917	0.694	0.888	prestation
accord	0.898	0.264	0.382	bevilja
accordance	0.659	0.349	0.600	överensstämmelse
accordion	0.604	0.490	0.361	dragspel
account	0.531	0.347	0.472	konto
accountability	0.755	0.537	0.833	ansvarighet
accountable	0.709	0.282	0.777	ansvarig
accountant	0.625	0.450	0.639	revisor
accounting	0.552	0.390	0.677	bokföring
accounts	0.592	0.340	0.471	konton
accredited	0.669	0.479	0.768	ackrediterad
accretion	0.448	0.519	0.672	anhopning
accrue	0.520	0.481	0.602	tillfalla
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	ackumulera
accumulation	0.479	0.527	0.600	ackumulation
accuracy	0.604	0.481	0.802	noggrannhet
accurate	0.743	0.360	0.737	exakt
accursed	0.135	0.745	0.345	förbannad
accusation	0.073	0.718	0.564	anklagelse
accusative	0.198	0.755	0.482	ackusativ
accuse	0.133	0.752	0.500	anklaga
accused	0.130	0.670	0.420	den anklagade
accuser	0.122	0.779	0.615	åklagare
accusing	0.156	0.745	0.324	anklagande
accustomed	0.542	0.365	0.441	van vid
ace	0.643	0.481	0.546	ess
acetic	0.333	0.420	0.519	ättiksyra
acetylene	0.306	0.469	0.509	acetylen
ache	0.146	0.760	0.312	värk
achieve	0.816	0.545	0.843	uppnå
achieved	0.896	0.519	0.775	uppnåtts
achievement	0.896	0.808	0.759	prestation
aching	0.053	0.880	0.348	värkande
achy	0.167	0.840	0.373	värkande
acid	0.265	0.642	0.566	syra
acidity	0.156	0.663	0.360	aciditet
acknowledge	0.786	0.370	0.661	erkänna
acknowledged	0.714	0.443	0.765	erkänd
acknowledgement	0.819	0.539	0.830	bekräftelse
acknowledgment	0.796	0.528	0.777	bekräftelse
acme	0.408	0.435	0.375	höjdpunkt
acne	0.167	0.474	0.308	acne
acorn	0.448	0.198	0.192	ekollon
acoustic	0.542	0.462	0.536	akustisk
acoustics	0.611	0.330	0.509	akustik
acquaint	0.646	0.491	0.639	bekanta
acquaintance	0.656	0.290	0.670	bekantskap
acquainted	0.906	0.358	0.632	bekant
acquiescence	0.542	0.480	0.554	samtycke
acquire	0.833	0.468	0.700	tillägna sig
acquiring	0.735	0.510	0.817	förvärva
acquisition	0.698	0.509	0.736	förvärv
acquisitions	0.773	0.660	0.790	förvärv
acquit	0.583	0.571	0.611	frikänna
acquittal	0.760	0.497	0.700	frikännande
acre	0.583	0.387	0.423	tunnland
acreage	0.741	0.450	0.528	areal
acres	0.510	0.363	0.500	tunnland
acrobat	0.708	0.828	0.602	akrobat
acrylic	0.582	0.279	0.420	akryl-
act	0.656	0.704	0.735	spela teater
acting	0.698	0.643	0.500	verkande
action	0.760	0.898	0.802	handling
action figure	0.615	0.774	0.611	actionfigur
actionable	0.673	0.702	0.613	handlingsbar
activate	0.764	0.650	0.806	Aktivera
activation	0.781	0.800	0.754	aktivering
active	0.847	0.730	0.731	aktiva
activist	0.531	0.653	0.877	aktivist
activity	0.701	0.660	0.807	aktivitet
actor	0.653	0.561	0.629	skådespelare
actress	0.633	0.556	0.596	skådespelerska
actual	0.729	0.400	0.716	faktisk
actuality	0.750	0.464	0.600	verklighet
actuary	0.510	0.404	0.491	aktuarie
acuity	0.469	0.378	0.741	skärpa
acumen	0.564	0.660	0.679	skarpsinne
acupuncture	0.531	0.324	0.549	akupunktur
acute	0.427	0.652	0.534	akut
acutely	0.417	0.543	0.491	akut
ad	0.521	0.705	0.558	annons
adage	0.517	0.415	0.566	ordspråk
adamant	0.344	0.529	0.575	orubblig
adapt	0.740	0.355	0.551	anpassa
adaptable	0.735	0.423	0.641	anpassbar
adaptation	0.663	0.365	0.609	anpassning
add	0.728	0.490	0.554	Lägg till
added	0.562	0.405	0.509	Lagt till
addendum	0.392	0.370	0.418	tillägg
adder	0.388	0.461	0.588	huggorm
addict	0.075	0.696	0.327	missbrukare
addicted	0.156	0.712	0.483	Beroende
addiction	0.180	0.806	0.420	missbruk
addictive	0.302	0.683	0.472	beroendeframkallande
addition	0.562	0.373	0.471	tillägg
additional	0.673	0.462	0.526	ytterligare
additive	0.561	0.633	0.691	tillsats
address	0.650	0.327	0.567	adress
addressee	0.622	0.382	0.538	adressat
addresses	0.510	0.354	0.450	adresser
adept	0.594	0.539	0.789	skicklig
adequacy	0.615	0.435	0.702	lämplighet
adequate	0.854	0.264	0.705	lämplig
adhere	0.633	0.339	0.554	ansluta sig
adherence	0.760	0.307	0.630	efterlevnad
adherent	0.561	0.385	0.555	anhängare
adhering	0.612	0.561	0.537	vidhäftande
adhesion	0.521	0.445	0.586	adhesion
adhesive	0.604	0.350	0.413	lim
adieu	0.250	0.471	0.342	adjö
adipose	0.333	0.350	0.391	fett
adjacency	0.365	0.417	0.375	närhet
adjacent	0.645	0.276	0.536	intilliggande
adjective	0.570	0.316	0.569	adjektiv
adjoining	0.520	0.400	0.393	angränsande
adjourn	0.385	0.456	0.475	ajournera
adjournment	0.438	0.510	0.370	uppskov
adjudicate	0.559	0.520	0.683	döma
adjudication	0.551	0.462	0.691	bedömning
adjunct	0.459	0.440	0.426	tillägg
adjust	0.647	0.327	0.638	justera
adjuster	0.510	0.540	0.760	justerare
adjustment	0.590	0.520	0.661	justering
adjuvant	0.510	0.500	0.456	adjuvans
admin	0.688	0.420	0.854	administration
administer	0.635	0.425	0.860	administrera
administration	0.625	0.404	0.786	administrering
administrative	0.542	0.415	0.579	administrativ
administrator	0.538	0.480	0.902	administratör
admirable	0.929	0.600	0.870	beundransvärd
admiral	0.844	0.490	0.847	amiral
admiralty	0.594	0.547	0.733	amiralitet
admiration	0.969	0.583	0.726	beundran
admire	0.867	0.692	0.704	beundra
admired	0.917	0.560	0.815	beundrad
admirer	0.796	0.720	0.650	beundrare
admiring	0.867	0.578	0.629	beundrar
admissibility	0.802	0.580	0.602	tillåtlighet
admissible	0.780	0.528	0.642	tillåtlig
admission	0.802	0.415	0.732	tillträde
admit	0.538	0.423	0.667	erkänna
admittance	0.690	0.451	0.598	tillträde
admitted	0.720	0.490	0.767	erkände
admitting	0.620	0.500	0.546	erkännande
admixture	0.450	0.375	0.438	blandning
admonition	0.357	0.606	0.455	förmaning
ado	0.520	0.423	0.385	väsen
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	ungdom
adolescent	0.781	0.680	0.509	tonåring
adopt	0.694	0.612	0.701	anta
adoption	0.625	0.566	0.589	adoption
adoptive	0.531	0.469	0.520	adoptiv
adorable	0.969	0.519	0.457	förtjusande
adoration	0.885	0.699	0.708	tillbedjan
adore	0.854	0.438	0.657	älska
adoring	0.885	0.620	0.717	avguda
adorn	0.910	0.424	0.482	smycka
adornment	0.918	0.373	0.377	prydnad
adrenalin	0.865	0.920	0.786	adrenalin
adrenaline	0.765	0.965	0.825	adrenalin
adrift	0.398	0.486	0.230	på drift
adult	0.815	0.491	0.787	vuxen
adulterated	0.188	0.865	0.370	förvanskat
adulterer	0.229	0.814	0.407	äktenskapsbrytare
adultery	0.120	0.922	0.510	otrohet
adulthood	0.541	0.454	0.652	vuxen ålder
advance	0.673	0.472	0.858	förskott
advanced	0.844	0.623	0.797	Avancerad
advancement	0.776	0.650	0.839	befordran
advancing	0.929	0.608	0.812	avancerar
advantage	0.917	0.548	0.859	fördel
advantageous	0.837	0.640	0.789	fördelaktig
advent	0.665	0.560	0.627	första advent
adventure	0.917	0.857	0.710	äventyr
adventurer	0.781	0.839	0.868	äventyrare
adventures	0.812	0.764	0.749	äventyr
adventurous	0.969	0.898	0.722	äventyrlig
adversary	0.349	0.777	0.457	motståndare
adverse	0.323	0.610	0.385	ogynnsam
adversity	0.276	0.760	0.538	motgång
advertise	0.500	0.529	0.580	annonsera
advertisement	0.600	0.566	0.539	annons
advertising	0.622	0.608	0.632	reklam-
adverts	0.551	0.500	0.595	annonser
advice	0.698	0.408	0.688	råd
advisable	0.867	0.480	0.510	tillrådligt
advise	0.760	0.393	0.705	ge råd
advised	0.823	0.330	0.509	rådde
advisement	0.698	0.235	0.655	råd
adviser	0.745	0.362	0.705	rådgivare
advisor	0.646	0.350	0.689	rådgivare
advisory	0.656	0.429	0.633	rådgivande
advocacy	0.500	0.646	0.731	försvar
advocate	0.551	0.530	0.818	förespråkare
aegis	0.490	0.439	0.462	aegis
aeration	0.550	0.500	0.433	luftning
aerial	0.615	0.461	0.463	antenn
aerobics	0.708	0.771	0.627	aerobics
aerodrome	0.541	0.740	0.678	flygplats
aerodynamic	0.561	0.724	0.728	aerodynamisk
aerodynamics	0.590	0.663	0.722	aerodynamik
aeronautics	0.551	0.633	0.688	aeronautik
aeroplane	0.714	0.642	0.644	flygplan
aerospace	0.643	0.520	0.779	flyg
aesthetic	0.708	0.442	0.526	estetisk
aesthetics	0.847	0.327	0.549	estetik
aetiology	0.480	0.398	0.615	etiologi
afar	0.396	0.373	0.358	fjärran
affable	0.704	0.380	0.452	förbindlig
affair	0.520	0.459	0.657	affär
affect	0.458	0.569	0.578	påverka
affecting	0.350	0.574	0.394	påverkar
affection	0.898	0.559	0.696	tillgivenhet
affectionate	0.949	0.422	0.550	öm
affections	0.760	0.547	0.655	tillgivenheter
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	affidavit
affiliated	0.673	0.519	0.535	ansluten
affiliation	0.615	0.594	0.500	anslutning
affinity	0.800	0.500	0.537	affinitet
affirm	0.745	0.509	0.731	bekräfta
affirmation	0.750	0.500	0.689	bekräftelse
affirmative	0.854	0.589	0.816	korrekt
affirmatively	0.908	0.500	0.811	jakande
affix	0.438	0.335	0.411	affix
afflict	0.302	0.555	0.293	plåga
afflicted	0.271	0.500	0.167	drabbats
affliction	0.294	0.635	0.392	lidande
affluence	0.663	0.618	0.722	välstånd
affluent	0.756	0.388	0.477	förmögen
afford	0.571	0.580	0.575	råd
affordable	0.840	0.398	0.493	överkomligt
affront	0.327	0.740	0.547	skymf
affronted	0.385	0.750	0.527	förolämpad
afield	0.594	0.370	0.373	ett fält
afire	0.367	0.904	0.675	en eld
afloat	0.602	0.427	0.444	flytande
afore	0.500	0.337	0.382	förut
aforementioned	0.490	0.316	0.408	ovannämnda
aforesaid	0.531	0.358	0.478	ovannämnda
afraid	0.010	0.775	0.245	rädd
afresh	0.643	0.521	0.480	på nytt
aft	0.480	0.417	0.518	akter-
afterlife	0.571	0.567	0.568	liv efter detta
aftermath	0.312	0.449	0.444	verkningarna
afternoon	0.533	0.388	0.339	eftermiddag
aftershave	0.406	0.384	0.415	rakvatten
aftertaste	0.354	0.362	0.455	eftersmak
afterthought	0.396	0.392	0.349	eftertanke
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	agat
age	0.561	0.226	0.498	ålder
aged	0.135	0.365	0.236	åldrig
agency	0.460	0.296	0.583	byrå
agenda	0.531	0.296	0.553	dagordning
agent	0.480	0.439	0.755	ombud
agglomeration	0.450	0.765	0.509	agglomerering
aggravate	0.224	0.770	0.464	förvärra
aggravated	0.079	0.760	0.430	förvärras
aggravates	0.108	0.778	0.357	förvärrar
aggravating	0.257	0.794	0.640	försvårande
aggravation	0.071	0.784	0.613	förvärrande
aggregate	0.730	0.378	0.556	aggregat
aggregation	0.583	0.517	0.694	aggregering
aggresive	0.059	0.971	0.639	aggressiv
aggression	0.094	0.929	0.533	aggression
aggressive	0.125	0.949	0.648	aggressiv
aggressively	0.250	0.926	0.688	aggressivt
aggressiveness	0.077	0.913	0.648	aggressivitet
aggressor	0.146	0.948	0.823	angripare
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	bestört
aghhh	0.281	0.635	0.243	ahhh
agile	0.800	0.657	0.775	vig
agility	0.720	0.702	0.815	rörlighet
aging	0.214	0.255	0.284	åldrande
agitate	0.300	0.796	0.593	agitera
agitated	0.444	0.882	0.491	upprörd
agitation	0.240	0.931	0.447	agitation
aglow	0.780	0.510	0.797	glödande
agnostic	0.306	0.396	0.574	agnostiker
ago	0.317	0.280	0.404	sedan
agonizing	0.083	0.800	0.340	plågsam
agony	0.083	0.775	0.393	vånda
agoraphobia	0.127	0.712	0.438	agorafobi
agree	0.906	0.260	0.545	hålla med
agreeable	0.906	0.500	0.696	angenäm
agreed	0.797	0.449	0.574	gick med på
agreeing	0.854	0.480	0.557	håller med
agreement	0.760	0.440	0.736	avtal
agressive	0.083	0.918	0.751	aggressiva
agricultural	0.686	0.321	0.473	jordbruks
agriculture	0.640	0.357	0.465	lantbruk
aground	0.333	0.340	0.445	på grund
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	ett huvud
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhhh
ahoy	0.500	0.497	0.380	ohoj
aid	0.796	0.491	0.541	hjälpa
aide	0.724	0.342	0.434	medhjälpare
aiding	0.643	0.533	0.569	hjälpa till
aids	0.561	0.480	0.500	hjälpmedel
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	sjuklig
ailment	0.146	0.734	0.277	sjukdom
aim	0.481	0.569	0.567	syfte
aimless	0.150	0.267	0.183	utan mål
air	0.708	0.163	0.427	luft
airbag	0.510	0.402	0.433	krockkudde
airborne	0.542	0.519	0.385	luftburet
aircraft	0.646	0.644	0.691	flygplan
aircraft carrier	0.490	0.740	0.727	hangarfartyg
airfield	0.601	0.650	0.645	flygfält
airhead	0.271	0.481	0.276	lufthuvud
airlift	0.573	0.622	0.642	luftbro
airline	0.650	0.482	0.688	flygbolag
airliner	0.667	0.777	0.647	trafikflygplan
airlock	0.398	0.520	0.447	luftsluss
airman	0.587	0.716	0.721	flygare
airplane	0.719	0.702	0.708	flygplan
airport	0.729	0.684	0.682	flygplats
airs	0.583	0.196	0.370	förnäm min
airship	0.542	0.472	0.529	luftskepp
airspace	0.562	0.510	0.640	luftrum
airspeed	0.583	0.780	0.544	flyghastighet
airstrip	0.550	0.690	0.649	landningsbana
airtight	0.479	0.381	0.570	lufttät
airway	0.638	0.585	0.482	luftvägar
aisle	0.438	0.222	0.283	gång
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	på glänt
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	besläktad
alabaster	0.542	0.404	0.445	alabaster
alarm	0.241	0.882	0.698	larm
alarm clock	0.542	0.727	0.642	väckarklocka
alarmed	0.188	0.822	0.492	orolig
alarming	0.204	0.890	0.585	oroväckande
alas	0.571	0.310	0.279	ack
alb	0.521	0.380	0.427	alba
albatross	0.500	0.445	0.527	albatross
albino	0.500	0.240	0.358	albino
album	0.635	0.349	0.453	album
alchemy	0.541	0.583	0.693	alkemi
alcohol	0.323	0.667	0.377	alkohol
alcoholic	0.153	0.688	0.361	alkoholhaltig
alcoholism	0.061	0.779	0.407	alkoholism
alcove	0.490	0.340	0.356	alkov
alderman	0.550	0.459	0.691	rådman
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	varna
alertness	0.375	0.875	0.750	vakenhet
alerts	0.337	0.804	0.673	varningar
alfalfa	0.546	0.250	0.311	blålusern
algebra	0.440	0.340	0.565	algebra
algebraic	0.531	0.412	0.441	algebraisk
algorithm	0.448	0.394	0.559	algoritm
alias	0.541	0.353	0.333	alias
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	utomjording
alienate	0.247	0.500	0.523	fjärma
alienated	0.410	0.423	0.559	alienerad
alienation	0.378	0.530	0.462	alienation
alight	0.667	0.657	0.605	stiga av
align	0.656	0.364	0.627	justera
aligned	0.583	0.275	0.553	Justerat
alignment	0.643	0.412	0.683	inriktning
alike	0.653	0.173	0.444	lika
alimentation	0.781	0.551	0.602	alimentation
alimony	0.612	0.477	0.464	underhållsbidrag
aliquot	0.440	0.310	0.404	alikvot
alive	0.816	0.637	0.731	Levande
alkali	0.490	0.350	0.408	alkali
alkaloids	0.433	0.562	0.402	alkaloider
allay	0.417	0.406	0.398	lugna
allegation	0.578	0.578	0.608	påstående
allege	0.418	0.482	0.587	påstå
alleged	0.365	0.522	0.520	påstås
allegiance	0.917	0.398	0.750	trohet
allegorical	0.517	0.558	0.598	allegorisk
allegory	0.615	0.580	0.509	allegori
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	allergisk
allergy	0.296	0.606	0.389	allergi
alleviate	0.869	0.270	0.528	lindra
alleviation	0.735	0.200	0.491	lindring
alley	0.347	0.500	0.355	gränd
alleyway	0.357	0.471	0.382	bakgata
alliance	0.696	0.473	0.769	allians
allied	0.714	0.245	0.642	allierad
alligator	0.354	0.704	0.645	alligator
allocate	0.673	0.462	0.672	fördela
allocation	0.604	0.388	0.679	tilldelning
allot	0.622	0.481	0.616	tilldela
allotment	0.600	0.390	0.640	tilldelning
allow	0.698	0.429	0.538	tillåta
allowable	0.698	0.500	0.561	tillåten
allowance	0.673	0.382	0.591	ersättning
allowed	0.730	0.360	0.655	tillåten
alloy	0.583	0.443	0.593	legering
allsmiles	0.786	0.528	0.430	allsmiles
allure	0.804	0.585	0.686	locka
alluring	0.837	0.745	0.843	lockande
allusion	0.440	0.308	0.462	allusion
alluvial	0.323	0.490	0.491	alluvial
ally	0.792	0.320	0.688	alliera
almanac	0.688	0.190	0.412	almanacka
almighty	0.938	0.874	0.958	allsmäktig
almond	0.698	0.183	0.314	mandel
aloft	0.771	0.373	0.700	högt upp
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	ensam
alongside	0.458	0.333	0.347	vid sidan av
aloof	0.189	0.423	0.302	på avstånd
aloud	0.458	0.713	0.750	högt
alpha	0.708	0.340	0.755	alfa
alphabet	0.562	0.204	0.672	alfabet
alphabetical	0.537	0.296	0.535	alfabetisk
alpine	0.594	0.337	0.474	alpina
alreadyyyyy	0.592	0.717	0.351	redanyyyy
altar	0.724	0.387	0.635	altare
altar boy	0.434	0.206	0.350	korgosse
alter	0.333	0.694	0.654	ändra
alteration	0.167	0.798	0.609	ändring
altercation	0.170	0.806	0.500	gräl
altered	0.255	0.765	0.500	ändrats
alternate	0.625	0.363	0.589	alternativ
alternating	0.480	0.494	0.542	omväxlande
alternative	0.628	0.373	0.631	alternativ
altimeter	0.615	0.510	0.580	höjdmätare
altitude	0.708	0.482	0.736	höjd över havet
alto	0.656	0.404	0.730	alt-
altogether	0.833	0.324	0.644	sammanlagt
aluminum	0.449	0.280	0.434	aluminium
alumnus	0.633	0.368	0.422	alumn
alveolar	0.469	0.481	0.367	alveolär
alzheimers	0.194	0.518	0.319	alzheimers
amalgam	0.438	0.333	0.510	amalgam
amalgamation	0.406	0.470	0.531	sammanslagning
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	samla
amateur	0.469	0.500	0.409	amatör-
amaze	0.896	0.843	0.783	förvåna
amazed	0.796	0.779	0.533	förvånad
amazedness	0.827	0.872	0.510	förundran
amazement	0.750	0.800	0.639	häpnad
amazing	0.906	0.837	0.849	Fantastisk
amazingly	0.918	0.765	0.920	otroligt
ambassador	0.651	0.529	0.917	ambassadör
amber	0.635	0.308	0.369	bärnsten
ambience	0.735	0.356	0.426	atmosfär
ambient	0.625	0.360	0.582	omgivande
ambiguity	0.164	0.460	0.370	tvetydighet
ambiguous	0.265	0.462	0.358	tvetydig
ambit	0.479	0.380	0.386	omfång
ambition	0.510	0.804	0.661	ambition
ambitious	0.484	0.821	0.717	ambitiös
ambivalent	0.510	0.404	0.482	ambivalent
ambrosia	0.571	0.452	0.480	ambrosia
ambulance	0.500	0.750	0.609	ambulans
ambush	0.281	0.830	0.500	bakhåll
ameliorate	0.770	0.548	0.747	förbättra
amen	0.781	0.182	0.542	amen
amenable	0.448	0.410	0.406	mottaglig
amend	0.688	0.406	0.658	ändra
amendment	0.531	0.459	0.606	ändring
amends	0.640	0.366	0.517	gottgörelse
amenity	0.750	0.327	0.574	bekvämlighet
amethyst	0.622	0.406	0.517	ametist
amiable	0.847	0.290	0.483	älskvärd
amicable	0.875	0.330	0.507	vänskaplig
amid	0.510	0.340	0.256	mitt i
amidst	0.480	0.330	0.316	mitt i
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	ammunition
ammonia	0.292	0.587	0.409	ammoniak
ammonium	0.354	0.396	0.368	ammonium
ammunition	0.338	0.635	0.667	ammunition
amnesia	0.296	0.330	0.308	amnesi
amnesty	0.551	0.451	0.814	amnesti
amorous	0.844	0.670	0.636	kärleksfull
amorphous	0.327	0.402	0.349	amorf
amortization	0.592	0.491	0.522	amortering
amount	0.562	0.422	0.649	belopp
amour	0.865	0.480	0.652	amour
amp	0.439	0.393	0.375	amp
ampersand	0.480	0.448	0.483	et-tecken
amphetamines	0.133	0.667	0.526	amfetamin
amphibian	0.427	0.357	0.474	amfibie
amphibious	0.479	0.346	0.445	amfibisk
amphitheater	0.653	0.480	0.545	amfiteater
ample	0.744	0.349	0.719	riklig
amplification	0.690	0.677	0.810	förstärkning
amplify	0.677	0.735	0.827	förstärka
amplitude	0.694	0.439	0.692	amplitud
amply	0.781	0.431	0.766	rikligt
amputate	0.092	0.660	0.509	amputera
amputation	0.100	0.755	0.483	amputation
amuck	0.385	0.602	0.321	amok
amulet	0.781	0.260	0.630	amulett
amuse	0.812	0.684	0.664	roa
amused	0.942	0.847	0.596	roade
amusement	0.929	0.837	0.803	nöje
amusing	0.960	0.829	0.632	rolig
ana	0.541	0.300	0.314	ana
anaconda	0.146	0.830	0.540	anakonda
anaesthesia	0.350	0.217	0.473	anestesi
anaesthetic	0.449	0.268	0.509	bedövningsmedel
anagram	0.552	0.327	0.449	anagram
anal	0.333	0.798	0.334	anal
analgesic	0.417	0.321	0.441	analgetikum
analogous	0.531	0.270	0.500	analog
analogue	0.570	0.320	0.446	analog
analogy	0.510	0.367	0.509	analogi
analysis	0.729	0.448	0.705	analys
analyst	0.604	0.415	0.755	analytiker
analytic	0.665	0.521	0.634	analytisk
analytical	0.625	0.324	0.800	analytisk
analyze	0.667	0.462	0.710	analysera
analyzer	0.625	0.556	0.854	analysator
anaphylactic	0.378	0.588	0.500	anafylaktisk
anarchism	0.125	0.804	0.623	anarkism
anarchist	0.204	0.700	0.759	anarkist
anarchy	0.146	0.755	0.620	anarki
anastomosis	0.375	0.470	0.490	anastomos
anathema	0.286	0.490	0.519	förbannelse
anatomic	0.562	0.442	0.546	anatomisk
anatomy	0.562	0.390	0.571	anatomi
ancestor	0.592	0.388	0.594	förfader
ancestral	0.640	0.481	0.750	fäderneärvda
ancestry	0.708	0.519	0.717	anor
anchor	0.520	0.284	0.564	ankare
anchorage	0.500	0.325	0.639	ankring
ancient	0.420	0.217	0.439	gammal
ancillary	0.449	0.442	0.278	underordnade
androgen	0.255	0.523	0.527	androgen
