English Word	Valence	Arousal	Dominance	Serbian Word
accueil	0.450	0.451	0.470	аццуеил
accumulate	0.573	0.536	0.607	акумулирати
accumulation	0.479	0.527	0.600	акумулација
accuracy	0.604	0.481	0.802	тачност
accurate	0.743	0.360	0.737	тачан
accursed	0.135	0.745	0.345	проклети
accusation	0.073	0.718	0.564	оптужба
accusative	0.198	0.755	0.482	акузатив
accuse	0.133	0.752	0.500	оптужити
accused	0.130	0.670	0.420	оптужени
accuser	0.122	0.779	0.615	тужитељ
accusing	0.156	0.745	0.324	оптужујући
accustomed	0.542	0.365	0.441	навикао
ace	0.643	0.481	0.546	ас
acetic	0.333	0.420	0.519	сирћетна
acetylene	0.306	0.469	0.509	ацетилен
ache	0.146	0.760	0.312	бол
achieve	0.816	0.545	0.843	постићи
achieved	0.896	0.519	0.775	постићи
achievement	0.896	0.808	0.759	достигнуће
aching	0.053	0.880	0.348	болан
achy	0.167	0.840	0.373	ацхи
acid	0.265	0.642	0.566	киселина
acidity	0.156	0.663	0.360	киселост
acknowledge	0.786	0.370	0.661	признати
acknowledged	0.714	0.443	0.765	признао
acknowledgement	0.819	0.539	0.830	признање
acknowledgment	0.796	0.528	0.777	признање
acme	0.408	0.435	0.375	ацме
acne	0.167	0.474	0.308	бубуљице
acorn	0.448	0.198	0.192	жир
acoustic	0.542	0.462	0.536	акустични
acoustics	0.611	0.330	0.509	акустика
acquaint	0.646	0.491	0.639	упознати
acquaintance	0.656	0.290	0.670	познанство
acquainted	0.906	0.358	0.632	упознат
acquiescence	0.542	0.480	0.554	пристајање
acquire	0.833	0.468	0.700	стећи
acquiring	0.735	0.510	0.817	стицање
acquisition	0.698	0.509	0.736	аквизиција
acquisitions	0.773	0.660	0.790	аквизиције
acquit	0.583	0.571	0.611	ослободити
acquittal	0.760	0.497	0.700	ослобађајућа пресуда
acre	0.583	0.387	0.423	ацре
acreage	0.741	0.450	0.528	површине
acres	0.510	0.363	0.500	хектара
acrobat	0.708	0.828	0.602	акробат
acrylic	0.582	0.279	0.420	акрил
act	0.656	0.704	0.735	акт
acting	0.698	0.643	0.500	глума
action	0.760	0.898	0.802	поступак
action figure	0.615	0.774	0.611	играчка
actionable	0.673	0.702	0.613	делотворан
activate	0.764	0.650	0.806	активирати
activation	0.781	0.800	0.754	активирање
active	0.847	0.730	0.731	активан
activist	0.531	0.653	0.877	активиста
activity	0.701	0.660	0.807	активност
actor	0.653	0.561	0.629	глумац
actress	0.633	0.556	0.596	глумица
actual	0.729	0.400	0.716	стварни
actuality	0.750	0.464	0.600	актуелност
actuary	0.510	0.404	0.491	актуар
acuity	0.469	0.378	0.741	оштрина
acumen	0.564	0.660	0.679	оштроумност
acupuncture	0.531	0.324	0.549	акупунктура
acute	0.427	0.652	0.534	акутна
acutely	0.417	0.543	0.491	акутно
ad	0.521	0.705	0.558	ад
adage	0.517	0.415	0.566	пословица
adamant	0.344	0.529	0.575	непоколебљив
adapt	0.740	0.355	0.551	прилагодити
adaptable	0.735	0.423	0.641	прилагодљив
adaptation	0.663	0.365	0.609	адаптација
add	0.728	0.490	0.554	додати
added	0.562	0.405	0.509	додао је
addendum	0.392	0.370	0.418	додатак
adder	0.388	0.461	0.588	гуја
addict	0.075	0.696	0.327	зависник
addicted	0.156	0.712	0.483	завистан
addiction	0.180	0.806	0.420	зависност
addictive	0.302	0.683	0.472	зависност
addition	0.562	0.373	0.471	додатак
additional	0.673	0.462	0.526	додатни
additive	0.561	0.633	0.691	адитива
address	0.650	0.327	0.567	адреса
addressee	0.622	0.382	0.538	адресата
addresses	0.510	0.354	0.450	адресе
adept	0.594	0.539	0.789	адепт
adequacy	0.615	0.435	0.702	адекватност
adequate	0.854	0.264	0.705	адекватан
adhere	0.633	0.339	0.554	придржавају
adherence	0.760	0.307	0.630	приврженост
adherent	0.561	0.385	0.555	присталица
adhering	0.612	0.561	0.537	придржавајући се
adhesion	0.521	0.445	0.586	адхезија
adhesive	0.604	0.350	0.413	лепак
adieu	0.250	0.471	0.342	адиеу
adipose	0.333	0.350	0.391	масноћа
adjacency	0.365	0.417	0.375	суседност
adjacent	0.645	0.276	0.536	суседни
adjective	0.570	0.316	0.569	придев
adjoining	0.520	0.400	0.393	суседни
adjourn	0.385	0.456	0.475	одложити
adjournment	0.438	0.510	0.370	одлагање
adjudicate	0.559	0.520	0.683	пресуђивати
adjudication	0.551	0.462	0.691	пресуђивање
adjunct	0.459	0.440	0.426	допунски
adjust	0.647	0.327	0.638	прилагодити
adjuster	0.510	0.540	0.760	подешавач
adjustment	0.590	0.520	0.661	прилагођавање
adjuvant	0.510	0.500	0.456	помоћно средство
admin	0.688	0.420	0.854	админ
administer	0.635	0.425	0.860	управљати
administration	0.625	0.404	0.786	администрација
administrative	0.542	0.415	0.579	административни
administrator	0.538	0.480	0.902	администратор
admirable	0.929	0.600	0.870	достојан дивљења
admiral	0.844	0.490	0.847	адмирал
admiralty	0.594	0.547	0.733	адмиралитет
admiration	0.969	0.583	0.726	дивљење
admire	0.867	0.692	0.704	дивити се
admired	0.917	0.560	0.815	дивио се
admirer	0.796	0.720	0.650	обожавалац
admiring	0.867	0.578	0.629	дивећи се
admissibility	0.802	0.580	0.602	прихватљивости
admissible	0.780	0.528	0.642	допустив
admission	0.802	0.415	0.732	пријем
admit	0.538	0.423	0.667	пустити
admittance	0.690	0.451	0.598	пријем
admitted	0.720	0.490	0.767	признао
admitting	0.620	0.500	0.546	признајући
admixture	0.450	0.375	0.438	примеса
admonition	0.357	0.606	0.455	опомена
ado	0.520	0.423	0.385	адо
adobe	0.500	0.319	0.328	адобе
adolescence	0.487	0.694	0.444	Младост
adolescent	0.781	0.680	0.509	адолесцент
adopt	0.694	0.612	0.701	усвојити
adoption	0.625	0.566	0.589	усвајање
adoptive	0.531	0.469	0.520	усвојитељски
adorable	0.969	0.519	0.457	адорабле
adoration	0.885	0.699	0.708	обожавање
adore	0.854	0.438	0.657	обожавам
adoring	0.885	0.620	0.717	обожавајући
adorn	0.910	0.424	0.482	украсити
adornment	0.918	0.373	0.377	украс
adrenalin	0.865	0.920	0.786	адреналин
adrenaline	0.765	0.965	0.825	адреналин
adrift	0.398	0.486	0.230	лебдећи
adult	0.815	0.491	0.787	одрасла особа
adulterated	0.188	0.865	0.370	фалсификовани
adulterer	0.229	0.814	0.407	прељубник
adultery	0.120	0.922	0.510	прељуба
adulthood	0.541	0.454	0.652	пунолетство
advance	0.673	0.472	0.858	унапред
advanced	0.844	0.623	0.797	напредно
advancement	0.776	0.650	0.839	напредовање
advancing	0.929	0.608	0.812	напредујући
advantage	0.917	0.548	0.859	предност
advantageous	0.837	0.640	0.789	повољан
advent	0.665	0.560	0.627	адвент
adventure	0.917	0.857	0.710	авантура
adventurer	0.781	0.839	0.868	авантуриста
adventures	0.812	0.764	0.749	авантуре
adventurous	0.969	0.898	0.722	авантуристички
adversary	0.349	0.777	0.457	противник
adverse	0.323	0.610	0.385	штетан
adversity	0.276	0.760	0.538	недаће
advertise	0.500	0.529	0.580	рекламирати
advertisement	0.600	0.566	0.539	реклама
advertising	0.622	0.608	0.632	оглашавање
adverts	0.551	0.500	0.595	рекламе
advice	0.698	0.408	0.688	савет
advisable	0.867	0.480	0.510	препоручљиво
advise	0.760	0.393	0.705	саветовати
advised	0.823	0.330	0.509	саветован
advisement	0.698	0.235	0.655	саветовање
adviser	0.745	0.362	0.705	саветник
advisor	0.646	0.350	0.689	саветник
advisory	0.656	0.429	0.633	саветодавни
advocacy	0.500	0.646	0.731	адвокатура
advocate	0.551	0.530	0.818	заговорник
aegis	0.490	0.439	0.462	аегис
aeration	0.550	0.500	0.433	аерација
aerial	0.615	0.461	0.463	ваздушни
aerobics	0.708	0.771	0.627	аеробик
aerodrome	0.541	0.740	0.678	аеродром
aerodynamic	0.561	0.724	0.728	аеродинамички
aerodynamics	0.590	0.663	0.722	аеродинамика
aeronautics	0.551	0.633	0.688	аеронаутике
aeroplane	0.714	0.642	0.644	авион
aerospace	0.643	0.520	0.779	ваздухопловство
aesthetic	0.708	0.442	0.526	естетски
aesthetics	0.847	0.327	0.549	естетика
aetiology	0.480	0.398	0.615	етиологија
afar	0.396	0.373	0.358	афар
affable	0.704	0.380	0.452	пријатан
affair	0.520	0.459	0.657	афера
affect	0.458	0.569	0.578	утицати
affecting	0.350	0.574	0.394	утичући
affection	0.898	0.559	0.696	наклоност
affectionate	0.949	0.422	0.550	умиљат
affections	0.760	0.547	0.655	наклоности
affiche	0.479	0.265	0.402	аффицхе
affidavit	0.469	0.584	0.526	изјава под заклетвом
affiliated	0.673	0.519	0.535	повезаним
affiliation	0.615	0.594	0.500	припадности
affinity	0.800	0.500	0.537	афинитет
affirm	0.745	0.509	0.731	афирмисати
affirmation	0.750	0.500	0.689	афирмацију
affirmative	0.854	0.589	0.816	потврдан
affirmatively	0.908	0.500	0.811	афирмативно
affix	0.438	0.335	0.411	афикс
afflict	0.302	0.555	0.293	афицирати
afflicted	0.271	0.500	0.167	напаћени
affliction	0.294	0.635	0.392	невоља
affluence	0.663	0.618	0.722	богатство
affluent	0.756	0.388	0.477	имућан
afford	0.571	0.580	0.575	приуштити
affordable	0.840	0.398	0.493	приступачне
affront	0.327	0.740	0.547	увреде
affronted	0.385	0.750	0.527	увређен
afield	0.594	0.370	0.373	афиелд
afire	0.367	0.904	0.675	пожар
afloat	0.602	0.427	0.444	на површини
afore	0.500	0.337	0.382	афоре
aforementioned	0.490	0.316	0.408	горе поменутог
aforesaid	0.531	0.358	0.478	поменутог
afraid	0.010	0.775	0.245	уплашен
afresh	0.643	0.521	0.480	изнова
aft	0.480	0.417	0.518	при крми
afterlife	0.571	0.567	0.568	загробни живот
aftermath	0.312	0.449	0.444	последице
afternoon	0.533	0.388	0.339	поподневни
aftershave	0.406	0.384	0.415	после бријања
aftertaste	0.354	0.362	0.455	афтертасте
afterthought	0.396	0.392	0.349	накнадно размишљање
aga	0.542	0.327	0.398	ага
agape	0.612	0.529	0.464	агапе
agate	0.540	0.377	0.483	ахат
age	0.561	0.226	0.498	старости
aged	0.135	0.365	0.236	старости
agency	0.460	0.296	0.583	агенција
agenda	0.531	0.296	0.553	дневни ред
agent	0.480	0.439	0.755	агент
agglomeration	0.450	0.765	0.509	агломерација
aggravate	0.224	0.770	0.464	отежати
aggravated	0.079	0.760	0.430	отежано
aggravates	0.108	0.778	0.357	отежава
aggravating	0.257	0.794	0.640	отежавајуће
aggravation	0.071	0.784	0.613	погоршање
aggregate	0.730	0.378	0.556	агрегат
aggregation	0.583	0.517	0.694	агрегација
aggresive	0.059	0.971	0.639	агресиван
aggression	0.094	0.929	0.533	агресија
aggressive	0.125	0.949	0.648	агресиван
aggressively	0.250	0.926	0.688	агресивно
aggressiveness	0.077	0.913	0.648	агресивност
aggressor	0.146	0.948	0.823	агресор
agh	0.260	0.500	0.400	агх
aghast	0.133	0.865	0.464	згрожен
aghhh	0.281	0.635	0.243	агххх
agile	0.800	0.657	0.775	окретан
agility	0.720	0.702	0.815	окретност
aging	0.214	0.255	0.284	старење
agitate	0.300	0.796	0.593	агитују
agitated	0.444	0.882	0.491	узнемирен
agitation	0.240	0.931	0.447	узнемиреност
aglow	0.780	0.510	0.797	сија
agnostic	0.306	0.396	0.574	агностички
ago	0.317	0.280	0.404	пре
agonizing	0.083	0.800	0.340	агонизирајући
agony	0.083	0.775	0.393	агонија
agoraphobia	0.127	0.712	0.438	агорафобија
agree	0.906	0.260	0.545	договорити се
agreeable	0.906	0.500	0.696	пријатан
agreed	0.797	0.449	0.574	пристао
agreeing	0.854	0.480	0.557	слажући се
agreement	0.760	0.440	0.736	договор
agressive	0.083	0.918	0.751	агресиван
agricultural	0.686	0.321	0.473	пољопривредних
agriculture	0.640	0.357	0.465	пољопривреде
aground	0.333	0.340	0.445	насукан
agua	0.598	0.180	0.436	агуа
ahead	0.708	0.520	0.673	напред
ahhh	0.562	0.517	0.241	аххх
ahhhhhhhh	0.552	0.649	0.288	ахххххххх
ahoy	0.500	0.497	0.380	ахои
aid	0.796	0.491	0.541	помоћ
aide	0.724	0.342	0.434	помоћник
aiding	0.643	0.533	0.569	помагање
aids	0.561	0.480	0.500	помагала
ail	0.375	0.434	0.385	аил
ailing	0.094	0.518	0.153	аилинг
ailment	0.146	0.734	0.277	болест
aim	0.481	0.569	0.567	циљ
aimless	0.150	0.267	0.183	бесциљно
air	0.708	0.163	0.427	ваздух
airbag	0.510	0.402	0.433	ваздушни јастук
airborne	0.542	0.519	0.385	ваздушним
aircraft	0.646	0.644	0.691	авиона
aircraft carrier	0.490	0.740	0.727	носач авиона
airfield	0.601	0.650	0.645	аеродром
airhead	0.271	0.481	0.276	аирхеад
airlift	0.573	0.622	0.642	ваздушни лифт
airline	0.650	0.482	0.688	ваздушна линија
airliner	0.667	0.777	0.647	авионом
airlock	0.398	0.520	0.447	ваздушна комора
airman	0.587	0.716	0.721	авијатичар
airplane	0.719	0.702	0.708	авион
airport	0.729	0.684	0.682	аеродром
airs	0.583	0.196	0.370	ваздуха
airship	0.542	0.472	0.529	ваздушни брод
airspace	0.562	0.510	0.640	ваздушни простор
airspeed	0.583	0.780	0.544	ваздушна брзина
airstrip	0.550	0.690	0.649	узлетиште
airtight	0.479	0.381	0.570	херметички
airway	0.638	0.585	0.482	дисајних путева
aisle	0.438	0.222	0.283	пролаз
ait	0.385	0.390	0.402	аит
ajar	0.460	0.413	0.446	ајар
aka	0.459	0.358	0.351	ака
akin	0.639	0.343	0.523	сродан
alabaster	0.542	0.404	0.445	алабастер
alarm	0.241	0.882	0.698	алармни
alarm clock	0.542	0.727	0.642	будилник
alarmed	0.188	0.822	0.492	узбуњен
alarming	0.204	0.890	0.585	алармантно
alas	0.571	0.310	0.279	авај
alb	0.521	0.380	0.427	алб
albatross	0.500	0.445	0.527	албатрос
albino	0.500	0.240	0.358	албино
album	0.635	0.349	0.453	албум
alchemy	0.541	0.583	0.693	алхемија
alcohol	0.323	0.667	0.377	алкохол
alcoholic	0.153	0.688	0.361	алкохоличар
alcoholism	0.061	0.779	0.407	алкохолизам
alcove	0.490	0.340	0.356	алцове
alderman	0.550	0.459	0.691	алдерман
ale	0.530	0.450	0.358	але
alert	0.479	0.820	0.648	узбуна
alertness	0.375	0.875	0.750	будност
alerts	0.337	0.804	0.673	упозорења
alfalfa	0.546	0.250	0.311	луцерка
algebra	0.440	0.340	0.565	алгебра
algebraic	0.531	0.412	0.441	алгебарски
algorithm	0.448	0.394	0.559	алгоритам
alias	0.541	0.353	0.333	алиас
alibi	0.396	0.528	0.556	алиби
alien	0.410	0.615	0.491	ванземаљац
alienate	0.247	0.500	0.523	отуђити
alienated	0.410	0.423	0.559	отуђен
alienation	0.378	0.530	0.462	отуђење
alight	0.667	0.657	0.605	упалити
align	0.656	0.364	0.627	поравнајте
aligned	0.583	0.275	0.553	Поравнање
alignment	0.643	0.412	0.683	поравнање
alike	0.653	0.173	0.444	једнако
alimentation	0.781	0.551	0.602	исхрана
alimony	0.612	0.477	0.464	алиментација
aliquot	0.440	0.310	0.404	аликвот
alive	0.816	0.637	0.731	жив
alkali	0.490	0.350	0.408	алкалијски
alkaloids	0.433	0.562	0.402	алкалоиди
allay	0.417	0.406	0.398	ублажити
allegation	0.578	0.578	0.608	навод
allege	0.418	0.482	0.587	наводе
alleged	0.365	0.522	0.520	наводно
allegiance	0.917	0.398	0.750	оданост
allegorical	0.517	0.558	0.598	алегоријски
allegory	0.615	0.580	0.509	алегорија
allegro	0.635	0.627	0.453	аллегро
allergic	0.135	0.549	0.273	алергични
allergy	0.296	0.606	0.389	алергија
alleviate	0.869	0.270	0.528	ублажити
alleviation	0.735	0.200	0.491	ублажавање
alley	0.347	0.500	0.355	сокак
alleyway	0.357	0.471	0.382	уличица
alliance	0.696	0.473	0.769	савез
allied	0.714	0.245	0.642	савезнички
alligator	0.354	0.704	0.645	алигатор
allocate	0.673	0.462	0.672	издвојити
allocation	0.604	0.388	0.679	алокација
allot	0.622	0.481	0.616	доделити
allotment	0.600	0.390	0.640	алотмент
allow	0.698	0.429	0.538	дозволити
allowable	0.698	0.500	0.561	дозвољено
allowance	0.673	0.382	0.591	џепарац
allowed	0.730	0.360	0.655	дозвољен
alloy	0.583	0.443	0.593	легура
allsmiles	0.786	0.528	0.430	аллсмилес
allure	0.804	0.585	0.686	привлачност
alluring	0.837	0.745	0.843	примамљив
allusion	0.440	0.308	0.462	алузија
alluvial	0.323	0.490	0.491	алувијалне
ally	0.792	0.320	0.688	савезник
almanac	0.688	0.190	0.412	алманах
almighty	0.938	0.874	0.958	свемогући
almond	0.698	0.183	0.314	бадем
aloft	0.771	0.373	0.700	алофт
aloha	0.698	0.440	0.441	алоха
alone	0.333	0.167	0.216	сама
alongside	0.458	0.333	0.347	поред
aloof	0.189	0.423	0.302	резервисан
aloud	0.458	0.713	0.750	наглас
alpha	0.708	0.340	0.755	алфа
alphabet	0.562	0.204	0.672	алфабет
alphabetical	0.537	0.296	0.535	алфабетски
alpine	0.594	0.337	0.474	алпски
alreadyyyyy	0.592	0.717	0.351	већииии
altar	0.724	0.387	0.635	олтар
altar boy	0.434	0.206	0.350	олтар дечак
alter	0.333	0.694	0.654	алтер
alteration	0.167	0.798	0.609	измена
altercation	0.170	0.806	0.500	свађање
altered	0.255	0.765	0.500	измењени
alternate	0.625	0.363	0.589	наизменично
alternating	0.480	0.494	0.542	наизменично
alternative	0.628	0.373	0.631	алтернатива
altimeter	0.615	0.510	0.580	висиномер
altitude	0.708	0.482	0.736	домет
alto	0.656	0.404	0.730	алто
altogether	0.833	0.324	0.644	у целини
aluminum	0.449	0.280	0.434	алуминијум
alumnus	0.633	0.368	0.422	алумнус
alveolar	0.469	0.481	0.367	алвеоларни
alzheimers	0.194	0.518	0.319	алцхајмер
amalgam	0.438	0.333	0.510	амалгам
amalgamation	0.406	0.470	0.531	спајање
amaretto	0.543	0.551	0.375	амаретто
amass	0.552	0.465	0.465	нагомилати
amateur	0.469	0.500	0.409	аматерски
amaze	0.896	0.843	0.783	задивити
amazed	0.796	0.779	0.533	задивљен
amazedness	0.827	0.872	0.510	чуђење
amazement	0.750	0.800	0.639	чуђење
amazing	0.906	0.837	0.849	Невероватно
amazingly	0.918	0.765	0.920	невероватно
ambassador	0.651	0.529	0.917	амбасадор
amber	0.635	0.308	0.369	ћилибар
ambience	0.735	0.356	0.426	амбијенту
ambient	0.625	0.360	0.582	амбијентални
ambiguity	0.164	0.460	0.370	двосмисленост
ambiguous	0.265	0.462	0.358	двосмислено
ambit	0.479	0.380	0.386	амбиција
ambition	0.510	0.804	0.661	амбиција
ambitious	0.484	0.821	0.717	амбициозан
ambivalent	0.510	0.404	0.482	амбивалентан
ambrosia	0.571	0.452	0.480	амброзија
ambulance	0.500	0.750	0.609	хитна помоћ
ambush	0.281	0.830	0.500	заседа
ameliorate	0.770	0.548	0.747	побољшати
amen	0.781	0.182	0.542	амин
amenable	0.448	0.410	0.406	подложан
amend	0.688	0.406	0.658	Исправити
amendment	0.531	0.459	0.606	амандман
amends	0.640	0.366	0.517	поправља
amenity	0.750	0.327	0.574	погодности
amethyst	0.622	0.406	0.517	аметист
amiable	0.847	0.290	0.483	љубазни
amicable	0.875	0.330	0.507	пријатељски
amid	0.510	0.340	0.256	усред
amidst	0.480	0.330	0.316	усред
amino	0.551	0.402	0.433	амино
ammo	0.323	0.765	0.621	муниције
ammonia	0.292	0.587	0.409	амонијак
ammonium	0.354	0.396	0.368	амонијум
ammunition	0.338	0.635	0.667	муниције
amnesia	0.296	0.330	0.308	амнезија
amnesty	0.551	0.451	0.814	амнестија
amorous	0.844	0.670	0.636	амороус
amorphous	0.327	0.402	0.349	аморфна
amortization	0.592	0.491	0.522	амортизација
amount	0.562	0.422	0.649	износ
amour	0.865	0.480	0.652	амоур
amp	0.439	0.393	0.375	амп
ampersand	0.480	0.448	0.483	амперсанд
amphetamines	0.133	0.667	0.526	амфетамине
amphibian	0.427	0.357	0.474	водоземац
amphibious	0.479	0.346	0.445	амфибијски
amphitheater	0.653	0.480	0.545	амфитеатар
ample	0.744	0.349	0.719	обилно
amplification	0.690	0.677	0.810	појачање
amplify	0.677	0.735	0.827	појачати
amplitude	0.694	0.439	0.692	амплитуда
amply	0.781	0.431	0.766	обилно
amputate	0.092	0.660	0.509	ампутирати
amputation	0.100	0.755	0.483	ампутација
amuck	0.385	0.602	0.321	амуцк
amulet	0.781	0.260	0.630	амајлија
amuse	0.812	0.684	0.664	забавити
amused	0.942	0.847	0.596	забављена
amusement	0.929	0.837	0.803	забава
amusing	0.960	0.829	0.632	забаван
ana	0.541	0.300	0.314	ана
anaconda	0.146	0.830	0.540	анаконда
anaesthesia	0.350	0.217	0.473	анестезија
anaesthetic	0.449	0.268	0.509	анестетик
anagram	0.552	0.327	0.449	анаграм
anal	0.333	0.798	0.334	анал
analgesic	0.417	0.321	0.441	аналгетик
analogous	0.531	0.270	0.500	аналогно
analogue	0.570	0.320	0.446	аналогни
analogy	0.510	0.367	0.509	аналогија
analysis	0.729	0.448	0.705	анализа
analyst	0.604	0.415	0.755	аналитичар
analytic	0.665	0.521	0.634	аналитички
analytical	0.625	0.324	0.800	аналитичке
analyze	0.667	0.462	0.710	анализирати
analyzer	0.625	0.556	0.854	анализатор
anaphylactic	0.378	0.588	0.500	анафилактички
anarchism	0.125	0.804	0.623	анархизам
anarchist	0.204	0.700	0.759	анархиста
anarchy	0.146	0.755	0.620	анархија
anastomosis	0.375	0.470	0.490	анастомоза
anathema	0.286	0.490	0.519	анатема
anatomic	0.562	0.442	0.546	анатомски
anatomy	0.562	0.390	0.571	анатомија
ancestor	0.592	0.388	0.594	предак
ancestral	0.640	0.481	0.750	предака
ancestry	0.708	0.519	0.717	предака
anchor	0.520	0.284	0.564	сидро
anchorage	0.500	0.325	0.639	сидриште
ancient	0.420	0.217	0.439	древни
ancillary	0.449	0.442	0.278	помоћни
androgen	0.255	0.523	0.527	андроген
android	0.663	0.436	0.500	андроид
anecdote	0.583	0.529	0.500	анегдота
anemia	0.188	0.327	0.310	анемија
anemic	0.167	0.279	0.155	анемична
anemone	0.552	0.538	0.327	анемоне
anesthesia	0.365	0.216	0.394	анестезија
