English Word	Valence	Arousal	Dominance	Uyghur Word
accuracy	0.604	0.481	0.802	توغرىلىق
accurate	0.743	0.360	0.737	توغرا
accursed	0.135	0.745	0.345	لەنەت قىلىندى
accusation	0.073	0.718	0.564	ئەيىبلەش
accusative	0.198	0.755	0.482	ئەيىبلىگۈچى
accuse	0.133	0.752	0.500	ئەيىبلەش
accused	0.130	0.670	0.420	ئەيىبلەنگۈچى
accuser	0.122	0.779	0.615	ئەيىبلىگۈچى
accusing	0.156	0.745	0.324	ئەيىبلەش
accustomed	0.542	0.365	0.441	كۆنگەن
ace	0.643	0.481	0.546	ace
acetic	0.333	0.420	0.519	ئاچچىقسۇ
acetylene	0.306	0.469	0.509	acetylene
ache	0.146	0.760	0.312	ئاغرىق
achieve	0.816	0.545	0.843	ئېرىشىش
achieved	0.896	0.519	0.775	قولغا كەلتۈرۈلدى
achievement	0.896	0.808	0.759	مۇۋەپپەقىيەت
aching	0.053	0.880	0.348	ئاغرىۋاتىدۇ
achy	0.167	0.840	0.373	ئاغرىق
acid	0.265	0.642	0.566	كىسلاتا
acidity	0.156	0.663	0.360	كىسلاتالىق
acknowledge	0.786	0.370	0.661	ئېتىراپ قىلىڭ
acknowledged	0.714	0.443	0.765	ئېتىراپ قىلدى
acknowledgement	0.819	0.539	0.830	ئېتىراپ قىلىش
acknowledgment	0.796	0.528	0.777	ئېتىراپ قىلىش
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	دانىخورەك
acorn	0.448	0.198	0.192	acorn
acoustic	0.542	0.462	0.536	acoustic
acoustics	0.611	0.330	0.509	acoustics
acquaint	0.646	0.491	0.639	تونۇش
acquaintance	0.656	0.290	0.670	تونۇش
acquainted	0.906	0.358	0.632	تونۇش
acquiescence	0.542	0.480	0.554	ماقۇل
acquire	0.833	0.468	0.700	ئېرىشىش
acquiring	0.735	0.510	0.817	ئېرىشىش
acquisition	0.698	0.509	0.736	سېتىۋېلىش
acquisitions	0.773	0.660	0.790	سېتىۋېلىش
acquit	0.583	0.571	0.611	گۇناھسىز
acquittal	0.760	0.497	0.700	گۇناھسىز
acre	0.583	0.387	0.423	acre
acreage	0.741	0.450	0.528	acreage
acres	0.510	0.363	0.500	مو
acrobat	0.708	0.828	0.602	acrobat
acrylic	0.582	0.279	0.420	acrylic
act	0.656	0.704	0.735	ھەرىكەت
acting	0.698	0.643	0.500	رول ئېلىش
action	0.760	0.898	0.802	ھەرىكەت
action figure	0.615	0.774	0.611	ھەرىكەت سان
actionable	0.673	0.702	0.613	ھەرىكەتچان
activate	0.764	0.650	0.806	ئاكتىپلاش
activation	0.781	0.800	0.754	ئاكتىپلاش
active	0.847	0.730	0.731	ئاكتىپ
activist	0.531	0.653	0.877	پائالىيەتچى
activity	0.701	0.660	0.807	پائالىيەت
actor	0.653	0.561	0.629	ئارتىس
actress	0.633	0.556	0.596	ئارتىس
actual	0.729	0.400	0.716	ئەمەلىي
actuality	0.750	0.464	0.600	ئەمەلىيەت
actuary	0.510	0.404	0.491	actuary
acuity	0.469	0.378	0.741	acuity
acumen	0.564	0.660	0.679	acumen
acupuncture	0.531	0.324	0.549	يىڭنە سانجىش
acute	0.427	0.652	0.534	ئۆتكۈر
acutely	0.417	0.543	0.491	ئۆتكۈر
ad	0.521	0.705	0.558	ئېلان
adage	0.517	0.415	0.566	adage
adamant	0.344	0.529	0.575	قەتئىيلىك
adapt	0.740	0.355	0.551	ماسلىشىش
adaptable	0.735	0.423	0.641	ماسلىشىشچان
adaptation	0.663	0.365	0.609	ماسلىشىش
add	0.728	0.490	0.554	قوش
added	0.562	0.405	0.509	قوشۇلدى
addendum	0.392	0.370	0.418	قوشۇمچە
adder	0.388	0.461	0.588	adder
addict	0.075	0.696	0.327	خۇمار
addicted	0.156	0.712	0.483	خۇمار
addiction	0.180	0.806	0.420	خۇمار
addictive	0.302	0.683	0.472	خۇمار
addition	0.562	0.373	0.471	addition
additional	0.673	0.462	0.526	قوشۇمچە
additive	0.561	0.633	0.691	خۇرۇچ
address	0.650	0.327	0.567	ئادرېس
addressee	0.622	0.382	0.538	ئادرېس
addresses	0.510	0.354	0.450	ئادرېس
adept	0.594	0.539	0.789	adept
adequacy	0.615	0.435	0.702	يېتەرلىك
adequate	0.854	0.264	0.705	يېتەرلىك
adhere	0.633	0.339	0.554	چىڭ تۇرۇش
adherence	0.760	0.307	0.630	چىڭ تۇرۇش
adherent	0.561	0.385	0.555	adherent
adhering	0.612	0.561	0.537	چىڭ تۇرۇش
adhesion	0.521	0.445	0.586	adhesion
adhesive	0.604	0.350	0.413	چاپلاشتۇرغۇچ
adieu	0.250	0.471	0.342	adieu
adipose	0.333	0.350	0.391	adipose
adjacency	0.365	0.417	0.375	يانداش
adjacent	0.645	0.276	0.536	يانداش
adjective	0.570	0.316	0.569	سۈپەت
adjoining	0.520	0.400	0.393	يانداش
adjourn	0.385	0.456	0.475	كېچىكتۈرۈش
adjournment	0.438	0.510	0.370	كېچىكتۈرۈش
adjudicate	0.559	0.520	0.683	ھۆكۈم قىلىش
adjudication	0.551	0.462	0.691	ھۆكۈم
adjunct	0.459	0.440	0.426	adjunct
adjust	0.647	0.327	0.638	تەڭشەش
adjuster	0.510	0.540	0.760	تەڭشىگۈچ
adjustment	0.590	0.520	0.661	تەڭشەش
adjuvant	0.510	0.500	0.456	adjuvant
admin	0.688	0.420	0.854	admin
administer	0.635	0.425	0.860	باشقۇرغۇچى
administration	0.625	0.404	0.786	باشقۇرۇش
administrative	0.542	0.415	0.579	مەمۇرىي
administrator	0.538	0.480	0.902	باشقۇرغۇچى
admirable	0.929	0.600	0.870	ئالقىشلىق
admiral	0.844	0.490	0.847	admiral
admiralty	0.594	0.547	0.733	admiralty
admiration	0.969	0.583	0.726	قايىل
admire	0.867	0.692	0.704	admire
admired	0.917	0.560	0.815	- دېدى
admirer	0.796	0.720	0.650	admirer
admiring	0.867	0.578	0.629	قايىل
admissibility	0.802	0.580	0.602	قوبۇل قىلىشقا بولىدۇ
admissible	0.780	0.528	0.642	قوبۇل قىلىشقا بولىدۇ
admission	0.802	0.415	0.732	قوبۇل قىلىش
admit	0.538	0.423	0.667	ئېتىراپ قىلىڭ
admittance	0.690	0.451	0.598	قوبۇل قىلىش
admitted	0.720	0.490	0.767	ئېتىراپ قىلدى
admitting	0.620	0.500	0.546	ئېتىراپ قىلىش
admixture	0.450	0.375	0.438	admixture
admonition	0.357	0.606	0.455	نەسىھەت
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	ياشلىق دەۋرى
adolescent	0.781	0.680	0.509	ئۆسمۈر
adopt	0.694	0.612	0.701	بېقىۋېلىش
adoption	0.625	0.566	0.589	بېقىۋېلىش
adoptive	0.531	0.469	0.520	بېقىۋالغۇچى
adorable	0.969	0.519	0.457	adorable
adoration	0.885	0.699	0.708	چوقۇنۇش
adore	0.854	0.438	0.657	adore
adoring	0.885	0.620	0.717	چوقۇنۇش
adorn	0.910	0.424	0.482	زىننەتلەش
adornment	0.918	0.373	0.377	زىننەت
adrenalin	0.865	0.920	0.786	adrenalin
adrenaline	0.765	0.965	0.825	adrenaline
adrift	0.398	0.486	0.230	adrift
adult	0.815	0.491	0.787	قۇرامىغا يەتكەنلەر
adulterated	0.188	0.865	0.370	زىنا
adulterer	0.229	0.814	0.407	زىنا قىلغۇچى
adultery	0.120	0.922	0.510	زىنا
adulthood	0.541	0.454	0.652	قۇرامىغا يەتكەن
advance	0.673	0.472	0.858	ئالغا ئىلگىرىلەش
advanced	0.844	0.623	0.797	ئىلغار
advancement	0.776	0.650	0.839	ئىلگىرىلەش
advancing	0.929	0.608	0.812	ئالغا ئىلگىرىلەۋاتىدۇ
advantage	0.917	0.548	0.859	ئەۋزەللىكى
advantageous	0.837	0.640	0.789	پايدىلىق
advent	0.665	0.560	0.627	advent
adventure	0.917	0.857	0.710	تەۋەككۈلچىلىك
adventurer	0.781	0.839	0.868	تەۋەككۈلچى
adventures	0.812	0.764	0.749	تەۋەككۈلچىلىك
adventurous	0.969	0.898	0.722	تەۋەككۈلچىلىك
adversary	0.349	0.777	0.457	رەقىبى
adverse	0.323	0.610	0.385	پايدىسىز
adversity	0.276	0.760	0.538	قىيىنچىلىق
advertise	0.500	0.529	0.580	ئېلان
advertisement	0.600	0.566	0.539	ئېلان
advertising	0.622	0.608	0.632	ئېلان
adverts	0.551	0.500	0.595	adverts
advice	0.698	0.408	0.688	مەسلىھەت
advisable	0.867	0.480	0.510	مۇۋاپىق
advise	0.760	0.393	0.705	مەسلىھەت بېرىڭ
advised	0.823	0.330	0.509	نەسىھەت قىلدى
advisement	0.698	0.235	0.655	مەسلىھەت
adviser	0.745	0.362	0.705	مەسلىھەتچى
advisor	0.646	0.350	0.689	مەسلىھەتچى
advisory	0.656	0.429	0.633	مەسلىھەت
advocacy	0.500	0.646	0.731	تەشەببۇس قىلىش
advocate	0.551	0.530	0.818	ئادۋوكات
aegis	0.490	0.439	0.462	aegis
aeration	0.550	0.500	0.433	aeration
aerial	0.615	0.461	0.463	ھاۋا
aerobics	0.708	0.771	0.627	aerobics
aerodrome	0.541	0.740	0.678	aerodrome
aerodynamic	0.561	0.724	0.728	aerodynamic
aerodynamics	0.590	0.663	0.722	aerodynamics
aeronautics	0.551	0.633	0.688	ئاۋىئاتسىيە
aeroplane	0.714	0.642	0.644	ئايروپىلان
aerospace	0.643	0.520	0.779	ئالەم بوشلۇقى
aesthetic	0.708	0.442	0.526	ئېستېتىك
aesthetics	0.847	0.327	0.549	گۈزەللىك
aetiology	0.480	0.398	0.615	aetiology
afar	0.396	0.373	0.358	يىراق
affable	0.704	0.380	0.452	affable
affair	0.520	0.459	0.657	ئىش
affect	0.458	0.569	0.578	تەسىر
affecting	0.350	0.574	0.394	تەسىر قىلىۋاتىدۇ
affection	0.898	0.559	0.696	مېھرى
affectionate	0.949	0.422	0.550	مېھرىبان
affections	0.760	0.547	0.655	affection
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	affidavit
affiliated	0.673	0.519	0.535	مۇناسىۋەتلىك
affiliation	0.615	0.594	0.500	تەۋەلىكى
affinity	0.800	0.500	0.537	يېقىنلىق
affirm	0.745	0.509	0.731	جەزملەشتۈرۈڭ
affirmation	0.750	0.500	0.689	جەزملەشتۈرۈش
affirmative	0.854	0.589	0.816	affirmative
affirmatively	0.908	0.500	0.811	مۇئەييەنلەشتۈردى
affix	0.438	0.335	0.411	affix
afflict	0.302	0.555	0.293	ئازاب
afflicted	0.271	0.500	0.167	ئازابلاندى
affliction	0.294	0.635	0.392	ئازاب
affluence	0.663	0.618	0.722	باياشات
affluent	0.756	0.388	0.477	باي
afford	0.571	0.580	0.575	ئەرزان
affordable	0.840	0.398	0.493	ئەرزان
affront	0.327	0.740	0.547	affront
affronted	0.385	0.750	0.527	قارشىلاشتى
afield	0.594	0.370	0.373	afield
afire	0.367	0.904	0.675	afire
afloat	0.602	0.427	0.444	afloat
afore	0.500	0.337	0.382	يۇقىرىدا
aforementioned	0.490	0.316	0.408	يۇقىرىدا تىلغا ئېلىنغان
aforesaid	0.531	0.358	0.478	يۇقىرىدا
afraid	0.010	0.775	0.245	قورقىدۇ
afresh	0.643	0.521	0.480	afresh
aft	0.480	0.417	0.518	aft
afterlife	0.571	0.567	0.568	ئاخىرەت
aftermath	0.312	0.449	0.444	aftermath
afternoon	0.533	0.388	0.339	چۈشتىن كېيىن
aftershave	0.406	0.384	0.415	Aftershave
aftertaste	0.354	0.362	0.455	aftertaste
afterthought	0.396	0.392	0.349	كېيىنچە
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	agate
age	0.561	0.226	0.498	يېشى
aged	0.135	0.365	0.236	ياشانغان
agency	0.460	0.296	0.583	Agency
agenda	0.531	0.296	0.553	كۈن تەرتىپى
agent	0.480	0.439	0.755	ۋاكالەتچى
agglomeration	0.450	0.765	0.509	agglomeration
aggravate	0.224	0.770	0.464	aggravate
aggravated	0.079	0.760	0.430	ئېغىرلاشتى
aggravates	0.108	0.778	0.357	ئېغىرلاشتۇرۇۋېتىدۇ
aggravating	0.257	0.794	0.640	ئېغىرلاشتۇرۇۋاتىدۇ
aggravation	0.071	0.784	0.613	aggravation
aggregate	0.730	0.378	0.556	يىغىلغان
aggregation	0.583	0.517	0.694	توپلاش
aggresive	0.059	0.971	0.639	aggresive
aggression	0.094	0.929	0.533	تاجاۋۇزچىلىق
aggressive	0.125	0.949	0.648	تاجاۋۇزچى
aggressively	0.250	0.926	0.688	تاجاۋۇزچىلىق
aggressiveness	0.077	0.913	0.648	تاجاۋۇزچىلىق
aggressor	0.146	0.948	0.823	تاجاۋۇزچى
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	aghast
aghhh	0.281	0.635	0.243	aghhh
agile	0.800	0.657	0.775	agile
agility	0.720	0.702	0.815	چاققانلىق
aging	0.214	0.255	0.284	قېرىش
agitate	0.300	0.796	0.593	agitate
agitated	0.444	0.882	0.491	ھاياجانلاندى
agitation	0.240	0.931	0.447	agitation
aglow	0.780	0.510	0.797	aglow
agnostic	0.306	0.396	0.574	agnostic
ago	0.317	0.280	0.404	ago
agonizing	0.083	0.800	0.340	ئازابلىق
agony	0.083	0.775	0.393	ئازاب
agoraphobia	0.127	0.712	0.438	agoraphobia
agree	0.906	0.260	0.545	ماقۇل
agreeable	0.906	0.500	0.696	ماقۇل
agreed	0.797	0.449	0.574	ماقۇل بولدى
agreeing	0.854	0.480	0.557	ماقۇل
agreement	0.760	0.440	0.736	كېلىشىم
agressive	0.083	0.918	0.751	agressive
agricultural	0.686	0.321	0.473	دېھقانچىلىق
agriculture	0.640	0.357	0.465	دېھقانچىلىق
aground	0.333	0.340	0.445	aground
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	ئالدىدا
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhh
ahoy	0.500	0.497	0.380	ahoy
aid	0.796	0.491	0.541	ياردەم
aide	0.724	0.342	0.434	ياردەمچى
aiding	0.643	0.533	0.569	ياردەم
aids	0.561	0.480	0.500	ياردەم
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	كېسەل
ailment	0.146	0.734	0.277	ailment
aim	0.481	0.569	0.567	نىشان
aimless	0.150	0.267	0.183	نىشانسىز
air	0.708	0.163	0.427	ھاۋا
airbag	0.510	0.402	0.433	بىخەتەرلىك ھاۋا خالتىسى
airborne	0.542	0.519	0.385	airborne
aircraft	0.646	0.644	0.691	ئايروپىلان
aircraft carrier	0.490	0.740	0.727	ئاۋىئاماتكا
airfield	0.601	0.650	0.645	ئايرودروم
airhead	0.271	0.481	0.276	airhead
airlift	0.573	0.622	0.642	airlift
airline	0.650	0.482	0.688	ئاۋىئاتسىيە شىركىتى
airliner	0.667	0.777	0.647	airliner
airlock	0.398	0.520	0.447	airlock
airman	0.587	0.716	0.721	airman
airplane	0.719	0.702	0.708	ئايروپىلان
airport	0.729	0.684	0.682	ئايرودروم
airs	0.583	0.196	0.370	airs
airship	0.542	0.472	0.529	airship
airspace	0.562	0.510	0.640	ھاۋا بوشلۇقى
airspeed	0.583	0.780	0.544	airspeed
airstrip	0.550	0.690	0.649	airstrip
airtight	0.479	0.381	0.570	ھاۋا ئۆتۈشۈش
airway	0.638	0.585	0.482	airway
aisle	0.438	0.222	0.283	aisle
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	ajar
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	akin
alabaster	0.542	0.404	0.445	alabaster
alarm	0.241	0.882	0.698	ئاگاھلاندۇرۇش
alarm clock	0.542	0.727	0.642	قوڭغۇراقلىق سائەت
alarmed	0.188	0.822	0.492	ئالاقزادە بولۇپ كەتتى
alarming	0.204	0.890	0.585	ئاگاھلاندۇرۇش
alas	0.571	0.310	0.279	ئەپسۇس
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatross
albino	0.500	0.240	0.358	albino
album	0.635	0.349	0.453	album
alchemy	0.541	0.583	0.693	alchemy
alcohol	0.323	0.667	0.377	ھاراق
alcoholic	0.153	0.688	0.361	ھاراقكەش
alcoholism	0.061	0.779	0.407	ھاراقكەشلىك
alcove	0.490	0.340	0.356	alcove
alderman	0.550	0.459	0.691	alderman
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	ئاگاھ
alertness	0.375	0.875	0.750	ھوشيارلىق
alerts	0.337	0.804	0.673	ئاگاھلاندۇرۇش
alfalfa	0.546	0.250	0.311	alfalfa
algebra	0.440	0.340	0.565	algebra
algebraic	0.531	0.412	0.441	algebraic
algorithm	0.448	0.394	0.559	ئالگورىزىم
alias	0.541	0.353	0.333	alias
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	تاشقى پىلانېت ئادەملىرى
alienate	0.247	0.500	0.523	چەتكە قېقىش
alienated	0.410	0.423	0.559	چەتكە قېقىلدى
alienation	0.378	0.530	0.462	ياتلىشىش
alight	0.667	0.657	0.605	alight
align	0.656	0.364	0.627	توغرىلاش
aligned	0.583	0.275	0.553	توغرىلاندى
alignment	0.643	0.412	0.683	توغرىلاش
alike	0.653	0.173	0.444	ئوخشاش
alimentation	0.781	0.551	0.602	alimentation
alimony	0.612	0.477	0.464	بېقىش ھەققى
aliquot	0.440	0.310	0.404	aliquot
alive	0.816	0.637	0.731	ھايات
alkali	0.490	0.350	0.408	alkali
alkaloids	0.433	0.562	0.402	alkaloids
allay	0.417	0.406	0.398	allay
allegation	0.578	0.578	0.608	ئەيىبلەش
allege	0.418	0.482	0.587	ئەيىبلەش
alleged	0.365	0.522	0.520	دەپ ئەيىبلەنگەن
allegiance	0.917	0.398	0.750	ساداقەت
allegorical	0.517	0.558	0.598	allegorical
allegory	0.615	0.580	0.509	allegory
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	allergic
allergy	0.296	0.606	0.389	سەزگۈرلۈك كېسىلى
alleviate	0.869	0.270	0.528	يېنىكلىتىش
alleviation	0.735	0.200	0.491	يېنىكلىتىش
alley	0.347	0.500	0.355	alley
alleyway	0.357	0.471	0.382	alleyway
alliance	0.696	0.473	0.769	ئىتتىپاق
allied	0.714	0.245	0.642	ئىتتىپاقداش
alligator	0.354	0.704	0.645	alligator
allocate	0.673	0.462	0.672	تەقسىم قىلىڭ
allocation	0.604	0.388	0.679	تەقسىملەش
allot	0.622	0.481	0.616	تەقسىم قىلىڭ
allotment	0.600	0.390	0.640	تەقسىملەش
allow	0.698	0.429	0.538	رۇخسەت
allowable	0.698	0.500	0.561	رۇخسەت
allowance	0.673	0.382	0.591	ياردەم پۇلى
allowed	0.730	0.360	0.655	رۇخسەت قىلىنغان
alloy	0.583	0.443	0.593	alloy
allsmiles	0.786	0.528	0.430	allsmiles
allure	0.804	0.585	0.686	allure
alluring	0.837	0.745	0.843	alluring
allusion	0.440	0.308	0.462	allusion
alluvial	0.323	0.490	0.491	alluvial
ally	0.792	0.320	0.688	ئىتتىپاقداش
almanac	0.688	0.190	0.412	almanac
almighty	0.938	0.874	0.958	ھەممىگە قادىر
almond	0.698	0.183	0.314	بادام
aloft	0.771	0.373	0.700	aloft
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	يالغۇز
alongside	0.458	0.333	0.347	بىللە
aloof	0.189	0.423	0.302	aloof
aloud	0.458	0.713	0.750	يۇقىرى ئاۋازدا
alpha	0.708	0.340	0.755	alpha
alphabet	0.562	0.204	0.672	ئېلىپبە
alphabetical	0.537	0.296	0.535	ئېلىپبە
alpine	0.594	0.337	0.474	alpine
alreadyyyyy	0.592	0.717	0.351	ئاللىبۇرۇن
altar	0.724	0.387	0.635	قۇربانلىق سۇپىسى
altar boy	0.434	0.206	0.350	قۇربانلىق سۇپىسى
alter	0.333	0.694	0.654	alter
alteration	0.167	0.798	0.609	ئۆزگەرتىش
altercation	0.170	0.806	0.500	تالاش-تارتىش
altered	0.255	0.765	0.500	ئۆزگەرتىلدى
alternate	0.625	0.363	0.589	alternate
alternating	0.480	0.494	0.542	ئالمىشىش
alternative	0.628	0.373	0.631	ئۇنىڭدىن باشقا
altimeter	0.615	0.510	0.580	altimeter
altitude	0.708	0.482	0.736	ئېگىزلىك
alto	0.656	0.404	0.730	alto
altogether	0.833	0.324	0.644	پۈتۈنلەي
aluminum	0.449	0.280	0.434	ئاليۇمىن
alumnus	0.633	0.368	0.422	alumnus
alveolar	0.469	0.481	0.367	alveolar
alzheimers	0.194	0.518	0.319	alzheimers
amalgam	0.438	0.333	0.510	amalgam
amalgamation	0.406	0.470	0.531	بىرلەشتۈرۈش
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	amass
amateur	0.469	0.500	0.409	ھەۋەسكار
amaze	0.896	0.843	0.783	ھەيران
amazed	0.796	0.779	0.533	ھەيران قالدى
