English Word	Valence	Arousal	Dominance	Scots-Gaelic Word
absent	0.177	0.221	0.116	neo-làthaireach
absentee	0.235	0.330	0.279	neo-làthaireach
absenteeism	0.404	0.273	0.357	neo-làthaireachd
absinthe	0.481	0.510	0.462	absinthe
absolute	0.526	0.510	0.827	iomlan
absolution	0.715	0.500	0.664	fuasglaidh
absolve	0.684	0.449	0.660	gu tur
absorb	0.469	0.558	0.670	sùghadh
absorbed	0.490	0.471	0.519	air a ghabhail a-steach
absorbent	0.552	0.394	0.718	sùghaidh
absorbing	0.490	0.490	0.578	a' gabhail a-steach
absorption	0.609	0.422	0.446	uchd-mhacachd
abstain	0.385	0.385	0.427	seachnadh
abstention	0.271	0.264	0.509	seachnadh
abstinence	0.260	0.392	0.429	staonadh
abstract	0.438	0.292	0.444	eas-chruthach
abstraction	0.469	0.439	0.525	tarraing às
absurd	0.188	0.656	0.284	absurd
absurdity	0.115	0.528	0.227	neo-làthaireachd
abundance	0.812	0.690	0.852	pailteas
abundant	0.958	0.590	0.760	pailt
abuse	0.071	0.873	0.469	mì-ghnàthachadh
abused	0.021	0.874	0.235	mì-ghnàthachadh
abusive	0.125	0.903	0.567	maslach
abutment	0.500	0.265	0.616	uchd-mhacachd
aby	0.385	0.452	0.368	air falbh
abysmal	0.250	0.710	0.598	dubhach
abyss	0.353	0.725	0.296	àluinn
academic	0.781	0.420	0.812	acadaimigeach
academy	0.704	0.473	0.792	acadamaidh
accede	0.698	0.510	0.537	aontaich
accelerant	0.643	0.844	0.802	luathaiche
accelerate	0.615	0.902	0.759	luathaich
accelerated	0.610	0.812	0.682	luathaich
acceleration	0.704	0.905	0.843	luathachadh
accelerator	0.593	0.830	0.812	luathadair
accent	0.598	0.357	0.509	stràc
accentuate	0.673	0.556	0.667	stràc
accept	0.847	0.286	0.565	gabhail ris
acceptable	0.812	0.286	0.583	gabhail ris
acceptance	0.833	0.287	0.755	gabhail ris
acceptances	0.847	0.413	0.648	gabhail ris
access	0.714	0.472	0.567	ruigsinneachd
accessible	0.796	0.410	0.645	ruigsinneach
accession	0.612	0.383	0.636	aontachas
accessory	0.562	0.292	0.445	accessory
accident	0.125	0.908	0.336	tubaist
accidental	0.319	0.784	0.307	tubaist
accidentally	0.333	0.741	0.333	gun fhiosta
acclaim	0.562	0.809	0.718	cliù
accolade	0.688	0.591	0.775	cliù
accommodate	0.844	0.375	0.566	àiteachadh
accommodation	0.817	0.415	0.587	àite-fuirich
accompaniment	0.740	0.479	0.695	coisrigeadh
accompany	0.833	0.406	0.585	an cois
accompanying	0.787	0.460	0.582	na chois
accomplice	0.408	0.580	0.510	neach-taice
accomplish	0.929	0.673	0.816	deàrn
accomplished	0.870	0.520	0.798	choileanta
accomplishment	0.917	0.694	0.888	coileanadh
accord	0.898	0.264	0.382	aonta
accordance	0.659	0.349	0.600	a rèir
accordion	0.604	0.490	0.361	bogsa-ciùil
account	0.531	0.347	0.472	cunntas
accountability	0.755	0.537	0.833	cunntachalachd
accountable	0.709	0.282	0.777	cunntachail
accountant	0.625	0.450	0.639	cunntasair
accounting	0.552	0.390	0.677	cunntasachd
accounts	0.592	0.340	0.471	cunntasan
accredited	0.669	0.479	0.768	barrantaichte
accretion	0.448	0.519	0.672	togail
accrue	0.520	0.481	0.602	tàrmachadh
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	cruinneachadh
accumulation	0.479	0.527	0.600	cruinneachadh
accuracy	0.604	0.481	0.802	cruinneas
accurate	0.743	0.360	0.737	cruinn
accursed	0.135	0.745	0.345	mallaichte
accusation	0.073	0.718	0.564	casaid
accusative	0.198	0.755	0.482	casaid
accuse	0.133	0.752	0.500	casaid
accused	0.130	0.670	0.420	fo chasaid
accuser	0.122	0.779	0.615	neach-casaid
accusing	0.156	0.745	0.324	a' casaid
accustomed	0.542	0.365	0.441	cleachdte
ace	0.643	0.481	0.546	ace
acetic	0.333	0.420	0.519	acetic
acetylene	0.306	0.469	0.509	acetylene
ache	0.146	0.760	0.312	cràdh
achieve	0.816	0.545	0.843	coileanadh
achieved	0.896	0.519	0.775	air a choileanadh
achievement	0.896	0.808	0.759	euchd
aching	0.053	0.880	0.348	cràdh
achy	0.167	0.840	0.373	achaidh
acid	0.265	0.642	0.566	searbhag
acidity	0.156	0.663	0.360	searbhachd
acknowledge	0.786	0.370	0.661	aideachadh
acknowledged	0.714	0.443	0.765	aideachadh
acknowledgement	0.819	0.539	0.830	aideachadh
acknowledgment	0.796	0.528	0.777	aideachadh
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	acain
acorn	0.448	0.198	0.192	dearcan
acoustic	0.542	0.462	0.536	fuaimneach
acoustics	0.611	0.330	0.509	fuaimneach
acquaint	0.646	0.491	0.639	eòlach
acquaintance	0.656	0.290	0.670	eòlais
acquainted	0.906	0.358	0.632	eòlach
acquiescence	0.542	0.480	0.554	aontachas
acquire	0.833	0.468	0.700	faigh
acquiring	0.735	0.510	0.817	a' faighinn
acquisition	0.698	0.509	0.736	togail
acquisitions	0.773	0.660	0.790	togail
acquit	0.583	0.571	0.611	saoradh
acquittal	0.760	0.497	0.700	saoradh
acre	0.583	0.387	0.423	acair
acreage	0.741	0.450	0.528	acaire
acres	0.510	0.363	0.500	acair
acrobat	0.708	0.828	0.602	acrobat
acrylic	0.582	0.279	0.420	acrylic
act	0.656	0.704	0.735	achd
acting	0.698	0.643	0.500	cleasachd
action	0.760	0.898	0.802	gnìomh
action figure	0.615	0.774	0.611	figear gnìomha
actionable	0.673	0.702	0.613	gnìomhach
activate	0.764	0.650	0.806	cuir an gnìomh
activation	0.781	0.800	0.754	gnìomhachadh
active	0.847	0.730	0.731	gnìomhach
activist	0.531	0.653	0.877	neach-iomairt
activity	0.701	0.660	0.807	gnìomh
actor	0.653	0.561	0.629	actair
actress	0.633	0.556	0.596	bana-chleasaiche
actual	0.729	0.400	0.716	fìor
actuality	0.750	0.464	0.600	fìrinn
actuary	0.510	0.404	0.491	achdaire
acuity	0.469	0.378	0.741	acuity
acumen	0.564	0.660	0.679	acumen
acupuncture	0.531	0.324	0.549	acupuncture
acute	0.427	0.652	0.534	acrach
acutely	0.417	0.543	0.491	gu dian
ad	0.521	0.705	0.558	sanas
adage	0.517	0.415	0.566	adachd
adamant	0.344	0.529	0.575	diamhanach
adapt	0.740	0.355	0.551	atharraich
adaptable	0.735	0.423	0.641	freagarrach
adaptation	0.663	0.365	0.609	atharrachadh
add	0.728	0.490	0.554	cuir
added	0.562	0.405	0.509	air a chur ris
addendum	0.392	0.370	0.418	addendum
adder	0.388	0.461	0.588	nathair-nimhe
addict	0.075	0.696	0.327	tràilleach
addicted	0.156	0.712	0.483	tràilleach
addiction	0.180	0.806	0.420	tràilleachd
addictive	0.302	0.683	0.472	addictive
addition	0.562	0.373	0.471	cur-ris
additional	0.673	0.462	0.526	a bharrachd
additive	0.561	0.633	0.691	cur-ris
address	0.650	0.327	0.567	seòladh
addressee	0.622	0.382	0.538	neach-seòlaidh
addresses	0.510	0.354	0.450	seòlaidhean
adept	0.594	0.539	0.789	comasach
adequacy	0.615	0.435	0.702	freagarrachd
adequate	0.854	0.264	0.705	iomchaidh
adhere	0.633	0.339	0.554	cumail
adherence	0.760	0.307	0.630	gèilleadh
adherent	0.561	0.385	0.555	aidiche
adhering	0.612	0.561	0.537	a' cumail
adhesion	0.521	0.445	0.586	adhesion
adhesive	0.604	0.350	0.413	adhesive
adieu	0.250	0.471	0.342	adh
adipose	0.333	0.350	0.391	adipose
adjacency	0.365	0.417	0.375	ri taobh
adjacent	0.645	0.276	0.536	ri taobh
adjective	0.570	0.316	0.569	buadhair
adjoining	0.520	0.400	0.393	ri taobh
adjourn	0.385	0.456	0.475	cur dheth
adjournment	0.438	0.510	0.370	cur dheth
adjudicate	0.559	0.520	0.683	breithneachadh
adjudication	0.551	0.462	0.691	breithneachadh
adjunct	0.459	0.440	0.426	co-cheangail
adjust	0.647	0.327	0.638	gleusadh
adjuster	0.510	0.540	0.760	rèitiche
adjustment	0.590	0.520	0.661	rèiteachadh
adjuvant	0.510	0.500	0.456	aidmheil
admin	0.688	0.420	0.854	rianaire
administer	0.635	0.425	0.860	riar
administration	0.625	0.404	0.786	rianachd
administrative	0.542	0.415	0.579	rianachd
administrator	0.538	0.480	0.902	rianadair
admirable	0.929	0.600	0.870	ionmholta
admiral	0.844	0.490	0.847	àrd-mharaiche
admiralty	0.594	0.547	0.733	aidmheil
admiration	0.969	0.583	0.726	meas
admire	0.867	0.692	0.704	meas
admired	0.917	0.560	0.815	meas
admirer	0.796	0.720	0.650	fear-meas
admiring	0.867	0.578	0.629	a' meas
admissibility	0.802	0.580	0.602	ion-roghnachd
admissible	0.780	0.528	0.642	ceadaichte
admission	0.802	0.415	0.732	faighinn a-steach
admit	0.538	0.423	0.667	aideachadh
admittance	0.690	0.451	0.598	gabhail a-steach
admitted	0.720	0.490	0.767	air aideachadh
admitting	0.620	0.500	0.546	ag aideachadh
admixture	0.450	0.375	0.438	measgachadh
admonition	0.357	0.606	0.455	rabhadh
ado	0.520	0.423	0.385	adh
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	òigeachd
adolescent	0.781	0.680	0.509	òigear
adopt	0.694	0.612	0.701	gabhail ris
adoption	0.625	0.566	0.589	uchd-mhacachd
adoptive	0.531	0.469	0.520	uchd-mhacachd
adorable	0.969	0.519	0.457	ion-mholaidh
adoration	0.885	0.699	0.708	adhradh
adore	0.854	0.438	0.657	adhradh
adoring	0.885	0.620	0.717	adhradh
adorn	0.910	0.424	0.482	sgeadaich
adornment	0.918	0.373	0.377	sgeadachadh
adrenalin	0.865	0.920	0.786	adrenalin
adrenaline	0.765	0.965	0.825	adrenaline
adrift	0.398	0.486	0.230	sruth
adult	0.815	0.491	0.787	inbheach
adulterated	0.188	0.865	0.370	adhaltrannach
adulterer	0.229	0.814	0.407	adhaltranach
adultery	0.120	0.922	0.510	adhaltranas
adulthood	0.541	0.454	0.652	aosda
advance	0.673	0.472	0.858	air adhart
advanced	0.844	0.623	0.797	adhartach
advancement	0.776	0.650	0.839	adhartachadh
advancing	0.929	0.608	0.812	air adhart
advantage	0.917	0.548	0.859	buannachd
advantageous	0.837	0.640	0.789	buannachdail
advent	0.665	0.560	0.627	teachd
adventure	0.917	0.857	0.710	dànachd
adventurer	0.781	0.839	0.868	eachdraiche
adventures	0.812	0.764	0.749	tachartasan
adventurous	0.969	0.898	0.722	dàna
adversary	0.349	0.777	0.457	nàmhaid
adverse	0.323	0.610	0.385	droch-bheusach
adversity	0.276	0.760	0.538	àmhghar
advertise	0.500	0.529	0.580	sanasaich
advertisement	0.600	0.566	0.539	sanas
advertising	0.622	0.608	0.632	sanasachd
adverts	0.551	0.500	0.595	sanasan
advice	0.698	0.408	0.688	comhairle
advisable	0.867	0.480	0.510	ionmholta
advise	0.760	0.393	0.705	comhairle
advised	0.823	0.330	0.509	chomhairlich
advisement	0.698	0.235	0.655	comhairle
adviser	0.745	0.362	0.705	comhairliche
advisor	0.646	0.350	0.689	comhairliche
advisory	0.656	0.429	0.633	comhairleach
advocacy	0.500	0.646	0.731	tagradh
advocate	0.551	0.530	0.818	fear-tagraidh
aegis	0.490	0.439	0.462	fosg
aeration	0.550	0.500	0.433	adhair
aerial	0.615	0.461	0.463	adhair
aerobics	0.708	0.771	0.627	aerobics
aerodrome	0.541	0.740	0.678	port-adhair
aerodynamic	0.561	0.724	0.728	aerodynamic
aerodynamics	0.590	0.663	0.722	aerodynamics
aeronautics	0.551	0.633	0.688	aeronautics
aeroplane	0.714	0.642	0.644	itealan
aerospace	0.643	0.520	0.779	aerospace
aesthetic	0.708	0.442	0.526	maiseach
aesthetics	0.847	0.327	0.549	bòidhchead
aetiology	0.480	0.398	0.615	aetiology
afar	0.396	0.373	0.358	fad air falbh
affable	0.704	0.380	0.452	càirdeil
affair	0.520	0.459	0.657	dàimh
affect	0.458	0.569	0.578	buaidh
affecting	0.350	0.574	0.394	a' toirt buaidh
affection	0.898	0.559	0.696	gean
affectionate	0.949	0.422	0.550	gràdhach
affections	0.760	0.547	0.655	gean
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	teisteas sgrìobhte
affiliated	0.673	0.519	0.535	cleamhnach
affiliation	0.615	0.594	0.500	cleamhnas
affinity	0.800	0.500	0.537	cleamhnas
affirm	0.745	0.509	0.731	daingneachadh
affirmation	0.750	0.500	0.689	daingneachadh
affirmative	0.854	0.589	0.816	dearbhach
affirmatively	0.908	0.500	0.811	gu dearbha
affix	0.438	0.335	0.411	daimh
afflict	0.302	0.555	0.293	àmhghar
afflicted	0.271	0.500	0.167	fo thrioblaid
affliction	0.294	0.635	0.392	àmhghar
affluence	0.663	0.618	0.722	saidhbhreas
affluent	0.756	0.388	0.477	beairteach
afford	0.571	0.580	0.575	cothrom
affordable	0.840	0.398	0.493	aig prìs reusanta
affront	0.327	0.740	0.547	aghaidh
affronted	0.385	0.750	0.527	an aghaidh
afield	0.594	0.370	0.373	air falbh
afire	0.367	0.904	0.675	teine
afloat	0.602	0.427	0.444	air bhog
afore	0.500	0.337	0.382	roimhe
aforementioned	0.490	0.316	0.408	air ainmeachadh roimhe
aforesaid	0.531	0.358	0.478	a thubhairt
afraid	0.010	0.775	0.245	eagal
afresh	0.643	0.521	0.480	as ùr
aft	0.480	0.417	0.518	aft
afterlife	0.571	0.567	0.568	às dèidh beatha
aftermath	0.312	0.449	0.444	an deidh
afternoon	0.533	0.388	0.339	feasgar
aftershave	0.406	0.384	0.415	an dèidh bearradh
aftertaste	0.354	0.362	0.455	blasad
afterthought	0.396	0.392	0.349	iar-bheachd
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	agas
age	0.561	0.226	0.498	aois
aged	0.135	0.365	0.236	aosda
agency	0.460	0.296	0.583	buidheann
agenda	0.531	0.296	0.553	clàr-gnothaich
agent	0.480	0.439	0.755	àidseant
agglomeration	0.450	0.765	0.509	ceirtleachadh
aggravate	0.224	0.770	0.464	fàsaich
aggravated	0.079	0.760	0.430	air fhàsachadh
aggravates	0.108	0.778	0.357	a' fàs nas miosa
aggravating	0.257	0.794	0.640	a' fàs nas miosa
aggravation	0.071	0.784	0.613	fàsachadh
aggregate	0.730	0.378	0.556	iomlanachd
aggregation	0.583	0.517	0.694	cruinneachadh
aggresive	0.059	0.971	0.639	ionnsaigheach
aggression	0.094	0.929	0.533	ionnsaigheachd
aggressive	0.125	0.949	0.648	ionnsaigheach
aggressively	0.250	0.926	0.688	ionnsaigheach
aggressiveness	0.077	0.913	0.648	ionnsaigheachd
aggressor	0.146	0.948	0.823	fear-ionnsaigh
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	dòrainn
aghhh	0.281	0.635	0.243	aghhh
agile	0.800	0.657	0.775	lùthmhor
agility	0.720	0.702	0.815	sùbailteachd
aging	0.214	0.255	0.284	aosda
agitate	0.300	0.796	0.593	strìochdadh
agitated	0.444	0.882	0.491	air a bhuaireadh
agitation	0.240	0.931	0.447	buaireadh
aglow	0.780	0.510	0.797	iargalt
agnostic	0.306	0.396	0.574	agnostic
ago	0.317	0.280	0.404	o chionn
agonizing	0.083	0.800	0.340	a' gortachadh
agony	0.083	0.775	0.393	cràdh
agoraphobia	0.127	0.712	0.438	agoraphobia
agree	0.906	0.260	0.545	aontachadh
agreeable	0.906	0.500	0.696	taitneach
agreed	0.797	0.449	0.574	aontachadh
agreeing	0.854	0.480	0.557	ag aontachadh
agreement	0.760	0.440	0.736	aonta
agressive	0.083	0.918	0.751	ionnsaigheach
agricultural	0.686	0.321	0.473	àiteachais
agriculture	0.640	0.357	0.465	àiteachas
aground	0.333	0.340	0.445	air tìr
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	air thoiseach
ahhh	0.562	0.517	0.241	ahh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhh
ahoy	0.500	0.497	0.380	ach
aid	0.796	0.491	0.541	cobhair
aide	0.724	0.342	0.434	aide
aiding	0.643	0.533	0.569	a' cuideachadh
aids	0.561	0.480	0.500	cobhair
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	tinn
ailment	0.146	0.734	0.277	tinneas
aim	0.481	0.569	0.567	amas
aimless	0.150	0.267	0.183	gun amas
air	0.708	0.163	0.427	adhair
airbag	0.510	0.402	0.433	baga-adhair
airborne	0.542	0.519	0.385	adhair
aircraft	0.646	0.644	0.691	itealain
aircraft carrier	0.490	0.740	0.727	neach-giùlain itealain
airfield	0.601	0.650	0.645	raon-adhair
airhead	0.271	0.481	0.276	ceann-adhair
airlift	0.573	0.622	0.642	itealain
airline	0.650	0.482	0.688	companaidh adhair
airliner	0.667	0.777	0.647	itealan
airlock	0.398	0.520	0.447	glas-adhair
airman	0.587	0.716	0.721	fear-adhair
airplane	0.719	0.702	0.708	itealan
airport	0.729	0.684	0.682	port-adhair
airs	0.583	0.196	0.370	adhair
airship	0.542	0.472	0.529	airship
airspace	0.562	0.510	0.640	àite-adhair
airspeed	0.583	0.780	0.544	luas-adhair
airstrip	0.550	0.690	0.649	raon-adhair
airtight	0.479	0.381	0.570	adhar
airway	0.638	0.585	0.482	slighe-adhair
aisle	0.438	0.222	0.283	aisig
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	ajar
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	coltach
alabaster	0.542	0.404	0.445	alabastair
alarm	0.241	0.882	0.698	rabhaidh
alarm clock	0.542	0.727	0.642	gleoc rabhaidh
alarmed	0.188	0.822	0.492	fo eagal
alarming	0.204	0.890	0.585	eagallach
alas	0.571	0.310	0.279	mo thruaighe
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatros
albino	0.500	0.240	0.358	albino
album	0.635	0.349	0.453	clàr
alchemy	0.541	0.583	0.693	alchemy
alcohol	0.323	0.667	0.377	deoch-làidir
alcoholic	0.153	0.688	0.361	deoch-làidir
alcoholism	0.061	0.779	0.407	deoch-làidir
alcove	0.490	0.340	0.356	alcove
alderman	0.550	0.459	0.691	èildear
ale	0.530	0.450	0.358	leann
alert	0.479	0.820	0.648	rabhaidh
alertness	0.375	0.875	0.750	furtachd
alerts	0.337	0.804	0.673	rabhaidhean
alfalfa	0.546	0.250	0.311	alfalfa
algebra	0.440	0.340	0.565	ailseabra
algebraic	0.531	0.412	0.441	ailseabra
algorithm	0.448	0.394	0.559	algairim
alias	0.541	0.353	0.333	ailias
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	coimheach
alienate	0.247	0.500	0.523	coimheach
alienated	0.410	0.423	0.559	coimheach
alienation	0.378	0.530	0.462	coimheachadh
alight	0.667	0.657	0.605	lasadh
align	0.656	0.364	0.627	co-thaobhadh
aligned	0.583	0.275	0.553	co-thaobhadh
alignment	0.643	0.412	0.683	co-thaobhadh
alike	0.653	0.173	0.444	co-ionann
alimentation	0.781	0.551	0.602	ìocshlaint
alimony	0.612	0.477	0.464	alimony
aliquot	0.440	0.310	0.404	co-dhiù
alive	0.816	0.637	0.731	beò
alkali	0.490	0.350	0.408	alcaileach
alkaloids	0.433	0.562	0.402	alkaloids
allay	0.417	0.406	0.398	lasadh
allegation	0.578	0.578	0.608	casaid
allege	0.418	0.482	0.587	ag agairt
alleged	0.365	0.522	0.520	air a chasaid
allegiance	0.917	0.398	0.750	dìlseachd
allegorical	0.517	0.558	0.598	alegorical
allegory	0.615	0.580	0.509	allegory
allegro	0.635	0.627	0.453	ailig
allergic	0.135	0.549	0.273	aileirgeach
allergy	0.296	0.606	0.389	aileirdsidh
alleviate	0.869	0.270	0.528	lughdaich
alleviation	0.735	0.200	0.491	lasachadh
alley	0.347	0.500	0.355	allaidh
alleyway	0.357	0.471	0.382	rathad-iarainn
alliance	0.696	0.473	0.769	caidreachas
allied	0.714	0.245	0.642	caidreach
alligator	0.354	0.704	0.645	ailigator
allocate	0.673	0.462	0.672	riarachadh
allocation	0.604	0.388	0.679	riarachadh
allot	0.622	0.481	0.616	allot
allotment	0.600	0.390	0.640	cuibhrionn
allow	0.698	0.429	0.538	ceadaich
allowable	0.698	0.500	0.561	ceadaichte
allowance	0.673	0.382	0.591	cuibhreann
allowed	0.730	0.360	0.655	ceadaichte
alloy	0.583	0.443	0.593	alloy
allsmiles	0.786	0.528	0.430	gàire
allure	0.804	0.585	0.686	aoibhneas
alluring	0.837	0.745	0.843	tarraingeach
allusion	0.440	0.308	0.462	iomrall
alluvial	0.323	0.490	0.491	luaineach
ally	0.792	0.320	0.688	ally
almanac	0.688	0.190	0.412	almanac
almighty	0.938	0.874	0.958	uile-chumhachdach
almond	0.698	0.183	0.314	almoin
aloft	0.771	0.373	0.700	àrd
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	aonar
alongside	0.458	0.333	0.347	ri taobh
aloof	0.189	0.423	0.302	ealamh
aloud	0.458	0.713	0.750	gu h-àrd
alpha	0.708	0.340	0.755	alpha
alphabet	0.562	0.204	0.672	aibidil
alphabetical	0.537	0.296	0.535	aibidil
alpine	0.594	0.337	0.474	alpach
alreadyyyyy	0.592	0.717	0.351	mar-thà ayyy
altar	0.724	0.387	0.635	altair
altar boy	0.434	0.206	0.350	gille altarach
alter	0.333	0.694	0.654	atharraich
alteration	0.167	0.798	0.609	atharrachadh
altercation	0.170	0.806	0.500	atharrais
altered	0.255	0.765	0.500	air atharrachadh
alternate	0.625	0.363	0.589	mu seach
alternating	0.480	0.494	0.542	mu seach
alternative	0.628	0.373	0.631	eile
altimeter	0.615	0.510	0.580	altimeter
altitude	0.708	0.482	0.736	àirde
alto	0.656	0.404	0.730	alto
altogether	0.833	0.324	0.644	gu h-iomlan
aluminum	0.449	0.280	0.434	aluminium
alumnus	0.633	0.368	0.422	alumnus
alveolar	0.469	0.481	0.367	alveolar
alzheimers	0.194	0.518	0.319	alzheimers
amalgam	0.438	0.333	0.510	amalgam
amalgamation	0.406	0.470	0.531	aonachadh
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	cruinnich
amateur	0.469	0.500	0.409	neo-dhreuchdail
amaze	0.896	0.843	0.783	iongnadh
amazed	0.796	0.779	0.533	iongnadh
amazedness	0.827	0.872	0.510	iongantas
amazement	0.750	0.800	0.639	iongantas
amazing	0.906	0.837	0.849	iongantach
amazingly	0.918	0.765	0.920	iongantach
ambassador	0.651	0.529	0.917	tosgaire
amber	0.635	0.308	0.369	òmar
ambience	0.735	0.356	0.426	àrainneachd
ambient	0.625	0.360	0.582	àrainneachdail
ambiguity	0.164	0.460	0.370	dà-sheaghachd
ambiguous	0.265	0.462	0.358	d'a-sheaghach
ambit	0.479	0.380	0.386	raon
ambition	0.510	0.804	0.661	àrd-amas
ambitious	0.484	0.821	0.717	àrd-amasach
ambivalent	0.510	0.404	0.482	dà-sheaghach
ambrosia	0.571	0.452	0.480	ambrosia
ambulance	0.500	0.750	0.609	carbad-eiridinn
ambush	0.281	0.830	0.500	luideig
ameliorate	0.770	0.548	0.747	leasaich
amen	0.781	0.182	0.542	amen
amenable	0.448	0.410	0.406	freagarrach
amend	0.688	0.406	0.658	leasaich
amendment	0.531	0.459	0.606	atharrachadh
amends	0.640	0.366	0.517	ag atharrachadh
amenity	0.750	0.327	0.574	goireas
amethyst	0.622	0.406	0.517	amethyst
amiable	0.847	0.290	0.483	càirdeil
amicable	0.875	0.330	0.507	càirdeil
amid	0.510	0.340	0.256	am measg
amidst	0.480	0.330	0.316	am measg
amino	0.551	0.402	0.433	aimín
ammo	0.323	0.765	0.621	ammo
ammonia	0.292	0.587	0.409	ammonia
ammonium	0.354	0.396	0.368	ammonium
ammunition	0.338	0.635	0.667	armachd
amnesia	0.296	0.330	0.308	amnesia
amnesty	0.551	0.451	0.814	amnesty
amorous	0.844	0.670	0.636	gràineil
amorphous	0.327	0.402	0.349	amorphous
amortization	0.592	0.491	0.522	amortachadh
amount	0.562	0.422	0.649	suim
amour	0.865	0.480	0.652	amour
amp	0.439	0.393	0.375	amp
ampersand	0.480	0.448	0.483	ampersand
amphetamines	0.133	0.667	0.526	amphetamines
amphibian	0.427	0.357	0.474	muir-thìrich
amphibious	0.479	0.346	0.445	muir-thìreach
amphitheater	0.653	0.480	0.545	amphitheatre
ample	0.744	0.349	0.719	pailteas
amplification	0.690	0.677	0.810	leudachaidh
amplify	0.677	0.735	0.827	leudaich
amplitude	0.694	0.439	0.692	leudachd
amply	0.781	0.431	0.766	gu math
amputate	0.092	0.660	0.509	gearraich
amputation	0.100	0.755	0.483	gearradh dheth
amuck	0.385	0.602	0.321	amuc
amulet	0.781	0.260	0.630	amulet
amuse	0.812	0.684	0.664	spòrs
amused	0.942	0.847	0.596	amaideach
amusement	0.929	0.837	0.803	cur-seachad
amusing	0.960	0.829	0.632	èibhinn
ana	0.541	0.300	0.314	ana
anaconda	0.146	0.830	0.540	anaconda
anaesthesia	0.350	0.217	0.473	anesthesia
anaesthetic	0.449	0.268	0.509	anesthetic
anagram	0.552	0.327	0.449	anagram
