English Word	Valence	Arousal	Dominance	Javanese Word
absinthe	0.481	0.510	0.462	absinthe
absolute	0.526	0.510	0.827	mutlak
absolution	0.715	0.500	0.664	pangapunten
absolve	0.684	0.449	0.660	mbebasake
absorb	0.469	0.558	0.670	nyerep
absorbed	0.490	0.471	0.519	diserap
absorbent	0.552	0.394	0.718	nyerep
absorbing	0.490	0.490	0.578	nyerep
absorption	0.609	0.422	0.446	panyerepan
abstain	0.385	0.385	0.427	ngempet
abstention	0.271	0.264	0.509	absen
abstinence	0.260	0.392	0.429	pantangan
abstract	0.438	0.292	0.444	abstrak
abstraction	0.469	0.439	0.525	abstraksi
absurd	0.188	0.656	0.284	ora masuk akal
absurdity	0.115	0.528	0.227	absurd
abundance	0.812	0.690	0.852	turah mbrawah
abundant	0.958	0.590	0.760	akeh banget
abuse	0.071	0.873	0.469	penyalahgunaan
abused	0.021	0.874	0.235	dilecehke
abusive	0.125	0.903	0.567	kasar
abutment	0.500	0.265	0.616	abutment
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	abysmal
abyss	0.353	0.725	0.296	jurang
academic	0.781	0.420	0.812	akademisi
academy	0.704	0.473	0.792	akademi
accede	0.698	0.510	0.537	ngakoni
accelerant	0.643	0.844	0.802	akselerasi
accelerate	0.615	0.902	0.759	nyepetake
accelerated	0.610	0.812	0.682	digawe cepet
acceleration	0.704	0.905	0.843	percepatan
accelerator	0.593	0.830	0.812	akselerator
accent	0.598	0.357	0.509	logat
accentuate	0.673	0.556	0.667	accentuate
accept	0.847	0.286	0.565	nampa
acceptable	0.812	0.286	0.583	ditrima
acceptance	0.833	0.287	0.755	panrima
acceptances	0.847	0.413	0.648	acceptances
access	0.714	0.472	0.567	akses
accessible	0.796	0.410	0.645	diakses
accession	0.612	0.383	0.636	aksesi
accessory	0.562	0.292	0.445	aksesoris
accident	0.125	0.908	0.336	kacilakan
accidental	0.319	0.784	0.307	ora sengaja
accidentally	0.333	0.741	0.333	ora sengaja
acclaim	0.562	0.809	0.718	pangalembana
accolade	0.688	0.591	0.775	pangalembana
accommodate	0.844	0.375	0.566	nampung
accommodation	0.817	0.415	0.587	panginepan
accompaniment	0.740	0.479	0.695	iringan
accompany	0.833	0.406	0.585	ngancani
accompanying	0.787	0.460	0.582	ngiringi
accomplice	0.408	0.580	0.510	anaké
accomplish	0.929	0.673	0.816	ngrampungake
accomplished	0.870	0.520	0.798	rampung
accomplishment	0.917	0.694	0.888	prestasi
accord	0.898	0.264	0.382	kasepakatan
accordance	0.659	0.349	0.600	selaras
accordion	0.604	0.490	0.361	akordion
account	0.531	0.347	0.472	akun
accountability	0.755	0.537	0.833	tanggung jawab
accountable	0.709	0.282	0.777	tanggung jawab
accountant	0.625	0.450	0.639	akuntan
accounting	0.552	0.390	0.677	akuntansi
accounts	0.592	0.340	0.471	akun
accredited	0.669	0.479	0.768	akreditasi
accretion	0.448	0.519	0.672	akresi
accrue	0.520	0.481	0.602	numpuk
accueil	0.450	0.451	0.470	ngaku
accumulate	0.573	0.536	0.607	nglumpukake
accumulation	0.479	0.527	0.600	akumulasi
accuracy	0.604	0.481	0.802	akurasi
accurate	0.743	0.360	0.737	akurat
accursed	0.135	0.745	0.345	dilaknat
accusation	0.073	0.718	0.564	tuduh
accusative	0.198	0.755	0.482	akusatif
accuse	0.133	0.752	0.500	nuduh
accused	0.130	0.670	0.420	didakwa
accuser	0.122	0.779	0.615	panuduh
accusing	0.156	0.745	0.324	nuduh
accustomed	0.542	0.365	0.441	wis biasa
ace	0.643	0.481	0.546	ace
acetic	0.333	0.420	0.519	asetik
acetylene	0.306	0.469	0.509	asetilena
ache	0.146	0.760	0.312	lara
achieve	0.816	0.545	0.843	entuk
achieved	0.896	0.519	0.775	digayuh
achievement	0.896	0.808	0.759	prestasi
aching	0.053	0.880	0.348	lara
achy	0.167	0.840	0.373	lara
acid	0.265	0.642	0.566	asam
acidity	0.156	0.663	0.360	kaasaman
acknowledge	0.786	0.370	0.661	ngakoni
acknowledged	0.714	0.443	0.765	ngakoni
acknowledgement	0.819	0.539	0.830	pengakon
acknowledgment	0.796	0.528	0.777	pengakon
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	kukul
acorn	0.448	0.198	0.192	acorn
acoustic	0.542	0.462	0.536	akustik
acoustics	0.611	0.330	0.509	akustik
acquaint	0.646	0.491	0.639	kenalan
acquaintance	0.656	0.290	0.670	kenalan
acquainted	0.906	0.358	0.632	kenalan
acquiescence	0.542	0.480	0.554	akur
acquire	0.833	0.468	0.700	ndarbeni
acquiring	0.735	0.510	0.817	angsal
acquisition	0.698	0.509	0.736	angsal
acquisitions	0.773	0.660	0.790	angsal
acquit	0.583	0.571	0.611	mbebasake
acquittal	0.760	0.497	0.700	bebasan
acre	0.583	0.387	0.423	hektar
acreage	0.741	0.450	0.528	hektar
acres	0.510	0.363	0.500	hektar
acrobat	0.708	0.828	0.602	akrobat
acrylic	0.582	0.279	0.420	akrilik
act	0.656	0.704	0.735	tumindak
acting	0.698	0.643	0.500	akting
action	0.760	0.898	0.802	tumindak
action figure	0.615	0.774	0.611	tokoh aksi
actionable	0.673	0.702	0.613	bisa ditindakake
activate	0.764	0.650	0.806	ngaktifake
activation	0.781	0.800	0.754	aktivasi
active	0.847	0.730	0.731	aktif
activist	0.531	0.653	0.877	aktivis
activity	0.701	0.660	0.807	kegiatan
actor	0.653	0.561	0.629	aktor
actress	0.633	0.556	0.596	aktris
actual	0.729	0.400	0.716	nyatane
actuality	0.750	0.464	0.600	aktualitas
actuary	0.510	0.404	0.491	aktuaris
acuity	0.469	0.378	0.741	ketajaman
acumen	0.564	0.660	0.679	kepinteran
acupuncture	0.531	0.324	0.549	akupunktur
acute	0.427	0.652	0.534	akut
acutely	0.417	0.543	0.491	kanthi akut
ad	0.521	0.705	0.558	ad
adage	0.517	0.415	0.566	paribasan
adamant	0.344	0.529	0.575	mantep
adapt	0.740	0.355	0.551	adaptasi
adaptable	0.735	0.423	0.641	bisa adaptasi
adaptation	0.663	0.365	0.609	adaptasi
add	0.728	0.490	0.554	nambahi
added	0.562	0.405	0.509	ditambahake
addendum	0.392	0.370	0.418	tambahan
adder	0.388	0.461	0.588	panambah
addict	0.075	0.696	0.327	ketagihan
addicted	0.156	0.712	0.483	ketagihan
addiction	0.180	0.806	0.420	ketagihan
addictive	0.302	0.683	0.472	gawe ketagihan
addition	0.562	0.373	0.471	tambahan
additional	0.673	0.462	0.526	tambahan
additive	0.561	0.633	0.691	aditif
address	0.650	0.327	0.567	alamat
addressee	0.622	0.382	0.538	alamate
addresses	0.510	0.354	0.450	alamat
adept	0.594	0.539	0.789	mahir
adequacy	0.615	0.435	0.702	kecukupan
adequate	0.854	0.264	0.705	cekap
adhere	0.633	0.339	0.554	netepi
adherence	0.760	0.307	0.630	ketaatan
adherent	0.561	0.385	0.555	penganut
adhering	0.612	0.561	0.537	adhegan
adhesion	0.521	0.445	0.586	adhesi
adhesive	0.604	0.350	0.413	adhesive
adieu	0.250	0.471	0.342	adieu
adipose	0.333	0.350	0.391	adipose
adjacency	0.365	0.417	0.375	adjacence
adjacent	0.645	0.276	0.536	jejer
adjective	0.570	0.316	0.569	adjective
adjoining	0.520	0.400	0.393	jejer
adjourn	0.385	0.456	0.475	nundha
adjournment	0.438	0.510	0.370	penundaan
adjudicate	0.559	0.520	0.683	ngadili
adjudication	0.551	0.462	0.691	adjudikasi
adjunct	0.459	0.440	0.426	tambahan
adjust	0.647	0.327	0.638	nyetel
adjuster	0.510	0.540	0.760	pangaturan
adjustment	0.590	0.520	0.661	imbuhan
adjuvant	0.510	0.500	0.456	adjuvant
admin	0.688	0.420	0.854	admin
administer	0.635	0.425	0.860	ngatur
administration	0.625	0.404	0.786	administrasi
administrative	0.542	0.415	0.579	administratif
administrator	0.538	0.480	0.902	pangurus
admirable	0.929	0.600	0.870	nggumunake
admiral	0.844	0.490	0.847	laksamana
admiralty	0.594	0.547	0.733	admiralitas
admiration	0.969	0.583	0.726	kagum
admire	0.867	0.692	0.704	ngujo
admired	0.917	0.560	0.815	dikagumi
admirer	0.796	0.720	0.650	pengagum
admiring	0.867	0.578	0.629	nggumunake
admissibility	0.802	0.580	0.602	ditampa
admissible	0.780	0.528	0.642	bisa ditampa
admission	0.802	0.415	0.732	diakoni
admit	0.538	0.423	0.667	ngakoni
admittance	0.690	0.451	0.598	mlebu
admitted	0.720	0.490	0.767	ngakoni
admitting	0.620	0.500	0.546	ngakoni
admixture	0.450	0.375	0.438	campuran
admonition	0.357	0.606	0.455	piweling
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	remaja
adolescent	0.781	0.680	0.509	remaja
adopt	0.694	0.612	0.701	ngadopsi
adoption	0.625	0.566	0.589	adopsi
adoptive	0.531	0.469	0.520	adopsi
adorable	0.969	0.519	0.457	nengsemake
adoration	0.885	0.699	0.708	pemujaan
adore	0.854	0.438	0.657	sujud
adoring	0.885	0.620	0.717	adoring
adorn	0.910	0.424	0.482	dekorasi
adornment	0.918	0.373	0.377	paesan
adrenalin	0.865	0.920	0.786	adrenalin
adrenaline	0.765	0.965	0.825	adrenalin
adrift	0.398	0.486	0.230	mabur
adult	0.815	0.491	0.787	diwasa
adulterated	0.188	0.865	0.370	disalahake
adulterer	0.229	0.814	0.407	wong culika
adultery	0.120	0.922	0.510	laku jina
adulthood	0.541	0.454	0.652	diwasa
advance	0.673	0.472	0.858	maju
advanced	0.844	0.623	0.797	majeng
advancement	0.776	0.650	0.839	kemajuan
advancing	0.929	0.608	0.812	maju
advantage	0.917	0.548	0.859	kauntungan
advantageous	0.837	0.640	0.789	mupangati
advent	0.665	0.560	0.627	tekane
adventure	0.917	0.857	0.710	ngulandara
adventurer	0.781	0.839	0.868	petualang
adventures	0.812	0.764	0.749	petualangan
adventurous	0.969	0.898	0.722	petualang
adversary	0.349	0.777	0.457	mungsuh
adverse	0.323	0.610	0.385	ala
adversity	0.276	0.760	0.538	kasangsaran
advertise	0.500	0.529	0.580	pariwara
advertisement	0.600	0.566	0.539	pariwara
advertising	0.622	0.608	0.632	pariwara
adverts	0.551	0.500	0.595	pariwara
advice	0.698	0.408	0.688	pitutur
advisable	0.867	0.480	0.510	prayoga
advise	0.760	0.393	0.705	maringi pitutur
advised	0.823	0.330	0.509	maringi pitutur
advisement	0.698	0.235	0.655	pitutur
adviser	0.745	0.362	0.705	penasehat
advisor	0.646	0.350	0.689	penasehat
advisory	0.656	0.429	0.633	pitutur
advocacy	0.500	0.646	0.731	advokasi
advocate	0.551	0.530	0.818	advokat
aegis	0.490	0.439	0.462	aegis
aeration	0.550	0.500	0.433	aerasi
aerial	0.615	0.461	0.463	pangeboman
aerobics	0.708	0.771	0.627	aerobik
aerodrome	0.541	0.740	0.678	aerodrome
aerodynamic	0.561	0.724	0.728	aerodinamis
aerodynamics	0.590	0.663	0.722	aerodinamika
aeronautics	0.551	0.633	0.688	aeronautika
aeroplane	0.714	0.642	0.644	pesawat
aerospace	0.643	0.520	0.779	aerospace
aesthetic	0.708	0.442	0.526	estetis
aesthetics	0.847	0.327	0.549	estetika
aetiology	0.480	0.398	0.615	etiologi
afar	0.396	0.373	0.358	adoh
affable	0.704	0.380	0.452	affable
affair	0.520	0.459	0.657	urusan
affect	0.458	0.569	0.578	mengaruhi
affecting	0.350	0.574	0.394	mengaruhi
affection	0.898	0.559	0.696	tresno
affectionate	0.949	0.422	0.550	penyayang
affections	0.760	0.547	0.655	tresno
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	affidavit
affiliated	0.673	0.519	0.535	afiliasi
affiliation	0.615	0.594	0.500	afiliasi
affinity	0.800	0.500	0.537	karemenan
affirm	0.745	0.509	0.731	negesake
affirmation	0.750	0.500	0.689	penegasan
affirmative	0.854	0.589	0.816	afirmatif
affirmatively	0.908	0.500	0.811	kanthi tegas
affix	0.438	0.335	0.411	afiks
afflict	0.302	0.555	0.293	nandhang sangsara
afflicted	0.271	0.500	0.167	nandhang sangsara
affliction	0.294	0.635	0.392	kasangsaran
affluence	0.663	0.618	0.722	kamakmuran
affluent	0.756	0.388	0.477	makmur
afford	0.571	0.580	0.575	saged
affordable	0.840	0.398	0.493	terjangkau
affront	0.327	0.740	0.547	nesu
affronted	0.385	0.750	0.527	disengiti
afield	0.594	0.370	0.373	adoh
afire	0.367	0.904	0.675	kebakar
afloat	0.602	0.427	0.444	ngambang
afore	0.500	0.337	0.382	sadurunge
aforementioned	0.490	0.316	0.408	kasebat
aforesaid	0.531	0.358	0.478	kasebat
afraid	0.010	0.775	0.245	wedi
afresh	0.643	0.521	0.480	maneh
aft	0.480	0.417	0.518	mburi
afterlife	0.571	0.567	0.568	akhirat
aftermath	0.312	0.449	0.444	sakwise
afternoon	0.533	0.388	0.339	sore
aftershave	0.406	0.384	0.415	sawise cukur
aftertaste	0.354	0.362	0.455	aftertaste
afterthought	0.396	0.392	0.349	dipikir-pikir
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	akik
age	0.561	0.226	0.498	umur
aged	0.135	0.365	0.236	tuwa
agency	0.460	0.296	0.583	agensi
agenda	0.531	0.296	0.553	agenda
agent	0.480	0.439	0.755	agen
agglomeration	0.450	0.765	0.509	aglomerasi
aggravate	0.224	0.770	0.464	nambahi
aggravated	0.079	0.760	0.430	aggravated
aggravates	0.108	0.778	0.357	aggravates
aggravating	0.257	0.794	0.640	nglarani
aggravation	0.071	0.784	0.613	aggravation
aggregate	0.730	0.378	0.556	agrégat
aggregation	0.583	0.517	0.694	nglumpukake
aggresive	0.059	0.971	0.639	agresif
aggression	0.094	0.929	0.533	agresi
aggressive	0.125	0.949	0.648	agresif
aggressively	0.250	0.926	0.688	kanthi agresif
aggressiveness	0.077	0.913	0.648	aggressiveness
aggressor	0.146	0.948	0.823	agresor
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	gumun
aghhh	0.281	0.635	0.243	aghhh
agile	0.800	0.657	0.775	prigel
agility	0.720	0.702	0.815	prigel
aging	0.214	0.255	0.284	tuwa
agitate	0.300	0.796	0.593	agitasi
agitated	0.444	0.882	0.491	agitated
agitation	0.240	0.931	0.447	agitasi
aglow	0.780	0.510	0.797	gumebyar
agnostic	0.306	0.396	0.574	agnostik
ago	0.317	0.280	0.404	biyen
agonizing	0.083	0.800	0.340	nglarani
agony	0.083	0.775	0.393	kasangsaran
agoraphobia	0.127	0.712	0.438	agoraphobia
agree	0.906	0.260	0.545	sarujuk
agreeable	0.906	0.500	0.696	sarujuk
agreed	0.797	0.449	0.574	sarujuk
agreeing	0.854	0.480	0.557	sarujuk
agreement	0.760	0.440	0.736	persetujuan
agressive	0.083	0.918	0.751	agresif
agricultural	0.686	0.321	0.473	tetanèn
agriculture	0.640	0.357	0.465	tetanèn
aground	0.333	0.340	0.445	kadhaptar
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	ngarep
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhhh
ahoy	0.500	0.497	0.380	heh
aid	0.796	0.491	0.541	pitulungan
aide	0.724	0.342	0.434	asisten
aiding	0.643	0.533	0.569	nulungi
aids	0.561	0.480	0.500	bantuan
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	lara
ailment	0.146	0.734	0.277	penyakit
aim	0.481	0.569	0.567	ngarahake
aimless	0.150	0.267	0.183	tanpa tujuan
air	0.708	0.163	0.427	hawa
airbag	0.510	0.402	0.433	airbag
airborne	0.542	0.519	0.385	udhara
aircraft	0.646	0.644	0.691	pesawat
aircraft carrier	0.490	0.740	0.727	operator pesawat
airfield	0.601	0.650	0.645	lapangan udara
airhead	0.271	0.481	0.276	sirah angin
airlift	0.573	0.622	0.642	pesawat udara
airline	0.650	0.482	0.688	maskapai
airliner	0.667	0.777	0.647	pesawat
airlock	0.398	0.520	0.447	airlock
airman	0.587	0.716	0.721	juru udara
airplane	0.719	0.702	0.708	pesawat
airport	0.729	0.684	0.682	bandara
airs	0.583	0.196	0.370	udhara
airship	0.542	0.472	0.529	kapal udara
airspace	0.562	0.510	0.640	ruang udara
airspeed	0.583	0.780	0.544	kacepetan udara
airstrip	0.550	0.690	0.649	landasan udara
airtight	0.479	0.381	0.570	kedap udara
airway	0.638	0.585	0.482	saluran napas
aisle	0.438	0.222	0.283	dalan
ait	0.385	0.390	0.402	iki
ajar	0.460	0.413	0.446	ajar
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	mirip
alabaster	0.542	0.404	0.445	alabaster
alarm	0.241	0.882	0.698	weker
alarm clock	0.542	0.727	0.642	jam weker
alarmed	0.188	0.822	0.492	kuwatir
alarming	0.204	0.890	0.585	nguwatirake
alas	0.571	0.310	0.279	adhuh
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatross
albino	0.500	0.240	0.358	albino
album	0.635	0.349	0.453	album
alchemy	0.541	0.583	0.693	alkimia
alcohol	0.323	0.667	0.377	alkohol
alcoholic	0.153	0.688	0.361	alkohol
alcoholism	0.061	0.779	0.407	alkoholisme
alcove	0.490	0.340	0.356	alcove
alderman	0.550	0.459	0.691	alderman
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	waspada
alertness	0.375	0.875	0.750	kewaspadaan
alerts	0.337	0.804	0.673	tandha
alfalfa	0.546	0.250	0.311	alfalfa
algebra	0.440	0.340	0.565	aljabar
algebraic	0.531	0.412	0.441	aljabar
algorithm	0.448	0.394	0.559	algoritma
alias	0.541	0.353	0.333	alias
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	alien
alienate	0.247	0.500	0.523	ngasingake
alienated	0.410	0.423	0.559	disingkiri
alienation	0.378	0.530	0.462	alienasi
alight	0.667	0.657	0.605	munggah
align	0.656	0.364	0.627	nyelarasake
aligned	0.583	0.275	0.553	didadekake siji
alignment	0.643	0.412	0.683	keselarasan
alike	0.653	0.173	0.444	padha
alimentation	0.781	0.551	0.602	panganan
alimony	0.612	0.477	0.464	alimony
aliquot	0.440	0.310	0.404	aliquot
alive	0.816	0.637	0.731	urip
alkali	0.490	0.350	0.408	alkalin
alkaloids	0.433	0.562	0.402	alkaloid
allay	0.417	0.406	0.398	ngilangake
allegation	0.578	0.578	0.608	songko
allege	0.418	0.482	0.587	ngakoni
alleged	0.365	0.522	0.520	miturut omongane uwong
allegiance	0.917	0.398	0.750	kasetyan
allegorical	0.517	0.558	0.598	alegoris
allegory	0.615	0.580	0.509	alegori
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	alergi
allergy	0.296	0.606	0.389	alergi
alleviate	0.869	0.270	0.528	ngenthengake
alleviation	0.735	0.200	0.491	ngenthengake
alley	0.347	0.500	0.355	gang
alleyway	0.357	0.471	0.382	gang
alliance	0.696	0.473	0.769	aliansi
allied	0.714	0.245	0.642	sekutu
alligator	0.354	0.704	0.645	Boyo
allocate	0.673	0.462	0.672	ngalokasikan
allocation	0.604	0.388	0.679	alokasi
allot	0.622	0.481	0.616	ngudi
allotment	0.600	0.390	0.640	jatah
allow	0.698	0.429	0.538	ngidini
allowable	0.698	0.500	0.561	diijini
allowance	0.673	0.382	0.591	sangu
allowed	0.730	0.360	0.655	diijini
alloy	0.583	0.443	0.593	paduan
allsmiles	0.786	0.528	0.430	kabeh mesem
allure	0.804	0.585	0.686	mikat
alluring	0.837	0.745	0.843	nengsemake
allusion	0.440	0.308	0.462	sindiran
alluvial	0.323	0.490	0.491	aluvial
ally	0.792	0.320	0.688	sekutu
almanac	0.688	0.190	0.412	almanak
almighty	0.938	0.874	0.958	moho kuwoso
almond	0.698	0.183	0.314	almond
aloft	0.771	0.373	0.700	dhuwur
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	piyambakan
alongside	0.458	0.333	0.347	bebarengan
aloof	0.189	0.423	0.302	adoh
aloud	0.458	0.713	0.750	banter
alpha	0.708	0.340	0.755	alfa
alphabet	0.562	0.204	0.672	aksara
alphabetical	0.537	0.296	0.535	abjad
alpine	0.594	0.337	0.474	alpine
alreadyyyyy	0.592	0.717	0.351	wisyyy
altar	0.724	0.387	0.635	misbyah
altar boy	0.434	0.206	0.350	lanang altar
alter	0.333	0.694	0.654	ngowahi
alteration	0.167	0.798	0.609	owah-owahan
altercation	0.170	0.806	0.500	pasulayan
altered	0.255	0.765	0.500	diowahi
alternate	0.625	0.363	0.589	sulih
alternating	0.480	0.494	0.542	ganti-ganti
alternative	0.628	0.373	0.631	alternatif
altimeter	0.615	0.510	0.580	altimeter
altitude	0.708	0.482	0.736	dhuwur
alto	0.656	0.404	0.730	alto
altogether	0.833	0.324	0.644	sakabehe
aluminum	0.449	0.280	0.434	alumunium
alumnus	0.633	0.368	0.422	alumni
alveolar	0.469	0.481	0.367	alveolar
alzheimers	0.194	0.518	0.319	wong alzheimer
amalgam	0.438	0.333	0.510	amalgam
amalgamation	0.406	0.470	0.531	panggabungan
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	nglumpukake
amateur	0.469	0.500	0.409	amatir
amaze	0.896	0.843	0.783	gumun
amazed	0.796	0.779	0.533	gumun
amazedness	0.827	0.872	0.510	gumun
amazement	0.750	0.800	0.639	gumun
amazing	0.906	0.837	0.849	apik tenan
amazingly	0.918	0.765	0.920	apik tenan
ambassador	0.651	0.529	0.917	duta
amber	0.635	0.308	0.369	ambar
ambience	0.735	0.356	0.426	swasana
ambient	0.625	0.360	0.582	sekitar
ambiguity	0.164	0.460	0.370	ambiguitas
ambiguous	0.265	0.462	0.358	ambigu
ambit	0.479	0.380	0.386	ambisi
ambition	0.510	0.804	0.661	ambisi
ambitious	0.484	0.821	0.717	kekarepan
ambivalent	0.510	0.404	0.482	ambivalen
ambrosia	0.571	0.452	0.480	ambrosia
ambulance	0.500	0.750	0.609	ambulans
ambush	0.281	0.830	0.500	ambush
ameliorate	0.770	0.548	0.747	ameliorate
amen	0.781	0.182	0.542	amin
amenable	0.448	0.410	0.406	amenable
amend	0.688	0.406	0.658	mbenake
amendment	0.531	0.459	0.606	amandemen
amends	0.640	0.366	0.517	amends
amenity	0.750	0.327	0.574	fasilitas
amethyst	0.622	0.406	0.517	kecubung
amiable	0.847	0.290	0.483	ramah
amicable	0.875	0.330	0.507	rukun
amid	0.510	0.340	0.256	ing tengah
amidst	0.480	0.330	0.316	ing tengah-tengah
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	amunisi
ammonia	0.292	0.587	0.409	amonia
ammonium	0.354	0.396	0.368	amonium
ammunition	0.338	0.635	0.667	amunisi
amnesia	0.296	0.330	0.308	amnesia
amnesty	0.551	0.451	0.814	amnesti
amorous	0.844	0.670	0.636	asmara
amorphous	0.327	0.402	0.349	amorf
amortization	0.592	0.491	0.522	amortisasi
amount	0.562	0.422	0.649	jumlah
amour	0.865	0.480	0.652	asmara
amp	0.439	0.393	0.375	amp
ampersand	0.480	0.448	0.483	ampersand
amphetamines	0.133	0.667	0.526	amfetamin
amphibian	0.427	0.357	0.474	amfibi
amphibious	0.479	0.346	0.445	amfibi
amphitheater	0.653	0.480	0.545	amfiteater
ample	0.744	0.349	0.719	cukup
amplification	0.690	0.677	0.810	amplifikasi
amplify	0.677	0.735	0.827	nggedhekake
amplitude	0.694	0.439	0.692	amplitudo
amply	0.781	0.431	0.766	cukup
amputate	0.092	0.660	0.509	amputasi
amputation	0.100	0.755	0.483	amputasi
amuck	0.385	0.602	0.321	amuk
amulet	0.781	0.260	0.630	jimat
amuse	0.812	0.684	0.664	nyenengake
amused	0.942	0.847	0.596	gumun
amusement	0.929	0.837	0.803	hiburan
amusing	0.960	0.829	0.632	nyenengake
ana	0.541	0.300	0.314	ana
anaconda	0.146	0.830	0.540	anaconda
anaesthesia	0.350	0.217	0.473	anestesi
anaesthetic	0.449	0.268	0.509	anestesi
anagram	0.552	0.327	0.449	anagram
anal	0.333	0.798	0.334	anal
analgesic	0.417	0.321	0.441	analgesik
analogous	0.531	0.270	0.500	analogi
analogue	0.570	0.320	0.446	analog
analogy	0.510	0.367	0.509	analogi
analysis	0.729	0.448	0.705	analisis
analyst	0.604	0.415	0.755	analis
analytic	0.665	0.521	0.634	analitik
analytical	0.625	0.324	0.800	analitik
analyze	0.667	0.462	0.710	nganalisis
analyzer	0.625	0.556	0.854	penganalisis
anaphylactic	0.378	0.588	0.500	anafilaksis
anarchism	0.125	0.804	0.623	anarkisme
anarchist	0.204	0.700	0.759	anarkis
anarchy	0.146	0.755	0.620	anarki
anastomosis	0.375	0.470	0.490	anastomosis
anathema	0.286	0.490	0.519	kutukan
anatomic	0.562	0.442	0.546	anatomi
anatomy	0.562	0.390	0.571	anatomi
ancestor	0.592	0.388	0.594	leluhur
ancestral	0.640	0.481	0.750	leluhur
ancestry	0.708	0.519	0.717	keturunan
anchor	0.520	0.284	0.564	jangkar
anchorage	0.500	0.325	0.639	jangkar
ancient	0.420	0.217	0.439	kuna
ancillary	0.449	0.442	0.278	tambahan
