English Word	Valence	Arousal	Dominance	Tatar Word
acknowledgement	0.819	0.539	0.830	тану
acknowledgment	0.796	0.528	0.777	тану
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	акне
acorn	0.448	0.198	0.192	акорн
acoustic	0.542	0.462	0.536	акустик
acoustics	0.611	0.330	0.509	акустика
acquaint	0.646	0.491	0.639	таныш
acquaintance	0.656	0.290	0.670	танышу
acquainted	0.906	0.358	0.632	таныш
acquiescence	0.542	0.480	0.554	ризалык
acquire	0.833	0.468	0.700	алу
acquiring	0.735	0.510	0.817	алу
acquisition	0.698	0.509	0.736	алу
acquisitions	0.773	0.660	0.790	алу
acquit	0.583	0.571	0.611	аклау
acquittal	0.760	0.497	0.700	аклану
acre	0.583	0.387	0.423	акр
acreage	0.741	0.450	0.528	гектар
acres	0.510	0.363	0.500	гектар
acrobat	0.708	0.828	0.602	акробат
acrylic	0.582	0.279	0.420	акрил
act	0.656	0.704	0.735	акт
acting	0.698	0.643	0.500	актер
action	0.760	0.898	0.802	эш
action figure	0.615	0.774	0.611	эш фигурасы
actionable	0.673	0.702	0.613	хәрәкәтчән
activate	0.764	0.650	0.806	активлаштыру
activation	0.781	0.800	0.754	активлаштыру
active	0.847	0.730	0.731	актив
activist	0.531	0.653	0.877	активист
activity	0.701	0.660	0.807	эшчәнлек
actor	0.653	0.561	0.629	актер
actress	0.633	0.556	0.596	актриса
actual	0.729	0.400	0.716	актуаль
actuality	0.750	0.464	0.600	актуальлек
actuary	0.510	0.404	0.491	актуар
acuity	0.469	0.378	0.741	кискенлек
acumen	0.564	0.660	0.679	акумен
acupuncture	0.531	0.324	0.549	акупунктура
acute	0.427	0.652	0.534	кискен
acutely	0.417	0.543	0.491	кискен
ad	0.521	0.705	0.558	реклама
adage	0.517	0.415	0.566	гыйбарә
adamant	0.344	0.529	0.575	каты
adapt	0.740	0.355	0.551	җайлаштыру
adaptable	0.735	0.423	0.641	җайлаштырылган
adaptation	0.663	0.365	0.609	адаптация
add	0.728	0.490	0.554	өстәргә
added	0.562	0.405	0.509	өстәлде
addendum	0.392	0.370	0.418	өстәмә
adder	0.388	0.461	0.588	реклама
addict	0.075	0.696	0.327	наркоман
addicted	0.156	0.712	0.483	наркоман
addiction	0.180	0.806	0.420	наркомания
addictive	0.302	0.683	0.472	наркоман
addition	0.562	0.373	0.471	өстәмә
additional	0.673	0.462	0.526	өстәмә
additive	0.561	0.633	0.691	өстәмә
address	0.650	0.327	0.567	адрес
addressee	0.622	0.382	0.538	адресат
addresses	0.510	0.354	0.450	адреслары
adept	0.594	0.539	0.789	оста
adequacy	0.615	0.435	0.702	адекватлык
adequate	0.854	0.264	0.705	адекват
adhere	0.633	0.339	0.554	ябышу
adherence	0.760	0.307	0.630	ябышу
adherent	0.561	0.385	0.555	ябыштыручы
adhering	0.612	0.561	0.537	ябышу
adhesion	0.521	0.445	0.586	ябышу
adhesive	0.604	0.350	0.413	ябыштыргыч
adieu	0.250	0.471	0.342	adieu
adipose	0.333	0.350	0.391	adipose
adjacency	0.365	0.417	0.375	янәшә
adjacent	0.645	0.276	0.536	янәшә
adjective	0.570	0.316	0.569	сыйфат
adjoining	0.520	0.400	0.393	янәшә
adjourn	0.385	0.456	0.475	кичектерү
adjournment	0.438	0.510	0.370	кичектерү
adjudicate	0.559	0.520	0.683	хөкем итү
adjudication	0.551	0.462	0.691	хөкем итү
adjunct	0.459	0.440	0.426	яраклаштыру
adjust	0.647	0.327	0.638	көйләү
adjuster	0.510	0.540	0.760	көйләүче
adjustment	0.590	0.520	0.661	көйләү
adjuvant	0.510	0.500	0.456	яраклаштыручы
admin	0.688	0.420	0.854	админ
administer	0.635	0.425	0.860	администратор
administration	0.625	0.404	0.786	идарә итү
administrative	0.542	0.415	0.579	административ
administrator	0.538	0.480	0.902	администратор
admirable	0.929	0.600	0.870	сокланырлык
admiral	0.844	0.490	0.847	адмирал
admiralty	0.594	0.547	0.733	адмиралтия
admiration	0.969	0.583	0.726	соклану
admire	0.867	0.692	0.704	соклану
admired	0.917	0.560	0.815	сокланды
admirer	0.796	0.720	0.650	сокланучы
admiring	0.867	0.578	0.629	соклану
admissibility	0.802	0.580	0.602	кабул итү
admissible	0.780	0.528	0.642	кабул ителә
admission	0.802	0.415	0.732	кабул итү
admit	0.538	0.423	0.667	танырга
admittance	0.690	0.451	0.598	керү
admitted	0.720	0.490	0.767	кабул иттеләр
admitting	0.620	0.500	0.546	тану
admixture	0.450	0.375	0.438	кушылма
admonition	0.357	0.606	0.455	үгет
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	яшүсмерлек
adolescent	0.781	0.680	0.509	яшүсмер
adopt	0.694	0.612	0.701	кабул итү
adoption	0.625	0.566	0.589	асрау
adoptive	0.531	0.469	0.520	асраучы
adorable	0.969	0.519	0.457	матур
adoration	0.885	0.699	0.708	табыну
adore	0.854	0.438	0.657	табыну
adoring	0.885	0.620	0.717	табыну
adorn	0.910	0.424	0.482	бизәү
adornment	0.918	0.373	0.377	бизәк
adrenalin	0.865	0.920	0.786	адреналин
adrenaline	0.765	0.965	0.825	адреналин
adrift	0.398	0.486	0.230	адрифт
adult	0.815	0.491	0.787	олылар
adulterated	0.188	0.865	0.370	зина кылу
adulterer	0.229	0.814	0.407	зина кылучы
adultery	0.120	0.922	0.510	зина
adulthood	0.541	0.454	0.652	олы булу
advance	0.673	0.472	0.858	алга
advanced	0.844	0.623	0.797	алга киткән
advancement	0.776	0.650	0.839	алга китеш
advancing	0.929	0.608	0.812	алга
advantage	0.917	0.548	0.859	өстенлек
advantageous	0.837	0.640	0.789	өстенлекле
advent	0.665	0.560	0.627	килү
adventure	0.917	0.857	0.710	маҗаралар
adventurer	0.781	0.839	0.868	авантюрист
adventures	0.812	0.764	0.749	маҗаралар
adventurous	0.969	0.898	0.722	авантюрист
adversary	0.349	0.777	0.457	дошман
adverse	0.323	0.610	0.385	тискәре
adversity	0.276	0.760	0.538	авырлыклар
advertise	0.500	0.529	0.580	реклама
advertisement	0.600	0.566	0.539	реклама
advertising	0.622	0.608	0.632	реклама
adverts	0.551	0.500	0.595	реклама
advice	0.698	0.408	0.688	киңәш
advisable	0.867	0.480	0.510	киңәш
advise	0.760	0.393	0.705	киңәш итегез
advised	0.823	0.330	0.509	киңәш бирде
advisement	0.698	0.235	0.655	консультация
adviser	0.745	0.362	0.705	киңәшчесе
advisor	0.646	0.350	0.689	консультант
advisory	0.656	0.429	0.633	консультация
advocacy	0.500	0.646	0.731	яклау
advocate	0.551	0.530	0.818	яклаучы
aegis	0.490	0.439	0.462	aegis
aeration	0.550	0.500	0.433	аэрация
aerial	0.615	0.461	0.463	һава
aerobics	0.708	0.771	0.627	аэробика
aerodrome	0.541	0.740	0.678	аэродром
aerodynamic	0.561	0.724	0.728	аэродинамик
aerodynamics	0.590	0.663	0.722	аэродинамика
aeronautics	0.551	0.633	0.688	аэронавтика
aeroplane	0.714	0.642	0.644	самолет
aerospace	0.643	0.520	0.779	аэрокосмос
aesthetic	0.708	0.442	0.526	эстетик
aesthetics	0.847	0.327	0.549	эстетика
aetiology	0.480	0.398	0.615	этиология
afar	0.396	0.373	0.358	еракта
affable	0.704	0.380	0.452	ягымлы
affair	0.520	0.459	0.657	эш
affect	0.458	0.569	0.578	йогынты ясый
affecting	0.350	0.574	0.394	йогынты ясау
affection	0.898	0.559	0.696	ярату
affectionate	0.949	0.422	0.550	назлы
affections	0.760	0.547	0.655	мәхәббәт
affiche	0.479	0.265	0.402	аффика
affidavit	0.469	0.584	0.526	афдивит
affiliated	0.673	0.519	0.535	бәйләнгән
affiliation	0.615	0.594	0.500	бәйләнеш
affinity	0.800	0.500	0.537	якынлык
affirm	0.745	0.509	0.731	расла
affirmation	0.750	0.500	0.689	раслау
affirmative	0.854	0.589	0.816	раслаучы
affirmatively	0.908	0.500	0.811	.әр сүзнең
affix	0.438	0.335	0.411	аффикс
afflict	0.302	0.555	0.293	җәфа
afflicted	0.271	0.500	0.167	.әр сүзнең
affliction	0.294	0.635	0.392	газап
affluence	0.663	0.618	0.722	байлык
affluent	0.756	0.388	0.477	бай
afford	0.571	0.580	0.575	мөмкин
affordable	0.840	0.398	0.493	арзан
affront	0.327	0.740	0.547	афронт
affronted	0.385	0.750	0.527	каршы
afield	0.594	0.370	0.373	кыр
afire	0.367	0.904	0.675	ут
afloat	0.602	0.427	0.444	йөзү
afore	0.500	0.337	0.382	алда
aforementioned	0.490	0.316	0.408	алда
aforesaid	0.531	0.358	0.478	югарыда
afraid	0.010	0.775	0.245	курка
afresh	0.643	0.521	0.480	яңадан
aft	0.480	0.417	0.518	aft
afterlife	0.571	0.567	0.568	ахирәт
aftermath	0.312	0.449	0.444	нәтиҗәләре
afternoon	0.533	0.388	0.339	төштән соң
aftershave	0.406	0.384	0.415	афтершав
aftertaste	0.354	0.362	0.455	соңыннан
afterthought	0.396	0.392	0.349	уйлану
aga	0.542	0.327	0.398	ага
agape	0.612	0.529	0.464	агапе
agate	0.540	0.377	0.483	агат
age	0.561	0.226	0.498	яшь
aged	0.135	0.365	0.236	карт
agency	0.460	0.296	0.583	агентлыгы
agenda	0.531	0.296	0.553	көн тәртибе
agent	0.480	0.439	0.755	агент
agglomeration	0.450	0.765	0.509	агломерация
aggravate	0.224	0.770	0.464	көчәйтү
aggravated	0.079	0.760	0.430	авыртты
aggravates	0.108	0.778	0.357	көчәйтә
aggravating	0.257	0.794	0.640	авырттыра
aggravation	0.071	0.784	0.613	көчәйтү
aggregate	0.730	0.378	0.556	агрегат
aggregation	0.583	0.517	0.694	агрегат
aggresive	0.059	0.971	0.639	агрессив
aggression	0.094	0.929	0.533	агрессия
aggressive	0.125	0.949	0.648	агрессив
aggressively	0.250	0.926	0.688	агрессив
aggressiveness	0.077	0.913	0.648	агрессивлык
aggressor	0.146	0.948	0.823	агрессор
agh	0.260	0.500	0.400	аг
aghast	0.133	0.865	0.464	агаст
aghhh	0.281	0.635	0.243	аг
agile	0.800	0.657	0.775	җитез
agility	0.720	0.702	0.815	җитезлек
aging	0.214	0.255	0.284	картлык
agitate	0.300	0.796	0.593	агитация
agitated	0.444	0.882	0.491	борчыла
agitation	0.240	0.931	0.447	агитация
aglow	0.780	0.510	0.797	аглоу
agnostic	0.306	0.396	0.574	агностик
ago	0.317	0.280	0.404	элек
agonizing	0.083	0.800	0.340	газаплы
agony	0.083	0.775	0.393	газап
agoraphobia	0.127	0.712	0.438	агорафобия
agree	0.906	0.260	0.545	риза
agreeable	0.906	0.500	0.696	яраклы
agreed	0.797	0.449	0.574	ризалаштылар
agreeing	0.854	0.480	0.557	ризалашу
agreement	0.760	0.440	0.736	килешү
agressive	0.083	0.918	0.751	агрессив
agricultural	0.686	0.321	0.473	авыл хуҗалыгы
agriculture	0.640	0.357	0.465	авыл хуҗалыгы
aground	0.333	0.340	0.445	җир
agua	0.598	0.180	0.436	агуа
ahead	0.708	0.520	0.673	алда
ahhh	0.562	0.517	0.241	ах
ahhhhhhhh	0.552	0.649	0.288	ахххххх
ahoy	0.500	0.497	0.380	ahoy
aid	0.796	0.491	0.541	ярдәм
aide	0.724	0.342	0.434	ярдәмчесе
aiding	0.643	0.533	0.569	ярдәм
aids	0.561	0.480	0.500	ярдәмлекләр
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	авыру
ailment	0.146	0.734	0.277	авыру
aim	0.481	0.569	0.567	максат
aimless	0.150	0.267	0.183	максатсыз
air	0.708	0.163	0.427	һава
airbag	0.510	0.402	0.433	куркынычсызлык капчыгы
airborne	0.542	0.519	0.385	һавада
aircraft	0.646	0.644	0.691	самолет
aircraft carrier	0.490	0.740	0.727	самолет
airfield	0.601	0.650	0.645	аэродром
airhead	0.271	0.481	0.276	һава башы
airlift	0.573	0.622	0.642	авиатөзелеш
airline	0.650	0.482	0.688	авиакомпания
airliner	0.667	0.777	0.647	очкыч
airlock	0.398	0.520	0.447	очкыч
airman	0.587	0.716	0.721	очучы
airplane	0.719	0.702	0.708	самолет
airport	0.729	0.684	0.682	аэропорт
airs	0.583	0.196	0.370	эфир
airship	0.542	0.472	0.529	десант
airspace	0.562	0.510	0.640	һава киңлеге
airspeed	0.583	0.780	0.544	һава киңлеге
airstrip	0.550	0.690	0.649	аэродром
airtight	0.479	0.381	0.570	һава торышы
airway	0.638	0.585	0.482	һава юлы
aisle	0.438	0.222	0.283	придел
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	ajar
aka	0.459	0.358	0.351	ака
akin	0.639	0.343	0.523	якын
alabaster	0.542	0.404	0.445	алабастер
alarm	0.241	0.882	0.698	сигнализация
alarm clock	0.542	0.727	0.642	уяткыч
alarmed	0.188	0.822	0.492	куркуга
alarming	0.204	0.890	0.585	куркыныч
alas	0.571	0.310	0.279	кайгы
alb	0.521	0.380	0.427	альб
albatross	0.500	0.445	0.527	албатрос
albino	0.500	0.240	0.358	альбино
album	0.635	0.349	0.453	альбом
alchemy	0.541	0.583	0.693	алхимия
alcohol	0.323	0.667	0.377	спирт
alcoholic	0.153	0.688	0.361	алкоголик
alcoholism	0.061	0.779	0.407	алкоголизм
alcove	0.490	0.340	0.356	алков
alderman	0.550	0.459	0.691	алдерман
ale	0.530	0.450	0.358	але
alert	0.479	0.820	0.648	уяу
alertness	0.375	0.875	0.750	уяулык
alerts	0.337	0.804	0.673	хәбәрләр
alfalfa	0.546	0.250	0.311	бедән
algebra	0.440	0.340	0.565	алгебра
algebraic	0.531	0.412	0.441	алгебраик
algorithm	0.448	0.394	0.559	алгоритм
alias	0.541	0.353	0.333	псевдоним
alibi	0.396	0.528	0.556	алиби
alien	0.410	0.615	0.491	чит
alienate	0.247	0.500	0.523	читләштерү
alienated	0.410	0.423	0.559	читләшкән
alienation	0.378	0.530	0.462	читләшү
alight	0.667	0.657	0.605	.әр сүзнең
align	0.656	0.364	0.627	тигезләү
aligned	0.583	0.275	0.553	тигезләнгән
alignment	0.643	0.412	0.683	тигезләү
alike	0.653	0.173	0.444	охшаш
alimentation	0.781	0.551	0.602	алимент
alimony	0.612	0.477	0.464	алимент
aliquot	0.440	0.310	0.404	аликот
alive	0.816	0.637	0.731	тере
alkali	0.490	0.350	0.408	алкалы
alkaloids	0.433	0.562	0.402	алкалоидлар
allay	0.417	0.406	0.398	алла
allegation	0.578	0.578	0.608	гаепләү
allege	0.418	0.482	0.587	гаепләү
alleged	0.365	0.522	0.520	.әр сүзнең
allegiance	0.917	0.398	0.750	тугрылык
allegorical	0.517	0.558	0.598	аллегорик
allegory	0.615	0.580	0.509	аллегория
allegro	0.635	0.627	0.453	аллегро
allergic	0.135	0.549	0.273	аллергия
allergy	0.296	0.606	0.389	аллергия
alleviate	0.869	0.270	0.528	җиңеләйтү
alleviation	0.735	0.200	0.491	җиңеләйтү
alley	0.347	0.500	0.355	аллея
alleyway	0.357	0.471	0.382	аллея
alliance	0.696	0.473	0.769	союз
allied	0.714	0.245	0.642	союздаш
alligator	0.354	0.704	0.645	аллигатор
allocate	0.673	0.462	0.672	бүлеп бирү
allocation	0.604	0.388	0.679	бүлеп бирү
allot	0.622	0.481	0.616	бүлеп бирү
allotment	0.600	0.390	0.640	бүлеп бирү
allow	0.698	0.429	0.538	рөхсәт итегез
allowable	0.698	0.500	0.561	рөхсәтле
allowance	0.673	0.382	0.591	пособие
allowed	0.730	0.360	0.655	рөхсәт ителгән
alloy	0.583	0.443	0.593	эретмәсе
allsmiles	0.786	0.528	0.430	allsmiles
allure	0.804	0.585	0.686	allәр сүзнең
alluring	0.837	0.745	0.843	кызыктыргыч
allusion	0.440	0.308	0.462	аллюзия
alluvial	0.323	0.490	0.491	аллювиаль
ally	0.792	0.320	0.688	союздаш
almanac	0.688	0.190	0.412	альманах
almighty	0.938	0.874	0.958	Чиксез кодрәтле
almond	0.698	0.183	0.314	миндаль
aloft	0.771	0.373	0.700	aloft
aloha	0.698	0.440	0.441	алоха
alone	0.333	0.167	0.216	ялгыз
alongside	0.458	0.333	0.347	белән бергә
aloof	0.189	0.423	0.302	aloof
aloud	0.458	0.713	0.750	кычкырып
alpha	0.708	0.340	0.755	Альфа
alphabet	0.562	0.204	0.672	алфавит
alphabetical	0.537	0.296	0.535	алфавит тәртибендә
alpine	0.594	0.337	0.474	альп
alreadyyyyy	0.592	0.717	0.351	.әр сүзнең
altar	0.724	0.387	0.635	корбан китерү урыны
altar boy	0.434	0.206	0.350	корбан китерү урыны
alter	0.333	0.694	0.654	үзгәртү
alteration	0.167	0.798	0.609	үзгәртү
altercation	0.170	0.806	0.500	ызгыш
altered	0.255	0.765	0.500	үзгәртелде
alternate	0.625	0.363	0.589	альтернатив
alternating	0.480	0.494	0.542	алмашыну
alternative	0.628	0.373	0.631	альтернатива
altimeter	0.615	0.510	0.580	алтиметр
altitude	0.708	0.482	0.736	биеклек
alto	0.656	0.404	0.730	альто
altogether	0.833	0.324	0.644	бөтенләй
aluminum	0.449	0.280	0.434	алюминий
alumnus	0.633	0.368	0.422	тәмамлаучы
alveolar	0.469	0.481	0.367	альвеолар
alzheimers	0.194	0.518	0.319	Альцгеймер
amalgam	0.438	0.333	0.510	амалгам
amalgamation	0.406	0.470	0.531	кушылу
amaretto	0.543	0.551	0.375	амаретто
amass	0.552	0.465	0.465	туплау
amateur	0.469	0.500	0.409	һәвәскәр
amaze	0.896	0.843	0.783	гаҗәпләнү
amazed	0.796	0.779	0.533	гаҗәпләндем
amazedness	0.827	0.872	0.510	гаҗәпләнү
amazement	0.750	0.800	0.639	гаҗәпләнү
amazing	0.906	0.837	0.849	гаҗәп
amazingly	0.918	0.765	0.920	гаҗәп
ambassador	0.651	0.529	0.917	илче
amber	0.635	0.308	0.369	амбер
ambience	0.735	0.356	0.426	тирәлек
ambient	0.625	0.360	0.582	әйләнә-тирә
ambiguity	0.164	0.460	0.370	аңлаешсызлык
ambiguous	0.265	0.462	0.358	ике мәгънәле
ambit	0.479	0.380	0.386	амбит
ambition	0.510	0.804	0.661	амбиция
ambitious	0.484	0.821	0.717	амбицияле
ambivalent	0.510	0.404	0.482	икеләнүчән
ambrosia	0.571	0.452	0.480	амброзия
ambulance	0.500	0.750	0.609	ашыгыч ярдәм
ambush	0.281	0.830	0.500	подъезд
ameliorate	0.770	0.548	0.747	мелиорация
amen	0.781	0.182	0.542	амин
amenable	0.448	0.410	0.406	уңайлы
amend	0.688	0.406	0.658	үзгәртү
amendment	0.531	0.459	0.606	төзәтмә
amends	0.640	0.366	0.517	төзәтә
amenity	0.750	0.327	0.574	уңайлык
amethyst	0.622	0.406	0.517	аметист
amiable	0.847	0.290	0.483	рәхәт
amicable	0.875	0.330	0.507	дус
amid	0.510	0.340	0.256	арасында
amidst	0.480	0.330	0.316	арасында
amino	0.551	0.402	0.433	амино
ammo	0.323	0.765	0.621	ату
ammonia	0.292	0.587	0.409	аммиак
ammonium	0.354	0.396	0.368	аммиак
ammunition	0.338	0.635	0.667	ок
amnesia	0.296	0.330	0.308	амнезия
amnesty	0.551	0.451	0.814	амнистия
amorous	0.844	0.670	0.636	көлке
amorphous	0.327	0.402	0.349	аморф
amortization	0.592	0.491	0.522	амортизация
amount	0.562	0.422	0.649	күләме
amour	0.865	0.480	0.652	амур
amp	0.439	0.393	0.375	amp
ampersand	0.480	0.448	0.483	амперсанд
amphetamines	0.133	0.667	0.526	амфетаминнар
amphibian	0.427	0.357	0.474	амфибия
amphibious	0.479	0.346	0.445	амфибия
amphitheater	0.653	0.480	0.545	амфитеатр
ample	0.744	0.349	0.719	җитәрлек
amplification	0.690	0.677	0.810	көчәйтү
amplify	0.677	0.735	0.827	көчәйтү
amplitude	0.694	0.439	0.692	амплитуда
amply	0.781	0.431	0.766	.әр сүзнең
amputate	0.092	0.660	0.509	кисү
amputation	0.100	0.755	0.483	ампутация
amuck	0.385	0.602	0.321	амук
amulet	0.781	0.260	0.630	амулет
amuse	0.812	0.684	0.664	күңел ачу
amused	0.942	0.847	0.596	көлке
amusement	0.929	0.837	0.803	күңел ачу
amusing	0.960	0.829	0.632	кызыклы
ana	0.541	0.300	0.314	ана
anaconda	0.146	0.830	0.540	анаконда
anaesthesia	0.350	0.217	0.473	анестезия
anaesthetic	0.449	0.268	0.509	наркоз
anagram	0.552	0.327	0.449	анаграм
anal	0.333	0.798	0.334	анал
analgesic	0.417	0.321	0.441	аналгесик
analogous	0.531	0.270	0.500	аналог
analogue	0.570	0.320	0.446	аналог
analogy	0.510	0.367	0.509	аналогия
analysis	0.729	0.448	0.705	анализ
analyst	0.604	0.415	0.755	аналитик
analytic	0.665	0.521	0.634	аналитик
analytical	0.625	0.324	0.800	аналитик
analyze	0.667	0.462	0.710	анализлау
analyzer	0.625	0.556	0.854	анализатор
anaphylactic	0.378	0.588	0.500	анафилактик
anarchism	0.125	0.804	0.623	анархизм
anarchist	0.204	0.700	0.759	анархист
anarchy	0.146	0.755	0.620	анархия
