English Word	Valence	Arousal	Dominance	Samoan Word
absentee	0.235	0.330	0.279	lē auai
absenteeism	0.404	0.273	0.357	toesea
absinthe	0.481	0.510	0.462	absinthe
absolute	0.526	0.510	0.827	fa'amaoni
absolution	0.715	0.500	0.664	faamagaloga
absolve	0.684	0.449	0.660	fa'amavae
absorb	0.469	0.558	0.670	mitiia
absorbed	0.490	0.471	0.519	mitiia
absorbent	0.552	0.394	0.718	mitiia
absorbing	0.490	0.490	0.578	mitiia
absorption	0.609	0.422	0.446	mitiia
abstain	0.385	0.385	0.427	taofi
abstention	0.271	0.264	0.509	taofi
abstinence	0.260	0.392	0.429	fa'amama
abstract	0.438	0.292	0.444	fa'amatalaga
abstraction	0.469	0.439	0.525	fa'atosina
absurd	0.188	0.656	0.284	faavalevalea
absurdity	0.115	0.528	0.227	faavalevalea
abundance	0.812	0.690	0.852	tele
abundant	0.958	0.590	0.760	tele
abuse	0.071	0.873	0.469	faatautala
abused	0.021	0.874	0.235	sauaina
abusive	0.125	0.903	0.567	fa'aleaga
abutment	0.500	0.265	0.616	abutment
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	leaga
abyss	0.353	0.725	0.296	tō
academic	0.781	0.420	0.812	a'oa'oga
academy	0.704	0.473	0.792	a'oga
accede	0.698	0.510	0.537	talia
accelerant	0.643	0.844	0.802	fa'atelevave
accelerate	0.615	0.902	0.759	faatelevave
accelerated	0.610	0.812	0.682	faatelevave
acceleration	0.704	0.905	0.843	fa'avavevave
accelerator	0.593	0.830	0.812	fa'avave
accent	0.598	0.357	0.509	faaleoga
accentuate	0.673	0.556	0.667	fa'amamafa
accept	0.847	0.286	0.565	talia
acceptable	0.812	0.286	0.583	talia
acceptance	0.833	0.287	0.755	taliaina
acceptances	0.847	0.413	0.648	taliaina
access	0.714	0.472	0.567	avanoa
accessible	0.796	0.410	0.645	avanoa
accession	0.612	0.383	0.636	fa'atasiga
accessory	0.562	0.292	0.445	mea faaopoopo
accident	0.125	0.908	0.336	fa'alavelave
accidental	0.319	0.784	0.307	fa'afuase'i
accidentally	0.333	0.741	0.333	fa'afuase'i
acclaim	0.562	0.809	0.718	viia
accolade	0.688	0.591	0.775	viia
accommodate	0.844	0.375	0.566	fa'afeiloa'i
accommodation	0.817	0.415	0.587	mea e nonofo ai
accompaniment	0.740	0.479	0.695	fa'atasi
accompany	0.833	0.406	0.585	fa'atasi
accompanying	0.787	0.460	0.582	fa'atasi
accomplice	0.408	0.580	0.510	aumea
accomplish	0.929	0.673	0.816	ausia
accomplished	0.870	0.520	0.798	ausia
accomplishment	0.917	0.694	0.888	ausia
accord	0.898	0.264	0.382	malie
accordance	0.659	0.349	0.600	e tusa ai
accordion	0.604	0.490	0.361	akordioni
account	0.531	0.347	0.472	tala
accountability	0.755	0.537	0.833	tali atu
accountable	0.709	0.282	0.777	tali atu
accountant	0.625	0.450	0.639	tausitusi
accounting	0.552	0.390	0.677	tausitusi
accounts	0.592	0.340	0.471	tala
accredited	0.669	0.479	0.768	fa'amaonia
accretion	0.448	0.519	0.672	fa'aopoopoina
accrue	0.520	0.481	0.602	fa'atupu
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	fa'aputu
accumulation	0.479	0.527	0.600	fa'aputuga
accuracy	0.604	0.481	0.802	sa'o
accurate	0.743	0.360	0.737	sa'o
accursed	0.135	0.745	0.345	malaia
accusation	0.073	0.718	0.564	tuuaiga
accusative	0.198	0.755	0.482	tu'ua'i
accuse	0.133	0.752	0.500	molia
accused	0.130	0.670	0.420	molia
accuser	0.122	0.779	0.615	tagata molia
accusing	0.156	0.745	0.324	molia
accustomed	0.542	0.365	0.441	masani
ace	0.643	0.481	0.546	ace
acetic	0.333	0.420	0.519	acetic
acetylene	0.306	0.469	0.509	acetylene
ache	0.146	0.760	0.312	tiga
achieve	0.816	0.545	0.843	ausia
achieved	0.896	0.519	0.775	ausia
achievement	0.896	0.808	0.759	ausia
aching	0.053	0.880	0.348	tiga
achy	0.167	0.840	0.373	tiga
acid	0.265	0.642	0.566	acid
acidity	0.156	0.663	0.360	acidity
acknowledge	0.786	0.370	0.661	ta'uta'u atu
acknowledged	0.714	0.443	0.765	faailoa atu
acknowledgement	0.819	0.539	0.830	fa'afetai
acknowledgment	0.796	0.528	0.777	fa'afetai
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	siama
acorn	0.448	0.198	0.192	acorn
acoustic	0.542	0.462	0.536	fa'alogo
acoustics	0.611	0.330	0.509	acoustics
acquaint	0.646	0.491	0.639	faamasani
acquaintance	0.656	0.290	0.670	masani
acquainted	0.906	0.358	0.632	masani
acquiescence	0.542	0.480	0.554	malie
acquire	0.833	0.468	0.700	maua
acquiring	0.735	0.510	0.817	mauaina
acquisition	0.698	0.509	0.736	mauaina
acquisitions	0.773	0.660	0.790	mauaina
acquit	0.583	0.571	0.611	fa'asa'oloto
acquittal	0.760	0.497	0.700	fa'asa'oloto
acre	0.583	0.387	0.423	eka
acreage	0.741	0.450	0.528	eka
acres	0.510	0.363	0.500	eka
acrobat	0.708	0.828	0.602	acrobat
acrylic	0.582	0.279	0.420	acrylic
act	0.656	0.704	0.735	galue
acting	0.698	0.643	0.500	galue
action	0.760	0.898	0.802	gaioiga
action figure	0.615	0.774	0.611	taga fa'atino
actionable	0.673	0.702	0.613	mafai ona faatino
activate	0.764	0.650	0.806	fa'agaoioi
activation	0.781	0.800	0.754	fa'ato'aga
active	0.847	0.730	0.731	toaga
activist	0.531	0.653	0.877	activist
activity	0.701	0.660	0.807	gaoioiga
actor	0.653	0.561	0.629	tagata fai pese
actress	0.633	0.556	0.596	fai pese
actual	0.729	0.400	0.716	moni
actuality	0.750	0.464	0.600	mea moni
actuary	0.510	0.404	0.491	fa'atonu
acuity	0.469	0.378	0.741	mataalia
acumen	0.564	0.660	0.679	atamai
acupuncture	0.531	0.324	0.549	acupuncture
acute	0.427	0.652	0.534	mata'utia
acutely	0.417	0.543	0.491	matua'i
ad	0.521	0.705	0.558	ad
adage	0.517	0.415	0.566	muagagana
adamant	0.344	0.529	0.575	mautu
adapt	0.740	0.355	0.551	fetuutuunai
adaptable	0.735	0.423	0.641	fetuutuunai
adaptation	0.663	0.365	0.609	fetuutuunaiga
add	0.728	0.490	0.554	fa'aopoopo
added	0.562	0.405	0.509	faaopoopo
addendum	0.392	0.370	0.418	faaopoopoga
adder	0.388	0.461	0.588	fa'aopoopo
addict	0.075	0.696	0.327	vaisu
addicted	0.156	0.712	0.483	mausa
addiction	0.180	0.806	0.420	vaisu
addictive	0.302	0.683	0.472	fai ma vaisu
addition	0.562	0.373	0.471	fa'aopoopo
additional	0.673	0.462	0.526	faaopoopo
additive	0.561	0.633	0.691	fa'aopoopo
address	0.650	0.327	0.567	tuatusi
addressee	0.622	0.382	0.538	fa'afeiloa'i
addresses	0.510	0.354	0.450	tuatusi
adept	0.594	0.539	0.789	tomai
adequacy	0.615	0.435	0.702	agavaa
adequate	0.854	0.264	0.705	lava
adhere	0.633	0.339	0.554	tausisi
adherence	0.760	0.307	0.630	tausisi
adherent	0.561	0.385	0.555	tausisi
adhering	0.612	0.561	0.537	pipi'i
adhesion	0.521	0.445	0.586	pipi'i
adhesive	0.604	0.350	0.413	fa'apipi'i
adieu	0.250	0.471	0.342	tofa
adipose	0.333	0.350	0.391	mata'utia
adjacency	0.365	0.417	0.375	tuaoi
adjacent	0.645	0.276	0.536	tuaoi
adjective	0.570	0.316	0.569	fa'ailoga
adjoining	0.520	0.400	0.393	tuaoi
adjourn	0.385	0.456	0.475	tolopoina
adjournment	0.438	0.510	0.370	tolopoina
adjudicate	0.559	0.520	0.683	faamasino
adjudication	0.551	0.462	0.691	faamasinoga
adjunct	0.459	0.440	0.426	fa'aopoopo
adjust	0.647	0.327	0.638	fetuutuunai
adjuster	0.510	0.540	0.760	fetuutuunai
adjustment	0.590	0.520	0.661	fetuutuunaiga
adjuvant	0.510	0.500	0.456	fesoasoani
admin	0.688	0.420	0.854	pule
administer	0.635	0.425	0.860	fa'atonu
administration	0.625	0.404	0.786	pulega
administrative	0.542	0.415	0.579	pulega
administrator	0.538	0.480	0.902	pule
admirable	0.929	0.600	0.870	mata'ina
admiral	0.844	0.490	0.847	faamemelo
admiralty	0.594	0.547	0.733	faamemelo
admiration	0.969	0.583	0.726	faamemelo
admire	0.867	0.692	0.704	faamemelo
admired	0.917	0.560	0.815	faamemelo
admirer	0.796	0.720	0.650	tagata faamemelo
admiring	0.867	0.578	0.629	faamemelo
admissibility	0.802	0.580	0.602	talia
admissible	0.780	0.528	0.642	talia
admission	0.802	0.415	0.732	ulufale
admit	0.538	0.423	0.667	ta'utino atu
admittance	0.690	0.451	0.598	ulufale
admitted	0.720	0.490	0.767	talia
admitting	0.620	0.500	0.546	ta'utino
admixture	0.450	0.375	0.438	fa'afefiloi
admonition	0.357	0.606	0.455	apoapoaiga
ado	0.520	0.423	0.385	talofa
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	talavou
adolescent	0.781	0.680	0.509	talavou
adopt	0.694	0.612	0.701	vaetamaina
adoption	0.625	0.566	0.589	vaetamaina
adoptive	0.531	0.469	0.520	vaetamaina
adorable	0.969	0.519	0.457	aulelei
adoration	0.885	0.699	0.708	ifoga
adore	0.854	0.438	0.657	faamemelo
adoring	0.885	0.620	0.717	faamemelo
adorn	0.910	0.424	0.482	teuteu
adornment	0.918	0.373	0.377	teuteuga
adrenalin	0.865	0.920	0.786	adrenalin
adrenaline	0.765	0.965	0.825	adrenaline
adrift	0.398	0.486	0.230	tafefea
adult	0.815	0.491	0.787	tagata matua
adulterated	0.188	0.865	0.370	mulilua
adulterer	0.229	0.814	0.407	mulilua
adultery	0.120	0.922	0.510	mulilua
adulthood	0.541	0.454	0.652	matua
advance	0.673	0.472	0.858	agai i luma
advanced	0.844	0.623	0.797	alualu i luma
advancement	0.776	0.650	0.839	alualu i luma
advancing	0.929	0.608	0.812	agai i luma
advantage	0.917	0.548	0.859	manuia
advantageous	0.837	0.640	0.789	aoga
advent	0.665	0.560	0.627	toe afio mai
adventure	0.917	0.857	0.710	malaga
adventurer	0.781	0.839	0.868	tagata fa'atauva'a
adventures	0.812	0.764	0.749	mea tutupu
adventurous	0.969	0.898	0.722	fa'atauva'a
adversary	0.349	0.777	0.457	fili
adverse	0.323	0.610	0.385	leaga
adversity	0.276	0.760	0.538	puapuaga
advertise	0.500	0.529	0.580	fa'asalalau
advertisement	0.600	0.566	0.539	fa'asalalauga
advertising	0.622	0.608	0.632	fa'asalalauga
adverts	0.551	0.500	0.595	fa'asalalauga
advice	0.698	0.408	0.688	fautuaga
advisable	0.867	0.480	0.510	fautuaina
advise	0.760	0.393	0.705	fautua
advised	0.823	0.330	0.509	fautuaina
advisement	0.698	0.235	0.655	fautuaga
adviser	0.745	0.362	0.705	faufautua
advisor	0.646	0.350	0.689	faufautua
advisory	0.656	0.429	0.633	faufautua
advocacy	0.500	0.646	0.731	fautua
advocate	0.551	0.530	0.818	fautua
aegis	0.490	0.439	0.462	aegis
aeration	0.550	0.500	0.433	fa'aea
aerial	0.615	0.461	0.463	ea
aerobics	0.708	0.771	0.627	aerobics
aerodrome	0.541	0.740	0.678	malae vaalele
aerodynamic	0.561	0.724	0.728	aerodynamic
aerodynamics	0.590	0.663	0.722	aerodynamics
aeronautics	0.551	0.633	0.688	fa'alelei
aeroplane	0.714	0.642	0.644	vaalele
aerospace	0.643	0.520	0.779	aerospace
aesthetic	0.708	0.442	0.526	matagofie
aesthetics	0.847	0.327	0.549	matagofie
aetiology	0.480	0.398	0.615	aetiology
afar	0.396	0.373	0.358	mamao
affable	0.704	0.380	0.452	agalelei
affair	0.520	0.459	0.657	mataupu
affect	0.458	0.569	0.578	aafia
affecting	0.350	0.574	0.394	afaina
affection	0.898	0.559	0.696	alofa
affectionate	0.949	0.422	0.550	alofa
affections	0.760	0.547	0.655	alofaaga
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	ta'utinoga
affiliated	0.673	0.519	0.535	fa'atasi
affiliation	0.615	0.594	0.500	mafutaga
affinity	0.800	0.500	0.537	mafutaga
affirm	0.745	0.509	0.731	fa'amaonia
affirmation	0.750	0.500	0.689	fa'amaoniga
affirmative	0.854	0.589	0.816	ioe
affirmatively	0.908	0.500	0.811	ioe
affix	0.438	0.335	0.411	fa'amau
afflict	0.302	0.555	0.293	puapuagā
afflicted	0.271	0.500	0.167	mafatia
affliction	0.294	0.635	0.392	puapuaga
affluence	0.663	0.618	0.722	tamaoaiga
affluent	0.756	0.388	0.477	maumea
afford	0.571	0.580	0.575	gafatia
affordable	0.840	0.398	0.493	taugofie
affront	0.327	0.740	0.547	faalumaina
affronted	0.385	0.750	0.527	faalumaina
afield	0.594	0.370	0.373	mamao
afire	0.367	0.904	0.675	afi
afloat	0.602	0.427	0.444	opeopea
afore	0.500	0.337	0.382	muamua
aforementioned	0.490	0.316	0.408	ta'ua i luga
aforesaid	0.531	0.358	0.478	ua taua i luga
afraid	0.010	0.775	0.245	fefe
afresh	0.643	0.521	0.480	toe fa'afouina
aft	0.480	0.417	0.518	tua
afterlife	0.571	0.567	0.568	olaga mulimuli ane
aftermath	0.312	0.449	0.444	i'uga
afternoon	0.533	0.388	0.339	aoauli
aftershave	0.406	0.384	0.415	pe a uma le tafi
aftertaste	0.354	0.362	0.455	tofo mulimuli
afterthought	0.396	0.392	0.349	manatu mulimuli
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	agata
age	0.561	0.226	0.498	tausaga
aged	0.135	0.365	0.236	matua
agency	0.460	0.296	0.583	faitalia
agenda	0.531	0.296	0.553	lisi o mataupu
agent	0.480	0.439	0.755	sooupu
agglomeration	0.450	0.765	0.509	fa'apotopotoga
aggravate	0.224	0.770	0.464	fa'aleaga
aggravated	0.079	0.760	0.430	fa'aleaga
aggravates	0.108	0.778	0.357	fa'aleaga
aggravating	0.257	0.794	0.640	fa'aleaga
aggravation	0.071	0.784	0.613	fa'aleaga
aggregate	0.730	0.378	0.556	fa'atasi
aggregation	0.583	0.517	0.694	fa'atasiga
aggresive	0.059	0.971	0.639	sauā
aggression	0.094	0.929	0.533	osofa'iga
aggressive	0.125	0.949	0.648	fa'amalosi
aggressively	0.250	0.926	0.688	fa'amalosi
aggressiveness	0.077	0.913	0.648	fa'amalosi
aggressor	0.146	0.948	0.823	tagata fa'asa
agh	0.260	0.500	0.400	ag
aghast	0.133	0.865	0.464	te'i
aghhh	0.281	0.635	0.243	aghhh
agile	0.800	0.657	0.775	mataalia
agility	0.720	0.702	0.815	mataalia
aging	0.214	0.255	0.284	matua
agitate	0.300	0.796	0.593	fa'avevesi
agitated	0.444	0.882	0.491	vevesi
agitation	0.240	0.931	0.447	vevesi
aglow	0.780	0.510	0.797	mumu
agnostic	0.306	0.396	0.574	lē talitonu
ago	0.317	0.280	0.404	ua mavae
agonizing	0.083	0.800	0.340	tigaina
agony	0.083	0.775	0.393	tiga
agoraphobia	0.127	0.712	0.438	agoraphobia
agree	0.906	0.260	0.545	malie
agreeable	0.906	0.500	0.696	malie
agreed	0.797	0.449	0.574	malie
agreeing	0.854	0.480	0.557	malie
agreement	0.760	0.440	0.736	maliliega
agressive	0.083	0.918	0.751	fa'asaua
agricultural	0.686	0.321	0.473	fa'ato'aga
agriculture	0.640	0.357	0.465	fa'ato'aga
aground	0.333	0.340	0.445	pa'u
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	i luma
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhhh
ahoy	0.500	0.497	0.380	oui
aid	0.796	0.491	0.541	fesoasoani
aide	0.724	0.342	0.434	fesoasoani
aiding	0.643	0.533	0.569	fesoasoani
aids	0.561	0.480	0.500	fesoasoani
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	ma'i
ailment	0.146	0.734	0.277	ma'i
aim	0.481	0.569	0.567	sini
aimless	0.150	0.267	0.183	leai se faamoemoe
air	0.708	0.163	0.427	ea
airbag	0.510	0.402	0.433	taga ea
airborne	0.542	0.519	0.385	i luga ole ea
aircraft	0.646	0.644	0.691	vaalele
aircraft carrier	0.490	0.740	0.727	va'alele va'alele
airfield	0.601	0.650	0.645	malaevaalele
airhead	0.271	0.481	0.276	ulu ea
airlift	0.573	0.622	0.642	vaalele
airline	0.650	0.482	0.688	vaalele
airliner	0.667	0.777	0.647	va'alele
airlock	0.398	0.520	0.447	loka ea
airman	0.587	0.716	0.721	tagata vaalele
airplane	0.719	0.702	0.708	vaalele
airport	0.729	0.684	0.682	malaevaalele
airs	0.583	0.196	0.370	ea
airship	0.542	0.472	0.529	va'alele
airspace	0.562	0.510	0.640	vateatea
airspeed	0.583	0.780	0.544	saosaoa o le ea
airstrip	0.550	0.690	0.649	malae vaalele
airtight	0.479	0.381	0.570	malulu
airway	0.638	0.585	0.482	ala ea
aisle	0.438	0.222	0.283	alasavali
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	tatala
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	i'u
alabaster	0.542	0.404	0.445	alapasa
alarm	0.241	0.882	0.698	fa'ailo
alarm clock	0.542	0.727	0.642	uati tatagi
alarmed	0.188	0.822	0.492	atuatuvale
alarming	0.204	0.890	0.585	mata'utia
alas	0.571	0.310	0.279	talofa
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatross
albino	0.500	0.240	0.358	albino
album	0.635	0.349	0.453	album
alchemy	0.541	0.583	0.693	alchemy
alcohol	0.323	0.667	0.377	ava malosi
alcoholic	0.153	0.688	0.361	ava malosi
alcoholism	0.061	0.779	0.407	ava malosi
alcove	0.490	0.340	0.356	alcove
alderman	0.550	0.459	0.691	faipule
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	mataala
alertness	0.375	0.875	0.750	mataala
alerts	0.337	0.804	0.673	mataala
alfalfa	0.546	0.250	0.311	alfalfa
algebra	0.440	0.340	0.565	algebra
algebraic	0.531	0.412	0.441	algebraic
algorithm	0.448	0.394	0.559	algorithm
alias	0.541	0.353	0.333	alias
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	tagata ese
alienate	0.247	0.500	0.523	faaesea
alienated	0.410	0.423	0.559	faaesea
alienation	0.378	0.530	0.462	faaesea
alight	0.667	0.657	0.605	alu ifo
align	0.656	0.364	0.627	fa'aogatonu
aligned	0.583	0.275	0.553	fetaui
alignment	0.643	0.412	0.683	fa'aogaina
alike	0.653	0.173	0.444	tutusa
alimentation	0.781	0.551	0.602	mea'ai
alimony	0.612	0.477	0.464	alimoni
aliquot	0.440	0.310	0.404	aliquot
alive	0.816	0.637	0.731	ola
alkali	0.490	0.350	0.408	alkali
alkaloids	0.433	0.562	0.402	alkaloids
allay	0.417	0.406	0.398	fa'afefe
allegation	0.578	0.578	0.608	tuuaiga
allege	0.418	0.482	0.587	tu'ua'i
alleged	0.365	0.522	0.520	tuuaia
allegiance	0.917	0.398	0.750	faamaoni
allegorical	0.517	0.558	0.598	fa'atusa
allegory	0.615	0.580	0.509	tala fa'atusa
allegro	0.635	0.627	0.453	alegro
allergic	0.135	0.549	0.273	fa'ama'i
allergy	0.296	0.606	0.389	allergy
alleviate	0.869	0.270	0.528	fa'amāmā
alleviation	0.735	0.200	0.491	fa'amāmā
alley	0.347	0.500	0.355	auala
alleyway	0.357	0.471	0.382	alatele
alliance	0.696	0.473	0.769	soofaatasi
allied	0.714	0.245	0.642	fa'atasi
alligator	0.354	0.704	0.645	u'amea
allocate	0.673	0.462	0.672	fa'asoa
allocation	0.604	0.388	0.679	faasoasoaina
allot	0.622	0.481	0.616	tufa
allotment	0.600	0.390	0.640	vaevaega
allow	0.698	0.429	0.538	faataga
allowable	0.698	0.500	0.561	faatagaina
allowance	0.673	0.382	0.591	alauni
allowed	0.730	0.360	0.655	faatagaina
alloy	0.583	0.443	0.593	u'amea
allsmiles	0.786	0.528	0.430	'ata'ata uma
allure	0.804	0.585	0.686	faatosina
alluring	0.837	0.745	0.843	faatosina
allusion	0.440	0.308	0.462	fa'atusa
alluvial	0.323	0.490	0.491	aluvial
ally	0.792	0.320	0.688	so'o
almanac	0.688	0.190	0.412	alamanac
almighty	0.938	0.874	0.958	silisiliese
almond	0.698	0.183	0.314	sekati
aloft	0.771	0.373	0.700	i luga
aloha	0.698	0.440	0.441	alofa
alone	0.333	0.167	0.216	toatasi
alongside	0.458	0.333	0.347	fa'atasi
aloof	0.189	0.423	0.302	mamao
aloud	0.458	0.713	0.750	leotele
alpha	0.708	0.340	0.755	alafa
alphabet	0.562	0.204	0.672	alafapeta
alphabetical	0.537	0.296	0.535	alafapeta
alpine	0.594	0.337	0.474	alpine
alreadyyyyy	0.592	0.717	0.351	ua umayyy
altar	0.724	0.387	0.635	fata faitaulaga
altar boy	0.434	0.206	0.350	tama fata faitaulaga
alter	0.333	0.694	0.654	sui
alteration	0.167	0.798	0.609	suiga
altercation	0.170	0.806	0.500	misa
altered	0.255	0.765	0.500	suia
alternate	0.625	0.363	0.589	feliua'i
alternating	0.480	0.494	0.542	fesuia'i
alternative	0.628	0.373	0.631	isi mea
altimeter	0.615	0.510	0.580	mita maualuga
altitude	0.708	0.482	0.736	maualuga
alto	0.656	0.404	0.730	alto
altogether	0.833	0.324	0.644	atoa
aluminum	0.449	0.280	0.434	alumini
alumnus	0.633	0.368	0.422	tagata a'oga
alveolar	0.469	0.481	0.367	alveolar
alzheimers	0.194	0.518	0.319	Alzheimer
amalgam	0.438	0.333	0.510	amalgam
amalgamation	0.406	0.470	0.531	fa'atasiga
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	fa'aputu
amateur	0.469	0.500	0.409	amateur
amaze	0.896	0.843	0.783	ofo
amazed	0.796	0.779	0.533	ofo
amazedness	0.827	0.872	0.510	ofo
amazement	0.750	0.800	0.639	ofo
amazing	0.906	0.837	0.849	ofoofogia
amazingly	0.918	0.765	0.920	ofoofogia
ambassador	0.651	0.529	0.917	amepasa
amber	0.635	0.308	0.369	amber
ambience	0.735	0.356	0.426	si'osi'omaga
ambient	0.625	0.360	0.582	ambient
ambiguity	0.164	0.460	0.370	le manino
ambiguous	0.265	0.462	0.358	le manino
ambit	0.479	0.380	0.386	ambiti
ambition	0.510	0.804	0.661	fa'anaunauta'iga
ambitious	0.484	0.821	0.717	fiasili
ambivalent	0.510	0.404	0.482	fa'atauva'a
ambrosia	0.571	0.452	0.480	ambrosia
ambulance	0.500	0.750	0.609	ta'avale a le falema'i
ambush	0.281	0.830	0.500	osofa'i
ameliorate	0.770	0.548	0.747	faaleleia
amen	0.781	0.182	0.542	amene
amenable	0.448	0.410	0.406	talia
amend	0.688	0.406	0.658	teuteu
amendment	0.531	0.459	0.606	teuteuga
amends	0.640	0.366	0.517	teuteu
amenity	0.750	0.327	0.574	fa'afiafiaga
amethyst	0.622	0.406	0.517	amethyst
amiable	0.847	0.290	0.483	agalelei
amicable	0.875	0.330	0.507	agalelei
amid	0.510	0.340	0.256	totonugalemu
amidst	0.480	0.330	0.316	lotolotoi
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	fana
ammonia	0.292	0.587	0.409	amonia
ammonium	0.354	0.396	0.368	ammonium
ammunition	0.338	0.635	0.667	fana
amnesia	0.296	0.330	0.308	amnesia
amnesty	0.551	0.451	0.814	faamagaloga
amorous	0.844	0.670	0.636	alofa
amorphous	0.327	0.402	0.349	amorphous
amortization	0.592	0.491	0.522	fa'amauina
amount	0.562	0.422	0.649	aofaiga
amour	0.865	0.480	0.652	alofa
amp	0.439	0.393	0.375	amp
ampersand	0.480	0.448	0.483	ampersand
amphetamines	0.133	0.667	0.526	amphetamines
amphibian	0.427	0.357	0.474	amphibian
amphibious	0.479	0.346	0.445	amphibious
amphitheater	0.653	0.480	0.545	fale mataaga
ample	0.744	0.349	0.719	tele
amplification	0.690	0.677	0.810	fa'ateleina
amplify	0.677	0.735	0.827	fa'atele
amplitude	0.694	0.439	0.692	amplitude
amply	0.781	0.431	0.766	tele
amputate	0.092	0.660	0.509	tipi ese
amputation	0.100	0.755	0.483	tipi
amuck	0.385	0.602	0.321	amuck
amulet	0.781	0.260	0.630	amuleti
amuse	0.812	0.684	0.664	fa'afiafia
amused	0.942	0.847	0.596	malie
amusement	0.929	0.837	0.803	fa'afiafiaga
amusing	0.960	0.829	0.632	malie
ana	0.541	0.300	0.314	ana
anaconda	0.146	0.830	0.540	anaconda
anaesthesia	0.350	0.217	0.473	fa'ama'i fa'ama'i
anaesthetic	0.449	0.268	0.509	vai fa'ama'i
anagram	0.552	0.327	0.449	anagram
anal	0.333	0.798	0.334	anal
analgesic	0.417	0.321	0.441	analgesic
analogous	0.531	0.270	0.500	fa'atusa
analogue	0.570	0.320	0.446	fa'atusa
analogy	0.510	0.367	0.509	fa'atusa
analysis	0.729	0.448	0.705	au'ili'iliga
analyst	0.604	0.415	0.755	su'esu'e
