English Word	Valence	Arousal	Dominance	Maori Word
absentee	0.235	0.330	0.279	ngaro
absenteeism	0.404	0.273	0.357	noho kore
absinthe	0.481	0.510	0.462	absinthe
absolute	0.526	0.510	0.827	tino
absolution	0.715	0.500	0.664	murunga
absolve	0.684	0.449	0.660	whakakore
absorb	0.469	0.558	0.670	mimiti
absorbed	0.490	0.471	0.519	horomia
absorbent	0.552	0.394	0.718	horomanga
absorbing	0.490	0.490	0.578	horomia
absorption	0.609	0.422	0.446	horonga
abstain	0.385	0.385	0.427	mawehe atu
abstention	0.271	0.264	0.509	mawehe atu
abstinence	0.260	0.392	0.429	te korenga
abstract	0.438	0.292	0.444	waitara
abstraction	0.469	0.439	0.525	tangohanga
absurd	0.188	0.656	0.284	heahea
absurdity	0.115	0.528	0.227	heahea
abundance	0.812	0.690	0.852	nui
abundant	0.958	0.590	0.760	nui
abuse	0.071	0.873	0.469	tūkino
abused	0.021	0.874	0.235	tukinotia
abusive	0.125	0.903	0.567	whakakino
abutment	0.500	0.265	0.616	whakaruruhau
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	kino
abyss	0.353	0.725	0.296	torere
academic	0.781	0.420	0.812	mātauranga
academy	0.704	0.473	0.792	whare wānanga
accede	0.698	0.510	0.537	uru
accelerant	0.643	0.844	0.802	whakatere
accelerate	0.615	0.902	0.759	whakatere
accelerated	0.610	0.812	0.682	whakatere
acceleration	0.704	0.905	0.843	whakaterenga
accelerator	0.593	0.830	0.812	whakaterenga
accent	0.598	0.357	0.509	nako
accentuate	0.673	0.556	0.667	whakanui
accept	0.847	0.286	0.565	whakaae
acceptable	0.812	0.286	0.583	e manakohia ana
acceptance	0.833	0.287	0.755	whakaaetanga
acceptances	0.847	0.413	0.648	whakaaetanga
access	0.714	0.472	0.567	uru
accessible	0.796	0.410	0.645	wātea
accession	0.612	0.383	0.636	whakaurunga
accessory	0.562	0.292	0.445	apatoko
accident	0.125	0.908	0.336	aitua
accidental	0.319	0.784	0.307	ohorere
accidentally	0.333	0.741	0.333	ohorere
acclaim	0.562	0.809	0.718	whakamihi
accolade	0.688	0.591	0.775	whakanui
accommodate	0.844	0.375	0.566	noho
accommodation	0.817	0.415	0.587	noho
accompaniment	0.740	0.479	0.695	te haere tahi
accompany	0.833	0.406	0.585	haere tahi
accompanying	0.787	0.460	0.582	haere tahi
accomplice	0.408	0.580	0.510	hoa mahi
accomplish	0.929	0.673	0.816	whakatutuki
accomplished	0.870	0.520	0.798	kua tutuki
accomplishment	0.917	0.694	0.888	whakatutukitanga
accord	0.898	0.264	0.382	whakaae
accordance	0.659	0.349	0.600	rite
accordion	0.604	0.490	0.361	akoriona
account	0.531	0.347	0.472	pūkete
accountability	0.755	0.537	0.833	kawenga takohanga
accountable	0.709	0.282	0.777	whai kawenga
accountant	0.625	0.450	0.639	kaikaute
accounting	0.552	0.390	0.677	kaute kaute
accounts	0.592	0.340	0.471	kaute
accredited	0.669	0.479	0.768	whaimana
accretion	0.448	0.519	0.672	pikinga
accrue	0.520	0.481	0.602	whakaemi
accueil	0.450	0.451	0.470	whakakeke
accumulate	0.573	0.536	0.607	whakaemi
accumulation	0.479	0.527	0.600	whakaemi
accuracy	0.604	0.481	0.802	tika
accurate	0.743	0.360	0.737	tika
accursed	0.135	0.745	0.345	kanga
accusation	0.073	0.718	0.564	whakapae
accusative	0.198	0.755	0.482	whakapae
accuse	0.133	0.752	0.500	whakapae
accused	0.130	0.670	0.420	whakapaea
accuser	0.122	0.779	0.615	kaiwhakapae
accusing	0.156	0.745	0.324	whakapae
accustomed	0.542	0.365	0.441	taunga
ace	0.643	0.481	0.546	ace
acetic	0.333	0.420	0.519	acetic
acetylene	0.306	0.469	0.509	acetylene
ache	0.146	0.760	0.312	mamae
achieve	0.816	0.545	0.843	tutuki
achieved	0.896	0.519	0.775	kua tutuki
achievement	0.896	0.808	0.759	paetae
aching	0.053	0.880	0.348	mamae
achy	0.167	0.840	0.373	mamae
acid	0.265	0.642	0.566	waikawa
acidity	0.156	0.663	0.360	waikawa
acknowledge	0.786	0.370	0.661	whakaae
acknowledged	0.714	0.443	0.765	i whakaae
acknowledgement	0.819	0.539	0.830	mihinga
acknowledgment	0.796	0.528	0.777	mihinga
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	hakihaki
acorn	0.448	0.198	0.192	acorn
acoustic	0.542	0.462	0.536	ororongo
acoustics	0.611	0.330	0.509	ororongo
acquaint	0.646	0.491	0.639	whakamohio
acquaintance	0.656	0.290	0.670	taunga
acquainted	0.906	0.358	0.632	kua mohio
acquiescence	0.542	0.480	0.554	whakaae
acquire	0.833	0.468	0.700	whiwhi
acquiring	0.735	0.510	0.817	whiwhi
acquisition	0.698	0.509	0.736	rironga
acquisitions	0.773	0.660	0.790	hokonga
acquit	0.583	0.571	0.611	whakawātea
acquittal	0.760	0.497	0.700	whakawāteatanga
acre	0.583	0.387	0.423	eka
acreage	0.741	0.450	0.528	eka
acres	0.510	0.363	0.500	eka
acrobat	0.708	0.828	0.602	acrobat
acrylic	0.582	0.279	0.420	kiriaku
act	0.656	0.704	0.735	mahi
acting	0.698	0.643	0.500	mahi whakaari
action	0.760	0.898	0.802	mahi
action figure	0.615	0.774	0.611	ahua mahi
actionable	0.673	0.702	0.613	ka taea te mahi
activate	0.764	0.650	0.806	whakahohe
activation	0.781	0.800	0.754	whakahohenga
active	0.847	0.730	0.731	kaha
activist	0.531	0.653	0.877	kaikohikohi
activity	0.701	0.660	0.807	mahi
actor	0.653	0.561	0.629	kaiwhakaari
actress	0.633	0.556	0.596	kaitapere wahine
actual	0.729	0.400	0.716	tūturu
actuality	0.750	0.464	0.600	mooni
actuary	0.510	0.404	0.491	kaikorero
acuity	0.469	0.378	0.741	acuity
acumen	0.564	0.660	0.679	mohio
acupuncture	0.531	0.324	0.549	acupuncture
acute	0.427	0.652	0.534	whakapeka
acutely	0.417	0.543	0.491	tino kaha
ad	0.521	0.705	0.558	ad
adage	0.517	0.415	0.566	whakatauki
adamant	0.344	0.529	0.575	mau tonu
adapt	0.740	0.355	0.551	urutau
adaptable	0.735	0.423	0.641	urutau
adaptation	0.663	0.365	0.609	urutaunga
add	0.728	0.490	0.554	tāpiri
added	0.562	0.405	0.509	tāpirihia
addendum	0.392	0.370	0.418	tāpiritanga
adder	0.388	0.461	0.588	neke
addict	0.075	0.696	0.327	kahunga
addicted	0.156	0.712	0.483	kaingākau
addiction	0.180	0.806	0.420	te waranga
addictive	0.302	0.683	0.472	faatîtîraa
addition	0.562	0.373	0.471	tāpiritanga
additional	0.673	0.462	0.526	taapiri
additive	0.561	0.633	0.691	taapiri
address	0.650	0.327	0.567	wāhitau
addressee	0.622	0.382	0.538	tangata whai korero
addresses	0.510	0.354	0.450	wāhitau
adept	0.594	0.539	0.789	matatau
adequacy	0.615	0.435	0.702	rawaka
adequate	0.854	0.264	0.705	rawaka
adhere	0.633	0.339	0.554	piri
adherence	0.760	0.307	0.630	piripono
adherent	0.561	0.385	0.555	piri
adhering	0.612	0.561	0.537	piri
adhesion	0.521	0.445	0.586	whakapiringa
adhesive	0.604	0.350	0.413	whakapiringa
adieu	0.250	0.471	0.342	poroporoaki
adipose	0.333	0.350	0.391	kiko
adjacency	0.365	0.417	0.375	pātata
adjacent	0.645	0.276	0.536	pātata
adjective	0.570	0.316	0.569	kupu āhua
adjoining	0.520	0.400	0.393	e piri ana
adjourn	0.385	0.456	0.475	hikitia
adjournment	0.438	0.510	0.370	hikitanga
adjudicate	0.559	0.520	0.683	whakawa
adjudication	0.551	0.462	0.691	whakawakanga
adjunct	0.459	0.440	0.426	taapiri
adjust	0.647	0.327	0.638	whakatika
adjuster	0.510	0.540	0.760	kaiwhakatikatika
adjustment	0.590	0.520	0.661	whakatikatika
adjuvant	0.510	0.500	0.456	awhina
admin	0.688	0.420	0.854	kaiwhakahaere
administer	0.635	0.425	0.860	whakahaere
administration	0.625	0.404	0.786	whakahaerenga
administrative	0.542	0.415	0.579	whakahaere
administrator	0.538	0.480	0.902	kaiwhakahaere
admirable	0.929	0.600	0.870	whakamīharo
admiral	0.844	0.490	0.847	amirara
admiralty	0.594	0.547	0.733	whakamīharo
admiration	0.969	0.583	0.726	whakamihi
admire	0.867	0.692	0.704	whakamihi
admired	0.917	0.560	0.815	whakamīharo
admirer	0.796	0.720	0.650	whakamīharo
admiring	0.867	0.578	0.629	whakamihi
admissibility	0.802	0.580	0.602	te whakaae
admissible	0.780	0.528	0.642	whakaaetia
admission	0.802	0.415	0.732	urunga
admit	0.538	0.423	0.667	whakaae
admittance	0.690	0.451	0.598	urunga
admitted	0.720	0.490	0.767	whakaae
admitting	0.620	0.500	0.546	whakaae
admixture	0.450	0.375	0.438	whakaurunga
admonition	0.357	0.606	0.455	whakatupato
ado	0.520	0.423	0.385	tangi
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	taiohitanga
adolescent	0.781	0.680	0.509	taiohi
adopt	0.694	0.612	0.701	tango
adoption	0.625	0.566	0.589	whakatamarikitanga
adoptive	0.531	0.469	0.520	whāngai
adorable	0.969	0.519	0.457	ataahua
adoration	0.885	0.699	0.708	karakia
adore	0.854	0.438	0.657	koropiko
adoring	0.885	0.620	0.717	koropiko
adorn	0.910	0.424	0.482	whakapaipai
adornment	0.918	0.373	0.377	whakapaipai
adrenalin	0.865	0.920	0.786	adrenaline
adrenaline	0.765	0.965	0.825	adrenaline
adrift	0.398	0.486	0.230	panuku
adult	0.815	0.491	0.787	pakeke
adulterated	0.188	0.865	0.370	whakapohehe
adulterer	0.229	0.814	0.407	tangata puremu
adultery	0.120	0.922	0.510	puremu
adulthood	0.541	0.454	0.652	pakeketanga
advance	0.673	0.472	0.858	mua
advanced	0.844	0.623	0.797	matatau
advancement	0.776	0.650	0.839	whakamuatanga
advancing	0.929	0.608	0.812	whakamua
advantage	0.917	0.548	0.859	painga
advantageous	0.837	0.640	0.789	painga
advent	0.665	0.560	0.627	te taenga mai
adventure	0.917	0.857	0.710	mōrearea
adventurer	0.781	0.839	0.868	kaihoroi
adventures	0.812	0.764	0.749	nga haerenga
adventurous	0.969	0.898	0.722	whaiwhaiwhai
adversary	0.349	0.777	0.457	hoariri
adverse	0.323	0.610	0.385	kino
adversity	0.276	0.760	0.538	ati
advertise	0.500	0.529	0.580	panui
advertisement	0.600	0.566	0.539	pānuitanga
advertising	0.622	0.608	0.632	pānuitanga
adverts	0.551	0.500	0.595	pānuitanga
advice	0.698	0.408	0.688	tohutohu
advisable	0.867	0.480	0.510	tika
advise	0.760	0.393	0.705	tohutohu
advised	0.823	0.330	0.509	tohutohu
advisement	0.698	0.235	0.655	tohutohu
adviser	0.745	0.362	0.705	kaiwhakatakoto whakaaro
advisor	0.646	0.350	0.689	kaitohutohu
advisory	0.656	0.429	0.633	tohutohu
advocacy	0.500	0.646	0.731	tautoko
advocate	0.551	0.530	0.818	kaiwawao
aegis	0.490	0.439	0.462	aegis
aeration	0.550	0.500	0.433	whakarangirangi
aerial	0.615	0.461	0.463	rererangi
aerobics	0.708	0.771	0.627	aerobic
aerodrome	0.541	0.740	0.678	taunga rererangi
aerodynamic	0.561	0.724	0.728	aerodynamic
aerodynamics	0.590	0.663	0.722	aerodynamics
aeronautics	0.551	0.633	0.688	waka rererangi
aeroplane	0.714	0.642	0.644	rererangi
aerospace	0.643	0.520	0.779	aerospace
aesthetic	0.708	0.442	0.526	rerehua
aesthetics	0.847	0.327	0.549	rerehua
aetiology	0.480	0.398	0.615	hetiology
afar	0.396	0.373	0.358	tawhiti
affable	0.704	0.380	0.452	atawhai
affair	0.520	0.459	0.657	take
affect	0.458	0.569	0.578	pānga
affecting	0.350	0.574	0.394	e pa ana
affection	0.898	0.559	0.696	aroha
affectionate	0.949	0.422	0.550	aroha
affections	0.760	0.547	0.655	aroha
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	oati
affiliated	0.673	0.519	0.535	hono
affiliation	0.615	0.594	0.500	hononga
affinity	0.800	0.500	0.537	hononga
affirm	0.745	0.509	0.731	whakaū
affirmation	0.750	0.500	0.689	whakaū
affirmative	0.854	0.589	0.816	whakaū
affirmatively	0.908	0.500	0.811	whakaū
affix	0.438	0.335	0.411	whakapiri
afflict	0.302	0.555	0.293	whakawhiua
afflicted	0.271	0.500	0.167	whakawhiua
affliction	0.294	0.635	0.392	mamae
affluence	0.663	0.618	0.722	whai rawa
affluent	0.756	0.388	0.477	whai rawa
afford	0.571	0.580	0.575	utu
affordable	0.840	0.398	0.493	utu utu
affront	0.327	0.740	0.547	whakaparahako
affronted	0.385	0.750	0.527	whakaparahako
afield	0.594	0.370	0.373	i tawhiti
afire	0.367	0.904	0.675	ahi ahi
afloat	0.602	0.427	0.444	mānu
afore	0.500	0.337	0.382	o mua
aforementioned	0.490	0.316	0.408	kua whakahuatia ake nei
aforesaid	0.531	0.358	0.478	kua kiia ake nei
afraid	0.010	0.775	0.245	wehi
afresh	0.643	0.521	0.480	hou
aft	0.480	0.417	0.518	aft
afterlife	0.571	0.567	0.568	te ora o muri
aftermath	0.312	0.449	0.444	whai muri
afternoon	0.533	0.388	0.339	ahiahi
aftershave	0.406	0.384	0.415	i muri i te heu
aftertaste	0.354	0.362	0.455	te reka o muri
afterthought	0.396	0.392	0.349	whai whakaaro
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	akete
age	0.561	0.226	0.498	tau
aged	0.135	0.365	0.236	pakeke
agency	0.460	0.296	0.583	ti'amâraa
agenda	0.531	0.296	0.553	kaupapa
agent	0.480	0.439	0.755	kaihoko
agglomeration	0.450	0.765	0.509	whakahiatotanga
aggravate	0.224	0.770	0.464	whakararu
aggravated	0.079	0.760	0.430	whakakino
aggravates	0.108	0.778	0.357	whakararu
aggravating	0.257	0.794	0.640	whakararu
aggravation	0.071	0.784	0.613	whakakino
aggregate	0.730	0.378	0.556	whakahiato
aggregation	0.583	0.517	0.694	whakahiatotanga
aggresive	0.059	0.971	0.639	pukuriri
aggression	0.094	0.929	0.533	whakakino
aggressive	0.125	0.949	0.648	pukuriri
aggressively	0.250	0.926	0.688	pukuriri
aggressiveness	0.077	0.913	0.648	te pukuriri
aggressor	0.146	0.948	0.823	kaitukino
agh	0.260	0.500	0.400	aah
aghast	0.133	0.865	0.464	whakapouri
aghhh	0.281	0.635	0.243	ahaha
agile	0.800	0.657	0.775	kakama
agility	0.720	0.702	0.815	kakama
aging	0.214	0.255	0.284	koroheketanga
agitate	0.300	0.796	0.593	whakakorikori
agitated	0.444	0.882	0.491	whakapouri
agitation	0.240	0.931	0.447	whakaohooho
aglow	0.780	0.510	0.797	muramura
agnostic	0.306	0.396	0.574	agnostic
ago	0.317	0.280	0.404	i mua
agonizing	0.083	0.800	0.340	mamae mamae
agony	0.083	0.775	0.393	mamae mamae
agoraphobia	0.127	0.712	0.438	te mate pukupuku
agree	0.906	0.260	0.545	whakaae
agreeable	0.906	0.500	0.696	pai
agreed	0.797	0.449	0.574	i whakaae
agreeing	0.854	0.480	0.557	whakaae ana
agreement	0.760	0.440	0.736	whakaaetanga
agressive	0.083	0.918	0.751	pukuriri
agricultural	0.686	0.321	0.473	ahuwhenua
agriculture	0.640	0.357	0.465	ahuwhenua
aground	0.333	0.340	0.445	ki uta
agua	0.598	0.180	0.436	akua
ahead	0.708	0.520	0.673	kei mua
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhhh
ahoy	0.500	0.497	0.380	aue
aid	0.796	0.491	0.541	awhina
aide	0.724	0.342	0.434	kaiawhina
aiding	0.643	0.533	0.569	awhina
aids	0.561	0.480	0.500	awhina
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	māuiui
ailment	0.146	0.734	0.277	mate
aim	0.481	0.569	0.567	whainga
aimless	0.150	0.267	0.183	kore whainga
air	0.708	0.163	0.427	hau
airbag	0.510	0.402	0.433	putea hau
airborne	0.542	0.519	0.385	hau
aircraft	0.646	0.644	0.691	rererangi
aircraft carrier	0.490	0.740	0.727	kawe waka rererangi
airfield	0.601	0.650	0.645	papa rererangi
airhead	0.271	0.481	0.276	upoko hau
airlift	0.573	0.622	0.642	waka rererangi
airline	0.650	0.482	0.688	waka rererangi
airliner	0.667	0.777	0.647	waka rererangi
airlock	0.398	0.520	0.447	raka hau
airman	0.587	0.716	0.721	tangata hau
airplane	0.719	0.702	0.708	rererangi
airport	0.729	0.684	0.682	taunga rererangi
airs	0.583	0.196	0.370	hau
airship	0.542	0.472	0.529	waka rererangi
airspace	0.562	0.510	0.640	mokowārangi
airspeed	0.583	0.780	0.544	tererangi
airstrip	0.550	0.690	0.649	taunga rererangi
airtight	0.479	0.381	0.570	hau
airway	0.638	0.585	0.482	huarahi hau
aisle	0.438	0.222	0.283	aroa
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	tuwhera
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	rite
alabaster	0.542	0.404	0.445	alabaster
alarm	0.241	0.882	0.698	whakaohooho
alarm clock	0.542	0.727	0.642	karaka whakaoho
alarmed	0.188	0.822	0.492	ohorere
alarming	0.204	0.890	0.585	ohorere
alas	0.571	0.310	0.279	aue
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	toroa
albino	0.500	0.240	0.358	albino
album	0.635	0.349	0.453	pukaemi
alchemy	0.541	0.583	0.693	hauhautanga
alcohol	0.323	0.667	0.377	waipiro
alcoholic	0.153	0.688	0.361	waipiro
alcoholism	0.061	0.779	0.407	waipiro
alcove	0.490	0.340	0.356	kōhao
alderman	0.550	0.459	0.691	alderman
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	mataara
alertness	0.375	0.875	0.750	mataaratanga
alerts	0.337	0.804	0.673	matohi
alfalfa	0.546	0.250	0.311	alfalfa
algebra	0.440	0.340	0.565	taurangi
algebraic	0.531	0.412	0.441	taurangi
algorithm	0.448	0.394	0.559	hātepe hātepe
alias	0.541	0.353	0.333	ingoakē
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	manene
alienate	0.247	0.500	0.523	whakaatea
alienated	0.410	0.423	0.559	kua wehea
alienation	0.378	0.530	0.462	whakaatea
alight	0.667	0.657	0.605	ki runga
align	0.656	0.364	0.627	whakahāngai
aligned	0.583	0.275	0.553	whakahāngai
alignment	0.643	0.412	0.683	whakahāngaitanga
alike	0.653	0.173	0.444	rite tonu
alimentation	0.781	0.551	0.602	kai
alimony	0.612	0.477	0.464	alimoni
aliquot	0.440	0.310	0.404	aliquot
alive	0.816	0.637	0.731	ora
alkali	0.490	0.350	0.408	alkali
alkaloids	0.433	0.562	0.402	pāhare pāhare
allay	0.417	0.406	0.398	whakamau
allegation	0.578	0.578	0.608	whakapae
allege	0.418	0.482	0.587	whakapae
alleged	0.365	0.522	0.520	te whakapae
allegiance	0.917	0.398	0.750	piripono
allegorical	0.517	0.558	0.598	kupu whakarite
allegory	0.615	0.580	0.509	kupu whakarite
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	mate pāwera
allergy	0.296	0.606	0.389	mate pāwera
alleviate	0.869	0.270	0.528	whakamama
alleviation	0.735	0.200	0.491	whakangawaritanga
alley	0.347	0.500	0.355	ara
alleyway	0.357	0.471	0.382	ararua
alliance	0.696	0.473	0.769	hononga
allied	0.714	0.245	0.642	whakahoa
alligator	0.354	0.704	0.645	kaaka
allocate	0.673	0.462	0.672	tohatoha
allocation	0.604	0.388	0.679	tohatoha
allot	0.622	0.481	0.616	tohatoha
allotment	0.600	0.390	0.640	tohatoha
allow	0.698	0.429	0.538	tuku
allowable	0.698	0.500	0.561	whakaaetia
allowance	0.673	0.382	0.591	tahua
allowed	0.730	0.360	0.655	whakaaetia
alloy	0.583	0.443	0.593	koranu
allsmiles	0.786	0.528	0.430	mihimihi katoa
allure	0.804	0.585	0.686	whakawai
alluring	0.837	0.745	0.843	whakahihiri
allusion	0.440	0.308	0.462	whakahua
alluvial	0.323	0.490	0.491	rewa
ally	0.792	0.320	0.688	hoa
almanac	0.688	0.190	0.412	aramanaka
almighty	0.938	0.874	0.958	kaha rawa
almond	0.698	0.183	0.314	aramona
aloft	0.771	0.373	0.700	teitei
aloha	0.698	0.440	0.441	aroha
alone	0.333	0.167	0.216	anake
alongside	0.458	0.333	0.347	taha
aloof	0.189	0.423	0.302	tahataha
aloud	0.458	0.713	0.750	reo nui
alpha	0.708	0.340	0.755	alpha
alphabet	0.562	0.204	0.672	piapa
alphabetical	0.537	0.296	0.535	piapa
alpine	0.594	0.337	0.474	pae maunga
alreadyyyyy	0.592	0.717	0.351	kuayyyy
altar	0.724	0.387	0.635	aata
altar boy	0.434	0.206	0.350	tama aata
alter	0.333	0.694	0.654	huri
alteration	0.167	0.798	0.609	whakarerekētanga
altercation	0.170	0.806	0.500	taupatupatu
altered	0.255	0.765	0.500	kua whakarereketia
alternate	0.625	0.363	0.589	tautahi
alternating	0.480	0.494	0.542	tauutuutu
alternative	0.628	0.373	0.631	kē
altimeter	0.615	0.510	0.580	mita teitei
altitude	0.708	0.482	0.736	teitei
alto	0.656	0.404	0.730	alto
altogether	0.833	0.324	0.644	katoa
aluminum	0.449	0.280	0.434	konumohe
alumnus	0.633	0.368	0.422	tauira
alveolar	0.469	0.481	0.367	pukoro
alzheimers	0.194	0.518	0.319	mate pukupuku
amalgam	0.438	0.333	0.510	amalgam
amalgamation	0.406	0.470	0.531	whakakotahitanga
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	whakaemi
amateur	0.469	0.500	0.409	runaruna
amaze	0.896	0.843	0.783	whakamīharo
amazed	0.796	0.779	0.533	miharo
amazedness	0.827	0.872	0.510	miharo
amazement	0.750	0.800	0.639	miharo
amazing	0.906	0.837	0.849	whakamiharo
amazingly	0.918	0.765	0.920	whakamiharo
ambassador	0.651	0.529	0.917	karere
amber	0.635	0.308	0.369	amipere
ambience	0.735	0.356	0.426	ambience
ambient	0.625	0.360	0.582	ambient
ambiguity	0.164	0.460	0.370	rangirua
ambiguous	0.265	0.462	0.358	rangirua
ambit	0.479	0.380	0.386	whainga
ambition	0.510	0.804	0.661	wawata
ambitious	0.484	0.821	0.717	hao nui
ambivalent	0.510	0.404	0.482	rangirua
ambrosia	0.571	0.452	0.480	ambrosia
ambulance	0.500	0.750	0.609	waka tūroro
ambush	0.281	0.830	0.500	pehipehi
ameliorate	0.770	0.548	0.747	whakapai
amen	0.781	0.182	0.542	āmine
amenable	0.448	0.410	0.406	whakaae
amend	0.688	0.406	0.658	whakatikatika
amendment	0.531	0.459	0.606	whakatikatika
amends	0.640	0.366	0.517	whakatikatika
amenity	0.750	0.327	0.574	whakamarie
amethyst	0.622	0.406	0.517	ametihita
amiable	0.847	0.290	0.483	atawhai
amicable	0.875	0.330	0.507	atawhai
amid	0.510	0.340	0.256	waenganui
amidst	0.480	0.330	0.316	i waenganui
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	ammo
ammonia	0.292	0.587	0.409	haukini
ammonium	0.354	0.396	0.368	haukinia
ammunition	0.338	0.635	0.667	matā
amnesia	0.296	0.330	0.308	amnesia
amnesty	0.551	0.451	0.814	murunga hara
amorous	0.844	0.670	0.636	aroha
amorphous	0.327	0.402	0.349	kārehu
amortization	0.592	0.491	0.522	whakamomori
amount	0.562	0.422	0.649	nui
amour	0.865	0.480	0.652	aroha
amp	0.439	0.393	0.375	amp
ampersand	0.480	0.448	0.483	ampersand
amphetamines	0.133	0.667	0.526	amphetamines
amphibian	0.427	0.357	0.474	amphibian
amphibious	0.479	0.346	0.445	karekau
amphitheater	0.653	0.480	0.545	whare tapere
ample	0.744	0.349	0.719	nui
amplification	0.690	0.677	0.810	whakakaha
amplify	0.677	0.735	0.827	whakakaha
amplitude	0.694	0.439	0.692	kaha kaha
amply	0.781	0.431	0.766	nui
amputate	0.092	0.660	0.509	tapahi
amputation	0.100	0.755	0.483	tapahi
amuck	0.385	0.602	0.321	amuck
amulet	0.781	0.260	0.630	amuleti
amuse	0.812	0.684	0.664	whakangahau
amused	0.942	0.847	0.596	whakahihiri
amusement	0.929	0.837	0.803	whakangahau
amusing	0.960	0.829	0.632	whakahihiri
ana	0.541	0.300	0.314	ana
anaconda	0.146	0.830	0.540	anaconda
anaesthesia	0.350	0.217	0.473	whakamohoatanga
anaesthetic	0.449	0.268	0.509	whakawhanaunga
anagram	0.552	0.327	0.449	anagram
anal	0.333	0.798	0.334	whakaeneene
analgesic	0.417	0.321	0.441	whakamaroke
analogous	0.531	0.270	0.500	tairitenga
analogue	0.570	0.320	0.446	tairitenga
analogy	0.510	0.367	0.509	whakataurite
analysis	0.729	0.448	0.705	tātaritanga
analyst	0.604	0.415	0.755	kaitātari
analytic	0.665	0.521	0.634	tātari
analytical	0.625	0.324	0.800	tātari
analyze	0.667	0.462	0.710	tātari
analyzer	0.625	0.556	0.854	kaitātari
anaphylactic	0.378	0.588	0.500	anaphylactic
anarchism	0.125	0.804	0.623	anarchism
