English Word	Valence	Arousal	Dominance	Welsh Word
absentee	0.235	0.330	0.279	absennol
absenteeism	0.404	0.273	0.357	absennoldeb
absinthe	0.481	0.510	0.462	absinthe
absolute	0.526	0.510	0.827	absoliwt
absolution	0.715	0.500	0.664	gollyngdod
absolve	0.684	0.449	0.660	absoliwt
absorb	0.469	0.558	0.670	amsugno
absorbed	0.490	0.471	0.519	amsugno
absorbent	0.552	0.394	0.718	amsugnol
absorbing	0.490	0.490	0.578	amsugno
absorption	0.609	0.422	0.446	amsugno
abstain	0.385	0.385	0.427	ymatal
abstention	0.271	0.264	0.509	ymatal
abstinence	0.260	0.392	0.429	ymatal
abstract	0.438	0.292	0.444	haniaethol
abstraction	0.469	0.439	0.525	tynnu
absurd	0.188	0.656	0.284	hurt
absurdity	0.115	0.528	0.227	hurtrwydd
abundance	0.812	0.690	0.852	helaethrwydd
abundant	0.958	0.590	0.760	helaeth
abuse	0.071	0.873	0.469	cam-drin
abused	0.021	0.874	0.235	cam-drin
abusive	0.125	0.903	0.567	sarhaus
abutment	0.500	0.265	0.616	ategwaith
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	affwysol
abyss	0.353	0.725	0.296	affwys
academic	0.781	0.420	0.812	academaidd
academy	0.704	0.473	0.792	academi
accede	0.698	0.510	0.537	addef
accelerant	0.643	0.844	0.802	cyflymydd
accelerate	0.615	0.902	0.759	cyflymu
accelerated	0.610	0.812	0.682	cyflymu
acceleration	0.704	0.905	0.843	cyflymiad
accelerator	0.593	0.830	0.812	cyflymydd
accent	0.598	0.357	0.509	acen
accentuate	0.673	0.556	0.667	acenu
accept	0.847	0.286	0.565	derbyn
acceptable	0.812	0.286	0.583	derbyniol
acceptance	0.833	0.287	0.755	derbyniad
acceptances	0.847	0.413	0.648	derbyniadau
access	0.714	0.472	0.567	mynediad
accessible	0.796	0.410	0.645	hygyrch
accession	0.612	0.383	0.636	esgyniad
accessory	0.562	0.292	0.445	affeithiwr
accident	0.125	0.908	0.336	damwain
accidental	0.319	0.784	0.307	damweiniol
accidentally	0.333	0.741	0.333	ddamweiniol
acclaim	0.562	0.809	0.718	clod
accolade	0.688	0.591	0.775	clod
accommodate	0.844	0.375	0.566	lletya
accommodation	0.817	0.415	0.587	llety
accompaniment	0.740	0.479	0.695	cyfeiliant
accompany	0.833	0.406	0.585	cyfeilio
accompanying	0.787	0.460	0.582	yn cyfeilio
accomplice	0.408	0.580	0.510	cydweithiwr
accomplish	0.929	0.673	0.816	cyflawni
accomplished	0.870	0.520	0.798	cyflawni
accomplishment	0.917	0.694	0.888	cyflawniad
accord	0.898	0.264	0.382	cytuno
accordance	0.659	0.349	0.600	unol
accordion	0.604	0.490	0.361	acordion
account	0.531	0.347	0.472	cyfrif
accountability	0.755	0.537	0.833	atebolrwydd
accountable	0.709	0.282	0.777	atebol
accountant	0.625	0.450	0.639	cyfrifydd
accounting	0.552	0.390	0.677	cyfrifeg
accounts	0.592	0.340	0.471	cyfrifon
accredited	0.669	0.479	0.768	achrededig
accretion	0.448	0.519	0.672	croniant
accrue	0.520	0.481	0.602	cronni
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	cronni
accumulation	0.479	0.527	0.600	croniad
accuracy	0.604	0.481	0.802	cywirdeb
accurate	0.743	0.360	0.737	gywir
accursed	0.135	0.745	0.345	cyfeiliornus
accusation	0.073	0.718	0.564	cyhuddiad
accusative	0.198	0.755	0.482	cyhuddgar
accuse	0.133	0.752	0.500	cyhudd
accused	0.130	0.670	0.420	cyhuddedig
accuser	0.122	0.779	0.615	cyhuddwr
accusing	0.156	0.745	0.324	cyhuddo
accustomed	0.542	0.365	0.441	arfer
ace	0.643	0.481	0.546	ace
acetic	0.333	0.420	0.519	asetig
acetylene	0.306	0.469	0.509	asetylen
ache	0.146	0.760	0.312	poen
achieve	0.816	0.545	0.843	cyflawni
achieved	0.896	0.519	0.775	cyflawni
achievement	0.896	0.808	0.759	cyflawniad
aching	0.053	0.880	0.348	poenus
achy	0.167	0.840	0.373	achy
acid	0.265	0.642	0.566	asid
acidity	0.156	0.663	0.360	asidedd
acknowledge	0.786	0.370	0.661	cydnabod
acknowledged	0.714	0.443	0.765	cydnabod
acknowledgement	0.819	0.539	0.830	cydnabyddiaeth
acknowledgment	0.796	0.528	0.777	cydnabyddiaeth
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	acne
acorn	0.448	0.198	0.192	mesen
acoustic	0.542	0.462	0.536	acwstig
acoustics	0.611	0.330	0.509	acwsteg
acquaint	0.646	0.491	0.639	adnabod
acquaintance	0.656	0.290	0.670	cydnabod
acquainted	0.906	0.358	0.632	gyfarwydd
acquiescence	0.542	0.480	0.554	cydymdeimlad
acquire	0.833	0.468	0.700	caffael
acquiring	0.735	0.510	0.817	caffael
acquisition	0.698	0.509	0.736	caffaeliad
acquisitions	0.773	0.660	0.790	caffaeliadau
acquit	0.583	0.571	0.611	rhyddfarn
acquittal	0.760	0.497	0.700	rhyddfarn
acre	0.583	0.387	0.423	erw
acreage	0.741	0.450	0.528	erwau
acres	0.510	0.363	0.500	erwau
acrobat	0.708	0.828	0.602	acrobat
acrylic	0.582	0.279	0.420	acrylig
act	0.656	0.704	0.735	act
acting	0.698	0.643	0.500	actio
action	0.760	0.898	0.802	gweithred
action figure	0.615	0.774	0.611	ffigwr gweithredu
actionable	0.673	0.702	0.613	gweithredadwy
activate	0.764	0.650	0.806	actifadu
activation	0.781	0.800	0.754	actifadu
active	0.847	0.730	0.731	gweithgar
activist	0.531	0.653	0.877	actifydd
activity	0.701	0.660	0.807	gweithgaredd
actor	0.653	0.561	0.629	actor
actress	0.633	0.556	0.596	actores
actual	0.729	0.400	0.716	gwirioneddol
actuality	0.750	0.464	0.600	gwirionedd
actuary	0.510	0.404	0.491	actwari
acuity	0.469	0.378	0.741	craffter
acumen	0.564	0.660	0.679	craffter
acupuncture	0.531	0.324	0.549	aciwbigo
acute	0.427	0.652	0.534	acíwt
acutely	0.417	0.543	0.491	acíwt
ad	0.521	0.705	0.558	ad
adage	0.517	0.415	0.566	dywediad
adamant	0.344	0.529	0.575	pendant
adapt	0.740	0.355	0.551	addasu
adaptable	0.735	0.423	0.641	addasadwy
adaptation	0.663	0.365	0.609	addasu
add	0.728	0.490	0.554	ychwanegu
added	0.562	0.405	0.509	wedi adio
addendum	0.392	0.370	0.418	atodiad
adder	0.388	0.461	0.588	gwiber
addict	0.075	0.696	0.327	caethiwus
addicted	0.156	0.712	0.483	gaeth
addiction	0.180	0.806	0.420	caethiwed
addictive	0.302	0.683	0.472	caethiwus
addition	0.562	0.373	0.471	adio
additional	0.673	0.462	0.526	ychwanegol
additive	0.561	0.633	0.691	ychwanegyn
address	0.650	0.327	0.567	cyfeiriad
addressee	0.622	0.382	0.538	derbyniwr
addresses	0.510	0.354	0.450	Cyfeiriadau
adept	0.594	0.539	0.789	medrus
adequacy	0.615	0.435	0.702	digonolrwydd
adequate	0.854	0.264	0.705	digonol
adhere	0.633	0.339	0.554	ymlynu
adherence	0.760	0.307	0.630	ymlyniad
adherent	0.561	0.385	0.555	ymlynwr
adhering	0.612	0.561	0.537	glynu
adhesion	0.521	0.445	0.586	adlyniad
adhesive	0.604	0.350	0.413	adlyn
adieu	0.250	0.471	0.342	adieu
adipose	0.333	0.350	0.391	adipose
adjacency	0.365	0.417	0.375	cyfagosrwydd
adjacent	0.645	0.276	0.536	cyfagos
adjective	0.570	0.316	0.569	ansoddair
adjoining	0.520	0.400	0.393	cyffiniol
adjourn	0.385	0.456	0.475	gohirio
adjournment	0.438	0.510	0.370	gohiriad
adjudicate	0.559	0.520	0.683	beirniad
adjudication	0.551	0.462	0.691	dyfarniad
adjunct	0.459	0.440	0.426	ateg
adjust	0.647	0.327	0.638	addasu
adjuster	0.510	0.540	0.760	cyfaddaswr
adjustment	0.590	0.520	0.661	addasiad
adjuvant	0.510	0.500	0.456	cynorthwyol
admin	0.688	0.420	0.854	gweinyddwr
administer	0.635	0.425	0.860	gweinyddu
administration	0.625	0.404	0.786	gweinyddu
administrative	0.542	0.415	0.579	gweinyddol
administrator	0.538	0.480	0.902	gweinyddwr
admirable	0.929	0.600	0.870	clodwiw
admiral	0.844	0.490	0.847	llyngesydd
admiralty	0.594	0.547	0.733	morlys
admiration	0.969	0.583	0.726	edmygedd
admire	0.867	0.692	0.704	edmygu
admired	0.917	0.560	0.815	edmygu
admirer	0.796	0.720	0.650	edmygydd
admiring	0.867	0.578	0.629	edmygu
admissibility	0.802	0.580	0.602	derbynioldeb
admissible	0.780	0.528	0.642	derbyniol
admission	0.802	0.415	0.732	derbyniad
admit	0.538	0.423	0.667	cyfaddef
admittance	0.690	0.451	0.598	mynediad
admitted	0.720	0.490	0.767	cyfaddef
admitting	0.620	0.500	0.546	cyfaddef
admixture	0.450	0.375	0.438	cymysgedd
admonition	0.357	0.606	0.455	cerydd
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	llencyndod
adolescent	0.781	0.680	0.509	glasoed
adopt	0.694	0.612	0.701	mabwysiadu
adoption	0.625	0.566	0.589	mabwysiad
adoptive	0.531	0.469	0.520	mabwysiadol
adorable	0.969	0.519	0.457	annwyl
adoration	0.885	0.699	0.708	addoliad
adore	0.854	0.438	0.657	addoli
adoring	0.885	0.620	0.717	addoli
adorn	0.910	0.424	0.482	addurno
adornment	0.918	0.373	0.377	addurn
adrenalin	0.865	0.920	0.786	adrenalin
adrenaline	0.765	0.965	0.825	adrenalin
adrift	0.398	0.486	0.230	aderyn
adult	0.815	0.491	0.787	oedolyn
adulterated	0.188	0.865	0.370	godinebus
adulterer	0.229	0.814	0.407	godinebwr
adultery	0.120	0.922	0.510	godineb
adulthood	0.541	0.454	0.652	oedolaeth
advance	0.673	0.472	0.858	ymlaen llaw
advanced	0.844	0.623	0.797	uwch
advancement	0.776	0.650	0.839	dyrchafiad
advancing	0.929	0.608	0.812	yn symud ymlaen
advantage	0.917	0.548	0.859	Mantais
advantageous	0.837	0.640	0.789	manteisiol
advent	0.665	0.560	0.627	adfent
adventure	0.917	0.857	0.710	antur
adventurer	0.781	0.839	0.868	anturiaethwr
adventures	0.812	0.764	0.749	anturiaethau
adventurous	0.969	0.898	0.722	anturus
adversary	0.349	0.777	0.457	gwrthwynebwr
adverse	0.323	0.610	0.385	anffafriol
adversity	0.276	0.760	0.538	adfyd
advertise	0.500	0.529	0.580	hysbysebu
advertisement	0.600	0.566	0.539	hysbyseb
advertising	0.622	0.608	0.632	hysbysebu
adverts	0.551	0.500	0.595	hysbysebion
advice	0.698	0.408	0.688	cyngor
advisable	0.867	0.480	0.510	doeth
advise	0.760	0.393	0.705	cynghori
advised	0.823	0.330	0.509	cynghori
advisement	0.698	0.235	0.655	cynghor
adviser	0.745	0.362	0.705	cynghorwr
advisor	0.646	0.350	0.689	cynghorwr
advisory	0.656	0.429	0.633	cynghorol
advocacy	0.500	0.646	0.731	eiriolaeth
advocate	0.551	0.530	0.818	eiriolwr
aegis	0.490	0.439	0.462	aeg
aeration	0.550	0.500	0.433	awyru
aerial	0.615	0.461	0.463	awyrol
aerobics	0.708	0.771	0.627	aerobeg
aerodrome	0.541	0.740	0.678	maes awyr
aerodynamic	0.561	0.724	0.728	aerodynamig
aerodynamics	0.590	0.663	0.722	aerodynameg
aeronautics	0.551	0.633	0.688	awyrenneg
aeroplane	0.714	0.642	0.644	awyren
aerospace	0.643	0.520	0.779	awyrofod
aesthetic	0.708	0.442	0.526	esthetig
aesthetics	0.847	0.327	0.549	estheteg
aetiology	0.480	0.398	0.615	achoseg
afar	0.396	0.373	0.358	bell
affable	0.704	0.380	0.452	hynaws
affair	0.520	0.459	0.657	carwriaeth
affect	0.458	0.569	0.578	effeithio
affecting	0.350	0.574	0.394	yn effeithio
affection	0.898	0.559	0.696	serchogrwydd
affectionate	0.949	0.422	0.550	serchog
affections	0.760	0.547	0.655	serchiadau
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	affidafid
affiliated	0.673	0.519	0.535	cysylltiedig
affiliation	0.615	0.594	0.500	ymlyniad
affinity	0.800	0.500	0.537	affinedd
affirm	0.745	0.509	0.731	cadarnhau
affirmation	0.750	0.500	0.689	cadarnhad
affirmative	0.854	0.589	0.816	cadarnhaol
affirmatively	0.908	0.500	0.811	yn gadarnhaol
affix	0.438	0.335	0.411	gosod
afflict	0.302	0.555	0.293	cystudd
afflicted	0.271	0.500	0.167	cystuddiedig
affliction	0.294	0.635	0.392	cystudd
affluence	0.663	0.618	0.722	cyfoeth
affluent	0.756	0.388	0.477	cefnog
afford	0.571	0.580	0.575	fforddio
affordable	0.840	0.398	0.493	fforddiadwy
affront	0.327	0.740	0.547	sarhau
affronted	0.385	0.750	0.527	yn wynebu
afield	0.594	0.370	0.373	i ffwrdd
afire	0.367	0.904	0.675	ar dân
afloat	0.602	0.427	0.444	arnofio
afore	0.500	0.337	0.382	o'r blaen
aforementioned	0.490	0.316	0.408	crybwylledig
aforesaid	0.531	0.358	0.478	uchod
afraid	0.010	0.775	0.245	ofn
afresh	0.643	0.521	0.480	o'r newydd
aft	0.480	0.417	0.518	aft
afterlife	0.571	0.567	0.568	bywyd ar ôl marwolaeth
aftermath	0.312	0.449	0.444	canlyn
afternoon	0.533	0.388	0.339	prynhawn
aftershave	0.406	0.384	0.415	ôl eillio
aftertaste	0.354	0.362	0.455	aftertaste
afterthought	0.396	0.392	0.349	ôl-ystyriaeth
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	agate
age	0.561	0.226	0.498	oed
aged	0.135	0.365	0.236	oed
agency	0.460	0.296	0.583	asiantaeth
agenda	0.531	0.296	0.553	agenda
agent	0.480	0.439	0.755	asiant
agglomeration	0.450	0.765	0.509	crynhoad
aggravate	0.224	0.770	0.464	gwaethygu
aggravated	0.079	0.760	0.430	gwaethygol
aggravates	0.108	0.778	0.357	gwaethygu
aggravating	0.257	0.794	0.640	gwaethygu
aggravation	0.071	0.784	0.613	gwaethygiad
aggregate	0.730	0.378	0.556	agreg
aggregation	0.583	0.517	0.694	cydgasgliad
aggresive	0.059	0.971	0.639	ymosodol
aggression	0.094	0.929	0.533	ymosodol
aggressive	0.125	0.949	0.648	ymosodol
aggressively	0.250	0.926	0.688	yn ymosodol
aggressiveness	0.077	0.913	0.648	ymosodol
aggressor	0.146	0.948	0.823	ymosodwr
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	arswyd
aghhh	0.281	0.635	0.243	aghhh
agile	0.800	0.657	0.775	ystwyth
agility	0.720	0.702	0.815	ystwythder
aging	0.214	0.255	0.284	heneiddio
agitate	0.300	0.796	0.593	cynhyrfu
agitated	0.444	0.882	0.491	cynhyrfus
agitation	0.240	0.931	0.447	cynnwrf
aglow	0.780	0.510	0.797	aglow
agnostic	0.306	0.396	0.574	agnostig
ago	0.317	0.280	0.404	yn ôl
agonizing	0.083	0.800	0.340	poenus
agony	0.083	0.775	0.393	poenau
agoraphobia	0.127	0.712	0.438	agoraffobia
agree	0.906	0.260	0.545	cytuno
agreeable	0.906	0.500	0.696	yn gytun
agreed	0.797	0.449	0.574	cytuno
agreeing	0.854	0.480	0.557	cytuno
agreement	0.760	0.440	0.736	cytundeb
agressive	0.083	0.918	0.751	ymosodol
agricultural	0.686	0.321	0.473	amaethyddol
agriculture	0.640	0.357	0.465	amaethyddiaeth
aground	0.333	0.340	0.445	ar lawr
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	blaen
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhhh
ahoy	0.500	0.497	0.380	ahoy
aid	0.796	0.491	0.541	cymorth
aide	0.724	0.342	0.434	cynorthwyydd
aiding	0.643	0.533	0.569	cynorthwyo
aids	0.561	0.480	0.500	cymhorthion
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	yn sâl
ailment	0.146	0.734	0.277	anhwylder
aim	0.481	0.569	0.567	nod
aimless	0.150	0.267	0.183	di-nod
air	0.708	0.163	0.427	awyr
airbag	0.510	0.402	0.433	bag aer
airborne	0.542	0.519	0.385	awyrol
aircraft	0.646	0.644	0.691	awyrennau
aircraft carrier	0.490	0.740	0.727	cludwr awyrennau
airfield	0.601	0.650	0.645	maes awyr
airhead	0.271	0.481	0.276	pen aer
airlift	0.573	0.622	0.642	awyrgludiad
airline	0.650	0.482	0.688	cwmni hedfan
airliner	0.667	0.777	0.647	awyren
airlock	0.398	0.520	0.447	aerglo
airman	0.587	0.716	0.721	awyrwr
airplane	0.719	0.702	0.708	awyren
airport	0.729	0.684	0.682	maes Awyr
airs	0.583	0.196	0.370	aeron
airship	0.542	0.472	0.529	awyrlong
airspace	0.562	0.510	0.640	gofod awyr
airspeed	0.583	0.780	0.544	cyflymder aer
airstrip	0.550	0.690	0.649	maes awyr
airtight	0.479	0.381	0.570	aerglos
airway	0.638	0.585	0.482	llwybr anadlu
aisle	0.438	0.222	0.283	eil
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	ajar
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	yn debyg
alabaster	0.542	0.404	0.445	alabastr
alarm	0.241	0.882	0.698	larwm
alarm clock	0.542	0.727	0.642	cloc larwm
alarmed	0.188	0.822	0.492	dychryn
alarming	0.204	0.890	0.585	brawychus
alas	0.571	0.310	0.279	gwaetha'r modd
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatros
albino	0.500	0.240	0.358	albino
album	0.635	0.349	0.453	albwm
alchemy	0.541	0.583	0.693	alcemi
alcohol	0.323	0.667	0.377	alcohol
alcoholic	0.153	0.688	0.361	alcoholaidd
alcoholism	0.061	0.779	0.407	alcoholiaeth
alcove	0.490	0.340	0.356	cilfach
alderman	0.550	0.459	0.691	henadur
ale	0.530	0.450	0.358	cwrw
alert	0.479	0.820	0.648	effro
alertness	0.375	0.875	0.750	effro
alerts	0.337	0.804	0.673	rhybuddion
alfalfa	0.546	0.250	0.311	alfalfa
algebra	0.440	0.340	0.565	algebra
algebraic	0.531	0.412	0.441	algebraidd
algorithm	0.448	0.394	0.559	algorithm
alias	0.541	0.353	0.333	alias
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	estron
alienate	0.247	0.500	0.523	dieithrwch
alienated	0.410	0.423	0.559	dieithrio
alienation	0.378	0.530	0.462	dieithrwch
alight	0.667	0.657	0.605	ar dân
align	0.656	0.364	0.627	alinio
aligned	0.583	0.275	0.553	alinio
alignment	0.643	0.412	0.683	aliniad
alike	0.653	0.173	0.444	fel ei gilydd
alimentation	0.781	0.551	0.602	ymborth
alimony	0.612	0.477	0.464	alimoni
aliquot	0.440	0.310	0.404	aliquot
alive	0.816	0.637	0.731	yn fyw
alkali	0.490	0.350	0.408	alcali
alkaloids	0.433	0.562	0.402	alcaloidau
allay	0.417	0.406	0.398	ali
allegation	0.578	0.578	0.608	honiad
allege	0.418	0.482	0.587	honn
alleged	0.365	0.522	0.520	honedig
allegiance	0.917	0.398	0.750	teyrngarwch
allegorical	0.517	0.558	0.598	alegorïaidd
allegory	0.615	0.580	0.509	alegori
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	alergedd
allergy	0.296	0.606	0.389	alergedd
alleviate	0.869	0.270	0.528	lliniaru
alleviation	0.735	0.200	0.491	lliniaru
alley	0.347	0.500	0.355	ali
alleyway	0.357	0.471	0.382	ali
alliance	0.696	0.473	0.769	cynghrair
allied	0.714	0.245	0.642	cynghreiriol
alligator	0.354	0.704	0.645	alligator
allocate	0.673	0.462	0.672	dyrannu
allocation	0.604	0.388	0.679	dyraniad
allot	0.622	0.481	0.616	allot
allotment	0.600	0.390	0.640	rhandir
allow	0.698	0.429	0.538	caniatáu
allowable	0.698	0.500	0.561	caniataol
allowance	0.673	0.382	0.591	lwfans
allowed	0.730	0.360	0.655	a ganiateir
alloy	0.583	0.443	0.593	aloi
allsmiles	0.786	0.528	0.430	gwenu
allure	0.804	0.585	0.686	hudoliaeth
alluring	0.837	0.745	0.843	hudolus
allusion	0.440	0.308	0.462	cyfeiriant
alluvial	0.323	0.490	0.491	llifwaddodol
ally	0.792	0.320	0.688	cynghreiriad
almanac	0.688	0.190	0.412	almanac
almighty	0.938	0.874	0.958	hollalluog
almond	0.698	0.183	0.314	almon
aloft	0.771	0.373	0.700	uchel
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	yn unig
alongside	0.458	0.333	0.347	ochr yn ochr
aloof	0.189	0.423	0.302	aloof
aloud	0.458	0.713	0.750	yn uchel
alpha	0.708	0.340	0.755	alffa
alphabet	0.562	0.204	0.672	wyddor
alphabetical	0.537	0.296	0.535	yn nhrefn yr wyddor
alpine	0.594	0.337	0.474	alpaidd
alreadyyyyy	0.592	0.717	0.351	eisoesyyyy
altar	0.724	0.387	0.635	allor
altar boy	0.434	0.206	0.350	bachgen allor
alter	0.333	0.694	0.654	newid
alteration	0.167	0.798	0.609	newidiad
altercation	0.170	0.806	0.500	altercation
altered	0.255	0.765	0.500	newid
alternate	0.625	0.363	0.589	bob yn ail
alternating	0.480	0.494	0.542	bob yn ail
alternative	0.628	0.373	0.631	amgen
altimeter	0.615	0.510	0.580	altimedr
altitude	0.708	0.482	0.736	uchder
alto	0.656	0.404	0.730	alto
altogether	0.833	0.324	0.644	yn gyfan gwbl
aluminum	0.449	0.280	0.434	alwminiwm
alumnus	0.633	0.368	0.422	cyn-fyfyriwr
alveolar	0.469	0.481	0.367	alfeolaidd
alzheimers	0.194	0.518	0.319	alzheimers
amalgam	0.438	0.333	0.510	amalgam
amalgamation	0.406	0.470	0.531	uno
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	crynhoad
amateur	0.469	0.500	0.409	amatur
amaze	0.896	0.843	0.783	rhyfeddu
amazed	0.796	0.779	0.533	rhyfeddu
amazedness	0.827	0.872	0.510	rhyfeddod
amazement	0.750	0.800	0.639	syndod
amazing	0.906	0.837	0.849	anhygoel
amazingly	0.918	0.765	0.920	yn rhyfeddol
ambassador	0.651	0.529	0.917	llysgennad
amber	0.635	0.308	0.369	ambr
ambience	0.735	0.356	0.426	awyrgylch
ambient	0.625	0.360	0.582	amgylchiadol
ambiguity	0.164	0.460	0.370	amwysedd
ambiguous	0.265	0.462	0.358	amwys
ambit	0.479	0.380	0.386	cwmpas
ambition	0.510	0.804	0.661	uchelgais
ambitious	0.484	0.821	0.717	uchelgeisiol
ambivalent	0.510	0.404	0.482	amwys
ambrosia	0.571	0.452	0.480	ambrosia
ambulance	0.500	0.750	0.609	ambiwlans
ambush	0.281	0.830	0.500	ambush
ameliorate	0.770	0.548	0.747	gwella
amen	0.781	0.182	0.542	amen
amenable	0.448	0.410	0.406	hylaw
amend	0.688	0.406	0.658	diwygio
amendment	0.531	0.459	0.606	diwygiad
amends	0.640	0.366	0.517	yn diwygio
amenity	0.750	0.327	0.574	mwynder
amethyst	0.622	0.406	0.517	amethyst
amiable	0.847	0.290	0.483	hawddgar
amicable	0.875	0.330	0.507	cyfeillgar
amid	0.510	0.340	0.256	ynghanol
amidst	0.480	0.330	0.316	ynghanol
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	ammo
ammonia	0.292	0.587	0.409	amonia
ammonium	0.354	0.396	0.368	amoniwm
ammunition	0.338	0.635	0.667	bwledi
amnesia	0.296	0.330	0.308	amnesia
amnesty	0.551	0.451	0.814	amnest
amorous	0.844	0.670	0.636	amorous
amorphous	0.327	0.402	0.349	amorffaidd
amortization	0.592	0.491	0.522	amorteiddiad
amount	0.562	0.422	0.649	swm
amour	0.865	0.480	0.652	amour
amp	0.439	0.393	0.375	amp
ampersand	0.480	0.448	0.483	ampersand
amphetamines	0.133	0.667	0.526	amffetaminau
amphibian	0.427	0.357	0.474	amffibiaid
amphibious	0.479	0.346	0.445	amffibaidd
amphitheater	0.653	0.480	0.545	amffitheatr
ample	0.744	0.349	0.719	digonedd
amplification	0.690	0.677	0.810	mwyhad
amplify	0.677	0.735	0.827	mwyhau
amplitude	0.694	0.439	0.692	osgled
amply	0.781	0.431	0.766	helaeth
amputate	0.092	0.660	0.509	trychu
amputation	0.100	0.755	0.483	trychiad
amuck	0.385	0.602	0.321	amwc
amulet	0.781	0.260	0.630	amulet
amuse	0.812	0.684	0.664	difyrrwch
amused	0.942	0.847	0.596	difyr
amusement	0.929	0.837	0.803	difyrrwch
amusing	0.960	0.829	0.632	doniol
ana	0.541	0.300	0.314	ana
anaconda	0.146	0.830	0.540	anaconda
anaesthesia	0.350	0.217	0.473	anesthesia
anaesthetic	0.449	0.268	0.509	anesthetig
anagram	0.552	0.327	0.449	anagram
anal	0.333	0.798	0.334	rhefrol
analgesic	0.417	0.321	0.441	poenliniarol
analogous	0.531	0.270	0.500	analogaidd
analogue	0.570	0.320	0.446	analog
analogy	0.510	0.367	0.509	cyfatebiaeth
analysis	0.729	0.448	0.705	dadansoddi
