English Word	Valence	Arousal	Dominance	Latin Word
acoustics	0.611	0.330	0.509	acoustics
acquaint	0.646	0.491	0.639	cognoscere
acquaintance	0.656	0.290	0.670	notitia
acquainted	0.906	0.358	0.632	scit
acquiescence	0.542	0.480	0.554	patientia
acquire	0.833	0.468	0.700	acquire
acquiring	0.735	0.510	0.817	acquirere
acquisition	0.698	0.509	0.736	adeptio
acquisitions	0.773	0.660	0.790	acquisitions
acquit	0.583	0.571	0.611	absol
acquittal	0.760	0.497	0.700	absolutio
acre	0.583	0.387	0.423	acram
acreage	0.741	0.450	0.528	acreage
acres	0.510	0.363	0.500	iugera
acrobat	0.708	0.828	0.602	acrobat
acrylic	0.582	0.279	0.420	Donec
act	0.656	0.704	0.735	agere
acting	0.698	0.643	0.500	agens
action	0.760	0.898	0.802	actio
action figure	0.615	0.774	0.611	actio figurae
actionable	0.673	0.702	0.613	operabili
activate	0.764	0.650	0.806	activate 
activation	0.781	0.800	0.754	activation
active	0.847	0.730	0.731	active
activist	0.531	0.653	0.877	activistarum
activity	0.701	0.660	0.807	actio
actor	0.653	0.561	0.629	histrio
actress	0.633	0.556	0.596	mima
actual	0.729	0.400	0.716	actual!
actuality	0.750	0.464	0.600	actualitas
actuary	0.510	0.404	0.491	actuary
acuity	0.469	0.378	0.741	acumen
acumen	0.564	0.660	0.679	acumen
acupuncture	0.531	0.324	0.549	nulla
acute	0.427	0.652	0.534	acutus
acutely	0.417	0.543	0.491	acute
ad	0.521	0.705	0.558	ad
adage	0.517	0.415	0.566	adagium
adamant	0.344	0.529	0.575	adamanta
adapt	0.740	0.355	0.551	accommodare
adaptable	0.735	0.423	0.641	habilis
adaptation	0.663	0.365	0.609	accommodatio
add	0.728	0.490	0.554	addere
added	0.562	0.405	0.509	additae
addendum	0.392	0.370	0.418	addendum
adder	0.388	0.461	0.588	vipera
addict	0.075	0.696	0.327	addict
addicted	0.156	0.712	0.483	deditus
addiction	0.180	0.806	0.420	PROCLIVITAS
addictive	0.302	0.683	0.472	addictive
addition	0.562	0.373	0.471	additamentum
additional	0.673	0.462	0.526	additional
additive	0.561	0.633	0.691	ELOGIUM
address	0.650	0.327	0.567	oratio
addressee	0.622	0.382	0.538	addressee
addresses	0.510	0.354	0.450	oratio
adept	0.594	0.539	0.789	peritus
adequacy	0.615	0.435	0.702	sufficientia
adequate	0.854	0.264	0.705	satis
adhere	0.633	0.339	0.554	adhaerere
adherence	0.760	0.307	0.630	adhaesio
adherent	0.561	0.385	0.555	adherens
adhering	0.612	0.561	0.537	adhaerens
adhesion	0.521	0.445	0.586	adhaesio
adhesive	0.604	0.350	0.413	tenaces
adieu	0.250	0.471	0.342	vale-
adipose	0.333	0.350	0.391	adipose
adjacency	0.365	0.417	0.375	adiacentia
adjacent	0.645	0.276	0.536	adjacent
adjective	0.570	0.316	0.569	adiectivum
adjoining	0.520	0.400	0.393	adjacens
adjourn	0.385	0.456	0.475	tacitum
adjournment	0.438	0.510	0.370	prolatas
adjudicate	0.559	0.520	0.683	judicare
adjudication	0.551	0.462	0.691	adjudicatio
adjunct	0.459	0.440	0.426	adiuncto
adjust	0.647	0.327	0.638	adjust
adjuster	0.510	0.540	0.760	adjuster
adjustment	0.590	0.520	0.661	temperatio
adjuvant	0.510	0.500	0.456	adjuvant
admin	0.688	0.420	0.854	admin
administer	0.635	0.425	0.860	administrare
administration	0.625	0.404	0.786	administratio
administrative	0.542	0.415	0.579	administrativus
administrator	0.538	0.480	0.902	administrator
admirable	0.929	0.600	0.870	admirabilis
admiral	0.844	0.490	0.847	praefectus
admiralty	0.594	0.547	0.733	admirabilitas
admiration	0.969	0.583	0.726	admirationem
admire	0.867	0.692	0.704	admirari
admired	0.917	0.560	0.815	admiratus
admirer	0.796	0.720	0.650	admirator
admiring	0.867	0.578	0.629	admirans
admissibility	0.802	0.580	0.602	admissio
admissible	0.780	0.528	0.642	admittenda
admission	0.802	0.415	0.732	admissio
admit	0.538	0.423	0.667	fateri
admittance	0.690	0.451	0.598	aditus
admitted	0.720	0.490	0.767	admissus
admitting	0.620	0.500	0.546	admittendo
admixture	0.450	0.375	0.438	permixtio
admonition	0.357	0.606	0.455	admonitionem
ado	0.520	0.423	0.385	vix
adobe	0.500	0.319	0.328	Adobe
adolescence	0.487	0.694	0.444	adulescentia
adolescent	0.781	0.680	0.509	adulescens
adopt	0.694	0.612	0.701	adopt
adoption	0.625	0.566	0.589	adoptionis
adoptive	0.531	0.469	0.520	adoptivum
adorable	0.969	0.519	0.457	venerabile
adoration	0.885	0.699	0.708	adoratio
adore	0.854	0.438	0.657	adorare
adoring	0.885	0.620	0.717	adorantes
adorn	0.910	0.424	0.482	ornare
adornment	0.918	0.373	0.377	ornatus
adrenalin	0.865	0.920	0.786	adrenalin
adrenaline	0.765	0.965	0.825	adrenaline
adrift	0.398	0.486	0.230	exilii
adult	0.815	0.491	0.787	adultus
adulterated	0.188	0.865	0.370	adulteratum
adulterer	0.229	0.814	0.407	moechus
adultery	0.120	0.922	0.510	adulterium
adulthood	0.541	0.454	0.652	pubis
advance	0.673	0.472	0.858	antecessum
advanced	0.844	0.623	0.797	provecta
advancement	0.776	0.650	0.839	progressio
advancing	0.929	0.608	0.812	progressus
advantage	0.917	0.548	0.859	commodum
advantageous	0.837	0.640	0.789	utile
advent	0.665	0.560	0.627	Adventus
adventure	0.917	0.857	0.710	casus
adventurer	0.781	0.839	0.868	moribus
adventures	0.812	0.764	0.749	adventures
adventurous	0.969	0.898	0.722	adventurous
adversary	0.349	0.777	0.457	adversarius
adverse	0.323	0.610	0.385	adversis
adversity	0.276	0.760	0.538	adversitas
advertise	0.500	0.529	0.580	ostento
advertisement	0.600	0.566	0.539	tabula
advertising	0.622	0.608	0.632	vendo
adverts	0.551	0.500	0.595	advertit
advice	0.698	0.408	0.688	consilium
advisable	0.867	0.480	0.510	opportunum
advise	0.760	0.393	0.705	consilium
advised	0.823	0.330	0.509	consilium
advisement	0.698	0.235	0.655	consilium
adviser	0.745	0.362	0.705	consiliarius
advisor	0.646	0.350	0.689	Consiliario
advisory	0.656	0.429	0.633	advisory
advocacy	0.500	0.646	0.731	patrocinium
advocate	0.551	0.530	0.818	advocatus
aegis	0.490	0.439	0.462	aegis
aeration	0.550	0.500	0.433	aeration
aerial	0.615	0.461	0.463	aeria
aerobics	0.708	0.771	0.627	aerobics
aerodrome	0.541	0.740	0.678	aerodrome
aerodynamic	0.561	0.724	0.728	aerodynamic
aerodynamics	0.590	0.663	0.722	aerodynamics
aeronautics	0.551	0.633	0.688	aeronautics
aeroplane	0.714	0.642	0.644	scapha
aerospace	0.643	0.520	0.779	aerospace
aesthetic	0.708	0.442	0.526	aesthetic
aesthetics	0.847	0.327	0.549	aesthetics
aetiology	0.480	0.398	0.615	aetiologia
afar	0.396	0.373	0.358	longe
affable	0.704	0.380	0.452	affabilis
affair	0.520	0.459	0.657	rem
affect	0.458	0.569	0.578	affect
affecting	0.350	0.574	0.394	afficiens
affection	0.898	0.559	0.696	affectio
affectionate	0.949	0.422	0.550	affectuosa
affections	0.760	0.547	0.655	affectiones
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	tabellam dare
affiliated	0.673	0.519	0.535	foederata
affiliation	0.615	0.594	0.500	affiliation
affinity	0.800	0.500	0.537	affinitas
affirm	0.745	0.509	0.731	affirmare
affirmation	0.750	0.500	0.689	affirmatio
affirmative	0.854	0.589	0.816	affirmativa
affirmatively	0.908	0.500	0.811	affirmative
affix	0.438	0.335	0.411	affix
afflict	0.302	0.555	0.293	afflict
afflicted	0.271	0.500	0.167	afflictum
affliction	0.294	0.635	0.392	afflictionem
affluence	0.663	0.618	0.722	affluentia
affluent	0.756	0.388	0.477	affluens
afford	0.571	0.580	0.575	praestare
affordable	0.840	0.398	0.493	parabilis
affront	0.327	0.740	0.547	contumelia
affronted	0.385	0.750	0.527	offendi
afield	0.594	0.370	0.373	evagando
afire	0.367	0.904	0.675	ignis
afloat	0.602	0.427	0.444	natat
afore	0.500	0.337	0.382	prius
aforementioned	0.490	0.316	0.408	praedicti
aforesaid	0.531	0.358	0.478	praedicti
afraid	0.010	0.775	0.245	timet
afresh	0.643	0.521	0.480	de integro
aft	0.480	0.417	0.518	aft*
afterlife	0.571	0.567	0.568	post vitam
aftermath	0.312	0.449	0.444	CHORDUS
afternoon	0.533	0.388	0.339	meridiem
aftershave	0.406	0.384	0.415	aftershave
aftertaste	0.354	0.362	0.455	aftertaste
afterthought	0.396	0.392	0.349	retractu
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	achates
age	0.561	0.226	0.498	aetas
aged	0.135	0.365	0.236	senex
agency	0.460	0.296	0.583	propellente
agenda	0.531	0.296	0.553	agendae
agent	0.480	0.439	0.755	agentis
agglomeration	0.450	0.765	0.509	agglomeration
aggravate	0.224	0.770	0.464	aggravare
aggravated	0.079	0.760	0.430	aggravatur
aggravates	0.108	0.778	0.357	aggravat
aggravating	0.257	0.794	0.640	aggravans
aggravation	0.071	0.784	0.613	exulceratio
aggregate	0.730	0.378	0.556	aggregatum
aggregation	0.583	0.517	0.694	aggregatio
aggresive	0.059	0.971	0.639	aggresive
aggression	0.094	0.929	0.533	irascibilis
aggressive	0.125	0.949	0.648	infestantibus
aggressively	0.250	0.926	0.688	aggressively
aggressiveness	0.077	0.913	0.648	irascibilis
aggressor	0.146	0.948	0.823	aggressor
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	obstipuere
aghhh	0.281	0.635	0.243	aghhh
agile	0.800	0.657	0.775	agilis
agility	0.720	0.702	0.815	agilitas
aging	0.214	0.255	0.284	canus
agitate	0.300	0.796	0.593	CONCIO
agitated	0.444	0.882	0.491	agitatur
agitation	0.240	0.931	0.447	agitatio
aglow	0.780	0.510	0.797	ardeat
agnostic	0.306	0.396	0.574	agnostici
ago	0.317	0.280	0.404	ante
agonizing	0.083	0.800	0.340	crucians
agony	0.083	0.775	0.393	agonia
agoraphobia	0.127	0.712	0.438	agoraphobia
agree	0.906	0.260	0.545	consentire
agreeable	0.906	0.500	0.696	iucundus
agreed	0.797	0.449	0.574	constat
agreeing	0.854	0.480	0.557	consentiens
agreement	0.760	0.440	0.736	pactum
agressive	0.083	0.918	0.751	agressive
agricultural	0.686	0.321	0.473	agriculturae
agriculture	0.640	0.357	0.465	agricultura
aground	0.333	0.340	0.445	eiecere
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	praemisit
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhhh
ahoy	0.500	0.497	0.380	ahoy
aid	0.796	0.491	0.541	auxilium
aide	0.724	0.342	0.434	adiutor
aiding	0.643	0.533	0.569	auxilium
aids	0.561	0.480	0.500	subsidia
ail	0.375	0.434	0.385	all
ailing	0.094	0.518	0.153	aegrotus
ailment	0.146	0.734	0.277	aegritudo
aim	0.481	0.569	0.567	propositum
aimless	0.150	0.267	0.183	caecae
air	0.708	0.163	0.427	air
airbag	0.510	0.402	0.433	airbag
airborne	0.542	0.519	0.385	aerium
aircraft	0.646	0.644	0.691	aircraft
aircraft carrier	0.490	0.740	0.727	aircraft tabellarius
airfield	0.601	0.650	0.645	airfield
airhead	0.271	0.481	0.276	airhead
airlift	0.573	0.622	0.642	airlift
airline	0.650	0.482	0.688	airline
airliner	0.667	0.777	0.647	airliner
airlock	0.398	0.520	0.447	airlock
airman	0.587	0.716	0.721	airman
airplane	0.719	0.702	0.708	scapha
airport	0.729	0.684	0.682	aeroportus
airs	0.583	0.196	0.370	airs
airship	0.542	0.472	0.529	airship
airspace	0.562	0.510	0.640	airspace
airspeed	0.583	0.780	0.544	airspeed
airstrip	0.550	0.690	0.649	airstrip
airtight	0.479	0.381	0.570	airtight
airway	0.638	0.585	0.482	airway
aisle	0.438	0.222	0.283	porticus
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	ajar
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	cognatus
alabaster	0.542	0.404	0.445	alabastrum
alarm	0.241	0.882	0.698	terrorem
alarm clock	0.542	0.727	0.642	terror horologium
alarmed	0.188	0.822	0.492	perterritus
alarming	0.204	0.890	0.585	terrens
alas	0.571	0.310	0.279	heu!
alb	0.521	0.380	0.427	alba
albatross	0.500	0.445	0.527	albatross
albino	0.500	0.240	0.358	albino
album	0.635	0.349	0.453	album
alchemy	0.541	0.583	0.693	alchimia
alcohol	0.323	0.667	0.377	alcohol
alcoholic	0.153	0.688	0.361	bibitor
alcoholism	0.061	0.779	0.407	alcoholismo
alcove	0.490	0.340	0.356	thalamos
alderman	0.550	0.459	0.691	alderman
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	erectus
alertness	0.375	0.875	0.750	adiice
alerts	0.337	0.804	0.673	summis
alfalfa	0.546	0.250	0.311	MEDICA
algebra	0.440	0.340	0.565	Algebrae
algebraic	0.531	0.412	0.441	algebraicum
algorithm	0.448	0.394	0.559	algorithmus
alias	0.541	0.353	0.333	alias
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	alienus
alienate	0.247	0.500	0.523	alienare
alienated	0.410	0.423	0.559	alienatus
alienation	0.378	0.530	0.462	alienatio
alight	0.667	0.657	0.605	urens
align	0.656	0.364	0.627	align
aligned	0.583	0.275	0.553	varius
alignment	0.643	0.412	0.683	Gratia diei et noctis
alike	0.653	0.173	0.444	similiter
alimentation	0.781	0.551	0.602	alimentum
alimony	0.612	0.477	0.464	SALARIUM
aliquot	0.440	0.310	0.404	aliquot
alive	0.816	0.637	0.731	vivus
alkali	0.490	0.350	0.408	alcali
alkaloids	0.433	0.562	0.402	alkaloids
allay	0.417	0.406	0.398	sedare
allegation	0.578	0.578	0.608	allegatio
allege	0.418	0.482	0.587	allegare
alleged	0.365	0.522	0.520	asserta
allegiance	0.917	0.398	0.750	fides
allegorical	0.517	0.558	0.598	allegoricus
allegory	0.615	0.580	0.509	allegoria
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	allergic
allergy	0.296	0.606	0.389	allergy
alleviate	0.869	0.270	0.528	sublevare
alleviation	0.735	0.200	0.491	levamen
alley	0.347	0.500	0.355	angiportum
alleyway	0.357	0.471	0.382	angiportum
alliance	0.696	0.473	0.769	societas
allied	0.714	0.245	0.642	sociis
alligator	0.354	0.704	0.645	alligator
allocate	0.673	0.462	0.672	collocant
allocation	0.604	0.388	0.679	destinatio
allot	0.622	0.481	0.616	allot
allotment	0.600	0.390	0.640	adsignatio
allow	0.698	0.429	0.538	patitur
allowable	0.698	0.500	0.561	licita
allowance	0.673	0.382	0.591	annonas
allowed	0.730	0.360	0.655	licet
alloy	0.583	0.443	0.593	mixtura
allsmiles	0.786	0.528	0.430	allsmiles
allure	0.804	0.585	0.686	allicere
alluring	0.837	0.745	0.843	illecebrosus
allusion	0.440	0.308	0.462	allusio
alluvial	0.323	0.490	0.491	alluvial
ally	0.792	0.320	0.688	socius
almanac	0.688	0.190	0.412	almanac
almighty	0.938	0.874	0.958	omnipotens
almond	0.698	0.183	0.314	amygdal
aloft	0.771	0.373	0.700	sublimis
aloha	0.698	0.440	0.441	Dei
alone	0.333	0.167	0.216	solus
alongside	0.458	0.333	0.347	latere
aloof	0.189	0.423	0.302	procul
aloud	0.458	0.713	0.750	voce
alpha	0.708	0.340	0.755	alpha
alphabet	0.562	0.204	0.672	alphabetum
alphabetical	0.537	0.296	0.535	alphabeticum
alpine	0.594	0.337	0.474	alpine
alreadyyyyy	0.592	0.717	0.351	iamyyyy
altar	0.724	0.387	0.635	altare
altar boy	0.434	0.206	0.350	altare pueri
alter	0.333	0.694	0.654	mutare
alteration	0.167	0.798	0.609	alteratio
altercation	0.170	0.806	0.500	altercatio
altered	0.255	0.765	0.500	mutatus
alternate	0.625	0.363	0.589	alternis
alternating	0.480	0.494	0.542	alterna
alternative	0.628	0.373	0.631	Vel 
altimeter	0.615	0.510	0.580	altimeter
altitude	0.708	0.482	0.736	altitudo
alto	0.656	0.404	0.730	alto
altogether	0.833	0.324	0.644	omnino
aluminum	0.449	0.280	0.434	aluminium
alumnus	0.633	0.368	0.422	alumnus
alveolar	0.469	0.481	0.367	alveolaris
alzheimers	0.194	0.518	0.319	alzheimers
amalgam	0.438	0.333	0.510	miscellanea
amalgamation	0.406	0.470	0.531	amalgamation
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	coacervare
amateur	0.469	0.500	0.409	amateur
amaze	0.896	0.843	0.783	mirari
amazed	0.796	0.779	0.533	stupet
amazedness	0.827	0.872	0.510	stupor
amazement	0.750	0.800	0.639	stupor
amazing	0.906	0.837	0.849	mirabile
amazingly	0.918	0.765	0.920	mirum in modum
ambassador	0.651	0.529	0.917	legatus
amber	0.635	0.308	0.369	electri
ambience	0.735	0.356	0.426	ambience
ambient	0.625	0.360	0.582	ambientium
ambiguity	0.164	0.460	0.370	ambiguitas
ambiguous	0.265	0.462	0.358	ambiguum
ambit	0.479	0.380	0.386	ambit
ambition	0.510	0.804	0.661	ambitio
ambitious	0.484	0.821	0.717	ambitiose
ambivalent	0.510	0.404	0.482	egregius
ambrosia	0.571	0.452	0.480	ambrosia
ambulance	0.500	0.750	0.609	ambulance
ambush	0.281	0.830	0.500	insidiae
ameliorate	0.770	0.548	0.747	melioratus
amen	0.781	0.182	0.542	Amen
amenable	0.448	0.410	0.406	bene
amend	0.688	0.406	0.658	emendare
amendment	0.531	0.459	0.606	emendatio
amends	0.640	0.366	0.517	satisfactione
amenity	0.750	0.327	0.574	amoenitas
amethyst	0.622	0.406	0.517	amethystus
amiable	0.847	0.290	0.483	amabilis
amicable	0.875	0.330	0.507	amicabilis
amid	0.510	0.340	0.256	inter
amidst	0.480	0.330	0.316	medio
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	animo
ammonia	0.292	0.587	0.409	ammoniaci
ammonium	0.354	0.396	0.368	Ammonium
ammunition	0.338	0.635	0.667	tela
amnesia	0.296	0.330	0.308	amnesia
amnesty	0.551	0.451	0.814	abolitio
amorous	0.844	0.670	0.636	amatores
amorphous	0.327	0.402	0.349	amorphous
amortization	0.592	0.491	0.522	amortizationem
amount	0.562	0.422	0.649	moles
amour	0.865	0.480	0.652	amour
amp	0.439	0.393	0.375	amp
ampersand	0.480	0.448	0.483	ampersand
amphetamines	0.133	0.667	0.526	amphetamines
amphibian	0.427	0.357	0.474	amphibian
amphibious	0.479	0.346	0.445	amphibio
amphitheater	0.653	0.480	0.545	amphitheatrum
ample	0.744	0.349	0.719	ampla
amplification	0.690	0.677	0.810	amplificatio
amplify	0.677	0.735	0.827	amplificare
amplitude	0.694	0.439	0.692	amplitudo
amply	0.781	0.431	0.766	abunde
amputate	0.092	0.660	0.509	amputare
amputation	0.100	0.755	0.483	amputatio
amuck	0.385	0.602	0.321	amuck
amulet	0.781	0.260	0.630	adalligatum
amuse	0.812	0.684	0.664	oblectare
amused	0.942	0.847	0.596	risit
amusement	0.929	0.837	0.803	ludicrum
amusing	0.960	0.829	0.632	ludibrium
ana	0.541	0.300	0.314	ana
anaconda	0.146	0.830	0.540	anaconda
anaesthesia	0.350	0.217	0.473	anesthesia
anaesthetic	0.449	0.268	0.509	Papaver
anagram	0.552	0.327	0.449	anagramma
anal	0.333	0.798	0.334	anal
analgesic	0.417	0.321	0.441	analgesic
analogous	0.531	0.270	0.500	analogum
analogue	0.570	0.320	0.446	analogon
analogy	0.510	0.367	0.509	analogia
analysis	0.729	0.448	0.705	analysis
analyst	0.604	0.415	0.755	analyst
analytic	0.665	0.521	0.634	analytic
analytical	0.625	0.324	0.800	analytica
analyze	0.667	0.462	0.710	resolvere
analyzer	0.625	0.556	0.854	analyser
anaphylactic	0.378	0.588	0.500	anaphylactic
anarchism	0.125	0.804	0.623	anarchism
anarchist	0.204	0.700	0.759	anarchist
anarchy	0.146	0.755	0.620	LICENTIA
anastomosis	0.375	0.470	0.490	anastomosin
anathema	0.286	0.490	0.519	anathema
anatomic	0.562	0.442	0.546	anatomic
anatomy	0.562	0.390	0.571	anatomia
ancestor	0.592	0.388	0.594	antecessor
ancestral	0.640	0.481	0.750	paterna
ancestry	0.708	0.519	0.717	genus
anchor	0.520	0.284	0.564	anchora
anchorage	0.500	0.325	0.639	statio
ancient	0.420	0.217	0.439	antiqua
ancillary	0.449	0.442	0.278	ancillis
androgen	0.255	0.523	0.527	androgen
android	0.663	0.436	0.500	android
anecdote	0.583	0.529	0.500	anecdote
anemia	0.188	0.327	0.310	anemia
anemic	0.167	0.279	0.155	anemic
anemone	0.552	0.538	0.327	anemone
anesthesia	0.365	0.216	0.394	anesthesia
anesthesiologist	0.419	0.224	0.526	anesthesiologist
anesthetic	0.350	0.264	0.482	Papaver
aneurysm	0.115	0.690	0.536	aneurysmate
anew	0.771	0.358	0.385	de novo
angel	0.906	0.158	0.704	angelus
