English Word	Valence	Arousal	Dominance	Odia Word
absurd	0.188	0.656	0.284	ଅବ urd ଧ |
absurdity	0.115	0.528	0.227	ଅବ urd ଧତା |
abundance	0.812	0.690	0.852	ପ୍ରଚୁରତା
abundant	0.958	0.590	0.760	ପ୍ରଚୁର
abuse	0.071	0.873	0.469	ଅପବ୍ୟବହାର |
abused	0.021	0.874	0.235	ଦୁର୍ବ୍ୟବହାର
abusive	0.125	0.903	0.567	ଅପମାନ
abutment	0.500	0.265	0.616	abutment
aby	0.385	0.452	0.368	ଅକ୍ଷୟ
abysmal	0.250	0.710	0.598	ଅବକ୍ଷୟ |
abyss	0.353	0.725	0.296	ଅକ୍ଷୟ
academic	0.781	0.420	0.812	ଏକାଡେମିକ୍ |
academy	0.704	0.473	0.792	ଏକାଡେମୀ
accede	0.698	0.510	0.537	ଯୋଗଦାନ
accelerant	0.643	0.844	0.802	ତ୍ୱରିତ
accelerate	0.615	0.902	0.759	ତ୍ୱରାନ୍ୱିତ କର |
accelerated	0.610	0.812	0.682	ତ୍ୱରିତ
acceleration	0.704	0.905	0.843	ତ୍ୱରଣ
accelerator	0.593	0.830	0.812	ତ୍ୱରକ
accent	0.598	0.357	0.509	ଉଚ୍ଚାରଣ
accentuate	0.673	0.556	0.667	ଉଚ୍ଚାରଣ କରନ୍ତୁ |
accept	0.847	0.286	0.565	ଗ୍ରହଣ କର
acceptable	0.812	0.286	0.583	ଗ୍ରହଣୀୟ
acceptance	0.833	0.287	0.755	ଗ୍ରହଣ
acceptances	0.847	0.413	0.648	ଗ୍ରହଣ
access	0.714	0.472	0.567	ପ୍ରବେଶ
accessible	0.796	0.410	0.645	ଉପଲବ୍ଧ
accession	0.612	0.383	0.636	ଯୋଗଦାନ
accessory	0.562	0.292	0.445	ଆନୁଷଙ୍ଗିକ
accident	0.125	0.908	0.336	ଦୁର୍ଘଟଣା
accidental	0.319	0.784	0.307	ଆକସ୍ମିକ
accidentally	0.333	0.741	0.333	ହଠାତ୍
acclaim	0.562	0.809	0.718	ପ୍ରଶଂସା
accolade	0.688	0.591	0.775	ପ୍ରଶଂସା
accommodate	0.844	0.375	0.566	ରହିବା
accommodation	0.817	0.415	0.587	ଆବାସ
accompaniment	0.740	0.479	0.695	ସଙ୍ଗୀତ
accompany	0.833	0.406	0.585	ସାଥିରେ
accompanying	0.787	0.460	0.582	ସାଙ୍ଗରେ ଯିବା
accomplice	0.408	0.580	0.510	ସହଯୋଗୀ
accomplish	0.929	0.673	0.816	ସମ୍ପନ୍ନ କର |
accomplished	0.870	0.520	0.798	ସମ୍ପନ୍ନ
accomplishment	0.917	0.694	0.888	ଉପଲବ୍ଧି
accord	0.898	0.264	0.382	ଚୁକ୍ତି
accordance	0.659	0.349	0.600	ଅନୁଯାୟୀ |
accordion	0.604	0.490	0.361	ଆକ୍ରେଡୋନ୍ |
account	0.531	0.347	0.472	ଖାତା
accountability	0.755	0.537	0.833	ଉତ୍ତରଦାୟିତ୍ୱ
accountable	0.709	0.282	0.777	ଉତ୍ତରଦାୟୀ |
accountant	0.625	0.450	0.639	ଆକାଉଣ୍ଟାଣ୍ଟ
accounting	0.552	0.390	0.677	ହିସାବ
accounts	0.592	0.340	0.471	ଖାତା
accredited	0.669	0.479	0.768	ମାନ୍ୟତା
accretion	0.448	0.519	0.672	ସ୍ୱୀକୃତି
accrue	0.520	0.481	0.602	ଆକ୍ରୁ
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	ଜମା କର |
accumulation	0.479	0.527	0.600	ଜମା
accuracy	0.604	0.481	0.802	ସଠିକତା
accurate	0.743	0.360	0.737	ସଠିକ୍
accursed	0.135	0.745	0.345	ଅଭିଶାପିତ
accusation	0.073	0.718	0.564	ଅଭିଯୋଗ
accusative	0.198	0.755	0.482	ଅଭିଯୋଗକାରୀ
accuse	0.133	0.752	0.500	ଅଭିଯୋଗ
accused	0.130	0.670	0.420	ଅଭିଯୁକ୍ତ
accuser	0.122	0.779	0.615	ଅଭିଯୋଗକାରୀ
accusing	0.156	0.745	0.324	ଅଭିଯୋଗ
accustomed	0.542	0.365	0.441	ଅଭ୍ୟସ୍ତ
ace	0.643	0.481	0.546	ace
acetic	0.333	0.420	0.519	ଏସିଟିକ୍ |
acetylene	0.306	0.469	0.509	ଏସିଟାଇଲନ୍
ache	0.146	0.760	0.312	ଯନ୍ତ୍ରଣା
achieve	0.816	0.545	0.843	ହାସଲ କର |
achieved	0.896	0.519	0.775	ହାସଲ ହୋଇଛି |
achievement	0.896	0.808	0.759	ସଫଳତା
aching	0.053	0.880	0.348	ଯନ୍ତ୍ରଣା
achy	0.167	0.840	0.373	ଯନ୍ତ୍ରଣା
acid	0.265	0.642	0.566	ଏସିଡ୍ |
acidity	0.156	0.663	0.360	ଅମ୍ଳତା |
acknowledge	0.786	0.370	0.661	ସ୍ୱୀକାର କର |
acknowledged	0.714	0.443	0.765	ସ୍ୱୀକୃତିପ୍ରାପ୍ତ
acknowledgement	0.819	0.539	0.830	ସ୍ୱୀକୃତି
acknowledgment	0.796	0.528	0.777	ସ୍ୱୀକୃତି
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	ବ୍ରଣ
acorn	0.448	0.198	0.192	ଏକରନ୍
acoustic	0.542	0.462	0.536	ଶବ୍ଦ
acoustics	0.611	0.330	0.509	ଆକାଶବାଣୀ
acquaint	0.646	0.491	0.639	ପରିଚିତ
acquaintance	0.656	0.290	0.670	ପରିଚୟ
acquainted	0.906	0.358	0.632	ପରିଚିତ
acquiescence	0.542	0.480	0.554	ପ୍ରାପ୍ତି
acquire	0.833	0.468	0.700	ହାସଲ କରନ୍ତୁ |
acquiring	0.735	0.510	0.817	ଅଧିଗ୍ରହଣ
acquisition	0.698	0.509	0.736	ଅଧିଗ୍ରହଣ
acquisitions	0.773	0.660	0.790	ଅଧିଗ୍ରହଣ |
acquit	0.583	0.571	0.611	ନିର୍ଦ୍ଦୋଷ
acquittal	0.760	0.497	0.700	ନିର୍ଦ୍ଦୋଷ
acre	0.583	0.387	0.423	ଏକର
acreage	0.741	0.450	0.528	ଏକର
acres	0.510	0.363	0.500	ଏକର
acrobat	0.708	0.828	0.602	ଆକ୍ରୋବାଟ୍ |
acrylic	0.582	0.279	0.420	ଆକ୍ରିଲିକ୍ |
act	0.656	0.704	0.735	କାର୍ଯ୍ୟ କର
acting	0.698	0.643	0.500	ଅଭିନୟ
action	0.760	0.898	0.802	କାର୍ଯ୍ୟ
action figure	0.615	0.774	0.611	କାର୍ଯ୍ୟ ଚିତ୍ର
actionable	0.673	0.702	0.613	କାର୍ଯ୍ୟକ୍ଷମ
activate	0.764	0.650	0.806	ସକ୍ରିୟ କରନ୍ତୁ |
activation	0.781	0.800	0.754	ସକ୍ରିୟକରଣ
active	0.847	0.730	0.731	ସକ୍ରିୟ
activist	0.531	0.653	0.877	କାର୍ଯ୍ୟକର୍ତ୍ତା
activity	0.701	0.660	0.807	କାର୍ଯ୍ୟକଳାପ
actor	0.653	0.561	0.629	ଅଭିନେତା
actress	0.633	0.556	0.596	ଅଭିନେତ୍ରୀ
actual	0.729	0.400	0.716	ପ୍ରକୃତ
actuality	0.750	0.464	0.600	ବାସ୍ତବତା
actuary	0.510	0.404	0.491	କାର୍ଯ୍ୟାନୁଷ୍ଠାନ
acuity	0.469	0.378	0.741	ତୀବ୍ରତା
acumen	0.564	0.660	0.679	ଆକ୍ୟୁମେନ |
acupuncture	0.531	0.324	0.549	ଆକ୍ୟୁପେଙ୍କଟର୍
acute	0.427	0.652	0.534	ତୀବ୍ର
acutely	0.417	0.543	0.491	ତୀବ୍ର ଭାବରେ
ad	0.521	0.705	0.558	ବିଜ୍ଞାପନ
adage	0.517	0.415	0.566	ଉପଦେଶ
adamant	0.344	0.529	0.575	ଜିଦ୍
adapt	0.740	0.355	0.551	ଆଡାପ୍ଟ୍ କରନ୍ତୁ |
adaptable	0.735	0.423	0.641	ଅନୁକୂଳ
adaptation	0.663	0.365	0.609	ଆଡାପ୍ଟେସନ୍
add	0.728	0.490	0.554	ଯୋଡନ୍ତୁ |
added	0.562	0.405	0.509	ଯୋଗ କରାଯାଇଛି |
addendum	0.392	0.370	0.418	ଯୋଗ
adder	0.388	0.461	0.588	ଆଡର୍
addict	0.075	0.696	0.327	ଯୋଗୀ
addicted	0.156	0.712	0.483	ନିଶା
addiction	0.180	0.806	0.420	ନିଶା
addictive	0.302	0.683	0.472	ନିଶା
addition	0.562	0.373	0.471	ଯୋଗ
additional	0.673	0.462	0.526	ଅତିରିକ୍ତ
additive	0.561	0.633	0.691	ଯୋଗୀ
address	0.650	0.327	0.567	ଠିକଣା
addressee	0.622	0.382	0.538	ଠିକଣା
addresses	0.510	0.354	0.450	ଠିକଣା
adept	0.594	0.539	0.789	ପାରଦର୍ଶୀ
adequacy	0.615	0.435	0.702	ପର୍ଯ୍ୟାପ୍ତତା |
adequate	0.854	0.264	0.705	ପର୍ଯ୍ୟାପ୍ତ
adhere	0.633	0.339	0.554	ପାଳନ କର |
adherence	0.760	0.307	0.630	ଅନୁକରଣ
adherent	0.561	0.385	0.555	ଅନୁଗତ
adhering	0.612	0.561	0.537	ଅନୁକରଣ
adhesion	0.521	0.445	0.586	ଆଡିଶିନ୍ |
adhesive	0.604	0.350	0.413	ଆଡେସିଭ୍ |
adieu	0.250	0.471	0.342	adieu
adipose	0.333	0.350	0.391	ଆଡିପୋଜ୍ |
adjacency	0.365	0.417	0.375	ସଂଲଗ୍ନ
adjacent	0.645	0.276	0.536	ସଂଲଗ୍ନ
adjective	0.570	0.316	0.569	ବିଶେଷଣ
adjoining	0.520	0.400	0.393	ସଂଲଗ୍ନ
adjourn	0.385	0.456	0.475	ସ୍ଥଗିତ ରଖ |
adjournment	0.438	0.510	0.370	ସ୍ଥଗିତ
adjudicate	0.559	0.520	0.683	ବିଚାର କର
adjudication	0.551	0.462	0.691	ବିଚାର
adjunct	0.459	0.440	0.426	ସଂଲଗ୍ନ
adjust	0.647	0.327	0.638	ଆଡଜଷ୍ଟ କରନ୍ତୁ |
adjuster	0.510	0.540	0.760	ଆଡଜଷ୍ଟର
adjustment	0.590	0.520	0.661	ଆଡଜଷ୍ଟମେଣ୍ଟ୍
adjuvant	0.510	0.500	0.456	ଅନୁକୂଳ
admin	0.688	0.420	0.854	ପ୍ରଶାସକ
administer	0.635	0.425	0.860	ପ୍ରଶାସକ
administration	0.625	0.404	0.786	ପ୍ରଶାସନ
administrative	0.542	0.415	0.579	ପ୍ରଶାସନିକ
administrator	0.538	0.480	0.902	ପ୍ରଶାସକ
admirable	0.929	0.600	0.870	ପ୍ରଶଂସନୀୟ
admiral	0.844	0.490	0.847	ଆଡମିରାଲ୍ |
admiralty	0.594	0.547	0.733	ପ୍ରଶଂସା
admiration	0.969	0.583	0.726	ପ୍ରଶଂସା
admire	0.867	0.692	0.704	ପ୍ରଶଂସା କର |
admired	0.917	0.560	0.815	ପ୍ରଶଂସିତ
admirer	0.796	0.720	0.650	ପ୍ରଶଂସକ
admiring	0.867	0.578	0.629	ପ୍ରଶଂସା
admissibility	0.802	0.580	0.602	ଗ୍ରହଣୀୟତା
admissible	0.780	0.528	0.642	ଗ୍ରହଣଯୋଗ୍ୟ
admission	0.802	0.415	0.732	ଆଡମିଶନ
admit	0.538	0.423	0.667	ସ୍ୱୀକାର କର |
admittance	0.690	0.451	0.598	ଆଡମିଶନ
admitted	0.720	0.490	0.767	ସ୍ୱୀକାର କରିଛନ୍ତି
admitting	0.620	0.500	0.546	ସ୍ୱୀକାର କରୁଛି
admixture	0.450	0.375	0.438	ମିଶ୍ରଣ
admonition	0.357	0.606	0.455	ଉପଦେଶ
ado	0.520	0.423	0.385	ଆଡୋ
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	ଯୁବାବସ୍ଥା
adolescent	0.781	0.680	0.509	କିଶୋର
adopt	0.694	0.612	0.701	ଗ୍ରହଣ
adoption	0.625	0.566	0.589	ଗ୍ରହଣ
adoptive	0.531	0.469	0.520	ପୋଷ୍ୟ
adorable	0.969	0.519	0.457	ଆଦରକାରୀ |
adoration	0.885	0.699	0.708	ଆଦର
adore	0.854	0.438	0.657	ଆଦର କର |
adoring	0.885	0.620	0.717	ଆଦର
adorn	0.910	0.424	0.482	ଶୋଭା |
adornment	0.918	0.373	0.377	ଶୋଭା |
adrenalin	0.865	0.920	0.786	ଆଡ୍ରେନାଲିନ୍ |
adrenaline	0.765	0.965	0.825	ଆଡ୍ରେନାଲିନ୍
adrift	0.398	0.486	0.230	adrift
adult	0.815	0.491	0.787	ବୟସ୍କ
adulterated	0.188	0.865	0.370	ବ୍ୟଭିଚାର
adulterer	0.229	0.814	0.407	ବ୍ୟଭିଚାରକାରୀ
adultery	0.120	0.922	0.510	ବ୍ୟଭିଚାର
adulthood	0.541	0.454	0.652	ବୟସ୍କ
advance	0.673	0.472	0.858	ଅଗ୍ରିମ
advanced	0.844	0.623	0.797	ଉନ୍ନତ
advancement	0.776	0.650	0.839	ଅଗ୍ରଗତି
advancing	0.929	0.608	0.812	ଅଗ୍ରଗତି
advantage	0.917	0.548	0.859	ସୁବିଧା
advantageous	0.837	0.640	0.789	ଲାଭଦାୟକ
advent	0.665	0.560	0.627	ଆଗମନ
adventure	0.917	0.857	0.710	ସାହସିକତା
adventurer	0.781	0.839	0.868	ସାହସିକତା
adventures	0.812	0.764	0.749	ଦୁ vent ସାହସିକ କାର୍ଯ୍ୟ
adventurous	0.969	0.898	0.722	ଦୁ vent ସାହସିକ
adversary	0.349	0.777	0.457	ଶତ୍ରୁ
adverse	0.323	0.610	0.385	ପ୍ରତିକୂଳ
adversity	0.276	0.760	0.538	ପ୍ରତିକୂଳ ପରିସ୍ଥିତି
advertise	0.500	0.529	0.580	ବିଜ୍ଞାପନ ଦିଅ |
advertisement	0.600	0.566	0.539	ବିଜ୍ଞାପନ
advertising	0.622	0.608	0.632	ବିଜ୍ଞାପନ
adverts	0.551	0.500	0.595	ବିଜ୍ଞାପନଗୁଡିକ |
advice	0.698	0.408	0.688	ପରାମର୍ଶ
advisable	0.867	0.480	0.510	ପରାମର୍ଶଦାୟକ |
advise	0.760	0.393	0.705	ପରାମର୍ଶ ଦିଅ |
advised	0.823	0.330	0.509	ପରାମର୍ଶ ଦେଇଛନ୍ତି |
advisement	0.698	0.235	0.655	ପରାମର୍ଶ
adviser	0.745	0.362	0.705	ପରାମର୍ଶଦାତା |
advisor	0.646	0.350	0.689	ପରାମର୍ଶଦାତା |
advisory	0.656	0.429	0.633	ପରାମର୍ଶଦାତା
advocacy	0.500	0.646	0.731	ଓକିଲାତି
advocate	0.551	0.530	0.818	ଓକିଲ
aegis	0.490	0.439	0.462	aegis
aeration	0.550	0.500	0.433	ଆରେସନ
aerial	0.615	0.461	0.463	ବାୟୁ
aerobics	0.708	0.771	0.627	ଏରୋବିକ୍ସ |
aerodrome	0.541	0.740	0.678	ଏରୋଡ୍ରୋମ୍ |
aerodynamic	0.561	0.724	0.728	ଏରୋଡାଇନାମିକ୍ |
aerodynamics	0.590	0.663	0.722	ଏରୋଡାଇନାମିକ୍ସ |
aeronautics	0.551	0.633	0.688	ଏରୋନେଟିକ୍ସ |
aeroplane	0.714	0.642	0.644	ବିମାନ
aerospace	0.643	0.520	0.779	ଏରୋସ୍ପେସ୍ |
aesthetic	0.708	0.442	0.526	ସ est ନ୍ଦର୍ଯ୍ୟ
aesthetics	0.847	0.327	0.549	ସ est ନ୍ଦର୍ଯ୍ୟ
aetiology	0.480	0.398	0.615	aetiology
afar	0.396	0.373	0.358	ଦୂର
affable	0.704	0.380	0.452	ସ୍ନେହୀ
affair	0.520	0.459	0.657	ପ୍ରେମ
affect	0.458	0.569	0.578	ପ୍ରଭାବ
affecting	0.350	0.574	0.394	ପ୍ରଭାବିତ କରୁଛି
affection	0.898	0.559	0.696	ସ୍ନେହ
affectionate	0.949	0.422	0.550	ସ୍ନେହ
affections	0.760	0.547	0.655	ସ୍ନେହ
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	ପ୍ରମାଣପତ୍ର
affiliated	0.673	0.519	0.535	ଅନୁବନ୍ଧିତ
affiliation	0.615	0.594	0.500	ଅନୁବନ୍ଧ
affinity	0.800	0.500	0.537	ସ୍ନେହ
affirm	0.745	0.509	0.731	ନିଶ୍ଚିତ କର
affirmation	0.750	0.500	0.689	ନିଶ୍ଚିତକରଣ
affirmative	0.854	0.589	0.816	ନିଶ୍ଚିତ
affirmatively	0.908	0.500	0.811	ନିଶ୍ଚିତ ଭାବରେ
affix	0.438	0.335	0.411	ଆଫିକ୍ସ
afflict	0.302	0.555	0.293	ଦୁ l ଖ
afflicted	0.271	0.500	0.167	ଦୁ l ଖୀ
affliction	0.294	0.635	0.392	ଦୁ iction ଖ
affluence	0.663	0.618	0.722	ଧନ
affluent	0.756	0.388	0.477	ଧନୀ
afford	0.571	0.580	0.575	ସୁଲଭ
affordable	0.840	0.398	0.493	ସୁଲଭ ମୂଲ୍ୟରେ |
affront	0.327	0.740	0.547	ଆଫ୍ରଣ୍ଟ୍
affronted	0.385	0.750	0.527	ସମ୍ମୁଖୀନ
afield	0.594	0.370	0.373	ଦୂର
afire	0.367	0.904	0.675	ଜ୍ୱଳନ୍ତ
afloat	0.602	0.427	0.444	afloat
afore	0.500	0.337	0.382	ପୂର୍ବରୁ
aforementioned	0.490	0.316	0.408	ଉପରୋକ୍ତ
aforesaid	0.531	0.358	0.478	ଉପରୋକ୍ତ
afraid	0.010	0.775	0.245	ଭୟ
afresh	0.643	0.521	0.480	ସତେଜ
aft	0.480	0.417	0.518	aft
afterlife	0.571	0.567	0.568	ପରବର୍ତ୍ତୀ ଜୀବନ
aftermath	0.312	0.449	0.444	ପରବର୍ତ୍ତୀ
afternoon	0.533	0.388	0.339	ଅପରାହ୍ନ
aftershave	0.406	0.384	0.415	ଆଫ୍ଟର୍ସେଭ୍ |
aftertaste	0.354	0.362	0.455	ପରବର୍ତ୍ତୀ
afterthought	0.396	0.392	0.349	ଚିନ୍ତା
aga	0.542	0.327	0.398	ଆଗ
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	agate
age	0.561	0.226	0.498	ବୟସ
aged	0.135	0.365	0.236	ବୃଦ୍ଧ
agency	0.460	0.296	0.583	ସଂସ୍ଥା
agenda	0.531	0.296	0.553	କାର୍ଯ୍ୟସୂଚୀ
agent	0.480	0.439	0.755	ଏଜେଣ୍ଟ
agglomeration	0.450	0.765	0.509	ଏକତ୍ରିକରଣ
aggravate	0.224	0.770	0.464	ବୃଦ୍ଧି କର |
aggravated	0.079	0.760	0.430	ବୃଦ୍ଧି
aggravates	0.108	0.778	0.357	ବୃଦ୍ଧି କରେ |
aggravating	0.257	0.794	0.640	ବୃଦ୍ଧି
aggravation	0.071	0.784	0.613	ବୃଦ୍ଧି
aggregate	0.730	0.378	0.556	ସମୁଦାୟ
aggregation	0.583	0.517	0.694	ଏକୀକରଣ
aggresive	0.059	0.971	0.639	ଅଗ୍ରଗାମୀ |
aggression	0.094	0.929	0.533	ଆକ୍ରୋଶ
aggressive	0.125	0.949	0.648	ଆକ୍ରମଣାତ୍ମକ
aggressively	0.250	0.926	0.688	ଆକ୍ରମଣାତ୍ମକ ଭାବରେ |
aggressiveness	0.077	0.913	0.648	ଆକ୍ରମଣାତ୍ମକତା |
aggressor	0.146	0.948	0.823	ଆକ୍ରମଣକାରୀ
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	aghast
aghhh	0.281	0.635	0.243	ଆ h
agile	0.800	0.657	0.775	ଚତୁର
agility	0.720	0.702	0.815	ଚତୁରତା
aging	0.214	0.255	0.284	ବାର୍ଦ୍ଧକ୍ୟ
agitate	0.300	0.796	0.593	ଆନ୍ଦୋଳନ
agitated	0.444	0.882	0.491	ଉତ୍ତେଜିତ
agitation	0.240	0.931	0.447	ଆନ୍ଦୋଳନ
aglow	0.780	0.510	0.797	aglow
agnostic	0.306	0.396	0.574	agnostic
ago	0.317	0.280	0.404	ପୂର୍ବରୁ
agonizing	0.083	0.800	0.340	ଯନ୍ତ୍ରଣାଦାୟକ
agony	0.083	0.775	0.393	ଯନ୍ତ୍ରଣା
agoraphobia	0.127	0.712	0.438	ଆଗୋରୋଫୋବିୟା |
agree	0.906	0.260	0.545	ରାଜି ହୁଅ
agreeable	0.906	0.500	0.696	ସମ୍ମତ
agreed	0.797	0.449	0.574	ରାଜି ହେଲା
agreeing	0.854	0.480	0.557	ରାଜି
agreement	0.760	0.440	0.736	ଚୁକ୍ତିନାମା
agressive	0.083	0.918	0.751	ଆକ୍ରମଣାତ୍ମକ
agricultural	0.686	0.321	0.473	କୃଷି
agriculture	0.640	0.357	0.465	କୃଷି
aground	0.333	0.340	0.445	ଚାରିଆଡେ
agua	0.598	0.180	0.436	ଆଗୁଆ
ahead	0.708	0.520	0.673	ଆଗକୁ
ahhh	0.562	0.517	0.241	ଆହା
ahhhhhhhh	0.552	0.649	0.288	ଆହା
ahoy	0.500	0.497	0.380	ahoy
aid	0.796	0.491	0.541	ସହାୟତା
aide	0.724	0.342	0.434	ସହାୟକ
aiding	0.643	0.533	0.569	ସାହାଯ୍ୟ
aids	0.561	0.480	0.500	ସାହାଯ୍ୟ
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	ଅସୁସ୍ଥ
ailment	0.146	0.734	0.277	ଅସୁସ୍ଥତା
aim	0.481	0.569	0.567	ଲକ୍ଷ୍ୟ
aimless	0.150	0.267	0.183	ଲକ୍ଷ୍ୟହୀନ |
air	0.708	0.163	0.427	ବାୟୁ
airbag	0.510	0.402	0.433	ଏୟାରବ୍ୟାଗ
airborne	0.542	0.519	0.385	ବାୟୁବାହୀ
aircraft	0.646	0.644	0.691	ବିମାନ
aircraft carrier	0.490	0.740	0.727	ବିମାନ ବାହକ
airfield	0.601	0.650	0.645	ଏୟାରଫିଲ୍ଡ
airhead	0.271	0.481	0.276	ଏୟାରହେଡ୍ |
airlift	0.573	0.622	0.642	ବିମାନ ଉଡ଼ାଣ
airline	0.650	0.482	0.688	ବିମାନ ସେବା
airliner	0.667	0.777	0.647	ବିମାନ
airlock	0.398	0.520	0.447	ଏୟାରଲକ୍ |
airman	0.587	0.716	0.721	ବାୟୁସେନା
airplane	0.719	0.702	0.708	ବିମାନ
airport	0.729	0.684	0.682	ବିମାନବନ୍ଦର
airs	0.583	0.196	0.370	ବାୟୁ
airship	0.542	0.472	0.529	ବାୟୁସେନା
airspace	0.562	0.510	0.640	ବାୟୁସ୍ଥାନ
airspeed	0.583	0.780	0.544	ବାୟୁସେନା
airstrip	0.550	0.690	0.649	ଏୟାରଷ୍ଟ୍ରିପ୍ |
airtight	0.479	0.381	0.570	ଏୟାରଟାଇଟ୍ |
airway	0.638	0.585	0.482	ବାୟୁପଥ
aisle	0.438	0.222	0.283	ପଥ
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	ajar
aka	0.459	0.358	0.351	ଆକା
akin	0.639	0.343	0.523	ସଦୃଶ୍ୟ
alabaster	0.542	0.404	0.445	ଆଲବାଷ୍ଟର
alarm	0.241	0.882	0.698	ଆଲାର୍ମ
