English Word	Valence	Arousal	Dominance	Chichewa Word
absence	0.153	0.235	0.266	kusapezeka
absent	0.177	0.221	0.116	palibe
absentee	0.235	0.330	0.279	kulibe
absenteeism	0.404	0.273	0.357	kusagwira ntchito
absinthe	0.481	0.510	0.462	absinthe
absolute	0.526	0.510	0.827	mtheradi
absolution	0.715	0.500	0.664	kukhululukidwa
absolve	0.684	0.449	0.660	kumasula
absorb	0.469	0.558	0.670	kuyamwa
absorbed	0.490	0.471	0.519	kutengeka
absorbent	0.552	0.394	0.718	kuyamwa
absorbing	0.490	0.490	0.578	kuyamwa
absorption	0.609	0.422	0.446	kuyamwa
abstain	0.385	0.385	0.427	pewa
abstention	0.271	0.264	0.509	kudziletsa
abstinence	0.260	0.392	0.429	kudziletsa
abstract	0.438	0.292	0.444	mwatsatanetsatane
abstraction	0.469	0.439	0.525	kufotokoza
absurd	0.188	0.656	0.284	zosamveka
absurdity	0.115	0.528	0.227	zopanda pake
abundance	0.812	0.690	0.852	kuchuluka
abundant	0.958	0.590	0.760	zambiri
abuse	0.071	0.873	0.469	nkhanza
abused	0.021	0.874	0.235	kuzunzidwa
abusive	0.125	0.903	0.567	wankhanza
abutment	0.500	0.265	0.616	abutment
aby	0.385	0.452	0.368	pa
abysmal	0.250	0.710	0.598	zonyansa
abyss	0.353	0.725	0.296	phompho
academic	0.781	0.420	0.812	maphunziro
academy	0.704	0.473	0.792	akademi
accede	0.698	0.510	0.537	vomereza
accelerant	0.643	0.844	0.802	wofulumira
accelerate	0.615	0.902	0.759	fulumira
accelerated	0.610	0.812	0.682	fulumira
acceleration	0.704	0.905	0.843	kuthamangitsa
accelerator	0.593	0.830	0.812	chothamangitsira
accent	0.598	0.357	0.509	katchulidwe ka mawu
accentuate	0.673	0.556	0.667	tsindika
accept	0.847	0.286	0.565	kuvomereza
acceptable	0.812	0.286	0.583	chovomerezeka
acceptance	0.833	0.287	0.755	kuvomereza
acceptances	0.847	0.413	0.648	kuvomereza
access	0.714	0.472	0.567	mwayi
accessible	0.796	0.410	0.645	chofikika
accession	0.612	0.383	0.636	kulowa
accessory	0.562	0.292	0.445	chowonjezera
accident	0.125	0.908	0.336	ngozi
accidental	0.319	0.784	0.307	mwangozi
accidentally	0.333	0.741	0.333	mwangozi
acclaim	0.562	0.809	0.718	kuyamikira
accolade	0.688	0.591	0.775	kuyamikira
accommodate	0.844	0.375	0.566	khalamo
accommodation	0.817	0.415	0.587	malo ogona
accompaniment	0.740	0.479	0.695	kutsagana
accompany	0.833	0.406	0.585	perekeza
accompanying	0.787	0.460	0.582	motsatana ndi
accomplice	0.408	0.580	0.510	kuthandizira
accomplish	0.929	0.673	0.816	kukwaniritsa
accomplished	0.870	0.520	0.798	zakwaniritsidwa
accomplishment	0.917	0.694	0.888	kukwaniritsa
accord	0.898	0.264	0.382	mogwirizana
accordance	0.659	0.349	0.600	mogwirizana
accordion	0.604	0.490	0.361	accordion
account	0.531	0.347	0.472	akaunti
accountability	0.755	0.537	0.833	kuyankha
accountable	0.709	0.282	0.777	woyankha
accountant	0.625	0.450	0.639	wowerengera ndalama
accounting	0.552	0.390	0.677	kuwerengera ndalama
accounts	0.592	0.340	0.471	akaunti
accredited	0.669	0.479	0.768	ovomerezeka
accretion	0.448	0.519	0.672	kuchulukitsa
accrue	0.520	0.481	0.602	onjezera
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	sonkhanitsa
accumulation	0.479	0.527	0.600	kudzikundikira
accuracy	0.604	0.481	0.802	kulondola
accurate	0.743	0.360	0.737	zolondola
accursed	0.135	0.745	0.345	wotembereredwa
accusation	0.073	0.718	0.564	mlandu
accusative	0.198	0.755	0.482	woneneza
accuse	0.133	0.752	0.500	tsutsa
accused	0.130	0.670	0.420	woimbidwa mlandu
accuser	0.122	0.779	0.615	woneneza
accusing	0.156	0.745	0.324	kuimba mlandu
accustomed	0.542	0.365	0.441	anazolowera
ace	0.643	0.481	0.546	ace
acetic	0.333	0.420	0.519	acetic
acetylene	0.306	0.469	0.509	acetylene
ache	0.146	0.760	0.312	ululu
achieve	0.816	0.545	0.843	kukwaniritsa
achieved	0.896	0.519	0.775	zatheka
achievement	0.896	0.808	0.759	kupindula
aching	0.053	0.880	0.348	kupweteka
achy	0.167	0.840	0.373	ayi
acid	0.265	0.642	0.566	asidi
acidity	0.156	0.663	0.360	acidity
acknowledge	0.786	0.370	0.661	vomereza
acknowledged	0.714	0.443	0.765	anavomereza
acknowledgement	0.819	0.539	0.830	kuvomereza
acknowledgment	0.796	0.528	0.777	kuvomereza
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	ziphuphu zakumaso
acorn	0.448	0.198	0.192	acorn
acoustic	0.542	0.462	0.536	kwamayimbidwe
acoustics	0.611	0.330	0.509	mawu omvera
acquaint	0.646	0.491	0.639	dziwani
acquaintance	0.656	0.290	0.670	kudziwana
acquainted	0.906	0.358	0.632	wodziwa
acquiescence	0.542	0.480	0.554	kuvomereza
acquire	0.833	0.468	0.700	kupeza
acquiring	0.735	0.510	0.817	kupeza
acquisition	0.698	0.509	0.736	kupeza
acquisitions	0.773	0.660	0.790	zogula
acquit	0.583	0.571	0.611	masula
acquittal	0.760	0.497	0.700	kumasulidwa
acre	0.583	0.387	0.423	ekala
acreage	0.741	0.450	0.528	acreage
acres	0.510	0.363	0.500	maekala
acrobat	0.708	0.828	0.602	masewera acrobat
acrylic	0.582	0.279	0.420	acrylic
act	0.656	0.704	0.735	chitani
acting	0.698	0.643	0.500	kuchita
action	0.760	0.898	0.802	zochita
action figure	0.615	0.774	0.611	chithunzi chochita
actionable	0.673	0.702	0.613	zotheka
activate	0.764	0.650	0.806	yambitsa
activation	0.781	0.800	0.754	kuyambitsa
active	0.847	0.730	0.731	yogwira
activist	0.531	0.653	0.877	womenyera ufulu
activity	0.701	0.660	0.807	ntchito
actor	0.653	0.561	0.629	wosewera
actress	0.633	0.556	0.596	wosewera
actual	0.729	0.400	0.716	zenizeni
actuality	0.750	0.464	0.600	zenizeni
actuary	0.510	0.404	0.491	akatswiri
acuity	0.469	0.378	0.741	mphamvu
acumen	0.564	0.660	0.679	acumeni
acupuncture	0.531	0.324	0.549	kutema mphini
acute	0.427	0.652	0.534	pachimake
acutely	0.417	0.543	0.491	mwachangu
ad	0.521	0.705	0.558	malonda
adage	0.517	0.415	0.566	mwambi
adamant	0.344	0.529	0.575	wosasunthika
adapt	0.740	0.355	0.551	sinthani
adaptable	0.735	0.423	0.641	wosinthika
adaptation	0.663	0.365	0.609	kusintha
add	0.728	0.490	0.554	onjezani
added	0.562	0.405	0.509	anawonjezera
addendum	0.392	0.370	0.418	kuwonjezera
adder	0.388	0.461	0.588	adder
addict	0.075	0.696	0.327	osokoneza
addicted	0.156	0.712	0.483	kuledzera
addiction	0.180	0.806	0.420	kuledzera
addictive	0.302	0.683	0.472	osokoneza
addition	0.562	0.373	0.471	kuwonjezera
additional	0.673	0.462	0.526	zowonjezera
additive	0.561	0.633	0.691	chowonjezera
address	0.650	0.327	0.567	adilesi
addressee	0.622	0.382	0.538	wolemba
addresses	0.510	0.354	0.450	ma adilesi
adept	0.594	0.539	0.789	wodziwa
adequacy	0.615	0.435	0.702	kukwanira
adequate	0.854	0.264	0.705	zokwanira
adhere	0.633	0.339	0.554	kutsatira
adherence	0.760	0.307	0.630	kutsatira
adherent	0.561	0.385	0.555	wotsatira
adhering	0.612	0.561	0.537	kutsatira
adhesion	0.521	0.445	0.586	kumamatira
adhesive	0.604	0.350	0.413	zomatira
adieu	0.250	0.471	0.342	adieu
adipose	0.333	0.350	0.391	adipose
adjacency	0.365	0.417	0.375	kuyandikana
adjacent	0.645	0.276	0.536	moyandikana
adjective	0.570	0.316	0.569	mlongosoledwe
adjoining	0.520	0.400	0.393	moyandikana
adjourn	0.385	0.456	0.475	sintha
adjournment	0.438	0.510	0.370	kuchedwetsa
adjudicate	0.559	0.520	0.683	weruza
adjudication	0.551	0.462	0.691	chigamulo
adjunct	0.459	0.440	0.426	chowonjezera
adjust	0.647	0.327	0.638	sinthani
adjuster	0.510	0.540	0.760	wowongolera
adjustment	0.590	0.520	0.661	kusintha
adjuvant	0.510	0.500	0.456	wothandizira
admin	0.688	0.420	0.854	admin
administer	0.635	0.425	0.860	yendetsa
administration	0.625	0.404	0.786	utsogoleri
administrative	0.542	0.415	0.579	utsogoleri
administrator	0.538	0.480	0.902	woyang'anira
admirable	0.929	0.600	0.870	chosiririka
admiral	0.844	0.490	0.847	wolamulira
admiralty	0.594	0.547	0.733	admiralty
admiration	0.969	0.583	0.726	kusilira
admire	0.867	0.692	0.704	kusilira
admired	0.917	0.560	0.815	kusilira
admirer	0.796	0.720	0.650	wosilira
admiring	0.867	0.578	0.629	kusilira
admissibility	0.802	0.580	0.602	kuloledwa
admissible	0.780	0.528	0.642	zovomerezeka
admission	0.802	0.415	0.732	kuloledwa
admit	0.538	0.423	0.667	vomereza
admittance	0.690	0.451	0.598	kuloledwa
admitted	0.720	0.490	0.767	adavomereza
admitting	0.620	0.500	0.546	kuvomereza
admixture	0.450	0.375	0.438	kuphatikiza
admonition	0.357	0.606	0.455	chenjezo
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	unyamata
adolescent	0.781	0.680	0.509	wachinyamata
adopt	0.694	0.612	0.701	kutengera
adoption	0.625	0.566	0.589	kulera ana
adoptive	0.531	0.469	0.520	wolera
adorable	0.969	0.519	0.457	wokongola
adoration	0.885	0.699	0.708	kupembedza
adore	0.854	0.438	0.657	kupembedza
adoring	0.885	0.620	0.717	kupembedza
adorn	0.910	0.424	0.482	kongoletsa
adornment	0.918	0.373	0.377	kukongoletsa
adrenalin	0.865	0.920	0.786	adrenaline
adrenaline	0.765	0.965	0.825	adrenaline
adrift	0.398	0.486	0.230	kuthamangitsidwa
adult	0.815	0.491	0.787	wamkulu
adulterated	0.188	0.865	0.370	woipitsidwa
adulterer	0.229	0.814	0.407	wachigololo
adultery	0.120	0.922	0.510	chigololo
adulthood	0.541	0.454	0.652	kukula
advance	0.673	0.472	0.858	patsogolo
advanced	0.844	0.623	0.797	patsogolo
advancement	0.776	0.650	0.839	kupita patsogolo
advancing	0.929	0.608	0.812	kupita patsogolo
advantage	0.917	0.548	0.859	mwayi
advantageous	0.837	0.640	0.789	zopindulitsa
advent	0.665	0.560	0.627	kubwera
adventure	0.917	0.857	0.710	ulendo
adventurer	0.781	0.839	0.868	wokonda
adventures	0.812	0.764	0.749	ulendo
adventurous	0.969	0.898	0.722	wofuna
adversary	0.349	0.777	0.457	mdani
adverse	0.323	0.610	0.385	wotsutsa
adversity	0.276	0.760	0.538	mavuto
advertise	0.500	0.529	0.580	lengezani
advertisement	0.600	0.566	0.539	kutsatsa
advertising	0.622	0.608	0.632	kutsatsa
adverts	0.551	0.500	0.595	malonda
advice	0.698	0.408	0.688	malangizo
advisable	0.867	0.480	0.510	zomveka
advise	0.760	0.393	0.705	langizani
advised	0.823	0.330	0.509	analangiza
advisement	0.698	0.235	0.655	malangizo
adviser	0.745	0.362	0.705	mlangizi
advisor	0.646	0.350	0.689	mlangizi
advisory	0.656	0.429	0.633	upangiri
advocacy	0.500	0.646	0.731	kulimbikitsa
advocate	0.551	0.530	0.818	limbikitsa
aegis	0.490	0.439	0.462	ayi
aeration	0.550	0.500	0.433	mpweya
aerial	0.615	0.461	0.463	mlengalenga
aerobics	0.708	0.771	0.627	masewera olimbitsa thupi
aerodrome	0.541	0.740	0.678	bwalo la ndege
aerodynamic	0.561	0.724	0.728	aerodynamic
aerodynamics	0.590	0.663	0.722	aerodynamics
aeronautics	0.551	0.633	0.688	za ndege
aeroplane	0.714	0.642	0.644	ndege
aerospace	0.643	0.520	0.779	zamlengalenga
aesthetic	0.708	0.442	0.526	zokongola
aesthetics	0.847	0.327	0.549	zokongola
aetiology	0.480	0.398	0.615	etiology
afar	0.396	0.373	0.358	kutali
affable	0.704	0.380	0.452	wokoma mtima
affair	0.520	0.459	0.657	nkhani
affect	0.458	0.569	0.578	bwanji
affecting	0.350	0.574	0.394	kukhudza
affection	0.898	0.559	0.696	chikondi
affectionate	0.949	0.422	0.550	wachikondi
affections	0.760	0.547	0.655	zokonda
affiche	0.479	0.265	0.402	afiche
affidavit	0.469	0.584	0.526	affidaviti
affiliated	0.673	0.519	0.535	ogwirizana
affiliation	0.615	0.594	0.500	chiyanjano
affinity	0.800	0.500	0.537	chiyanjano
affirm	0.745	0.509	0.731	tsimikizira
affirmation	0.750	0.500	0.689	chitsimikizo
affirmative	0.854	0.589	0.816	wotsimikiza
affirmatively	0.908	0.500	0.811	motsimikiza
affix	0.438	0.335	0.411	phatikiza
afflict	0.302	0.555	0.293	vutitsa
afflicted	0.271	0.500	0.167	osautsidwa
affliction	0.294	0.635	0.392	mazunzo
affluence	0.663	0.618	0.722	kulemera
affluent	0.756	0.388	0.477	wolemera
afford	0.571	0.580	0.575	kukwanitsa
affordable	0.840	0.398	0.493	zotsika mtengo
affront	0.327	0.740	0.547	kunyoza
affronted	0.385	0.750	0.527	kukhumudwa
afield	0.594	0.370	0.373	kumtunda
afire	0.367	0.904	0.675	moto
afloat	0.602	0.427	0.444	kuyandama
afore	0.500	0.337	0.382	patsogolo
aforementioned	0.490	0.316	0.408	zomwe tatchulazi
aforesaid	0.531	0.358	0.478	zanenedwa
afraid	0.010	0.775	0.245	mantha
afresh	0.643	0.521	0.480	mwatsopano
aft	0.480	0.417	0.518	pambuyo
afterlife	0.571	0.567	0.568	pambuyo pa moyo
aftermath	0.312	0.449	0.444	zotsatira
afternoon	0.533	0.388	0.339	madzulo
aftershave	0.406	0.384	0.415	aftershave
aftertaste	0.354	0.362	0.455	pambuyo kukoma
afterthought	0.396	0.392	0.349	pambuyo pake
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	agate
age	0.561	0.226	0.498	zaka
aged	0.135	0.365	0.236	wokalamba
agency	0.460	0.296	0.583	bungwe
agenda	0.531	0.296	0.553	ndondomeko
agent	0.480	0.439	0.755	wothandizira
agglomeration	0.450	0.765	0.509	agglomeration
aggravate	0.224	0.770	0.464	kulitsa
aggravated	0.079	0.760	0.430	kulira
aggravates	0.108	0.778	0.357	zimakulitsa
aggravating	0.257	0.794	0.640	kukulitsa
aggravation	0.071	0.784	0.613	kukulitsa
aggregate	0.730	0.378	0.556	kuphatikiza
aggregation	0.583	0.517	0.694	kusonkhanitsa
aggresive	0.059	0.971	0.639	mwaukali
aggression	0.094	0.929	0.533	chiwawa
aggressive	0.125	0.949	0.648	mwaukali
aggressively	0.250	0.926	0.688	mwamakani
aggressiveness	0.077	0.913	0.648	mwamakani
aggressor	0.146	0.948	0.823	wankhanza
agh	0.260	0.500	0.400	ayi
aghast	0.133	0.865	0.464	mantha
aghhh	0.281	0.635	0.243	aghh
agile	0.800	0.657	0.775	agile
agility	0.720	0.702	0.815	luso
aging	0.214	0.255	0.284	kukalamba
agitate	0.300	0.796	0.593	sokoneza
agitated	0.444	0.882	0.491	wokwiya
agitation	0.240	0.931	0.447	chipwirikiti
aglow	0.780	0.510	0.797	kuwala
agnostic	0.306	0.396	0.574	agnostic
ago	0.317	0.280	0.404	zapitazo
agonizing	0.083	0.800	0.340	zowawa
agony	0.083	0.775	0.393	ululu
agoraphobia	0.127	0.712	0.438	agoraphobia
agree	0.906	0.260	0.545	vomerezani
agreeable	0.906	0.500	0.696	chovomerezeka
agreed	0.797	0.449	0.574	anavomera
agreeing	0.854	0.480	0.557	kuvomereza
agreement	0.760	0.440	0.736	mgwirizano
agressive	0.083	0.918	0.751	waukali
agricultural	0.686	0.321	0.473	zaulimi
agriculture	0.640	0.357	0.465	ulimi
aground	0.333	0.340	0.445	pansi
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	patsogolo
ahhh	0.562	0.517	0.241	ahh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhhh
ahoy	0.500	0.497	0.380	ayi
aid	0.796	0.491	0.541	thandizo
aide	0.724	0.342	0.434	wothandizira
aiding	0.643	0.533	0.569	kuthandiza
aids	0.561	0.480	0.500	zothandizira
ail	0.375	0.434	0.385	ayi
ailing	0.094	0.518	0.153	odwala
ailment	0.146	0.734	0.277	matenda
aim	0.481	0.569	0.567	cholinga
aimless	0.150	0.267	0.183	opanda cholinga
air	0.708	0.163	0.427	mpweya
airbag	0.510	0.402	0.433	airbag
airborne	0.542	0.519	0.385	zandege
aircraft	0.646	0.644	0.691	ndege
aircraft carrier	0.490	0.740	0.727	chonyamulira ndege
airfield	0.601	0.650	0.645	bwalo la ndege
airhead	0.271	0.481	0.276	mpweya
airlift	0.573	0.622	0.642	kukwera ndege
airline	0.650	0.482	0.688	ndege
airliner	0.667	0.777	0.647	ndege
airlock	0.398	0.520	0.447	airlock
airman	0.587	0.716	0.721	woyendetsa ndege
airplane	0.719	0.702	0.708	ndege
airport	0.729	0.684	0.682	eyapoti
airs	0.583	0.196	0.370	mpweya
airship	0.542	0.472	0.529	ndege
airspace	0.562	0.510	0.640	ndege
airspeed	0.583	0.780	0.544	liwiro la ndege
airstrip	0.550	0.690	0.649	bwalo la ndege
airtight	0.479	0.381	0.570	opanda mpweya
airway	0.638	0.585	0.482	njira yapamlengalenga
aisle	0.438	0.222	0.283	modutsa
ait	0.385	0.390	0.402	ayi
ajar	0.460	0.413	0.446	ajar
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	mofananira
alabaster	0.542	0.404	0.445	alabasitala
alarm	0.241	0.882	0.698	alamu
alarm clock	0.542	0.727	0.642	wotchi ya alarm
alarmed	0.188	0.822	0.492	mantha
alarming	0.204	0.890	0.585	zoopsa
alas	0.571	0.310	0.279	tsoka
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatrosi
albino	0.500	0.240	0.358	alubino
album	0.635	0.349	0.453	album
alchemy	0.541	0.583	0.693	alchemy
alcohol	0.323	0.667	0.377	mowa
alcoholic	0.153	0.688	0.361	chidakwa
alcoholism	0.061	0.779	0.407	uchidakwa
alcove	0.490	0.340	0.356	alcove
alderman	0.550	0.459	0.691	alderman
ale	0.530	0.450	0.358	ayi
alert	0.479	0.820	0.648	tcheru
alertness	0.375	0.875	0.750	tcheru
alerts	0.337	0.804	0.673	zidziwitso
alfalfa	0.546	0.250	0.311	nyemba
algebra	0.440	0.340	0.565	algebra
algebraic	0.531	0.412	0.441	zolembalemba
algorithm	0.448	0.394	0.559	algorithm
alias	0.541	0.353	0.333	dzina
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	mlendo
alienate	0.247	0.500	0.523	kulekanitsa
alienated	0.410	0.423	0.559	otalikitsidwa
alienation	0.378	0.530	0.462	kulekanitsidwa
alight	0.667	0.657	0.605	kuwala
align	0.656	0.364	0.627	gwirizanitsa
aligned	0.583	0.275	0.553	zogwirizana
alignment	0.643	0.412	0.683	kulinganiza
alike	0.653	0.173	0.444	chimodzimodzi
alimentation	0.781	0.551	0.602	kudya
alimony	0.612	0.477	0.464	alimony
aliquot	0.440	0.310	0.404	aliquot
alive	0.816	0.637	0.731	moyo
alkali	0.490	0.350	0.408	alkali
alkaloids	0.433	0.562	0.402	alkaloids
allay	0.417	0.406	0.398	zonse
allegation	0.578	0.578	0.608	mlandu
allege	0.418	0.482	0.587	kunena
alleged	0.365	0.522	0.520	akuti
allegiance	0.917	0.398	0.750	kukhulupirika
allegorical	0.517	0.558	0.598	ophiphiritsa
allegory	0.615	0.580	0.509	fanizo
allegro	0.635	0.627	0.453	zonse
allergic	0.135	0.549	0.273	ziwengo
allergy	0.296	0.606	0.389	ziwengo
alleviate	0.869	0.270	0.528	chepetsa
alleviation	0.735	0.200	0.491	kuchepetsa
alley	0.347	0.500	0.355	njira
alleyway	0.357	0.471	0.382	njira
alliance	0.696	0.473	0.769	mgwirizano
allied	0.714	0.245	0.642	ogwirizana
alligator	0.354	0.704	0.645	ng'ombe
allocate	0.673	0.462	0.672	perekani
allocation	0.604	0.388	0.679	kugawa
allot	0.622	0.481	0.616	gawo
allotment	0.600	0.390	0.640	gawo
allow	0.698	0.429	0.538	kulola
allowable	0.698	0.500	0.561	zololeka
allowance	0.673	0.382	0.591	chilolezo
allowed	0.730	0.360	0.655	kuloledwa
alloy	0.583	0.443	0.593	aloyi
allsmiles	0.786	0.528	0.430	kumwetulira
allure	0.804	0.585	0.686	kukopa
alluring	0.837	0.745	0.843	zokopa
allusion	0.440	0.308	0.462	kufotokoza
alluvial	0.323	0.490	0.491	alluvial
ally	0.792	0.320	0.688	ally
almanac	0.688	0.190	0.412	almanac
almighty	0.938	0.874	0.958	wamphamvuyonse
almond	0.698	0.183	0.314	amondi
aloft	0.771	0.373	0.700	pamwamba
aloha	0.698	0.440	0.441	lowa
alone	0.333	0.167	0.216	yekha
alongside	0.458	0.333	0.347	pambali
aloof	0.189	0.423	0.302	kutali
aloud	0.458	0.713	0.750	mokweza
alpha	0.708	0.340	0.755	alpha
alphabet	0.562	0.204	0.672	zilembo
alphabetical	0.537	0.296	0.535	zilembo
alpine	0.594	0.337	0.474	alpine
alreadyyyyy	0.592	0.717	0.351	kaleyyy
altar	0.724	0.387	0.635	guwa
altar boy	0.434	0.206	0.350	mnyamata wa kuguwa
alter	0.333	0.694	0.654	sintha
alteration	0.167	0.798	0.609	kusintha
altercation	0.170	0.806	0.500	kukangana
altered	0.255	0.765	0.500	zasinthidwa
alternate	0.625	0.363	0.589	sinthani
alternating	0.480	0.494	0.542	kusinthana
alternative	0.628	0.373	0.631	njira ina
altimeter	0.615	0.510	0.580	altimeter
altitude	0.708	0.482	0.736	kutalika
alto	0.656	0.404	0.730	alto
altogether	0.833	0.324	0.644	palimodzi
aluminum	0.449	0.280	0.434	aluminiyamu
alumnus	0.633	0.368	0.422	ophunzira
alveolar	0.469	0.481	0.367	alveolar
alzheimers	0.194	0.518	0.319	matenda a Alzheimer's
amalgam	0.438	0.333	0.510	pamodzi
amalgamation	0.406	0.470	0.531	kuphatikiza
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	amass
amateur	0.469	0.500	0.409	wachinyamata
amaze	0.896	0.843	0.783	zodabwitsa
amazed	0.796	0.779	0.533	anadabwa
amazedness	0.827	0.872	0.510	kudabwa
amazement	0.750	0.800	0.639	chozizwa
amazing	0.906	0.837	0.849	zodabwitsa
amazingly	0.918	0.765	0.920	modabwitsa
ambassador	0.651	0.529	0.917	kazembe
amber	0.635	0.308	0.369	maluwa
ambience	0.735	0.356	0.426	mlengalenga
ambient	0.625	0.360	0.582	wozungulira
ambiguity	0.164	0.460	0.370	kusamveka bwino
ambiguous	0.265	0.462	0.358	wosamvetsetseka
ambit	0.479	0.380	0.386	ambit
ambition	0.510	0.804	0.661	chilakolako
ambitious	0.484	0.821	0.717	wofuna kutchuka
ambivalent	0.510	0.404	0.482	zosamveka
ambrosia	0.571	0.452	0.480	ambrosia
ambulance	0.500	0.750	0.609	ambulansi
ambush	0.281	0.830	0.500	kubisalira
ameliorate	0.770	0.548	0.747	kulimbitsa
amen	0.781	0.182	0.542	amene
amenable	0.448	0.410	0.406	chovomerezeka
amend	0.688	0.406	0.658	sintha
amendment	0.531	0.459	0.606	kusintha
amends	0.640	0.366	0.517	amakonza
amenity	0.750	0.327	0.574	zabwino
amethyst	0.622	0.406	0.517	amethyst
amiable	0.847	0.290	0.483	wokondeka
amicable	0.875	0.330	0.507	mwamtendere
amid	0.510	0.340	0.256	pakati
amidst	0.480	0.330	0.316	pakati
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	ammo
ammonia	0.292	0.587	0.409	ammonia
ammonium	0.354	0.396	0.368	ammonium
ammunition	0.338	0.635	0.667	zida
amnesia	0.296	0.330	0.308	amnesia
amnesty	0.551	0.451	0.814	chikhululukiro
amorous	0.844	0.670	0.636	wachikondi
amorphous	0.327	0.402	0.349	amorphous
amortization	0.592	0.491	0.522	amortization
amount	0.562	0.422	0.649	kuchuluka
amour	0.865	0.480	0.652	chikondi
amp	0.439	0.393	0.375	amp
ampersand	0.480	0.448	0.483	ampersand
amphetamines	0.133	0.667	0.526	amphetamines
amphibian	0.427	0.357	0.474	amphibian
amphibious	0.479	0.346	0.445	amphibious
amphitheater	0.653	0.480	0.545	bwalo lamasewera
ample	0.744	0.349	0.719	zokwanira
amplification	0.690	0.677	0.810	kukulitsa
amplify	0.677	0.735	0.827	kulitsa
amplitude	0.694	0.439	0.692	matalikidwe
amply	0.781	0.431	0.766	mokwanira
amputate	0.092	0.660	0.509	kudula
amputation	0.100	0.755	0.483	kudulidwa
amuck	0.385	0.602	0.321	amuck
amulet	0.781	0.260	0.630	chithumwa
amuse	0.812	0.684	0.664	zosangalatsa
amused	0.942	0.847	0.596	woseketsa
amusement	0.929	0.837	0.803	zosangalatsa
amusing	0.960	0.829	0.632	zoseketsa
ana	0.541	0.300	0.314	ana
anaconda	0.146	0.830	0.540	anaconda
anaesthesia	0.350	0.217	0.473	opaleshoni
