English Word	Valence	Arousal	Dominance	Punjabi Word
acclaim	0.562	0.809	0.718	ਪ੍ਰਸ਼ੰਸਾ
accolade	0.688	0.591	0.775	ਪ੍ਰਸ਼ੰਸਾ
accommodate	0.844	0.375	0.566	ਅਨੁਕੂਲਤਾ
accommodation	0.817	0.415	0.587	ਰਿਹਾਇਸ਼
accompaniment	0.740	0.479	0.695	ਸੰਗਤ
accompany	0.833	0.406	0.585	ਨਾਲ
accompanying	0.787	0.460	0.582	ਨਾਲ
accomplice	0.408	0.580	0.510	ਸਾਥੀ
accomplish	0.929	0.673	0.816	ਪੂਰਾ
accomplished	0.870	0.520	0.798	ਪੂਰਾ ਕੀਤਾ
accomplishment	0.917	0.694	0.888	ਪ੍ਰਾਪਤੀ
accord	0.898	0.264	0.382	ਸਮਝੌਤਾ
accordance	0.659	0.349	0.600	ਅਨੁਸਾਰ
accordion	0.604	0.490	0.361	accordion
account	0.531	0.347	0.472	ਖਾਤਾ
accountability	0.755	0.537	0.833	ਜਵਾਬਦੇਹੀ
accountable	0.709	0.282	0.777	ਜਵਾਬਦੇਹ
accountant	0.625	0.450	0.639	ਲੇਖਾਕਾਰ
accounting	0.552	0.390	0.677	ਲੇਖਾਕਾਰੀ
accounts	0.592	0.340	0.471	ਖਾਤੇ
accredited	0.669	0.479	0.768	ਮਾਨਤਾ ਪ੍ਰਾਪਤ
accretion	0.448	0.519	0.672	ਵਾਧਾ
accrue	0.520	0.481	0.602	ਇਕੱਠਾ ਕਰਨਾ
accueil	0.450	0.451	0.470	accuil
accumulate	0.573	0.536	0.607	ਇਕੱਠਾ ਕਰਨਾ
accumulation	0.479	0.527	0.600	ਇਕੱਠਾ ਕਰਨਾ
accuracy	0.604	0.481	0.802	ਸ਼ੁੱਧਤਾ
accurate	0.743	0.360	0.737	ਸਹੀ
accursed	0.135	0.745	0.345	ਦੋਸ਼ੀ
accusation	0.073	0.718	0.564	ਦੋਸ਼
accusative	0.198	0.755	0.482	ਦੋਸ਼ਪੂਰਨ
accuse	0.133	0.752	0.500	ਦੋਸ਼
accused	0.130	0.670	0.420	ਦੋਸ਼ੀ
accuser	0.122	0.779	0.615	ਦੋਸ਼ ਲਗਾਉਣ ਵਾਲਾ
accusing	0.156	0.745	0.324	ਦੋਸ਼
accustomed	0.542	0.365	0.441	ਆਦੀ
ace	0.643	0.481	0.546	ace
acetic	0.333	0.420	0.519	ਐਸੀਟਿਕ
acetylene	0.306	0.469	0.509	ਐਸੀਟਿਲੀਨ
ache	0.146	0.760	0.312	ਦਰਦ
achieve	0.816	0.545	0.843	ਪ੍ਰਾਪਤ ਕਰੋ
achieved	0.896	0.519	0.775	ਪ੍ਰਾਪਤ ਕੀਤਾ
achievement	0.896	0.808	0.759	ਪ੍ਰਾਪਤੀ
aching	0.053	0.880	0.348	ਦਰਦ
achy	0.167	0.840	0.373	ਦਰਦ
acid	0.265	0.642	0.566	ਐਸਿਡ
acidity	0.156	0.663	0.360	ਐਸਿਡਿਟੀ
acknowledge	0.786	0.370	0.661	ਮੰਨਣਾ
acknowledged	0.714	0.443	0.765	ਸਵੀਕਾਰ ਕੀਤਾ
acknowledgement	0.819	0.539	0.830	ਮਾਨਤਾ
acknowledgment	0.796	0.528	0.777	ਮਾਨਤਾ
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	ਫਿਣਸੀ
acorn	0.448	0.198	0.192	ਐਕੋਰਨ
acoustic	0.542	0.462	0.536	ਧੁਨੀ
acoustics	0.611	0.330	0.509	ਧੁਨੀ ਵਿਗਿਆਨ
acquaint	0.646	0.491	0.639	ਜਾਣੂ
acquaintance	0.656	0.290	0.670	ਜਾਣ-ਪਛਾਣ
acquainted	0.906	0.358	0.632	ਜਾਣੂ
acquiescence	0.542	0.480	0.554	ਸਹਿਮਤੀ
acquire	0.833	0.468	0.700	ਹਾਸਲ ਕਰਨਾ
acquiring	0.735	0.510	0.817	ਹਾਸਲ ਕਰਨਾ
acquisition	0.698	0.509	0.736	ਪ੍ਰਾਪਤੀ
acquisitions	0.773	0.660	0.790	ਗ੍ਰਹਿਣ
acquit	0.583	0.571	0.611	ਬਰੀ
acquittal	0.760	0.497	0.700	ਬਰੀ
acre	0.583	0.387	0.423	ਏਕੜ
acreage	0.741	0.450	0.528	ਰਕਬਾ
acres	0.510	0.363	0.500	ਏਕੜ
acrobat	0.708	0.828	0.602	ਐਕਰੋਬੈਟ
acrylic	0.582	0.279	0.420	ਐਕਰੀਲਿਕ
act	0.656	0.704	0.735	ਐਕਟ
acting	0.698	0.643	0.500	ਅਦਾਕਾਰੀ
action	0.760	0.898	0.802	ਕਾਰਵਾਈ
action figure	0.615	0.774	0.611	ਕਾਰਵਾਈ ਚਿੱਤਰ
actionable	0.673	0.702	0.613	ਕਾਰਵਾਈਯੋਗ
activate	0.764	0.650	0.806	ਸਰਗਰਮ ਕਰੋ
activation	0.781	0.800	0.754	ਸਰਗਰਮੀ
active	0.847	0.730	0.731	ਕਿਰਿਆਸ਼ੀਲ
activist	0.531	0.653	0.877	ਕਾਰਕੁਨ
activity	0.701	0.660	0.807	ਸਰਗਰਮੀ
actor	0.653	0.561	0.629	ਅਦਾਕਾਰ
actress	0.633	0.556	0.596	ਅਦਾਕਾਰਾ
actual	0.729	0.400	0.716	ਅਸਲ
actuality	0.750	0.464	0.600	ਅਸਲੀਅਤ
actuary	0.510	0.404	0.491	ਐਕਚੁਰੀ
acuity	0.469	0.378	0.741	ਤੀਬਰਤਾ
acumen	0.564	0.660	0.679	ਕੁਸ਼ਲਤਾ
acupuncture	0.531	0.324	0.549	ਐਕਿਊਪੰਕਚਰ
acute	0.427	0.652	0.534	ਤੀਬਰ
acutely	0.417	0.543	0.491	ਤੀਬਰਤਾ ਨਾਲ
ad	0.521	0.705	0.558	ad
adage	0.517	0.415	0.566	ਕਹਾਵਤ
adamant	0.344	0.529	0.575	ਅਡੋਲ
adapt	0.740	0.355	0.551	ਅਨੁਕੂਲ
adaptable	0.735	0.423	0.641	ਅਨੁਕੂਲ
adaptation	0.663	0.365	0.609	ਅਨੁਕੂਲਤਾ
add	0.728	0.490	0.554	ਸ਼ਾਮਲ ਕਰੋ
added	0.562	0.405	0.509	ਜੋੜਿਆ ਗਿਆ
addendum	0.392	0.370	0.418	ਜੋੜ
adder	0.388	0.461	0.588	ਜੋੜਨ ਵਾਲਾ
addict	0.075	0.696	0.327	ਆਦੀ
addicted	0.156	0.712	0.483	ਆਦੀ
addiction	0.180	0.806	0.420	ਨਸ਼ਾ
addictive	0.302	0.683	0.472	ਅਮਲ
addition	0.562	0.373	0.471	ਇਸ ਤੋਂ ਇਲਾਵਾ
additional	0.673	0.462	0.526	ਵਾਧੂ
additive	0.561	0.633	0.691	additive
address	0.650	0.327	0.567	ਪਤਾ
addressee	0.622	0.382	0.538	ਪਤਾ
addresses	0.510	0.354	0.450	ਪਤੇ
adept	0.594	0.539	0.789	ਮਾਹਰ
adequacy	0.615	0.435	0.702	ਯੋਗਤਾ
adequate	0.854	0.264	0.705	ਕਾਫ਼ੀ
adhere	0.633	0.339	0.554	ਪਾਲਣਾ
adherence	0.760	0.307	0.630	ਜੁੜਨਾ
adherent	0.561	0.385	0.555	ਅਨੁਯਾਈ
adhering	0.612	0.561	0.537	ਪਾਲਣਾ
adhesion	0.521	0.445	0.586	adhesion
adhesive	0.604	0.350	0.413	ਚਿਪਕਣ ਵਾਲਾ
adieu	0.250	0.471	0.342	ਅਲਵਿਦਾ
adipose	0.333	0.350	0.391	ਚਰਬੀ
adjacency	0.365	0.417	0.375	ਆਸਪਾਸ
adjacent	0.645	0.276	0.536	ਨੇੜੇ
adjective	0.570	0.316	0.569	ਵਿਸ਼ੇਸ਼ਣ
adjoining	0.520	0.400	0.393	ਨਾਲ ਲੱਗਦੇ
adjourn	0.385	0.456	0.475	ਮੁਲਤਵੀ
adjournment	0.438	0.510	0.370	ਮੁਲਤਵੀ
adjudicate	0.559	0.520	0.683	ਨਿਰਣਾ
adjudication	0.551	0.462	0.691	ਨਿਰਣਾ
adjunct	0.459	0.440	0.426	ਸਹਾਇਕ
adjust	0.647	0.327	0.638	ਵਿਵਸਥਿਤ ਕਰੋ
adjuster	0.510	0.540	0.760	ਐਡਜਸਟਰ
adjustment	0.590	0.520	0.661	ਵਿਵਸਥਾ
adjuvant	0.510	0.500	0.456	ਸਹਾਇਕ
admin	0.688	0.420	0.854	ਪ੍ਰਬੰਧਕ
administer	0.635	0.425	0.860	ਪ੍ਰਬੰਧਨ
administration	0.625	0.404	0.786	ਪ੍ਰਸ਼ਾਸਨ
administrative	0.542	0.415	0.579	ਪ੍ਰਬੰਧਕੀ
administrator	0.538	0.480	0.902	ਪ੍ਰਬੰਧਕ
admirable	0.929	0.600	0.870	ਪ੍ਰਸ਼ੰਸਾਯੋਗ
admiral	0.844	0.490	0.847	ਐਡਮਿਰਲ
admiralty	0.594	0.547	0.733	ਐਡਮਿਰਲਟੀ
admiration	0.969	0.583	0.726	ਪ੍ਰਸ਼ੰਸਾ
admire	0.867	0.692	0.704	ਪ੍ਰਸ਼ੰਸਾ
admired	0.917	0.560	0.815	ਪ੍ਰਸ਼ੰਸਾ ਕੀਤੀ
admirer	0.796	0.720	0.650	ਪ੍ਰਸ਼ੰਸਕ
admiring	0.867	0.578	0.629	ਪ੍ਰਸ਼ੰਸਾ
admissibility	0.802	0.580	0.602	ਸਵੀਕਾਰਯੋਗਤਾ
admissible	0.780	0.528	0.642	ਮੰਨਣਯੋਗ
admission	0.802	0.415	0.732	ਦਾਖਲਾ
admit	0.538	0.423	0.667	ਸਵੀਕਾਰ ਕਰੋ
admittance	0.690	0.451	0.598	ਦਾਖਲਾ
admitted	0.720	0.490	0.767	ਦਾਖਲ ਕੀਤਾ
admitting	0.620	0.500	0.546	ਮੰਨਣਾ
admixture	0.450	0.375	0.438	ਮਿਸ਼ਰਣ
admonition	0.357	0.606	0.455	ਸਲਾਹ
ado	0.520	0.423	0.385	ਅਡੋਲ
adobe	0.500	0.319	0.328	ਅਡੋਬ
adolescence	0.487	0.694	0.444	ਅੱਲ੍ਹੜ ਉਮਰ
adolescent	0.781	0.680	0.509	ਕਿਸ਼ੋਰ
adopt	0.694	0.612	0.701	ਗੋਦ ਲੈਣਾ
adoption	0.625	0.566	0.589	ਗੋਦ ਲੈਣਾ
adoptive	0.531	0.469	0.520	ਗੋਦ ਲੈਣ ਵਾਲਾ
adorable	0.969	0.519	0.457	ਮਨਮੋਹਕ
adoration	0.885	0.699	0.708	ਪੂਜਾ
adore	0.854	0.438	0.657	ਪਿਆਰ ਕਰਨਾ
adoring	0.885	0.620	0.717	ਪਿਆਰ ਕਰਨ ਵਾਲਾ
adorn	0.910	0.424	0.482	ਸਜਾਵਟ
adornment	0.918	0.373	0.377	ਸਜਾਵਟ
adrenalin	0.865	0.920	0.786	ਐਡਰੇਨਾਲੀਨ
adrenaline	0.765	0.965	0.825	ਐਡਰੇਨਾਲੀਨ
adrift	0.398	0.486	0.230	ਭਟਕਣਾ
adult	0.815	0.491	0.787	ਬਾਲਗ
adulterated	0.188	0.865	0.370	ਮਿਲਾਵਟੀ
adulterer	0.229	0.814	0.407	ਵਿਭਚਾਰੀ
adultery	0.120	0.922	0.510	ਵਿਭਚਾਰ
adulthood	0.541	0.454	0.652	ਬਾਲਗਤਾ
advance	0.673	0.472	0.858	ਪੇਸ਼ਗੀ
advanced	0.844	0.623	0.797	ਉੱਨਤ
advancement	0.776	0.650	0.839	ਤਰੱਕੀ
advancing	0.929	0.608	0.812	ਅੱਗੇ ਵਧਣਾ
advantage	0.917	0.548	0.859	ਫਾਇਦਾ
advantageous	0.837	0.640	0.789	ਫਾਇਦੇਮੰਦ
advent	0.665	0.560	0.627	ਆਗਮਨ
adventure	0.917	0.857	0.710	ਸਾਹਸ
adventurer	0.781	0.839	0.868	ਸਾਹਸੀ
adventures	0.812	0.764	0.749	ਸਾਹਸ
adventurous	0.969	0.898	0.722	ਸਾਹਸੀ
adversary	0.349	0.777	0.457	ਵਿਰੋਧੀ
adverse	0.323	0.610	0.385	ਪ੍ਰਤੀਕੂਲ
adversity	0.276	0.760	0.538	ਮੁਸੀਬਤ
advertise	0.500	0.529	0.580	ਇਸ਼ਤਿਹਾਰ
advertisement	0.600	0.566	0.539	ਇਸ਼ਤਿਹਾਰ
advertising	0.622	0.608	0.632	ਵਿਗਿਆਪਨ
adverts	0.551	0.500	0.595	ਇਸ਼ਤਿਹਾਰ
advice	0.698	0.408	0.688	ਸਲਾਹ
advisable	0.867	0.480	0.510	ਸਲਾਹਯੋਗ
advise	0.760	0.393	0.705	ਸਲਾਹ
advised	0.823	0.330	0.509	ਸਲਾਹ ਦਿੱਤੀ
advisement	0.698	0.235	0.655	ਸਲਾਹ
adviser	0.745	0.362	0.705	ਸਲਾਹਕਾਰ
advisor	0.646	0.350	0.689	ਸਲਾਹਕਾਰ
advisory	0.656	0.429	0.633	ਸਲਾਹਕਾਰੀ
advocacy	0.500	0.646	0.731	ਵਕਾਲਤ
advocate	0.551	0.530	0.818	ਵਕੀਲ
aegis	0.490	0.439	0.462	ਏਜੀਸ
aeration	0.550	0.500	0.433	ਹਵਾਬਾਜ਼ੀ
aerial	0.615	0.461	0.463	ਹਵਾਈ
aerobics	0.708	0.771	0.627	ਐਰੋਬਿਕਸ
aerodrome	0.541	0.740	0.678	ਐਰੋਡਰੋਮ
aerodynamic	0.561	0.724	0.728	ਐਰੋਡਾਇਨਾਮਿਕ
aerodynamics	0.590	0.663	0.722	ਐਰੋਡਾਇਨਾਮਿਕਸ
aeronautics	0.551	0.633	0.688	ਐਰੋਨਾਟਿਕਸ
aeroplane	0.714	0.642	0.644	ਹਵਾਈ ਜਹਾਜ਼
aerospace	0.643	0.520	0.779	ਏਰੋਸਪੇਸ
aesthetic	0.708	0.442	0.526	ਸੁਹਜ
aesthetics	0.847	0.327	0.549	ਸੁਹਜ
aetiology	0.480	0.398	0.615	ਐਟੀਓਲੋਜੀ
afar	0.396	0.373	0.358	ਦੂਰ
affable	0.704	0.380	0.452	ਮਿਲਣਸਾਰ
affair	0.520	0.459	0.657	ਮਾਮਲਾ
affect	0.458	0.569	0.578	ਪ੍ਰਭਾਵਿਤ
affecting	0.350	0.574	0.394	ਪ੍ਰਭਾਵਿਤ
affection	0.898	0.559	0.696	ਪਿਆਰ
affectionate	0.949	0.422	0.550	ਪਿਆਰ ਕਰਨ ਵਾਲਾ
affections	0.760	0.547	0.655	ਪਿਆਰ
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	ਹਲਫਨਾਮਾ
affiliated	0.673	0.519	0.535	ਸੰਬੰਧਿਤ
affiliation	0.615	0.594	0.500	ਮਾਨਤਾ
affinity	0.800	0.500	0.537	ਸਬੰਧ
affirm	0.745	0.509	0.731	ਪੁਸ਼ਟੀ
affirmation	0.750	0.500	0.689	ਪੁਸ਼ਟੀ
affirmative	0.854	0.589	0.816	ਹਾਂ-ਪੱਖੀ
affirmatively	0.908	0.500	0.811	ਹਾਂ-ਪੱਖੀ ਤੌਰ 'ਤੇ
affix	0.438	0.335	0.411	ਚਿਪਕਣਾ
afflict	0.302	0.555	0.293	ਦੁੱਖ
afflicted	0.271	0.500	0.167	ਦੁਖੀ
affliction	0.294	0.635	0.392	ਦੁੱਖ
affluence	0.663	0.618	0.722	ਅਮੀਰੀ
affluent	0.756	0.388	0.477	ਅਮੀਰ
afford	0.571	0.580	0.575	ਬਰਦਾਸ਼ਤ
affordable	0.840	0.398	0.493	ਕਿਫਾਇਤੀ
affront	0.327	0.740	0.547	ਅਪਮਾਨ
affronted	0.385	0.750	0.527	ਅਪਮਾਨਿਤ
afield	0.594	0.370	0.373	afield
afire	0.367	0.904	0.675	ਅੱਗ
afloat	0.602	0.427	0.444	ਤੈਰਨਾ
afore	0.500	0.337	0.382	ਅੱਗੇ
aforementioned	0.490	0.316	0.408	ਉਪਰੋਕਤ ਜ਼ਿਕਰ ਕੀਤਾ
aforesaid	0.531	0.358	0.478	ਉਪਰੋਕਤ
afraid	0.010	0.775	0.245	ਡਰ
afresh	0.643	0.521	0.480	ਨਵੇਂ ਸਿਰੇ ਤੋਂ
aft	0.480	0.417	0.518	ਪਿੱਛੇ
afterlife	0.571	0.567	0.568	ਬਾਅਦ ਜੀਵਨ
aftermath	0.312	0.449	0.444	ਬਾਅਦ
afternoon	0.533	0.388	0.339	ਦੁਪਹਿਰ
aftershave	0.406	0.384	0.415	ਸ਼ੇਵ
aftertaste	0.354	0.362	0.455	ਬਾਅਦ ਦਾ ਸੁਆਦ
afterthought	0.396	0.392	0.349	ਬਾਅਦ ਦੇ ਵਿਚਾਰ
aga	0.542	0.327	0.398	ਆਗਾ
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	agate
age	0.561	0.226	0.498	ਉਮਰ
aged	0.135	0.365	0.236	ਬਿਰਧ
agency	0.460	0.296	0.583	ਏਜੰਸੀ
agenda	0.531	0.296	0.553	ਏਜੰਡਾ
agent	0.480	0.439	0.755	ਏਜੰਟ
agglomeration	0.450	0.765	0.509	ਸੰਗ੍ਰਹਿ
aggravate	0.224	0.770	0.464	ਵਧਣਾ
aggravated	0.079	0.760	0.430	ਵਧਿਆ
aggravates	0.108	0.778	0.357	ਵਧਾਉਂਦਾ ਹੈ
aggravating	0.257	0.794	0.640	ਪਰੇਸ਼ਾਨ ਕਰਨ ਵਾਲਾ
aggravation	0.071	0.784	0.613	ਵਧਣਾ
aggregate	0.730	0.378	0.556	ਕੁੱਲ
aggregation	0.583	0.517	0.694	ਏਕੀਕਰਨ
aggresive	0.059	0.971	0.639	ਹਮਲਾਵਰ
aggression	0.094	0.929	0.533	ਹਮਲਾਵਰਤਾ
aggressive	0.125	0.949	0.648	ਹਮਲਾਵਰ
aggressively	0.250	0.926	0.688	ਹਮਲਾਵਰ ਤੌਰ 'ਤੇ
aggressiveness	0.077	0.913	0.648	ਹਮਲਾਵਰਤਾ
aggressor	0.146	0.948	0.823	ਹਮਲਾਵਰ
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	ਪਰੇਸ਼ਾਨ
aghhh	0.281	0.635	0.243	aghhh
agile	0.800	0.657	0.775	ਚੁਸਤ
agility	0.720	0.702	0.815	ਚੁਸਤੀ
aging	0.214	0.255	0.284	ਬੁਢਾਪਾ
agitate	0.300	0.796	0.593	ਅੰਦੋਲਨ
agitated	0.444	0.882	0.491	ਪਰੇਸ਼ਾਨ
agitation	0.240	0.931	0.447	ਅੰਦੋਲਨ
aglow	0.780	0.510	0.797	ਚਮਕਦਾਰ
agnostic	0.306	0.396	0.574	ਅਗਿਆਨੀ
ago	0.317	0.280	0.404	ਪਹਿਲਾਂ
agonizing	0.083	0.800	0.340	ਦੁਖਦਾਈ
agony	0.083	0.775	0.393	ਦੁੱਖ
agoraphobia	0.127	0.712	0.438	ਐਗੋਰਾਫੋਬੀਆ
agree	0.906	0.260	0.545	ਸਹਿਮਤ
agreeable	0.906	0.500	0.696	ਸਹਿਮਤ
agreed	0.797	0.449	0.574	ਸਹਿਮਤ ਹੋ ਗਏ
agreeing	0.854	0.480	0.557	ਸਹਿਮਤ
agreement	0.760	0.440	0.736	ਸਮਝੌਤਾ
agressive	0.083	0.918	0.751	ਹਮਲਾਵਰ
agricultural	0.686	0.321	0.473	ਖੇਤੀਬਾੜੀ
agriculture	0.640	0.357	0.465	ਖੇਤੀ ਬਾੜੀ
aground	0.333	0.340	0.445	ਜ਼ਮੀਨ 'ਤੇ
agua	0.598	0.180	0.436	ਅਗਵਾ
ahead	0.708	0.520	0.673	ਅੱਗੇ
ahhh	0.562	0.517	0.241	ਆਹ
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhhh
ahoy	0.500	0.497	0.380	ahoy
aid	0.796	0.491	0.541	ਸਹਾਇਤਾ
aide	0.724	0.342	0.434	ਸਹਾਇਕ
aiding	0.643	0.533	0.569	ਸਹਾਇਤਾ
aids	0.561	0.480	0.500	ਸਹਾਇਤਾ
ail	0.375	0.434	0.385	ਬੀਮਾਰੀ
ailing	0.094	0.518	0.153	ਬੀਮਾਰ
ailment	0.146	0.734	0.277	ਬਿਮਾਰੀ
aim	0.481	0.569	0.567	ਉਦੇਸ਼
aimless	0.150	0.267	0.183	ਉਦੇਸ਼ ਰਹਿਤ
air	0.708	0.163	0.427	ਹਵਾ
airbag	0.510	0.402	0.433	ਏਅਰਬੈਗ
airborne	0.542	0.519	0.385	ਹਵਾਈ
aircraft	0.646	0.644	0.691	ਜਹਾਜ਼
aircraft carrier	0.490	0.740	0.727	ਜਹਾਜ਼ ਕੈਰੀਅਰ
airfield	0.601	0.650	0.645	ਏਅਰਫੀਲਡ
airhead	0.271	0.481	0.276	ਏਅਰਹੈੱਡ
airlift	0.573	0.622	0.642	ਏਅਰਲਿਫਟ
airline	0.650	0.482	0.688	ਏਅਰਲਾਈਨ
