English Word	Valence	Arousal	Dominance	Telugu Word
abrasion	0.406	0.592	0.441	రాపిడి
abrasive	0.392	0.610	0.593	రాపిడి
abreast	0.635	0.380	0.519	ఎదురుగా
abroad	0.677	0.596	0.561	విదేశాలలో
abrogate	0.327	0.510	0.594	రద్దు
abrupt	0.271	0.819	0.545	ఆకస్మిక
abruptly	0.250	0.808	0.556	ఆకస్మికంగా
abscess	0.154	0.451	0.349	చీము
absence	0.153	0.235	0.266	లేకపోవడం
absent	0.177	0.221	0.116	గైర్హాజరు
absentee	0.235	0.330	0.279	గైర్హాజరు
absenteeism	0.404	0.273	0.357	గైర్హాజరు
absinthe	0.481	0.510	0.462	అబ్సింతే
absolute	0.526	0.510	0.827	సంపూర్ణ
absolution	0.715	0.500	0.664	విమోచనం
absolve	0.684	0.449	0.660	విమోచనం
absorb	0.469	0.558	0.670	గ్రహిస్తాయి
absorbed	0.490	0.471	0.519	గ్రహించిన
absorbent	0.552	0.394	0.718	శోషక
absorbing	0.490	0.490	0.578	గ్రహించుట
absorption	0.609	0.422	0.446	శోషణ
abstain	0.385	0.385	0.427	దూరంగా ఉండండి
abstention	0.271	0.264	0.509	దూరంగా ఉండటం
abstinence	0.260	0.392	0.429	సంయమనం
abstract	0.438	0.292	0.444	నైరూప్య
abstraction	0.469	0.439	0.525	సంగ్రహణ
absurd	0.188	0.656	0.284	అసంబద్ధమైన
absurdity	0.115	0.528	0.227	అసంబద్ధత
abundance	0.812	0.690	0.852	సమృద్ధి
abundant	0.958	0.590	0.760	సమృద్ధిగా
abuse	0.071	0.873	0.469	తిట్టు
abused	0.021	0.874	0.235	దుర్భాషలాడారు
abusive	0.125	0.903	0.567	దుర్భాషలాడే
abutment	0.500	0.265	0.616	ఆనకట్ట
aby	0.385	0.452	0.368	అబి
abysmal	0.250	0.710	0.598	అగాధం
abyss	0.353	0.725	0.296	అగాధం
academic	0.781	0.420	0.812	విద్యాసంబంధమైన
academy	0.704	0.473	0.792	అకాడమీ
accede	0.698	0.510	0.537	అంగీకరించు
accelerant	0.643	0.844	0.802	వేగవంతమైన
accelerate	0.615	0.902	0.759	వేగవంతం
accelerated	0.610	0.812	0.682	వేగవంతమైంది
acceleration	0.704	0.905	0.843	త్వరణం
accelerator	0.593	0.830	0.812	యాక్సిలరేటర్
accent	0.598	0.357	0.509	యాస
accentuate	0.673	0.556	0.667	ఉద్ఘాటించు
accept	0.847	0.286	0.565	అంగీకరించు
acceptable	0.812	0.286	0.583	ఆమోదయోగ్యమైనది
acceptance	0.833	0.287	0.755	అంగీకారం
acceptances	0.847	0.413	0.648	అంగీకారాలు
access	0.714	0.472	0.567	యాక్సెస్
accessible	0.796	0.410	0.645	అందుబాటులో
accession	0.612	0.383	0.636	చేరిక
accessory	0.562	0.292	0.445	అనుబంధ
accident	0.125	0.908	0.336	ప్రమాదం
accidental	0.319	0.784	0.307	ప్రమాదవశాత్తు
accidentally	0.333	0.741	0.333	అనుకోకుండా
acclaim	0.562	0.809	0.718	ప్రశంసలు
accolade	0.688	0.591	0.775	ప్రశంసలు
accommodate	0.844	0.375	0.566	వసతి కల్పిస్తాయి
accommodation	0.817	0.415	0.587	వసతి
accompaniment	0.740	0.479	0.695	తోడుగా
accompany	0.833	0.406	0.585	తోడు
accompanying	0.787	0.460	0.582	జతగా
accomplice	0.408	0.580	0.510	సహచరుడు
accomplish	0.929	0.673	0.816	సాధిస్తారు
accomplished	0.870	0.520	0.798	సాధించారు
accomplishment	0.917	0.694	0.888	సాఫల్యం
accord	0.898	0.264	0.382	ఒప్పందం
accordance	0.659	0.349	0.600	అనుగుణంగా
accordion	0.604	0.490	0.361	అకార్డియన్
account	0.531	0.347	0.472	ఖాతా
accountability	0.755	0.537	0.833	జవాబుదారీతనం
accountable	0.709	0.282	0.777	జవాబుదారీ
accountant	0.625	0.450	0.639	అకౌంటెంట్
accounting	0.552	0.390	0.677	అకౌంటింగ్
accounts	0.592	0.340	0.471	ఖాతాలు
accredited	0.669	0.479	0.768	గుర్తింపు పొందింది
accretion	0.448	0.519	0.672	చేరడం
accrue	0.520	0.481	0.602	వచ్చే
accueil	0.450	0.451	0.470	సంపాదించు
accumulate	0.573	0.536	0.607	పేరుకుపోవడంతో
accumulation	0.479	0.527	0.600	సంచితం
accuracy	0.604	0.481	0.802	ఖచ్చితత్వం
accurate	0.743	0.360	0.737	ఖచ్చితమైన
accursed	0.135	0.745	0.345	శపించబడ్డాడు
accusation	0.073	0.718	0.564	ఆరోపణ
accusative	0.198	0.755	0.482	నిందారోపణ
accuse	0.133	0.752	0.500	నిందిస్తారు
accused	0.130	0.670	0.420	ఆరోపణలు
accuser	0.122	0.779	0.615	నిందించేవాడు
accusing	0.156	0.745	0.324	ఆరోపిస్తున్నారు
accustomed	0.542	0.365	0.441	అలవాటైంది
ace	0.643	0.481	0.546	ఏస్
acetic	0.333	0.420	0.519	ఎసిటిక్
acetylene	0.306	0.469	0.509	ఎసిటలీన్
ache	0.146	0.760	0.312	నొప్పి
achieve	0.816	0.545	0.843	సాధిస్తారు
achieved	0.896	0.519	0.775	సాధించారు
achievement	0.896	0.808	0.759	సాధించిన
aching	0.053	0.880	0.348	నొప్పి
achy	0.167	0.840	0.373	నొప్పి
acid	0.265	0.642	0.566	ఆమ్లము
acidity	0.156	0.663	0.360	ఆమ్లత్వం
acknowledge	0.786	0.370	0.661	గుర్తించండి
acknowledged	0.714	0.443	0.765	తెలియజేసారు
acknowledgement	0.819	0.539	0.830	గుర్తింపు
acknowledgment	0.796	0.528	0.777	గుర్తింపు
acme	0.408	0.435	0.375	అక్మే
acne	0.167	0.474	0.308	మొటిమలు
acorn	0.448	0.198	0.192	సింధూరం
acoustic	0.542	0.462	0.536	ధ్వని సంబంధమైన
acoustics	0.611	0.330	0.509	ధ్వనిశాస్త్రం
acquaint	0.646	0.491	0.639	పరిచయం
acquaintance	0.656	0.290	0.670	పరిచయము
acquainted	0.906	0.358	0.632	పరిచయమయ్యాడు
acquiescence	0.542	0.480	0.554	అంగీకారము
acquire	0.833	0.468	0.700	సంపాదించు
acquiring	0.735	0.510	0.817	పొందడం
acquisition	0.698	0.509	0.736	సముపార్జన
acquisitions	0.773	0.660	0.790	కొనుగోళ్లు
acquit	0.583	0.571	0.611	నిర్దోషిగా విడిచిపెట్టు
acquittal	0.760	0.497	0.700	నిర్దోషిగా విడుదల
acre	0.583	0.387	0.423	ఎకరం
acreage	0.741	0.450	0.528	విస్తీర్ణం
acres	0.510	0.363	0.500	ఎకరాలు
acrobat	0.708	0.828	0.602	శ్రమజీవి
acrylic	0.582	0.279	0.420	యాక్రిలిక్
act	0.656	0.704	0.735	చట్టం
acting	0.698	0.643	0.500	నటన
action	0.760	0.898	0.802	చర్య
action figure	0.615	0.774	0.611	నటన రూపము
actionable	0.673	0.702	0.613	చర్య తీసుకోదగిన
activate	0.764	0.650	0.806	సక్రియం చేయండి
activation	0.781	0.800	0.754	క్రియాశీలత
active	0.847	0.730	0.731	చురుకుగా
activist	0.531	0.653	0.877	కార్యకర్త
activity	0.701	0.660	0.807	కార్యాచరణ
actor	0.653	0.561	0.629	నటుడు
actress	0.633	0.556	0.596	నటి
actual	0.729	0.400	0.716	అసలు
actuality	0.750	0.464	0.600	వాస్తవికత
actuary	0.510	0.404	0.491	యాక్చురి
acuity	0.469	0.378	0.741	తీక్షణత
acumen	0.564	0.660	0.679	చతురత
acupuncture	0.531	0.324	0.549	ఆక్యుపంక్చర్
acute	0.427	0.652	0.534	తీవ్రమైన
acutely	0.417	0.543	0.491	తీవ్రంగా
ad	0.521	0.705	0.558	ప్రకటన
adage	0.517	0.415	0.566	సామెత
adamant	0.344	0.529	0.575	మొండిగా
adapt	0.740	0.355	0.551	స్వీకరించు
adaptable	0.735	0.423	0.641	అనుకూలించదగినది
adaptation	0.663	0.365	0.609	అనుసరణ
add	0.728	0.490	0.554	జోడించు
added	0.562	0.405	0.509	జోడించారు
addendum	0.392	0.370	0.418	అనుబంధం
adder	0.388	0.461	0.588	యాడ్డర్
addict	0.075	0.696	0.327	వ్యసనపరుడు
addicted	0.156	0.712	0.483	వ్యసనపరుడైన
addiction	0.180	0.806	0.420	వ్యసనం
addictive	0.302	0.683	0.472	వ్యసనపరుడైన
addition	0.562	0.373	0.471	అదనంగా
additional	0.673	0.462	0.526	అదనపు
additive	0.561	0.633	0.691	సంకలితం
address	0.650	0.327	0.567	చిరునామా
addressee	0.622	0.382	0.538	చిరునామాదారుడు
addresses	0.510	0.354	0.450	చిరునామాలు
adept	0.594	0.539	0.789	ప్రవీణుడు
adequacy	0.615	0.435	0.702	సమర్ధత
adequate	0.854	0.264	0.705	తగినంత
adhere	0.633	0.339	0.554	కట్టుబడి
adherence	0.760	0.307	0.630	కట్టుబడి
adherent	0.561	0.385	0.555	కట్టుబడి
adhering	0.612	0.561	0.537	కట్టుబడి
adhesion	0.521	0.445	0.586	సంశ్లేషణ
adhesive	0.604	0.350	0.413	అంటుకునే
adieu	0.250	0.471	0.342	వీడ్కోలు
adipose	0.333	0.350	0.391	కొవ్వు
adjacency	0.365	0.417	0.375	ప్రక్కనే
adjacent	0.645	0.276	0.536	ప్రక్కనే
adjective	0.570	0.316	0.569	విశేషణం
adjoining	0.520	0.400	0.393	ప్రక్కనే
adjourn	0.385	0.456	0.475	వాయిదా వేయండి
adjournment	0.438	0.510	0.370	వాయిదా
adjudicate	0.559	0.520	0.683	న్యాయమూర్తి
adjudication	0.551	0.462	0.691	తీర్పు
adjunct	0.459	0.440	0.426	అనుబంధం
adjust	0.647	0.327	0.638	సర్దుబాటు
adjuster	0.510	0.540	0.760	సర్దుబాటు
adjustment	0.590	0.520	0.661	సర్దుబాటు
adjuvant	0.510	0.500	0.456	సహాయకుడు
admin	0.688	0.420	0.854	అడ్మిన్
administer	0.635	0.425	0.860	పరిపాలించు
administration	0.625	0.404	0.786	పరిపాలన
administrative	0.542	0.415	0.579	పరిపాలనా
administrator	0.538	0.480	0.902	నిర్వాహకుడు
admirable	0.929	0.600	0.870	ప్రశంసనీయమైనది
admiral	0.844	0.490	0.847	అడ్మిరల్
admiralty	0.594	0.547	0.733	అడ్మిరల్టీ
admiration	0.969	0.583	0.726	మెచ్చుకోవడం
admire	0.867	0.692	0.704	మెచ్చుకుంటారు
admired	0.917	0.560	0.815	మెచ్చుకున్నారు
admirer	0.796	0.720	0.650	ఆరాధకుడు
admiring	0.867	0.578	0.629	మెచ్చుకుంటున్నారు
admissibility	0.802	0.580	0.602	ఆమోదయోగ్యత
admissible	0.780	0.528	0.642	ఆమోదయోగ్యమైనది
admission	0.802	0.415	0.732	ప్రవేశ o
admit	0.538	0.423	0.667	ఒప్పుకుంటారు
admittance	0.690	0.451	0.598	ప్రవేశం
admitted	0.720	0.490	0.767	ఒప్పుకున్నాడు
admitting	0.620	0.500	0.546	ఒప్పుకుంటున్నాను
admixture	0.450	0.375	0.438	మిశ్రమం
admonition	0.357	0.606	0.455	ఉపదేశము
ado	0.520	0.423	0.385	అదో
adobe	0.500	0.319	0.328	అడోబ్
adolescence	0.487	0.694	0.444	కౌమారదశ
adolescent	0.781	0.680	0.509	కౌమారదశ
adopt	0.694	0.612	0.701	స్వీకరించు
adoption	0.625	0.566	0.589	దత్తత
adoptive	0.531	0.469	0.520	దత్తత తీసుకున్న
adorable	0.969	0.519	0.457	పూజ్యమైన
adoration	0.885	0.699	0.708	ఆరాధన
adore	0.854	0.438	0.657	ఆరాధించు
adoring	0.885	0.620	0.717	ఆరాధించడం
adorn	0.910	0.424	0.482	అలంకరించు
adornment	0.918	0.373	0.377	అలంకారం
adrenalin	0.865	0.920	0.786	అడ్రినలిన్
adrenaline	0.765	0.965	0.825	ఆడ్రినలిన్
adrift	0.398	0.486	0.230	కొట్టుకుపోతారు
adult	0.815	0.491	0.787	పెద్దలు
adulterated	0.188	0.865	0.370	కల్తీ
adulterer	0.229	0.814	0.407	వ్యభిచారి
adultery	0.120	0.922	0.510	వ్యభిచారం
adulthood	0.541	0.454	0.652	యుక్తవయస్సు
advance	0.673	0.472	0.858	ముందుకు
advanced	0.844	0.623	0.797	ఆధునిక
advancement	0.776	0.650	0.839	పురోగతి
advancing	0.929	0.608	0.812	ముందుకు సాగుతోంది
advantage	0.917	0.548	0.859	ప్రయోజనం
advantageous	0.837	0.640	0.789	ప్రయోజనకరమైన
advent	0.665	0.560	0.627	ఆగమనం
adventure	0.917	0.857	0.710	సాహసం
adventurer	0.781	0.839	0.868	సాహసికుడు
adventures	0.812	0.764	0.749	సాహసాలు
adventurous	0.969	0.898	0.722	సాహసోపేత
adversary	0.349	0.777	0.457	విరోధి
adverse	0.323	0.610	0.385	ప్రతికూలమైన
adversity	0.276	0.760	0.538	ప్రతికూలత
advertise	0.500	0.529	0.580	ప్రచారం చేయండి
advertisement	0.600	0.566	0.539	ప్రకటన
advertising	0.622	0.608	0.632	ప్రకటనలు
adverts	0.551	0.500	0.595	ప్రకటనలు
advice	0.698	0.408	0.688	సలహా
advisable	0.867	0.480	0.510	మంచిది
advise	0.760	0.393	0.705	సలహా ఇవ్వండి
advised	0.823	0.330	0.509	సలహా ఇచ్చాడు
advisement	0.698	0.235	0.655	సలహా
adviser	0.745	0.362	0.705	సలహాదారు
advisor	0.646	0.350	0.689	సలహాదారు
advisory	0.656	0.429	0.633	సలహా
advocacy	0.500	0.646	0.731	న్యాయవాదం
advocate	0.551	0.530	0.818	న్యాయవాది
aegis	0.490	0.439	0.462	ఏజీస్
aeration	0.550	0.500	0.433	వాయుప్రసరణ
aerial	0.615	0.461	0.463	ఆకాశయాన
aerobics	0.708	0.771	0.627	ఏరోబిక్స్
aerodrome	0.541	0.740	0.678	ఏరోడ్రోమ్
aerodynamic	0.561	0.724	0.728	ఏరోడైనమిక్
aerodynamics	0.590	0.663	0.722	ఏరోడైనమిక్స్
aeronautics	0.551	0.633	0.688	ఏరోనాటిక్స్
aeroplane	0.714	0.642	0.644	విమానం
aerospace	0.643	0.520	0.779	ఏరోస్పేస్
aesthetic	0.708	0.442	0.526	సౌందర్యం
aesthetics	0.847	0.327	0.549	సౌందర్యశాస్త్రం
aetiology	0.480	0.398	0.615	ఏటియాలజీ
afar	0.396	0.373	0.358	దూరంగా
affable	0.704	0.380	0.452	స్నేహపూర్వకమైన
affair	0.520	0.459	0.657	వ్యవహారం
affect	0.458	0.569	0.578	ప్రభావితం చేస్తాయి
affecting	0.350	0.574	0.394	ప్రభావితం
affection	0.898	0.559	0.696	ఆప్యాయత
affectionate	0.949	0.422	0.550	ఆప్యాయంగా
affections	0.760	0.547	0.655	ఆప్యాయతలు
affiche	0.479	0.265	0.402	అనుబంధం
affidavit	0.469	0.584	0.526	అఫిడవిట్
affiliated	0.673	0.519	0.535	అనుబంధం
affiliation	0.615	0.594	0.500	అనుబంధం
affinity	0.800	0.500	0.537	అనుబంధం
affirm	0.745	0.509	0.731	ధృవీకరిస్తాయి
affirmation	0.750	0.500	0.689	ధృవీకరణ
affirmative	0.854	0.589	0.816	నిశ్చయాత్మకమైన
affirmatively	0.908	0.500	0.811	నిశ్చయంగా
affix	0.438	0.335	0.411	అతికించు
afflict	0.302	0.555	0.293	బాధించు
afflicted	0.271	0.500	0.167	బాధపడ్డాడు
affliction	0.294	0.635	0.392	బాధ
affluence	0.663	0.618	0.722	ఐశ్వర్యం
affluent	0.756	0.388	0.477	సంపన్నులు
afford	0.571	0.580	0.575	స్థోమత
affordable	0.840	0.398	0.493	సరసమైన
affront	0.327	0.740	0.547	అవమానపరచు
affronted	0.385	0.750	0.527	అవమానించారు
afield	0.594	0.370	0.373	దూరంగా
afire	0.367	0.904	0.675	ఒక మంట
afloat	0.602	0.427	0.444	తేలుతూ
afore	0.500	0.337	0.382	ముందు
aforementioned	0.490	0.316	0.408	పైన పేర్కొన్న
aforesaid	0.531	0.358	0.478	పైన చెప్పబడింది
afraid	0.010	0.775	0.245	భయపడటం
afresh	0.643	0.521	0.480	తాజాగా
aft	0.480	0.417	0.518	వెనుక
afterlife	0.571	0.567	0.568	మరణానంతర జీవితం
aftermath	0.312	0.449	0.444	తదనంతర పరిణామాలు
afternoon	0.533	0.388	0.339	మధ్యాహ్నం
aftershave	0.406	0.384	0.415	గడ్డం గీసిన తరువాత
aftertaste	0.354	0.362	0.455	తర్వాత రుచి
afterthought	0.396	0.392	0.349	అనంతర ఆలోచన
aga	0.542	0.327	0.398	ఆగ
agape	0.612	0.529	0.464	అగాపే
agate	0.540	0.377	0.483	అగేట్
age	0.561	0.226	0.498	వయస్సు
aged	0.135	0.365	0.236	వృద్ధుడు
agency	0.460	0.296	0.583	ఏజెన్సీ
agenda	0.531	0.296	0.553	ఎజెండా
agent	0.480	0.439	0.755	ఏజెంట్
agglomeration	0.450	0.765	0.509	సమూహము
aggravate	0.224	0.770	0.464	తీవ్రతరం చేస్తాయి
aggravated	0.079	0.760	0.430	తీవ్రతరం
aggravates	0.108	0.778	0.357	తీవ్రతరం చేస్తుంది
aggravating	0.257	0.794	0.640	తీవ్రతరం చేస్తోంది
aggravation	0.071	0.784	0.613	తీవ్రతరం
aggregate	0.730	0.378	0.556	మొత్తం
aggregation	0.583	0.517	0.694	సమూహనం
aggresive	0.059	0.971	0.639	దూకుడు
aggression	0.094	0.929	0.533	దూకుడు
aggressive	0.125	0.949	0.648	దూకుడు
aggressively	0.250	0.926	0.688	దూకుడుగా
aggressiveness	0.077	0.913	0.648	దూకుడు
aggressor	0.146	0.948	0.823	దురాక్రమణదారుడు
agh	0.260	0.500	0.400	అయ్యో
aghast	0.133	0.865	0.464	దిగ్భ్రాంతి
aghhh	0.281	0.635	0.243	ఆఘ్హ్
agile	0.800	0.657	0.775	చురుకైన
agility	0.720	0.702	0.815	చురుకుదనం
aging	0.214	0.255	0.284	వృద్ధాప్యం
agitate	0.300	0.796	0.593	కదిలించు
agitated	0.444	0.882	0.491	రెచ్చిపోయాడు
agitation	0.240	0.931	0.447	ఆందోళన
aglow	0.780	0.510	0.797	ప్రకాశించు
agnostic	0.306	0.396	0.574	అజ్ఞేయవాది
ago	0.317	0.280	0.404	క్రితం
agonizing	0.083	0.800	0.340	వేదన కలిగించేది
agony	0.083	0.775	0.393	వేదన
agoraphobia	0.127	0.712	0.438	అఘోరాఫోబియా
agree	0.906	0.260	0.545	అంగీకరిస్తున్నారు
agreeable	0.906	0.500	0.696	అంగీకారయోగ్యమైనది
agreed	0.797	0.449	0.574	అంగీకరించారు
agreeing	0.854	0.480	0.557	అంగీకరిస్తున్నారు
agreement	0.760	0.440	0.736	ఒప్పందం
agressive	0.083	0.918	0.751	దూకుడు
agricultural	0.686	0.321	0.473	వ్యవసాయ
agriculture	0.640	0.357	0.465	వ్యవసాయం
aground	0.333	0.340	0.445	నేలమీద
agua	0.598	0.180	0.436	అగువా
ahead	0.708	0.520	0.673	ముందుకు
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhh
ahoy	0.500	0.497	0.380	అయ్యో
aid	0.796	0.491	0.541	సహాయం
aide	0.724	0.342	0.434	సహాయకుడు
aiding	0.643	0.533	0.569	సహాయం
aids	0.561	0.480	0.500	సహాయాలు
ail	0.375	0.434	0.385	అనారోగ్యం
ailing	0.094	0.518	0.153	జబ్బుపడిన
ailment	0.146	0.734	0.277	అనారోగ్యం
aim	0.481	0.569	0.567	లక్ష్యం
aimless	0.150	0.267	0.183	లక్ష్యం లేని
air	0.708	0.163	0.427	గాలి
airbag	0.510	0.402	0.433	గాలి సంచి
airborne	0.542	0.519	0.385	వాయుమార్గాన
aircraft	0.646	0.644	0.691	విమానాల
aircraft carrier	0.490	0.740	0.727	విమాన వాహక నౌక
airfield	0.601	0.650	0.645	ఎయిర్ఫీల్డ్
airhead	0.271	0.481	0.276	గాలి తల
airlift	0.573	0.622	0.642	ఎయిర్ లిఫ్ట్
airline	0.650	0.482	0.688	విమానయాన సంస్థ
airliner	0.667	0.777	0.647	విమానం
airlock	0.398	0.520	0.447	గాలి లాక్
airman	0.587	0.716	0.721	వాయుసేన
airplane	0.719	0.702	0.708	విమానం
airport	0.729	0.684	0.682	విమానాశ్రయం
airs	0.583	0.196	0.370	ప్రసారం చేస్తుంది
airship	0.542	0.472	0.529	వాయు నౌక
airspace	0.562	0.510	0.640	గగనతలం
airspeed	0.583	0.780	0.544	వాయువేగం
airstrip	0.550	0.690	0.649	ఎయిర్ స్ట్రిప్
airtight	0.479	0.381	0.570	గాలి చొరబడని
airway	0.638	0.585	0.482	వాయుమార్గం
aisle	0.438	0.222	0.283	నడవ
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	అజర్
aka	0.459	0.358	0.351	అకా
akin	0.639	0.343	0.523	పోలియున్న
alabaster	0.542	0.404	0.445	అలబాస్టర్
alarm	0.241	0.882	0.698	అలారం
alarm clock	0.542	0.727	0.642	అలారం గడియారం
alarmed	0.188	0.822	0.492	అప్రమత్తమయ్యారు
alarming	0.204	0.890	0.585	ఆందోళనకరమైన
alas	0.571	0.310	0.279	అయ్యో
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	ఆల్బాట్రాస్
albino	0.500	0.240	0.358	అల్బినో
album	0.635	0.349	0.453	ఆల్బమ్
alchemy	0.541	0.583	0.693	రసవాదం
alcohol	0.323	0.667	0.377	మద్యం
alcoholic	0.153	0.688	0.361	మద్యపానం
alcoholism	0.061	0.779	0.407	మద్యపానం
alcove	0.490	0.340	0.356	అల్కావ్
alderman	0.550	0.459	0.691	పెద్దవాడు
ale	0.530	0.450	0.358	ఆలే
alert	0.479	0.820	0.648	అప్రమత్తం
alertness	0.375	0.875	0.750	అప్రమత్తత
alerts	0.337	0.804	0.673	హెచ్చరికలు
alfalfa	0.546	0.250	0.311	అల్ఫాల్ఫా
algebra	0.440	0.340	0.565	బీజగణితం
algebraic	0.531	0.412	0.441	బీజగణితం
algorithm	0.448	0.394	0.559	అల్గోరిథం
alias	0.541	0.353	0.333	మారుపేరు
alibi	0.396	0.528	0.556	అలీబి
alien	0.410	0.615	0.491	పరాయి
alienate	0.247	0.500	0.523	పరాయీకరణ
alienated	0.410	0.423	0.559	పరాయీకరణ
alienation	0.378	0.530	0.462	పరాయీకరణ
alight	0.667	0.657	0.605	దిగు
align	0.656	0.364	0.627	సమలేఖనం
aligned	0.583	0.275	0.553	సమలేఖనమైంది
alignment	0.643	0.412	0.683	అమరిక
alike	0.653	0.173	0.444	ఒకేలా
alimentation	0.781	0.551	0.602	ఆహారం
alimony	0.612	0.477	0.464	భరణం
aliquot	0.440	0.310	0.404	ఆల్కాట్
alive	0.816	0.637	0.731	సజీవంగా
alkali	0.490	0.350	0.408	క్షారము
alkaloids	0.433	0.562	0.402	ఆల్కలాయిడ్స్
allay	0.417	0.406	0.398	తగ్గించు
allegation	0.578	0.578	0.608	ఆరోపణ
allege	0.418	0.482	0.587	ఆరోపిస్తున్నారు
alleged	0.365	0.522	0.520	ఆరోపించారు
allegiance	0.917	0.398	0.750	విధేయత
allegorical	0.517	0.558	0.598	ఉపమానమైన
allegory	0.615	0.580	0.509	ఉపమానం
allegro	0.635	0.627	0.453	దరువు
allergic	0.135	0.549	0.273	అలెర్జీ
allergy	0.296	0.606	0.389	అలెర్జీ
alleviate	0.869	0.270	0.528	తగ్గించు
alleviation	0.735	0.200	0.491	ఉపశమనము
alley	0.347	0.500	0.355	సందు
alleyway	0.357	0.471	0.382	సందు
alliance	0.696	0.473	0.769	కూటమి
allied	0.714	0.245	0.642	పొత్తు పెట్టుకుంది
alligator	0.354	0.704	0.645	ఎలిగేటర్
allocate	0.673	0.462	0.672	కేటాయించండి
allocation	0.604	0.388	0.679	కేటాయింపు
allot	0.622	0.481	0.616	కేటాయించండి
allotment	0.600	0.390	0.640	కేటాయింపు
allow	0.698	0.429	0.538	అనుమతిస్తాయి
allowable	0.698	0.500	0.561	అనుమతించదగినది
allowance	0.673	0.382	0.591	భత్యం
allowed	0.730	0.360	0.655	అనుమతించబడింది
alloy	0.583	0.443	0.593	మిశ్రమం
allsmiles	0.786	0.528	0.430	నవ్వుతుంది
allure	0.804	0.585	0.686	ఆకర్షణ
alluring	0.837	0.745	0.843	ఆకర్షణీయమైన
allusion	0.440	0.308	0.462	ప్రస్తావన
alluvial	0.323	0.490	0.491	ఒండ్రు
ally	0.792	0.320	0.688	మిత్ర
almanac	0.688	0.190	0.412	పంచాంగం
almighty	0.938	0.874	0.958	దేవుడు
almond	0.698	0.183	0.314	బాదం
aloft	0.771	0.373	0.700	పైకి
aloha	0.698	0.440	0.441	అలోహా
alone	0.333	0.167	0.216	ఒంటరిగా
alongside	0.458	0.333	0.347	కలిసి
aloof	0.189	0.423	0.302	దూరంగా
aloud	0.458	0.713	0.750	బిగ్గరగా
alpha	0.708	0.340	0.755	ఆల్ఫా
alphabet	0.562	0.204	0.672	వర్ణమాల
alphabetical	0.537	0.296	0.535	అక్షరక్రమం
alpine	0.594	0.337	0.474	ఆల్పైన్
alreadyyyyy	0.592	0.717	0.351	ఇప్పటికేyyyy
altar	0.724	0.387	0.635	బలిపీఠం
