English Word	Valence	Arousal	Dominance	German Word
absent	0.177	0.221	0.116	abwesend
absentee	0.235	0.330	0.279	abwesend
absenteeism	0.404	0.273	0.357	Fehlzeiten
absinthe	0.481	0.510	0.462	Absinth
absolute	0.526	0.510	0.827	absolut
absolution	0.715	0.500	0.664	Absolution
absolve	0.684	0.449	0.660	entbinden
absorb	0.469	0.558	0.670	absorbieren
absorbed	0.490	0.471	0.519	absorbiert
absorbent	0.552	0.394	0.718	saugfähig
absorbing	0.490	0.490	0.578	absorbierend
absorption	0.609	0.422	0.446	Absorption
abstain	0.385	0.385	0.427	verzichten
abstention	0.271	0.264	0.509	Enthaltung
abstinence	0.260	0.392	0.429	Abstinenz
abstract	0.438	0.292	0.444	abstrakt
abstraction	0.469	0.439	0.525	Abstraktion
absurd	0.188	0.656	0.284	absurd
absurdity	0.115	0.528	0.227	Absurdität
abundance	0.812	0.690	0.852	Fülle
abundant	0.958	0.590	0.760	reichlich
abuse	0.071	0.873	0.469	Missbrauch
abused	0.021	0.874	0.235	missbraucht
abusive	0.125	0.903	0.567	gewalttätig
abutment	0.500	0.265	0.616	Widerlager
aby	0.385	0.452	0.368	ab
abysmal	0.250	0.710	0.598	miserabel
abyss	0.353	0.725	0.296	Abgrund
academic	0.781	0.420	0.812	akademisch
academy	0.704	0.473	0.792	Akademie
accede	0.698	0.510	0.537	beitreten
accelerant	0.643	0.844	0.802	Beschleuniger
accelerate	0.615	0.902	0.759	beschleunigen
accelerated	0.610	0.812	0.682	beschleunigt
acceleration	0.704	0.905	0.843	Beschleunigung
accelerator	0.593	0.830	0.812	Beschleuniger
accent	0.598	0.357	0.509	Akzent
accentuate	0.673	0.556	0.667	akzentuieren
accept	0.847	0.286	0.565	annehmen
acceptable	0.812	0.286	0.583	akzeptabel
acceptance	0.833	0.287	0.755	Annahme
acceptances	0.847	0.413	0.648	Annahmen
access	0.714	0.472	0.567	Zugang
accessible	0.796	0.410	0.645	zugänglich
accession	0.612	0.383	0.636	Beitritt
accessory	0.562	0.292	0.445	Zubehörteil
accident	0.125	0.908	0.336	Unfall
accidental	0.319	0.784	0.307	zufällig
accidentally	0.333	0.741	0.333	versehentlich
acclaim	0.562	0.809	0.718	Anerkennung
accolade	0.688	0.591	0.775	Akkolade
accommodate	0.844	0.375	0.566	unterbringen
accommodation	0.817	0.415	0.587	Unterkunft
accompaniment	0.740	0.479	0.695	Begleitung
accompany	0.833	0.406	0.585	begleiten
accompanying	0.787	0.460	0.582	Begleitet
accomplice	0.408	0.580	0.510	der Mitschuldige
accomplish	0.929	0.673	0.816	erreichen
accomplished	0.870	0.520	0.798	vollendet
accomplishment	0.917	0.694	0.888	Leistung
accord	0.898	0.264	0.382	Übereinstimmung
accordance	0.659	0.349	0.600	Übereinstimmung
accordion	0.604	0.490	0.361	Akkordeon
account	0.531	0.347	0.472	Konto
accountability	0.755	0.537	0.833	Rechenschaftspflicht
accountable	0.709	0.282	0.777	verantwortlich
accountant	0.625	0.450	0.639	Buchhalter
accounting	0.552	0.390	0.677	Buchhaltung
accounts	0.592	0.340	0.471	Konten
accredited	0.669	0.479	0.768	akkreditiert
accretion	0.448	0.519	0.672	Akkretion
accrue	0.520	0.481	0.602	anfallen
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	akkumulieren
accumulation	0.479	0.527	0.600	Akkumulation
accuracy	0.604	0.481	0.802	Richtigkeit
accurate	0.743	0.360	0.737	genau
accursed	0.135	0.745	0.345	verflucht
accusation	0.073	0.718	0.564	Anklage
accusative	0.198	0.755	0.482	Akkusativ
accuse	0.133	0.752	0.500	beschuldigen
accused	0.130	0.670	0.420	beschuldigt
accuser	0.122	0.779	0.615	Ankläger
accusing	0.156	0.745	0.324	anklagend
accustomed	0.542	0.365	0.441	gewohnt
ace	0.643	0.481	0.546	As
acetic	0.333	0.420	0.519	Essig
acetylene	0.306	0.469	0.509	Acetylen
ache	0.146	0.760	0.312	schmerzen
achieve	0.816	0.545	0.843	erreichen
achieved	0.896	0.519	0.775	erreicht
achievement	0.896	0.808	0.759	Leistung
aching	0.053	0.880	0.348	Schmerz
achy	0.167	0.840	0.373	weh
acid	0.265	0.642	0.566	Säure
acidity	0.156	0.663	0.360	Säure
acknowledge	0.786	0.370	0.661	anerkennen
acknowledged	0.714	0.443	0.765	anerkannt
acknowledgement	0.819	0.539	0.830	Wissen
acknowledgment	0.796	0.528	0.777	Wissen
acme	0.408	0.435	0.375	Gipfel
acne	0.167	0.474	0.308	Akne
acorn	0.448	0.198	0.192	Eichel
acoustic	0.542	0.462	0.536	akustisch
acoustics	0.611	0.330	0.509	Akustik
acquaint	0.646	0.491	0.639	kennen
acquaintance	0.656	0.290	0.670	Bekanntschaft
acquainted	0.906	0.358	0.632	bekannt
acquiescence	0.542	0.480	0.554	Einwilligung
acquire	0.833	0.468	0.700	erwerben
acquiring	0.735	0.510	0.817	erwerben
acquisition	0.698	0.509	0.736	Erwerb
acquisitions	0.773	0.660	0.790	Akquisitionen
acquit	0.583	0.571	0.611	freisprechen
acquittal	0.760	0.497	0.700	Freispruch
acre	0.583	0.387	0.423	Acre
acreage	0.741	0.450	0.528	Anbaufläche
acres	0.510	0.363	0.500	Hektar
acrobat	0.708	0.828	0.602	Akrobat
acrylic	0.582	0.279	0.420	Acryl-
act	0.656	0.704	0.735	Handlung
acting	0.698	0.643	0.500	Schauspielkunst
action	0.760	0.898	0.802	Aktion
action figure	0.615	0.774	0.611	Action Figur
actionable	0.673	0.702	0.613	umsetzbar
activate	0.764	0.650	0.806	aktivieren Sie
activation	0.781	0.800	0.754	Aktivierung
active	0.847	0.730	0.731	aktiv
activist	0.531	0.653	0.877	Aktivist
activity	0.701	0.660	0.807	Aktivität
actor	0.653	0.561	0.629	Schauspieler
actress	0.633	0.556	0.596	Darstellerin
actual	0.729	0.400	0.716	tatsächlich
actuality	0.750	0.464	0.600	Wirklichkeit
actuary	0.510	0.404	0.491	Aktuar
acuity	0.469	0.378	0.741	Schärfe
acumen	0.564	0.660	0.679	Scharfsinn
acupuncture	0.531	0.324	0.549	Akupunktur
acute	0.427	0.652	0.534	akut
acutely	0.417	0.543	0.491	akut
ad	0.521	0.705	0.558	Anzeige
adage	0.517	0.415	0.566	Sprichwort
adamant	0.344	0.529	0.575	unnachgiebig
adapt	0.740	0.355	0.551	sich anpassen
adaptable	0.735	0.423	0.641	anpassungsfähig
adaptation	0.663	0.365	0.609	Anpassung
add	0.728	0.490	0.554	hinzufügen
added	0.562	0.405	0.509	hinzugefügt
addendum	0.392	0.370	0.418	Nachtrag
adder	0.388	0.461	0.588	Addierer
addict	0.075	0.696	0.327	süchtig
addicted	0.156	0.712	0.483	süchtig
addiction	0.180	0.806	0.420	Sucht
addictive	0.302	0.683	0.472	süchtig machend
addition	0.562	0.373	0.471	Zusatz
additional	0.673	0.462	0.526	zusätzlich
additive	0.561	0.633	0.691	Zusatzstoff
address	0.650	0.327	0.567	die Anschrift
addressee	0.622	0.382	0.538	Adressat
addresses	0.510	0.354	0.450	Adressen
adept	0.594	0.539	0.789	geschickt
adequacy	0.615	0.435	0.702	Angemessenheit
adequate	0.854	0.264	0.705	angemessen
adhere	0.633	0.339	0.554	haften
adherence	0.760	0.307	0.630	Adhärenz
adherent	0.561	0.385	0.555	Anhänger
adhering	0.612	0.561	0.537	haftend
adhesion	0.521	0.445	0.586	Adhäsion
adhesive	0.604	0.350	0.413	Klebstoff
adieu	0.250	0.471	0.342	Adieu
adipose	0.333	0.350	0.391	fett
adjacency	0.365	0.417	0.375	Nachbarschaft
adjacent	0.645	0.276	0.536	benachbart
adjective	0.570	0.316	0.569	Adjektiv
adjoining	0.520	0.400	0.393	angrenzend
adjourn	0.385	0.456	0.475	vertagen
adjournment	0.438	0.510	0.370	Unterbrechung
adjudicate	0.559	0.520	0.683	entscheiden
adjudication	0.551	0.462	0.691	Entscheidung
adjunct	0.459	0.440	0.426	Zusatz
adjust	0.647	0.327	0.638	anpassen
adjuster	0.510	0.540	0.760	Einsteller
adjustment	0.590	0.520	0.661	Einstellung
adjuvant	0.510	0.500	0.456	Hilfsstoff
admin	0.688	0.420	0.854	Administrator
administer	0.635	0.425	0.860	verwalten
administration	0.625	0.404	0.786	Verwaltung
administrative	0.542	0.415	0.579	administrativ
administrator	0.538	0.480	0.902	Administrator
admirable	0.929	0.600	0.870	bewundernswert
admiral	0.844	0.490	0.847	Admiral
admiralty	0.594	0.547	0.733	Admiralität
admiration	0.969	0.583	0.726	Bewunderung
admire	0.867	0.692	0.704	bewundern
admired	0.917	0.560	0.815	bewundert
admirer	0.796	0.720	0.650	Bewunderer
admiring	0.867	0.578	0.629	bewundernd
admissibility	0.802	0.580	0.602	Zulässigkeit
admissible	0.780	0.528	0.642	zulässig
admission	0.802	0.415	0.732	Eintritt
admit	0.538	0.423	0.667	zugeben
admittance	0.690	0.451	0.598	Zulassung
admitted	0.720	0.490	0.767	zugelassen
admitting	0.620	0.500	0.546	zugeben
admixture	0.450	0.375	0.438	Beimischung
admonition	0.357	0.606	0.455	Ermahnung
ado	0.520	0.423	0.385	umständlich
adobe	0.500	0.319	0.328	Adobe
adolescence	0.487	0.694	0.444	Jugend
adolescent	0.781	0.680	0.509	Jugendlicher
adopt	0.694	0.612	0.701	adoptieren
adoption	0.625	0.566	0.589	Annahme
adoptive	0.531	0.469	0.520	adoptiv
adorable	0.969	0.519	0.457	bezaubernd
adoration	0.885	0.699	0.708	Anbetung
adore	0.854	0.438	0.657	verehren
adoring	0.885	0.620	0.717	anbeten
adorn	0.910	0.424	0.482	schmücken
adornment	0.918	0.373	0.377	Schmuck
adrenalin	0.865	0.920	0.786	Adrenalin
adrenaline	0.765	0.965	0.825	Adrenalin
adrift	0.398	0.486	0.230	treiben
adult	0.815	0.491	0.787	Erwachsene
adulterated	0.188	0.865	0.370	verfälscht
adulterer	0.229	0.814	0.407	Ehebrecher
adultery	0.120	0.922	0.510	Ehebruch
adulthood	0.541	0.454	0.652	Erwachsensein
advance	0.673	0.472	0.858	Vorauszahlung
advanced	0.844	0.623	0.797	fortschrittlich
advancement	0.776	0.650	0.839	Förderung
advancing	0.929	0.608	0.812	fortschreitend
advantage	0.917	0.548	0.859	Vorteil
advantageous	0.837	0.640	0.789	vorteilhaft
advent	0.665	0.560	0.627	Advent
adventure	0.917	0.857	0.710	Abenteuer
adventurer	0.781	0.839	0.868	Abenteurer
adventures	0.812	0.764	0.749	Abenteuer
adventurous	0.969	0.898	0.722	abenteuerlich
adversary	0.349	0.777	0.457	Gegner
adverse	0.323	0.610	0.385	nachteilig
adversity	0.276	0.760	0.538	Unglück
advertise	0.500	0.529	0.580	werben
advertisement	0.600	0.566	0.539	Anzeige
advertising	0.622	0.608	0.632	Werbung
adverts	0.551	0.500	0.595	Anzeigen
advice	0.698	0.408	0.688	Rat
advisable	0.867	0.480	0.510	ratsam
advise	0.760	0.393	0.705	beraten
advised	0.823	0.330	0.509	geraten
advisement	0.698	0.235	0.655	Beratung
adviser	0.745	0.362	0.705	Berater
advisor	0.646	0.350	0.689	Berater
advisory	0.656	0.429	0.633	beratend
advocacy	0.500	0.646	0.731	Interessenvertretung
advocate	0.551	0.530	0.818	Fürsprecher
aegis	0.490	0.439	0.462	Ägide
aeration	0.550	0.500	0.433	Belüftung
aerial	0.615	0.461	0.463	Antenne
aerobics	0.708	0.771	0.627	Aerobic
aerodrome	0.541	0.740	0.678	Flugplatz
aerodynamic	0.561	0.724	0.728	aerodynamisch
aerodynamics	0.590	0.663	0.722	Aerodynamik
aeronautics	0.551	0.633	0.688	Luftfahrt
aeroplane	0.714	0.642	0.644	Flugzeug
aerospace	0.643	0.520	0.779	Luft- und Raumfahrt
aesthetic	0.708	0.442	0.526	ästhetisch
aesthetics	0.847	0.327	0.549	Ästhetik
aetiology	0.480	0.398	0.615	Ätiologie
afar	0.396	0.373	0.358	weit
affable	0.704	0.380	0.452	freundlich
affair	0.520	0.459	0.657	Affäre
affect	0.458	0.569	0.578	beeinträchtigen
affecting	0.350	0.574	0.394	beeinflussen
affection	0.898	0.559	0.696	Zuneigung
affectionate	0.949	0.422	0.550	zärtlich
affections	0.760	0.547	0.655	Neigungen
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	eidesstattliche Erklärung
affiliated	0.673	0.519	0.535	angeschlossen
affiliation	0.615	0.594	0.500	Zugehörigkeit
affinity	0.800	0.500	0.537	Affinität
affirm	0.745	0.509	0.731	bestätigen
affirmation	0.750	0.500	0.689	Bejahung
affirmative	0.854	0.589	0.816	positiv
affirmatively	0.908	0.500	0.811	bejahend
affix	0.438	0.335	0.411	Affix
afflict	0.302	0.555	0.293	quälen
afflicted	0.271	0.500	0.167	geplagt
affliction	0.294	0.635	0.392	Gebrechen
affluence	0.663	0.618	0.722	Wohlstand
affluent	0.756	0.388	0.477	wohlhabend
afford	0.571	0.580	0.575	sich leisten
affordable	0.840	0.398	0.493	bezahlbar
affront	0.327	0.740	0.547	Beleidigung
affronted	0.385	0.750	0.527	beleidigt
afield	0.594	0.370	0.373	weg
afire	0.367	0.904	0.675	ein Feuer
afloat	0.602	0.427	0.444	flott
afore	0.500	0.337	0.382	vorher
aforementioned	0.490	0.316	0.408	vorgenannten
aforesaid	0.531	0.358	0.478	oben gesagt
afraid	0.010	0.775	0.245	besorgt
afresh	0.643	0.521	0.480	erneut
aft	0.480	0.417	0.518	achtern
afterlife	0.571	0.567	0.568	Leben nach dem Tod
aftermath	0.312	0.449	0.444	Nachwirkungen
afternoon	0.533	0.388	0.339	Nachmittag
aftershave	0.406	0.384	0.415	Aftershave
aftertaste	0.354	0.362	0.455	Nachgeschmack
afterthought	0.396	0.392	0.349	nachträglich
aga	0.542	0.327	0.398	Aga
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	Achat
age	0.561	0.226	0.498	das Alter
aged	0.135	0.365	0.236	alt
agency	0.460	0.296	0.583	Agentur
agenda	0.531	0.296	0.553	Agenda
agent	0.480	0.439	0.755	Agent
agglomeration	0.450	0.765	0.509	Agglomeration
aggravate	0.224	0.770	0.464	verschlimmern
aggravated	0.079	0.760	0.430	verschärft
aggravates	0.108	0.778	0.357	verschlimmert
aggravating	0.257	0.794	0.640	erschwerend
aggravation	0.071	0.784	0.613	Verschlimmerung
aggregate	0.730	0.378	0.556	Aggregat
aggregation	0.583	0.517	0.694	Anhäufung
aggresive	0.059	0.971	0.639	aggressiv
aggression	0.094	0.929	0.533	Aggression
aggressive	0.125	0.949	0.648	aggressiv
aggressively	0.250	0.926	0.688	aggressiv
aggressiveness	0.077	0.913	0.648	Aggressivität
aggressor	0.146	0.948	0.823	Aggressor
agh	0.260	0.500	0.400	aha
aghast	0.133	0.865	0.464	entsetzt
aghhh	0.281	0.635	0.243	ahhh
agile	0.800	0.657	0.775	agil
agility	0.720	0.702	0.815	Beweglichkeit
aging	0.214	0.255	0.284	Altern
agitate	0.300	0.796	0.593	aufregen
agitated	0.444	0.882	0.491	agitiert
agitation	0.240	0.931	0.447	Agitation
aglow	0.780	0.510	0.797	leuchtet
agnostic	0.306	0.396	0.574	agnostisch
ago	0.317	0.280	0.404	vor
agonizing	0.083	0.800	0.340	quälend
agony	0.083	0.775	0.393	Agonie
agoraphobia	0.127	0.712	0.438	Agoraphobie
agree	0.906	0.260	0.545	zustimmen
agreeable	0.906	0.500	0.696	angenehm
agreed	0.797	0.449	0.574	einverstanden
agreeing	0.854	0.480	0.557	einverstanden
agreement	0.760	0.440	0.736	Zustimmung
agressive	0.083	0.918	0.751	aggressiv
agricultural	0.686	0.321	0.473	landwirtschaftlich
agriculture	0.640	0.357	0.465	Landwirtschaft
aground	0.333	0.340	0.445	auf Grund
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	voraus
ahhh	0.562	0.517	0.241	ähhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhh
ahoy	0.500	0.497	0.380	Ahoi
aid	0.796	0.491	0.541	Hilfe
aide	0.724	0.342	0.434	Berater
aiding	0.643	0.533	0.569	helfen
aids	0.561	0.480	0.500	AIDS
ail	0.375	0.434	0.385	weh
ailing	0.094	0.518	0.153	krank
ailment	0.146	0.734	0.277	Leiden
aim	0.481	0.569	0.567	Ziel
aimless	0.150	0.267	0.183	ziellos
air	0.708	0.163	0.427	Luft
airbag	0.510	0.402	0.433	Airbag
airborne	0.542	0.519	0.385	in der Luft
aircraft	0.646	0.644	0.691	Flugzeug
aircraft carrier	0.490	0.740	0.727	Flugzeugträger
airfield	0.601	0.650	0.645	Flugplatz
airhead	0.271	0.481	0.276	Luftkopf
airlift	0.573	0.622	0.642	Luftbrücke
airline	0.650	0.482	0.688	Fluggesellschaft
airliner	0.667	0.777	0.647	Verkehrsflugzeug
airlock	0.398	0.520	0.447	Luftschleuse
airman	0.587	0.716	0.721	Flieger
airplane	0.719	0.702	0.708	Flugzeug
airport	0.729	0.684	0.682	Flughafen
airs	0.583	0.196	0.370	Lüfte
airship	0.542	0.472	0.529	Luftschiff
airspace	0.562	0.510	0.640	Luftraum
airspeed	0.583	0.780	0.544	Fluggeschwindigkeit
airstrip	0.550	0.690	0.649	Landebahn
airtight	0.479	0.381	0.570	luftdicht
airway	0.638	0.585	0.482	Atemweg
aisle	0.438	0.222	0.283	Gang
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	angelehnt
aka	0.459	0.358	0.351	auch bekannt
akin	0.639	0.343	0.523	ähnlich
alabaster	0.542	0.404	0.445	Alabaster
alarm	0.241	0.882	0.698	Alarm
alarm clock	0.542	0.727	0.642	Wecker
alarmed	0.188	0.822	0.492	alarmiert
alarming	0.204	0.890	0.585	alarmierend
alas	0.571	0.310	0.279	Ach
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	Albatros
albino	0.500	0.240	0.358	Albino
album	0.635	0.349	0.453	Album
alchemy	0.541	0.583	0.693	Alchimie
alcohol	0.323	0.667	0.377	Alkohol
alcoholic	0.153	0.688	0.361	Alkoholiker
alcoholism	0.061	0.779	0.407	Alkoholismus
alcove	0.490	0.340	0.356	Alkoven
alderman	0.550	0.459	0.691	Alderman
ale	0.530	0.450	0.358	Ale
alert	0.479	0.820	0.648	Alarm
alertness	0.375	0.875	0.750	Wachsamkeit
alerts	0.337	0.804	0.673	Warnungen
alfalfa	0.546	0.250	0.311	Alfalfa
algebra	0.440	0.340	0.565	Algebra
algebraic	0.531	0.412	0.441	algebraisch
algorithm	0.448	0.394	0.559	Algorithmus
alias	0.541	0.353	0.333	alias
alibi	0.396	0.528	0.556	Alibi
alien	0.410	0.615	0.491	Außerirdischer
alienate	0.247	0.500	0.523	entfremden
alienated	0.410	0.423	0.559	entfremdet
alienation	0.378	0.530	0.462	Entfremdung
alight	0.667	0.657	0.605	aussteigen
align	0.656	0.364	0.627	ausrichten
aligned	0.583	0.275	0.553	ausgerichtet
alignment	0.643	0.412	0.683	Ausrichtung
alike	0.653	0.173	0.444	wie
alimentation	0.781	0.551	0.602	Ernährung
alimony	0.612	0.477	0.464	Alimente
aliquot	0.440	0.310	0.404	aliquot
alive	0.816	0.637	0.731	am Leben
alkali	0.490	0.350	0.408	Alkali
alkaloids	0.433	0.562	0.402	Alkaloide
allay	0.417	0.406	0.398	zerstreuen
allegation	0.578	0.578	0.608	Behauptung
allege	0.418	0.482	0.587	behaupten
alleged	0.365	0.522	0.520	angeblich
allegiance	0.917	0.398	0.750	Treue
allegorical	0.517	0.558	0.598	allegorisch
allegory	0.615	0.580	0.509	Allegorie
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	allergisch
allergy	0.296	0.606	0.389	Allergie
alleviate	0.869	0.270	0.528	lindern
alleviation	0.735	0.200	0.491	Linderung
alley	0.347	0.500	0.355	Gasse
alleyway	0.357	0.471	0.382	Gasse
alliance	0.696	0.473	0.769	Allianz
allied	0.714	0.245	0.642	verbündet
alligator	0.354	0.704	0.645	Alligator
allocate	0.673	0.462	0.672	zuordnen
allocation	0.604	0.388	0.679	Zuweisung
allot	0.622	0.481	0.616	zuteilen
allotment	0.600	0.390	0.640	Zuteilung
allow	0.698	0.429	0.538	ermöglichen
allowable	0.698	0.500	0.561	zulässig
allowance	0.673	0.382	0.591	Beihilfe
allowed	0.730	0.360	0.655	erlaubt
alloy	0.583	0.443	0.593	Legierung
allsmiles	0.786	0.528	0.430	allelächeln
allure	0.804	0.585	0.686	locken
alluring	0.837	0.745	0.843	verlockend
allusion	0.440	0.308	0.462	Anspielung
alluvial	0.323	0.490	0.491	alluvial
ally	0.792	0.320	0.688	Verbündete
almanac	0.688	0.190	0.412	Almanach
almighty	0.938	0.874	0.958	allmächtig
almond	0.698	0.183	0.314	Mandel
aloft	0.771	0.373	0.700	oben
aloha	0.698	0.440	0.441	Aha
alone	0.333	0.167	0.216	allein
alongside	0.458	0.333	0.347	neben
aloof	0.189	0.423	0.302	distanziert
aloud	0.458	0.713	0.750	laut
alpha	0.708	0.340	0.755	Alpha
alphabet	0.562	0.204	0.672	Alphabet
alphabetical	0.537	0.296	0.535	alphabetisch
alpine	0.594	0.337	0.474	alpin
alreadyyyyy	0.592	0.717	0.351	schonyyyy
altar	0.724	0.387	0.635	Altar
altar boy	0.434	0.206	0.350	Messdiener
alter	0.333	0.694	0.654	ändern
alteration	0.167	0.798	0.609	Änderung
altercation	0.170	0.806	0.500	Auseinandersetzung
altered	0.255	0.765	0.500	verändert
alternate	0.625	0.363	0.589	wechseln
alternating	0.480	0.494	0.542	abwechselnd
alternative	0.628	0.373	0.631	Alternative
altimeter	0.615	0.510	0.580	Höhenmesser
altitude	0.708	0.482	0.736	Höhe
alto	0.656	0.404	0.730	Alt
altogether	0.833	0.324	0.644	insgesamt
aluminum	0.449	0.280	0.434	Aluminium
alumnus	0.633	0.368	0.422	Absolvent
alveolar	0.469	0.481	0.367	Alveolar
alzheimers	0.194	0.518	0.319	Alzheimer
amalgam	0.438	0.333	0.510	Amalgam
amalgamation	0.406	0.470	0.531	Verschmelzung
amaretto	0.543	0.551	0.375	Amaretto
amass	0.552	0.465	0.465	anhäufen
amateur	0.469	0.500	0.409	Amateur
amaze	0.896	0.843	0.783	erstaunen
amazed	0.796	0.779	0.533	erstaunt
amazedness	0.827	0.872	0.510	Erstaunen
amazement	0.750	0.800	0.639	Staunen
amazing	0.906	0.837	0.849	toll
amazingly	0.918	0.765	0.920	erstaunlich
ambassador	0.651	0.529	0.917	Botschafter
amber	0.635	0.308	0.369	Bernstein
ambience	0.735	0.356	0.426	Ambiente
ambient	0.625	0.360	0.582	Umgebungs
ambiguity	0.164	0.460	0.370	Mehrdeutigkeit
ambiguous	0.265	0.462	0.358	zweideutig
ambit	0.479	0.380	0.386	Bereich
ambition	0.510	0.804	0.661	Ehrgeiz
ambitious	0.484	0.821	0.717	ehrgeizig
ambivalent	0.510	0.404	0.482	ambivalent
ambrosia	0.571	0.452	0.480	Ambrosia
ambulance	0.500	0.750	0.609	Ambulanz
ambush	0.281	0.830	0.500	Hinterhalt
ameliorate	0.770	0.548	0.747	verbessern
amen	0.781	0.182	0.542	Amen
amenable	0.448	0.410	0.406	zugänglich
amend	0.688	0.406	0.658	ändern
amendment	0.531	0.459	0.606	Änderung
amends	0.640	0.366	0.517	ändert
amenity	0.750	0.327	0.574	Annehmlichkeit
amethyst	0.622	0.406	0.517	Amethyst
amiable	0.847	0.290	0.483	liebenswürdig
amicable	0.875	0.330	0.507	freundschaftlich
amid	0.510	0.340	0.256	inmitten
amidst	0.480	0.330	0.316	inmitten
amino	0.551	0.402	0.433	Amino
ammo	0.323	0.765	0.621	Munition
ammonia	0.292	0.587	0.409	Ammoniak
ammonium	0.354	0.396	0.368	Ammonium
ammunition	0.338	0.635	0.667	Munition
amnesia	0.296	0.330	0.308	Amnesie
amnesty	0.551	0.451	0.814	Amnestie
amorous	0.844	0.670	0.636	verliebt
amorphous	0.327	0.402	0.349	amorph
amortization	0.592	0.491	0.522	Amortisation
amount	0.562	0.422	0.649	Menge
amour	0.865	0.480	0.652	Liebe
amp	0.439	0.393	0.375	Ampere
ampersand	0.480	0.448	0.483	Et-Zeichen
amphetamines	0.133	0.667	0.526	Amphetamine
amphibian	0.427	0.357	0.474	Amphibie
amphibious	0.479	0.346	0.445	amphibisch
amphitheater	0.653	0.480	0.545	Amphitheater
ample	0.744	0.349	0.719	reichlich
amplification	0.690	0.677	0.810	Verstärkung
amplify	0.677	0.735	0.827	verstärken
amplitude	0.694	0.439	0.692	Amplitude
amply	0.781	0.431	0.766	reichlich
amputate	0.092	0.660	0.509	amputieren
amputation	0.100	0.755	0.483	Amputation
amuck	0.385	0.602	0.321	Amok
amulet	0.781	0.260	0.630	Amulett
amuse	0.812	0.684	0.664	amüsieren
amused	0.942	0.847	0.596	amüsiert
amusement	0.929	0.837	0.803	Amüsement
amusing	0.960	0.829	0.632	lustig
ana	0.541	0.300	0.314	Ana
anaconda	0.146	0.830	0.540	Anakonda
anaesthesia	0.350	0.217	0.473	Anästhesie
anaesthetic	0.449	0.268	0.509	Narkose
anagram	0.552	0.327	0.449	Anagramm
