English Word	Valence	Arousal	Dominance	Latvian Word
achy	0.167	0.840	0.373	sāpīgs
acid	0.265	0.642	0.566	skābe
acidity	0.156	0.663	0.360	skābums
acknowledge	0.786	0.370	0.661	atzīt
acknowledged	0.714	0.443	0.765	atzina
acknowledgement	0.819	0.539	0.830	atzinība
acknowledgment	0.796	0.528	0.777	atzinība
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	pinnes
acorn	0.448	0.198	0.192	ozolzīle
acoustic	0.542	0.462	0.536	akustiskā
acoustics	0.611	0.330	0.509	akustika
acquaint	0.646	0.491	0.639	iepazīties
acquaintance	0.656	0.290	0.670	iepazīšanās
acquainted	0.906	0.358	0.632	iepazinies
acquiescence	0.542	0.480	0.554	piekrišanu
acquire	0.833	0.468	0.700	iegūt
acquiring	0.735	0.510	0.817	iegūstot
acquisition	0.698	0.509	0.736	iegūšana
acquisitions	0.773	0.660	0.790	iegādes
acquit	0.583	0.571	0.611	attaisnot
acquittal	0.760	0.497	0.700	attaisnojošs spriedums
acre	0.583	0.387	0.423	akrs
acreage	0.741	0.450	0.528	platību
acres	0.510	0.363	0.500	akriem
acrobat	0.708	0.828	0.602	akrobāts
acrylic	0.582	0.279	0.420	akrils
act	0.656	0.704	0.735	tēlot
acting	0.698	0.643	0.500	aktiermāksla
action	0.760	0.898	0.802	darbība
action figure	0.615	0.774	0.611	darbības figūra
actionable	0.673	0.702	0.613	apstrīdams
activate	0.764	0.650	0.806	aktivizēt
activation	0.781	0.800	0.754	aktivizēšana
active	0.847	0.730	0.731	aktīvs
activist	0.531	0.653	0.877	aktīvists
activity	0.701	0.660	0.807	aktivitāte
actor	0.653	0.561	0.629	aktieris
actress	0.633	0.556	0.596	aktrise
actual	0.729	0.400	0.716	faktiskais
actuality	0.750	0.464	0.600	aktualitāte
actuary	0.510	0.404	0.491	aktuārs
acuity	0.469	0.378	0.741	asums
acumen	0.564	0.660	0.679	asprātība
acupuncture	0.531	0.324	0.549	akupunktūra
acute	0.427	0.652	0.534	akūts
acutely	0.417	0.543	0.491	akūti
ad	0.521	0.705	0.558	reklāma
adage	0.517	0.415	0.566	sakāmvārds
adamant	0.344	0.529	0.575	nelokāms
adapt	0.740	0.355	0.551	pielāgoties
adaptable	0.735	0.423	0.641	pielāgojams
adaptation	0.663	0.365	0.609	pielāgošanās
add	0.728	0.490	0.554	pievienot
added	0.562	0.405	0.509	pievienots
addendum	0.392	0.370	0.418	papildinājums
adder	0.388	0.461	0.588	papildinātājs
addict	0.075	0.696	0.327	atkarīgais
addicted	0.156	0.712	0.483	atkarīgs
addiction	0.180	0.806	0.420	atkarība
addictive	0.302	0.683	0.472	atkarību
addition	0.562	0.373	0.471	papildinājums
additional	0.673	0.462	0.526	papildu
additive	0.561	0.633	0.691	piedeva
address	0.650	0.327	0.567	adrese
addressee	0.622	0.382	0.538	adresāts
addresses	0.510	0.354	0.450	adreses
adept	0.594	0.539	0.789	lietpratējs
adequacy	0.615	0.435	0.702	atbilstība
adequate	0.854	0.264	0.705	adekvāti
adhere	0.633	0.339	0.554	pieturēties
adherence	0.760	0.307	0.630	ievērošanu
adherent	0.561	0.385	0.555	pieķērušies
adhering	0.612	0.561	0.537	pieturoties
adhesion	0.521	0.445	0.586	saķere
adhesive	0.604	0.350	0.413	līmi
adieu	0.250	0.471	0.342	adieu
adipose	0.333	0.350	0.391	taukains
adjacency	0.365	0.417	0.375	blakus
adjacent	0.645	0.276	0.536	blakus
adjective	0.570	0.316	0.569	īpašības vārds
adjoining	0.520	0.400	0.393	blakus
adjourn	0.385	0.456	0.475	atlikt
adjournment	0.438	0.510	0.370	atlikšana
adjudicate	0.559	0.520	0.683	spriest
adjudication	0.551	0.462	0.691	spriedumu
adjunct	0.459	0.440	0.426	papildinājums
adjust	0.647	0.327	0.638	pielāgot
adjuster	0.510	0.540	0.760	regulētājs
adjustment	0.590	0.520	0.661	regulēšana
adjuvant	0.510	0.500	0.456	adjuvants
admin	0.688	0.420	0.854	admin
administer	0.635	0.425	0.860	administrēt
administration	0.625	0.404	0.786	administrācija
administrative	0.542	0.415	0.579	administratīvā
administrator	0.538	0.480	0.902	administrators
admirable	0.929	0.600	0.870	apbrīnas vērts
admiral	0.844	0.490	0.847	admirālis
admiralty	0.594	0.547	0.733	admiralitāte
admiration	0.969	0.583	0.726	apbrīnu
admire	0.867	0.692	0.704	apbrīnot
admired	0.917	0.560	0.815	apbrīnot
admirer	0.796	0.720	0.650	cienītājs
admiring	0.867	0.578	0.629	apbrīnojot
admissibility	0.802	0.580	0.602	pieļaujamību
admissible	0.780	0.528	0.642	pieļaujama
admission	0.802	0.415	0.732	uzņemšana
admit	0.538	0.423	0.667	atzīties
admittance	0.690	0.451	0.598	uzņemšana
admitted	0.720	0.490	0.767	atzina
admitting	0.620	0.500	0.546	atzīstot
admixture	0.450	0.375	0.438	piemaisījums
admonition	0.357	0.606	0.455	brīdinājums
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	Adobe
adolescence	0.487	0.694	0.444	pusaudža gados
adolescent	0.781	0.680	0.509	pusaudzis
adopt	0.694	0.612	0.701	adoptēt
adoption	0.625	0.566	0.589	adopcija
adoptive	0.531	0.469	0.520	adoptētājs
adorable	0.969	0.519	0.457	burvīgs
adoration	0.885	0.699	0.708	pielūgsme
adore	0.854	0.438	0.657	dievinu
adoring	0.885	0.620	0.717	dievinot
adorn	0.910	0.424	0.482	izgreznot
adornment	0.918	0.373	0.377	rota
adrenalin	0.865	0.920	0.786	adrenalīns
adrenaline	0.765	0.965	0.825	adrenalīns
adrift	0.398	0.486	0.230	dreifēt
adult	0.815	0.491	0.787	pieaugušais
adulterated	0.188	0.865	0.370	viltots
adulterer	0.229	0.814	0.407	laulības pārkāpējs
adultery	0.120	0.922	0.510	laulības pārkāpšana
adulthood	0.541	0.454	0.652	pilngadība
advance	0.673	0.472	0.858	iepriekš
advanced	0.844	0.623	0.797	uzlabotas
advancement	0.776	0.650	0.839	attīstība
advancing	0.929	0.608	0.812	virzās uz priekšu
advantage	0.917	0.548	0.859	priekšrocība
advantageous	0.837	0.640	0.789	izdevīgi
advent	0.665	0.560	0.627	advente
adventure	0.917	0.857	0.710	piedzīvojums
adventurer	0.781	0.839	0.868	piedzīvojumu meklētājs
adventures	0.812	0.764	0.749	piedzīvojumi
adventurous	0.969	0.898	0.722	piedzīvojumu kārs
adversary	0.349	0.777	0.457	pretinieks
adverse	0.323	0.610	0.385	nelabvēlīgs
adversity	0.276	0.760	0.538	likstas
advertise	0.500	0.529	0.580	reklamēt
advertisement	0.600	0.566	0.539	reklāma
advertising	0.622	0.608	0.632	reklāma
adverts	0.551	0.500	0.595	sludinājumi
advice	0.698	0.408	0.688	padoms
advisable	0.867	0.480	0.510	ieteicams
advise	0.760	0.393	0.705	padomu
advised	0.823	0.330	0.509	ieteica
advisement	0.698	0.235	0.655	padomu
adviser	0.745	0.362	0.705	padomnieks
advisor	0.646	0.350	0.689	padomnieks
advisory	0.656	0.429	0.633	padomdevēja
advocacy	0.500	0.646	0.731	aizstāvība
advocate	0.551	0.530	0.818	advokāts
aegis	0.490	0.439	0.462	egis
aeration	0.550	0.500	0.433	aerācija
aerial	0.615	0.461	0.463	gaisa
aerobics	0.708	0.771	0.627	aerobika
aerodrome	0.541	0.740	0.678	lidlauks
aerodynamic	0.561	0.724	0.728	aerodinamiskā
aerodynamics	0.590	0.663	0.722	aerodinamika
aeronautics	0.551	0.633	0.688	aeronautika
aeroplane	0.714	0.642	0.644	lidmašīna
aerospace	0.643	0.520	0.779	aviācija
aesthetic	0.708	0.442	0.526	estētiska
aesthetics	0.847	0.327	0.549	estētika
aetiology	0.480	0.398	0.615	etioloģija
afar	0.396	0.373	0.358	tālu
affable	0.704	0.380	0.452	laipns
affair	0.520	0.459	0.657	afēra
affect	0.458	0.569	0.578	ietekmēt
affecting	0.350	0.574	0.394	ietekmējot
affection	0.898	0.559	0.696	pieķeršanās
affectionate	0.949	0.422	0.550	sirsnīgs
affections	0.760	0.547	0.655	pieķeršanās
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	apliecinājums
affiliated	0.673	0.519	0.535	saistīts
affiliation	0.615	0.594	0.500	piederība
affinity	0.800	0.500	0.537	afinitāte
affirm	0.745	0.509	0.731	apliecināt
affirmation	0.750	0.500	0.689	apstiprinājums
affirmative	0.854	0.589	0.816	apstiprinošs
affirmatively	0.908	0.500	0.811	apstiprinoši
affix	0.438	0.335	0.411	piestiprināt
afflict	0.302	0.555	0.293	nomocīt
afflicted	0.271	0.500	0.167	nomocīts
affliction	0.294	0.635	0.392	ciešanas
affluence	0.663	0.618	0.722	pārticība
affluent	0.756	0.388	0.477	pārtikušais
afford	0.571	0.580	0.575	atļauties
affordable	0.840	0.398	0.493	par pieņemamu cenu
affront	0.327	0.740	0.547	aizvainojoši
affronted	0.385	0.750	0.527	aizvainots
afield	0.594	0.370	0.373	laukā
afire	0.367	0.904	0.675	uguns
afloat	0.602	0.427	0.444	virs ūdens
afore	0.500	0.337	0.382	iepriekš
aforementioned	0.490	0.316	0.408	iepriekšminēto
aforesaid	0.531	0.358	0.478	iepriekš minēto
afraid	0.010	0.775	0.245	bail
afresh	0.643	0.521	0.480	no jauna
aft	0.480	0.417	0.518	pakaļgals
afterlife	0.571	0.567	0.568	pēcnāves dzīve
aftermath	0.312	0.449	0.444	sekas
afternoon	0.533	0.388	0.339	pēcpusdiena
aftershave	0.406	0.384	0.415	pēcskūšanās līdzeklis
aftertaste	0.354	0.362	0.455	pēcgarša
afterthought	0.396	0.392	0.349	pēcpārdomas
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	ahāts
age	0.561	0.226	0.498	vecums
aged	0.135	0.365	0.236	vecumā
agency	0.460	0.296	0.583	aģentūra
agenda	0.531	0.296	0.553	darba kārtība
agent	0.480	0.439	0.755	aģents
agglomeration	0.450	0.765	0.509	aglomerācija
aggravate	0.224	0.770	0.464	saasināt
aggravated	0.079	0.760	0.430	saasināts
aggravates	0.108	0.778	0.357	saasina
aggravating	0.257	0.794	0.640	pastiprinoši
aggravation	0.071	0.784	0.613	saasināšanās
aggregate	0.730	0.378	0.556	agregāts
aggregation	0.583	0.517	0.694	apkopošana
aggresive	0.059	0.971	0.639	agresīvs
aggression	0.094	0.929	0.533	agresija
aggressive	0.125	0.949	0.648	agresīvs
aggressively	0.250	0.926	0.688	agresīvi
aggressiveness	0.077	0.913	0.648	agresivitāte
aggressor	0.146	0.948	0.823	agresors
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	satriekts
aghhh	0.281	0.635	0.243	aghhh
agile	0.800	0.657	0.775	veikls
agility	0.720	0.702	0.815	veiklība
aging	0.214	0.255	0.284	novecošanās
agitate	0.300	0.796	0.593	aģitēt
agitated	0.444	0.882	0.491	satraukts
agitation	0.240	0.931	0.447	satraukums
aglow	0.780	0.510	0.797	spīdēt
agnostic	0.306	0.396	0.574	agnostiķis
ago	0.317	0.280	0.404	pirms
agonizing	0.083	0.800	0.340	mokoša
agony	0.083	0.775	0.393	agonija
agoraphobia	0.127	0.712	0.438	agorafobija
agree	0.906	0.260	0.545	piekrītu
agreeable	0.906	0.500	0.696	patīkami
agreed	0.797	0.449	0.574	piekrita
agreeing	0.854	0.480	0.557	piekrītot
agreement	0.760	0.440	0.736	vienošanās
agressive	0.083	0.918	0.751	agresīvs
agricultural	0.686	0.321	0.473	lauksaimniecības
agriculture	0.640	0.357	0.465	lauksaimniecība
aground	0.333	0.340	0.445	uz sēkļa
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	uz priekšu
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhh
ahoy	0.500	0.497	0.380	ahoi
aid	0.796	0.491	0.541	palīdzību
aide	0.724	0.342	0.434	palīgs
aiding	0.643	0.533	0.569	palīdzot
aids	0.561	0.480	0.500	palīglīdzekļi
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	slims
ailment	0.146	0.734	0.277	kaite
aim	0.481	0.569	0.567	mērķis
aimless	0.150	0.267	0.183	bezmērķīgs
air	0.708	0.163	0.427	gaiss
airbag	0.510	0.402	0.433	gaisa spilvens
airborne	0.542	0.519	0.385	gaisā
aircraft	0.646	0.644	0.691	lidmašīna
aircraft carrier	0.490	0.740	0.727	gaisa kuģu pārvadātājs
airfield	0.601	0.650	0.645	lidlauks
airhead	0.271	0.481	0.276	gaisa galviņa
airlift	0.573	0.622	0.642	lidmašīnu
airline	0.650	0.482	0.688	aviokompānija
airliner	0.667	0.777	0.647	lidmašīna
airlock	0.398	0.520	0.447	gaisa slūžas
airman	0.587	0.716	0.721	lidotājs
airplane	0.719	0.702	0.708	lidmašīna
airport	0.729	0.684	0.682	lidosta
airs	0.583	0.196	0.370	gaisā
airship	0.542	0.472	0.529	dirižablis
airspace	0.562	0.510	0.640	gaisa telpa
airspeed	0.583	0.780	0.544	gaisa ātrums
airstrip	0.550	0.690	0.649	lidlauks
airtight	0.479	0.381	0.570	hermētisks
airway	0.638	0.585	0.482	elpceļu
aisle	0.438	0.222	0.283	eja
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	pusloka
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	līdzīgs
alabaster	0.542	0.404	0.445	alabastrs
alarm	0.241	0.882	0.698	modinātājs
alarm clock	0.542	0.727	0.642	modinātājs
alarmed	0.188	0.822	0.492	satraukts
alarming	0.204	0.890	0.585	satraucoši
alas	0.571	0.310	0.279	diemžēl
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatross
albino	0.500	0.240	0.358	albīns
album	0.635	0.349	0.453	albums
alchemy	0.541	0.583	0.693	alķīmija
alcohol	0.323	0.667	0.377	alkohols
alcoholic	0.153	0.688	0.361	alkoholiķis
alcoholism	0.061	0.779	0.407	alkoholisms
alcove	0.490	0.340	0.356	nišā
alderman	0.550	0.459	0.691	aldermanis
ale	0.530	0.450	0.358	aliņš
alert	0.479	0.820	0.648	brīdinājums
alertness	0.375	0.875	0.750	modrība
alerts	0.337	0.804	0.673	brīdinājumus
alfalfa	0.546	0.250	0.311	lucerna
algebra	0.440	0.340	0.565	algebra
algebraic	0.531	0.412	0.441	algebriskā
algorithm	0.448	0.394	0.559	algoritms
alias	0.541	0.353	0.333	aizstājvārds
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	citplanētietis
alienate	0.247	0.500	0.523	atsvešināt
alienated	0.410	0.423	0.559	atsvešināts
alienation	0.378	0.530	0.462	atsvešināšanās
alight	0.667	0.657	0.605	aizdegties
align	0.656	0.364	0.627	izlīdzināt
aligned	0.583	0.275	0.553	izlīdzinātas
alignment	0.643	0.412	0.683	izlīdzināšana
alike	0.653	0.173	0.444	līdzīgi
alimentation	0.781	0.551	0.602	ēdināšana
alimony	0.612	0.477	0.464	alimenti
aliquot	0.440	0.310	0.404	alikvota daļa
alive	0.816	0.637	0.731	dzīvs
alkali	0.490	0.350	0.408	sārms
alkaloids	0.433	0.562	0.402	alkaloīdi
allay	0.417	0.406	0.398	mazināt
allegation	0.578	0.578	0.608	apgalvojums
allege	0.418	0.482	0.587	apgalvot
alleged	0.365	0.522	0.520	apgalvots
allegiance	0.917	0.398	0.750	uzticību
allegorical	0.517	0.558	0.598	alegorisks
allegory	0.615	0.580	0.509	alegorija
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	alerģisks
allergy	0.296	0.606	0.389	alerģija
alleviate	0.869	0.270	0.528	atvieglot
alleviation	0.735	0.200	0.491	atvieglošana
alley	0.347	0.500	0.355	aleja
alleyway	0.357	0.471	0.382	aleja
alliance	0.696	0.473	0.769	alianse
allied	0.714	0.245	0.642	sabiedrotais
alligator	0.354	0.704	0.645	aligators
allocate	0.673	0.462	0.672	piešķirt
allocation	0.604	0.388	0.679	sadalīšana
allot	0.622	0.481	0.616	piešķirt
allotment	0.600	0.390	0.640	piešķiršana
allow	0.698	0.429	0.538	Atļaut
allowable	0.698	0.500	0.561	pieļaujama
allowance	0.673	0.382	0.591	pabalstu
allowed	0.730	0.360	0.655	atļauts
alloy	0.583	0.443	0.593	sakausējums
allsmiles	0.786	0.528	0.430	visi smaidi
allure	0.804	0.585	0.686	vilinājums
alluring	0.837	0.745	0.843	pievilcīgs
allusion	0.440	0.308	0.462	mājienu
alluvial	0.323	0.490	0.491	aluviāls
ally	0.792	0.320	0.688	sabiedrotais
almanac	0.688	0.190	0.412	almanahs
almighty	0.938	0.874	0.958	visvarenais
almond	0.698	0.183	0.314	mandeļu
aloft	0.771	0.373	0.700	augstumā
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	vienatnē
alongside	0.458	0.333	0.347	līdzās
aloof	0.189	0.423	0.302	savrup
aloud	0.458	0.713	0.750	skaļi
alpha	0.708	0.340	0.755	alfa
alphabet	0.562	0.204	0.672	alfabēts
alphabetical	0.537	0.296	0.535	alfabētiskā secībā
alpine	0.594	0.337	0.474	alpīnis
alreadyyyyy	0.592	0.717	0.351	jau yyyy
altar	0.724	0.387	0.635	altāris
altar boy	0.434	0.206	0.350	altāra zēns
alter	0.333	0.694	0.654	mainīt
alteration	0.167	0.798	0.609	izmaiņas
altercation	0.170	0.806	0.500	strīds
altered	0.255	0.765	0.500	mainīts
alternate	0.625	0.363	0.589	aizstājējs
alternating	0.480	0.494	0.542	pārmaiņus
alternative	0.628	0.373	0.631	alternatīva
altimeter	0.615	0.510	0.580	altimetrs
altitude	0.708	0.482	0.736	augstumā
alto	0.656	0.404	0.730	alts
altogether	0.833	0.324	0.644	vispār
aluminum	0.449	0.280	0.434	alumīnija
alumnus	0.633	0.368	0.422	absolvents
alveolar	0.469	0.481	0.367	alveolārais
alzheimers	0.194	0.518	0.319	alzheimers
amalgam	0.438	0.333	0.510	amalgama
amalgamation	0.406	0.470	0.531	apvienošana
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	uzkrāj
amateur	0.469	0.500	0.409	amatieris
amaze	0.896	0.843	0.783	pārsteigt
amazed	0.796	0.779	0.533	pārsteigts
amazedness	0.827	0.872	0.510	izbrīns
amazement	0.750	0.800	0.639	izbrīns
amazing	0.906	0.837	0.849	pārsteidzošs
amazingly	0.918	0.765	0.920	apbrīnojami
ambassador	0.651	0.529	0.917	vēstnieks
amber	0.635	0.308	0.369	dzintars
ambience	0.735	0.356	0.426	gaisotni
ambient	0.625	0.360	0.582	apkārtējā
ambiguity	0.164	0.460	0.370	neskaidrība
ambiguous	0.265	0.462	0.358	neviennozīmīgi
ambit	0.479	0.380	0.386	vērienu
ambition	0.510	0.804	0.661	ambīcijas
ambitious	0.484	0.821	0.717	ambiciozi
ambivalent	0.510	0.404	0.482	ambivalents
ambrosia	0.571	0.452	0.480	ambrozijs
ambulance	0.500	0.750	0.609	ātrā palīdzība
ambush	0.281	0.830	0.500	slazds
ameliorate	0.770	0.548	0.747	uzlabot
amen	0.781	0.182	0.542	āmen
amenable	0.448	0.410	0.406	pieņemams
amend	0.688	0.406	0.658	grozīt
amendment	0.531	0.459	0.606	grozījums
amends	0.640	0.366	0.517	groza
amenity	0.750	0.327	0.574	ērtībām
amethyst	0.622	0.406	0.517	ametists
amiable	0.847	0.290	0.483	draudzīgs
amicable	0.875	0.330	0.507	draudzīgs
amid	0.510	0.340	0.256	vidū
amidst	0.480	0.330	0.316	vidū
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	munīcija
ammonia	0.292	0.587	0.409	amonjaks
ammonium	0.354	0.396	0.368	amonijs
ammunition	0.338	0.635	0.667	munīcija
amnesia	0.296	0.330	0.308	amnēzija
amnesty	0.551	0.451	0.814	amnestija
amorous	0.844	0.670	0.636	mīlošs
amorphous	0.327	0.402	0.349	amorfs
amortization	0.592	0.491	0.522	amortizācija
amount	0.562	0.422	0.649	summa
amour	0.865	0.480	0.652	mīlestība
amp	0.439	0.393	0.375	amp
ampersand	0.480	0.448	0.483	& 
amphetamines	0.133	0.667	0.526	amfetamīni
amphibian	0.427	0.357	0.474	abinieks
amphibious	0.479	0.346	0.445	amfībijas
amphitheater	0.653	0.480	0.545	amfiteātris
ample	0.744	0.349	0.719	pietiekami daudz
amplification	0.690	0.677	0.810	pastiprināšana
amplify	0.677	0.735	0.827	paplašināt
amplitude	0.694	0.439	0.692	amplitūda
amply	0.781	0.431	0.766	plaši
amputate	0.092	0.660	0.509	amputēt
amputation	0.100	0.755	0.483	amputācija
amuck	0.385	0.602	0.321	apmulsums
amulet	0.781	0.260	0.630	amulets
amuse	0.812	0.684	0.664	uzjautrināt
amused	0.942	0.847	0.596	uzjautrināts
amusement	0.929	0.837	0.803	izpriecas
amusing	0.960	0.829	0.632	uzjautrinoši
ana	0.541	0.300	0.314	ana
anaconda	0.146	0.830	0.540	anakonda
