English Word	Valence	Arousal	Dominance	Turkmen Word
achieved	0.896	0.519	0.775	gazanyldy
achievement	0.896	0.808	0.759	üstünlik
aching	0.053	0.880	0.348	agyry
achy	0.167	0.840	0.373	agyry
acid	0.265	0.642	0.566	kislotasy
acidity	0.156	0.663	0.360	turşulygy
acknowledge	0.786	0.370	0.661	ykrar et
acknowledged	0.714	0.443	0.765	ykrar edildi
acknowledgement	0.819	0.539	0.830	ykrar etmek
acknowledgment	0.796	0.528	0.777	ykrar etmek
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	düwürtik
acorn	0.448	0.198	0.192	acorn
acoustic	0.542	0.462	0.536	akustiki
acoustics	0.611	0.330	0.509	akustika
acquaint	0.646	0.491	0.639	tanyş
acquaintance	0.656	0.290	0.670	tanyş
acquainted	0.906	0.358	0.632	tanyş
acquiescence	0.542	0.480	0.554	razylyk
acquire	0.833	0.468	0.700	edin
acquiring	0.735	0.510	0.817	almak
acquisition	0.698	0.509	0.736	almak
acquisitions	0.773	0.660	0.790	gazanmak
acquit	0.583	0.571	0.611	aklamak
acquittal	0.760	0.497	0.700	aklandy
acre	0.583	0.387	0.423	akr
acreage	0.741	0.450	0.528	meýdany
acres	0.510	0.363	0.500	gektar
acrobat	0.708	0.828	0.602	akrobat
acrylic	0.582	0.279	0.420	akril
act	0.656	0.704	0.735	hereket et
acting	0.698	0.643	0.500	aktýor
action	0.760	0.898	0.802	hereket
action figure	0.615	0.774	0.611	hereket şekili
actionable	0.673	0.702	0.613	hereketli
activate	0.764	0.650	0.806	işjeňleşdir
activation	0.781	0.800	0.754	işjeňleşdirmek
active	0.847	0.730	0.731	işjeň
activist	0.531	0.653	0.877	aktiwist
activity	0.701	0.660	0.807	işjeňlik
actor	0.653	0.561	0.629	aktýor
actress	0.633	0.556	0.596	aktrisa
actual	0.729	0.400	0.716	hakyky
actuality	0.750	0.464	0.600	hakykat
actuary	0.510	0.404	0.491	aktuar
acuity	0.469	0.378	0.741	ýitilik
acumen	0.564	0.660	0.679	akum
acupuncture	0.531	0.324	0.549	akupunktura
acute	0.427	0.652	0.534	ýiti
acutely	0.417	0.543	0.491	ýiti
ad	0.521	0.705	0.558	mahabat
adage	0.517	0.415	0.566	nakyl
adamant	0.344	0.529	0.575	tutanýerli
adapt	0.740	0.355	0.551	uýgunlaşdyryň
adaptable	0.735	0.423	0.641	uýgunlaşdyrylan
adaptation	0.663	0.365	0.609	uýgunlaşma
add	0.728	0.490	0.554	goş
added	0.562	0.405	0.509	goşuldy
addendum	0.392	0.370	0.418	goşundy
adder	0.388	0.461	0.588	mahabatçy
addict	0.075	0.696	0.327	endik
addicted	0.156	0.712	0.483	endik
addiction	0.180	0.806	0.420	endik
addictive	0.302	0.683	0.472	endik
addition	0.562	0.373	0.471	goşmak
additional	0.673	0.462	0.526	goşmaça
additive	0.561	0.633	0.691	goşundy
address	0.650	0.327	0.567	salgysy
addressee	0.622	0.382	0.538	salgysy
addresses	0.510	0.354	0.450	salgylary
adept	0.594	0.539	0.789	ussat
adequacy	0.615	0.435	0.702	ýeterliklik
adequate	0.854	0.264	0.705	ýeterlik
adhere	0.633	0.339	0.554	berjaý et
adherence	0.760	0.307	0.630	berjaý etmek
adherent	0.561	0.385	0.555	eýeriji
adhering	0.612	0.561	0.537	berjaý etmek
adhesion	0.521	0.445	0.586	ýelmeşmek
adhesive	0.604	0.350	0.413	ýelim
adieu	0.250	0.471	0.342	adieu
adipose	0.333	0.350	0.391	adipose
adjacency	0.365	0.417	0.375	ýanaşyk
adjacent	0.645	0.276	0.536	ýanaşyk
adjective	0.570	0.316	0.569	sypat
adjoining	0.520	0.400	0.393	ýanaşyk
adjourn	0.385	0.456	0.475	yza süýşürmek
adjournment	0.438	0.510	0.370	yza süýşürmek
adjudicate	0.559	0.520	0.683	höküm çykarmak
adjudication	0.551	0.462	0.691	kazyýet işi
adjunct	0.459	0.440	0.426	sazlaýjy
adjust	0.647	0.327	0.638	sazlaň
adjuster	0.510	0.540	0.760	sazlaýjy
adjustment	0.590	0.520	0.661	sazlamak
adjuvant	0.510	0.500	0.456	sazlaýjy
admin	0.688	0.420	0.854	admin
administer	0.635	0.425	0.860	dolandyryjy
administration	0.625	0.404	0.786	dolandyryş
administrative	0.542	0.415	0.579	administratiw
administrator	0.538	0.480	0.902	administrator
admirable	0.929	0.600	0.870	haýran galdyryjy
admiral	0.844	0.490	0.847	admiral
admiralty	0.594	0.547	0.733	admiralty
admiration	0.969	0.583	0.726	haýran galmak
admire	0.867	0.692	0.704	haýran gal
admired	0.917	0.560	0.815	haýran galdy
admirer	0.796	0.720	0.650	muşdak
admiring	0.867	0.578	0.629	haýran galmak
admissibility	0.802	0.580	0.602	kabul edilip bilner
admissible	0.780	0.528	0.642	kabul ederliklidir
admission	0.802	0.415	0.732	giriş
admit	0.538	0.423	0.667	boýun al
admittance	0.690	0.451	0.598	giriş
admitted	0.720	0.490	0.767	kabul etdi
admitting	0.620	0.500	0.546	boýun alýar
admixture	0.450	0.375	0.438	goşulma
admonition	0.357	0.606	0.455	öwüt
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	ýetginjeklik
adolescent	0.781	0.680	0.509	ýetginjek
adopt	0.694	0.612	0.701	ogullyga almak
adoption	0.625	0.566	0.589	ogullyga almak
adoptive	0.531	0.469	0.520	ogullyga alýan
adorable	0.969	0.519	0.457	bezeg
adoration	0.885	0.699	0.708	sejde
adore	0.854	0.438	0.657	seorede etmek
adoring	0.885	0.620	0.717	sejde etmek
adorn	0.910	0.424	0.482	bezemek
adornment	0.918	0.373	0.377	bezeg
adrenalin	0.865	0.920	0.786	adrenalin
adrenaline	0.765	0.965	0.825	adrenalin
adrift	0.398	0.486	0.230	adrift
adult	0.815	0.491	0.787	uly ýaşly
adulterated	0.188	0.865	0.370	zyna
adulterer	0.229	0.814	0.407	zynahor
adultery	0.120	0.922	0.510	zyna
adulthood	0.541	0.454	0.652	ululyk
advance	0.673	0.472	0.858	öňe gitmek
advanced	0.844	0.623	0.797	ösen
advancement	0.776	0.650	0.839	öňe gidişlik
advancing	0.929	0.608	0.812	öňe gitmek
advantage	0.917	0.548	0.859	artykmaçlygy
advantageous	0.837	0.640	0.789	peýdalydyr
advent	0.665	0.560	0.627	gelmegi
adventure	0.917	0.857	0.710	başdan geçirmeler
adventurer	0.781	0.839	0.868	başdangeçiriji
adventures	0.812	0.764	0.749	başdan geçirmeler
adventurous	0.969	0.898	0.722	başdan geçirmeler
adversary	0.349	0.777	0.457	garşydaş
adverse	0.323	0.610	0.385	ýaramaz
adversity	0.276	0.760	0.538	kynçylyklar
advertise	0.500	0.529	0.580	mahabat ber
advertisement	0.600	0.566	0.539	mahabat
advertising	0.622	0.608	0.632	mahabat
adverts	0.551	0.500	0.595	mahabat
advice	0.698	0.408	0.688	maslahat
advisable	0.867	0.480	0.510	maslahat berilýär
advise	0.760	0.393	0.705	maslahat ber
advised	0.823	0.330	0.509	maslahat berdi
advisement	0.698	0.235	0.655	maslahat bermek
adviser	0.745	0.362	0.705	geňeşçisi
advisor	0.646	0.350	0.689	geňeşçisi
advisory	0.656	0.429	0.633	maslahat beriji
advocacy	0.500	0.646	0.731	wagyz etmek
advocate	0.551	0.530	0.818	aklawçy
aegis	0.490	0.439	0.462	aegis
aeration	0.550	0.500	0.433	aerasiýa
aerial	0.615	0.461	0.463	howa
aerobics	0.708	0.771	0.627	aerobika
aerodrome	0.541	0.740	0.678	aerodrom
aerodynamic	0.561	0.724	0.728	aerodinamik
aerodynamics	0.590	0.663	0.722	aerodinamika
aeronautics	0.551	0.633	0.688	awiasiýa
aeroplane	0.714	0.642	0.644	uçar
aerospace	0.643	0.520	0.779	howa giňişligi
aesthetic	0.708	0.442	0.526	estetiki
aesthetics	0.847	0.327	0.549	estetika
aetiology	0.480	0.398	0.615	etiologiýa
afar	0.396	0.373	0.358	uzakda
affable	0.704	0.380	0.452	mähirli
affair	0.520	0.459	0.657	iş
affect	0.458	0.569	0.578	täsir edýär
affecting	0.350	0.574	0.394	täsir edýär
affection	0.898	0.559	0.696	mähir
affectionate	0.949	0.422	0.550	mähirli
affections	0.760	0.547	0.655	mähir
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	kepilnama
affiliated	0.673	0.519	0.535	dahylly
affiliation	0.615	0.594	0.500	degişliligi
affinity	0.800	0.500	0.537	ýakynlyk
affirm	0.745	0.509	0.731	tassykla
affirmation	0.750	0.500	0.689	tassyklama
affirmative	0.854	0.589	0.816	tassyklaýjy
affirmatively	0.908	0.500	0.811	tassyklaýan
affix	0.438	0.335	0.411	affiksi
afflict	0.302	0.555	0.293	jebir çekmek
afflicted	0.271	0.500	0.167	jebir çekýär
affliction	0.294	0.635	0.392	görgi
affluence	0.663	0.618	0.722	baýlyk
affluent	0.756	0.388	0.477	baý
afford	0.571	0.580	0.575	elýeterli
affordable	0.840	0.398	0.493	elýeterli
affront	0.327	0.740	0.547	garşy çykmak
affronted	0.385	0.750	0.527	garşy
afield	0.594	0.370	0.373	meýdançada
afire	0.367	0.904	0.675	ot
afloat	0.602	0.427	0.444	deňizde
afore	0.500	0.337	0.382	ýokarda
aforementioned	0.490	0.316	0.408	ýokarda agzalyp geçilýär
aforesaid	0.531	0.358	0.478	ýokarda aýdylýar
afraid	0.010	0.775	0.245	gorkýar
afresh	0.643	0.521	0.480	täzeden
aft	0.480	0.417	0.518	aft
afterlife	0.571	0.567	0.568	ahyret durmuşy
aftermath	0.312	0.449	0.444	netijesi
afternoon	0.533	0.388	0.339	günortan
aftershave	0.406	0.384	0.415	ýer titremesi
aftertaste	0.354	0.362	0.455	soňundan
afterthought	0.396	0.392	0.349	soňundan
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	agate
age	0.561	0.226	0.498	ýaşy
aged	0.135	0.365	0.236	garry
agency	0.460	0.296	0.583	gullugy
agenda	0.531	0.296	0.553	gün tertibi
agent	0.480	0.439	0.755	agent
agglomeration	0.450	0.765	0.509	aglomerasiýa
aggravate	0.224	0.770	0.464	agyrlaşdyrýar
aggravated	0.079	0.760	0.430	agyrlaşdy
aggravates	0.108	0.778	0.357	agyrlaşdyrýar
aggravating	0.257	0.794	0.640	agyrlaşdyrýar
aggravation	0.071	0.784	0.613	agyrlaşdyrmak
aggregate	0.730	0.378	0.556	jemi
aggregation	0.583	0.517	0.694	jemlemek
aggresive	0.059	0.971	0.639	agressiw
aggression	0.094	0.929	0.533	agressiýa
aggressive	0.125	0.949	0.648	agressiw
aggressively	0.250	0.926	0.688	agressiw
aggressiveness	0.077	0.913	0.648	agressiwlik
aggressor	0.146	0.948	0.823	agressor
agh	0.260	0.500	0.400	ag
aghast	0.133	0.865	0.464	aghast
aghhh	0.281	0.635	0.243	aghh
agile	0.800	0.657	0.775	çeýe
agility	0.720	0.702	0.815	çeýeligi
aging	0.214	0.255	0.284	garramak
agitate	0.300	0.796	0.593	agitasiýa
agitated	0.444	0.882	0.491	gaharlandy
agitation	0.240	0.931	0.447	agitasiýa
aglow	0.780	0.510	0.797	aglow
agnostic	0.306	0.396	0.574	agnostik
ago	0.317	0.280	0.404	ozal
agonizing	0.083	0.800	0.340	gynandyryjy
agony	0.083	0.775	0.393	agyry
agoraphobia	0.127	0.712	0.438	agorafobiýa
agree	0.906	0.260	0.545	razy
agreeable	0.906	0.500	0.696	razy
agreed	0.797	0.449	0.574	razy boldular
agreeing	0.854	0.480	0.557	razy
agreement	0.760	0.440	0.736	şertnamasy
agressive	0.083	0.918	0.751	agressiw
agricultural	0.686	0.321	0.473	oba hojalygy
agriculture	0.640	0.357	0.465	oba hojalygy
aground	0.333	0.340	0.445	aground
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	öňde
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhh
ahoy	0.500	0.497	0.380	aho
aid	0.796	0.491	0.541	kömek
aide	0.724	0.342	0.434	kömekçisi
aiding	0.643	0.533	0.569	kömek etmek
aids	0.561	0.480	0.500	kömekçi enjamlar
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	näsag
ailment	0.146	0.734	0.277	kesel
aim	0.481	0.569	0.567	maksat
aimless	0.150	0.267	0.183	maksatsyz
air	0.708	0.163	0.427	howa
airbag	0.510	0.402	0.433	howpsuzlyk howa ýassygy
airborne	0.542	0.519	0.385	howa arkaly
aircraft	0.646	0.644	0.691	uçar
aircraft carrier	0.490	0.740	0.727	uçar göterijisi
airfield	0.601	0.650	0.645	howa meýdançasy
airhead	0.271	0.481	0.276	howa kellesi
airlift	0.573	0.622	0.642	uçar
airline	0.650	0.482	0.688	awiakompaniýasy
airliner	0.667	0.777	0.647	uçar
airlock	0.398	0.520	0.447	howa gämisi
airman	0.587	0.716	0.721	uçarman
airplane	0.719	0.702	0.708	uçar
airport	0.729	0.684	0.682	howa menzili
airs	0.583	0.196	0.370	howa
airship	0.542	0.472	0.529	dirishipabl
airspace	0.562	0.510	0.640	howa giňişligi
airspeed	0.583	0.780	0.544	howa giňişligi
airstrip	0.550	0.690	0.649	howa zolagy
airtight	0.479	0.381	0.570	howa geçirijiligi
airway	0.638	0.585	0.482	howa ýoly
aisle	0.438	0.222	0.283	geçelge
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	ajar
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	akin
alabaster	0.542	0.404	0.445	alabaster
alarm	0.241	0.882	0.698	duýduryş
alarm clock	0.542	0.727	0.642	jaň sagady
alarmed	0.188	0.822	0.492	howsala düşdi
alarming	0.204	0.890	0.585	aladalandyryjy
alas	0.571	0.310	0.279	gynansakda
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatros
albino	0.500	0.240	0.358	albino
album	0.635	0.349	0.453	albom
alchemy	0.541	0.583	0.693	alhimiýa
alcohol	0.323	0.667	0.377	alkogol
alcoholic	0.153	0.688	0.361	alkogolly
alcoholism	0.061	0.779	0.407	arakhorluk
alcove	0.490	0.340	0.356	alkow
alderman	0.550	0.459	0.691	alderman
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	hüşgär
alertness	0.375	0.875	0.750	hüşgärlik
alerts	0.337	0.804	0.673	duýduryşlary
alfalfa	0.546	0.250	0.311	ýorunja
algebra	0.440	0.340	0.565	algebra
algebraic	0.531	0.412	0.441	algebraik
algorithm	0.448	0.394	0.559	algoritmi
alias	0.541	0.353	0.333	lakam
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	keseki
alienate	0.247	0.500	0.523	keseki
alienated	0.410	0.423	0.559	keseki
alienation	0.378	0.530	0.462	keseki bolmak
alight	0.667	0.657	0.605	al
align	0.656	0.364	0.627	deňleşdirmek
aligned	0.583	0.275	0.553	deňleşdirildi
alignment	0.643	0.412	0.683	deňleşdirmek
alike	0.653	0.173	0.444	birmeňzeş
alimentation	0.781	0.551	0.602	alimentasiýa
alimony	0.612	0.477	0.464	aliment
aliquot	0.440	0.310	0.404	alikot
alive	0.816	0.637	0.731	diri
alkali	0.490	0.350	0.408	aşgar
alkaloids	0.433	0.562	0.402	alkaloidler
allay	0.417	0.406	0.398	alla
allegation	0.578	0.578	0.608	aýyplama
allege	0.418	0.482	0.587	aýyplama
alleged	0.365	0.522	0.520	öňe sürülýär
allegiance	0.917	0.398	0.750	wepalylyk
allegorical	0.517	0.558	0.598	göçme manyda
allegory	0.615	0.580	0.509	göçme many
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	allergiki
allergy	0.296	0.606	0.389	allergiýa
alleviate	0.869	0.270	0.528	ýeňilleşdirmek
alleviation	0.735	0.200	0.491	ýeňilleşdirmek
alley	0.347	0.500	0.355	seýilgäh
alleyway	0.357	0.471	0.382	alleýa
alliance	0.696	0.473	0.769	bileleşik
allied	0.714	0.245	0.642	soýuzdaş
alligator	0.354	0.704	0.645	alligator
allocate	0.673	0.462	0.672	bölüň
allocation	0.604	0.388	0.679	bölmek
allot	0.622	0.481	0.616	paýla
allotment	0.600	0.390	0.640	paýlamak
allow	0.698	0.429	0.538	rugsat beriň
allowable	0.698	0.500	0.561	rugsat berilýär
allowance	0.673	0.382	0.591	kömek pullary
allowed	0.730	0.360	0.655	rugsat berildi
alloy	0.583	0.443	0.593	garyndy
allsmiles	0.786	0.528	0.430	allsmiles
allure	0.804	0.585	0.686	allure
alluring	0.837	0.745	0.843	özüne çekiji
allusion	0.440	0.308	0.462	alýuziýa
alluvial	0.323	0.490	0.491	alýuwial
ally	0.792	0.320	0.688	soýuzdaş
almanac	0.688	0.190	0.412	almanak
almighty	0.938	0.874	0.958	gudratygüýçli
almond	0.698	0.183	0.314	badam
aloft	0.771	0.373	0.700	aloft
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	ýeke
alongside	0.458	0.333	0.347	bilen bilelikde
aloof	0.189	0.423	0.302	aloof
aloud	0.458	0.713	0.750	sesli
alpha	0.708	0.340	0.755	alfa
alphabet	0.562	0.204	0.672	elipbiý
alphabetical	0.537	0.296	0.535	elipbiý boýunça
alpine	0.594	0.337	0.474	alp
alreadyyyyy	0.592	0.717	0.351	eýýäm
altar	0.724	0.387	0.635	gurbanlyk sypasy
altar boy	0.434	0.206	0.350	gurbanlyk sypasy
alter	0.333	0.694	0.654	üýtgetmek
alteration	0.167	0.798	0.609	üýtgetmek
altercation	0.170	0.806	0.500	dawa
altered	0.255	0.765	0.500	üýtgedildi
alternate	0.625	0.363	0.589	alternatiw
alternating	0.480	0.494	0.542	gezekleşýär
alternative	0.628	0.373	0.631	alternatiwasy
altimeter	0.615	0.510	0.580	altimetr
altitude	0.708	0.482	0.736	beýiklik
alto	0.656	0.404	0.730	alto
altogether	0.833	0.324	0.644	umuman
aluminum	0.449	0.280	0.434	alýumin
alumnus	0.633	0.368	0.422	uçurym
alveolar	0.469	0.481	0.367	alveolar
alzheimers	0.194	0.518	0.319	alsgeýmerler
amalgam	0.438	0.333	0.510	amalgam
amalgamation	0.406	0.470	0.531	birleşmek
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	amass
amateur	0.469	0.500	0.409	höwesjeň
amaze	0.896	0.843	0.783	geň galdyr
amazed	0.796	0.779	0.533	haýran galdym
amazedness	0.827	0.872	0.510	haýran galmak
amazement	0.750	0.800	0.639	haýran galmak
amazing	0.906	0.837	0.849	haýran galdyryjy
amazingly	0.918	0.765	0.920	Geň galdyryjy
ambassador	0.651	0.529	0.917	ilçi
amber	0.635	0.308	0.369	amber
ambience	0.735	0.356	0.426	gurşaw
ambient	0.625	0.360	0.582	Daşky gurşaw
ambiguity	0.164	0.460	0.370	düşnüksizlik
ambiguous	0.265	0.462	0.358	düşnüksiz
ambit	0.479	0.380	0.386	ambisiýa
ambition	0.510	0.804	0.661	ambisiýa
ambitious	0.484	0.821	0.717	hyjuwly
ambivalent	0.510	0.404	0.482	düşnüksiz
ambrosia	0.571	0.452	0.480	ambrosiýa
ambulance	0.500	0.750	0.609	tiz kömek
ambush	0.281	0.830	0.500	gabaw
ameliorate	0.770	0.548	0.747	melioratiw
amen	0.781	0.182	0.542	amin
amenable	0.448	0.410	0.406	amatly
amend	0.688	0.406	0.658	üýtgetmek
amendment	0.531	0.459	0.606	düzediş
amends	0.640	0.366	0.517	düzedýär
amenity	0.750	0.327	0.574	amatlylyk
amethyst	0.622	0.406	0.517	ametist
amiable	0.847	0.290	0.483	ýakymly
amicable	0.875	0.330	0.507	ýakymly
amid	0.510	0.340	0.256	arasynda
amidst	0.480	0.330	0.316	arasynda
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	ok
ammonia	0.292	0.587	0.409	ammiak
ammonium	0.354	0.396	0.368	ammiak
ammunition	0.338	0.635	0.667	ok-däri
amnesia	0.296	0.330	0.308	amneziýa
amnesty	0.551	0.451	0.814	amnistiýa
amorous	0.844	0.670	0.636	gülkünç
amorphous	0.327	0.402	0.349	amorf
amortization	0.592	0.491	0.522	amortizasiýa
amount	0.562	0.422	0.649	mukdary
amour	0.865	0.480	0.652	amour
amp	0.439	0.393	0.375	amp
ampersand	0.480	0.448	0.483	ampersand
amphetamines	0.133	0.667	0.526	amfetaminler
amphibian	0.427	0.357	0.474	amfibiýa
amphibious	0.479	0.346	0.445	amfibiýa
amphitheater	0.653	0.480	0.545	amfiteatr
ample	0.744	0.349	0.719	ýeterlik
amplification	0.690	0.677	0.810	güýçlendirmek
amplify	0.677	0.735	0.827	güýçlendiriň
amplitude	0.694	0.439	0.692	amplituda
amply	0.781	0.431	0.766	ýeterlik
amputate	0.092	0.660	0.509	kesmek
amputation	0.100	0.755	0.483	amputasiýa
amuck	0.385	0.602	0.321	amuck
amulet	0.781	0.260	0.630	amulet
amuse	0.812	0.684	0.664	gülkünç
amused	0.942	0.847	0.596	gülkünç
