English Word	Valence	Arousal	Dominance	Thai Word
abundant	0.958	0.590	0.760	อุดมสมบูรณ์
abuse	0.071	0.873	0.469	ใช้ในทางที่ผิด
abused	0.021	0.874	0.235	ถูกทำร้าย
abusive	0.125	0.903	0.567	ข่มเหง
abutment	0.500	0.265	0.616	ค้ำยัน
aby	0.385	0.452	0.368	อะบาย
abysmal	0.250	0.710	0.598	สุดซึ้ง
abyss	0.353	0.725	0.296	เหว
academic	0.781	0.420	0.812	เชิงวิชาการ
academy	0.704	0.473	0.792	สถาบันการศึกษา
accede	0.698	0.510	0.537	accede
accelerant	0.643	0.844	0.802	คันเร่ง
accelerate	0.615	0.902	0.759	เร่งความเร็ว
accelerated	0.610	0.812	0.682	เร่ง
acceleration	0.704	0.905	0.843	อัตราเร่ง
accelerator	0.593	0.830	0.812	คันเร่ง
accent	0.598	0.357	0.509	สำเนียง
accentuate	0.673	0.556	0.667	เน้น
accept	0.847	0.286	0.565	ยอมรับ
acceptable	0.812	0.286	0.583	ยอมรับได้
acceptance	0.833	0.287	0.755	การยอมรับ
acceptances	0.847	0.413	0.648	การยอมรับ
access	0.714	0.472	0.567	เข้าถึง
accessible	0.796	0.410	0.645	เข้าถึงได้
accession	0.612	0.383	0.636	ภาคยานุวัติ
accessory	0.562	0.292	0.445	อุปกรณ์เสริม
accident	0.125	0.908	0.336	อุบัติเหตุ
accidental	0.319	0.784	0.307	บังเอิญ
accidentally	0.333	0.741	0.333	บังเอิญ
acclaim	0.562	0.809	0.718	โห่ร้อง
accolade	0.688	0.591	0.775	รางวัล
accommodate	0.844	0.375	0.566	รองรับ
accommodation	0.817	0.415	0.587	ที่พัก
accompaniment	0.740	0.479	0.695	ประกอบ
accompany	0.833	0.406	0.585	มาด้วยกัน
accompanying	0.787	0.460	0.582	มาพร้อมกับ
accomplice	0.408	0.580	0.510	ผู้สมรู้ร่วมคิด
accomplish	0.929	0.673	0.816	ทำให้สำเร็จ
accomplished	0.870	0.520	0.798	สำเร็จ
accomplishment	0.917	0.694	0.888	ความสำเร็จ
accord	0.898	0.264	0.382	สอดคล้อง
accordance	0.659	0.349	0.600	สอดคล้อง
accordion	0.604	0.490	0.361	หีบเพลง
account	0.531	0.347	0.472	บัญชีผู้ใช้
accountability	0.755	0.537	0.833	ความรับผิดชอบ
accountable	0.709	0.282	0.777	รับผิดชอบ
accountant	0.625	0.450	0.639	นักบัญชี
accounting	0.552	0.390	0.677	การบัญชี
accounts	0.592	0.340	0.471	บัญชี
accredited	0.669	0.479	0.768	ได้รับการรับรอง
accretion	0.448	0.519	0.672	การเสริมกำลัง
accrue	0.520	0.481	0.602	สะสม
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	สะสม
accumulation	0.479	0.527	0.600	สะสม
accuracy	0.604	0.481	0.802	ความแม่นยำ
accurate	0.743	0.360	0.737	แม่นยำ
accursed	0.135	0.745	0.345	ถูกสาป
accusation	0.073	0.718	0.564	ข้อกล่าวหา
accusative	0.198	0.755	0.482	กล่าวหา
accuse	0.133	0.752	0.500	กล่าวโทษ
accused	0.130	0.670	0.420	ผู้ถูกกล่าวหา
accuser	0.122	0.779	0.615	โจทก์
accusing	0.156	0.745	0.324	กล่าวหา
accustomed	0.542	0.365	0.441	คุ้นเคย
ace	0.643	0.481	0.546	ace
acetic	0.333	0.420	0.519	อะซิติก
acetylene	0.306	0.469	0.509	อะเซทิลีน
ache	0.146	0.760	0.312	ปวด
achieve	0.816	0.545	0.843	บรรลุ
achieved	0.896	0.519	0.775	ประสบความสำเร็จ
achievement	0.896	0.808	0.759	ความสำเร็จ
aching	0.053	0.880	0.348	น่าปวดหัว
achy	0.167	0.840	0.373	ปวดเมื่อย
acid	0.265	0.642	0.566	กรด
acidity	0.156	0.663	0.360	ความเป็นกรด
acknowledge	0.786	0.370	0.661	รับทราบ
acknowledged	0.714	0.443	0.765	รับทราบ
acknowledgement	0.819	0.539	0.830	การรับทราบ
acknowledgment	0.796	0.528	0.777	การรับทราบ
acme	0.408	0.435	0.375	แอคมี
acne	0.167	0.474	0.308	สิว
acorn	0.448	0.198	0.192	โอ๊ก
acoustic	0.542	0.462	0.536	อะคูสติก
acoustics	0.611	0.330	0.509	อะคูสติก
acquaint	0.646	0.491	0.639	รู้จัก
acquaintance	0.656	0.290	0.670	คนรู้จัก
acquainted	0.906	0.358	0.632	คุ้นเคย
acquiescence	0.542	0.480	0.554	ความยินยอม
acquire	0.833	0.468	0.700	ได้รับ
acquiring	0.735	0.510	0.817	การรับ
acquisition	0.698	0.509	0.736	การเข้าซื้อกิจการ
acquisitions	0.773	0.660	0.790	การเข้าซื้อกิจการ
acquit	0.583	0.571	0.611	พ้นผิด
acquittal	0.760	0.497	0.700	พ้นผิด
acre	0.583	0.387	0.423	เอเคอร์
acreage	0.741	0.450	0.528	เอเคอร์
acres	0.510	0.363	0.500	เอเคอร์
acrobat	0.708	0.828	0.602	นักกายกรรม
acrylic	0.582	0.279	0.420	อะคริลิค
act	0.656	0.704	0.735	กระทำ
acting	0.698	0.643	0.500	การแสดง
action	0.760	0.898	0.802	การกระทำ
action figure	0.615	0.774	0.611	รูปการกระทำ
actionable	0.673	0.702	0.613	ดำเนินการได้
activate	0.764	0.650	0.806	เปิดใช้งาน
activation	0.781	0.800	0.754	การเปิดใช้งาน
active	0.847	0.730	0.731	คล่องแคล่ว
activist	0.531	0.653	0.877	นักเคลื่อนไหว
activity	0.701	0.660	0.807	กิจกรรม
actor	0.653	0.561	0.629	นักแสดงชาย
actress	0.633	0.556	0.596	นักแสดงหญิง
actual	0.729	0.400	0.716	แท้จริง
actuality	0.750	0.464	0.600	ความเป็นจริง
actuary	0.510	0.404	0.491	นักคณิตศาสตร์ประกันภัย
acuity	0.469	0.378	0.741	ความรุนแรง
acumen	0.564	0.660	0.679	ความเฉียบแหลม
acupuncture	0.531	0.324	0.549	การฝังเข็ม
acute	0.427	0.652	0.534	เฉียบพลัน
acutely	0.417	0.543	0.491	อย่างเฉียบขาด
ad	0.521	0.705	0.558	โฆษณา
adage	0.517	0.415	0.566	สุภาษิต
adamant	0.344	0.529	0.575	ยืนกราน
adapt	0.740	0.355	0.551	ปรับ
adaptable	0.735	0.423	0.641	ปรับตัวได้
adaptation	0.663	0.365	0.609	การปรับตัว
add	0.728	0.490	0.554	เพิ่ม
added	0.562	0.405	0.509	เพิ่ม
addendum	0.392	0.370	0.418	ภาคผนวก
adder	0.388	0.461	0.588	แอดเดอร์
addict	0.075	0.696	0.327	ติดยาเสพติด
addicted	0.156	0.712	0.483	ติดยาเสพติด
addiction	0.180	0.806	0.420	ติดยาเสพติด
addictive	0.302	0.683	0.472	เสพติด
addition	0.562	0.373	0.471	ส่วนที่เพิ่มเข้าไป
additional	0.673	0.462	0.526	เพิ่มเติม
additive	0.561	0.633	0.691	สารเติมแต่ง
address	0.650	0.327	0.567	ที่อยู่
addressee	0.622	0.382	0.538	ผู้รับ
addresses	0.510	0.354	0.450	ที่อยู่
adept	0.594	0.539	0.789	เก่ง
adequacy	0.615	0.435	0.702	ความเพียงพอ
adequate	0.854	0.264	0.705	เพียงพอ
adhere	0.633	0.339	0.554	ยึดมั่น
adherence	0.760	0.307	0.630	ยึดมั่น
adherent	0.561	0.385	0.555	สมัครพรรคพวก
adhering	0.612	0.561	0.537	ยึดมั่น
adhesion	0.521	0.445	0.586	การยึดเกาะ
adhesive	0.604	0.350	0.413	กาว
adieu	0.250	0.471	0.342	ลาก่อน
adipose	0.333	0.350	0.391	ไขมัน
adjacency	0.365	0.417	0.375	ที่อยู่ติดกัน
adjacent	0.645	0.276	0.536	ที่อยู่ติดกัน
adjective	0.570	0.316	0.569	คุณศัพท์
adjoining	0.520	0.400	0.393	ติดกัน
adjourn	0.385	0.456	0.475	เลื่อน
adjournment	0.438	0.510	0.370	เลื่อน
adjudicate	0.559	0.520	0.683	ตัดสิน
adjudication	0.551	0.462	0.691	คำพิพากษา
adjunct	0.459	0.440	0.426	ผู้ช่วย
adjust	0.647	0.327	0.638	ปรับ
adjuster	0.510	0.540	0.760	ตัวปรับ
adjustment	0.590	0.520	0.661	การปรับตัว
adjuvant	0.510	0.500	0.456	เสริม
admin	0.688	0.420	0.854	ผู้ดูแลระบบ
administer	0.635	0.425	0.860	ดูแล
administration	0.625	0.404	0.786	การบริหาร
administrative	0.542	0.415	0.579	ธุรการ
administrator	0.538	0.480	0.902	ผู้ดูแลระบบ
admirable	0.929	0.600	0.870	น่าชื่นชม
admiral	0.844	0.490	0.847	พลเรือเอก
admiralty	0.594	0.547	0.733	กองทัพเรือ
admiration	0.969	0.583	0.726	ชื่นชม
admire	0.867	0.692	0.704	ชื่นชม
admired	0.917	0.560	0.815	ชื่นชม
admirer	0.796	0.720	0.650	ผู้ชื่นชม
admiring	0.867	0.578	0.629	ชื่นชม
admissibility	0.802	0.580	0.602	การอนุญาติ
admissible	0.780	0.528	0.642	ยอมรับได้
admission	0.802	0.415	0.732	การรับเข้าเรียน
admit	0.538	0.423	0.667	ยอมรับ
admittance	0.690	0.451	0.598	การรับเข้า
admitted	0.720	0.490	0.767	ที่ยอมรับ
admitting	0.620	0.500	0.546	ยอมรับ
admixture	0.450	0.375	0.438	ส่วนผสม
admonition	0.357	0.606	0.455	ตักเตือน
ado	0.520	0.423	0.385	เบื่อหน่าย
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	วัยรุ่น
adolescent	0.781	0.680	0.509	วัยรุ่น
adopt	0.694	0.612	0.701	รับเลี้ยง
adoption	0.625	0.566	0.589	การรับเป็นบุตรบุญธรรม
adoptive	0.531	0.469	0.520	ลูกบุญธรรม
adorable	0.969	0.519	0.457	น่ารัก
adoration	0.885	0.699	0.708	ความรัก
adore	0.854	0.438	0.657	รัก
adoring	0.885	0.620	0.717	ที่รัก
adorn	0.910	0.424	0.482	ประดับ
adornment	0.918	0.373	0.377	เครื่องประดับ
adrenalin	0.865	0.920	0.786	อะดรีนาลิน
adrenaline	0.765	0.965	0.825	อะดรีนาลีน
adrift	0.398	0.486	0.230	ล่องลอย
adult	0.815	0.491	0.787	ผู้ใหญ่
adulterated	0.188	0.865	0.370	ปลอมปน
adulterer	0.229	0.814	0.407	คนล่วงประเวณี
adultery	0.120	0.922	0.510	การล่วงประเวณี
adulthood	0.541	0.454	0.652	วัยผู้ใหญ่
advance	0.673	0.472	0.858	ก้าวหน้า
advanced	0.844	0.623	0.797	ขั้นสูง
advancement	0.776	0.650	0.839	ความก้าวหน้า
advancing	0.929	0.608	0.812	ก้าวหน้า
advantage	0.917	0.548	0.859	ความได้เปรียบ
advantageous	0.837	0.640	0.789	ได้เปรียบ
advent	0.665	0.560	0.627	จุติ
adventure	0.917	0.857	0.710	การผจญภัย
adventurer	0.781	0.839	0.868	นักผจญภัย
adventures	0.812	0.764	0.749	การผจญภัย
adventurous	0.969	0.898	0.722	ชอบผจญภัย
adversary	0.349	0.777	0.457	ปฏิปักษ์
adverse	0.323	0.610	0.385	เป็นผลร้าย
adversity	0.276	0.760	0.538	ความทุกข์ยาก
advertise	0.500	0.529	0.580	โฆษณา
advertisement	0.600	0.566	0.539	โฆษณา
advertising	0.622	0.608	0.632	การโฆษณา
adverts	0.551	0.500	0.595	โฆษณา
advice	0.698	0.408	0.688	คำแนะนำ
advisable	0.867	0.480	0.510	แนะนำ
advise	0.760	0.393	0.705	ให้คำแนะนำ
advised	0.823	0.330	0.509	แนะนำ
advisement	0.698	0.235	0.655	คำแนะนำ
adviser	0.745	0.362	0.705	ที่ปรึกษา
advisor	0.646	0.350	0.689	ที่ปรึกษา
advisory	0.656	0.429	0.633	คำแนะนำ
advocacy	0.500	0.646	0.731	การสนับสนุน
advocate	0.551	0.530	0.818	สนับสนุน
aegis	0.490	0.439	0.462	อุปถัมภ์
aeration	0.550	0.500	0.433	การเติมอากาศ
aerial	0.615	0.461	0.463	ทางอากาศ
aerobics	0.708	0.771	0.627	แอโรบิก
aerodrome	0.541	0.740	0.678	สนามบิน
aerodynamic	0.561	0.724	0.728	อากาศพลศาสตร์
aerodynamics	0.590	0.663	0.722	อากาศพลศาสตร์
aeronautics	0.551	0.633	0.688	วิชาการบิน
aeroplane	0.714	0.642	0.644	เครื่องบิน
aerospace	0.643	0.520	0.779	อวกาศ
aesthetic	0.708	0.442	0.526	เกี่ยวกับความงาม
aesthetics	0.847	0.327	0.549	สุนทรียศาสตร์
aetiology	0.480	0.398	0.615	สาเหตุ
afar	0.396	0.373	0.358	ไกล
affable	0.704	0.380	0.452	น่ารัก
affair	0.520	0.459	0.657	เรื่อง
affect	0.458	0.569	0.578	ส่งผลกระทบ
affecting	0.350	0.574	0.394	ส่งผลกระทบต่อ
affection	0.898	0.559	0.696	ความเสน่หา
affectionate	0.949	0.422	0.550	เสน่หา
affections	0.760	0.547	0.655	ความรัก
affiche	0.479	0.265	0.402	แอฟฟิเช่
affidavit	0.469	0.584	0.526	หนังสือรับรอง
affiliated	0.673	0.519	0.535	สังกัด
affiliation	0.615	0.594	0.500	สังกัด
affinity	0.800	0.500	0.537	ความสัมพันธ์กัน
affirm	0.745	0.509	0.731	ยืนยัน
affirmation	0.750	0.500	0.689	คำยืนยัน
affirmative	0.854	0.589	0.816	ยืนยัน
affirmatively	0.908	0.500	0.811	แน่วแน่
affix	0.438	0.335	0.411	ติด
afflict	0.302	0.555	0.293	ทุกข์
afflicted	0.271	0.500	0.167	ทุกข์
affliction	0.294	0.635	0.392	ความทุกข์ยาก
affluence	0.663	0.618	0.722	ความมั่งคั่ง
affluent	0.756	0.388	0.477	ร่ำรวย
afford	0.571	0.580	0.575	จ่ายได้
affordable	0.840	0.398	0.493	ซื้อได้
affront	0.327	0.740	0.547	ดูหมิ่น
affronted	0.385	0.750	0.527	ถูกดูหมิ่น
afield	0.594	0.370	0.373	ไกล
afire	0.367	0.904	0.675	ไฟไหม้
afloat	0.602	0.427	0.444	ลอยน้ำ
afore	0.500	0.337	0.382	มาก่อน
aforementioned	0.490	0.316	0.408	ดังกล่าวข้างต้น
aforesaid	0.531	0.358	0.478	ดังกล่าว
afraid	0.010	0.775	0.245	กลัว
afresh	0.643	0.521	0.480	อีกครั้ง
aft	0.480	0.417	0.518	หลัง
afterlife	0.571	0.567	0.568	ชีวิตหลังความตาย
aftermath	0.312	0.449	0.444	ควันหลง
afternoon	0.533	0.388	0.339	ตอนบ่าย
aftershave	0.406	0.384	0.415	หลังโกนหนวด
aftertaste	0.354	0.362	0.455	รสที่ค้างอยู่ในคอ
afterthought	0.396	0.392	0.349	ภายหลัง
aga	0.542	0.327	0.398	อีกครั้ง
agape	0.612	0.529	0.464	อ้าปากค้าง
agate	0.540	0.377	0.483	อาเกต
age	0.561	0.226	0.498	อายุ
aged	0.135	0.365	0.236	อายุ
agency	0.460	0.296	0.583	หน่วยงาน
agenda	0.531	0.296	0.553	กำหนดการ
agent	0.480	0.439	0.755	ตัวแทน
agglomeration	0.450	0.765	0.509	การรวมตัว
aggravate	0.224	0.770	0.464	ซ้ำเติม
aggravated	0.079	0.760	0.430	กำเริบ
aggravates	0.108	0.778	0.357	ทำให้รุนแรงขึ้น
aggravating	0.257	0.794	0.640	ทำให้รุนแรงขึ้น
aggravation	0.071	0.784	0.613	การทำให้รุนแรงขึ้น
aggregate	0.730	0.378	0.556	รวม
aggregation	0.583	0.517	0.694	การรวมตัว
aggresive	0.059	0.971	0.639	ก้าวร้าว
aggression	0.094	0.929	0.533	ความก้าวร้าว
aggressive	0.125	0.949	0.648	ก้าวร้าว
aggressively	0.250	0.926	0.688	อุกอาจ
aggressiveness	0.077	0.913	0.648	ความก้าวร้าว
aggressor	0.146	0.948	0.823	ผู้รุกราน
agh	0.260	0.500	0.400	อ๊าก
aghast	0.133	0.865	0.464	ตกตะลึง
aghhh	0.281	0.635	0.243	อ้ากกก
agile	0.800	0.657	0.775	เปรียว
agility	0.720	0.702	0.815	ความคล่องตัว
aging	0.214	0.255	0.284	อายุมากขึ้น
agitate	0.300	0.796	0.593	กวน
agitated	0.444	0.882	0.491	กระสับกระส่าย
agitation	0.240	0.931	0.447	ความปั่นป่วน
aglow	0.780	0.510	0.797	อิ่มเอิบ
agnostic	0.306	0.396	0.574	ผู้ไม่เชื่อเรื่องพระเจ้า
ago	0.317	0.280	0.404	ที่ผ่านมา
agonizing	0.083	0.800	0.340	ทนทุกข์ทรมาน
agony	0.083	0.775	0.393	ความเจ็บปวด
agoraphobia	0.127	0.712	0.438	agoraphobia
agree	0.906	0.260	0.545	เห็นด้วย
agreeable	0.906	0.500	0.696	น่าพอใจ
agreed	0.797	0.449	0.574	ตกลง
agreeing	0.854	0.480	0.557	ตกลง
agreement	0.760	0.440	0.736	ข้อตกลง
agressive	0.083	0.918	0.751	ก้าวร้าว
agricultural	0.686	0.321	0.473	เกษตรกรรม
agriculture	0.640	0.357	0.465	เกษตรกรรม
aground	0.333	0.340	0.445	บนพื้นดิน
agua	0.598	0.180	0.436	อากัว
ahead	0.708	0.520	0.673	ข้างหน้า
ahhh	0.562	0.517	0.241	อ่าฮะ
ahhhhhhhh	0.552	0.649	0.288	งื้อออ
ahoy	0.500	0.497	0.380	อาโฮ้
aid	0.796	0.491	0.541	ช่วยเหลือ
aide	0.724	0.342	0.434	ผู้ช่วย
aiding	0.643	0.533	0.569	ช่วยเหลือ
aids	0.561	0.480	0.500	เอดส์
ail	0.375	0.434	0.385	ป่วย
ailing	0.094	0.518	0.153	ไม่สบาย
ailment	0.146	0.734	0.277	โรค
aim	0.481	0.569	0.567	จุดมุ่งหมาย
aimless	0.150	0.267	0.183	ไร้จุดหมาย
air	0.708	0.163	0.427	อากาศ
airbag	0.510	0.402	0.433	ถุงลมนิรภัย
airborne	0.542	0.519	0.385	ทางอากาศ
aircraft	0.646	0.644	0.691	อากาศยาน
aircraft carrier	0.490	0.740	0.727	เรือบรรทุกเครื่องบิน
airfield	0.601	0.650	0.645	สนามบิน
airhead	0.271	0.481	0.276	แอร์เฮด
airlift	0.573	0.622	0.642	ลิฟต์โดยสาร
airline	0.650	0.482	0.688	สายการบิน
airliner	0.667	0.777	0.647	สายการบิน
airlock	0.398	0.520	0.447	แอร์ล็อค
airman	0.587	0.716	0.721	นักบิน
airplane	0.719	0.702	0.708	เครื่องบิน
airport	0.729	0.684	0.682	สนามบิน
airs	0.583	0.196	0.370	ออกอากาศ
airship	0.542	0.472	0.529	เรือเหาะ
airspace	0.562	0.510	0.640	น่านฟ้า
airspeed	0.583	0.780	0.544	ความเร็วลม
airstrip	0.550	0.690	0.649	ลานบิน
airtight	0.479	0.381	0.570	สุญญากาศ
airway	0.638	0.585	0.482	ทางเดินหายใจ
aisle	0.438	0.222	0.283	ทางเดิน
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	แง้ม
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	คล้าย
alabaster	0.542	0.404	0.445	เศวตศิลา
alarm	0.241	0.882	0.698	เตือน
alarm clock	0.542	0.727	0.642	นาฬิกาปลุก
alarmed	0.188	0.822	0.492	ตื่นตระหนก
alarming	0.204	0.890	0.585	น่าตกใจ
alas	0.571	0.310	0.279	อนิจจา
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	อัลบาทรอส
albino	0.500	0.240	0.358	เผือก
album	0.635	0.349	0.453	อัลบั้ม
alchemy	0.541	0.583	0.693	การเล่นแร่แปรธาตุ
alcohol	0.323	0.667	0.377	แอลกอฮอล์
alcoholic	0.153	0.688	0.361	แอลกอฮอล์
alcoholism	0.061	0.779	0.407	พิษสุราเรื้อรัง
alcove	0.490	0.340	0.356	ซุ้มประตู
alderman	0.550	0.459	0.691	เทศมนตรี
ale	0.530	0.450	0.358	เบียร์
alert	0.479	0.820	0.648	เตือน
alertness	0.375	0.875	0.750	ความตื่นตัว
alerts	0.337	0.804	0.673	alerts
alfalfa	0.546	0.250	0.311	หญ้าชนิตหนึ่ง
algebra	0.440	0.340	0.565	พีชคณิต
algebraic	0.531	0.412	0.441	พีชคณิต
algorithm	0.448	0.394	0.559	อัลกอริทึม
alias	0.541	0.353	0.333	นามแฝง
alibi	0.396	0.528	0.556	ข้อแก้ตัว
alien	0.410	0.615	0.491	มนุษย์ต่างดาว
alienate	0.247	0.500	0.523	โอน
alienated	0.410	0.423	0.559	แปลก
alienation	0.378	0.530	0.462	ความแปลกแยก
alight	0.667	0.657	0.605	ลง
align	0.656	0.364	0.627	align
aligned	0.583	0.275	0.553	ชิด
alignment	0.643	0.412	0.683	การจัดตำแหน่ง
alike	0.653	0.173	0.444	เหมือนกัน
alimentation	0.781	0.551	0.602	การกินอาหาร
alimony	0.612	0.477	0.464	ค่าเลี้ยงดู
aliquot	0.440	0.310	0.404	aliquot
alive	0.816	0.637	0.731	มีชีวิตอยู่
alkali	0.490	0.350	0.408	ด่าง
alkaloids	0.433	0.562	0.402	ลคาลอยด์
allay	0.417	0.406	0.398	ระงับ
allegation	0.578	0.578	0.608	ข้อกล่าวหา
allege	0.418	0.482	0.587	กล่าวหา
alleged	0.365	0.522	0.520	ถูกกล่าวหา
allegiance	0.917	0.398	0.750	ความจงรักภักดี
allegorical	0.517	0.558	0.598	เชิงเปรียบเทียบ
allegory	0.615	0.580	0.509	ชาดก
allegro	0.635	0.627	0.453	อัลเลโกร
allergic	0.135	0.549	0.273	แพ้
allergy	0.296	0.606	0.389	ภูมิแพ้
alleviate	0.869	0.270	0.528	บรรเทา
alleviation	0.735	0.200	0.491	การบรรเทาทุกข์
alley	0.347	0.500	0.355	ซอย
alleyway	0.357	0.471	0.382	ตรอก
alliance	0.696	0.473	0.769	พันธมิตร
allied	0.714	0.245	0.642	พันธมิตร
alligator	0.354	0.704	0.645	จระเข้
allocate	0.673	0.462	0.672	จัดสรร
allocation	0.604	0.388	0.679	การจัดสรร
allot	0.622	0.481	0.616	จัดสรร
allotment	0.600	0.390	0.640	การจัดสรร
allow	0.698	0.429	0.538	อนุญาต
allowable	0.698	0.500	0.561	อนุญาต
allowance	0.673	0.382	0.591	เบี้ยเลี้ยง
allowed	0.730	0.360	0.655	อนุญาต
alloy	0.583	0.443	0.593	โลหะผสม
allsmiles	0.786	0.528	0.430	ออลสไมล์
allure	0.804	0.585	0.686	จูงใจ
alluring	0.837	0.745	0.843	มีเสน่ห์
allusion	0.440	0.308	0.462	พาดพิง
alluvial	0.323	0.490	0.491	ลุ่มน้ำ
ally	0.792	0.320	0.688	พันธมิตร
almanac	0.688	0.190	0.412	ปูม
almighty	0.938	0.874	0.958	ผู้ทรงอำนาจ
almond	0.698	0.183	0.314	อัลมอนด์
aloft	0.771	0.373	0.700	aloft
aloha	0.698	0.440	0.441	อะโลฮ่า
alone	0.333	0.167	0.216	ตามลำพัง
alongside	0.458	0.333	0.347	ข้างๆ
aloof	0.189	0.423	0.302	ห่าง
aloud	0.458	0.713	0.750	เสียงดัง
alpha	0.708	0.340	0.755	อัลฟ่า
alphabet	0.562	0.204	0.672	ตัวอักษร
alphabetical	0.537	0.296	0.535	ตามตัวอักษร
alpine	0.594	0.337	0.474	อัลไพน์
alreadyyyyy	0.592	0.717	0.351	แล้วyyyy
altar	0.724	0.387	0.635	แท่นบูชา
altar boy	0.434	0.206	0.350	เด็กชายแท่นบูชา
alter	0.333	0.694	0.654	alter
alteration	0.167	0.798	0.609	การเปลี่ยนแปลง
altercation	0.170	0.806	0.500	การทะเลาะวิวาท
altered	0.255	0.765	0.500	เปลี่ยนแปลง
alternate	0.625	0.363	0.589	สลับกัน
alternating	0.480	0.494	0.542	สลับกัน
alternative	0.628	0.373	0.631	ทางเลือก
altimeter	0.615	0.510	0.580	เครื่องวัดระยะสูง
altitude	0.708	0.482	0.736	ความสูง
alto	0.656	0.404	0.730	alto
