English Word	Valence	Arousal	Dominance	Lithuanian Word
achy	0.167	0.840	0.373	skausmingas
acid	0.265	0.642	0.566	rūgšties
acidity	0.156	0.663	0.360	rūgštingumas
acknowledge	0.786	0.370	0.661	pripažinti
acknowledged	0.714	0.443	0.765	pripažino
acknowledgement	0.819	0.539	0.830	pripažinimas
acknowledgment	0.796	0.528	0.777	pripažinimas
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	aknė
acorn	0.448	0.198	0.192	gilė
acoustic	0.542	0.462	0.536	akustinis
acoustics	0.611	0.330	0.509	akustika
acquaint	0.646	0.491	0.639	supažindinti
acquaintance	0.656	0.290	0.670	pažintis
acquainted	0.906	0.358	0.632	susipažinęs
acquiescence	0.542	0.480	0.554	sutikimas
acquire	0.833	0.468	0.700	įgyti
acquiring	0.735	0.510	0.817	įsigyjant
acquisition	0.698	0.509	0.736	įsigijimas
acquisitions	0.773	0.660	0.790	įsigijimų
acquit	0.583	0.571	0.611	išteisinti
acquittal	0.760	0.497	0.700	išteisinamasis nuosprendis
acre	0.583	0.387	0.423	akrų
acreage	0.741	0.450	0.528	plotas
acres	0.510	0.363	0.500	akrų
acrobat	0.708	0.828	0.602	akrobatas
acrylic	0.582	0.279	0.420	akrilo
act	0.656	0.704	0.735	veikti
acting	0.698	0.643	0.500	vaidyba
action	0.760	0.898	0.802	veiksmas
action figure	0.615	0.774	0.611	veiksmo figūra
actionable	0.673	0.702	0.613	veiksmingi
activate	0.764	0.650	0.806	aktyvuoti
activation	0.781	0.800	0.754	aktyvinimas
active	0.847	0.730	0.731	aktyvus
activist	0.531	0.653	0.877	aktyvistas
activity	0.701	0.660	0.807	veikla
actor	0.653	0.561	0.629	aktorius
actress	0.633	0.556	0.596	Aktorė
actual	0.729	0.400	0.716	faktinis
actuality	0.750	0.464	0.600	aktualumas
actuary	0.510	0.404	0.491	aktuaras
acuity	0.469	0.378	0.741	aštrumas
acumen	0.564	0.660	0.679	sumanumas
acupuncture	0.531	0.324	0.549	akupunktūra
acute	0.427	0.652	0.534	ūminis
acutely	0.417	0.543	0.491	ūmiai
ad	0.521	0.705	0.558	Reklama
adage	0.517	0.415	0.566	posakis
adamant	0.344	0.529	0.575	tvirtas
adapt	0.740	0.355	0.551	prisitaikyti
adaptable	0.735	0.423	0.641	pritaikomas
adaptation	0.663	0.365	0.609	prisitaikymas
add	0.728	0.490	0.554	papildyti
added	0.562	0.405	0.509	pridėta
addendum	0.392	0.370	0.418	priedas
adder	0.388	0.461	0.588	sumatorius
addict	0.075	0.696	0.327	narkomanas
addicted	0.156	0.712	0.483	priklausomas
addiction	0.180	0.806	0.420	priklausomybė
addictive	0.302	0.683	0.472	sukeliantis priklausomybę
addition	0.562	0.373	0.471	papildymas
additional	0.673	0.462	0.526	papildomas
additive	0.561	0.633	0.691	priedas
address	0.650	0.327	0.567	adresu
addressee	0.622	0.382	0.538	adresatas
addresses	0.510	0.354	0.450	adresus
adept	0.594	0.539	0.789	įgudęs
adequacy	0.615	0.435	0.702	adekvatumas
adequate	0.854	0.264	0.705	adekvatus
adhere	0.633	0.339	0.554	laikytis
adherence	0.760	0.307	0.630	laikymasis
adherent	0.561	0.385	0.555	prisirišęs
adhering	0.612	0.561	0.537	besilaikantis
adhesion	0.521	0.445	0.586	Sukibimas
adhesive	0.604	0.350	0.413	klijai
adieu	0.250	0.471	0.342	adieu
adipose	0.333	0.350	0.391	riebalinis
adjacency	0.365	0.417	0.375	gretimumas
adjacent	0.645	0.276	0.536	gretimas
adjective	0.570	0.316	0.569	būdvardis
adjoining	0.520	0.400	0.393	gretimas
adjourn	0.385	0.456	0.475	atidėti
adjournment	0.438	0.510	0.370	atidėjimas
adjudicate	0.559	0.520	0.683	spręsti
adjudication	0.551	0.462	0.691	sprendimo priėmimas
adjunct	0.459	0.440	0.426	priedas
adjust	0.647	0.327	0.638	sureguliuoti
adjuster	0.510	0.540	0.760	reguliatorius
adjustment	0.590	0.520	0.661	koregavimas
adjuvant	0.510	0.500	0.456	adjuvantas
admin	0.688	0.420	0.854	admin
administer	0.635	0.425	0.860	administruoti
administration	0.625	0.404	0.786	administracija
administrative	0.542	0.415	0.579	administracinis
administrator	0.538	0.480	0.902	administratorius
admirable	0.929	0.600	0.870	žavintis
admiral	0.844	0.490	0.847	admirolas
admiralty	0.594	0.547	0.733	admiralitetas
admiration	0.969	0.583	0.726	susižavėjimas
admire	0.867	0.692	0.704	grožėtis
admired	0.917	0.560	0.815	žavėjosi
admirer	0.796	0.720	0.650	gerbėjas
admiring	0.867	0.578	0.629	žavėdamasis
admissibility	0.802	0.580	0.602	priimtinumas
admissible	0.780	0.528	0.642	priimtinas
admission	0.802	0.415	0.732	priėmimas
admit	0.538	0.423	0.667	pripažinti
admittance	0.690	0.451	0.598	priėmimas
admitted	0.720	0.490	0.767	pripažino
admitting	0.620	0.500	0.546	prisipažįstant
admixture	0.450	0.375	0.438	priemaiša
admonition	0.357	0.606	0.455	įspėjimas
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	Adobe
adolescence	0.487	0.694	0.444	paauglystė
adolescent	0.781	0.680	0.509	paauglys
adopt	0.694	0.612	0.701	priimti
adoption	0.625	0.566	0.589	įvaikinimas
adoptive	0.531	0.469	0.520	įvaikintas
adorable	0.969	0.519	0.457	žavinga
adoration	0.885	0.699	0.708	garbinimas
adore	0.854	0.438	0.657	dievinu
adoring	0.885	0.620	0.717	dievinantis
adorn	0.910	0.424	0.482	puošti
adornment	0.918	0.373	0.377	puošmena
adrenalin	0.865	0.920	0.786	adrenalino
adrenaline	0.765	0.965	0.825	adrenalinas
adrift	0.398	0.486	0.230	dreifuoja
adult	0.815	0.491	0.787	suaugęs
adulterated	0.188	0.865	0.370	suklastotas
adulterer	0.229	0.814	0.407	svetimautojas
adultery	0.120	0.922	0.510	svetimavimas
adulthood	0.541	0.454	0.652	pilnametystė
advance	0.673	0.472	0.858	avansu
advanced	0.844	0.623	0.797	pažengęs
advancement	0.776	0.650	0.839	pažanga
advancing	0.929	0.608	0.812	žengiant į priekį
advantage	0.917	0.548	0.859	pranašumas
advantageous	0.837	0.640	0.789	pranašesnis
advent	0.665	0.560	0.627	adventas
adventure	0.917	0.857	0.710	nuotykis
adventurer	0.781	0.839	0.868	nuotykių ieškotojas
adventures	0.812	0.764	0.749	nuotykius
adventurous	0.969	0.898	0.722	nuotykių kupinas
adversary	0.349	0.777	0.457	priešininkas
adverse	0.323	0.610	0.385	nepalankios
adversity	0.276	0.760	0.538	nelaimės
advertise	0.500	0.529	0.580	reklamuoti
advertisement	0.600	0.566	0.539	skelbimas
advertising	0.622	0.608	0.632	reklama
adverts	0.551	0.500	0.595	skelbimai
advice	0.698	0.408	0.688	patarimas
advisable	0.867	0.480	0.510	patartinas
advise	0.760	0.393	0.705	patarti
advised	0.823	0.330	0.509	patarė
advisement	0.698	0.235	0.655	patarimas
adviser	0.745	0.362	0.705	patarėjas
advisor	0.646	0.350	0.689	patarėjas
advisory	0.656	0.429	0.633	patariamoji
advocacy	0.500	0.646	0.731	advokacija
advocate	0.551	0.530	0.818	advokatas
aegis	0.490	0.439	0.462	egis
aeration	0.550	0.500	0.433	aeracija
aerial	0.615	0.461	0.463	antenos
aerobics	0.708	0.771	0.627	aerobika
aerodrome	0.541	0.740	0.678	aerodromas
aerodynamic	0.561	0.724	0.728	aerodinaminis
aerodynamics	0.590	0.663	0.722	aerodinamika
aeronautics	0.551	0.633	0.688	aeronautika
aeroplane	0.714	0.642	0.644	lėktuvas
aerospace	0.643	0.520	0.779	kosmoso
aesthetic	0.708	0.442	0.526	estetinė
aesthetics	0.847	0.327	0.549	estetika
aetiology	0.480	0.398	0.615	etiologija
afar	0.396	0.373	0.358	toli
affable	0.704	0.380	0.452	malonus
affair	0.520	0.459	0.657	reikalas
affect	0.458	0.569	0.578	paveikti
affecting	0.350	0.574	0.394	paveikiantis
affection	0.898	0.559	0.696	meilė
affectionate	0.949	0.422	0.550	meilus
affections	0.760	0.547	0.655	meilės
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	priesaika
affiliated	0.673	0.519	0.535	susijusi
affiliation	0.615	0.594	0.500	priklausomybė
affinity	0.800	0.500	0.537	giminingumas
affirm	0.745	0.509	0.731	patvirtinti
affirmation	0.750	0.500	0.689	patvirtinimas
affirmative	0.854	0.589	0.816	teigiamai
affirmatively	0.908	0.500	0.811	teigiamai
affix	0.438	0.335	0.411	pritvirtinti
afflict	0.302	0.555	0.293	kamuoti
afflicted	0.271	0.500	0.167	kamuojamas
affliction	0.294	0.635	0.392	vargas
affluence	0.663	0.618	0.722	turtus
affluent	0.756	0.388	0.477	pasiturintys
afford	0.571	0.580	0.575	sau leisti
affordable	0.840	0.398	0.493	prieinama kaina
affront	0.327	0.740	0.547	įžeidimas
affronted	0.385	0.750	0.527	įžeistas
afield	0.594	0.370	0.373	lauke
afire	0.367	0.904	0.675	gaisras
afloat	0.602	0.427	0.444	plūduriuoti
afore	0.500	0.337	0.382	anksčiau
aforementioned	0.490	0.316	0.408	minėtas
aforesaid	0.531	0.358	0.478	anksčiau minėta
afraid	0.010	0.775	0.245	išsigandęs
afresh	0.643	0.521	0.480	iš naujo
aft	0.480	0.417	0.518	užpakalinis
afterlife	0.571	0.567	0.568	pomirtinis gyvenimas
aftermath	0.312	0.449	0.444	pasekmės
afternoon	0.533	0.388	0.339	popietę
aftershave	0.406	0.384	0.415	po skutimosi
aftertaste	0.354	0.362	0.455	poskonis
afterthought	0.396	0.392	0.349	paskubomis
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agapė
agate	0.540	0.377	0.483	agatas
age	0.561	0.226	0.498	amžiaus
aged	0.135	0.365	0.236	amžiaus
agency	0.460	0.296	0.583	Agentūra
agenda	0.531	0.296	0.553	dienotvarkę
agent	0.480	0.439	0.755	agentas
agglomeration	0.450	0.765	0.509	aglomeracija
aggravate	0.224	0.770	0.464	apsunkinti
aggravated	0.079	0.760	0.430	apsunkintas
aggravates	0.108	0.778	0.357	apsunkina
aggravating	0.257	0.794	0.640	sunkinantis
aggravation	0.071	0.784	0.613	pasunkėjimas
aggregate	0.730	0.378	0.556	agregatas
aggregation	0.583	0.517	0.694	agregacija
aggresive	0.059	0.971	0.639	agresyvus
aggression	0.094	0.929	0.533	agresija
aggressive	0.125	0.949	0.648	agresyvus
aggressively	0.250	0.926	0.688	agresyviai
aggressiveness	0.077	0.913	0.648	agresyvumas
aggressor	0.146	0.948	0.823	agresorius
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	pasibaisėjęs
aghhh	0.281	0.635	0.243	aghhh
agile	0.800	0.657	0.775	judrus
agility	0.720	0.702	0.815	judrumas
aging	0.214	0.255	0.284	senėjimas
agitate	0.300	0.796	0.593	agituoti
agitated	0.444	0.882	0.491	susijaudinęs
agitation	0.240	0.931	0.447	agitacija
aglow	0.780	0.510	0.797	švyti
agnostic	0.306	0.396	0.574	agnostikas
ago	0.317	0.280	0.404	prieš
agonizing	0.083	0.800	0.340	kankinantis
agony	0.083	0.775	0.393	agonija
agoraphobia	0.127	0.712	0.438	agorafobija
agree	0.906	0.260	0.545	sutinku
agreeable	0.906	0.500	0.696	priimtinas
agreed	0.797	0.449	0.574	sutiko
agreeing	0.854	0.480	0.557	sutikdamas
agreement	0.760	0.440	0.736	susitarimą
agressive	0.083	0.918	0.751	agresyvus
agricultural	0.686	0.321	0.473	žemės ūkio
agriculture	0.640	0.357	0.465	Žemdirbystė
aground	0.333	0.340	0.445	ant seklumos
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	priekyje
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhh
ahoy	0.500	0.497	0.380	ahoy
aid	0.796	0.491	0.541	pagalba
aide	0.724	0.342	0.434	padėjėjas
aiding	0.643	0.533	0.569	pagalba
aids	0.561	0.480	0.500	pagalbinės priemonės
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	sergantis
ailment	0.146	0.734	0.277	negalavimas
aim	0.481	0.569	0.567	tikslas
aimless	0.150	0.267	0.183	betikslis
air	0.708	0.163	0.427	oro
airbag	0.510	0.402	0.433	oro pagalvė
airborne	0.542	0.519	0.385	ore
aircraft	0.646	0.644	0.691	lėktuvas
aircraft carrier	0.490	0.740	0.727	lėktuvnešis
airfield	0.601	0.650	0.645	aerodromas
airhead	0.271	0.481	0.276	oro galvutė
airlift	0.573	0.622	0.642	oro transportu
airline	0.650	0.482	0.688	aviakompanija
airliner	0.667	0.777	0.647	lėktuvas
airlock	0.398	0.520	0.447	oro užraktas
airman	0.587	0.716	0.721	oreivis
airplane	0.719	0.702	0.708	lėktuvas
airport	0.729	0.684	0.682	oro uostas
airs	0.583	0.196	0.370	eteryje
airship	0.542	0.472	0.529	dirižablis
airspace	0.562	0.510	0.640	oro erdvė
airspeed	0.583	0.780	0.544	oro greitis
airstrip	0.550	0.690	0.649	aerodromas
airtight	0.479	0.381	0.570	sandarus
airway	0.638	0.585	0.482	kvėpavimo takus
aisle	0.438	0.222	0.283	praėjimas
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	praviras
aka	0.459	0.358	0.351	dar žinomas
akin	0.639	0.343	0.523	artimas
alabaster	0.542	0.404	0.445	alebastras
alarm	0.241	0.882	0.698	signalizacija
alarm clock	0.542	0.727	0.642	Žadintuvas
alarmed	0.188	0.822	0.492	sunerimęs
alarming	0.204	0.890	0.585	nerimą keliantis
alas	0.571	0.310	0.279	deja
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatrosas
albino	0.500	0.240	0.358	albinosas
album	0.635	0.349	0.453	albumas
alchemy	0.541	0.583	0.693	alchemija
alcohol	0.323	0.667	0.377	alkoholio
alcoholic	0.153	0.688	0.361	alkoholikas
alcoholism	0.061	0.779	0.407	alkoholizmas
alcove	0.490	0.340	0.356	nišas
alderman	0.550	0.459	0.691	seniūnas
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	budrus
alertness	0.375	0.875	0.750	budrumas
alerts	0.337	0.804	0.673	įspėjimai
alfalfa	0.546	0.250	0.311	liucerna
algebra	0.440	0.340	0.565	algebra
algebraic	0.531	0.412	0.441	algebrinė
algorithm	0.448	0.394	0.559	algoritmas
alias	0.541	0.353	0.333	slapyvardis
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	ateivis
alienate	0.247	0.500	0.523	atstumti
alienated	0.410	0.423	0.559	susvetimėjęs
alienation	0.378	0.530	0.462	susvetimėjimas
alight	0.667	0.657	0.605	užsidegti
align	0.656	0.364	0.627	lygiuotis
aligned	0.583	0.275	0.553	sulygiuota
alignment	0.643	0.412	0.683	lygiavimas
alike	0.653	0.173	0.444	panašiai
alimentation	0.781	0.551	0.602	maitinimas
alimony	0.612	0.477	0.464	alimentai
aliquot	0.440	0.310	0.404	alikvotinė dalis
alive	0.816	0.637	0.731	gyvas
alkali	0.490	0.350	0.408	šarmas
alkaloids	0.433	0.562	0.402	alkaloidai
allay	0.417	0.406	0.398	numalšinti
allegation	0.578	0.578	0.608	kaltinimas
allege	0.418	0.482	0.587	kaltinti
alleged	0.365	0.522	0.520	tariamas
allegiance	0.917	0.398	0.750	ištikimybė
allegorical	0.517	0.558	0.598	alegorinis
allegory	0.615	0.580	0.509	alegorija
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	alergiškas
allergy	0.296	0.606	0.389	alergija
alleviate	0.869	0.270	0.528	palengvinti
alleviation	0.735	0.200	0.491	palengvinimas
alley	0.347	0.500	0.355	alėja
alleyway	0.357	0.471	0.382	alėja
alliance	0.696	0.473	0.769	aljansą
allied	0.714	0.245	0.642	sąjungininkas
alligator	0.354	0.704	0.645	aligatorius
allocate	0.673	0.462	0.672	paskirstyti
allocation	0.604	0.388	0.679	paskirstymas
allot	0.622	0.481	0.616	paskirstyti
allotment	0.600	0.390	0.640	paskirstymas
allow	0.698	0.429	0.538	leisti
allowable	0.698	0.500	0.561	leistina
allowance	0.673	0.382	0.591	pašalpa
allowed	0.730	0.360	0.655	leidžiama
alloy	0.583	0.443	0.593	lydinio
allsmiles	0.786	0.528	0.430	visos šypsenos
allure	0.804	0.585	0.686	viliojimas
alluring	0.837	0.745	0.843	viliojantis
allusion	0.440	0.308	0.462	aliuzija
alluvial	0.323	0.490	0.491	aliuvinis
ally	0.792	0.320	0.688	sąjungininkas
almanac	0.688	0.190	0.412	almanachas
almighty	0.938	0.874	0.958	visagalis
almond	0.698	0.183	0.314	migdolų
aloft	0.771	0.373	0.700	aukštai
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	vienas
alongside	0.458	0.333	0.347	greta
aloof	0.189	0.423	0.302	nuošaliai
aloud	0.458	0.713	0.750	garsiai
alpha	0.708	0.340	0.755	alfa
alphabet	0.562	0.204	0.672	abėcėlė
alphabetical	0.537	0.296	0.535	abėcėlinis
alpine	0.594	0.337	0.474	alpinis
alreadyyyyy	0.592	0.717	0.351	jauyyyy
altar	0.724	0.387	0.635	altorius
altar boy	0.434	0.206	0.350	altaristas
alter	0.333	0.694	0.654	pakeisti
alteration	0.167	0.798	0.609	pakeitimas
altercation	0.170	0.806	0.500	ginčas
altered	0.255	0.765	0.500	pakeistas
alternate	0.625	0.363	0.589	Alternatyva
alternating	0.480	0.494	0.542	pakaitomis
alternative	0.628	0.373	0.631	alternatyva
altimeter	0.615	0.510	0.580	aukščio matuoklis
altitude	0.708	0.482	0.736	aukštis virš jūros lygio
alto	0.656	0.404	0.730	altas
altogether	0.833	0.324	0.644	iš viso
aluminum	0.449	0.280	0.434	aliuminio
alumnus	0.633	0.368	0.422	alumnas
alveolar	0.469	0.481	0.367	alveolinis
alzheimers	0.194	0.518	0.319	alzheimeriai
amalgam	0.438	0.333	0.510	amalgama
amalgamation	0.406	0.470	0.531	susijungimas
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	kaupti
amateur	0.469	0.500	0.409	mėgėjas
amaze	0.896	0.843	0.783	nustebinti
amazed	0.796	0.779	0.533	nustebęs
amazedness	0.827	0.872	0.510	nuostaba
amazement	0.750	0.800	0.639	nuostaba
amazing	0.906	0.837	0.849	nuostabi
amazingly	0.918	0.765	0.920	nuostabiai
ambassador	0.651	0.529	0.917	ambasadorius
amber	0.635	0.308	0.369	gintaras
ambience	0.735	0.356	0.426	atmosfera
ambient	0.625	0.360	0.582	aplinkos
ambiguity	0.164	0.460	0.370	dviprasmiškumas
ambiguous	0.265	0.462	0.358	dviprasmiškas
ambit	0.479	0.380	0.386	ambicija
ambition	0.510	0.804	0.661	ambicijos
ambitious	0.484	0.821	0.717	ambicinga
ambivalent	0.510	0.404	0.482	ambivalentiškas
ambrosia	0.571	0.452	0.480	ambrozija
ambulance	0.500	0.750	0.609	greitoji pagalba
ambush	0.281	0.830	0.500	pasalą
ameliorate	0.770	0.548	0.747	pagerinti
amen	0.781	0.182	0.542	amen
amenable	0.448	0.410	0.406	priimtinas
amend	0.688	0.406	0.658	pataisyti
amendment	0.531	0.459	0.606	pakeitimas
amends	0.640	0.366	0.517	pakeičia
amenity	0.750	0.327	0.574	patogumas
amethyst	0.622	0.406	0.517	ametistas
amiable	0.847	0.290	0.483	malonus
amicable	0.875	0.330	0.507	draugiškas
amid	0.510	0.340	0.256	vidury
amidst	0.480	0.330	0.316	tarp
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	amunicija
ammonia	0.292	0.587	0.409	amoniako
ammonium	0.354	0.396	0.368	amonio
ammunition	0.338	0.635	0.667	amunicija
amnesia	0.296	0.330	0.308	amnezija
amnesty	0.551	0.451	0.814	amnestija
amorous	0.844	0.670	0.636	įsimylėjęs
amorphous	0.327	0.402	0.349	amorfinis
amortization	0.592	0.491	0.522	amortizacija
amount	0.562	0.422	0.649	suma
amour	0.865	0.480	0.652	meilė
amp	0.439	0.393	0.375	stiprintuvas
ampersand	0.480	0.448	0.483	ampersandas
amphetamines	0.133	0.667	0.526	amfetaminų
amphibian	0.427	0.357	0.474	amfibija
amphibious	0.479	0.346	0.445	amfibija
amphitheater	0.653	0.480	0.545	amfiteatras
ample	0.744	0.349	0.719	gausu
amplification	0.690	0.677	0.810	stiprinimas
amplify	0.677	0.735	0.827	didinti
amplitude	0.694	0.439	0.692	amplitudė
amply	0.781	0.431	0.766	gausiai
amputate	0.092	0.660	0.509	amputuoti
amputation	0.100	0.755	0.483	amputacija
amuck	0.385	0.602	0.321	apgaulė
amulet	0.781	0.260	0.630	amuletas
amuse	0.812	0.684	0.664	linksmintis
amused	0.942	0.847	0.596	linksminosi
amusement	0.929	0.837	0.803	pramoga
amusing	0.960	0.829	0.632	linksmas
ana	0.541	0.300	0.314	ana
anaconda	0.146	0.830	0.540	anakonda
anaesthesia	0.350	0.217	0.473	anestezija
anaesthetic	0.449	0.268	0.509	anestetikas
