English Word	Valence	Arousal	Dominance	Esperanto Word
acorn	0.448	0.198	0.192	glano
acoustic	0.542	0.462	0.536	akustika
acoustics	0.611	0.330	0.509	akustiko
acquaint	0.646	0.491	0.639	konatiĝi
acquaintance	0.656	0.290	0.670	konato
acquainted	0.906	0.358	0.632	konata
acquiescence	0.542	0.480	0.554	konsento
acquire	0.833	0.468	0.700	akiri
acquiring	0.735	0.510	0.817	akirante
acquisition	0.698	0.509	0.736	akiro
acquisitions	0.773	0.660	0.790	akiroj
acquit	0.583	0.571	0.611	absolvi
acquittal	0.760	0.497	0.700	malkondamno
acre	0.583	0.387	0.423	akreo
acreage	0.741	0.450	0.528	areon
acres	0.510	0.363	0.500	akreoj
acrobat	0.708	0.828	0.602	akrobato
acrylic	0.582	0.279	0.420	akrila
act	0.656	0.704	0.735	akto
acting	0.698	0.643	0.500	aktorado
action	0.760	0.898	0.802	ago
action figure	0.615	0.774	0.611	agfiguro
actionable	0.673	0.702	0.613	akceptebla
activate	0.764	0.650	0.806	aktivigi
activation	0.781	0.800	0.754	aktivigo
active	0.847	0.730	0.731	aktiva
activist	0.531	0.653	0.877	aktivulo
activity	0.701	0.660	0.807	aktiveco
actor	0.653	0.561	0.629	aktoro
actress	0.633	0.556	0.596	aktorino
actual	0.729	0.400	0.716	fakta
actuality	0.750	0.464	0.600	aktualeco
actuary	0.510	0.404	0.491	aktuario
acuity	0.469	0.378	0.741	akreco
acumen	0.564	0.660	0.679	sagaco
acupuncture	0.531	0.324	0.549	akupunkturo
acute	0.427	0.652	0.534	akra
acutely	0.417	0.543	0.491	akre
ad	0.521	0.705	0.558	ad
adage	0.517	0.415	0.566	adago
adamant	0.344	0.529	0.575	nefleksebla
adapt	0.740	0.355	0.551	adapti
adaptable	0.735	0.423	0.641	adaptebla
adaptation	0.663	0.365	0.609	adapto
add	0.728	0.490	0.554	aldoni
added	0.562	0.405	0.509	aldonis
addendum	0.392	0.370	0.418	aldono
adder	0.388	0.461	0.588	vipuro
addict	0.075	0.696	0.327	toksomaniulo
addicted	0.156	0.712	0.483	toksomaniulo
addiction	0.180	0.806	0.420	toksomanio
addictive	0.302	0.683	0.472	dependiga
addition	0.562	0.373	0.471	aldono
additional	0.673	0.462	0.526	aldonaj
additive	0.561	0.633	0.691	aldonaĵo
address	0.650	0.327	0.567	adreso
addressee	0.622	0.382	0.538	adresato
addresses	0.510	0.354	0.450	adresoj
adept	0.594	0.539	0.789	adepto
adequacy	0.615	0.435	0.702	taŭgeco
adequate	0.854	0.264	0.705	adekvata
adhere	0.633	0.339	0.554	aliĝi
adherence	0.760	0.307	0.630	aliĝo
adherent	0.561	0.385	0.555	adepto
adhering	0.612	0.561	0.537	aliĝanta
adhesion	0.521	0.445	0.586	adhero
adhesive	0.604	0.350	0.413	gluo
adieu	0.250	0.471	0.342	adiaŭo
adipose	0.333	0.350	0.391	adipoza
adjacency	0.365	0.417	0.375	apudeco
adjacent	0.645	0.276	0.536	apuda
adjective	0.570	0.316	0.569	adjektivo
adjoining	0.520	0.400	0.393	apuda
adjourn	0.385	0.456	0.475	paŭzi
adjournment	0.438	0.510	0.370	paŭzo
adjudicate	0.559	0.520	0.683	juĝi
adjudication	0.551	0.462	0.691	adjudikado
adjunct	0.459	0.440	0.426	adjunkto
adjust	0.647	0.327	0.638	alĝustigi
adjuster	0.510	0.540	0.760	ĝustigilo
adjustment	0.590	0.520	0.661	alĝustigo
adjuvant	0.510	0.500	0.456	adjuvanto
admin	0.688	0.420	0.854	admin
administer	0.635	0.425	0.860	administri
administration	0.625	0.404	0.786	administrado
administrative	0.542	0.415	0.579	administra
administrator	0.538	0.480	0.902	administranto
admirable	0.929	0.600	0.870	admirinda
admiral	0.844	0.490	0.847	admiralo
admiralty	0.594	0.547	0.733	admiraleco
admiration	0.969	0.583	0.726	admiro
admire	0.867	0.692	0.704	admiri
admired	0.917	0.560	0.815	admirita
admirer	0.796	0.720	0.650	admiranto
admiring	0.867	0.578	0.629	admirante
admissibility	0.802	0.580	0.602	akceptebleco
admissible	0.780	0.528	0.642	akceptebla
admission	0.802	0.415	0.732	konfeso
admit	0.538	0.423	0.667	konfesu
admittance	0.690	0.451	0.598	akcepto
admitted	0.720	0.490	0.767	konfesis
admitting	0.620	0.500	0.546	konfesante
admixture	0.450	0.375	0.438	aldonaĵo
admonition	0.357	0.606	0.455	admono
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	adobo
adolescence	0.487	0.694	0.444	adoleskeco
adolescent	0.781	0.680	0.509	adoleskanto
adopt	0.694	0.612	0.701	adopti
adoption	0.625	0.566	0.589	adopto
adoptive	0.531	0.469	0.520	adoptita
adorable	0.969	0.519	0.457	adorinda
adoration	0.885	0.699	0.708	adorado
adore	0.854	0.438	0.657	adoras
adoring	0.885	0.620	0.717	adorante
adorn	0.910	0.424	0.482	ornami
adornment	0.918	0.373	0.377	ornamo
adrenalin	0.865	0.920	0.786	adrenalino
adrenaline	0.765	0.965	0.825	adrenalino
adrift	0.398	0.486	0.230	deriva
adult	0.815	0.491	0.787	plenkreskulo
adulterated	0.188	0.865	0.370	falsigita
adulterer	0.229	0.814	0.407	adultulo
adultery	0.120	0.922	0.510	adulto
adulthood	0.541	0.454	0.652	plenaĝeco
advance	0.673	0.472	0.858	antaŭeniĝo
advanced	0.844	0.623	0.797	progresinta
advancement	0.776	0.650	0.839	progresigo
advancing	0.929	0.608	0.812	antaŭenirante
advantage	0.917	0.548	0.859	avantaĝon
advantageous	0.837	0.640	0.789	avantaĝa
advent	0.665	0.560	0.627	advento
adventure	0.917	0.857	0.710	aventuro
adventurer	0.781	0.839	0.868	aventuristo
adventures	0.812	0.764	0.749	aventuroj
adventurous	0.969	0.898	0.722	aventurema
adversary	0.349	0.777	0.457	kontraŭulo
adverse	0.323	0.610	0.385	malfavora
adversity	0.276	0.760	0.538	mizero
advertise	0.500	0.529	0.580	reklami
advertisement	0.600	0.566	0.539	reklamo
advertising	0.622	0.608	0.632	reklamado
adverts	0.551	0.500	0.595	reklamoj
advice	0.698	0.408	0.688	konsilon
advisable	0.867	0.480	0.510	konsilinde
advise	0.760	0.393	0.705	konsili
advised	0.823	0.330	0.509	konsilis
advisement	0.698	0.235	0.655	konsilo
adviser	0.745	0.362	0.705	konsilisto
advisor	0.646	0.350	0.689	konsilisto
advisory	0.656	0.429	0.633	konsila
advocacy	0.500	0.646	0.731	pledado
advocate	0.551	0.530	0.818	advokato
aegis	0.490	0.439	0.462	egido
aeration	0.550	0.500	0.433	aerigado
aerial	0.615	0.461	0.463	aera
aerobics	0.708	0.771	0.627	aerobiko
aerodrome	0.541	0.740	0.678	flughaveno
aerodynamic	0.561	0.724	0.728	aerodinamika
aerodynamics	0.590	0.663	0.722	aerodinamiko
aeronautics	0.551	0.633	0.688	aeronaŭtiko
aeroplane	0.714	0.642	0.644	aviadilo
aerospace	0.643	0.520	0.779	aerospaco
aesthetic	0.708	0.442	0.526	estetika
aesthetics	0.847	0.327	0.549	estetiko
aetiology	0.480	0.398	0.615	etiologio
afar	0.396	0.373	0.358	malproksime
affable	0.704	0.380	0.452	afabla
affair	0.520	0.459	0.657	afero
affect	0.458	0.569	0.578	afekcii
affecting	0.350	0.574	0.394	influanta
affection	0.898	0.559	0.696	korinklino
affectionate	0.949	0.422	0.550	amema
affections	0.760	0.547	0.655	korinklinoj
affiche	0.479	0.265	0.402	afiŝo
affidavit	0.469	0.584	0.526	afidavito
affiliated	0.673	0.519	0.535	filiigita
affiliation	0.615	0.594	0.500	alligiteco
affinity	0.800	0.500	0.537	afineco
affirm	0.745	0.509	0.731	aserti
affirmation	0.750	0.500	0.689	aserto
affirmative	0.854	0.589	0.816	jesa
affirmatively	0.908	0.500	0.811	jese
affix	0.438	0.335	0.411	afikso
afflict	0.302	0.555	0.293	aflikti
afflicted	0.271	0.500	0.167	afliktita
affliction	0.294	0.635	0.392	aflikto
affluence	0.663	0.618	0.722	riĉeco
affluent	0.756	0.388	0.477	riĉa
afford	0.571	0.580	0.575	pagi
affordable	0.840	0.398	0.493	pagebla
affront	0.327	0.740	0.547	ofendo
affronted	0.385	0.750	0.527	ofendita
afield	0.594	0.370	0.373	fore
afire	0.367	0.904	0.675	fajro
afloat	0.602	0.427	0.444	flosante
afore	0.500	0.337	0.382	antaŭe
aforementioned	0.490	0.316	0.408	supre menciita
aforesaid	0.531	0.358	0.478	supre dirite
afraid	0.010	0.775	0.245	timigita
afresh	0.643	0.521	0.480	denove
aft	0.480	0.417	0.518	malantaŭe
afterlife	0.571	0.567	0.568	postvivo
aftermath	0.312	0.449	0.444	sekvo
afternoon	0.533	0.388	0.339	posttagmezo
aftershave	0.406	0.384	0.415	postrasado
aftertaste	0.354	0.362	0.455	postgusto
afterthought	0.396	0.392	0.349	postpenso
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	agato
age	0.561	0.226	0.498	aĝo
aged	0.135	0.365	0.236	maljuna
agency	0.460	0.296	0.583	agentejo
agenda	0.531	0.296	0.553	tagordo
agent	0.480	0.439	0.755	agento
agglomeration	0.450	0.765	0.509	aglomerado
aggravate	0.224	0.770	0.464	pligravigi
aggravated	0.079	0.760	0.430	pligravigita
aggravates	0.108	0.778	0.357	pligravigas
aggravating	0.257	0.794	0.640	pligraviganta
aggravation	0.071	0.784	0.613	pligraviĝo
aggregate	0.730	0.378	0.556	entute
aggregation	0.583	0.517	0.694	agregacio
aggresive	0.059	0.971	0.639	agresema
aggression	0.094	0.929	0.533	agreso
aggressive	0.125	0.949	0.648	agresema
aggressively	0.250	0.926	0.688	agreseme
aggressiveness	0.077	0.913	0.648	agresemo
aggressor	0.146	0.948	0.823	agresanto
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	konsternita
aghhh	0.281	0.635	0.243	aghhh
agile	0.800	0.657	0.775	lerta
agility	0.720	0.702	0.815	lerteco
aging	0.214	0.255	0.284	maljuniĝo
agitate	0.300	0.796	0.593	agiti
agitated	0.444	0.882	0.491	agitita
agitation	0.240	0.931	0.447	agitado
aglow	0.780	0.510	0.797	ardas
agnostic	0.306	0.396	0.574	agnostikulo
ago	0.317	0.280	0.404	antaŭ
agonizing	0.083	0.800	0.340	agonizante
agony	0.083	0.775	0.393	agonio
agoraphobia	0.127	0.712	0.438	agorafobio
agree	0.906	0.260	0.545	konsenti
agreeable	0.906	0.500	0.696	agrabla
agreed	0.797	0.449	0.574	konsentis
agreeing	0.854	0.480	0.557	konsentante
agreement	0.760	0.440	0.736	interkonsento
agressive	0.083	0.918	0.751	agresema
agricultural	0.686	0.321	0.473	agrikultura
agriculture	0.640	0.357	0.465	agrikulturo
aground	0.333	0.340	0.445	alfunde
agua	0.598	0.180	0.436	akvo
ahead	0.708	0.520	0.673	antaŭen
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhh
ahoy	0.500	0.497	0.380	ahoy
aid	0.796	0.491	0.541	helpo
aide	0.724	0.342	0.434	helpanto
aiding	0.643	0.533	0.569	helpante
aids	0.561	0.480	0.500	helpojn
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	malsana
ailment	0.146	0.734	0.277	malsano
aim	0.481	0.569	0.567	celi
aimless	0.150	0.267	0.183	sencela
air	0.708	0.163	0.427	aero
airbag	0.510	0.402	0.433	aersako
airborne	0.542	0.519	0.385	aera
aircraft	0.646	0.644	0.691	aviadiloj
aircraft carrier	0.490	0.740	0.727	aviadilŝipo
airfield	0.601	0.650	0.645	flughaveno
airhead	0.271	0.481	0.276	aerkapo
airlift	0.573	0.622	0.642	aerponto
airline	0.650	0.482	0.688	flugkompanio
airliner	0.667	0.777	0.647	kursa aviadilo
airlock	0.398	0.520	0.447	aerkluzo
airman	0.587	0.716	0.721	aviadisto
airplane	0.719	0.702	0.708	aviadilo
airport	0.729	0.684	0.682	flughaveno
airs	0.583	0.196	0.370	aeroj
airship	0.542	0.472	0.529	aerŝipo
airspace	0.562	0.510	0.640	aera spaco
airspeed	0.583	0.780	0.544	aerrapideco
airstrip	0.550	0.690	0.649	startvojo
airtight	0.479	0.381	0.570	hermetika
airway	0.638	0.585	0.482	aervojo
aisle	0.438	0.222	0.283	koridoro
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	duonfermita
aka	0.459	0.358	0.351	alinome
akin	0.639	0.343	0.523	parenca
alabaster	0.542	0.404	0.445	alabastro
alarm	0.241	0.882	0.698	alarmo
alarm clock	0.542	0.727	0.642	vekhorloĝo
alarmed	0.188	0.822	0.492	maltrankviligita
alarming	0.204	0.890	0.585	alarmante
alas	0.571	0.310	0.279	ve!
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatroso
albino	0.500	0.240	0.358	albino
album	0.635	0.349	0.453	albumo
alchemy	0.541	0.583	0.693	alĥemio
alcohol	0.323	0.667	0.377	alkoholo
alcoholic	0.153	0.688	0.361	alkoholulo
alcoholism	0.061	0.779	0.407	alkoholismo
alcove	0.490	0.340	0.356	alkovo
alderman	0.550	0.459	0.691	skabeno
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	garde
alertness	0.375	0.875	0.750	vigleco
alerts	0.337	0.804	0.673	atentigoj
alfalfa	0.546	0.250	0.311	luzerno
algebra	0.440	0.340	0.565	algebro
algebraic	0.531	0.412	0.441	algebra
algorithm	0.448	0.394	0.559	algoritmo
alias	0.541	0.353	0.333	kaŝnomo
alibi	0.396	0.528	0.556	alibio
alien	0.410	0.615	0.491	fremdulo
alienate	0.247	0.500	0.523	fremdigi
alienated	0.410	0.423	0.559	fremdigita
alienation	0.378	0.530	0.462	fremdiĝo
alight	0.667	0.657	0.605	ekbruligi
align	0.656	0.364	0.627	vicigi
aligned	0.583	0.275	0.553	vicigitaj
alignment	0.643	0.412	0.683	vicigo
alike	0.653	0.173	0.444	egale
alimentation	0.781	0.551	0.602	nutrado
alimony	0.612	0.477	0.464	alimento
aliquot	0.440	0.310	0.404	alikvoto
alive	0.816	0.637	0.731	viva
alkali	0.490	0.350	0.408	alkalo
alkaloids	0.433	0.562	0.402	alkaloidoj
allay	0.417	0.406	0.398	mildigi
allegation	0.578	0.578	0.608	akuzo
allege	0.418	0.482	0.587	aserti
alleged	0.365	0.522	0.520	supozita
allegiance	0.917	0.398	0.750	fideleco
allegorical	0.517	0.558	0.598	alegoria
allegory	0.615	0.580	0.509	alegorio
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	alergia
allergy	0.296	0.606	0.389	alergio
alleviate	0.869	0.270	0.528	mildigi
alleviation	0.735	0.200	0.491	mildigo
alley	0.347	0.500	0.355	strateto
alleyway	0.357	0.471	0.382	strateto
alliance	0.696	0.473	0.769	alianco
allied	0.714	0.245	0.642	aliancitaj
alligator	0.354	0.704	0.645	aligatoro
allocate	0.673	0.462	0.672	asigni
allocation	0.604	0.388	0.679	atribuo
allot	0.622	0.481	0.616	asigni
allotment	0.600	0.390	0.640	donado
allow	0.698	0.429	0.538	permesi
allowable	0.698	0.500	0.561	permesebla
allowance	0.673	0.382	0.591	poŝmono
allowed	0.730	0.360	0.655	permesite
alloy	0.583	0.443	0.593	alojo
allsmiles	0.786	0.528	0.430	ĉiuj ridetas
allure	0.804	0.585	0.686	alloge
alluring	0.837	0.745	0.843	alloga
allusion	0.440	0.308	0.462	aludo
alluvial	0.323	0.490	0.491	aluviala
ally	0.792	0.320	0.688	aliancano
almanac	0.688	0.190	0.412	almanako
almighty	0.938	0.874	0.958	ĉiopova
almond	0.698	0.183	0.314	migdalo
aloft	0.771	0.373	0.700	supre
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	sole
alongside	0.458	0.333	0.347	apude
aloof	0.189	0.423	0.302	malproksime
aloud	0.458	0.713	0.750	laŭte
alpha	0.708	0.340	0.755	alfa
alphabet	0.562	0.204	0.672	alfabeto
alphabetical	0.537	0.296	0.535	alfabete
alpine	0.594	0.337	0.474	alpa
alreadyyyyy	0.592	0.717	0.351	jamyyyy
altar	0.724	0.387	0.635	altaro
altar boy	0.434	0.206	0.350	altarknabo
alter	0.333	0.694	0.654	ŝanĝi
alteration	0.167	0.798	0.609	ŝanĝo
altercation	0.170	0.806	0.500	kverelo
altered	0.255	0.765	0.500	ŝanĝita
alternate	0.625	0.363	0.589	alterni
alternating	0.480	0.494	0.542	alternante
alternative	0.628	0.373	0.631	alternativo
altimeter	0.615	0.510	0.580	altimetro
altitude	0.708	0.482	0.736	alteco
alto	0.656	0.404	0.730	alto
altogether	0.833	0.324	0.644	entute
aluminum	0.449	0.280	0.434	aluminio
alumnus	0.633	0.368	0.422	eks-studento
alveolar	0.469	0.481	0.367	alveolaraj
alzheimers	0.194	0.518	0.319	alzheimers
amalgam	0.438	0.333	0.510	amalgamo
amalgamation	0.406	0.470	0.531	fuzio
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	amasigi
amateur	0.469	0.500	0.409	amatoro
amaze	0.896	0.843	0.783	mirigi
amazed	0.796	0.779	0.533	mirigita
amazedness	0.827	0.872	0.510	miro
amazement	0.750	0.800	0.639	miro
amazing	0.906	0.837	0.849	mirinda
amazingly	0.918	0.765	0.920	mirinde
ambassador	0.651	0.529	0.917	ambasadoro
amber	0.635	0.308	0.369	sukceno
ambience	0.735	0.356	0.426	etoso
ambient	0.625	0.360	0.582	ĉirkaŭa
ambiguity	0.164	0.460	0.370	ambigueco
ambiguous	0.265	0.462	0.358	ambigua
ambit	0.479	0.380	0.386	ambit
ambition	0.510	0.804	0.661	ambicio
ambitious	0.484	0.821	0.717	ambicia
ambivalent	0.510	0.404	0.482	ambivalenta
ambrosia	0.571	0.452	0.480	ambrozio
ambulance	0.500	0.750	0.609	ambulanco
ambush	0.281	0.830	0.500	embusko
ameliorate	0.770	0.548	0.747	plibonigi
amen	0.781	0.182	0.542	amen
amenable	0.448	0.410	0.406	akceptebla
amend	0.688	0.406	0.658	amendi
amendment	0.531	0.459	0.606	amendo
amends	0.640	0.366	0.517	amendoj
amenity	0.750	0.327	0.574	agrableco
amethyst	0.622	0.406	0.517	ametisto
amiable	0.847	0.290	0.483	afabla
amicable	0.875	0.330	0.507	amikeca
amid	0.510	0.340	0.256	inter
amidst	0.480	0.330	0.316	meze
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	municio
ammonia	0.292	0.587	0.409	amoniako
ammonium	0.354	0.396	0.368	amonio
ammunition	0.338	0.635	0.667	municio
amnesia	0.296	0.330	0.308	amnezio
amnesty	0.551	0.451	0.814	amnestio
amorous	0.844	0.670	0.636	amora
amorphous	0.327	0.402	0.349	amorfa
amortization	0.592	0.491	0.522	amortizo
amount	0.562	0.422	0.649	kvanto
amour	0.865	0.480	0.652	amo
amp	0.439	0.393	0.375	ampero
ampersand	0.480	0.448	0.483	ampersand
amphetamines	0.133	0.667	0.526	amfetaminoj
amphibian	0.427	0.357	0.474	amfibio
amphibious	0.479	0.346	0.445	amfibia
amphitheater	0.653	0.480	0.545	amfiteatro
ample	0.744	0.349	0.719	ampleksa
amplification	0.690	0.677	0.810	plifortigo
amplify	0.677	0.735	0.827	pligrandigi
amplitude	0.694	0.439	0.692	amplitudo
amply	0.781	0.431	0.766	abunde
amputate	0.092	0.660	0.509	amputi
amputation	0.100	0.755	0.483	amputado
amuck	0.385	0.602	0.321	amuck
amulet	0.781	0.260	0.630	amuleto
amuse	0.812	0.684	0.664	amuzi
amused	0.942	0.847	0.596	amuzita
amusement	0.929	0.837	0.803	amuzo
amusing	0.960	0.829	0.632	amuza
ana	0.541	0.300	0.314	ana
anaconda	0.146	0.830	0.540	anakondo
anaesthesia	0.350	0.217	0.473	anestezo
anaesthetic	0.449	0.268	0.509	anestezilo
anagram	0.552	0.327	0.449	anagramo
anal	0.333	0.798	0.334	anal
analgesic	0.417	0.321	0.441	analgeziko
analogous	0.531	0.270	0.500	analoga
analogue	0.570	0.320	0.446	analoga
analogy	0.510	0.367	0.509	analogio
analysis	0.729	0.448	0.705	analizo
analyst	0.604	0.415	0.755	analizisto
analytic	0.665	0.521	0.634	analiza
analytical	0.625	0.324	0.800	analizaj
analyze	0.667	0.462	0.710	analizi
analyzer	0.625	0.556	0.854	analizilo
anaphylactic	0.378	0.588	0.500	anafilaksa
anarchism	0.125	0.804	0.623	anarkiismo
anarchist	0.204	0.700	0.759	anarkiisto
anarchy	0.146	0.755	0.620	anarkio
anastomosis	0.375	0.470	0.490	anastomozo
anathema	0.286	0.490	0.519	anatemo
anatomic	0.562	0.442	0.546	anatomia
anatomy	0.562	0.390	0.571	anatomio
ancestor	0.592	0.388	0.594	prapatro
ancestral	0.640	0.481	0.750	praula
ancestry	0.708	0.519	0.717	deveno
anchor	0.520	0.284	0.564	ankro
anchorage	0.500	0.325	0.639	ankrejo
ancient	0.420	0.217	0.439	antikva
ancillary	0.449	0.442	0.278	helpa
