English Word	Valence	Arousal	Dominance	Basque Word
acknowledged	0.714	0.443	0.765	aitortu
acknowledgement	0.819	0.539	0.830	aitorpena
acknowledgment	0.796	0.528	0.777	aitorpena
acme	0.408	0.435	0.375	akme
acne	0.167	0.474	0.308	aknea
acorn	0.448	0.198	0.192	ezkurra
acoustic	0.542	0.462	0.536	akustikoa
acoustics	0.611	0.330	0.509	akustika
acquaint	0.646	0.491	0.639	ezagutu
acquaintance	0.656	0.290	0.670	ezagun
acquainted	0.906	0.358	0.632	ezagunak
acquiescence	0.542	0.480	0.554	adostasuna
acquire	0.833	0.468	0.700	eskuratu
acquiring	0.735	0.510	0.817	eskuratzen
acquisition	0.698	0.509	0.736	eskuratzea
acquisitions	0.773	0.660	0.790	eskuraketak
acquit	0.583	0.571	0.611	absolbitu
acquittal	0.760	0.497	0.700	absoluzioa
acre	0.583	0.387	0.423	akre
acreage	0.741	0.450	0.528	azalera
acres	0.510	0.363	0.500	hektarea
acrobat	0.708	0.828	0.602	akrobata
acrylic	0.582	0.279	0.420	akrilikoa
act	0.656	0.704	0.735	jardun
acting	0.698	0.643	0.500	antzezten
action	0.760	0.898	0.802	ekintza
action figure	0.615	0.774	0.611	ekintza-figura
actionable	0.673	0.702	0.613	jarduteko modukoa
activate	0.764	0.650	0.806	aktibatu
activation	0.781	0.800	0.754	aktibazioa
active	0.847	0.730	0.731	aktiboa
activist	0.531	0.653	0.877	aktibista
activity	0.701	0.660	0.807	jarduera
actor	0.653	0.561	0.629	aktorea
actress	0.633	0.556	0.596	aktorea
actual	0.729	0.400	0.716	benetakoa
actuality	0.750	0.464	0.600	aktualitatea
actuary	0.510	0.404	0.491	aktuario
acuity	0.469	0.378	0.741	zorroztasuna
acumen	0.564	0.660	0.679	zaletasuna
acupuncture	0.531	0.324	0.549	akupuntura
acute	0.427	0.652	0.534	akutua
acutely	0.417	0.543	0.491	zorrotz
ad	0.521	0.705	0.558	ad
adage	0.517	0.415	0.566	esaera
adamant	0.344	0.529	0.575	irmo
adapt	0.740	0.355	0.551	moldatu
adaptable	0.735	0.423	0.641	moldagarria
adaptation	0.663	0.365	0.609	egokitzapena
add	0.728	0.490	0.554	gehitu
added	0.562	0.405	0.509	gehitu
addendum	0.392	0.370	0.418	gehigarria
adder	0.388	0.461	0.588	batutzailea
addict	0.075	0.696	0.327	mendekoa
addicted	0.156	0.712	0.483	mendekoa
addiction	0.180	0.806	0.420	mendekotasuna
addictive	0.302	0.683	0.472	mendekotasuna
addition	0.562	0.373	0.471	gainera
additional	0.673	0.462	0.526	osagarria
additive	0.561	0.633	0.691	gehigarria
address	0.650	0.327	0.567	helbidea
addressee	0.622	0.382	0.538	hartzailea
addresses	0.510	0.354	0.450	helbideak
adept	0.594	0.539	0.789	trebea
adequacy	0.615	0.435	0.702	egokitasuna
adequate	0.854	0.264	0.705	egokia
adhere	0.633	0.339	0.554	atxiki
adherence	0.760	0.307	0.630	atxikimendua
adherent	0.561	0.385	0.555	atxikia
adhering	0.612	0.561	0.537	atxikitzen
adhesion	0.521	0.445	0.586	atxikimendua
adhesive	0.604	0.350	0.413	itsasgarri
adieu	0.250	0.471	0.342	agur
adipose	0.333	0.350	0.391	adiposoa
adjacency	0.365	0.417	0.375	albokotasuna
adjacent	0.645	0.276	0.536	ondoan
adjective	0.570	0.316	0.569	izenlaguna
adjoining	0.520	0.400	0.393	aldamenean
adjourn	0.385	0.456	0.475	eten
adjournment	0.438	0.510	0.370	etenaldia
adjudicate	0.559	0.520	0.683	epaitu
adjudication	0.551	0.462	0.691	adjudikazioa
adjunct	0.459	0.440	0.426	osagarria
adjust	0.647	0.327	0.638	egokitu
adjuster	0.510	0.540	0.760	doitzaile
adjustment	0.590	0.520	0.661	doikuntza
adjuvant	0.510	0.500	0.456	laguntzailea
admin	0.688	0.420	0.854	admin
administer	0.635	0.425	0.860	administratu
administration	0.625	0.404	0.786	administrazioa
administrative	0.542	0.415	0.579	administratiboa
administrator	0.538	0.480	0.902	administratzailea
admirable	0.929	0.600	0.870	miresgarria
admiral	0.844	0.490	0.847	almirante
admiralty	0.594	0.547	0.733	almirantea
admiration	0.969	0.583	0.726	miresmena
admire	0.867	0.692	0.704	miretsi
admired	0.917	0.560	0.815	miretsia
admirer	0.796	0.720	0.650	miresle
admiring	0.867	0.578	0.629	miretsiz
admissibility	0.802	0.580	0.602	onargarritasuna
admissible	0.780	0.528	0.642	onargarria
admission	0.802	0.415	0.732	onarpena
admit	0.538	0.423	0.667	onartu
admittance	0.690	0.451	0.598	onarpena
admitted	0.720	0.490	0.767	onartu
admitting	0.620	0.500	0.546	onartuz
admixture	0.450	0.375	0.438	nahasketa
admonition	0.357	0.606	0.455	abisua
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	nerabezaroa
adolescent	0.781	0.680	0.509	nerabe
adopt	0.694	0.612	0.701	adoptatu
adoption	0.625	0.566	0.589	adopzioa
adoptive	0.531	0.469	0.520	adopziozkoa
adorable	0.969	0.519	0.457	adoragarria
adoration	0.885	0.699	0.708	adorazioa
adore	0.854	0.438	0.657	adoratu
adoring	0.885	0.620	0.717	adoratzen
adorn	0.910	0.424	0.482	apaindu
adornment	0.918	0.373	0.377	apaingarri
adrenalin	0.865	0.920	0.786	adrenalina
adrenaline	0.765	0.965	0.825	adrenalina
adrift	0.398	0.486	0.230	noraezean
adult	0.815	0.491	0.787	heldua
adulterated	0.188	0.865	0.370	adulteratua
adulterer	0.229	0.814	0.407	adultero
adultery	0.120	0.922	0.510	adulterioa
adulthood	0.541	0.454	0.652	helduaroa
advance	0.673	0.472	0.858	aldez aurretik
advanced	0.844	0.623	0.797	aurreratua
advancement	0.776	0.650	0.839	aurrerapena
advancing	0.929	0.608	0.812	aurreratuz
advantage	0.917	0.548	0.859	abantaila
advantageous	0.837	0.640	0.789	abantailatsu
advent	0.665	0.560	0.627	etorrera
adventure	0.917	0.857	0.710	abentura
adventurer	0.781	0.839	0.868	abenturazalea
adventures	0.812	0.764	0.749	abenturak
adventurous	0.969	0.898	0.722	abenturazalea
adversary	0.349	0.777	0.457	aurkari
adverse	0.323	0.610	0.385	kontrakoa
adversity	0.276	0.760	0.538	ezbeharra
advertise	0.500	0.529	0.580	iragarki
advertisement	0.600	0.566	0.539	iragarkia
advertising	0.622	0.608	0.632	publizitatea
adverts	0.551	0.500	0.595	iragarkiak
advice	0.698	0.408	0.688	aholkuak
advisable	0.867	0.480	0.510	komenigarria
advise	0.760	0.393	0.705	aholkatu
advised	0.823	0.330	0.509	gomendatu
advisement	0.698	0.235	0.655	aholkua
adviser	0.745	0.362	0.705	aholkulari
advisor	0.646	0.350	0.689	aholkularia
advisory	0.656	0.429	0.633	aholkularitza
advocacy	0.500	0.646	0.731	aldarrikapena
advocate	0.551	0.530	0.818	defendatzailea
aegis	0.490	0.439	0.462	aegis
aeration	0.550	0.500	0.433	aireztapena
aerial	0.615	0.461	0.463	airekoa
aerobics	0.708	0.771	0.627	aerobika
aerodrome	0.541	0.740	0.678	aerodromoa
aerodynamic	0.561	0.724	0.728	aerodinamikoa
aerodynamics	0.590	0.663	0.722	aerodinamika
aeronautics	0.551	0.633	0.688	aeronautika
aeroplane	0.714	0.642	0.644	hegazkin
aerospace	0.643	0.520	0.779	aeroespaziala
aesthetic	0.708	0.442	0.526	estetikoa
aesthetics	0.847	0.327	0.549	estetika
aetiology	0.480	0.398	0.615	etiologia
afar	0.396	0.373	0.358	urrun
affable	0.704	0.380	0.452	adeigarria
affair	0.520	0.459	0.657	afera
affect	0.458	0.569	0.578	eragin
affecting	0.350	0.574	0.394	eragiten
affection	0.898	0.559	0.696	maitasuna
affectionate	0.949	0.422	0.550	maitagarria
affections	0.760	0.547	0.655	afektuak
affiche	0.479	0.265	0.402	kartela
affidavit	0.469	0.584	0.526	zinpeko aitorpena
affiliated	0.673	0.519	0.535	afiliatua
affiliation	0.615	0.594	0.500	afiliazioa
affinity	0.800	0.500	0.537	kidetasuna
affirm	0.745	0.509	0.731	baietz
affirmation	0.750	0.500	0.689	baieztapena
affirmative	0.854	0.589	0.816	baiezkoa
affirmatively	0.908	0.500	0.811	baietz
affix	0.438	0.335	0.411	afixua
afflict	0.302	0.555	0.293	mindu
afflicted	0.271	0.500	0.167	minduta
affliction	0.294	0.635	0.392	gaitz
affluence	0.663	0.618	0.722	oparotasuna
affluent	0.756	0.388	0.477	aberatsa
afford	0.571	0.580	0.575	ordaindu
affordable	0.840	0.398	0.493	merkean
affront	0.327	0.740	0.547	afronta
affronted	0.385	0.750	0.527	irainduta
afield	0.594	0.370	0.373	kanpoan
afire	0.367	0.904	0.675	sutan
afloat	0.602	0.427	0.444	ur gainean
afore	0.500	0.337	0.382	aurretik
aforementioned	0.490	0.316	0.408	aipatutakoa
aforesaid	0.531	0.358	0.478	lehen esandakoa
afraid	0.010	0.775	0.245	beldur
afresh	0.643	0.521	0.480	barriz
aft	0.480	0.417	0.518	atzean
afterlife	0.571	0.567	0.568	ondorengo bizitza
aftermath	0.312	0.449	0.444	ondorengoa
afternoon	0.533	0.388	0.339	arratsaldean
aftershave	0.406	0.384	0.415	bizarra egin ondoren
aftertaste	0.354	0.362	0.455	zaporea
afterthought	0.396	0.392	0.349	ondoren pentsatuta
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	agata
age	0.561	0.226	0.498	adina
aged	0.135	0.365	0.236	zahartua
agency	0.460	0.296	0.583	agentzia
agenda	0.531	0.296	0.553	agenda
agent	0.480	0.439	0.755	agente
agglomeration	0.450	0.765	0.509	aglomerazioa
aggravate	0.224	0.770	0.464	areagotu
aggravated	0.079	0.760	0.430	larriagotu
aggravates	0.108	0.778	0.357	areagotu egiten du
aggravating	0.257	0.794	0.640	larrigarri
aggravation	0.071	0.784	0.613	larritasuna
aggregate	0.730	0.378	0.556	agregatua
aggregation	0.583	0.517	0.694	batuketa
aggresive	0.059	0.971	0.639	oldarkorra
aggression	0.094	0.929	0.533	oldarkortasuna
aggressive	0.125	0.949	0.648	oldarkorra
aggressively	0.250	0.926	0.688	oldarkorki
aggressiveness	0.077	0.913	0.648	oldarkortasuna
aggressor	0.146	0.948	0.823	erasotzailea
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	ikaratuta
aghhh	0.281	0.635	0.243	aghhh
agile	0.800	0.657	0.775	arin
agility	0.720	0.702	0.815	arintasuna
aging	0.214	0.255	0.284	zahartzea
agitate	0.300	0.796	0.593	asaldatu
agitated	0.444	0.882	0.491	asaldatuta
agitation	0.240	0.931	0.447	asaldura
aglow	0.780	0.510	0.797	dirdira
agnostic	0.306	0.396	0.574	agnostikoa
ago	0.317	0.280	0.404	duela
agonizing	0.083	0.800	0.340	agonizagarria
agony	0.083	0.775	0.393	agonia
agoraphobia	0.127	0.712	0.438	agorafobia
agree	0.906	0.260	0.545	ados
agreeable	0.906	0.500	0.696	atsegina
agreed	0.797	0.449	0.574	adostu
agreeing	0.854	0.480	0.557	adostuz
agreement	0.760	0.440	0.736	akordioa
agressive	0.083	0.918	0.751	oldarkorra
agricultural	0.686	0.321	0.473	nekazaritza
agriculture	0.640	0.357	0.465	nekazaritza
aground	0.333	0.340	0.445	lurrean
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	aurrera
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhh
ahoy	0.500	0.497	0.380	ahoy
aid	0.796	0.491	0.541	laguntza
aide	0.724	0.342	0.434	aide
aiding	0.643	0.533	0.569	lagunduz
aids	0.561	0.480	0.500	laguntzak
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	gaixorik
ailment	0.146	0.734	0.277	gaitza
aim	0.481	0.569	0.567	helburua
aimless	0.150	0.267	0.183	helbururik gabe
air	0.708	0.163	0.427	airea
airbag	0.510	0.402	0.433	airbag
airborne	0.542	0.519	0.385	airean
aircraft	0.646	0.644	0.691	hegazkinak
aircraft carrier	0.490	0.740	0.727	hegazkin-garraioa
airfield	0.601	0.650	0.645	aireportu
airhead	0.271	0.481	0.276	aireburua
airlift	0.573	0.622	0.642	aire-garraioa
airline	0.650	0.482	0.688	aire konpainia
airliner	0.667	0.777	0.647	hegazkin-ontzia
airlock	0.398	0.520	0.447	aire-eskua
airman	0.587	0.716	0.721	airelaria
airplane	0.719	0.702	0.708	hegazkin
airport	0.729	0.684	0.682	aireportua
airs	0.583	0.196	0.370	aireak
airship	0.542	0.472	0.529	aireontzia
airspace	0.562	0.510	0.640	aire-espazioa
airspeed	0.583	0.780	0.544	aire-abiadura
airstrip	0.550	0.690	0.649	aire-pista
airtight	0.479	0.381	0.570	hermetiko
airway	0.638	0.585	0.482	arnasbidea
aisle	0.438	0.222	0.283	pasilloa
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	ajar
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	antzekoa
alabaster	0.542	0.404	0.445	alabastroa
alarm	0.241	0.882	0.698	alarma
alarm clock	0.542	0.727	0.642	iratzargailua
alarmed	0.188	0.822	0.492	larrituta
alarming	0.204	0.890	0.585	kezkagarria
alas	0.571	0.310	0.279	ai
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatrosa
albino	0.500	0.240	0.358	albinoa
album	0.635	0.349	0.453	albuma
alchemy	0.541	0.583	0.693	alkimia
alcohol	0.323	0.667	0.377	alkohola
alcoholic	0.153	0.688	0.361	alkoholikoa
alcoholism	0.061	0.779	0.407	alkoholismoa
alcove	0.490	0.340	0.356	alkoba
alderman	0.550	0.459	0.691	zinegotzia
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	alerta
alertness	0.375	0.875	0.750	aditasuna
alerts	0.337	0.804	0.673	alertak
alfalfa	0.546	0.250	0.311	alpapa
algebra	0.440	0.340	0.565	aljebra
algebraic	0.531	0.412	0.441	aljebraikoa
algorithm	0.448	0.394	0.559	algoritmoa
alias	0.541	0.353	0.333	ezizena
alibi	0.396	0.528	0.556	alibia
alien	0.410	0.615	0.491	arrotza
alienate	0.247	0.500	0.523	alienatu
alienated	0.410	0.423	0.559	alienatua
alienation	0.378	0.530	0.462	alienazioa
alight	0.667	0.657	0.605	piztu
align	0.656	0.364	0.627	lerrokatu
aligned	0.583	0.275	0.553	lerrokatuta
alignment	0.643	0.412	0.683	lerrokatzea
alike	0.653	0.173	0.444	berdin
alimentation	0.781	0.551	0.602	elikadura
alimony	0.612	0.477	0.464	mantenugaia
aliquot	0.440	0.310	0.404	alikuota
alive	0.816	0.637	0.731	bizirik
alkali	0.490	0.350	0.408	alkali
alkaloids	0.433	0.562	0.402	alkaloideak
allay	0.417	0.406	0.398	uxatu
allegation	0.578	0.578	0.608	alegazioa
allege	0.418	0.482	0.587	alegatu
alleged	0.365	0.522	0.520	ustez
allegiance	0.917	0.398	0.750	leialtasuna
allegorical	0.517	0.558	0.598	alegorikoa
allegory	0.615	0.580	0.509	alegoria
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	alergia
allergy	0.296	0.606	0.389	alergia
alleviate	0.869	0.270	0.528	arindu
alleviation	0.735	0.200	0.491	arintzea
alley	0.347	0.500	0.355	kalezuloa
alleyway	0.357	0.471	0.382	kalezuloa
alliance	0.696	0.473	0.769	aliantza
allied	0.714	0.245	0.642	aliatuak
alligator	0.354	0.704	0.645	aligator
allocate	0.673	0.462	0.672	esleitu
allocation	0.604	0.388	0.679	esleipena
allot	0.622	0.481	0.616	esleitu
allotment	0.600	0.390	0.640	zuzkidura
allow	0.698	0.429	0.538	baimendu
allowable	0.698	0.500	0.561	onargarria
allowance	0.673	0.382	0.591	hobaria
allowed	0.730	0.360	0.655	baimenduta
alloy	0.583	0.443	0.593	aleazio
allsmiles	0.786	0.528	0.430	guztiak irribarre
allure	0.804	0.585	0.686	erakargarritasuna
alluring	0.837	0.745	0.843	erakargarri
allusion	0.440	0.308	0.462	aipamena
alluvial	0.323	0.490	0.491	alubiala
ally	0.792	0.320	0.688	aliatua
almanac	0.688	0.190	0.412	almanaka
almighty	0.938	0.874	0.958	ahalguztidun
almond	0.698	0.183	0.314	almendra
aloft	0.771	0.373	0.700	gorago
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	bakarrik
alongside	0.458	0.333	0.347	ondoan
aloof	0.189	0.423	0.302	urrun
aloud	0.458	0.713	0.750	ozenki
alpha	0.708	0.340	0.755	alfa
alphabet	0.562	0.204	0.672	alfabetoa
alphabetical	0.537	0.296	0.535	alfabetikoa
alpine	0.594	0.337	0.474	alpinoa
alreadyyyyy	0.592	0.717	0.351	dagoenekoyyyy
altar	0.724	0.387	0.635	aldarea
altar boy	0.434	0.206	0.350	aldare mutila
alter	0.333	0.694	0.654	aldatu
alteration	0.167	0.798	0.609	alterazioa
altercation	0.170	0.806	0.500	liskarra
altered	0.255	0.765	0.500	aldatuta
alternate	0.625	0.363	0.589	ordezkatu
alternating	0.480	0.494	0.542	txandakatuz
alternative	0.628	0.373	0.631	alternatiba
altimeter	0.615	0.510	0.580	altimetroa
altitude	0.708	0.482	0.736	altuera
alto	0.656	0.404	0.730	altua
altogether	0.833	0.324	0.644	guztiz
aluminum	0.449	0.280	0.434	aluminioa
alumnus	0.633	0.368	0.422	ikasle ohia
alveolar	0.469	0.481	0.367	albeolarra
alzheimers	0.194	0.518	0.319	Alzheimerrak
amalgam	0.438	0.333	0.510	amalgama
amalgamation	0.406	0.470	0.531	batuketa
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	pilatu
amateur	0.469	0.500	0.409	amateurra
amaze	0.896	0.843	0.783	harritu
amazed	0.796	0.779	0.533	harrituta
amazedness	0.827	0.872	0.510	harridura
amazement	0.750	0.800	0.639	harridura
amazing	0.906	0.837	0.849	harrigarria
amazingly	0.918	0.765	0.920	harrigarria
ambassador	0.651	0.529	0.917	enbaxadore
amber	0.635	0.308	0.369	anbarra
ambience	0.735	0.356	0.426	giroa
ambient	0.625	0.360	0.582	giroa
ambiguity	0.164	0.460	0.370	anbiguotasuna
ambiguous	0.265	0.462	0.358	anbiguoa
ambit	0.479	0.380	0.386	esparrua
ambition	0.510	0.804	0.661	anbizioa
ambitious	0.484	0.821	0.717	asmo handikoa
ambivalent	0.510	0.404	0.482	anbibalente
ambrosia	0.571	0.452	0.480	anbrosia
ambulance	0.500	0.750	0.609	anbulantzia
ambush	0.281	0.830	0.500	segada
ameliorate	0.770	0.548	0.747	hobetu
amen	0.781	0.182	0.542	amen
amenable	0.448	0.410	0.406	bideragarria
amend	0.688	0.406	0.658	aldatu
amendment	0.531	0.459	0.606	zuzenketa
amends	0.640	0.366	0.517	zuzentzen
amenity	0.750	0.327	0.574	erosotasuna
amethyst	0.622	0.406	0.517	amatista
amiable	0.847	0.290	0.483	atsegina
amicable	0.875	0.330	0.507	adiskidetsua
amid	0.510	0.340	0.256	erdian
amidst	0.480	0.330	0.316	artean
amino	0.551	0.402	0.433	aminoa
ammo	0.323	0.765	0.621	munizioa
ammonia	0.292	0.587	0.409	amoniakoa
ammonium	0.354	0.396	0.368	amonioa
ammunition	0.338	0.635	0.667	munizioa
amnesia	0.296	0.330	0.308	amnesia
amnesty	0.551	0.451	0.814	amnistia
amorous	0.844	0.670	0.636	maitagarria
amorphous	0.327	0.402	0.349	amorfoa
amortization	0.592	0.491	0.522	amortizazioa
amount	0.562	0.422	0.649	zenbatekoa
amour	0.865	0.480	0.652	maitasuna
amp	0.439	0.393	0.375	anpl
ampersand	0.480	0.448	0.483	ampersand
amphetamines	0.133	0.667	0.526	anfetaminak
amphibian	0.427	0.357	0.474	anfibioa
amphibious	0.479	0.346	0.445	anfibioa
amphitheater	0.653	0.480	0.545	anfiteatroa
ample	0.744	0.349	0.719	zabal
amplification	0.690	0.677	0.810	anplifikazioa
amplify	0.677	0.735	0.827	handitu
amplitude	0.694	0.439	0.692	anplitudea
amply	0.781	0.431	0.766	aski
amputate	0.092	0.660	0.509	anputatu
amputation	0.100	0.755	0.483	anputazioa
amuck	0.385	0.602	0.321	amuck
amulet	0.781	0.260	0.630	amuleto
amuse	0.812	0.684	0.664	dibertitu
amused	0.942	0.847	0.596	dibertitu
amusement	0.929	0.837	0.803	dibertsioa
amusing	0.960	0.829	0.632	dibertigarria
ana	0.541	0.300	0.314	ana
anaconda	0.146	0.830	0.540	anakonda
anaesthesia	0.350	0.217	0.473	anestesia
anaesthetic	0.449	0.268	0.509	anestesikoa
anagram	0.552	0.327	0.449	anagrama
anal	0.333	0.798	0.334	anal
analgesic	0.417	0.321	0.441	analgesikoa
analogous	0.531	0.270	0.500	analogoa
analogue	0.570	0.320	0.446	analogikoa
analogy	0.510	0.367	0.509	analogia
analysis	0.729	0.448	0.705	analisia
analyst	0.604	0.415	0.755	analista
analytic	0.665	0.521	0.634	analitikoa
