English Word	Valence	Arousal	Dominance	Yoruba Word
acceptances	0.847	0.413	0.648	awọn gbigba
access	0.714	0.472	0.567	wiwọle
accessible	0.796	0.410	0.645	wiwọle
accession	0.612	0.383	0.636	wiwọle
accessory	0.562	0.292	0.445	ẹya ẹrọ
accident	0.125	0.908	0.336	ijamba
accidental	0.319	0.784	0.307	lairotẹlẹ
accidentally	0.333	0.741	0.333	lairotẹlẹ
acclaim	0.562	0.809	0.718	iyin
accolade	0.688	0.591	0.775	iyin
accommodate	0.844	0.375	0.566	gba
accommodation	0.817	0.415	0.587	ibugbe
accompaniment	0.740	0.479	0.695	akẹgbẹ
accompany	0.833	0.406	0.585	tẹle
accompanying	0.787	0.460	0.582	ti o tẹle
accomplice	0.408	0.580	0.510	alabaṣe
accomplish	0.929	0.673	0.816	ṣe aṣeyọri
accomplished	0.870	0.520	0.798	ṣẹ
accomplishment	0.917	0.694	0.888	aseyori
accord	0.898	0.264	0.382	ibamu
accordance	0.659	0.349	0.600	ni ibamu
accordion	0.604	0.490	0.361	accordion
account	0.531	0.347	0.472	iroyin
accountability	0.755	0.537	0.833	iṣiro
accountable	0.709	0.282	0.777	jiyin
accountant	0.625	0.450	0.639	oniṣiro
accounting	0.552	0.390	0.677	iṣiro
accounts	0.592	0.340	0.471	awọn iroyin
accredited	0.669	0.479	0.768	ti gbẹtọ
accretion	0.448	0.519	0.672	accreation
accrue	0.520	0.481	0.602	accrue
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	akojo
accumulation	0.479	0.527	0.600	ikojọpọ
accuracy	0.604	0.481	0.802	išedede
accurate	0.743	0.360	0.737	deede
accursed	0.135	0.745	0.345	ègún
accusation	0.073	0.718	0.564	ẹsun
accusative	0.198	0.755	0.482	ẹsun
accuse	0.133	0.752	0.500	ẹsun
accused	0.130	0.670	0.420	ẹsun
accuser	0.122	0.779	0.615	olufisun
accusing	0.156	0.745	0.324	ẹsun
accustomed	0.542	0.365	0.441	saba
ace	0.643	0.481	0.546	ace
acetic	0.333	0.420	0.519	acetic
acetylene	0.306	0.469	0.509	acetylene
ache	0.146	0.760	0.312	irora
achieve	0.816	0.545	0.843	se aseyori
achieved	0.896	0.519	0.775	waye
achievement	0.896	0.808	0.759	aseyori
aching	0.053	0.880	0.348	irora
achy	0.167	0.840	0.373	achy
acid	0.265	0.642	0.566	acid
acidity	0.156	0.663	0.360	acidity
acknowledge	0.786	0.370	0.661	jẹwọ
acknowledged	0.714	0.443	0.765	gba
acknowledgement	0.819	0.539	0.830	ifọwọsi
acknowledgment	0.796	0.528	0.777	ifọwọsi
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	irorẹ
acorn	0.448	0.198	0.192	acorn
acoustic	0.542	0.462	0.536	akositiki
acoustics	0.611	0.330	0.509	akositiki
acquaint	0.646	0.491	0.639	ojúlùmọ̀
acquaintance	0.656	0.290	0.670	ojulumọ
acquainted	0.906	0.358	0.632	acquainted
acquiescence	0.542	0.480	0.554	acquiescence
acquire	0.833	0.468	0.700	gba
acquiring	0.735	0.510	0.817	gbigba
acquisition	0.698	0.509	0.736	akomora
acquisitions	0.773	0.660	0.790	awọn ohun-ini
acquit	0.583	0.571	0.611	dasile
acquittal	0.760	0.497	0.700	idasile
acre	0.583	0.387	0.423	ekaro
acreage	0.741	0.450	0.528	ekaji
acres	0.510	0.363	0.500	awon eka
acrobat	0.708	0.828	0.602	acrobat
acrylic	0.582	0.279	0.420	akiriliki
act	0.656	0.704	0.735	sise
acting	0.698	0.643	0.500	sise
action	0.760	0.898	0.802	igbese
action figure	0.615	0.774	0.611	olusin igbese
actionable	0.673	0.702	0.613	sise
activate	0.764	0.650	0.806	mu ṣiṣẹ
activation	0.781	0.800	0.754	ibere ise
active	0.847	0.730	0.731	lọwọ
activist	0.531	0.653	0.877	alapon
activity	0.701	0.660	0.807	aṣayan iṣẹ-ṣiṣe
actor	0.653	0.561	0.629	osere
actress	0.633	0.556	0.596	oṣere
actual	0.729	0.400	0.716	gangan
actuality	0.750	0.464	0.600	otito
actuary	0.510	0.404	0.491	oṣere
acuity	0.469	0.378	0.741	acuity
acumen	0.564	0.660	0.679	oye
acupuncture	0.531	0.324	0.549	acupuncture
acute	0.427	0.652	0.534	ńlá
acutely	0.417	0.543	0.491	acutely
ad	0.521	0.705	0.558	ipolowo
adage	0.517	0.415	0.566	Adawe
adamant	0.344	0.529	0.575	adamant
adapt	0.740	0.355	0.551	badọgba
adaptable	0.735	0.423	0.641	adaptable
adaptation	0.663	0.365	0.609	aṣamubadọgba
add	0.728	0.490	0.554	fi kun
added	0.562	0.405	0.509	kun
addendum	0.392	0.370	0.418	afikun
adder	0.388	0.461	0.588	paramọlẹ
addict	0.075	0.696	0.327	okudun
addicted	0.156	0.712	0.483	mowonlara
addiction	0.180	0.806	0.420	afẹsodi
addictive	0.302	0.683	0.472	addictive
addition	0.562	0.373	0.471	afikun
additional	0.673	0.462	0.526	afikun
additive	0.561	0.633	0.691	aropo
address	0.650	0.327	0.567	adirẹsi
addressee	0.622	0.382	0.538	adiresi
addresses	0.510	0.354	0.450	awọn adirẹsi
adept	0.594	0.539	0.789	ogbontarigi
adequacy	0.615	0.435	0.702	deedee
adequate	0.854	0.264	0.705	deedee
adhere	0.633	0.339	0.554	faramọ
adherence	0.760	0.307	0.630	ifaramọ
adherent	0.561	0.385	0.555	alafaramo
adhering	0.612	0.561	0.537	adhering
adhesion	0.521	0.445	0.586	ifaramọ
adhesive	0.604	0.350	0.413	alemora
adieu	0.250	0.471	0.342	adiyu
adipose	0.333	0.350	0.391	adipose
adjacency	0.365	0.417	0.375	isunmọtosi
adjacent	0.645	0.276	0.536	nitosi
adjective	0.570	0.316	0.569	ajẹtífù
adjoining	0.520	0.400	0.393	ti o sunmọ
adjourn	0.385	0.456	0.475	sun siwaju
adjournment	0.438	0.510	0.370	idaduro
adjudicate	0.559	0.520	0.683	idajọ
adjudication	0.551	0.462	0.691	idajọ
adjunct	0.459	0.440	0.426	afikun
adjust	0.647	0.327	0.638	satunṣe
adjuster	0.510	0.540	0.760	oluṣatunṣe
adjustment	0.590	0.520	0.661	tolesese
adjuvant	0.510	0.500	0.456	oluranlowo
admin	0.688	0.420	0.854	abojuto
administer	0.635	0.425	0.860	ṣakoso
administration	0.625	0.404	0.786	isakoso
administrative	0.542	0.415	0.579	isakoso
administrator	0.538	0.480	0.902	alámùójútó
admirable	0.929	0.600	0.870	admirable
admiral	0.844	0.490	0.847	oga agba
admiralty	0.594	0.547	0.733	admiralty
admiration	0.969	0.583	0.726	ifojuri
admire	0.867	0.692	0.704	ṣe ẹwà
admired	0.917	0.560	0.815	ẹwà
admirer	0.796	0.720	0.650	olufẹ
admiring	0.867	0.578	0.629	iwunilori
admissibility	0.802	0.580	0.602	gbigba
admissible	0.780	0.528	0.642	gbigba
admission	0.802	0.415	0.732	gbigba
admit	0.538	0.423	0.667	gba
admittance	0.690	0.451	0.598	gbigba
admitted	0.720	0.490	0.767	gba
admitting	0.620	0.500	0.546	gbigba
admixture	0.450	0.375	0.438	adalu
admonition	0.357	0.606	0.455	imọran
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	ìbàlágà
adolescent	0.781	0.680	0.509	ọdọmọkunrin
adopt	0.694	0.612	0.701	gba
adoption	0.625	0.566	0.589	itewogba
adoptive	0.531	0.469	0.520	olomo
adorable	0.969	0.519	0.457	joniloju
adoration	0.885	0.699	0.708	ijosin
adore	0.854	0.438	0.657	gbajugbaja
adoring	0.885	0.620	0.717	adoring
adorn	0.910	0.424	0.482	ṣe ọṣọ
adornment	0.918	0.373	0.377	ohun ọṣọ
adrenalin	0.865	0.920	0.786	adrenalin
adrenaline	0.765	0.965	0.825	adrenaline
adrift	0.398	0.486	0.230	yiyọ kuro
adult	0.815	0.491	0.787	agba
adulterated	0.188	0.865	0.370	agbere
adulterer	0.229	0.814	0.407	panṣaga
adultery	0.120	0.922	0.510	agbere
adulthood	0.541	0.454	0.652	agba
advance	0.673	0.472	0.858	ilosiwaju
advanced	0.844	0.623	0.797	to ti ni ilọsiwaju
advancement	0.776	0.650	0.839	ilosiwaju
advancing	0.929	0.608	0.812	ilosiwaju
advantage	0.917	0.548	0.859	anfani
advantageous	0.837	0.640	0.789	anfani
advent	0.665	0.560	0.627	dide
adventure	0.917	0.857	0.710	ìrìn
adventurer	0.781	0.839	0.868	alarinkiri
adventures	0.812	0.764	0.749	seresere
adventurous	0.969	0.898	0.722	adventurous
adversary	0.349	0.777	0.457	ọta
adverse	0.323	0.610	0.385	ikolu
adversity	0.276	0.760	0.538	ipọnju
advertise	0.500	0.529	0.580	polowo
advertisement	0.600	0.566	0.539	ipolongo
advertising	0.622	0.608	0.632	ipolowo
adverts	0.551	0.500	0.595	awọn ipolowo
advice	0.698	0.408	0.688	imọran
advisable	0.867	0.480	0.510	ni imọran
advise	0.760	0.393	0.705	ni imọran
advised	0.823	0.330	0.509	niyanju
advisement	0.698	0.235	0.655	imọran
adviser	0.745	0.362	0.705	oludamoran
advisor	0.646	0.350	0.689	onimọran
advisory	0.656	0.429	0.633	imọran
advocacy	0.500	0.646	0.731	agbawi
advocate	0.551	0.530	0.818	alagbawi
aegis	0.490	0.439	0.462	aegis
aeration	0.550	0.500	0.433	aeration
aerial	0.615	0.461	0.463	eriali
aerobics	0.708	0.771	0.627	aerobics
aerodrome	0.541	0.740	0.678	aerodrome
aerodynamic	0.561	0.724	0.728	aerodynamic
aerodynamics	0.590	0.663	0.722	aerodynamics
aeronautics	0.551	0.633	0.688	aeronautics
aeroplane	0.714	0.642	0.644	Okoofurufu
aerospace	0.643	0.520	0.779	ofurufu
aesthetic	0.708	0.442	0.526	darapupo
aesthetics	0.847	0.327	0.549	aesthetics
aetiology	0.480	0.398	0.615	etiology
afar	0.396	0.373	0.358	jina
affable	0.704	0.380	0.452	affable
affair	0.520	0.459	0.657	ibalopọ
affect	0.458	0.569	0.578	ipa
affecting	0.350	0.574	0.394	ni ipa lori
affection	0.898	0.559	0.696	ìfẹni
affectionate	0.949	0.422	0.550	onífẹ̀ẹ́
affections	0.760	0.547	0.655	ìfẹni
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	ijẹrisi
affiliated	0.673	0.519	0.535	alafaramo
affiliation	0.615	0.594	0.500	ìbáṣepọ
affinity	0.800	0.500	0.537	ijora
affirm	0.745	0.509	0.731	jẹrisi
affirmation	0.750	0.500	0.689	ìmúdájú
affirmative	0.854	0.589	0.816	aridaju
affirmatively	0.908	0.500	0.811	affirmatively
affix	0.438	0.335	0.411	affisi
afflict	0.302	0.555	0.293	wahala
afflicted	0.271	0.500	0.167	olupọnju
affliction	0.294	0.635	0.392	iponju
affluence	0.663	0.618	0.722	ọlọrọ
affluent	0.756	0.388	0.477	ọlọrọ
afford	0.571	0.580	0.575	irewesi
affordable	0.840	0.398	0.493	ifarada
affront	0.327	0.740	0.547	ikọlu
affronted	0.385	0.750	0.527	affronted
afield	0.594	0.370	0.373	l'oko
afire	0.367	0.904	0.675	ina
afloat	0.602	0.427	0.444	leefofo loju omi
afore	0.500	0.337	0.382	ṣaaju
aforementioned	0.490	0.316	0.408	aforementioned
aforesaid	0.531	0.358	0.478	ti a sọ tẹlẹ
afraid	0.010	0.775	0.245	bẹru
afresh	0.643	0.521	0.480	titun
aft	0.480	0.417	0.518	lẹhin
afterlife	0.571	0.567	0.568	lehin aye
aftermath	0.312	0.449	0.444	lẹhin
afternoon	0.533	0.388	0.339	ọsan
aftershave	0.406	0.384	0.415	aftershave
aftertaste	0.354	0.362	0.455	arosọ lẹhin
afterthought	0.396	0.392	0.349	lẹhin ero
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	agate
age	0.561	0.226	0.498	ọjọ ori
aged	0.135	0.365	0.236	agbalagba
agency	0.460	0.296	0.583	ibẹwẹ
agenda	0.531	0.296	0.553	agbese
agent	0.480	0.439	0.755	oluranlowo
agglomeration	0.450	0.765	0.509	agglomeration
aggravate	0.224	0.770	0.464	burú
aggravated	0.079	0.760	0.430	ti o buruju
aggravates	0.108	0.778	0.357	aggravates
aggravating	0.257	0.794	0.640	aggravating
aggravation	0.071	0.784	0.613	ibinu
aggregate	0.730	0.378	0.556	apapọ
aggregation	0.583	0.517	0.694	apapọ
aggresive	0.059	0.971	0.639	ibinu
aggression	0.094	0.929	0.533	ifinran
aggressive	0.125	0.949	0.648	ibinu
aggressively	0.250	0.926	0.688	ibinu
aggressiveness	0.077	0.913	0.648	ibinu
aggressor	0.146	0.948	0.823	onijagidijagan
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	ijafafa
aghhh	0.281	0.635	0.243	aghhh
agile	0.800	0.657	0.775	yara
agility	0.720	0.702	0.815	agility
aging	0.214	0.255	0.284	ti ogbo
agitate	0.300	0.796	0.593	rudurudu
agitated	0.444	0.882	0.491	rudurudu
agitation	0.240	0.931	0.447	ijakadi
aglow	0.780	0.510	0.797	gbígba
agnostic	0.306	0.396	0.574	agnostic
ago	0.317	0.280	0.404	seyin
agonizing	0.083	0.800	0.340	irora
agony	0.083	0.775	0.393	irora
agoraphobia	0.127	0.712	0.438	agoraphobia
agree	0.906	0.260	0.545	gba
agreeable	0.906	0.500	0.696	itẹlọrun
agreed	0.797	0.449	0.574	gba
agreeing	0.854	0.480	0.557	gbigba
agreement	0.760	0.440	0.736	adehun
agressive	0.083	0.918	0.751	ibinu
agricultural	0.686	0.321	0.473	ogbin
agriculture	0.640	0.357	0.465	ogbin
aground	0.333	0.340	0.445	ilẹ
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	niwaju
ahhh	0.562	0.517	0.241	ahh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhh
ahoy	0.500	0.497	0.380	ahey
aid	0.796	0.491	0.541	iranlowo
aide	0.724	0.342	0.434	oluranlọwọ
aiding	0.643	0.533	0.569	iranlowo
aids	0.561	0.480	0.500	awọn iranlowo
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	aláìsàn
ailment	0.146	0.734	0.277	ailera
aim	0.481	0.569	0.567	ifọkansi
aimless	0.150	0.267	0.183	ainidi
air	0.708	0.163	0.427	afefe
airbag	0.510	0.402	0.433	apo afẹfẹ
airborne	0.542	0.519	0.385	ti afẹfẹ
aircraft	0.646	0.644	0.691	ọkọ ofurufu
aircraft carrier	0.490	0.740	0.727	ọkọ ofurufu ti ngbe
airfield	0.601	0.650	0.645	papa ofurufu
airhead	0.271	0.481	0.276	ori afẹfẹ
airlift	0.573	0.622	0.642	ọkọ ofurufu
airline	0.650	0.482	0.688	oko ofurufu
airliner	0.667	0.777	0.647	ọkọ ofurufu
airlock	0.398	0.520	0.447	airlock
airman	0.587	0.716	0.721	oko ofurufu
airplane	0.719	0.702	0.708	Okoofurufu
airport	0.729	0.684	0.682	papa ọkọ ofurufu
airs	0.583	0.196	0.370	afefe
airship	0.542	0.472	0.529	ọkọ ofurufu
airspace	0.562	0.510	0.640	afefe
airspeed	0.583	0.780	0.544	iyara afẹfẹ
airstrip	0.550	0.690	0.649	papa ọkọ ofurufu
airtight	0.479	0.381	0.570	airtight
airway	0.638	0.585	0.482	ọna atẹgun
aisle	0.438	0.222	0.283	aye
ait	0.385	0.390	0.402	aaiti
ajar	0.460	0.413	0.446	ajar
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	akin
alabaster	0.542	0.404	0.445	alabaster
alarm	0.241	0.882	0.698	itaniji
alarm clock	0.542	0.727	0.642	aago itaniji
alarmed	0.188	0.822	0.492	derubami
alarming	0.204	0.890	0.585	itaniji
alas	0.571	0.310	0.279	alase
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatross
albino	0.500	0.240	0.358	albino
album	0.635	0.349	0.453	awo-orin
alchemy	0.541	0.583	0.693	alkemi
alcohol	0.323	0.667	0.377	oti
alcoholic	0.153	0.688	0.361	ọti-lile
alcoholism	0.061	0.779	0.407	ọti-lile
alcove	0.490	0.340	0.356	alcove
alderman	0.550	0.459	0.691	alderman
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	gbigbọn
alertness	0.375	0.875	0.750	gbigbọn
alerts	0.337	0.804	0.673	titaniji
alfalfa	0.546	0.250	0.311	alfalfa
algebra	0.440	0.340	0.565	aljebra
algebraic	0.531	0.412	0.441	aljebra
algorithm	0.448	0.394	0.559	alugoridimu
alias	0.541	0.353	0.333	inagijẹ
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	ajeji
alienate	0.247	0.500	0.523	àjèjì
alienated	0.410	0.423	0.559	àjèjì
alienation	0.378	0.530	0.462	àjèjì
alight	0.667	0.657	0.605	ina
align	0.656	0.364	0.627	mö
aligned	0.583	0.275	0.553	deedee
alignment	0.643	0.412	0.683	titete
alike	0.653	0.173	0.444	bakanna
alimentation	0.781	0.551	0.602	alimentation
alimony	0.612	0.477	0.464	alimony
aliquot	0.440	0.310	0.404	aliquot
alive	0.816	0.637	0.731	laaye
alkali	0.490	0.350	0.408	alkali
alkaloids	0.433	0.562	0.402	alkaloids
allay	0.417	0.406	0.398	alley
allegation	0.578	0.578	0.608	ẹsun
allege	0.418	0.482	0.587	ẹsun
alleged	0.365	0.522	0.520	ẹsun
allegiance	0.917	0.398	0.750	ifaramo
allegorical	0.517	0.558	0.598	arosọ
allegory	0.615	0.580	0.509	àkàwé
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	inira
allergy	0.296	0.606	0.389	aleji
alleviate	0.869	0.270	0.528	din
alleviation	0.735	0.200	0.491	idinku
alley	0.347	0.500	0.355	ona
alleyway	0.357	0.471	0.382	ona abayo
alliance	0.696	0.473	0.769	Alliance
allied	0.714	0.245	0.642	ajumọṣe
alligator	0.354	0.704	0.645	algator
allocate	0.673	0.462	0.672	sọtọ
allocation	0.604	0.388	0.679	ipinfunni
allot	0.622	0.481	0.616	pínpín
allotment	0.600	0.390	0.640	ipín
allow	0.698	0.429	0.538	gba laaye
allowable	0.698	0.500	0.561	gbigba laaye
allowance	0.673	0.382	0.591	iyọọda
allowed	0.730	0.360	0.655	laaye
alloy	0.583	0.443	0.593	alloy
allsmiles	0.786	0.528	0.430	allsmiles
allure	0.804	0.585	0.686	allure
alluring	0.837	0.745	0.843	alluring
allusion	0.440	0.308	0.462	itọka
alluvial	0.323	0.490	0.491	alluvial
ally	0.792	0.320	0.688	ore
almanac	0.688	0.190	0.412	almanac
almighty	0.938	0.874	0.958	olodumare
almond	0.698	0.183	0.314	almondi
aloft	0.771	0.373	0.700	soke
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	nikan
alongside	0.458	0.333	0.347	lẹgbẹẹ
aloof	0.189	0.423	0.302	aifokanbale
aloud	0.458	0.713	0.750	ariwo
alpha	0.708	0.340	0.755	alfa
alphabet	0.562	0.204	0.672	alfabeti
alphabetical	0.537	0.296	0.535	alfabeti
alpine	0.594	0.337	0.474	alpine
alreadyyyyy	0.592	0.717	0.351	tẹlẹyyyy
altar	0.724	0.387	0.635	pẹpẹ
altar boy	0.434	0.206	0.350	pẹpẹ ọmọkunrin
alter	0.333	0.694	0.654	paarọ
alteration	0.167	0.798	0.609	iyipada
altercation	0.170	0.806	0.500	ariyanjiyan
altered	0.255	0.765	0.500	yi pada
alternate	0.625	0.363	0.589	idakeji
alternating	0.480	0.494	0.542	alternating
alternative	0.628	0.373	0.631	yiyan
altimeter	0.615	0.510	0.580	altimeter
altitude	0.708	0.482	0.736	giga
alto	0.656	0.404	0.730	alto
altogether	0.833	0.324	0.644	lapapọ
aluminum	0.449	0.280	0.434	aluminiomu
alumnus	0.633	0.368	0.422	alumnus
alveolar	0.469	0.481	0.367	alveolar
alzheimers	0.194	0.518	0.319	alzheimers
amalgam	0.438	0.333	0.510	amugbamu
amalgamation	0.406	0.470	0.531	idapo
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	kojọpọ
amateur	0.469	0.500	0.409	magbowo
amaze	0.896	0.843	0.783	iyalẹnu
amazed	0.796	0.779	0.533	yà
amazedness	0.827	0.872	0.510	iyalẹnu
amazement	0.750	0.800	0.639	iyalẹnu
amazing	0.906	0.837	0.849	iyanu
amazingly	0.918	0.765	0.920	iyalẹnu
ambassador	0.651	0.529	0.917	asoju
amber	0.635	0.308	0.369	awọ yẹlo to ṣokunkun
ambience	0.735	0.356	0.426	ibaramu
ambient	0.625	0.360	0.582	ibaramu
ambiguity	0.164	0.460	0.370	aibikita
ambiguous	0.265	0.462	0.358	aibikita
ambit	0.479	0.380	0.386	ambit
ambition	0.510	0.804	0.661	okanjuwa
ambitious	0.484	0.821	0.717	ifẹ agbara
ambivalent	0.510	0.404	0.482	ambivalent
ambrosia	0.571	0.452	0.480	ambrosia
ambulance	0.500	0.750	0.609	ọkọ alaisan
ambush	0.281	0.830	0.500	ibùba
ameliorate	0.770	0.548	0.747	darapo
amen	0.781	0.182	0.542	Amin
amenable	0.448	0.410	0.406	ti o wulo
amend	0.688	0.406	0.658	atunse
amendment	0.531	0.459	0.606	atunse
amends	0.640	0.366	0.517	ṣe atunṣe
amenity	0.750	0.327	0.574	ohun elo
amethyst	0.622	0.406	0.517	amethyst
amiable	0.847	0.290	0.483	alafẹfẹ
amicable	0.875	0.330	0.507	alaafia
amid	0.510	0.340	0.256	laarin
amidst	0.480	0.330	0.316	laarin
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	ammo
ammonia	0.292	0.587	0.409	amonia
ammonium	0.354	0.396	0.368	ammonium
ammunition	0.338	0.635	0.667	ohun ija
amnesia	0.296	0.330	0.308	amnesia
amnesty	0.551	0.451	0.814	idariji
amorous	0.844	0.670	0.636	amorous
amorphous	0.327	0.402	0.349	amorphous
amortization	0.592	0.491	0.522	amortization
amount	0.562	0.422	0.649	iye
amour	0.865	0.480	0.652	amure
amp	0.439	0.393	0.375	amupu
ampersand	0.480	0.448	0.483	ampersand
amphetamines	0.133	0.667	0.526	awọn amphetamines
amphibian	0.427	0.357	0.474	amphibian
amphibious	0.479	0.346	0.445	apanirun
amphitheater	0.653	0.480	0.545	amphitheatre
ample	0.744	0.349	0.719	iwonba
amplification	0.690	0.677	0.810	imudara
amplify	0.677	0.735	0.827	pọ si
amplitude	0.694	0.439	0.692	titobi
amply	0.781	0.431	0.766	titobi
amputate	0.092	0.660	0.509	ge gige
amputation	0.100	0.755	0.483	gige gige
amuck	0.385	0.602	0.321	amuki
amulet	0.781	0.260	0.630	amulet
amuse	0.812	0.684	0.664	amuse
amused	0.942	0.847	0.596	amuse
amusement	0.929	0.837	0.803	iṣere
amusing	0.960	0.829	0.632	amurele
ana	0.541	0.300	0.314	ana
anaconda	0.146	0.830	0.540	anaconda
anaesthesia	0.350	0.217	0.473	akuniloorun
anaesthetic	0.449	0.268	0.509	anesitetiki
anagram	0.552	0.327	0.449	anagram
anal	0.333	0.798	0.334	furo
analgesic	0.417	0.321	0.441	analgesic
analogous	0.531	0.270	0.500	afọwọṣe
analogue	0.570	0.320	0.446	afọwọṣe
analogy	0.510	0.367	0.509	afiwe
analysis	0.729	0.448	0.705	onínọmbà
analyst	0.604	0.415	0.755	oluyanju
analytic	0.665	0.521	0.634	atupale
analytical	0.625	0.324	0.800	analitikali
analyze	0.667	0.462	0.710	itupalẹ
