English Word	Valence	Arousal	Dominance	Vietnamese Word
ache	0.146	0.760	0.312	nhức nhối
achieve	0.816	0.545	0.843	Hoàn thành
achieved	0.896	0.519	0.775	đạt được
achievement	0.896	0.808	0.759	thành tích
aching	0.053	0.880	0.348	nhức nhối
achy	0.167	0.840	0.373	đau nhức
acid	0.265	0.642	0.566	axit
acidity	0.156	0.663	0.360	độ chua
acknowledge	0.786	0.370	0.661	thừa nhận
acknowledged	0.714	0.443	0.765	thừa nhận
acknowledgement	0.819	0.539	0.830	nhìn nhận
acknowledgment	0.796	0.528	0.777	nhìn nhận
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	mụn
acorn	0.448	0.198	0.192	acorn
acoustic	0.542	0.462	0.536	âm học
acoustics	0.611	0.330	0.509	âm học
acquaint	0.646	0.491	0.639	Làm quen
acquaintance	0.656	0.290	0.670	người quen
acquainted	0.906	0.358	0.632	hiểu biết
acquiescence	0.542	0.480	0.554	sự ưng thuận
acquire	0.833	0.468	0.700	có được, thu được
acquiring	0.735	0.510	0.817	mua lại
acquisition	0.698	0.509	0.736	thu mua
acquisitions	0.773	0.660	0.790	mua lại
acquit	0.583	0.571	0.611	tha bổng
acquittal	0.760	0.497	0.700	sự tha bổng
acre	0.583	0.387	0.423	mẫu Anh
acreage	0.741	0.450	0.528	diện tích
acres	0.510	0.363	0.500	đất cày cấy
acrobat	0.708	0.828	0.602	diễn viên xiếc
acrylic	0.582	0.279	0.420	acrylic
act	0.656	0.704	0.735	hành động
acting	0.698	0.643	0.500	diễn xuất
action	0.760	0.898	0.802	hoạt động
action figure	0.615	0.774	0.611	con số hành động
actionable	0.673	0.702	0.613	có thể hành động
activate	0.764	0.650	0.806	hoạt động
activation	0.781	0.800	0.754	sự kích hoạt
active	0.847	0.730	0.731	tích cực
activist	0.531	0.653	0.877	nhà hoạt động
activity	0.701	0.660	0.807	hoạt động
actor	0.653	0.561	0.629	diễn viên nam
actress	0.633	0.556	0.596	nữ diễn viên
actual	0.729	0.400	0.716	thật sự
actuality	0.750	0.464	0.600	thực tế
actuary	0.510	0.404	0.491	người tính toán
acuity	0.469	0.378	0.741	sự nhạy bén
acumen	0.564	0.660	0.679	sự nhạy bén
acupuncture	0.531	0.324	0.549	châm cứu
acute	0.427	0.652	0.534	nhọn
acutely	0.417	0.543	0.491	sâu sắc
ad	0.521	0.705	0.558	quảng cáo
adage	0.517	0.415	0.566	câu ngạn ngữ
adamant	0.344	0.529	0.575	cương quyết
adapt	0.740	0.355	0.551	phỏng theo
adaptable	0.735	0.423	0.641	thích nghi được
adaptation	0.663	0.365	0.609	sự thích nghi
add	0.728	0.490	0.554	cộng
added	0.562	0.405	0.509	thêm
addendum	0.392	0.370	0.418	phụ lục
adder	0.388	0.461	0.588	người bổ sung
addict	0.075	0.696	0.327	con nghiện
addicted	0.156	0.712	0.483	nghiện
addiction	0.180	0.806	0.420	nghiện
addictive	0.302	0.683	0.472	gây nghiện
addition	0.562	0.373	0.471	phép cộng
additional	0.673	0.462	0.526	thêm vào
additive	0.561	0.633	0.691	phụ gia
address	0.650	0.327	0.567	địa chỉ
addressee	0.622	0.382	0.538	người nhận
addresses	0.510	0.354	0.450	địa chỉ
adept	0.594	0.539	0.789	lão luyện
adequacy	0.615	0.435	0.702	sự đầy đủ
adequate	0.854	0.264	0.705	đủ
adhere	0.633	0.339	0.554	tuân thủ
adherence	0.760	0.307	0.630	sự tuân thủ
adherent	0.561	0.385	0.555	kết dính
adhering	0.612	0.561	0.537	tôn trọng
adhesion	0.521	0.445	0.586	sự kết dính
adhesive	0.604	0.350	0.413	dính
adieu	0.250	0.471	0.342	adieu
adipose	0.333	0.350	0.391	chất béo
adjacency	0.365	0.417	0.375	gần kề
adjacent	0.645	0.276	0.536	liền kề
adjective	0.570	0.316	0.569	tính từ
adjoining	0.520	0.400	0.393	liền kề
adjourn	0.385	0.456	0.475	hoãn lại
adjournment	0.438	0.510	0.370	hoãn lại
adjudicate	0.559	0.520	0.683	phân xử
adjudication	0.551	0.462	0.691	sự xét xử
adjunct	0.459	0.440	0.426	phụ tá
adjust	0.647	0.327	0.638	điều chỉnh
adjuster	0.510	0.540	0.760	người điều chỉnh
adjustment	0.590	0.520	0.661	sự điều chỉnh
adjuvant	0.510	0.500	0.456	chất bổ trợ
admin	0.688	0.420	0.854	quản trị viên
administer	0.635	0.425	0.860	quản lý
administration	0.625	0.404	0.786	sự quản lý
administrative	0.542	0.415	0.579	hành chính
administrator	0.538	0.480	0.902	người quản lý
admirable	0.929	0.600	0.870	đáng ngưỡng mộ
admiral	0.844	0.490	0.847	đô đốc
admiralty	0.594	0.547	0.733	đô đốc
admiration	0.969	0.583	0.726	sự khâm phục
admire	0.867	0.692	0.704	ngưỡng mộ
admired	0.917	0.560	0.815	ngưỡng mộ
admirer	0.796	0.720	0.650	người ngưỡng mộ
admiring	0.867	0.578	0.629	ngưỡng mộ
admissibility	0.802	0.580	0.602	sự chấp nhận
admissible	0.780	0.528	0.642	có thể chấp nhận được
admission	0.802	0.415	0.732	nhận vào
admit	0.538	0.423	0.667	thừa nhận
admittance	0.690	0.451	0.598	sự thừa nhận
admitted	0.720	0.490	0.767	thừa nhận
admitting	0.620	0.500	0.546	thừa nhận
admixture	0.450	0.375	0.438	phụ gia
admonition	0.357	0.606	0.455	lời khuyên nhủ
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	tuổi thanh xuân
adolescent	0.781	0.680	0.509	thanh niên
adopt	0.694	0.612	0.701	nhận nuôi
adoption	0.625	0.566	0.589	nhận con nuôi
adoptive	0.531	0.469	0.520	nhận nuôi
adorable	0.969	0.519	0.457	đáng yêu
adoration	0.885	0.699	0.708	Yêu mến
adore	0.854	0.438	0.657	yêu thích
adoring	0.885	0.620	0.717	tôn thờ
adorn	0.910	0.424	0.482	tô điểm
adornment	0.918	0.373	0.377	trang sức
adrenalin	0.865	0.920	0.786	adrenalin
adrenaline	0.765	0.965	0.825	adrenaline
adrift	0.398	0.486	0.230	xa rời
adult	0.815	0.491	0.787	người lớn
adulterated	0.188	0.865	0.370	pha tạp chất
adulterer	0.229	0.814	0.407	kẻ ngoại tình
adultery	0.120	0.922	0.510	ngoại tình
adulthood	0.541	0.454	0.652	trưởng thành
advance	0.673	0.472	0.858	nâng cao
advanced	0.844	0.623	0.797	nâng cao
advancement	0.776	0.650	0.839	thăng tiến
advancing	0.929	0.608	0.812	thăng tiến
advantage	0.917	0.548	0.859	thuận lợi
advantageous	0.837	0.640	0.789	thuận lợi
advent	0.665	0.560	0.627	sự ra đời
adventure	0.917	0.857	0.710	cuộc phiêu lưu
adventurer	0.781	0.839	0.868	nhà thám hiểm
adventures	0.812	0.764	0.749	cuộc phiêu lưu
adventurous	0.969	0.898	0.722	phiêu lưu
adversary	0.349	0.777	0.457	đối thủ
adverse	0.323	0.610	0.385	bất lợi
adversity	0.276	0.760	0.538	nghịch cảnh
advertise	0.500	0.529	0.580	Quảng cáo
advertisement	0.600	0.566	0.539	Quảng cáo
advertising	0.622	0.608	0.632	quảng cáo
adverts	0.551	0.500	0.595	quảng cáo
advice	0.698	0.408	0.688	lời khuyên
advisable	0.867	0.480	0.510	có thể khuyên bảo
advise	0.760	0.393	0.705	khuyên nhủ
advised	0.823	0.330	0.509	khuyên
advisement	0.698	0.235	0.655	lời khuyên
adviser	0.745	0.362	0.705	cố vấn
advisor	0.646	0.350	0.689	cố vấn
advisory	0.656	0.429	0.633	tham mưu
advocacy	0.500	0.646	0.731	vận động
advocate	0.551	0.530	0.818	biện hộ
aegis	0.490	0.439	0.462	aegis
aeration	0.550	0.500	0.433	sục khí
aerial	0.615	0.461	0.463	trên không
aerobics	0.708	0.771	0.627	thể dục nhịp điệu
aerodrome	0.541	0.740	0.678	sân bay
aerodynamic	0.561	0.724	0.728	khí động học
aerodynamics	0.590	0.663	0.722	khí động học
aeronautics	0.551	0.633	0.688	hàng không
aeroplane	0.714	0.642	0.644	Máy bay
aerospace	0.643	0.520	0.779	hàng không vũ trụ
aesthetic	0.708	0.442	0.526	thẩm mỹ
aesthetics	0.847	0.327	0.549	tính thẩm mỹ
aetiology	0.480	0.398	0.615	bệnh nguyên sinh
afar	0.396	0.373	0.358	xa
affable	0.704	0.380	0.452	niềm nở
affair	0.520	0.459	0.657	công việc
affect	0.458	0.569	0.578	ảnh hưởng
affecting	0.350	0.574	0.394	ảnh hưởng đến
affection	0.898	0.559	0.696	sự yêu mến
affectionate	0.949	0.422	0.550	trìu mến
affections	0.760	0.547	0.655	tình cảm
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	bản tuyên thệ
affiliated	0.673	0.519	0.535	liên kết
affiliation	0.615	0.594	0.500	sự liên kết
affinity	0.800	0.500	0.537	sự giống nhau
affirm	0.745	0.509	0.731	Xác nhận
affirmation	0.750	0.500	0.689	sự khẳng định
affirmative	0.854	0.589	0.816	khẳng định
affirmatively	0.908	0.500	0.811	khẳng định
affix	0.438	0.335	0.411	đóng dấu
afflict	0.302	0.555	0.293	phiền não
afflicted	0.271	0.500	0.167	đau khổ
affliction	0.294	0.635	0.392	phiền não
affluence	0.663	0.618	0.722	sung túc
affluent	0.756	0.388	0.477	sung túc
afford	0.571	0.580	0.575	đủ khả năng
affordable	0.840	0.398	0.493	giá cả phải chăng
affront	0.327	0.740	0.547	đối đầu
affronted	0.385	0.750	0.527	đương đầu
afield	0.594	0.370	0.373	afield
afire	0.367	0.904	0.675	Một đám cháy
afloat	0.602	0.427	0.444	nổi lên
afore	0.500	0.337	0.382	trước
aforementioned	0.490	0.316	0.408	đã nói ở trên
aforesaid	0.531	0.358	0.478	đã nói ở trên
afraid	0.010	0.775	0.245	sợ
afresh	0.643	0.521	0.480	làm mới
aft	0.480	0.417	0.518	phía sau
afterlife	0.571	0.567	0.568	thế giới bên kia
aftermath	0.312	0.449	0.444	hậu quả
afternoon	0.533	0.388	0.339	buổi chiều
aftershave	0.406	0.384	0.415	hậu quả
aftertaste	0.354	0.362	0.455	dư vị
afterthought	0.396	0.392	0.349	suy nghĩ sau
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	mã não
age	0.561	0.226	0.498	tuổi tác
aged	0.135	0.365	0.236	già đi
agency	0.460	0.296	0.583	hãng
agenda	0.531	0.296	0.553	chương trình nghị sự
agent	0.480	0.439	0.755	đại lý
agglomeration	0.450	0.765	0.509	sự kết tụ
aggravate	0.224	0.770	0.464	làm trầm trọng thêm
aggravated	0.079	0.760	0.430	trầm trọng hơn
aggravates	0.108	0.778	0.357	làm trầm trọng thêm
aggravating	0.257	0.794	0.640	làm trầm trọng thêm
aggravation	0.071	0.784	0.613	làm trầm trọng thêm
aggregate	0.730	0.378	0.556	tổng hợp lại
aggregation	0.583	0.517	0.694	tập hợp
aggresive	0.059	0.971	0.639	có tính kết dính
aggression	0.094	0.929	0.533	Hiếu chiến
aggressive	0.125	0.949	0.648	hung dữ
aggressively	0.250	0.926	0.688	tích cực
aggressiveness	0.077	0.913	0.648	tính hiếu chiến
aggressor	0.146	0.948	0.823	kẻ xâm lược
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	kinh hoàng
aghhh	0.281	0.635	0.243	aghhh
agile	0.800	0.657	0.775	nhanh nhẹn
agility	0.720	0.702	0.815	nhanh nhẹn
aging	0.214	0.255	0.284	sự lão hóa
agitate	0.300	0.796	0.593	kích động
agitated	0.444	0.882	0.491	kích động
agitation	0.240	0.931	0.447	sự kích động
aglow	0.780	0.510	0.797	nhanh chóng
agnostic	0.306	0.396	0.574	bất khả tri
ago	0.317	0.280	0.404	trước kia
agonizing	0.083	0.800	0.340	đau đớn
agony	0.083	0.775	0.393	đau đớn
agoraphobia	0.127	0.712	0.438	Chứng sợ đám đông
agree	0.906	0.260	0.545	đồng ý
agreeable	0.906	0.500	0.696	hợp ý
agreed	0.797	0.449	0.574	đã đồng ý
agreeing	0.854	0.480	0.557	đồng ý
agreement	0.760	0.440	0.736	hiệp định
agressive	0.083	0.918	0.751	trầm cảm
agricultural	0.686	0.321	0.473	nông nghiệp
agriculture	0.640	0.357	0.465	nông nghiệp
aground	0.333	0.340	0.445	mắc cạn
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	phía trước
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhhh
ahoy	0.500	0.497	0.380	ahoy
aid	0.796	0.491	0.541	sự giúp đỡ
aide	0.724	0.342	0.434	phụ tá
aiding	0.643	0.533	0.569	trợ giúp
aids	0.561	0.480	0.500	AIDS
ail	0.375	0.434	0.385	đau
ailing	0.094	0.518	0.153	ốm yếu
ailment	0.146	0.734	0.277	bệnh tật
aim	0.481	0.569	0.567	mục đích
aimless	0.150	0.267	0.183	không mục đích
air	0.708	0.163	0.427	hàng không
airbag	0.510	0.402	0.433	túi khí
airborne	0.542	0.519	0.385	trên không
aircraft	0.646	0.644	0.691	phi cơ
aircraft carrier	0.490	0.740	0.727	tàu sân bay
airfield	0.601	0.650	0.645	sân bay
airhead	0.271	0.481	0.276	airhead
airlift	0.573	0.622	0.642	máy bay vận tải
airline	0.650	0.482	0.688	hãng hàng không
airliner	0.667	0.777	0.647	máy bay
airlock	0.398	0.520	0.447	khóa máy bay
airman	0.587	0.716	0.721	phi công
airplane	0.719	0.702	0.708	Máy bay
airport	0.729	0.684	0.682	phi trường
airs	0.583	0.196	0.370	phát sóng
airship	0.542	0.472	0.529	phi thuyền
airspace	0.562	0.510	0.640	vùng trời
airspeed	0.583	0.780	0.544	tốc độ bay
airstrip	0.550	0.690	0.649	đường băng
airtight	0.479	0.381	0.570	kín gió
airway	0.638	0.585	0.482	khí đạo
aisle	0.438	0.222	0.283	lối đi
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	ajar
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	na ná
alabaster	0.542	0.404	0.445	alabaster
alarm	0.241	0.882	0.698	báo thức
alarm clock	0.542	0.727	0.642	đồng hồ báo thức
alarmed	0.188	0.822	0.492	báo động
alarming	0.204	0.890	0.585	đáng báo động
alas	0.571	0.310	0.279	than ôi
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	chim hải âu
albino	0.500	0.240	0.358	bạch tạng
album	0.635	0.349	0.453	album
alchemy	0.541	0.583	0.693	thuật giả kim
alcohol	0.323	0.667	0.377	rượu bia
alcoholic	0.153	0.688	0.361	kẻ nghiện rượu
alcoholism	0.061	0.779	0.407	nghiện rượu
alcove	0.490	0.340	0.356	hốc tường
alderman	0.550	0.459	0.691	người làm nghề bán rong
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	báo động
alertness	0.375	0.875	0.750	sự tỉnh táo
alerts	0.337	0.804	0.673	cảnh báo
alfalfa	0.546	0.250	0.311	cỏ linh lăng
algebra	0.440	0.340	0.565	đại số học
algebraic	0.531	0.412	0.441	đại số
algorithm	0.448	0.394	0.559	thuật toán
alias	0.541	0.353	0.333	bí danh
alibi	0.396	0.528	0.556	bằng chứng ngoại phạm
alien	0.410	0.615	0.491	người ngoài hành tinh
alienate	0.247	0.500	0.523	xa lánh
alienated	0.410	0.423	0.559	xa lánh
alienation	0.378	0.530	0.462	xa lánh
alight	0.667	0.657	0.605	xuống xe
align	0.656	0.364	0.627	căn chỉnh
aligned	0.583	0.275	0.553	thẳng hàng
alignment	0.643	0.412	0.683	sự liên kết
alike	0.653	0.173	0.444	như nhau
alimentation	0.781	0.551	0.602	nuôi cho ăn
alimony	0.612	0.477	0.464	tiền cấp dưỡng
aliquot	0.440	0.310	0.404	aliquot
alive	0.816	0.637	0.731	còn sống
alkali	0.490	0.350	0.408	kiềm
alkaloids	0.433	0.562	0.402	ancaloit
allay	0.417	0.406	0.398	xoa dịu
allegation	0.578	0.578	0.608	sự cáo buộc
allege	0.418	0.482	0.587	cáo buộc
alleged	0.365	0.522	0.520	bị cáo buộc
allegiance	0.917	0.398	0.750	lòng trung thành
allegorical	0.517	0.558	0.598	ngụ ngôn
allegory	0.615	0.580	0.509	câu chuyện ngụ ngôn
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	dị ứng
allergy	0.296	0.606	0.389	dị ứng
alleviate	0.869	0.270	0.528	làm giảm bớt
alleviation	0.735	0.200	0.491	giảm nhẹ
alley	0.347	0.500	0.355	hẻm
alleyway	0.357	0.471	0.382	đường hẻm
alliance	0.696	0.473	0.769	liên minh
allied	0.714	0.245	0.642	liên minh
alligator	0.354	0.704	0.645	cá sấu
allocate	0.673	0.462	0.672	chỉ định
allocation	0.604	0.388	0.679	sự phân bổ
allot	0.622	0.481	0.616	phân bổ
allotment	0.600	0.390	0.640	sự phân bổ
allow	0.698	0.429	0.538	cho phép
allowable	0.698	0.500	0.561	cho phép
allowance	0.673	0.382	0.591	trợ cấp
allowed	0.730	0.360	0.655	cho phép
alloy	0.583	0.443	0.593	hợp kim
allsmiles	0.786	0.528	0.430	allsmiles
allure	0.804	0.585	0.686	quyến rũ
alluring	0.837	0.745	0.843	quyến rũ
allusion	0.440	0.308	0.462	ám chỉ
alluvial	0.323	0.490	0.491	phù sa
ally	0.792	0.320	0.688	đồng minh
almanac	0.688	0.190	0.412	niên giám
almighty	0.938	0.874	0.958	toàn năng
almond	0.698	0.183	0.314	quả hạnh
aloft	0.771	0.373	0.700	trên cao
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	một mình
alongside	0.458	0.333	0.347	cùng với
aloof	0.189	0.423	0.302	đứng cách xa
aloud	0.458	0.713	0.750	lớn tiếng
alpha	0.708	0.340	0.755	alpha
alphabet	0.562	0.204	0.672	bảng chữ cái
alphabetical	0.537	0.296	0.535	theo thứ tự bảng chữ cái
alpine	0.594	0.337	0.474	núi cao
alreadyyyyy	0.592	0.717	0.351	đãyyyy
altar	0.724	0.387	0.635	bàn thờ
altar boy	0.434	0.206	0.350	cậu bé bàn thờ
alter	0.333	0.694	0.654	thay đổi
alteration	0.167	0.798	0.609	sự thay đổi
altercation	0.170	0.806	0.500	sự thay đổi
altered	0.255	0.765	0.500	thay đổi
alternate	0.625	0.363	0.589	Luân phiên
alternating	0.480	0.494	0.542	xen kẽ
alternative	0.628	0.373	0.631	thay thế
altimeter	0.615	0.510	0.580	máy đo độ cao
altitude	0.708	0.482	0.736	độ cao
alto	0.656	0.404	0.730	alto
altogether	0.833	0.324	0.644	hoàn toàn
aluminum	0.449	0.280	0.434	nhôm
alumnus	0.633	0.368	0.422	sinh viên
alveolar	0.469	0.481	0.367	phế nang
alzheimers	0.194	0.518	0.319	alzheimers
amalgam	0.438	0.333	0.510	hỗn hống
amalgamation	0.406	0.470	0.531	sự hợp nhất
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	tích lũy
amateur	0.469	0.500	0.409	nghiệp dư
amaze	0.896	0.843	0.783	kinh ngạc
amazed	0.796	0.779	0.533	kinh ngạc
amazedness	0.827	0.872	0.510	sự kinh ngạc
amazement	0.750	0.800	0.639	kinh ngạc
amazing	0.906	0.837	0.849	kinh ngạc
amazingly	0.918	0.765	0.920	đáng kinh ngạc
ambassador	0.651	0.529	0.917	đại sứ
amber	0.635	0.308	0.369	hổ phách
ambience	0.735	0.356	0.426	môi trường xung quanh
ambient	0.625	0.360	0.582	môi trường xung quanh
ambiguity	0.164	0.460	0.370	sự mơ hồ
ambiguous	0.265	0.462	0.358	mơ hồ
ambit	0.479	0.380	0.386	ambit
ambition	0.510	0.804	0.661	tham vọng
ambitious	0.484	0.821	0.717	đầy tham vọng
ambivalent	0.510	0.404	0.482	mâu thuẫn trong tư tưởng
ambrosia	0.571	0.452	0.480	phấn hoa
ambulance	0.500	0.750	0.609	xe cứu thương
ambush	0.281	0.830	0.500	phục kích
ameliorate	0.770	0.548	0.747	cải thiện
amen	0.781	0.182	0.542	amen
amenable	0.448	0.410	0.406	chịu trách nhiệm
amend	0.688	0.406	0.658	sửa đổi
amendment	0.531	0.459	0.606	sự sửa đổi
amends	0.640	0.366	0.517	sửa đổi
amenity	0.750	0.327	0.574	tiện nghi
amethyst	0.622	0.406	0.517	thạch anh tím
amiable	0.847	0.290	0.483	hòa nhã
amicable	0.875	0.330	0.507	thân thiện
amid	0.510	0.340	0.256	ở giữa
amidst	0.480	0.330	0.316	ở giữa
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	đạn
ammonia	0.292	0.587	0.409	amoniac
ammonium	0.354	0.396	0.368	amoni
ammunition	0.338	0.635	0.667	đạn dược
amnesia	0.296	0.330	0.308	chứng hay quên
amnesty	0.551	0.451	0.814	ân xá
amorous	0.844	0.670	0.636	ham mê
amorphous	0.327	0.402	0.349	vô định hình
amortization	0.592	0.491	0.522	khấu hao
amount	0.562	0.422	0.649	số lượng
amour	0.865	0.480	0.652	tình yêu
