English Word	Valence	Arousal	Dominance	Kinyarwanda Word
acknowledge	0.786	0.370	0.661	wemere
acknowledged	0.714	0.443	0.765	byemewe
acknowledgement	0.819	0.539	0.830	gushimira
acknowledgment	0.796	0.528	0.777	gushimira
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	acne
acorn	0.448	0.198	0.192	acorn
acoustic	0.542	0.462	0.536	acoustic
acoustics	0.611	0.330	0.509	acoustics
acquaint	0.646	0.491	0.639	kumenyana
acquaintance	0.656	0.290	0.670	kumenyana
acquainted	0.906	0.358	0.632	aziranye
acquiescence	0.542	0.480	0.554	kubeshya
acquire	0.833	0.468	0.700	kugura
acquiring	0.735	0.510	0.817	kugura
acquisition	0.698	0.509	0.736	kugura
acquisitions	0.773	0.660	0.790	kugura
acquit	0.583	0.571	0.611	kugirwa umwere
acquittal	0.760	0.497	0.700	kugirwa umwere
acre	0.583	0.387	0.423	hegitari
acreage	0.741	0.450	0.528	hegitari
acres	0.510	0.363	0.500	hegitari
acrobat	0.708	0.828	0.602	acrobat
acrylic	0.582	0.279	0.420	acrylic
act	0.656	0.704	0.735	gukora
acting	0.698	0.643	0.500	gukina
action	0.760	0.898	0.802	Igikorwa
action figure	0.615	0.774	0.611	Igikorwa
actionable	0.673	0.702	0.613	birashoboka
activate	0.764	0.650	0.806	gukora
activation	0.781	0.800	0.754	ibikorwa
active	0.847	0.730	0.731	Bikora
activist	0.531	0.653	0.877	umurwanashyaka
activity	0.701	0.660	0.807	ibikorwa
actor	0.653	0.561	0.629	umukinnyi
actress	0.633	0.556	0.596	Umukinnyi
actual	0.729	0.400	0.716	nyabyo
actuality	0.750	0.464	0.600	ukuri
actuary	0.510	0.404	0.491	Acuary
acuity	0.469	0.378	0.741	acuity
acumen	0.564	0.660	0.679	acumen
acupuncture	0.531	0.324	0.549	acupuncture
acute	0.427	0.652	0.534	acute
acutely	0.417	0.543	0.491	bikabije
ad	0.521	0.705	0.558	ad
adage	0.517	0.415	0.566	adage
adamant	0.344	0.529	0.575	gutsimbarara
adapt	0.740	0.355	0.551	kumenyera
adaptable	0.735	0.423	0.641	guhuza n'imiterere
adaptation	0.663	0.365	0.609	guhuza n'imihindagurikire y'ikirere
add	0.728	0.490	0.554	ongeraho
added	0.562	0.405	0.509	wongeyeho
addendum	0.392	0.370	0.418	umugereka
adder	0.388	0.461	0.588	wongeyeho
addict	0.075	0.696	0.327	umusinzi
addicted	0.156	0.712	0.483	yarabaswe
addiction	0.180	0.806	0.420	ibiyobyabwenge
addictive	0.302	0.683	0.472	ibiyobyabwenge
addition	0.562	0.373	0.471	inyongera
additional	0.673	0.462	0.526	inyongera
additive	0.561	0.633	0.691	inyongera
address	0.650	0.327	0.567	aderesi
addressee	0.622	0.382	0.538	ubarizwa
addresses	0.510	0.354	0.450	aderesi
adept	0.594	0.539	0.789	umuhanga
adequacy	0.615	0.435	0.702	bihagije
adequate	0.854	0.264	0.705	bihagije
adhere	0.633	0.339	0.554	gukurikiza
adherence	0.760	0.307	0.630	kubahiriza
adherent	0.561	0.385	0.555	abayoboke
adhering	0.612	0.561	0.537	kubahiriza
adhesion	0.521	0.445	0.586	adhesion
adhesive	0.604	0.350	0.413	ibifatika
adieu	0.250	0.471	0.342	adieu
adipose	0.333	0.350	0.391	adipose
adjacency	0.365	0.417	0.375	yegeranye
adjacent	0.645	0.276	0.536	yegeranye
adjective	0.570	0.316	0.569	inyito
adjoining	0.520	0.400	0.393	iherekejwe
adjourn	0.385	0.456	0.475	gusubika
adjournment	0.438	0.510	0.370	gusubikwa
adjudicate	0.559	0.520	0.683	guca imanza
adjudication	0.551	0.462	0.691	guca imanza
adjunct	0.459	0.440	0.426	umugereka
adjust	0.647	0.327	0.638	Hindura
adjuster	0.510	0.540	0.760	umukoresha
adjustment	0.590	0.520	0.661	Guhindura
adjuvant	0.510	0.500	0.456	aduvant
admin	0.688	0.420	0.854	admin
administer	0.635	0.425	0.860	umuyobozi
administration	0.625	0.404	0.786	ubuyobozi
administrative	0.542	0.415	0.579	ubuyobozi
administrator	0.538	0.480	0.902	umuyobozi
admirable	0.929	0.600	0.870	gushimwa
admiral	0.844	0.490	0.847	admiral
admiralty	0.594	0.547	0.733	admiralty
admiration	0.969	0.583	0.726	kwishima
admire	0.867	0.692	0.704	shima
admired	0.917	0.560	0.815	yashimye
admirer	0.796	0.720	0.650	umukunzi
admiring	0.867	0.578	0.629	gushima
admissibility	0.802	0.580	0.602	kwemerwa
admissible	0.780	0.528	0.642	biremewe
admission	0.802	0.415	0.732	kwinjira
admit	0.538	0.423	0.667	emera
admittance	0.690	0.451	0.598	kwinjira
admitted	0.720	0.490	0.767	byemewe
admitting	0.620	0.500	0.546	kubyemera
admixture	0.450	0.375	0.438	imvange
admonition	0.357	0.606	0.455	impanuro
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	ingimbi
adolescent	0.781	0.680	0.509	ingimbi
adopt	0.694	0.612	0.701	kurera
adoption	0.625	0.566	0.589	kurera
adoptive	0.531	0.469	0.520	kurera
adorable	0.969	0.519	0.457	adorable
adoration	0.885	0.699	0.708	kuramya
adore	0.854	0.438	0.657	kuramya
adoring	0.885	0.620	0.717	kuramya
adorn	0.910	0.424	0.482	kurimbisha
adornment	0.918	0.373	0.377	imitako
adrenalin	0.865	0.920	0.786	adrenalin
adrenaline	0.765	0.965	0.825	adrenaline
adrift	0.398	0.486	0.230	adrift
adult	0.815	0.491	0.787	mukuru
adulterated	0.188	0.865	0.370	yasambanijwe
adulterer	0.229	0.814	0.407	umusambanyi
adultery	0.120	0.922	0.510	gusambana
adulthood	0.541	0.454	0.652	gukura
advance	0.673	0.472	0.858	imbere
advanced	0.844	0.623	0.797	yateye imbere
advancement	0.776	0.650	0.839	gutera imbere
advancing	0.929	0.608	0.812	gutera imbere
advantage	0.917	0.548	0.859	akarusho
advantageous	0.837	0.640	0.789	inyungu
advent	0.665	0.560	0.627	ukuza
adventure	0.917	0.857	0.710	adventure
adventurer	0.781	0.839	0.868	adventure
adventures	0.812	0.764	0.749	ibyago
adventurous	0.969	0.898	0.722	adventure
adversary	0.349	0.777	0.457	umwanzi
adverse	0.323	0.610	0.385	nabi
adversity	0.276	0.760	0.538	ingorane
advertise	0.500	0.529	0.580	kwamamaza
advertisement	0.600	0.566	0.539	kwamamaza
advertising	0.622	0.608	0.632	kwamamaza
adverts	0.551	0.500	0.595	adverts
advice	0.698	0.408	0.688	inama
advisable	0.867	0.480	0.510	ni byiza
advise	0.760	0.393	0.705	mungire inama
advised	0.823	0.330	0.509	yagiriwe inama
advisement	0.698	0.235	0.655	inama
adviser	0.745	0.362	0.705	umujyanama
advisor	0.646	0.350	0.689	umujyanama
advisory	0.656	0.429	0.633	ubujyanama
advocacy	0.500	0.646	0.731	ubuvugizi
advocate	0.551	0.530	0.818	kunganira
aegis	0.490	0.439	0.462	aegis
aeration	0.550	0.500	0.433	Aeration
aerial	0.615	0.461	0.463	ikirere
aerobics	0.708	0.771	0.627	aerobics
aerodrome	0.541	0.740	0.678	aerodrome
aerodynamic	0.561	0.724	0.728	aerodynamic
aerodynamics	0.590	0.663	0.722	aerodynamics
aeronautics	0.551	0.633	0.688	indege
aeroplane	0.714	0.642	0.644	indege
aerospace	0.643	0.520	0.779	ikirere
aesthetic	0.708	0.442	0.526	ubwiza
aesthetics	0.847	0.327	0.549	ubwiza
aetiology	0.480	0.398	0.615	aetiologiya
afar	0.396	0.373	0.358	kure
affable	0.704	0.380	0.452	gukundwa
affair	0.520	0.459	0.657	ikibazo
affect	0.458	0.569	0.578	Ingaruka
affecting	0.350	0.574	0.394	bigira ingaruka
affection	0.898	0.559	0.696	urukundo
affectionate	0.949	0.422	0.550	urukundo
affections	0.760	0.547	0.655	urukundo
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	icyemezo
affiliated	0.673	0.519	0.535	ifatanije
affiliation	0.615	0.594	0.500	isano
affinity	0.800	0.500	0.537	ubucuti
affirm	0.745	0.509	0.731	Emeza
affirmation	0.750	0.500	0.689	Kwemeza
affirmative	0.854	0.589	0.816	gushimangira
affirmatively	0.908	0.500	0.811	yemeza
affix	0.438	0.335	0.411	umugereka
afflict	0.302	0.555	0.293	Kubabara
afflicted	0.271	0.500	0.167	ababaye
affliction	0.294	0.635	0.392	umubabaro
affluence	0.663	0.618	0.722	ubutunzi
affluent	0.756	0.388	0.477	abakire
afford	0.571	0.580	0.575	ubushobozi
affordable	0.840	0.398	0.493	bihendutse
affront	0.327	0.740	0.547	guhangana
affronted	0.385	0.750	0.527	guhangana
afield	0.594	0.370	0.373	kure
afire	0.367	0.904	0.675	afire
afloat	0.602	0.427	0.444	kureremba
afore	0.500	0.337	0.382	haruguru
aforementioned	0.490	0.316	0.408	bimaze kuvugwa
aforesaid	0.531	0.358	0.478	haruguru
afraid	0.010	0.775	0.245	ubwoba
afresh	0.643	0.521	0.480	afresh
aft	0.480	0.417	0.518	aft
afterlife	0.571	0.567	0.568	nyuma y'ubuzima
aftermath	0.312	0.449	0.444	nyuma
afternoon	0.533	0.388	0.339	nyuma ya saa sita
aftershave	0.406	0.384	0.415	nyuma
aftertaste	0.354	0.362	0.455	nyuma
afterthought	0.396	0.392	0.349	nyuma
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	agate
age	0.561	0.226	0.498	imyaka
aged	0.135	0.365	0.236	ashaje
agency	0.460	0.296	0.583	ikigo
agenda	0.531	0.296	0.553	gahunda
agent	0.480	0.439	0.755	umukozi
agglomeration	0.450	0.765	0.509	aglomeration
aggravate	0.224	0.770	0.464	kwiyongera
aggravated	0.079	0.760	0.430	bikabije
aggravates	0.108	0.778	0.357	byongera
aggravating	0.257	0.794	0.640	kwiyongera
aggravation	0.071	0.784	0.613	kwiyongera
aggregate	0.730	0.378	0.556	hamwe
aggregation	0.583	0.517	0.694	kwegeranya
aggresive	0.059	0.971	0.639	agresive
aggression	0.094	0.929	0.533	igitero
aggressive	0.125	0.949	0.648	umunyamahane
aggressively	0.250	0.926	0.688	bikabije
aggressiveness	0.077	0.913	0.648	ubukana
aggressor	0.146	0.948	0.823	igitero
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	aghast
aghhh	0.281	0.635	0.243	aghh
agile	0.800	0.657	0.775	agile
agility	0.720	0.702	0.815	ubuhanga
aging	0.214	0.255	0.284	gusaza
agitate	0.300	0.796	0.593	guhagarika umutima
agitated	0.444	0.882	0.491	bahagaritse umutima
agitation	0.240	0.931	0.447	imyigaragambyo
aglow	0.780	0.510	0.797	aglow
agnostic	0.306	0.396	0.574	agnostic
ago	0.317	0.280	0.404	kera
agonizing	0.083	0.800	0.340	kubabaza
agony	0.083	0.775	0.393	ububabare
agoraphobia	0.127	0.712	0.438	agoraphobia
agree	0.906	0.260	0.545	byumvikane
agreeable	0.906	0.500	0.696	biremewe
agreed	0.797	0.449	0.574	barabyemeye
agreeing	0.854	0.480	0.557	kubyemera
agreement	0.760	0.440	0.736	amasezerano
agressive	0.083	0.918	0.751	agressive
agricultural	0.686	0.321	0.473	ubuhinzi
agriculture	0.640	0.357	0.465	ubuhinzi
aground	0.333	0.340	0.445	ahantu hose
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	imbere
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhh
ahoy	0.500	0.497	0.380	ahoy
aid	0.796	0.491	0.541	imfashanyo
aide	0.724	0.342	0.434	umufasha
aiding	0.643	0.533	0.569	gufasha
aids	0.561	0.480	0.500	imfashanyo
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	uburwayi
ailment	0.146	0.734	0.277	indwara
aim	0.481	0.569	0.567	intego
aimless	0.150	0.267	0.183	idafite intego
air	0.708	0.163	0.427	umwuka
airbag	0.510	0.402	0.433	umuyaga
airborne	0.542	0.519	0.385	ikirere
aircraft	0.646	0.644	0.691	indege
aircraft carrier	0.490	0.740	0.727	indege
airfield	0.601	0.650	0.645	ikibuga cyindege
airhead	0.271	0.481	0.276	ikirere
airlift	0.573	0.622	0.642	indege
airline	0.650	0.482	0.688	indege
airliner	0.667	0.777	0.647	indege
airlock	0.398	0.520	0.447	airlock
airman	0.587	0.716	0.721	indege
airplane	0.719	0.702	0.708	indege
airport	0.729	0.684	0.682	ikibuga cyindege
airs	0.583	0.196	0.370	ikirere
airship	0.542	0.472	0.529	indege
airspace	0.562	0.510	0.640	ikirere
airspeed	0.583	0.780	0.544	umuvuduko
airstrip	0.550	0.690	0.649	ikibuga cy'indege
airtight	0.479	0.381	0.570	umuyaga
airway	0.638	0.585	0.482	inzira
aisle	0.438	0.222	0.283	inzira
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	ajar
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	akin
alabaster	0.542	0.404	0.445	alabaster
alarm	0.241	0.882	0.698	impuruza
alarm clock	0.542	0.727	0.642	isaha yo gutabaza
alarmed	0.188	0.822	0.492	ubwoba
alarming	0.204	0.890	0.585	biteye ubwoba
alas	0.571	0.310	0.279	ishyano
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatross
albino	0.500	0.240	0.358	albino
album	0.635	0.349	0.453	alubumu
alchemy	0.541	0.583	0.693	alchemy
alcohol	0.323	0.667	0.377	inzoga
alcoholic	0.153	0.688	0.361	inzoga
alcoholism	0.061	0.779	0.407	ubusinzi
alcove	0.490	0.340	0.356	alcove
alderman	0.550	0.459	0.691	alderman
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	kuba maso
alertness	0.375	0.875	0.750	kuba maso
alerts	0.337	0.804	0.673	imenyesha
alfalfa	0.546	0.250	0.311	alfalfa
algebra	0.440	0.340	0.565	algebra
algebraic	0.531	0.412	0.441	algebraic
algorithm	0.448	0.394	0.559	algorithm
alias	0.541	0.353	0.333	alias
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	umunyamahanga
alienate	0.247	0.500	0.523	kwitandukanya
alienated	0.410	0.423	0.559	kwitandukanya
alienation	0.378	0.530	0.462	kwitandukanya
alight	0.667	0.657	0.605	alight
align	0.656	0.364	0.627	guhuza
aligned	0.583	0.275	0.553	guhuza
alignment	0.643	0.412	0.683	guhuza
alike	0.653	0.173	0.444	kimwe
alimentation	0.781	0.551	0.602	alimentation
alimony	0.612	0.477	0.464	amafaranga
aliquot	0.440	0.310	0.404	aliquot
alive	0.816	0.637	0.731	muzima
alkali	0.490	0.350	0.408	alkali
alkaloids	0.433	0.562	0.402	alkaloide
allay	0.417	0.406	0.398	allay
allegation	0.578	0.578	0.608	Ikirego
allege	0.418	0.482	0.587	ikirego
alleged	0.365	0.522	0.520	bivugwa
allegiance	0.917	0.398	0.750	ubudahemuka
allegorical	0.517	0.558	0.598	Ikigereranyo
allegory	0.615	0.580	0.509	Ikigereranyo
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	allergique
allergy	0.296	0.606	0.389	allergie
alleviate	0.869	0.270	0.528	koroshya
alleviation	0.735	0.200	0.491	kugabanya
alley	0.347	0.500	0.355	alley
alleyway	0.357	0.471	0.382	inzira
alliance	0.696	0.473	0.769	ubumwe
allied	0.714	0.245	0.642	bafatanije
alligator	0.354	0.704	0.645	alligator
allocate	0.673	0.462	0.672	kugenera
allocation	0.604	0.388	0.679	kugenerwa
allot	0.622	0.481	0.616	kugabana
allotment	0.600	0.390	0.640	kugabana
allow	0.698	0.429	0.538	Emera
allowable	0.698	0.500	0.561	biremewe
allowance	0.673	0.382	0.591	amafaranga
allowed	0.730	0.360	0.655	biremewe
alloy	0.583	0.443	0.593	alloy
allsmiles	0.786	0.528	0.430	allsmiles
allure	0.804	0.585	0.686	allure
alluring	0.837	0.745	0.843	alluring
allusion	0.440	0.308	0.462	allusion
alluvial	0.323	0.490	0.491	alluvial
ally	0.792	0.320	0.688	umufasha
almanac	0.688	0.190	0.412	almanac
almighty	0.938	0.874	0.958	Ishoborabyose
almond	0.698	0.183	0.314	almonde
aloft	0.771	0.373	0.700	hejuru
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	wenyine
alongside	0.458	0.333	0.347	iruhande
aloof	0.189	0.423	0.302	kure
aloud	0.458	0.713	0.750	n'ijwi rirenga
alpha	0.708	0.340	0.755	alfa
alphabet	0.562	0.204	0.672	inyuguti
alphabetical	0.537	0.296	0.535	inyuguti
alpine	0.594	0.337	0.474	alpine
alreadyyyyy	0.592	0.717	0.351	Yamaz
altar	0.724	0.387	0.635	igicaniro
altar boy	0.434	0.206	0.350	igicaniro
alter	0.333	0.694	0.654	Hindura
alteration	0.167	0.798	0.609	Guhindura
altercation	0.170	0.806	0.500	gutongana
altered	0.255	0.765	0.500	Byahinduwe
alternate	0.625	0.363	0.589	ubundi
alternating	0.480	0.494	0.542	guhinduranya
alternative	0.628	0.373	0.631	ubundi
altimeter	0.615	0.510	0.580	altimeter
altitude	0.708	0.482	0.736	ubutumburuke
alto	0.656	0.404	0.730	alto
altogether	0.833	0.324	0.644	Byose
aluminum	0.449	0.280	0.434	aluminium
alumnus	0.633	0.368	0.422	umunyeshuri
alveolar	0.469	0.481	0.367	alveolar
alzheimers	0.194	0.518	0.319	alzheimers
amalgam	0.438	0.333	0.510	amalgam
amalgamation	0.406	0.470	0.531	guhuriza hamwe
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	amass
amateur	0.469	0.500	0.409	Amateur
amaze	0.896	0.843	0.783	Tangaza
amazed	0.796	0.779	0.533	Ndatangaye
amazedness	0.827	0.872	0.510	gutangara
amazement	0.750	0.800	0.639	gutangara
amazing	0.906	0.837	0.849	biratangaje
amazingly	0.918	0.765	0.920	biratangaje
ambassador	0.651	0.529	0.917	ambasaderi
amber	0.635	0.308	0.369	amber
ambience	0.735	0.356	0.426	ibidukikije
ambient	0.625	0.360	0.582	ibidukikije
ambiguity	0.164	0.460	0.370	kudasobanuka
ambiguous	0.265	0.462	0.358	bidasobanutse
ambit	0.479	0.380	0.386	ambit
ambition	0.510	0.804	0.661	icyifuzo
ambitious	0.484	0.821	0.717	kwifuza
ambivalent	0.510	0.404	0.482	bidasobanutse
ambrosia	0.571	0.452	0.480	ambrosia
ambulance	0.500	0.750	0.609	ambulance
ambush	0.281	0.830	0.500	ambush
ameliorate	0.770	0.548	0.747	ameliorate
amen	0.781	0.182	0.542	amen
amenable	0.448	0.410	0.406	ni byiza
amend	0.688	0.406	0.658	guhindura
amendment	0.531	0.459	0.606	ubugororangingo
amends	0.640	0.366	0.517	ihindura
amenity	0.750	0.327	0.574	ibyiza
amethyst	0.622	0.406	0.517	amethyst
amiable	0.847	0.290	0.483	amiable
amicable	0.875	0.330	0.507	ubwumvikane
amid	0.510	0.340	0.256	hagati
amidst	0.480	0.330	0.316	hagati
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	ammo
ammonia	0.292	0.587	0.409	ammonia
ammonium	0.354	0.396	0.368	amonium
ammunition	0.338	0.635	0.667	amasasu
amnesia	0.296	0.330	0.308	amnesia
amnesty	0.551	0.451	0.814	imbabazi
amorous	0.844	0.670	0.636	amorous
amorphous	0.327	0.402	0.349	amorphous
amortization	0.592	0.491	0.522	amortisation
amount	0.562	0.422	0.649	umubare
amour	0.865	0.480	0.652	amour
amp	0.439	0.393	0.375	amp
ampersand	0.480	0.448	0.483	ampersand
amphetamines	0.133	0.667	0.526	amphetamine
amphibian	0.427	0.357	0.474	amphibian
amphibious	0.479	0.346	0.445	amphibious
amphitheater	0.653	0.480	0.545	amphitheater
ample	0.744	0.349	0.719	bihagije
amplification	0.690	0.677	0.810	amplification
amplify	0.677	0.735	0.827	kwagura
amplitude	0.694	0.439	0.692	amplitude
amply	0.781	0.431	0.766	byuzuye
amputate	0.092	0.660	0.509	gucibwa
amputation	0.100	0.755	0.483	gucibwa
amuck	0.385	0.602	0.321	amuck
amulet	0.781	0.260	0.630	amulet
amuse	0.812	0.684	0.664	kwishimisha
amused	0.942	0.847	0.596	byishimo
amusement	0.929	0.837	0.803	kwishimisha
amusing	0.960	0.829	0.632	bishimishije
ana	0.541	0.300	0.314	ana
anaconda	0.146	0.830	0.540	anaconda
anaesthesia	0.350	0.217	0.473	anesthesia
anaesthetic	0.449	0.268	0.509	anesthetic
anagram	0.552	0.327	0.449	igishushanyo
anal	0.333	0.798	0.334	anal
analgesic	0.417	0.321	0.441	analgesic
analogous	0.531	0.270	0.500	bisa
analogue	0.570	0.320	0.446	analogue
analogy	0.510	0.367	0.509	ikigereranyo
analysis	0.729	0.448	0.705	isesengura
analyst	0.604	0.415	0.755	umusesenguzi
analytic	0.665	0.521	0.634	gusesengura
analytical	0.625	0.324	0.800	isesengura
analyze	0.667	0.462	0.710	gusesengura
analyzer	0.625	0.556	0.854	gusesengura
