English Word	Valence	Arousal	Dominance	Indonesian Word
acknowledgement	0.819	0.539	0.830	pengakuan
acknowledgment	0.796	0.528	0.777	pengakuan
acme	0.408	0.435	0.375	puncak
acne	0.167	0.474	0.308	jerawat
acorn	0.448	0.198	0.192	biji pohon ek
acoustic	0.542	0.462	0.536	akustik
acoustics	0.611	0.330	0.509	akustik
acquaint	0.646	0.491	0.639	memperkenalkan
acquaintance	0.656	0.290	0.670	kenalan
acquainted	0.906	0.358	0.632	berkenalan
acquiescence	0.542	0.480	0.554	persetujuan
acquire	0.833	0.468	0.700	mendapatkan
acquiring	0.735	0.510	0.817	memperoleh
acquisition	0.698	0.509	0.736	Akuisisi
acquisitions	0.773	0.660	0.790	akuisisi
acquit	0.583	0.571	0.611	membebaskan
acquittal	0.760	0.497	0.700	pembebasan
acre	0.583	0.387	0.423	hektar
acreage	0.741	0.450	0.528	areal
acres	0.510	0.363	0.500	hektar
acrobat	0.708	0.828	0.602	akrobat
acrylic	0.582	0.279	0.420	akrilik
act	0.656	0.704	0.735	bertindak
acting	0.698	0.643	0.500	akting
action	0.760	0.898	0.802	tindakan
action figure	0.615	0.774	0.611	tokoh aksi
actionable	0.673	0.702	0.613	dapat ditindaklanjuti
activate	0.764	0.650	0.806	mengaktifkan
activation	0.781	0.800	0.754	pengaktifan
active	0.847	0.730	0.731	aktif
activist	0.531	0.653	0.877	aktivis
activity	0.701	0.660	0.807	aktivitas
actor	0.653	0.561	0.629	aktor
actress	0.633	0.556	0.596	aktris
actual	0.729	0.400	0.716	sebenarnya
actuality	0.750	0.464	0.600	aktualitas
actuary	0.510	0.404	0.491	aktuaris
acuity	0.469	0.378	0.741	ketajaman
acumen	0.564	0.660	0.679	ketajaman
acupuncture	0.531	0.324	0.549	akupunktur
acute	0.427	0.652	0.534	akut
acutely	0.417	0.543	0.491	secara akut
ad	0.521	0.705	0.558	iklan
adage	0.517	0.415	0.566	pepatah
adamant	0.344	0.529	0.575	bersikeras
adapt	0.740	0.355	0.551	menyesuaikan
adaptable	0.735	0.423	0.641	mudah beradaptasi
adaptation	0.663	0.365	0.609	adaptasi
add	0.728	0.490	0.554	menambahkan
added	0.562	0.405	0.509	ditambahkan
addendum	0.392	0.370	0.418	tambahan
adder	0.388	0.461	0.588	penambah
addict	0.075	0.696	0.327	pencandu
addicted	0.156	0.712	0.483	kecanduan
addiction	0.180	0.806	0.420	kecanduan
addictive	0.302	0.683	0.472	Ketagihan
addition	0.562	0.373	0.471	tambahan
additional	0.673	0.462	0.526	tambahan
additive	0.561	0.633	0.691	aditif
address	0.650	0.327	0.567	alamat
addressee	0.622	0.382	0.538	penerima
addresses	0.510	0.354	0.450	alamat
adept	0.594	0.539	0.789	mahir
adequacy	0.615	0.435	0.702	kecukupan
adequate	0.854	0.264	0.705	memadai
adhere	0.633	0.339	0.554	mengikuti
adherence	0.760	0.307	0.630	ketaatan
adherent	0.561	0.385	0.555	penganut
adhering	0.612	0.561	0.537	mengikuti
adhesion	0.521	0.445	0.586	adhesi
adhesive	0.604	0.350	0.413	perekat
adieu	0.250	0.471	0.342	kata perpisahan
adipose	0.333	0.350	0.391	lemak
adjacency	0.365	0.417	0.375	kedekatan
adjacent	0.645	0.276	0.536	bersebelahan
adjective	0.570	0.316	0.569	kata sifat
adjoining	0.520	0.400	0.393	berdampingan
adjourn	0.385	0.456	0.475	menunda
adjournment	0.438	0.510	0.370	penundaan
adjudicate	0.559	0.520	0.683	mengadili
adjudication	0.551	0.462	0.691	pengadilan
adjunct	0.459	0.440	0.426	tambahan
adjust	0.647	0.327	0.638	menyesuaikan
adjuster	0.510	0.540	0.760	pengatur
adjustment	0.590	0.520	0.661	pengaturan
adjuvant	0.510	0.500	0.456	pembantu
admin	0.688	0.420	0.854	admin
administer	0.635	0.425	0.860	mengelola
administration	0.625	0.404	0.786	administrasi
administrative	0.542	0.415	0.579	administratif
administrator	0.538	0.480	0.902	administrator
admirable	0.929	0.600	0.870	terpuji
admiral	0.844	0.490	0.847	laksamana
admiralty	0.594	0.547	0.733	laksamana
admiration	0.969	0.583	0.726	kekaguman
admire	0.867	0.692	0.704	mengagumi
admired	0.917	0.560	0.815	kagum
admirer	0.796	0.720	0.650	pengagum
admiring	0.867	0.578	0.629	mengagumi
admissibility	0.802	0.580	0.602	penerimaan
admissible	0.780	0.528	0.642	dapat diterima
admission	0.802	0.415	0.732	penerimaan
admit	0.538	0.423	0.667	mengakui
admittance	0.690	0.451	0.598	masuk
admitted	0.720	0.490	0.767	diterima
admitting	0.620	0.500	0.546	mengakui
admixture	0.450	0.375	0.438	campuran
admonition	0.357	0.606	0.455	peringatan
ado	0.520	0.423	0.385	ribut
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	masa remaja
adolescent	0.781	0.680	0.509	remaja
adopt	0.694	0.612	0.701	mengambil
adoption	0.625	0.566	0.589	adopsi
adoptive	0.531	0.469	0.520	anak angkat
adorable	0.969	0.519	0.457	menggemaskan
adoration	0.885	0.699	0.708	pemujaan
adore	0.854	0.438	0.657	cinta
adoring	0.885	0.620	0.717	memuja
adorn	0.910	0.424	0.482	menghiasi
adornment	0.918	0.373	0.377	perhiasan
adrenalin	0.865	0.920	0.786	adrenalin
adrenaline	0.765	0.965	0.825	adrenalin
adrift	0.398	0.486	0.230	terpaut
adult	0.815	0.491	0.787	dewasa
adulterated	0.188	0.865	0.370	dipalsukan
adulterer	0.229	0.814	0.407	pezina
adultery	0.120	0.922	0.510	zina
adulthood	0.541	0.454	0.652	masa dewasa
advance	0.673	0.472	0.858	maju
advanced	0.844	0.623	0.797	canggih
advancement	0.776	0.650	0.839	kemajuan
advancing	0.929	0.608	0.812	maju
advantage	0.917	0.548	0.859	keuntungan
advantageous	0.837	0.640	0.789	menguntungkan
advent	0.665	0.560	0.627	kedatangan
adventure	0.917	0.857	0.710	petualangan
adventurer	0.781	0.839	0.868	petualang
adventures	0.812	0.764	0.749	petualangan
adventurous	0.969	0.898	0.722	petualang
adversary	0.349	0.777	0.457	musuh
adverse	0.323	0.610	0.385	merugikan
adversity	0.276	0.760	0.538	kesulitan
advertise	0.500	0.529	0.580	mengiklankan
advertisement	0.600	0.566	0.539	iklan
advertising	0.622	0.608	0.632	iklan
adverts	0.551	0.500	0.595	iklan
advice	0.698	0.408	0.688	nasihat
advisable	0.867	0.480	0.510	sebaiknya
advise	0.760	0.393	0.705	menasihati
advised	0.823	0.330	0.509	disarankan
advisement	0.698	0.235	0.655	saran
adviser	0.745	0.362	0.705	penasihat
advisor	0.646	0.350	0.689	penasehat
advisory	0.656	0.429	0.633	penasehat
advocacy	0.500	0.646	0.731	pembelaan
advocate	0.551	0.530	0.818	menganjurkan
aegis	0.490	0.439	0.462	perlindungan
aeration	0.550	0.500	0.433	aerasi
aerial	0.615	0.461	0.463	udara
aerobics	0.708	0.771	0.627	aerobik
aerodrome	0.541	0.740	0.678	lapangan terbang
aerodynamic	0.561	0.724	0.728	aerodinamis
aerodynamics	0.590	0.663	0.722	aerodinamika
aeronautics	0.551	0.633	0.688	aeronautika
aeroplane	0.714	0.642	0.644	pesawat terbang
aerospace	0.643	0.520	0.779	luar angkasa
aesthetic	0.708	0.442	0.526	estetis
aesthetics	0.847	0.327	0.549	estetika
aetiology	0.480	0.398	0.615	etiologi
afar	0.396	0.373	0.358	jauh
affable	0.704	0.380	0.452	ramah
affair	0.520	0.459	0.657	perselingkuhan
affect	0.458	0.569	0.578	memengaruhi
affecting	0.350	0.574	0.394	mempengaruhi
affection	0.898	0.559	0.696	kasih sayang
affectionate	0.949	0.422	0.550	penuh kasih sayang
affections	0.760	0.547	0.655	kasih sayang
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	surat sumpah
affiliated	0.673	0.519	0.535	berafiliasi
affiliation	0.615	0.594	0.500	afiliasi
affinity	0.800	0.500	0.537	afinitas
affirm	0.745	0.509	0.731	menegaskan
affirmation	0.750	0.500	0.689	afirmasi
affirmative	0.854	0.589	0.816	setuju
affirmatively	0.908	0.500	0.811	dengan tegas
affix	0.438	0.335	0.411	afiks
afflict	0.302	0.555	0.293	menimpa
afflicted	0.271	0.500	0.167	menderita
affliction	0.294	0.635	0.392	penderitaan
affluence	0.663	0.618	0.722	kemakmuran
affluent	0.756	0.388	0.477	makmur
afford	0.571	0.580	0.575	memberi
affordable	0.840	0.398	0.493	terjangkau
affront	0.327	0.740	0.547	penghinaan
affronted	0.385	0.750	0.527	terhina
afield	0.594	0.370	0.373	jauh
afire	0.367	0.904	0.675	api
afloat	0.602	0.427	0.444	terapung
afore	0.500	0.337	0.382	di depan
aforementioned	0.490	0.316	0.408	tersebut di atas
aforesaid	0.531	0.358	0.478	tersebut di atas
afraid	0.010	0.775	0.245	takut
afresh	0.643	0.521	0.480	lagi
aft	0.480	0.417	0.518	buritan
afterlife	0.571	0.567	0.568	akhirat
aftermath	0.312	0.449	0.444	akibat
afternoon	0.533	0.388	0.339	sore
aftershave	0.406	0.384	0.415	aftershave
aftertaste	0.354	0.362	0.455	sisa rasa
afterthought	0.396	0.392	0.349	renungan
aga	0.542	0.327	0.398	lagi
agape	0.612	0.529	0.464	ternganga
agate	0.540	0.377	0.483	batu akik
age	0.561	0.226	0.498	usia
aged	0.135	0.365	0.236	berumur
agency	0.460	0.296	0.583	agen
agenda	0.531	0.296	0.553	Jadwal acara
agent	0.480	0.439	0.755	agen
agglomeration	0.450	0.765	0.509	pengelompokan
aggravate	0.224	0.770	0.464	memperberat
aggravated	0.079	0.760	0.430	diperparah
aggravates	0.108	0.778	0.357	memperburuk
aggravating	0.257	0.794	0.640	memberatkan
aggravation	0.071	0.784	0.613	kejengkelan
aggregate	0.730	0.378	0.556	agregat
aggregation	0.583	0.517	0.694	pengumpulan
aggresive	0.059	0.971	0.639	agresif
aggression	0.094	0.929	0.533	agresi
aggressive	0.125	0.949	0.648	agresif
aggressively	0.250	0.926	0.688	secara agresif
aggressiveness	0.077	0.913	0.648	agresivitas
aggressor	0.146	0.948	0.823	agresor
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	terperanjat
aghhh	0.281	0.635	0.243	ahhhh
agile	0.800	0.657	0.775	lincah
agility	0.720	0.702	0.815	kelincahan
aging	0.214	0.255	0.284	penuaan
agitate	0.300	0.796	0.593	mengganggu
agitated	0.444	0.882	0.491	gelisah
agitation	0.240	0.931	0.447	agitasi
aglow	0.780	0.510	0.797	bersinar
agnostic	0.306	0.396	0.574	agnostis
ago	0.317	0.280	0.404	yang lalu
agonizing	0.083	0.800	0.340	menyiksa
agony	0.083	0.775	0.393	rasa sakit
agoraphobia	0.127	0.712	0.438	agorafobia
agree	0.906	0.260	0.545	setuju
agreeable	0.906	0.500	0.696	menyenangkan
agreed	0.797	0.449	0.574	sepakat
agreeing	0.854	0.480	0.557	setuju
agreement	0.760	0.440	0.736	persetujuan
agressive	0.083	0.918	0.751	agresif
agricultural	0.686	0.321	0.473	pertanian
agriculture	0.640	0.357	0.465	pertanian
aground	0.333	0.340	0.445	kandas
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	di depan
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhhh
ahoy	0.500	0.497	0.380	ahoy
aid	0.796	0.491	0.541	bantuan
aide	0.724	0.342	0.434	pembantu
aiding	0.643	0.533	0.569	membantu
aids	0.561	0.480	0.500	AIDS
ail	0.375	0.434	0.385	bersakit
ailing	0.094	0.518	0.153	sakit
ailment	0.146	0.734	0.277	penyakit
aim	0.481	0.569	0.567	tujuan
aimless	0.150	0.267	0.183	tanpa tujuan
air	0.708	0.163	0.427	udara
airbag	0.510	0.402	0.433	kantong udara
airborne	0.542	0.519	0.385	mengudara
aircraft	0.646	0.644	0.691	pesawat terbang
aircraft carrier	0.490	0.740	0.727	kapal induk
airfield	0.601	0.650	0.645	lapangan terbang
airhead	0.271	0.481	0.276	orang bebal
airlift	0.573	0.622	0.642	angkutan udara
airline	0.650	0.482	0.688	perusahaan penerbangan
airliner	0.667	0.777	0.647	pesawat terbang
airlock	0.398	0.520	0.447	kunci udara
airman	0.587	0.716	0.721	pilot
airplane	0.719	0.702	0.708	pesawat terbang
airport	0.729	0.684	0.682	Bandara
airs	0.583	0.196	0.370	mengudara
airship	0.542	0.472	0.529	kapal udara
airspace	0.562	0.510	0.640	ruang udara
airspeed	0.583	0.780	0.544	kecepatan udara
airstrip	0.550	0.690	0.649	lapangan terbang
airtight	0.479	0.381	0.570	kedap udara
airway	0.638	0.585	0.482	saluran udara
aisle	0.438	0.222	0.283	lorong
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	terbuka sedikit
aka	0.459	0.358	0.351	alias
akin	0.639	0.343	0.523	mirip
alabaster	0.542	0.404	0.445	pualam
alarm	0.241	0.882	0.698	alarm
alarm clock	0.542	0.727	0.642	jam weker
alarmed	0.188	0.822	0.492	khawatir
alarming	0.204	0.890	0.585	menggelisahkan
alas	0.571	0.310	0.279	Sayang
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	elang laut
albino	0.500	0.240	0.358	albino
album	0.635	0.349	0.453	album
alchemy	0.541	0.583	0.693	alkimia
alcohol	0.323	0.667	0.377	alkohol
alcoholic	0.153	0.688	0.361	alkoholik
alcoholism	0.061	0.779	0.407	alkoholisme
alcove	0.490	0.340	0.356	ceruk
alderman	0.550	0.459	0.691	anggota dewan
ale	0.530	0.450	0.358	bir putih
alert	0.479	0.820	0.648	peringatan
alertness	0.375	0.875	0.750	kewaspadaan
alerts	0.337	0.804	0.673	peringatan
alfalfa	0.546	0.250	0.311	alfalfa
algebra	0.440	0.340	0.565	aljabar
algebraic	0.531	0.412	0.441	aljabar
algorithm	0.448	0.394	0.559	algoritma
alias	0.541	0.353	0.333	alias
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	asing
alienate	0.247	0.500	0.523	menjauhkan
alienated	0.410	0.423	0.559	terasing
alienation	0.378	0.530	0.462	pengasingan
alight	0.667	0.657	0.605	turun
align	0.656	0.364	0.627	meluruskan
aligned	0.583	0.275	0.553	selaras
alignment	0.643	0.412	0.683	penyelarasan
alike	0.653	0.173	0.444	sama
alimentation	0.781	0.551	0.602	makanan
alimony	0.612	0.477	0.464	alimentasi
aliquot	0.440	0.310	0.404	alikuot
alive	0.816	0.637	0.731	hidup
alkali	0.490	0.350	0.408	alkali
alkaloids	0.433	0.562	0.402	alkaloid
allay	0.417	0.406	0.398	menenangkan
allegation	0.578	0.578	0.608	tuduhan
allege	0.418	0.482	0.587	mengatakan
alleged	0.365	0.522	0.520	dugaan
allegiance	0.917	0.398	0.750	kesetiaan
allegorical	0.517	0.558	0.598	alegoris
allegory	0.615	0.580	0.509	alegori
allegro	0.635	0.627	0.453	alegro
allergic	0.135	0.549	0.273	alergi
allergy	0.296	0.606	0.389	alergi
alleviate	0.869	0.270	0.528	meringankan
alleviation	0.735	0.200	0.491	pengurangan
alley	0.347	0.500	0.355	gang
alleyway	0.357	0.471	0.382	gang
alliance	0.696	0.473	0.769	persekutuan
allied	0.714	0.245	0.642	bersekutu
alligator	0.354	0.704	0.645	buaya
allocate	0.673	0.462	0.672	mengalokasikan
allocation	0.604	0.388	0.679	alokasi
allot	0.622	0.481	0.616	membagikan
allotment	0.600	0.390	0.640	peruntukan
allow	0.698	0.429	0.538	mengizinkan
allowable	0.698	0.500	0.561	diperbolehkan
allowance	0.673	0.382	0.591	uang saku
allowed	0.730	0.360	0.655	diizinkan
alloy	0.583	0.443	0.593	paduan
allsmiles	0.786	0.528	0.430	allsmiles
allure	0.804	0.585	0.686	daya tarik
alluring	0.837	0.745	0.843	menarik
allusion	0.440	0.308	0.462	kiasan
alluvial	0.323	0.490	0.491	aluvial
ally	0.792	0.320	0.688	sekutu
almanac	0.688	0.190	0.412	almanak
almighty	0.938	0.874	0.958	mahakuasa
almond	0.698	0.183	0.314	badam
aloft	0.771	0.373	0.700	tinggi
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	sendiri
alongside	0.458	0.333	0.347	di samping
aloof	0.189	0.423	0.302	jauh
aloud	0.458	0.713	0.750	nyaring
alpha	0.708	0.340	0.755	alfa
alphabet	0.562	0.204	0.672	alfabet
alphabetical	0.537	0.296	0.535	alfabetis
alpine	0.594	0.337	0.474	pegunungan Alpen
alreadyyyyy	0.592	0.717	0.351	sudahyyyy
altar	0.724	0.387	0.635	altar
altar boy	0.434	0.206	0.350	putra altar
alter	0.333	0.694	0.654	mengubah
alteration	0.167	0.798	0.609	perubahan
altercation	0.170	0.806	0.500	pertengkaran
altered	0.255	0.765	0.500	diubah
alternate	0.625	0.363	0.589	bergantian
alternating	0.480	0.494	0.542	bergantian
alternative	0.628	0.373	0.631	alternatif
altimeter	0.615	0.510	0.580	alat pengukur tinggi
altitude	0.708	0.482	0.736	ketinggian
alto	0.656	0.404	0.730	alto
altogether	0.833	0.324	0.644	sama sekali
aluminum	0.449	0.280	0.434	aluminium
alumnus	0.633	0.368	0.422	lulusan
alveolar	0.469	0.481	0.367	alveolar
alzheimers	0.194	0.518	0.319	alzheimer
amalgam	0.438	0.333	0.510	campuran
amalgamation	0.406	0.470	0.531	penggabungan
amaretto	0.543	0.551	0.375	Amaretto
amass	0.552	0.465	0.465	mengumpulkan
amateur	0.469	0.500	0.409	amatir
amaze	0.896	0.843	0.783	menakjubkan
amazed	0.796	0.779	0.533	terkagum-kagum
amazedness	0.827	0.872	0.510	kekaguman
amazement	0.750	0.800	0.639	keheranan
amazing	0.906	0.837	0.849	luar biasa
amazingly	0.918	0.765	0.920	luar biasa
ambassador	0.651	0.529	0.917	duta besar
amber	0.635	0.308	0.369	amber
ambience	0.735	0.356	0.426	suasana
ambient	0.625	0.360	0.582	Sekelilingnya
ambiguity	0.164	0.460	0.370	kemenduaan
ambiguous	0.265	0.462	0.358	ambigu
ambit	0.479	0.380	0.386	berambisi
ambition	0.510	0.804	0.661	ambisi
ambitious	0.484	0.821	0.717	ambisius
ambivalent	0.510	0.404	0.482	ambivalen
ambrosia	0.571	0.452	0.480	ambrosia
ambulance	0.500	0.750	0.609	ambulans
ambush	0.281	0.830	0.500	penyergapan
ameliorate	0.770	0.548	0.747	memperbaiki
amen	0.781	0.182	0.542	Amin
amenable	0.448	0.410	0.406	menerima
amend	0.688	0.406	0.658	mengubah
amendment	0.531	0.459	0.606	amandemen
amends	0.640	0.366	0.517	mengubah
amenity	0.750	0.327	0.574	kenyamanan
amethyst	0.622	0.406	0.517	kecubung
amiable	0.847	0.290	0.483	ramah
amicable	0.875	0.330	0.507	ramah tamah
amid	0.510	0.340	0.256	di tengah
amidst	0.480	0.330	0.316	di tengah-tengah
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	amunisi
ammonia	0.292	0.587	0.409	amonia
ammonium	0.354	0.396	0.368	amonium
ammunition	0.338	0.635	0.667	amunisi
amnesia	0.296	0.330	0.308	amnesia
amnesty	0.551	0.451	0.814	amnesti
amorous	0.844	0.670	0.636	asmara
amorphous	0.327	0.402	0.349	amorf
amortization	0.592	0.491	0.522	amortisasi
amount	0.562	0.422	0.649	jumlah
amour	0.865	0.480	0.652	cinta
amp	0.439	0.393	0.375	ampli
ampersand	0.480	0.448	0.483	simbol untuk 'dan
amphetamines	0.133	0.667	0.526	amfetamin
amphibian	0.427	0.357	0.474	amfibi
amphibious	0.479	0.346	0.445	amfibi
amphitheater	0.653	0.480	0.545	ampiteater
ample	0.744	0.349	0.719	cukup
amplification	0.690	0.677	0.810	amplifikasi
amplify	0.677	0.735	0.827	memperkuat
amplitude	0.694	0.439	0.692	amplitudo
amply	0.781	0.431	0.766	cukup
amputate	0.092	0.660	0.509	mengamputasi
amputation	0.100	0.755	0.483	amputasi
amuck	0.385	0.602	0.321	amuk
amulet	0.781	0.260	0.630	jimat
amuse	0.812	0.684	0.664	menghibur
amused	0.942	0.847	0.596	terhibur
amusement	0.929	0.837	0.803	hiburan
amusing	0.960	0.829	0.632	menyenangkan
ana	0.541	0.300	0.314	ana
anaconda	0.146	0.830	0.540	anakonda
anaesthesia	0.350	0.217	0.473	anestesi
anaesthetic	0.449	0.268	0.509	obat bius
anagram	0.552	0.327	0.449	anagram
anal	0.333	0.798	0.334	anal
analgesic	0.417	0.321	0.441	analgesik
analogous	0.531	0.270	0.500	sejalan
analogue	0.570	0.320	0.446	analog
analogy	0.510	0.367	0.509	analogi
analysis	0.729	0.448	0.705	analisis
analyst	0.604	0.415	0.755	analis
analytic	0.665	0.521	0.634	analitik
analytical	0.625	0.324	0.800	analitis
analyze	0.667	0.462	0.710	menganalisa
analyzer	0.625	0.556	0.854	penganalisa
anaphylactic	0.378	0.588	0.500	anafilaksis
anarchism	0.125	0.804	0.623	anarkisme
anarchist	0.204	0.700	0.759	anarkis
anarchy	0.146	0.755	0.620	anarki
anastomosis	0.375	0.470	0.490	anastomosis
