English Word	Valence	Arousal	Dominance	Galician Word
acoustics	0.611	0.330	0.509	acústica
acquaint	0.646	0.491	0.639	coñecer
acquaintance	0.656	0.290	0.670	coñecido
acquainted	0.906	0.358	0.632	coñecido
acquiescence	0.542	0.480	0.554	aquiescencia
acquire	0.833	0.468	0.700	adquirir
acquiring	0.735	0.510	0.817	adquirindo
acquisition	0.698	0.509	0.736	adquisición
acquisitions	0.773	0.660	0.790	adquisicións
acquit	0.583	0.571	0.611	absolver
acquittal	0.760	0.497	0.700	absolución
acre	0.583	0.387	0.423	acre
acreage	0.741	0.450	0.528	superficie
acres	0.510	0.363	0.500	hectáreas
acrobat	0.708	0.828	0.602	acróbata
acrylic	0.582	0.279	0.420	acrílico
act	0.656	0.704	0.735	actuar
acting	0.698	0.643	0.500	interpretación
action	0.760	0.898	0.802	acción
action figure	0.615	0.774	0.611	figura de acción
actionable	0.673	0.702	0.613	accionable
activate	0.764	0.650	0.806	activar
activation	0.781	0.800	0.754	activación
active	0.847	0.730	0.731	activo
activist	0.531	0.653	0.877	activista
activity	0.701	0.660	0.807	actividade
actor	0.653	0.561	0.629	actor
actress	0.633	0.556	0.596	actriz
actual	0.729	0.400	0.716	real
actuality	0.750	0.464	0.600	actualidade
actuary	0.510	0.404	0.491	actuario
acuity	0.469	0.378	0.741	agudeza
acumen	0.564	0.660	0.679	perspicacia
acupuncture	0.531	0.324	0.549	acupuntura
acute	0.427	0.652	0.534	aguda
acutely	0.417	0.543	0.491	agudamente
ad	0.521	0.705	0.558	anuncio
adage	0.517	0.415	0.566	adaxio
adamant	0.344	0.529	0.575	inflexible
adapt	0.740	0.355	0.551	adaptar
adaptable	0.735	0.423	0.641	adaptable
adaptation	0.663	0.365	0.609	adaptación
add	0.728	0.490	0.554	engadir
added	0.562	0.405	0.509	engadido
addendum	0.392	0.370	0.418	addenda
adder	0.388	0.461	0.588	sumador
addict	0.075	0.696	0.327	adicto
addicted	0.156	0.712	0.483	viciado
addiction	0.180	0.806	0.420	adicción
addictive	0.302	0.683	0.472	viciante
addition	0.562	0.373	0.471	adición
additional	0.673	0.462	0.526	adicional
additive	0.561	0.633	0.691	aditivo
address	0.650	0.327	0.567	enderezo
addressee	0.622	0.382	0.538	destinatario
addresses	0.510	0.354	0.450	enderezos
adept	0.594	0.539	0.789	adepto
adequacy	0.615	0.435	0.702	adecuación
adequate	0.854	0.264	0.705	adecuada
adhere	0.633	0.339	0.554	adherirse
adherence	0.760	0.307	0.630	adhesión
adherent	0.561	0.385	0.555	adherente
adhering	0.612	0.561	0.537	adherindo
adhesion	0.521	0.445	0.586	adhesión
adhesive	0.604	0.350	0.413	adhesivo
adieu	0.250	0.471	0.342	adeus
adipose	0.333	0.350	0.391	adiposo
adjacency	0.365	0.417	0.375	adxacencia
adjacent	0.645	0.276	0.536	adxacentes
adjective	0.570	0.316	0.569	adxectivo
adjoining	0.520	0.400	0.393	contiguo
adjourn	0.385	0.456	0.475	aprazar
adjournment	0.438	0.510	0.370	aprazamento
adjudicate	0.559	0.520	0.683	xulgar
adjudication	0.551	0.462	0.691	adxudicación
adjunct	0.459	0.440	0.426	adxunto
adjust	0.647	0.327	0.638	Axustar
adjuster	0.510	0.540	0.760	axustador
adjustment	0.590	0.520	0.661	axuste
adjuvant	0.510	0.500	0.456	adxuvante
admin	0.688	0.420	0.854	administrador
administer	0.635	0.425	0.860	administrar
administration	0.625	0.404	0.786	administración
administrative	0.542	0.415	0.579	administrativo
administrator	0.538	0.480	0.902	administrador
admirable	0.929	0.600	0.870	admirable
admiral	0.844	0.490	0.847	almirante
admiralty	0.594	0.547	0.733	almirantazgo
admiration	0.969	0.583	0.726	admiración
admire	0.867	0.692	0.704	admirar
admired	0.917	0.560	0.815	admirado
admirer	0.796	0.720	0.650	admirador
admiring	0.867	0.578	0.629	admirando
admissibility	0.802	0.580	0.602	admisibilidade
admissible	0.780	0.528	0.642	admisible
admission	0.802	0.415	0.732	admisión
admit	0.538	0.423	0.667	admitir
admittance	0.690	0.451	0.598	admisión
admitted	0.720	0.490	0.767	admitido
admitting	0.620	0.500	0.546	admitindo
admixture	0.450	0.375	0.438	mestura
admonition	0.357	0.606	0.455	advertencia
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	adolescencia
adolescent	0.781	0.680	0.509	adolescente
adopt	0.694	0.612	0.701	adoptar
adoption	0.625	0.566	0.589	adopción
adoptive	0.531	0.469	0.520	adoptivo
adorable	0.969	0.519	0.457	adorable
adoration	0.885	0.699	0.708	adoración
adore	0.854	0.438	0.657	adorar
adoring	0.885	0.620	0.717	adorando
adorn	0.910	0.424	0.482	adornar
adornment	0.918	0.373	0.377	adorno
adrenalin	0.865	0.920	0.786	adrenalina
adrenaline	0.765	0.965	0.825	adrenalina
adrift	0.398	0.486	0.230	á deriva
adult	0.815	0.491	0.787	adulto
adulterated	0.188	0.865	0.370	adulterado
adulterer	0.229	0.814	0.407	adúltero
adultery	0.120	0.922	0.510	adulterio
adulthood	0.541	0.454	0.652	idade adulta
advance	0.673	0.472	0.858	adiantado
advanced	0.844	0.623	0.797	avanzado
advancement	0.776	0.650	0.839	avance
advancing	0.929	0.608	0.812	avanzando
advantage	0.917	0.548	0.859	vantaxe
advantageous	0.837	0.640	0.789	vantaxoso
advent	0.665	0.560	0.627	advento
adventure	0.917	0.857	0.710	aventura
adventurer	0.781	0.839	0.868	aventureiro
adventures	0.812	0.764	0.749	aventuras
adventurous	0.969	0.898	0.722	aventureiro
adversary	0.349	0.777	0.457	adversario
adverse	0.323	0.610	0.385	adverso
adversity	0.276	0.760	0.538	adversidade
advertise	0.500	0.529	0.580	anunciar
advertisement	0.600	0.566	0.539	publicidade
advertising	0.622	0.608	0.632	publicidade
adverts	0.551	0.500	0.595	anuncios
advice	0.698	0.408	0.688	consello
advisable	0.867	0.480	0.510	aconsellable
advise	0.760	0.393	0.705	aconsellar
advised	0.823	0.330	0.509	aconsellou
advisement	0.698	0.235	0.655	asesoramento
adviser	0.745	0.362	0.705	conselleiro
advisor	0.646	0.350	0.689	conselleiro
advisory	0.656	0.429	0.633	de asesoramento
advocacy	0.500	0.646	0.731	avogacía
advocate	0.551	0.530	0.818	avogado
aegis	0.490	0.439	0.462	éxido
aeration	0.550	0.500	0.433	aireación
aerial	0.615	0.461	0.463	aéreo
aerobics	0.708	0.771	0.627	aeróbic
aerodrome	0.541	0.740	0.678	aeródromo
aerodynamic	0.561	0.724	0.728	aerodinámico
aerodynamics	0.590	0.663	0.722	aerodinámica
aeronautics	0.551	0.633	0.688	aeronáutica
aeroplane	0.714	0.642	0.644	avión
aerospace	0.643	0.520	0.779	aeroespacial
aesthetic	0.708	0.442	0.526	estética
aesthetics	0.847	0.327	0.549	estética
aetiology	0.480	0.398	0.615	etioloxía
afar	0.396	0.373	0.358	lonxe
affable	0.704	0.380	0.452	afable
affair	0.520	0.459	0.657	asunto
affect	0.458	0.569	0.578	afectar
affecting	0.350	0.574	0.394	afectando
affection	0.898	0.559	0.696	cariño
affectionate	0.949	0.422	0.550	cariñoso
affections	0.760	0.547	0.655	afectos
affiche	0.479	0.265	0.402	cartel
affidavit	0.469	0.584	0.526	declaración xurada
affiliated	0.673	0.519	0.535	afiliado
affiliation	0.615	0.594	0.500	afiliación
affinity	0.800	0.500	0.537	afinidade
affirm	0.745	0.509	0.731	afirmar
affirmation	0.750	0.500	0.689	afirmación
affirmative	0.854	0.589	0.816	afirmativo
affirmatively	0.908	0.500	0.811	afirmativamente
affix	0.438	0.335	0.411	afixo
afflict	0.302	0.555	0.293	aflixir
afflicted	0.271	0.500	0.167	aflixido
affliction	0.294	0.635	0.392	aflicción
affluence	0.663	0.618	0.722	afluencia
affluent	0.756	0.388	0.477	acomodado
afford	0.571	0.580	0.575	pagar
affordable	0.840	0.398	0.493	accesible
affront	0.327	0.740	0.547	afrenta
affronted	0.385	0.750	0.527	ofendido
afield	0.594	0.370	0.373	lonxe
afire	0.367	0.904	0.675	ardente
afloat	0.602	0.427	0.444	a flote
afore	0.500	0.337	0.382	antes
aforementioned	0.490	0.316	0.408	mencionado anteriormente
aforesaid	0.531	0.358	0.478	antedito
afraid	0.010	0.775	0.245	medo
afresh	0.643	0.521	0.480	de novo
aft	0.480	0.417	0.518	a popa
afterlife	0.571	0.567	0.568	máis alá
aftermath	0.312	0.449	0.444	secuela
afternoon	0.533	0.388	0.339	tarde
aftershave	0.406	0.384	0.415	despois do afeitado
aftertaste	0.354	0.362	0.455	regusto
afterthought	0.396	0.392	0.349	pensamento posterior
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	ágape
agate	0.540	0.377	0.483	ágata
age	0.561	0.226	0.498	idade
aged	0.135	0.365	0.236	envellecido
agency	0.460	0.296	0.583	axencia
agenda	0.531	0.296	0.553	axenda
agent	0.480	0.439	0.755	axente
agglomeration	0.450	0.765	0.509	aglomeración
aggravate	0.224	0.770	0.464	agravar
aggravated	0.079	0.760	0.430	agravada
aggravates	0.108	0.778	0.357	agrava
aggravating	0.257	0.794	0.640	agravante
aggravation	0.071	0.784	0.613	agravamento
aggregate	0.730	0.378	0.556	agregado
aggregation	0.583	0.517	0.694	agregación
aggresive	0.059	0.971	0.639	agresivo
aggression	0.094	0.929	0.533	agresión
aggressive	0.125	0.949	0.648	agresivo
aggressively	0.250	0.926	0.688	agresivamente
aggressiveness	0.077	0.913	0.648	agresividade
aggressor	0.146	0.948	0.823	agresor
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	horrorizado
aghhh	0.281	0.635	0.243	aghhh
agile	0.800	0.657	0.775	áxil
agility	0.720	0.702	0.815	axilidade
aging	0.214	0.255	0.284	envellecemento
agitate	0.300	0.796	0.593	axitar
agitated	0.444	0.882	0.491	axitado
agitation	0.240	0.931	0.447	axitación
aglow	0.780	0.510	0.797	fulgurante
agnostic	0.306	0.396	0.574	agnóstico
ago	0.317	0.280	0.404	hai
agonizing	0.083	0.800	0.340	agonizante
agony	0.083	0.775	0.393	agonía
agoraphobia	0.127	0.712	0.438	agorafobia
agree	0.906	0.260	0.545	de acordo
agreeable	0.906	0.500	0.696	agradable
agreed	0.797	0.449	0.574	acordou
agreeing	0.854	0.480	0.557	acordando
agreement	0.760	0.440	0.736	acordo
agressive	0.083	0.918	0.751	agresivo
agricultural	0.686	0.321	0.473	agrícolas
agriculture	0.640	0.357	0.465	agricultura
aground	0.333	0.340	0.445	encallado
agua	0.598	0.180	0.436	auga
ahead	0.708	0.520	0.673	adiante
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhh
ahoy	0.500	0.497	0.380	ahoy
aid	0.796	0.491	0.541	axuda
aide	0.724	0.342	0.434	axudante
aiding	0.643	0.533	0.569	axudando
aids	0.561	0.480	0.500	axudas
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	enfermo
ailment	0.146	0.734	0.277	doenza
aim	0.481	0.569	0.567	obxectivo
aimless	0.150	0.267	0.183	sen rumbo
air	0.708	0.163	0.427	aire
airbag	0.510	0.402	0.433	airbag
airborne	0.542	0.519	0.385	aerotransportado
aircraft	0.646	0.644	0.691	avións
aircraft carrier	0.490	0.740	0.727	portaavións
airfield	0.601	0.650	0.645	aeródromo
airhead	0.271	0.481	0.276	cabeza de aire
airlift	0.573	0.622	0.642	puente aéreo
airline	0.650	0.482	0.688	compañía aérea
airliner	0.667	0.777	0.647	avión de liña
airlock	0.398	0.520	0.447	esclusa de aire
airman	0.587	0.716	0.721	aviador
airplane	0.719	0.702	0.708	avión
airport	0.729	0.684	0.682	aeroporto
airs	0.583	0.196	0.370	aires
airship	0.542	0.472	0.529	dirigible
airspace	0.562	0.510	0.640	espazo aéreo
airspeed	0.583	0.780	0.544	velocidade aérea
airstrip	0.550	0.690	0.649	pista de aterrizaje
airtight	0.479	0.381	0.570	hermético
airway	0.638	0.585	0.482	vía aérea
aisle	0.438	0.222	0.283	corredor
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	entreaberta
aka	0.459	0.358	0.351	tamén coñecido como
akin	0.639	0.343	0.523	semellante
alabaster	0.542	0.404	0.445	alabastro
alarm	0.241	0.882	0.698	alarma
alarm clock	0.542	0.727	0.642	Espertador
alarmed	0.188	0.822	0.492	alarmado
alarming	0.204	0.890	0.585	alarmante
alas	0.571	0.310	0.279	ai
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatros
albino	0.500	0.240	0.358	albino
album	0.635	0.349	0.453	álbum
alchemy	0.541	0.583	0.693	alquimia
alcohol	0.323	0.667	0.377	alcohol
alcoholic	0.153	0.688	0.361	alcohólico
alcoholism	0.061	0.779	0.407	alcoholismo
alcove	0.490	0.340	0.356	alcoba
alderman	0.550	0.459	0.691	rexedor
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	alerta
alertness	0.375	0.875	0.750	alerta
alerts	0.337	0.804	0.673	alertas
alfalfa	0.546	0.250	0.311	alfalfa
algebra	0.440	0.340	0.565	álxebra
algebraic	0.531	0.412	0.441	alxébrica
algorithm	0.448	0.394	0.559	algoritmo
alias	0.541	0.353	0.333	alias
alibi	0.396	0.528	0.556	coartada
alien	0.410	0.615	0.491	alleo
alienate	0.247	0.500	0.523	alienar
alienated	0.410	0.423	0.559	alienado
alienation	0.378	0.530	0.462	alienación
alight	0.667	0.657	0.605	acenderse
align	0.656	0.364	0.627	aliñar
aligned	0.583	0.275	0.553	aliñados
alignment	0.643	0.412	0.683	aliñamento
alike	0.653	0.173	0.444	iguais
alimentation	0.781	0.551	0.602	alimentación
alimony	0.612	0.477	0.464	pensión alimenticia
aliquot	0.440	0.310	0.404	alícuota
alive	0.816	0.637	0.731	vivo
alkali	0.490	0.350	0.408	álcali
alkaloids	0.433	0.562	0.402	alcaloides
allay	0.417	0.406	0.398	calmar
allegation	0.578	0.578	0.608	alegación
allege	0.418	0.482	0.587	alegar
alleged	0.365	0.522	0.520	alegada
allegiance	0.917	0.398	0.750	lealdade
allegorical	0.517	0.558	0.598	alegórico
allegory	0.615	0.580	0.509	alegoría
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	alérxico
allergy	0.296	0.606	0.389	alerxia
alleviate	0.869	0.270	0.528	aliviar
alleviation	0.735	0.200	0.491	alivio
alley	0.347	0.500	0.355	rúa
alleyway	0.357	0.471	0.382	callejón
alliance	0.696	0.473	0.769	alianza
allied	0.714	0.245	0.642	aliados
alligator	0.354	0.704	0.645	caimán
allocate	0.673	0.462	0.672	asignar
allocation	0.604	0.388	0.679	asignación
allot	0.622	0.481	0.616	asignar
allotment	0.600	0.390	0.640	reparto
allow	0.698	0.429	0.538	permitir
allowable	0.698	0.500	0.561	admisible
allowance	0.673	0.382	0.591	bonificación
allowed	0.730	0.360	0.655	permitidos
alloy	0.583	0.443	0.593	aliaxe
allsmiles	0.786	0.528	0.430	todos sorrisos
allure	0.804	0.585	0.686	encanto
alluring	0.837	0.745	0.843	seductor
allusion	0.440	0.308	0.462	alusión
alluvial	0.323	0.490	0.491	aluvial
ally	0.792	0.320	0.688	aliado
almanac	0.688	0.190	0.412	almanaque
almighty	0.938	0.874	0.958	todopoderoso
almond	0.698	0.183	0.314	améndoa
aloft	0.771	0.373	0.700	en alto
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	só
alongside	0.458	0.333	0.347	ao lado
aloof	0.189	0.423	0.302	afastado
aloud	0.458	0.713	0.750	en voz alta
alpha	0.708	0.340	0.755	alfa
alphabet	0.562	0.204	0.672	alfabeto
alphabetical	0.537	0.296	0.535	alfabético
alpine	0.594	0.337	0.474	alpino
alreadyyyyy	0.592	0.717	0.351	xaaaaa
altar	0.724	0.387	0.635	altar
altar boy	0.434	0.206	0.350	monaguillo
alter	0.333	0.694	0.654	alterar
alteration	0.167	0.798	0.609	alteración
altercation	0.170	0.806	0.500	altercado
altered	0.255	0.765	0.500	alterado
alternate	0.625	0.363	0.589	alternar
alternating	0.480	0.494	0.542	alternando
alternative	0.628	0.373	0.631	alternativa
altimeter	0.615	0.510	0.580	altímetro
altitude	0.708	0.482	0.736	altitude
alto	0.656	0.404	0.730	alto
altogether	0.833	0.324	0.644	en conxunto
aluminum	0.449	0.280	0.434	aluminio
alumnus	0.633	0.368	0.422	exalumno
alveolar	0.469	0.481	0.367	alveolar
alzheimers	0.194	0.518	0.319	alzheimers
amalgam	0.438	0.333	0.510	amalgama
amalgamation	0.406	0.470	0.531	fusión
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	amasar
amateur	0.469	0.500	0.409	afeccionado
amaze	0.896	0.843	0.783	abraia
amazed	0.796	0.779	0.533	abraiado
amazedness	0.827	0.872	0.510	asombro
amazement	0.750	0.800	0.639	abraio
amazing	0.906	0.837	0.849	incrible
amazingly	0.918	0.765	0.920	sorprendentemente
ambassador	0.651	0.529	0.917	embaixador
amber	0.635	0.308	0.369	ámbar
ambience	0.735	0.356	0.426	ambiente
ambient	0.625	0.360	0.582	ambiente
ambiguity	0.164	0.460	0.370	ambigüidade
ambiguous	0.265	0.462	0.358	ambiguo
ambit	0.479	0.380	0.386	ámbito
ambition	0.510	0.804	0.661	ambición
ambitious	0.484	0.821	0.717	ambicioso
ambivalent	0.510	0.404	0.482	ambivalente
ambrosia	0.571	0.452	0.480	ambrosía
ambulance	0.500	0.750	0.609	ambulancia
ambush	0.281	0.830	0.500	emboscada
ameliorate	0.770	0.548	0.747	mellorar
amen	0.781	0.182	0.542	amén
amenable	0.448	0.410	0.406	susceptibles
amend	0.688	0.406	0.658	modificar
amendment	0.531	0.459	0.606	emenda
amends	0.640	0.366	0.517	enmenda
amenity	0.750	0.327	0.574	amenidade
amethyst	0.622	0.406	0.517	amatista
amiable	0.847	0.290	0.483	amable
amicable	0.875	0.330	0.507	amigable
amid	0.510	0.340	0.256	no medio
amidst	0.480	0.330	0.316	no medio
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	munición
ammonia	0.292	0.587	0.409	amoníaco
ammonium	0.354	0.396	0.368	amonio
ammunition	0.338	0.635	0.667	munición
amnesia	0.296	0.330	0.308	amnesia
amnesty	0.551	0.451	0.814	amnistía
amorous	0.844	0.670	0.636	amorosa
amorphous	0.327	0.402	0.349	amorfo
amortization	0.592	0.491	0.522	amortización
amount	0.562	0.422	0.649	cantidade
amour	0.865	0.480	0.652	amor
amp	0.439	0.393	0.375	amplificador
ampersand	0.480	0.448	0.483	e comercial
amphetamines	0.133	0.667	0.526	anfetaminas
amphibian	0.427	0.357	0.474	anfibio
amphibious	0.479	0.346	0.445	anfibio
amphitheater	0.653	0.480	0.545	anfiteatro
ample	0.744	0.349	0.719	amplo
amplification	0.690	0.677	0.810	amplificación
amplify	0.677	0.735	0.827	amplificar
amplitude	0.694	0.439	0.692	amplitude
amply	0.781	0.431	0.766	sobradamente
amputate	0.092	0.660	0.509	amputar
amputation	0.100	0.755	0.483	amputación
amuck	0.385	0.602	0.321	amuck
amulet	0.781	0.260	0.630	amuleto
amuse	0.812	0.684	0.664	divertirse
amused	0.942	0.847	0.596	divertido
amusement	0.929	0.837	0.803	diversión
amusing	0.960	0.829	0.632	divertido
ana	0.541	0.300	0.314	ana
anaconda	0.146	0.830	0.540	anaconda
anaesthesia	0.350	0.217	0.473	anestesia
anaesthetic	0.449	0.268	0.509	anestésico
anagram	0.552	0.327	0.449	anagrama
anal	0.333	0.798	0.334	anal
analgesic	0.417	0.321	0.441	analxésico
analogous	0.531	0.270	0.500	análogo
analogue	0.570	0.320	0.446	analóxico
analogy	0.510	0.367	0.509	analoxía
analysis	0.729	0.448	0.705	análise
analyst	0.604	0.415	0.755	analista
analytic	0.665	0.521	0.634	analítico
analytical	0.625	0.324	0.800	analítico
analyze	0.667	0.462	0.710	analizar
analyzer	0.625	0.556	0.854	analizador
anaphylactic	0.378	0.588	0.500	anafiláctico
anarchism	0.125	0.804	0.623	anarquismo
anarchist	0.204	0.700	0.759	anarquista
anarchy	0.146	0.755	0.620	anarquía
anastomosis	0.375	0.470	0.490	anastomose
anathema	0.286	0.490	0.519	anatema
anatomic	0.562	0.442	0.546	anatómicos
anatomy	0.562	0.390	0.571	anatomía
ancestor	0.592	0.388	0.594	antepasado
ancestral	0.640	0.481	0.750	ancestral
ancestry	0.708	0.519	0.717	ascendencia
anchor	0.520	0.284	0.564	áncora
anchorage	0.500	0.325	0.639	ancoraxe
ancient	0.420	0.217	0.439	antigo
ancillary	0.449	0.442	0.278	auxiliar
androgen	0.255	0.523	0.527	andróxenos
android	0.663	0.436	0.500	Android
anecdote	0.583	0.529	0.500	anécdota
anemia	0.188	0.327	0.310	anemia
anemic	0.167	0.279	0.155	anémico
anemone	0.552	0.538	0.327	anémona
anesthesia	0.365	0.216	0.394	anestesia
anesthesiologist	0.419	0.224	0.526	anestesiólogo
anesthetic	0.350	0.264	0.482	anestésico
