English Word	Valence	Arousal	Dominance	Norwegian Word
acknowledgment	0.796	0.528	0.777	bekreftelse
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	kviser
acorn	0.448	0.198	0.192	eikenøtt
acoustic	0.542	0.462	0.536	akustisk
acoustics	0.611	0.330	0.509	akustikk
acquaint	0.646	0.491	0.639	bli kjent
acquaintance	0.656	0.290	0.670	bekjent
acquainted	0.906	0.358	0.632	kjent
acquiescence	0.542	0.480	0.554	samtykke
acquire	0.833	0.468	0.700	tilegne
acquiring	0.735	0.510	0.817	anskaffe
acquisition	0.698	0.509	0.736	oppkjøp
acquisitions	0.773	0.660	0.790	oppkjøp
acquit	0.583	0.571	0.611	frikjenne
acquittal	0.760	0.497	0.700	frifinnelse
acre	0.583	0.387	0.423	acre
acreage	0.741	0.450	0.528	areal
acres	0.510	0.363	0.500	dekar
acrobat	0.708	0.828	0.602	akrobat
acrylic	0.582	0.279	0.420	akryl
act	0.656	0.704	0.735	handling
acting	0.698	0.643	0.500	skuespill
action	0.760	0.898	0.802	handling
action figure	0.615	0.774	0.611	action-figur
actionable	0.673	0.702	0.613	handlingsdyktig
activate	0.764	0.650	0.806	aktivere
activation	0.781	0.800	0.754	aktivering
active	0.847	0.730	0.731	aktiv
activist	0.531	0.653	0.877	aktivist
activity	0.701	0.660	0.807	aktivitet
actor	0.653	0.561	0.629	skuespiller
actress	0.633	0.556	0.596	skuespillerinne
actual	0.729	0.400	0.716	faktiske
actuality	0.750	0.464	0.600	virkeligheten
actuary	0.510	0.404	0.491	aktuar
acuity	0.469	0.378	0.741	skarphet
acumen	0.564	0.660	0.679	sans
acupuncture	0.531	0.324	0.549	akupunktur
acute	0.427	0.652	0.534	akutt
acutely	0.417	0.543	0.491	akutt
ad	0.521	0.705	0.558	annonse
adage	0.517	0.415	0.566	ordtak
adamant	0.344	0.529	0.575	ubøyelig
adapt	0.740	0.355	0.551	tilpasse
adaptable	0.735	0.423	0.641	tilpasningsdyktig
adaptation	0.663	0.365	0.609	tilpasning
add	0.728	0.490	0.554	legge til
added	0.562	0.405	0.509	la til
addendum	0.392	0.370	0.418	tillegg
adder	0.388	0.461	0.588	huggorm
addict	0.075	0.696	0.327	rusavhengig
addicted	0.156	0.712	0.483	avhengige
addiction	0.180	0.806	0.420	avhengighet
addictive	0.302	0.683	0.472	avhengighetsskapende
addition	0.562	0.373	0.471	addisjon
additional	0.673	0.462	0.526	ytterligere
additive	0.561	0.633	0.691	tilsetningsstoff
address	0.650	0.327	0.567	adresse
addressee	0.622	0.382	0.538	adressat
addresses	0.510	0.354	0.450	adresser
adept	0.594	0.539	0.789	dyktig
adequacy	0.615	0.435	0.702	tilstrekkelighet
adequate	0.854	0.264	0.705	tilstrekkelig
adhere	0.633	0.339	0.554	følge
adherence	0.760	0.307	0.630	binding
adherent	0.561	0.385	0.555	tilhenger
adhering	0.612	0.561	0.537	fester seg
adhesion	0.521	0.445	0.586	vedheft
adhesive	0.604	0.350	0.413	lim
adieu	0.250	0.471	0.342	adieu
adipose	0.333	0.350	0.391	fett
adjacency	0.365	0.417	0.375	tilknytning
adjacent	0.645	0.276	0.536	ved siden av
adjective	0.570	0.316	0.569	adjektiv
adjoining	0.520	0.400	0.393	tilstøtende
adjourn	0.385	0.456	0.475	utsette
adjournment	0.438	0.510	0.370	utsettelse
adjudicate	0.559	0.520	0.683	dømme
adjudication	0.551	0.462	0.691	dom
adjunct	0.459	0.440	0.426	adjunkt
adjust	0.647	0.327	0.638	justere
adjuster	0.510	0.540	0.760	justering
adjustment	0.590	0.520	0.661	justering
adjuvant	0.510	0.500	0.456	adjuvans
admin	0.688	0.420	0.854	admin
administer	0.635	0.425	0.860	administrere
administration	0.625	0.404	0.786	administrasjon
administrative	0.542	0.415	0.579	administrativt
administrator	0.538	0.480	0.902	administrator
admirable	0.929	0.600	0.870	beundringsverdig
admiral	0.844	0.490	0.847	admiral
admiralty	0.594	0.547	0.733	admiralitet
admiration	0.969	0.583	0.726	beundring
admire	0.867	0.692	0.704	beundre
admired	0.917	0.560	0.815	beundret
admirer	0.796	0.720	0.650	beundrer
admiring	0.867	0.578	0.629	beundrende
admissibility	0.802	0.580	0.602	tillatelse
admissible	0.780	0.528	0.642	tillatelig
admission	0.802	0.415	0.732	adgang
admit	0.538	0.423	0.667	innrømme
admittance	0.690	0.451	0.598	adgang
admitted	0.720	0.490	0.767	innrømmet
admitting	0.620	0.500	0.546	innrømmer
admixture	0.450	0.375	0.438	innblanding
admonition	0.357	0.606	0.455	formaning
ado	0.520	0.423	0.385	En gjør
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	ungdomsårene
adolescent	0.781	0.680	0.509	tenåring
adopt	0.694	0.612	0.701	adoptere
adoption	0.625	0.566	0.589	adopsjon
adoptive	0.531	0.469	0.520	adoptiv
adorable	0.969	0.519	0.457	bedårende
adoration	0.885	0.699	0.708	tilbedelse
adore	0.854	0.438	0.657	forguder
adoring	0.885	0.620	0.717	tilbedende
adorn	0.910	0.424	0.482	pryde
adornment	0.918	0.373	0.377	utsmykning
adrenalin	0.865	0.920	0.786	adrenalin
adrenaline	0.765	0.965	0.825	adrenalin
adrift	0.398	0.486	0.230	på drift
adult	0.815	0.491	0.787	voksen
adulterated	0.188	0.865	0.370	forfalsket
adulterer	0.229	0.814	0.407	horkarl
adultery	0.120	0.922	0.510	utroskap
adulthood	0.541	0.454	0.652	voksenlivet
advance	0.673	0.472	0.858	avansere
advanced	0.844	0.623	0.797	avansert
advancement	0.776	0.650	0.839	forfremmelse
advancing	0.929	0.608	0.812	avanserer
advantage	0.917	0.548	0.859	fordel
advantageous	0.837	0.640	0.789	fordelaktig
advent	0.665	0.560	0.627	advent
adventure	0.917	0.857	0.710	eventyr
adventurer	0.781	0.839	0.868	eventyrer
adventures	0.812	0.764	0.749	eventyr
adventurous	0.969	0.898	0.722	eventyrlystne
adversary	0.349	0.777	0.457	motpart
adverse	0.323	0.610	0.385	uheldig
adversity	0.276	0.760	0.538	motgang
advertise	0.500	0.529	0.580	reklamere
advertisement	0.600	0.566	0.539	annonse
advertising	0.622	0.608	0.632	reklame
adverts	0.551	0.500	0.595	annonser
advice	0.698	0.408	0.688	råd
advisable	0.867	0.480	0.510	tilrådelig
advise	0.760	0.393	0.705	rådgi
advised	0.823	0.330	0.509	rådet
advisement	0.698	0.235	0.655	råd
adviser	0.745	0.362	0.705	rådgiver
advisor	0.646	0.350	0.689	rådgiver
advisory	0.656	0.429	0.633	rådgivende
advocacy	0.500	0.646	0.731	beslutningspåvirkning
advocate	0.551	0.530	0.818	advokat
aegis	0.490	0.439	0.462	aegis
aeration	0.550	0.500	0.433	lufting
aerial	0.615	0.461	0.463	antenne
aerobics	0.708	0.771	0.627	aerobic
aerodrome	0.541	0.740	0.678	flyplass
aerodynamic	0.561	0.724	0.728	aerodynamisk
aerodynamics	0.590	0.663	0.722	aerodynamikk
aeronautics	0.551	0.633	0.688	luftfart
aeroplane	0.714	0.642	0.644	fly
aerospace	0.643	0.520	0.779	romfart
aesthetic	0.708	0.442	0.526	estetiske
aesthetics	0.847	0.327	0.549	estetikk
aetiology	0.480	0.398	0.615	etiologi
afar	0.396	0.373	0.358	langt borte
affable	0.704	0.380	0.452	kjærlig
affair	0.520	0.459	0.657	sak
affect	0.458	0.569	0.578	påvirke
affecting	0.350	0.574	0.394	påvirker
affection	0.898	0.559	0.696	kjærlighet
affectionate	0.949	0.422	0.550	kjærlig
affections	0.760	0.547	0.655	hengivenheter
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	erklæring
affiliated	0.673	0.519	0.535	tilknyttet
affiliation	0.615	0.594	0.500	tilhørighet
affinity	0.800	0.500	0.537	affinitet
affirm	0.745	0.509	0.731	bekrefte
affirmation	0.750	0.500	0.689	bekreftelse
affirmative	0.854	0.589	0.816	bekreftende
affirmatively	0.908	0.500	0.811	bekreftende
affix	0.438	0.335	0.411	feste
afflict	0.302	0.555	0.293	plage
afflicted	0.271	0.500	0.167	rammet
affliction	0.294	0.635	0.392	lidelse
affluence	0.663	0.618	0.722	velstand
affluent	0.756	0.388	0.477	velstående
afford	0.571	0.580	0.575	ha råd til
affordable	0.840	0.398	0.493	rimelig
affront	0.327	0.740	0.547	fornærmelse
affronted	0.385	0.750	0.527	fornærmet
afield	0.594	0.370	0.373	et jorde
afire	0.367	0.904	0.675	en brann
afloat	0.602	0.427	0.444	flytende
afore	0.500	0.337	0.382	før
aforementioned	0.490	0.316	0.408	som tidligere nevnt
aforesaid	0.531	0.358	0.478	foran nevnt
afraid	0.010	0.775	0.245	redd
afresh	0.643	0.521	0.480	på nytt
aft	0.480	0.417	0.518	akter
afterlife	0.571	0.567	0.568	livet etter døden
aftermath	0.312	0.449	0.444	etterspill
afternoon	0.533	0.388	0.339	ettermiddag
aftershave	0.406	0.384	0.415	etter barbering
aftertaste	0.354	0.362	0.455	ettersmak
afterthought	0.396	0.392	0.349	ettertanke
aga	0.542	0.327	0.398	igjen
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	agat
age	0.561	0.226	0.498	alder
aged	0.135	0.365	0.236	alderen
agency	0.460	0.296	0.583	byrå
agenda	0.531	0.296	0.553	dagsorden
agent	0.480	0.439	0.755	middel
agglomeration	0.450	0.765	0.509	agglomerasjon
aggravate	0.224	0.770	0.464	forverre
aggravated	0.079	0.760	0.430	forverret
aggravates	0.108	0.778	0.357	forverrer
aggravating	0.257	0.794	0.640	irriterende
aggravation	0.071	0.784	0.613	forverring
aggregate	0.730	0.378	0.556	samlet
aggregation	0.583	0.517	0.694	aggregering
aggresive	0.059	0.971	0.639	aggressiv
aggression	0.094	0.929	0.533	aggresjon
aggressive	0.125	0.949	0.648	aggressiv
aggressively	0.250	0.926	0.688	aggressivt
aggressiveness	0.077	0.913	0.648	aggressivitet
aggressor	0.146	0.948	0.823	angriper
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	forferdet
aghhh	0.281	0.635	0.243	åhhh
agile	0.800	0.657	0.775	smidig
agility	0.720	0.702	0.815	smidighet
aging	0.214	0.255	0.284	aldring
agitate	0.300	0.796	0.593	agitere
agitated	0.444	0.882	0.491	agitert
agitation	0.240	0.931	0.447	opphisselse
aglow	0.780	0.510	0.797	glødende
agnostic	0.306	0.396	0.574	agnostiker
ago	0.317	0.280	0.404	siden
agonizing	0.083	0.800	0.340	pinefull
agony	0.083	0.775	0.393	smerte
agoraphobia	0.127	0.712	0.438	agorafobi
agree	0.906	0.260	0.545	bli enige
agreeable	0.906	0.500	0.696	behagelig
agreed	0.797	0.449	0.574	avtalt
agreeing	0.854	0.480	0.557	enig
agreement	0.760	0.440	0.736	avtale
agressive	0.083	0.918	0.751	aggressive
agricultural	0.686	0.321	0.473	landbruk
agriculture	0.640	0.357	0.465	jordbruk
aground	0.333	0.340	0.445	på grunn
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	fremover
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhhh
ahoy	0.500	0.497	0.380	ahoi
aid	0.796	0.491	0.541	bistand
aide	0.724	0.342	0.434	assistent
aiding	0.643	0.533	0.569	hjelpe
aids	0.561	0.480	0.500	hjelpemidler
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	sykelig
ailment	0.146	0.734	0.277	sykdom
aim	0.481	0.569	0.567	mål
aimless	0.150	0.267	0.183	målløst
air	0.708	0.163	0.427	luft
airbag	0.510	0.402	0.433	kollisjonspute
airborne	0.542	0.519	0.385	luftbåren
aircraft	0.646	0.644	0.691	fly
aircraft carrier	0.490	0.740	0.727	hangarskip
airfield	0.601	0.650	0.645	flyplass
airhead	0.271	0.481	0.276	lufthode
airlift	0.573	0.622	0.642	luftløft
airline	0.650	0.482	0.688	flyselskap
airliner	0.667	0.777	0.647	passasjerfly
airlock	0.398	0.520	0.447	luftlås
airman	0.587	0.716	0.721	flyver
airplane	0.719	0.702	0.708	fly
airport	0.729	0.684	0.682	flyplassen
airs	0.583	0.196	0.370	luftes
airship	0.542	0.472	0.529	luftskip
airspace	0.562	0.510	0.640	luftrom
airspeed	0.583	0.780	0.544	lufthastighet
airstrip	0.550	0.690	0.649	flystripe
airtight	0.479	0.381	0.570	luft tett
airway	0.638	0.585	0.482	luftveier
aisle	0.438	0.222	0.283	midtgang
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	på gløtt
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	beslektet
alabaster	0.542	0.404	0.445	alabast
alarm	0.241	0.882	0.698	alarm
alarm clock	0.542	0.727	0.642	vekkerklokke
alarmed	0.188	0.822	0.492	skremt
alarming	0.204	0.890	0.585	foruroligende
alas	0.571	0.310	0.279	akk
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatross
albino	0.500	0.240	0.358	albino
album	0.635	0.349	0.453	album
alchemy	0.541	0.583	0.693	alkymi
alcohol	0.323	0.667	0.377	alkohol
alcoholic	0.153	0.688	0.361	alkoholiker
alcoholism	0.061	0.779	0.407	alkoholisme
alcove	0.490	0.340	0.356	alkove
alderman	0.550	0.459	0.691	rådmann
ale	0.530	0.450	0.358	øl
alert	0.479	0.820	0.648	varsling
alertness	0.375	0.875	0.750	årvåkenhet
alerts	0.337	0.804	0.673	varsler
alfalfa	0.546	0.250	0.311	alfalfa
algebra	0.440	0.340	0.565	algebra
algebraic	0.531	0.412	0.441	algebraisk
algorithm	0.448	0.394	0.559	algoritme
alias	0.541	0.353	0.333	alias
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	romvesen
alienate	0.247	0.500	0.523	fremmedgjøre
alienated	0.410	0.423	0.559	fremmedgjort
alienation	0.378	0.530	0.462	fremmedgjøring
alight	0.667	0.657	0.605	et lys
align	0.656	0.364	0.627	tilpasse
aligned	0.583	0.275	0.553	justert
alignment	0.643	0.412	0.683	Justering
alike	0.653	0.173	0.444	like
alimentation	0.781	0.551	0.602	næring
alimony	0.612	0.477	0.464	underholdsbidrag
aliquot	0.440	0.310	0.404	alikvot
alive	0.816	0.637	0.731	i live
alkali	0.490	0.350	0.408	alkali
alkaloids	0.433	0.562	0.402	alkaloider
allay	0.417	0.406	0.398	dempe
allegation	0.578	0.578	0.608	påstand
allege	0.418	0.482	0.587	påstå
alleged	0.365	0.522	0.520	påstått
allegiance	0.917	0.398	0.750	troskap
allegorical	0.517	0.558	0.598	allegorisk
allegory	0.615	0.580	0.509	allegori
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	allergisk
allergy	0.296	0.606	0.389	allergi
alleviate	0.869	0.270	0.528	lindre
alleviation	0.735	0.200	0.491	lindring
alley	0.347	0.500	0.355	bakgate
alleyway	0.357	0.471	0.382	smug
alliance	0.696	0.473	0.769	allianse
allied	0.714	0.245	0.642	allierte
alligator	0.354	0.704	0.645	alligator
allocate	0.673	0.462	0.672	tildele
allocation	0.604	0.388	0.679	tildeling
allot	0.622	0.481	0.616	tildele
allotment	0.600	0.390	0.640	tildeling
allow	0.698	0.429	0.538	tillate
allowable	0.698	0.500	0.561	tillatt
allowance	0.673	0.382	0.591	godtgjørelse
allowed	0.730	0.360	0.655	tillatt
alloy	0.583	0.443	0.593	legering
allsmiles	0.786	0.528	0.430	allsmiles
allure	0.804	0.585	0.686	lokke
alluring	0.837	0.745	0.843	forlokkende
allusion	0.440	0.308	0.462	hentydning
alluvial	0.323	0.490	0.491	alluvial
ally	0.792	0.320	0.688	alliert
almanac	0.688	0.190	0.412	almanakk
almighty	0.938	0.874	0.958	allmektig
almond	0.698	0.183	0.314	mandel
aloft	0.771	0.373	0.700	høyt oppe
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	alene
alongside	0.458	0.333	0.347	ved siden av
aloof	0.189	0.423	0.302	reservert
aloud	0.458	0.713	0.750	høyt
alpha	0.708	0.340	0.755	alfa
alphabet	0.562	0.204	0.672	alfabet
alphabetical	0.537	0.296	0.535	alfabetisk
alpine	0.594	0.337	0.474	alpint
alreadyyyyy	0.592	0.717	0.351	alleredeyyyy
altar	0.724	0.387	0.635	alter
altar boy	0.434	0.206	0.350	altergutt
alter	0.333	0.694	0.654	endre
alteration	0.167	0.798	0.609	forandring
altercation	0.170	0.806	0.500	krangel
altered	0.255	0.765	0.500	endret
alternate	0.625	0.363	0.589	alternere
alternating	0.480	0.494	0.542	alternerende
alternative	0.628	0.373	0.631	alternativ
altimeter	0.615	0.510	0.580	høydemåler
altitude	0.708	0.482	0.736	høyde
alto	0.656	0.404	0.730	alt
altogether	0.833	0.324	0.644	totalt
aluminum	0.449	0.280	0.434	aluminium
alumnus	0.633	0.368	0.422	alumnus
alveolar	0.469	0.481	0.367	alveolar
alzheimers	0.194	0.518	0.319	alzheimers
amalgam	0.438	0.333	0.510	amalgam
amalgamation	0.406	0.470	0.531	sammenslåing
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	samle
amateur	0.469	0.500	0.409	amatør
amaze	0.896	0.843	0.783	forbløffe
amazed	0.796	0.779	0.533	overrasket
amazedness	0.827	0.872	0.510	forbauselse
amazement	0.750	0.800	0.639	undring
amazing	0.906	0.837	0.849	fantastisk
amazingly	0.918	0.765	0.920	utrolig nok
ambassador	0.651	0.529	0.917	ambassadør
amber	0.635	0.308	0.369	rav
ambience	0.735	0.356	0.426	atmosfære
ambient	0.625	0.360	0.582	omgivende
ambiguity	0.164	0.460	0.370	tvetydighet
ambiguous	0.265	0.462	0.358	tvetydig
ambit	0.479	0.380	0.386	omfang
ambition	0.510	0.804	0.661	ambisjon
ambitious	0.484	0.821	0.717	ambisiøs
ambivalent	0.510	0.404	0.482	ambivalent
ambrosia	0.571	0.452	0.480	ambrosia
ambulance	0.500	0.750	0.609	ambulanse
ambush	0.281	0.830	0.500	bakhold
ameliorate	0.770	0.548	0.747	forbedre
amen	0.781	0.182	0.542	amen
amenable	0.448	0.410	0.406	mottagelig
amend	0.688	0.406	0.658	endre
amendment	0.531	0.459	0.606	endring
amends	0.640	0.366	0.517	endrer
amenity	0.750	0.327	0.574	bekvemmeligheter
amethyst	0.622	0.406	0.517	ametyst
amiable	0.847	0.290	0.483	elskverdig
amicable	0.875	0.330	0.507	vennskapelig
amid	0.510	0.340	0.256	midt i
amidst	0.480	0.330	0.316	midt i
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	ammunisjon
ammonia	0.292	0.587	0.409	ammoniakk
ammonium	0.354	0.396	0.368	ammonium
ammunition	0.338	0.635	0.667	ammunisjon
amnesia	0.296	0.330	0.308	amnesi
amnesty	0.551	0.451	0.814	amnesti
amorous	0.844	0.670	0.636	amorøse
amorphous	0.327	0.402	0.349	amorf
amortization	0.592	0.491	0.522	amortisering
amount	0.562	0.422	0.649	beløp
amour	0.865	0.480	0.652	amour
amp	0.439	0.393	0.375	amp
ampersand	0.480	0.448	0.483	ampersand
amphetamines	0.133	0.667	0.526	amfetamin
amphibian	0.427	0.357	0.474	amfibie
amphibious	0.479	0.346	0.445	amfibie
amphitheater	0.653	0.480	0.545	amfi
ample	0.744	0.349	0.719	rikelig
amplification	0.690	0.677	0.810	forsterkning
amplify	0.677	0.735	0.827	forsterke
amplitude	0.694	0.439	0.692	amplitude
amply	0.781	0.431	0.766	rikelig
amputate	0.092	0.660	0.509	amputere
amputation	0.100	0.755	0.483	amputasjon
amuck	0.385	0.602	0.321	amuck
amulet	0.781	0.260	0.630	amulett
amuse	0.812	0.684	0.664	underholde
amused	0.942	0.847	0.596	underholdt
amusement	0.929	0.837	0.803	fornøyelse
amusing	0.960	0.829	0.632	morsomt
ana	0.541	0.300	0.314	ana
anaconda	0.146	0.830	0.540	anakonda
anaesthesia	0.350	0.217	0.473	anestesi
anaesthetic	0.449	0.268	0.509	anestetisk
anagram	0.552	0.327	0.449	anagram
anal	0.333	0.798	0.334	anal
analgesic	0.417	0.321	0.441	smertestillende
analogous	0.531	0.270	0.500	analogt
analogue	0.570	0.320	0.446	analog
analogy	0.510	0.367	0.509	analogi
analysis	0.729	0.448	0.705	analyse
analyst	0.604	0.415	0.755	analytiker
analytic	0.665	0.521	0.634	analytisk
analytical	0.625	0.324	0.800	analytisk
analyze	0.667	0.462	0.710	analysere
analyzer	0.625	0.556	0.854	analysator
anaphylactic	0.378	0.588	0.500	anafylaktisk
anarchism	0.125	0.804	0.623	anarkisme
anarchist	0.204	0.700	0.759	anarkist
anarchy	0.146	0.755	0.620	anarki
anastomosis	0.375	0.470	0.490	anastomose
anathema	0.286	0.490	0.519	anathema
anatomic	0.562	0.442	0.546	anatomisk
anatomy	0.562	0.390	0.571	anatomi
ancestor	0.592	0.388	0.594	stamfar
ancestral	0.640	0.481	0.750	forfedres
ancestry	0.708	0.519	0.717	ætt
anchor	0.520	0.284	0.564	anker
anchorage	0.500	0.325	0.639	forankring
