English Word	Valence	Arousal	Dominance	Georgian Word
abovementioned	0.541	0.298	0.509	როგორც უკვე ავღნიშნე
abracadabra	0.673	0.632	0.434	აბრაკადაბრა
abrasion	0.406	0.592	0.441	აბრაზია
abrasive	0.392	0.610	0.593	აბრაზიული
abreast	0.635	0.380	0.519	თანმხლები
abroad	0.677	0.596	0.561	საზღვარგარეთ
abrogate	0.327	0.510	0.594	გააუქმოს
abrupt	0.271	0.819	0.545	მკვეთრი
abruptly	0.250	0.808	0.556	მოულოდნელად
abscess	0.154	0.451	0.349	აბსცესი
absence	0.153	0.235	0.266	არარსებობა
absent	0.177	0.221	0.116	არდამსწრე
absentee	0.235	0.330	0.279	დაუსწრებელი
absenteeism	0.404	0.273	0.357	არყოფნა
absinthe	0.481	0.510	0.462	აბსენტი
absolute	0.526	0.510	0.827	აბსოლუტური
absolution	0.715	0.500	0.664	განთავისუფლება
absolve	0.684	0.449	0.660	გათავისუფლება
absorb	0.469	0.558	0.670	შთანთქავს
absorbed	0.490	0.471	0.519	შეიწოვება
absorbent	0.552	0.394	0.718	შთამნთქმელი
absorbing	0.490	0.490	0.578	შთანთქმის
absorption	0.609	0.422	0.446	შთანთქმის
abstain	0.385	0.385	0.427	თავი შეიკავოს
abstention	0.271	0.264	0.509	თავშეკავება
abstinence	0.260	0.392	0.429	თავშეკავება
abstract	0.438	0.292	0.444	აბსტრაქტული
abstraction	0.469	0.439	0.525	აბსტრაქცია
absurd	0.188	0.656	0.284	აბსურდი
absurdity	0.115	0.528	0.227	აბსურდულობა
abundance	0.812	0.690	0.852	სიმრავლე
abundant	0.958	0.590	0.760	უხვი
abuse	0.071	0.873	0.469	ბოროტად გამოყენება
abused	0.021	0.874	0.235	შეურაცხყოფა მიაყენა
abusive	0.125	0.903	0.567	შეურაცხმყოფელი
abutment	0.500	0.265	0.616	საყრდენი
aby	0.385	0.452	0.368	აბი
abysmal	0.250	0.710	0.598	უფსკრული
abyss	0.353	0.725	0.296	უფსკრული
academic	0.781	0.420	0.812	აკადემიური
academy	0.704	0.473	0.792	აკადემია
accede	0.698	0.510	0.537	შეერთება
accelerant	0.643	0.844	0.802	ამაჩქარებელი
accelerate	0.615	0.902	0.759	აჩქარება
accelerated	0.610	0.812	0.682	აჩქარდა
acceleration	0.704	0.905	0.843	აჩქარება
accelerator	0.593	0.830	0.812	ამაჩქარებელი
accent	0.598	0.357	0.509	აქცენტი
accentuate	0.673	0.556	0.667	აქცენტირება
accept	0.847	0.286	0.565	მიღება
acceptable	0.812	0.286	0.583	მისაღები
acceptance	0.833	0.287	0.755	მიღება
acceptances	0.847	0.413	0.648	მიღებები
access	0.714	0.472	0.567	წვდომა
accessible	0.796	0.410	0.645	ხელმისაწვდომი
accession	0.612	0.383	0.636	შეერთება
accessory	0.562	0.292	0.445	აქსესუარი
accident	0.125	0.908	0.336	უბედური შემთხვევა
accidental	0.319	0.784	0.307	შემთხვევითი
accidentally	0.333	0.741	0.333	შემთხვევით
acclaim	0.562	0.809	0.718	მოწონება
accolade	0.688	0.591	0.775	აღიარება
accommodate	0.844	0.375	0.566	დაბინავება
accommodation	0.817	0.415	0.587	განსახლება
accompaniment	0.740	0.479	0.695	თანხლებით
accompany	0.833	0.406	0.585	ერთად
accompanying	0.787	0.460	0.582	კომპანიის გაწევა
accomplice	0.408	0.580	0.510	თანამზრახველი
accomplish	0.929	0.673	0.816	შეასრულოს
accomplished	0.870	0.520	0.798	შესრულებული
accomplishment	0.917	0.694	0.888	მიღწევა
accord	0.898	0.264	0.382	შეთანხმება
accordance	0.659	0.349	0.600	შესაბამისად
accordion	0.604	0.490	0.361	აკორდეონი
account	0.531	0.347	0.472	ანგარიში
accountability	0.755	0.537	0.833	ანგარიშვალდებულება
accountable	0.709	0.282	0.777	ანგარიშვალდებული
accountant	0.625	0.450	0.639	ბუღალტერი
accounting	0.552	0.390	0.677	აღრიცხვა
accounts	0.592	0.340	0.471	ანგარიშები
accredited	0.669	0.479	0.768	აკრედიტებული
accretion	0.448	0.519	0.672	აკრეცია
accrue	0.520	0.481	0.602	დარიცხვა
accueil	0.450	0.451	0.470	აკუეილი
accumulate	0.573	0.536	0.607	დაგროვება
accumulation	0.479	0.527	0.600	დაგროვება
accuracy	0.604	0.481	0.802	სიზუსტე
accurate	0.743	0.360	0.737	ზუსტი
accursed	0.135	0.745	0.345	დაწყევლილი
accusation	0.073	0.718	0.564	ბრალდება
accusative	0.198	0.755	0.482	ბრალდებული
accuse	0.133	0.752	0.500	ადანაშაულებენ
accused	0.130	0.670	0.420	ბრალდებული
accuser	0.122	0.779	0.615	ბრალმდებელი
accusing	0.156	0.745	0.324	ბრალდება
accustomed	0.542	0.365	0.441	შეჩვეული
ace	0.643	0.481	0.546	ტუზი
acetic	0.333	0.420	0.519	ძმარმჟავა
acetylene	0.306	0.469	0.509	აცეტილენი
ache	0.146	0.760	0.312	მტკივა
achieve	0.816	0.545	0.843	მიღწევა
achieved	0.896	0.519	0.775	მიღწეული
achievement	0.896	0.808	0.759	მიღწევა
aching	0.053	0.880	0.348	მტკივა
achy	0.167	0.840	0.373	მტკივა
acid	0.265	0.642	0.566	მჟავა
acidity	0.156	0.663	0.360	მჟავიანობა
acknowledge	0.786	0.370	0.661	აღიარებს
acknowledged	0.714	0.443	0.765	აღიარა
acknowledgement	0.819	0.539	0.830	აღიარება
acknowledgment	0.796	0.528	0.777	აღიარება
acme	0.408	0.435	0.375	აკმე
acne	0.167	0.474	0.308	აკნე
acorn	0.448	0.198	0.192	რკო
acoustic	0.542	0.462	0.536	აკუსტიკური
acoustics	0.611	0.330	0.509	აკუსტიკა
acquaint	0.646	0.491	0.639	გაცნობა
acquaintance	0.656	0.290	0.670	გაცნობა
acquainted	0.906	0.358	0.632	გაეცნო
acquiescence	0.542	0.480	0.554	თანხმობა
acquire	0.833	0.468	0.700	შეიძინოს
acquiring	0.735	0.510	0.817	იძენს
acquisition	0.698	0.509	0.736	შეძენა
acquisitions	0.773	0.660	0.790	შესყიდვები
acquit	0.583	0.571	0.611	გაამართლებს
acquittal	0.760	0.497	0.700	გამამართლებელი
acre	0.583	0.387	0.423	ჰექტარი
acreage	0.741	0.450	0.528	ფართობი
acres	0.510	0.363	0.500	ჰექტარი
acrobat	0.708	0.828	0.602	აკრობატი
acrylic	0.582	0.279	0.420	აკრილის
act	0.656	0.704	0.735	იმოქმედოს
acting	0.698	0.643	0.500	მოქმედი
action	0.760	0.898	0.802	მოქმედება
action figure	0.615	0.774	0.611	სამოქმედო ფიგურა
actionable	0.673	0.702	0.613	ქმედითუნარიანი
activate	0.764	0.650	0.806	გააქტიურება
activation	0.781	0.800	0.754	გააქტიურება
active	0.847	0.730	0.731	აქტიური
activist	0.531	0.653	0.877	აქტივისტი
activity	0.701	0.660	0.807	აქტივობა
actor	0.653	0.561	0.629	მსახიობი
actress	0.633	0.556	0.596	მსახიობი
actual	0.729	0.400	0.716	ფაქტობრივი
actuality	0.750	0.464	0.600	აქტუალობა
actuary	0.510	0.404	0.491	აქტუარი
acuity	0.469	0.378	0.741	სიმკვეთრე
acumen	0.564	0.660	0.679	მახვილგონიერება
acupuncture	0.531	0.324	0.549	აკუპუნქტურა
acute	0.427	0.652	0.534	მწვავე
acutely	0.417	0.543	0.491	მწვავედ
ad	0.521	0.705	0.558	რეკლამა
adage	0.517	0.415	0.566	ანდაზა
adamant	0.344	0.529	0.575	მტკიცე
adapt	0.740	0.355	0.551	ადაპტირება
adaptable	0.735	0.423	0.641	ადაპტირებადი
adaptation	0.663	0.365	0.609	ადაპტაცია
add	0.728	0.490	0.554	დაამატეთ
added	0.562	0.405	0.509	დაემატა
addendum	0.392	0.370	0.418	დამატება
adder	0.388	0.461	0.588	შემკრები
addict	0.075	0.696	0.327	ნარკომანი
addicted	0.156	0.712	0.483	დამოკიდებული
addiction	0.180	0.806	0.420	დამოკიდებულება
addictive	0.302	0.683	0.472	დამოკიდებული
addition	0.562	0.373	0.471	დამატება
additional	0.673	0.462	0.526	დამატებითი
additive	0.561	0.633	0.691	დანამატი
address	0.650	0.327	0.567	მისამართი
addressee	0.622	0.382	0.538	ადრესატი
addresses	0.510	0.354	0.450	მისამართები
adept	0.594	0.539	0.789	კომპეტენტური
adequacy	0.615	0.435	0.702	ადეკვატურობა
adequate	0.854	0.264	0.705	ადეკვატური
adhere	0.633	0.339	0.554	დაიცავი
adherence	0.760	0.307	0.630	ერთგულება
adherent	0.561	0.385	0.555	მიმდევარი
adhering	0.612	0.561	0.537	იცავდა
adhesion	0.521	0.445	0.586	ადჰეზია
adhesive	0.604	0.350	0.413	წებოვანი
adieu	0.250	0.471	0.342	მშვიდობით
adipose	0.333	0.350	0.391	ცხიმოვანი
adjacency	0.365	0.417	0.375	მეზობლობა
adjacent	0.645	0.276	0.536	მიმდებარე
adjective	0.570	0.316	0.569	ზედსართავი სახელი
adjoining	0.520	0.400	0.393	მომიჯნავე
adjourn	0.385	0.456	0.475	გადადება
adjournment	0.438	0.510	0.370	გადადება
adjudicate	0.559	0.520	0.683	განიკითხავს
adjudication	0.551	0.462	0.691	განხილვა
adjunct	0.459	0.440	0.426	დამხმარე
adjust	0.647	0.327	0.638	მორგება
adjuster	0.510	0.540	0.760	მარეგულირებელი
adjustment	0.590	0.520	0.661	მორგება
adjuvant	0.510	0.500	0.456	დამხმარე
admin	0.688	0.420	0.854	ადმინისტრატორი
administer	0.635	0.425	0.860	ადმინისტრირება
administration	0.625	0.404	0.786	ადმინისტრაცია
administrative	0.542	0.415	0.579	ადმინისტრაციული
administrator	0.538	0.480	0.902	ადმინისტრატორი
admirable	0.929	0.600	0.870	აღფრთოვანებული
admiral	0.844	0.490	0.847	ადმირალი
admiralty	0.594	0.547	0.733	ადმირალიტი
admiration	0.969	0.583	0.726	აღტაცება
admire	0.867	0.692	0.704	აღფრთოვანებული ვარ
admired	0.917	0.560	0.815	აღფრთოვანებული
admirer	0.796	0.720	0.650	თაყვანისმცემელი
admiring	0.867	0.578	0.629	აღტაცებული
admissibility	0.802	0.580	0.602	დასაშვებობა
admissible	0.780	0.528	0.642	დასაშვებია
admission	0.802	0.415	0.732	მიღება
admit	0.538	0.423	0.667	აღიარე
admittance	0.690	0.451	0.598	დაშვება
admitted	0.720	0.490	0.767	აღიარა
admitting	0.620	0.500	0.546	აღიარება
admixture	0.450	0.375	0.438	ნაზავი
admonition	0.357	0.606	0.455	შეგონება
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	მოზარდობის
adolescent	0.781	0.680	0.509	მოზარდი
adopt	0.694	0.612	0.701	მიღება
adoption	0.625	0.566	0.589	შვილად აყვანა
adoptive	0.531	0.469	0.520	მშვილებელი
adorable	0.969	0.519	0.457	საყვარელი
adoration	0.885	0.699	0.708	თაყვანისცემა
adore	0.854	0.438	0.657	აღმერთებს
adoring	0.885	0.620	0.717	თაყვანისმცემელი
adorn	0.910	0.424	0.482	დაამშვენებს
adornment	0.918	0.373	0.377	მორთულობა
adrenalin	0.865	0.920	0.786	ადრენალინი
adrenaline	0.765	0.965	0.825	ადრენალინი
adrift	0.398	0.486	0.230	ადრიფტი
adult	0.815	0.491	0.787	ზრდასრული
adulterated	0.188	0.865	0.370	გაყალბებული
adulterer	0.229	0.814	0.407	მრუშობა
adultery	0.120	0.922	0.510	მრუშობა
adulthood	0.541	0.454	0.652	სრულწლოვანებამდე
advance	0.673	0.472	0.858	წინსვლა
advanced	0.844	0.623	0.797	მოწინავე
advancement	0.776	0.650	0.839	წინსვლა
advancing	0.929	0.608	0.812	წინ მიიწევს
advantage	0.917	0.548	0.859	უპირატესობა
advantageous	0.837	0.640	0.789	ხელსაყრელი
advent	0.665	0.560	0.627	მოსვლა
adventure	0.917	0.857	0.710	თავგადასავალი
adventurer	0.781	0.839	0.868	ავანტიურისტი
adventures	0.812	0.764	0.749	თავგადასავლები
adventurous	0.969	0.898	0.722	სათავგადასავლო
adversary	0.349	0.777	0.457	მოწინააღმდეგე
adverse	0.323	0.610	0.385	არასასურველი
adversity	0.276	0.760	0.538	უბედურება
advertise	0.500	0.529	0.580	რეკლამა
advertisement	0.600	0.566	0.539	რეკლამა
advertising	0.622	0.608	0.632	სარეკლამო
adverts	0.551	0.500	0.595	რეკლამები
advice	0.698	0.408	0.688	რჩევა
advisable	0.867	0.480	0.510	მიზანშეწონილი
advise	0.760	0.393	0.705	რჩევა
advised	0.823	0.330	0.509	ურჩია
advisement	0.698	0.235	0.655	რჩევა
adviser	0.745	0.362	0.705	მრჩეველი
advisor	0.646	0.350	0.689	მრჩეველი
advisory	0.656	0.429	0.633	საკონსულტაციო
advocacy	0.500	0.646	0.731	ადვოკატირება
advocate	0.551	0.530	0.818	ადვოკატი
aegis	0.490	0.439	0.462	ეგიდები
aeration	0.550	0.500	0.433	აერაცია
aerial	0.615	0.461	0.463	საჰაერო
aerobics	0.708	0.771	0.627	აერობიკა
aerodrome	0.541	0.740	0.678	აეროდრომი
aerodynamic	0.561	0.724	0.728	აეროდინამიკური
aerodynamics	0.590	0.663	0.722	აეროდინამიკა
aeronautics	0.551	0.633	0.688	აერონავტიკა
aeroplane	0.714	0.642	0.644	თვითმფრინავი
aerospace	0.643	0.520	0.779	აერონავტიკა
aesthetic	0.708	0.442	0.526	ესთეტიური
aesthetics	0.847	0.327	0.549	ესთეტიკა
aetiology	0.480	0.398	0.615	ეტიოლოგია
afar	0.396	0.373	0.358	შორს
affable	0.704	0.380	0.452	მოსიყვარულე
affair	0.520	0.459	0.657	საქმე
affect	0.458	0.569	0.578	აფექტი
affecting	0.350	0.574	0.394	გავლენას ახდენს
affection	0.898	0.559	0.696	მოსიყვარულეობა
affectionate	0.949	0.422	0.550	მოსიყვარულე
affections	0.760	0.547	0.655	მოსიყვარულეობა
affiche	0.479	0.265	0.402	აფიშა
affidavit	0.469	0.584	0.526	აღთქმა
affiliated	0.673	0.519	0.535	შვილობილი
affiliation	0.615	0.594	0.500	კუთვნილება
affinity	0.800	0.500	0.537	აფინურობა
affirm	0.745	0.509	0.731	ამტკიცებს
affirmation	0.750	0.500	0.689	დადასტურება
affirmative	0.854	0.589	0.816	დადებითი
affirmatively	0.908	0.500	0.811	დადებითად
affix	0.438	0.335	0.411	დამაგრება
afflict	0.302	0.555	0.293	იტანჯება
afflicted	0.271	0.500	0.167	დატანჯული
affliction	0.294	0.635	0.392	ტანჯვა
affluence	0.663	0.618	0.722	სიმდიდრე
affluent	0.756	0.388	0.477	შეძლებული
afford	0.571	0.580	0.575	ახერხებს
affordable	0.840	0.398	0.493	ხელმისაწვდომი
affront	0.327	0.740	0.547	შეურაცხყოფა
affronted	0.385	0.750	0.527	შეურაცხყოფილი
afield	0.594	0.370	0.373	მიღმა
afire	0.367	0.904	0.675	ხანძარი
afloat	0.602	0.427	0.444	მცურავი
afore	0.500	0.337	0.382	ადრე
aforementioned	0.490	0.316	0.408	აღნიშნული
aforesaid	0.531	0.358	0.478	ზემოხსენებული
afraid	0.010	0.775	0.245	შეშინებული
afresh	0.643	0.521	0.480	ახალი
aft	0.480	0.417	0.518	უკან
afterlife	0.571	0.567	0.568	შემდგომი ცხოვრება
aftermath	0.312	0.449	0.444	შემდგომი
afternoon	0.533	0.388	0.339	შუადღე
aftershave	0.406	0.384	0.415	გაპარსვის შემდეგ
aftertaste	0.354	0.362	0.455	გემო
afterthought	0.396	0.392	0.349	შემდგომი აზრი
aga	0.542	0.327	0.398	აღა
agape	0.612	0.529	0.464	აგაპე
agate	0.540	0.377	0.483	აქატი
age	0.561	0.226	0.498	ასაკი
aged	0.135	0.365	0.236	დაძველებული
agency	0.460	0.296	0.583	სააგენტო
agenda	0.531	0.296	0.553	დღის წესრიგში
agent	0.480	0.439	0.755	აგენტი
agglomeration	0.450	0.765	0.509	აგლომერაცია
aggravate	0.224	0.770	0.464	ამძიმებს
aggravated	0.079	0.760	0.430	გამწვავდა
aggravates	0.108	0.778	0.357	ამძიმებს
aggravating	0.257	0.794	0.640	დამამძიმებელი
aggravation	0.071	0.784	0.613	გამწვავება
aggregate	0.730	0.378	0.556	აგრეგატი
aggregation	0.583	0.517	0.694	აგრეგაცია
aggresive	0.059	0.971	0.639	აგრესიული
aggression	0.094	0.929	0.533	აგრესია
aggressive	0.125	0.949	0.648	აგრესიული
aggressively	0.250	0.926	0.688	აგრესიულად
aggressiveness	0.077	0.913	0.648	აგრესიულობა
aggressor	0.146	0.948	0.823	აგრესორი
agh	0.260	0.500	0.400	აგ
aghast	0.133	0.865	0.464	აღელვებული
aghhh	0.281	0.635	0.243	აჰჰჰ
agile	0.800	0.657	0.775	სწრაფი
agility	0.720	0.702	0.815	სისწრაფე
aging	0.214	0.255	0.284	დაბერება
agitate	0.300	0.796	0.593	აჟიტირება
agitated	0.444	0.882	0.491	აჟიტირებული
agitation	0.240	0.931	0.447	აგიტაცია
aglow	0.780	0.510	0.797	ანათებს
agnostic	0.306	0.396	0.574	აგნოსტიკოსი
ago	0.317	0.280	0.404	წინ
agonizing	0.083	0.800	0.340	მტანჯველი
agony	0.083	0.775	0.393	აგონია
agoraphobia	0.127	0.712	0.438	აგორაფობია
agree	0.906	0.260	0.545	ვეთანხმები
agreeable	0.906	0.500	0.696	მოსაწონი
agreed	0.797	0.449	0.574	დათანხმდა
agreeing	0.854	0.480	0.557	თანხმდებიან
agreement	0.760	0.440	0.736	შეთანხმება
agressive	0.083	0.918	0.751	აგრესიული
agricultural	0.686	0.321	0.473	სამეურნეო
agriculture	0.640	0.357	0.465	სოფლის მეურნეობა
aground	0.333	0.340	0.445	მიწაზე
agua	0.598	0.180	0.436	აგუა
ahead	0.708	0.520	0.673	წინ
ahhh	0.562	0.517	0.241	აჰჰ
ahhhhhhhh	0.552	0.649	0.288	აჰჰჰჰჰჰჰ
ahoy	0.500	0.497	0.380	აჰოი
aid	0.796	0.491	0.541	დახმარება
aide	0.724	0.342	0.434	თანაშემწე
aiding	0.643	0.533	0.569	ეხმარება
aids	0.561	0.480	0.500	შიდსი
ail	0.375	0.434	0.385	ავადმყოფი
ailing	0.094	0.518	0.153	ავადმყოფი
ailment	0.146	0.734	0.277	ავადმყოფობა
aim	0.481	0.569	0.567	მიზანი
aimless	0.150	0.267	0.183	უმიზნო
air	0.708	0.163	0.427	საჰაერო
airbag	0.510	0.402	0.433	აირბაგი
airborne	0.542	0.519	0.385	საჰაერო ხომალდი
aircraft	0.646	0.644	0.691	თვითმფრინავი
aircraft carrier	0.490	0.740	0.727	ავიამზიდი
airfield	0.601	0.650	0.645	აეროდრომი
airhead	0.271	0.481	0.276	საჰაერო თავი
airlift	0.573	0.622	0.642	აირლიფტი
airline	0.650	0.482	0.688	ავიაკომპანია
airliner	0.667	0.777	0.647	თვითმფრინავი
airlock	0.398	0.520	0.447	საჰაერო საკეტი
airman	0.587	0.716	0.721	საჰაერო ხომალდი
airplane	0.719	0.702	0.708	თვითმფრინავი
airport	0.729	0.684	0.682	აეროპორტი
airs	0.583	0.196	0.370	ჰაერები
airship	0.542	0.472	0.529	საჰაერო ხომალდი
airspace	0.562	0.510	0.640	საჰაერო სივრცე
airspeed	0.583	0.780	0.544	საჰაერო სიჩქარე
airstrip	0.550	0.690	0.649	აეროდრომი
airtight	0.479	0.381	0.570	ჰერმეტულად
airway	0.638	0.585	0.482	სასუნთქი გზა
aisle	0.438	0.222	0.283	გასასვლელი
ait	0.385	0.390	0.402	აიტ
ajar	0.460	0.413	0.446	გაშლილი
aka	0.459	0.358	0.351	აკა
akin	0.639	0.343	0.523	მსგავსი
alabaster	0.542	0.404	0.445	ალაბასტრი
alarm	0.241	0.882	0.698	განგაში
alarm clock	0.542	0.727	0.642	მაღვიძარა
alarmed	0.188	0.822	0.492	შეშფოთებული
alarming	0.204	0.890	0.585	საგანგაშო
alas	0.571	0.310	0.279	ვაი
alb	0.521	0.380	0.427	ალბ
albatross	0.500	0.445	0.527	ალბატროსი
albino	0.500	0.240	0.358	ალბინოსი
album	0.635	0.349	0.453	ალბომი
alchemy	0.541	0.583	0.693	ალქიმია
alcohol	0.323	0.667	0.377	ალკოჰოლი
alcoholic	0.153	0.688	0.361	ალკოჰოლური
alcoholism	0.061	0.779	0.407	ალკოჰოლიზმი
alcove	0.490	0.340	0.356	აკლდამა
alderman	0.550	0.459	0.691	მღვდელმთავარი
ale	0.530	0.450	0.358	ალი
alert	0.479	0.820	0.648	გაფრთხილება
alertness	0.375	0.875	0.750	სიფხიზლე
alerts	0.337	0.804	0.673	გაფრთხილებები
alfalfa	0.546	0.250	0.311	იონჯა
algebra	0.440	0.340	0.565	ალგებრა
algebraic	0.531	0.412	0.441	ალგებრული
algorithm	0.448	0.394	0.559	ალგორითმი
alias	0.541	0.353	0.333	მეტსახელი
alibi	0.396	0.528	0.556	ალიბი
alien	0.410	0.615	0.491	უცხოპლანეტელი
alienate	0.247	0.500	0.523	გაუცხოება
alienated	0.410	0.423	0.559	გაუცხოებული
alienation	0.378	0.530	0.462	გაუცხოება
alight	0.667	0.657	0.605	ჩამქრალი
align	0.656	0.364	0.627	გასწორება
aligned	0.583	0.275	0.553	გასწორებული
alignment	0.643	0.412	0.683	გასწორება
alike	0.653	0.173	0.444	ერთნაირად
alimentation	0.781	0.551	0.602	კვება
alimony	0.612	0.477	0.464	ალიმენტი
aliquot	0.440	0.310	0.404	ალიაქოთი
alive	0.816	0.637	0.731	ცოცხალი
alkali	0.490	0.350	0.408	ტუტე
alkaloids	0.433	0.562	0.402	ალკალოიდები
allay	0.417	0.406	0.398	დაამშვიდა
allegation	0.578	0.578	0.608	ბრალდება
allege	0.418	0.482	0.587	ბრალდება
alleged	0.365	0.522	0.520	სავარაუდო
allegiance	0.917	0.398	0.750	ერთგულება
allegorical	0.517	0.558	0.598	ალეგორიული
allegory	0.615	0.580	0.509	ალეგორია
allegro	0.635	0.627	0.453	ალეგრო
allergic	0.135	0.549	0.273	ალერგიული
allergy	0.296	0.606	0.389	ალერგია
alleviate	0.869	0.270	0.528	შემსუბუქება
alleviation	0.735	0.200	0.491	შემსუბუქება
alley	0.347	0.500	0.355	ხეივანი
alleyway	0.357	0.471	0.382	ხეივანი
alliance	0.696	0.473	0.769	ალიანსი
allied	0.714	0.245	0.642	მოკავშირე
alligator	0.354	0.704	0.645	ალიგატორი
allocate	0.673	0.462	0.672	გამოყოფს
allocation	0.604	0.388	0.679	განაწილება
allot	0.622	0.481	0.616	გამოყოფს
allotment	0.600	0.390	0.640	გამოყოფა
allow	0.698	0.429	0.538	დაუშვას
allowable	0.698	0.500	0.561	დასაშვები
allowance	0.673	0.382	0.591	შემწეობა
allowed	0.730	0.360	0.655	დაშვებული
alloy	0.583	0.443	0.593	შენადნობი
allsmiles	0.786	0.528	0.430	იღიმება
allure	0.804	0.585	0.686	მიმზიდველობა
alluring	0.837	0.745	0.843	მიმზიდველი
allusion	0.440	0.308	0.462	ალუზია
alluvial	0.323	0.490	0.491	ალუვიური
ally	0.792	0.320	0.688	მოკავშირე
almanac	0.688	0.190	0.412	ალმანახი
almighty	0.938	0.874	0.958	ყოვლისშემძლე
almond	0.698	0.183	0.314	ნუშის
aloft	0.771	0.373	0.700	მაღლა
aloha	0.698	0.440	0.441	ალოჰა
alone	0.333	0.167	0.216	მარტო
alongside	0.458	0.333	0.347	გვერდით
aloof	0.189	0.423	0.302	მოშორებით
aloud	0.458	0.713	0.750	ხმამაღლა
alpha	0.708	0.340	0.755	ალფა
alphabet	0.562	0.204	0.672	ანბანი
alphabetical	0.537	0.296	0.535	ანბანური
alpine	0.594	0.337	0.474	ალპური
alreadyyyyy	0.592	0.717	0.351	უკვე ეიიიი
altar	0.724	0.387	0.635	საკურთხეველი
altar boy	0.434	0.206	0.350	საკურთხევლის ბიჭი
alter	0.333	0.694	0.654	შეცვალოს
alteration	0.167	0.798	0.609	შეცვლა
altercation	0.170	0.806	0.500	ჩხუბი
altered	0.255	0.765	0.500	შეცვლილი
alternate	0.625	0.363	0.589	ალტერნატიული
alternating	0.480	0.494	0.542	მონაცვლეობით
alternative	0.628	0.373	0.631	ალტერნატივა
altimeter	0.615	0.510	0.580	სიმაღლეზე
altitude	0.708	0.482	0.736	სიმაღლეზე
alto	0.656	0.404	0.730	ალტო
altogether	0.833	0.324	0.644	საერთოდ
aluminum	0.449	0.280	0.434	ალუმინის
alumnus	0.633	0.368	0.422	კურსდამთავრებული
alveolar	0.469	0.481	0.367	ალვეოლური
alzheimers	0.194	0.518	0.319	ალცჰეიმერი
amalgam	0.438	0.333	0.510	ამალგამი
amalgamation	0.406	0.470	0.531	გაერთიანება
amaretto	0.543	0.551	0.375	ამარეტო
amass	0.552	0.465	0.465	აგროვებს
amateur	0.469	0.500	0.409	სამოყვარულო
amaze	0.896	0.843	0.783	გაოცება
amazed	0.796	0.779	0.533	გაოცებული
amazedness	0.827	0.872	0.510	გაოცება
amazement	0.750	0.800	0.639	გაოცება
amazing	0.906	0.837	0.849	საოცარი
amazingly	0.918	0.765	0.920	საოცრად
ambassador	0.651	0.529	0.917	ელჩი
amber	0.635	0.308	0.369	ქარვა
ambience	0.735	0.356	0.426	ატმოსფერო
ambient	0.625	0.360	0.582	გარემო
ambiguity	0.164	0.460	0.370	გაურკვევლობა
ambiguous	0.265	0.462	0.358	ორაზროვანი
ambit	0.479	0.380	0.386	ამბიტი
ambition	0.510	0.804	0.661	ამბიცია
ambitious	0.484	0.821	0.717	ამბიციური
ambivalent	0.510	0.404	0.482	ამბივალენტური
