English Word	Valence	Arousal	Dominance	Marathi Word
abrasive	0.392	0.610	0.593	अपघर्षक
abreast	0.635	0.380	0.519	अगदी जवळ
abroad	0.677	0.596	0.561	परदेशात
abrogate	0.327	0.510	0.594	रद्द करणे
abrupt	0.271	0.819	0.545	अचानक
abruptly	0.250	0.808	0.556	एकाएकी
abscess	0.154	0.451	0.349	गळू
absence	0.153	0.235	0.266	अनुपस्थिती
absent	0.177	0.221	0.116	अनुपस्थित
absentee	0.235	0.330	0.279	अनुपस्थित
absenteeism	0.404	0.273	0.357	अनुपस्थिती
absinthe	0.481	0.510	0.462	absinthe
absolute	0.526	0.510	0.827	निरपेक्ष
absolution	0.715	0.500	0.664	मुक्ती
absolve	0.684	0.449	0.660	मुक्त करणे
absorb	0.469	0.558	0.670	शोषून घेणे
absorbed	0.490	0.471	0.519	शोषून घेतले
absorbent	0.552	0.394	0.718	शोषक
absorbing	0.490	0.490	0.578	शोषक
absorption	0.609	0.422	0.446	शोषण
abstain	0.385	0.385	0.427	टाळा
abstention	0.271	0.264	0.509	वर्ज्य
abstinence	0.260	0.392	0.429	त्याग
abstract	0.438	0.292	0.444	गोषवारा
abstraction	0.469	0.439	0.525	अमूर्तता
absurd	0.188	0.656	0.284	मूर्ख
absurdity	0.115	0.528	0.227	मूर्खपणा
abundance	0.812	0.690	0.852	विपुलता
abundant	0.958	0.590	0.760	मुबलक
abuse	0.071	0.873	0.469	गैरवर्तन
abused	0.021	0.874	0.235	गैरवर्तन केले
abusive	0.125	0.903	0.567	अपमानास्पद
abutment	0.500	0.265	0.616	abutment
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	अत्यंत
abyss	0.353	0.725	0.296	अथांग
academic	0.781	0.420	0.812	शैक्षणिक
academy	0.704	0.473	0.792	अकादमी
accede	0.698	0.510	0.537	प्रवेश
accelerant	0.643	0.844	0.802	प्रवेगक
accelerate	0.615	0.902	0.759	गती वाढवणे
accelerated	0.610	0.812	0.682	प्रवेगक
acceleration	0.704	0.905	0.843	प्रवेग
accelerator	0.593	0.830	0.812	प्रवेगक
accent	0.598	0.357	0.509	उच्चारण
accentuate	0.673	0.556	0.667	जोर देणे
accept	0.847	0.286	0.565	स्वीकारा
acceptable	0.812	0.286	0.583	स्वीकार्य
acceptance	0.833	0.287	0.755	स्वीकृती
acceptances	0.847	0.413	0.648	स्वीकार
access	0.714	0.472	0.567	प्रवेश
accessible	0.796	0.410	0.645	प्रवेश करण्यायोग्य
accession	0.612	0.383	0.636	प्रवेश
accessory	0.562	0.292	0.445	ऍक्सेसरी
accident	0.125	0.908	0.336	अपघात
accidental	0.319	0.784	0.307	अपघाती
accidentally	0.333	0.741	0.333	चुकून
acclaim	0.562	0.809	0.718	प्रशंसा
accolade	0.688	0.591	0.775	प्रशंसा
accommodate	0.844	0.375	0.566	सामावून घेणे
accommodation	0.817	0.415	0.587	निवास
accompaniment	0.740	0.479	0.695	सोबत
accompany	0.833	0.406	0.585	सोबत
accompanying	0.787	0.460	0.582	सोबत
accomplice	0.408	0.580	0.510	साथीदार
accomplish	0.929	0.673	0.816	पूर्ण करणे
accomplished	0.870	0.520	0.798	पूर्ण केले
accomplishment	0.917	0.694	0.888	सिद्धी
accord	0.898	0.264	0.382	एकमत
accordance	0.659	0.349	0.600	त्यानुसार
accordion	0.604	0.490	0.361	एकॉर्डियन
account	0.531	0.347	0.472	खाते
accountability	0.755	0.537	0.833	जबाबदारी
accountable	0.709	0.282	0.777	जबाबदार
accountant	0.625	0.450	0.639	लेखापाल
accounting	0.552	0.390	0.677	लेखा
accounts	0.592	0.340	0.471	खाती
accredited	0.669	0.479	0.768	मान्यताप्राप्त
accretion	0.448	0.519	0.672	वाढ
accrue	0.520	0.481	0.602	जमा करणे
accueil	0.450	0.451	0.470	accuil
accumulate	0.573	0.536	0.607	जमा करणे
accumulation	0.479	0.527	0.600	जमा
accuracy	0.604	0.481	0.802	अचूकता
accurate	0.743	0.360	0.737	अचूक
accursed	0.135	0.745	0.345	शापित
accusation	0.073	0.718	0.564	आरोप
accusative	0.198	0.755	0.482	आरोपात्मक
accuse	0.133	0.752	0.500	आरोप
accused	0.130	0.670	0.420	आरोपी
accuser	0.122	0.779	0.615	आरोप करणारा
accusing	0.156	0.745	0.324	आरोप करणे
accustomed	0.542	0.365	0.441	नित्याचा
ace	0.643	0.481	0.546	निपुण
acetic	0.333	0.420	0.519	एसिटिक
acetylene	0.306	0.469	0.509	ऍसिटिलीन
ache	0.146	0.760	0.312	वेदना
achieve	0.816	0.545	0.843	साध्य करणे
achieved	0.896	0.519	0.775	साध्य केले
achievement	0.896	0.808	0.759	उपलब्धी
aching	0.053	0.880	0.348	दुखणे
achy	0.167	0.840	0.373	दुखणे
acid	0.265	0.642	0.566	आम्ल
acidity	0.156	0.663	0.360	आंबटपणा
acknowledge	0.786	0.370	0.661	कबूल करणे
acknowledged	0.714	0.443	0.765	मान्य केले
acknowledgement	0.819	0.539	0.830	पोचपावती
acknowledgment	0.796	0.528	0.777	पोचपावती
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	पुरळ
acorn	0.448	0.198	0.192	एकोर्न
acoustic	0.542	0.462	0.536	ध्वनिक
acoustics	0.611	0.330	0.509	ध्वनीशास्त्र
acquaint	0.646	0.491	0.639	परिचित
acquaintance	0.656	0.290	0.670	ओळख
acquainted	0.906	0.358	0.632	परिचित
acquiescence	0.542	0.480	0.554	मान्यता
acquire	0.833	0.468	0.700	घेणे
acquiring	0.735	0.510	0.817	प्राप्त करणे
acquisition	0.698	0.509	0.736	संपादन
acquisitions	0.773	0.660	0.790	संपादन
acquit	0.583	0.571	0.611	दोषमुक्त करणे
acquittal	0.760	0.497	0.700	निर्दोष सुटका
acre	0.583	0.387	0.423	एकर
acreage	0.741	0.450	0.528	एकर
acres	0.510	0.363	0.500	एकर
acrobat	0.708	0.828	0.602	एक्रोबॅट
acrylic	0.582	0.279	0.420	ऍक्रेलिक
act	0.656	0.704	0.735	कृती
acting	0.698	0.643	0.500	अभिनय
action	0.760	0.898	0.802	क्रिया
action figure	0.615	0.774	0.611	क्रिया आकृती
actionable	0.673	0.702	0.613	कारवाई करण्यायोग्य
activate	0.764	0.650	0.806	सक्रिय करा
activation	0.781	0.800	0.754	सक्रियकरण
active	0.847	0.730	0.731	सक्रिय
activist	0.531	0.653	0.877	कार्यकर्ता
activity	0.701	0.660	0.807	क्रियाकलाप
actor	0.653	0.561	0.629	अभिनेता
actress	0.633	0.556	0.596	अभिनेत्री
actual	0.729	0.400	0.716	वास्तविक
actuality	0.750	0.464	0.600	वास्तविकता
actuary	0.510	0.404	0.491	वास्तविक
acuity	0.469	0.378	0.741	तीक्ष्णता
acumen	0.564	0.660	0.679	कुशाग्र बुद्धिमत्ता
acupuncture	0.531	0.324	0.549	एक्यूपंक्चर
acute	0.427	0.652	0.534	तीव्र
acutely	0.417	0.543	0.491	तीव्रतेने
ad	0.521	0.705	0.558	जाहिरात
adage	0.517	0.415	0.566	म्हण
adamant	0.344	0.529	0.575	अविचल
adapt	0.740	0.355	0.551	जुळवून घेणे
adaptable	0.735	0.423	0.641	जुळवून घेण्यायोग्य
adaptation	0.663	0.365	0.609	रुपांतर
add	0.728	0.490	0.554	जोडा
added	0.562	0.405	0.509	जोडले
addendum	0.392	0.370	0.418	परिशिष्ट
adder	0.388	0.461	0.588	जोडणारा
addict	0.075	0.696	0.327	व्यसनी
addicted	0.156	0.712	0.483	व्यसनी
addiction	0.180	0.806	0.420	व्यसन
addictive	0.302	0.683	0.472	व्यसनाधीन
addition	0.562	0.373	0.471	या व्यतिरिक्त
additional	0.673	0.462	0.526	अतिरिक्त
additive	0.561	0.633	0.691	additive
address	0.650	0.327	0.567	पत्ता
addressee	0.622	0.382	0.538	पत्ता
addresses	0.510	0.354	0.450	पत्ते
adept	0.594	0.539	0.789	योग्य
adequacy	0.615	0.435	0.702	पर्याप्तता
adequate	0.854	0.264	0.705	पुरेसे
adhere	0.633	0.339	0.554	पालन
adherence	0.760	0.307	0.630	पालन
adherent	0.561	0.385	0.555	अनुयायी
adhering	0.612	0.561	0.537	पालन
adhesion	0.521	0.445	0.586	आसंजन
adhesive	0.604	0.350	0.413	चिकट
adieu	0.250	0.471	0.342	निरोप
adipose	0.333	0.350	0.391	वसा
adjacency	0.365	0.417	0.375	संलग्नता
adjacent	0.645	0.276	0.536	समीप
adjective	0.570	0.316	0.569	विशेषण
adjoining	0.520	0.400	0.393	शेजारील
adjourn	0.385	0.456	0.475	स्थगित करणे
adjournment	0.438	0.510	0.370	स्थगिती
adjudicate	0.559	0.520	0.683	निर्णय घेणे
adjudication	0.551	0.462	0.691	निर्णय
adjunct	0.459	0.440	0.426	सहायक
adjust	0.647	0.327	0.638	समायोजित करा
adjuster	0.510	0.540	0.760	समायोजक
adjustment	0.590	0.520	0.661	समायोजन
adjuvant	0.510	0.500	0.456	सहायक
admin	0.688	0.420	0.854	प्रशासक
administer	0.635	0.425	0.860	प्रशासन
administration	0.625	0.404	0.786	प्रशासन
administrative	0.542	0.415	0.579	प्रशासकीय
administrator	0.538	0.480	0.902	प्रशासक
admirable	0.929	0.600	0.870	प्रशंसनीय
admiral	0.844	0.490	0.847	अॅडमिरल
admiralty	0.594	0.547	0.733	नौकानयन
admiration	0.969	0.583	0.726	प्रशंसा
admire	0.867	0.692	0.704	प्रशंसा
admired	0.917	0.560	0.815	प्रशंसनीय
admirer	0.796	0.720	0.650	प्रशंसक
admiring	0.867	0.578	0.629	प्रशंसा
admissibility	0.802	0.580	0.602	स्वीकार्यता
admissible	0.780	0.528	0.642	स्वीकार्य
admission	0.802	0.415	0.732	प्रवेश
admit	0.538	0.423	0.667	कबूल करा
admittance	0.690	0.451	0.598	प्रवेश
admitted	0.720	0.490	0.767	दाखल
admitting	0.620	0.500	0.546	कबूल करणे
admixture	0.450	0.375	0.438	मिश्रण
admonition	0.357	0.606	0.455	सूचना
ado	0.520	0.423	0.385	अडचण
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	पौगंडावस्थेतील
adolescent	0.781	0.680	0.509	पौगंडावस्थेतील
adopt	0.694	0.612	0.701	दत्तक घेणे
adoption	0.625	0.566	0.589	दत्तक
adoptive	0.531	0.469	0.520	दत्तक
adorable	0.969	0.519	0.457	मोहक
adoration	0.885	0.699	0.708	आराधना
adore	0.854	0.438	0.657	पूजा करणे
adoring	0.885	0.620	0.717	आराधना
adorn	0.910	0.424	0.482	सुशोभित करणे
adornment	0.918	0.373	0.377	अलंकार
adrenalin	0.865	0.920	0.786	एड्रेनालिन
adrenaline	0.765	0.965	0.825	एड्रेनालाईन
adrift	0.398	0.486	0.230	वाहून जाणे
adult	0.815	0.491	0.787	प्रौढ
adulterated	0.188	0.865	0.370	भेसळयुक्त
adulterer	0.229	0.814	0.407	व्यभिचारी
adultery	0.120	0.922	0.510	व्यभिचार
adulthood	0.541	0.454	0.652	प्रौढत्व
advance	0.673	0.472	0.858	प्रगती
advanced	0.844	0.623	0.797	प्रगत
advancement	0.776	0.650	0.839	प्रगती
advancing	0.929	0.608	0.812	पुढे जात आहे
advantage	0.917	0.548	0.859	फायदा
advantageous	0.837	0.640	0.789	फायदेशीर
advent	0.665	0.560	0.627	आगमन
adventure	0.917	0.857	0.710	साहस
adventurer	0.781	0.839	0.868	साहसी
adventures	0.812	0.764	0.749	साहस
adventurous	0.969	0.898	0.722	साहसी
adversary	0.349	0.777	0.457	शत्रू
adverse	0.323	0.610	0.385	प्रतिकूल
adversity	0.276	0.760	0.538	प्रतिकूलता
advertise	0.500	0.529	0.580	जाहिरात करा
advertisement	0.600	0.566	0.539	जाहिरात
advertising	0.622	0.608	0.632	जाहिरात
adverts	0.551	0.500	0.595	जाहिराती
advice	0.698	0.408	0.688	सल्ला
advisable	0.867	0.480	0.510	सल्ला दिला जातो
advise	0.760	0.393	0.705	सल्ला
advised	0.823	0.330	0.509	सल्ला दिला
advisement	0.698	0.235	0.655	सल्ला
adviser	0.745	0.362	0.705	सल्लागार
advisor	0.646	0.350	0.689	सल्लागार
advisory	0.656	0.429	0.633	सल्लागार
advocacy	0.500	0.646	0.731	वकिली
advocate	0.551	0.530	0.818	वकील
aegis	0.490	0.439	0.462	एजिस
aeration	0.550	0.500	0.433	वायुवीजन
aerial	0.615	0.461	0.463	हवाई
aerobics	0.708	0.771	0.627	एरोबिक्स
aerodrome	0.541	0.740	0.678	एरोड्रोम
aerodynamic	0.561	0.724	0.728	वायुगतिकीय
aerodynamics	0.590	0.663	0.722	वायुगतिकी
aeronautics	0.551	0.633	0.688	वैमानिक
aeroplane	0.714	0.642	0.644	विमान
aerospace	0.643	0.520	0.779	एरोस्पेस
aesthetic	0.708	0.442	0.526	सौंदर्याचा
aesthetics	0.847	0.327	0.549	सौंदर्यशास्त्र
aetiology	0.480	0.398	0.615	एटिओलॉजी
afar	0.396	0.373	0.358	दूर
affable	0.704	0.380	0.452	प्रेमळ
affair	0.520	0.459	0.657	प्रकरण
affect	0.458	0.569	0.578	प्रभावित
affecting	0.350	0.574	0.394	प्रभावित करत आहे
affection	0.898	0.559	0.696	आपुलकी
affectionate	0.949	0.422	0.550	प्रेमळ
affections	0.760	0.547	0.655	आपुलकी
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	प्रतिज्ञापत्र
affiliated	0.673	0.519	0.535	संलग्न
affiliation	0.615	0.594	0.500	संलग्नता
affinity	0.800	0.500	0.537	आत्मीयता
affirm	0.745	0.509	0.731	पुष्टी
affirmation	0.750	0.500	0.689	पुष्टीकरण
affirmative	0.854	0.589	0.816	होकारार्थी
affirmatively	0.908	0.500	0.811	होकारार्थी
affix	0.438	0.335	0.411	चिकटवणे
afflict	0.302	0.555	0.293	त्रास देणे
afflicted	0.271	0.500	0.167	पीडित
affliction	0.294	0.635	0.392	दु:ख
affluence	0.663	0.618	0.722	संपन्नता
affluent	0.756	0.388	0.477	श्रीमंत
afford	0.571	0.580	0.575	परवडणे
affordable	0.840	0.398	0.493	परवडणारे
affront	0.327	0.740	0.547	अपमान
affronted	0.385	0.750	0.527	अपमानित
afield	0.594	0.370	0.373	दूर
afire	0.367	0.904	0.675	आग
afloat	0.602	0.427	0.444	तरंगणे
afore	0.500	0.337	0.382	आधी
aforementioned	0.490	0.316	0.408	वर नमूद केलेले
aforesaid	0.531	0.358	0.478	वर सांगितले
afraid	0.010	0.775	0.245	भीती
afresh	0.643	0.521	0.480	नव्याने
aft	0.480	0.417	0.518	मागे
afterlife	0.571	0.567	0.568	नंतरचे जीवन
aftermath	0.312	0.449	0.444	परिणाम
afternoon	0.533	0.388	0.339	दुपारी
aftershave	0.406	0.384	0.415	दाढी नंतर
aftertaste	0.354	0.362	0.455	नंतरची चव
afterthought	0.396	0.392	0.349	नंतरचा विचार
aga	0.542	0.327	0.398	अगा
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	agate
age	0.561	0.226	0.498	वय
aged	0.135	0.365	0.236	वृद्ध
agency	0.460	0.296	0.583	एजन्सी
agenda	0.531	0.296	0.553	अजेंडा
agent	0.480	0.439	0.755	एजंट
agglomeration	0.450	0.765	0.509	जमाव
aggravate	0.224	0.770	0.464	वाढवणे
aggravated	0.079	0.760	0.430	उत्तेजित
aggravates	0.108	0.778	0.357	वाढवते
aggravating	0.257	0.794	0.640	त्रासदायक
aggravation	0.071	0.784	0.613	उत्तेजित होणे
aggregate	0.730	0.378	0.556	एकूण
aggregation	0.583	0.517	0.694	एकत्रीकरण
aggresive	0.059	0.971	0.639	आक्रमक
aggression	0.094	0.929	0.533	आगळीक
aggressive	0.125	0.949	0.648	आक्रमक
aggressively	0.250	0.926	0.688	आक्रमकपणे
aggressiveness	0.077	0.913	0.648	आक्रमकता
aggressor	0.146	0.948	0.823	आक्रमक
agh	0.260	0.500	0.400	अग
aghast	0.133	0.865	0.464	हैराण
aghhh	0.281	0.635	0.243	aghhh
agile	0.800	0.657	0.775	चपळ
agility	0.720	0.702	0.815	चपळता
aging	0.214	0.255	0.284	वृद्धत्व
agitate	0.300	0.796	0.593	आंदोलन करणे
agitated	0.444	0.882	0.491	उत्तेजित
agitation	0.240	0.931	0.447	आंदोलन
aglow	0.780	0.510	0.797	चमकणे
agnostic	0.306	0.396	0.574	अज्ञेयवादी
ago	0.317	0.280	0.404	पूर्वी
agonizing	0.083	0.800	0.340	वेदनादायक
agony	0.083	0.775	0.393	वेदना
agoraphobia	0.127	0.712	0.438	ऍगोराफोबिया
agree	0.906	0.260	0.545	सहमत
agreeable	0.906	0.500	0.696	सहमत
agreed	0.797	0.449	0.574	सहमत
agreeing	0.854	0.480	0.557	सहमत आहे
agreement	0.760	0.440	0.736	करार
agressive	0.083	0.918	0.751	आक्रमक
agricultural	0.686	0.321	0.473	कृषी
agriculture	0.640	0.357	0.465	शेती
aground	0.333	0.340	0.445	जमिनीवर
agua	0.598	0.180	0.436	आग
ahead	0.708	0.520	0.673	पुढे
ahhh	0.562	0.517	0.241	अहाह
ahhhhhhhh	0.552	0.649	0.288	आह्ह्ह्ह्ह्ह
ahoy	0.500	0.497	0.380	अहोय
aid	0.796	0.491	0.541	मदत
aide	0.724	0.342	0.434	सहाय्यक
aiding	0.643	0.533	0.569	मदत करणे
aids	0.561	0.480	0.500	मदत
ail	0.375	0.434	0.385	आजार
ailing	0.094	0.518	0.153	आजारी
ailment	0.146	0.734	0.277	आजार
aim	0.481	0.569	0.567	लक्ष्य
aimless	0.150	0.267	0.183	ध्येयहीन
air	0.708	0.163	0.427	हवा
airbag	0.510	0.402	0.433	हवेची पिशवी
airborne	0.542	0.519	0.385	हवाई
aircraft	0.646	0.644	0.691	विमान
aircraft carrier	0.490	0.740	0.727	विमान वाहक
airfield	0.601	0.650	0.645	एअरफील्ड
airhead	0.271	0.481	0.276	एअरहेड
airlift	0.573	0.622	0.642	एअरलिफ्ट
airline	0.650	0.482	0.688	विमान सेवा
airliner	0.667	0.777	0.647	विमान
airlock	0.398	0.520	0.447	एअर लॉक
airman	0.587	0.716	0.721	एअरमन
airplane	0.719	0.702	0.708	विमान
airport	0.729	0.684	0.682	विमानतळ
airs	0.583	0.196	0.370	प्रसारित
airship	0.542	0.472	0.529	हवाई जहाज
airspace	0.562	0.510	0.640	हवाई क्षेत्र
airspeed	0.583	0.780	0.544	एअरस्पीड
airstrip	0.550	0.690	0.649	हवाई पट्टी
airtight	0.479	0.381	0.570	हवाबंद
airway	0.638	0.585	0.482	वायुमार्ग
aisle	0.438	0.222	0.283	मार्ग
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	अजार
aka	0.459	0.358	0.351	उर्फ
akin	0.639	0.343	0.523	समान
alabaster	0.542	0.404	0.445	अलाबास्टर
alarm	0.241	0.882	0.698	गजर
alarm clock	0.542	0.727	0.642	गजराचे घड्याळ
alarmed	0.188	0.822	0.492	सावध
alarming	0.204	0.890	0.585	चिंताजनक
alas	0.571	0.310	0.279	अरेरे
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	अल्बाट्रॉस
albino	0.500	0.240	0.358	अल्बिनो
album	0.635	0.349	0.453	अल्बम
alchemy	0.541	0.583	0.693	किमया
alcohol	0.323	0.667	0.377	दारू
alcoholic	0.153	0.688	0.361	मद्यपी
alcoholism	0.061	0.779	0.407	मद्यपान
alcove	0.490	0.340	0.356	alcove
alderman	0.550	0.459	0.691	अल्डरमन
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	इशारा
alertness	0.375	0.875	0.750	सतर्कता
alerts	0.337	0.804	0.673	सूचना
alfalfa	0.546	0.250	0.311	अल्फल्फा
algebra	0.440	0.340	0.565	बीजगणित
algebraic	0.531	0.412	0.441	बीजगणित
algorithm	0.448	0.394	0.559	अल्गोरिदम
alias	0.541	0.353	0.333	उर्फ
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	उपरा
alienate	0.247	0.500	0.523	दुरावणे
alienated	0.410	0.423	0.559	परके
alienation	0.378	0.530	0.462	परकेपणा
alight	0.667	0.657	0.605	उतरणे
align	0.656	0.364	0.627	संरेखित करा
aligned	0.583	0.275	0.553	संरेखित
alignment	0.643	0.412	0.683	संरेखन
alike	0.653	0.173	0.444	एकसारखे
alimentation	0.781	0.551	0.602	आहार
alimony	0.612	0.477	0.464	पोटगी
aliquot	0.440	0.310	0.404	अलिकट
alive	0.816	0.637	0.731	जिवंत
alkali	0.490	0.350	0.408	अल्कली
alkaloids	0.433	0.562	0.402	अल्कलॉइड
allay	0.417	0.406	0.398	दूर करणे
allegation	0.578	0.578	0.608	आरोप
allege	0.418	0.482	0.587	आरोप
alleged	0.365	0.522	0.520	आरोप
allegiance	0.917	0.398	0.750	निष्ठा
allegorical	0.517	0.558	0.598	रूपकात्मक
allegory	0.615	0.580	0.509	रूपक
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	ऍलर्जी
allergy	0.296	0.606	0.389	ऍलर्जी
alleviate	0.869	0.270	0.528	कमी करणे
alleviation	0.735	0.200	0.491	उपशमन
alley	0.347	0.500	0.355	गल्ली
alleyway	0.357	0.471	0.382	गल्ली मार्ग
alliance	0.696	0.473	0.769	युती
allied	0.714	0.245	0.642	सहयोगी
alligator	0.354	0.704	0.645	मगर
allocate	0.673	0.462	0.672	वाटप
allocation	0.604	0.388	0.679	वाटप
allot	0.622	0.481	0.616	वाटप
allotment	0.600	0.390	0.640	वाटप
allow	0.698	0.429	0.538	परवानगी द्या
allowable	0.698	0.500	0.561	परवानगीयोग्य
allowance	0.673	0.382	0.591	भत्ता
allowed	0.730	0.360	0.655	परवानगी
alloy	0.583	0.443	0.593	मिश्रधातू
allsmiles	0.786	0.528	0.430	सर्व स्मित
allure	0.804	0.585	0.686	आकर्षण
alluring	0.837	0.745	0.843	मोहक
allusion	0.440	0.308	0.462	संकेत
alluvial	0.323	0.490	0.491	जलोळ
ally	0.792	0.320	0.688	सहयोगी
almanac	0.688	0.190	0.412	पंचांग
almighty	0.938	0.874	0.958	सर्वशक्तिमान
almond	0.698	0.183	0.314	बदाम
aloft	0.771	0.373	0.700	वर
aloha	0.698	0.440	0.441	अलोहा
alone	0.333	0.167	0.216	एकटा
alongside	0.458	0.333	0.347	बाजूने
aloof	0.189	0.423	0.302	अलिप्त
aloud	0.458	0.713	0.750	मोठ्याने
alpha	0.708	0.340	0.755	अल्फा
alphabet	0.562	0.204	0.672	वर्णमाला
alphabetical	0.537	0.296	0.535	वर्णक्रमानुसार
alpine	0.594	0.337	0.474	अल्पाइन
alreadyyyyy	0.592	0.717	0.351	आधीच yyyy
altar	0.724	0.387	0.635	वेदी
altar boy	0.434	0.206	0.350	वेदी मुलगा
alter	0.333	0.694	0.654	बदल
alteration	0.167	0.798	0.609	बदल
altercation	0.170	0.806	0.500	भांडण
altered	0.255	0.765	0.500	बदलले
alternate	0.625	0.363	0.589	पर्यायी
alternating	0.480	0.494	0.542	पर्यायी
alternative	0.628	0.373	0.631	पर्यायी
altimeter	0.615	0.510	0.580	अल्टिमीटर
altitude	0.708	0.482	0.736	समुद्रसपाटीपासूनची उंची
alto	0.656	0.404	0.730	अल्टो
altogether	0.833	0.324	0.644	एकंदरीत
aluminum	0.449	0.280	0.434	अॅल्युमिनियम
alumnus	0.633	0.368	0.422	माजी विद्यार्थी
alveolar	0.469	0.481	0.367	alveolar
alzheimers	0.194	0.518	0.319	अल्झायमर
amalgam	0.438	0.333	0.510	एकत्रीकरण
amalgamation	0.406	0.470	0.531	एकत्रीकरण
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	एकत्र करणे
amateur	0.469	0.500	0.409	हौशी
amaze	0.896	0.843	0.783	आश्चर्यचकित करणे
amazed	0.796	0.779	0.533	आश्चर्यचकित
amazedness	0.827	0.872	0.510	आश्चर्य
amazement	0.750	0.800	0.639	आश्चर्य
amazing	0.906	0.837	0.849	आश्चर्यकारक
amazingly	0.918	0.765	0.920	आश्चर्यकारकपणे
ambassador	0.651	0.529	0.917	राजदूत
amber	0.635	0.308	0.369	अंबर
ambience	0.735	0.356	0.426	वातावरण
ambient	0.625	0.360	0.582	वातावरण
ambiguity	0.164	0.460	0.370	अस्पष्टता
ambiguous	0.265	0.462	0.358	संदिग्ध
ambit	0.479	0.380	0.386	परिक्षेत्र
ambition	0.510	0.804	0.661	महत्वाकांक्षा
ambitious	0.484	0.821	0.717	महत्वाकांक्षी
ambivalent	0.510	0.404	0.482	द्विधा मनस्थिती
ambrosia	0.571	0.452	0.480	अमृत
ambulance	0.500	0.750	0.609	रुग्णवाहिका
ambush	0.281	0.830	0.500	हल्ला
ameliorate	0.770	0.548	0.747	सुधारणे
amen	0.781	0.182	0.542	आमेन
amenable	0.448	0.410	0.406	सक्षम
amend	0.688	0.406	0.658	दुरुस्ती
amendment	0.531	0.459	0.606	दुरुस्ती
amends	0.640	0.366	0.517	दुरुस्ती
amenity	0.750	0.327	0.574	सुविधा
amethyst	0.622	0.406	0.517	ऍमेथिस्ट
amiable	0.847	0.290	0.483	मिलनसार
amicable	0.875	0.330	0.507	सौहार्दपूर्ण
amid	0.510	0.340	0.256	दरम्यान
amidst	0.480	0.330	0.316	दरम्यान
amino	0.551	0.402	0.433	एमिनो
ammo	0.323	0.765	0.621	दारूगोळा
ammonia	0.292	0.587	0.409	अमोनिया
