English Word	Valence	Arousal	Dominance	Afrikaans Word
absenteeism	0.404	0.273	0.357	afwesigheid
absinthe	0.481	0.510	0.462	absint
absolute	0.526	0.510	0.827	absoluut
absolution	0.715	0.500	0.664	absolusie
absolve	0.684	0.449	0.660	vryspreek
absorb	0.469	0.558	0.670	absorbeer
absorbed	0.490	0.471	0.519	geabsorbeer
absorbent	0.552	0.394	0.718	absorberend
absorbing	0.490	0.490	0.578	absorberend
absorption	0.609	0.422	0.446	absorpsie
abstain	0.385	0.385	0.427	onthou
abstention	0.271	0.264	0.509	onthouding
abstinence	0.260	0.392	0.429	onthouding
abstract	0.438	0.292	0.444	abstrak
abstraction	0.469	0.439	0.525	abstraksie
absurd	0.188	0.656	0.284	absurd
absurdity	0.115	0.528	0.227	absurditeit
abundance	0.812	0.690	0.852	oorvloed
abundant	0.958	0.590	0.760	oorvloedig
abuse	0.071	0.873	0.469	misbruik
abused	0.021	0.874	0.235	misbruik
abusive	0.125	0.903	0.567	beledigend
abutment	0.500	0.265	0.616	aanslag
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	afgrondelik
abyss	0.353	0.725	0.296	afgrond
academic	0.781	0.420	0.812	akademies
academy	0.704	0.473	0.792	Akademie
accede	0.698	0.510	0.537	toetree
accelerant	0.643	0.844	0.802	versneller
accelerate	0.615	0.902	0.759	versnel
accelerated	0.610	0.812	0.682	versnel
acceleration	0.704	0.905	0.843	versnelling
accelerator	0.593	0.830	0.812	versneller
accent	0.598	0.357	0.509	aksent
accentuate	0.673	0.556	0.667	beklemtoon
accept	0.847	0.286	0.565	aanvaar
acceptable	0.812	0.286	0.583	aanvaarbaar
acceptance	0.833	0.287	0.755	aanvaarding
acceptances	0.847	0.413	0.648	aanvaardings
access	0.714	0.472	0.567	toegang
accessible	0.796	0.410	0.645	toeganklik
accession	0.612	0.383	0.636	toetreding
accessory	0.562	0.292	0.445	bykomstigheid
accident	0.125	0.908	0.336	ongeluk
accidental	0.319	0.784	0.307	toevallig
accidentally	0.333	0.741	0.333	per ongeluk
acclaim	0.562	0.809	0.718	toejuiging
accolade	0.688	0.591	0.775	eerbewys
accommodate	0.844	0.375	0.566	akkommodeer
accommodation	0.817	0.415	0.587	verblyf
accompaniment	0.740	0.479	0.695	begeleiding
accompany	0.833	0.406	0.585	vergesel
accompanying	0.787	0.460	0.582	begeleidende
accomplice	0.408	0.580	0.510	medepligtige
accomplish	0.929	0.673	0.816	bereik
accomplished	0.870	0.520	0.798	volbring
accomplishment	0.917	0.694	0.888	prestasie
accord	0.898	0.264	0.382	ooreenkom
accordance	0.659	0.349	0.600	ooreenstemming
accordion	0.604	0.490	0.361	trekklavier
account	0.531	0.347	0.472	rekening
accountability	0.755	0.537	0.833	aanspreeklikheid
accountable	0.709	0.282	0.777	verantwoordbaar
accountant	0.625	0.450	0.639	rekenmeester
accounting	0.552	0.390	0.677	Rekeningkunde
accounts	0.592	0.340	0.471	rekeninge
accredited	0.669	0.479	0.768	geakkrediteer
accretion	0.448	0.519	0.672	aanwas
accrue	0.520	0.481	0.602	oploop
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	versamel
accumulation	0.479	0.527	0.600	akkumulasie
accuracy	0.604	0.481	0.802	akkuraatheid
accurate	0.743	0.360	0.737	akkuraat
accursed	0.135	0.745	0.345	vervloek
accusation	0.073	0.718	0.564	beskuldiging
accusative	0.198	0.755	0.482	akkusatief
accuse	0.133	0.752	0.500	beskuldig
accused	0.130	0.670	0.420	beskuldigde
accuser	0.122	0.779	0.615	aanklaer
accusing	0.156	0.745	0.324	beskuldigend
accustomed	0.542	0.365	0.441	gewoond is
ace	0.643	0.481	0.546	aas
acetic	0.333	0.420	0.519	asyn
acetylene	0.306	0.469	0.509	asetileen
ache	0.146	0.760	0.312	pyn
achieve	0.816	0.545	0.843	bereik
achieved	0.896	0.519	0.775	behaal
achievement	0.896	0.808	0.759	prestasie
aching	0.053	0.880	0.348	seer
achy	0.167	0.840	0.373	seer
acid	0.265	0.642	0.566	suur
acidity	0.156	0.663	0.360	suurheid
acknowledge	0.786	0.370	0.661	erken
acknowledged	0.714	0.443	0.765	erken
acknowledgement	0.819	0.539	0.830	erkenning
acknowledgment	0.796	0.528	0.777	erkenning
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	aknee
acorn	0.448	0.198	0.192	eikel
acoustic	0.542	0.462	0.536	akoesties
acoustics	0.611	0.330	0.509	akoestiek
acquaint	0.646	0.491	0.639	kennis maak
acquaintance	0.656	0.290	0.670	kennismaking
acquainted	0.906	0.358	0.632	vertroud
acquiescence	0.542	0.480	0.554	instemming
acquire	0.833	0.468	0.700	verkry
acquiring	0.735	0.510	0.817	verkry
acquisition	0.698	0.509	0.736	verkryging
acquisitions	0.773	0.660	0.790	verkrygings
acquit	0.583	0.571	0.611	vryspreek
acquittal	0.760	0.497	0.700	vryspraak
acre	0.583	0.387	0.423	akker
acreage	0.741	0.450	0.528	oppervlakte
acres	0.510	0.363	0.500	hektaar
acrobat	0.708	0.828	0.602	akrobaat
acrylic	0.582	0.279	0.420	akriel
act	0.656	0.704	0.735	daad
acting	0.698	0.643	0.500	toneelspel
action	0.760	0.898	0.802	aksie
action figure	0.615	0.774	0.611	aksie figuur
actionable	0.673	0.702	0.613	optreebaar
activate	0.764	0.650	0.806	aktiveer
activation	0.781	0.800	0.754	aktivering
active	0.847	0.730	0.731	aktief
activist	0.531	0.653	0.877	aktivis
activity	0.701	0.660	0.807	aktiwiteit
actor	0.653	0.561	0.629	akteur
actress	0.633	0.556	0.596	aktrise
actual	0.729	0.400	0.716	werklike
actuality	0.750	0.464	0.600	aktualiteit
actuary	0.510	0.404	0.491	aktuaris
acuity	0.469	0.378	0.741	skerpte
acumen	0.564	0.660	0.679	skerpsinnigheid
acupuncture	0.531	0.324	0.549	akupunktuur
acute	0.427	0.652	0.534	akute
acutely	0.417	0.543	0.491	akuut
ad	0.521	0.705	0.558	advertensie
adage	0.517	0.415	0.566	spreekwoord
adamant	0.344	0.529	0.575	vasbeslote
adapt	0.740	0.355	0.551	aanpas
adaptable	0.735	0.423	0.641	aanpasbaar
adaptation	0.663	0.365	0.609	aanpassing
add	0.728	0.490	0.554	byvoeg
added	0.562	0.405	0.509	bygevoeg
addendum	0.392	0.370	0.418	addendum
adder	0.388	0.461	0.588	adder
addict	0.075	0.696	0.327	verslaafde
addicted	0.156	0.712	0.483	verslaaf
addiction	0.180	0.806	0.420	verslawing
addictive	0.302	0.683	0.472	verslawend
addition	0.562	0.373	0.471	toevoeging
additional	0.673	0.462	0.526	bykomende
additive	0.561	0.633	0.691	toevoeging
address	0.650	0.327	0.567	adres
addressee	0.622	0.382	0.538	geadresseerde
addresses	0.510	0.354	0.450	adresse
adept	0.594	0.539	0.789	bedrewe
adequacy	0.615	0.435	0.702	toereikendheid
adequate	0.854	0.264	0.705	voldoende
adhere	0.633	0.339	0.554	aanhang
adherence	0.760	0.307	0.630	nakoming
adherent	0.561	0.385	0.555	aanhanger
adhering	0.612	0.561	0.537	aanhang
adhesion	0.521	0.445	0.586	adhesie
adhesive	0.604	0.350	0.413	kleefmiddel
adieu	0.250	0.471	0.342	adieu
adipose	0.333	0.350	0.391	vettig
adjacency	0.365	0.417	0.375	aangrensing
adjacent	0.645	0.276	0.536	aangrensend
adjective	0.570	0.316	0.569	byvoeglike naamwoord
adjoining	0.520	0.400	0.393	aangrensend
adjourn	0.385	0.456	0.475	verdaag
adjournment	0.438	0.510	0.370	uitstel
adjudicate	0.559	0.520	0.683	beoordeel
adjudication	0.551	0.462	0.691	beoordeling
adjunct	0.459	0.440	0.426	byvoegsel
adjust	0.647	0.327	0.638	aanpas
adjuster	0.510	0.540	0.760	versteller
adjustment	0.590	0.520	0.661	aanpassing
adjuvant	0.510	0.500	0.456	byvoegsel
admin	0.688	0.420	0.854	admin
administer	0.635	0.425	0.860	administreer
administration	0.625	0.404	0.786	administrasie
administrative	0.542	0.415	0.579	administratiewe
administrator	0.538	0.480	0.902	administrateur
admirable	0.929	0.600	0.870	bewonderenswaardig
admiral	0.844	0.490	0.847	admiraal
admiralty	0.594	0.547	0.733	admiraliteit
admiration	0.969	0.583	0.726	bewondering
admire	0.867	0.692	0.704	bewonder
admired	0.917	0.560	0.815	bewonder
admirer	0.796	0.720	0.650	bewonderaar
admiring	0.867	0.578	0.629	bewonderend
admissibility	0.802	0.580	0.602	toelaatbaarheid
admissible	0.780	0.528	0.642	toelaatbaar
admission	0.802	0.415	0.732	toegang
admit	0.538	0.423	0.667	erken
admittance	0.690	0.451	0.598	toelating
admitted	0.720	0.490	0.767	erken
admitting	0.620	0.500	0.546	erken
admixture	0.450	0.375	0.438	vermenging
admonition	0.357	0.606	0.455	vermaning
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	adolessensie
adolescent	0.781	0.680	0.509	adolessent
adopt	0.694	0.612	0.701	aanneem
adoption	0.625	0.566	0.589	aanneming
adoptive	0.531	0.469	0.520	aanneem
adorable	0.969	0.519	0.457	skatryk
adoration	0.885	0.699	0.708	aanbidding
adore	0.854	0.438	0.657	aanbid
adoring	0.885	0.620	0.717	aanbid
adorn	0.910	0.424	0.482	versier
adornment	0.918	0.373	0.377	versiering
adrenalin	0.865	0.920	0.786	adrenalien
adrenaline	0.765	0.965	0.825	adrenalien
adrift	0.398	0.486	0.230	dryf
adult	0.815	0.491	0.787	volwassene
adulterated	0.188	0.865	0.370	vervals
adulterer	0.229	0.814	0.407	egbreker
adultery	0.120	0.922	0.510	owerspel
adulthood	0.541	0.454	0.652	volwassenheid
advance	0.673	0.472	0.858	vooruit
advanced	0.844	0.623	0.797	gevorderd
advancement	0.776	0.650	0.839	vooruitgang
advancing	0.929	0.608	0.812	vorder
advantage	0.917	0.548	0.859	voordeel
advantageous	0.837	0.640	0.789	voordelig
advent	0.665	0.560	0.627	koms
adventure	0.917	0.857	0.710	avontuur
adventurer	0.781	0.839	0.868	avonturier
adventures	0.812	0.764	0.749	avonture
adventurous	0.969	0.898	0.722	avontuurlustig
adversary	0.349	0.777	0.457	teenstander
adverse	0.323	0.610	0.385	nadelig
adversity	0.276	0.760	0.538	teëspoed
advertise	0.500	0.529	0.580	adverteer
advertisement	0.600	0.566	0.539	advertensie
advertising	0.622	0.608	0.632	advertensies
adverts	0.551	0.500	0.595	advertensies
advice	0.698	0.408	0.688	raad
advisable	0.867	0.480	0.510	raadsaam
advise	0.760	0.393	0.705	adviseer
advised	0.823	0.330	0.509	aangeraai
advisement	0.698	0.235	0.655	advies
adviser	0.745	0.362	0.705	adviseur
advisor	0.646	0.350	0.689	adviseur
advisory	0.656	0.429	0.633	adviserende
advocacy	0.500	0.646	0.731	voorspraak
advocate	0.551	0.530	0.818	advokaat
aegis	0.490	0.439	0.462	aegis
aeration	0.550	0.500	0.433	deurlugting
aerial	0.615	0.461	0.463	lugfoto
aerobics	0.708	0.771	0.627	aerobics
aerodrome	0.541	0.740	0.678	vliegveld
aerodynamic	0.561	0.724	0.728	aërodinamies
aerodynamics	0.590	0.663	0.722	aërodinamika
aeronautics	0.551	0.633	0.688	lugvaartkunde
aeroplane	0.714	0.642	0.644	vliegtuig
aerospace	0.643	0.520	0.779	lugvaart
aesthetic	0.708	0.442	0.526	estetiese
aesthetics	0.847	0.327	0.549	estetika
aetiology	0.480	0.398	0.615	etiologie
afar	0.396	0.373	0.358	ver
affable	0.704	0.380	0.452	vriendelik
affair	0.520	0.459	0.657	saak
affect	0.458	0.569	0.578	affekteer
affecting	0.350	0.574	0.394	beïnvloed
affection	0.898	0.559	0.696	toegeneentheid
affectionate	0.949	0.422	0.550	liefdevol
affections	0.760	0.547	0.655	toegeneenthede
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	beëdigde verklaring
affiliated	0.673	0.519	0.535	geaffilieer
affiliation	0.615	0.594	0.500	affiliasie
affinity	0.800	0.500	0.537	affiniteit
affirm	0.745	0.509	0.731	bevestig
affirmation	0.750	0.500	0.689	bevestiging
affirmative	0.854	0.589	0.816	regstellende
affirmatively	0.908	0.500	0.811	bevestigend
affix	0.438	0.335	0.411	aanbring
afflict	0.302	0.555	0.293	aandoen
afflicted	0.271	0.500	0.167	geteister
affliction	0.294	0.635	0.392	ellende
affluence	0.663	0.618	0.722	welvaart
affluent	0.756	0.388	0.477	welaf
afford	0.571	0.580	0.575	bekostig
affordable	0.840	0.398	0.493	bekostigbaar
affront	0.327	0.740	0.547	beledig
affronted	0.385	0.750	0.527	beledig
afield	0.594	0.370	0.373	weg
afire	0.367	0.904	0.675	n vuur
afloat	0.602	0.427	0.444	dryf
afore	0.500	0.337	0.382	voorheen
aforementioned	0.490	0.316	0.408	bogenoemde
aforesaid	0.531	0.358	0.478	voormelde
afraid	0.010	0.775	0.245	bang
afresh	0.643	0.521	0.480	nuut
aft	0.480	0.417	0.518	agter
afterlife	0.571	0.567	0.568	hiernamaals
aftermath	0.312	0.449	0.444	nasleep
afternoon	0.533	0.388	0.339	middag
aftershave	0.406	0.384	0.415	naskeermiddel
aftertaste	0.354	0.362	0.455	nasmaak
afterthought	0.396	0.392	0.349	nagedagte
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	agaat
age	0.561	0.226	0.498	ouderdom
aged	0.135	0.365	0.236	bejaardes
agency	0.460	0.296	0.583	agentskap
agenda	0.531	0.296	0.553	agenda
agent	0.480	0.439	0.755	agent
agglomeration	0.450	0.765	0.509	agglomerasie
aggravate	0.224	0.770	0.464	vererger
aggravated	0.079	0.760	0.430	vererger
aggravates	0.108	0.778	0.357	vererger
aggravating	0.257	0.794	0.640	verswarende
aggravation	0.071	0.784	0.613	verergering
aggregate	0.730	0.378	0.556	totaal
aggregation	0.583	0.517	0.694	samevoeging
aggresive	0.059	0.971	0.639	aggressief
aggression	0.094	0.929	0.533	aggressie
aggressive	0.125	0.949	0.648	aggressief
aggressively	0.250	0.926	0.688	aggressief
aggressiveness	0.077	0.913	0.648	aggressiwiteit
aggressor	0.146	0.948	0.823	aggressor
agh	0.260	0.500	0.400	ag
aghast	0.133	0.865	0.464	ontsteld
aghhh	0.281	0.635	0.243	aghh
agile	0.800	0.657	0.775	behendig
agility	0.720	0.702	0.815	behendigheid
aging	0.214	0.255	0.284	veroudering
agitate	0.300	0.796	0.593	agiteer
agitated	0.444	0.882	0.491	geroer
agitation	0.240	0.931	0.447	agitasie
aglow	0.780	0.510	0.797	gloei
agnostic	0.306	0.396	0.574	agnosties
ago	0.317	0.280	0.404	gelede
agonizing	0.083	0.800	0.340	pynlik
agony	0.083	0.775	0.393	angs
agoraphobia	0.127	0.712	0.438	agorafobie
agree	0.906	0.260	0.545	stem saam
agreeable	0.906	0.500	0.696	aangenaam
agreed	0.797	0.449	0.574	ingestem
agreeing	0.854	0.480	0.557	saamstem
agreement	0.760	0.440	0.736	ooreenkoms
agressive	0.083	0.918	0.751	aggressief
agricultural	0.686	0.321	0.473	landbou
agriculture	0.640	0.357	0.465	landbou
aground	0.333	0.340	0.445	gestrand
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	vorentoe
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhh
ahoy	0.500	0.497	0.380	hey
aid	0.796	0.491	0.541	hulp
aide	0.724	0.342	0.434	assistent
aiding	0.643	0.533	0.569	help
aids	0.561	0.480	0.500	hulpmiddels
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	siek
ailment	0.146	0.734	0.277	kwaal
aim	0.481	0.569	0.567	mik
aimless	0.150	0.267	0.183	doelloos
air	0.708	0.163	0.427	lug
airbag	0.510	0.402	0.433	lugsak
airborne	0.542	0.519	0.385	in die lug
aircraft	0.646	0.644	0.691	vliegtuig
aircraft carrier	0.490	0.740	0.727	vliegdekskip
airfield	0.601	0.650	0.645	vliegveld
airhead	0.271	0.481	0.276	lugkop
airlift	0.573	0.622	0.642	lugbrug
airline	0.650	0.482	0.688	lugredery
airliner	0.667	0.777	0.647	vliegtuig
airlock	0.398	0.520	0.447	lugslot
airman	0.587	0.716	0.721	lugman
airplane	0.719	0.702	0.708	vliegtuig
airport	0.729	0.684	0.682	lughawe
airs	0.583	0.196	0.370	uitsaai
airship	0.542	0.472	0.529	lugskip
airspace	0.562	0.510	0.640	lugruim
airspeed	0.583	0.780	0.544	lugspoed
airstrip	0.550	0.690	0.649	landingstrook
airtight	0.479	0.381	0.570	lugdig
airway	0.638	0.585	0.482	lugweg
aisle	0.438	0.222	0.283	gang
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	oop
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	soortgelyk
alabaster	0.542	0.404	0.445	albaster
alarm	0.241	0.882	0.698	alarm
alarm clock	0.542	0.727	0.642	wekker
alarmed	0.188	0.822	0.492	verskrik
alarming	0.204	0.890	0.585	kommerwekkend
alas	0.571	0.310	0.279	helaas
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatros
albino	0.500	0.240	0.358	albino
album	0.635	0.349	0.453	album
alchemy	0.541	0.583	0.693	alchemie
alcohol	0.323	0.667	0.377	alkohol
alcoholic	0.153	0.688	0.361	alkoholis
alcoholism	0.061	0.779	0.407	alkoholisme
alcove	0.490	0.340	0.356	alkoof
alderman	0.550	0.459	0.691	wethouer
ale	0.530	0.450	0.358	bier
alert	0.479	0.820	0.648	waarskuwing
alertness	0.375	0.875	0.750	waaksaamheid
alerts	0.337	0.804	0.673	waarskuwings
alfalfa	0.546	0.250	0.311	lusern
algebra	0.440	0.340	0.565	algebra
algebraic	0.531	0.412	0.441	algebraïes
algorithm	0.448	0.394	0.559	algoritme
alias	0.541	0.353	0.333	alias
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	vreemdeling
alienate	0.247	0.500	0.523	vervreem
alienated	0.410	0.423	0.559	vervreemd
alienation	0.378	0.530	0.462	vervreemding
alight	0.667	0.657	0.605	brand
align	0.656	0.364	0.627	belyn
aligned	0.583	0.275	0.553	belyn
alignment	0.643	0.412	0.683	belyning
alike	0.653	0.173	0.444	eenders
alimentation	0.781	0.551	0.602	voeding
alimony	0.612	0.477	0.464	onderhoud
aliquot	0.440	0.310	0.404	aliquot
alive	0.816	0.637	0.731	lewendig
alkali	0.490	0.350	0.408	alkali
alkaloids	0.433	0.562	0.402	alkaloïede
allay	0.417	0.406	0.398	besweer
allegation	0.578	0.578	0.608	bewering
allege	0.418	0.482	0.587	beweer
alleged	0.365	0.522	0.520	beweer
allegiance	0.917	0.398	0.750	getrouheid
allegorical	0.517	0.558	0.598	allegories
allegory	0.615	0.580	0.509	allegorie
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	allergies
allergy	0.296	0.606	0.389	allergie
alleviate	0.869	0.270	0.528	verlig
alleviation	0.735	0.200	0.491	verligting
alley	0.347	0.500	0.355	stegie
alleyway	0.357	0.471	0.382	stegie
alliance	0.696	0.473	0.769	alliansie
allied	0.714	0.245	0.642	geallieerde
alligator	0.354	0.704	0.645	krokodil
allocate	0.673	0.462	0.672	toeken
allocation	0.604	0.388	0.679	toekenning
allot	0.622	0.481	0.616	toeken
allotment	0.600	0.390	0.640	toekenning
allow	0.698	0.429	0.538	toelaat
allowable	0.698	0.500	0.561	toelaatbaar
allowance	0.673	0.382	0.591	toelae
allowed	0.730	0.360	0.655	toegelaat
alloy	0.583	0.443	0.593	legering
allsmiles	0.786	0.528	0.430	allsmile
allure	0.804	0.585	0.686	aanloklikheid
alluring	0.837	0.745	0.843	aanloklik
allusion	0.440	0.308	0.462	sinspeling
alluvial	0.323	0.490	0.491	alluviale
ally	0.792	0.320	0.688	bondgenoot
almanac	0.688	0.190	0.412	almanak
almighty	0.938	0.874	0.958	almagtig
almond	0.698	0.183	0.314	amandel
aloft	0.771	0.373	0.700	omhoog
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	alleen
alongside	0.458	0.333	0.347	langsaan
aloof	0.189	0.423	0.302	afsydig
aloud	0.458	0.713	0.750	hardop
alpha	0.708	0.340	0.755	alfa
alphabet	0.562	0.204	0.672	alfabet
alphabetical	0.537	0.296	0.535	alfabeties
alpine	0.594	0.337	0.474	alpiene
alreadyyyyy	0.592	0.717	0.351	reedsyyyy
altar	0.724	0.387	0.635	altaar
altar boy	0.434	0.206	0.350	altaar seun
alter	0.333	0.694	0.654	verander
alteration	0.167	0.798	0.609	verandering
altercation	0.170	0.806	0.500	woordewisseling
altered	0.255	0.765	0.500	verander
alternate	0.625	0.363	0.589	afwissel
alternating	0.480	0.494	0.542	afwisselend
alternative	0.628	0.373	0.631	alternatief
altimeter	0.615	0.510	0.580	hoogtemeter
altitude	0.708	0.482	0.736	hoogte
alto	0.656	0.404	0.730	alt
altogether	0.833	0.324	0.644	geheel en al
aluminum	0.449	0.280	0.434	aluminium
alumnus	0.633	0.368	0.422	alumnus
alveolar	0.469	0.481	0.367	alveolêre
alzheimers	0.194	0.518	0.319	alzheimers
amalgam	0.438	0.333	0.510	amalgaam
amalgamation	0.406	0.470	0.531	samesmelting
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	versamel
amateur	0.469	0.500	0.409	amateur
amaze	0.896	0.843	0.783	verstom
amazed	0.796	0.779	0.533	verstom
amazedness	0.827	0.872	0.510	verwondering
amazement	0.750	0.800	0.639	verbasing
amazing	0.906	0.837	0.849	verstommend
amazingly	0.918	0.765	0.920	verbasend
ambassador	0.651	0.529	0.917	ambassadeur
amber	0.635	0.308	0.369	Amber
ambience	0.735	0.356	0.426	atmosfeer
ambient	0.625	0.360	0.582	omgewing
ambiguity	0.164	0.460	0.370	dubbelsinnigheid
ambiguous	0.265	0.462	0.358	dubbelsinnig
ambit	0.479	0.380	0.386	omvang
ambition	0.510	0.804	0.661	ambisie
ambitious	0.484	0.821	0.717	ambisieus
ambivalent	0.510	0.404	0.482	ambivalent
ambrosia	0.571	0.452	0.480	ambrosia
ambulance	0.500	0.750	0.609	ambulans
ambush	0.281	0.830	0.500	hinderlaag
ameliorate	0.770	0.548	0.747	verbeter
amen	0.781	0.182	0.542	amen
amenable	0.448	0.410	0.406	vatbaar
amend	0.688	0.406	0.658	wysig
amendment	0.531	0.459	0.606	wysiging
amends	0.640	0.366	0.517	wysig
amenity	0.750	0.327	0.574	gerief
amethyst	0.622	0.406	0.517	ametis
amiable	0.847	0.290	0.483	vriendelik
amicable	0.875	0.330	0.507	vriendskaplik
amid	0.510	0.340	0.256	te midde van
amidst	0.480	0.330	0.316	te midde van
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	ammunisie
ammonia	0.292	0.587	0.409	ammoniak
ammonium	0.354	0.396	0.368	ammonium
ammunition	0.338	0.635	0.667	ammunisie
amnesia	0.296	0.330	0.308	geheueverlies
amnesty	0.551	0.451	0.814	amnestie
amorous	0.844	0.670	0.636	verlief
amorphous	0.327	0.402	0.349	amorf
amortization	0.592	0.491	0.522	amortisasie
amount	0.562	0.422	0.649	bedrag
amour	0.865	0.480	0.652	amour
amp	0.439	0.393	0.375	amp
ampersand	0.480	0.448	0.483	ampersand
amphetamines	0.133	0.667	0.526	amfetamiene
amphibian	0.427	0.357	0.474	amfibie
amphibious	0.479	0.346	0.445	amfibiese
amphitheater	0.653	0.480	0.545	amfiteater
ample	0.744	0.349	0.719	ruim
amplification	0.690	0.677	0.810	versterking
amplify	0.677	0.735	0.827	versterk
amplitude	0.694	0.439	0.692	amplitude
amply	0.781	0.431	0.766	ruim
amputate	0.092	0.660	0.509	amputeer
amputation	0.100	0.755	0.483	amputasie
amuck	0.385	0.602	0.321	amok
amulet	0.781	0.260	0.630	amulet
amuse	0.812	0.684	0.664	amuseer
amused	0.942	0.847	0.596	geamuseerd
amusement	0.929	0.837	0.803	vermaak
amusing	0.960	0.829	0.632	amusant
ana	0.541	0.300	0.314	ana
anaconda	0.146	0.830	0.540	anakonda
anaesthesia	0.350	0.217	0.473	narkose
anaesthetic	0.449	0.268	0.509	narkose
anagram	0.552	0.327	0.449	anagram
anal	0.333	0.798	0.334	anaal
analgesic	0.417	0.321	0.441	pynstiller
analogous	0.531	0.270	0.500	analoog
analogue	0.570	0.320	0.446	analoog
analogy	0.510	0.367	0.509	analogie
analysis	0.729	0.448	0.705	ontleding
analyst	0.604	0.415	0.755	ontleder
analytic	0.665	0.521	0.634	analities
analytical	0.625	0.324	0.800	analities
analyze	0.667	0.462	0.710	ontleed
analyzer	0.625	0.556	0.854	ontleder
anaphylactic	0.378	0.588	0.500	anafilaktiese
anarchism	0.125	0.804	0.623	anargisme
anarchist	0.204	0.700	0.759	anargis
anarchy	0.146	0.755	0.620	anargie
anastomosis	0.375	0.470	0.490	anastomose
anathema	0.286	0.490	0.519	anathema
anatomic	0.562	0.442	0.546	anatomies
anatomy	0.562	0.390	0.571	anatomie
ancestor	0.592	0.388	0.594	voorvader
ancestral	0.640	0.481	0.750	voorvaderlike
