English Word	Valence	Arousal	Dominance	Kazakh Word
adjuvant	0.510	0.500	0.456	адъювант
admin	0.688	0.420	0.854	админ
administer	0.635	0.425	0.860	басқару
administration	0.625	0.404	0.786	әкімшілік
administrative	0.542	0.415	0.579	әкімшілік
administrator	0.538	0.480	0.902	әкімші
admirable	0.929	0.600	0.870	тамаша
admiral	0.844	0.490	0.847	адмирал
admiralty	0.594	0.547	0.733	адмиралт
admiration	0.969	0.583	0.726	таңдану
admire	0.867	0.692	0.704	таңдану
admired	0.917	0.560	0.815	таңданды
admirer	0.796	0.720	0.650	жанкүйер
admiring	0.867	0.578	0.629	тамсану
admissibility	0.802	0.580	0.602	рұқсат ету
admissible	0.780	0.528	0.642	рұқсат етілген
admission	0.802	0.415	0.732	қабылдау
admit	0.538	0.423	0.667	мойындау
admittance	0.690	0.451	0.598	рұқсат
admitted	0.720	0.490	0.767	мойындады
admitting	0.620	0.500	0.546	мойындау
admixture	0.450	0.375	0.438	қоспа
admonition	0.357	0.606	0.455	ескерту
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	Adobe
adolescence	0.487	0.694	0.444	жастық шақ
adolescent	0.781	0.680	0.509	жасөспірім
adopt	0.694	0.612	0.701	асырап алу
adoption	0.625	0.566	0.589	асырап алу
adoptive	0.531	0.469	0.520	асырап алушы
adorable	0.969	0.519	0.457	сүйкімді
adoration	0.885	0.699	0.708	табыну
adore	0.854	0.438	0.657	сүю
adoring	0.885	0.620	0.717	сүю
adorn	0.910	0.424	0.482	безендіру
adornment	0.918	0.373	0.377	әшекей
adrenalin	0.865	0.920	0.786	адреналин
adrenaline	0.765	0.965	0.825	адреналин
adrift	0.398	0.486	0.230	адасқан
adult	0.815	0.491	0.787	ересек
adulterated	0.188	0.865	0.370	бұрмаланған
adulterer	0.229	0.814	0.407	зинақор
adultery	0.120	0.922	0.510	зинақорлық
adulthood	0.541	0.454	0.652	ересектік
advance	0.673	0.472	0.858	алдын ала
advanced	0.844	0.623	0.797	озат
advancement	0.776	0.650	0.839	ілгерілеу
advancing	0.929	0.608	0.812	ілгерілеу
advantage	0.917	0.548	0.859	артықшылығы
advantageous	0.837	0.640	0.789	тиімді
advent	0.665	0.560	0.627	келу
adventure	0.917	0.857	0.710	шытырман оқиға
adventurer	0.781	0.839	0.868	авантюрист
adventures	0.812	0.764	0.749	шытырман оқиғалар
adventurous	0.969	0.898	0.722	шытырманшыл
adversary	0.349	0.777	0.457	қарсылас
adverse	0.323	0.610	0.385	қолайсыз
adversity	0.276	0.760	0.538	қиыншылық
advertise	0.500	0.529	0.580	жарнамалау
advertisement	0.600	0.566	0.539	жарнама
advertising	0.622	0.608	0.632	жарнама
adverts	0.551	0.500	0.595	жарнамалар
advice	0.698	0.408	0.688	кеңес
advisable	0.867	0.480	0.510	орынды
advise	0.760	0.393	0.705	кеңес беру
advised	0.823	0.330	0.509	кеңес берді
advisement	0.698	0.235	0.655	кеңес беру
adviser	0.745	0.362	0.705	кеңесші
advisor	0.646	0.350	0.689	кеңесші
advisory	0.656	0.429	0.633	кеңес беру
advocacy	0.500	0.646	0.731	қорғау
advocate	0.551	0.530	0.818	қорғаушы
aegis	0.490	0.439	0.462	aegis
aeration	0.550	0.500	0.433	аэрация
aerial	0.615	0.461	0.463	әуе
aerobics	0.708	0.771	0.627	аэробика
aerodrome	0.541	0.740	0.678	аэродром
aerodynamic	0.561	0.724	0.728	аэродинамикалық
aerodynamics	0.590	0.663	0.722	аэродинамика
aeronautics	0.551	0.633	0.688	аэронавтика
aeroplane	0.714	0.642	0.644	ұшақ
aerospace	0.643	0.520	0.779	аэроғарыш
aesthetic	0.708	0.442	0.526	эстетикалық
aesthetics	0.847	0.327	0.549	эстетика
aetiology	0.480	0.398	0.615	этиологиясы
afar	0.396	0.373	0.358	алыс
affable	0.704	0.380	0.452	мейірімді
affair	0.520	0.459	0.657	іс
affect	0.458	0.569	0.578	әсер ету
affecting	0.350	0.574	0.394	әсер етуші
affection	0.898	0.559	0.696	сүйіспеншілік
affectionate	0.949	0.422	0.550	мейірімді
affections	0.760	0.547	0.655	сүйіспеншіліктер
affiche	0.479	0.265	0.402	афише
affidavit	0.469	0.584	0.526	анықтама
affiliated	0.673	0.519	0.535	еншілес
affiliation	0.615	0.594	0.500	қатыстылық
affinity	0.800	0.500	0.537	жақындық
affirm	0.745	0.509	0.731	бекіту
affirmation	0.750	0.500	0.689	растау
affirmative	0.854	0.589	0.816	растайтын
affirmatively	0.908	0.500	0.811	растау
affix	0.438	0.335	0.411	аффикс
afflict	0.302	0.555	0.293	қинау
afflicted	0.271	0.500	0.167	зардап шеккен
affliction	0.294	0.635	0.392	қасірет
affluence	0.663	0.618	0.722	молшылық
affluent	0.756	0.388	0.477	бай
afford	0.571	0.580	0.575	мүмкіндік береді
affordable	0.840	0.398	0.493	қолжетімді
affront	0.327	0.740	0.547	қорлау
affronted	0.385	0.750	0.527	ренжіткен
afield	0.594	0.370	0.373	алыс
afire	0.367	0.904	0.675	жану
afloat	0.602	0.427	0.444	жүзу
afore	0.500	0.337	0.382	бұрын
aforementioned	0.490	0.316	0.408	жоғарыда аталған
aforesaid	0.531	0.358	0.478	жоғарыда айтылған
afraid	0.010	0.775	0.245	қорқады
afresh	0.643	0.521	0.480	қайтадан
aft	0.480	0.417	0.518	артқы
afterlife	0.571	0.567	0.568	кейінгі өмір
aftermath	0.312	0.449	0.444	кейін
afternoon	0.533	0.388	0.339	түстен кейін
aftershave	0.406	0.384	0.415	қырынудан кейін
aftertaste	0.354	0.362	0.455	кейінгі дәм
afterthought	0.396	0.392	0.349	кейінгі ой
aga	0.542	0.327	0.398	аға
agape	0.612	0.529	0.464	агапе
agate	0.540	0.377	0.483	агат
age	0.561	0.226	0.498	жасы
aged	0.135	0.365	0.236	қартайған
agency	0.460	0.296	0.583	агенттік
agenda	0.531	0.296	0.553	күн тәртібі
agent	0.480	0.439	0.755	агент
agglomeration	0.450	0.765	0.509	агломерация
aggravate	0.224	0.770	0.464	ауырлату
aggravated	0.079	0.760	0.430	ауырлатылған
aggravates	0.108	0.778	0.357	ауырлатады
aggravating	0.257	0.794	0.640	ауырлататын
aggravation	0.071	0.784	0.613	шиеленісуі
aggregate	0.730	0.378	0.556	жиынтық
aggregation	0.583	0.517	0.694	жинақтау
aggresive	0.059	0.971	0.639	агрессивті
aggression	0.094	0.929	0.533	агрессия
aggressive	0.125	0.949	0.648	агрессивті
aggressively	0.250	0.926	0.688	агрессивті түрде
aggressiveness	0.077	0.913	0.648	агрессивтілік
aggressor	0.146	0.948	0.823	агрессор
agh	0.260	0.500	0.400	аһ
aghast	0.133	0.865	0.464	ашулы
aghhh	0.281	0.635	0.243	аххх
agile	0.800	0.657	0.775	епті
agility	0.720	0.702	0.815	ептілік
aging	0.214	0.255	0.284	қартаю
agitate	0.300	0.796	0.593	қозғау
agitated	0.444	0.882	0.491	толқыған
agitation	0.240	0.931	0.447	толқу
aglow	0.780	0.510	0.797	жану
agnostic	0.306	0.396	0.574	агностикалық
ago	0.317	0.280	0.404	бұрын
agonizing	0.083	0.800	0.340	азапты
agony	0.083	0.775	0.393	азап
agoraphobia	0.127	0.712	0.438	агорафобия
agree	0.906	0.260	0.545	келісемін
agreeable	0.906	0.500	0.696	қолайлы
agreed	0.797	0.449	0.574	келісті
agreeing	0.854	0.480	0.557	келісу
agreement	0.760	0.440	0.736	келісім
agressive	0.083	0.918	0.751	агрессивті
agricultural	0.686	0.321	0.473	ауыл шаруашылығы
agriculture	0.640	0.357	0.465	ауыл шаруашылығы
aground	0.333	0.340	0.445	құрғау
agua	0.598	0.180	0.436	агуа
ahead	0.708	0.520	0.673	алда
ahhh	0.562	0.517	0.241	ахх
ahhhhhhhh	0.552	0.649	0.288	ахххххх
ahoy	0.500	0.497	0.380	ой
aid	0.796	0.491	0.541	көмек
aide	0.724	0.342	0.434	көмекшісі
aiding	0.643	0.533	0.569	көмектесу
aids	0.561	0.480	0.500	көмекші құралдар
ail	0.375	0.434	0.385	ауыл
ailing	0.094	0.518	0.153	ауру
ailment	0.146	0.734	0.277	ауру
aim	0.481	0.569	0.567	мақсат
aimless	0.150	0.267	0.183	мақсатсыз
air	0.708	0.163	0.427	ауа
airbag	0.510	0.402	0.433	қауіпсіздік жастығы
airborne	0.542	0.519	0.385	әуеде
aircraft	0.646	0.644	0.691	ұшақ
aircraft carrier	0.490	0.740	0.727	ұшақ тасығыш
airfield	0.601	0.650	0.645	аэродром
airhead	0.271	0.481	0.276	ауа басы
airlift	0.573	0.622	0.642	әуе тасымалы
airline	0.650	0.482	0.688	әуе компаниясы
airliner	0.667	0.777	0.647	лайнер
airlock	0.398	0.520	0.447	ауа құлпы
airman	0.587	0.716	0.721	әуе қызметкері
airplane	0.719	0.702	0.708	ұшақ
airport	0.729	0.684	0.682	әуежай
airs	0.583	0.196	0.370	ауада
airship	0.542	0.472	0.529	дирижабль
airspace	0.562	0.510	0.640	әуе кеңістігі
airspeed	0.583	0.780	0.544	әуе жылдамдығы
airstrip	0.550	0.690	0.649	әуе жолағы
airtight	0.479	0.381	0.570	ауа өткізбейтін
airway	0.638	0.585	0.482	тыныс алу жолы
aisle	0.438	0.222	0.283	қатар
ait	0.385	0.390	0.402	айт
ajar	0.460	0.413	0.446	жар
aka	0.459	0.358	0.351	ака
akin	0.639	0.343	0.523	туыстас
alabaster	0.542	0.404	0.445	алебастр
alarm	0.241	0.882	0.698	дабыл
alarm clock	0.542	0.727	0.642	оятқыш
alarmed	0.188	0.822	0.492	дабыл
alarming	0.204	0.890	0.585	алаңдатарлық
alas	0.571	0.310	0.279	өкінішке орай
alb	0.521	0.380	0.427	альб
albatross	0.500	0.445	0.527	альбатрос
albino	0.500	0.240	0.358	альбинос
album	0.635	0.349	0.453	альбом
alchemy	0.541	0.583	0.693	алхимия
alcohol	0.323	0.667	0.377	алкоголь
alcoholic	0.153	0.688	0.361	алкогольдік
alcoholism	0.061	0.779	0.407	алкоголизм
alcove	0.490	0.340	0.356	ойық
alderman	0.550	0.459	0.691	алдермен
ale	0.530	0.450	0.358	але
alert	0.479	0.820	0.648	ескерту
alertness	0.375	0.875	0.750	сергектік
alerts	0.337	0.804	0.673	ескертулер
alfalfa	0.546	0.250	0.311	жоңышқа
algebra	0.440	0.340	0.565	алгебра
algebraic	0.531	0.412	0.441	алгебралық
algorithm	0.448	0.394	0.559	алгоритм
alias	0.541	0.353	0.333	бүркеншік ат
alibi	0.396	0.528	0.556	әліби
alien	0.410	0.615	0.491	бөтен
alienate	0.247	0.500	0.523	иеліктен шығару
alienated	0.410	0.423	0.559	иеліктен шығарылған
alienation	0.378	0.530	0.462	иеліктен шығару
alight	0.667	0.657	0.605	жану
align	0.656	0.364	0.627	туралау
aligned	0.583	0.275	0.553	тураланған
alignment	0.643	0.412	0.683	туралау
alike	0.653	0.173	0.444	ұқсас
alimentation	0.781	0.551	0.602	тамақтану
alimony	0.612	0.477	0.464	алимент
aliquot	0.440	0.310	0.404	аликвот
alive	0.816	0.637	0.731	тірі
alkali	0.490	0.350	0.408	сілті
alkaloids	0.433	0.562	0.402	алкалоидтар
allay	0.417	0.406	0.398	жеңілдету
allegation	0.578	0.578	0.608	айыптау
allege	0.418	0.482	0.587	айыптау
alleged	0.365	0.522	0.520	болжалды
allegiance	0.917	0.398	0.750	адалдық
allegorical	0.517	0.558	0.598	аллегориялық
allegory	0.615	0.580	0.509	аллегория
allegro	0.635	0.627	0.453	аллегро
allergic	0.135	0.549	0.273	аллергиялық
allergy	0.296	0.606	0.389	аллергия
alleviate	0.869	0.270	0.528	жеңілдету
alleviation	0.735	0.200	0.491	жеңілдету
alley	0.347	0.500	0.355	аллея
alleyway	0.357	0.471	0.382	аллея
alliance	0.696	0.473	0.769	одақ
allied	0.714	0.245	0.642	одақтас
alligator	0.354	0.704	0.645	аллигатор
allocate	0.673	0.462	0.672	бөлу
allocation	0.604	0.388	0.679	бөлу
allot	0.622	0.481	0.616	бөлу
allotment	0.600	0.390	0.640	бөлу
allow	0.698	0.429	0.538	рұқсат ету
allowable	0.698	0.500	0.561	рұқсат етілген
allowance	0.673	0.382	0.591	жәрдемақы
allowed	0.730	0.360	0.655	рұқсат
alloy	0.583	0.443	0.593	қорытпа
allsmiles	0.786	0.528	0.430	күлді
allure	0.804	0.585	0.686	тартымдылық
alluring	0.837	0.745	0.843	тартымды
allusion	0.440	0.308	0.462	тұспал
alluvial	0.323	0.490	0.491	аллювиальды
ally	0.792	0.320	0.688	одақтас
almanac	0.688	0.190	0.412	альманах
almighty	0.938	0.874	0.958	құдіретті
almond	0.698	0.183	0.314	Бадам
aloft	0.771	0.373	0.700	биікте
aloha	0.698	0.440	0.441	сәлем
alone	0.333	0.167	0.216	жалғыз
alongside	0.458	0.333	0.347	қатар
aloof	0.189	0.423	0.302	алыс
aloud	0.458	0.713	0.750	дауыстап
alpha	0.708	0.340	0.755	альфа
alphabet	0.562	0.204	0.672	алфавит
alphabetical	0.537	0.296	0.535	алфавиттік
alpine	0.594	0.337	0.474	альпі
alreadyyyyy	0.592	0.717	0.351	уже жжж
altar	0.724	0.387	0.635	құрбандық үстелі
altar boy	0.434	0.206	0.350	құрбандық шалатын бала
alter	0.333	0.694	0.654	өзгерту
alteration	0.167	0.798	0.609	өзгерту
altercation	0.170	0.806	0.500	жанжал
altered	0.255	0.765	0.500	өзгертілген
alternate	0.625	0.363	0.589	балама
alternating	0.480	0.494	0.542	кезектесіп
alternative	0.628	0.373	0.631	балама
altimeter	0.615	0.510	0.580	биіктік өлшегіш
altitude	0.708	0.482	0.736	биіктік
alto	0.656	0.404	0.730	альт
altogether	0.833	0.324	0.644	толығымен
aluminum	0.449	0.280	0.434	алюминий
alumnus	0.633	0.368	0.422	түлегі
alveolar	0.469	0.481	0.367	альвеолярлы
alzheimers	0.194	0.518	0.319	альцгеймер ауруы
amalgam	0.438	0.333	0.510	амальгама
amalgamation	0.406	0.470	0.531	біріктіру
amaretto	0.543	0.551	0.375	амаретто
amass	0.552	0.465	0.465	жинақтау
amateur	0.469	0.500	0.409	әуесқой
amaze	0.896	0.843	0.783	таң қалдыру
amazed	0.796	0.779	0.533	таң қалды
amazedness	0.827	0.872	0.510	таң қалу
amazement	0.750	0.800	0.639	таң қалу
amazing	0.906	0.837	0.849	таңқаларлық
amazingly	0.918	0.765	0.920	таңқаларлық
ambassador	0.651	0.529	0.917	елші
amber	0.635	0.308	0.369	кәріптас
ambience	0.735	0.356	0.426	атмосфера
ambient	0.625	0.360	0.582	қоршаған орта
ambiguity	0.164	0.460	0.370	екіұштылық
ambiguous	0.265	0.462	0.358	анық емес
ambit	0.479	0.380	0.386	амбит
ambition	0.510	0.804	0.661	амбиция
ambitious	0.484	0.821	0.717	амбициялы
ambivalent	0.510	0.404	0.482	екіжақты
ambrosia	0.571	0.452	0.480	амброзия
ambulance	0.500	0.750	0.609	жедел жәрдем
ambush	0.281	0.830	0.500	буксирлеу
ameliorate	0.770	0.548	0.747	жақсарту
amen	0.781	0.182	0.542	аумин
amenable	0.448	0.410	0.406	қолайлы
amend	0.688	0.406	0.658	түзету
amendment	0.531	0.459	0.606	түзету
amends	0.640	0.366	0.517	түзетеді
amenity	0.750	0.327	0.574	қолайлылық
amethyst	0.622	0.406	0.517	аметист
amiable	0.847	0.290	0.483	мейірімді
amicable	0.875	0.330	0.507	тату
amid	0.510	0.340	0.256	ортасында
amidst	0.480	0.330	0.316	арасында
amino	0.551	0.402	0.433	амин
ammo	0.323	0.765	0.621	оқ-дәрі
ammonia	0.292	0.587	0.409	аммиак
ammonium	0.354	0.396	0.368	аммоний
ammunition	0.338	0.635	0.667	оқ-дәрі
amnesia	0.296	0.330	0.308	амнезия
amnesty	0.551	0.451	0.814	амнистия
amorous	0.844	0.670	0.636	ғашық
amorphous	0.327	0.402	0.349	аморфты
amortization	0.592	0.491	0.522	амортизация
amount	0.562	0.422	0.649	сомасы
amour	0.865	0.480	0.652	құмарлық
amp	0.439	0.393	0.375	амп
ampersand	0.480	0.448	0.483	амперсанд
amphetamines	0.133	0.667	0.526	амфетаминдер
amphibian	0.427	0.357	0.474	қосмекенді
amphibious	0.479	0.346	0.445	амфибия
amphitheater	0.653	0.480	0.545	амфитеатр
ample	0.744	0.349	0.719	мол
amplification	0.690	0.677	0.810	күшейту
amplify	0.677	0.735	0.827	күшейту
amplitude	0.694	0.439	0.692	амплитудасы
amply	0.781	0.431	0.766	көп
amputate	0.092	0.660	0.509	ампутация
amputation	0.100	0.755	0.483	ампутация
amuck	0.385	0.602	0.321	құмар
amulet	0.781	0.260	0.630	амулет
amuse	0.812	0.684	0.664	көңіл көтеру
amused	0.942	0.847	0.596	көңілді
amusement	0.929	0.837	0.803	ойын-сауық
amusing	0.960	0.829	0.632	қызық
ana	0.541	0.300	0.314	ана
anaconda	0.146	0.830	0.540	анаконда
anaesthesia	0.350	0.217	0.473	анестезия
anaesthetic	0.449	0.268	0.509	анестетик
anagram	0.552	0.327	0.449	анаграмма
anal	0.333	0.798	0.334	анал
analgesic	0.417	0.321	0.441	анальгетик
analogous	0.531	0.270	0.500	ұқсас
analogue	0.570	0.320	0.446	аналогы
analogy	0.510	0.367	0.509	ұқсастық
analysis	0.729	0.448	0.705	талдау
