English Word	Valence	Arousal	Dominance	Macedonian Word
accolade	0.688	0.591	0.775	признание
accommodate	0.844	0.375	0.566	сместат
accommodation	0.817	0.415	0.587	сместување
accompaniment	0.740	0.479	0.695	придружба
accompany	0.833	0.406	0.585	придружува
accompanying	0.787	0.460	0.582	придружува
accomplice	0.408	0.580	0.510	соучесник
accomplish	0.929	0.673	0.816	постигне
accomplished	0.870	0.520	0.798	остварен
accomplishment	0.917	0.694	0.888	достигнување
accord	0.898	0.264	0.382	согласност
accordance	0.659	0.349	0.600	согласност
accordion	0.604	0.490	0.361	хармоника
account	0.531	0.347	0.472	сметка
accountability	0.755	0.537	0.833	отчетност
accountable	0.709	0.282	0.777	одговорен
accountant	0.625	0.450	0.639	сметководител
accounting	0.552	0.390	0.677	сметководство
accounts	0.592	0.340	0.471	сметки
accredited	0.669	0.479	0.768	акредитирани
accretion	0.448	0.519	0.672	акреција
accrue	0.520	0.481	0.602	се акумулира
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	се акумулира
accumulation	0.479	0.527	0.600	акумулација
accuracy	0.604	0.481	0.802	точност
accurate	0.743	0.360	0.737	точен
accursed	0.135	0.745	0.345	проколнат
accusation	0.073	0.718	0.564	обвинение
accusative	0.198	0.755	0.482	акузатив
accuse	0.133	0.752	0.500	обвинуваат
accused	0.130	0.670	0.420	обвинет
accuser	0.122	0.779	0.615	обвинувач
accusing	0.156	0.745	0.324	обвинувајќи
accustomed	0.542	0.365	0.441	навикнати
ace	0.643	0.481	0.546	кец на десетка
acetic	0.333	0.420	0.519	оцетна
acetylene	0.306	0.469	0.509	ацетилен
ache	0.146	0.760	0.312	болка
achieve	0.816	0.545	0.843	постигне
achieved	0.896	0.519	0.775	постигне
achievement	0.896	0.808	0.759	достигнување
aching	0.053	0.880	0.348	болен
achy	0.167	0.840	0.373	болен
acid	0.265	0.642	0.566	киселина
acidity	0.156	0.663	0.360	киселост
acknowledge	0.786	0.370	0.661	признаваат
acknowledged	0.714	0.443	0.765	призна
acknowledgement	0.819	0.539	0.830	признание
acknowledgment	0.796	0.528	0.777	признание
acme	0.408	0.435	0.375	акме
acne	0.167	0.474	0.308	акни
acorn	0.448	0.198	0.192	желад
acoustic	0.542	0.462	0.536	акустична
acoustics	0.611	0.330	0.509	акустика
acquaint	0.646	0.491	0.639	запознавам
acquaintance	0.656	0.290	0.670	запознавање
acquainted	0.906	0.358	0.632	запознаени
acquiescence	0.542	0.480	0.554	прифаќање
acquire	0.833	0.468	0.700	стекнуваат
acquiring	0.735	0.510	0.817	стекнување
acquisition	0.698	0.509	0.736	стекнување
acquisitions	0.773	0.660	0.790	аквизиции
acquit	0.583	0.571	0.611	ослободителна
acquittal	0.760	0.497	0.700	ослободителна пресуда
acre	0.583	0.387	0.423	акри
acreage	0.741	0.450	0.528	површина
acres	0.510	0.363	0.500	хектари
acrobat	0.708	0.828	0.602	акробат
acrylic	0.582	0.279	0.420	акрилик
act	0.656	0.704	0.735	дејствуваат
acting	0.698	0.643	0.500	глума
action	0.760	0.898	0.802	акција
action figure	0.615	0.774	0.611	акциона фигура
actionable	0.673	0.702	0.613	активна
activate	0.764	0.650	0.806	активирај
activation	0.781	0.800	0.754	активирање
active	0.847	0.730	0.731	активни
activist	0.531	0.653	0.877	активист
activity	0.701	0.660	0.807	активност
actor	0.653	0.561	0.629	актер
actress	0.633	0.556	0.596	актерка
actual	0.729	0.400	0.716	вистински
actuality	0.750	0.464	0.600	актуелност
actuary	0.510	0.404	0.491	актуар
acuity	0.469	0.378	0.741	острина
acumen	0.564	0.660	0.679	остроумност
acupuncture	0.531	0.324	0.549	акупунктура
acute	0.427	0.652	0.534	акутен
acutely	0.417	0.543	0.491	акутно
ad	0.521	0.705	0.558	реклама
adage	0.517	0.415	0.566	поговорка
adamant	0.344	0.529	0.575	непопустлив
adapt	0.740	0.355	0.551	приспособат
adaptable	0.735	0.423	0.641	прилагодливи
adaptation	0.663	0.365	0.609	адаптација
add	0.728	0.490	0.554	додадете
added	0.562	0.405	0.509	додадена
addendum	0.392	0.370	0.418	додаток
adder	0.388	0.461	0.588	собирач
addict	0.075	0.696	0.327	зависник
addicted	0.156	0.712	0.483	зависник
addiction	0.180	0.806	0.420	зависност
addictive	0.302	0.683	0.472	предизвикува зависност
addition	0.562	0.373	0.471	додавање
additional	0.673	0.462	0.526	дополнителни
additive	0.561	0.633	0.691	адитив
address	0.650	0.327	0.567	адреса
addressee	0.622	0.382	0.538	адресат
addresses	0.510	0.354	0.450	адреси
adept	0.594	0.539	0.789	умешен
adequacy	0.615	0.435	0.702	адекватност
adequate	0.854	0.264	0.705	адекватен
adhere	0.633	0.339	0.554	се придржуваат
adherence	0.760	0.307	0.630	придржување
adherent	0.561	0.385	0.555	приврзаник
adhering	0.612	0.561	0.537	придржувајќи се
adhesion	0.521	0.445	0.586	адхезија
adhesive	0.604	0.350	0.413	лепило
adieu	0.250	0.471	0.342	здраво
adipose	0.333	0.350	0.391	масни
adjacency	0.365	0.417	0.375	соседството
adjacent	0.645	0.276	0.536	соседните
adjective	0.570	0.316	0.569	придавка
adjoining	0.520	0.400	0.393	соседните
adjourn	0.385	0.456	0.475	одложи
adjournment	0.438	0.510	0.370	одложување
adjudicate	0.559	0.520	0.683	пресудуваат
adjudication	0.551	0.462	0.691	пресудување
adjunct	0.459	0.440	0.426	додаток
adjust	0.647	0.327	0.638	прилагоди
adjuster	0.510	0.540	0.760	подесувач
adjustment	0.590	0.520	0.661	прилагодување
adjuvant	0.510	0.500	0.456	адјуванс
admin	0.688	0.420	0.854	админ
administer	0.635	0.425	0.860	администрираат
administration	0.625	0.404	0.786	администрација
administrative	0.542	0.415	0.579	административно
administrator	0.538	0.480	0.902	администратор
admirable	0.929	0.600	0.870	восхитувачки
admiral	0.844	0.490	0.847	адмирал
admiralty	0.594	0.547	0.733	адмиралитет
admiration	0.969	0.583	0.726	восхит
admire	0.867	0.692	0.704	се восхитуваат
admired	0.917	0.560	0.815	се восхитуваа
admirer	0.796	0.720	0.650	обожавател
admiring	0.867	0.578	0.629	восхитувајќи се
admissibility	0.802	0.580	0.602	прифатливост
admissible	0.780	0.528	0.642	допуштена
admission	0.802	0.415	0.732	прием
admit	0.538	0.423	0.667	признаат
admittance	0.690	0.451	0.598	прием
admitted	0.720	0.490	0.767	призна
admitting	0.620	0.500	0.546	признавајќи
admixture	0.450	0.375	0.438	примеси
admonition	0.357	0.606	0.455	опомена
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	кирпич
adolescence	0.487	0.694	0.444	адолесценција
adolescent	0.781	0.680	0.509	адолесцент
adopt	0.694	0.612	0.701	усвои
adoption	0.625	0.566	0.589	посвојување
adoptive	0.531	0.469	0.520	посвоител
adorable	0.969	0.519	0.457	симпатична
adoration	0.885	0.699	0.708	обожување
adore	0.854	0.438	0.657	обожаваат
adoring	0.885	0.620	0.717	обожување
adorn	0.910	0.424	0.482	украсуваат
adornment	0.918	0.373	0.377	украсување
adrenalin	0.865	0.920	0.786	адреналин
adrenaline	0.765	0.965	0.825	адреналин
adrift	0.398	0.486	0.230	летање
adult	0.815	0.491	0.787	возрасен
adulterated	0.188	0.865	0.370	фалсификувани
adulterer	0.229	0.814	0.407	прељубник
adultery	0.120	0.922	0.510	прељуба
adulthood	0.541	0.454	0.652	зрелоста
advance	0.673	0.472	0.858	однапред
advanced	0.844	0.623	0.797	напредни
advancement	0.776	0.650	0.839	напредување
advancing	0.929	0.608	0.812	напредување
advantage	0.917	0.548	0.859	предност
advantageous	0.837	0.640	0.789	поволни
advent	0.665	0.560	0.627	доаѓањето
adventure	0.917	0.857	0.710	авантура
adventurer	0.781	0.839	0.868	авантурист
adventures	0.812	0.764	0.749	авантури
adventurous	0.969	0.898	0.722	авантуристички
adversary	0.349	0.777	0.457	противник
adverse	0.323	0.610	0.385	неповолни
adversity	0.276	0.760	0.538	неволја
advertise	0.500	0.529	0.580	рекламираат
advertisement	0.600	0.566	0.539	реклама
advertising	0.622	0.608	0.632	рекламирање
adverts	0.551	0.500	0.595	огласи
advice	0.698	0.408	0.688	совети
advisable	0.867	0.480	0.510	препорачливо
advise	0.760	0.393	0.705	советува
advised	0.823	0.330	0.509	советуваше
advisement	0.698	0.235	0.655	советување
adviser	0.745	0.362	0.705	советник
advisor	0.646	0.350	0.689	советник
advisory	0.656	0.429	0.633	советодавна
advocacy	0.500	0.646	0.731	застапување
advocate	0.551	0.530	0.818	застапник
aegis	0.490	0.439	0.462	егис
aeration	0.550	0.500	0.433	аерација
aerial	0.615	0.461	0.463	воздушни
aerobics	0.708	0.771	0.627	аеробик
aerodrome	0.541	0.740	0.678	аеродром
aerodynamic	0.561	0.724	0.728	аеродинамичен
aerodynamics	0.590	0.663	0.722	аеродинамиката
aeronautics	0.551	0.633	0.688	аеронаутика
aeroplane	0.714	0.642	0.644	авион
aerospace	0.643	0.520	0.779	воздушната
aesthetic	0.708	0.442	0.526	естетски
aesthetics	0.847	0.327	0.549	естетика
aetiology	0.480	0.398	0.615	етиологија
afar	0.396	0.373	0.358	далеку
affable	0.704	0.380	0.452	приврзан
affair	0.520	0.459	0.657	афера
affect	0.458	0.569	0.578	влијае
affecting	0.350	0.574	0.394	кои влијаат
affection	0.898	0.559	0.696	наклонетост
affectionate	0.949	0.422	0.550	приврзан
affections	0.760	0.547	0.655	наклонетоста
affiche	0.479	0.265	0.402	афише
affidavit	0.469	0.584	0.526	заклетва
affiliated	0.673	0.519	0.535	поврзани
affiliation	0.615	0.594	0.500	припадност
affinity	0.800	0.500	0.537	афинитет
affirm	0.745	0.509	0.731	потврди
affirmation	0.750	0.500	0.689	афирмација
affirmative	0.854	0.589	0.816	афирмативен
affirmatively	0.908	0.500	0.811	афирмативно
affix	0.438	0.335	0.411	прикачи
afflict	0.302	0.555	0.293	измачуваат
afflicted	0.271	0.500	0.167	заболени
affliction	0.294	0.635	0.392	мака
affluence	0.663	0.618	0.722	изобилство
affluent	0.756	0.388	0.477	богат
afford	0.571	0.580	0.575	да си дозволат
affordable	0.840	0.398	0.493	прифатлива
affront	0.327	0.740	0.547	навреда
affronted	0.385	0.750	0.527	навреден
afield	0.594	0.370	0.373	подалеку
afire	0.367	0.904	0.675	пожар
afloat	0.602	0.427	0.444	плови
afore	0.500	0.337	0.382	претходно
aforementioned	0.490	0.316	0.408	гореспоменатото
aforesaid	0.531	0.358	0.478	горенаведеното
afraid	0.010	0.775	0.245	се плаши
afresh	0.643	0.521	0.480	одново
aft	0.480	0.417	0.518	задната страна
afterlife	0.571	0.567	0.568	задгробниот живот
aftermath	0.312	0.449	0.444	последователни последици
afternoon	0.533	0.388	0.339	попладне
aftershave	0.406	0.384	0.415	после бричење
aftertaste	0.354	0.362	0.455	послевкус
afterthought	0.396	0.392	0.349	последователно размислување
aga	0.542	0.327	0.398	ага
agape	0.612	0.529	0.464	агапе
agate	0.540	0.377	0.483	агат
age	0.561	0.226	0.498	возраста
aged	0.135	0.365	0.236	старее
agency	0.460	0.296	0.583	агенција
agenda	0.531	0.296	0.553	агенда
agent	0.480	0.439	0.755	агент
agglomeration	0.450	0.765	0.509	агломерација
aggravate	0.224	0.770	0.464	влошуваат
aggravated	0.079	0.760	0.430	влошена
aggravates	0.108	0.778	0.357	влошува
aggravating	0.257	0.794	0.640	отежнувачки
aggravation	0.071	0.784	0.613	влошување
aggregate	0.730	0.378	0.556	агрегат
aggregation	0.583	0.517	0.694	агрегација
aggresive	0.059	0.971	0.639	агресивен
aggression	0.094	0.929	0.533	агресија
aggressive	0.125	0.949	0.648	агресивен
aggressively	0.250	0.926	0.688	агресивно
aggressiveness	0.077	0.913	0.648	агресивност
aggressor	0.146	0.948	0.823	агресор
agh	0.260	0.500	0.400	аг
aghast	0.133	0.865	0.464	вознемирен
aghhh	0.281	0.635	0.243	аххх
agile	0.800	0.657	0.775	агилен
agility	0.720	0.702	0.815	агилност
aging	0.214	0.255	0.284	стареење
agitate	0.300	0.796	0.593	агитираат
agitated	0.444	0.882	0.491	вознемирени
agitation	0.240	0.931	0.447	агитација
aglow	0.780	0.510	0.797	светат
agnostic	0.306	0.396	0.574	агностик
ago	0.317	0.280	0.404	пред
agonizing	0.083	0.800	0.340	мачно
agony	0.083	0.775	0.393	агонија
agoraphobia	0.127	0.712	0.438	агорафобија
agree	0.906	0.260	0.545	се согласувам
agreeable	0.906	0.500	0.696	согласна
agreed	0.797	0.449	0.574	се согласи
agreeing	0.854	0.480	0.557	согласувајќи се
agreement	0.760	0.440	0.736	договор
agressive	0.083	0.918	0.751	агресивен
agricultural	0.686	0.321	0.473	земјоделски
agriculture	0.640	0.357	0.465	земјоделството
aground	0.333	0.340	0.445	приземјен
agua	0.598	0.180	0.436	агуа
ahead	0.708	0.520	0.673	напред
ahhh	0.562	0.517	0.241	аххх
ahhhhhhhh	0.552	0.649	0.288	аххххххх
ahoy	0.500	0.497	0.380	ахој
aid	0.796	0.491	0.541	помош
aide	0.724	0.342	0.434	помошник
aiding	0.643	0.533	0.569	помагање
aids	0.561	0.480	0.500	помагала
ail	0.375	0.434	0.385	болест
ailing	0.094	0.518	0.153	болен
ailment	0.146	0.734	0.277	болест
aim	0.481	0.569	0.567	цел
aimless	0.150	0.267	0.183	бесцелно
air	0.708	0.163	0.427	воздухот
airbag	0.510	0.402	0.433	воздушно перниче
airborne	0.542	0.519	0.385	воздушен
aircraft	0.646	0.644	0.691	авиони
aircraft carrier	0.490	0.740	0.727	носач на авиони
airfield	0.601	0.650	0.645	аеродром
airhead	0.271	0.481	0.276	воздушна глава
airlift	0.573	0.622	0.642	воздушен лифт
airline	0.650	0.482	0.688	авиокомпанија
airliner	0.667	0.777	0.647	патнички авион
airlock	0.398	0.520	0.447	воздушно заклучување
airman	0.587	0.716	0.721	воздухопловец
airplane	0.719	0.702	0.708	авион
airport	0.729	0.684	0.682	аеродром
airs	0.583	0.196	0.370	проветрува
airship	0.542	0.472	0.529	воздушен брод
airspace	0.562	0.510	0.640	воздушниот простор
airspeed	0.583	0.780	0.544	воздушна брзина
airstrip	0.550	0.690	0.649	авионска писта
airtight	0.479	0.381	0.570	херметички
airway	0.638	0.585	0.482	дишните патишта
aisle	0.438	0.222	0.283	патека
ait	0.385	0.390	0.402	аит
ajar	0.460	0.413	0.446	подотворена
aka	0.459	0.358	0.351	ака
akin	0.639	0.343	0.523	слично
alabaster	0.542	0.404	0.445	алабастер
alarm	0.241	0.882	0.698	аларм
alarm clock	0.542	0.727	0.642	аларм
alarmed	0.188	0.822	0.492	вознемирен
alarming	0.204	0.890	0.585	алармантна
alas	0.571	0.310	0.279	за жал
alb	0.521	0.380	0.427	алб
albatross	0.500	0.445	0.527	албатрос
albino	0.500	0.240	0.358	албино
album	0.635	0.349	0.453	албум
alchemy	0.541	0.583	0.693	алхемија
alcohol	0.323	0.667	0.377	алкохол
alcoholic	0.153	0.688	0.361	алкохоличар
alcoholism	0.061	0.779	0.407	алкохолизам
alcove	0.490	0.340	0.356	беседка
alderman	0.550	0.459	0.691	старешина
ale	0.530	0.450	0.358	пилешко
alert	0.479	0.820	0.648	алармирање
alertness	0.375	0.875	0.750	будност
alerts	0.337	0.804	0.673	предупредувања
alfalfa	0.546	0.250	0.311	луцерка
algebra	0.440	0.340	0.565	алгебра
algebraic	0.531	0.412	0.441	алгебарски
algorithm	0.448	0.394	0.559	алгоритам
alias	0.541	0.353	0.333	алијас
alibi	0.396	0.528	0.556	алиби
alien	0.410	0.615	0.491	вонземјанин
alienate	0.247	0.500	0.523	отуѓуваат
alienated	0.410	0.423	0.559	отуѓени
alienation	0.378	0.530	0.462	отуѓување
alight	0.667	0.657	0.605	запален
align	0.656	0.364	0.627	порамни
aligned	0.583	0.275	0.553	подредени
alignment	0.643	0.412	0.683	усогласување
alike	0.653	0.173	0.444	слично
alimentation	0.781	0.551	0.602	исхрана
alimony	0.612	0.477	0.464	алиментација
aliquot	0.440	0.310	0.404	аликвот
alive	0.816	0.637	0.731	жив
alkali	0.490	0.350	0.408	алкали
alkaloids	0.433	0.562	0.402	алкалоиди
allay	0.417	0.406	0.398	смири
allegation	0.578	0.578	0.608	наводот
allege	0.418	0.482	0.587	обвинуваат
alleged	0.365	0.522	0.520	наводен
allegiance	0.917	0.398	0.750	верност
allegorical	0.517	0.558	0.598	алегориски
allegory	0.615	0.580	0.509	алегорија
allegro	0.635	0.627	0.453	алегро
allergic	0.135	0.549	0.273	алергиски
allergy	0.296	0.606	0.389	алергија
alleviate	0.869	0.270	0.528	ублажуваат
alleviation	0.735	0.200	0.491	ублажување
alley	0.347	0.500	0.355	уличка
alleyway	0.357	0.471	0.382	уличка
alliance	0.696	0.473	0.769	Алијанса
allied	0.714	0.245	0.642	сојузнички
alligator	0.354	0.704	0.645	алигатор
allocate	0.673	0.462	0.672	алоцираат
allocation	0.604	0.388	0.679	распределба
allot	0.622	0.481	0.616	додели
allotment	0.600	0.390	0.640	распределба
allow	0.698	0.429	0.538	дозволи
allowable	0.698	0.500	0.561	дозволено
allowance	0.673	0.382	0.591	додаток
allowed	0.730	0.360	0.655	дозволено
alloy	0.583	0.443	0.593	легура
allsmiles	0.786	0.528	0.430	насмевки
allure	0.804	0.585	0.686	привлечност
alluring	0.837	0.745	0.843	примамлива
allusion	0.440	0.308	0.462	алузија
alluvial	0.323	0.490	0.491	алувијални
ally	0.792	0.320	0.688	сојузник
almanac	0.688	0.190	0.412	алманах
almighty	0.938	0.874	0.958	семоќен
almond	0.698	0.183	0.314	бадем
aloft	0.771	0.373	0.700	горе
aloha	0.698	0.440	0.441	алоха
alone	0.333	0.167	0.216	сам
alongside	0.458	0.333	0.347	заедно со
aloof	0.189	0.423	0.302	настрана
aloud	0.458	0.713	0.750	гласно
alpha	0.708	0.340	0.755	алфа
alphabet	0.562	0.204	0.672	азбука
alphabetical	0.537	0.296	0.535	азбучен
alpine	0.594	0.337	0.474	алпски
alreadyyyyy	0.592	0.717	0.351	веќе yyyy
altar	0.724	0.387	0.635	олтар
altar boy	0.434	0.206	0.350	олтар момче
alter	0.333	0.694	0.654	менуваат
alteration	0.167	0.798	0.609	измена
altercation	0.170	0.806	0.500	расправија
altered	0.255	0.765	0.500	изменета
alternate	0.625	0.363	0.589	наизменично
alternating	0.480	0.494	0.542	наизменично
alternative	0.628	0.373	0.631	алтернатива
altimeter	0.615	0.510	0.580	височина
altitude	0.708	0.482	0.736	надморска височина
alto	0.656	0.404	0.730	алт
altogether	0.833	0.324	0.644	во целост
aluminum	0.449	0.280	0.434	алуминиум
alumnus	0.633	0.368	0.422	алумнус
alveolar	0.469	0.481	0.367	алвеоларна
alzheimers	0.194	0.518	0.319	Алцхајмерови
amalgam	0.438	0.333	0.510	амалгам
amalgamation	0.406	0.470	0.531	соединување
amaretto	0.543	0.551	0.375	амарето
amass	0.552	0.465	0.465	собираат
amateur	0.469	0.500	0.409	аматерски
amaze	0.896	0.843	0.783	зачудува
amazed	0.796	0.779	0.533	вчудоневидени
amazedness	0.827	0.872	0.510	зачуденост
amazement	0.750	0.800	0.639	чудење
amazing	0.906	0.837	0.849	неверојатно
amazingly	0.918	0.765	0.920	неверојатно
ambassador	0.651	0.529	0.917	амбасадор
amber	0.635	0.308	0.369	килибар
ambience	0.735	0.356	0.426	амбиент
ambient	0.625	0.360	0.582	амбиентален
ambiguity	0.164	0.460	0.370	двосмисленост
ambiguous	0.265	0.462	0.358	двосмислена
ambit	0.479	0.380	0.386	амбит
ambition	0.510	0.804	0.661	амбиција
ambitious	0.484	0.821	0.717	амбициозен
ambivalent	0.510	0.404	0.482	амбивалентен
ambrosia	0.571	0.452	0.480	амброзија
ambulance	0.500	0.750	0.609	брза помош
ambush	0.281	0.830	0.500	заседа
ameliorate	0.770	0.548	0.747	подобри
amen	0.781	0.182	0.542	амин
amenable	0.448	0.410	0.406	податлив
amend	0.688	0.406	0.658	измени
amendment	0.531	0.459	0.606	амандман
amends	0.640	0.366	0.517	изменува
amenity	0.750	0.327	0.574	удобност
amethyst	0.622	0.406	0.517	аметист
amiable	0.847	0.290	0.483	љубезен
amicable	0.875	0.330	0.507	пријателски
amid	0.510	0.340	0.256	среде
amidst	0.480	0.330	0.316	среде
amino	0.551	0.402	0.433	амино
ammo	0.323	0.765	0.621	муниција
ammonia	0.292	0.587	0.409	амонијак
ammonium	0.354	0.396	0.368	амониум
ammunition	0.338	0.635	0.667	муниција
amnesia	0.296	0.330	0.308	амнезија
amnesty	0.551	0.451	0.814	амнестија
amorous	0.844	0.670	0.636	љубовен
amorphous	0.327	0.402	0.349	аморфни
amortization	0.592	0.491	0.522	амортизација
amount	0.562	0.422	0.649	износ
amour	0.865	0.480	0.652	љубов
amp	0.439	0.393	0.375	засилувач
ampersand	0.480	0.448	0.483	амперсанд
amphetamines	0.133	0.667	0.526	амфетамини
amphibian	0.427	0.357	0.474	водоземец
amphibious	0.479	0.346	0.445	амфибиски
amphitheater	0.653	0.480	0.545	амфитеатар
ample	0.744	0.349	0.719	изобилство
amplification	0.690	0.677	0.810	засилување
amplify	0.677	0.735	0.827	засилуваат
amplitude	0.694	0.439	0.692	амплитуда
amply	0.781	0.431	0.766	обилно
amputate	0.092	0.660	0.509	ампутираат
amputation	0.100	0.755	0.483	ампутација
amuck	0.385	0.602	0.321	се искачуваат
amulet	0.781	0.260	0.630	амајлија
amuse	0.812	0.684	0.664	се забавуваат
amused	0.942	0.847	0.596	се забавуваат
amusement	0.929	0.837	0.803	забава
amusing	0.960	0.829	0.632	забавен
ana	0.541	0.300	0.314	ана
anaconda	0.146	0.830	0.540	анаконда
anaesthesia	0.350	0.217	0.473	анестезија
anaesthetic	0.449	0.268	0.509	анестетик
anagram	0.552	0.327	0.449	анаграм
anal	0.333	0.798	0.334	анален
analgesic	0.417	0.321	0.441	аналгетик
analogous	0.531	0.270	0.500	аналоген
analogue	0.570	0.320	0.446	аналоген
analogy	0.510	0.367	0.509	аналогија
analysis	0.729	0.448	0.705	анализа
analyst	0.604	0.415	0.755	аналитичар
analytic	0.665	0.521	0.634	аналитички
analytical	0.625	0.324	0.800	аналитички
analyze	0.667	0.462	0.710	анализирајте
analyzer	0.625	0.556	0.854	анализатор
anaphylactic	0.378	0.588	0.500	анафилактичен
anarchism	0.125	0.804	0.623	анархизам
anarchist	0.204	0.700	0.759	анархист
anarchy	0.146	0.755	0.620	анархија
anastomosis	0.375	0.470	0.490	анастомоза
anathema	0.286	0.490	0.519	анатема
anatomic	0.562	0.442	0.546	анатомски
anatomy	0.562	0.390	0.571	анатомија
ancestor	0.592	0.388	0.594	предок
ancestral	0.640	0.481	0.750	предок
ancestry	0.708	0.519	0.717	потекло
anchor	0.520	0.284	0.564	сидро
anchorage	0.500	0.325	0.639	сидро
ancient	0.420	0.217	0.439	антички
ancillary	0.449	0.442	0.278	помошни
androgen	0.255	0.523	0.527	андрогинот
android	0.663	0.436	0.500	андроид
anecdote	0.583	0.529	0.500	анегдота
anemia	0.188	0.327	0.310	анемија
anemic	0.167	0.279	0.155	анемични
anemone	0.552	0.538	0.327	анемона
anesthesia	0.365	0.216	0.394	анестезија
