English Word	Valence	Arousal	Dominance	Hawaiian Word
abscess	0.154	0.451	0.349	abscess
absence	0.153	0.235	0.266	nele
absent	0.177	0.221	0.116	kaawale
absentee	0.235	0.330	0.279	kaawale
absenteeism	0.404	0.273	0.357	hele ʻole
absinthe	0.481	0.510	0.462	absinthe
absolute	0.526	0.510	0.827	paa loa
absolution	0.715	0.500	0.664	kala ʻana
absolve	0.684	0.449	0.660	hoʻokuʻu
absorb	0.469	0.558	0.670	e omo
absorbed	0.490	0.471	0.519	hoʻopili ʻia
absorbent	0.552	0.394	0.718	hoʻopaneʻe
absorbing	0.490	0.490	0.578	omo ana
absorption	0.609	0.422	0.446	omo ana
abstain	0.385	0.385	0.427	hoole
abstention	0.271	0.264	0.509	haʻalele
abstinence	0.260	0.392	0.429	ka hoole ana
abstract	0.438	0.292	0.444	ʻikeʻike
abstraction	0.469	0.439	0.525	kāʻili ʻana
absurd	0.188	0.656	0.284	lapuwale
absurdity	0.115	0.528	0.227	lapuwale
abundance	0.812	0.690	0.852	ka nui
abundant	0.958	0.590	0.760	nui loa
abuse	0.071	0.873	0.469	hana ino
abused	0.021	0.874	0.235	hana ʻino ʻia
abusive	0.125	0.903	0.567	hoʻomāinoino
abutment	0.500	0.265	0.616	abutment
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	abysmal
abyss	0.353	0.725	0.296	hohonu
academic	0.781	0.420	0.812	hoʻonaʻauao
academy	0.704	0.473	0.792	hale kula
accede	0.698	0.510	0.537	ʻae aku
accelerant	0.643	0.844	0.802	holo wikiwiki
accelerate	0.615	0.902	0.759	hoʻokē
accelerated	0.610	0.812	0.682	hoʻokē ʻia
acceleration	0.704	0.905	0.843	ka wikiwiki
accelerator	0.593	0.830	0.812	mea hoʻokē
accent	0.598	0.357	0.509	ka leo
accentuate	0.673	0.556	0.667	hoʻokūpaʻa
accept	0.847	0.286	0.565	e ae aku
acceptable	0.812	0.286	0.583	ʻae ʻia
acceptance	0.833	0.287	0.755	ka ʻae ʻana
acceptances	0.847	0.413	0.648	nā ʻae ʻana
access	0.714	0.472	0.567	komo
accessible	0.796	0.410	0.645	hiki ke loaa
accession	0.612	0.383	0.636	komo ʻana
accessory	0.562	0.292	0.445	mea kōkua
accident	0.125	0.908	0.336	pōʻino
accidental	0.319	0.784	0.307	pōʻino
accidentally	0.333	0.741	0.333	pohihihi
acclaim	0.562	0.809	0.718	hoʻomaikaʻi
accolade	0.688	0.591	0.775	hoʻomaikaʻi
accommodate	0.844	0.375	0.566	hoʻokipa
accommodation	0.817	0.415	0.587	hale noho
accompaniment	0.740	0.479	0.695	hoʻokani pila
accompany	0.833	0.406	0.585	hele pu
accompanying	0.787	0.460	0.582	e hele pū ana
accomplice	0.408	0.580	0.510	hoapili
accomplish	0.929	0.673	0.816	hoʻokō
accomplished	0.870	0.520	0.798	hookoia
accomplishment	0.917	0.694	0.888	hoʻokō
accord	0.898	0.264	0.382	ʻaelike
accordance	0.659	0.349	0.600	kulike
accordion	0.604	0.490	0.361	accordion
account	0.531	0.347	0.472	mooolelo
accountability	0.755	0.537	0.833	kuleana kuleana
accountable	0.709	0.282	0.777	kuleana
accountant	0.625	0.450	0.639	mea helu
accounting	0.552	0.390	0.677	helu helu
accounts	0.592	0.340	0.471	mooolelo
accredited	0.669	0.479	0.768	ʻae ʻia
accretion	0.448	0.519	0.672	hoʻonui
accrue	0.520	0.481	0.602	hoʻonui
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	hōʻiliʻili
accumulation	0.479	0.527	0.600	hōʻuluʻulu
accuracy	0.604	0.481	0.802	pololei
accurate	0.743	0.360	0.737	pololei
accursed	0.135	0.745	0.345	hōʻino ʻia
accusation	0.073	0.718	0.564	hoʻohewa
accusative	0.198	0.755	0.482	hoʻopiʻi
accuse	0.133	0.752	0.500	hoʻopiʻi
accused	0.130	0.670	0.420	hoʻopiʻi ʻia
accuser	0.122	0.779	0.615	mea hoohewa
accusing	0.156	0.745	0.324	hoʻopiʻi
accustomed	0.542	0.365	0.441	maʻa
ace	0.643	0.481	0.546	ace
acetic	0.333	0.420	0.519	acetic
acetylene	0.306	0.469	0.509	acetylene
ache	0.146	0.760	0.312	ʻeha
achieve	0.816	0.545	0.843	hoʻokō
achieved	0.896	0.519	0.775	loaa
achievement	0.896	0.808	0.759	hoʻokō
aching	0.053	0.880	0.348	ʻehaʻeha
achy	0.167	0.840	0.373	ʻeha
acid	0.265	0.642	0.566	ʻakika
acidity	0.156	0.663	0.360	ʻakika
acknowledge	0.786	0.370	0.661	e hoʻomaopopo
acknowledged	0.714	0.443	0.765	ʻae ʻia
acknowledgement	0.819	0.539	0.830	hoʻomaikaʻi
acknowledgment	0.796	0.528	0.777	hoʻomaikaʻi
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	ʻāneʻe
acorn	0.448	0.198	0.192	acorn
acoustic	0.542	0.462	0.536	leo kani
acoustics	0.611	0.330	0.509	nā mea kani
acquaint	0.646	0.491	0.639	kamaaina
acquaintance	0.656	0.290	0.670	kamaaina
acquainted	0.906	0.358	0.632	kamaaina
acquiescence	0.542	0.480	0.554	ʻae ʻae
acquire	0.833	0.468	0.700	loaa
acquiring	0.735	0.510	0.817	ka loaa ana
acquisition	0.698	0.509	0.736	loaa
acquisitions	0.773	0.660	0.790	loaʻa
acquit	0.583	0.571	0.611	hoʻokuʻu aku
acquittal	0.760	0.497	0.700	hoʻokuʻu ʻia
acre	0.583	0.387	0.423	eka
acreage	0.741	0.450	0.528	ʻeka
acres	0.510	0.363	0.500	eka
acrobat	0.708	0.828	0.602	acrobat
acrylic	0.582	0.279	0.420	acrylic
act	0.656	0.704	0.735	hana
acting	0.698	0.643	0.500	hana ana
action	0.760	0.898	0.802	hana
action figure	0.615	0.774	0.611	kiʻi hana
actionable	0.673	0.702	0.613	hiki ke hana
activate	0.764	0.650	0.806	hoʻoikaika
activation	0.781	0.800	0.754	hoʻoulu ʻana
active	0.847	0.730	0.731	ʻeleu
activist	0.531	0.653	0.877	mea hooikaika kino
activity	0.701	0.660	0.807	hana
actor	0.653	0.561	0.629	mea keaka
actress	0.633	0.556	0.596	mea hana keaka
actual	0.729	0.400	0.716	maoli
actuality	0.750	0.464	0.600	ʻoiaʻiʻo
actuary	0.510	0.404	0.491	mea hoʻokō
acuity	0.469	0.378	0.741	acuity
acumen	0.564	0.660	0.679	akamai
acupuncture	0.531	0.324	0.549	acupuncture
acute	0.427	0.652	0.534	ʻoʻoleʻa
acutely	0.417	0.543	0.491	ʻoi loa
ad	0.521	0.705	0.558	ad
adage	0.517	0.415	0.566	ʻōlelo ʻōlelo
adamant	0.344	0.529	0.575	kūpaʻa
adapt	0.740	0.355	0.551	hoʻololi
adaptable	0.735	0.423	0.641	hiki ke hoʻololi
adaptation	0.663	0.365	0.609	hoʻopilikino
add	0.728	0.490	0.554	hoʻohui
added	0.562	0.405	0.509	hoʻohui ʻia
addendum	0.392	0.370	0.418	mea hoʻohui
adder	0.388	0.461	0.588	mea hoʻohui
addict	0.075	0.696	0.327	addict
addicted	0.156	0.712	0.483	addicted
addiction	0.180	0.806	0.420	hoʻohui
addictive	0.302	0.683	0.472	addictive
addition	0.562	0.373	0.471	hoʻohui
additional	0.673	0.462	0.526	hou aku
additive	0.561	0.633	0.691	mea hoʻohui
address	0.650	0.327	0.567	helu wahi
addressee	0.622	0.382	0.538	mea hoʻopuka
addresses	0.510	0.354	0.450	mau helu wahi
adept	0.594	0.539	0.789	akamai
adequacy	0.615	0.435	0.702	kupono
adequate	0.854	0.264	0.705	lawa
adhere	0.633	0.339	0.554	pili
adherence	0.760	0.307	0.630	ka pili ana
adherent	0.561	0.385	0.555	pili
adhering	0.612	0.561	0.537	pili ana
adhesion	0.521	0.445	0.586	hoʻopili
adhesive	0.604	0.350	0.413	pipili
adieu	0.250	0.471	0.342	aloha
adipose	0.333	0.350	0.391	adipose
adjacency	0.365	0.417	0.375	pili
adjacent	0.645	0.276	0.536	pili
adjective	0.570	0.316	0.569	huaʻōlelo
adjoining	0.520	0.400	0.393	pili
adjourn	0.385	0.456	0.475	hoopanee
adjournment	0.438	0.510	0.370	hoopanee
adjudicate	0.559	0.520	0.683	hooponopono
adjudication	0.551	0.462	0.691	ka hookolokolo ana
adjunct	0.459	0.440	0.426	hoʻopili
adjust	0.647	0.327	0.638	hoʻoponopono
adjuster	0.510	0.540	0.760	mea hoʻoponopono
adjustment	0.590	0.520	0.661	hoʻoponopono
adjuvant	0.510	0.500	0.456	adjuvant
admin	0.688	0.420	0.854	admin
administer	0.635	0.425	0.860	lawelawe
administration	0.625	0.404	0.786	hooponopono
administrative	0.542	0.415	0.579	hooponopono
administrator	0.538	0.480	0.902	luna hooponopono
admirable	0.929	0.600	0.870	mahalo ʻia
admiral	0.844	0.490	0.847	Adimarala
admiralty	0.594	0.547	0.733	ka mahalo
admiration	0.969	0.583	0.726	mahalo
admire	0.867	0.692	0.704	mahalo
admired	0.917	0.560	0.815	mahalo ʻia
admirer	0.796	0.720	0.650	mea mahalo
admiring	0.867	0.578	0.629	mahalo
admissibility	0.802	0.580	0.602	ʻae ʻia
admissible	0.780	0.528	0.642	ʻae ʻia
admission	0.802	0.415	0.732	komo
admit	0.538	0.423	0.667	e ae aku
admittance	0.690	0.451	0.598	hoʻokomo
admitted	0.720	0.490	0.767	ʻae ʻia
admitting	0.620	0.500	0.546	e ae ana
admixture	0.450	0.375	0.438	hui ʻana
admonition	0.357	0.606	0.455	olelo ao
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	ʻōpio
adolescent	0.781	0.680	0.509	ʻōpio
adopt	0.694	0.612	0.701	hāpai
adoption	0.625	0.566	0.589	ka hookama
adoptive	0.531	0.469	0.520	hāpai keiki
adorable	0.969	0.519	0.457	ʻoluʻolu
adoration	0.885	0.699	0.708	hoʻomana
adore	0.854	0.438	0.657	mahalo
adoring	0.885	0.620	0.717	hoʻomanaʻo
adorn	0.910	0.424	0.482	hoʻonani
adornment	0.918	0.373	0.377	kāhiko
adrenalin	0.865	0.920	0.786	adrenaline
adrenaline	0.765	0.965	0.825	adrenaline
adrift	0.398	0.486	0.230	holo aku
adult	0.815	0.491	0.787	kanaka makua
adulterated	0.188	0.865	0.370	moe kolohe
adulterer	0.229	0.814	0.407	moe kolohe
adultery	0.120	0.922	0.510	moe kolohe
adulthood	0.541	0.454	0.652	makua kāne
advance	0.673	0.472	0.858	mua
advanced	0.844	0.623	0.797	holomua
advancement	0.776	0.650	0.839	holomua
advancing	0.929	0.608	0.812	e holomua ana
advantage	0.917	0.548	0.859	pono
advantageous	0.837	0.640	0.789	pono
advent	0.665	0.560	0.627	hiki mai
adventure	0.917	0.857	0.710	huakaʻi hele
adventurer	0.781	0.839	0.868	mea hoʻohiwahiwa
adventures	0.812	0.764	0.749	hoʻohiwahiwa
adventurous	0.969	0.898	0.722	hoʻokalakupua
adversary	0.349	0.777	0.457	ʻenemi
adverse	0.323	0.610	0.385	ʻinoʻino
adversity	0.276	0.760	0.538	pilikia
advertise	0.500	0.529	0.580	hoʻolaha
advertisement	0.600	0.566	0.539	hoʻolaha
advertising	0.622	0.608	0.632	hoʻolaha
adverts	0.551	0.500	0.595	nā hoʻolaha
advice	0.698	0.408	0.688	ʻōlelo aʻo
advisable	0.867	0.480	0.510	pono
advise	0.760	0.393	0.705	aʻo
advised	0.823	0.330	0.509	ʻōlelo ʻia
advisement	0.698	0.235	0.655	ʻōlelo aʻo
adviser	0.745	0.362	0.705	kākāʻōlelo
advisor	0.646	0.350	0.689	kākāʻōlelo
advisory	0.656	0.429	0.633	ʻōlelo aʻo
advocacy	0.500	0.646	0.731	hoʻolaha
advocate	0.551	0.530	0.818	kākāʻōlelo
aegis	0.490	0.439	0.462	aegis
aeration	0.550	0.500	0.433	hoʻohuehu
aerial	0.615	0.461	0.463	lewa
aerobics	0.708	0.771	0.627	aerobic
aerodrome	0.541	0.740	0.678	aerodrome
aerodynamic	0.561	0.724	0.728	aerodynamic
aerodynamics	0.590	0.663	0.722	aerodynamics
aeronautics	0.551	0.633	0.688	aeronautics
aeroplane	0.714	0.642	0.644	mokulele
aerospace	0.643	0.520	0.779	aerospace
aesthetic	0.708	0.442	0.526	nani
aesthetics	0.847	0.327	0.549	nā mea nani
aetiology	0.480	0.398	0.615	aetiology
afar	0.396	0.373	0.358	mamao aku
affable	0.704	0.380	0.452	aloha
affair	0.520	0.459	0.657	pili
affect	0.458	0.569	0.578	pili
affecting	0.350	0.574	0.394	pili ana
affection	0.898	0.559	0.696	aloha
affectionate	0.949	0.422	0.550	aloha
affections	0.760	0.547	0.655	aloha
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	palapala hoʻohiki
affiliated	0.673	0.519	0.535	pili
affiliation	0.615	0.594	0.500	pili
affinity	0.800	0.500	0.537	pili
affirm	0.745	0.509	0.731	e hooiaio
affirmation	0.750	0.500	0.689	ka hooiaio ana
affirmative	0.854	0.589	0.816	hōʻoiaʻiʻo
affirmatively	0.908	0.500	0.811	ʻoiaʻiʻo
affix	0.438	0.335	0.411	hoʻopili
afflict	0.302	0.555	0.293	ehaeha
afflicted	0.271	0.500	0.167	pilikia
affliction	0.294	0.635	0.392	ka pilikia
affluence	0.663	0.618	0.722	waiwai
affluent	0.756	0.388	0.477	waiwai
afford	0.571	0.580	0.575	hāʻawi
affordable	0.840	0.398	0.493	kupono
affront	0.327	0.740	0.547	hoowahawaha
affronted	0.385	0.750	0.527	hoowahawahaia
afield	0.594	0.370	0.373	kaawale
afire	0.367	0.904	0.675	ahi ahi
afloat	0.602	0.427	0.444	lana ana
afore	0.500	0.337	0.382	mamua
aforementioned	0.490	0.316	0.408	i olelo mua ia
aforesaid	0.531	0.358	0.478	i olelo mua ia
afraid	0.010	0.775	0.245	makau
afresh	0.643	0.521	0.480	hou
aft	0.480	0.417	0.518	ma hope
afterlife	0.571	0.567	0.568	ola mahope
aftermath	0.312	0.449	0.444	hope
afternoon	0.533	0.388	0.339	awakea
aftershave	0.406	0.384	0.415	kaʻu ma hope
aftertaste	0.354	0.362	0.455	ʻono hope
afterthought	0.396	0.392	0.349	manaʻo hope
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	agate
age	0.561	0.226	0.498	makahiki
aged	0.135	0.365	0.236	ʻelemakule
agency	0.460	0.296	0.583	ʻoihana
agenda	0.531	0.296	0.553	papahana
agent	0.480	0.439	0.755	luna
agglomeration	0.450	0.765	0.509	hoʻohuihui
aggravate	0.224	0.770	0.464	e hoehaeha
aggravated	0.079	0.760	0.430	hoehaeha
aggravates	0.108	0.778	0.357	hōʻeha
aggravating	0.257	0.794	0.640	hoehaeha
aggravation	0.071	0.784	0.613	hoehaehae
aggregate	0.730	0.378	0.556	hōʻuluʻulu
aggregation	0.583	0.517	0.694	ka hui ʻana
aggresive	0.059	0.971	0.639	hoʻopaʻapaʻa
aggression	0.094	0.929	0.533	hoehae
aggressive	0.125	0.949	0.648	hoʻopaʻapaʻa
aggressively	0.250	0.926	0.688	me ka hoohuoi
aggressiveness	0.077	0.913	0.648	hoʻopaʻapaʻa
aggressor	0.146	0.948	0.823	mea hoowahawaha
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	weliweli
aghhh	0.281	0.635	0.243	aghhh
agile	0.800	0.657	0.775	ʻeleu
agility	0.720	0.702	0.815	agility
aging	0.214	0.255	0.284	ʻelemakule
agitate	0.300	0.796	0.593	hoonaukiuki
agitated	0.444	0.882	0.491	hoonaukiuki
agitation	0.240	0.931	0.447	haunaele
aglow	0.780	0.510	0.797	alohilohi
agnostic	0.306	0.396	0.574	agnostic
ago	0.317	0.280	0.404	aku nei
agonizing	0.083	0.800	0.340	ehaeha
agony	0.083	0.775	0.393	ʻehaʻeha
agoraphobia	0.127	0.712	0.438	agoraphobia
agree	0.906	0.260	0.545	ʻae aku
agreeable	0.906	0.500	0.696	oluolu
agreed	0.797	0.449	0.574	ʻae ʻia
agreeing	0.854	0.480	0.557	e ae ana
agreement	0.760	0.440	0.736	ʻaelike
agressive	0.083	0.918	0.751	hoʻopaʻapaʻa
agricultural	0.686	0.321	0.473	mahiʻai
agriculture	0.640	0.357	0.465	mahiʻai
aground	0.333	0.340	0.445	pae ʻana
agua	0.598	0.180	0.436	akua
ahead	0.708	0.520	0.673	i mua
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhhh
ahoy	0.500	0.497	0.380	ahoi
aid	0.796	0.491	0.541	kokua
aide	0.724	0.342	0.434	kōkua
aiding	0.643	0.533	0.569	kokua ana
aids	0.561	0.480	0.500	kokua
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	maʻi
ailment	0.146	0.734	0.277	ʻehaʻeha
aim	0.481	0.569	0.567	pahuhopu
aimless	0.150	0.267	0.183	kumu ole
air	0.708	0.163	0.427	ea
airbag	0.510	0.402	0.433	ʻeke ʻea
airborne	0.542	0.519	0.385	lele ea
aircraft	0.646	0.644	0.691	mokulele
aircraft carrier	0.490	0.740	0.727	mea lawe mokulele
airfield	0.601	0.650	0.645	kahua mokulele
airhead	0.271	0.481	0.276	airhead
airlift	0.573	0.622	0.642	lele lele
airline	0.650	0.482	0.688	mokulele
airliner	0.667	0.777	0.647	mokulele mokulele
airlock	0.398	0.520	0.447	airlock
airman	0.587	0.716	0.721	kanaka ea
airplane	0.719	0.702	0.708	mokulele
airport	0.729	0.684	0.682	kahua mokulele
airs	0.583	0.196	0.370	ea
airship	0.542	0.472	0.529	moku ea
airspace	0.562	0.510	0.640	mokulele
airspeed	0.583	0.780	0.544	ea holo
airstrip	0.550	0.690	0.649	kahua mokulele
airtight	0.479	0.381	0.570	paʻa lewa
airway	0.638	0.585	0.482	ala ea
aisle	0.438	0.222	0.283	alahele
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	ajar
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	kino
alabaster	0.542	0.404	0.445	ʻalabata
alarm	0.241	0.882	0.698	hoʻopāpā
alarm clock	0.542	0.727	0.642	uaki pumehana
alarmed	0.188	0.822	0.492	hopohopo
alarming	0.204	0.890	0.585	weliweli
alas	0.571	0.310	0.279	auwe
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatross
albino	0.500	0.240	0.358	albino
album	0.635	0.349	0.453	album
alchemy	0.541	0.583	0.693	alchemy
alcohol	0.323	0.667	0.377	waiʻona
alcoholic	0.153	0.688	0.361	waiʻona
alcoholism	0.061	0.779	0.407	ʻona ʻona
alcove	0.490	0.340	0.356	alcove
alderman	0.550	0.459	0.691	luna ʻelele
ale	0.530	0.450	0.358	ʻale
alert	0.479	0.820	0.648	makaala
alertness	0.375	0.875	0.750	makaala
alerts	0.337	0.804	0.673	makaʻala
alfalfa	0.546	0.250	0.311	alfalfa
algebra	0.440	0.340	0.565	algebra
algebraic	0.531	0.412	0.441	algebraic
algorithm	0.448	0.394	0.559	algorithm
alias	0.541	0.353	0.333	inoa inoa
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	malihini
alienate	0.247	0.500	0.523	kaawale
alienated	0.410	0.423	0.559	kaawale
alienation	0.378	0.530	0.462	kaawale
alight	0.667	0.657	0.605	e kau ana
align	0.656	0.364	0.627	hoʻolikelike
aligned	0.583	0.275	0.553	kaulike
alignment	0.643	0.412	0.683	alignment
alike	0.653	0.173	0.444	like like
alimentation	0.781	0.551	0.602	ʻai ʻai
alimony	0.612	0.477	0.464	alimony
aliquot	0.440	0.310	0.404	aliquot
alive	0.816	0.637	0.731	ola
alkali	0.490	0.350	0.408	alkali
alkaloids	0.433	0.562	0.402	alkaloids
allay	0.417	0.406	0.398	hoʻomaha
allegation	0.578	0.578	0.608	hoʻopiʻi
allege	0.418	0.482	0.587	hoʻopiʻi
alleged	0.365	0.522	0.520	ʻōlelo ʻia
allegiance	0.917	0.398	0.750	kupaa
allegorical	0.517	0.558	0.598	hoʻolikelike
allegory	0.615	0.580	0.509	ʻōlelo hoʻohālike
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	maʻi maʻi
allergy	0.296	0.606	0.389	maʻi maʻi
alleviate	0.869	0.270	0.528	hoʻomāmā
alleviation	0.735	0.200	0.491	hoʻohaʻahaʻa
alley	0.347	0.500	0.355	alahele
alleyway	0.357	0.471	0.382	alahele
alliance	0.696	0.473	0.769	kuikahi
allied	0.714	0.245	0.642	hui pū
alligator	0.354	0.704	0.645	alligator
allocate	0.673	0.462	0.672	hoʻokaʻawale
allocation	0.604	0.388	0.679	haawina
allot	0.622	0.481	0.616	hāʻawi
allotment	0.600	0.390	0.640	haawina
allow	0.698	0.429	0.538	ae aku
allowable	0.698	0.500	0.561	ʻae ʻia
allowance	0.673	0.382	0.591	haawina
allowed	0.730	0.360	0.655	ʻae ʻia
alloy	0.583	0.443	0.593	huikau
allsmiles	0.786	0.528	0.430	aloha aloha
allure	0.804	0.585	0.686	hoʻohihi
alluring	0.837	0.745	0.843	hoʻohiwahiwa
allusion	0.440	0.308	0.462	ʻōlelo ʻōlelo
alluvial	0.323	0.490	0.491	aluvial
ally	0.792	0.320	0.688	hoapili
almanac	0.688	0.190	0.412	alemanaka
almighty	0.938	0.874	0.958	mana loa
almond	0.698	0.183	0.314	ʻalemona
aloft	0.771	0.373	0.700	i luna
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	hoʻokahi wale nō
alongside	0.458	0.333	0.347	ma ka aoao
aloof	0.189	0.423	0.302	kaawale
aloud	0.458	0.713	0.750	leo nui
alpha	0.708	0.340	0.755	alpha
alphabet	0.562	0.204	0.672	alphabet
alphabetical	0.537	0.296	0.535	pīʻāpā
alpine	0.594	0.337	0.474	alpine
alreadyyyyy	0.592	0.717	0.351	uayyyy
altar	0.724	0.387	0.635	kuahu
altar boy	0.434	0.206	0.350	keiki kuahu
alter	0.333	0.694	0.654	hoʻololi
alteration	0.167	0.798	0.609	hoololi
altercation	0.170	0.806	0.500	hoʻopaʻapaʻa
altered	0.255	0.765	0.500	hoʻololi ʻia
alternate	0.625	0.363	0.589	mea e ae
alternating	0.480	0.494	0.542	hoʻololi
alternative	0.628	0.373	0.631	ʻokoʻa
altimeter	0.615	0.510	0.580	kiʻekiʻe kiʻekiʻe
altitude	0.708	0.482	0.736	kiʻekiʻe
alto	0.656	0.404	0.730	alto
altogether	0.833	0.324	0.644	pau loa
aluminum	0.449	0.280	0.434	aluminika
alumnus	0.633	0.368	0.422	alumnus
alveolar	0.469	0.481	0.367	alveolar
alzheimers	0.194	0.518	0.319	nā maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi maʻi
amalgam	0.438	0.333	0.510	amalgam
amalgamation	0.406	0.470	0.531	hui ʻana
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	hōʻiliʻili
amateur	0.469	0.500	0.409	kamaʻilio
amaze	0.896	0.843	0.783	kāhāhā
amazed	0.796	0.779	0.533	kahaha
amazedness	0.827	0.872	0.510	kahaha
amazement	0.750	0.800	0.639	kahaha
amazing	0.906	0.837	0.849	kupanaha
amazingly	0.918	0.765	0.920	kupanaha
ambassador	0.651	0.529	0.917	ʻelele
amber	0.635	0.308	0.369	amber
ambience	0.735	0.356	0.426	ʻoluʻolu
ambient	0.625	0.360	0.582	ambient
ambiguity	0.164	0.460	0.370	pohihihi
ambiguous	0.265	0.462	0.358	pohihihi
ambit	0.479	0.380	0.386	ambit
ambition	0.510	0.804	0.661	manaʻo manaʻo
ambitious	0.484	0.821	0.717	manaʻo nui
ambivalent	0.510	0.404	0.482	ambivalent
ambrosia	0.571	0.452	0.480	ambrosia
ambulance	0.500	0.750	0.609	ambulance
ambush	0.281	0.830	0.500	hoʻohālua
ameliorate	0.770	0.548	0.747	hoʻomaikaʻi
amen	0.781	0.182	0.542	Amene
amenable	0.448	0.410	0.406	ʻae ʻia
amend	0.688	0.406	0.658	hoololi
amendment	0.531	0.459	0.606	hoʻololi
amends	0.640	0.366	0.517	hoololi
amenity	0.750	0.327	0.574	ʻoluʻolu
amethyst	0.622	0.406	0.517	amethyst
amiable	0.847	0.290	0.483	aloha
amicable	0.875	0.330	0.507	oluolu
amid	0.510	0.340	0.256	waena
amidst	0.480	0.330	0.316	i waena
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	pōkā
ammonia	0.292	0.587	0.409	amonia
ammonium	0.354	0.396	0.368	ammonium
ammunition	0.338	0.635	0.667	nā mea kaua
amnesia	0.296	0.330	0.308	amnesia
