English Word	Valence	Arousal	Dominance	Amharic Word
abovementioned	0.541	0.298	0.509	ከላይ የተጠቀሰው
abracadabra	0.673	0.632	0.434	abracadabra
abrasion	0.406	0.592	0.441	መጥላት
abrasive	0.392	0.610	0.593	አስጸያፊ
abreast	0.635	0.380	0.519	ወዲያው
abroad	0.677	0.596	0.561	ውጭ አገር
abrogate	0.327	0.510	0.594	መሻር
abrupt	0.271	0.819	0.545	በድንገት
abruptly	0.250	0.808	0.556	በድንገት
abscess	0.154	0.451	0.349	ማበጥ
absence	0.153	0.235	0.266	አለመኖር
absent	0.177	0.221	0.116	የለም
absentee	0.235	0.330	0.279	የማይገኝ
absenteeism	0.404	0.273	0.357	መቅረት
absinthe	0.481	0.510	0.462	absinthe
absolute	0.526	0.510	0.827	ፍጹም
absolution	0.715	0.500	0.664	መፍታት
absolve	0.684	0.449	0.660	መፍታት
absorb	0.469	0.558	0.670	መምጠጥ
absorbed	0.490	0.471	0.519	ተውጦ
absorbent	0.552	0.394	0.718	የሚስብ
absorbing	0.490	0.490	0.578	መምጠጥ
absorption	0.609	0.422	0.446	መምጠጥ
abstain	0.385	0.385	0.427	መታቀብ
abstention	0.271	0.264	0.509	መታቀብ
abstinence	0.260	0.392	0.429	መታቀብ
abstract	0.438	0.292	0.444	ረቂቅ
abstraction	0.469	0.439	0.525	ረቂቅ
absurd	0.188	0.656	0.284	የማይረባ
absurdity	0.115	0.528	0.227	ብልህነት
abundance	0.812	0.690	0.852	የተትረፈረፈ
abundant	0.958	0.590	0.760	የተትረፈረፈ
abuse	0.071	0.873	0.469	አላግባብ መጠቀም
abused	0.021	0.874	0.235	ተበድለዋል
abusive	0.125	0.903	0.567	ተሳዳቢ
abutment	0.500	0.265	0.616	abutment
aby	0.385	0.452	0.368	አብይ
abysmal	0.250	0.710	0.598	አቢይ
abyss	0.353	0.725	0.296	ገደል
academic	0.781	0.420	0.812	የትምህርት
academy	0.704	0.473	0.792	አካዳሚ
accede	0.698	0.510	0.537	መቀበል
accelerant	0.643	0.844	0.802	አፋጣኝ
accelerate	0.615	0.902	0.759	ማፋጠን
accelerated	0.610	0.812	0.682	ተፋጠነ
acceleration	0.704	0.905	0.843	ማፋጠን
accelerator	0.593	0.830	0.812	አፋጣኝ
accent	0.598	0.357	0.509	ዘዬ
accentuate	0.673	0.556	0.667	አጽንዖት መስጠት
accept	0.847	0.286	0.565	ተቀበል
acceptable	0.812	0.286	0.583	ተቀባይነት ያለው
acceptance	0.833	0.287	0.755	መቀበል
acceptances	0.847	0.413	0.648	ተቀባይነት
access	0.714	0.472	0.567	መዳረሻ
accessible	0.796	0.410	0.645	ተደራሽ
accession	0.612	0.383	0.636	መቀላቀል
accessory	0.562	0.292	0.445	መለዋወጫ
accident	0.125	0.908	0.336	አደጋ
accidental	0.319	0.784	0.307	በአጋጣሚ
accidentally	0.333	0.741	0.333	በአጋጣሚ
acclaim	0.562	0.809	0.718	ማመስገን
accolade	0.688	0.591	0.775	ማመስገን
accommodate	0.844	0.375	0.566	ማስተናገድ
accommodation	0.817	0.415	0.587	ማረፊያ
accompaniment	0.740	0.479	0.695	አጃቢ
accompany	0.833	0.406	0.585	ማጀብ
accompanying	0.787	0.460	0.582	አብሮ የሚሄድ
accomplice	0.408	0.580	0.510	ተባባሪ
accomplish	0.929	0.673	0.816	ማከናወን
accomplished	0.870	0.520	0.798	ተፈፀመ
accomplishment	0.917	0.694	0.888	ስኬት
accord	0.898	0.264	0.382	ስምምነት
accordance	0.659	0.349	0.600	መሠረት
accordion	0.604	0.490	0.361	አኮርዲዮን
account	0.531	0.347	0.472	መለያ
accountability	0.755	0.537	0.833	ተጠያቂነት
accountable	0.709	0.282	0.777	ተጠያቂ
accountant	0.625	0.450	0.639	የሂሳብ ባለሙያ
accounting	0.552	0.390	0.677	የሂሳብ አያያዝ
accounts	0.592	0.340	0.471	መለያዎች
accredited	0.669	0.479	0.768	እውቅና የተሰጠው
accretion	0.448	0.519	0.672	መጨመር
accrue	0.520	0.481	0.602	ማጠራቀም
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	ማከማቸት
accumulation	0.479	0.527	0.600	ማጠራቀም
accuracy	0.604	0.481	0.802	ትክክለኛነት
accurate	0.743	0.360	0.737	ትክክለኛ
accursed	0.135	0.745	0.345	የተረገመ
accusation	0.073	0.718	0.564	ውንጀላ
accusative	0.198	0.755	0.482	ክስ የሚያቀርብ
accuse	0.133	0.752	0.500	መክሰስ
accused	0.130	0.670	0.420	ተከሰሰ
accuser	0.122	0.779	0.615	ከሳሽ
accusing	0.156	0.745	0.324	መክሰስ
accustomed	0.542	0.365	0.441	የለመደው
ace	0.643	0.481	0.546	አሴ
acetic	0.333	0.420	0.519	አሴቲክ
acetylene	0.306	0.469	0.509	አሴቲሊን
ache	0.146	0.760	0.312	ህመም
achieve	0.816	0.545	0.843	ማሳካት
achieved	0.896	0.519	0.775	ተሳክቷል
achievement	0.896	0.808	0.759	ስኬት
aching	0.053	0.880	0.348	የሚያሰቃይ
achy	0.167	0.840	0.373	አቺ
acid	0.265	0.642	0.566	አሲድ
acidity	0.156	0.663	0.360	አሲድነት
acknowledge	0.786	0.370	0.661	እውቅና መስጠት
acknowledged	0.714	0.443	0.765	እውቅና ሰጥቷል
acknowledgement	0.819	0.539	0.830	እውቅና መስጠት
acknowledgment	0.796	0.528	0.777	እውቅና መስጠት
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	ብጉር
acorn	0.448	0.198	0.192	አኮርን
acoustic	0.542	0.462	0.536	አኮስቲክ
acoustics	0.611	0.330	0.509	አኮስቲክስ
acquaint	0.646	0.491	0.639	መተዋወቅ
acquaintance	0.656	0.290	0.670	መተዋወቅ
acquainted	0.906	0.358	0.632	መተዋወቅ
acquiescence	0.542	0.480	0.554	መቀበል
acquire	0.833	0.468	0.700	ማግኘት
acquiring	0.735	0.510	0.817	ማግኘት
acquisition	0.698	0.509	0.736	ማግኘት
acquisitions	0.773	0.660	0.790	ግዢዎች
acquit	0.583	0.571	0.611	ነጻ ማውጣት
acquittal	0.760	0.497	0.700	ነጻ ማውጣት
acre	0.583	0.387	0.423	ኤከር
acreage	0.741	0.450	0.528	acreage
acres	0.510	0.363	0.500	ኤከር
acrobat	0.708	0.828	0.602	አክሮባት
acrylic	0.582	0.279	0.420	acrylic
act	0.656	0.704	0.735	ተግባር
acting	0.698	0.643	0.500	ድርጊት
action	0.760	0.898	0.802	ድርጊት
action figure	0.615	0.774	0.611	የተግባር ምስል
actionable	0.673	0.702	0.613	ሊተገበር የሚችል
activate	0.764	0.650	0.806	ማንቃት
activation	0.781	0.800	0.754	ማንቃት
active	0.847	0.730	0.731	ንቁ
activist	0.531	0.653	0.877	አክቲቪስት
activity	0.701	0.660	0.807	እንቅስቃሴ
actor	0.653	0.561	0.629	ተዋናይ
actress	0.633	0.556	0.596	ተዋናይት
actual	0.729	0.400	0.716	ትክክለኛ
actuality	0.750	0.464	0.600	ተጨባጭነት
actuary	0.510	0.404	0.491	ተጨባጭ
acuity	0.469	0.378	0.741	ትክክሇኛነት
acumen	0.564	0.660	0.679	አስተዋይ
acupuncture	0.531	0.324	0.549	አኩፓንቸር
acute	0.427	0.652	0.534	አጣዳፊ
acutely	0.417	0.543	0.491	በከፍተኛ ሁኔታ
ad	0.521	0.705	0.558	ማስታወቂያ
adage	0.517	0.415	0.566	አባባል
adamant	0.344	0.529	0.575	ጠንከር ያለ
adapt	0.740	0.355	0.551	መላመድ
adaptable	0.735	0.423	0.641	የሚለምደዉ
adaptation	0.663	0.365	0.609	መላመድ
add	0.728	0.490	0.554	ጨምር
added	0.562	0.405	0.509	ታክሏል
addendum	0.392	0.370	0.418	መደመር
adder	0.388	0.461	0.588	መጨመሪያ
addict	0.075	0.696	0.327	ሱሰኛ
addicted	0.156	0.712	0.483	ሱሰኛ
addiction	0.180	0.806	0.420	ሱስ
addictive	0.302	0.683	0.472	ሱስ የሚያስይዝ
addition	0.562	0.373	0.471	መደመር
additional	0.673	0.462	0.526	ተጨማሪ
additive	0.561	0.633	0.691	የሚጨምረው
address	0.650	0.327	0.567	አድራሻ
addressee	0.622	0.382	0.538	አድራሻ ተቀባይ
addresses	0.510	0.354	0.450	አድራሻዎች
adept	0.594	0.539	0.789	የተዋጣለት
adequacy	0.615	0.435	0.702	በቂነት
adequate	0.854	0.264	0.705	በቂ
adhere	0.633	0.339	0.554	ማክበር
adherence	0.760	0.307	0.630	ማክበር
adherent	0.561	0.385	0.555	ታዛዥ
adhering	0.612	0.561	0.537	መጣበቅ
adhesion	0.521	0.445	0.586	ማጣበቅ
adhesive	0.604	0.350	0.413	ማጣበቂያ
adieu	0.250	0.471	0.342	adieu
adipose	0.333	0.350	0.391	ስብ
adjacency	0.365	0.417	0.375	አብሮነት
adjacent	0.645	0.276	0.536	አጎራባች
adjective	0.570	0.316	0.569	ቅጽል
adjoining	0.520	0.400	0.393	ተጓዳኝ
adjourn	0.385	0.456	0.475	ዘግይቷል
adjournment	0.438	0.510	0.370	መዘግየት
adjudicate	0.559	0.520	0.683	መፍረድ
adjudication	0.551	0.462	0.691	ፍርድ መስጠት
adjunct	0.459	0.440	0.426	ተጓዳኝ
adjust	0.647	0.327	0.638	ማስተካከል
adjuster	0.510	0.540	0.760	አስማሚ
adjustment	0.590	0.520	0.661	ማስተካከል
adjuvant	0.510	0.500	0.456	ረዳት
admin	0.688	0.420	0.854	አስተዳዳሪ
administer	0.635	0.425	0.860	አስተዳድር
administration	0.625	0.404	0.786	አስተዳደር
administrative	0.542	0.415	0.579	አስተዳደራዊ
administrator	0.538	0.480	0.902	አስተዳዳሪ
admirable	0.929	0.600	0.870	የሚደነቅ
admiral	0.844	0.490	0.847	አድሚራል
admiralty	0.594	0.547	0.733	አድሚራሊቲ
admiration	0.969	0.583	0.726	አድናቆት
admire	0.867	0.692	0.704	አደንቃለሁ
admired	0.917	0.560	0.815	አደነቀ
admirer	0.796	0.720	0.650	አድናቂ
admiring	0.867	0.578	0.629	ማድነቅ
admissibility	0.802	0.580	0.602	ተቀባይነት
admissible	0.780	0.528	0.642	ተቀባይነት ያለው
admission	0.802	0.415	0.732	መግቢያ
admit	0.538	0.423	0.667	መቀበል
admittance	0.690	0.451	0.598	መቀበል
admitted	0.720	0.490	0.767	አምኗል
admitting	0.620	0.500	0.546	መቀበል
admixture	0.450	0.375	0.438	ቅልቅል
admonition	0.357	0.606	0.455	ማሳሰቢያ
ado	0.520	0.423	0.385	አዶ
adobe	0.500	0.319	0.328	አዶቤ
adolescence	0.487	0.694	0.444	ጉርምስና
adolescent	0.781	0.680	0.509	ጉርምስና
adopt	0.694	0.612	0.701	ማደጎ
adoption	0.625	0.566	0.589	ጉዲፈቻ
adoptive	0.531	0.469	0.520	የማደጎ
adorable	0.969	0.519	0.457	ደስ የሚል
adoration	0.885	0.699	0.708	ማክበር
adore	0.854	0.438	0.657	አመስግኑት።
adoring	0.885	0.620	0.717	ማምለክ
adorn	0.910	0.424	0.482	አስጌጥ
adornment	0.918	0.373	0.377	ጌጥ
adrenalin	0.865	0.920	0.786	አድሬናሊን
adrenaline	0.765	0.965	0.825	አድሬናሊን
adrift	0.398	0.486	0.230	መንሳፈፍ
adult	0.815	0.491	0.787	አዋቂ
adulterated	0.188	0.865	0.370	የተበላሸ
adulterer	0.229	0.814	0.407	አመንዝራ
adultery	0.120	0.922	0.510	ምንዝር
adulthood	0.541	0.454	0.652	አዋቂነት
advance	0.673	0.472	0.858	በቅድሚያ
advanced	0.844	0.623	0.797	የላቀ
advancement	0.776	0.650	0.839	እድገት
advancing	0.929	0.608	0.812	መራመድ
advantage	0.917	0.548	0.859	ጥቅም
advantageous	0.837	0.640	0.789	ጠቃሚ
advent	0.665	0.560	0.627	መምጣት
adventure	0.917	0.857	0.710	ጀብዱ
adventurer	0.781	0.839	0.868	ጀብደኛ
adventures	0.812	0.764	0.749	ጀብዱዎች
adventurous	0.969	0.898	0.722	ጀብደኛ
adversary	0.349	0.777	0.457	ተቃዋሚ
adverse	0.323	0.610	0.385	አሉታዊ
adversity	0.276	0.760	0.538	መከራ
advertise	0.500	0.529	0.580	ያስተዋውቁ
advertisement	0.600	0.566	0.539	ማስታወቂያ
advertising	0.622	0.608	0.632	ማስታወቂያ
adverts	0.551	0.500	0.595	ማስታወቂያዎች
advice	0.698	0.408	0.688	ምክር
advisable	0.867	0.480	0.510	የሚመከር
advise	0.760	0.393	0.705	መምከር
advised	0.823	0.330	0.509	የሚል ምክር ሰጥቷል
advisement	0.698	0.235	0.655	ምክር
adviser	0.745	0.362	0.705	አማካሪ
advisor	0.646	0.350	0.689	አማካሪ
advisory	0.656	0.429	0.633	ምክር
advocacy	0.500	0.646	0.731	ተሟጋችነት
advocate	0.551	0.530	0.818	ጠበቃ
aegis	0.490	0.439	0.462	aegis
aeration	0.550	0.500	0.433	አየር መሳብ
aerial	0.615	0.461	0.463	የአየር ላይ
aerobics	0.708	0.771	0.627	ኤሮቢክስ
aerodrome	0.541	0.740	0.678	ኤሮድሮም
aerodynamic	0.561	0.724	0.728	ኤሮዳይናሚክስ
aerodynamics	0.590	0.663	0.722	ኤሮዳይናሚክስ
aeronautics	0.551	0.633	0.688	ኤሮኖቲክስ
aeroplane	0.714	0.642	0.644	አውሮፕላን
aerospace	0.643	0.520	0.779	ኤሮስፔስ
aesthetic	0.708	0.442	0.526	ውበት
aesthetics	0.847	0.327	0.549	ውበት
aetiology	0.480	0.398	0.615	ኤቲዮሎጂ
afar	0.396	0.373	0.358	አፋር
affable	0.704	0.380	0.452	ሊታወቅ የሚችል
affair	0.520	0.459	0.657	ጉዳይ
affect	0.458	0.569	0.578	ተጽዕኖ
affecting	0.350	0.574	0.394	ተጽዕኖ
affection	0.898	0.559	0.696	ፍቅር
affectionate	0.949	0.422	0.550	አፍቃሪ
affections	0.760	0.547	0.655	ፍቅር
affiche	0.479	0.265	0.402	አባሪ
affidavit	0.469	0.584	0.526	ቃለ መሃላ
affiliated	0.673	0.519	0.535	የተቆራኘ
affiliation	0.615	0.594	0.500	ዝምድና
affinity	0.800	0.500	0.537	ዝምድና
affirm	0.745	0.509	0.731	አረጋግጥ
affirmation	0.750	0.500	0.689	ማረጋገጫ
affirmative	0.854	0.589	0.816	ማረጋገጫ
affirmatively	0.908	0.500	0.811	በአዎንታዊ መልኩ
affix	0.438	0.335	0.411	መለጠፍ
afflict	0.302	0.555	0.293	ማሰቃየት
afflicted	0.271	0.500	0.167	የተጎሳቆለ
affliction	0.294	0.635	0.392	መከራ
affluence	0.663	0.618	0.722	ብልጽግና
affluent	0.756	0.388	0.477	ሀብታም
afford	0.571	0.580	0.575	አቅም
affordable	0.840	0.398	0.493	ተመጣጣኝ
affront	0.327	0.740	0.547	ማጥቃት
affronted	0.385	0.750	0.527	ተበሳጨ
afield	0.594	0.370	0.373	ርቆ
afire	0.367	0.904	0.675	እሳት
afloat	0.602	0.427	0.444	ተንሳፋፊ
afore	0.500	0.337	0.382	በፊት
aforementioned	0.490	0.316	0.408	ከላይ የተጠቀሰው
aforesaid	0.531	0.358	0.478	ቀደም ሲል ተናግሯል
afraid	0.010	0.775	0.245	መፍራት
afresh	0.643	0.521	0.480	አዲስ
aft	0.480	0.417	0.518	በኋላ
afterlife	0.571	0.567	0.568	ከሞት በኋላ
aftermath	0.312	0.449	0.444	በኋላ
afternoon	0.533	0.388	0.339	ከሰአት
aftershave	0.406	0.384	0.415	ከተላጨ በኋላ
aftertaste	0.354	0.362	0.455	በኋላ ጣዕም
afterthought	0.396	0.392	0.349	ከሀሳብ በኋላ
aga	0.542	0.327	0.398	አጋ
agape	0.612	0.529	0.464	አጋፔ
agate	0.540	0.377	0.483	agate
age	0.561	0.226	0.498	ዕድሜ
aged	0.135	0.365	0.236	አረጋዊ
agency	0.460	0.296	0.583	ኤጀንሲ
agenda	0.531	0.296	0.553	አጀንዳ
agent	0.480	0.439	0.755	ወኪል
agglomeration	0.450	0.765	0.509	ማባባስ
aggravate	0.224	0.770	0.464	ማባባስ
aggravated	0.079	0.760	0.430	ተባብሷል
aggravates	0.108	0.778	0.357	ያባብሳል
aggravating	0.257	0.794	0.640	የሚያባብስ
aggravation	0.071	0.784	0.613	ማባባስ
aggregate	0.730	0.378	0.556	ድምር
aggregation	0.583	0.517	0.694	ድምር
aggresive	0.059	0.971	0.639	ጠበኛ
aggression	0.094	0.929	0.533	ማጥቃት
aggressive	0.125	0.949	0.648	ጠበኛ
aggressively	0.250	0.926	0.688	በቁጣ
aggressiveness	0.077	0.913	0.648	ጠበኛነት
aggressor	0.146	0.948	0.823	አጥቂ
agh	0.260	0.500	0.400	አግ
aghast	0.133	0.865	0.464	ደነገጠ
aghhh	0.281	0.635	0.243	አግሀህ
agile	0.800	0.657	0.775	ቀልጣፋ
agility	0.720	0.702	0.815	ቅልጥፍና
aging	0.214	0.255	0.284	እርጅና
agitate	0.300	0.796	0.593	ማበሳጨት
agitated	0.444	0.882	0.491	ተናደደ
agitation	0.240	0.931	0.447	ቅስቀሳ
aglow	0.780	0.510	0.797	አበራ
agnostic	0.306	0.396	0.574	አግኖስቲክ
ago	0.317	0.280	0.404	በፊት
agonizing	0.083	0.800	0.340	የሚያሰቃይ
agony	0.083	0.775	0.393	ስቃይ
agoraphobia	0.127	0.712	0.438	agoraphobia
agree	0.906	0.260	0.545	እስማማለሁ
agreeable	0.906	0.500	0.696	የሚስማማ
agreed	0.797	0.449	0.574	ተስማማ
agreeing	0.854	0.480	0.557	መስማማት
agreement	0.760	0.440	0.736	ስምምነት
agressive	0.083	0.918	0.751	ግልፍተኛ
agricultural	0.686	0.321	0.473	ግብርና
agriculture	0.640	0.357	0.465	ግብርና
aground	0.333	0.340	0.445	መሬት ላይ
agua	0.598	0.180	0.436	አጉዋ
ahead	0.708	0.520	0.673	ወደፊት
ahhh	0.562	0.517	0.241	አሀሀሀ
ahhhhhhhh	0.552	0.649	0.288	አህህህህህህህህ
ahoy	0.500	0.497	0.380	አሆይ
aid	0.796	0.491	0.541	እርዳታ
aide	0.724	0.342	0.434	ረዳት
aiding	0.643	0.533	0.569	መርዳት
aids	0.561	0.480	0.500	እርዳታዎች
ail	0.375	0.434	0.385	አይል
ailing	0.094	0.518	0.153	የታመመ
ailment	0.146	0.734	0.277	ሕመም
aim	0.481	0.569	0.567	አላማ
aimless	0.150	0.267	0.183	ዓላማ የሌለው
air	0.708	0.163	0.427	አየር
airbag	0.510	0.402	0.433	ኤርባግ
airborne	0.542	0.519	0.385	በአየር ወለድ
aircraft	0.646	0.644	0.691	አውሮፕላን
aircraft carrier	0.490	0.740	0.727	የአውሮፕላን ተሸካሚ
airfield	0.601	0.650	0.645	አየር ማረፊያ
airhead	0.271	0.481	0.276	የአየር ጭንቅላት
airlift	0.573	0.622	0.642	የአየር ማራገቢያ
airline	0.650	0.482	0.688	አየር መንገድ
airliner	0.667	0.777	0.647	አየር መንገድ
airlock	0.398	0.520	0.447	የአየር መቆለፊያ
airman	0.587	0.716	0.721	የአየር ጠባቂ
airplane	0.719	0.702	0.708	አውሮፕላን
airport	0.729	0.684	0.682	አየር ማረፊያ
airs	0.583	0.196	0.370	አየሩ
airship	0.542	0.472	0.529	የአየር መርከብ
airspace	0.562	0.510	0.640	የአየር ክልል
airspeed	0.583	0.780	0.544	የአየር ፍጥነት
airstrip	0.550	0.690	0.649	አየር ማረፊያ
airtight	0.479	0.381	0.570	አየር የማይገባ
airway	0.638	0.585	0.482	የአየር መንገድ
aisle	0.438	0.222	0.283	መተላለፊያ መንገድ
ait	0.385	0.390	0.402	አይ
ajar	0.460	0.413	0.446	አጃር
aka	0.459	0.358	0.351	አካ
akin	0.639	0.343	0.523	ተዛማጅ
alabaster	0.542	0.404	0.445	አልባስተር
alarm	0.241	0.882	0.698	ማንቂያ
alarm clock	0.542	0.727	0.642	ማንቂያ ደውል
alarmed	0.188	0.822	0.492	ደነገጠ
alarming	0.204	0.890	0.585	አስደንጋጭ
alas	0.571	0.310	0.279	ወዮ
alb	0.521	0.380	0.427	አልብ
albatross	0.500	0.445	0.527	አልባትሮስ
albino	0.500	0.240	0.358	አልቢኖ
album	0.635	0.349	0.453	አልበም
alchemy	0.541	0.583	0.693	አልኬሚ
alcohol	0.323	0.667	0.377	አልኮል
alcoholic	0.153	0.688	0.361	የአልኮል ሱሰኛ
alcoholism	0.061	0.779	0.407	የአልኮል ሱሰኝነት
alcove	0.490	0.340	0.356	አልኮቭ
alderman	0.550	0.459	0.691	አልደርማን
ale	0.530	0.450	0.358	አለ
alert	0.479	0.820	0.648	ማንቂያ
alertness	0.375	0.875	0.750	ንቃት
alerts	0.337	0.804	0.673	ማንቂያዎች
alfalfa	0.546	0.250	0.311	አልፋልፋ
algebra	0.440	0.340	0.565	አልጀብራ
algebraic	0.531	0.412	0.441	አልጀብራ
algorithm	0.448	0.394	0.559	አልጎሪዝም
alias	0.541	0.353	0.333	ተለዋጭ ስም
alibi	0.396	0.528	0.556	አሊቢ
alien	0.410	0.615	0.491	ባዕድ
alienate	0.247	0.500	0.523	ማራቅ
alienated	0.410	0.423	0.559	የራቀ
alienation	0.378	0.530	0.462	ማግለል
alight	0.667	0.657	0.605	መውጣት
align	0.656	0.364	0.627	አሰላለፍ
aligned	0.583	0.275	0.553	የተስተካከለ
alignment	0.643	0.412	0.683	አሰላለፍ
alike	0.653	0.173	0.444	በተመሳሳይ
alimentation	0.781	0.551	0.602	alimentation
alimony	0.612	0.477	0.464	አሊሞኒ
aliquot	0.440	0.310	0.404	አልቅት
alive	0.816	0.637	0.731	በሕይወት
alkali	0.490	0.350	0.408	አልካሊ
alkaloids	0.433	0.562	0.402	አልካሎይድስ
allay	0.417	0.406	0.398	አላይ
allegation	0.578	0.578	0.608	ውንጀላ
allege	0.418	0.482	0.587	ክስ
alleged	0.365	0.522	0.520	ተከሰሰ
allegiance	0.917	0.398	0.750	ታማኝነት
allegorical	0.517	0.558	0.598	ምሳሌያዊ
allegory	0.615	0.580	0.509	ምሳሌያዊ
allegro	0.635	0.627	0.453	አሌግሮ
allergic	0.135	0.549	0.273	አለርጂ
allergy	0.296	0.606	0.389	አለርጂ
alleviate	0.869	0.270	0.528	ማቃለል
alleviation	0.735	0.200	0.491	ማስታገሻ
alley	0.347	0.500	0.355	መንገድ
alleyway	0.357	0.471	0.382	አውራ ጎዳና
alliance	0.696	0.473	0.769	ህብረት
allied	0.714	0.245	0.642	የተባበረ
alligator	0.354	0.704	0.645	አዞ
allocate	0.673	0.462	0.672	መመደብ
allocation	0.604	0.388	0.679	ምደባ
allot	0.622	0.481	0.616	መመደብ
allotment	0.600	0.390	0.640	ድልድል
allow	0.698	0.429	0.538	ፍቀድ
allowable	0.698	0.500	0.561	የሚፈቀድ
allowance	0.673	0.382	0.591	አበል
allowed	0.730	0.360	0.655	ተፈቅዷል
alloy	0.583	0.443	0.593	ቅይጥ
allsmiles	0.786	0.528	0.430	ፈገግ ይላሉ
allure	0.804	0.585	0.686	ማባበል
alluring	0.837	0.745	0.843	ማራኪ
allusion	0.440	0.308	0.462	ጠቃሽ
alluvial	0.323	0.490	0.491	አሎቪያል
ally	0.792	0.320	0.688	አጋር
almanac	0.688	0.190	0.412	አልማናክ
almighty	0.938	0.874	0.958	ሁሉን ቻይ
almond	0.698	0.183	0.314	ለውዝ
aloft	0.771	0.373	0.700	ወደ ላይ
aloha	0.698	0.440	0.441	አሎሀ
alone	0.333	0.167	0.216	ብቻውን
alongside	0.458	0.333	0.347	ጎን ለጎን
aloof	0.189	0.423	0.302	የራቀ
aloud	0.458	0.713	0.750	ጮክ ብሎ
alpha	0.708	0.340	0.755	አልፋ
alphabet	0.562	0.204	0.672	ፊደል
alphabetical	0.537	0.296	0.535	ፊደላት
alpine	0.594	0.337	0.474	አልፓይን
alreadyyyyy	0.592	0.717	0.351	አስቀድሞ
altar	0.724	0.387	0.635	መሠዊያ
altar boy	0.434	0.206	0.350	የመሠዊያ ልጅ
alter	0.333	0.694	0.654	መቀየር
alteration	0.167	0.798	0.609	ለውጥ
altercation	0.170	0.806	0.500	ውዝግብ
altered	0.255	0.765	0.500	ተለውጧል
alternate	0.625	0.363	0.589	ተለዋጭ
alternating	0.480	0.494	0.542	ተለዋጭ
alternative	0.628	0.373	0.631	አማራጭ
altimeter	0.615	0.510	0.580	አልቲሜትር
altitude	0.708	0.482	0.736	ከፍታ
alto	0.656	0.404	0.730	አልቶ
altogether	0.833	0.324	0.644	በአጠቃላይ
aluminum	0.449	0.280	0.434	አሉሚኒየም
alumnus	0.633	0.368	0.422	ምሩቃን
alveolar	0.469	0.481	0.367	አልቮላር
alzheimers	0.194	0.518	0.319	አልዛይመርስ
amalgam	0.438	0.333	0.510	አማልጋም
amalgamation	0.406	0.470	0.531	ውህደት
amaretto	0.543	0.551	0.375	አማሬትቶ
amass	0.552	0.465	0.465	ማሰባሰብ
amateur	0.469	0.500	0.409	አማተር
amaze	0.896	0.843	0.783	መደነቅ
amazed	0.796	0.779	0.533	ተገረሙ
amazedness	0.827	0.872	0.510	መደነቅ
amazement	0.750	0.800	0.639	መደነቅ
amazing	0.906	0.837	0.849	አስደናቂ
amazingly	0.918	0.765	0.920	በሚገርም ሁኔታ
ambassador	0.651	0.529	0.917	አምባሳደር
amber	0.635	0.308	0.369	አምበር
ambience	0.735	0.356	0.426	ድባብ
ambient	0.625	0.360	0.582	ድባብ
