English Word	Valence	Arousal	Dominance	Zulu Word
adamant	0.344	0.529	0.575	eqinile
adapt	0.740	0.355	0.551	vumelanisa
adaptable	0.735	0.423	0.641	vumelana nezimo
adaptation	0.663	0.365	0.609	ukuzivumelanisa nezimo
add	0.728	0.490	0.554	engeza
added	0.562	0.405	0.509	kwengezwe
addendum	0.392	0.370	0.418	isengezo
adder	0.388	0.461	0.588	i-adder
addict	0.075	0.696	0.327	umlutha
addicted	0.156	0.712	0.483	umlutha
addiction	0.180	0.806	0.420	ukulutheka
addictive	0.302	0.683	0.472	umlutha
addition	0.562	0.373	0.471	ukwengeza
additional	0.673	0.462	0.526	eyengeziwe
additive	0.561	0.633	0.691	okungeziwe
address	0.650	0.327	0.567	ikheli
addressee	0.622	0.382	0.538	ikheli
addresses	0.510	0.354	0.450	amakheli
adept	0.594	0.539	0.789	nekhono
adequacy	0.615	0.435	0.702	ukwanela
adequate	0.854	0.264	0.705	ezanele
adhere	0.633	0.339	0.554	bambelela
adherence	0.760	0.307	0.630	ukubambelela
adherent	0.561	0.385	0.555	okunamathelayo
adhering	0.612	0.561	0.537	ukunamathela
adhesion	0.521	0.445	0.586	ukunamathela
adhesive	0.604	0.350	0.413	okunamathelayo
adieu	0.250	0.471	0.342	adieu
adipose	0.333	0.350	0.391	i-adipose
adjacency	0.365	0.417	0.375	eduze
adjacent	0.645	0.276	0.536	eduze
adjective	0.570	0.316	0.569	isiphawulo
adjoining	0.520	0.400	0.393	ehlangene
adjourn	0.385	0.456	0.475	hlehlisa
adjournment	0.438	0.510	0.370	kuhlehliswa
adjudicate	0.559	0.520	0.683	ahlulele
adjudication	0.551	0.462	0.691	ukwahlulela
adjunct	0.459	0.440	0.426	ukuhlanganisa
adjust	0.647	0.327	0.638	lungisa
adjuster	0.510	0.540	0.760	isilungisi
adjustment	0.590	0.520	0.661	ukulungisa
adjuvant	0.510	0.500	0.456	i-adjuvant
admin	0.688	0.420	0.854	admin
administer	0.635	0.425	0.860	phatha
administration	0.625	0.404	0.786	ukuphatha
administrative	0.542	0.415	0.579	ezokuphatha
administrator	0.538	0.480	0.902	umlawuli
admirable	0.929	0.600	0.870	encomekayo
admiral	0.844	0.490	0.847	umphathi-mkhosi
admiralty	0.594	0.547	0.733	i-admiralty
admiration	0.969	0.583	0.726	ukutuswa
admire	0.867	0.692	0.704	zibabaza
admired	0.917	0.560	0.815	encomekayo
admirer	0.796	0.720	0.650	umthandi
admiring	0.867	0.578	0.629	ukuncoma
admissibility	0.802	0.580	0.602	ukuvunyelwa
admissible	0.780	0.528	0.642	eyamukelekayo
admission	0.802	0.415	0.732	ukungena
admit	0.538	0.423	0.667	vuma
admittance	0.690	0.451	0.598	ukungena
admitted	0.720	0.490	0.767	kuvume
admitting	0.620	0.500	0.546	ukuvuma
admixture	0.450	0.375	0.438	inhlanganisela
admonition	0.357	0.606	0.455	isiyalo
ado	0.520	0.423	0.385	i-ado
adobe	0.500	0.319	0.328	i-adobe
adolescence	0.487	0.694	0.444	ubusha
adolescent	0.781	0.680	0.509	osemusha
adopt	0.694	0.612	0.701	thatha
adoption	0.625	0.566	0.589	ukutholwa
adoptive	0.531	0.469	0.520	owamukelayo
adorable	0.969	0.519	0.457	iyathandeka
adoration	0.885	0.699	0.708	ukudunyiswa
adore	0.854	0.438	0.657	thanda
adoring	0.885	0.620	0.717	ukukhonza
adorn	0.910	0.424	0.482	hlobisa
adornment	0.918	0.373	0.377	ukuhloba
adrenalin	0.865	0.920	0.786	i-adrenalin
adrenaline	0.765	0.965	0.825	i-adrenaline
adrift	0.398	0.486	0.230	adrift
adult	0.815	0.491	0.787	omdala
adulterated	0.188	0.865	0.370	onikiwe
adulterer	0.229	0.814	0.407	isiphingi
adultery	0.120	0.922	0.510	ukuphinga
adulthood	0.541	0.454	0.652	ubudala
advance	0.673	0.472	0.858	phambili
advanced	0.844	0.623	0.797	ethuthukisiwe
advancement	0.776	0.650	0.839	intuthuko
advancing	0.929	0.608	0.812	ethuthukayo
advantage	0.917	0.548	0.859	inzuzo
advantageous	0.837	0.640	0.789	kunenzuzo
advent	0.665	0.560	0.627	ukufika
adventure	0.917	0.857	0.710	uhambo
adventurer	0.781	0.839	0.868	isihambi
adventures	0.812	0.764	0.749	izigigaba
adventurous	0.969	0.898	0.722	amadala
adversary	0.349	0.777	0.457	isitha
adverse	0.323	0.610	0.385	embi
adversity	0.276	0.760	0.538	ubunzima
advertise	0.500	0.529	0.580	khangisa
advertisement	0.600	0.566	0.539	isikhangiso
advertising	0.622	0.608	0.632	ukukhangisa
adverts	0.551	0.500	0.595	izikhangiso
advice	0.698	0.408	0.688	iseluleko
advisable	0.867	0.480	0.510	kuyafaneleka
advise	0.760	0.393	0.705	luleka
advised	0.823	0.330	0.509	weluleka
advisement	0.698	0.235	0.655	iseluleko
adviser	0.745	0.362	0.705	umeluleki
advisor	0.646	0.350	0.689	umeluleki
advisory	0.656	0.429	0.633	iseluleko
advocacy	0.500	0.646	0.731	ukumela
advocate	0.551	0.530	0.818	ummeli
aegis	0.490	0.439	0.462	aegis
aeration	0.550	0.500	0.433	ukungenisa umoya
aerial	0.615	0.461	0.463	emoyeni
aerobics	0.708	0.771	0.627	ukuvivinya umzimba
aerodrome	0.541	0.740	0.678	indawo yezindiza
aerodynamic	0.561	0.724	0.728	i-aerodynamic
aerodynamics	0.590	0.663	0.722	i-aerodynamics
aeronautics	0.551	0.633	0.688	i-aeronautics
aeroplane	0.714	0.642	0.644	indiza
aerospace	0.643	0.520	0.779	i-aerospace
aesthetic	0.708	0.442	0.526	ubuhle
aesthetics	0.847	0.327	0.549	ubuhle
aetiology	0.480	0.398	0.615	i-etiology
afar	0.396	0.373	0.358	kude
affable	0.704	0.380	0.452	evumelanayo
affair	0.520	0.459	0.657	indaba
affect	0.458	0.569	0.578	thinta
affecting	0.350	0.574	0.394	ezithintayo
affection	0.898	0.559	0.696	uthando
affectionate	0.949	0.422	0.550	nothando
affections	0.760	0.547	0.655	uthando
affiche	0.479	0.265	0.402	i-affiche
affidavit	0.469	0.584	0.526	incwadi efungelwe
affiliated	0.673	0.519	0.535	ehlangene
affiliation	0.615	0.594	0.500	ukuzihlanganisa
affinity	0.800	0.500	0.537	ubuhlobo
affirm	0.745	0.509	0.731	qinisa
affirmation	0.750	0.500	0.689	isiqiniseko
affirmative	0.854	0.589	0.816	evumayo
affirmatively	0.908	0.500	0.811	ngokuqinisekisa
affix	0.438	0.335	0.411	namathisela
afflict	0.302	0.555	0.293	hlupha
afflicted	0.271	0.500	0.167	ukuhlupheka
affliction	0.294	0.635	0.392	usizi
affluence	0.663	0.618	0.722	ukuceba
affluent	0.756	0.388	0.477	abacebile
afford	0.571	0.580	0.575	ukukhokhela
affordable	0.840	0.398	0.493	ezithengekayo
affront	0.327	0.740	0.547	ukweyisa
affronted	0.385	0.750	0.527	ekhungathekile
afield	0.594	0.370	0.373	kude
afire	0.367	0.904	0.675	ngomlilo
afloat	0.602	0.427	0.444	ukuntanta
afore	0.500	0.337	0.382	ngaphambili
aforementioned	0.490	0.316	0.408	okukhulunywe ngakho ngenhla
aforesaid	0.531	0.358	0.478	kushiwo ngenhla
afraid	0.010	0.775	0.245	besaba
afresh	0.643	0.521	0.480	kabusha
aft	0.480	0.417	0.518	ngemva
afterlife	0.571	0.567	0.568	ngemva kokufa
aftermath	0.312	0.449	0.444	umphumela
afternoon	0.533	0.388	0.339	ntambama
aftershave	0.406	0.384	0.415	emva kokushefa
aftertaste	0.354	0.362	0.455	ukunambitha
afterthought	0.396	0.392	0.349	ngemuva kokucabanga
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	i-agape
agate	0.540	0.377	0.483	i-agate
age	0.561	0.226	0.498	iminyaka yobudala
aged	0.135	0.365	0.236	mdala
agency	0.460	0.296	0.583	inhlangano
agenda	0.531	0.296	0.553	uhlelo
agent	0.480	0.439	0.755	umenzeli
agglomeration	0.450	0.765	0.509	i-agglomeration
aggravate	0.224	0.770	0.464	khulisa
aggravated	0.079	0.760	0.430	kubi
aggravates	0.108	0.778	0.357	kubhebhethekisa
aggravating	0.257	0.794	0.640	okuhlukumezayo
aggravation	0.071	0.784	0.613	ukuhlukunyezwa
aggregate	0.730	0.378	0.556	ukuhlanganisa
aggregation	0.583	0.517	0.694	ukuhlanganisa
aggresive	0.059	0.971	0.639	enolaka
aggression	0.094	0.929	0.533	ulaka
aggressive	0.125	0.949	0.648	enolaka
aggressively	0.250	0.926	0.688	ngobudlova
aggressiveness	0.077	0.913	0.648	ulaka
aggressor	0.146	0.948	0.823	umhlaseli
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	ukwesaba
aghhh	0.281	0.635	0.243	aghh
agile	0.800	0.657	0.775	ishesha
agility	0.720	0.702	0.815	ukushesha
aging	0.214	0.255	0.284	ukuguga
agitate	0.300	0.796	0.593	hlupha
agitated	0.444	0.882	0.491	eyaluza
agitation	0.240	0.931	0.447	ukuyaluza
aglow	0.780	0.510	0.797	vutha
agnostic	0.306	0.396	0.574	ongaziwa
ago	0.317	0.280	0.404	edlule
agonizing	0.083	0.800	0.340	ebuhlungu
agony	0.083	0.775	0.393	ubuhlungu
agoraphobia	0.127	0.712	0.438	i-agoraphobia
agree	0.906	0.260	0.545	vuma
agreeable	0.906	0.500	0.696	evumelanayo
agreed	0.797	0.449	0.574	wavuma
agreeing	0.854	0.480	0.557	bevuma
agreement	0.760	0.440	0.736	isivumelwano
agressive	0.083	0.918	0.751	enolaka
agricultural	0.686	0.321	0.473	ezolimo
agriculture	0.640	0.357	0.465	ezolimo
aground	0.333	0.340	0.445	phansi
agua	0.598	0.180	0.436	i-agua
ahead	0.708	0.520	0.673	phambili
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhhh
ahoy	0.500	0.497	0.380	awu
aid	0.796	0.491	0.541	usizo
aide	0.724	0.342	0.434	umsizi
aiding	0.643	0.533	0.569	esiza
aids	0.561	0.480	0.500	izinsiza
ail	0.375	0.434	0.385	ukugula
ailing	0.094	0.518	0.153	egulayo
ailment	0.146	0.734	0.277	ukugula
aim	0.481	0.569	0.567	inhloso
aimless	0.150	0.267	0.183	engenanhloso
air	0.708	0.163	0.427	umoya
airbag	0.510	0.402	0.433	isikhwama somoya
airborne	0.542	0.519	0.385	emoyeni
aircraft	0.646	0.644	0.691	indiza
aircraft carrier	0.490	0.740	0.727	umthwali wendiza
airfield	0.601	0.650	0.645	inkundla yezindiza
airhead	0.271	0.481	0.276	ikhanda lomoya
airlift	0.573	0.622	0.642	hambisa ngendiza
airline	0.650	0.482	0.688	inkampani yezindiza
airliner	0.667	0.777	0.647	ibhanoyi
airlock	0.398	0.520	0.447	i-airlock
airman	0.587	0.716	0.721	umshayeli wendiza
airplane	0.719	0.702	0.708	indiza
airport	0.729	0.684	0.682	isikhumulo sezindiza
airs	0.583	0.196	0.370	emoyeni
airship	0.542	0.472	0.529	indiza
airspace	0.562	0.510	0.640	indawo yomoya
airspeed	0.583	0.780	0.544	isivinini somoya
airstrip	0.550	0.690	0.649	indawo yezindiza
airtight	0.479	0.381	0.570	kungangeni moya
airway	0.638	0.585	0.482	indlela yomoya
aisle	0.438	0.222	0.283	Indawo yezinto
ait	0.385	0.390	0.402	ayi
ajar	0.460	0.413	0.446	ajar
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	kanye
alabaster	0.542	0.404	0.445	ialabhasta
alarm	0.241	0.882	0.698	i-alamu
alarm clock	0.542	0.727	0.642	iwashi eline alamu
alarmed	0.188	0.822	0.492	ethukile
alarming	0.204	0.890	0.585	ethusayo
alas	0.571	0.310	0.279	maye
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	i-albatross
albino	0.500	0.240	0.358	i-albino
album	0.635	0.349	0.453	i-albhamu
alchemy	0.541	0.583	0.693	i-alchemy
alcohol	0.323	0.667	0.377	utshwala
alcoholic	0.153	0.688	0.361	umlutha wotshwala
alcoholism	0.061	0.779	0.407	uphuzo oludakayo
alcove	0.490	0.340	0.356	i-alcove
alderman	0.550	0.459	0.691	i-alderman
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	qwashisa
alertness	0.375	0.875	0.750	ukuqapha
alerts	0.337	0.804	0.673	izexwayiso
alfalfa	0.546	0.250	0.311	i-alfalfa
algebra	0.440	0.340	0.565	i-algebra
algebraic	0.531	0.412	0.441	i-algebraic
algorithm	0.448	0.394	0.559	i-algorithm
alias	0.541	0.353	0.333	isibizo
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	umfokazi
alienate	0.247	0.500	0.523	ahlukanise
alienated	0.410	0.423	0.559	ehlukanisiwe
alienation	0.378	0.530	0.462	ukuhlukaniswa
alight	0.667	0.657	0.605	liyavutha
align	0.656	0.364	0.627	qondanisa
aligned	0.583	0.275	0.553	kuqondaniswe
alignment	0.643	0.412	0.683	ukuqondanisa
alike	0.653	0.173	0.444	ngokufanayo
alimentation	0.781	0.551	0.602	ukudla
alimony	0.612	0.477	0.464	imali yesondlo
aliquot	0.440	0.310	0.404	aliquot
alive	0.816	0.637	0.731	ephila
alkali	0.490	0.350	0.408	i-alkali
alkaloids	0.433	0.562	0.402	ama-alkaloids
allay	0.417	0.406	0.398	i-allay
allegation	0.578	0.578	0.608	izinsolo
allege	0.418	0.482	0.587	sola
alleged	0.365	0.522	0.520	kusolwa
allegiance	0.917	0.398	0.750	ukwethembeka
allegorical	0.517	0.558	0.598	okungokomfanekiso
allegory	0.615	0.580	0.509	umfanekiso
allegro	0.635	0.627	0.453	i-allegro
allergic	0.135	0.549	0.273	ukungezwani komzimba
allergy	0.296	0.606	0.389	ukungezwani komzimba nezinto ezithile
alleviate	0.869	0.270	0.528	nciphisa
alleviation	0.735	0.200	0.491	ukunciphisa
alley	0.347	0.500	0.355	umgwaqo
alleyway	0.357	0.471	0.382	umgwaqo
alliance	0.696	0.473	0.769	umfelandawonye
allied	0.714	0.245	0.642	abambisene
alligator	0.354	0.704	0.645	ingwenya
allocate	0.673	0.462	0.672	aba
allocation	0.604	0.388	0.679	isabelo
allot	0.622	0.481	0.616	isabelo
allotment	0.600	0.390	0.640	isabelo
allow	0.698	0.429	0.538	vumela
allowable	0.698	0.500	0.561	kuvumelekile
allowance	0.673	0.382	0.591	imvume
allowed	0.730	0.360	0.655	kuvunyelwe
alloy	0.583	0.443	0.593	ingxubevange
allsmiles	0.786	0.528	0.430	amamatheke
allure	0.804	0.585	0.686	ukuyenga
alluring	0.837	0.745	0.843	ekhangayo
allusion	0.440	0.308	0.462	ukukhulumela
alluvial	0.323	0.490	0.491	i-alluvial
ally	0.792	0.320	0.688	umngane
almanac	0.688	0.190	0.412	i-almanac
almighty	0.938	0.874	0.958	somandla
almond	0.698	0.183	0.314	i-alimondi
aloft	0.771	0.373	0.700	phezulu
aloha	0.698	0.440	0.441	ulala
alone	0.333	0.167	0.216	yedwa
alongside	0.458	0.333	0.347	eceleni
aloof	0.189	0.423	0.302	kude
aloud	0.458	0.713	0.750	ngokuzwakalayo
alpha	0.708	0.340	0.755	i-alpha
alphabet	0.562	0.204	0.672	izinhlamvu zamagama
alphabetical	0.537	0.296	0.535	ngokwezinhlamvu
alpine	0.594	0.337	0.474	alpine
alreadyyyyy	0.592	0.717	0.351	kakadeyyyy
altar	0.724	0.387	0.635	i-altare
altar boy	0.434	0.206	0.350	umfana wase-altare
alter	0.333	0.694	0.654	guqula
alteration	0.167	0.798	0.609	ukuguqulwa
altercation	0.170	0.806	0.500	ukuxabana
altered	0.255	0.765	0.500	kushintshiwe
alternate	0.625	0.363	0.589	okunye
alternating	0.480	0.494	0.542	kuyashintshana
alternative	0.628	0.373	0.631	okunye
altimeter	0.615	0.510	0.580	i-altimeter
altitude	0.708	0.482	0.736	ukuphakama
alto	0.656	0.404	0.730	alto
altogether	0.833	0.324	0.644	ngokuphelele
aluminum	0.449	0.280	0.434	i-aluminium
alumnus	0.633	0.368	0.422	umfundi
alveolar	0.469	0.481	0.367	i-alveolar
alzheimers	0.194	0.518	0.319	i-Alzheimer's
amalgam	0.438	0.333	0.510	amalgam
amalgamation	0.406	0.470	0.531	ukuhlanganiswa
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	qoqa
amateur	0.469	0.500	0.409	umfundamakhwela
amaze	0.896	0.843	0.783	mangala
amazed	0.796	0.779	0.533	emangele
amazedness	0.827	0.872	0.510	ukumangala
amazement	0.750	0.800	0.639	ukumangala
amazing	0.906	0.837	0.849	emangalisayo
amazingly	0.918	0.765	0.920	ngokumangalisayo
ambassador	0.651	0.529	0.917	inxusa
amber	0.635	0.308	0.369	inhlaka
ambience	0.735	0.356	0.426	Ambience
ambient	0.625	0.360	0.582	endaweni
ambiguity	0.164	0.460	0.370	ukungaqondakali
ambiguous	0.265	0.462	0.358	engacacile
ambit	0.479	0.380	0.386	ambit
ambition	0.510	0.804	0.661	isifiso sokuvelela
ambitious	0.484	0.821	0.717	nesifiso sokuvelela
ambivalent	0.510	0.404	0.482	Ambivalent
ambrosia	0.571	0.452	0.480	i-ambrosia
ambulance	0.500	0.750	0.609	i-ambulensi
ambush	0.281	0.830	0.500	baqamekele
ameliorate	0.770	0.548	0.747	thuthukisa
amen	0.781	0.182	0.542	amen
amenable	0.448	0.410	0.406	kuyamukeleka
amend	0.688	0.406	0.658	chibiyela
amendment	0.531	0.459	0.606	ukuchitshiyelwa
amends	0.640	0.366	0.517	chibiyela
amenity	0.750	0.327	0.574	usizo
amethyst	0.622	0.406	0.517	i-amethiste
amiable	0.847	0.290	0.483	othandekayo
amicable	0.875	0.330	0.507	enokuthula
amid	0.510	0.340	0.256	phakathi
amidst	0.480	0.330	0.316	phakathi
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	izinhlamvu
ammonia	0.292	0.587	0.409	ammonia
ammonium	0.354	0.396	0.368	ammonium
ammunition	0.338	0.635	0.667	izinhlamvu
amnesia	0.296	0.330	0.308	amnesia
amnesty	0.551	0.451	0.814	ushwele
amorous	0.844	0.670	0.636	uthando
amorphous	0.327	0.402	0.349	i-amorphous
amortization	0.592	0.491	0.522	i-amortization
amount	0.562	0.422	0.649	inani
amour	0.865	0.480	0.652	uthando
amp	0.439	0.393	0.375	amp
ampersand	0.480	0.448	0.483	i-ampersand
amphetamines	0.133	0.667	0.526	ama-amphetamine
amphibian	0.427	0.357	0.474	izilwane ezihlala emanzini
amphibious	0.479	0.346	0.445	ezihlala emanzini
amphitheater	0.653	0.480	0.545	inkundla yemidlalo yaseshashalazini
ample	0.744	0.349	0.719	ngokwanele
