English Word	Valence	Arousal	Dominance	Greek Word
abound	0.704	0.490	0.681	βρίθω
abovementioned	0.541	0.298	0.509	τα προαναφερθέντα
abracadabra	0.673	0.632	0.434	μυστηριώδης ή μαγική λέξη
abrasion	0.406	0.592	0.441	τριβή
abrasive	0.392	0.610	0.593	αποξεστικό
abreast	0.635	0.380	0.519	κατά μέτωπο
abroad	0.677	0.596	0.561	στο εξωτερικο
abrogate	0.327	0.510	0.594	ακυρώνω
abrupt	0.271	0.819	0.545	απότομος
abruptly	0.250	0.808	0.556	απότομα
abscess	0.154	0.451	0.349	απόστημα
absence	0.153	0.235	0.266	απουσία
absent	0.177	0.221	0.116	απών
absentee	0.235	0.330	0.279	απών
absenteeism	0.404	0.273	0.357	κατά συνήθεια απουσία
absinthe	0.481	0.510	0.462	αψέντι
absolute	0.526	0.510	0.827	απόλυτος
absolution	0.715	0.500	0.664	απαλλαγή
absolve	0.684	0.449	0.660	απαλλάσσω
absorb	0.469	0.558	0.670	απορροφώ
absorbed	0.490	0.471	0.519	απορροφάται
absorbent	0.552	0.394	0.718	απορροφητικό
absorbing	0.490	0.490	0.578	απορρόφηση
absorption	0.609	0.422	0.446	απορρόφηση
abstain	0.385	0.385	0.427	απέχω
abstention	0.271	0.264	0.509	αποχή
abstinence	0.260	0.392	0.429	αποχή
abstract	0.438	0.292	0.444	αφηρημένη
abstraction	0.469	0.439	0.525	αφαίρεση
absurd	0.188	0.656	0.284	παράλογος
absurdity	0.115	0.528	0.227	παραλογισμός
abundance	0.812	0.690	0.852	αφθονία
abundant	0.958	0.590	0.760	άφθονος
abuse	0.071	0.873	0.469	κατάχρηση
abused	0.021	0.874	0.235	καταχραστεί
abusive	0.125	0.903	0.567	υβριστικός
abutment	0.500	0.265	0.616	στήριγμα
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	αβυσσαλέος
abyss	0.353	0.725	0.296	άβυσσος
academic	0.781	0.420	0.812	ακαδημαϊκός
academy	0.704	0.473	0.792	ακαδημία
accede	0.698	0.510	0.537	ανέρχομαι
accelerant	0.643	0.844	0.802	επιταχυντικός
accelerate	0.615	0.902	0.759	επιταχύνω
accelerated	0.610	0.812	0.682	επιταχύνθηκε
acceleration	0.704	0.905	0.843	επιτάχυνση
accelerator	0.593	0.830	0.812	επιταχυντής
accent	0.598	0.357	0.509	προφορά
accentuate	0.673	0.556	0.667	τονίζω
accept	0.847	0.286	0.565	αποδέχομαι
acceptable	0.812	0.286	0.583	δεκτός
acceptance	0.833	0.287	0.755	αποδοχή
acceptances	0.847	0.413	0.648	αποδοχές
access	0.714	0.472	0.567	πρόσβαση
accessible	0.796	0.410	0.645	προσιτός
accession	0.612	0.383	0.636	ένταξη
accessory	0.562	0.292	0.445	αξεσουάρ
accident	0.125	0.908	0.336	ατύχημα
accidental	0.319	0.784	0.307	τυχαίος
accidentally	0.333	0.741	0.333	κατά λάθος
acclaim	0.562	0.809	0.718	επευφημώ
accolade	0.688	0.591	0.775	χειροτονία ιππότου
accommodate	0.844	0.375	0.566	φιλοξενώ
accommodation	0.817	0.415	0.587	κατάλυμα
accompaniment	0.740	0.479	0.695	συνοδεία
accompany	0.833	0.406	0.585	συνοδεύω
accompanying	0.787	0.460	0.582	συνοδευτικά
accomplice	0.408	0.580	0.510	συνένοχος
accomplish	0.929	0.673	0.816	ολοκληρώσει
accomplished	0.870	0.520	0.798	τέλειος
accomplishment	0.917	0.694	0.888	εκπλήρωση
accord	0.898	0.264	0.382	συμφωνία
accordance	0.659	0.349	0.600	συμφωνία
accordion	0.604	0.490	0.361	ακορντεόν
account	0.531	0.347	0.472	λογαριασμός
accountability	0.755	0.537	0.833	Ευθύνη
accountable	0.709	0.282	0.777	υπεύθυνος
accountant	0.625	0.450	0.639	λογιστής
accounting	0.552	0.390	0.677	λογιστική
accounts	0.592	0.340	0.471	λογαριασμούς
accredited	0.669	0.479	0.768	διαπιστευμένος
accretion	0.448	0.519	0.672	επικάθηση
accrue	0.520	0.481	0.602	αυξάνω
accueil	0.450	0.451	0.470	επιτεύχομαι
accumulate	0.573	0.536	0.607	συσσωρεύω
accumulation	0.479	0.527	0.600	συσσώρευση
accuracy	0.604	0.481	0.802	ακρίβεια
accurate	0.743	0.360	0.737	ακριβής
accursed	0.135	0.745	0.345	αθεόφοβος
accusation	0.073	0.718	0.564	κατηγορία
accusative	0.198	0.755	0.482	αιτιατική
accuse	0.133	0.752	0.500	κατηγορώ
accused	0.130	0.670	0.420	κατηγορούμενος
accuser	0.122	0.779	0.615	κατήγορος
accusing	0.156	0.745	0.324	κατηγορώντας
accustomed	0.542	0.365	0.441	συνηθισμένος
ace	0.643	0.481	0.546	άσσος
acetic	0.333	0.420	0.519	οξικός
acetylene	0.306	0.469	0.509	ασετυλίνη
ache	0.146	0.760	0.312	πόνος
achieve	0.816	0.545	0.843	φέρνω σε πέρας
achieved	0.896	0.519	0.775	επιτεύχθηκε
achievement	0.896	0.808	0.759	κατόρθωμα
aching	0.053	0.880	0.348	οδυνηρός
achy	0.167	0.840	0.373	πόνος
acid	0.265	0.642	0.566	οξύ
acidity	0.156	0.663	0.360	οξύτητα
acknowledge	0.786	0.370	0.661	αναγνωρίζω
acknowledged	0.714	0.443	0.765	αναγνώρισε
acknowledgement	0.819	0.539	0.830	αναγνώριση
acknowledgment	0.796	0.528	0.777	αναγνώριση
acme	0.408	0.435	0.375	ακμή
acne	0.167	0.474	0.308	ακμή
acorn	0.448	0.198	0.192	βελανίδι
acoustic	0.542	0.462	0.536	ακουστικός
acoustics	0.611	0.330	0.509	ακουστική
acquaint	0.646	0.491	0.639	κάνω γνωστό
acquaintance	0.656	0.290	0.670	γνωριμία
acquainted	0.906	0.358	0.632	γνωστός
acquiescence	0.542	0.480	0.554	συναίνεση
acquire	0.833	0.468	0.700	αποκτώ
acquiring	0.735	0.510	0.817	αποκτώντας
acquisition	0.698	0.509	0.736	απόκτηση
acquisitions	0.773	0.660	0.790	εξαγορές
acquit	0.583	0.571	0.611	αθωώνω
acquittal	0.760	0.497	0.700	αθώωση
acre	0.583	0.387	0.423	στρέμμα
acreage	0.741	0.450	0.528	έμβαδο στρεμμάτων
acres	0.510	0.363	0.500	στρέμματα
acrobat	0.708	0.828	0.602	ακροβάτης
acrylic	0.582	0.279	0.420	ακρυλικό
act	0.656	0.704	0.735	υποκρίνομαι
acting	0.698	0.643	0.500	ηθοποιία
action	0.760	0.898	0.802	δράση
action figure	0.615	0.774	0.611	φιγούρα δράσης
actionable	0.673	0.702	0.613	δικάσιμος
activate	0.764	0.650	0.806	θέτω εις ενέργειαν
activation	0.781	0.800	0.754	δραστηριοποίηση
active	0.847	0.730	0.731	ενεργός
activist	0.531	0.653	0.877	ακτιβιστής
activity	0.701	0.660	0.807	δραστηριότητα
actor	0.653	0.561	0.629	ηθοποιός
actress	0.633	0.556	0.596	ηθοποιός
actual	0.729	0.400	0.716	πραγματικός
actuality	0.750	0.464	0.600	πραγματικότητα
actuary	0.510	0.404	0.491	αναλογιστής
acuity	0.469	0.378	0.741	οξύτητα
acumen	0.564	0.660	0.679	οξύνοια
acupuncture	0.531	0.324	0.549	βελονισμός
acute	0.427	0.652	0.534	οξύς
acutely	0.417	0.543	0.491	οξεία
ad	0.521	0.705	0.558	Ενα δ
adage	0.517	0.415	0.566	παροιμία
adamant	0.344	0.529	0.575	αμετάπειστος
adapt	0.740	0.355	0.551	προσαρμόζω
adaptable	0.735	0.423	0.641	προσαρμόσιμος
adaptation	0.663	0.365	0.609	προσαρμογή
add	0.728	0.490	0.554	Προσθήκη
added	0.562	0.405	0.509	προστέθηκε
addendum	0.392	0.370	0.418	προσθήκη
adder	0.388	0.461	0.588	αθροιστής
addict	0.075	0.696	0.327	εθίζω
addicted	0.156	0.712	0.483	εθισμένος
addiction	0.180	0.806	0.420	εθισμός
addictive	0.302	0.683	0.472	εθιστικό
addition	0.562	0.373	0.471	πρόσθεση
additional	0.673	0.462	0.526	πρόσθετος
additive	0.561	0.633	0.691	πρόσθετος
address	0.650	0.327	0.567	διεύθυνση
addressee	0.622	0.382	0.538	αποδέκτης
addresses	0.510	0.354	0.450	διευθύνσεις
adept	0.594	0.539	0.789	έμπειρος
adequacy	0.615	0.435	0.702	επάρκεια
adequate	0.854	0.264	0.705	επαρκής
adhere	0.633	0.339	0.554	εμμένω
adherence	0.760	0.307	0.630	προσκόλληση
adherent	0.561	0.385	0.555	οπαδός
adhering	0.612	0.561	0.537	προσκολλώντας
adhesion	0.521	0.445	0.586	προσκόλληση
adhesive	0.604	0.350	0.413	συγκολλητικός
adieu	0.250	0.471	0.342	αντίο
adipose	0.333	0.350	0.391	λιπώδης
adjacency	0.365	0.417	0.375	γειτνίαση
adjacent	0.645	0.276	0.536	γειτονικός
adjective	0.570	0.316	0.569	επίθετο
adjoining	0.520	0.400	0.393	παρακείμενος
adjourn	0.385	0.456	0.475	διακόπτω
adjournment	0.438	0.510	0.370	αναβολή
adjudicate	0.559	0.520	0.683	επιδικάζω
adjudication	0.551	0.462	0.691	επιδίκαση
adjunct	0.459	0.440	0.426	παρεπόμενο
adjust	0.647	0.327	0.638	προσαρμόζω
adjuster	0.510	0.540	0.760	ρυθμιστής
adjustment	0.590	0.520	0.661	προσαρμογή
adjuvant	0.510	0.500	0.456	επικουρικό
admin	0.688	0.420	0.854	διαχειριστής
administer	0.635	0.425	0.860	διαχειρίζομαι
administration	0.625	0.404	0.786	διαχείριση
administrative	0.542	0.415	0.579	διοικητικός
administrator	0.538	0.480	0.902	διαχειριστής
admirable	0.929	0.600	0.870	θαυμαστός
admiral	0.844	0.490	0.847	ναύαρχος
admiralty	0.594	0.547	0.733	ναυαρχείο
admiration	0.969	0.583	0.726	θαυμασμός
admire	0.867	0.692	0.704	θαυμάζω
admired	0.917	0.560	0.815	θαύμασε
admirer	0.796	0.720	0.650	θαυμαστής
admiring	0.867	0.578	0.629	θαυμάζοντας
admissibility	0.802	0.580	0.602	δυνατότητα παραδοχής
admissible	0.780	0.528	0.642	αποδεκτός
admission	0.802	0.415	0.732	άδεια
admit	0.538	0.423	0.667	ομολογώ
admittance	0.690	0.451	0.598	είσοδος
admitted	0.720	0.490	0.767	παράδεκτος
admitting	0.620	0.500	0.546	παραδεχόμενοι
admixture	0.450	0.375	0.438	μίγμα
admonition	0.357	0.606	0.455	νουθεσία
ado	0.520	0.423	0.385	φασαρία
adobe	0.500	0.319	0.328	πλίθα
adolescence	0.487	0.694	0.444	εφηβική ηλικία
adolescent	0.781	0.680	0.509	έφηβος
adopt	0.694	0.612	0.701	ενστερνίζομαι
adoption	0.625	0.566	0.589	υιοθεσία
adoptive	0.531	0.469	0.520	θετός
adorable	0.969	0.519	0.457	λατρευτός
adoration	0.885	0.699	0.708	λατρεία
adore	0.854	0.438	0.657	λατρεύω
adoring	0.885	0.620	0.717	γεμάτος λατρείας
adorn	0.910	0.424	0.482	στολίζω
adornment	0.918	0.373	0.377	στολίδι
adrenalin	0.865	0.920	0.786	αδρεναλίνη
adrenaline	0.765	0.965	0.825	αδρεναλίνη
adrift	0.398	0.486	0.230	ανεμοδαρμένος
adult	0.815	0.491	0.787	ενήλικας
adulterated	0.188	0.865	0.370	νοθευμένη
adulterer	0.229	0.814	0.407	μοιχός
adultery	0.120	0.922	0.510	μοιχεία
adulthood	0.541	0.454	0.652	ενηλικιότητα
advance	0.673	0.472	0.858	προκαταβολή
advanced	0.844	0.623	0.797	προχωρημένος
advancement	0.776	0.650	0.839	προαγωγή
advancing	0.929	0.608	0.812	προχωρώντας
advantage	0.917	0.548	0.859	πλεονέκτημα
advantageous	0.837	0.640	0.789	επωφελής
advent	0.665	0.560	0.627	έλευση
adventure	0.917	0.857	0.710	περιπέτεια
adventurer	0.781	0.839	0.868	τυχοδιώκτης
adventures	0.812	0.764	0.749	περιπέτειες
adventurous	0.969	0.898	0.722	παράτολμος
adversary	0.349	0.777	0.457	αντίπαλος
adverse	0.323	0.610	0.385	δυσμενής
adversity	0.276	0.760	0.538	αντιξοότητα
advertise	0.500	0.529	0.580	διαφημίζω
advertisement	0.600	0.566	0.539	διαφήμιση
advertising	0.622	0.608	0.632	διαφήμιση
adverts	0.551	0.500	0.595	διαφημίσεις
advice	0.698	0.408	0.688	συμβουλή
advisable	0.867	0.480	0.510	ορθός
advise	0.760	0.393	0.705	συμβουλεύω
advised	0.823	0.330	0.509	συμβουλεύτηκε
advisement	0.698	0.235	0.655	μελέτη
adviser	0.745	0.362	0.705	σύμβουλος
advisor	0.646	0.350	0.689	σύμβουλος
advisory	0.656	0.429	0.633	συμβουλευτικός
advocacy	0.500	0.646	0.731	υπεράσπιση
advocate	0.551	0.530	0.818	συνήγορος
aegis	0.490	0.439	0.462	Αιγίς
aeration	0.550	0.500	0.433	εξαερισμός
aerial	0.615	0.461	0.463	εναέριος
aerobics	0.708	0.771	0.627	είδος γυμναστικής
aerodrome	0.541	0.740	0.678	αεροδρόμιο
aerodynamic	0.561	0.724	0.728	αεροδυναμικός
aerodynamics	0.590	0.663	0.722	αεροδυναμική
aeronautics	0.551	0.633	0.688	αεροναυτική
aeroplane	0.714	0.642	0.644	αεροπλάνο
aerospace	0.643	0.520	0.779	αεροδιαστημική
aesthetic	0.708	0.442	0.526	αισθητικός
aesthetics	0.847	0.327	0.549	αισθητική
aetiology	0.480	0.398	0.615	αιτιολογίας
afar	0.396	0.373	0.358	μακρυά
affable	0.704	0.380	0.452	καταδεκτικός
affair	0.520	0.459	0.657	υπόθεση
affect	0.458	0.569	0.578	επηρεάζουν
affecting	0.350	0.574	0.394	συγκινητικός
affection	0.898	0.559	0.696	στοργή
affectionate	0.949	0.422	0.550	στοργικός
affections	0.760	0.547	0.655	στοργές
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	Ένορκη βεβαίωση
affiliated	0.673	0.519	0.535	συνδεδεμένη
affiliation	0.615	0.594	0.500	δεσμός
affinity	0.800	0.500	0.537	συγγένεια
affirm	0.745	0.509	0.731	επιβεβαιώνουμε
affirmation	0.750	0.500	0.689	επιβεβαίωση
affirmative	0.854	0.589	0.816	καταφατικός
affirmatively	0.908	0.500	0.811	καταφατικά
affix	0.438	0.335	0.411	πρόσφυμα
afflict	0.302	0.555	0.293	βασανίζω
afflicted	0.271	0.500	0.167	ταλαιπωρημένος
affliction	0.294	0.635	0.392	θλίψη
affluence	0.663	0.618	0.722	αφθονία
affluent	0.756	0.388	0.477	άφθονος
afford	0.571	0.580	0.575	ΟΙΚΟΝΟΜΙΚΗ δυνατοτητα
affordable	0.840	0.398	0.493	προμηθευτός
affront	0.327	0.740	0.547	προσβολή
affronted	0.385	0.750	0.527	προσβεβλημένος
afield	0.594	0.370	0.373	εις τους αγρούς
afire	0.367	0.904	0.675	μια πυρκαγιά
afloat	0.602	0.427	0.444	επιπλέων
afore	0.500	0.337	0.382	προ
aforementioned	0.490	0.316	0.408	προαναφερθείς
aforesaid	0.531	0.358	0.478	προλεχθείς
afraid	0.010	0.775	0.245	φοβισμένος
afresh	0.643	0.521	0.480	εκ νέου
aft	0.480	0.417	0.518	πίσω
afterlife	0.571	0.567	0.568	μετά θάνατον ζωή
aftermath	0.312	0.449	0.444	συνέπεια
afternoon	0.533	0.388	0.339	απόγευμα
aftershave	0.406	0.384	0.415	aftershave
aftertaste	0.354	0.362	0.455	επίγευση
afterthought	0.396	0.392	0.349	δεύτερη σκέψη
aga	0.542	0.327	0.398	αγα
agape	0.612	0.529	0.464	με ανοικτό στόμα
agate	0.540	0.377	0.483	αχάτης λίθος
age	0.561	0.226	0.498	ηλικία
aged	0.135	0.365	0.236	ηλικιωμένος
agency	0.460	0.296	0.583	πρακτορείο
agenda	0.531	0.296	0.553	ημερήσια διάταξη
agent	0.480	0.439	0.755	μέσο
agglomeration	0.450	0.765	0.509	συσσώρευση
aggravate	0.224	0.770	0.464	επιδείνω
aggravated	0.079	0.760	0.430	επιδεινώθηκε
aggravates	0.108	0.778	0.357	επιδεινώνει
aggravating	0.257	0.794	0.640	επιβαρυντικός
aggravation	0.071	0.784	0.613	επιδείνωση
aggregate	0.730	0.378	0.556	σύνολο
aggregation	0.583	0.517	0.694	συσσωμάτωση
aggresive	0.059	0.971	0.639	επιθετικός
aggression	0.094	0.929	0.533	επίθεση
aggressive	0.125	0.949	0.648	επιθετικός
aggressively	0.250	0.926	0.688	επιθετικά
aggressiveness	0.077	0.913	0.648	επιθετικότητα
aggressor	0.146	0.948	0.823	επιδρομέας
agh	0.260	0.500	0.400	αχ
aghast	0.133	0.865	0.464	εμβρόντητος
aghhh	0.281	0.635	0.243	αχχχ
agile	0.800	0.657	0.775	ευκίνητος
agility	0.720	0.702	0.815	ευκινησία
aging	0.214	0.255	0.284	γηράσκων
agitate	0.300	0.796	0.593	ταράζω
agitated	0.444	0.882	0.491	ταραγμένος
agitation	0.240	0.931	0.447	ανακίνηση
aglow	0.780	0.510	0.797	φλογερός
agnostic	0.306	0.396	0.574	αγνωστικιστής
ago	0.317	0.280	0.404	πριν
agonizing	0.083	0.800	0.340	αγωνιώδης
agony	0.083	0.775	0.393	αγωνία
agoraphobia	0.127	0.712	0.438	αγοραφοβία
agree	0.906	0.260	0.545	συμφωνώ
agreeable	0.906	0.500	0.696	ευχάριστος
agreed	0.797	0.449	0.574	σύμφωνος
agreeing	0.854	0.480	0.557	συμφωνώντας
agreement	0.760	0.440	0.736	συμφωνία
agressive	0.083	0.918	0.751	επιθετικός
agricultural	0.686	0.321	0.473	γεωργικός
agriculture	0.640	0.357	0.465	γεωργία
aground	0.333	0.340	0.445	καθισμένος
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	εμπρός
ahhh	0.562	0.517	0.241	αχχχ
ahhhhhhhh	0.552	0.649	0.288	αχχχχχχχ
ahoy	0.500	0.497	0.380	αχόι
aid	0.796	0.491	0.541	βοήθεια
aide	0.724	0.342	0.434	βοηθός
aiding	0.643	0.533	0.569	βοηθώντας
aids	0.561	0.480	0.500	βοηθήματα
ail	0.375	0.434	0.385	πονώ
ailing	0.094	0.518	0.153	ασθενής
ailment	0.146	0.734	0.277	ασθένεια
aim	0.481	0.569	0.567	σκοπός
aimless	0.150	0.267	0.183	άσκοπος
air	0.708	0.163	0.427	αέρας
airbag	0.510	0.402	0.433	αερόσακος
airborne	0.542	0.519	0.385	αερομεταφερόμενα
aircraft	0.646	0.644	0.691	αεροσκάφος
aircraft carrier	0.490	0.740	0.727	αεροπλανοφόρο
airfield	0.601	0.650	0.645	αεροδρόμιο
airhead	0.271	0.481	0.276	κεφαλή αέρα
airlift	0.573	0.622	0.642	αερογέφυρα
airline	0.650	0.482	0.688	αερογραμμή
airliner	0.667	0.777	0.647	αεροπλάνο γραμμής
airlock	0.398	0.520	0.447	airlock
airman	0.587	0.716	0.721	αεροπόρος
airplane	0.719	0.702	0.708	αεροπλάνο
airport	0.729	0.684	0.682	αεροδρόμιο
airs	0.583	0.196	0.370	αέρες
airship	0.542	0.472	0.529	αεροσκάφος
airspace	0.562	0.510	0.640	εναέριο χώρο
airspeed	0.583	0.780	0.544	ταχύτητα αέρα
airstrip	0.550	0.690	0.649	διάδρομος προσγειώσεως
airtight	0.479	0.381	0.570	αεροστεγής
airway	0.638	0.585	0.482	αεροπορική γραμμή
aisle	0.438	0.222	0.283	διάδρομος
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	ημίκλειστος
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	συγγενής
alabaster	0.542	0.404	0.445	αλαβάστρο
alarm	0.241	0.882	0.698	τρομάζω
alarm clock	0.542	0.727	0.642	ξυπνητηρι
alarmed	0.188	0.822	0.492	θορυβημένος
alarming	0.204	0.890	0.585	ανησυχητικός
alas	0.571	0.310	0.279	Αλίμονο
alb	0.521	0.380	0.427	αλβ
albatross	0.500	0.445	0.527	αλμπατρός
albino	0.500	0.240	0.358	λευκίτης
album	0.635	0.349	0.453	άλμπουμ
alchemy	0.541	0.583	0.693	αλχημεία
alcohol	0.323	0.667	0.377	αλκοόλ
alcoholic	0.153	0.688	0.361	αλκοολικός
alcoholism	0.061	0.779	0.407	αλκοολισμός
alcove	0.490	0.340	0.356	εσοχή
alderman	0.550	0.459	0.691	δημοτικός σύμβουλος
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	συναγερμός
alertness	0.375	0.875	0.750	ετοιμότητα
alerts	0.337	0.804	0.673	ειδοποιήσεις
alfalfa	0.546	0.250	0.311	αλφάλφα
algebra	0.440	0.340	0.565	άλγεβρα
algebraic	0.531	0.412	0.441	αλγεβρικός
algorithm	0.448	0.394	0.559	αλγόριθμος
alias	0.541	0.353	0.333	ψευδώνυμο
alibi	0.396	0.528	0.556	άλλοθι
alien	0.410	0.615	0.491	εξωγήινο
alienate	0.247	0.500	0.523	απαλλοτριώ
alienated	0.410	0.423	0.559	αλλοτριωμένος
alienation	0.378	0.530	0.462	αποξένωση
alight	0.667	0.657	0.605	αναμμένος
align	0.656	0.364	0.627	ευθυγραμμίζω
aligned	0.583	0.275	0.553	ευθυγραμμισμένος
alignment	0.643	0.412	0.683	ευθυγραμμία
alike	0.653	0.173	0.444	ομοίως
alimentation	0.781	0.551	0.602	θρέψη
alimony	0.612	0.477	0.464	επίδομα διατροφής
aliquot	0.440	0.310	0.404	ομαλός διαιρέτης
alive	0.816	0.637	0.731	ζωντανός
alkali	0.490	0.350	0.408	αλκαλίο
alkaloids	0.433	0.562	0.402	αλκαλοειδή
allay	0.417	0.406	0.398	ανακουφίζω
allegation	0.578	0.578	0.608	ισχυρισμός
allege	0.418	0.482	0.587	ισχυρίζομαι
alleged	0.365	0.522	0.520	υποτιθεμένος
allegiance	0.917	0.398	0.750	υποταγή
allegorical	0.517	0.558	0.598	αλληγορικός
allegory	0.615	0.580	0.509	αλληγορία
allegro	0.635	0.627	0.453	γοργά
allergic	0.135	0.549	0.273	αλλεργικός
allergy	0.296	0.606	0.389	αλλεργία
alleviate	0.869	0.270	0.528	ανακουφίζω
alleviation	0.735	0.200	0.491	ανακούφιση
alley	0.347	0.500	0.355	δρομάκι
alleyway	0.357	0.471	0.382	διάδρομος
alliance	0.696	0.473	0.769	ΣΥΜΜΑΧΙΑ
allied	0.714	0.245	0.642	σύμμαχος
alligator	0.354	0.704	0.645	αλλιγάτορας
allocate	0.673	0.462	0.672	διανέμω
allocation	0.604	0.388	0.679	κατανομή
allot	0.622	0.481	0.616	κατανέμω
allotment	0.600	0.390	0.640	κατανομή
allow	0.698	0.429	0.538	επιτρέπω
allowable	0.698	0.500	0.561	επιτρεπόμενος
allowance	0.673	0.382	0.591	επίδομα
allowed	0.730	0.360	0.655	επιτρέπεται
alloy	0.583	0.443	0.593	κράμα
allsmiles	0.786	0.528	0.430	χαμόγελα
allure	0.804	0.585	0.686	δελεάζω
alluring	0.837	0.745	0.843	δελεαστικός
allusion	0.440	0.308	0.462	νύξη
alluvial	0.323	0.490	0.491	αλλουβιακός
ally	0.792	0.320	0.688	σύμμαχος
almanac	0.688	0.190	0.412	ημερολόγιο
almighty	0.938	0.874	0.958	παντοδύναμος
almond	0.698	0.183	0.314	αμύγδαλο
aloft	0.771	0.373	0.700	ψηλά
aloha	0.698	0.440	0.441	αλόχα
alone	0.333	0.167	0.216	μόνος
alongside	0.458	0.333	0.347	παραλληλα
aloof	0.189	0.423	0.302	σε απόσταση
aloud	0.458	0.713	0.750	μεγαλόφωνως
alpha	0.708	0.340	0.755	άλφα
alphabet	0.562	0.204	0.672	αλφάβητο
alphabetical	0.537	0.296	0.535	αλφαβητικός
alpine	0.594	0.337	0.474	αλπικός
alreadyyyyy	0.592	0.717	0.351	ήδη εεεε
altar	0.724	0.387	0.635	Αγια ΤΡΑΠΕΖΑ
altar boy	0.434	0.206	0.350	αγόρι του βωμού
alter	0.333	0.694	0.654	αλλάζω
alteration	0.167	0.798	0.609	μεταβολή
altercation	0.170	0.806	0.500	φιλονικία
altered	0.255	0.765	0.500	αλλοιώθηκε
alternate	0.625	0.363	0.589	εναλλακτικό
alternating	0.480	0.494	0.542	εναλλασσόμενος
alternative	0.628	0.373	0.631	εναλλακτική λύση
altimeter	0.615	0.510	0.580	υψόμετρο
altitude	0.708	0.482	0.736	υψόμετρο
alto	0.656	0.404	0.730	κοντράλτο
altogether	0.833	0.324	0.644	εντελώς
aluminum	0.449	0.280	0.434	αλουμίνιο
alumnus	0.633	0.368	0.422	απόφοιτος
alveolar	0.469	0.481	0.367	φατνιακός
alzheimers	0.194	0.518	0.319	αλτσχάιμερ
amalgam	0.438	0.333	0.510	αμαλγάμα
amalgamation	0.406	0.470	0.531	συγχώνευση
amaretto	0.543	0.551	0.375	αμαρέτο
amass	0.552	0.465	0.465	συσσωρεύω
amateur	0.469	0.500	0.409	ερασιτέχνης
amaze	0.896	0.843	0.783	καταπλήσσω
amazed	0.796	0.779	0.533	έκθαμβος
amazedness	0.827	0.872	0.510	κατάπληξη
amazement	0.750	0.800	0.639	έκπληξη
amazing	0.906	0.837	0.849	φοβερο
amazingly	0.918	0.765	0.920	καταπληκτικά
ambassador	0.651	0.529	0.917	πρεσβευτής
amber	0.635	0.308	0.369	κεχριμπάρι
ambience	0.735	0.356	0.426	ατμόσφαιρα
ambient	0.625	0.360	0.582	περιβάλλων
ambiguity	0.164	0.460	0.370	ασάφεια
ambiguous	0.265	0.462	0.358	ασαφής
ambit	0.479	0.380	0.386	περίγραμμα
