English Word	Valence	Arousal	Dominance	Frisian Word
absent	0.177	0.221	0.116	ôfwêzich
absentee	0.235	0.330	0.279	ôfwêzich
absenteeism	0.404	0.273	0.357	ôfwêzigens
absinthe	0.481	0.510	0.462	absint
absolute	0.526	0.510	0.827	absolút
absolution	0.715	0.500	0.664	absolúsje
absolve	0.684	0.449	0.660	absolve
absorb	0.469	0.558	0.670	absorb
absorbed	0.490	0.471	0.519	opnomd
absorbent	0.552	0.394	0.718	absorberend
absorbing	0.490	0.490	0.578	absorbearjend
absorption	0.609	0.422	0.446	absorption
abstain	0.385	0.385	0.427	ûnthâlde
abstention	0.271	0.264	0.509	ûnthâlding
abstinence	0.260	0.392	0.429	abstinens
abstract	0.438	0.292	0.444	abstrakt
abstraction	0.469	0.439	0.525	abstraksje
absurd	0.188	0.656	0.284	ûnsinnich
absurdity	0.115	0.528	0.227	absurditeit
abundance	0.812	0.690	0.852	oerfloed
abundant	0.958	0.590	0.760	oerfloedich
abuse	0.071	0.873	0.469	misbrûk
abused	0.021	0.874	0.235	misbrûkt
abusive	0.125	0.903	0.567	abusive
abutment	0.500	0.265	0.616	abutment
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	ôfgryslik
abyss	0.353	0.725	0.296	ôfgrûn
academic	0.781	0.420	0.812	akademysk
academy	0.704	0.473	0.792	akademy
accede	0.698	0.510	0.537	oangean
accelerant	0.643	0.844	0.802	accelerant
accelerate	0.615	0.902	0.759	fersnelle
accelerated	0.610	0.812	0.682	fersneld
acceleration	0.704	0.905	0.843	fersnelling
accelerator	0.593	0.830	0.812	accelerator
accent	0.598	0.357	0.509	aksint
accentuate	0.673	0.556	0.667	aksintuearje
accept	0.847	0.286	0.565	oannimme
acceptable	0.812	0.286	0.583	oannimlik
acceptance	0.833	0.287	0.755	akseptaasje
acceptances	0.847	0.413	0.648	akseptaasjes
access	0.714	0.472	0.567	tagong
accessible	0.796	0.410	0.645	tagonklik
accession	0.612	0.383	0.636	oansluting
accessory	0.562	0.292	0.445	accessory
accident	0.125	0.908	0.336	ûngelok
accidental	0.319	0.784	0.307	tafallich
accidentally	0.333	0.741	0.333	tafallich
acclaim	0.562	0.809	0.718	acclaim
accolade	0.688	0.591	0.775	lof
accommodate	0.844	0.375	0.566	akkomodearje
accommodation	0.817	0.415	0.587	akkommodaasje
accompaniment	0.740	0.479	0.695	begelieding
accompany	0.833	0.406	0.585	begeliede
accompanying	0.787	0.460	0.582	byhearrende
accomplice	0.408	0.580	0.510	medeplichtigen
accomplish	0.929	0.673	0.816	berikke
accomplished	0.870	0.520	0.798	folbrocht
accomplishment	0.917	0.694	0.888	prestaasje
accord	0.898	0.264	0.382	oerienkomst
accordance	0.659	0.349	0.600	oerienstimming
accordion	0.604	0.490	0.361	akkordeon
account	0.531	0.347	0.472	rekken
accountability	0.755	0.537	0.833	ferantwurding
accountable	0.709	0.282	0.777	ferantwurding
accountant	0.625	0.450	0.639	akkountant
accounting	0.552	0.390	0.677	boekhâlding
accounts	0.592	0.340	0.471	akkounts
accredited	0.669	0.479	0.768	akkreditearre
accretion	0.448	0.519	0.672	oanwinst
accrue	0.520	0.481	0.602	oanwinne
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	accumulearje
accumulation	0.479	0.527	0.600	accumulation
accuracy	0.604	0.481	0.802	krektens
accurate	0.743	0.360	0.737	akkuraat
accursed	0.135	0.745	0.345	ferflokt
accusation	0.073	0.718	0.564	beskuldiging
accusative	0.198	0.755	0.482	akkusatyf
accuse	0.133	0.752	0.500	beskuldigje
accused	0.130	0.670	0.420	beskuldige
accuser	0.122	0.779	0.615	oanklager
accusing	0.156	0.745	0.324	beskuldigjend
accustomed	0.542	0.365	0.441	wend
ace	0.643	0.481	0.546	ace
acetic	0.333	0.420	0.519	acetic
acetylene	0.306	0.469	0.509	acetylene
ache	0.146	0.760	0.312	pine
achieve	0.816	0.545	0.843	berikke
achieved	0.896	0.519	0.775	berikt
achievement	0.896	0.808	0.759	prestaasje
aching	0.053	0.880	0.348	pine
achy	0.167	0.840	0.373	achy
acid	0.265	0.642	0.566	soer
acidity	0.156	0.663	0.360	acidity
acknowledge	0.786	0.370	0.661	erkenne
acknowledged	0.714	0.443	0.765	erkend
acknowledgement	0.819	0.539	0.830	erkenning
acknowledgment	0.796	0.528	0.777	erkenning
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	jeugdpûkels
acorn	0.448	0.198	0.192	ikel
acoustic	0.542	0.462	0.536	akoestyske
acoustics	0.611	0.330	0.509	akoestyk
acquaint	0.646	0.491	0.639	kunde
acquaintance	0.656	0.290	0.670	kunde
acquainted	0.906	0.358	0.632	kunde
acquiescence	0.542	0.480	0.554	oerienkomst
acquire	0.833	0.468	0.700	oanskaffe
acquiring	0.735	0.510	0.817	oernimme
acquisition	0.698	0.509	0.736	oanwinst
acquisitions	0.773	0.660	0.790	oanwinsten
acquit	0.583	0.571	0.611	frijlitte
acquittal	0.760	0.497	0.700	frijspraak
acre	0.583	0.387	0.423	acre
acreage	0.741	0.450	0.528	areaal
acres	0.510	0.363	0.500	acres
acrobat	0.708	0.828	0.602	akrobaat
acrylic	0.582	0.279	0.420	acryl
act	0.656	0.704	0.735	handeling
acting	0.698	0.643	0.500	aktearjen
action	0.760	0.898	0.802	aksje
action figure	0.615	0.774	0.611	aksjefiguer
actionable	0.673	0.702	0.613	actionable
activate	0.764	0.650	0.806	aktivearje
activation	0.781	0.800	0.754	aktivearring
active	0.847	0.730	0.731	aktyf
activist	0.531	0.653	0.877	aktivist
activity	0.701	0.660	0.807	aktiviteit
actor	0.653	0.561	0.629	toanielspiler
actress	0.633	0.556	0.596	toanielspylster
actual	0.729	0.400	0.716	feitlik
actuality	0.750	0.464	0.600	aktualiteit
actuary	0.510	0.404	0.491	aktuaris
acuity	0.469	0.378	0.741	skerpte
acumen	0.564	0.660	0.679	skerpsinnigens
acupuncture	0.531	0.324	0.549	akupunktur
acute	0.427	0.652	0.534	acute
acutely	0.417	0.543	0.491	acutely
ad	0.521	0.705	0.558	ad
adage	0.517	0.415	0.566	adage
adamant	0.344	0.529	0.575	adamant
adapt	0.740	0.355	0.551	oanpasse
adaptable	0.735	0.423	0.641	oanpasber
adaptation	0.663	0.365	0.609	oanpassing
add	0.728	0.490	0.554	tafoegje
added	0.562	0.405	0.509	tafoege
addendum	0.392	0.370	0.418	addendum
adder	0.388	0.461	0.588	adder
addict	0.075	0.696	0.327	ferslaafde
addicted	0.156	0.712	0.483	ferslave
addiction	0.180	0.806	0.420	ferslaving
addictive	0.302	0.683	0.472	ferslaavjend
addition	0.562	0.373	0.471	tafoeging
additional	0.673	0.462	0.526	oanfoljend
additive	0.561	0.633	0.691	additive
address	0.650	0.327	0.567	adres
addressee	0.622	0.382	0.538	adressearre
addresses	0.510	0.354	0.450	adressen
adept	0.594	0.539	0.789	adept
adequacy	0.615	0.435	0.702	adekwaatheid
adequate	0.854	0.264	0.705	foldwaande
adhere	0.633	0.339	0.554	oanhingje
adherence	0.760	0.307	0.630	oanhing
adherent	0.561	0.385	0.555	oanhinger
adhering	0.612	0.561	0.537	oanhingje
adhesion	0.521	0.445	0.586	adhesion
adhesive	0.604	0.350	0.413	adhesive
adieu	0.250	0.471	0.342	adieu
adipose	0.333	0.350	0.391	adipose
adjacency	0.365	0.417	0.375	adjacency
adjacent	0.645	0.276	0.536	neistlizzend
adjective	0.570	0.316	0.569	eigenskipswurd
adjoining	0.520	0.400	0.393	oanswettende
adjourn	0.385	0.456	0.475	fertrage
adjournment	0.438	0.510	0.370	fertraging
adjudicate	0.559	0.520	0.683	oardielje
adjudication	0.551	0.462	0.691	oardiel
adjunct	0.459	0.440	0.426	adjunct
adjust	0.647	0.327	0.638	oanpasse
adjuster	0.510	0.540	0.760	oanpassing
adjustment	0.590	0.520	0.661	oanpassing
adjuvant	0.510	0.500	0.456	adjuvant
admin	0.688	0.420	0.854	admin
administer	0.635	0.425	0.860	administrearje
administration	0.625	0.404	0.786	bestjoer
administrative	0.542	0.415	0.579	bestjoerlik
administrator	0.538	0.480	0.902	behearder
admirable	0.929	0.600	0.870	bewûnderlik
admiral	0.844	0.490	0.847	admiraal
admiralty	0.594	0.547	0.733	admiraliteit
admiration	0.969	0.583	0.726	bewûndering
admire	0.867	0.692	0.704	bewûnderje
admired	0.917	0.560	0.815	bewûndere
admirer	0.796	0.720	0.650	bewûnderer
admiring	0.867	0.578	0.629	bewûndering
admissibility	0.802	0.580	0.602	tastien
admissible	0.780	0.528	0.642	tastien
admission	0.802	0.415	0.732	tagong
admit	0.538	0.423	0.667	tajaan
admittance	0.690	0.451	0.598	tagong
admitted	0.720	0.490	0.767	talitten
admitting	0.620	0.500	0.546	tajaan
admixture	0.450	0.375	0.438	bymenging
admonition	0.357	0.606	0.455	fermaning
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	adolesinsje
adolescent	0.781	0.680	0.509	adolesinte
adopt	0.694	0.612	0.701	oannimme
adoption	0.625	0.566	0.589	oannimmen
adoptive	0.531	0.469	0.520	adoptyf
adorable	0.969	0.519	0.457	adorable
adoration	0.885	0.699	0.708	oanbidding
adore	0.854	0.438	0.657	oanbidde
adoring	0.885	0.620	0.717	oanbidde
adorn	0.910	0.424	0.482	fersiere
adornment	0.918	0.373	0.377	fersiering
adrenalin	0.865	0.920	0.786	adrenaline
adrenaline	0.765	0.965	0.825	adrenaline
adrift	0.398	0.486	0.230	adrift
adult	0.815	0.491	0.787	folwoeksen
adulterated	0.188	0.865	0.370	ferwoaste
adulterer	0.229	0.814	0.407	oerbrekker
adultery	0.120	0.922	0.510	oerhoer
adulthood	0.541	0.454	0.652	folwoeksenheid
advance	0.673	0.472	0.858	foarút
advanced	0.844	0.623	0.797	advanced
advancement	0.776	0.650	0.839	foarútgong
advancing	0.929	0.608	0.812	foarútgong
advantage	0.917	0.548	0.859	foardiel
advantageous	0.837	0.640	0.789	foardielich
advent	0.665	0.560	0.627	advent
adventure	0.917	0.857	0.710	aventoer
adventurer	0.781	0.839	0.868	aventoer
adventures	0.812	0.764	0.749	aventoeren
adventurous	0.969	0.898	0.722	aventoerlik
adversary	0.349	0.777	0.457	tsjinstanner
adverse	0.323	0.610	0.385	adverse
adversity	0.276	0.760	0.538	tsjinslach
advertise	0.500	0.529	0.580	advertearje
advertisement	0.600	0.566	0.539	advertinsje
advertising	0.622	0.608	0.632	reklame
adverts	0.551	0.500	0.595	advertinsjes
advice	0.698	0.408	0.688	rie
advisable	0.867	0.480	0.510	oan te rieden
advise	0.760	0.393	0.705	advisearje
advised	0.823	0.330	0.509	advisearre
advisement	0.698	0.235	0.655	advys
adviser	0.745	0.362	0.705	adviseur
advisor	0.646	0.350	0.689	adviseur
advisory	0.656	0.429	0.633	advisearjend
advocacy	0.500	0.646	0.731	advocacy
advocate	0.551	0.530	0.818	bepleitsje
aegis	0.490	0.439	0.462	aegis
aeration	0.550	0.500	0.433	beluchting
aerial	0.615	0.461	0.463	loftfoto
aerobics	0.708	0.771	0.627	aerobics
aerodrome	0.541	0.740	0.678	fleanfjild
aerodynamic	0.561	0.724	0.728	aerodynamyske
aerodynamics	0.590	0.663	0.722	aerodynamika
aeronautics	0.551	0.633	0.688	loftfeart
aeroplane	0.714	0.642	0.644	fleanmasine
aerospace	0.643	0.520	0.779	aerospace
aesthetic	0.708	0.442	0.526	estetyske
aesthetics	0.847	0.327	0.549	estetyk
aetiology	0.480	0.398	0.615	etiology
afar	0.396	0.373	0.358	fier
affable	0.704	0.380	0.452	oannimlik
affair	0.520	0.459	0.657	affêre
affect	0.458	0.569	0.578	beynfloedzje
affecting	0.350	0.574	0.394	beynfloedzjen
affection	0.898	0.559	0.696	affection
affectionate	0.949	0.422	0.550	affectionate
affections	0.760	0.547	0.655	affections
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	affidavit
affiliated	0.673	0.519	0.535	oansletten
affiliation	0.615	0.594	0.500	affiliation
affinity	0.800	0.500	0.537	affiniteit
affirm	0.745	0.509	0.731	Befêstigje
affirmation	0.750	0.500	0.689	befêstiging
affirmative	0.854	0.589	0.816	befêstigjend
affirmatively	0.908	0.500	0.811	befêstigjend
affix	0.438	0.335	0.411	oanbringen
afflict	0.302	0.555	0.293	oandwaan
afflicted	0.271	0.500	0.167	oandien
affliction	0.294	0.635	0.392	ellinde
affluence	0.663	0.618	0.722	rykdom
affluent	0.756	0.388	0.477	begoedige
afford	0.571	0.580	0.575	betelje
affordable	0.840	0.398	0.493	betelbere
affront	0.327	0.740	0.547	affront
affronted	0.385	0.750	0.527	beledige
afield	0.594	0.370	0.373	fuort
afire	0.367	0.904	0.675	in brân
afloat	0.602	0.427	0.444	float
afore	0.500	0.337	0.382	earder
aforementioned	0.490	0.316	0.408	earderneamde
aforesaid	0.531	0.358	0.478	earder neamd
afraid	0.010	0.775	0.245	bang
afresh	0.643	0.521	0.480	nij
aft	0.480	0.417	0.518	aft
afterlife	0.571	0.567	0.568	neilibjen
aftermath	0.312	0.449	0.444	neisleep
afternoon	0.533	0.388	0.339	middei
aftershave	0.406	0.384	0.415	aftershave
aftertaste	0.354	0.362	0.455	neismaak
afterthought	0.396	0.392	0.349	neitocht
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	agaat
age	0.561	0.226	0.498	leeftyd
aged	0.135	0.365	0.236	âldens
agency	0.460	0.296	0.583	agintskip
agenda	0.531	0.296	0.553	wurklist
agent	0.480	0.439	0.755	agint
agglomeration	0.450	0.765	0.509	agglomeraasje
aggravate	0.224	0.770	0.464	fergrieme
aggravated	0.079	0.760	0.430	fergriemd
aggravates	0.108	0.778	0.357	fergruttet
aggravating	0.257	0.794	0.640	aggravating
aggravation	0.071	0.784	0.613	aggravation
aggregate	0.730	0.378	0.556	aggregaat
aggregation	0.583	0.517	0.694	aggregaasje
aggresive	0.059	0.971	0.639	agressyf
aggression	0.094	0.929	0.533	agresje
aggressive	0.125	0.949	0.648	agressyf
aggressively	0.250	0.926	0.688	agressyf
aggressiveness	0.077	0.913	0.648	agressiviteit
aggressor	0.146	0.948	0.823	agressor
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	ôfgryslik
aghhh	0.281	0.635	0.243	aghhh
agile	0.800	0.657	0.775	agile
agility	0.720	0.702	0.815	agility
aging	0.214	0.255	0.284	ferâldering
agitate	0.300	0.796	0.593	agitearje
agitated	0.444	0.882	0.491	agitearre
agitation	0.240	0.931	0.447	agitaasje
aglow	0.780	0.510	0.797	gloed
agnostic	0.306	0.396	0.574	agnostysk
ago	0.317	0.280	0.404	lyn
agonizing	0.083	0.800	0.340	agonizing
agony	0.083	0.775	0.393	agony
agoraphobia	0.127	0.712	0.438	agorafoby
agree	0.906	0.260	0.545	oerienkomme
agreeable	0.906	0.500	0.696	gaadlik
agreed	0.797	0.449	0.574	ôfpraat
agreeing	0.854	0.480	0.557	iens
agreement	0.760	0.440	0.736	oerienkomst
agressive	0.083	0.918	0.751	agressyf
agricultural	0.686	0.321	0.473	lânbou
agriculture	0.640	0.357	0.465	lânbou
aground	0.333	0.340	0.445	aground
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	foarút
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhh
ahoy	0.500	0.497	0.380	ahoy
aid	0.796	0.491	0.541	helpmiddel
aide	0.724	0.342	0.434	aide
aiding	0.643	0.533	0.569	helpe
aids	0.561	0.480	0.500	helpmiddels
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	siik
ailment	0.146	0.734	0.277	kwaal
aim	0.481	0.569	0.567	doel
aimless	0.150	0.267	0.183	doelleas
air	0.708	0.163	0.427	loft
airbag	0.510	0.402	0.433	airbag
airborne	0.542	0.519	0.385	airborne
aircraft	0.646	0.644	0.691	fleantúch
aircraft carrier	0.490	0.740	0.727	fleandekskip
airfield	0.601	0.650	0.645	fleanfjild
airhead	0.271	0.481	0.276	airhead
airlift	0.573	0.622	0.642	loftfeart
airline	0.650	0.482	0.688	loftfeartmaatskippij
airliner	0.667	0.777	0.647	airliner
airlock	0.398	0.520	0.447	loftslot
airman	0.587	0.716	0.721	loftman
airplane	0.719	0.702	0.708	fleanmasine
airport	0.729	0.684	0.682	fleanfjild
airs	0.583	0.196	0.370	lofts
airship	0.542	0.472	0.529	loftskip
airspace	0.562	0.510	0.640	loftrom
airspeed	0.583	0.780	0.544	loftsnelheid
airstrip	0.550	0.690	0.649	airstrip
airtight	0.479	0.381	0.570	luchtdicht
airway	0.638	0.585	0.482	luchtwei
aisle	0.438	0.222	0.283	gong
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	ajar
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	besibbe
alabaster	0.542	0.404	0.445	albast
alarm	0.241	0.882	0.698	alarm
alarm clock	0.542	0.727	0.642	wekker
alarmed	0.188	0.822	0.492	alarmearre
alarming	0.204	0.890	0.585	alarmearjend
alas	0.571	0.310	0.279	helaas
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatros
albino	0.500	0.240	0.358	albino
album	0.635	0.349	0.453	album
alchemy	0.541	0.583	0.693	alchemy
alcohol	0.323	0.667	0.377	alkohol
alcoholic	0.153	0.688	0.361	alkoholist
alcoholism	0.061	0.779	0.407	alkoholisme
alcove	0.490	0.340	0.356	alkoof
alderman	0.550	0.459	0.691	wethâlder
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	alarmearje
alertness	0.375	0.875	0.750	alertness
alerts	0.337	0.804	0.673	warskôgings
alfalfa	0.546	0.250	0.311	luzerne
algebra	0.440	0.340	0.565	algebra
algebraic	0.531	0.412	0.441	algebraysk
algorithm	0.448	0.394	0.559	algoritme
alias	0.541	0.353	0.333	alias
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	frjemdling
alienate	0.247	0.500	0.523	ferfrjemdzje
alienated	0.410	0.423	0.559	ferfrjemde
alienation	0.378	0.530	0.462	ferfrjemding
alight	0.667	0.657	0.605	oanstekke
align	0.656	0.364	0.627	rjochtsje
aligned	0.583	0.275	0.553	ôfstimd
alignment	0.643	0.412	0.683	alignment
alike	0.653	0.173	0.444	gelyk
alimentation	0.781	0.551	0.602	alimentaasje
alimony	0.612	0.477	0.464	alimintaasje
aliquot	0.440	0.310	0.404	aliquot
alive	0.816	0.637	0.731	libben
alkali	0.490	0.350	0.408	alkali
alkaloids	0.433	0.562	0.402	alkaloïden
allay	0.417	0.406	0.398	alley
allegation	0.578	0.578	0.608	beskuldiging
allege	0.418	0.482	0.587	beweare
alleged	0.365	0.522	0.520	bewearde
allegiance	0.917	0.398	0.750	trou
allegorical	0.517	0.558	0.598	allegorysk
allegory	0.615	0.580	0.509	allegory
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	allergysk
allergy	0.296	0.606	0.389	allergy
alleviate	0.869	0.270	0.528	ferleegje
alleviation	0.735	0.200	0.491	ferlichting
alley	0.347	0.500	0.355	alley
alleyway	0.357	0.471	0.382	steegje
alliance	0.696	0.473	0.769	alliânsje
allied	0.714	0.245	0.642	alliearde
alligator	0.354	0.704	0.645	alligator
allocate	0.673	0.462	0.672	allocearje
allocation	0.604	0.388	0.679	allocaasje
allot	0.622	0.481	0.616	allot
allotment	0.600	0.390	0.640	allotment
allow	0.698	0.429	0.538	talitte
allowable	0.698	0.500	0.561	tastien
allowance	0.673	0.382	0.591	fergoeding
allowed	0.730	0.360	0.655	tastien
alloy	0.583	0.443	0.593	legearing
allsmiles	0.786	0.528	0.430	allsmiles
allure	0.804	0.585	0.686	allure
alluring	0.837	0.745	0.843	oanloklik
allusion	0.440	0.308	0.462	oantsjutting
alluvial	0.323	0.490	0.491	alluvial
ally	0.792	0.320	0.688	bûnsgenoat
almanac	0.688	0.190	0.412	almanak
almighty	0.938	0.874	0.958	almachtich
almond	0.698	0.183	0.314	amandel
aloft	0.771	0.373	0.700	aloft
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	allinne
alongside	0.458	0.333	0.347	neist
aloof	0.189	0.423	0.302	ôfsjoen
aloud	0.458	0.713	0.750	lûdop
alpha	0.708	0.340	0.755	alpha
alphabet	0.562	0.204	0.672	alfabet
alphabetical	0.537	0.296	0.535	alfabetysk
alpine	0.594	0.337	0.474	alpine
alreadyyyyy	0.592	0.717	0.351	al
altar	0.724	0.387	0.635	alter
altar boy	0.434	0.206	0.350	alter jonge
alter	0.333	0.694	0.654	feroarje
alteration	0.167	0.798	0.609	feroaring
altercation	0.170	0.806	0.500	altercation
altered	0.255	0.765	0.500	feroare
alternate	0.625	0.363	0.589	ôfwikselje
alternating	0.480	0.494	0.542	ôfwikseljend
alternative	0.628	0.373	0.631	alternatyf
altimeter	0.615	0.510	0.580	hichtemeter
altitude	0.708	0.482	0.736	hichte
alto	0.656	0.404	0.730	alt
altogether	0.833	0.324	0.644	hielendal
aluminum	0.449	0.280	0.434	aluminium
alumnus	0.633	0.368	0.422	alumnus
alveolar	0.469	0.481	0.367	alveolar
alzheimers	0.194	0.518	0.319	alzheimers
amalgam	0.438	0.333	0.510	amalgaam
amalgamation	0.406	0.470	0.531	gearfoeging
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	sammelje
amateur	0.469	0.500	0.409	amateur
amaze	0.896	0.843	0.783	fernuverje
amazed	0.796	0.779	0.533	fernuvere
amazedness	0.827	0.872	0.510	fernuvering
amazement	0.750	0.800	0.639	fernuvering
amazing	0.906	0.837	0.849	ferbazend
amazingly	0.918	0.765	0.920	amazingly
ambassador	0.651	0.529	0.917	ambassadeur
amber	0.635	0.308	0.369	amber
ambience	0.735	0.356	0.426	ambience
ambient	0.625	0.360	0.582	ambient
ambiguity	0.164	0.460	0.370	dûbelsinnigens
ambiguous	0.265	0.462	0.358	dûbelsinnich
ambit	0.479	0.380	0.386	ambit
ambition	0.510	0.804	0.661	ambysje
ambitious	0.484	0.821	0.717	ambisjeus
ambivalent	0.510	0.404	0.482	ambivalent
ambrosia	0.571	0.452	0.480	ambrosia
ambulance	0.500	0.750	0.609	ambulânse
ambush	0.281	0.830	0.500	hinderlaag
ameliorate	0.770	0.548	0.747	ferbetterje
amen	0.781	0.182	0.542	amen
amenable	0.448	0.410	0.406	oannimlik
amend	0.688	0.406	0.658	feroarje
amendment	0.531	0.459	0.606	amendemint
amends	0.640	0.366	0.517	feroaret
amenity	0.750	0.327	0.574	foarsjenning
amethyst	0.622	0.406	0.517	amethyst
amiable	0.847	0.290	0.483	freonlik
amicable	0.875	0.330	0.507	freonlik
amid	0.510	0.340	0.256	amid
amidst	0.480	0.330	0.316	midden
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	munysje
ammonia	0.292	0.587	0.409	ammoniak
ammonium	0.354	0.396	0.368	ammonium
ammunition	0.338	0.635	0.667	munysje
amnesia	0.296	0.330	0.308	amnesia
amnesty	0.551	0.451	0.814	amnesty
amorous	0.844	0.670	0.636	fereale
amorphous	0.327	0.402	0.349	amorf
amortization	0.592	0.491	0.522	amortisaasje
amount	0.562	0.422	0.649	tal
amour	0.865	0.480	0.652	amour
amp	0.439	0.393	0.375	amp
ampersand	0.480	0.448	0.483	ampersand
amphetamines	0.133	0.667	0.526	amfetamines
amphibian	0.427	0.357	0.474	amfibyen
amphibious	0.479	0.346	0.445	amfibyen
amphitheater	0.653	0.480	0.545	amfiteater
ample	0.744	0.349	0.719	ryklik
amplification	0.690	0.677	0.810	fersterking
amplify	0.677	0.735	0.827	fersterkje
amplitude	0.694	0.439	0.692	amplitude
amply	0.781	0.431	0.766	amply
amputate	0.092	0.660	0.509	amputearje
amputation	0.100	0.755	0.483	amputaasje
amuck	0.385	0.602	0.321	amuk
amulet	0.781	0.260	0.630	amulet
amuse	0.812	0.684	0.664	amusearje
amused	0.942	0.847	0.596	amusearre
amusement	0.929	0.837	0.803	fermaak
amusing	0.960	0.829	0.632	amusant
ana	0.541	0.300	0.314	ana
anaconda	0.146	0.830	0.540	anaconda
anaesthesia	0.350	0.217	0.473	anesthesia
anaesthetic	0.449	0.268	0.509	anesthetic
anagram	0.552	0.327	0.449	anagram
anal	0.333	0.798	0.334	anaal
analgesic	0.417	0.321	0.441	analgetika
analogous	0.531	0.270	0.500	analogysk
analogue	0.570	0.320	0.446	analoog
analogy	0.510	0.367	0.509	analogy
analysis	0.729	0.448	0.705	analyze
analyst	0.604	0.415	0.755	analist
analytic	0.665	0.521	0.634	analytysk
analytical	0.625	0.324	0.800	analytysk
analyze	0.667	0.462	0.710	analysearje
analyzer	0.625	0.556	0.854	analyzer
anaphylactic	0.378	0.588	0.500	anafylaktysk
anarchism	0.125	0.804	0.623	anargisme
anarchist	0.204	0.700	0.759	anargist
anarchy	0.146	0.755	0.620	anargy
anastomosis	0.375	0.470	0.490	anastomosis
anathema	0.286	0.490	0.519	anathema
anatomic	0.562	0.442	0.546	anatomysk
