English Word	Valence	Arousal	Dominance	Hmong Word
acknowledgment	0.796	0.528	0.777	kev lees paub
acme	0.408	0.435	0.375	ua acme
acne	0.167	0.474	0.308	pob txuv
acorn	0.448	0.198	0.192	acorn
acoustic	0.542	0.462	0.536	acoustic
acoustics	0.611	0.330	0.509	acoustics
acquaint	0.646	0.491	0.639	paub
acquaintance	0.656	0.290	0.670	neeg paub
acquainted	0.906	0.358	0.632	paub
acquiescence	0.542	0.480	0.554	kev lees paub
acquire	0.833	0.468	0.700	tau
acquiring	0.735	0.510	0.817	tau
acquisition	0.698	0.509	0.736	nrhiav tau
acquisitions	0.773	0.660	0.790	kev yuav khoom
acquit	0.583	0.571	0.611	zam txim
acquittal	0.760	0.497	0.700	raug txim
acre	0.583	0.387	0.423	acre
acreage	0.741	0.450	0.528	thaj av
acres	0.510	0.363	0.500	daim av
acrobat	0.708	0.828	0.602	acrobat
acrylic	0.582	0.279	0.420	acrylic xim
act	0.656	0.704	0.735	ua
acting	0.698	0.643	0.500	ua yeeb yam
action	0.760	0.898	0.802	kev ua
action figure	0.615	0.774	0.611	daim duab ua
actionable	0.673	0.702	0.613	ua tau
activate	0.764	0.650	0.806	qhib
activation	0.781	0.800	0.754	ua kom
active	0.847	0.730	0.731	nquag
activist	0.531	0.653	0.877	tus neeg ua haujlwm
activity	0.701	0.660	0.807	kev ua si
actor	0.653	0.561	0.629	ua yeeb yam
actress	0.633	0.556	0.596	ua yeeb yam
actual	0.729	0.400	0.716	qhov tseeb
actuality	0.750	0.464	0.600	qhov tseeb
actuary	0.510	0.404	0.491	tus kws qhia ntawv
acuity	0.469	0.378	0.741	acuity
acumen	0.564	0.660	0.679	acumen
acupuncture	0.531	0.324	0.549	acupuncture
acute	0.427	0.652	0.534	mob hnyav
acutely	0.417	0.543	0.491	mob heev
ad	0.521	0.705	0.558	ad
adage	0.517	0.415	0.566	lus
adamant	0.344	0.529	0.575	adamant
adapt	0.740	0.355	0.551	yoog raws
adaptable	0.735	0.423	0.641	hloov tau
adaptation	0.663	0.365	0.609	kev yoog raws
add	0.728	0.490	0.554	ntxiv
added	0.562	0.405	0.509	ntxiv
addendum	0.392	0.370	0.418	ntxiv
adder	0.388	0.461	0.588	adder
addict	0.075	0.696	0.327	neeg quav yeeb quav tshuaj
addicted	0.156	0.712	0.483	neeg quav yeeb quav tshuaj
addiction	0.180	0.806	0.420	kev quav yeeb quav tshuaj
addictive	0.302	0.683	0.472	yees
addition	0.562	0.373	0.471	ntxiv
additional	0.673	0.462	0.526	ntxiv
additive	0.561	0.633	0.691	tshuaj ntxiv
address	0.650	0.327	0.567	chaw nyob
addressee	0.622	0.382	0.538	tus neeg hais lus
addresses	0.510	0.354	0.450	chaw nyob
adept	0.594	0.539	0.789	adept
adequacy	0.615	0.435	0.702	txaus
adequate	0.854	0.264	0.705	txaus
adhere	0.633	0.339	0.554	ua raws
adherence	0.760	0.307	0.630	kev ua raws
adherent	0.561	0.385	0.555	ua raws
adhering	0.612	0.561	0.537	ua raws
adhesion	0.521	0.445	0.586	adhesion
adhesive	0.604	0.350	0.413	nplaum
adieu	0.250	0.471	0.342	adieu ua
adipose	0.333	0.350	0.391	adipose
adjacency	0.365	0.417	0.375	nyob sib ze
adjacent	0.645	0.276	0.536	nyob sib ze
adjective	0.570	0.316	0.569	npe
adjoining	0.520	0.400	0.393	nyob sib ze
adjourn	0.385	0.456	0.475	ncua
adjournment	0.438	0.510	0.370	ncua sij hawm
adjudicate	0.559	0.520	0.683	txiav txim
adjudication	0.551	0.462	0.691	kev txiav txim
adjunct	0.459	0.440	0.426	sib txuas
adjust	0.647	0.327	0.638	kho
adjuster	0.510	0.540	0.760	adjuster
adjustment	0.590	0.520	0.661	kev hloov kho
adjuvant	0.510	0.500	0.456	adjuvant
admin	0.688	0.420	0.854	admin
administer	0.635	0.425	0.860	tswj hwm
administration	0.625	0.404	0.786	kev tswj hwm
administrative	0.542	0.415	0.579	kev tswj hwm
administrator	0.538	0.480	0.902	tus thawj tswj hwm
admirable	0.929	0.600	0.870	qhuas
admiral	0.844	0.490	0.847	tus hlob
admiralty	0.594	0.547	0.733	kev qhuas
admiration	0.969	0.583	0.726	kev qhuas
admire	0.867	0.692	0.704	qhuas
admired	0.917	0.560	0.815	qhuas
admirer	0.796	0.720	0.650	tus qhuas
admiring	0.867	0.578	0.629	qhuas
admissibility	0.802	0.580	0.602	kev lees paub
admissible	0.780	0.528	0.642	nkag tau
admission	0.802	0.415	0.732	nkag
admit	0.538	0.423	0.667	lees
admittance	0.690	0.451	0.598	kev nkag
admitted	0.720	0.490	0.767	tau txais
admitting	0.620	0.500	0.546	lees
admixture	0.450	0.375	0.438	tshuaj sib tov
admonition	0.357	0.606	0.455	lus ntuas
ado	0.520	0.423	0.385	ua ado
adobe	0.500	0.319	0.328	adobe ua
adolescence	0.487	0.694	0.444	thaum hluas
adolescent	0.781	0.680	0.509	tub hluas
adopt	0.694	0.612	0.701	txais yuav
adoption	0.625	0.566	0.589	kev saws me nyuam
adoptive	0.531	0.469	0.520	txais yuav
adorable	0.969	0.519	0.457	ntxim hlub
adoration	0.885	0.699	0.708	kev qhuas
adore	0.854	0.438	0.657	hlub
adoring	0.885	0.620	0.717	hlub
adorn	0.910	0.424	0.482	dai kom zoo nkauj
adornment	0.918	0.373	0.377	dai kom zoo nkauj
adrenalin	0.865	0.920	0.786	adrenalin
adrenaline	0.765	0.965	0.825	adrenaline
adrift	0.398	0.486	0.230	ntog
adult	0.815	0.491	0.787	neeg laus
adulterated	0.188	0.865	0.370	deev luag poj luag txiv
adulterer	0.229	0.814	0.407	neeg deev luag poj luag txiv
adultery	0.120	0.922	0.510	kev deev luag poj luag txiv
adulthood	0.541	0.454	0.652	laus
advance	0.673	0.472	0.858	ua ntej
advanced	0.844	0.623	0.797	advanced
advancement	0.776	0.650	0.839	kev nce qib
advancing	0.929	0.608	0.812	nce qib
advantage	0.917	0.548	0.859	qhov zoo
advantageous	0.837	0.640	0.789	muaj txiaj ntsig
advent	0.665	0.560	0.627	tuaj txog
adventure	0.917	0.857	0.710	taug txuj kev nyuaj
adventurer	0.781	0.839	0.868	taug txuj kev nyuaj
adventures	0.812	0.764	0.749	taug txuj kev nyuaj
adventurous	0.969	0.898	0.722	taug txuj kev nyuaj
adversary	0.349	0.777	0.457	yeeb ncuab
adverse	0.323	0.610	0.385	phem
adversity	0.276	0.760	0.538	kev txom nyem
advertise	0.500	0.529	0.580	tshaj tawm
advertisement	0.600	0.566	0.539	kev tshaj tawm
advertising	0.622	0.608	0.632	kev tshaj tawm
adverts	0.551	0.500	0.595	tshaj tawm
advice	0.698	0.408	0.688	lus qhia
advisable	0.867	0.480	0.510	pom zoo
advise	0.760	0.393	0.705	qhia
advised	0.823	0.330	0.509	qhia
advisement	0.698	0.235	0.655	lus qhia
adviser	0.745	0.362	0.705	tus kws pab tswv yim
advisor	0.646	0.350	0.689	tus kws pab tswv yim
advisory	0.656	0.429	0.633	kev tawm tswv yim
advocacy	0.500	0.646	0.731	kev tawm tswv yim
advocate	0.551	0.530	0.818	tus neeg tawm suab
aegis	0.490	0.439	0.462	aegs ib
aeration	0.550	0.500	0.433	aeration
aerial	0.615	0.461	0.463	dav hlau
aerobics	0.708	0.771	0.627	aerobics
aerodrome	0.541	0.740	0.678	aerodrome
aerodynamic	0.561	0.724	0.728	aerodynamic
aerodynamics	0.590	0.663	0.722	aerodynamics
aeronautics	0.551	0.633	0.688	aeronautics
aeroplane	0.714	0.642	0.644	lub dav hlau
aerospace	0.643	0.520	0.779	aerospace
aesthetic	0.708	0.442	0.526	zoo nkauj
aesthetics	0.847	0.327	0.549	zoo nkauj
aetiology	0.480	0.398	0.615	aetiology
afar	0.396	0.373	0.358	nyob deb
affable	0.704	0.380	0.452	muaj peev xwm
affair	0.520	0.459	0.657	kev sib raug zoo
affect	0.458	0.569	0.578	cuam tshuam
affecting	0.350	0.574	0.394	cuam tshuam
affection	0.898	0.559	0.696	kev hlub
affectionate	0.949	0.422	0.550	hlub
affections	0.760	0.547	0.655	kev hlub
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	daim ntawv pov thawj
affiliated	0.673	0.519	0.535	koom nrog
affiliation	0.615	0.594	0.500	kev koom tes
affinity	0.800	0.500	0.537	kev sib raug zoo
affirm	0.745	0.509	0.731	lees paub
affirmation	0.750	0.500	0.689	kev lees paub
affirmative	0.854	0.589	0.816	lees paub
affirmatively	0.908	0.500	0.811	lees paub
affix	0.438	0.335	0.411	affix
afflict	0.302	0.555	0.293	kev txom nyem
afflicted	0.271	0.500	0.167	txom nyem
affliction	0.294	0.635	0.392	kev txom nyem
affluence	0.663	0.618	0.722	kev vam meej
affluent	0.756	0.388	0.477	muaj txiaj ntsig
afford	0.571	0.580	0.575	them taus
affordable	0.840	0.398	0.493	pheej yig
affront	0.327	0.740	0.547	tawm tsam
affronted	0.385	0.750	0.527	ua phem
afield	0.594	0.370	0.373	afield
afire	0.367	0.904	0.675	afire
afloat	0.602	0.427	0.444	ntab
afore	0.500	0.337	0.382	ua ntej
aforementioned	0.490	0.316	0.408	hais saum toj no
aforesaid	0.531	0.358	0.478	hais tias
afraid	0.010	0.775	0.245	ntshai
afresh	0.643	0.521	0.480	rov tshiab
aft	0.480	0.417	0.518	tom qab
afterlife	0.571	0.567	0.568	tom qab txoj sia
aftermath	0.312	0.449	0.444	tom qab
afternoon	0.533	0.388	0.339	tav su
aftershave	0.406	0.384	0.415	tom qab shaving
aftertaste	0.354	0.362	0.455	qab zib
afterthought	0.396	0.392	0.349	kev xav tom qab
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	ua agape
agate	0.540	0.377	0.483	agate
age	0.561	0.226	0.498	hnub nyoog
aged	0.135	0.365	0.236	laus
agency	0.460	0.296	0.583	lub koom haum
agenda	0.531	0.296	0.553	txheej txheem
agent	0.480	0.439	0.755	tus neeg sawv cev
agglomeration	0.450	0.765	0.509	agglomeration
aggravate	0.224	0.770	0.464	hnyav dua
aggravated	0.079	0.760	0.430	hnyav dua
aggravates	0.108	0.778	0.357	ua rau hnyav dua
aggravating	0.257	0.794	0.640	hnyav dua
aggravation	0.071	0.784	0.613	hnyav dua
aggregate	0.730	0.378	0.556	tag nrho
aggregation	0.583	0.517	0.694	kev sib sau ua ke
aggresive	0.059	0.971	0.639	txhoj puab heev
aggression	0.094	0.929	0.533	kev ua phem
aggressive	0.125	0.949	0.648	txhoj puab heev
aggressively	0.250	0.926	0.688	txhoj puab heev
aggressiveness	0.077	0.913	0.648	aggressiveness
aggressor	0.146	0.948	0.823	tus neeg ua phem
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	siab
aghhh	0.281	0.635	0.243	aghh
agile	0.800	0.657	0.775	agile
agility	0.720	0.702	0.815	agility
aging	0.214	0.255	0.284	kev laus
agitate	0.300	0.796	0.593	ntxhov siab
agitated	0.444	0.882	0.491	ntxhov siab
agitation	0.240	0.931	0.447	kev ntxhov siab
aglow	0.780	0.510	0.797	aglow
agnostic	0.306	0.396	0.574	agnostic
ago	0.317	0.280	0.404	dhau los
agonizing	0.083	0.800	0.340	kev nyuaj siab
agony	0.083	0.775	0.393	kev txom nyem
agoraphobia	0.127	0.712	0.438	agoraphobia
agree	0.906	0.260	0.545	pom zoo
agreeable	0.906	0.500	0.696	pom zoo
agreed	0.797	0.449	0.574	pom zoo
agreeing	0.854	0.480	0.557	pom zoo
agreement	0.760	0.440	0.736	kev pom zoo
agressive	0.083	0.918	0.751	txhoj puab heev
agricultural	0.686	0.321	0.473	ua liaj ua teb
agriculture	0.640	0.357	0.465	kev ua liaj ua teb
aground	0.333	0.340	0.445	aground
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	ua ntej
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhhhh
ahoy	0.500	0.497	0.380	ah hlo
aid	0.796	0.491	0.541	kev pab
aide	0.724	0.342	0.434	pab
aiding	0.643	0.533	0.569	pab
aids	0.561	0.480	0.500	kev pab
ail	0.375	0.434	0.385	ua ail
ailing	0.094	0.518	0.153	mob
ailment	0.146	0.734	0.277	mob
aim	0.481	0.569	0.567	aim
aimless	0.150	0.267	0.183	tsis muaj hom phiaj
air	0.708	0.163	0.427	huab cua
airbag	0.510	0.402	0.433	airbag
airborne	0.542	0.519	0.385	huab cua
aircraft	0.646	0.644	0.691	dav hlau
aircraft carrier	0.490	0.740	0.727	aircraft nqa
airfield	0.601	0.650	0.645	tshav dav hlau
airhead	0.271	0.481	0.276	lub taub hau
airlift	0.573	0.622	0.642	airlift
airline	0.650	0.482	0.688	lub dav hlau
airliner	0.667	0.777	0.647	lub dav hlau
airlock	0.398	0.520	0.447	airlock
airman	0.587	0.716	0.721	tus neeg tsav dav hlau
airplane	0.719	0.702	0.708	lub dav hlau
airport	0.729	0.684	0.682	tshav dav hlau
airs	0.583	0.196	0.370	cua
airship	0.542	0.472	0.529	dav hlau
airspace	0.562	0.510	0.640	airspace
airspeed	0.583	0.780	0.544	airspeed
airstrip	0.550	0.690	0.649	dav hlau
airtight	0.479	0.381	0.570	airtight
airway	0.638	0.585	0.482	ua pa
aisle	0.438	0.222	0.283	txoj kev
ait	0.385	0.390	0.402	ib ait
ajar	0.460	0.413	0.446	ajar
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	sib
alabaster	0.542	0.404	0.445	alabaster
alarm	0.241	0.882	0.698	tswb
alarm clock	0.542	0.727	0.642	tswb moos
alarmed	0.188	0.822	0.492	ceeb
alarming	0.204	0.890	0.585	ceeb
alas	0.571	0.310	0.279	alas
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatross
albino	0.500	0.240	0.358	albino
album	0.635	0.349	0.453	album
alchemy	0.541	0.583	0.693	alchemy
alcohol	0.323	0.667	0.377	cawv
alcoholic	0.153	0.688	0.361	cawv
alcoholism	0.061	0.779	0.407	cawv
alcove	0.490	0.340	0.356	alcov
alderman	0.550	0.459	0.691	tus thawj coj
ale	0.530	0.450	0.358	ua ale
alert	0.479	0.820	0.648	ceeb toom
alertness	0.375	0.875	0.750	kev ceeb toom
alerts	0.337	0.804	0.673	ceeb toom
alfalfa	0.546	0.250	0.311	alfalfa
algebra	0.440	0.340	0.565	algebra
algebraic	0.531	0.412	0.441	algebraic
algorithm	0.448	0.394	0.559	algorithm
alias	0.541	0.353	0.333	npe
alibi	0.396	0.528	0.556	aliib
alien	0.410	0.615	0.491	neeg txawv teb chaws
alienate	0.247	0.500	0.523	txawv txawv
alienated	0.410	0.423	0.559	txawv txawv
alienation	0.378	0.530	0.462	kev cais
alight	0.667	0.657	0.605	alight
align	0.656	0.364	0.627	ua ke
aligned	0.583	0.275	0.553	ua ke
alignment	0.643	0.412	0.683	kev sib tw
alike	0.653	0.173	0.444	zoo ib yam
alimentation	0.781	0.551	0.602	kev noj haus
alimony	0.612	0.477	0.464	nyiaj pab
aliquot	0.440	0.310	0.404	aliquot
alive	0.816	0.637	0.731	ciaj sia
alkali	0.490	0.350	0.408	alkali
alkaloids	0.433	0.562	0.402	alkaloids
allay	0.417	0.406	0.398	laj
allegation	0.578	0.578	0.608	kev liam
allege	0.418	0.482	0.587	liam
alleged	0.365	0.522	0.520	liam
allegiance	0.917	0.398	0.750	kev ntseeg siab
allegorical	0.517	0.558	0.598	allegorical
allegory	0.615	0.580	0.509	allegory
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	ua xua
allergy	0.296	0.606	0.389	ua xua
alleviate	0.869	0.270	0.528	txo
alleviation	0.735	0.200	0.491	txo qis
alley	0.347	0.500	0.355	txoj kev
alleyway	0.357	0.471	0.382	txoj kev
alliance	0.696	0.473	0.769	kev sib koom tes
allied	0.714	0.245	0.642	phooj ywg
alligator	0.354	0.704	0.645	nuv ntses
allocate	0.673	0.462	0.672	faib
allocation	0.604	0.388	0.679	faib
allot	0.622	0.481	0.616	faib
allotment	0.600	0.390	0.640	faib
allow	0.698	0.429	0.538	tso cai
allowable	0.698	0.500	0.561	tso cai
allowance	0.673	0.382	0.591	nyiaj pub
allowed	0.730	0.360	0.655	tso cai
alloy	0.583	0.443	0.593	hlau alloy
allsmiles	0.786	0.528	0.430	tag nrho luag ntxhi
allure	0.804	0.585	0.686	ntxias
alluring	0.837	0.745	0.843	ntxim nyiam
allusion	0.440	0.308	0.462	kev sib tham
alluvial	0.323	0.490	0.491	alluvial
ally	0.792	0.320	0.688	phooj ywg
almanac	0.688	0.190	0.412	almanac
almighty	0.938	0.874	0.958	tus muaj hwjchim
almond	0.698	0.183	0.314	almonds
aloft	0.771	0.373	0.700	aloft
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	ib leeg
alongside	0.458	0.333	0.347	ib sab
aloof	0.189	0.423	0.302	aloof
aloud	0.458	0.713	0.750	nrov nrov
alpha	0.708	0.340	0.755	alpha
alphabet	0.562	0.204	0.672	tsiaj ntawv
alphabetical	0.537	0.296	0.535	cov tsiaj ntawv
alpine	0.594	0.337	0.474	alpine
alreadyyyyy	0.592	0.717	0.351	xa yyj
altar	0.724	0.387	0.635	thaj chaw
altar boy	0.434	0.206	0.350	tug altar
alter	0.333	0.694	0.654	hloov
alteration	0.167	0.798	0.609	kev hloov pauv
altercation	0.170	0.806	0.500	kev sib cav
altered	0.255	0.765	0.500	hloov
alternate	0.625	0.363	0.589	hloov
alternating	0.480	0.494	0.542	hloov
alternative	0.628	0.373	0.631	lwm txoj
altimeter	0.615	0.510	0.580	altimeter
altitude	0.708	0.482	0.736	qhov siab
alto	0.656	0.404	0.730	alto
altogether	0.833	0.324	0.644	tag nrho
aluminum	0.449	0.280	0.434	aluminium
alumnus	0.633	0.368	0.422	alumnus
alveolar	0.469	0.481	0.367	alveolar
alzheimers	0.194	0.518	0.319	Alzheimers
amalgam	0.438	0.333	0.510	amalgam
amalgamation	0.406	0.470	0.531	kev sib xyaw ua ke
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	amass
amateur	0.469	0.500	0.409	amateur
amaze	0.896	0.843	0.783	xav tsis thoob
amazed	0.796	0.779	0.533	xav tsis thoob
amazedness	0.827	0.872	0.510	kev xav tsis thoob
amazement	0.750	0.800	0.639	xav tsis thoob
amazing	0.906	0.837	0.849	zoo kawg nkaus
amazingly	0.918	0.765	0.920	zoo kawg nkaus
ambassador	0.651	0.529	0.917	Ambassador
amber	0.635	0.308	0.369	amber
ambience	0.735	0.356	0.426	ambience
ambient	0.625	0.360	0.582	ambient
ambiguity	0.164	0.460	0.370	tsis meej pem
ambiguous	0.265	0.462	0.358	tsis meej pem
ambit	0.479	0.380	0.386	ambit
ambition	0.510	0.804	0.661	ambition
ambitious	0.484	0.821	0.717	lub siab xav
ambivalent	0.510	0.404	0.482	ambivalent
ambrosia	0.571	0.452	0.480	ambrosia
ambulance	0.500	0.750	0.609	tsheb thauj neeg mob
ambush	0.281	0.830	0.500	kev tawm tsam
ameliorate	0.770	0.548	0.747	ua kom zoo
amen	0.781	0.182	0.542	amen
amenable	0.448	0.410	0.406	txaus siab
amend	0.688	0.406	0.658	kho
amendment	0.531	0.459	0.606	kev hloov kho
amends	0.640	0.366	0.517	kho
amenity	0.750	0.327	0.574	kev zoo siab
amethyst	0.622	0.406	0.517	amethyst
amiable	0.847	0.290	0.483	zoo siab
amicable	0.875	0.330	0.507	kev sib raug zoo
amid	0.510	0.340	0.256	nruab nrab
amidst	0.480	0.330	0.316	nruab nrab
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	ammo
ammonia	0.292	0.587	0.409	ammonia
ammonium	0.354	0.396	0.368	ammonium
ammunition	0.338	0.635	0.667	mos txwv
amnesia	0.296	0.330	0.308	amnesia
amnesty	0.551	0.451	0.814	kev zam txim
amorous	0.844	0.670	0.636	nyiam nyiam
amorphous	0.327	0.402	0.349	amorphous
amortization	0.592	0.491	0.522	amortization
amount	0.562	0.422	0.649	tus nqi
amour	0.865	0.480	0.652	kev nyiam
amp	0.439	0.393	0.375	amp
ampersand	0.480	0.448	0.483	ampersand
amphetamines	0.133	0.667	0.526	tshuaj amphetamines
amphibian	0.427	0.357	0.474	amphibian
amphibious	0.479	0.346	0.445	amphibious
amphitheater	0.653	0.480	0.545	amphitheatre
ample	0.744	0.349	0.719	txaus
amplification	0.690	0.677	0.810	amplification
amplify	0.677	0.735	0.827	ua kom nrov
amplitude	0.694	0.439	0.692	amplitude
amply	0.781	0.431	0.766	amply
amputate	0.092	0.660	0.509	amputate
amputation	0.100	0.755	0.483	kev txiav tawm
amuck	0.385	0.602	0.321	amuck
amulet	0.781	0.260	0.630	amulet
amuse	0.812	0.684	0.664	lom zem
amused	0.942	0.847	0.596	lom zem
