English Word	Valence	Arousal	Dominance	Russian Word
adobe	0.500	0.319	0.328	саман
adolescence	0.487	0.694	0.444	подростковый возраст
adolescent	0.781	0.680	0.509	подросток
adopt	0.694	0.612	0.701	усыновить
adoption	0.625	0.566	0.589	принятие
adoptive	0.531	0.469	0.520	приемный
adorable	0.969	0.519	0.457	восхитительный
adoration	0.885	0.699	0.708	обожание
adore	0.854	0.438	0.657	обожать
adoring	0.885	0.620	0.717	обожающий
adorn	0.910	0.424	0.482	украшать
adornment	0.918	0.373	0.377	украшение
adrenalin	0.865	0.920	0.786	адреналин
adrenaline	0.765	0.965	0.825	адреналин
adrift	0.398	0.486	0.230	дрейфовать по течению
adult	0.815	0.491	0.787	взрослый
adulterated	0.188	0.865	0.370	фальсифицированный
adulterer	0.229	0.814	0.407	прелюбодей
adultery	0.120	0.922	0.510	прелюбодеяние
adulthood	0.541	0.454	0.652	совершеннолетие
advance	0.673	0.472	0.858	продвигать
advanced	0.844	0.623	0.797	передовой
advancement	0.776	0.650	0.839	продвижение
advancing	0.929	0.608	0.812	продвижение
advantage	0.917	0.548	0.859	преимущество
advantageous	0.837	0.640	0.789	выгодный
advent	0.665	0.560	0.627	пришествие
adventure	0.917	0.857	0.710	приключение
adventurer	0.781	0.839	0.868	авантюрист
adventures	0.812	0.764	0.749	приключения
adventurous	0.969	0.898	0.722	предприимчивый
adversary	0.349	0.777	0.457	противник
adverse	0.323	0.610	0.385	неблагоприятный
adversity	0.276	0.760	0.538	несчастье
advertise	0.500	0.529	0.580	рекламировать
advertisement	0.600	0.566	0.539	рекламное объявление
advertising	0.622	0.608	0.632	реклама
adverts	0.551	0.500	0.595	реклама
advice	0.698	0.408	0.688	совет
advisable	0.867	0.480	0.510	желательно
advise	0.760	0.393	0.705	советовать
advised	0.823	0.330	0.509	посоветовал
advisement	0.698	0.235	0.655	совет
adviser	0.745	0.362	0.705	советник
advisor	0.646	0.350	0.689	советник
advisory	0.656	0.429	0.633	консультативный
advocacy	0.500	0.646	0.731	защита
advocate	0.551	0.530	0.818	адвокат
aegis	0.490	0.439	0.462	эгида
aeration	0.550	0.500	0.433	аэрация
aerial	0.615	0.461	0.463	антенна
aerobics	0.708	0.771	0.627	аэробика
aerodrome	0.541	0.740	0.678	аэродром
aerodynamic	0.561	0.724	0.728	аэродинамический
aerodynamics	0.590	0.663	0.722	аэродинамика
aeronautics	0.551	0.633	0.688	воздухоплавание
aeroplane	0.714	0.642	0.644	самолет
aerospace	0.643	0.520	0.779	аэрокосмический
aesthetic	0.708	0.442	0.526	эстетический
aesthetics	0.847	0.327	0.549	эстетика
aetiology	0.480	0.398	0.615	этиология
afar	0.396	0.373	0.358	издалека
affable	0.704	0.380	0.452	приветливый
affair	0.520	0.459	0.657	роман
affect	0.458	0.569	0.578	оказывать воздействие
affecting	0.350	0.574	0.394	воздействующий
affection	0.898	0.559	0.696	привязанность
affectionate	0.949	0.422	0.550	любящий
affections	0.760	0.547	0.655	привязанности
affiche	0.479	0.265	0.402	афиш
affidavit	0.469	0.584	0.526	аффидевит
affiliated	0.673	0.519	0.535	аффилированный
affiliation	0.615	0.594	0.500	принадлежность
affinity	0.800	0.500	0.537	близость
affirm	0.745	0.509	0.731	подтверждать
affirmation	0.750	0.500	0.689	подтверждение
affirmative	0.854	0.589	0.816	утвердительный
affirmatively	0.908	0.500	0.811	утвердительно
affix	0.438	0.335	0.411	прикреплять
afflict	0.302	0.555	0.293	поражать
afflicted	0.271	0.500	0.167	страдающий
affliction	0.294	0.635	0.392	несчастье
affluence	0.663	0.618	0.722	изобилие
affluent	0.756	0.388	0.477	богатый
afford	0.571	0.580	0.575	предоставлять
affordable	0.840	0.398	0.493	доступный
affront	0.327	0.740	0.547	оскорблять
affronted	0.385	0.750	0.527	оскорбленный
afield	0.594	0.370	0.373	вдали
afire	0.367	0.904	0.675	огонь
afloat	0.602	0.427	0.444	на плаву
afore	0.500	0.337	0.382	прежде
aforementioned	0.490	0.316	0.408	вышеупомянутый
aforesaid	0.531	0.358	0.478	вышеупомянутый
afraid	0.010	0.775	0.245	боюсь
afresh	0.643	0.521	0.480	заново
aft	0.480	0.417	0.518	корма
afterlife	0.571	0.567	0.568	загробная жизнь
aftermath	0.312	0.449	0.444	последствия
afternoon	0.533	0.388	0.339	после полудня
aftershave	0.406	0.384	0.415	лосьон после бритья
aftertaste	0.354	0.362	0.455	послевкусие
afterthought	0.396	0.392	0.349	запоздалая мысль
aga	0.542	0.327	0.398	ага
agape	0.612	0.529	0.464	агапе
agate	0.540	0.377	0.483	агат
age	0.561	0.226	0.498	возраст
aged	0.135	0.365	0.236	в возрасте
agency	0.460	0.296	0.583	агентство
agenda	0.531	0.296	0.553	повестка дня
agent	0.480	0.439	0.755	агент
agglomeration	0.450	0.765	0.509	агломерация
aggravate	0.224	0.770	0.464	усугублять
aggravated	0.079	0.760	0.430	усугубленный
aggravates	0.108	0.778	0.357	усугубляет
aggravating	0.257	0.794	0.640	отягчающий
aggravation	0.071	0.784	0.613	обострение
aggregate	0.730	0.378	0.556	агрегат
aggregation	0.583	0.517	0.694	агрегация
aggresive	0.059	0.971	0.639	агрессивный
aggression	0.094	0.929	0.533	агрессия
aggressive	0.125	0.949	0.648	агрессивный
aggressively	0.250	0.926	0.688	агрессивно
aggressiveness	0.077	0.913	0.648	агрессивность
aggressor	0.146	0.948	0.823	агрессор
agh	0.260	0.500	0.400	ах
aghast	0.133	0.865	0.464	ошеломленный
aghhh	0.281	0.635	0.243	аххх
agile	0.800	0.657	0.775	гибкий
agility	0.720	0.702	0.815	ловкость
aging	0.214	0.255	0.284	старение
agitate	0.300	0.796	0.593	волновать
agitated	0.444	0.882	0.491	взволнованный
agitation	0.240	0.931	0.447	волнение
aglow	0.780	0.510	0.797	светиться
agnostic	0.306	0.396	0.574	агностик
ago	0.317	0.280	0.404	назад
agonizing	0.083	0.800	0.340	мучительный
agony	0.083	0.775	0.393	агония
agoraphobia	0.127	0.712	0.438	агорафобия
agree	0.906	0.260	0.545	соглашаться
agreeable	0.906	0.500	0.696	приятный
agreed	0.797	0.449	0.574	согласовано
agreeing	0.854	0.480	0.557	согласие
agreement	0.760	0.440	0.736	соглашение
agressive	0.083	0.918	0.751	агрессивный
agricultural	0.686	0.321	0.473	сельскохозяйственный
agriculture	0.640	0.357	0.465	сельское хозяйство
aground	0.333	0.340	0.445	на мели
agua	0.598	0.180	0.436	вода
ahead	0.708	0.520	0.673	предстоящий
ahhh	0.562	0.517	0.241	ааа
ahhhhhhhh	0.552	0.649	0.288	аххххххх
ahoy	0.500	0.497	0.380	привет
aid	0.796	0.491	0.541	помогать
aide	0.724	0.342	0.434	помощник
aiding	0.643	0.533	0.569	помощь
aids	0.561	0.480	0.500	СПИД
ail	0.375	0.434	0.385	больной
ailing	0.094	0.518	0.153	больной
ailment	0.146	0.734	0.277	болезнь
aim	0.481	0.569	0.567	цель
aimless	0.150	0.267	0.183	бесцельный
air	0.708	0.163	0.427	воздуха
airbag	0.510	0.402	0.433	воздушная подушка
airborne	0.542	0.519	0.385	воздушно-десантный
aircraft	0.646	0.644	0.691	самолет
aircraft carrier	0.490	0.740	0.727	авианосец
airfield	0.601	0.650	0.645	аэродром
airhead	0.271	0.481	0.276	головной убор
airlift	0.573	0.622	0.642	воздушный транспорт
airline	0.650	0.482	0.688	авиакомпания
airliner	0.667	0.777	0.647	авиалайнер
airlock	0.398	0.520	0.447	шлюз
airman	0.587	0.716	0.721	летчик
airplane	0.719	0.702	0.708	самолет
airport	0.729	0.684	0.682	аэропорт
airs	0.583	0.196	0.370	воздух
airship	0.542	0.472	0.529	дирижабль
airspace	0.562	0.510	0.640	воздушное пространство
airspeed	0.583	0.780	0.544	скорость полета
airstrip	0.550	0.690	0.649	взлетно-посадочная полоса
airtight	0.479	0.381	0.570	воздухонепроницаемый
airway	0.638	0.585	0.482	дыхательные пути
aisle	0.438	0.222	0.283	ряд
ait	0.385	0.390	0.402	эт
ajar	0.460	0.413	0.446	приоткрытый
aka	0.459	0.358	0.351	он же
akin	0.639	0.343	0.523	похожий
alabaster	0.542	0.404	0.445	алебастр
alarm	0.241	0.882	0.698	тревога
alarm clock	0.542	0.727	0.642	будильник
alarmed	0.188	0.822	0.492	встревоженный
alarming	0.204	0.890	0.585	тревожный
alas	0.571	0.310	0.279	увы
alb	0.521	0.380	0.427	Альб
albatross	0.500	0.445	0.527	альбатрос
albino	0.500	0.240	0.358	альбинос
album	0.635	0.349	0.453	альбом
alchemy	0.541	0.583	0.693	алхимия
alcohol	0.323	0.667	0.377	алкоголь
alcoholic	0.153	0.688	0.361	алкоголик
alcoholism	0.061	0.779	0.407	алкоголизм
alcove	0.490	0.340	0.356	ниша
alderman	0.550	0.459	0.691	олдермен
ale	0.530	0.450	0.358	эль
alert	0.479	0.820	0.648	тревога
alertness	0.375	0.875	0.750	бдительность
alerts	0.337	0.804	0.673	оповещения
alfalfa	0.546	0.250	0.311	люцерна
algebra	0.440	0.340	0.565	алгебра
algebraic	0.531	0.412	0.441	алгебраический
algorithm	0.448	0.394	0.559	алгоритм
alias	0.541	0.353	0.333	псевдоним
alibi	0.396	0.528	0.556	алиби
alien	0.410	0.615	0.491	инопланетянин
alienate	0.247	0.500	0.523	отчуждать
alienated	0.410	0.423	0.559	отчужденный
alienation	0.378	0.530	0.462	отчуждение
alight	0.667	0.657	0.605	сойти
align	0.656	0.364	0.627	выровнять
aligned	0.583	0.275	0.553	выровнены
alignment	0.643	0.412	0.683	выравнивание
alike	0.653	0.173	0.444	одинаковый
alimentation	0.781	0.551	0.602	питание
alimony	0.612	0.477	0.464	алименты
aliquot	0.440	0.310	0.404	аликвота
alive	0.816	0.637	0.731	в живых
alkali	0.490	0.350	0.408	щелочь
alkaloids	0.433	0.562	0.402	алкалоиды
allay	0.417	0.406	0.398	успокаивать
allegation	0.578	0.578	0.608	обвинение
allege	0.418	0.482	0.587	утверждать
alleged	0.365	0.522	0.520	предполагаемый
allegiance	0.917	0.398	0.750	преданность
allegorical	0.517	0.558	0.598	аллегорический
allegory	0.615	0.580	0.509	аллегория
allegro	0.635	0.627	0.453	аллегро
allergic	0.135	0.549	0.273	аллергический
allergy	0.296	0.606	0.389	аллергия
alleviate	0.869	0.270	0.528	облегчить
alleviation	0.735	0.200	0.491	облегчение
alley	0.347	0.500	0.355	переулок
alleyway	0.357	0.471	0.382	переулок
alliance	0.696	0.473	0.769	альянс
allied	0.714	0.245	0.642	союзный
alligator	0.354	0.704	0.645	аллигатор
allocate	0.673	0.462	0.672	выделять
allocation	0.604	0.388	0.679	распределение
allot	0.622	0.481	0.616	выделять
allotment	0.600	0.390	0.640	надел
allow	0.698	0.429	0.538	разрешать
allowable	0.698	0.500	0.561	допустимый
allowance	0.673	0.382	0.591	разрешение
allowed	0.730	0.360	0.655	допустимый
alloy	0.583	0.443	0.593	сплав
allsmiles	0.786	0.528	0.430	все улыбки
allure	0.804	0.585	0.686	очарование
alluring	0.837	0.745	0.843	соблазнительный
allusion	0.440	0.308	0.462	намек
alluvial	0.323	0.490	0.491	аллювиальный
ally	0.792	0.320	0.688	союзник
almanac	0.688	0.190	0.412	альманах
almighty	0.938	0.874	0.958	всемогущий
almond	0.698	0.183	0.314	миндаль
aloft	0.771	0.373	0.700	наверху
aloha	0.698	0.440	0.441	алоха
alone	0.333	0.167	0.216	один
alongside	0.458	0.333	0.347	рядом
aloof	0.189	0.423	0.302	в стороне
aloud	0.458	0.713	0.750	вслух
alpha	0.708	0.340	0.755	альфа
alphabet	0.562	0.204	0.672	алфавит
alphabetical	0.537	0.296	0.535	алфавитный
alpine	0.594	0.337	0.474	альпийский
alreadyyyyy	0.592	0.717	0.351	ужеуууу
altar	0.724	0.387	0.635	алтарь
altar boy	0.434	0.206	0.350	алтарный мальчик
alter	0.333	0.694	0.654	изменить
alteration	0.167	0.798	0.609	изменение
altercation	0.170	0.806	0.500	ссора
altered	0.255	0.765	0.500	измененный
alternate	0.625	0.363	0.589	чередовать
alternating	0.480	0.494	0.542	чередование
alternative	0.628	0.373	0.631	альтернатива
altimeter	0.615	0.510	0.580	высотомер
altitude	0.708	0.482	0.736	высота
alto	0.656	0.404	0.730	альт
altogether	0.833	0.324	0.644	вообще
aluminum	0.449	0.280	0.434	алюминий
alumnus	0.633	0.368	0.422	выпускник
alveolar	0.469	0.481	0.367	альвеолярный
alzheimers	0.194	0.518	0.319	болезнь Альцгеймера
amalgam	0.438	0.333	0.510	амальгама
amalgamation	0.406	0.470	0.531	слияние
amaretto	0.543	0.551	0.375	амаретто
amass	0.552	0.465	0.465	накапливать
amateur	0.469	0.500	0.409	любитель
amaze	0.896	0.843	0.783	удивлять
amazed	0.796	0.779	0.533	поражен
amazedness	0.827	0.872	0.510	изумление
amazement	0.750	0.800	0.639	изумление
amazing	0.906	0.837	0.849	удивительно
amazingly	0.918	0.765	0.920	удивительно
ambassador	0.651	0.529	0.917	посол
amber	0.635	0.308	0.369	янтарь
ambience	0.735	0.356	0.426	атмосфера
ambient	0.625	0.360	0.582	окружающий
ambiguity	0.164	0.460	0.370	двусмысленность
ambiguous	0.265	0.462	0.358	двусмысленный
ambit	0.479	0.380	0.386	область
ambition	0.510	0.804	0.661	амбиция
ambitious	0.484	0.821	0.717	честолюбивый
ambivalent	0.510	0.404	0.482	двойственное
ambrosia	0.571	0.452	0.480	амброзия
ambulance	0.500	0.750	0.609	скорая помощь
ambush	0.281	0.830	0.500	засада
ameliorate	0.770	0.548	0.747	улучшать
amen	0.781	0.182	0.542	аминь
amenable	0.448	0.410	0.406	податливый
amend	0.688	0.406	0.658	исправлять
amendment	0.531	0.459	0.606	поправка
amends	0.640	0.366	0.517	исправляет
amenity	0.750	0.327	0.574	удобства
amethyst	0.622	0.406	0.517	аметист
amiable	0.847	0.290	0.483	любезный
amicable	0.875	0.330	0.507	дружелюбный
amid	0.510	0.340	0.256	среди
amidst	0.480	0.330	0.316	среди
amino	0.551	0.402	0.433	амино-
ammo	0.323	0.765	0.621	патроны
ammonia	0.292	0.587	0.409	аммиак
ammonium	0.354	0.396	0.368	аммоний
ammunition	0.338	0.635	0.667	боеприпасы
amnesia	0.296	0.330	0.308	амнезия
amnesty	0.551	0.451	0.814	амнистия
amorous	0.844	0.670	0.636	влюбчивый
amorphous	0.327	0.402	0.349	аморфный
amortization	0.592	0.491	0.522	амортизация
amount	0.562	0.422	0.649	количество
amour	0.865	0.480	0.652	любовь
amp	0.439	0.393	0.375	усилитель
ampersand	0.480	0.448	0.483	амперсанд
amphetamines	0.133	0.667	0.526	амфетамины
amphibian	0.427	0.357	0.474	амфибия
amphibious	0.479	0.346	0.445	амфибия
amphitheater	0.653	0.480	0.545	амфитеатр
ample	0.744	0.349	0.719	обильный
amplification	0.690	0.677	0.810	усиление
amplify	0.677	0.735	0.827	усиливать
amplitude	0.694	0.439	0.692	амплитуда
amply	0.781	0.431	0.766	обильно
amputate	0.092	0.660	0.509	ампутировать
amputation	0.100	0.755	0.483	ампутация
amuck	0.385	0.602	0.321	буйствовать
amulet	0.781	0.260	0.630	амулет
amuse	0.812	0.684	0.664	развлекать
amused	0.942	0.847	0.596	изумленный
amusement	0.929	0.837	0.803	развлечение
amusing	0.960	0.829	0.632	занимательный
ana	0.541	0.300	0.314	ана
anaconda	0.146	0.830	0.540	анаконда
anaesthesia	0.350	0.217	0.473	анестезия
anaesthetic	0.449	0.268	0.509	анестетик
anagram	0.552	0.327	0.449	анаграмма
anal	0.333	0.798	0.334	анальный
analgesic	0.417	0.321	0.441	обезболивающее
analogous	0.531	0.270	0.500	аналогичный
analogue	0.570	0.320	0.446	аналог
analogy	0.510	0.367	0.509	аналогия
analysis	0.729	0.448	0.705	анализ
analyst	0.604	0.415	0.755	аналитик
analytic	0.665	0.521	0.634	аналитический
analytical	0.625	0.324	0.800	аналитический
analyze	0.667	0.462	0.710	анализировать
analyzer	0.625	0.556	0.854	анализатор
anaphylactic	0.378	0.588	0.500	анафилактический
anarchism	0.125	0.804	0.623	анархизм
anarchist	0.204	0.700	0.759	анархист
anarchy	0.146	0.755	0.620	анархия
anastomosis	0.375	0.470	0.490	анастомоз
anathema	0.286	0.490	0.519	анафема
anatomic	0.562	0.442	0.546	анатомический
anatomy	0.562	0.390	0.571	анатомия
ancestor	0.592	0.388	0.594	предок
ancestral	0.640	0.481	0.750	родовой
ancestry	0.708	0.519	0.717	родословная
anchor	0.520	0.284	0.564	якорь
anchorage	0.500	0.325	0.639	якорная стоянка
ancient	0.420	0.217	0.439	древний
