English Word	Valence	Arousal	Dominance	Somali Word
abrasion	0.406	0.592	0.441	naaxid
abrasive	0.392	0.610	0.593	naxaris leh
abreast	0.635	0.380	0.519	ku soo dhawaada
abroad	0.677	0.596	0.561	dibadda
abrogate	0.327	0.510	0.594	tirtirid
abrupt	0.271	0.819	0.545	si lama filaan ah
abruptly	0.250	0.808	0.556	si lama filaan ah
abscess	0.154	0.451	0.349	maroojis
absence	0.153	0.235	0.266	maqnaansho
absent	0.177	0.221	0.116	maqan
absentee	0.235	0.330	0.279	maqane
absenteeism	0.404	0.273	0.357	maqnaansho
absinthe	0.481	0.510	0.462	absinthe
absolute	0.526	0.510	0.827	dhammaystiran
absolution	0.715	0.500	0.664	xalid
absolve	0.684	0.449	0.660	xalin
absorb	0.469	0.558	0.670	nuugo
absorbed	0.490	0.471	0.519	nuugo
absorbent	0.552	0.394	0.718	nuugid
absorbing	0.490	0.490	0.578	nuugista
absorption	0.609	0.422	0.446	nuugista
abstain	0.385	0.385	0.427	diidaan
abstention	0.271	0.264	0.509	diidmo
abstinence	0.260	0.392	0.429	diidid
abstract	0.438	0.292	0.444	aan la taaban karin
abstraction	0.469	0.439	0.525	abstraction
absurd	0.188	0.656	0.284	caqli-gal
absurdity	0.115	0.528	0.227	caqli-xumo
abundance	0.812	0.690	0.852	faro badan
abundant	0.958	0.590	0.760	badan
abuse	0.071	0.873	0.469	xadgudub
abused	0.021	0.874	0.235	lagu xadgudbay
abusive	0.125	0.903	0.567	aflagaado
abutment	0.500	0.265	0.616	wax u dhimid
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	aad u xun
abyss	0.353	0.725	0.296	aamas
academic	0.781	0.420	0.812	tacliinta
academy	0.704	0.473	0.792	akadeemiyadda
accede	0.698	0.510	0.537	aqbalid
accelerant	0.643	0.844	0.802	degdegsan
accelerate	0.615	0.902	0.759	dedejiso
accelerated	0.610	0.812	0.682	la dedejiyey
acceleration	0.704	0.905	0.843	dardargelinta
accelerator	0.593	0.830	0.812	dardargeliyaha
accent	0.598	0.357	0.509	lahjad
accentuate	0.673	0.556	0.667	xoojin
accept	0.847	0.286	0.565	aqbal
acceptable	0.812	0.286	0.583	la aqbali karo
acceptance	0.833	0.287	0.755	aqbalid
acceptances	0.847	0.413	0.648	aqbalid
access	0.714	0.472	0.567	gelid
accessible	0.796	0.410	0.645	la heli karo
accession	0.612	0.383	0.636	ku biiritaanka
accessory	0.562	0.292	0.445	qalabayn
accident	0.125	0.908	0.336	shil
accidental	0.319	0.784	0.307	shil
accidentally	0.333	0.741	0.333	shil
acclaim	0.562	0.809	0.718	ammaanay
accolade	0.688	0.591	0.775	bogaadin
accommodate	0.844	0.375	0.566	habayn
accommodation	0.817	0.415	0.587	hoy
accompaniment	0.740	0.479	0.695	raacid
accompany	0.833	0.406	0.585	raacid
accompanying	0.787	0.460	0.582	weheliya
accomplice	0.408	0.580	0.510	ku wehelin
accomplish	0.929	0.673	0.816	dhammayn
accomplished	0.870	0.520	0.798	dhammaatay
accomplishment	0.917	0.694	0.888	wax qabad
accord	0.898	0.264	0.382	heshiis
accordance	0.659	0.349	0.600	waafaqsan
accordion	0.604	0.490	0.361	accordion
account	0.531	0.347	0.472	xisaabta
accountability	0.755	0.537	0.833	la xisaabtanka
accountable	0.709	0.282	0.777	lala xisaabtami karo
accountant	0.625	0.450	0.639	xisaabiye
accounting	0.552	0.390	0.677	xisaabaadka
accounts	0.592	0.340	0.471	xisaabaadka
accredited	0.669	0.479	0.768	la aqoonsan yahay
accretion	0.448	0.519	0.672	firfircoonitaan
accrue	0.520	0.481	0.602	ururin
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	ururin
accumulation	0.479	0.527	0.600	urursi
accuracy	0.604	0.481	0.802	saxnaanta
accurate	0.743	0.360	0.737	sax ah
accursed	0.135	0.745	0.345	habaaran
accusation	0.073	0.718	0.564	eedayn
accusative	0.198	0.755	0.482	eedayn
accuse	0.133	0.752	0.500	eedayn
accused	0.130	0.670	0.420	eedaysane
accuser	0.122	0.779	0.615	eedaysane
accusing	0.156	0.745	0.324	eedayn
accustomed	0.542	0.365	0.441	caadaystay
ace	0.643	0.481	0.546	ace
acetic	0.333	0.420	0.519	acetic
acetylene	0.306	0.469	0.509	acetylene
ache	0.146	0.760	0.312	xanuun
achieve	0.816	0.545	0.843	gaadhaan
achieved	0.896	0.519	0.775	la gaaray
achievement	0.896	0.808	0.759	guul
aching	0.053	0.880	0.348	xanuunayso
achy	0.167	0.840	0.373	caashaqay
acid	0.265	0.642	0.566	aashito
acidity	0.156	0.663	0.360	acidity
acknowledge	0.786	0.370	0.661	garowsan
acknowledged	0.714	0.443	0.765	qiray
acknowledgement	0.819	0.539	0.830	qirasho
acknowledgment	0.796	0.528	0.777	qirasho
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	finanka
acorn	0.448	0.198	0.192	khudaar
acoustic	0.542	0.462	0.536	acoustic
acoustics	0.611	0.330	0.509	acoustics
acquaint	0.646	0.491	0.639	yaqaan
acquaintance	0.656	0.290	0.670	isbarashada
acquainted	0.906	0.358	0.632	la bartay
acquiescence	0.542	0.480	0.554	ogolaansho
acquire	0.833	0.468	0.700	helid
acquiring	0.735	0.510	0.817	helid
acquisition	0.698	0.509	0.736	helid
acquisitions	0.773	0.660	0.790	iibsasho
acquit	0.583	0.571	0.611	dambi dhaaf
acquittal	0.760	0.497	0.700	sii dayn
acre	0.583	0.387	0.423	acre
acreage	0.741	0.450	0.528	dhul beereed
acres	0.510	0.363	0.500	acres
acrobat	0.708	0.828	0.602	acrobat
acrylic	0.582	0.279	0.420	akrilik
act	0.656	0.704	0.735	fal
acting	0.698	0.643	0.500	jilitaanka
action	0.760	0.898	0.802	ficil
action figure	0.615	0.774	0.611	sawirka waxqabadka
actionable	0.673	0.702	0.613	waxqabad leh
activate	0.764	0.650	0.806	firfircooni
activation	0.781	0.800	0.754	hawlgelin
active	0.847	0.730	0.731	firfircoon
activist	0.531	0.653	0.877	dhaqdhaqaaqayaasha
activity	0.701	0.660	0.807	hawlqabad
actor	0.653	0.561	0.629	jilaa
actress	0.633	0.556	0.596	jilaa
actual	0.729	0.400	0.716	dhabta ah
actuality	0.750	0.464	0.600	xaqiiqada
actuary	0.510	0.404	0.491	firfircooni
acuity	0.469	0.378	0.741	miyir beelid
acumen	0.564	0.660	0.679	caqli leh
acupuncture	0.531	0.324	0.549	acupuncture
acute	0.427	0.652	0.534	ba'an
acutely	0.417	0.543	0.491	si ba'an
ad	0.521	0.705	0.558	xayaysiis
adage	0.517	0.415	0.566	adage
adamant	0.344	0.529	0.575	adag
adapt	0.740	0.355	0.551	la qabsi
adaptable	0.735	0.423	0.641	la qabsan karo
adaptation	0.663	0.365	0.609	la qabsiga
add	0.728	0.490	0.554	ku darso
added	0.562	0.405	0.509	ayaa lagu daray
addendum	0.392	0.370	0.418	dheeraad ah
adder	0.388	0.461	0.588	dardaaranka
addict	0.075	0.696	0.327	balwad
addicted	0.156	0.712	0.483	la qabatimay
addiction	0.180	0.806	0.420	balwad
addictive	0.302	0.683	0.472	qabatimo
addition	0.562	0.373	0.471	ku darso
additional	0.673	0.462	0.526	dheeraad ah
additive	0.561	0.633	0.691	wax lagu daro
address	0.650	0.327	0.567	ciwaanka
addressee	0.622	0.382	0.538	addressee
addresses	0.510	0.354	0.450	ciwaanada
adept	0.594	0.539	0.789	aqoon leh
adequacy	0.615	0.435	0.702	ku filan
adequate	0.854	0.264	0.705	ku filan
adhere	0.633	0.339	0.554	ku dheggan
adherence	0.760	0.307	0.630	u hoggaansanaansho
adherent	0.561	0.385	0.555	ku dheggan
adhering	0.612	0.561	0.537	ku dheggan
adhesion	0.521	0.445	0.586	adhesion
adhesive	0.604	0.350	0.413	koolo
adieu	0.250	0.471	0.342	adieu
adipose	0.333	0.350	0.391	caloolxumo
adjacency	0.365	0.417	0.375	agdhow
adjacent	0.645	0.276	0.536	ku xiga
adjective	0.570	0.316	0.569	sife
adjoining	0.520	0.400	0.393	isku xidhan
adjourn	0.385	0.456	0.475	dib u dhigid
adjournment	0.438	0.510	0.370	dib u dhigista
adjudicate	0.559	0.520	0.683	garsoorid
adjudication	0.551	0.462	0.691	xukun
adjunct	0.459	0.440	0.426	isku xiran
adjust	0.647	0.327	0.638	habayn
adjuster	0.510	0.540	0.760	hagaajiye
adjustment	0.590	0.520	0.661	hagaajinta
adjuvant	0.510	0.500	0.456	kaaliye
admin	0.688	0.420	0.854	maamulka
administer	0.635	0.425	0.860	maamula
administration	0.625	0.404	0.786	maamulka
administrative	0.542	0.415	0.579	maamul
administrator	0.538	0.480	0.902	maamule
admirable	0.929	0.600	0.870	la yaab leh
admiral	0.844	0.490	0.847	admiral
admiralty	0.594	0.547	0.733	admiralty
admiration	0.969	0.583	0.726	majeerteen
admire	0.867	0.692	0.704	u bogo
admired	0.917	0.560	0.815	majeerteen
admirer	0.796	0.720	0.650	majeerteen
admiring	0.867	0.578	0.629	majeerteen
admissibility	0.802	0.580	0.602	ogolaansho
admissible	0.780	0.528	0.642	la aqbali karo
admission	0.802	0.415	0.732	gelitaanka
admit	0.538	0.423	0.667	qirto
admittance	0.690	0.451	0.598	ogolaansho
admitted	0.720	0.490	0.767	qirtay
admitting	0.620	0.500	0.546	qirashada
admixture	0.450	0.375	0.438	isku darka
admonition	0.357	0.606	0.455	waano
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	qaan-gaarnimada
adolescent	0.781	0.680	0.509	dhalinyaranimo
adopt	0.694	0.612	0.701	korsado
adoption	0.625	0.566	0.589	korsasho
adoptive	0.531	0.469	0.520	korsaday
adorable	0.969	0.519	0.457	qurux badan
adoration	0.885	0.699	0.708	caabudid
adore	0.854	0.438	0.657	jecel
adoring	0.885	0.620	0.717	caabudid
adorn	0.910	0.424	0.482	qurxin
adornment	0.918	0.373	0.377	qurxin
adrenalin	0.865	0.920	0.786	adrenalin
adrenaline	0.765	0.965	0.825	adrenaline
adrift	0.398	0.486	0.230	dulmarin
adult	0.815	0.491	0.787	qaangaar
adulterated	0.188	0.865	0.370	sinaystay
adulterer	0.229	0.814	0.407	sinaysta
adultery	0.120	0.922	0.510	sino
adulthood	0.541	0.454	0.652	qaangaarnimo
advance	0.673	0.472	0.858	hore u mari
advanced	0.844	0.623	0.797	horumaray
advancement	0.776	0.650	0.839	horumarinta
advancing	0.929	0.608	0.812	horu marinta
advantage	0.917	0.548	0.859	faa'iido
advantageous	0.837	0.640	0.789	faa'iido leh
advent	0.665	0.560	0.627	iman
adventure	0.917	0.857	0.710	tacabur
adventurer	0.781	0.839	0.868	tacaburiye
adventures	0.812	0.764	0.749	tacaburrada
adventurous	0.969	0.898	0.722	adventurous
adversary	0.349	0.777	0.457	cadaw
adverse	0.323	0.610	0.385	xumaan
adversity	0.276	0.760	0.538	dhib
advertise	0.500	0.529	0.580	xayaysiis
advertisement	0.600	0.566	0.539	xayaysiis
advertising	0.622	0.608	0.632	xayaysiis
adverts	0.551	0.500	0.595	xayaysiis
advice	0.698	0.408	0.688	talo
advisable	0.867	0.480	0.510	lagu talinayo
advise	0.760	0.393	0.705	talin
advised	0.823	0.330	0.509	waaniyay
advisement	0.698	0.235	0.655	waano
adviser	0.745	0.362	0.705	lataliye
advisor	0.646	0.350	0.689	lataliye
advisory	0.656	0.429	0.633	talo bixin
advocacy	0.500	0.646	0.731	u doodid
advocate	0.551	0.530	0.818	u doode
aegis	0.490	0.439	0.462	aegis
aeration	0.550	0.500	0.433	hawada hawada
aerial	0.615	0.461	0.463	anteenada
aerobics	0.708	0.771	0.627	aerobics
aerodrome	0.541	0.740	0.678	aerodrome
aerodynamic	0.561	0.724	0.728	aerodynamic
aerodynamics	0.590	0.663	0.722	aerodynamics
aeronautics	0.551	0.633	0.688	aeronautics
aeroplane	0.714	0.642	0.644	diyaarad
aerospace	0.643	0.520	0.779	hawada sare
aesthetic	0.708	0.442	0.526	bilicsanaanta
aesthetics	0.847	0.327	0.549	bilicsanaanta
aetiology	0.480	0.398	0.615	aetiology
afar	0.396	0.373	0.358	fog
affable	0.704	0.380	0.452	afgarasho
affair	0.520	0.459	0.657	arrin
affect	0.458	0.569	0.578	saamayn
affecting	0.350	0.574	0.394	saameeya
affection	0.898	0.559	0.696	kalgacal
affectionate	0.949	0.422	0.550	kalgacal leh
affections	0.760	0.547	0.655	kalgacaylka
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	dhaar
affiliated	0.673	0.519	0.535	ku xidhan
affiliation	0.615	0.594	0.500	ku xidhan
affinity	0.800	0.500	0.537	ehelnimo
affirm	0.745	0.509	0.731	xaqiijin
affirmation	0.750	0.500	0.689	xaqiijin
affirmative	0.854	0.589	0.816	xaqiijin
affirmatively	0.908	0.500	0.811	hubaal
affix	0.438	0.335	0.411	ku dhejin
afflict	0.302	0.555	0.293	dhibid
afflicted	0.271	0.500	0.167	dhibban
affliction	0.294	0.635	0.392	dhibid
affluence	0.663	0.618	0.722	hodantinimo
affluent	0.756	0.388	0.477	hodan ah
afford	0.571	0.580	0.575	awoodo
affordable	0.840	0.398	0.493	la awoodi karo
affront	0.327	0.740	0.547	aflagaado
affronted	0.385	0.750	0.527	gardaran
afield	0.594	0.370	0.373	meel fog
afire	0.367	0.904	0.675	dab
afloat	0.602	0.427	0.444	sabayn
afore	0.500	0.337	0.382	hore
aforementioned	0.490	0.316	0.408	kor ku xusan
aforesaid	0.531	0.358	0.478	hore u sheegay
afraid	0.010	0.775	0.245	cabsi
afresh	0.643	0.521	0.480	cusub
aft	0.480	0.417	0.518	ka dib
afterlife	0.571	0.567	0.568	nolosha danbe
aftermath	0.312	0.449	0.444	ka dib
afternoon	0.533	0.388	0.339	galabnimo
aftershave	0.406	0.384	0.415	xiiran ka dib
aftertaste	0.354	0.362	0.455	dhadhan danbe
afterthought	0.396	0.392	0.349	fikir ka dib
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	agate
age	0.561	0.226	0.498	da'da
aged	0.135	0.365	0.236	duqoobay
agency	0.460	0.296	0.583	wakaalada
agenda	0.531	0.296	0.553	ajandaha
agent	0.480	0.439	0.755	wakiil
agglomeration	0.450	0.765	0.509	gardarro
aggravate	0.224	0.770	0.464	xumeyn
aggravated	0.079	0.760	0.430	ka sii daray
aggravates	0.108	0.778	0.357	ka sii daraysa
aggravating	0.257	0.794	0.640	ka sii daraysa
aggravation	0.071	0.784	0.613	sii xumaansho
aggregate	0.730	0.378	0.556	wadar ahaan
aggregation	0.583	0.517	0.694	isu geyn
aggresive	0.059	0.971	0.639	gardaran
aggression	0.094	0.929	0.533	gardaro
aggressive	0.125	0.949	0.648	gardaran
aggressively	0.250	0.926	0.688	si gardarro ah
aggressiveness	0.077	0.913	0.648	gardarro
aggressor	0.146	0.948	0.823	gardaro
agh	0.260	0.500	0.400	ahaa
aghast	0.133	0.865	0.464	naxdin leh
aghhh	0.281	0.635	0.243	aghhh
agile	0.800	0.657	0.775	degdegsan
agility	0.720	0.702	0.815	firfircooni
aging	0.214	0.255	0.284	gabowga
agitate	0.300	0.796	0.593	kicin
agitated	0.444	0.882	0.491	kacsan
agitation	0.240	0.931	0.447	kicin
aglow	0.780	0.510	0.797	alow
agnostic	0.306	0.396	0.574	agnostic
ago	0.317	0.280	0.404	ka hor
agonizing	0.083	0.800	0.340	murugaysan
agony	0.083	0.775	0.393	xanuun
agoraphobia	0.127	0.712	0.438	agoraphobia
agree	0.906	0.260	0.545	ku heshiiyaan
agreeable	0.906	0.500	0.696	la aqbali karo
agreed	0.797	0.449	0.574	lagu heshiiyey
agreeing	0.854	0.480	0.557	ku heshiin
agreement	0.760	0.440	0.736	heshiis
agressive	0.083	0.918	0.751	dagaal badan
agricultural	0.686	0.321	0.473	beeralayda
agriculture	0.640	0.357	0.465	beeraha
aground	0.333	0.340	0.445	dhulka
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	ka hor
ahhh	0.562	0.517	0.241	ahaa
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhh
ahoy	0.500	0.497	0.380	ahaa
aid	0.796	0.491	0.541	gargaar
aide	0.724	0.342	0.434	kaaliye
aiding	0.643	0.533	0.569	gargaarid
aids	0.561	0.480	0.500	caawimo
ail	0.375	0.434	0.385	xanuun
ailing	0.094	0.518	0.153	buka
ailment	0.146	0.734	0.277	jirro
aim	0.481	0.569	0.567	ujeedo
aimless	0.150	0.267	0.183	ujeeddo lahayn
air	0.708	0.163	0.427	hawo
airbag	0.510	0.402	0.433	barkinta shilka
airborne	0.542	0.519	0.385	hawo qaado
aircraft	0.646	0.644	0.691	diyaarad
aircraft carrier	0.490	0.740	0.727	qaade diyaarad
airfield	0.601	0.650	0.645	garoonka diyaaradaha
airhead	0.271	0.481	0.276	madaxa hawada
airlift	0.573	0.622	0.642	hawo qaadid
airline	0.650	0.482	0.688	diyaarad
airliner	0.667	0.777	0.647	diyaarad
airlock	0.398	0.520	0.447	xirid
airman	0.587	0.716	0.721	duuliye
airplane	0.719	0.702	0.708	diyaarad
airport	0.729	0.684	0.682	garoonka diyaaradaha
airs	0.583	0.196	0.370	hawo
airship	0.542	0.472	0.529	hawo
airspace	0.562	0.510	0.640	hawada sare
airspeed	0.583	0.780	0.544	xawaaraha hawada
airstrip	0.550	0.690	0.649	garoon diyaaradeed
airtight	0.479	0.381	0.570	hawo-mareen
airway	0.638	0.585	0.482	marin-haweedka
aisle	0.438	0.222	0.283	marin
ait	0.385	0.390	0.402	waa
ajar	0.460	0.413	0.446	jar
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	la mid ah
alabaster	0.542	0.404	0.445	alabastar
alarm	0.241	0.882	0.698	qaylo-dhaan
alarm clock	0.542	0.727	0.642	saacada digniinta
alarmed	0.188	0.822	0.492	ka naxay
alarming	0.204	0.890	0.585	naxdin leh
alas	0.571	0.310	0.279	hoogay
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatross
albino	0.500	0.240	0.358	albino
album	0.635	0.349	0.453	album
alchemy	0.541	0.583	0.693	alchemy
alcohol	0.323	0.667	0.377	khamriga
alcoholic	0.153	0.688	0.361	khamriga
alcoholism	0.061	0.779	0.407	khamriga
alcove	0.490	0.340	0.356	alcove
alderman	0.550	0.459	0.691	alderman
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	feejigan
alertness	0.375	0.875	0.750	feejignaan
alerts	0.337	0.804	0.673	digniino
alfalfa	0.546	0.250	0.311	alfalfa
algebra	0.440	0.340	0.565	aljebra
algebraic	0.531	0.412	0.441	aljabra
algorithm	0.448	0.394	0.559	algorithm
alias	0.541	0.353	0.333	magac ahaan
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	shisheeye
alienate	0.247	0.500	0.523	fogayn
alienated	0.410	0.423	0.559	fogaaday
alienation	0.378	0.530	0.462	fogaansho
alight	0.667	0.657	0.605	iftiin
align	0.656	0.364	0.627	toosin
aligned	0.583	0.275	0.553	toosan
alignment	0.643	0.412	0.683	toosin
alike	0.653	0.173	0.444	isku mid ah
alimentation	0.781	0.551	0.602	dheefshiidka
alimony	0.612	0.477	0.464	masruufka
aliquot	0.440	0.310	0.404	aliquot
alive	0.816	0.637	0.731	nool
alkali	0.490	0.350	0.408	alkali
alkaloids	0.433	0.562	0.402	alkaloids
allay	0.417	0.406	0.398	allaysiiyo
allegation	0.578	0.578	0.608	eedayn
allege	0.418	0.482	0.587	eedayn
alleged	0.365	0.522	0.520	lagu eedeeyay
allegiance	0.917	0.398	0.750	daacadnimo
allegorical	0.517	0.558	0.598	maldahan
allegory	0.615	0.580	0.509	tusaale ahaan
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	xasaasiyad
allergy	0.296	0.606	0.389	xasaasiyad
alleviate	0.869	0.270	0.528	yaraynta
alleviation	0.735	0.200	0.491	yaraynta
alley	0.347	0.500	0.355	luuq
alleyway	0.357	0.471	0.382	alleyway
alliance	0.696	0.473	0.769	isbahaysi
allied	0.714	0.245	0.642	xulufada
alligator	0.354	0.704	0.645	alligator
allocate	0.673	0.462	0.672	qoondayn
allocation	0.604	0.388	0.679	qoondaynta
allot	0.622	0.481	0.616	qoondayn
allotment	0.600	0.390	0.640	qoondayn
allow	0.698	0.429	0.538	oggolow
allowable	0.698	0.500	0.561	la ogol yahay
allowance	0.673	0.382	0.591	gunnada
allowed	0.730	0.360	0.655	ogol yahay
alloy	0.583	0.443	0.593	daawaha
allsmiles	0.786	0.528	0.430	dhoola cadeyn
allure	0.804	0.585	0.686	soo jiidasho
alluring	0.837	0.745	0.843	soo jiidasho leh
allusion	0.440	0.308	0.462	tilmaamid
alluvial	0.323	0.490	0.491	duufsan
ally	0.792	0.320	0.688	xulafo
almanac	0.688	0.190	0.412	almanac
almighty	0.938	0.874	0.958	awood leh
almond	0.698	0.183	0.314	almond
aloft	0.771	0.373	0.700	sare
aloha	0.698	0.440	0.441	allaah
alone	0.333	0.167	0.216	keligiis
alongside	0.458	0.333	0.347	garab
aloof	0.189	0.423	0.302	ka fogaansho
aloud	0.458	0.713	0.750	qaylo dhaan
alpha	0.708	0.340	0.755	alfa
alphabet	0.562	0.204	0.672	alifbeetada
alphabetical	0.537	0.296	0.535	alifbeetada
alpine	0.594	0.337	0.474	alpine
alreadyyyyy	0.592	0.717	0.351	hore ayay
altar	0.724	0.387	0.635	allabari
altar boy	0.434	0.206	0.350	wiil allabari
alter	0.333	0.694	0.654	beddelo
alteration	0.167	0.798	0.609	badalid
altercation	0.170	0.806	0.500	dagaal
altered	0.255	0.765	0.500	bedelay
alternate	0.625	0.363	0.589	beddelkeeda
alternating	0.480	0.494	0.542	beddelashada
alternative	0.628	0.373	0.631	beddelaad
altimeter	0.615	0.510	0.580	altimeter
altitude	0.708	0.482	0.736	joogga
alto	0.656	0.404	0.730	alto
altogether	0.833	0.324	0.644	gebi ahaanba
aluminum	0.449	0.280	0.434	aluminium
alumnus	0.633	0.368	0.422	alumnus
alveolar	0.469	0.481	0.367	alveolar
alzheimers	0.194	0.518	0.319	cudurka Alzheimers
amalgam	0.438	0.333	0.510	amalgam
amalgamation	0.406	0.470	0.531	isku-dhafka
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	ururin
amateur	0.469	0.500	0.409	hiwaayadda
amaze	0.896	0.843	0.783	yaab
amazed	0.796	0.779	0.533	yaabay
amazedness	0.827	0.872	0.510	amakaag
amazement	0.750	0.800	0.639	amakaag
amazing	0.906	0.837	0.849	yaab leh
amazingly	0.918	0.765	0.920	yaab leh
ambassador	0.651	0.529	0.917	Safiirka
amber	0.635	0.308	0.369	amber
ambience	0.735	0.356	0.426	jawiga
ambient	0.625	0.360	0.582	deegaan
ambiguity	0.164	0.460	0.370	madmadow
ambiguous	0.265	0.462	0.358	madmadow
ambit	0.479	0.380	0.386	hammi
ambition	0.510	0.804	0.661	hami
ambitious	0.484	0.821	0.717	hammi leh
ambivalent	0.510	0.404	0.482	ambivalent
ambrosia	0.571	0.452	0.480	ambrosia
ambulance	0.500	0.750	0.609	ambalaas
ambush	0.281	0.830	0.500	gaadmo
ameliorate	0.770	0.548	0.747	hagaajin
amen	0.781	0.182	0.542	aamiin
amenable	0.448	0.410	0.406	la aqbali karo
amend	0.688	0.406	0.658	wax ka beddel
amendment	0.531	0.459	0.606	wax ka beddelka
amends	0.640	0.366	0.517	hagaajin
amenity	0.750	0.327	0.574	raaxaysi
amethyst	0.622	0.406	0.517	amethyst
amiable	0.847	0.290	0.483	la aamini karo
amicable	0.875	0.330	0.507	naxariis leh
amid	0.510	0.340	0.256	dhexda
amidst	0.480	0.330	0.316	dhexdooda
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	ammoo
ammonia	0.292	0.587	0.409	ammonia
ammonium	0.354	0.396	0.368	ammonium
ammunition	0.338	0.635	0.667	rasaas
amnesia	0.296	0.330	0.308	amnesia
amnesty	0.551	0.451	0.814	cafis
amorous	0.844	0.670	0.636	qosol badan
amorphous	0.327	0.402	0.349	amorphous
amortization	0.592	0.491	0.522	amortization
amount	0.562	0.422	0.649	qaddarka
amour	0.865	0.480	0.652	amor
amp	0.439	0.393	0.375	amp
ampersand	0.480	0.448	0.483	ampersand
amphetamines	0.133	0.667	0.526	amphetamines
amphibian	0.427	0.357	0.474	amphibian
amphibious	0.479	0.346	0.445	xoog badan
amphitheater	0.653	0.480	0.545	amphitheater
ample	0.744	0.349	0.719	ku filan
amplification	0.690	0.677	0.810	kor u qaadis
amplify	0.677	0.735	0.827	xoojin
amplitude	0.694	0.439	0.692	baaxadda
amply	0.781	0.431	0.766	si buuxda
amputate	0.092	0.660	0.509	go'an
amputation	0.100	0.755	0.483	goynta
amuck	0.385	0.602	0.321	maaweelo
amulet	0.781	0.260	0.630	amulet
amuse	0.812	0.684	0.664	maaweelo
amused	0.942	0.847	0.596	maaweelo
amusement	0.929	0.837	0.803	maaweelo
amusing	0.960	0.829	0.632	madadaalo
ana	0.541	0.300	0.314	ana
anaconda	0.146	0.830	0.540	anaconda
anaesthesia	0.350	0.217	0.473	suuxinta
anaesthetic	0.449	0.268	0.509	suuxinta
anagram	0.552	0.327	0.449	anagram
anal	0.333	0.798	0.334	futada
analgesic	0.417	0.321	0.441	xanuunka xanuunka
