English Word	Valence	Arousal	Dominance	Hindi Word
accrue	0.520	0.481	0.602	उपाजित होना
accueil	0.450	0.451	0.470	भाषा
accumulate	0.573	0.536	0.607	संचय करें
accumulation	0.479	0.527	0.600	संचय
accuracy	0.604	0.481	0.802	शुद्धता
accurate	0.743	0.360	0.737	सटीक
accursed	0.135	0.745	0.345	शापित
accusation	0.073	0.718	0.564	आरोप
accusative	0.198	0.755	0.482	कर्म कारक
accuse	0.133	0.752	0.500	आरोप
accused	0.130	0.670	0.420	दोषी
accuser	0.122	0.779	0.615	अभियोक्ता
accusing	0.156	0.745	0.324	आरोप लगा
accustomed	0.542	0.365	0.441	आदी
ace	0.643	0.481	0.546	ऐस
acetic	0.333	0.420	0.519	खट्टा
acetylene	0.306	0.469	0.509	एसिटिलीन
ache	0.146	0.760	0.312	दर्द
achieve	0.816	0.545	0.843	प्राप्त करना
achieved	0.896	0.519	0.775	हासिल
achievement	0.896	0.808	0.759	उपलब्धि
aching	0.053	0.880	0.348	दर्द
achy	0.167	0.840	0.373	आची
acid	0.265	0.642	0.566	अम्ल
acidity	0.156	0.663	0.360	पेट में गैस
acknowledge	0.786	0.370	0.661	स्वीकार करना
acknowledged	0.714	0.443	0.765	स्वीकार किया
acknowledgement	0.819	0.539	0.830	स्वीकृति
acknowledgment	0.796	0.528	0.777	स्वीकृति
acme	0.408	0.435	0.375	परिपूर्णता
acne	0.167	0.474	0.308	मुंहासा
acorn	0.448	0.198	0.192	बलूत का फल
acoustic	0.542	0.462	0.536	ध्वनिक
acoustics	0.611	0.330	0.509	ध्वनि-विज्ञान
acquaint	0.646	0.491	0.639	परिचित
acquaintance	0.656	0.290	0.670	जान-पहचान
acquainted	0.906	0.358	0.632	परिचित
acquiescence	0.542	0.480	0.554	रज़ामंदी
acquire	0.833	0.468	0.700	अधिग्रहण करना
acquiring	0.735	0.510	0.817	प्राप्त
acquisition	0.698	0.509	0.736	अधिग्रहण
acquisitions	0.773	0.660	0.790	अधिग्रहण
acquit	0.583	0.571	0.611	बरी करना
acquittal	0.760	0.497	0.700	दोषमुक्ति
acre	0.583	0.387	0.423	एकड़
acreage	0.741	0.450	0.528	एकड़
acres	0.510	0.363	0.500	एकड़ जमीन
acrobat	0.708	0.828	0.602	नट
acrylic	0.582	0.279	0.420	ऐक्रेलिक
act	0.656	0.704	0.735	कार्यवाही करना
acting	0.698	0.643	0.500	अभिनय
action	0.760	0.898	0.802	गतिविधि
action figure	0.615	0.774	0.611	कार्रवाई का आंकड़ा
actionable	0.673	0.702	0.613	कदम उठाने योग्य
activate	0.764	0.650	0.806	सक्रिय
activation	0.781	0.800	0.754	सक्रियण
active	0.847	0.730	0.731	सक्रिय
activist	0.531	0.653	0.877	कार्यकर्ता
activity	0.701	0.660	0.807	गतिविधि
actor	0.653	0.561	0.629	अभिनेता
actress	0.633	0.556	0.596	अभिनेत्री
actual	0.729	0.400	0.716	वास्तविक
actuality	0.750	0.464	0.600	सत्यता
actuary	0.510	0.404	0.491	मुंशी
acuity	0.469	0.378	0.741	तीक्ष्णता
acumen	0.564	0.660	0.679	कुशाग्रता
acupuncture	0.531	0.324	0.549	एक्यूपंक्चर
acute	0.427	0.652	0.534	तीव्र
acutely	0.417	0.543	0.491	तीव्रता से
ad	0.521	0.705	0.558	विज्ञापन
adage	0.517	0.415	0.566	कहावत
adamant	0.344	0.529	0.575	अटल
adapt	0.740	0.355	0.551	अनुकूल बनाना
adaptable	0.735	0.423	0.641	अनुकूलनीय
adaptation	0.663	0.365	0.609	अनुकूलन
add	0.728	0.490	0.554	जोड़ें
added	0.562	0.405	0.509	जोड़ा
addendum	0.392	0.370	0.418	परिशिष्ट
adder	0.388	0.461	0.588	योजक
addict	0.075	0.696	0.327	व्यसनी
addicted	0.156	0.712	0.483	आदी
addiction	0.180	0.806	0.420	लत
addictive	0.302	0.683	0.472	नशे की लत
addition	0.562	0.373	0.471	योग
additional	0.673	0.462	0.526	अतिरिक्त
additive	0.561	0.633	0.691	additive
address	0.650	0.327	0.567	पता
addressee	0.622	0.382	0.538	पत्र पानेवाला
addresses	0.510	0.354	0.450	पतों
adept	0.594	0.539	0.789	निपुण
adequacy	0.615	0.435	0.702	पर्याप्तता
adequate	0.854	0.264	0.705	पर्याप्त
adhere	0.633	0.339	0.554	पालन करना
adherence	0.760	0.307	0.630	अनुपालन
adherent	0.561	0.385	0.555	पक्षपाती
adhering	0.612	0.561	0.537	पालन
adhesion	0.521	0.445	0.586	आसंजन
adhesive	0.604	0.350	0.413	गोंद
adieu	0.250	0.471	0.342	विदाई
adipose	0.333	0.350	0.391	वसा
adjacency	0.365	0.417	0.375	समीपता
adjacent	0.645	0.276	0.536	सटा हुआ
adjective	0.570	0.316	0.569	विशेषण
adjoining	0.520	0.400	0.393	साथ लगा हुआ
adjourn	0.385	0.456	0.475	स्थगित
adjournment	0.438	0.510	0.370	स्थगन
adjudicate	0.559	0.520	0.683	निर्णय करना
adjudication	0.551	0.462	0.691	न्यायिक निर्णय
adjunct	0.459	0.440	0.426	सहायक
adjust	0.647	0.327	0.638	समायोजित करना
adjuster	0.510	0.540	0.760	समायोजक
adjustment	0.590	0.520	0.661	समायोजन
adjuvant	0.510	0.500	0.456	सहायक
admin	0.688	0.420	0.854	व्यवस्थापक
administer	0.635	0.425	0.860	प्रशासन
administration	0.625	0.404	0.786	प्रशासन
administrative	0.542	0.415	0.579	प्रशासनिक
administrator	0.538	0.480	0.902	प्रशासक
admirable	0.929	0.600	0.870	प्रशंसनीय
admiral	0.844	0.490	0.847	एडमिरल
admiralty	0.594	0.547	0.733	नौवाहनविभाग
admiration	0.969	0.583	0.726	प्रशंसा
admire	0.867	0.692	0.704	प्रशंसा करना
admired	0.917	0.560	0.815	प्रशंसा की
admirer	0.796	0.720	0.650	प्रशंसक
admiring	0.867	0.578	0.629	निहार
admissibility	0.802	0.580	0.602	स्वीकार्यता
admissible	0.780	0.528	0.642	स्वीकार्य
admission	0.802	0.415	0.732	प्रवेश
admit	0.538	0.423	0.667	भर्ती होना
admittance	0.690	0.451	0.598	प्रवेश
admitted	0.720	0.490	0.767	स्वीकार किया
admitting	0.620	0.500	0.546	स्वीकार
admixture	0.450	0.375	0.438	मिश्रण
admonition	0.357	0.606	0.455	चेतावनी
ado	0.520	0.423	0.385	हलचल
adobe	0.500	0.319	0.328	एडोब
adolescence	0.487	0.694	0.444	किशोरावस्था
adolescent	0.781	0.680	0.509	किशोर
adopt	0.694	0.612	0.701	गोद लेना
adoption	0.625	0.566	0.589	दत्तक ग्रहण
adoptive	0.531	0.469	0.520	गोद लेने योग्य
adorable	0.969	0.519	0.457	प्यारी
adoration	0.885	0.699	0.708	आराधना
adore	0.854	0.438	0.657	प्यार करते हैं
adoring	0.885	0.620	0.717	प्यार करना
adorn	0.910	0.424	0.482	सजाना
adornment	0.918	0.373	0.377	अलंकरण
adrenalin	0.865	0.920	0.786	एड्रेनालिन
adrenaline	0.765	0.965	0.825	एड्रेनालाईन
adrift	0.398	0.486	0.230	भटकते हुए
adult	0.815	0.491	0.787	वयस्क
adulterated	0.188	0.865	0.370	मिलावटी
adulterer	0.229	0.814	0.407	परस्रीगमी
adultery	0.120	0.922	0.510	व्यभिचार
adulthood	0.541	0.454	0.652	वयस्कता
advance	0.673	0.472	0.858	अग्रिम
advanced	0.844	0.623	0.797	विकसित
advancement	0.776	0.650	0.839	उन्नति
advancing	0.929	0.608	0.812	आगे बढ़ाने
advantage	0.917	0.548	0.859	फायदा
advantageous	0.837	0.640	0.789	लाभदायक
advent	0.665	0.560	0.627	आगमन
adventure	0.917	0.857	0.710	साहसिक काम
adventurer	0.781	0.839	0.868	साहसी
adventures	0.812	0.764	0.749	एडवेंचर्स
adventurous	0.969	0.898	0.722	साहसी
adversary	0.349	0.777	0.457	वैरी
adverse	0.323	0.610	0.385	विपरीत
adversity	0.276	0.760	0.538	आपदा
advertise	0.500	0.529	0.580	विज्ञापित
advertisement	0.600	0.566	0.539	विज्ञापन
advertising	0.622	0.608	0.632	विज्ञापन देना
adverts	0.551	0.500	0.595	विज्ञापनों
advice	0.698	0.408	0.688	सलाह
advisable	0.867	0.480	0.510	उचित
advise	0.760	0.393	0.705	सलाह देना
advised	0.823	0.330	0.509	सलाह दी
advisement	0.698	0.235	0.655	सलाह
adviser	0.745	0.362	0.705	सलाहकार
advisor	0.646	0.350	0.689	सलाहकार
advisory	0.656	0.429	0.633	सलाहकार
advocacy	0.500	0.646	0.731	वकालत
advocate	0.551	0.530	0.818	वकील
aegis	0.490	0.439	0.462	तत्वावधान
aeration	0.550	0.500	0.433	वातन
aerial	0.615	0.461	0.463	हवाई
aerobics	0.708	0.771	0.627	एरोबिक्स
aerodrome	0.541	0.740	0.678	हवाई अड्डा
aerodynamic	0.561	0.724	0.728	वायुगतिकीय
aerodynamics	0.590	0.663	0.722	वायुगतिकी
aeronautics	0.551	0.633	0.688	एयरोनॉटिक्स
aeroplane	0.714	0.642	0.644	विमान
aerospace	0.643	0.520	0.779	एयरोस्पेस
aesthetic	0.708	0.442	0.526	सौंदर्य संबंधी
aesthetics	0.847	0.327	0.549	सौंदर्यशास्र
aetiology	0.480	0.398	0.615	एटिओलॉजी
afar	0.396	0.373	0.358	दूर
affable	0.704	0.380	0.452	मिलनसार
affair	0.520	0.459	0.657	चक्कर
affect	0.458	0.569	0.578	प्रभावित करना
affecting	0.350	0.574	0.394	प्रभावित करने वाले
affection	0.898	0.559	0.696	स्नेह
affectionate	0.949	0.422	0.550	स्नेही
affections	0.760	0.547	0.655	प्यार
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	शपथ पत्र
affiliated	0.673	0.519	0.535	संबद्ध
affiliation	0.615	0.594	0.500	संबंधन
affinity	0.800	0.500	0.537	आत्मीयता
affirm	0.745	0.509	0.731	वाणी
affirmation	0.750	0.500	0.689	प्रतिज्ञान
affirmative	0.854	0.589	0.816	सकारात्मक
affirmatively	0.908	0.500	0.811	सकारात्मक
affix	0.438	0.335	0.411	प्रत्यय
afflict	0.302	0.555	0.293	पीड़ा देना
afflicted	0.271	0.500	0.167	संतप्त
affliction	0.294	0.635	0.392	यातना
affluence	0.663	0.618	0.722	समृद्धि
affluent	0.756	0.388	0.477	धनी
afford	0.571	0.580	0.575	खर्च वहन करना
affordable	0.840	0.398	0.493	खरीदने की सामर्थ्य
affront	0.327	0.740	0.547	अपमान
affronted	0.385	0.750	0.527	अपमानित
afield	0.594	0.370	0.373	खेत
afire	0.367	0.904	0.675	एक आग
afloat	0.602	0.427	0.444	बचाए
afore	0.500	0.337	0.382	आगे
aforementioned	0.490	0.316	0.408	पूर्वकथित
aforesaid	0.531	0.358	0.478	पूर्वोक्त
afraid	0.010	0.775	0.245	डरना
afresh	0.643	0.521	0.480	नए सिरे से
aft	0.480	0.417	0.518	पिछाड़ी
afterlife	0.571	0.567	0.568	पुनर्जन्म
aftermath	0.312	0.449	0.444	परिणाम
afternoon	0.533	0.388	0.339	दोपहर बाद
aftershave	0.406	0.384	0.415	आफ़्टरशेव
aftertaste	0.354	0.362	0.455	स्वाद
afterthought	0.396	0.392	0.349	बाद का विचार
aga	0.542	0.327	0.398	आगा
agape	0.612	0.529	0.464	मुंह खोले हुए
agate	0.540	0.377	0.483	सुलेमानी पत्थर
age	0.561	0.226	0.498	आयु
aged	0.135	0.365	0.236	वृद्ध
agency	0.460	0.296	0.583	एजेंसी
agenda	0.531	0.296	0.553	कार्यसूची
agent	0.480	0.439	0.755	प्रतिनिधि
agglomeration	0.450	0.765	0.509	ढेर
aggravate	0.224	0.770	0.464	बढ़
aggravated	0.079	0.760	0.430	बहुत बिगड़
aggravates	0.108	0.778	0.357	aggravates
aggravating	0.257	0.794	0.640	उत्तेजक
aggravation	0.071	0.784	0.613	उत्तेजना
aggregate	0.730	0.378	0.556	सकल
aggregation	0.583	0.517	0.694	एकत्रीकरण
aggresive	0.059	0.971	0.639	आक्रामक
aggression	0.094	0.929	0.533	आक्रमण
aggressive	0.125	0.949	0.648	आक्रामक
aggressively	0.250	0.926	0.688	उग्रता के साथ
aggressiveness	0.077	0.913	0.648	आक्रामकता
aggressor	0.146	0.948	0.823	आक्रामक
agh	0.260	0.500	0.400	आह
aghast	0.133	0.865	0.464	भौचक्का
aghhh	0.281	0.635	0.243	अघ्ह
agile	0.800	0.657	0.775	चुस्त
agility	0.720	0.702	0.815	चपलता
aging	0.214	0.255	0.284	उम्र बढ़ने
agitate	0.300	0.796	0.593	आंदोलन
agitated	0.444	0.882	0.491	उत्तेजित
agitation	0.240	0.931	0.447	घबराहट
aglow	0.780	0.510	0.797	दमकता हुआ
agnostic	0.306	0.396	0.574	अज्ञेयवाद का
ago	0.317	0.280	0.404	पहले
agonizing	0.083	0.800	0.340	अति पीड़ा देनेवाला
agony	0.083	0.775	0.393	पीड़ा
agoraphobia	0.127	0.712	0.438	भीड़ से डर लगना
agree	0.906	0.260	0.545	सहमत होना
agreeable	0.906	0.500	0.696	सहमत
agreed	0.797	0.449	0.574	मान गया
agreeing	0.854	0.480	0.557	सहमत होने से
agreement	0.760	0.440	0.736	समझौता
agressive	0.083	0.918	0.751	आक्रामक
agricultural	0.686	0.321	0.473	कृषि
agriculture	0.640	0.357	0.465	कृषि
aground	0.333	0.340	0.445	टिका हुआ
agua	0.598	0.180	0.436	पानी
ahead	0.708	0.520	0.673	आगे
ahhh	0.562	0.517	0.241	आह
ahhhhhhhh	0.552	0.649	0.288	अह्ह्ह्ह्ह्ह्ह्ह्ह्ह्ह्ह्ह्ह्ह्ह्ह्ह्ह्ह
ahoy	0.500	0.497	0.380	एहोय
aid	0.796	0.491	0.541	सहायता
aide	0.724	0.342	0.434	सहयोगी
aiding	0.643	0.533	0.569	सहायता
aids	0.561	0.480	0.500	एड्स
ail	0.375	0.434	0.385	बीमार होना
ailing	0.094	0.518	0.153	बीमार
ailment	0.146	0.734	0.277	रोग
aim	0.481	0.569	0.567	उद्देश्य
aimless	0.150	0.267	0.183	लक्ष्यहीन
air	0.708	0.163	0.427	वायु
airbag	0.510	0.402	0.433	एयरबैग
airborne	0.542	0.519	0.385	हवाई
aircraft	0.646	0.644	0.691	हवाई जहाज
aircraft carrier	0.490	0.740	0.727	विमान वाहक
airfield	0.601	0.650	0.645	एयरफील्ड
airhead	0.271	0.481	0.276	एयरहेड
airlift	0.573	0.622	0.642	विमान सेवा
airline	0.650	0.482	0.688	एयरलाइन
airliner	0.667	0.777	0.647	विमान
airlock	0.398	0.520	0.447	एयरलॉक
airman	0.587	0.716	0.721	विमान-चालक
airplane	0.719	0.702	0.708	विमान
airport	0.729	0.684	0.682	हवाई अड्डा
airs	0.583	0.196	0.370	एयर्स
airship	0.542	0.472	0.529	हवाई पोत
airspace	0.562	0.510	0.640	हवाई क्षेत्र
airspeed	0.583	0.780	0.544	हवा की गति
airstrip	0.550	0.690	0.649	हवाई पट्टी
airtight	0.479	0.381	0.570	वायु-रोधक
airway	0.638	0.585	0.482	वायुपथ
aisle	0.438	0.222	0.283	गलियारा
ait	0.385	0.390	0.402	उपद्वीप
ajar	0.460	0.413	0.446	अधखुला
aka	0.459	0.358	0.351	उर्फ
akin	0.639	0.343	0.523	सदृश्य
alabaster	0.542	0.404	0.445	सिलखड़ी
alarm	0.241	0.882	0.698	खतरे की घंटी
alarm clock	0.542	0.727	0.642	अलार्म घड़ी
alarmed	0.188	0.822	0.492	चिंतित
alarming	0.204	0.890	0.585	खतरनाक
alas	0.571	0.310	0.279	हाय
alb	0.521	0.380	0.427	अल्बा
albatross	0.500	0.445	0.527	भारी अड़चन
albino	0.500	0.240	0.358	सूरजमुखी मनुष्य
album	0.635	0.349	0.453	एल्बम
alchemy	0.541	0.583	0.693	रस-विधा
alcohol	0.323	0.667	0.377	शराब
alcoholic	0.153	0.688	0.361	मादक
alcoholism	0.061	0.779	0.407	शराब
alcove	0.490	0.340	0.356	घिरौची
alderman	0.550	0.459	0.691	उर्ननग रपाल
ale	0.530	0.450	0.358	यवसुरा
alert	0.479	0.820	0.648	चेतावनी
alertness	0.375	0.875	0.750	मुस्तैदी
alerts	0.337	0.804	0.673	अलर्ट
alfalfa	0.546	0.250	0.311	अल्फाल्फा
algebra	0.440	0.340	0.565	बीजगणित
algebraic	0.531	0.412	0.441	बीजगणितीय
algorithm	0.448	0.394	0.559	कलन विधि
alias	0.541	0.353	0.333	उपनाम
alibi	0.396	0.528	0.556	अन्यत्र उपस्थिति
alien	0.410	0.615	0.491	विदेशी
alienate	0.247	0.500	0.523	विमुख
alienated	0.410	0.423	0.559	अलग-थलग
alienation	0.378	0.530	0.462	अलगाव की भावना
alight	0.667	0.657	0.605	प्रदीप्त करना
align	0.656	0.364	0.627	संरेखित
aligned	0.583	0.275	0.553	गठबंधन
alignment	0.643	0.412	0.683	संरेखण
alike	0.653	0.173	0.444	एक जैसे
alimentation	0.781	0.551	0.602	भरण
alimony	0.612	0.477	0.464	निर्वाह निधि
aliquot	0.440	0.310	0.404	विभाज्य
alive	0.816	0.637	0.731	जीवित
alkali	0.490	0.350	0.408	क्षार
alkaloids	0.433	0.562	0.402	एल्कलॉइड
allay	0.417	0.406	0.398	दूर,
allegation	0.578	0.578	0.608	आरोप
allege	0.418	0.482	0.587	आरोप
alleged	0.365	0.522	0.520	कथित
allegiance	0.917	0.398	0.750	निष्ठा
allegorical	0.517	0.558	0.598	व्यंजनापूर्ण
allegory	0.615	0.580	0.509	रूपक
allegro	0.635	0.627	0.453	Allegro
allergic	0.135	0.549	0.273	एलर्जी
allergy	0.296	0.606	0.389	एलर्जी
alleviate	0.869	0.270	0.528	कम
alleviation	0.735	0.200	0.491	उपशमन
alley	0.347	0.500	0.355	गली
alleyway	0.357	0.471	0.382	गली
alliance	0.696	0.473	0.769	संधि
allied	0.714	0.245	0.642	सम्बद्ध
alligator	0.354	0.704	0.645	मगर
allocate	0.673	0.462	0.672	आवंटित
allocation	0.604	0.388	0.679	आवंटन
allot	0.622	0.481	0.616	आवंटित
allotment	0.600	0.390	0.640	आवंटन
allow	0.698	0.429	0.538	अनुमति
allowable	0.698	0.500	0.561	स्वीकार्य
allowance	0.673	0.382	0.591	भत्ता
allowed	0.730	0.360	0.655	अनुमत
alloy	0.583	0.443	0.593	मिश्र धातु
allsmiles	0.786	0.528	0.430	सभी मुस्काते हैं
allure	0.804	0.585	0.686	फुसलाना
alluring	0.837	0.745	0.843	मनोहर
allusion	0.440	0.308	0.462	संकेत
alluvial	0.323	0.490	0.491	कछार का
ally	0.792	0.320	0.688	मित्र
almanac	0.688	0.190	0.412	पंचांग
almighty	0.938	0.874	0.958	सर्वशक्तिमान
almond	0.698	0.183	0.314	बादाम
aloft	0.771	0.373	0.700	ऊपर
aloha	0.698	0.440	0.441	अलोहा
alone	0.333	0.167	0.216	अकेला
alongside	0.458	0.333	0.347	साथ - साथ
aloof	0.189	0.423	0.302	अलग
aloud	0.458	0.713	0.750	जोर
alpha	0.708	0.340	0.755	अल्फा
alphabet	0.562	0.204	0.672	वर्णमाला
alphabetical	0.537	0.296	0.535	वर्णमाला
alpine	0.594	0.337	0.474	अल्पाइन
alreadyyyyy	0.592	0.717	0.351	पहले से ही
altar	0.724	0.387	0.635	वेदी
altar boy	0.434	0.206	0.350	वेदी सहायक
alter	0.333	0.694	0.654	बदलने
alteration	0.167	0.798	0.609	परिवर्तन
altercation	0.170	0.806	0.500	तकरार
altered	0.255	0.765	0.500	बदल
alternate	0.625	0.363	0.589	एकांतर
alternating	0.480	0.494	0.542	बारी
alternative	0.628	0.373	0.631	विकल्प
altimeter	0.615	0.510	0.580	altimeter
altitude	0.708	0.482	0.736	ऊंचाई
alto	0.656	0.404	0.730	अल्टो
altogether	0.833	0.324	0.644	कुल मिलाकर
aluminum	0.449	0.280	0.434	अल्युमीनियम
alumnus	0.633	0.368	0.422	भूतपूर्व छात्र
alveolar	0.469	0.481	0.367	वायुकोशीय
alzheimers	0.194	0.518	0.319	भूलने की बीमारी
amalgam	0.438	0.333	0.510	मिश्रण
amalgamation	0.406	0.470	0.531	मिश्रण
amaretto	0.543	0.551	0.375	अमरेटो
amass	0.552	0.465	0.465	एकत्र करना
amateur	0.469	0.500	0.409	शौक़ीन व्यक्ति
amaze	0.896	0.843	0.783	विस्मित करना
amazed	0.796	0.779	0.533	हैरान
amazedness	0.827	0.872	0.510	विस्मय
amazement	0.750	0.800	0.639	विस्मय
amazing	0.906	0.837	0.849	अद्भुत
amazingly	0.918	0.765	0.920	आश्चर्यजनक
ambassador	0.651	0.529	0.917	दूत
amber	0.635	0.308	0.369	अंबर
ambience	0.735	0.356	0.426	माहौल
ambient	0.625	0.360	0.582	व्यापक
ambiguity	0.164	0.460	0.370	अनिश्चितता
ambiguous	0.265	0.462	0.358	अस्पष्ट
ambit	0.479	0.380	0.386	सीमा
ambition	0.510	0.804	0.661	महत्वाकांक्षा
ambitious	0.484	0.821	0.717	महत्वाकांक्षी
ambivalent	0.510	0.404	0.482	उभयभावी
ambrosia	0.571	0.452	0.480	अमृत
ambulance	0.500	0.750	0.609	रोगी वाहन
ambush	0.281	0.830	0.500	घात लगाना
ameliorate	0.770	0.548	0.747	उन्नति
amen	0.781	0.182	0.542	तथास्तु
amenable	0.448	0.410	0.406	वश्य
amend	0.688	0.406	0.658	संशोधन
amendment	0.531	0.459	0.606	संशोधन
amends	0.640	0.366	0.517	हरजाना
amenity	0.750	0.327	0.574	सुख सुविधा
amethyst	0.622	0.406	0.517	बिल्लौर
amiable	0.847	0.290	0.483	सुशील
amicable	0.875	0.330	0.507	मैत्रीपूर्ण
amid	0.510	0.340	0.256	के बीच
