English Word	Valence	Arousal	Dominance	Hungarian Word
acceleration	0.704	0.905	0.843	gyorsulás
accelerator	0.593	0.830	0.812	gyorsító
accent	0.598	0.357	0.509	hangsúly
accentuate	0.673	0.556	0.667	hangsúlyozzák
accept	0.847	0.286	0.565	elfogad
acceptable	0.812	0.286	0.583	elfogadható
acceptance	0.833	0.287	0.755	elfogadás
acceptances	0.847	0.413	0.648	elfogadások
access	0.714	0.472	0.567	hozzáférés
accessible	0.796	0.410	0.645	hozzáférhető
accession	0.612	0.383	0.636	csatlakozás
accessory	0.562	0.292	0.445	tartozék
accident	0.125	0.908	0.336	baleset
accidental	0.319	0.784	0.307	véletlen
accidentally	0.333	0.741	0.333	véletlenül
acclaim	0.562	0.809	0.718	elismerést
accolade	0.688	0.591	0.775	elismerés
accommodate	0.844	0.375	0.566	befogadni
accommodation	0.817	0.415	0.587	szállás
accompaniment	0.740	0.479	0.695	kíséret
accompany	0.833	0.406	0.585	kísérni
accompanying	0.787	0.460	0.582	kísérő
accomplice	0.408	0.580	0.510	bűnrészes
accomplish	0.929	0.673	0.816	megvalósítani, végrahajt
accomplished	0.870	0.520	0.798	teljesítve
accomplishment	0.917	0.694	0.888	teljesítmény
accord	0.898	0.264	0.382	egyetértésben
accordance	0.659	0.349	0.600	összhangban
accordion	0.604	0.490	0.361	harmonika
account	0.531	0.347	0.472	fiókot
accountability	0.755	0.537	0.833	elszámoltathatóság
accountable	0.709	0.282	0.777	felelős
accountant	0.625	0.450	0.639	Könyvelő
accounting	0.552	0.390	0.677	könyvelés
accounts	0.592	0.340	0.471	fiókok
accredited	0.669	0.479	0.768	meghatalmazott
accretion	0.448	0.519	0.672	növekedés
accrue	0.520	0.481	0.602	felhalmozódnak
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	felhalmozódnak
accumulation	0.479	0.527	0.600	felhalmozódás
accuracy	0.604	0.481	0.802	pontosság
accurate	0.743	0.360	0.737	pontos
accursed	0.135	0.745	0.345	elátkozott
accusation	0.073	0.718	0.564	vád
accusative	0.198	0.755	0.482	tárgyeset
accuse	0.133	0.752	0.500	vádol
accused	0.130	0.670	0.420	vádlott
accuser	0.122	0.779	0.615	vádló
accusing	0.156	0.745	0.324	vádló
accustomed	0.542	0.365	0.441	hozzászokott
ace	0.643	0.481	0.546	ász
acetic	0.333	0.420	0.519	ecetsav
acetylene	0.306	0.469	0.509	acetilén
ache	0.146	0.760	0.312	fájdalom
achieve	0.816	0.545	0.843	elérni
achieved	0.896	0.519	0.775	elért
achievement	0.896	0.808	0.759	teljesítmény
aching	0.053	0.880	0.348	fájó
achy	0.167	0.840	0.373	fájó
acid	0.265	0.642	0.566	sav
acidity	0.156	0.663	0.360	savasság
acknowledge	0.786	0.370	0.661	elismerni
acknowledged	0.714	0.443	0.765	elismert
acknowledgement	0.819	0.539	0.830	elismerés
acknowledgment	0.796	0.528	0.777	elismerés
acme	0.408	0.435	0.375	csúcspont
acne	0.167	0.474	0.308	pattanás
acorn	0.448	0.198	0.192	makk
acoustic	0.542	0.462	0.536	akusztikus
acoustics	0.611	0.330	0.509	akusztika
acquaint	0.646	0.491	0.639	megismertet
acquaintance	0.656	0.290	0.670	ismerős
acquainted	0.906	0.358	0.632	ismerkedtek
acquiescence	0.542	0.480	0.554	belenyugvás
acquire	0.833	0.468	0.700	szerez
acquiring	0.735	0.510	0.817	megszerzése
acquisition	0.698	0.509	0.736	beszerzés
acquisitions	0.773	0.660	0.790	beszerzések
acquit	0.583	0.571	0.611	felmenteni
acquittal	0.760	0.497	0.700	felmentés
acre	0.583	0.387	0.423	acre
acreage	0.741	0.450	0.528	vetésterület
acres	0.510	0.363	0.500	hektáron
acrobat	0.708	0.828	0.602	akrobata
acrylic	0.582	0.279	0.420	akril
act	0.656	0.704	0.735	törvény
acting	0.698	0.643	0.500	ható
action	0.760	0.898	0.802	akció
action figure	0.615	0.774	0.611	akció figura
actionable	0.673	0.702	0.613	perelhető
activate	0.764	0.650	0.806	aktiválja
activation	0.781	0.800	0.754	aktiválás
active	0.847	0.730	0.731	aktív
activist	0.531	0.653	0.877	aktivista
activity	0.701	0.660	0.807	tevékenység
actor	0.653	0.561	0.629	színész
actress	0.633	0.556	0.596	színésznő
actual	0.729	0.400	0.716	tényleges
actuality	0.750	0.464	0.600	aktualitás
actuary	0.510	0.404	0.491	aktuárius
acuity	0.469	0.378	0.741	élesség
acumen	0.564	0.660	0.679	éleslátás
acupuncture	0.531	0.324	0.549	akupunktúra
acute	0.427	0.652	0.534	akut
acutely	0.417	0.543	0.491	élesen
ad	0.521	0.705	0.558	hirdetés
adage	0.517	0.415	0.566	példabeszéd
adamant	0.344	0.529	0.575	hajthatatlan
adapt	0.740	0.355	0.551	alkalmazkodni
adaptable	0.735	0.423	0.641	alkalmazható
adaptation	0.663	0.365	0.609	alkalmazkodás
add	0.728	0.490	0.554	add hozzá
added	0.562	0.405	0.509	tette hozzá
addendum	0.392	0.370	0.418	függelék
adder	0.388	0.461	0.588	vipera
addict	0.075	0.696	0.327	függő
addicted	0.156	0.712	0.483	függő
addiction	0.180	0.806	0.420	függőség
addictive	0.302	0.683	0.472	addiktív
addition	0.562	0.373	0.471	kiegészítés
additional	0.673	0.462	0.526	további
additive	0.561	0.633	0.691	adalékanyag
address	0.650	0.327	0.567	cím
addressee	0.622	0.382	0.538	címzett
addresses	0.510	0.354	0.450	címek
adept	0.594	0.539	0.789	ügyes
adequacy	0.615	0.435	0.702	megfelelőségét
adequate	0.854	0.264	0.705	megfelelő
adhere	0.633	0.339	0.554	tapad
adherence	0.760	0.307	0.630	tapadás
adherent	0.561	0.385	0.555	tapadó
adhering	0.612	0.561	0.537	ragaszkodva
adhesion	0.521	0.445	0.586	tapadás
adhesive	0.604	0.350	0.413	ragasztóanyag
adieu	0.250	0.471	0.342	Isten veletek
adipose	0.333	0.350	0.391	zsíros
adjacency	0.365	0.417	0.375	szomszédosság
adjacent	0.645	0.276	0.536	szomszédos
adjective	0.570	0.316	0.569	melléknév
adjoining	0.520	0.400	0.393	szomszédos
adjourn	0.385	0.456	0.475	halasztást
adjournment	0.438	0.510	0.370	elnapolás
adjudicate	0.559	0.520	0.683	ítélkezzen
adjudication	0.551	0.462	0.691	ítélkezés
adjunct	0.459	0.440	0.426	adjunktus
adjust	0.647	0.327	0.638	beállítani
adjuster	0.510	0.540	0.760	beállító
adjustment	0.590	0.520	0.661	beállítás
adjuvant	0.510	0.500	0.456	adjuváns
admin	0.688	0.420	0.854	admin
administer	0.635	0.425	0.860	adminisztrálni
administration	0.625	0.404	0.786	adminisztráció
administrative	0.542	0.415	0.579	közigazgatási
administrator	0.538	0.480	0.902	adminisztrátor
admirable	0.929	0.600	0.870	csodálatra méltó
admiral	0.844	0.490	0.847	admirális
admiralty	0.594	0.547	0.733	admiralitás
admiration	0.969	0.583	0.726	csodálat
admire	0.867	0.692	0.704	csodál
admired	0.917	0.560	0.815	csodálta
admirer	0.796	0.720	0.650	tisztelője
admiring	0.867	0.578	0.629	gyönyörködve
admissibility	0.802	0.580	0.602	elfogadhatóság
admissible	0.780	0.528	0.642	elfogadható
admission	0.802	0.415	0.732	belépés
admit	0.538	0.423	0.667	beismerni
admittance	0.690	0.451	0.598	bejárás
admitted	0.720	0.490	0.767	felvételt nyer
admitting	0.620	0.500	0.546	beismerve
admixture	0.450	0.375	0.438	keverék
admonition	0.357	0.606	0.455	figyelmeztetés
ado	0.520	0.423	0.385	hűhó
adobe	0.500	0.319	0.328	vályogtégla
adolescence	0.487	0.694	0.444	serdülőkor
adolescent	0.781	0.680	0.509	serdülő
adopt	0.694	0.612	0.701	örökbe fogadni
adoption	0.625	0.566	0.589	örökbefogadás
adoptive	0.531	0.469	0.520	örökbefogadó
adorable	0.969	0.519	0.457	imádni való
adoration	0.885	0.699	0.708	imádat
adore	0.854	0.438	0.657	rajong
adoring	0.885	0.620	0.717	imádó
adorn	0.910	0.424	0.482	szépít
adornment	0.918	0.373	0.377	díszítés
adrenalin	0.865	0.920	0.786	adrenalin
adrenaline	0.765	0.965	0.825	adrenalin
adrift	0.398	0.486	0.230	sodródva
adult	0.815	0.491	0.787	felnőtt
adulterated	0.188	0.865	0.370	hamisított
adulterer	0.229	0.814	0.407	házasságtörő
adultery	0.120	0.922	0.510	házasságtörés
adulthood	0.541	0.454	0.652	felnőttkor
advance	0.673	0.472	0.858	előleg
advanced	0.844	0.623	0.797	fejlett
advancement	0.776	0.650	0.839	haladás
advancing	0.929	0.608	0.812	továbbjutó
advantage	0.917	0.548	0.859	előny
advantageous	0.837	0.640	0.789	előnyös
advent	0.665	0.560	0.627	megérkezés
adventure	0.917	0.857	0.710	kaland
adventurer	0.781	0.839	0.868	kalandor
adventures	0.812	0.764	0.749	kalandok
adventurous	0.969	0.898	0.722	kalandos
adversary	0.349	0.777	0.457	ellenség
adverse	0.323	0.610	0.385	kedvezőtlen
adversity	0.276	0.760	0.538	balsors
advertise	0.500	0.529	0.580	hirdet
advertisement	0.600	0.566	0.539	hirdetés
advertising	0.622	0.608	0.632	hirdető
adverts	0.551	0.500	0.595	hirdetéseket
advice	0.698	0.408	0.688	tanács
advisable	0.867	0.480	0.510	tanácsos
advise	0.760	0.393	0.705	tanácsol
advised	0.823	0.330	0.509	tanácsolta
advisement	0.698	0.235	0.655	tanácsot
adviser	0.745	0.362	0.705	tanácsadó
advisor	0.646	0.350	0.689	tanácsadója
advisory	0.656	0.429	0.633	tanácsadó
advocacy	0.500	0.646	0.731	pártfogás
advocate	0.551	0.530	0.818	ügyvéd
aegis	0.490	0.439	0.462	égisze
aeration	0.550	0.500	0.433	levegőztetés
aerial	0.615	0.461	0.463	légi
aerobics	0.708	0.771	0.627	aerobic
aerodrome	0.541	0.740	0.678	repülőtér
aerodynamic	0.561	0.724	0.728	aerodinamikai
aerodynamics	0.590	0.663	0.722	aerodinamika
aeronautics	0.551	0.633	0.688	repülés
aeroplane	0.714	0.642	0.644	repülőgép
aerospace	0.643	0.520	0.779	űrrepülés
aesthetic	0.708	0.442	0.526	esztétika
aesthetics	0.847	0.327	0.549	esztétika
aetiology	0.480	0.398	0.615	etiológiája
afar	0.396	0.373	0.358	messze
affable	0.704	0.380	0.452	barátságos
affair	0.520	0.459	0.657	ügy
affect	0.458	0.569	0.578	befolyásolni
affecting	0.350	0.574	0.394	befolyásoló
affection	0.898	0.559	0.696	szeretet
affectionate	0.949	0.422	0.550	gyengéd
affections	0.760	0.547	0.655	vonzalmak
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	eskü alatt tett nyilatkozat
affiliated	0.673	0.519	0.535	kapcsolt
affiliation	0.615	0.594	0.500	hovatartozás
affinity	0.800	0.500	0.537	affinitás
affirm	0.745	0.509	0.731	megerősít
affirmation	0.750	0.500	0.689	megerősítés
affirmative	0.854	0.589	0.816	igenlő
affirmatively	0.908	0.500	0.811	igenlően
affix	0.438	0.335	0.411	toldalék
afflict	0.302	0.555	0.293	kínoz
afflicted	0.271	0.500	0.167	sújtott
affliction	0.294	0.635	0.392	szenvedés
affluence	0.663	0.618	0.722	bőség
affluent	0.756	0.388	0.477	gazdag
afford	0.571	0.580	0.575	engedheti meg magának
affordable	0.840	0.398	0.493	megfizethető
affront	0.327	0.740	0.547	sértés
affronted	0.385	0.750	0.527	megsértődött
afield	0.594	0.370	0.373	mezőn
afire	0.367	0.904	0.675	Tűz
afloat	0.602	0.427	0.444	felszínen
afore	0.500	0.337	0.382	előbb
aforementioned	0.490	0.316	0.408	fent említett
aforesaid	0.531	0.358	0.478	fent említett
afraid	0.010	0.775	0.245	fél
afresh	0.643	0.521	0.480	újra
aft	0.480	0.417	0.518	hátsó
afterlife	0.571	0.567	0.568	túlvilág
aftermath	0.312	0.449	0.444	utóhatása
afternoon	0.533	0.388	0.339	délután
aftershave	0.406	0.384	0.415	borotválkozás után
aftertaste	0.354	0.362	0.455	utóíz
afterthought	0.396	0.392	0.349	utógondolat
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	achát
age	0.561	0.226	0.498	kor
aged	0.135	0.365	0.236	idős
agency	0.460	0.296	0.583	ügynökség
agenda	0.531	0.296	0.553	napirend
agent	0.480	0.439	0.755	ügynök
agglomeration	0.450	0.765	0.509	agglomeráció
aggravate	0.224	0.770	0.464	súlyosbítja
aggravated	0.079	0.760	0.430	súlyosbítva
aggravates	0.108	0.778	0.357	súlyosbítja
aggravating	0.257	0.794	0.640	súlyosbító
aggravation	0.071	0.784	0.613	súlyosbodás
aggregate	0.730	0.378	0.556	összesített
aggregation	0.583	0.517	0.694	összesítését
aggresive	0.059	0.971	0.639	agresszív
aggression	0.094	0.929	0.533	agresszió
aggressive	0.125	0.949	0.648	agresszív
aggressively	0.250	0.926	0.688	agresszívan
aggressiveness	0.077	0.913	0.648	agresszivitás
aggressor	0.146	0.948	0.823	agresszor
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	megdöbbent
aghhh	0.281	0.635	0.243	aghhh
agile	0.800	0.657	0.775	agilis
agility	0.720	0.702	0.815	agilitás
aging	0.214	0.255	0.284	öregedés
agitate	0.300	0.796	0.593	agitálni
agitated	0.444	0.882	0.491	izgatott
agitation	0.240	0.931	0.447	agitáció
aglow	0.780	0.510	0.797	sugárzó
agnostic	0.306	0.396	0.574	agnosztikus
ago	0.317	0.280	0.404	ezelőtt
agonizing	0.083	0.800	0.340	kínzó
agony	0.083	0.775	0.393	gyötrelem
agoraphobia	0.127	0.712	0.438	tériszony
agree	0.906	0.260	0.545	egyetért
agreeable	0.906	0.500	0.696	kellemes
agreed	0.797	0.449	0.574	egyetért
agreeing	0.854	0.480	0.557	egyetértésben
agreement	0.760	0.440	0.736	megegyezés
agressive	0.083	0.918	0.751	agresszív
agricultural	0.686	0.321	0.473	mezőgazdasági
agriculture	0.640	0.357	0.465	mezőgazdaság
aground	0.333	0.340	0.445	zátonyon
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	előre
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhh
ahoy	0.500	0.497	0.380	óóó
aid	0.796	0.491	0.541	támogatás
aide	0.724	0.342	0.434	segéd
aiding	0.643	0.533	0.569	segítve
aids	0.561	0.480	0.500	AIDS
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	gyengélkedő
ailment	0.146	0.734	0.277	betegség
aim	0.481	0.569	0.567	cél
aimless	0.150	0.267	0.183	céltalan
air	0.708	0.163	0.427	levegő
airbag	0.510	0.402	0.433	légzsák
airborne	0.542	0.519	0.385	levegőben
aircraft	0.646	0.644	0.691	repülőgép
aircraft carrier	0.490	0.740	0.727	repülőgép hordozó
airfield	0.601	0.650	0.645	repülőtér
airhead	0.271	0.481	0.276	légi hídfő
airlift	0.573	0.622	0.642	légi szállítás
airline	0.650	0.482	0.688	légitársaság
airliner	0.667	0.777	0.647	utasszállító
airlock	0.398	0.520	0.447	légzsilip
airman	0.587	0.716	0.721	pilóta
airplane	0.719	0.702	0.708	repülőgép
airport	0.729	0.684	0.682	repülőtér
airs	0.583	0.196	0.370	sugárzik
airship	0.542	0.472	0.529	léghajó
airspace	0.562	0.510	0.640	légtér
airspeed	0.583	0.780	0.544	repülési sebesség
airstrip	0.550	0.690	0.649	felszállópálya
airtight	0.479	0.381	0.570	légmentesen záródó
airway	0.638	0.585	0.482	légút
aisle	0.438	0.222	0.283	folyosó
ait	0.385	0.390	0.402	sziget
ajar	0.460	0.413	0.446	félig nyitva
aka	0.459	0.358	0.351	más néven
akin	0.639	0.343	0.523	rokon
alabaster	0.542	0.404	0.445	alabástrom
alarm	0.241	0.882	0.698	riasztás
alarm clock	0.542	0.727	0.642	ébresztőóra
alarmed	0.188	0.822	0.492	riadt
alarming	0.204	0.890	0.585	riasztó
alas	0.571	0.310	0.279	Jaj
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatrosz
albino	0.500	0.240	0.358	albínó
album	0.635	0.349	0.453	album
alchemy	0.541	0.583	0.693	aranycsinálás
alcohol	0.323	0.667	0.377	alkohol
alcoholic	0.153	0.688	0.361	alkohol függő
alcoholism	0.061	0.779	0.407	alkoholizmus
alcove	0.490	0.340	0.356	alkóv
alderman	0.550	0.459	0.691	városatya
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	éber
alertness	0.375	0.875	0.750	éberség
alerts	0.337	0.804	0.673	riasztások
alfalfa	0.546	0.250	0.311	lucerna
algebra	0.440	0.340	0.565	algebra
algebraic	0.531	0.412	0.441	algebrai
algorithm	0.448	0.394	0.559	algoritmus
alias	0.541	0.353	0.333	álnév
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	idegen
alienate	0.247	0.500	0.523	elidegeníteni
alienated	0.410	0.423	0.559	elidegenedett
alienation	0.378	0.530	0.462	elidegenítés
alight	0.667	0.657	0.605	kiszáll
align	0.656	0.364	0.627	igazítsa
aligned	0.583	0.275	0.553	igazítva
alignment	0.643	0.412	0.683	igazítás
alike	0.653	0.173	0.444	hasonló
alimentation	0.781	0.551	0.602	ellátás
alimony	0.612	0.477	0.464	feleségtartási díj
aliquot	0.440	0.310	0.404	aliquot
alive	0.816	0.637	0.731	élő
alkali	0.490	0.350	0.408	alkáli
alkaloids	0.433	0.562	0.402	alkaloidok
allay	0.417	0.406	0.398	csillapítani
allegation	0.578	0.578	0.608	állítás
allege	0.418	0.482	0.587	állítják
alleged	0.365	0.522	0.520	állítólagos
allegiance	0.917	0.398	0.750	hűség
allegorical	0.517	0.558	0.598	allegorikus
allegory	0.615	0.580	0.509	allegória
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	allergiás
allergy	0.296	0.606	0.389	allergia
alleviate	0.869	0.270	0.528	enyhíteni
alleviation	0.735	0.200	0.491	enyhítése
alley	0.347	0.500	0.355	sikátor
alleyway	0.357	0.471	0.382	sikátor
alliance	0.696	0.473	0.769	szövetség
allied	0.714	0.245	0.642	szövetséges
alligator	0.354	0.704	0.645	aligátor
allocate	0.673	0.462	0.672	kioszt
allocation	0.604	0.388	0.679	kiosztás
allot	0.622	0.481	0.616	kiosztani
allotment	0.600	0.390	0.640	kiosztás
allow	0.698	0.429	0.538	lehetővé teszi
allowable	0.698	0.500	0.561	megengedhető
allowance	0.673	0.382	0.591	juttatás
allowed	0.730	0.360	0.655	megengedett
alloy	0.583	0.443	0.593	ötvözet
allsmiles	0.786	0.528	0.430	csupa mosoly
allure	0.804	0.585	0.686	csábító
alluring	0.837	0.745	0.843	csábító
allusion	0.440	0.308	0.462	célzás
alluvial	0.323	0.490	0.491	hordalékos
ally	0.792	0.320	0.688	szövetséges
almanac	0.688	0.190	0.412	évkönyv
almighty	0.938	0.874	0.958	mindenható
almond	0.698	0.183	0.314	mandula
aloft	0.771	0.373	0.700	magasban
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	egyedül
alongside	0.458	0.333	0.347	mellett
aloof	0.189	0.423	0.302	tartózkodó
aloud	0.458	0.713	0.750	hangosan
alpha	0.708	0.340	0.755	alfa
alphabet	0.562	0.204	0.672	ábécé
alphabetical	0.537	0.296	0.535	betűrendes
alpine	0.594	0.337	0.474	alpesi
alreadyyyyy	0.592	0.717	0.351	már éééé
altar	0.724	0.387	0.635	oltár
altar boy	0.434	0.206	0.350	oltárfiú
alter	0.333	0.694	0.654	változtat
alteration	0.167	0.798	0.609	módosítás
altercation	0.170	0.806	0.500	veszekedés
altered	0.255	0.765	0.500	megváltozott
alternate	0.625	0.363	0.589	váltakozó
alternating	0.480	0.494	0.542	váltakozó
alternative	0.628	0.373	0.631	alternatív
altimeter	0.615	0.510	0.580	magasságmérő
altitude	0.708	0.482	0.736	magasság
alto	0.656	0.404	0.730	alt
altogether	0.833	0.324	0.644	teljesen
aluminum	0.449	0.280	0.434	alumínium
alumnus	0.633	0.368	0.422	volt diák
alveolar	0.469	0.481	0.367	alveoláris
alzheimers	0.194	0.518	0.319	Alzheimer-kór
amalgam	0.438	0.333	0.510	amalgám
amalgamation	0.406	0.470	0.531	keveredés
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	felhalmoz
amateur	0.469	0.500	0.409	amatőr
amaze	0.896	0.843	0.783	meghökkent
amazed	0.796	0.779	0.533	csodálkozva
amazedness	0.827	0.872	0.510	csodálkozás
amazement	0.750	0.800	0.639	ámulat
amazing	0.906	0.837	0.849	elképesztő
amazingly	0.918	0.765	0.920	elképesztően
ambassador	0.651	0.529	0.917	nagykövet
amber	0.635	0.308	0.369	borostyán
ambience	0.735	0.356	0.426	környezet
ambient	0.625	0.360	0.582	környező
ambiguity	0.164	0.460	0.370	kétértelműség
ambiguous	0.265	0.462	0.358	kétértelmű
ambit	0.479	0.380	0.386	ambit
ambition	0.510	0.804	0.661	ambíció
ambitious	0.484	0.821	0.717	ambiciózus
ambivalent	0.510	0.404	0.482	ambivalens
ambrosia	0.571	0.452	0.480	ambrózia
ambulance	0.500	0.750	0.609	mentőautó
ambush	0.281	0.830	0.500	csapda
ameliorate	0.770	0.548	0.747	javítani
amen	0.781	0.182	0.542	ámen
amenable	0.448	0.410	0.406	kezelhető
amend	0.688	0.406	0.658	módosít
amendment	0.531	0.459	0.606	módosítás
amends	0.640	0.366	0.517	módosítja
amenity	0.750	0.327	0.574	kényelem
amethyst	0.622	0.406	0.517	ametiszt
amiable	0.847	0.290	0.483	kedves
amicable	0.875	0.330	0.507	baráti
amid	0.510	0.340	0.256	között
amidst	0.480	0.330	0.316	között
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	lőszer
ammonia	0.292	0.587	0.409	ammónia
ammonium	0.354	0.396	0.368	ammónium
ammunition	0.338	0.635	0.667	lőszer
amnesia	0.296	0.330	0.308	amnézia
amnesty	0.551	0.451	0.814	amnesztia
amorous	0.844	0.670	0.636	érzéki
amorphous	0.327	0.402	0.349	amorf
amortization	0.592	0.491	0.522	amortizáció
amount	0.562	0.422	0.649	összeg
amour	0.865	0.480	0.652	szerelme
amp	0.439	0.393	0.375	erősítő
ampersand	0.480	0.448	0.483	és és
amphetamines	0.133	0.667	0.526	amfetaminok
amphibian	0.427	0.357	0.474	kétéltű
amphibious	0.479	0.346	0.445	kétéltű
amphitheater	0.653	0.480	0.545	amfiteátrum
ample	0.744	0.349	0.719	bőséges
amplification	0.690	0.677	0.810	erősítés
amplify	0.677	0.735	0.827	erősít
amplitude	0.694	0.439	0.692	amplitúdó
amply	0.781	0.431	0.766	bőségesen
amputate	0.092	0.660	0.509	amputál
amputation	0.100	0.755	0.483	amputálás
amuck	0.385	0.602	0.321	ámokfutás
amulet	0.781	0.260	0.630	amulett
amuse	0.812	0.684	0.664	szórakoztat
amused	0.942	0.847	0.596	vidám
amusement	0.929	0.837	0.803	szórakoztatás
amusing	0.960	0.829	0.632	szórakoztató
ana	0.541	0.300	0.314	ana
anaconda	0.146	0.830	0.540	anakonda
anaesthesia	0.350	0.217	0.473	érzéstelenítés
anaesthetic	0.449	0.268	0.509	érzéstelenítő
anagram	0.552	0.327	0.449	anagramma
anal	0.333	0.798	0.334	anális
analgesic	0.417	0.321	0.441	fájdalomcsillapító
analogous	0.531	0.270	0.500	hasonló
analogue	0.570	0.320	0.446	hasonló
analogy	0.510	0.367	0.509	hasonlat
analysis	0.729	0.448	0.705	elemzés
analyst	0.604	0.415	0.755	elemző
analytic	0.665	0.521	0.634	analitikus
analytical	0.625	0.324	0.800	elemző
analyze	0.667	0.462	0.710	elemezni
analyzer	0.625	0.556	0.854	elemző
