English Word	Valence	Arousal	Dominance	Corsican Word
acne	0.167	0.474	0.308	acne
acorn	0.448	0.198	0.192	ghianda
acoustic	0.542	0.462	0.536	acustica
acoustics	0.611	0.330	0.509	acustica
acquaint	0.646	0.491	0.639	cunnosce
acquaintance	0.656	0.290	0.670	cunniscenza
acquainted	0.906	0.358	0.632	cunnisciutu
acquiescence	0.542	0.480	0.554	acquiescenza
acquire	0.833	0.468	0.700	acquistà
acquiring	0.735	0.510	0.817	acquistendu
acquisition	0.698	0.509	0.736	acquistu
acquisitions	0.773	0.660	0.790	acquisti
acquit	0.583	0.571	0.611	assolu
acquittal	0.760	0.497	0.700	assoluzione
acre	0.583	0.387	0.423	acre
acreage	0.741	0.450	0.528	acreage
acres	0.510	0.363	0.500	ettari
acrobat	0.708	0.828	0.602	acrobata
acrylic	0.582	0.279	0.420	acrilicu
act	0.656	0.704	0.735	attu
acting	0.698	0.643	0.500	agisce
action	0.760	0.898	0.802	azzione
action figure	0.615	0.774	0.611	figura d'azzione
actionable	0.673	0.702	0.613	azzione
activate	0.764	0.650	0.806	attivà
activation	0.781	0.800	0.754	attivazione
active	0.847	0.730	0.731	attivu
activist	0.531	0.653	0.877	attivista
activity	0.701	0.660	0.807	attività
actor	0.653	0.561	0.629	attore
actress	0.633	0.556	0.596	attrice
actual	0.729	0.400	0.716	attuale
actuality	0.750	0.464	0.600	attualità
actuary	0.510	0.404	0.491	attuariu
acuity	0.469	0.378	0.741	acutezza
acumen	0.564	0.660	0.679	acutu
acupuncture	0.531	0.324	0.549	acupuntura
acute	0.427	0.652	0.534	acutu
acutely	0.417	0.543	0.491	acutamente
ad	0.521	0.705	0.558	ad
adage	0.517	0.415	0.566	adage
adamant	0.344	0.529	0.575	fermu
adapt	0.740	0.355	0.551	adattà
adaptable	0.735	0.423	0.641	adattabile
adaptation	0.663	0.365	0.609	adattazione
add	0.728	0.490	0.554	aghjunghje
added	0.562	0.405	0.509	aghjustatu
addendum	0.392	0.370	0.418	addendum
adder	0.388	0.461	0.588	sommatore
addict	0.075	0.696	0.327	addict
addicted	0.156	0.712	0.483	addicted
addiction	0.180	0.806	0.420	addiction
addictive	0.302	0.683	0.472	addictive
addition	0.562	0.373	0.471	in più
additional	0.673	0.462	0.526	supplementu
additive	0.561	0.633	0.691	additivu
address	0.650	0.327	0.567	indirizzu
addressee	0.622	0.382	0.538	destinatariu
addresses	0.510	0.354	0.450	indirizzi
adept	0.594	0.539	0.789	adeptu
adequacy	0.615	0.435	0.702	l'adeguatezza
adequate	0.854	0.264	0.705	adattatu
adhere	0.633	0.339	0.554	aderisce
adherence	0.760	0.307	0.630	aderenza
adherent	0.561	0.385	0.555	aderente
adhering	0.612	0.561	0.537	aderendu
adhesion	0.521	0.445	0.586	aderenza
adhesive	0.604	0.350	0.413	adesivu
adieu	0.250	0.471	0.342	addiu
adipose	0.333	0.350	0.391	adipose
adjacency	0.365	0.417	0.375	adiacenza
adjacent	0.645	0.276	0.536	adiacente
adjective	0.570	0.316	0.569	aggettivu
adjoining	0.520	0.400	0.393	accantu
adjourn	0.385	0.456	0.475	aghjurnà
adjournment	0.438	0.510	0.370	aggiornamentu
adjudicate	0.559	0.520	0.683	ghjudicà
adjudication	0.551	0.462	0.691	ghjudicazione
adjunct	0.459	0.440	0.426	aggiunta
adjust	0.647	0.327	0.638	aghjustà
adjuster	0.510	0.540	0.760	regulatore
adjustment	0.590	0.520	0.661	aghjustamentu
adjuvant	0.510	0.500	0.456	adjuvant
admin	0.688	0.420	0.854	amministratore
administer	0.635	0.425	0.860	amministrà
administration	0.625	0.404	0.786	amministrazione
administrative	0.542	0.415	0.579	amministrativu
administrator	0.538	0.480	0.902	amministratore
admirable	0.929	0.600	0.870	admirable
admiral	0.844	0.490	0.847	ammiragliu
admiralty	0.594	0.547	0.733	ammiragliata
admiration	0.969	0.583	0.726	ammirazione
admire	0.867	0.692	0.704	ammirate
admired	0.917	0.560	0.815	ammiratu
admirer	0.796	0.720	0.650	ammiratore
admiring	0.867	0.578	0.629	ammirazione
admissibility	0.802	0.580	0.602	ammissibilità
admissible	0.780	0.528	0.642	ammissibile
admission	0.802	0.415	0.732	ammissione
admit	0.538	0.423	0.667	ammette
admittance	0.690	0.451	0.598	ingressu
admitted	0.720	0.490	0.767	ammessi
admitting	0.620	0.500	0.546	ammettendu
admixture	0.450	0.375	0.438	mischju
admonition	0.357	0.606	0.455	ammonimentu
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	adolescenza
adolescent	0.781	0.680	0.509	adulescente
adopt	0.694	0.612	0.701	aduttà
adoption	0.625	0.566	0.589	adopzione
adoptive	0.531	0.469	0.520	aduttivu
adorable	0.969	0.519	0.457	adorable
adoration	0.885	0.699	0.708	adorazione
adore	0.854	0.438	0.657	adore
adoring	0.885	0.620	0.717	adurà
adorn	0.910	0.424	0.482	adornà
adornment	0.918	0.373	0.377	adornu
adrenalin	0.865	0.920	0.786	adrenalina
adrenaline	0.765	0.965	0.825	adrenalina
adrift	0.398	0.486	0.230	a deriva
adult	0.815	0.491	0.787	adultu
adulterated	0.188	0.865	0.370	adulterata
adulterer	0.229	0.814	0.407	adulteru
adultery	0.120	0.922	0.510	adulteriu
adulthood	0.541	0.454	0.652	età adulta
advance	0.673	0.472	0.858	avanzu
advanced	0.844	0.623	0.797	avanzatu
advancement	0.776	0.650	0.839	avanzamentu
advancing	0.929	0.608	0.812	avanzendu
advantage	0.917	0.548	0.859	vantaghju
advantageous	0.837	0.640	0.789	avantagiu
advent	0.665	0.560	0.627	avventu
adventure	0.917	0.857	0.710	avventura
adventurer	0.781	0.839	0.868	avventuriero
adventures	0.812	0.764	0.749	avventure
adventurous	0.969	0.898	0.722	avventurosa
adversary	0.349	0.777	0.457	avversariu
adverse	0.323	0.610	0.385	avversu
adversity	0.276	0.760	0.538	avversità
advertise	0.500	0.529	0.580	publicità
advertisement	0.600	0.566	0.539	publicità
advertising	0.622	0.608	0.632	publicità
adverts	0.551	0.500	0.595	annunzii
advice	0.698	0.408	0.688	cunsigliu
advisable	0.867	0.480	0.510	cunsigliatu
advise	0.760	0.393	0.705	cunsigliu
advised	0.823	0.330	0.509	cunsigliatu
advisement	0.698	0.235	0.655	cunsigliu
adviser	0.745	0.362	0.705	cunsiglieru
advisor	0.646	0.350	0.689	cunsiglieru
advisory	0.656	0.429	0.633	cunsigliu
advocacy	0.500	0.646	0.731	advocacy
advocate	0.551	0.530	0.818	avvucatu
aegis	0.490	0.439	0.462	egida
aeration	0.550	0.500	0.433	aerazione
aerial	0.615	0.461	0.463	aereo
aerobics	0.708	0.771	0.627	aerobica
aerodrome	0.541	0.740	0.678	aerodromu
aerodynamic	0.561	0.724	0.728	aerodinamica
aerodynamics	0.590	0.663	0.722	aerodinamica
aeronautics	0.551	0.633	0.688	aeronautica
aeroplane	0.714	0.642	0.644	aviò
aerospace	0.643	0.520	0.779	aerospaziale
aesthetic	0.708	0.442	0.526	esteticu
aesthetics	0.847	0.327	0.549	estetica
aetiology	0.480	0.398	0.615	etiologia
afar	0.396	0.373	0.358	luntanu
affable	0.704	0.380	0.452	affabile
affair	0.520	0.459	0.657	affare
affect	0.458	0.569	0.578	influenza
affecting	0.350	0.574	0.394	affettendu
affection	0.898	0.559	0.696	affettu
affectionate	0.949	0.422	0.550	affettuosu
affections	0.760	0.547	0.655	affetti
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	affidavit
affiliated	0.673	0.519	0.535	affiliate
affiliation	0.615	0.594	0.500	affiliazione
affinity	0.800	0.500	0.537	affinità
affirm	0.745	0.509	0.731	affirmà
affirmation	0.750	0.500	0.689	affirmazioni
affirmative	0.854	0.589	0.816	affirmative
affirmatively	0.908	0.500	0.811	affirmativamente
affix	0.438	0.335	0.411	affissu
afflict	0.302	0.555	0.293	afflittu
afflicted	0.271	0.500	0.167	afflittu
affliction	0.294	0.635	0.392	afflizzioni
affluence	0.663	0.618	0.722	affluenza
affluent	0.756	0.388	0.477	affluent
afford	0.571	0.580	0.575	permette
affordable	0.840	0.398	0.493	assequible
affront	0.327	0.740	0.547	affront
affronted	0.385	0.750	0.527	affrontatu
afield	0.594	0.370	0.373	luntanu
afire	0.367	0.904	0.675	focu
afloat	0.602	0.427	0.444	a flotta
afore	0.500	0.337	0.382	prima
aforementioned	0.490	0.316	0.408	sopra citatu
aforesaid	0.531	0.358	0.478	sopra dittu
afraid	0.010	0.775	0.245	a paura
afresh	0.643	0.521	0.480	novu
aft	0.480	0.417	0.518	poppa
afterlife	0.571	0.567	0.568	l'aldilà
aftermath	0.312	0.449	0.444	dopu
afternoon	0.533	0.388	0.339	dopu meziornu
aftershave	0.406	0.384	0.415	dopobarba
aftertaste	0.354	0.362	0.455	retrogustu
afterthought	0.396	0.392	0.349	dopu à pensà
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	agata
age	0.561	0.226	0.498	età
aged	0.135	0.365	0.236	età
agency	0.460	0.296	0.583	agenzia
agenda	0.531	0.296	0.553	agenda
agent	0.480	0.439	0.755	agente
agglomeration	0.450	0.765	0.509	agglomerazione
aggravate	0.224	0.770	0.464	aggravà
aggravated	0.079	0.760	0.430	aggravatu
aggravates	0.108	0.778	0.357	aggrava
aggravating	0.257	0.794	0.640	aggravante
aggravation	0.071	0.784	0.613	aggravazione
aggregate	0.730	0.378	0.556	aggregatu
aggregation	0.583	0.517	0.694	aggregazione
aggresive	0.059	0.971	0.639	aggressivu
aggression	0.094	0.929	0.533	aggressione
aggressive	0.125	0.949	0.648	aggressivu
aggressively	0.250	0.926	0.688	aggressivamente
aggressiveness	0.077	0.913	0.648	aggressività
aggressor	0.146	0.948	0.823	aggressore
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	spaventatu
aghhh	0.281	0.635	0.243	aghhh
agile	0.800	0.657	0.775	agile
agility	0.720	0.702	0.815	agilità
aging	0.214	0.255	0.284	anziane
agitate	0.300	0.796	0.593	agitate
agitated	0.444	0.882	0.491	agitatu
agitation	0.240	0.931	0.447	agitazione
aglow	0.780	0.510	0.797	ardente
agnostic	0.306	0.396	0.574	agnosticu
ago	0.317	0.280	0.404	fà
agonizing	0.083	0.800	0.340	agonizzante
agony	0.083	0.775	0.393	agonia
agoraphobia	0.127	0.712	0.438	agorafobia
agree	0.906	0.260	0.545	d'accordu
agreeable	0.906	0.500	0.696	piacevule
agreed	0.797	0.449	0.574	accunsentutu
agreeing	0.854	0.480	0.557	accunsentendu
agreement	0.760	0.440	0.736	accordu
agressive	0.083	0.918	0.751	aggressivu
agricultural	0.686	0.321	0.473	agriculu
agriculture	0.640	0.357	0.465	agricultura
aground	0.333	0.340	0.445	in terra
agua	0.598	0.180	0.436	acqua
ahead	0.708	0.520	0.673	avanti
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhh
ahoy	0.500	0.497	0.380	ahi
aid	0.796	0.491	0.541	aiutu
aide	0.724	0.342	0.434	aide
aiding	0.643	0.533	0.569	aiutu
aids	0.561	0.480	0.500	aiuti
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	malatu
ailment	0.146	0.734	0.277	malatie
aim	0.481	0.569	0.567	scopu
aimless	0.150	0.267	0.183	senza scopu
air	0.708	0.163	0.427	aria
airbag	0.510	0.402	0.433	airbag
airborne	0.542	0.519	0.385	in aria
aircraft	0.646	0.644	0.691	aviò
aircraft carrier	0.490	0.740	0.727	trasportatore d'aviò
airfield	0.601	0.650	0.645	campu d'aviazione
airhead	0.271	0.481	0.276	testa d'aria
airlift	0.573	0.622	0.642	trasportu aereo
airline	0.650	0.482	0.688	compagnia aerea
airliner	0.667	0.777	0.647	aereo di linea
airlock	0.398	0.520	0.447	sacca d'aria
airman	0.587	0.716	0.721	aviatore
airplane	0.719	0.702	0.708	aviò
airport	0.729	0.684	0.682	aeroportu
airs	0.583	0.196	0.370	aria
airship	0.542	0.472	0.529	dirigibile
airspace	0.562	0.510	0.640	spaziu aereu
airspeed	0.583	0.780	0.544	velocità di l'aria
airstrip	0.550	0.690	0.649	pista d'atterrissimu
airtight	0.479	0.381	0.570	ermeticu
airway	0.638	0.585	0.482	via aerea
aisle	0.438	0.222	0.283	corridoiu
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	socchiu
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	simile
alabaster	0.542	0.404	0.445	alabastru
alarm	0.241	0.882	0.698	alarme
alarm clock	0.542	0.727	0.642	sveglia
alarmed	0.188	0.822	0.492	allarmatu
alarming	0.204	0.890	0.585	allarmante
alas	0.571	0.310	0.279	ahimè
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatros
albino	0.500	0.240	0.358	albinu
album	0.635	0.349	0.453	album
alchemy	0.541	0.583	0.693	alchimia
alcohol	0.323	0.667	0.377	alcolu
alcoholic	0.153	0.688	0.361	alcolu
alcoholism	0.061	0.779	0.407	alcoholismu
alcove	0.490	0.340	0.356	alcova
alderman	0.550	0.459	0.691	assessore
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	alerta
alertness	0.375	0.875	0.750	vigilanza
alerts	0.337	0.804	0.673	avvisi
alfalfa	0.546	0.250	0.311	alfalfa
algebra	0.440	0.340	0.565	algebra
algebraic	0.531	0.412	0.441	algebricu
algorithm	0.448	0.394	0.559	algoritmu
alias	0.541	0.353	0.333	alias
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	alien
alienate	0.247	0.500	0.523	alienà
alienated	0.410	0.423	0.559	alienatu
alienation	0.378	0.530	0.462	alienazione
alight	0.667	0.657	0.605	scendi
align	0.656	0.364	0.627	allineà
aligned	0.583	0.275	0.553	allineatu
alignment	0.643	0.412	0.683	allineamentu
alike	0.653	0.173	0.444	simili
alimentation	0.781	0.551	0.602	alimentazione
alimony	0.612	0.477	0.464	alimentazione
aliquot	0.440	0.310	0.404	aliquota
alive	0.816	0.637	0.731	vivu
alkali	0.490	0.350	0.408	alkali
alkaloids	0.433	0.562	0.402	alcaloidi
allay	0.417	0.406	0.398	alluntanà
allegation	0.578	0.578	0.608	allegazione
allege	0.418	0.482	0.587	accusà
alleged	0.365	0.522	0.520	presunta
allegiance	0.917	0.398	0.750	lealtà
allegorical	0.517	0.558	0.598	allegorica
allegory	0.615	0.580	0.509	allegoria
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	allergique
allergy	0.296	0.606	0.389	allergie
alleviate	0.869	0.270	0.528	alleviare
alleviation	0.735	0.200	0.491	alleviamentu
alley	0.347	0.500	0.355	carrughju
alleyway	0.357	0.471	0.382	vicolo
alliance	0.696	0.473	0.769	allianza
allied	0.714	0.245	0.642	alleati
alligator	0.354	0.704	0.645	alligator
allocate	0.673	0.462	0.672	attribuisce
allocation	0.604	0.388	0.679	allocazione
allot	0.622	0.481	0.616	attribuisce
allotment	0.600	0.390	0.640	ripartizione
allow	0.698	0.429	0.538	permette
allowable	0.698	0.500	0.561	ammissibile
allowance	0.673	0.382	0.591	indennità
allowed	0.730	0.360	0.655	permessu
alloy	0.583	0.443	0.593	lega
allsmiles	0.786	0.528	0.430	tutti i sorrisi
allure	0.804	0.585	0.686	allure
alluring	0.837	0.745	0.843	seducente
allusion	0.440	0.308	0.462	allusione
alluvial	0.323	0.490	0.491	alluviale
ally	0.792	0.320	0.688	alleatu
almanac	0.688	0.190	0.412	almanaccu
almighty	0.938	0.874	0.958	onnipotente
almond	0.698	0.183	0.314	amandula
aloft	0.771	0.373	0.700	in alto
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	solu
alongside	0.458	0.333	0.347	accantu
aloof	0.189	0.423	0.302	distanti
aloud	0.458	0.713	0.750	à voce alta
alpha	0.708	0.340	0.755	alfa
alphabet	0.562	0.204	0.672	alfabbetu
alphabetical	0.537	0.296	0.535	alfabeticu
alpine	0.594	0.337	0.474	alpinu
alreadyyyyy	0.592	0.717	0.351	giàyyyy
altar	0.724	0.387	0.635	altare
altar boy	0.434	0.206	0.350	picciottu d'altare
alter	0.333	0.694	0.654	altera
alteration	0.167	0.798	0.609	alterazione
altercation	0.170	0.806	0.500	altercazione
altered	0.255	0.765	0.500	alteratu
alternate	0.625	0.363	0.589	alternu
alternating	0.480	0.494	0.542	alternante
alternative	0.628	0.373	0.631	alternativa
altimeter	0.615	0.510	0.580	altimetru
altitude	0.708	0.482	0.736	altitudine
alto	0.656	0.404	0.730	altu
altogether	0.833	0.324	0.644	in tuttu
aluminum	0.449	0.280	0.434	aluminiu
alumnus	0.633	0.368	0.422	alunnu
alveolar	0.469	0.481	0.367	alveolare
alzheimers	0.194	0.518	0.319	Alzheimer
amalgam	0.438	0.333	0.510	amalgama
amalgamation	0.406	0.470	0.531	amalgamazione
amaretto	0.543	0.551	0.375	amaretti
amass	0.552	0.465	0.465	ammuccià
amateur	0.469	0.500	0.409	dilettante
amaze	0.896	0.843	0.783	maravigliate
amazed	0.796	0.779	0.533	maravigliatu
amazedness	0.827	0.872	0.510	stupore
amazement	0.750	0.800	0.639	maravigghiusu
amazing	0.906	0.837	0.849	maravigghiusu
amazingly	0.918	0.765	0.920	maravigghiusu
ambassador	0.651	0.529	0.917	ambasciatore
amber	0.635	0.308	0.369	ambra
ambience	0.735	0.356	0.426	atmosfera
ambient	0.625	0.360	0.582	ambiente
ambiguity	0.164	0.460	0.370	ambiguità
ambiguous	0.265	0.462	0.358	ambiguu
ambit	0.479	0.380	0.386	ambitu
ambition	0.510	0.804	0.661	ambizione
ambitious	0.484	0.821	0.717	ambiziosa
ambivalent	0.510	0.404	0.482	ambivalente
ambrosia	0.571	0.452	0.480	ambrosia
ambulance	0.500	0.750	0.609	ambulanza
ambush	0.281	0.830	0.500	imboscata
ameliorate	0.770	0.548	0.747	migliurà
amen	0.781	0.182	0.542	amen
amenable	0.448	0.410	0.406	suscettibile
amend	0.688	0.406	0.658	mudificà
amendment	0.531	0.459	0.606	mudificazione
amends	0.640	0.366	0.517	ammenda
amenity	0.750	0.327	0.574	amenità
amethyst	0.622	0.406	0.517	ametista
amiable	0.847	0.290	0.483	amabile
amicable	0.875	0.330	0.507	amichevule
amid	0.510	0.340	0.256	à mezu
amidst	0.480	0.330	0.316	à mezu à
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	munizioni
ammonia	0.292	0.587	0.409	ammonia
ammonium	0.354	0.396	0.368	ammoniu
ammunition	0.338	0.635	0.667	munizioni
amnesia	0.296	0.330	0.308	amnesia
amnesty	0.551	0.451	0.814	amnistia
amorous	0.844	0.670	0.636	amorosa
amorphous	0.327	0.402	0.349	amorfu
amortization	0.592	0.491	0.522	ammortizzazioni
amount	0.562	0.422	0.649	quantità
amour	0.865	0.480	0.652	amore
amp	0.439	0.393	0.375	amp
ampersand	0.480	0.448	0.483	ampersand
amphetamines	0.133	0.667	0.526	anfetamine
amphibian	0.427	0.357	0.474	anfibiu
amphibious	0.479	0.346	0.445	anfibiu
amphitheater	0.653	0.480	0.545	anfiteatru
ample	0.744	0.349	0.719	ampia
amplification	0.690	0.677	0.810	amplificazione
amplify	0.677	0.735	0.827	amplificà
amplitude	0.694	0.439	0.692	ampiezza
amply	0.781	0.431	0.766	ampiamente
amputate	0.092	0.660	0.509	amputate
amputation	0.100	0.755	0.483	amputazione
amuck	0.385	0.602	0.321	amuccatu
amulet	0.781	0.260	0.630	amuleto
amuse	0.812	0.684	0.664	divertite
amused	0.942	0.847	0.596	divertitu
amusement	0.929	0.837	0.803	divertimentu
amusing	0.960	0.829	0.632	divertenti
ana	0.541	0.300	0.314	ana
anaconda	0.146	0.830	0.540	anaconda
anaesthesia	0.350	0.217	0.473	anestesia
anaesthetic	0.449	0.268	0.509	anesteticu
anagram	0.552	0.327	0.449	anagramma
anal	0.333	0.798	0.334	anale
analgesic	0.417	0.321	0.441	analgésique
analogous	0.531	0.270	0.500	analogu
analogue	0.570	0.320	0.446	analogu
analogy	0.510	0.367	0.509	analogia
analysis	0.729	0.448	0.705	analisi
analyst	0.604	0.415	0.755	analista
analytic	0.665	0.521	0.634	analiticu
analytical	0.625	0.324	0.800	analiticu
analyze	0.667	0.462	0.710	analizà
analyzer	0.625	0.556	0.854	analizzatore
anaphylactic	0.378	0.588	0.500	anafilattica
anarchism	0.125	0.804	0.623	anarchismu
anarchist	0.204	0.700	0.759	anarchicu
anarchy	0.146	0.755	0.620	anarchia
anastomosis	0.375	0.470	0.490	anastomosi
anathema	0.286	0.490	0.519	anatema
anatomic	0.562	0.442	0.546	anatomicu
anatomy	0.562	0.390	0.571	anatomia
ancestor	0.592	0.388	0.594	antenatu
ancestral	0.640	0.481	0.750	ancestral
ancestry	0.708	0.519	0.717	antenati
anchor	0.520	0.284	0.564	ancora
anchorage	0.500	0.325	0.639	ancoraggio
