English Word	Valence	Arousal	Dominance	Chinese-Traditional Word
accountability	0.755	0.537	0.833	問責制
accountable	0.709	0.282	0.777	負責任的
accountant	0.625	0.450	0.639	會計
accounting	0.552	0.390	0.677	會計
accounts	0.592	0.340	0.471	帳戶
accredited	0.669	0.479	0.768	認可的
accretion	0.448	0.519	0.672	吸積
accrue	0.520	0.481	0.602	累積
accueil	0.450	0.451	0.470	累積
accumulate	0.573	0.536	0.607	積累
accumulation	0.479	0.527	0.600	積累
accuracy	0.604	0.481	0.802	準確性
accurate	0.743	0.360	0.737	準確的
accursed	0.135	0.745	0.345	被詛咒的
accusation	0.073	0.718	0.564	指控
accusative	0.198	0.755	0.482	賓格
accuse	0.133	0.752	0.500	指控
accused	0.130	0.670	0.420	被告
accuser	0.122	0.779	0.615	原告
accusing	0.156	0.745	0.324	指責
accustomed	0.542	0.365	0.441	習慣了
ace	0.643	0.481	0.546	高手
acetic	0.333	0.420	0.519	醋酸
acetylene	0.306	0.469	0.509	乙炔
ache	0.146	0.760	0.312	疼痛
achieve	0.816	0.545	0.843	達到
achieved	0.896	0.519	0.775	達到
achievement	0.896	0.808	0.759	成就
aching	0.053	0.880	0.348	疼痛
achy	0.167	0.840	0.373	疼痛
acid	0.265	0.642	0.566	酸
acidity	0.156	0.663	0.360	酸度
acknowledge	0.786	0.370	0.661	承認
acknowledged	0.714	0.443	0.765	承認
acknowledgement	0.819	0.539	0.830	致謝
acknowledgment	0.796	0.528	0.777	致謝
acme	0.408	0.435	0.375	極致
acne	0.167	0.474	0.308	粉刺
acorn	0.448	0.198	0.192	橡子
acoustic	0.542	0.462	0.536	聲學
acoustics	0.611	0.330	0.509	聲學
acquaint	0.646	0.491	0.639	熟悉
acquaintance	0.656	0.290	0.670	熟人
acquainted	0.906	0.358	0.632	熟悉的
acquiescence	0.542	0.480	0.554	默認
acquire	0.833	0.468	0.700	獲得
acquiring	0.735	0.510	0.817	獲取
acquisition	0.698	0.509	0.736	獲得
acquisitions	0.773	0.660	0.790	收購
acquit	0.583	0.571	0.611	開釋
acquittal	0.760	0.497	0.700	開釋
acre	0.583	0.387	0.423	英畝
acreage	0.741	0.450	0.528	面積
acres	0.510	0.363	0.500	英畝
acrobat	0.708	0.828	0.602	雜技演員
acrylic	0.582	0.279	0.420	丙烯酸纖維
act	0.656	0.704	0.735	行為
acting	0.698	0.643	0.500	演戲
action	0.760	0.898	0.802	行動
action figure	0.615	0.774	0.611	動作人物
actionable	0.673	0.702	0.613	可操作的
activate	0.764	0.650	0.806	啟用
activation	0.781	0.800	0.754	激活
active	0.847	0.730	0.731	積極的
activist	0.531	0.653	0.877	活動家
activity	0.701	0.660	0.807	活動
actor	0.653	0.561	0.629	演員
actress	0.633	0.556	0.596	演員
actual	0.729	0.400	0.716	實際的
actuality	0.750	0.464	0.600	現實
actuary	0.510	0.404	0.491	精算師
acuity	0.469	0.378	0.741	敏銳度
acumen	0.564	0.660	0.679	敏銳
acupuncture	0.531	0.324	0.549	針刺
acute	0.427	0.652	0.534	急性
acutely	0.417	0.543	0.491	尖銳地
ad	0.521	0.705	0.558	廣告
adage	0.517	0.415	0.566	諺語
adamant	0.344	0.529	0.575	固執的
adapt	0.740	0.355	0.551	適應
adaptable	0.735	0.423	0.641	適應性強
adaptation	0.663	0.365	0.609	適應
add	0.728	0.490	0.554	添加
added	0.562	0.405	0.509	添加
addendum	0.392	0.370	0.418	附錄
adder	0.388	0.461	0.588	加法器
addict	0.075	0.696	0.327	癮君子
addicted	0.156	0.712	0.483	上癮
addiction	0.180	0.806	0.420	癮
addictive	0.302	0.683	0.472	上癮
addition	0.562	0.373	0.471	添加
additional	0.673	0.462	0.526	額外的
additive	0.561	0.633	0.691	添加劑
address	0.650	0.327	0.567	地址
addressee	0.622	0.382	0.538	收件人
addresses	0.510	0.354	0.450	地址
adept	0.594	0.539	0.789	行家
adequacy	0.615	0.435	0.702	充分性
adequate	0.854	0.264	0.705	足夠的
adhere	0.633	0.339	0.554	堅持
adherence	0.760	0.307	0.630	依從性
adherent	0.561	0.385	0.555	依附的
adhering	0.612	0.561	0.537	堅持
adhesion	0.521	0.445	0.586	附著力
adhesive	0.604	0.350	0.413	粘合劑
adieu	0.250	0.471	0.342	再見
adipose	0.333	0.350	0.391	脂肪
adjacency	0.365	0.417	0.375	鄰接
adjacent	0.645	0.276	0.536	鄰近的
adjective	0.570	0.316	0.569	形容詞
adjoining	0.520	0.400	0.393	毗鄰的
adjourn	0.385	0.456	0.475	休會
adjournment	0.438	0.510	0.370	休會
adjudicate	0.559	0.520	0.683	裁定
adjudication	0.551	0.462	0.691	裁決
adjunct	0.459	0.440	0.426	附件
adjust	0.647	0.327	0.638	調整
adjuster	0.510	0.540	0.760	調節器
adjustment	0.590	0.520	0.661	調整
adjuvant	0.510	0.500	0.456	佐劑
admin	0.688	0.420	0.854	行政
administer	0.635	0.425	0.860	管理
administration	0.625	0.404	0.786	行政
administrative	0.542	0.415	0.579	行政的
administrator	0.538	0.480	0.902	行政人員
admirable	0.929	0.600	0.870	令人欽佩
admiral	0.844	0.490	0.847	上將
admiralty	0.594	0.547	0.733	金鐘
admiration	0.969	0.583	0.726	欽佩
admire	0.867	0.692	0.704	欽佩
admired	0.917	0.560	0.815	欽佩
admirer	0.796	0.720	0.650	愛慕者
admiring	0.867	0.578	0.629	欣賞
admissibility	0.802	0.580	0.602	可受理性
admissible	0.780	0.528	0.642	可接受的
admission	0.802	0.415	0.732	錄取
admit	0.538	0.423	0.667	承認
admittance	0.690	0.451	0.598	准入
admitted	0.720	0.490	0.767	錄取
admitting	0.620	0.500	0.546	承認
admixture	0.450	0.375	0.438	混合物
admonition	0.357	0.606	0.455	警告
ado	0.520	0.423	0.385	廢話
adobe	0.500	0.319	0.328	土坯
adolescence	0.487	0.694	0.444	青春期
adolescent	0.781	0.680	0.509	青少年
adopt	0.694	0.612	0.701	採納
adoption	0.625	0.566	0.589	採用
adoptive	0.531	0.469	0.520	收養的
adorable	0.969	0.519	0.457	可愛的
adoration	0.885	0.699	0.708	崇拜
adore	0.854	0.438	0.657	崇拜
adoring	0.885	0.620	0.717	崇拜
adorn	0.910	0.424	0.482	裝飾
adornment	0.918	0.373	0.377	裝飾
adrenalin	0.865	0.920	0.786	腎上腺素
adrenaline	0.765	0.965	0.825	腎上腺素
adrift	0.398	0.486	0.230	漂流
adult	0.815	0.491	0.787	成人
adulterated	0.188	0.865	0.370	摻假
adulterer	0.229	0.814	0.407	姦夫
adultery	0.120	0.922	0.510	通姦
adulthood	0.541	0.454	0.652	成年
advance	0.673	0.472	0.858	進步
advanced	0.844	0.623	0.797	先進的
advancement	0.776	0.650	0.839	進步
advancing	0.929	0.608	0.812	前進
advantage	0.917	0.548	0.859	優勢
advantageous	0.837	0.640	0.789	有利
advent	0.665	0.560	0.627	來臨
adventure	0.917	0.857	0.710	冒險
adventurer	0.781	0.839	0.868	冒險家
adventures	0.812	0.764	0.749	冒險
adventurous	0.969	0.898	0.722	冒險的
adversary	0.349	0.777	0.457	對手
adverse	0.323	0.610	0.385	不利的
adversity	0.276	0.760	0.538	逆境
advertise	0.500	0.529	0.580	廣告
advertisement	0.600	0.566	0.539	廣告
advertising	0.622	0.608	0.632	廣告
adverts	0.551	0.500	0.595	廣告
advice	0.698	0.408	0.688	建議
advisable	0.867	0.480	0.510	可取的
advise	0.760	0.393	0.705	建議
advised	0.823	0.330	0.509	建議
advisement	0.698	0.235	0.655	建議
adviser	0.745	0.362	0.705	顧問
advisor	0.646	0.350	0.689	顧問
advisory	0.656	0.429	0.633	諮詢
advocacy	0.500	0.646	0.731	倡導
advocate	0.551	0.530	0.818	提倡
aegis	0.490	0.439	0.462	宙斯盾
aeration	0.550	0.500	0.433	通風
aerial	0.615	0.461	0.463	天線
aerobics	0.708	0.771	0.627	有氧運動
aerodrome	0.541	0.740	0.678	機場
aerodynamic	0.561	0.724	0.728	空氣動力學
aerodynamics	0.590	0.663	0.722	空氣動力學
aeronautics	0.551	0.633	0.688	航空學
aeroplane	0.714	0.642	0.644	飛機
aerospace	0.643	0.520	0.779	航天
aesthetic	0.708	0.442	0.526	審美的
aesthetics	0.847	0.327	0.549	美學
aetiology	0.480	0.398	0.615	病因學
afar	0.396	0.373	0.358	遠方
affable	0.704	0.380	0.452	和藹可親
affair	0.520	0.459	0.657	事務
affect	0.458	0.569	0.578	影響
affecting	0.350	0.574	0.394	影響
affection	0.898	0.559	0.696	感情
affectionate	0.949	0.422	0.550	親熱
affections	0.760	0.547	0.655	感情
affiche	0.479	0.265	0.402	貼文
affidavit	0.469	0.584	0.526	宣誓書
affiliated	0.673	0.519	0.535	附屬
affiliation	0.615	0.594	0.500	聯繫
affinity	0.800	0.500	0.537	親和力
affirm	0.745	0.509	0.731	確認
affirmation	0.750	0.500	0.689	肯定
affirmative	0.854	0.589	0.816	肯定
affirmatively	0.908	0.500	0.811	肯定的
affix	0.438	0.335	0.411	詞綴
afflict	0.302	0.555	0.293	折磨
afflicted	0.271	0.500	0.167	受苦
affliction	0.294	0.635	0.392	痛苦
affluence	0.663	0.618	0.722	富裕
affluent	0.756	0.388	0.477	富裕的
afford	0.571	0.580	0.575	買得起
affordable	0.840	0.398	0.493	負擔得起的
affront	0.327	0.740	0.547	冒犯
affronted	0.385	0.750	0.527	被冒犯了
afield	0.594	0.370	0.373	遠方
afire	0.367	0.904	0.675	著火
afloat	0.602	0.427	0.444	漂浮
afore	0.500	0.337	0.382	之前
aforementioned	0.490	0.316	0.408	前述
aforesaid	0.531	0.358	0.478	上述
afraid	0.010	0.775	0.245	害怕
afresh	0.643	0.521	0.480	重新
aft	0.480	0.417	0.518	船尾
afterlife	0.571	0.567	0.568	來世
aftermath	0.312	0.449	0.444	後果
afternoon	0.533	0.388	0.339	下午
aftershave	0.406	0.384	0.415	須後水
aftertaste	0.354	0.362	0.455	回味
afterthought	0.396	0.392	0.349	事後諸葛亮
aga	0.542	0.327	0.398	阿加
agape	0.612	0.529	0.464	阿加佩
agate	0.540	0.377	0.483	瑪瑙
age	0.561	0.226	0.498	年齡
aged	0.135	0.365	0.236	陳年
agency	0.460	0.296	0.583	機構
agenda	0.531	0.296	0.553	議程
agent	0.480	0.439	0.755	代理人
agglomeration	0.450	0.765	0.509	集聚
aggravate	0.224	0.770	0.464	加劇
aggravated	0.079	0.760	0.430	加重
aggravates	0.108	0.778	0.357	加重
aggravating	0.257	0.794	0.640	加重
aggravation	0.071	0.784	0.613	加重
aggregate	0.730	0.378	0.556	總計的
aggregation	0.583	0.517	0.694	聚合
aggresive	0.059	0.971	0.639	好鬥的
aggression	0.094	0.929	0.533	侵略
aggressive	0.125	0.949	0.648	挑釁的
aggressively	0.250	0.926	0.688	積極地
aggressiveness	0.077	0.913	0.648	攻擊性
aggressor	0.146	0.948	0.823	侵略者
agh	0.260	0.500	0.400	啊啊
aghast	0.133	0.865	0.464	嚇壞了
aghhh	0.281	0.635	0.243	啊啊啊
agile	0.800	0.657	0.775	敏捷
agility	0.720	0.702	0.815	敏捷
aging	0.214	0.255	0.284	老化
agitate	0.300	0.796	0.593	激盪
agitated	0.444	0.882	0.491	激動
agitation	0.240	0.931	0.447	攪動
aglow	0.780	0.510	0.797	發光
agnostic	0.306	0.396	0.574	不可知論者
ago	0.317	0.280	0.404	前
agonizing	0.083	0.800	0.340	痛苦的
agony	0.083	0.775	0.393	痛苦
agoraphobia	0.127	0.712	0.438	廣場恐懼症
agree	0.906	0.260	0.545	同意
agreeable	0.906	0.500	0.696	合適的
agreed	0.797	0.449	0.574	同意
agreeing	0.854	0.480	0.557	同意
agreement	0.760	0.440	0.736	協議
agressive	0.083	0.918	0.751	好鬥的
agricultural	0.686	0.321	0.473	農業
agriculture	0.640	0.357	0.465	農業
aground	0.333	0.340	0.445	擱淺
agua	0.598	0.180	0.436	阿瓜
ahead	0.708	0.520	0.673	先
ahhh	0.562	0.517	0.241	啊啊啊
ahhhhhhhh	0.552	0.649	0.288	啊啊啊啊
ahoy	0.500	0.497	0.380	嘿嘿
aid	0.796	0.491	0.541	援助
aide	0.724	0.342	0.434	助手
aiding	0.643	0.533	0.569	幫助
aids	0.561	0.480	0.500	艾滋病
ail	0.375	0.434	0.385	全部
ailing	0.094	0.518	0.153	生病了
ailment	0.146	0.734	0.277	病痛
aim	0.481	0.569	0.567	目標
aimless	0.150	0.267	0.183	漫無目的
air	0.708	0.163	0.427	空氣
airbag	0.510	0.402	0.433	安全氣囊
airborne	0.542	0.519	0.385	空降
aircraft	0.646	0.644	0.691	飛機
aircraft carrier	0.490	0.740	0.727	航空母艦
airfield	0.601	0.650	0.645	機場
airhead	0.271	0.481	0.276	空頭
airlift	0.573	0.622	0.642	空運
airline	0.650	0.482	0.688	航空公司
airliner	0.667	0.777	0.647	客機
airlock	0.398	0.520	0.447	氣閘
airman	0.587	0.716	0.721	空軍
airplane	0.719	0.702	0.708	飛機
airport	0.729	0.684	0.682	飛機場
airs	0.583	0.196	0.370	裝腔作勢
airship	0.542	0.472	0.529	飛艇
airspace	0.562	0.510	0.640	空域
airspeed	0.583	0.780	0.544	空速
airstrip	0.550	0.690	0.649	簡易機場
airtight	0.479	0.381	0.570	密閉
airway	0.638	0.585	0.482	呼吸道
aisle	0.438	0.222	0.283	走道
ait	0.385	0.390	0.402	艾特
ajar	0.460	0.413	0.446	半開著
aka	0.459	0.358	0.351	又名
akin	0.639	0.343	0.523	類似的
alabaster	0.542	0.404	0.445	雪花石膏
alarm	0.241	0.882	0.698	警報
alarm clock	0.542	0.727	0.642	鬧鐘
alarmed	0.188	0.822	0.492	驚慌
alarming	0.204	0.890	0.585	令人震驚的
alas	0.571	0.310	0.279	唉
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	信天翁
albino	0.500	0.240	0.358	白化病
album	0.635	0.349	0.453	專輯
alchemy	0.541	0.583	0.693	煉金術
alcohol	0.323	0.667	0.377	酒精
alcoholic	0.153	0.688	0.361	酒鬼
alcoholism	0.061	0.779	0.407	酗酒
alcove	0.490	0.340	0.356	壁龕
alderman	0.550	0.459	0.691	市議員
ale	0.530	0.450	0.358	麥酒
alert	0.479	0.820	0.648	警報
alertness	0.375	0.875	0.750	警覺
alerts	0.337	0.804	0.673	警報
alfalfa	0.546	0.250	0.311	苜蓿
algebra	0.440	0.340	0.565	代數
algebraic	0.531	0.412	0.441	代數的
algorithm	0.448	0.394	0.559	算法
alias	0.541	0.353	0.333	別名
alibi	0.396	0.528	0.556	不在場證明
alien	0.410	0.615	0.491	外星人
alienate	0.247	0.500	0.523	離間
alienated	0.410	0.423	0.559	疏遠
alienation	0.378	0.530	0.462	異化
alight	0.667	0.657	0.605	下車
align	0.656	0.364	0.627	對齊
aligned	0.583	0.275	0.553	對齊
alignment	0.643	0.412	0.683	結盟
alike	0.653	0.173	0.444	一樣
alimentation	0.781	0.551	0.602	營養
alimony	0.612	0.477	0.464	贍養費
aliquot	0.440	0.310	0.404	等分
alive	0.816	0.637	0.731	活
alkali	0.490	0.350	0.408	鹼
alkaloids	0.433	0.562	0.402	生物鹼
allay	0.417	0.406	0.398	緩和
allegation	0.578	0.578	0.608	指控
allege	0.418	0.482	0.587	指控
alleged	0.365	0.522	0.520	據稱
allegiance	0.917	0.398	0.750	忠誠
allegorical	0.517	0.558	0.598	寓言的
allegory	0.615	0.580	0.509	寓言
allegro	0.635	0.627	0.453	快板
allergic	0.135	0.549	0.273	過敏
allergy	0.296	0.606	0.389	過敏
alleviate	0.869	0.270	0.528	減輕
alleviation	0.735	0.200	0.491	緩解
alley	0.347	0.500	0.355	胡同
alleyway	0.357	0.471	0.382	小巷
alliance	0.696	0.473	0.769	聯盟
allied	0.714	0.245	0.642	盟軍
alligator	0.354	0.704	0.645	鱷魚
allocate	0.673	0.462	0.672	分配
allocation	0.604	0.388	0.679	分配
allot	0.622	0.481	0.616	分配
allotment	0.600	0.390	0.640	分配
allow	0.698	0.429	0.538	允許
allowable	0.698	0.500	0.561	允許的
allowance	0.673	0.382	0.591	津貼
allowed	0.730	0.360	0.655	允許
alloy	0.583	0.443	0.593	合金
allsmiles	0.786	0.528	0.430	滿臉笑容
allure	0.804	0.585	0.686	引誘
alluring	0.837	0.745	0.843	誘人的
allusion	0.440	0.308	0.462	典故
alluvial	0.323	0.490	0.491	沖積層
ally	0.792	0.320	0.688	盟國
almanac	0.688	0.190	0.412	年曆
almighty	0.938	0.874	0.958	萬能的
almond	0.698	0.183	0.314	杏仁
aloft	0.771	0.373	0.700	高空
aloha	0.698	0.440	0.441	阿羅哈
alone	0.333	0.167	0.216	獨自的
alongside	0.458	0.333	0.347	旁邊
aloof	0.189	0.423	0.302	超然
aloud	0.458	0.713	0.750	大聲
alpha	0.708	0.340	0.755	α
alphabet	0.562	0.204	0.672	字母
alphabetical	0.537	0.296	0.535	按字母順序
alpine	0.594	0.337	0.474	高山
alreadyyyyy	0.592	0.717	0.351	已經yyyy
altar	0.724	0.387	0.635	壇
altar boy	0.434	0.206	0.350	祭壇男孩
alter	0.333	0.694	0.654	改變
alteration	0.167	0.798	0.609	改造
altercation	0.170	0.806	0.500	爭吵
altered	0.255	0.765	0.500	改變
alternate	0.625	0.363	0.589	備用
alternating	0.480	0.494	0.542	交替
alternative	0.628	0.373	0.631	選擇
altimeter	0.615	0.510	0.580	高度表
altitude	0.708	0.482	0.736	高度
alto	0.656	0.404	0.730	中音
altogether	0.833	0.324	0.644	共
aluminum	0.449	0.280	0.434	鋁
alumnus	0.633	0.368	0.422	校友
alveolar	0.469	0.481	0.367	肺泡
alzheimers	0.194	0.518	0.319	老年癡呆症
amalgam	0.438	0.333	0.510	汞合金
amalgamation	0.406	0.470	0.531	合併
amaretto	0.543	0.551	0.375	杏仁
amass	0.552	0.465	0.465	積累
amateur	0.469	0.500	0.409	業餘
amaze	0.896	0.843	0.783	驚奇
amazed	0.796	0.779	0.533	吃驚
amazedness	0.827	0.872	0.510	驚奇
amazement	0.750	0.800	0.639	驚愕
amazing	0.906	0.837	0.849	驚人
amazingly	0.918	0.765	0.920	驚人地
ambassador	0.651	0.529	0.917	大使
amber	0.635	0.308	0.369	琥珀色
ambience	0.735	0.356	0.426	環境
ambient	0.625	0.360	0.582	周圍
ambiguity	0.164	0.460	0.370	模棱兩可
ambiguous	0.265	0.462	0.358	模糊的
ambit	0.479	0.380	0.386	範圍
ambition	0.510	0.804	0.661	志向
ambitious	0.484	0.821	0.717	雄心勃勃
ambivalent	0.510	0.404	0.482	矛盾的
ambrosia	0.571	0.452	0.480	神的食物
ambulance	0.500	0.750	0.609	救護車
ambush	0.281	0.830	0.500	伏擊
ameliorate	0.770	0.548	0.747	改善
amen	0.781	0.182	0.542	阿門
amenable	0.448	0.410	0.406	順從
amend	0.688	0.406	0.658	修正
amendment	0.531	0.459	0.606	修正案
amends	0.640	0.366	0.517	修正
amenity	0.750	0.327	0.574	便利設施
amethyst	0.622	0.406	0.517	紫晶
amiable	0.847	0.290	0.483	可親
amicable	0.875	0.330	0.507	友善的
amid	0.510	0.340	0.256	之中
amidst	0.480	0.330	0.316	當中
amino	0.551	0.402	0.433	氨基
ammo	0.323	0.765	0.621	彈藥
ammonia	0.292	0.587	0.409	氨
ammonium	0.354	0.396	0.368	銨
ammunition	0.338	0.635	0.667	彈藥
amnesia	0.296	0.330	0.308	健忘症
amnesty	0.551	0.451	0.814	大赦
amorous	0.844	0.670	0.636	多情的
amorphous	0.327	0.402	0.349	無定形
amortization	0.592	0.491	0.522	攤銷
amount	0.562	0.422	0.649	數量
amour	0.865	0.480	0.652	戀情
amp	0.439	0.393	0.375	放大器
ampersand	0.480	0.448	0.483	和號
amphetamines	0.133	0.667	0.526	苯丙胺類
amphibian	0.427	0.357	0.474	兩棲動物
amphibious	0.479	0.346	0.445	水陸兩用
amphitheater	0.653	0.480	0.545	圓形劇場
ample	0.744	0.349	0.719	充足
amplification	0.690	0.677	0.810	放大
amplify	0.677	0.735	0.827	放大
amplitude	0.694	0.439	0.692	振幅
amply	0.781	0.431	0.766	充分
amputate	0.092	0.660	0.509	截肢
amputation	0.100	0.755	0.483	截肢
amuck	0.385	0.602	0.321	胡思亂想
amulet	0.781	0.260	0.630	護身符
amuse	0.812	0.684	0.664	逗樂
amused	0.942	0.847	0.596	逗樂了
amusement	0.929	0.837	0.803	娛樂
amusing	0.960	0.829	0.632	有趣
ana	0.541	0.300	0.314	安娜
anaconda	0.146	0.830	0.540	蟒蛇
anaesthesia	0.350	0.217	0.473	麻醉
anaesthetic	0.449	0.268	0.509	麻藥
anagram	0.552	0.327	0.449	字謎
anal	0.333	0.798	0.334	肛門
analgesic	0.417	0.321	0.441	鎮痛劑
analogous	0.531	0.270	0.500	類似的
analogue	0.570	0.320	0.446	類似物
analogy	0.510	0.367	0.509	比喻
analysis	0.729	0.448	0.705	分析
analyst	0.604	0.415	0.755	分析師
analytic	0.665	0.521	0.634	分析的
analytical	0.625	0.324	0.800	分析的
analyze	0.667	0.462	0.710	分析
analyzer	0.625	0.556	0.854	分析儀
anaphylactic	0.378	0.588	0.500	過敏的
anarchism	0.125	0.804	0.623	無政府主義
anarchist	0.204	0.700	0.759	無政府主義者
anarchy	0.146	0.755	0.620	無政府狀態
anastomosis	0.375	0.470	0.490	吻合
anathema	0.286	0.490	0.519	詛咒
anatomic	0.562	0.442	0.546	解剖學
anatomy	0.562	0.390	0.571	解剖學
ancestor	0.592	0.388	0.594	祖先
ancestral	0.640	0.481	0.750	祖傳的
ancestry	0.708	0.519	0.717	祖先
anchor	0.520	0.284	0.564	錨
anchorage	0.500	0.325	0.639	錨地
ancient	0.420	0.217	0.439	古老的
ancillary	0.449	0.442	0.278	輔助
androgen	0.255	0.523	0.527	雄激素
android	0.663	0.436	0.500	安卓
anecdote	0.583	0.529	0.500	軼事
anemia	0.188	0.327	0.310	貧血
anemic	0.167	0.279	0.155	貧血
anemone	0.552	0.538	0.327	海葵
anesthesia	0.365	0.216	0.394	麻醉
anesthesiologist	0.419	0.224	0.526	麻醉師
anesthetic	0.350	0.264	0.482	麻藥
aneurysm	0.115	0.690	0.536	動脈瘤
anew	0.771	0.358	0.385	重新
angel	0.906	0.158	0.704	天使
angelic	0.927	0.298	0.668	天使般的
anger	0.167	0.865	0.657	憤怒
angered	0.010	0.860	0.547	激怒了
angermanagement	0.260	0.632	0.482	情緒管理
angina	0.230	0.630	0.464	心絞痛
angiogram	0.347	0.520	0.465	血管造影
angiography	0.378	0.536	0.520	血管造影
angle	0.541	0.330	0.455	角度
angling	0.625	0.408	0.500	釣魚
angora	0.529	0.425	0.405	安哥拉
angriest	0.094	0.892	0.430	最憤怒的
angry	0.122	0.830	0.604	生氣的
