English Word	Valence	Arousal	Dominance	Bulgarian Word
accolade	0.688	0.591	0.775	похвала
accommodate	0.844	0.375	0.566	настанявам
accommodation	0.817	0.415	0.587	настаняване
accompaniment	0.740	0.479	0.695	акомпанимент
accompany	0.833	0.406	0.585	придружавам
accompanying	0.787	0.460	0.582	придружаващ
accomplice	0.408	0.580	0.510	съучастник
accomplish	0.929	0.673	0.816	постигне
accomplished	0.870	0.520	0.798	изпълнено
accomplishment	0.917	0.694	0.888	постижение
accord	0.898	0.264	0.382	съгласие
accordance	0.659	0.349	0.600	съответствие
accordion	0.604	0.490	0.361	акордеон
account	0.531	0.347	0.472	сметка
accountability	0.755	0.537	0.833	отчетност
accountable	0.709	0.282	0.777	отговорен
accountant	0.625	0.450	0.639	касиер счетоводител
accounting	0.552	0.390	0.677	счетоводство
accounts	0.592	0.340	0.471	сметки
accredited	0.669	0.479	0.768	акредитиран
accretion	0.448	0.519	0.672	натрупване
accrue	0.520	0.481	0.602	натрупват се
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	натрупвам
accumulation	0.479	0.527	0.600	натрупване
accuracy	0.604	0.481	0.802	точност
accurate	0.743	0.360	0.737	точен
accursed	0.135	0.745	0.345	прокълнат
accusation	0.073	0.718	0.564	обвинение
accusative	0.198	0.755	0.482	винителен падеж
accuse	0.133	0.752	0.500	обвинявам
accused	0.130	0.670	0.420	обвиняем
accuser	0.122	0.779	0.615	обвинител
accusing	0.156	0.745	0.324	обвинителен
accustomed	0.542	0.365	0.441	свикнал
ace	0.643	0.481	0.546	асо
acetic	0.333	0.420	0.519	оцетна киселина
acetylene	0.306	0.469	0.509	ацетилен
ache	0.146	0.760	0.312	болка
achieve	0.816	0.545	0.843	постигам
achieved	0.896	0.519	0.775	постигнати
achievement	0.896	0.808	0.759	постижение
aching	0.053	0.880	0.348	болки
achy	0.167	0.840	0.373	болезнено
acid	0.265	0.642	0.566	киселина
acidity	0.156	0.663	0.360	киселинност
acknowledge	0.786	0.370	0.661	признавам
acknowledged	0.714	0.443	0.765	признати
acknowledgement	0.819	0.539	0.830	признание
acknowledgment	0.796	0.528	0.777	признание
acme	0.408	0.435	0.375	акме
acne	0.167	0.474	0.308	акне
acorn	0.448	0.198	0.192	жълъд
acoustic	0.542	0.462	0.536	акустичен
acoustics	0.611	0.330	0.509	акустика
acquaint	0.646	0.491	0.639	запознавам се
acquaintance	0.656	0.290	0.670	познанство
acquainted	0.906	0.358	0.632	запознати
acquiescence	0.542	0.480	0.554	съгласие
acquire	0.833	0.468	0.700	придобивам
acquiring	0.735	0.510	0.817	придобиване
acquisition	0.698	0.509	0.736	придобиване
acquisitions	0.773	0.660	0.790	придобивания
acquit	0.583	0.571	0.611	оправдавам
acquittal	0.760	0.497	0.700	оправдателна присъда
acre	0.583	0.387	0.423	акър
acreage	0.741	0.450	0.528	площ в акра
acres	0.510	0.363	0.500	акра
acrobat	0.708	0.828	0.602	акробат
acrylic	0.582	0.279	0.420	акрил
act	0.656	0.704	0.735	акт
acting	0.698	0.643	0.500	действащ
action	0.760	0.898	0.802	действие
action figure	0.615	0.774	0.611	екшън фигура
actionable	0.673	0.702	0.613	подлежащ на действие
activate	0.764	0.650	0.806	активирате
activation	0.781	0.800	0.754	активиране
active	0.847	0.730	0.731	активен
activist	0.531	0.653	0.877	активист
activity	0.701	0.660	0.807	дейност
actor	0.653	0.561	0.629	актьор
actress	0.633	0.556	0.596	актриса
actual	0.729	0.400	0.716	действителен
actuality	0.750	0.464	0.600	актуалност
actuary	0.510	0.404	0.491	актюер
acuity	0.469	0.378	0.741	острота
acumen	0.564	0.660	0.679	проницателност
acupuncture	0.531	0.324	0.549	акупунктура
acute	0.427	0.652	0.534	остър
acutely	0.417	0.543	0.491	остро
ad	0.521	0.705	0.558	реклама
adage	0.517	0.415	0.566	поговорка
adamant	0.344	0.529	0.575	непреклонен
adapt	0.740	0.355	0.551	адаптирам се
adaptable	0.735	0.423	0.641	адаптивен
adaptation	0.663	0.365	0.609	адаптация
add	0.728	0.490	0.554	добавете
added	0.562	0.405	0.509	добавен
addendum	0.392	0.370	0.418	допълнение
adder	0.388	0.461	0.588	суматор
addict	0.075	0.696	0.327	наркоман
addicted	0.156	0.712	0.483	пристрастен
addiction	0.180	0.806	0.420	пристрастяване
addictive	0.302	0.683	0.472	пристрастяване
addition	0.562	0.373	0.471	допълнение
additional	0.673	0.462	0.526	допълнителен
additive	0.561	0.633	0.691	добавка
address	0.650	0.327	0.567	адрес
addressee	0.622	0.382	0.538	адресат
addresses	0.510	0.354	0.450	адреси
adept	0.594	0.539	0.789	адепт
adequacy	0.615	0.435	0.702	адекватност
adequate	0.854	0.264	0.705	адекватен
adhere	0.633	0.339	0.554	се придържат
adherence	0.760	0.307	0.630	придържане
adherent	0.561	0.385	0.555	привърженик
adhering	0.612	0.561	0.537	придържайки се
adhesion	0.521	0.445	0.586	адхезия
adhesive	0.604	0.350	0.413	лепило
adieu	0.250	0.471	0.342	сбогом
adipose	0.333	0.350	0.391	мастна
adjacency	0.365	0.417	0.375	съседство
adjacent	0.645	0.276	0.536	съседен
adjective	0.570	0.316	0.569	прилагателно
adjoining	0.520	0.400	0.393	прилежащи
adjourn	0.385	0.456	0.475	отлагам
adjournment	0.438	0.510	0.370	отлагане
adjudicate	0.559	0.520	0.683	отсъждам
adjudication	0.551	0.462	0.691	отсъждане
adjunct	0.459	0.440	0.426	допълнение
adjust	0.647	0.327	0.638	коригирайте
adjuster	0.510	0.540	0.760	регулатор
adjustment	0.590	0.520	0.661	корекция
adjuvant	0.510	0.500	0.456	адювант
admin	0.688	0.420	0.854	администратор
administer	0.635	0.425	0.860	администрирам
administration	0.625	0.404	0.786	администрация
administrative	0.542	0.415	0.579	административен
administrator	0.538	0.480	0.902	администратор
admirable	0.929	0.600	0.870	възхитителен
admiral	0.844	0.490	0.847	адмирал
admiralty	0.594	0.547	0.733	адмиралтейство
admiration	0.969	0.583	0.726	възхищение
admire	0.867	0.692	0.704	възхищавам се
admired	0.917	0.560	0.815	възхитен
admirer	0.796	0.720	0.650	обожател
admiring	0.867	0.578	0.629	възхищавайки се
admissibility	0.802	0.580	0.602	допустимост
admissible	0.780	0.528	0.642	допустимо
admission	0.802	0.415	0.732	допускане
admit	0.538	0.423	0.667	признавам
admittance	0.690	0.451	0.598	допускане
admitted	0.720	0.490	0.767	допуснати
admitting	0.620	0.500	0.546	признаване
admixture	0.450	0.375	0.438	примес
admonition	0.357	0.606	0.455	предупреждение
ado	0.520	0.423	0.385	шум
adobe	0.500	0.319	0.328	кирпич
adolescence	0.487	0.694	0.444	юношеството
adolescent	0.781	0.680	0.509	юноша
adopt	0.694	0.612	0.701	осиновявам
adoption	0.625	0.566	0.589	осиновяване
adoptive	0.531	0.469	0.520	осиновител
adorable	0.969	0.519	0.457	очарователен
adoration	0.885	0.699	0.708	обожание
adore	0.854	0.438	0.657	обожавам
adoring	0.885	0.620	0.717	обожаващ
adorn	0.910	0.424	0.482	украсявам
adornment	0.918	0.373	0.377	украса
adrenalin	0.865	0.920	0.786	адреналин
adrenaline	0.765	0.965	0.825	адреналин
adrift	0.398	0.486	0.230	по течението
adult	0.815	0.491	0.787	възрастен
adulterated	0.188	0.865	0.370	подправени
adulterer	0.229	0.814	0.407	прелюбодеец
adultery	0.120	0.922	0.510	прелюбодеяние
adulthood	0.541	0.454	0.652	зряла възраст
advance	0.673	0.472	0.858	аванс
advanced	0.844	0.623	0.797	напреднал
advancement	0.776	0.650	0.839	напредък
advancing	0.929	0.608	0.812	напредване
advantage	0.917	0.548	0.859	предимство
advantageous	0.837	0.640	0.789	изгодно
advent	0.665	0.560	0.627	идване
adventure	0.917	0.857	0.710	приключение
adventurer	0.781	0.839	0.868	авантюрист
adventures	0.812	0.764	0.749	приключения
adventurous	0.969	0.898	0.722	приключенски
adversary	0.349	0.777	0.457	противник
adverse	0.323	0.610	0.385	неблагоприятен
adversity	0.276	0.760	0.538	несгоди
advertise	0.500	0.529	0.580	рекламирам
advertisement	0.600	0.566	0.539	реклама
advertising	0.622	0.608	0.632	реклама
adverts	0.551	0.500	0.595	реклами
advice	0.698	0.408	0.688	съвет
advisable	0.867	0.480	0.510	препоръчително
advise	0.760	0.393	0.705	съветвам
advised	0.823	0.330	0.509	посъветван
advisement	0.698	0.235	0.655	съвет
adviser	0.745	0.362	0.705	съветник
advisor	0.646	0.350	0.689	съветник
advisory	0.656	0.429	0.633	консултативен
advocacy	0.500	0.646	0.731	застъпничество
advocate	0.551	0.530	0.818	адвокат
aegis	0.490	0.439	0.462	егида
aeration	0.550	0.500	0.433	аериране
aerial	0.615	0.461	0.463	въздушен
aerobics	0.708	0.771	0.627	аеробика
aerodrome	0.541	0.740	0.678	летище
aerodynamic	0.561	0.724	0.728	аеродинамичен
aerodynamics	0.590	0.663	0.722	аеродинамика
aeronautics	0.551	0.633	0.688	аеронавтика
aeroplane	0.714	0.642	0.644	самолет
aerospace	0.643	0.520	0.779	космическото пространство
aesthetic	0.708	0.442	0.526	естетичен
aesthetics	0.847	0.327	0.549	естетика
aetiology	0.480	0.398	0.615	етиология
afar	0.396	0.373	0.358	отдалече
affable	0.704	0.380	0.452	приветлив
affair	0.520	0.459	0.657	афера
affect	0.458	0.569	0.578	засягат
affecting	0.350	0.574	0.394	засягащи
affection	0.898	0.559	0.696	привързаност
affectionate	0.949	0.422	0.550	привързан
affections	0.760	0.547	0.655	привързаности
affiche	0.479	0.265	0.402	афиш
affidavit	0.469	0.584	0.526	клетвена декларация
affiliated	0.673	0.519	0.535	свързани
affiliation	0.615	0.594	0.500	принадлежност
affinity	0.800	0.500	0.537	афинитет
affirm	0.745	0.509	0.731	потвърждавам
affirmation	0.750	0.500	0.689	утвърждение
affirmative	0.854	0.589	0.816	утвърдителен
affirmatively	0.908	0.500	0.811	утвърдително
affix	0.438	0.335	0.411	афикс
afflict	0.302	0.555	0.293	поразявам
afflicted	0.271	0.500	0.167	засегнати
affliction	0.294	0.635	0.392	страдание
affluence	0.663	0.618	0.722	охолство
affluent	0.756	0.388	0.477	заможен
afford	0.571	0.580	0.575	си позволявам
affordable	0.840	0.398	0.493	достъпни
affront	0.327	0.740	0.547	оскърбление
affronted	0.385	0.750	0.527	оскърбен
afield	0.594	0.370	0.373	на полето
afire	0.367	0.904	0.675	пожар
afloat	0.602	0.427	0.444	на повърхността
afore	0.500	0.337	0.382	преди
aforementioned	0.490	0.316	0.408	споменато по-горе
aforesaid	0.531	0.358	0.478	гореспоменатото
afraid	0.010	0.775	0.245	страхувам се
afresh	0.643	0.521	0.480	наново
aft	0.480	0.417	0.518	кърмата
afterlife	0.571	0.567	0.568	отвъдното
aftermath	0.312	0.449	0.444	последствия
afternoon	0.533	0.388	0.339	следобед
aftershave	0.406	0.384	0.415	афтършейв
aftertaste	0.354	0.362	0.455	послевкус
afterthought	0.396	0.392	0.349	задна мисъл
aga	0.542	0.327	0.398	ага
agape	0.612	0.529	0.464	агапе
agate	0.540	0.377	0.483	ахат
age	0.561	0.226	0.498	възраст
aged	0.135	0.365	0.236	остарял
agency	0.460	0.296	0.583	агенция
agenda	0.531	0.296	0.553	дневен ред
agent	0.480	0.439	0.755	агент
agglomeration	0.450	0.765	0.509	агломерация
aggravate	0.224	0.770	0.464	влошавам
aggravated	0.079	0.760	0.430	утежнено
aggravates	0.108	0.778	0.357	влошава
aggravating	0.257	0.794	0.640	утежняващо
aggravation	0.071	0.784	0.613	влошаване
aggregate	0.730	0.378	0.556	агрегат
aggregation	0.583	0.517	0.694	агрегиране
aggresive	0.059	0.971	0.639	агресивен
aggression	0.094	0.929	0.533	агресия
aggressive	0.125	0.949	0.648	агресивен
aggressively	0.250	0.926	0.688	агресивно
aggressiveness	0.077	0.913	0.648	агресивност
aggressor	0.146	0.948	0.823	агресор
agh	0.260	0.500	0.400	абе
aghast	0.133	0.865	0.464	ужасен
aghhh	0.281	0.635	0.243	ааааа
agile	0.800	0.657	0.775	пъргав
agility	0.720	0.702	0.815	ловкост
aging	0.214	0.255	0.284	стареене
agitate	0.300	0.796	0.593	агитирам
agitated	0.444	0.882	0.491	развълнуван
agitation	0.240	0.931	0.447	възбуда
aglow	0.780	0.510	0.797	свети
agnostic	0.306	0.396	0.574	агностик
ago	0.317	0.280	0.404	преди
agonizing	0.083	0.800	0.340	агонизиращ
agony	0.083	0.775	0.393	агония
agoraphobia	0.127	0.712	0.438	агорафобия
agree	0.906	0.260	0.545	Съгласен
agreeable	0.906	0.500	0.696	приятен
agreed	0.797	0.449	0.574	съгласен
agreeing	0.854	0.480	0.557	съгласен
agreement	0.760	0.440	0.736	споразумение
agressive	0.083	0.918	0.751	агресивен
agricultural	0.686	0.321	0.473	земеделски
agriculture	0.640	0.357	0.465	селско стопанство
aground	0.333	0.340	0.445	заседнал
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	напред
ahhh	0.562	0.517	0.241	аааа
ahhhhhhhh	0.552	0.649	0.288	ахххххххх
ahoy	0.500	0.497	0.380	ахой
aid	0.796	0.491	0.541	помощ
aide	0.724	0.342	0.434	помощник
aiding	0.643	0.533	0.569	подпомагане
aids	0.561	0.480	0.500	помощни средства
ail	0.375	0.434	0.385	болен
ailing	0.094	0.518	0.153	болен
ailment	0.146	0.734	0.277	неразположение
aim	0.481	0.569	0.567	цел
aimless	0.150	0.267	0.183	безцелно
air	0.708	0.163	0.427	въздух
airbag	0.510	0.402	0.433	въздушна възглавница
airborne	0.542	0.519	0.385	във въздуха
aircraft	0.646	0.644	0.691	самолет
aircraft carrier	0.490	0.740	0.727	самолетоносач
airfield	0.601	0.650	0.645	летище
airhead	0.271	0.481	0.276	въздушна глава
airlift	0.573	0.622	0.642	въздушен транспорт
airline	0.650	0.482	0.688	авиокомпания
airliner	0.667	0.777	0.647	пътнически самолет
airlock	0.398	0.520	0.447	въздушен шлюз
airman	0.587	0.716	0.721	летец
airplane	0.719	0.702	0.708	самолет
airport	0.729	0.684	0.682	летище
airs	0.583	0.196	0.370	излъчвания
airship	0.542	0.472	0.529	дирижабъл
airspace	0.562	0.510	0.640	въздушно пространство
airspeed	0.583	0.780	0.544	въздушна скорост
airstrip	0.550	0.690	0.649	самолетна писта
airtight	0.479	0.381	0.570	херметичен
airway	0.638	0.585	0.482	дихателни пътища
aisle	0.438	0.222	0.283	пътека
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	открехнат
aka	0.459	0.358	0.351	известен още като
akin	0.639	0.343	0.523	сроден
alabaster	0.542	0.404	0.445	алабастър
alarm	0.241	0.882	0.698	аларма
alarm clock	0.542	0.727	0.642	будилник
alarmed	0.188	0.822	0.492	разтревожен
alarming	0.204	0.890	0.585	тревожно
alas	0.571	0.310	0.279	уви
alb	0.521	0.380	0.427	алб
albatross	0.500	0.445	0.527	албатрос
albino	0.500	0.240	0.358	албинос
album	0.635	0.349	0.453	албум
alchemy	0.541	0.583	0.693	алхимия
alcohol	0.323	0.667	0.377	алкохол
alcoholic	0.153	0.688	0.361	алкохолик
alcoholism	0.061	0.779	0.407	алкохолизъм
alcove	0.490	0.340	0.356	ниша
alderman	0.550	0.459	0.691	съветник
ale	0.530	0.450	0.358	ейл
alert	0.479	0.820	0.648	тревога
alertness	0.375	0.875	0.750	бдителност
alerts	0.337	0.804	0.673	сигнали
alfalfa	0.546	0.250	0.311	люцерна
algebra	0.440	0.340	0.565	алгебра
algebraic	0.531	0.412	0.441	алгебричен
algorithm	0.448	0.394	0.559	алгоритъм
alias	0.541	0.353	0.333	псевдоним
alibi	0.396	0.528	0.556	алиби
alien	0.410	0.615	0.491	извънземно
alienate	0.247	0.500	0.523	отчуждавам
alienated	0.410	0.423	0.559	отчужден
alienation	0.378	0.530	0.462	отчуждение
alight	0.667	0.657	0.605	свети
align	0.656	0.364	0.627	подравнете
aligned	0.583	0.275	0.553	подравнен
alignment	0.643	0.412	0.683	подравняване
alike	0.653	0.173	0.444	подобни
alimentation	0.781	0.551	0.602	хранене
alimony	0.612	0.477	0.464	издръжка
aliquot	0.440	0.310	0.404	аликвотна част
alive	0.816	0.637	0.731	жив
alkali	0.490	0.350	0.408	алкали
alkaloids	0.433	0.562	0.402	алкалоиди
allay	0.417	0.406	0.398	успокоявам
allegation	0.578	0.578	0.608	твърдение
allege	0.418	0.482	0.587	твърдят
alleged	0.365	0.522	0.520	предполагаем
allegiance	0.917	0.398	0.750	вярност
allegorical	0.517	0.558	0.598	алегоричен
allegory	0.615	0.580	0.509	алегория
allegro	0.635	0.627	0.453	алегро
allergic	0.135	0.549	0.273	алергични
allergy	0.296	0.606	0.389	алергия
alleviate	0.869	0.270	0.528	облекчавам
alleviation	0.735	0.200	0.491	облекчаване
alley	0.347	0.500	0.355	алея
alleyway	0.357	0.471	0.382	алея
alliance	0.696	0.473	0.769	съюз
allied	0.714	0.245	0.642	съюзени
alligator	0.354	0.704	0.645	алигатор
allocate	0.673	0.462	0.672	разпределя
allocation	0.604	0.388	0.679	разпределяне
allot	0.622	0.481	0.616	разпределям
allotment	0.600	0.390	0.640	разпределение
allow	0.698	0.429	0.538	позволява
allowable	0.698	0.500	0.561	допустимо
allowance	0.673	0.382	0.591	надбавка
allowed	0.730	0.360	0.655	позволен
alloy	0.583	0.443	0.593	сплав
allsmiles	0.786	0.528	0.430	allsmiles
allure	0.804	0.585	0.686	привлекателност
alluring	0.837	0.745	0.843	примамлив
allusion	0.440	0.308	0.462	алюзия
alluvial	0.323	0.490	0.491	алувиален
ally	0.792	0.320	0.688	съюзник
almanac	0.688	0.190	0.412	алманах
almighty	0.938	0.874	0.958	всемогъщ
almond	0.698	0.183	0.314	бадемово
aloft	0.771	0.373	0.700	нагоре
aloha	0.698	0.440	0.441	алоха
alone	0.333	0.167	0.216	сам
alongside	0.458	0.333	0.347	наред
aloof	0.189	0.423	0.302	настрана
aloud	0.458	0.713	0.750	на глас
alpha	0.708	0.340	0.755	алфа
alphabet	0.562	0.204	0.672	азбука
alphabetical	0.537	0.296	0.535	азбучен
alpine	0.594	0.337	0.474	алпийски
alreadyyyyy	0.592	0.717	0.351	вечеyyyy
altar	0.724	0.387	0.635	олтар
altar boy	0.434	0.206	0.350	олтарник
alter	0.333	0.694	0.654	променям
alteration	0.167	0.798	0.609	промяна
altercation	0.170	0.806	0.500	кавга
altered	0.255	0.765	0.500	променен
alternate	0.625	0.363	0.589	редуват се
alternating	0.480	0.494	0.542	редуващи се
alternative	0.628	0.373	0.631	алтернатива
altimeter	0.615	0.510	0.580	висотомер
altitude	0.708	0.482	0.736	надморска височина
alto	0.656	0.404	0.730	алт
altogether	0.833	0.324	0.644	като цяло
aluminum	0.449	0.280	0.434	алуминий
alumnus	0.633	0.368	0.422	възпитаник
alveolar	0.469	0.481	0.367	алвеоларен
alzheimers	0.194	0.518	0.319	Алцхаймер
amalgam	0.438	0.333	0.510	амалгама
amalgamation	0.406	0.470	0.531	обединяване
amaretto	0.543	0.551	0.375	амарето
amass	0.552	0.465	0.465	трупам
amateur	0.469	0.500	0.409	любителски
amaze	0.896	0.843	0.783	учудвам
amazed	0.796	0.779	0.533	изумени
amazedness	0.827	0.872	0.510	изумление
amazement	0.750	0.800	0.639	удивление
amazing	0.906	0.837	0.849	невероятно
amazingly	0.918	0.765	0.920	невероятно
ambassador	0.651	0.529	0.917	посланик
amber	0.635	0.308	0.369	кехлибар
ambience	0.735	0.356	0.426	атмосфера
ambient	0.625	0.360	0.582	околна среда
ambiguity	0.164	0.460	0.370	неяснота
ambiguous	0.265	0.462	0.358	двусмислен
ambit	0.479	0.380	0.386	обхват
ambition	0.510	0.804	0.661	амбиция
ambitious	0.484	0.821	0.717	амбициозен
ambivalent	0.510	0.404	0.482	амбивалентен
ambrosia	0.571	0.452	0.480	амброзия
ambulance	0.500	0.750	0.609	линейка
ambush	0.281	0.830	0.500	засада
ameliorate	0.770	0.548	0.747	подобрявам
amen	0.781	0.182	0.542	амин
amenable	0.448	0.410	0.406	податлив
amend	0.688	0.406	0.658	изменям
amendment	0.531	0.459	0.606	изменение
amends	0.640	0.366	0.517	поправя
amenity	0.750	0.327	0.574	удобство
amethyst	0.622	0.406	0.517	аметист
amiable	0.847	0.290	0.483	любезен
amicable	0.875	0.330	0.507	приятелски
amid	0.510	0.340	0.256	сред
amidst	0.480	0.330	0.316	сред
amino	0.551	0.402	0.433	амино
ammo	0.323	0.765	0.621	амуниции
ammonia	0.292	0.587	0.409	амоняк
ammonium	0.354	0.396	0.368	амоний
ammunition	0.338	0.635	0.667	боеприпаси
amnesia	0.296	0.330	0.308	амнезия
amnesty	0.551	0.451	0.814	амнистия
amorous	0.844	0.670	0.636	любовен
amorphous	0.327	0.402	0.349	аморфен
amortization	0.592	0.491	0.522	амортизация
amount	0.562	0.422	0.649	количество
amour	0.865	0.480	0.652	любов
amp	0.439	0.393	0.375	усилвател
ampersand	0.480	0.448	0.483	амперсанд
amphetamines	0.133	0.667	0.526	амфетамини
amphibian	0.427	0.357	0.474	земноводно
amphibious	0.479	0.346	0.445	амфибия
amphitheater	0.653	0.480	0.545	амфитеатър
ample	0.744	0.349	0.719	достатъчно
amplification	0.690	0.677	0.810	усилване
amplify	0.677	0.735	0.827	усилвам
amplitude	0.694	0.439	0.692	амплитуда
amply	0.781	0.431	0.766	обилно
amputate	0.092	0.660	0.509	ампутирам
amputation	0.100	0.755	0.483	ампутация
amuck	0.385	0.602	0.321	полудял
amulet	0.781	0.260	0.630	амулет
amuse	0.812	0.684	0.664	забавлявам
amused	0.942	0.847	0.596	развеселен
amusement	0.929	0.837	0.803	забавление
amusing	0.960	0.829	0.632	забавно
ana	0.541	0.300	0.314	ана
anaconda	0.146	0.830	0.540	анаконда
anaesthesia	0.350	0.217	0.473	анестезия
anaesthetic	0.449	0.268	0.509	упойка
anagram	0.552	0.327	0.449	анаграма
anal	0.333	0.798	0.334	анален
analgesic	0.417	0.321	0.441	аналгетик
analogous	0.531	0.270	0.500	аналогичен
analogue	0.570	0.320	0.446	аналогов
analogy	0.510	0.367	0.509	аналогия
analysis	0.729	0.448	0.705	анализ
analyst	0.604	0.415	0.755	анализатор
analytic	0.665	0.521	0.634	аналитичен
analytical	0.625	0.324	0.800	аналитичен
analyze	0.667	0.462	0.710	анализирам
analyzer	0.625	0.556	0.854	анализатор
anaphylactic	0.378	0.588	0.500	анафилактичен
anarchism	0.125	0.804	0.623	анархизъм
anarchist	0.204	0.700	0.759	анархист
anarchy	0.146	0.755	0.620	анархия
anastomosis	0.375	0.470	0.490	анастомоза
anathema	0.286	0.490	0.519	анатема
anatomic	0.562	0.442	0.546	анатомичен
anatomy	0.562	0.390	0.571	анатомия
ancestor	0.592	0.388	0.594	прародител
ancestral	0.640	0.481	0.750	родовия
ancestry	0.708	0.519	0.717	потекло
anchor	0.520	0.284	0.564	котва
anchorage	0.500	0.325	0.639	закотвяне
ancient	0.420	0.217	0.439	древен
ancillary	0.449	0.442	0.278	спомагателни
androgen	0.255	0.523	0.527	андроген
android	0.663	0.436	0.500	Android
anecdote	0.583	0.529	0.500	анекдот
anemia	0.188	0.327	0.310	анемия
