English Word	Valence	Arousal	Dominance	Estonian Word
acknowledged	0.714	0.443	0.765	tunnistasid
acknowledgement	0.819	0.539	0.830	tunnustus
acknowledgment	0.796	0.528	0.777	tunnustus
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	vinnid
acorn	0.448	0.198	0.192	tammetõru
acoustic	0.542	0.462	0.536	akustiline
acoustics	0.611	0.330	0.509	akustika
acquaint	0.646	0.491	0.639	tutvuma
acquaintance	0.656	0.290	0.670	tuttav
acquainted	0.906	0.358	0.632	tutvustatud
acquiescence	0.542	0.480	0.554	nõustumine
acquire	0.833	0.468	0.700	omandada
acquiring	0.735	0.510	0.817	omandamine
acquisition	0.698	0.509	0.736	omandamine
acquisitions	0.773	0.660	0.790	omandamised
acquit	0.583	0.571	0.611	õigeks mõistma
acquittal	0.760	0.497	0.700	õigeksmõistmine
acre	0.583	0.387	0.423	aaker
acreage	0.741	0.450	0.528	pindala
acres	0.510	0.363	0.500	aakrit
acrobat	0.708	0.828	0.602	akrobaat
acrylic	0.582	0.279	0.420	akrüül
act	0.656	0.704	0.735	tegutsema
acting	0.698	0.643	0.500	näitlemine
action	0.760	0.898	0.802	tegevust
action figure	0.615	0.774	0.611	tegevusfiguur
actionable	0.673	0.702	0.613	tegevuskõlbulik
activate	0.764	0.650	0.806	aktiveerida
activation	0.781	0.800	0.754	aktiveerimine
active	0.847	0.730	0.731	aktiivne
activist	0.531	0.653	0.877	aktivist
activity	0.701	0.660	0.807	tegevust
actor	0.653	0.561	0.629	näitleja
actress	0.633	0.556	0.596	näitlejanna
actual	0.729	0.400	0.716	tegelik
actuality	0.750	0.464	0.600	tegelikkus
actuary	0.510	0.404	0.491	aktuaar
acuity	0.469	0.378	0.741	teravus
acumen	0.564	0.660	0.679	taiplikkus
acupuncture	0.531	0.324	0.549	nõelravi
acute	0.427	0.652	0.534	äge
acutely	0.417	0.543	0.491	ägedalt
ad	0.521	0.705	0.558	reklaam
adage	0.517	0.415	0.566	kõnekäänd
adamant	0.344	0.529	0.575	vankumatu
adapt	0.740	0.355	0.551	kohaneda
adaptable	0.735	0.423	0.641	kohandatav
adaptation	0.663	0.365	0.609	kohanemine
add	0.728	0.490	0.554	lisama
added	0.562	0.405	0.509	lisatud
addendum	0.392	0.370	0.418	lisa
adder	0.388	0.461	0.588	liitja
addict	0.075	0.696	0.327	sõltlane
addicted	0.156	0.712	0.483	sõltuvuses
addiction	0.180	0.806	0.420	sõltuvus
addictive	0.302	0.683	0.472	sõltuvust tekitav
addition	0.562	0.373	0.471	lisamine
additional	0.673	0.462	0.526	lisaks
additive	0.561	0.633	0.691	lisand
address	0.650	0.327	0.567	aadress
addressee	0.622	0.382	0.538	adressaat
addresses	0.510	0.354	0.450	aadressid
adept	0.594	0.539	0.789	vilunud
adequacy	0.615	0.435	0.702	piisavus
adequate	0.854	0.264	0.705	piisav
adhere	0.633	0.339	0.554	kinni pidama
adherence	0.760	0.307	0.630	kinnipidamine
adherent	0.561	0.385	0.555	kleepuv
adhering	0.612	0.561	0.537	kleepuv
adhesion	0.521	0.445	0.586	adhesioon
adhesive	0.604	0.350	0.413	liim
adieu	0.250	0.471	0.342	adieu
adipose	0.333	0.350	0.391	rasvunud
adjacency	0.365	0.417	0.375	külgnevus
adjacent	0.645	0.276	0.536	külgnevad
adjective	0.570	0.316	0.569	omadussõna
adjoining	0.520	0.400	0.393	külgnevad
adjourn	0.385	0.456	0.475	edasi lükata
adjournment	0.438	0.510	0.370	edasilükkamine
adjudicate	0.559	0.520	0.683	otsustada
adjudication	0.551	0.462	0.691	kohtuotsus
adjunct	0.459	0.440	0.426	lisand
adjust	0.647	0.327	0.638	kohandada
adjuster	0.510	0.540	0.760	reguleerija
adjustment	0.590	0.520	0.661	reguleerimine
adjuvant	0.510	0.500	0.456	adjuvant
admin	0.688	0.420	0.854	admin
administer	0.635	0.425	0.860	administreerida
administration	0.625	0.404	0.786	administreerimine
administrative	0.542	0.415	0.579	administratiivne
administrator	0.538	0.480	0.902	administraator
admirable	0.929	0.600	0.870	imetlusväärne
admiral	0.844	0.490	0.847	admiral
admiralty	0.594	0.547	0.733	admiraliteedi
admiration	0.969	0.583	0.726	imetlust
admire	0.867	0.692	0.704	imetleda
admired	0.917	0.560	0.815	imetlenud
admirer	0.796	0.720	0.650	austaja
admiring	0.867	0.578	0.629	imetledes
admissibility	0.802	0.580	0.602	vastuvõetavust
admissible	0.780	0.528	0.642	vastuvõetav
admission	0.802	0.415	0.732	sissepääs
admit	0.538	0.423	0.667	tunnistama
admittance	0.690	0.451	0.598	sissepääs
admitted	0.720	0.490	0.767	tunnistas
admitting	0.620	0.500	0.546	tunnistades
admixture	0.450	0.375	0.438	lisand
admonition	0.357	0.606	0.455	manitsus
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	Adobe
adolescence	0.487	0.694	0.444	noorukieas
adolescent	0.781	0.680	0.509	nooruk
adopt	0.694	0.612	0.701	adopteerida
adoption	0.625	0.566	0.589	lapsendamine
adoptive	0.531	0.469	0.520	lapsendaja
adorable	0.969	0.519	0.457	jumalik
adoration	0.885	0.699	0.708	jumaldamine
adore	0.854	0.438	0.657	jumaldan
adoring	0.885	0.620	0.717	jumaldavad
adorn	0.910	0.424	0.482	kaunistama
adornment	0.918	0.373	0.377	kaunistus
adrenalin	0.865	0.920	0.786	adrenaliin
adrenaline	0.765	0.965	0.825	adrenaliin
adrift	0.398	0.486	0.230	triivima
adult	0.815	0.491	0.787	täiskasvanud
adulterated	0.188	0.865	0.370	võltsitud
adulterer	0.229	0.814	0.407	abielurikkuja
adultery	0.120	0.922	0.510	abielurikkumine
adulthood	0.541	0.454	0.652	täiskasvanueas
advance	0.673	0.472	0.858	ettemaks
advanced	0.844	0.623	0.797	edasijõudnud
advancement	0.776	0.650	0.839	areng
advancing	0.929	0.608	0.812	edeneb
advantage	0.917	0.548	0.859	eelis
advantageous	0.837	0.640	0.789	soodne
advent	0.665	0.560	0.627	advent
adventure	0.917	0.857	0.710	seiklus
adventurer	0.781	0.839	0.868	seikleja
adventures	0.812	0.764	0.749	seiklustest
adventurous	0.969	0.898	0.722	seiklushimuline
adversary	0.349	0.777	0.457	vastane
adverse	0.323	0.610	0.385	ebasoodne
adversity	0.276	0.760	0.538	vastasseis
advertise	0.500	0.529	0.580	reklaamima
advertisement	0.600	0.566	0.539	reklaam
advertising	0.622	0.608	0.632	reklaam
adverts	0.551	0.500	0.595	kuulutused
advice	0.698	0.408	0.688	nõuanne
advisable	0.867	0.480	0.510	soovitatav
advise	0.760	0.393	0.705	nõu anda
advised	0.823	0.330	0.509	soovitas
advisement	0.698	0.235	0.655	nõuannet
adviser	0.745	0.362	0.705	nõunik
advisor	0.646	0.350	0.689	nõuandja
advisory	0.656	0.429	0.633	nõuandev
advocacy	0.500	0.646	0.731	propageerimine
advocate	0.551	0.530	0.818	advokaat
aegis	0.490	0.439	0.462	egis
aeration	0.550	0.500	0.433	õhutamine
aerial	0.615	0.461	0.463	antenn
aerobics	0.708	0.771	0.627	aeroobika
aerodrome	0.541	0.740	0.678	lennuväli
aerodynamic	0.561	0.724	0.728	aerodünaamiline
aerodynamics	0.590	0.663	0.722	aerodünaamika
aeronautics	0.551	0.633	0.688	lennundus
aeroplane	0.714	0.642	0.644	lennuk
aerospace	0.643	0.520	0.779	kosmoselennundus
aesthetic	0.708	0.442	0.526	esteetiline
aesthetics	0.847	0.327	0.549	esteetika
aetiology	0.480	0.398	0.615	etioloogia
afar	0.396	0.373	0.358	kaugelt
affable	0.704	0.380	0.452	sõbralik
affair	0.520	0.459	0.657	afäär
affect	0.458	0.569	0.578	mõjutada
affecting	0.350	0.574	0.394	mõjutades
affection	0.898	0.559	0.696	kiindumust
affectionate	0.949	0.422	0.550	Hell
affections	0.760	0.547	0.655	kiindumused
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	vandetunnistus
affiliated	0.673	0.519	0.535	seotud
affiliation	0.615	0.594	0.500	kuuluvus
affinity	0.800	0.500	0.537	afiinsus
affirm	0.745	0.509	0.731	kinnitama
affirmation	0.750	0.500	0.689	kinnitus
affirmative	0.854	0.589	0.816	jaatav
affirmatively	0.908	0.500	0.811	jaatavalt
affix	0.438	0.335	0.411	kinnitada
afflict	0.302	0.555	0.293	vaevama
afflicted	0.271	0.500	0.167	vaevatud
affliction	0.294	0.635	0.392	viletsus
affluence	0.663	0.618	0.722	jõukus
affluent	0.756	0.388	0.477	jõukas
afford	0.571	0.580	0.575	endale lubada
affordable	0.840	0.398	0.493	taskukohane
affront	0.327	0.740	0.547	solvav
affronted	0.385	0.750	0.527	solvunud
afield	0.594	0.370	0.373	väljapoole
afire	0.367	0.904	0.675	tulekahju
afloat	0.602	0.427	0.444	vee peal
afore	0.500	0.337	0.382	enne
aforementioned	0.490	0.316	0.408	eelnimetatud
aforesaid	0.531	0.358	0.478	eelpool mainitud
afraid	0.010	0.775	0.245	kardan
afresh	0.643	0.521	0.480	uuesti
aft	0.480	0.417	0.518	ahtri
afterlife	0.571	0.567	0.568	surmajärgne elu
aftermath	0.312	0.449	0.444	järelmõju
afternoon	0.533	0.388	0.339	pärastlõunal
aftershave	0.406	0.384	0.415	habemeajamisjärgne
aftertaste	0.354	0.362	0.455	järelmaitse
afterthought	0.396	0.392	0.349	järelmõte
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	ahhaat
age	0.561	0.226	0.498	vanus
aged	0.135	0.365	0.236	vanuses
agency	0.460	0.296	0.583	agentuur
agenda	0.531	0.296	0.553	päevakord
agent	0.480	0.439	0.755	agent
agglomeration	0.450	0.765	0.509	linnastu
aggravate	0.224	0.770	0.464	süvendada
aggravated	0.079	0.760	0.430	süvenenud
aggravates	0.108	0.778	0.357	süvendab
aggravating	0.257	0.794	0.640	raskendav
aggravation	0.071	0.784	0.613	süvenemine
aggregate	0.730	0.378	0.556	agregaat
aggregation	0.583	0.517	0.694	liitmine
aggresive	0.059	0.971	0.639	agressiivne
aggression	0.094	0.929	0.533	agressioon
aggressive	0.125	0.949	0.648	agressiivne
aggressively	0.250	0.926	0.688	agressiivselt
aggressiveness	0.077	0.913	0.648	agressiivsus
aggressor	0.146	0.948	0.823	agressor
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	jahmunud
aghhh	0.281	0.635	0.243	aghhh
agile	0.800	0.657	0.775	vilgas
agility	0.720	0.702	0.815	agility
aging	0.214	0.255	0.284	vananemine
agitate	0.300	0.796	0.593	agiteerima
agitated	0.444	0.882	0.491	ärevil
agitation	0.240	0.931	0.447	agitatsioon
aglow	0.780	0.510	0.797	särama
agnostic	0.306	0.396	0.574	agnostik
ago	0.317	0.280	0.404	tagasi
agonizing	0.083	0.800	0.340	piinav
agony	0.083	0.775	0.393	agoonia
agoraphobia	0.127	0.712	0.438	agorafoobia
agree	0.906	0.260	0.545	nõus
agreeable	0.906	0.500	0.696	meeldiv
agreed	0.797	0.449	0.574	nõus
agreeing	0.854	0.480	0.557	nõustudes
agreement	0.760	0.440	0.736	kokkuleppele
agressive	0.083	0.918	0.751	agressiivne
agricultural	0.686	0.321	0.473	põllumajanduslik
agriculture	0.640	0.357	0.465	põllumajandus
aground	0.333	0.340	0.445	madalikule
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	ees
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhh
ahoy	0.500	0.497	0.380	ahoi
aid	0.796	0.491	0.541	abi
aide	0.724	0.342	0.434	abimees
aiding	0.643	0.533	0.569	abistamine
aids	0.561	0.480	0.500	abivahendid
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	haige
ailment	0.146	0.734	0.277	haigus
aim	0.481	0.569	0.567	eesmärk
aimless	0.150	0.267	0.183	sihitu
air	0.708	0.163	0.427	õhku
airbag	0.510	0.402	0.433	turvapadi
airborne	0.542	0.519	0.385	õhus
aircraft	0.646	0.644	0.691	lennukid
aircraft carrier	0.490	0.740	0.727	lennukikandja
airfield	0.601	0.650	0.645	lennuväli
airhead	0.271	0.481	0.276	õhupea
airlift	0.573	0.622	0.642	õhutransport
airline	0.650	0.482	0.688	lennufirma
airliner	0.667	0.777	0.647	reisilennuk
airlock	0.398	0.520	0.447	õhulukk
airman	0.587	0.716	0.721	lennumees
airplane	0.719	0.702	0.708	lennuk
airport	0.729	0.684	0.682	lennujaam
airs	0.583	0.196	0.370	eetrisse
airship	0.542	0.472	0.529	õhulaev
airspace	0.562	0.510	0.640	õhuruumi
airspeed	0.583	0.780	0.544	õhukiirus
airstrip	0.550	0.690	0.649	lennurada
airtight	0.479	0.381	0.570	õhukindel
airway	0.638	0.585	0.482	hingamisteed
aisle	0.438	0.222	0.283	vahekäiku
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	paokil
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	sarnane
alabaster	0.542	0.404	0.445	alabaster
alarm	0.241	0.882	0.698	äratus
alarm clock	0.542	0.727	0.642	Äratuskell
alarmed	0.188	0.822	0.492	ärevil
alarming	0.204	0.890	0.585	murettekitav
alas	0.571	0.310	0.279	paraku
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatross
albino	0.500	0.240	0.358	albiino
album	0.635	0.349	0.453	album
alchemy	0.541	0.583	0.693	alkeemia
alcohol	0.323	0.667	0.377	alkohol
alcoholic	0.153	0.688	0.361	alkohoolik
alcoholism	0.061	0.779	0.407	alkoholism
alcove	0.490	0.340	0.356	alkoov
alderman	0.550	0.459	0.691	vanem
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	hoiatus
alertness	0.375	0.875	0.750	erksus
alerts	0.337	0.804	0.673	hoiatused
alfalfa	0.546	0.250	0.311	lutsern
algebra	0.440	0.340	0.565	algebra
algebraic	0.531	0.412	0.441	algebraline
algorithm	0.448	0.394	0.559	algoritm
alias	0.541	0.353	0.333	teise nimega
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	tulnukas
alienate	0.247	0.500	0.523	võõrandama
alienated	0.410	0.423	0.559	võõrandunud
alienation	0.378	0.530	0.462	võõrandumine
alight	0.667	0.657	0.605	põlema
align	0.656	0.364	0.627	joondada
aligned	0.583	0.275	0.553	joondatud
alignment	0.643	0.412	0.683	joondus
alike	0.653	0.173	0.444	samasugused
alimentation	0.781	0.551	0.602	toitumine
alimony	0.612	0.477	0.464	elatisraha
aliquot	0.440	0.310	0.404	alikvoot
alive	0.816	0.637	0.731	elus
alkali	0.490	0.350	0.408	leelis
alkaloids	0.433	0.562	0.402	alkaloidid
allay	0.417	0.406	0.398	leevendada
allegation	0.578	0.578	0.608	süüdistus
allege	0.418	0.482	0.587	väita
alleged	0.365	0.522	0.520	väidetavalt
allegiance	0.917	0.398	0.750	truudust
allegorical	0.517	0.558	0.598	allegooriline
allegory	0.615	0.580	0.509	allegooria
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	allergiline
allergy	0.296	0.606	0.389	allergia
alleviate	0.869	0.270	0.528	leevendada
alleviation	0.735	0.200	0.491	leevendamine
alley	0.347	0.500	0.355	allee
alleyway	0.357	0.471	0.382	alleyway
alliance	0.696	0.473	0.769	liit
allied	0.714	0.245	0.642	liitlane
alligator	0.354	0.704	0.645	alligaator
allocate	0.673	0.462	0.672	eraldama
allocation	0.604	0.388	0.679	eraldamine
allot	0.622	0.481	0.616	eraldama
allotment	0.600	0.390	0.640	jaotus
allow	0.698	0.429	0.538	lubama
allowable	0.698	0.500	0.561	lubatud
allowance	0.673	0.382	0.591	toetust
allowed	0.730	0.360	0.655	lubatud
alloy	0.583	0.443	0.593	sulam
allsmiles	0.786	0.528	0.430	kõik naeratused
allure	0.804	0.585	0.686	võlu
alluring	0.837	0.745	0.843	ahvatlev
allusion	0.440	0.308	0.462	vihje
alluvial	0.323	0.490	0.491	loopealsed
ally	0.792	0.320	0.688	liitlane
almanac	0.688	0.190	0.412	almanahh
almighty	0.938	0.874	0.958	kõikvõimas
almond	0.698	0.183	0.314	mandel
aloft	0.771	0.373	0.700	kõrgel
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	üksi
alongside	0.458	0.333	0.347	kõrval
aloof	0.189	0.423	0.302	eemalehoidev
aloud	0.458	0.713	0.750	valjusti
alpha	0.708	0.340	0.755	alfa
alphabet	0.562	0.204	0.672	tähestik
alphabetical	0.537	0.296	0.535	tähestikuline
alpine	0.594	0.337	0.474	alpine
alreadyyyyy	0.592	0.717	0.351	jubayyyy
altar	0.724	0.387	0.635	altar
altar boy	0.434	0.206	0.350	altaripoiss
alter	0.333	0.694	0.654	muuda
alteration	0.167	0.798	0.609	muutmine
altercation	0.170	0.806	0.500	tüli
altered	0.255	0.765	0.500	muudetud
alternate	0.625	0.363	0.589	vaheldumisi
alternating	0.480	0.494	0.542	vahelduv
alternative	0.628	0.373	0.631	alternatiivne
altimeter	0.615	0.510	0.580	kõrgusmõõtur
altitude	0.708	0.482	0.736	kõrgusel
alto	0.656	0.404	0.730	alt
altogether	0.833	0.324	0.644	üldse
aluminum	0.449	0.280	0.434	alumiiniumist
alumnus	0.633	0.368	0.422	vilistlane
alveolar	0.469	0.481	0.367	alveolaarne
alzheimers	0.194	0.518	0.319	alzheimers
amalgam	0.438	0.333	0.510	amalgaam
amalgamation	0.406	0.470	0.531	liitmine
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	koguma
amateur	0.469	0.500	0.409	amatöör
amaze	0.896	0.843	0.783	hämmastama
amazed	0.796	0.779	0.533	hämmastunud
amazedness	0.827	0.872	0.510	hämmastus
amazement	0.750	0.800	0.639	hämmastus
amazing	0.906	0.837	0.849	hämmastav
amazingly	0.918	0.765	0.920	hämmastavalt
ambassador	0.651	0.529	0.917	suursaadik
amber	0.635	0.308	0.369	merevaigukollane
ambience	0.735	0.356	0.426	õhkkond
ambient	0.625	0.360	0.582	ambientne
ambiguity	0.164	0.460	0.370	ebaselgus
ambiguous	0.265	0.462	0.358	mitmetähenduslik
ambit	0.479	0.380	0.386	ambitsioon
ambition	0.510	0.804	0.661	ambitsioon
ambitious	0.484	0.821	0.717	edasipüüdlik
ambivalent	0.510	0.404	0.482	ambivalentne
ambrosia	0.571	0.452	0.480	ambroosia
ambulance	0.500	0.750	0.609	kiirabi
ambush	0.281	0.830	0.500	varitsus
ameliorate	0.770	0.548	0.747	parandama
amen	0.781	0.182	0.542	aamen
amenable	0.448	0.410	0.406	vastutulelik
amend	0.688	0.406	0.658	muuta
amendment	0.531	0.459	0.606	muudatus
amends	0.640	0.366	0.517	muudab
amenity	0.750	0.327	0.574	mugavus
amethyst	0.622	0.406	0.517	ametüst
amiable	0.847	0.290	0.483	sõbralik
amicable	0.875	0.330	0.507	sõbralik
amid	0.510	0.340	0.256	keset
amidst	0.480	0.330	0.316	keset
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	laskemoon
ammonia	0.292	0.587	0.409	ammoniaak
ammonium	0.354	0.396	0.368	ammoonium
ammunition	0.338	0.635	0.667	laskemoon
amnesia	0.296	0.330	0.308	amneesia
amnesty	0.551	0.451	0.814	amnestia
amorous	0.844	0.670	0.636	armunud
amorphous	0.327	0.402	0.349	amorfne
amortization	0.592	0.491	0.522	amortisatsioon
amount	0.562	0.422	0.649	summa
amour	0.865	0.480	0.652	armastus
amp	0.439	0.393	0.375	amp
ampersand	0.480	0.448	0.483	ampersand
amphetamines	0.133	0.667	0.526	amfetamiinid
amphibian	0.427	0.357	0.474	kahepaiksed
amphibious	0.479	0.346	0.445	amfiib
amphitheater	0.653	0.480	0.545	amfiteater
ample	0.744	0.349	0.719	küllaldane
amplification	0.690	0.677	0.810	võimendus
amplify	0.677	0.735	0.827	võimendama
amplitude	0.694	0.439	0.692	amplituud
amply	0.781	0.431	0.766	küllaldaselt
amputate	0.092	0.660	0.509	amputeerida
amputation	0.100	0.755	0.483	amputatsioon
amuck	0.385	0.602	0.321	jama
amulet	0.781	0.260	0.630	amulett
amuse	0.812	0.684	0.664	lõbustama
amused	0.942	0.847	0.596	lõbustas
amusement	0.929	0.837	0.803	lõbustus
amusing	0.960	0.829	0.632	lõbus
ana	0.541	0.300	0.314	ana
anaconda	0.146	0.830	0.540	anakonda
anaesthesia	0.350	0.217	0.473	anesteesia
anaesthetic	0.449	0.268	0.509	anesteetikum
anagram	0.552	0.327	0.449	anagramm
anal	0.333	0.798	0.334	anal
analgesic	0.417	0.321	0.441	valuvaigisti
analogous	0.531	0.270	0.500	analoogne
analogue	0.570	0.320	0.446	analoog
analogy	0.510	0.367	0.509	analoogia
analysis	0.729	0.448	0.705	analüüs
analyst	0.604	0.415	0.755	analüütik
analytic	0.665	0.521	0.634	analüütiline
analytical	0.625	0.324	0.800	analüütiline
analyze	0.667	0.462	0.710	analüüsida
