English Word	Valence	Arousal	Dominance	Xhosa Word
absence	0.153	0.235	0.266	ukungabikho
absent	0.177	0.221	0.116	engekho
absentee	0.235	0.330	0.279	ungekhoyo
absenteeism	0.404	0.273	0.357	ukungabikho emsebenzini
absinthe	0.481	0.510	0.462	absinthe
absolute	0.526	0.510	0.827	ngokupheleleyo
absolution	0.715	0.500	0.664	ukuxolelwa
absolve	0.684	0.449	0.660	khulula
absorb	0.469	0.558	0.670	kufunxa
absorbed	0.490	0.471	0.519	ifunxwe
absorbent	0.552	0.394	0.718	ifunxa
absorbing	0.490	0.490	0.578	ukufunxa
absorption	0.609	0.422	0.446	ukufunxa
abstain	0.385	0.385	0.427	khwebuka
abstention	0.271	0.264	0.509	ukungahoyi
abstinence	0.260	0.392	0.429	ukuziyeka
abstract	0.438	0.292	0.444	abstract
abstraction	0.469	0.439	0.525	ukuthabatha
absurd	0.188	0.656	0.284	akukho ngqiqweni
absurdity	0.115	0.528	0.227	ubudenge
abundance	0.812	0.690	0.852	ubuninzi
abundant	0.958	0.590	0.760	buninzi
abuse	0.071	0.873	0.469	ukuxhatshazwa
abused	0.021	0.874	0.235	ukuxhatshazwa
abusive	0.125	0.903	0.567	xhaphaza
abutment	0.500	0.265	0.616	abutment
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	enyangeni
abyss	0.353	0.725	0.296	enzonzobileni
academic	0.781	0.420	0.812	zemfundo
academy	0.704	0.473	0.792	iakhademi
accede	0.698	0.510	0.537	ukungena
accelerant	0.643	0.844	0.802	isantya
accelerate	0.615	0.902	0.759	khawulezisa
accelerated	0.610	0.812	0.682	isantya
acceleration	0.704	0.905	0.843	ukukhawuleza
accelerator	0.593	0.830	0.812	i-accelerator
accent	0.598	0.357	0.509	isivakalisi
accentuate	0.673	0.556	0.667	gxininisa
accept	0.847	0.286	0.565	yamkela
acceptable	0.812	0.286	0.583	eyamkelekileyo
acceptance	0.833	0.287	0.755	ukwamkelwa
acceptances	0.847	0.413	0.648	ukwamkelwa
access	0.714	0.472	0.567	ukufikelela
accessible	0.796	0.410	0.645	iyafikeleleka
accession	0.612	0.383	0.636	ukungena
accessory	0.562	0.292	0.445	isincedisi
accident	0.125	0.908	0.336	ingozi
accidental	0.319	0.784	0.307	ngengozi
accidentally	0.333	0.741	0.333	ngempazamo
acclaim	0.562	0.809	0.718	ncoma
accolade	0.688	0.591	0.775	ukuncoma
accommodate	0.844	0.375	0.566	ukuhlalisa
accommodation	0.817	0.415	0.587	indawo yokuhlala
accompaniment	0.740	0.479	0.695	ukukhapha
accompany	0.833	0.406	0.585	khapha
accompanying	0.787	0.460	0.582	ndiyakhapha
accomplice	0.408	0.580	0.510	ukuhambisana
accomplish	0.929	0.673	0.816	fezekisa
accomplished	0.870	0.520	0.798	ifezekisiwe
accomplishment	0.917	0.694	0.888	impumelelo
accord	0.898	0.264	0.382	isivumelwano
accordance	0.659	0.349	0.600	ngokuhambelana
accordion	0.604	0.490	0.361	iakhodiyoni
account	0.531	0.347	0.472	iakhawunti
accountability	0.755	0.537	0.833	uxanduva
accountable	0.709	0.282	0.777	unoxanduva
accountant	0.625	0.450	0.639	umgcini zincwadi zemali
accounting	0.552	0.390	0.677	ingxelo
accounts	0.592	0.340	0.471	akhawunti
accredited	0.669	0.479	0.768	zivunyiwe
accretion	0.448	0.519	0.672	ukwanda
accrue	0.520	0.481	0.602	yongezeleka
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	qokelela
accumulation	0.479	0.527	0.600	ukuqokelela
accuracy	0.604	0.481	0.802	ukuchaneka
accurate	0.743	0.360	0.737	ichanekile
accursed	0.135	0.745	0.345	uqalekisiwe
accusation	0.073	0.718	0.564	isityholo
accusative	0.198	0.755	0.482	otyholayo
accuse	0.133	0.752	0.500	tyhola
accused	0.130	0.670	0.420	umtyholwa
accuser	0.122	0.779	0.615	ummangaleli
accusing	0.156	0.745	0.324	etyholayo
accustomed	0.542	0.365	0.441	qhela
ace	0.643	0.481	0.546	ace
acetic	0.333	0.420	0.519	iacetic
acetylene	0.306	0.469	0.509	iacetylene
ache	0.146	0.760	0.312	intlungu
achieve	0.816	0.545	0.843	zuza
achieved	0.896	0.519	0.775	yimpumelelo
achievement	0.896	0.808	0.759	impumelelo
aching	0.053	0.880	0.348	buhlungu
achy	0.167	0.840	0.373	achy
acid	0.265	0.642	0.566	iasidi
acidity	0.156	0.663	0.360	ubumuncu
acknowledge	0.786	0.370	0.661	vuma
acknowledged	0.714	0.443	0.765	yavuma
acknowledgement	0.819	0.539	0.830	ukuvuma
acknowledgment	0.796	0.528	0.777	ukuvuma
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	iqhakuva
acorn	0.448	0.198	0.192	iacorn
acoustic	0.542	0.462	0.536	acoustic
acoustics	0.611	0.330	0.509	acoustics
acquaint	0.646	0.491	0.639	qhelana
acquaintance	0.656	0.290	0.670	ukwazana
acquainted	0.906	0.358	0.632	abaqhelileyo
acquiescence	0.542	0.480	0.554	ukuvuma
acquire	0.833	0.468	0.700	zuza
acquiring	0.735	0.510	0.817	ukufumana
acquisition	0.698	0.509	0.736	ukufumana
acquisitions	0.773	0.660	0.790	ukufunyanwa
acquit	0.583	0.571	0.611	khulula
acquittal	0.760	0.497	0.700	ukukhululwa engenatyala
acre	0.583	0.387	0.423	iacre
acreage	0.741	0.450	0.528	iacreage
acres	0.510	0.363	0.500	iihektare
acrobat	0.708	0.828	0.602	i-acrobat
acrylic	0.582	0.279	0.420	i-acrylic
act	0.656	0.704	0.735	isenzo
acting	0.698	0.643	0.500	ukudlala
action	0.760	0.898	0.802	isenzo
action figure	0.615	0.774	0.611	umfanekiso wesenzo
actionable	0.673	0.702	0.613	yenzeka
activate	0.764	0.650	0.806	vula
activation	0.781	0.800	0.754	ukusebenza
active	0.847	0.730	0.731	esebenzayo
activist	0.531	0.653	0.877	itshantliziyo
activity	0.701	0.660	0.807	umsebenzi
actor	0.653	0.561	0.629	umdlali weqonga
actress	0.633	0.556	0.596	umdlali weqonga
actual	0.729	0.400	0.716	eyona
actuality	0.750	0.464	0.600	ubunyani
actuary	0.510	0.404	0.491	ingcaphephe
acuity	0.469	0.378	0.741	ubukrelekrele
acumen	0.564	0.660	0.679	acumen
acupuncture	0.531	0.324	0.549	iacupuncture
acute	0.427	0.652	0.534	ebukhali
acutely	0.417	0.543	0.491	ngokukhawuleza
ad	0.521	0.705	0.558	intengiso
adage	0.517	0.415	0.566	isaci
adamant	0.344	0.529	0.575	eqinile
adapt	0.740	0.355	0.551	ukuziqhelanisa
adaptable	0.735	0.423	0.641	bhetyebhetye
adaptation	0.663	0.365	0.609	ukuziqhelanisa
add	0.728	0.490	0.554	yongeza
added	0.562	0.405	0.509	yongezwe
addendum	0.392	0.370	0.418	isihlomelo
adder	0.388	0.461	0.588	inyoka
addict	0.075	0.696	0.327	umlutha
addicted	0.156	0.712	0.483	likhoboka
addiction	0.180	0.806	0.420	umlutha
addictive	0.302	0.683	0.472	likhoboka
addition	0.562	0.373	0.471	ukongeza
additional	0.673	0.462	0.526	ezongezelelweyo
additive	0.561	0.633	0.691	ukongeza
address	0.650	0.327	0.567	idilesi
addressee	0.622	0.382	0.538	idilesi
addresses	0.510	0.354	0.450	iidilesi
adept	0.594	0.539	0.789	nobuchule
adequacy	0.615	0.435	0.702	ukwanela
adequate	0.854	0.264	0.705	ngokwaneleyo
adhere	0.633	0.339	0.554	bambelela
adherence	0.760	0.307	0.630	ukubambelela
adherent	0.561	0.385	0.555	ukubambelela
adhering	0.612	0.561	0.537	ukubambelela
adhesion	0.521	0.445	0.586	ukuncamathela
adhesive	0.604	0.350	0.413	ukuncamathelisa
adieu	0.250	0.471	0.342	adieu
adipose	0.333	0.350	0.391	adipose
adjacency	0.365	0.417	0.375	ukusondela
adjacent	0.645	0.276	0.536	kufuphi
adjective	0.570	0.316	0.569	isichazi
adjoining	0.520	0.400	0.393	edibanayo
adjourn	0.385	0.456	0.475	nqumamisa
adjournment	0.438	0.510	0.370	ukumiswa
adjudicate	0.559	0.520	0.683	gweba
adjudication	0.551	0.462	0.691	isigwebo
adjunct	0.459	0.440	0.426	isihlomelo
adjust	0.647	0.327	0.638	lungisa
adjuster	0.510	0.540	0.760	umlungisi
adjustment	0.590	0.520	0.661	uhlengahlengiso
adjuvant	0.510	0.500	0.456	i-adjuvant
admin	0.688	0.420	0.854	admin
administer	0.635	0.425	0.860	lawula
administration	0.625	0.404	0.786	ulawulo
administrative	0.542	0.415	0.579	ulawulo
administrator	0.538	0.480	0.902	umlawuli
admirable	0.929	0.600	0.870	encomekayo
admiral	0.844	0.490	0.847	umphathi-mkhosi
admiralty	0.594	0.547	0.733	i-admiralty
admiration	0.969	0.583	0.726	ukuncoma
admire	0.867	0.692	0.704	ncoma
admired	0.917	0.560	0.815	ncoma
admirer	0.796	0.720	0.650	umthandi
admiring	0.867	0.578	0.629	ukuncoma
admissibility	0.802	0.580	0.602	ukuvunyelwa
admissible	0.780	0.528	0.642	kwamkelekile
admission	0.802	0.415	0.732	ukwamkelwa
admit	0.538	0.423	0.667	vuma
admittance	0.690	0.451	0.598	ukwamkelwa
admitted	0.720	0.490	0.767	yavuma
admitting	0.620	0.500	0.546	ukuvuma
admixture	0.450	0.375	0.438	umxube
admonition	0.357	0.606	0.455	isiyalo
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	iadobe
adolescence	0.487	0.694	0.444	ukufikisa
adolescent	0.781	0.680	0.509	ofikisayo
adopt	0.694	0.612	0.701	ukwamkela
adoption	0.625	0.566	0.589	ukwamkelwa
adoptive	0.531	0.469	0.520	ukwamkela
adorable	0.969	0.519	0.457	iyathandeka
adoration	0.885	0.699	0.708	ukunqula
adore	0.854	0.438	0.657	nqula
adoring	0.885	0.620	0.717	ukunqula
adorn	0.910	0.424	0.482	ukuhombisa
adornment	0.918	0.373	0.377	isihombiso
adrenalin	0.865	0.920	0.786	iadrenalin
adrenaline	0.765	0.965	0.825	iadrenaline
adrift	0.398	0.486	0.230	adrift
adult	0.815	0.491	0.787	umntu omdala
adulterated	0.188	0.865	0.370	ikrexezile
adulterer	0.229	0.814	0.407	umkrexezi
adultery	0.120	0.922	0.510	ukukrexeza
adulthood	0.541	0.454	0.652	ukuba mdala
advance	0.673	0.472	0.858	phambili
advanced	0.844	0.623	0.797	phambili
advancement	0.776	0.650	0.839	ukuqhubela phambili
advancing	0.929	0.608	0.812	ukuqhubela phambili
advantage	0.917	0.548	0.859	inzuzo
advantageous	0.837	0.640	0.789	luncedo
advent	0.665	0.560	0.627	ukufika
adventure	0.917	0.857	0.710	adventure
adventurer	0.781	0.839	0.868	umntu onomdla
adventures	0.812	0.764	0.749	amaphupha
adventurous	0.969	0.898	0.722	nomdla
adversary	0.349	0.777	0.457	umchasi
adverse	0.323	0.610	0.385	embi
adversity	0.276	0.760	0.538	ubunzima
advertise	0.500	0.529	0.580	bhengeza
advertisement	0.600	0.566	0.539	isibhengezo
advertising	0.622	0.608	0.632	intengiso
adverts	0.551	0.500	0.595	iintengiso
advice	0.698	0.408	0.688	iingcebiso
advisable	0.867	0.480	0.510	kucetyiswa
advise	0.760	0.393	0.705	cebisa
advised	0.823	0.330	0.509	kucetyiswa
advisement	0.698	0.235	0.655	ingcebiso
adviser	0.745	0.362	0.705	umcebisi
advisor	0.646	0.350	0.689	umcebisi
advisory	0.656	0.429	0.633	ingcebiso
advocacy	0.500	0.646	0.731	ukuthethelela
advocate	0.551	0.530	0.818	thethelela
aegis	0.490	0.439	0.462	aegis
aeration	0.550	0.500	0.433	ukungenisa umoya
aerial	0.615	0.461	0.463	emoyeni
aerobics	0.708	0.771	0.627	i-aerobics
aerodrome	0.541	0.740	0.678	indawo yeenqwelomoya
aerodynamic	0.561	0.724	0.728	Aerodynamic
aerodynamics	0.590	0.663	0.722	iaerodynamics
aeronautics	0.551	0.633	0.688	i-aeronautics
aeroplane	0.714	0.642	0.644	inqwelomoya
aerospace	0.643	0.520	0.779	i-aerospace
aesthetic	0.708	0.442	0.526	ubuhle
aesthetics	0.847	0.327	0.549	ubuhle
aetiology	0.480	0.398	0.615	i-etiology
afar	0.396	0.373	0.358	kude
affable	0.704	0.380	0.452	nobubele
affair	0.520	0.459	0.657	umcimbi
affect	0.458	0.569	0.578	ichaphazela
affecting	0.350	0.574	0.394	echaphazelayo
affection	0.898	0.559	0.696	uthando
affectionate	0.949	0.422	0.550	ngothando
affections	0.760	0.547	0.655	uthando
affiche	0.479	0.265	0.402	i-affiche
affidavit	0.469	0.584	0.526	ingxelo efungelweyo
affiliated	0.673	0.519	0.535	edibeneyo
affiliation	0.615	0.594	0.500	umanyano
affinity	0.800	0.500	0.537	ubudlelwane
affirm	0.745	0.509	0.731	qinisekisa
affirmation	0.750	0.500	0.689	isiqinisekiso
affirmative	0.854	0.589	0.816	i-affirmative
affirmatively	0.908	0.500	0.811	ngokuqinisekileyo
affix	0.438	0.335	0.411	ncamathela
afflict	0.302	0.555	0.293	xhwalekisa
afflicted	0.271	0.500	0.167	uxhwalekile
affliction	0.294	0.635	0.392	inkxwaleko
affluence	0.663	0.618	0.722	ubutyebi
affluent	0.756	0.388	0.477	abazizityebi
afford	0.571	0.580	0.575	ukuhlawulela
affordable	0.840	0.398	0.493	iyafikeleleka
affront	0.327	0.740	0.547	ukucaphukisa
affronted	0.385	0.750	0.527	ukucaphuka
afield	0.594	0.370	0.373	ngaphandle
afire	0.367	0.904	0.675	ngomlilo
afloat	0.602	0.427	0.444	ukudada
afore	0.500	0.337	0.382	ngaphambili
aforementioned	0.490	0.316	0.408	ekhankanywe ngasentla
aforesaid	0.531	0.358	0.478	sele kukhankanyiwe
afraid	0.010	0.775	0.245	yoyika
afresh	0.643	0.521	0.480	ngokutsha
aft	0.480	0.417	0.518	emva
afterlife	0.571	0.567	0.568	emva kokufa
aftermath	0.312	0.449	0.444	emva koko
afternoon	0.533	0.388	0.339	njakalanga
aftershave	0.406	0.384	0.415	emva kokucheba
aftertaste	0.354	0.362	0.455	emva kwencasa
afterthought	0.396	0.392	0.349	emva kokucinga
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	iagate
age	0.561	0.226	0.498	ubudala
aged	0.135	0.365	0.236	ubudala
agency	0.460	0.296	0.583	arhente
agenda	0.531	0.296	0.553	ajenda
agent	0.480	0.439	0.755	iarhente
agglomeration	0.450	0.765	0.509	iagglomeration
aggravate	0.224	0.770	0.464	yenza mandundu
aggravated	0.079	0.760	0.430	yenziwe mandundu
aggravates	0.108	0.778	0.357	yenza mandundu
aggravating	0.257	0.794	0.640	ezenza mandundu
aggravation	0.071	0.784	0.613	ukuxhwaleka
aggregate	0.730	0.378	0.556	i-aggregate
aggregation	0.583	0.517	0.694	ukudibanisa
aggresive	0.059	0.971	0.639	ndlongondlongo
aggression	0.094	0.929	0.533	ubundlongondlongo
aggressive	0.125	0.949	0.648	ndlongondlongo
aggressively	0.250	0.926	0.688	ngobundlongondlongo
aggressiveness	0.077	0.913	0.648	ubundlongondlongo
aggressor	0.146	0.948	0.823	umhlaseli
agh	0.260	0.500	0.400	hayi
aghast	0.133	0.865	0.464	lusizi
aghhh	0.281	0.635	0.243	yho
agile	0.800	0.657	0.775	ukhawuleza
agility	0.720	0.702	0.815	ubuchule
aging	0.214	0.255	0.284	ukwaluphala
agitate	0.300	0.796	0.593	phazamisa
agitated	0.444	0.882	0.491	phazamisekile
agitation	0.240	0.931	0.447	ukuphazamiseka
aglow	0.780	0.510	0.797	vutha
agnostic	0.306	0.396	0.574	agnostic
ago	0.317	0.280	0.404	eyadlulayo
agonizing	0.083	0.800	0.340	ebuhlungu
agony	0.083	0.775	0.393	intlungu
agoraphobia	0.127	0.712	0.438	i-agoraphobia
agree	0.906	0.260	0.545	ndivume
agreeable	0.906	0.500	0.696	evumayo
agreed	0.797	0.449	0.574	wavuma
agreeing	0.854	0.480	0.557	evumayo
agreement	0.760	0.440	0.736	isivumelwano
agressive	0.083	0.918	0.751	ndlongondlongo
agricultural	0.686	0.321	0.473	ezolimo
agriculture	0.640	0.357	0.465	ezolimo
aground	0.333	0.340	0.445	aground
agua	0.598	0.180	0.436	iagua
ahead	0.708	0.520	0.673	phambili
ahhh	0.562	0.517	0.241	ahh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhhh
ahoy	0.500	0.497	0.380	hayi
aid	0.796	0.491	0.541	uncedo
aide	0.724	0.342	0.434	umncedisi
aiding	0.643	0.533	0.569	ukunceda
aids	0.561	0.480	0.500	uncedo
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	egulayo
ailment	0.146	0.734	0.277	isigulo
aim	0.481	0.569	0.567	injongo
aimless	0.150	0.267	0.183	engenanjongo
air	0.708	0.163	0.427	umoya
airbag	0.510	0.402	0.433	ingxowa yomoya
airborne	0.542	0.519	0.385	emoyeni
aircraft	0.646	0.644	0.691	inqwelomoya
aircraft carrier	0.490	0.740	0.727	umthwali wenqwelomoya
airfield	0.601	0.650	0.645	ibala leenqwelomoya
airhead	0.271	0.481	0.276	intloko yomoya
airlift	0.573	0.622	0.642	inqwelo moya
airline	0.650	0.482	0.688	inqwelomoya
airliner	0.667	0.777	0.647	inqwelomoya
airlock	0.398	0.520	0.447	i-airlock
airman	0.587	0.716	0.721	umntu womoya
airplane	0.719	0.702	0.708	inqwelomoya
airport	0.729	0.684	0.682	kwisikhululo seenqwelomoya
airs	0.583	0.196	0.370	emoyeni
airship	0.542	0.472	0.529	inqwelomoya
airspace	0.562	0.510	0.640	indawo yomoya
airspeed	0.583	0.780	0.544	isantya somoya
airstrip	0.550	0.690	0.649	ibala leenqwelomoya
airtight	0.479	0.381	0.570	kungangeni moya
airway	0.638	0.585	0.482	indlela yomoya
aisle	0.438	0.222	0.283	ilayini
ait	0.385	0.390	0.402	hayi
ajar	0.460	0.413	0.446	ajar
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	i-Akin
alabaster	0.542	0.404	0.445	ialabhasta
alarm	0.241	0.882	0.698	ialam
alarm clock	0.542	0.727	0.642	iwoshi ye-alamu
alarmed	0.188	0.822	0.492	wothukile
alarming	0.204	0.890	0.585	eyothusayo
alas	0.571	0.310	0.279	maye
alb	0.521	0.380	0.427	ialb
albatross	0.500	0.445	0.527	ialbatross
albino	0.500	0.240	0.358	ialbhino
album	0.635	0.349	0.453	icwecwe
alchemy	0.541	0.583	0.693	ialchemy
alcohol	0.323	0.667	0.377	utywala
alcoholic	0.153	0.688	0.361	linxila
alcoholism	0.061	0.779	0.407	ubunxila
alcove	0.490	0.340	0.356	ialcove
alderman	0.550	0.459	0.691	ialderman
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	isilumkiso
alertness	0.375	0.875	0.750	ukuphaphama
alerts	0.337	0.804	0.673	izilumkiso
alfalfa	0.546	0.250	0.311	ialfalfa
algebra	0.440	0.340	0.565	ialgebra
algebraic	0.531	0.412	0.441	ialgebraic
algorithm	0.448	0.394	0.559	ialgorithm
alias	0.541	0.353	0.333	ilias
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	wasemzini
alienate	0.247	0.500	0.523	ahlukanise
alienated	0.410	0.423	0.559	ahlukanisiwe
alienation	0.378	0.530	0.462	ukwahlukana
alight	0.667	0.657	0.605	kukhanya
align	0.656	0.364	0.627	lungelelanisa
aligned	0.583	0.275	0.553	ilungelelanisiwe
alignment	0.643	0.412	0.683	ulungelelwaniso
alike	0.653	0.173	0.444	ngokufanayo
alimentation	0.781	0.551	0.602	ukutya
alimony	0.612	0.477	0.464	isondlo
aliquot	0.440	0.310	0.404	aliquot
alive	0.816	0.637	0.731	ephila
alkali	0.490	0.350	0.408	ialkali
alkaloids	0.433	0.562	0.402	iialkaloids
allay	0.417	0.406	0.398	phelisa
allegation	0.578	0.578	0.608	isityholo
allege	0.418	0.482	0.587	mangalela
alleged	0.365	0.522	0.520	kutyholwa
allegiance	0.917	0.398	0.750	intembeko
allegorical	0.517	0.558	0.598	iyazekelisa
allegory	0.615	0.580	0.509	isikweko
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	ukwalana
allergy	0.296	0.606	0.389	ukwaliwa
alleviate	0.869	0.270	0.528	nciphisa
alleviation	0.735	0.200	0.491	ukunciphisa
alley	0.347	0.500	0.355	indlela
alleyway	0.357	0.471	0.382	indlela yokuhamba
alliance	0.696	0.473	0.769	umanyano
allied	0.714	0.245	0.642	amahlakani
alligator	0.354	0.704	0.645	ingwenya
allocate	0.673	0.462	0.672	abele
allocation	0.604	0.388	0.679	ulwabiwo
allot	0.622	0.481	0.616	isabelo
allotment	0.600	0.390	0.640	ulwabiwo
allow	0.698	0.429	0.538	vumela
allowable	0.698	0.500	0.561	kuvumelekile
allowance	0.673	0.382	0.591	isibonelelo
allowed	0.730	0.360	0.655	kuvunyelwe
alloy	0.583	0.443	0.593	ingxubevange
allsmiles	0.786	0.528	0.430	uncumo
allure	0.804	0.585	0.686	umtsalane
alluring	0.837	0.745	0.843	enomtsalane
allusion	0.440	0.308	0.462	isilawuli
alluvial	0.323	0.490	0.491	alluvial
ally	0.792	0.320	0.688	umncedisi
almanac	0.688	0.190	0.412	ialmanac
almighty	0.938	0.874	0.958	usomandla
almond	0.698	0.183	0.314	iiamangile
aloft	0.771	0.373	0.700	phezulu
aloha	0.698	0.440	0.441	uloha
alone	0.333	0.167	0.216	yedwa
alongside	0.458	0.333	0.347	ecaleni
aloof	0.189	0.423	0.302	kude
aloud	0.458	0.713	0.750	ngokuvakalayo
alpha	0.708	0.340	0.755	alpha
alphabet	0.562	0.204	0.672	ialfabhethi
alphabetical	0.537	0.296	0.535	ngokwealfabhethi
alpine	0.594	0.337	0.474	ialpine
alreadyyyyy	0.592	0.717	0.351	kakadeyyyy
altar	0.724	0.387	0.635	isibingelelo
altar boy	0.434	0.206	0.350	inkwenkwe yesibingelelo
alter	0.333	0.694	0.654	guqula
alteration	0.167	0.798	0.609	ukuguqulwa
altercation	0.170	0.806	0.500	ingxabano
altered	0.255	0.765	0.500	itshintshiwe
alternate	0.625	0.363	0.589	enye
alternating	0.480	0.494	0.542	iyatshintshana
alternative	0.628	0.373	0.631	enye indlela
altimeter	0.615	0.510	0.580	ialtimeter
altitude	0.708	0.482	0.736	ukuphakama
alto	0.656	0.404	0.730	alto
altogether	0.833	0.324	0.644	ngokupheleleyo
aluminum	0.449	0.280	0.434	aluminiyam
alumnus	0.633	0.368	0.422	alumnus
alveolar	0.469	0.481	0.367	i-alveolar
alzheimers	0.194	0.518	0.319	i-alzheimers
amalgam	0.438	0.333	0.510	ukudibanisa
amalgamation	0.406	0.470	0.531	ukudibanisa
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	qokelela
amateur	0.469	0.500	0.409	umntu ongenamdla
amaze	0.896	0.843	0.783	mangalisa
amazed	0.796	0.779	0.533	mangaliswe
amazedness	0.827	0.872	0.510	ukumangaliswa
amazement	0.750	0.800	0.639	ukumangaliswa
amazing	0.906	0.837	0.849	emangalisayo
amazingly	0.918	0.765	0.920	ngokumangalisayo
ambassador	0.651	0.529	0.917	unozakuzaku
amber	0.635	0.308	0.369	i-amber
ambience	0.735	0.356	0.426	ubume
ambient	0.625	0.360	0.582	ambient
ambiguity	0.164	0.460	0.370	ukungaqondakali kakuhle
ambiguous	0.265	0.462	0.358	ngaqondakali
ambit	0.479	0.380	0.386	ambit
ambition	0.510	0.804	0.661	amabhongo
ambitious	0.484	0.821	0.717	namabhongo
ambivalent	0.510	0.404	0.482	ambivalent
ambrosia	0.571	0.452	0.480	ambrosia
ambulance	0.500	0.750	0.609	inqwelo yezigulana
ambush	0.281	0.830	0.500	lalela
ameliorate	0.770	0.548	0.747	phucula
amen	0.781	0.182	0.542	amen
amenable	0.448	0.410	0.406	iyamkeleka
amend	0.688	0.406	0.658	lungisa
amendment	0.531	0.459	0.606	isilungiso
amends	0.640	0.366	0.517	iyalungisa
amenity	0.750	0.327	0.574	uncedo
amethyst	0.622	0.406	0.517	iamethiste
amiable	0.847	0.290	0.483	nobubele
amicable	0.875	0.330	0.507	ngoxolo
amid	0.510	0.340	0.256	phakathi
amidst	0.480	0.330	0.316	phakathi
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	imbumbulu
ammonia	0.292	0.587	0.409	ammonia
ammonium	0.354	0.396	0.368	ammonium
ammunition	0.338	0.635	0.667	iimbumbulu
amnesia	0.296	0.330	0.308	amnesia
amnesty	0.551	0.451	0.814	uxolelo
amorous	0.844	0.670	0.636	ngothando
amorphous	0.327	0.402	0.349	iamorphous
amortization	0.592	0.491	0.522	i-amortization
amount	0.562	0.422	0.649	isixa
amour	0.865	0.480	0.652	uthando
amp	0.439	0.393	0.375	amp
ampersand	0.480	0.448	0.483	iampersand
amphetamines	0.133	0.667	0.526	iiamphetamines
amphibian	0.427	0.357	0.474	izilwanyana ezihlala emanzini
amphibious	0.479	0.346	0.445	amphibious
