English Word	Valence	Arousal	Dominance	Mongolian Word
adherent	0.561	0.385	0.555	дагагч
adhering	0.612	0.561	0.537	наалдсан
adhesion	0.521	0.445	0.586	наалдац
adhesive	0.604	0.350	0.413	цавуу
adieu	0.250	0.471	0.342	сайхан байна
adipose	0.333	0.350	0.391	өөх тос
adjacency	0.365	0.417	0.375	зэргэлдээ байдал
adjacent	0.645	0.276	0.536	зэргэлдээ
adjective	0.570	0.316	0.569	нэр үг
adjoining	0.520	0.400	0.393	зэргэлдээ
adjourn	0.385	0.456	0.475	завсарлах
adjournment	0.438	0.510	0.370	завсарлага
adjudicate	0.559	0.520	0.683	шүүх
adjudication	0.551	0.462	0.691	шүүлт
adjunct	0.459	0.440	0.426	нэмэлт
adjust	0.647	0.327	0.638	тохируулах
adjuster	0.510	0.540	0.760	тохируулагч
adjustment	0.590	0.520	0.661	тохируулга
adjuvant	0.510	0.500	0.456	туслах
admin	0.688	0.420	0.854	админ
administer	0.635	0.425	0.860	удирдах
administration	0.625	0.404	0.786	захиргаа
administrative	0.542	0.415	0.579	захиргааны
administrator	0.538	0.480	0.902	администратор
admirable	0.929	0.600	0.870	биширмээр
admiral	0.844	0.490	0.847	адмирал
admiralty	0.594	0.547	0.733	адмиралт
admiration	0.969	0.583	0.726	гайхал
admire	0.867	0.692	0.704	биширдэг
admired	0.917	0.560	0.815	биширсэн
admirer	0.796	0.720	0.650	шүтэн бишрэгч
admiring	0.867	0.578	0.629	биширдэг
admissibility	0.802	0.580	0.602	хүлээн зөвшөөрөх байдал
admissible	0.780	0.528	0.642	зөвшөөрөгдөх
admission	0.802	0.415	0.732	элсэлт
admit	0.538	0.423	0.667	хүлээн зөвшөөрөх
admittance	0.690	0.451	0.598	элсэлт
admitted	0.720	0.490	0.767	хүлээн зөвшөөрсөн
admitting	0.620	0.500	0.546	хүлээн зөвшөөрч байна
admixture	0.450	0.375	0.438	хольц
admonition	0.357	0.606	0.455	сануулга
ado	0.520	0.423	0.385	ад
adobe	0.500	0.319	0.328	Adobe
adolescence	0.487	0.694	0.444	өсвөр нас
adolescent	0.781	0.680	0.509	өсвөр насныхан
adopt	0.694	0.612	0.701	үрчлэх
adoption	0.625	0.566	0.589	үрчлэлт
adoptive	0.531	0.469	0.520	үрчлэгч
adorable	0.969	0.519	0.457	өхөөрдөм
adoration	0.885	0.699	0.708	шүтэн бишрэх
adore	0.854	0.438	0.657	биширдэг
adoring	0.885	0.620	0.717	биширдэг
adorn	0.910	0.424	0.482	чимэх
adornment	0.918	0.373	0.377	гоёл чимэглэл
adrenalin	0.865	0.920	0.786	адреналин
adrenaline	0.765	0.965	0.825	адреналин
adrift	0.398	0.486	0.230	зөрөх
adult	0.815	0.491	0.787	насанд хүрсэн
adulterated	0.188	0.865	0.370	хуурамчаар үйлдсэн
adulterer	0.229	0.814	0.407	завхайрагч
adultery	0.120	0.922	0.510	завхайрал
adulthood	0.541	0.454	0.652	насанд хүрсэн
advance	0.673	0.472	0.858	урьдчилгаа
advanced	0.844	0.623	0.797	дэвшилтэт
advancement	0.776	0.650	0.839	дэвшил
advancing	0.929	0.608	0.812	урагшилж байна
advantage	0.917	0.548	0.859	давуу тал
advantageous	0.837	0.640	0.789	давуу талтай
advent	0.665	0.560	0.627	ирэлт
adventure	0.917	0.857	0.710	адал явдал
adventurer	0.781	0.839	0.868	адал явдалт хүн
adventures	0.812	0.764	0.749	адал явдал
adventurous	0.969	0.898	0.722	адал явдалт
adversary	0.349	0.777	0.457	дайсан
adverse	0.323	0.610	0.385	сөрөг
adversity	0.276	0.760	0.538	гай зовлон
advertise	0.500	0.529	0.580	сурталчлах
advertisement	0.600	0.566	0.539	сурталчилгаа
advertising	0.622	0.608	0.632	зар сурталчилгаа
adverts	0.551	0.500	0.595	сурталчилгаа
advice	0.698	0.408	0.688	зөвлөгөө
advisable	0.867	0.480	0.510	зөвлөж байна
advise	0.760	0.393	0.705	зөвлөгөө өгөх
advised	0.823	0.330	0.509	зөвлөсөн
advisement	0.698	0.235	0.655	зөвлөгөө
adviser	0.745	0.362	0.705	зөвлөх
advisor	0.646	0.350	0.689	зөвлөх
advisory	0.656	0.429	0.633	зөвлөгөө өгөх
advocacy	0.500	0.646	0.731	сурталчилгаа
advocate	0.551	0.530	0.818	өмгөөлөгч
aegis	0.490	0.439	0.462	aegis
aeration	0.550	0.500	0.433	агааржуулалт
aerial	0.615	0.461	0.463	агаарын
aerobics	0.708	0.771	0.627	аэробик
aerodrome	0.541	0.740	0.678	аэродром
aerodynamic	0.561	0.724	0.728	аэродинамик
aerodynamics	0.590	0.663	0.722	аэродинамик
aeronautics	0.551	0.633	0.688	нисэх онгоц
aeroplane	0.714	0.642	0.644	онгоц
aerospace	0.643	0.520	0.779	сансар огторгуй
aesthetic	0.708	0.442	0.526	гоо зүйн
aesthetics	0.847	0.327	0.549	гоо зүй
aetiology	0.480	0.398	0.615	этиологи
afar	0.396	0.373	0.358	хол
affable	0.704	0.380	0.452	эелдэг
affair	0.520	0.459	0.657	хэрэг
affect	0.458	0.569	0.578	нөлөөлөх
affecting	0.350	0.574	0.394	нөлөөлж байна
affection	0.898	0.559	0.696	хайр сэтгэл
affectionate	0.949	0.422	0.550	энхрий
affections	0.760	0.547	0.655	хайр сэтгэл
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	мэдүүлэг
affiliated	0.673	0.519	0.535	холбоотой
affiliation	0.615	0.594	0.500	харьяалал
affinity	0.800	0.500	0.537	ойр дотно байдал
affirm	0.745	0.509	0.731	батлах
affirmation	0.750	0.500	0.689	батлах
affirmative	0.854	0.589	0.816	эерэг
affirmatively	0.908	0.500	0.811	баталж байна
affix	0.438	0.335	0.411	хавсралт
afflict	0.302	0.555	0.293	зовоох
afflicted	0.271	0.500	0.167	зовсон
affliction	0.294	0.635	0.392	зовлон зүдгүүр
affluence	0.663	0.618	0.722	эд баялаг
affluent	0.756	0.388	0.477	чинээлэг
afford	0.571	0.580	0.575	төлнө
affordable	0.840	0.398	0.493	боломжийн
affront	0.327	0.740	0.547	доромжлох
affronted	0.385	0.750	0.527	доромжлуулсан
afield	0.594	0.370	0.373	хол
afire	0.367	0.904	0.675	гал
afloat	0.602	0.427	0.444	хөвөх
afore	0.500	0.337	0.382	өмнө
aforementioned	0.490	0.316	0.408	Дээр дурдсан
aforesaid	0.531	0.358	0.478	дээр дурдсан
afraid	0.010	0.775	0.245	айж байна
afresh	0.643	0.521	0.480	дахин
aft	0.480	0.417	0.518	арын
afterlife	0.571	0.567	0.568	хойд нас
aftermath	0.312	0.449	0.444	дараа
afternoon	0.533	0.388	0.339	үдээс хойш
aftershave	0.406	0.384	0.415	сахлын дараах
aftertaste	0.354	0.362	0.455	амтын дараах
afterthought	0.396	0.392	0.349	дараа нь бодсон
aga	0.542	0.327	0.398	ах
agape	0.612	0.529	0.464	Агапе
agate	0.540	0.377	0.483	оникс
age	0.561	0.226	0.498	нас
aged	0.135	0.365	0.236	хөгшин
agency	0.460	0.296	0.583	агентлаг
agenda	0.531	0.296	0.553	хэлэлцэх асуудал
agent	0.480	0.439	0.755	агент
agglomeration	0.450	0.765	0.509	бөөгнөрөл
aggravate	0.224	0.770	0.464	хүндрүүлэх
aggravated	0.079	0.760	0.430	хүндрүүлсэн
aggravates	0.108	0.778	0.357	хүндрүүлдэг
aggravating	0.257	0.794	0.640	хүндрүүлэх
aggravation	0.071	0.784	0.613	хүндрүүлэх
aggregate	0.730	0.378	0.556	нэгтгэх
aggregation	0.583	0.517	0.694	нэгтгэх
aggresive	0.059	0.971	0.639	түрэмгий
aggression	0.094	0.929	0.533	түрэмгийлэл
aggressive	0.125	0.949	0.648	түрэмгий
aggressively	0.250	0.926	0.688	түрэмгий байдлаар
aggressiveness	0.077	0.913	0.648	түрэмгий байдал
aggressor	0.146	0.948	0.823	түрэмгийлэгч
agh	0.260	0.500	0.400	өө
aghast	0.133	0.865	0.464	айсан
aghhh	0.281	0.635	0.243	аххх
agile	0.800	0.657	0.775	уян хатан
agility	0.720	0.702	0.815	авхаалж самбаа
aging	0.214	0.255	0.284	хөгшрөлт
agitate	0.300	0.796	0.593	ухуулах
agitated	0.444	0.882	0.491	сэтгэл хөдөлсөн
agitation	0.240	0.931	0.447	үймээн самуун
aglow	0.780	0.510	0.797	гэрэлтэх
agnostic	0.306	0.396	0.574	агностик
ago	0.317	0.280	0.404	өмнө
agonizing	0.083	0.800	0.340	зовлонтой
agony	0.083	0.775	0.393	зовлон шаналал
agoraphobia	0.127	0.712	0.438	агорафоби
agree	0.906	0.260	0.545	зөвшөөрч байна
agreeable	0.906	0.500	0.696	тааламжтай
agreed	0.797	0.449	0.574	зөвшөөрсөн
agreeing	0.854	0.480	0.557	зөвшөөрч байна
agreement	0.760	0.440	0.736	тохиролцоо
agressive	0.083	0.918	0.751	түрэмгий
agricultural	0.686	0.321	0.473	хөдөө аж ахуйн
agriculture	0.640	0.357	0.465	хөдөө аж ахуй
aground	0.333	0.340	0.445	газар шороо
agua	0.598	0.180	0.436	агуа
ahead	0.708	0.520	0.673	урагшаа
ahhh	0.562	0.517	0.241	ааа
ahhhhhhhh	0.552	0.649	0.288	ахххххх
ahoy	0.500	0.497	0.380	хөөе
aid	0.796	0.491	0.541	тусламж
aide	0.724	0.342	0.434	туслах
aiding	0.643	0.533	0.569	туслах
aids	0.561	0.480	0.500	тусламж
ail	0.375	0.434	0.385	айл
ailing	0.094	0.518	0.153	өвчтэй
ailment	0.146	0.734	0.277	өвчин
aim	0.481	0.569	0.567	зорилго
aimless	0.150	0.267	0.183	зорилгогүй
air	0.708	0.163	0.427	агаар
airbag	0.510	0.402	0.433	агаарын дэр
airborne	0.542	0.519	0.385	агаарт
aircraft	0.646	0.644	0.691	нисэх онгоц
aircraft carrier	0.490	0.740	0.727	нисэх онгоц тээгч
airfield	0.601	0.650	0.645	нисэх онгоцны буудал
airhead	0.271	0.481	0.276	агаарын толгой
airlift	0.573	0.622	0.642	агаарын тээвэрлэлт
airline	0.650	0.482	0.688	агаарын тээврийн компани
airliner	0.667	0.777	0.647	нисэх онгоц
airlock	0.398	0.520	0.447	агаарын түгжээ
airman	0.587	0.716	0.721	агаарын хүн
airplane	0.719	0.702	0.708	онгоц
airport	0.729	0.684	0.682	нисэх онгоцны буудал
airs	0.583	0.196	0.370	агаарт
airship	0.542	0.472	0.529	агаарын хөлөг
airspace	0.562	0.510	0.640	агаарын орон зай
airspeed	0.583	0.780	0.544	агаарын хурд
airstrip	0.550	0.690	0.649	нисэх зурвас
airtight	0.479	0.381	0.570	агаар нэвтрэхгүй
airway	0.638	0.585	0.482	амьсгалын зам
aisle	0.438	0.222	0.283	коридор
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	завсарлага
aka	0.459	0.358	0.351	ака
akin	0.639	0.343	0.523	адил
alabaster	0.542	0.404	0.445	алебастр
alarm	0.241	0.882	0.698	дохиолол
alarm clock	0.542	0.727	0.642	сэрүүлэгтэй цаг
alarmed	0.188	0.822	0.492	сандарсан
alarming	0.204	0.890	0.585	түгшүүртэй
alas	0.571	0.310	0.279	харамсалтай
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	альбатрос
albino	0.500	0.240	0.358	альбино
album	0.635	0.349	0.453	цомог
alchemy	0.541	0.583	0.693	алхими
alcohol	0.323	0.667	0.377	согтууруулах ундаа
alcoholic	0.153	0.688	0.361	архичин
alcoholism	0.061	0.779	0.407	архидалт
alcove	0.490	0.340	0.356	хонгил
alderman	0.550	0.459	0.691	ахлагч
ale	0.530	0.450	0.358	але
alert	0.479	0.820	0.648	сэрэмжлүүлэг
alertness	0.375	0.875	0.750	сонор сэрэмж
alerts	0.337	0.804	0.673	сэрэмжлүүлэг
alfalfa	0.546	0.250	0.311	царгас
algebra	0.440	0.340	0.565	алгебр
algebraic	0.531	0.412	0.441	алгебрийн
algorithm	0.448	0.394	0.559	алгоритм
alias	0.541	0.353	0.333	бусад нэр
alibi	0.396	0.528	0.556	алиби
alien	0.410	0.615	0.491	харийн
alienate	0.247	0.500	0.523	холдуулах
alienated	0.410	0.423	0.559	хөндийрүүлсэн
alienation	0.378	0.530	0.462	харийнхан
alight	0.667	0.657	0.605	асах
align	0.656	0.364	0.627	тэгшлэх
aligned	0.583	0.275	0.553	зэрэгцүүлсэн
alignment	0.643	0.412	0.683	тэгшитгэх
alike	0.653	0.173	0.444	адилхан
alimentation	0.781	0.551	0.602	хоол тэжээл
alimony	0.612	0.477	0.464	тэтгэлэг
aliquot	0.440	0.310	0.404	хэсэг
alive	0.816	0.637	0.731	амьд
alkali	0.490	0.350	0.408	шүлт
alkaloids	0.433	0.562	0.402	алкалоидууд
allay	0.417	0.406	0.398	тайвшруулах
allegation	0.578	0.578	0.608	гомдол
allege	0.418	0.482	0.587	буруутгах
alleged	0.365	0.522	0.520	гэж таамаглаж байна
allegiance	0.917	0.398	0.750	үнэнч
allegorical	0.517	0.558	0.598	зүйрлэл
allegory	0.615	0.580	0.509	зүйрлэл
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	харшилтай
allergy	0.296	0.606	0.389	харшил
alleviate	0.869	0.270	0.528	хөнгөвчлөх
alleviation	0.735	0.200	0.491	хөнгөвчлөх
alley	0.347	0.500	0.355	гудамж
alleyway	0.357	0.471	0.382	гудам
alliance	0.696	0.473	0.769	холбоо
allied	0.714	0.245	0.642	холбоотон
alligator	0.354	0.704	0.645	матар
allocate	0.673	0.462	0.672	хуваарилах
allocation	0.604	0.388	0.679	хуваарилалт
allot	0.622	0.481	0.616	хуваарилах
allotment	0.600	0.390	0.640	хуваарилалт
allow	0.698	0.429	0.538	зөвшөөрөх
allowable	0.698	0.500	0.561	зөвшөөрөгдөх боломжтой
allowance	0.673	0.382	0.591	тэтгэмж
allowed	0.730	0.360	0.655	зөвшөөрсөн
alloy	0.583	0.443	0.593	хайлш
allsmiles	0.786	0.528	0.430	бүгд инээмсэглэв
allure	0.804	0.585	0.686	сэтгэл татам
alluring	0.837	0.745	0.843	сэтгэл татам
allusion	0.440	0.308	0.462	зүйрлэл
alluvial	0.323	0.490	0.491	шороон
ally	0.792	0.320	0.688	холбоотон
almanac	0.688	0.190	0.412	альманах
almighty	0.938	0.874	0.958	бүхнийг чадагч
almond	0.698	0.183	0.314	бүйлс
aloft	0.771	0.373	0.700	дээш
aloha	0.698	0.440	0.441	сайн уу
alone	0.333	0.167	0.216	ганцаараа
alongside	0.458	0.333	0.347	хажууд
aloof	0.189	0.423	0.302	хол
aloud	0.458	0.713	0.750	чангаар
alpha	0.708	0.340	0.755	альфа
alphabet	0.562	0.204	0.672	цагаан толгой
alphabetical	0.537	0.296	0.535	цагаан толгойн дарааллаар
alpine	0.594	0.337	0.474	уулын
alreadyyyyy	0.592	0.717	0.351	аль хэдийнээээ
altar	0.724	0.387	0.635	тахилын ширээ
altar boy	0.434	0.206	0.350	тахилын ширээний хүү
alter	0.333	0.694	0.654	өөрчлөх
alteration	0.167	0.798	0.609	өөрчлөлт
altercation	0.170	0.806	0.500	хэрүүл маргаан
altered	0.255	0.765	0.500	өөрчлөгдсөн
alternate	0.625	0.363	0.589	ээлжлэн
alternating	0.480	0.494	0.542	ээлжлэн
alternative	0.628	0.373	0.631	хувилбар
altimeter	0.615	0.510	0.580	өндөр хэмжигч
altitude	0.708	0.482	0.736	өндөр
alto	0.656	0.404	0.730	альто
altogether	0.833	0.324	0.644	бүхэлдээ
aluminum	0.449	0.280	0.434	хөнгөн цагаан
alumnus	0.633	0.368	0.422	төгсөгч
alveolar	0.469	0.481	0.367	цулцангийн
alzheimers	0.194	0.518	0.319	Альцгеймер
amalgam	0.438	0.333	0.510	амальгам
amalgamation	0.406	0.470	0.531	нэгдэл
amaretto	0.543	0.551	0.375	амаретто
amass	0.552	0.465	0.465	бөөгнөрөх
amateur	0.469	0.500	0.409	сонирхогч
amaze	0.896	0.843	0.783	гайхуулах
amazed	0.796	0.779	0.533	гайхсан
amazedness	0.827	0.872	0.510	гайхшрал
amazement	0.750	0.800	0.639	гайхшрал
amazing	0.906	0.837	0.849	гайхалтай
amazingly	0.918	0.765	0.920	гайхалтай
ambassador	0.651	0.529	0.917	элчин сайд
amber	0.635	0.308	0.369	хув
ambience	0.735	0.356	0.426	орчин
ambient	0.625	0.360	0.582	орчин
ambiguity	0.164	0.460	0.370	тодорхой бус байдал
ambiguous	0.265	0.462	0.358	хоёрдмол утгатай
ambit	0.479	0.380	0.386	амбит
ambition	0.510	0.804	0.661	амбиц
ambitious	0.484	0.821	0.717	амбицтай
ambivalent	0.510	0.404	0.482	хоёрдмол утгатай
ambrosia	0.571	0.452	0.480	амбросиа
ambulance	0.500	0.750	0.609	түргэн тусламж
ambush	0.281	0.830	0.500	отолт
ameliorate	0.770	0.548	0.747	сайжруулах
amen	0.781	0.182	0.542	амен
amenable	0.448	0.410	0.406	даах боломжтой
amend	0.688	0.406	0.658	засах
amendment	0.531	0.459	0.606	нэмэлт өөрчлөлт
amends	0.640	0.366	0.517	засч залруулдаг
amenity	0.750	0.327	0.574	тав тухтай байдал
amethyst	0.622	0.406	0.517	аметист
amiable	0.847	0.290	0.483	эелдэг
amicable	0.875	0.330	0.507	найрсаг
amid	0.510	0.340	0.256	дунд
