English Word	Valence	Arousal	Dominance	Bosnian Word
acknowledgement	0.819	0.539	0.830	priznanje
acknowledgment	0.796	0.528	0.777	priznanje
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	akne
acorn	0.448	0.198	0.192	žir
acoustic	0.542	0.462	0.536	acoustic
acoustics	0.611	0.330	0.509	akustika
acquaint	0.646	0.491	0.639	upoznati
acquaintance	0.656	0.290	0.670	poznanstvo
acquainted	0.906	0.358	0.632	upoznat
acquiescence	0.542	0.480	0.554	pristanak
acquire	0.833	0.468	0.700	steći
acquiring	0.735	0.510	0.817	sticanje
acquisition	0.698	0.509	0.736	akvizicija
acquisitions	0.773	0.660	0.790	akvizicije
acquit	0.583	0.571	0.611	osloboditi
acquittal	0.760	0.497	0.700	oslobađajuća presuda
acre	0.583	0.387	0.423	acre
acreage	0.741	0.450	0.528	površine
acres	0.510	0.363	0.500	hektara
acrobat	0.708	0.828	0.602	acrobat
acrylic	0.582	0.279	0.420	akril
act	0.656	0.704	0.735	čin
acting	0.698	0.643	0.500	gluma
action	0.760	0.898	0.802	akcija
action figure	0.615	0.774	0.611	akcijska figura
actionable	0.673	0.702	0.613	djelotvoran
activate	0.764	0.650	0.806	aktivirati
activation	0.781	0.800	0.754	aktivacija
active	0.847	0.730	0.731	aktivan
activist	0.531	0.653	0.877	aktivista
activity	0.701	0.660	0.807	aktivnost
actor	0.653	0.561	0.629	glumac
actress	0.633	0.556	0.596	glumica
actual	0.729	0.400	0.716	stvarni
actuality	0.750	0.464	0.600	aktuelnost
actuary	0.510	0.404	0.491	aktuar
acuity	0.469	0.378	0.741	oštrina
acumen	0.564	0.660	0.679	acumen
acupuncture	0.531	0.324	0.549	akupunktura
acute	0.427	0.652	0.534	akutna
acutely	0.417	0.543	0.491	akutno
ad	0.521	0.705	0.558	ad
adage	0.517	0.415	0.566	poslovica
adamant	0.344	0.529	0.575	nepokolebljiv
adapt	0.740	0.355	0.551	prilagoditi
adaptable	0.735	0.423	0.641	prilagodljiv
adaptation	0.663	0.365	0.609	adaptacija
add	0.728	0.490	0.554	dodati
added	0.562	0.405	0.509	dodano
addendum	0.392	0.370	0.418	dodatak
adder	0.388	0.461	0.588	guja
addict	0.075	0.696	0.327	ovisnik
addicted	0.156	0.712	0.483	zavisnik
addiction	0.180	0.806	0.420	ovisnost
addictive	0.302	0.683	0.472	zarazna
addition	0.562	0.373	0.471	dodatak
additional	0.673	0.462	0.526	dodatno
additive	0.561	0.633	0.691	aditiva
address	0.650	0.327	0.567	adresa
addressee	0.622	0.382	0.538	adresat
addresses	0.510	0.354	0.450	adrese
adept	0.594	0.539	0.789	adept
adequacy	0.615	0.435	0.702	adekvatnost
adequate	0.854	0.264	0.705	adekvatan
adhere	0.633	0.339	0.554	pridržavati se
adherence	0.760	0.307	0.630	pridržavanje
adherent	0.561	0.385	0.555	pristalica
adhering	0.612	0.561	0.537	pridržavanje
adhesion	0.521	0.445	0.586	adhezija
adhesive	0.604	0.350	0.413	ljepilo
adieu	0.250	0.471	0.342	adieu
adipose	0.333	0.350	0.391	masnoća
adjacency	0.365	0.417	0.375	susjedstvo
adjacent	0.645	0.276	0.536	susjedni
adjective	0.570	0.316	0.569	pridjev
adjoining	0.520	0.400	0.393	susjedni
adjourn	0.385	0.456	0.475	odgoditi
adjournment	0.438	0.510	0.370	odgoda
adjudicate	0.559	0.520	0.683	presuditi
adjudication	0.551	0.462	0.691	presuđivanje
adjunct	0.459	0.440	0.426	dodatak
adjust	0.647	0.327	0.638	prilagoditi
adjuster	0.510	0.540	0.760	podešavač
adjustment	0.590	0.520	0.661	podešavanje
adjuvant	0.510	0.500	0.456	pomoćno sredstvo
admin	0.688	0.420	0.854	admin
administer	0.635	0.425	0.860	administrirati
administration	0.625	0.404	0.786	administracija
administrative	0.542	0.415	0.579	administrativni
administrator	0.538	0.480	0.902	administrator
admirable	0.929	0.600	0.870	divan
admiral	0.844	0.490	0.847	admirale
admiralty	0.594	0.547	0.733	admiralitet
admiration	0.969	0.583	0.726	divljenje
admire	0.867	0.692	0.704	diviti se
admired	0.917	0.560	0.815	divio se
admirer	0.796	0.720	0.650	obožavatelj
admiring	0.867	0.578	0.629	diveći se
admissibility	0.802	0.580	0.602	prihvatljivost
admissible	0.780	0.528	0.642	prihvatljivo
admission	0.802	0.415	0.732	prijem
admit	0.538	0.423	0.667	priznati
admittance	0.690	0.451	0.598	prijem
admitted	0.720	0.490	0.767	priznao
admitting	0.620	0.500	0.546	priznajući
admixture	0.450	0.375	0.438	primjesa
admonition	0.357	0.606	0.455	opomena
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	adolescencija
adolescent	0.781	0.680	0.509	adolescent
adopt	0.694	0.612	0.701	usvojiti
adoption	0.625	0.566	0.589	usvajanje
adoptive	0.531	0.469	0.520	usvojiteljski
adorable	0.969	0.519	0.457	adorable
adoration	0.885	0.699	0.708	obožavanje
adore	0.854	0.438	0.657	obožavam
adoring	0.885	0.620	0.717	adoring
adorn	0.910	0.424	0.482	ukrasiti
adornment	0.918	0.373	0.377	ukras
adrenalin	0.865	0.920	0.786	adrenalin
adrenaline	0.765	0.965	0.825	adrenalin
adrift	0.398	0.486	0.230	lebdeti
adult	0.815	0.491	0.787	odrasla osoba
adulterated	0.188	0.865	0.370	falsifikovano
adulterer	0.229	0.814	0.407	preljubnik
adultery	0.120	0.922	0.510	preljuba
adulthood	0.541	0.454	0.652	odrasloj dobi
advance	0.673	0.472	0.858	unaprijed
advanced	0.844	0.623	0.797	napredno
advancement	0.776	0.650	0.839	napredovanje
advancing	0.929	0.608	0.812	napredovanje
advantage	0.917	0.548	0.859	prednost
advantageous	0.837	0.640	0.789	povoljan
advent	0.665	0.560	0.627	advent
adventure	0.917	0.857	0.710	avantura
adventurer	0.781	0.839	0.868	avanturista
adventures	0.812	0.764	0.749	avanture
adventurous	0.969	0.898	0.722	avanturistički
adversary	0.349	0.777	0.457	protivnik
adverse	0.323	0.610	0.385	nepovoljno
adversity	0.276	0.760	0.538	nevolje
advertise	0.500	0.529	0.580	reklamirati
advertisement	0.600	0.566	0.539	reklama
advertising	0.622	0.608	0.632	oglašavanje
adverts	0.551	0.500	0.595	reklame
advice	0.698	0.408	0.688	savjet
advisable	0.867	0.480	0.510	preporučljivo
advise	0.760	0.393	0.705	savjet
advised	0.823	0.330	0.509	Savjetovan
advisement	0.698	0.235	0.655	savjetovanje
adviser	0.745	0.362	0.705	savjetnik
advisor	0.646	0.350	0.689	savjetnik
advisory	0.656	0.429	0.633	savjetodavni
advocacy	0.500	0.646	0.731	zagovaranje
advocate	0.551	0.530	0.818	advokat
aegis	0.490	0.439	0.462	aegis
aeration	0.550	0.500	0.433	aeracija
aerial	0.615	0.461	0.463	antena
aerobics	0.708	0.771	0.627	aerobik
aerodrome	0.541	0.740	0.678	aerodrom
aerodynamic	0.561	0.724	0.728	aerodinamički
aerodynamics	0.590	0.663	0.722	aerodinamika
aeronautics	0.551	0.633	0.688	aeronautika
aeroplane	0.714	0.642	0.644	avion
aerospace	0.643	0.520	0.779	vazduhoplovstvo
aesthetic	0.708	0.442	0.526	estetski
aesthetics	0.847	0.327	0.549	estetika
aetiology	0.480	0.398	0.615	etiologija
afar	0.396	0.373	0.358	afar
affable	0.704	0.380	0.452	prijatan
affair	0.520	0.459	0.657	afera
affect	0.458	0.569	0.578	utjecati
affecting	0.350	0.574	0.394	utiče
affection	0.898	0.559	0.696	naklonost
affectionate	0.949	0.422	0.550	ljubazan
affections	0.760	0.547	0.655	naklonosti
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	izjava pod zakletvom
affiliated	0.673	0.519	0.535	pridruženi
affiliation	0.615	0.594	0.500	pripadnost
affinity	0.800	0.500	0.537	afinitet
affirm	0.745	0.509	0.731	potvrditi
affirmation	0.750	0.500	0.689	afirmacija
affirmative	0.854	0.589	0.816	afirmativno
affirmatively	0.908	0.500	0.811	afirmativno
affix	0.438	0.335	0.411	afiks
afflict	0.302	0.555	0.293	afflict
afflicted	0.271	0.500	0.167	pogođeni
affliction	0.294	0.635	0.392	nevolja
affluence	0.663	0.618	0.722	bogatstvo
affluent	0.756	0.388	0.477	imućan
afford	0.571	0.580	0.575	priuštiti
affordable	0.840	0.398	0.493	pristupačno
affront	0.327	0.740	0.547	uvreda
affronted	0.385	0.750	0.527	uvrijeđen
afield	0.594	0.370	0.373	afield
afire	0.367	0.904	0.675	vatra
afloat	0.602	0.427	0.444	plutaju
afore	0.500	0.337	0.382	afore
aforementioned	0.490	0.316	0.408	gore pomenutog
aforesaid	0.531	0.358	0.478	prethodno rečeno
afraid	0.010	0.775	0.245	uplašen
afresh	0.643	0.521	0.480	iznova
aft	0.480	0.417	0.518	krma
afterlife	0.571	0.567	0.568	zagrobni život
aftermath	0.312	0.449	0.444	posljedice
afternoon	0.533	0.388	0.339	popodne
aftershave	0.406	0.384	0.415	aftershave
aftertaste	0.354	0.362	0.455	aftertaste
afterthought	0.396	0.392	0.349	naknadno razmišljanje
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	ahat
age	0.561	0.226	0.498	Dob
aged	0.135	0.365	0.236	ostario
agency	0.460	0.296	0.583	agencija
agenda	0.531	0.296	0.553	agenda
agent	0.480	0.439	0.755	agent
agglomeration	0.450	0.765	0.509	aglomeracija
aggravate	0.224	0.770	0.464	pogoršati
aggravated	0.079	0.760	0.430	otežano
aggravates	0.108	0.778	0.357	pogoršava
aggravating	0.257	0.794	0.640	otežavajuće
aggravation	0.071	0.784	0.613	pogoršanje
aggregate	0.730	0.378	0.556	agregat
aggregation	0.583	0.517	0.694	agregacija
aggresive	0.059	0.971	0.639	agresivan
aggression	0.094	0.929	0.533	agresija
aggressive	0.125	0.949	0.648	agresivan
aggressively	0.250	0.926	0.688	agresivno
aggressiveness	0.077	0.913	0.648	agresivnost
aggressor	0.146	0.948	0.823	agresor
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	zgrožen
aghhh	0.281	0.635	0.243	aghhh
agile	0.800	0.657	0.775	agilan
agility	0.720	0.702	0.815	agilnost
aging	0.214	0.255	0.284	starenje
agitate	0.300	0.796	0.593	agitirati
agitated	0.444	0.882	0.491	uznemiren
agitation	0.240	0.931	0.447	uznemirenost
aglow	0.780	0.510	0.797	žari
agnostic	0.306	0.396	0.574	agnostik
ago	0.317	0.280	0.404	prije
agonizing	0.083	0.800	0.340	bolan
agony	0.083	0.775	0.393	agonija
agoraphobia	0.127	0.712	0.438	agorafobija
agree	0.906	0.260	0.545	slažem se
agreeable	0.906	0.500	0.696	prihvatljivo
agreed	0.797	0.449	0.574	pristao
agreeing	0.854	0.480	0.557	slažući se
agreement	0.760	0.440	0.736	sporazum
agressive	0.083	0.918	0.751	agresivan
agricultural	0.686	0.321	0.473	poljoprivredni
agriculture	0.640	0.357	0.465	poljoprivreda
aground	0.333	0.340	0.445	nasukan
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	naprijed
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhhh
ahoy	0.500	0.497	0.380	ahoy
aid	0.796	0.491	0.541	pomoć
aide	0.724	0.342	0.434	pomoćnik
aiding	0.643	0.533	0.569	pomaganje
aids	0.561	0.480	0.500	pomagala
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	ailing
ailment	0.146	0.734	0.277	bolest
aim	0.481	0.569	0.567	cilj
aimless	0.150	0.267	0.183	besciljno
air	0.708	0.163	0.427	zrak
airbag	0.510	0.402	0.433	airbag
airborne	0.542	0.519	0.385	u vazduhu
aircraft	0.646	0.644	0.691	aviona
aircraft carrier	0.490	0.740	0.727	nosač aviona
airfield	0.601	0.650	0.645	aerodrom
airhead	0.271	0.481	0.276	airhead
airlift	0.573	0.622	0.642	airlift
airline	0.650	0.482	0.688	aviokompanija
airliner	0.667	0.777	0.647	avionom
airlock	0.398	0.520	0.447	airlock
airman	0.587	0.716	0.721	airman
airplane	0.719	0.702	0.708	avion
airport	0.729	0.684	0.682	aerodrom
airs	0.583	0.196	0.370	airs
airship	0.542	0.472	0.529	airship
airspace	0.562	0.510	0.640	vazdušni prostor
airspeed	0.583	0.780	0.544	vazdušna brzina
airstrip	0.550	0.690	0.649	uzletište
airtight	0.479	0.381	0.570	hermetički
airway	0.638	0.585	0.482	disajnih puteva
aisle	0.438	0.222	0.283	aisle
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	otvoren
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	srodan
alabaster	0.542	0.404	0.445	alabaster
alarm	0.241	0.882	0.698	alarm
alarm clock	0.542	0.727	0.642	alarm
alarmed	0.188	0.822	0.492	uzbunjen
alarming	0.204	0.890	0.585	alarmantno
alas	0.571	0.310	0.279	avaj
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatros
albino	0.500	0.240	0.358	albino
album	0.635	0.349	0.453	album
alchemy	0.541	0.583	0.693	alhemija
alcohol	0.323	0.667	0.377	alkohol
alcoholic	0.153	0.688	0.361	alkoholičar
alcoholism	0.061	0.779	0.407	alkoholizam
alcove	0.490	0.340	0.356	alcove
alderman	0.550	0.459	0.691	alderman
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	uzbuna
alertness	0.375	0.875	0.750	budnost
alerts	0.337	0.804	0.673	upozorenja
alfalfa	0.546	0.250	0.311	lucerna
algebra	0.440	0.340	0.565	algebra
algebraic	0.531	0.412	0.441	algebarski
algorithm	0.448	0.394	0.559	algoritam
alias	0.541	0.353	0.333	alias
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	vanzemaljac
alienate	0.247	0.500	0.523	otuđiti
alienated	0.410	0.423	0.559	otuđen
alienation	0.378	0.530	0.462	otuđenje
alight	0.667	0.657	0.605	upaliti
align	0.656	0.364	0.627	poravnati
aligned	0.583	0.275	0.553	poravnati
alignment	0.643	0.412	0.683	poravnanje
alike	0.653	0.173	0.444	podjednako
alimentation	0.781	0.551	0.602	ishrana
alimony	0.612	0.477	0.464	alimentacija
aliquot	0.440	0.310	0.404	alikvot
alive	0.816	0.637	0.731	živ
alkali	0.490	0.350	0.408	alkali
alkaloids	0.433	0.562	0.402	alkaloidi
allay	0.417	0.406	0.398	smiriti
allegation	0.578	0.578	0.608	navod
allege	0.418	0.482	0.587	navode
alleged	0.365	0.522	0.520	navodno
allegiance	0.917	0.398	0.750	odanost
allegorical	0.517	0.558	0.598	alegorijski
allegory	0.615	0.580	0.509	alegorija
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	alergičan
allergy	0.296	0.606	0.389	alergija
alleviate	0.869	0.270	0.528	ublažiti
alleviation	0.735	0.200	0.491	ublažavanje
alley	0.347	0.500	0.355	uličica
alleyway	0.357	0.471	0.382	uličica
alliance	0.696	0.473	0.769	alijanse
allied	0.714	0.245	0.642	saveznički
alligator	0.354	0.704	0.645	aligator
allocate	0.673	0.462	0.672	dodijeliti
allocation	0.604	0.388	0.679	alokacija
allot	0.622	0.481	0.616	alot
allotment	0.600	0.390	0.640	alotment
allow	0.698	0.429	0.538	dopustiti
allowable	0.698	0.500	0.561	dozvoljeno
allowance	0.673	0.382	0.591	dodatak
allowed	0.730	0.360	0.655	dozvoljeno
alloy	0.583	0.443	0.593	legura
allsmiles	0.786	0.528	0.430	allsmiles
allure	0.804	0.585	0.686	allure
alluring	0.837	0.745	0.843	primamljivo
allusion	0.440	0.308	0.462	aluzija
alluvial	0.323	0.490	0.491	aluvijalni
ally	0.792	0.320	0.688	saveznik
almanac	0.688	0.190	0.412	almanah
almighty	0.938	0.874	0.958	svemogući
almond	0.698	0.183	0.314	badem
aloft	0.771	0.373	0.700	aloft
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	sam
alongside	0.458	0.333	0.347	pored
aloof	0.189	0.423	0.302	podalje
aloud	0.458	0.713	0.750	naglas
alpha	0.708	0.340	0.755	alfa
alphabet	0.562	0.204	0.672	abeceda
alphabetical	0.537	0.296	0.535	abecedno
alpine	0.594	0.337	0.474	alpski
alreadyyyyy	0.592	0.717	0.351	većyyyy
altar	0.724	0.387	0.635	oltar
altar boy	0.434	0.206	0.350	altar boy
alter	0.333	0.694	0.654	alter
alteration	0.167	0.798	0.609	izmjena
altercation	0.170	0.806	0.500	svađa
altered	0.255	0.765	0.500	izmijenjeno
alternate	0.625	0.363	0.589	alternativno
alternating	0.480	0.494	0.542	naizmjenično
alternative	0.628	0.373	0.631	alternativa
altimeter	0.615	0.510	0.580	visinomjer
altitude	0.708	0.482	0.736	nadmorska visina
alto	0.656	0.404	0.730	alto
altogether	0.833	0.324	0.644	totalno
aluminum	0.449	0.280	0.434	aluminijum
alumnus	0.633	0.368	0.422	alumnus
alveolar	0.469	0.481	0.367	alveolarni
alzheimers	0.194	0.518	0.319	Alzheimers
amalgam	0.438	0.333	0.510	amalgam
amalgamation	0.406	0.470	0.531	amalgamacija
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	gomilati
amateur	0.469	0.500	0.409	amaterski
amaze	0.896	0.843	0.783	zadiviti
amazed	0.796	0.779	0.533	zadivljen
amazedness	0.827	0.872	0.510	začuđenost
amazement	0.750	0.800	0.639	čuđenje
amazing	0.906	0.837	0.849	neverovatno
amazingly	0.918	0.765	0.920	neverovatno
ambassador	0.651	0.529	0.917	ambasador
amber	0.635	0.308	0.369	amber
ambience	0.735	0.356	0.426	ambijent
ambient	0.625	0.360	0.582	ambijentalno
ambiguity	0.164	0.460	0.370	dvosmislenost
ambiguous	0.265	0.462	0.358	dvosmisleno
ambit	0.479	0.380	0.386	ambit
ambition	0.510	0.804	0.661	ambicija
ambitious	0.484	0.821	0.717	ambiciozan
ambivalent	0.510	0.404	0.482	ambivalentan
ambrosia	0.571	0.452	0.480	ambrozija
ambulance	0.500	0.750	0.609	hitna pomoć
ambush	0.281	0.830	0.500	zaseda
ameliorate	0.770	0.548	0.747	poboljšati
amen	0.781	0.182	0.542	amen
amenable	0.448	0.410	0.406	podložan
amend	0.688	0.406	0.658	izmijeniti
amendment	0.531	0.459	0.606	amandman
amends	0.640	0.366	0.517	popravlja
amenity	0.750	0.327	0.574	amenity
amethyst	0.622	0.406	0.517	ametist
amiable	0.847	0.290	0.483	ljubazni
amicable	0.875	0.330	0.507	prijateljski
amid	0.510	0.340	0.256	usred
amidst	0.480	0.330	0.316	usred
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	municiju
ammonia	0.292	0.587	0.409	amonijak
ammonium	0.354	0.396	0.368	amonijum
ammunition	0.338	0.635	0.667	municije
amnesia	0.296	0.330	0.308	amnezija
amnesty	0.551	0.451	0.814	amnestija
amorous	0.844	0.670	0.636	amorous
amorphous	0.327	0.402	0.349	amorfna
amortization	0.592	0.491	0.522	amortizacija
amount	0.562	0.422	0.649	iznos
amour	0.865	0.480	0.652	amour
amp	0.439	0.393	0.375	amp
ampersand	0.480	0.448	0.483	ampersand
amphetamines	0.133	0.667	0.526	amfetamine
amphibian	0.427	0.357	0.474	vodozemac
amphibious	0.479	0.346	0.445	amfibijski
amphitheater	0.653	0.480	0.545	amfiteatar
ample	0.744	0.349	0.719	dovoljno
amplification	0.690	0.677	0.810	pojačanje
amplify	0.677	0.735	0.827	pojačati
amplitude	0.694	0.439	0.692	amplituda
amply	0.781	0.431	0.766	obilno
amputate	0.092	0.660	0.509	amputirati
amputation	0.100	0.755	0.483	amputacija
amuck	0.385	0.602	0.321	amuck
amulet	0.781	0.260	0.630	amajlija
amuse	0.812	0.684	0.664	zabaviti
amused	0.942	0.847	0.596	zabavan
amusement	0.929	0.837	0.803	zabava
amusing	0.960	0.829	0.632	zabavno
ana	0.541	0.300	0.314	ana
anaconda	0.146	0.830	0.540	anakonda
anaesthesia	0.350	0.217	0.473	anestezija
anaesthetic	0.449	0.268	0.509	anestetik
anagram	0.552	0.327	0.449	anagram
anal	0.333	0.798	0.334	anal
analgesic	0.417	0.321	0.441	analgetik
analogous	0.531	0.270	0.500	analogno
analogue	0.570	0.320	0.446	analogni
analogy	0.510	0.367	0.509	analogija
analysis	0.729	0.448	0.705	analiza
analyst	0.604	0.415	0.755	analitičar
analytic	0.665	0.521	0.634	analytic
analytical	0.625	0.324	0.800	analitički
analyze	0.667	0.462	0.710	analiza
analyzer	0.625	0.556	0.854	analizator
anaphylactic	0.378	0.588	0.500	anafilaktički
anarchism	0.125	0.804	0.623	anarhizam
anarchist	0.204	0.700	0.759	anarhista
anarchy	0.146	0.755	0.620	anarhija
anastomosis	0.375	0.470	0.490	anastomoza
anathema	0.286	0.490	0.519	anatema
anatomic	0.562	0.442	0.546	anatomski
anatomy	0.562	0.390	0.571	anatomija
ancestor	0.592	0.388	0.594	predak
ancestral	0.640	0.481	0.750	predaka
