English Word	Valence	Arousal	Dominance	Portuguese Word
absinthe	0.481	0.510	0.462	absinto
absolute	0.526	0.510	0.827	absoluto
absolution	0.715	0.500	0.664	absolvição
absolve	0.684	0.449	0.660	absolver
absorb	0.469	0.558	0.670	absorver
absorbed	0.490	0.471	0.519	absorvido
absorbent	0.552	0.394	0.718	absorvente
absorbing	0.490	0.490	0.578	absorvente
absorption	0.609	0.422	0.446	absorção
abstain	0.385	0.385	0.427	abster-se
abstention	0.271	0.264	0.509	abstenção
abstinence	0.260	0.392	0.429	abstinência
abstract	0.438	0.292	0.444	abstrato
abstraction	0.469	0.439	0.525	abstração
absurd	0.188	0.656	0.284	absurdo
absurdity	0.115	0.528	0.227	absurdo
abundance	0.812	0.690	0.852	abundância
abundant	0.958	0.590	0.760	abundante
abuse	0.071	0.873	0.469	Abuso
abused	0.021	0.874	0.235	abusado
abusive	0.125	0.903	0.567	abusivo
abutment	0.500	0.265	0.616	pilar
aby	0.385	0.452	0.368	longe
abysmal	0.250	0.710	0.598	abismal
abyss	0.353	0.725	0.296	abismo
academic	0.781	0.420	0.812	acadêmico
academy	0.704	0.473	0.792	Academia
accede	0.698	0.510	0.537	aderir
accelerant	0.643	0.844	0.802	acelerador
accelerate	0.615	0.902	0.759	acelerar
accelerated	0.610	0.812	0.682	acelerado
acceleration	0.704	0.905	0.843	aceleração
accelerator	0.593	0.830	0.812	acelerador
accent	0.598	0.357	0.509	sotaque
accentuate	0.673	0.556	0.667	acentuar
accept	0.847	0.286	0.565	aceitar
acceptable	0.812	0.286	0.583	aceitável
acceptance	0.833	0.287	0.755	aceitação
acceptances	0.847	0.413	0.648	aceitações
access	0.714	0.472	0.567	Acesso
accessible	0.796	0.410	0.645	acessível
accession	0.612	0.383	0.636	adesão
accessory	0.562	0.292	0.445	acessório
accident	0.125	0.908	0.336	acidente
accidental	0.319	0.784	0.307	acidental
accidentally	0.333	0.741	0.333	acidentalmente
acclaim	0.562	0.809	0.718	aclamação
accolade	0.688	0.591	0.775	elogio
accommodate	0.844	0.375	0.566	acomodar
accommodation	0.817	0.415	0.587	alojamento
accompaniment	0.740	0.479	0.695	acompanhamento
accompany	0.833	0.406	0.585	acompanhar
accompanying	0.787	0.460	0.582	acompanhante
accomplice	0.408	0.580	0.510	cúmplice
accomplish	0.929	0.673	0.816	concluir
accomplished	0.870	0.520	0.798	realizado
accomplishment	0.917	0.694	0.888	realização
accord	0.898	0.264	0.382	acordo
accordance	0.659	0.349	0.600	conformidade
accordion	0.604	0.490	0.361	acordeão
account	0.531	0.347	0.472	conta
accountability	0.755	0.537	0.833	responsabilidade
accountable	0.709	0.282	0.777	responsável
accountant	0.625	0.450	0.639	contador
accounting	0.552	0.390	0.677	contabilidade
accounts	0.592	0.340	0.471	contas
accredited	0.669	0.479	0.768	credenciado
accretion	0.448	0.519	0.672	acreção
accrue	0.520	0.481	0.602	acumular
accueil	0.450	0.451	0.470	acusar
accumulate	0.573	0.536	0.607	acumular
accumulation	0.479	0.527	0.600	acumulação
accuracy	0.604	0.481	0.802	precisão
accurate	0.743	0.360	0.737	exato
accursed	0.135	0.745	0.345	maldito
accusation	0.073	0.718	0.564	acusação
accusative	0.198	0.755	0.482	acusativo
accuse	0.133	0.752	0.500	acusar
accused	0.130	0.670	0.420	acusado
accuser	0.122	0.779	0.615	acusador
accusing	0.156	0.745	0.324	acusando
accustomed	0.542	0.365	0.441	acostumado
ace	0.643	0.481	0.546	ás
acetic	0.333	0.420	0.519	acético
acetylene	0.306	0.469	0.509	acetileno
ache	0.146	0.760	0.312	dor
achieve	0.816	0.545	0.843	alcançar
achieved	0.896	0.519	0.775	alcançou
achievement	0.896	0.808	0.759	conquista
aching	0.053	0.880	0.348	dolorido
achy	0.167	0.840	0.373	dolorido
acid	0.265	0.642	0.566	ácido
acidity	0.156	0.663	0.360	acidez
acknowledge	0.786	0.370	0.661	reconhecer
acknowledged	0.714	0.443	0.765	reconhecido
acknowledgement	0.819	0.539	0.830	reconhecimento
acknowledgment	0.796	0.528	0.777	reconhecimento
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	acne
acorn	0.448	0.198	0.192	bolota
acoustic	0.542	0.462	0.536	acústico
acoustics	0.611	0.330	0.509	acústica
acquaint	0.646	0.491	0.639	familiarizar
acquaintance	0.656	0.290	0.670	conhecimento
acquainted	0.906	0.358	0.632	familiarizado
acquiescence	0.542	0.480	0.554	aquiescência
acquire	0.833	0.468	0.700	adquirir
acquiring	0.735	0.510	0.817	adquirindo
acquisition	0.698	0.509	0.736	aquisição
acquisitions	0.773	0.660	0.790	aquisições
acquit	0.583	0.571	0.611	absolver
acquittal	0.760	0.497	0.700	absolvição
acre	0.583	0.387	0.423	Acre
acreage	0.741	0.450	0.528	área cultivada
acres	0.510	0.363	0.500	acres
acrobat	0.708	0.828	0.602	acrobata
acrylic	0.582	0.279	0.420	acrílico
act	0.656	0.704	0.735	Aja
acting	0.698	0.643	0.500	atuação
action	0.760	0.898	0.802	ação
action figure	0.615	0.774	0.611	figura de ação
actionable	0.673	0.702	0.613	acionável
activate	0.764	0.650	0.806	ativar
activation	0.781	0.800	0.754	ativação
active	0.847	0.730	0.731	ativo
activist	0.531	0.653	0.877	ativista
activity	0.701	0.660	0.807	atividade
actor	0.653	0.561	0.629	ator
actress	0.633	0.556	0.596	atriz
actual	0.729	0.400	0.716	real
actuality	0.750	0.464	0.600	realidade
actuary	0.510	0.404	0.491	atuário
acuity	0.469	0.378	0.741	acuidade
acumen	0.564	0.660	0.679	perspicácia
acupuncture	0.531	0.324	0.549	acupuntura
acute	0.427	0.652	0.534	agudo
acutely	0.417	0.543	0.491	agudamente
ad	0.521	0.705	0.558	de Anúncios
adage	0.517	0.415	0.566	adágio
adamant	0.344	0.529	0.575	diamante
adapt	0.740	0.355	0.551	adaptar
adaptable	0.735	0.423	0.641	adaptável
adaptation	0.663	0.365	0.609	adaptação
add	0.728	0.490	0.554	adicionar
added	0.562	0.405	0.509	adicionado
addendum	0.392	0.370	0.418	termo aditivo
adder	0.388	0.461	0.588	adicionador
addict	0.075	0.696	0.327	viciado
addicted	0.156	0.712	0.483	viciado
addiction	0.180	0.806	0.420	vício
addictive	0.302	0.683	0.472	viciante
addition	0.562	0.373	0.471	Adição
additional	0.673	0.462	0.526	adicional
additive	0.561	0.633	0.691	aditivo
address	0.650	0.327	0.567	Morada
addressee	0.622	0.382	0.538	destinatário
addresses	0.510	0.354	0.450	endereços
adept	0.594	0.539	0.789	adepto
adequacy	0.615	0.435	0.702	adequação
adequate	0.854	0.264	0.705	adequado
adhere	0.633	0.339	0.554	aderir
adherence	0.760	0.307	0.630	adesão
adherent	0.561	0.385	0.555	aderente
adhering	0.612	0.561	0.537	aderente
adhesion	0.521	0.445	0.586	adesão
adhesive	0.604	0.350	0.413	adesivo
adieu	0.250	0.471	0.342	adeus
adipose	0.333	0.350	0.391	adiposo
adjacency	0.365	0.417	0.375	adjacência
adjacent	0.645	0.276	0.536	adjacente
adjective	0.570	0.316	0.569	adjetivo
adjoining	0.520	0.400	0.393	adjacente
adjourn	0.385	0.456	0.475	adiar
adjournment	0.438	0.510	0.370	adiamento
adjudicate	0.559	0.520	0.683	julgar
adjudication	0.551	0.462	0.691	adjudicação
adjunct	0.459	0.440	0.426	adjunto
adjust	0.647	0.327	0.638	ajustar
adjuster	0.510	0.540	0.760	ajustador
adjustment	0.590	0.520	0.661	ajustamento
adjuvant	0.510	0.500	0.456	adjuvante
admin	0.688	0.420	0.854	administrador
administer	0.635	0.425	0.860	administrador
administration	0.625	0.404	0.786	administração
administrative	0.542	0.415	0.579	administrativo
administrator	0.538	0.480	0.902	administrador
admirable	0.929	0.600	0.870	admirável
admiral	0.844	0.490	0.847	almirante
admiralty	0.594	0.547	0.733	almirantado
admiration	0.969	0.583	0.726	admiração
admire	0.867	0.692	0.704	admirar
admired	0.917	0.560	0.815	admirado
admirer	0.796	0.720	0.650	admirador
admiring	0.867	0.578	0.629	admirando
admissibility	0.802	0.580	0.602	admissibilidade
admissible	0.780	0.528	0.642	admissível
admission	0.802	0.415	0.732	admissão
admit	0.538	0.423	0.667	Admitem
admittance	0.690	0.451	0.598	admissão
admitted	0.720	0.490	0.767	admitido
admitting	0.620	0.500	0.546	admitindo
admixture	0.450	0.375	0.438	mistura
admonition	0.357	0.606	0.455	admoestação
ado	0.520	0.423	0.385	alvoroço
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	adolescência
adolescent	0.781	0.680	0.509	adolescente
adopt	0.694	0.612	0.701	adotar
adoption	0.625	0.566	0.589	adoção
adoptive	0.531	0.469	0.520	adotivo
adorable	0.969	0.519	0.457	adorável
adoration	0.885	0.699	0.708	adoração
adore	0.854	0.438	0.657	adorar
adoring	0.885	0.620	0.717	adorador
adorn	0.910	0.424	0.482	adornar
adornment	0.918	0.373	0.377	adorno
adrenalin	0.865	0.920	0.786	adrenalina
adrenaline	0.765	0.965	0.825	adrenalina
adrift	0.398	0.486	0.230	à deriva
adult	0.815	0.491	0.787	adulto
adulterated	0.188	0.865	0.370	adulterado
adulterer	0.229	0.814	0.407	adúltero
adultery	0.120	0.922	0.510	adultério
adulthood	0.541	0.454	0.652	idade adulta
advance	0.673	0.472	0.858	avançar
advanced	0.844	0.623	0.797	avançado
advancement	0.776	0.650	0.839	avanço
advancing	0.929	0.608	0.812	avançando
advantage	0.917	0.548	0.859	vantagem
advantageous	0.837	0.640	0.789	vantajoso
advent	0.665	0.560	0.627	advento
adventure	0.917	0.857	0.710	aventura
adventurer	0.781	0.839	0.868	aventureiro
adventures	0.812	0.764	0.749	aventuras
adventurous	0.969	0.898	0.722	aventureiro
adversary	0.349	0.777	0.457	adversário
adverse	0.323	0.610	0.385	desfavoraveis
adversity	0.276	0.760	0.538	adversidade
advertise	0.500	0.529	0.580	anunciar
advertisement	0.600	0.566	0.539	propaganda
advertising	0.622	0.608	0.632	publicidade
adverts	0.551	0.500	0.595	anúncios
advice	0.698	0.408	0.688	adendo
advisable	0.867	0.480	0.510	aconselhável
advise	0.760	0.393	0.705	conselho
advised	0.823	0.330	0.509	aconselhado
advisement	0.698	0.235	0.655	conselho
adviser	0.745	0.362	0.705	conselheiro
advisor	0.646	0.350	0.689	orientador
advisory	0.656	0.429	0.633	consultivo
advocacy	0.500	0.646	0.731	advocacia
advocate	0.551	0.530	0.818	advogado
aegis	0.490	0.439	0.462	égide
aeration	0.550	0.500	0.433	arejamento
aerial	0.615	0.461	0.463	aéreo
aerobics	0.708	0.771	0.627	aeróbica
aerodrome	0.541	0.740	0.678	aeródromo
aerodynamic	0.561	0.724	0.728	aerodinâmico
aerodynamics	0.590	0.663	0.722	aerodinâmica
aeronautics	0.551	0.633	0.688	aeronáutica
aeroplane	0.714	0.642	0.644	avião
aerospace	0.643	0.520	0.779	aeroespacial
aesthetic	0.708	0.442	0.526	estético
aesthetics	0.847	0.327	0.549	estética
aetiology	0.480	0.398	0.615	etiologia
afar	0.396	0.373	0.358	longe
affable	0.704	0.380	0.452	afável
affair	0.520	0.459	0.657	caso
affect	0.458	0.569	0.578	afetar
affecting	0.350	0.574	0.394	afetando
affection	0.898	0.559	0.696	afeição
affectionate	0.949	0.422	0.550	afetuoso
affections	0.760	0.547	0.655	afetos
affiche	0.479	0.265	0.402	afixar
affidavit	0.469	0.584	0.526	declaração juramentada
affiliated	0.673	0.519	0.535	afiliado
affiliation	0.615	0.594	0.500	afiliação
affinity	0.800	0.500	0.537	afinidade
affirm	0.745	0.509	0.731	afirmar
affirmation	0.750	0.500	0.689	afirmação
affirmative	0.854	0.589	0.816	afirmativo
affirmatively	0.908	0.500	0.811	afirmativamente
affix	0.438	0.335	0.411	afixo
afflict	0.302	0.555	0.293	afligir
afflicted	0.271	0.500	0.167	aflito
affliction	0.294	0.635	0.392	aflição
affluence	0.663	0.618	0.722	afluência
affluent	0.756	0.388	0.477	afluente
afford	0.571	0.580	0.575	proporcionar
affordable	0.840	0.398	0.493	preços acessíveis
affront	0.327	0.740	0.547	afronta
affronted	0.385	0.750	0.527	ofendido
afield	0.594	0.370	0.373	longe
afire	0.367	0.904	0.675	um fogo
afloat	0.602	0.427	0.444	à tona
afore	0.500	0.337	0.382	antes
aforementioned	0.490	0.316	0.408	acima mencionado
aforesaid	0.531	0.358	0.478	supracitado
afraid	0.010	0.775	0.245	com medo
afresh	0.643	0.521	0.480	de novo
aft	0.480	0.417	0.518	popa
afterlife	0.571	0.567	0.568	vida após a morte
aftermath	0.312	0.449	0.444	consequências
afternoon	0.533	0.388	0.339	tarde
aftershave	0.406	0.384	0.415	loção pós-barba
aftertaste	0.354	0.362	0.455	sabor residual
afterthought	0.396	0.392	0.349	reflexão tardia
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	ágape
agate	0.540	0.377	0.483	ágata
age	0.561	0.226	0.498	era
aged	0.135	0.365	0.236	envelhecido
agency	0.460	0.296	0.583	agência
agenda	0.531	0.296	0.553	agenda
agent	0.480	0.439	0.755	agente
agglomeration	0.450	0.765	0.509	aglomeração
aggravate	0.224	0.770	0.464	agravar
aggravated	0.079	0.760	0.430	agravado
aggravates	0.108	0.778	0.357	agrava
aggravating	0.257	0.794	0.640	agravante
aggravation	0.071	0.784	0.613	agravamento
aggregate	0.730	0.378	0.556	agregar
aggregation	0.583	0.517	0.694	agregação
aggresive	0.059	0.971	0.639	agressivo
aggression	0.094	0.929	0.533	agressão
aggressive	0.125	0.949	0.648	agressivo
aggressively	0.250	0.926	0.688	agressivamente
aggressiveness	0.077	0.913	0.648	agressividade
aggressor	0.146	0.948	0.823	agressor
agh	0.260	0.500	0.400	ah
aghast	0.133	0.865	0.464	horrorizado
aghhh	0.281	0.635	0.243	ahhhh
agile	0.800	0.657	0.775	ágil
agility	0.720	0.702	0.815	agilidade
aging	0.214	0.255	0.284	envelhecimento
agitate	0.300	0.796	0.593	agitar
agitated	0.444	0.882	0.491	agitado
agitation	0.240	0.931	0.447	agitação
aglow	0.780	0.510	0.797	brilhante
agnostic	0.306	0.396	0.574	agnóstico
ago	0.317	0.280	0.404	atrás
agonizing	0.083	0.800	0.340	agonizante
agony	0.083	0.775	0.393	agonia
agoraphobia	0.127	0.712	0.438	agorafobia
agree	0.906	0.260	0.545	aceita
agreeable	0.906	0.500	0.696	agradável
agreed	0.797	0.449	0.574	concordou
agreeing	0.854	0.480	0.557	concordando
agreement	0.760	0.440	0.736	acordo
agressive	0.083	0.918	0.751	agressivo
agricultural	0.686	0.321	0.473	agrícola
agriculture	0.640	0.357	0.465	agricultura
aground	0.333	0.340	0.445	encalhado
agua	0.598	0.180	0.436	água
ahead	0.708	0.520	0.673	à frente
ahhh	0.562	0.517	0.241	Ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhh
ahoy	0.500	0.497	0.380	ai
aid	0.796	0.491	0.541	ajuda
aide	0.724	0.342	0.434	auxiliar
aiding	0.643	0.533	0.569	auxiliando
aids	0.561	0.480	0.500	Auxilia
ail	0.375	0.434	0.385	todos
ailing	0.094	0.518	0.153	doente
ailment	0.146	0.734	0.277	doença
aim	0.481	0.569	0.567	mirar
aimless	0.150	0.267	0.183	sem rumo
air	0.708	0.163	0.427	ar
airbag	0.510	0.402	0.433	airbag
airborne	0.542	0.519	0.385	no ar
aircraft	0.646	0.644	0.691	aeronave
aircraft carrier	0.490	0.740	0.727	porta-aviões
airfield	0.601	0.650	0.645	aeródromo
airhead	0.271	0.481	0.276	cabeça de vento
airlift	0.573	0.622	0.642	transporte aéreo
airline	0.650	0.482	0.688	CIA aérea
airliner	0.667	0.777	0.647	avião de passageiros
airlock	0.398	0.520	0.447	câmara de ar
airman	0.587	0.716	0.721	aviador
airplane	0.719	0.702	0.708	avião
airport	0.729	0.684	0.682	aeroporto
airs	0.583	0.196	0.370	ares
airship	0.542	0.472	0.529	dirigível
airspace	0.562	0.510	0.640	espaço aéreo
airspeed	0.583	0.780	0.544	velocidade do ar
airstrip	0.550	0.690	0.649	pista de pouso
airtight	0.479	0.381	0.570	hermético
airway	0.638	0.585	0.482	via aérea
aisle	0.438	0.222	0.283	corredor
ait	0.385	0.390	0.402	ai
ajar	0.460	0.413	0.446	entreaberto
aka	0.459	0.358	0.351	também conhecido como
akin	0.639	0.343	0.523	aparentado
alabaster	0.542	0.404	0.445	alabastro
alarm	0.241	0.882	0.698	alarme
alarm clock	0.542	0.727	0.642	despertador
alarmed	0.188	0.822	0.492	alarmado
alarming	0.204	0.890	0.585	alarmante
alas	0.571	0.310	0.279	infelizmente
alb	0.521	0.380	0.427	alva
albatross	0.500	0.445	0.527	albatroz
albino	0.500	0.240	0.358	albino
album	0.635	0.349	0.453	álbum
alchemy	0.541	0.583	0.693	alquimia
alcohol	0.323	0.667	0.377	álcool
alcoholic	0.153	0.688	0.361	alcoólico
alcoholism	0.061	0.779	0.407	alcoolismo
alcove	0.490	0.340	0.356	alcova
alderman	0.550	0.459	0.691	vereador
ale	0.530	0.450	0.358	cerveja
alert	0.479	0.820	0.648	alerta
alertness	0.375	0.875	0.750	alerta
alerts	0.337	0.804	0.673	alertas
alfalfa	0.546	0.250	0.311	alfafa
algebra	0.440	0.340	0.565	álgebra
algebraic	0.531	0.412	0.441	algébrico
algorithm	0.448	0.394	0.559	algoritmo
alias	0.541	0.353	0.333	pseudônimo
alibi	0.396	0.528	0.556	álibi
alien	0.410	0.615	0.491	estrangeiro
alienate	0.247	0.500	0.523	alienar
alienated	0.410	0.423	0.559	alienado
alienation	0.378	0.530	0.462	alienação
alight	0.667	0.657	0.605	aceso
align	0.656	0.364	0.627	alinhar
aligned	0.583	0.275	0.553	alinhado
alignment	0.643	0.412	0.683	alinhamento
alike	0.653	0.173	0.444	parecido
alimentation	0.781	0.551	0.602	alimentação
alimony	0.612	0.477	0.464	pensão alimentícia
aliquot	0.440	0.310	0.404	alíquota
alive	0.816	0.637	0.731	vivo
alkali	0.490	0.350	0.408	alcalino
alkaloids	0.433	0.562	0.402	alcalóides
allay	0.417	0.406	0.398	acalmar
allegation	0.578	0.578	0.608	alegação
allege	0.418	0.482	0.587	alegar
alleged	0.365	0.522	0.520	alegado
allegiance	0.917	0.398	0.750	fidelidade
allegorical	0.517	0.558	0.598	alegórico
allegory	0.615	0.580	0.509	alegoria
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	alérgico
allergy	0.296	0.606	0.389	alergia
alleviate	0.869	0.270	0.528	aliviar
alleviation	0.735	0.200	0.491	alívio
alley	0.347	0.500	0.355	beco
alleyway	0.357	0.471	0.382	beco
alliance	0.696	0.473	0.769	aliança
allied	0.714	0.245	0.642	aliado
alligator	0.354	0.704	0.645	jacaré
allocate	0.673	0.462	0.672	distribuir
allocation	0.604	0.388	0.679	alocação
allot	0.622	0.481	0.616	distribuir
allotment	0.600	0.390	0.640	parcela
allow	0.698	0.429	0.538	permitir
allowable	0.698	0.500	0.561	permitido
allowance	0.673	0.382	0.591	mesada
allowed	0.730	0.360	0.655	permitido
alloy	0.583	0.443	0.593	Liga
allsmiles	0.786	0.528	0.430	sorrisos de todos
allure	0.804	0.585	0.686	fascínio
alluring	0.837	0.745	0.843	sedutor
allusion	0.440	0.308	0.462	alusão
alluvial	0.323	0.490	0.491	aluvial
ally	0.792	0.320	0.688	aliado
almanac	0.688	0.190	0.412	almanaque
almighty	0.938	0.874	0.958	todo-poderoso
almond	0.698	0.183	0.314	amêndoa
aloft	0.771	0.373	0.700	no alto
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	sozinho
alongside	0.458	0.333	0.347	ao lado
aloof	0.189	0.423	0.302	distante
aloud	0.458	0.713	0.750	em voz alta
alpha	0.708	0.340	0.755	alfa
alphabet	0.562	0.204	0.672	alfabeto
alphabetical	0.537	0.296	0.535	alfabético
alpine	0.594	0.337	0.474	alpino
alreadyyyyy	0.592	0.717	0.351	jáaaa
altar	0.724	0.387	0.635	altar
altar boy	0.434	0.206	0.350	coroinha
alter	0.333	0.694	0.654	alterar
alteration	0.167	0.798	0.609	alteração
altercation	0.170	0.806	0.500	altercação
altered	0.255	0.765	0.500	alterado
alternate	0.625	0.363	0.589	alternar
alternating	0.480	0.494	0.542	alternando
alternative	0.628	0.373	0.631	alternativo
altimeter	0.615	0.510	0.580	altímetro
altitude	0.708	0.482	0.736	altitude
alto	0.656	0.404	0.730	alto
altogether	0.833	0.324	0.644	completamente
aluminum	0.449	0.280	0.434	alumínio
alumnus	0.633	0.368	0.422	ex-aluno
alveolar	0.469	0.481	0.367	alveolar
alzheimers	0.194	0.518	0.319	alzheimer
amalgam	0.438	0.333	0.510	amálgama
amalgamation	0.406	0.470	0.531	amalgamação
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	acumular
amateur	0.469	0.500	0.409	amador
amaze	0.896	0.843	0.783	surpreender
amazed	0.796	0.779	0.533	espantado
amazedness	0.827	0.872	0.510	espanto
amazement	0.750	0.800	0.639	espanto
amazing	0.906	0.837	0.849	incrível
amazingly	0.918	0.765	0.920	Surpreendentemente
ambassador	0.651	0.529	0.917	embaixador
amber	0.635	0.308	0.369	âmbar
ambience	0.735	0.356	0.426	ambiente
ambient	0.625	0.360	0.582	ambiente
ambiguity	0.164	0.460	0.370	ambiguidade
ambiguous	0.265	0.462	0.358	ambíguo
ambit	0.479	0.380	0.386	âmbito
ambition	0.510	0.804	0.661	ambição
ambitious	0.484	0.821	0.717	ambicioso
ambivalent	0.510	0.404	0.482	ambivalente
ambrosia	0.571	0.452	0.480	ambrosia
ambulance	0.500	0.750	0.609	ambulância
ambush	0.281	0.830	0.500	emboscada
ameliorate	0.770	0.548	0.747	melhorar
amen	0.781	0.182	0.542	um homem
amenable	0.448	0.410	0.406	receptivo
amend	0.688	0.406	0.658	alterar
amendment	0.531	0.459	0.606	alteração
amends	0.640	0.366	0.517	corrige
amenity	0.750	0.327	0.574	amenidade
amethyst	0.622	0.406	0.517	ametista
amiable	0.847	0.290	0.483	amável
amicable	0.875	0.330	0.507	amigável
amid	0.510	0.340	0.256	Entre
amidst	0.480	0.330	0.316	no meio
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	munição
ammonia	0.292	0.587	0.409	amônia
ammonium	0.354	0.396	0.368	amônio
ammunition	0.338	0.635	0.667	munição
amnesia	0.296	0.330	0.308	amnésia
amnesty	0.551	0.451	0.814	anistia
amorous	0.844	0.670	0.636	amoroso
amorphous	0.327	0.402	0.349	amorfo
amortization	0.592	0.491	0.522	amortização
amount	0.562	0.422	0.649	quantia
amour	0.865	0.480	0.652	amor
amp	0.439	0.393	0.375	amplificador
ampersand	0.480	0.448	0.483	e comercial
amphetamines	0.133	0.667	0.526	anfetaminas
amphibian	0.427	0.357	0.474	anfíbio
amphibious	0.479	0.346	0.445	anfíbio
amphitheater	0.653	0.480	0.545	anfiteatro
ample	0.744	0.349	0.719	amplo
amplification	0.690	0.677	0.810	amplificação
amplify	0.677	0.735	0.827	amplificar
amplitude	0.694	0.439	0.692	amplitude
amply	0.781	0.431	0.766	amplamente
amputate	0.092	0.660	0.509	amputar
amputation	0.100	0.755	0.483	amputação
amuck	0.385	0.602	0.321	enlouquecer
amulet	0.781	0.260	0.630	amuleto
amuse	0.812	0.684	0.664	divertir
amused	0.942	0.847	0.596	divertido
amusement	0.929	0.837	0.803	diversão
amusing	0.960	0.829	0.632	divertido
ana	0.541	0.300	0.314	Ana
anaconda	0.146	0.830	0.540	anaconda
anaesthesia	0.350	0.217	0.473	anestesia
anaesthetic	0.449	0.268	0.509	anestésico
anagram	0.552	0.327	0.449	anagrama
anal	0.333	0.798	0.334	anal
analgesic	0.417	0.321	0.441	analgésico
analogous	0.531	0.270	0.500	análogo
analogue	0.570	0.320	0.446	análogo
analogy	0.510	0.367	0.509	analogia
analysis	0.729	0.448	0.705	análise
analyst	0.604	0.415	0.755	analista
analytic	0.665	0.521	0.634	analítico
analytical	0.625	0.324	0.800	analítico
analyze	0.667	0.462	0.710	analisar
analyzer	0.625	0.556	0.854	analisador
anaphylactic	0.378	0.588	0.500	anafilatico
anarchism	0.125	0.804	0.623	anarquismo
anarchist	0.204	0.700	0.759	anarquista
anarchy	0.146	0.755	0.620	anarquia
anastomosis	0.375	0.470	0.490	anastomose
anathema	0.286	0.490	0.519	anátema
anatomic	0.562	0.442	0.546	anatômico
anatomy	0.562	0.390	0.571	anatomia
ancestor	0.592	0.388	0.594	antepassado
ancestral	0.640	0.481	0.750	ancestral
ancestry	0.708	0.519	0.717	ancestralidade
anchor	0.520	0.284	0.564	âncora
anchorage	0.500	0.325	0.639	ancoragem
ancient	0.420	0.217	0.439	antigo
ancillary	0.449	0.442	0.278	auxiliar
androgen	0.255	0.523	0.527	andrógeno
android	0.663	0.436	0.500	andróide
anecdote	0.583	0.529	0.500	anedota
anemia	0.188	0.327	0.310	anemia
anemic	0.167	0.279	0.155	anêmico
anemone	0.552	0.538	0.327	anêmona
anesthesia	0.365	0.216	0.394	anestesia
anesthesiologist	0.419	0.224	0.526	Anestesista
anesthetic	0.350	0.264	0.482	anestésico
