English Word	Valence	Arousal	Dominance	Tajik Word
adjourn	0.385	0.456	0.475	мавқуф гузоштан
adjournment	0.438	0.510	0.370	танаффус
adjudicate	0.559	0.520	0.683	ҳукм кардан
adjudication	0.551	0.462	0.691	ҳукм
adjunct	0.459	0.440	0.426	ёрирасон
adjust	0.647	0.327	0.638	танзим
adjuster	0.510	0.540	0.760	танзимкунанда
adjustment	0.590	0.520	0.661	танзим
adjuvant	0.510	0.500	0.456	адъювант
admin	0.688	0.420	0.854	админ
administer	0.635	0.425	0.860	идора кардан
administration	0.625	0.404	0.786	маъмурият
administrative	0.542	0.415	0.579	маъмурй
administrator	0.538	0.480	0.902	маъмур
admirable	0.929	0.600	0.870	шоёни таъриф
admiral	0.844	0.490	0.847	адмирал
admiralty	0.594	0.547	0.733	адмиралти
admiration	0.969	0.583	0.726	мафтуни
admire	0.867	0.692	0.704	таъриф кардан
admired	0.917	0.560	0.815	таъриф кард
admirer	0.796	0.720	0.650	мухлис
admiring	0.867	0.578	0.629	мафтуни
admissibility	0.802	0.580	0.602	қобили қабул
admissible	0.780	0.528	0.642	қобили қабул аст
admission	0.802	0.415	0.732	қабул
admit	0.538	0.423	0.667	эътироф
admittance	0.690	0.451	0.598	дохилшавӣ
admitted	0.720	0.490	0.767	иқрор шуд
admitting	0.620	0.500	0.546	эътироф кардан
admixture	0.450	0.375	0.438	омехта
admonition	0.357	0.606	0.455	панд
ado	0.520	0.423	0.385	адо
adobe	0.500	0.319	0.328	Adobe
adolescence	0.487	0.694	0.444	наврасӣ
adolescent	0.781	0.680	0.509	наврас
adopt	0.694	0.612	0.701	кабул кардан
adoption	0.625	0.566	0.589	фарзандхондӣ
adoptive	0.531	0.469	0.520	фарзандхондкунанда
adorable	0.969	0.519	0.457	дилпазир
adoration	0.885	0.699	0.708	парастиш
adore	0.854	0.438	0.657	мепарастед
adoring	0.885	0.620	0.717	мехрубон
adorn	0.910	0.424	0.482	оро додан
adornment	0.918	0.373	0.377	зинат
adrenalin	0.865	0.920	0.786	адреналин
adrenaline	0.765	0.965	0.825	адреналин
adrift	0.398	0.486	0.230	дарафтод
adult	0.815	0.491	0.787	калонсол
adulterated	0.188	0.865	0.370	сохташуда
adulterer	0.229	0.814	0.407	зинокор
adultery	0.120	0.922	0.510	зино
adulthood	0.541	0.454	0.652	камолот
advance	0.673	0.472	0.858	пешакй
advanced	0.844	0.623	0.797	пешрафта
advancement	0.776	0.650	0.839	пешрафт
advancing	0.929	0.608	0.812	пеш рафта истодааст
advantage	0.917	0.548	0.859	бартарй
advantageous	0.837	0.640	0.789	фоиданок
advent	0.665	0.560	0.627	пайдоиш
adventure	0.917	0.857	0.710	саргузашт
adventurer	0.781	0.839	0.868	авантюрист
adventures	0.812	0.764	0.749	саргузаштхо
adventurous	0.969	0.898	0.722	моҷароҷӯ
adversary	0.349	0.777	0.457	душман
adverse	0.323	0.610	0.385	манфӣ
adversity	0.276	0.760	0.538	мусибат
advertise	0.500	0.529	0.580	таблиғ кунед
advertisement	0.600	0.566	0.539	реклама
advertising	0.622	0.608	0.632	реклама
adverts	0.551	0.500	0.595	эълонхо
advice	0.698	0.408	0.688	маслиҳат
advisable	0.867	0.480	0.510	тавсияшаванда
advise	0.760	0.393	0.705	маслиҳат диҳед
advised	0.823	0.330	0.509	маслихат дод
advisement	0.698	0.235	0.655	маслиҳат
adviser	0.745	0.362	0.705	мушовир
advisor	0.646	0.350	0.689	мушовир
advisory	0.656	0.429	0.633	машварат
advocacy	0.500	0.646	0.731	таргибот
advocate	0.551	0.530	0.818	ҳимоятгар
aegis	0.490	0.439	0.462	aegis
aeration	0.550	0.500	0.433	аэрация
aerial	0.615	0.461	0.463	ҳавоӣ
aerobics	0.708	0.771	0.627	аэробика
aerodrome	0.541	0.740	0.678	аэродром
aerodynamic	0.561	0.724	0.728	аэродинамики
aerodynamics	0.590	0.663	0.722	аэродинамика
aeronautics	0.551	0.633	0.688	аэронавтика
aeroplane	0.714	0.642	0.644	ҳавопаймо
aerospace	0.643	0.520	0.779	кайхонй
aesthetic	0.708	0.442	0.526	эстетикй
aesthetics	0.847	0.327	0.549	эстетика
aetiology	0.480	0.398	0.615	этиология
afar	0.396	0.373	0.358	дур
affable	0.704	0.380	0.452	меҳрубон
affair	0.520	0.459	0.657	кор
affect	0.458	0.569	0.578	таъсир мерасонад
affecting	0.350	0.574	0.394	таъсирбахш
affection	0.898	0.559	0.696	мухаббат
affectionate	0.949	0.422	0.550	мехрубон
affections	0.760	0.547	0.655	дилбастагӣ
affiche	0.479	0.265	0.402	афсус
affidavit	0.469	0.584	0.526	шаҳодатнома
affiliated	0.673	0.519	0.535	вобаста аст
affiliation	0.615	0.594	0.500	мансубият
affinity	0.800	0.500	0.537	наздикӣ
affirm	0.745	0.509	0.731	тасдик кардан
affirmation	0.750	0.500	0.689	тасдик
affirmative	0.854	0.589	0.816	тасдик
affirmatively	0.908	0.500	0.811	ба таври мусбат
affix	0.438	0.335	0.411	аффикс
afflict	0.302	0.555	0.293	азоб додан
afflicted	0.271	0.500	0.167	гирифторшуда
affliction	0.294	0.635	0.392	мусибат
affluence	0.663	0.618	0.722	фаровонӣ
affluent	0.756	0.388	0.477	фаровон
afford	0.571	0.580	0.575	тавонанд
affordable	0.840	0.398	0.493	дастрас
affront	0.327	0.740	0.547	таҳқир кардан
affronted	0.385	0.750	0.527	таҳқир кардааст
afield	0.594	0.370	0.373	дур
afire	0.367	0.904	0.675	оташ
afloat	0.602	0.427	0.444	шино кардан
afore	0.500	0.337	0.382	пештар
aforementioned	0.490	0.316	0.408	зикршуда
aforesaid	0.531	0.358	0.478	гуфта шуд
afraid	0.010	0.775	0.245	тарс
afresh	0.643	0.521	0.480	аз нав
aft	0.480	0.417	0.518	пас
afterlife	0.571	0.567	0.568	охират
aftermath	0.312	0.449	0.444	оқибат
afternoon	0.533	0.388	0.339	нисфирӯзӣ
aftershave	0.406	0.384	0.415	пас аз риш
aftertaste	0.354	0.362	0.455	пас аз таъми
afterthought	0.396	0.392	0.349	паси андеша
aga	0.542	0.327	0.398	ага
agape	0.612	0.529	0.464	агапе
agate	0.540	0.377	0.483	агат
age	0.561	0.226	0.498	синну сол
aged	0.135	0.365	0.236	сола
agency	0.460	0.296	0.583	агенти
agenda	0.531	0.296	0.553	рузнома
agent	0.480	0.439	0.755	агент
agglomeration	0.450	0.765	0.509	агломератсия
aggravate	0.224	0.770	0.464	вазнин кардан
aggravated	0.079	0.760	0.430	вазнин карда шудааст
aggravates	0.108	0.778	0.357	вазнин мекунад
aggravating	0.257	0.794	0.640	вазнинкунанда
aggravation	0.071	0.784	0.613	шиддатнокӣ
aggregate	0.730	0.378	0.556	агрегат
aggregation	0.583	0.517	0.694	ҷамъоварӣ
aggresive	0.059	0.971	0.639	хашмгин
aggression	0.094	0.929	0.533	таҷовуз
aggressive	0.125	0.949	0.648	хашмгин
aggressively	0.250	0.926	0.688	хашмгинона
aggressiveness	0.077	0.913	0.648	хашмгинӣ
aggressor	0.146	0.948	0.823	тачовузкор
agh	0.260	0.500	0.400	аг
aghast	0.133	0.865	0.464	хашмгин
aghhh	0.281	0.635	0.243	аххх
agile	0.800	0.657	0.775	чолок
agility	0.720	0.702	0.815	чолокй
aging	0.214	0.255	0.284	пир шудан
agitate	0.300	0.796	0.593	ташвиқ кардан
agitated	0.444	0.882	0.491	ба хашм омада
agitation	0.240	0.931	0.447	агитация
aglow	0.780	0.510	0.797	шух
agnostic	0.306	0.396	0.574	агностик
ago	0.317	0.280	0.404	пеш
agonizing	0.083	0.800	0.340	аламовар
agony	0.083	0.775	0.393	азоб
agoraphobia	0.127	0.712	0.438	агорафобия
agree	0.906	0.260	0.545	розй
agreeable	0.906	0.500	0.696	мақбул
agreed	0.797	0.449	0.574	розй шуд
agreeing	0.854	0.480	0.557	розй шудан
agreement	0.760	0.440	0.736	созиш
agressive	0.083	0.918	0.751	хашмгин
agricultural	0.686	0.321	0.473	хочагии кишлок
agriculture	0.640	0.357	0.465	хочагии кишлок
aground	0.333	0.340	0.445	ба замин андохтан
agua	0.598	0.180	0.436	агуа
ahead	0.708	0.520	0.673	пеш
ahhh	0.562	0.517	0.241	аххх
ahhhhhhhh	0.552	0.649	0.288	аххххххх
ahoy	0.500	0.497	0.380	эй
aid	0.796	0.491	0.541	кумак
aide	0.724	0.342	0.434	ёрдамчй
aiding	0.643	0.533	0.569	ёрй расондан
aids	0.561	0.480	0.500	ёрирасон
ail	0.375	0.434	0.385	аил
ailing	0.094	0.518	0.153	бемор
ailment	0.146	0.734	0.277	беморӣ
aim	0.481	0.569	0.567	максад
aimless	0.150	0.267	0.183	бемақсад
air	0.708	0.163	0.427	ҳаво
airbag	0.510	0.402	0.433	болишти ҳавоӣ
airborne	0.542	0.519	0.385	ҳавоӣ
aircraft	0.646	0.644	0.691	ҳавопаймо
aircraft carrier	0.490	0.740	0.727	авианосец
airfield	0.601	0.650	0.645	аэродром
airhead	0.271	0.481	0.276	ҳаво
airlift	0.573	0.622	0.642	боркашонии хавой
airline	0.650	0.482	0.688	ширкати ҳавопаймоӣ
airliner	0.667	0.777	0.647	ҳавопаймо
airlock	0.398	0.520	0.447	қулфи ҳаво
airman	0.587	0.716	0.721	ҳавопаймо
airplane	0.719	0.702	0.708	ҳавопаймо
airport	0.729	0.684	0.682	фурудгоҳ
airs	0.583	0.196	0.370	ҳаво медиҳад
airship	0.542	0.472	0.529	дирижабль
airspace	0.562	0.510	0.640	фазой хавой
airspeed	0.583	0.780	0.544	суръати ҳаво
airstrip	0.550	0.690	0.649	фурудгоҳ
airtight	0.479	0.381	0.570	ҳавоногузар
airway	0.638	0.585	0.482	роҳи нафас
aisle	0.438	0.222	0.283	радда
ait	0.385	0.390	0.402	айт
ajar	0.460	0.413	0.446	аҷар
aka	0.459	0.358	0.351	ака
akin	0.639	0.343	0.523	хеш
alabaster	0.542	0.404	0.445	алебастр
alarm	0.241	0.882	0.698	ҳушдор
alarm clock	0.542	0.727	0.642	соати зангдор
alarmed	0.188	0.822	0.492	ба ташвиш афтод
alarming	0.204	0.890	0.585	ташвишовар
alas	0.571	0.310	0.279	афсус
alb	0.521	0.380	0.427	алб
albatross	0.500	0.445	0.527	альбатрос
albino	0.500	0.240	0.358	албинос
album	0.635	0.349	0.453	албом
alchemy	0.541	0.583	0.693	алхимия
alcohol	0.323	0.667	0.377	машрубот
alcoholic	0.153	0.688	0.361	майзада
alcoholism	0.061	0.779	0.407	майзадагӣ
alcove	0.490	0.340	0.356	ковок
alderman	0.550	0.459	0.691	алдерман
ale	0.530	0.450	0.358	але
alert	0.479	0.820	0.648	ҳушдор
alertness	0.375	0.875	0.750	ҳушёрӣ
alerts	0.337	0.804	0.673	огоҳиҳо
alfalfa	0.546	0.250	0.311	юнучка
algebra	0.440	0.340	0.565	алгебра
algebraic	0.531	0.412	0.441	алгебрй
algorithm	0.448	0.394	0.559	алгоритм
alias	0.541	0.353	0.333	тахаллус
alibi	0.396	0.528	0.556	алиби
alien	0.410	0.615	0.491	бегона
alienate	0.247	0.500	0.523	бегона кардан
alienated	0.410	0.423	0.559	бегона шудааст
alienation	0.378	0.530	0.462	бегонагӣ
alight	0.667	0.657	0.605	фуруд
align	0.656	0.364	0.627	баробар кардан
aligned	0.583	0.275	0.553	мувофиқ карда шудааст
alignment	0.643	0.412	0.683	ҳамоҳангсозӣ
alike	0.653	0.173	0.444	яксон
alimentation	0.781	0.551	0.602	ғизодиҳӣ
alimony	0.612	0.477	0.464	алимент
aliquot	0.440	0.310	0.404	аликвот
alive	0.816	0.637	0.731	зинда
alkali	0.490	0.350	0.408	ишќорї
alkaloids	0.433	0.562	0.402	алкалоидҳо
allay	0.417	0.406	0.398	ором кардан
allegation	0.578	0.578	0.608	даъво
allege	0.418	0.482	0.587	даъво кардан
alleged	0.365	0.522	0.520	иддао кардааст
allegiance	0.917	0.398	0.750	садоқат
allegorical	0.517	0.558	0.598	истиоравӣ
allegory	0.615	0.580	0.509	киноя
allegro	0.635	0.627	0.453	аллегро
allergic	0.135	0.549	0.273	аллергия
allergy	0.296	0.606	0.389	аллергия
alleviate	0.869	0.270	0.528	сабук кардан
alleviation	0.735	0.200	0.491	сабук кардан
alley	0.347	0.500	0.355	хиёбон
alleyway	0.357	0.471	0.382	хиёбон
alliance	0.696	0.473	0.769	иттифоқ
allied	0.714	0.245	0.642	иттифоқчӣ
alligator	0.354	0.704	0.645	аллигатор
allocate	0.673	0.462	0.672	ҷудо кунад
allocation	0.604	0.388	0.679	тақсимот
allot	0.622	0.481	0.616	тақсим
allotment	0.600	0.390	0.640	тақсимот
allow	0.698	0.429	0.538	иҷозат диҳад
allowable	0.698	0.500	0.561	иҷозат дода мешавад
allowance	0.673	0.382	0.591	ёрдампулй
allowed	0.730	0.360	0.655	иҷозат дода шудааст
alloy	0.583	0.443	0.593	хӯла
allsmiles	0.786	0.528	0.430	табассум мекунад
allure	0.804	0.585	0.686	љолиб
alluring	0.837	0.745	0.843	дилкаш
allusion	0.440	0.308	0.462	ишора
alluvial	0.323	0.490	0.491	аллювиалӣ
ally	0.792	0.320	0.688	иттифоқчӣ
almanac	0.688	0.190	0.412	альманах
almighty	0.938	0.874	0.958	тавоно
almond	0.698	0.183	0.314	бодом
aloft	0.771	0.373	0.700	боло
aloha	0.698	0.440	0.441	алайкум
alone	0.333	0.167	0.216	танҳо
alongside	0.458	0.333	0.347	дар баробари
aloof	0.189	0.423	0.302	дур
aloud	0.458	0.713	0.750	бо овози баланд
alpha	0.708	0.340	0.755	алфа
alphabet	0.562	0.204	0.672	алифбо
alphabetical	0.537	0.296	0.535	алифбо
alpine	0.594	0.337	0.474	альпй
alreadyyyyy	0.592	0.717	0.351	аллакай аай
altar	0.724	0.387	0.635	қурбонгоҳ
altar boy	0.434	0.206	0.350	писари қурбонӣ
alter	0.333	0.694	0.654	тағир додан
alteration	0.167	0.798	0.609	тағирот
altercation	0.170	0.806	0.500	ҷанҷол
altered	0.255	0.765	0.500	дигаргун карда шудааст
alternate	0.625	0.363	0.589	алтернативӣ
alternating	0.480	0.494	0.542	ивазшаванда
alternative	0.628	0.373	0.631	алтернатива
altimeter	0.615	0.510	0.580	баландометр
altitude	0.708	0.482	0.736	баландй
alto	0.656	0.404	0.730	альто
altogether	0.833	0.324	0.644	умуман
aluminum	0.449	0.280	0.434	алюминий
alumnus	0.633	0.368	0.422	хатмкунанда
alveolar	0.469	0.481	0.367	алвеолярӣ
alzheimers	0.194	0.518	0.319	алтсгеймерхо
amalgam	0.438	0.333	0.510	амалгам
amalgamation	0.406	0.470	0.531	муттаҳидшавӣ
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	ҷамъ кардан
amateur	0.469	0.500	0.409	хаваскор
amaze	0.896	0.843	0.783	ҳайрон
amazed	0.796	0.779	0.533	ҳайрон
amazedness	0.827	0.872	0.510	ҳайрат
amazement	0.750	0.800	0.639	ҳайрат
amazing	0.906	0.837	0.849	аҷиб
amazingly	0.918	0.765	0.920	аҷиб
ambassador	0.651	0.529	0.917	сафир
amber	0.635	0.308	0.369	щаҳрабо
ambience	0.735	0.356	0.426	мухит
ambient	0.625	0.360	0.582	муҳити атроф
ambiguity	0.164	0.460	0.370	номуайянӣ
ambiguous	0.265	0.462	0.358	норавшан
ambit	0.479	0.380	0.386	амбит
ambition	0.510	0.804	0.661	шӯҳратпарастӣ
ambitious	0.484	0.821	0.717	шӯҳратпараст
ambivalent	0.510	0.404	0.482	дудилагӣ
ambrosia	0.571	0.452	0.480	амброзия
ambulance	0.500	0.750	0.609	ёрии таъчилй
ambush	0.281	0.830	0.500	камин
ameliorate	0.770	0.548	0.747	бехтар кардан
amen	0.781	0.182	0.542	омин
amenable	0.448	0.410	0.406	қобили қабул
amend	0.688	0.406	0.658	ислоҳ
amendment	0.531	0.459	0.606	ислоҳ
amends	0.640	0.366	0.517	ислох мекунад
amenity	0.750	0.327	0.574	шароити мусоид
amethyst	0.622	0.406	0.517	аметист
amiable	0.847	0.290	0.483	меҳрубон
amicable	0.875	0.330	0.507	дустона
amid	0.510	0.340	0.256	дар байни
amidst	0.480	0.330	0.316	дар байни
amino	0.551	0.402	0.433	амин
ammo	0.323	0.765	0.621	тир
ammonia	0.292	0.587	0.409	аммиак
ammonium	0.354	0.396	0.368	аммоний
ammunition	0.338	0.635	0.667	лавозимоти ҷангӣ
amnesia	0.296	0.330	0.308	амнезия
amnesty	0.551	0.451	0.814	авф
amorous	0.844	0.670	0.636	ишқдор
amorphous	0.327	0.402	0.349	аморфӣ
amortization	0.592	0.491	0.522	амортизация
amount	0.562	0.422	0.649	маблағи
amour	0.865	0.480	0.652	ишқ
amp	0.439	0.393	0.375	амп
ampersand	0.480	0.448	0.483	амперсанд
amphetamines	0.133	0.667	0.526	амфетаминҳо
amphibian	0.427	0.357	0.474	амфибия
amphibious	0.479	0.346	0.445	амфибия
amphitheater	0.653	0.480	0.545	амфитеатр
ample	0.744	0.349	0.719	фаровон
amplification	0.690	0.677	0.810	амплификация
amplify	0.677	0.735	0.827	пурзур кардан
amplitude	0.694	0.439	0.692	амплитуда
amply	0.781	0.431	0.766	фаровон
amputate	0.092	0.660	0.509	ампутатсия кардан
amputation	0.100	0.755	0.483	ампутатсия
