English Word	Valence	Arousal	Dominance	Catalan Word
acoustics	0.611	0.330	0.509	acústica
acquaint	0.646	0.491	0.639	conèixer
acquaintance	0.656	0.290	0.670	conegut
acquainted	0.906	0.358	0.632	conegut
acquiescence	0.542	0.480	0.554	aquiescència
acquire	0.833	0.468	0.700	adquirir
acquiring	0.735	0.510	0.817	adquirint
acquisition	0.698	0.509	0.736	adquisició
acquisitions	0.773	0.660	0.790	adquisicions
acquit	0.583	0.571	0.611	absolt
acquittal	0.760	0.497	0.700	l'absolució
acre	0.583	0.387	0.423	acre
acreage	0.741	0.450	0.528	superfície
acres	0.510	0.363	0.500	hectàrees
acrobat	0.708	0.828	0.602	acròbata
acrylic	0.582	0.279	0.420	acrílic
act	0.656	0.704	0.735	actuar
acting	0.698	0.643	0.500	actuació
action	0.760	0.898	0.802	acció
action figure	0.615	0.774	0.611	figura d'acció
actionable	0.673	0.702	0.613	accionable
activate	0.764	0.650	0.806	activar
activation	0.781	0.800	0.754	activació
active	0.847	0.730	0.731	actiu
activist	0.531	0.653	0.877	activista
activity	0.701	0.660	0.807	activitat
actor	0.653	0.561	0.629	actor
actress	0.633	0.556	0.596	actriu
actual	0.729	0.400	0.716	real
actuality	0.750	0.464	0.600	actualitat
actuary	0.510	0.404	0.491	actuari
acuity	0.469	0.378	0.741	agudesa
acumen	0.564	0.660	0.679	perspicàcia
acupuncture	0.531	0.324	0.549	acupuntura
acute	0.427	0.652	0.534	agut
acutely	0.417	0.543	0.491	agudament
ad	0.521	0.705	0.558	ad
adage	0.517	0.415	0.566	adagi
adamant	0.344	0.529	0.575	ferm
adapt	0.740	0.355	0.551	adaptar
adaptable	0.735	0.423	0.641	adaptable
adaptation	0.663	0.365	0.609	adaptació
add	0.728	0.490	0.554	afegir
added	0.562	0.405	0.509	afegit
addendum	0.392	0.370	0.418	addenda
adder	0.388	0.461	0.588	sumador
addict	0.075	0.696	0.327	addicte
addicted	0.156	0.712	0.483	addicte
addiction	0.180	0.806	0.420	adicció
addictive	0.302	0.683	0.472	addictiu
addition	0.562	0.373	0.471	addició
additional	0.673	0.462	0.526	addicionals
additive	0.561	0.633	0.691	additiu
address	0.650	0.327	0.567	adreça
addressee	0.622	0.382	0.538	destinatari
addresses	0.510	0.354	0.450	adreces
adept	0.594	0.539	0.789	adepte
adequacy	0.615	0.435	0.702	adequació
adequate	0.854	0.264	0.705	adequat
adhere	0.633	0.339	0.554	adherir-se
adherence	0.760	0.307	0.630	adherència
adherent	0.561	0.385	0.555	adherent
adhering	0.612	0.561	0.537	adherint-se
adhesion	0.521	0.445	0.586	adhesió
adhesive	0.604	0.350	0.413	adhesiu
adieu	0.250	0.471	0.342	adéu
adipose	0.333	0.350	0.391	adipós
adjacency	0.365	0.417	0.375	adjacència
adjacent	0.645	0.276	0.536	adjacents
adjective	0.570	0.316	0.569	adjectiu
adjoining	0.520	0.400	0.393	contigus
adjourn	0.385	0.456	0.475	ajornar
adjournment	0.438	0.510	0.370	ajornament
adjudicate	0.559	0.520	0.683	adjudicar
adjudication	0.551	0.462	0.691	adjudicació
adjunct	0.459	0.440	0.426	adjunt
adjust	0.647	0.327	0.638	ajustar
adjuster	0.510	0.540	0.760	ajustador
adjustment	0.590	0.520	0.661	ajust
adjuvant	0.510	0.500	0.456	adjuvant
admin	0.688	0.420	0.854	admin
administer	0.635	0.425	0.860	administrar
administration	0.625	0.404	0.786	Administració
administrative	0.542	0.415	0.579	administrativa
administrator	0.538	0.480	0.902	administrador
admirable	0.929	0.600	0.870	admirable
admiral	0.844	0.490	0.847	almirall
admiralty	0.594	0.547	0.733	Almirantazgo
admiration	0.969	0.583	0.726	admiració
admire	0.867	0.692	0.704	admirar
admired	0.917	0.560	0.815	admirat
admirer	0.796	0.720	0.650	admirador
admiring	0.867	0.578	0.629	admirant
admissibility	0.802	0.580	0.602	admissibilitat
admissible	0.780	0.528	0.642	admissible
admission	0.802	0.415	0.732	admissió
admit	0.538	0.423	0.667	admetre
admittance	0.690	0.451	0.598	admissió
admitted	0.720	0.490	0.767	admès
admitting	0.620	0.500	0.546	admetent
admixture	0.450	0.375	0.438	mescla
admonition	0.357	0.606	0.455	amonestació
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	tova
adolescence	0.487	0.694	0.444	adolescència
adolescent	0.781	0.680	0.509	adolescent
adopt	0.694	0.612	0.701	adoptar
adoption	0.625	0.566	0.589	adopció
adoptive	0.531	0.469	0.520	adoptiu
adorable	0.969	0.519	0.457	adorable
adoration	0.885	0.699	0.708	adoració
adore	0.854	0.438	0.657	adorar
adoring	0.885	0.620	0.717	adorant
adorn	0.910	0.424	0.482	adornar
adornment	0.918	0.373	0.377	adornament
adrenalin	0.865	0.920	0.786	adrenalina
adrenaline	0.765	0.965	0.825	adrenalina
adrift	0.398	0.486	0.230	a la deriva
adult	0.815	0.491	0.787	adult
adulterated	0.188	0.865	0.370	adulterat
adulterer	0.229	0.814	0.407	adúlter
adultery	0.120	0.922	0.510	adulteri
adulthood	0.541	0.454	0.652	edat adulta
advance	0.673	0.472	0.858	avançar
advanced	0.844	0.623	0.797	avançat
advancement	0.776	0.650	0.839	progrés
advancing	0.929	0.608	0.812	avançant
advantage	0.917	0.548	0.859	avantatge
advantageous	0.837	0.640	0.789	avantatjosa
advent	0.665	0.560	0.627	advent
adventure	0.917	0.857	0.710	aventura
adventurer	0.781	0.839	0.868	aventurer
adventures	0.812	0.764	0.749	aventures
adventurous	0.969	0.898	0.722	aventurer
adversary	0.349	0.777	0.457	adversari
adverse	0.323	0.610	0.385	adversos
adversity	0.276	0.760	0.538	adversitat
advertise	0.500	0.529	0.580	anunciar
advertisement	0.600	0.566	0.539	anunci
advertising	0.622	0.608	0.632	publicitat
adverts	0.551	0.500	0.595	anuncis
advice	0.698	0.408	0.688	consell
advisable	0.867	0.480	0.510	recomanable
advise	0.760	0.393	0.705	aconsellar
advised	0.823	0.330	0.509	aconsellat
advisement	0.698	0.235	0.655	assessorament
adviser	0.745	0.362	0.705	conseller
advisor	0.646	0.350	0.689	assessor
advisory	0.656	0.429	0.633	assessorament
advocacy	0.500	0.646	0.731	advocacia
advocate	0.551	0.530	0.818	advocat
aegis	0.490	0.439	0.462	ègida
aeration	0.550	0.500	0.433	aireació
aerial	0.615	0.461	0.463	aèria
aerobics	0.708	0.771	0.627	aeròbic
aerodrome	0.541	0.740	0.678	aeròdrom
aerodynamic	0.561	0.724	0.728	aerodinàmica
aerodynamics	0.590	0.663	0.722	aerodinàmica
aeronautics	0.551	0.633	0.688	aeronàutica
aeroplane	0.714	0.642	0.644	avió
aerospace	0.643	0.520	0.779	aeroespacial
aesthetic	0.708	0.442	0.526	estètic
aesthetics	0.847	0.327	0.549	estètica
aetiology	0.480	0.398	0.615	etiologia
afar	0.396	0.373	0.358	lluny
affable	0.704	0.380	0.452	afable
affair	0.520	0.459	0.657	afer
affect	0.458	0.569	0.578	afectar
affecting	0.350	0.574	0.394	afectant
affection	0.898	0.559	0.696	afecte
affectionate	0.949	0.422	0.550	afectuosa
affections	0.760	0.547	0.655	afectes
affiche	0.479	0.265	0.402	cartell
affidavit	0.469	0.584	0.526	declaració jurada
affiliated	0.673	0.519	0.535	afiliats
affiliation	0.615	0.594	0.500	afiliació
affinity	0.800	0.500	0.537	afinitat
affirm	0.745	0.509	0.731	afirmar
affirmation	0.750	0.500	0.689	afirmació
affirmative	0.854	0.589	0.816	afirmativa
affirmatively	0.908	0.500	0.811	afirmativament
affix	0.438	0.335	0.411	afix
afflict	0.302	0.555	0.293	afligir
afflicted	0.271	0.500	0.167	afligit
affliction	0.294	0.635	0.392	aflicció
affluence	0.663	0.618	0.722	riquesa
affluent	0.756	0.388	0.477	ric
afford	0.571	0.580	0.575	permetre's
affordable	0.840	0.398	0.493	assequible
affront	0.327	0.740	0.547	afront
affronted	0.385	0.750	0.527	ofensat
afield	0.594	0.370	0.373	lluny
afire	0.367	0.904	0.675	un incendi
afloat	0.602	0.427	0.444	flotant
afore	0.500	0.337	0.382	abans
aforementioned	0.490	0.316	0.408	abans esmentat
aforesaid	0.531	0.358	0.478	abans esmentat
afraid	0.010	0.775	0.245	por
afresh	0.643	0.521	0.480	de nou
aft	0.480	0.417	0.518	a popa
afterlife	0.571	0.567	0.568	més enllà
aftermath	0.312	0.449	0.444	conseqüències
afternoon	0.533	0.388	0.339	tarda
aftershave	0.406	0.384	0.415	després d'afaitar
aftertaste	0.354	0.362	0.455	regust
afterthought	0.396	0.392	0.349	pensament posterior
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	àgape
agate	0.540	0.377	0.483	àgata
age	0.561	0.226	0.498	edat
aged	0.135	0.365	0.236	envellit
agency	0.460	0.296	0.583	agència
agenda	0.531	0.296	0.553	agenda
agent	0.480	0.439	0.755	agent
agglomeration	0.450	0.765	0.509	aglomeració
aggravate	0.224	0.770	0.464	agreujar
aggravated	0.079	0.760	0.430	agreujat
aggravates	0.108	0.778	0.357	agreuja
aggravating	0.257	0.794	0.640	agreujant
aggravation	0.071	0.784	0.613	agreujament
aggregate	0.730	0.378	0.556	agregat
aggregation	0.583	0.517	0.694	agregació
aggresive	0.059	0.971	0.639	agressiu
aggression	0.094	0.929	0.533	agressivitat
aggressive	0.125	0.949	0.648	agressiu
aggressively	0.250	0.926	0.688	agressivament
aggressiveness	0.077	0.913	0.648	agressivitat
aggressor	0.146	0.948	0.823	agressor
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	horroritzat
aghhh	0.281	0.635	0.243	aghhh
agile	0.800	0.657	0.775	àgil
agility	0.720	0.702	0.815	agilitat
aging	0.214	0.255	0.284	envelliment
agitate	0.300	0.796	0.593	agitar
agitated	0.444	0.882	0.491	agitat
agitation	0.240	0.931	0.447	agitació
aglow	0.780	0.510	0.797	brillant
agnostic	0.306	0.396	0.574	agnòstic
ago	0.317	0.280	0.404	fa
agonizing	0.083	0.800	0.340	agonitzant
agony	0.083	0.775	0.393	agonia
agoraphobia	0.127	0.712	0.438	agorafòbia
agree	0.906	0.260	0.545	acordar
agreeable	0.906	0.500	0.696	agradable
agreed	0.797	0.449	0.574	convingut
agreeing	0.854	0.480	0.557	d'acord
agreement	0.760	0.440	0.736	acord
agressive	0.083	0.918	0.751	agressiu
agricultural	0.686	0.321	0.473	agrícola
agriculture	0.640	0.357	0.465	agricultura
aground	0.333	0.340	0.445	encallat
agua	0.598	0.180	0.436	aigua
ahead	0.708	0.520	0.673	endavant
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhh
ahoy	0.500	0.497	0.380	ahoy
aid	0.796	0.491	0.541	ajuda
aide	0.724	0.342	0.434	ajudant
aiding	0.643	0.533	0.569	ajudant
aids	0.561	0.480	0.500	ajudes
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	malalt
ailment	0.146	0.734	0.277	dolència
aim	0.481	0.569	0.567	objectiu
aimless	0.150	0.267	0.183	sense rumb
air	0.708	0.163	0.427	aire
airbag	0.510	0.402	0.433	airbag
airborne	0.542	0.519	0.385	aerotransportat
aircraft	0.646	0.644	0.691	avions
aircraft carrier	0.490	0.740	0.727	portaavions
airfield	0.601	0.650	0.645	camp d'aviació
airhead	0.271	0.481	0.276	cap d'aire
airlift	0.573	0.622	0.642	pont aeri
airline	0.650	0.482	0.688	companyia aèria
airliner	0.667	0.777	0.647	avió de línia
airlock	0.398	0.520	0.447	tanca d'aire
airman	0.587	0.716	0.721	aviador
airplane	0.719	0.702	0.708	avió
airport	0.729	0.684	0.682	aeroport
airs	0.583	0.196	0.370	aires
airship	0.542	0.472	0.529	dirigible
airspace	0.562	0.510	0.640	espai aeri
airspeed	0.583	0.780	0.544	velocitat de l'aire
airstrip	0.550	0.690	0.649	pista d'aterratge
airtight	0.479	0.381	0.570	hermètic
airway	0.638	0.585	0.482	via aèria
aisle	0.438	0.222	0.283	passadís
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	entreobert
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	semblant
alabaster	0.542	0.404	0.445	alabastre
alarm	0.241	0.882	0.698	alarma
alarm clock	0.542	0.727	0.642	despertador
alarmed	0.188	0.822	0.492	alarmat
alarming	0.204	0.890	0.585	alarmant
alas	0.571	0.310	0.279	ai!
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatros
albino	0.500	0.240	0.358	albí
album	0.635	0.349	0.453	àlbum
alchemy	0.541	0.583	0.693	alquímia
alcohol	0.323	0.667	0.377	alcohol
alcoholic	0.153	0.688	0.361	alcohòlica
alcoholism	0.061	0.779	0.407	alcoholisme
alcove	0.490	0.340	0.356	alcova
alderman	0.550	0.459	0.691	regidor
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	alerta
alertness	0.375	0.875	0.750	alerta
alerts	0.337	0.804	0.673	alertes
alfalfa	0.546	0.250	0.311	alfals
algebra	0.440	0.340	0.565	àlgebra
algebraic	0.531	0.412	0.441	algebraica
algorithm	0.448	0.394	0.559	algorisme
alias	0.541	0.353	0.333	àlies
alibi	0.396	0.528	0.556	coartada
alien	0.410	0.615	0.491	alienígena
alienate	0.247	0.500	0.523	alienar
alienated	0.410	0.423	0.559	alienat
alienation	0.378	0.530	0.462	alienació
alight	0.667	0.657	0.605	encès
align	0.656	0.364	0.627	alinear
aligned	0.583	0.275	0.553	alineats
alignment	0.643	0.412	0.683	alineació
alike	0.653	0.173	0.444	igual
alimentation	0.781	0.551	0.602	alimentació
alimony	0.612	0.477	0.464	pensió d'aliments
aliquot	0.440	0.310	0.404	alíquota
alive	0.816	0.637	0.731	viu
alkali	0.490	0.350	0.408	àlcali
alkaloids	0.433	0.562	0.402	alcaloides
allay	0.417	0.406	0.398	alleujar
allegation	0.578	0.578	0.608	al · legació
allege	0.418	0.482	0.587	al·legar
alleged	0.365	0.522	0.520	suposada
allegiance	0.917	0.398	0.750	lleialtat
allegorical	0.517	0.558	0.598	al·legòric
allegory	0.615	0.580	0.509	al·legoria
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	al·lèrgic
allergy	0.296	0.606	0.389	al·lèrgia
alleviate	0.869	0.270	0.528	alleujar
alleviation	0.735	0.200	0.491	alleujament
alley	0.347	0.500	0.355	carreró
alleyway	0.357	0.471	0.382	carreró
alliance	0.696	0.473	0.769	aliança
allied	0.714	0.245	0.642	aliats
alligator	0.354	0.704	0.645	caiman
allocate	0.673	0.462	0.672	assignar
allocation	0.604	0.388	0.679	assignació
allot	0.622	0.481	0.616	assignar
allotment	0.600	0.390	0.640	adjudicació
allow	0.698	0.429	0.538	permetre
allowable	0.698	0.500	0.561	admissible
allowance	0.673	0.382	0.591	subsidi
allowed	0.730	0.360	0.655	permès
alloy	0.583	0.443	0.593	aliatge
allsmiles	0.786	0.528	0.430	tots somriu
allure	0.804	0.585	0.686	atractiu
alluring	0.837	0.745	0.843	seductor
allusion	0.440	0.308	0.462	al·lusió
alluvial	0.323	0.490	0.491	al·luvial
ally	0.792	0.320	0.688	aliat
almanac	0.688	0.190	0.412	almanac
almighty	0.938	0.874	0.958	totpoderós
almond	0.698	0.183	0.314	ametlla
aloft	0.771	0.373	0.700	amunt
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	sol
alongside	0.458	0.333	0.347	al costat
aloof	0.189	0.423	0.302	allunyat
aloud	0.458	0.713	0.750	en veu alta
alpha	0.708	0.340	0.755	alfa
alphabet	0.562	0.204	0.672	alfabet
alphabetical	0.537	0.296	0.535	alfabètic
alpine	0.594	0.337	0.474	alpí
alreadyyyyy	0.592	0.717	0.351	jaaaaa
altar	0.724	0.387	0.635	altar
altar boy	0.434	0.206	0.350	monaco d'altar
alter	0.333	0.694	0.654	alterar
alteration	0.167	0.798	0.609	alteració
altercation	0.170	0.806	0.500	altercat
altered	0.255	0.765	0.500	alterat
alternate	0.625	0.363	0.589	alternar
alternating	0.480	0.494	0.542	alternant
alternative	0.628	0.373	0.631	alternativa
altimeter	0.615	0.510	0.580	altímetre
altitude	0.708	0.482	0.736	altitud
alto	0.656	0.404	0.730	alt
altogether	0.833	0.324	0.644	en conjunt
aluminum	0.449	0.280	0.434	alumini
alumnus	0.633	0.368	0.422	antic alumne
alveolar	0.469	0.481	0.367	alveolar
alzheimers	0.194	0.518	0.319	alzheimers
amalgam	0.438	0.333	0.510	amalgama
amalgamation	0.406	0.470	0.531	fusió
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	acumular
amateur	0.469	0.500	0.409	amateur
amaze	0.896	0.843	0.783	sorprendre
amazed	0.796	0.779	0.533	meravellat
amazedness	0.827	0.872	0.510	meravella
amazement	0.750	0.800	0.639	sorpresa
amazing	0.906	0.837	0.849	increïble
amazingly	0.918	0.765	0.920	sorprenentment
ambassador	0.651	0.529	0.917	ambaixador
amber	0.635	0.308	0.369	ambre
ambience	0.735	0.356	0.426	ambient
ambient	0.625	0.360	0.582	ambient
ambiguity	0.164	0.460	0.370	ambigüitat
ambiguous	0.265	0.462	0.358	ambigu
ambit	0.479	0.380	0.386	àmbit
ambition	0.510	0.804	0.661	ambició
ambitious	0.484	0.821	0.717	ambiciós
ambivalent	0.510	0.404	0.482	ambivalent
ambrosia	0.571	0.452	0.480	ambròsia
ambulance	0.500	0.750	0.609	ambulància
ambush	0.281	0.830	0.500	emboscada
ameliorate	0.770	0.548	0.747	millorar
amen	0.781	0.182	0.542	amén
amenable	0.448	0.410	0.406	susceptibles
amend	0.688	0.406	0.658	modificar
amendment	0.531	0.459	0.606	esmena
amends	0.640	0.366	0.517	esmenes
amenity	0.750	0.327	0.574	comoditat
amethyst	0.622	0.406	0.517	ametista
amiable	0.847	0.290	0.483	amable
amicable	0.875	0.330	0.507	amigable
amid	0.510	0.340	0.256	enmig
amidst	0.480	0.330	0.316	enmig
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	munició
ammonia	0.292	0.587	0.409	amoníac
ammonium	0.354	0.396	0.368	amoni
ammunition	0.338	0.635	0.667	municions
amnesia	0.296	0.330	0.308	amnèsia
amnesty	0.551	0.451	0.814	amnistia
amorous	0.844	0.670	0.636	amorós
amorphous	0.327	0.402	0.349	amorf
amortization	0.592	0.491	0.522	amortització
amount	0.562	0.422	0.649	quantitat
amour	0.865	0.480	0.652	amor
amp	0.439	0.393	0.375	amplificador
ampersand	0.480	0.448	0.483	ampersand
amphetamines	0.133	0.667	0.526	amfetamines
amphibian	0.427	0.357	0.474	amfibi
amphibious	0.479	0.346	0.445	amfibi
amphitheater	0.653	0.480	0.545	amfiteatre
ample	0.744	0.349	0.719	ampli
amplification	0.690	0.677	0.810	amplificació
amplify	0.677	0.735	0.827	amplificar
amplitude	0.694	0.439	0.692	amplitud
amply	0.781	0.431	0.766	sobradament
amputate	0.092	0.660	0.509	amputar
amputation	0.100	0.755	0.483	amputació
amuck	0.385	0.602	0.321	amuck
amulet	0.781	0.260	0.630	amulet
amuse	0.812	0.684	0.664	divertir
amused	0.942	0.847	0.596	divertit
amusement	0.929	0.837	0.803	diversió
amusing	0.960	0.829	0.632	divertit
ana	0.541	0.300	0.314	ana
anaconda	0.146	0.830	0.540	anaconda
anaesthesia	0.350	0.217	0.473	anestèsia
anaesthetic	0.449	0.268	0.509	anestèsic
anagram	0.552	0.327	0.449	anagrama
anal	0.333	0.798	0.334	anal
analgesic	0.417	0.321	0.441	analgèsic
analogous	0.531	0.270	0.500	anàleg
analogue	0.570	0.320	0.446	analògic
analogy	0.510	0.367	0.509	analogia
analysis	0.729	0.448	0.705	anàlisi
analyst	0.604	0.415	0.755	analista
analytic	0.665	0.521	0.634	analític
analytical	0.625	0.324	0.800	analítiques
analyze	0.667	0.462	0.710	analitzar
analyzer	0.625	0.556	0.854	analitzador
anaphylactic	0.378	0.588	0.500	anafilàctic
anarchism	0.125	0.804	0.623	anarquisme
anarchist	0.204	0.700	0.759	anarquista
anarchy	0.146	0.755	0.620	anarquia
anastomosis	0.375	0.470	0.490	anastomosi
anathema	0.286	0.490	0.519	anatema
anatomic	0.562	0.442	0.546	anatòmics
anatomy	0.562	0.390	0.571	anatomia
ancestor	0.592	0.388	0.594	avantpassat
ancestral	0.640	0.481	0.750	ancestral
ancestry	0.708	0.519	0.717	ascendència
anchor	0.520	0.284	0.564	àncora
anchorage	0.500	0.325	0.639	ancoratge
ancient	0.420	0.217	0.439	antiga
ancillary	0.449	0.442	0.278	auxiliar
androgen	0.255	0.523	0.527	andrògens
android	0.663	0.436	0.500	Android
anecdote	0.583	0.529	0.500	anècdota
anemia	0.188	0.327	0.310	anèmia
anemic	0.167	0.279	0.155	anèmic
anemone	0.552	0.538	0.327	anemona
anesthesia	0.365	0.216	0.394	anestèsia
anesthesiologist	0.419	0.224	0.526	anestesiòleg
anesthetic	0.350	0.264	0.482	anestèsic
aneurysm	0.115	0.690	0.536	aneurisma
