English Word	Valence	Arousal	Dominance	Yiddish Word
acupuncture	0.531	0.324	0.549	אַקיופּאַנגקטשער
acute	0.427	0.652	0.534	אַקוטע
acutely	0.417	0.543	0.491	אַקיוטלי
ad	0.521	0.705	0.558	אַד
adage	0.517	0.415	0.566	אַדאַגע
adamant	0.344	0.529	0.575	שטרענג
adapt	0.740	0.355	0.551	אַדאַפּט זיך
adaptable	0.735	0.423	0.641	אַדאַפּטאַבאַל
adaptation	0.663	0.365	0.609	אַדאַפּטיישאַן
add	0.728	0.490	0.554	לייג צו
added	0.562	0.405	0.509	צוגעגעבן
addendum	0.392	0.370	0.418	אַדענדום
adder	0.388	0.461	0.588	אַדער
addict	0.075	0.696	0.327	נאַרקאָמאַן
addicted	0.156	0.712	0.483	אַדיקטיד
addiction	0.180	0.806	0.420	אַדיקשאַן
addictive	0.302	0.683	0.472	אַדיקטיוו
addition	0.562	0.373	0.471	דערצו
additional	0.673	0.462	0.526	נאָך
additive	0.561	0.633	0.691	אַדאַטיוו
address	0.650	0.327	0.567	אַדרעס
addressee	0.622	0.382	0.538	אַדרעסירט
addresses	0.510	0.354	0.450	ווענדט זיך
adept	0.594	0.539	0.789	אַדעפּט
adequacy	0.615	0.435	0.702	אַדעקוואַטי
adequate	0.854	0.264	0.705	טויגן
adhere	0.633	0.339	0.554	אָנהאַלטן
adherence	0.760	0.307	0.630	אַדכיראַנס
adherent	0.561	0.385	0.555	אָנהענגער
adhering	0.612	0.561	0.537	אַדכירינג
adhesion	0.521	0.445	0.586	אַדכיזשאַן
adhesive	0.604	0.350	0.413	קלעפּיק
adieu	0.250	0.471	0.342	adieu
adipose	0.333	0.350	0.391	אַדאַפּאָוס
adjacency	0.365	0.417	0.375	שכיינישקייט
adjacent	0.645	0.276	0.536	שכייניש
adjective	0.570	0.316	0.569	אַדזשיקטיוו
adjoining	0.520	0.400	0.393	שכייניש
adjourn	0.385	0.456	0.475	פאַרהאַלטן
adjournment	0.438	0.510	0.370	פארשטאנד
adjudicate	0.559	0.520	0.683	באַרעכטיקן
adjudication	0.551	0.462	0.691	משפט
adjunct	0.459	0.440	0.426	אַדדזשונקט
adjust	0.647	0.327	0.638	סטרויערן
adjuster	0.510	0.540	0.760	אַדזשאַסטער
adjustment	0.590	0.520	0.661	אַדזשאַסטמאַנט
adjuvant	0.510	0.500	0.456	אַדדזשווואַנט
admin	0.688	0.420	0.854	אַדמין
administer	0.635	0.425	0.860	פירן
administration	0.625	0.404	0.786	אַדמיניסטראַציע
administrative	0.542	0.415	0.579	אַדמיניסטראַטיווע
administrator	0.538	0.480	0.902	אַדמיניסטראַטאָר
admirable	0.929	0.600	0.870	אַדמראַבאַל
admiral	0.844	0.490	0.847	אַדמיראַל
admiralty	0.594	0.547	0.733	אַדמיראַליטעט
admiration	0.969	0.583	0.726	אַדמעריישאַן
admire	0.867	0.692	0.704	באַווונדערן
admired	0.917	0.560	0.815	באוואונדערט
admirer	0.796	0.720	0.650	פארערער
admiring	0.867	0.578	0.629	באַווונדערן
admissibility	0.802	0.580	0.602	אַדמיססאַביליטי
admissible	0.780	0.528	0.642	צונעמען
admission	0.802	0.415	0.732	אַרייַנטרעטן
admit	0.538	0.423	0.667	אַרייַנלאָזן
admittance	0.690	0.451	0.598	אַרייַנטרעטן
admitted	0.720	0.490	0.767	אַדמיטאַד
admitting	0.620	0.500	0.546	אַדמיטינג
admixture	0.450	0.375	0.438	צומיש
admonition	0.357	0.606	0.455	ווארענונג
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	אַדאָובי
adolescence	0.487	0.694	0.444	יוגנט
adolescent	0.781	0.680	0.509	אַדאַלעסאַנט
adopt	0.694	0.612	0.701	אַדאַפּט
adoption	0.625	0.566	0.589	קינדער
adoptive	0.531	0.469	0.520	אַדאַפּטיוו
adorable	0.969	0.519	0.457	טייַער
adoration	0.885	0.699	0.708	אַדאָראַטיאָן
adore	0.854	0.438	0.657	אַדאָר
adoring	0.885	0.620	0.717	אַדאָרינג
adorn	0.910	0.424	0.482	באַצירן
adornment	0.918	0.373	0.377	צירונג
adrenalin	0.865	0.920	0.786	אַדרענאַלאַן
adrenaline	0.765	0.965	0.825	אַדרענאַלאַן
adrift	0.398	0.486	0.230	אַדריפט
adult	0.815	0.491	0.787	דערוואַקסן
adulterated	0.188	0.865	0.370	פאַרוואַקסן
adulterer	0.229	0.814	0.407	ניעף
adultery	0.120	0.922	0.510	ניעף
adulthood	0.541	0.454	0.652	אַדאַלטכוד
advance	0.673	0.472	0.858	שטייַגן
advanced	0.844	0.623	0.797	אַוואַנסירטע
advancement	0.776	0.650	0.839	אנטוויקלונג
advancing	0.929	0.608	0.812	שטייַגן
advantage	0.917	0.548	0.859	מייַלע
advantageous	0.837	0.640	0.789	אַדוואַנטיידזשאַס
advent	0.665	0.560	0.627	אַדווענט
adventure	0.917	0.857	0.710	פּאַסירונג
adventurer	0.781	0.839	0.868	אַדווענטשערער
adventures	0.812	0.764	0.749	אַדווענטשערז
adventurous	0.969	0.898	0.722	אַדווענטשעראַס
adversary	0.349	0.777	0.457	קעגנער
adverse	0.323	0.610	0.385	אַדווערס
adversity	0.276	0.760	0.538	ומגליק
advertise	0.500	0.529	0.580	מעלדן
advertisement	0.600	0.566	0.539	אַדווערטייזמאַנט
advertising	0.622	0.608	0.632	גאַנצע
adverts	0.551	0.500	0.595	אַדווערטס
advice	0.698	0.408	0.688	עצה
advisable	0.867	0.480	0.510	קעדייַיק
advise	0.760	0.393	0.705	רעקאָמענדירן
advised	0.823	0.330	0.509	אַדווייזד
advisement	0.698	0.235	0.655	עצה
adviser	0.745	0.362	0.705	אַדווייזער
advisor	0.646	0.350	0.689	אַדווייזער
advisory	0.656	0.429	0.633	אַדווייזערי
advocacy	0.500	0.646	0.731	אַדוואַקאַסי
advocate	0.551	0.530	0.818	אַדוואָקאַט
aegis	0.490	0.439	0.462	אַעגיס
aeration	0.550	0.500	0.433	אַעראַטיאָן
aerial	0.615	0.461	0.463	לופט
aerobics	0.708	0.771	0.627	עראָוביקס
aerodrome	0.541	0.740	0.678	אַעראָדראָם
aerodynamic	0.561	0.724	0.728	אַעראָדינאַמיק
aerodynamics	0.590	0.663	0.722	אַעראָדינאַמיק
aeronautics	0.551	0.633	0.688	אַעראָנאַוטיקס
aeroplane	0.714	0.642	0.644	אַעראָפּלאַן
aerospace	0.643	0.520	0.779	אַעראָספּאַסע
aesthetic	0.708	0.442	0.526	עסטעטיש
aesthetics	0.847	0.327	0.549	עסטעטיק
aetiology	0.480	0.398	0.615	עטיאָלאָגיע
afar	0.396	0.373	0.358	ווייַט
affable	0.704	0.380	0.452	ליבלעך
affair	0.520	0.459	0.657	ייסעק
affect	0.458	0.569	0.578	ווירקן
affecting	0.350	0.574	0.394	אַפעקטינג
affection	0.898	0.559	0.696	ליבשאַפט
affectionate	0.949	0.422	0.550	ליבהאָבער
affections	0.760	0.547	0.655	ליבשאַפט
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	תצהיר
affiliated	0.673	0.519	0.535	אַפיליייטאַד
affiliation	0.615	0.594	0.500	אַפילייישאַן
affinity	0.800	0.500	0.537	קירבות
affirm	0.745	0.509	0.731	באַשטעטיקן
affirmation	0.750	0.500	0.689	אַפערמיישאַן
affirmative	0.854	0.589	0.816	אַפערמאַטיוו
affirmatively	0.908	0.500	0.811	אַפערמאַטיוולי
affix	0.438	0.335	0.411	אַפיקס
afflict	0.302	0.555	0.293	פּלאָגן
afflicted	0.271	0.500	0.167	געליטן
affliction	0.294	0.635	0.392	צרה
affluence	0.663	0.618	0.722	עשירות
affluent	0.756	0.388	0.477	רייַכטיק
afford	0.571	0.580	0.575	פאַרגינענ זיך
affordable	0.840	0.398	0.493	אַפאָרדאַבאַל
affront	0.327	0.740	0.547	באַליידיקן
affronted	0.385	0.750	0.527	באַליידיקטער
afield	0.594	0.370	0.373	אַוועק
afire	0.367	0.904	0.675	פייַער
afloat	0.602	0.427	0.444	פלאָוט
afore	0.500	0.337	0.382	פריער
aforementioned	0.490	0.316	0.408	פריער דערמאנט
aforesaid	0.531	0.358	0.478	פריער געזאגט
afraid	0.010	0.775	0.245	דערשראָקן
afresh	0.643	0.521	0.480	נאכאמאל
aft	0.480	0.417	0.518	הינטער
afterlife	0.571	0.567	0.568	לעבן לעבן
aftermath	0.312	0.449	0.444	נאָכמאַך
afternoon	0.533	0.388	0.339	נאָכמיטאָג
aftershave	0.406	0.384	0.415	אַפטערשייוו
aftertaste	0.354	0.362	0.455	אַפטערטייסט
afterthought	0.396	0.392	0.349	נאָכדעם
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	אַגאַט
age	0.561	0.226	0.498	עלטער
aged	0.135	0.365	0.236	אַלט
agency	0.460	0.296	0.583	אַגענטור
agenda	0.531	0.296	0.553	אַגענדאַ
agent	0.480	0.439	0.755	אַגענט
agglomeration	0.450	0.765	0.509	אַגלאַמעריישאַן
aggravate	0.224	0.770	0.464	פאַרשטאַרקן
aggravated	0.079	0.760	0.430	פאַרערגערט
aggravates	0.108	0.778	0.357	פאַרערגערט
aggravating	0.257	0.794	0.640	אַגראַווייטינג
aggravation	0.071	0.784	0.613	פאַרערגערונג
aggregate	0.730	0.378	0.556	צונויפגיסן
aggregation	0.583	0.517	0.694	אַגגרעגאַטיאָן
aggresive	0.059	0.971	0.639	אַגרעסיוו
aggression	0.094	0.929	0.533	אָנפאַל
aggressive	0.125	0.949	0.648	אַגרעסיוו
aggressively	0.250	0.926	0.688	אַגרעסיוולי
aggressiveness	0.077	0.913	0.648	אַגרעסיוונאַס
aggressor	0.146	0.948	0.823	אַגרעסער
agh	0.260	0.500	0.400	אַך
aghast	0.133	0.865	0.464	דערשראָקן
aghhh	0.281	0.635	0.243	אַגההה
agile	0.800	0.657	0.775	פלינק
agility	0.720	0.702	0.815	פלינקייַט
aging	0.214	0.255	0.284	יידזשינג
agitate	0.300	0.796	0.593	אַגיטירן
agitated	0.444	0.882	0.491	אויפגערעגט
agitation	0.240	0.931	0.447	אַדזשאַטיישאַן
aglow	0.780	0.510	0.797	גלײַך
agnostic	0.306	0.396	0.574	אַגנאָסטיק
ago	0.317	0.280	0.404	צוריק
agonizing	0.083	0.800	0.340	אַגאַנייזינג
agony	0.083	0.775	0.393	ווייטאג
agoraphobia	0.127	0.712	0.438	אַגאָראַפאָוביאַ
agree	0.906	0.260	0.545	שטימען
agreeable	0.906	0.500	0.696	צונעמען
agreed	0.797	0.449	0.574	מסכים געווען
agreeing	0.854	0.480	0.557	שטימען
agreement	0.760	0.440	0.736	העסקעם
agressive	0.083	0.918	0.751	אַגרעסיוו
agricultural	0.686	0.321	0.473	לאַנדווירטשאַפטלעך
agriculture	0.640	0.357	0.465	אַגריקולטורע
aground	0.333	0.340	0.445	גראַונד
agua	0.598	0.180	0.436	אַגואַ
ahead	0.708	0.520	0.673	פאָרויס
ahhh	0.562	0.517	0.241	אַההה
ahhhhhhhh	0.552	0.649	0.288	אַהההההההה
ahoy	0.500	0.497	0.380	ahoy
aid	0.796	0.491	0.541	הילף
aide	0.724	0.342	0.434	הילף
aiding	0.643	0.533	0.569	הילף
aids	0.561	0.480	0.500	אַידס
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	קראַנקע
ailment	0.146	0.734	0.277	קראַנקייַט
aim	0.481	0.569	0.567	ציל
aimless	0.150	0.267	0.183	אָן ציל
air	0.708	0.163	0.427	לופט
airbag	0.510	0.402	0.433	אַירבאַג
airborne	0.542	0.519	0.385	לופטבאָרן
aircraft	0.646	0.644	0.691	ערקראַפט
aircraft carrier	0.490	0.740	0.727	ערקראַפט טרעגער
airfield	0.601	0.650	0.645	לופטפעלד
airhead	0.271	0.481	0.276	לופטהעאַד
airlift	0.573	0.622	0.642	ערליפט
airline	0.650	0.482	0.688	ערליין
airliner	0.667	0.777	0.647	ערליינער
airlock	0.398	0.520	0.447	אַירלאַק
airman	0.587	0.716	0.721	לופטמאַן
airplane	0.719	0.702	0.708	אַעראָפּלאַן
airport	0.729	0.684	0.682	אַעראָפּאָרט
airs	0.583	0.196	0.370	לופט
airship	0.542	0.472	0.529	לופטשיף
airspace	0.562	0.510	0.640	ערספּייס
airspeed	0.583	0.780	0.544	לופט גיכקייַט
airstrip	0.550	0.690	0.649	לופט סטריפּ
airtight	0.479	0.381	0.570	ערטייט
airway	0.638	0.585	0.482	ערוויי
aisle	0.438	0.222	0.283	דורכגאַנג
ait	0.385	0.390	0.402	אַיט
ajar	0.460	0.413	0.446	ajar
aka	0.459	0.358	0.351	אַקאַ
akin	0.639	0.343	0.523	ענלעך
alabaster	0.542	0.404	0.445	אַלבאַסטער
alarm	0.241	0.882	0.698	שרעק
alarm clock	0.542	0.727	0.642	וועקער זייגער
alarmed	0.188	0.822	0.492	דערשראקן
alarming	0.204	0.890	0.585	אַלאַרמינג
alas	0.571	0.310	0.279	וויי
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	אַלבאַטראָס
albino	0.500	0.240	0.358	אַלבינאָ
album	0.635	0.349	0.453	אלבאם
alchemy	0.541	0.583	0.693	אַלטשעמיע
alcohol	0.323	0.667	0.377	אַלקאָהאָל
alcoholic	0.153	0.688	0.361	אַלקאָהאָליקער
alcoholism	0.061	0.779	0.407	אַלקאַכאָליזאַם
alcove	0.490	0.340	0.356	אַלקאָווע
alderman	0.550	0.459	0.691	אַלדערמאַן
ale	0.530	0.450	0.358	ביר
alert	0.479	0.820	0.648	פלינק
alertness	0.375	0.875	0.750	אַלערטנאַס
alerts	0.337	0.804	0.673	אַלערץ
alfalfa	0.546	0.250	0.311	אַלפאַלפאַ
algebra	0.440	0.340	0.565	אַלגעבראַ
algebraic	0.531	0.412	0.441	אַלגעבראַיק
algorithm	0.448	0.394	0.559	אַלגערידאַם
alias	0.541	0.353	0.333	alias
alibi	0.396	0.528	0.556	אַליבי
alien	0.410	0.615	0.491	פרעמד
alienate	0.247	0.500	0.523	פרעמדע
alienated	0.410	0.423	0.559	פרעמד
alienation	0.378	0.530	0.462	ייליאַניישאַן
alight	0.667	0.657	0.605	אַליגהט
align	0.656	0.364	0.627	align
aligned	0.583	0.275	0.553	אַליינד
alignment	0.643	0.412	0.683	אַליינמאַנט
alike	0.653	0.173	0.444	ענלעך
alimentation	0.781	0.551	0.602	alimentation
alimony	0.612	0.477	0.464	alimentation
aliquot	0.440	0.310	0.404	aliquot
alive	0.816	0.637	0.731	לעבעדיק
alkali	0.490	0.350	0.408	אַלקאַלי
alkaloids	0.433	0.562	0.402	אַלקאַלוידז
allay	0.417	0.406	0.398	אָפּרוען
allegation	0.578	0.578	0.608	באַשולדיקונג
allege	0.418	0.482	0.587	טענהן
alleged	0.365	0.522	0.520	אַלעדזשד
allegiance	0.917	0.398	0.750	געטרייַשאַפט
allegorical	0.517	0.558	0.598	אַלעגאָריש
allegory	0.615	0.580	0.509	אַלאַגאָרי
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	אַלערדזשיק
allergy	0.296	0.606	0.389	אַלערגיע
alleviate	0.869	0.270	0.528	גרינגער מאַכן
alleviation	0.735	0.200	0.491	גרינגערהייט
alley	0.347	0.500	0.355	אַלייע
alleyway	0.357	0.471	0.382	אַליוויי
alliance	0.696	0.473	0.769	בונד
allied	0.714	0.245	0.642	אַלליעד
alligator	0.354	0.704	0.645	אַלאַגייטער
allocate	0.673	0.462	0.672	צוטיילן
allocation	0.604	0.388	0.679	אַלאַקיישאַן
allot	0.622	0.481	0.616	צוטיילן
allotment	0.600	0.390	0.640	אַלאַטמאַנט
allow	0.698	0.429	0.538	לאָזן
allowable	0.698	0.500	0.561	ערלויבט
allowance	0.673	0.382	0.591	פּענסיע
allowed	0.730	0.360	0.655	ערלויבט
alloy	0.583	0.443	0.593	צומיש
allsmiles	0.786	0.528	0.430	אַלע מיילז
allure	0.804	0.585	0.686	פאַרנאַרן
alluring	0.837	0.745	0.843	אַלורינג
allusion	0.440	0.308	0.462	רמז
alluvial	0.323	0.490	0.491	אַלווויאַל
ally	0.792	0.320	0.688	אַליירט
almanac	0.688	0.190	0.412	אַלמאַנאַך
almighty	0.938	0.874	0.958	אלמעכטיקער
almond	0.698	0.183	0.314	מאַנדל
aloft	0.771	0.373	0.700	הויך
aloha	0.698	0.440	0.441	אַלאָהאַ
alone	0.333	0.167	0.216	אַליין
alongside	0.458	0.333	0.347	צוזאמען
aloof	0.189	0.423	0.302	אַלאָף
aloud	0.458	0.713	0.750	הויך
alpha	0.708	0.340	0.755	אַלף
alphabet	0.562	0.204	0.672	אלפאבעט
alphabetical	0.537	0.296	0.535	אַלפאַבעטיקאַל
alpine	0.594	0.337	0.474	אַלפּיין
alreadyyyyy	0.592	0.717	0.351	שויןיייי
altar	0.724	0.387	0.635	מזבח
altar boy	0.434	0.206	0.350	מזבח יינגל
alter	0.333	0.694	0.654	ענדערן
alteration	0.167	0.798	0.609	אָלטעריישאַן
altercation	0.170	0.806	0.500	אָלטעריישאַן
altered	0.255	0.765	0.500	פארענדערט
alternate	0.625	0.363	0.589	בייַטנ לויט דער ריי
alternating	0.480	0.494	0.542	אָלטערנאַטיוו
alternative	0.628	0.373	0.631	אנדער ברירה
altimeter	0.615	0.510	0.580	הייך מעטער
altitude	0.708	0.482	0.736	הייך
alto	0.656	0.404	0.730	alto
altogether	0.833	0.324	0.644	אלע צוזאמען
aluminum	0.449	0.280	0.434	אַלומינום
alumnus	0.633	0.368	0.422	אַלומנוס
alveolar	0.469	0.481	0.367	אַלוועאָלאַר
alzheimers	0.194	0.518	0.319	אַלזשעימערס
amalgam	0.438	0.333	0.510	אַמאַלגאַם
amalgamation	0.406	0.470	0.531	אַמאַלגיישאַן
amaretto	0.543	0.551	0.375	אַמאַרעטטאָ
amass	0.552	0.465	0.465	צונויפגיסן
