English Word	Valence	Arousal	Dominance	Malagasy Word
absence	0.153	0.235	0.266	tsy fisian'ny
absent	0.177	0.221	0.116	tsy eo
absentee	0.235	0.330	0.279	tsy tonga
absenteeism	0.404	0.273	0.357	tsy tonga
absinthe	0.481	0.510	0.462	absinthe
absolute	0.526	0.510	0.827	tanteraka
absolution	0.715	0.500	0.664	famotsoran-keloka
absolve	0.684	0.449	0.660	hanafaka
absorb	0.469	0.558	0.670	mandray
absorbed	0.490	0.471	0.519	variana
absorbent	0.552	0.394	0.718	absorbent
absorbing	0.490	0.490	0.578	mitroka
absorption	0.609	0.422	0.446	hisakana ny fiasan'ireny
abstain	0.385	0.385	0.427	Fadio
abstention	0.271	0.264	0.509	koa nilaza hoe mpankahala
abstinence	0.260	0.392	0.429	tsy nihinan-kanina
abstract	0.438	0.292	0.444	saro-takarina
abstraction	0.469	0.439	0.525	abstraction
absurd	0.188	0.656	0.284	tsy mitombina
absurdity	0.115	0.528	0.227	hadalàna
abundance	0.812	0.690	0.852	be dia be
abundant	0.958	0.590	0.760	be
abuse	0.071	0.873	0.469	fanararaotana
abused	0.021	0.874	0.235	ampijalina
abusive	0.125	0.903	0.567	herisetra
abutment	0.500	0.265	0.616	abutment
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	nahatsiravina ny
abyss	0.353	0.725	0.296	lavaka tsy hita noanoa
academic	0.781	0.420	0.812	akademika
academy	0.704	0.473	0.792	Akademia
accede	0.698	0.510	0.537	manaiky
accelerant	0.643	0.844	0.802	manafaingana
accelerate	0.615	0.902	0.759	haingana
accelerated	0.610	0.812	0.682	haingana
acceleration	0.704	0.905	0.843	haingana
accelerator	0.593	0.830	0.812	Mandehana mafimafy kokoa
accent	0.598	0.357	0.509	lantom-peony
accentuate	0.673	0.556	0.667	Asongadin'ireny
accept	0.847	0.286	0.565	MANAIKY
acceptable	0.812	0.286	0.583	azo ekena
acceptance	0.833	0.287	0.755	fanekena
acceptances	0.847	0.413	0.648	fanekena
access	0.714	0.472	0.567	fidirana
accessible	0.796	0.410	0.645	azo idirana
accession	0.612	0.383	0.636	fidirana
accessory	0.562	0.292	0.445	fanampin-javatra
accident	0.125	0.908	0.336	loza
accidental	0.319	0.784	0.307	nahy
accidentally	0.333	0.741	0.333	tsy nahy
acclaim	0.562	0.809	0.718	laza
accolade	0.688	0.591	0.775	accolade
accommodate	0.844	0.375	0.566	handraisana
accommodation	0.817	0.415	0.587	zavatra ilaina
accompaniment	0.740	0.479	0.695	arahina
accompany	0.833	0.406	0.585	hiaraka
accompanying	0.787	0.460	0.582	laoka
accomplice	0.408	0.580	0.510	mpiray tsikombakomba
accomplish	0.929	0.673	0.816	hanatanteraka
accomplished	0.870	0.520	0.798	tanteraka
accomplishment	0.917	0.694	0.888	zava-bita
accord	0.898	0.264	0.382	mifanaraka
accordance	0.659	0.349	0.600	mifanaraka
accordion	0.604	0.490	0.361	angorodao
account	0.531	0.347	0.472	TANTARA
accountability	0.755	0.537	0.833	andraikitra
accountable	0.709	0.282	0.777	tompon 'andraikitra
accountant	0.625	0.450	0.639	kaonty
accounting	0.552	0.390	0.677	fitantanam-bola
accounts	0.592	0.340	0.471	kaonty
accredited	0.669	0.479	0.768	deraina
accretion	0.448	0.519	0.672	accretion
accrue	0.520	0.481	0.602	hampitombo
accueil	0.450	0.451	0.470	fandraisana
accumulate	0.573	0.536	0.607	hanangonany
accumulation	0.479	0.527	0.600	fanangonan-karena
accuracy	0.604	0.481	0.802	araka ny marina
accurate	0.743	0.360	0.737	marina
accursed	0.135	0.745	0.345	voaozona
accusation	0.073	0.718	0.564	fiampangana
accusative	0.198	0.755	0.482	Zavatra
accuse	0.133	0.752	0.500	miampanga
accused	0.130	0.670	0.420	voampanga
accuser	0.122	0.779	0.615	mpiampanga
accusing	0.156	0.745	0.324	niampanga
accustomed	0.542	0.365	0.441	zatra
ace	0.643	0.481	0.546	abidy
acetic	0.333	0.420	0.519	acetic
acetylene	0.306	0.469	0.509	acetylene
ache	0.146	0.760	0.312	fanaintainana
achieve	0.816	0.545	0.843	hanatrarana
achieved	0.896	0.519	0.775	tratra
achievement	0.896	0.808	0.759	zava-bitany
aching	0.053	0.880	0.348	Nanaintaina
achy	0.167	0.840	0.373	achy
acid	0.265	0.642	0.566	asidra
acidity	0.156	0.663	0.360	asidra
acknowledge	0.786	0.370	0.661	Fantaro
acknowledged	0.714	0.443	0.765	niaiky
acknowledgement	0.819	0.539	0.830	fahalalana
acknowledgment	0.796	0.528	0.777	fiekena
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	refin-
acorn	0.448	0.198	0.192	voa kelin'ny fangatahana
acoustic	0.542	0.462	0.536	acoustic
acoustics	0.611	0.330	0.509	acoustics
acquaint	0.646	0.491	0.639	Mifankazara amin'ny Tsitoha
acquaintance	0.656	0.290	0.670	olom-pantany
acquainted	0.906	0.358	0.632	hahafantatra
acquiescence	0.542	0.480	0.554	fanekena
acquire	0.833	0.468	0.700	Nahazo
acquiring	0.735	0.510	0.817	mahazo
acquisition	0.698	0.509	0.736	fahazoana
acquisitions	0.773	0.660	0.790	novidiny
acquit	0.583	0.571	0.611	manamarina
acquittal	0.760	0.497	0.700	fanafahana
acre	0.583	0.387	0.423	hektara
acreage	0.741	0.450	0.528	hektara
acres	0.510	0.363	0.500	hektara
acrobat	0.708	0.828	0.602	akrobat
acrylic	0.582	0.279	0.420	acrylic
act	0.656	0.704	0.735	zavatra
acting	0.698	0.643	0.500	hanao zavatra
action	0.760	0.898	0.802	hetsika
action figure	0.615	0.774	0.611	sary mihetsika
actionable	0.673	0.702	0.613	azo atao
activate	0.764	0.650	0.806	hampavitrika
activation	0.781	0.800	0.754	fampahavitrihana
active	0.847	0.730	0.731	mavitrika
activist	0.531	0.653	0.877	mafana fo
activity	0.701	0.660	0.807	asa
actor	0.653	0.561	0.629	mpilalao sarimihetsika
actress	0.633	0.556	0.596	mpilalao sarimihetsika
actual	0.729	0.400	0.716	RAHA TENA
actuality	0.750	0.464	0.600	raha ny marina
actuary	0.510	0.404	0.491	actuary
acuity	0.469	0.378	0.741	acuity
acumen	0.564	0.660	0.679	fahaizana manamboatra
acupuncture	0.531	0.324	0.549	tsindrona volamena
acute	0.427	0.652	0.534	maranitra
acutely	0.417	0.543	0.491	acutely
ad	0.521	0.705	0.558	taorian 'i jk
adage	0.517	0.415	0.566	fomba fiteny
adamant	0.344	0.529	0.575	nanaiky
adapt	0.740	0.355	0.551	Ampifanaraho
adaptable	0.735	0.423	0.641	hilefitra
adaptation	0.663	0.365	0.609	fampifanarahana
add	0.728	0.490	0.554	hametraka
added	0.562	0.405	0.509	nanampy
addendum	0.392	0.370	0.418	addendum
adder	0.388	0.461	0.588	menarana
addict	0.075	0.696	0.327	-mahadomelina
addicted	0.156	0.712	0.483	nandevozin'ny
addiction	0.180	0.806	0.420	fiankinan-doha
addictive	0.302	0.683	0.472	doha
addition	0.562	0.373	0.471	koa
additional	0.673	0.462	0.526	fanampiny
additive	0.561	0.633	0.691	additive
address	0.650	0.327	0.567	adiresy
addressee	0.622	0.382	0.538	adiresy
addresses	0.510	0.354	0.450	adiresy
adept	0.594	0.539	0.789	zatra
adequacy	0.615	0.435	0.702	adequacy
adequate	0.854	0.264	0.705	sahaza
adhere	0.633	0.339	0.554	manaraka
adherence	0.760	0.307	0.630	firaiketana
adherent	0.561	0.385	0.555	mpanaraka
adhering	0.612	0.561	0.537	manaraka
adhesion	0.521	0.445	0.586	hidiran'i
adhesive	0.604	0.350	0.413	adhesive
adieu	0.250	0.471	0.342	adieu
adipose	0.333	0.350	0.391	adipose
adjacency	0.365	0.417	0.375	mifanakaiky
adjacent	0.645	0.276	0.536	mifanila
adjective	0.570	0.316	0.569	mpamaritra
adjoining	0.520	0.400	0.393	nifanila
adjourn	0.385	0.456	0.475	-pivoriany
adjournment	0.438	0.510	0.370	fiafaran'ny
adjudicate	0.559	0.520	0.683	mitsara
adjudication	0.551	0.462	0.691	fitsarana
adjunct	0.459	0.440	0.426	fanampiny
adjust	0.647	0.327	0.638	hanitsy
adjuster	0.510	0.540	0.760	adjuster
adjustment	0.590	0.520	0.661	fanitsiana
adjuvant	0.510	0.500	0.456	adjuvant
admin	0.688	0.420	0.854	admin
administer	0.635	0.425	0.860	hitantana
administration	0.625	0.404	0.786	fitantanan-draharaha
administrative	0.542	0.415	0.579	panjakana
administrator	0.538	0.480	0.902	mpandrindra
admirable	0.929	0.600	0.870	mendri-piderana
admiral	0.844	0.490	0.847	amiral
admiralty	0.594	0.547	0.733	admiralty
admiration	0.969	0.583	0.726	fahatalanjonana sy fifaliana
admire	0.867	0.692	0.704	mahafinaritra
admired	0.917	0.560	0.815	hidera
admirer	0.796	0.720	0.650	mpankafy
admiring	0.867	0.578	0.629	Talanjona
admissibility	0.802	0.580	0.602	admissibility
admissible	0.780	0.528	0.642	raisina
admission	0.802	0.415	0.732	fieken-keloka
admit	0.538	0.423	0.667	niaiky
admittance	0.690	0.451	0.598	entina
admitted	0.720	0.490	0.767	niaiky
admitting	0.620	0.500	0.546	niaiky
admixture	0.450	0.375	0.438	nampiasainy
admonition	0.357	0.606	0.455	torohevitra
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	zatovo
adolescent	0.781	0.680	0.509	tanora
adopt	0.694	0.612	0.701	mandany
adoption	0.625	0.566	0.589	fananganana
adoptive	0.531	0.469	0.520	nitaiza azy
adorable	0.969	0.519	0.457	mahatehotia
adoration	0.885	0.699	0.708	fitsaohana
adore	0.854	0.438	0.657	mankafy
adoring	0.885	0.620	0.717	fiankohofana
adorn	0.910	0.424	0.482	mandravaka
adornment	0.918	0.373	0.377	haingo
adrenalin	0.865	0.920	0.786	adrénaline
adrenaline	0.765	0.965	0.825	adrenaline
adrift	0.398	0.486	0.230	mirenireny
adult	0.815	0.491	0.787	olon-dehibe
adulterated	0.188	0.865	0.370	milaza azy
adulterer	0.229	0.814	0.407	mpanitsakitsa-bady
adultery	0.120	0.922	0.510	ny fanitsakitsaham-bady
adulthood	0.541	0.454	0.652	olon-dehibe
advance	0.673	0.472	0.858	mialoha
advanced	0.844	0.623	0.797	mandroso
advancement	0.776	0.650	0.839	fandrosoanao
advancing	0.929	0.608	0.812	dia efa mandroso
advantage	0.917	0.548	0.859	tombony
advantageous	0.837	0.640	0.789	mahasoa
advent	0.665	0.560	0.627	fiavian'ny
adventure	0.917	0.857	0.710	traikefa nahafinaritra
adventurer	0.781	0.839	0.868	mpisantatra
adventures	0.812	0.764	0.749	niainany
adventurous	0.969	0.898	0.722	sahisahy
adversary	0.349	0.777	0.457	fahavalo
adverse	0.323	0.610	0.385	voka
adversity	0.276	0.760	0.538	tsarotra
advertise	0.500	0.529	0.580	hanambara
advertisement	0.600	0.566	0.539	dokam-barotra
advertising	0.622	0.608	0.632	DOKAMBAROTRA
adverts	0.551	0.500	0.595	dokam-barotra
advice	0.698	0.408	0.688	toro-hevitra
advisable	0.867	0.480	0.510	tokony hatao
advise	0.760	0.393	0.705	manoro hevitra
advised	0.823	0.330	0.509	nanoro hevitra
advisement	0.698	0.235	0.655	nifampisaina,
adviser	0.745	0.362	0.705	mpanolo-tsaina
advisor	0.646	0.350	0.689	mpanolotsaina
advisory	0.656	0.429	0.633	Mpanolo-tsaina
advocacy	0.500	0.646	0.731	fisoloana vava
advocate	0.551	0.530	0.818	mpiaro
aegis	0.490	0.439	0.462	aegis
aeration	0.550	0.500	0.433	aeration
aerial	0.615	0.461	0.463	avy eny ambony
aerobics	0.708	0.771	0.627	aerôbika
aerodrome	0.541	0.740	0.678	aerodrome
aerodynamic	0.561	0.724	0.728	aerodynamic
aerodynamics	0.590	0.663	0.722	aerodynamics
aeronautics	0.551	0.633	0.688	aeronautika
aeroplane	0.714	0.642	0.644	fiaramanidina
aerospace	0.643	0.520	0.779	aerospace
aesthetic	0.708	0.442	0.526	hatsarana
aesthetics	0.847	0.327	0.549	aesthetics
aetiology	0.480	0.398	0.615	aetiology
afar	0.396	0.373	0.358	lavitra
affable	0.704	0.380	0.452	affable
affair	0.520	0.459	0.657	Zava
affect	0.458	0.569	0.578	vokany eo
affecting	0.350	0.574	0.394	miantraika
affection	0.898	0.559	0.696	fitiavana
affectionate	0.949	0.422	0.550	be fitiavana
affections	0.760	0.547	0.655	fitiavana
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	affidavit
affiliated	0.673	0.519	0.535	mpikambana
affiliation	0.615	0.594	0.500	firehana
affinity	0.800	0.500	0.537	vinanton'i
affirm	0.745	0.509	0.731	manamafy
affirmation	0.750	0.500	0.689	hoy
affirmative	0.854	0.589	0.816	affirmative
affirmatively	0.908	0.500	0.811	fankatoavana no
affix	0.438	0.335	0.411	tahirin-tsiry
afflict	0.302	0.555	0.293	mampahory
afflicted	0.271	0.500	0.167	ory
affliction	0.294	0.635	0.392	fahoriana
affluence	0.663	0.618	0.722	fananan-tany
affluent	0.756	0.388	0.477	manankarena
afford	0.571	0.580	0.575	manam-bola
affordable	0.840	0.398	0.493	takatry
affront	0.327	0.740	0.547	tafintohina
affronted	0.385	0.750	0.527	ampahoriana
afield	0.594	0.370	0.373	Nivezivezy
afire	0.367	0.904	0.675	afo
afloat	0.602	0.427	0.444	mitsinkafona
afore	0.500	0.337	0.382	rahateo
aforementioned	0.490	0.316	0.408	voalaza teo aloha
aforesaid	0.531	0.358	0.478	voalaza teo aloha
afraid	0.010	0.775	0.245	raiki-tahotra
afresh	0.643	0.521	0.480	indray amin'ny
aft	0.480	0.417	0.518	aft
afterlife	0.571	0.567	0.568	any ankoatra
aftermath	0.312	0.449	0.444	taorian'ny
afternoon	0.533	0.388	0.339	tOLAKANDRO
aftershave	0.406	0.384	0.415	aftershave
aftertaste	0.354	0.362	0.455	ny vokany
afterthought	0.396	0.392	0.349	eritreritra aoriana
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	gaga kosa
agate	0.540	0.377	0.483	agata
age	0.561	0.226	0.498	TAONA
aged	0.135	0.365	0.236	antitra
agency	0.460	0.296	0.583	fahafahana misafidy
agenda	0.531	0.296	0.553	fandaharam-potoana
agent	0.480	0.439	0.755	mpandraharaha
agglomeration	0.450	0.765	0.509	agglomération
aggravate	0.224	0.770	0.464	mainka nampahaditra
aggravated	0.079	0.760	0.430	mainka manasaro
aggravates	0.108	0.778	0.357	mampitombo
aggravating	0.257	0.794	0.640	mampitombo
aggravation	0.071	0.784	0.613	faharatsiana
aggregate	0.730	0.378	0.556	aggregate
aggregation	0.583	0.517	0.694	fanangonana
aggresive	0.059	0.971	0.639	mahery setra
aggression	0.094	0.929	0.533	herisetra
aggressive	0.125	0.949	0.648	masiaka
aggressively	0.250	0.926	0.688	mahery vaika
aggressiveness	0.077	0.913	0.648	masiaka
aggressor	0.146	0.948	0.823	mpanafika
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	mahatahotra
aghhh	0.281	0.635	0.243	aghhh
agile	0.800	0.657	0.775	mailaka
agility	0.720	0.702	0.815	fahaizany mamikitra
aging	0.214	0.255	0.284	be taona
agitate	0.300	0.796	0.593	hanakorontana
agitated	0.444	0.882	0.491	mikorontana
agitation	0.240	0.931	0.447	pahoriana
aglow	0.780	0.510	0.797	Narehitry
agnostic	0.306	0.396	0.574	agnôstika
ago	0.317	0.280	0.404	lasa izay
agonizing	0.083	0.800	0.340	sasa-
agony	0.083	0.775	0.393	fanaintainana
agoraphobia	0.127	0.712	0.438	agoraphobia
agree	0.906	0.260	0.545	manaiky
agreeable	0.906	0.500	0.696	manaiky hiara
agreed	0.797	0.449	0.574	nanaiky
agreeing	0.854	0.480	0.557	nanaiky
agreement	0.760	0.440	0.736	fifanarahana
agressive	0.083	0.918	0.751	mahery setra
agricultural	0.686	0.321	0.473	FAMBOLENA
agriculture	0.640	0.357	0.465	FAMBOLENA
aground	0.333	0.340	0.445	hidona
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	mialoha
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhhh
ahoy	0.500	0.497	0.380	aho
aid	0.796	0.491	0.541	fanampiana
aide	0.724	0.342	0.434	mpanampy
aiding	0.643	0.533	0.569	fanampiana
aids	0.561	0.480	0.500	SIDA
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	marary
ailment	0.146	0.734	0.277	aretina
aim	0.481	0.569	0.567	tanjona
aimless	0.150	0.267	0.183	tsy misy tanjona
air	0.708	0.163	0.427	rivotra
airbag	0.510	0.402	0.433	airbag
airborne	0.542	0.519	0.385	mahazo haavo
aircraft	0.646	0.644	0.691	fiaramanidina
aircraft carrier	0.490	0.740	0.727	mpitatitra fiaramanidina
airfield	0.601	0.650	0.645	aerodrom
airhead	0.271	0.481	0.276	airhead
airlift	0.573	0.622	0.642	fiaramanidina
airline	0.650	0.482	0.688	fiaramanidina
airliner	0.667	0.777	0.647	fiaramanidina
airlock	0.398	0.520	0.447	airlock
airman	0.587	0.716	0.721	Miaramila mpanamory fiaramanidina
airplane	0.719	0.702	0.708	fiaramanidina
airport	0.729	0.684	0.682	Airport
airs	0.583	0.196	0.370	hiseho hahalala
airship	0.542	0.472	0.529	fiaramanidina
airspace	0.562	0.510	0.640	habakabaka
airspeed	0.583	0.780	0.544	hafainganam-pandeha
airstrip	0.550	0.690	0.649	fiaramanidina
airtight	0.479	0.381	0.570	tazonina
airway	0.638	0.585	0.482	lalan-drivotra
aisle	0.438	0.222	0.283	ila
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	ajar
aka	0.459	0.358	0.351	antsoina
akin	0.639	0.343	0.523	tahaka
alabaster	0.542	0.404	0.445	vatosanga fasiana
alarm	0.241	0.882	0.698	fanairana
alarm clock	0.542	0.727	0.642	famantaranandro fanairana
alarmed	0.188	0.822	0.492	taitra
alarming	0.204	0.890	0.585	manaitra tokoa
alas	0.571	0.310	0.279	Indrisy
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	lohovava
albino	0.500	0.240	0.358	albino
album	0.635	0.349	0.453	raki-kira
alchemy	0.541	0.583	0.693	simia
alcohol	0.323	0.667	0.377	alikaola
alcoholic	0.153	0.688	0.361	mpisotro toaka
alcoholism	0.061	0.779	0.407	fisotroan-toaka
alcove	0.490	0.340	0.356	alcove
alderman	0.550	0.459	0.691	mpanolotsain'ny tanàna
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	mailo
alertness	0.375	0.875	0.750	mailo
alerts	0.337	0.804	0.673	fanairana
alfalfa	0.546	0.250	0.311	alfalfa
algebra	0.440	0.340	0.565	algèbre
algebraic	0.531	0.412	0.441	algebra
algorithm	0.448	0.394	0.559	algorithm
alias	0.541	0.353	0.333	antsoina
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	vahiny
alienate	0.247	0.500	0.523	hafindrany
alienated	0.410	0.423	0.559	lavitra
alienation	0.378	0.530	0.462	fahafoizako
alight	0.667	0.657	0.605	midina
align	0.656	0.364	0.627	Alahatra
aligned	0.583	0.275	0.553	mifanaraka
alignment	0.643	0.412	0.683	fampifanarahana
alike	0.653	0.173	0.444	mitovy
alimentation	0.781	0.551	0.602	alimentation
alimony	0.612	0.477	0.464	alimony
aliquot	0.440	0.310	0.404	aliquot
alive	0.816	0.637	0.731	VELONA
alkali	0.490	0.350	0.408	alkali
alkaloids	0.433	0.562	0.402	alkaloida
allay	0.417	0.406	0.398	tiana
allegation	0.578	0.578	0.608	filazana
allege	0.418	0.482	0.587	milaza
alleged	0.365	0.522	0.520	lazaina
allegiance	0.917	0.398	0.750	tsy hivadika
allegorical	0.517	0.558	0.598	fanoharana
allegory	0.615	0.580	0.509	fanoharana
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	Tsy mahazaka
allergy	0.296	0.606	0.389	allergy
alleviate	0.869	0.270	0.528	hanamaivanana
alleviation	0.735	0.200	0.491	fanamaivanana
alley	0.347	0.500	0.355	làlan-kere
alleyway	0.357	0.471	0.382	lalankely
alliance	0.696	0.473	0.769	fifanarahana
allied	0.714	0.245	0.642	Mpiray Dina
alligator	0.354	0.704	0.645	alligator
allocate	0.673	0.462	0.672	zarao
allocation	0.604	0.388	0.679	fanomezana
allot	0.622	0.481	0.616	zarao
allotment	0.600	0.390	0.640	anjara
allow	0.698	0.429	0.538	Avelao
allowable	0.698	0.500	0.561	azo atao
allowance	0.673	0.382	0.591	hanina
allowed	0.730	0.360	0.655	navela
alloy	0.583	0.443	0.593	firaka
allsmiles	0.786	0.528	0.430	allsmiles
allure	0.804	0.585	0.686	fitaoman'ity
alluring	0.837	0.745	0.843	mahasarika
allusion	0.440	0.308	0.462	manondro
alluvial	0.323	0.490	0.491	alluvial
ally	0.792	0.320	0.688	mpiara
almanac	0.688	0.190	0.412	almàka
almighty	0.938	0.874	0.958	Mahery Indrindra
almond	0.698	0.183	0.314	amygdala
aloft	0.771	0.373	0.700	fiaran'Andriamanitra
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	irery
alongside	0.458	0.333	0.347	miaraka
aloof	0.189	0.423	0.302	miraharaha
aloud	0.458	0.713	0.750	amin'ny feo avo
alpha	0.708	0.340	0.755	Alfa
alphabet	0.562	0.204	0.672	abidy
alphabetical	0.537	0.296	0.535	abidy
alpine	0.594	0.337	0.474	alpine
alreadyyyyy	0.592	0.717	0.351	efayyyy
altar	0.724	0.387	0.635	alitara
altar boy	0.434	0.206	0.350	zazalahy alitara
alter	0.333	0.694	0.654	manova
alteration	0.167	0.798	0.609	fanovana, fiovana
altercation	0.170	0.806	0.500	fifamaliana
altered	0.255	0.765	0.500	novaina
alternate	0.625	0.363	0.589	mifandimby
alternating	0.480	0.494	0.542	mifandimby
alternative	0.628	0.373	0.631	Anarana iombonana amin'ny
altimeter	0.615	0.510	0.580	altimetre
altitude	0.708	0.482	0.736	altitude
alto	0.656	0.404	0.730	alto
altogether	0.833	0.324	0.644	tanteraka
aluminum	0.449	0.280	0.434	VIRATY
alumnus	0.633	0.368	0.422	alumnus
alveolar	0.469	0.481	0.367	alveolar
alzheimers	0.194	0.518	0.319	Alzheimer
amalgam	0.438	0.333	0.510	mifangaro
amalgamation	0.406	0.470	0.531	fanakambanana
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	hanangonana
amateur	0.469	0.500	0.409	amateur
amaze	0.896	0.843	0.783	velively mampitolagaga
amazed	0.796	0.779	0.533	gaga
amazedness	0.827	0.872	0.510	fahagagana
amazement	0.750	0.800	0.639	Ary talanjona
amazing	0.906	0.837	0.849	MAHAVARIANA
amazingly	0.918	0.765	0.920	mahagaga
ambassador	0.651	0.529	0.917	masoivoho
amber	0.635	0.308	0.369	amber
ambience	0.735	0.356	0.426	ambiansy
ambient	0.625	0.360	0.582	ambient
ambiguity	0.164	0.460	0.370	MANJAVOZAVO
ambiguous	0.265	0.462	0.358	mazava
ambit	0.479	0.380	0.386	ambit
ambition	0.510	0.804	0.661	faniriana
ambitious	0.484	0.821	0.717	fatra-paniry laza
ambivalent	0.510	0.404	0.482	mino an'izany
ambrosia	0.571	0.452	0.480	ambrosia
ambulance	0.500	0.750	0.609	fiara mpitondra marary
ambush	0.281	0.830	0.500	otrika
ameliorate	0.770	0.548	0.747	manatsara
amen	0.781	0.182	0.542	amena
amenable	0.448	0.410	0.406	tompon'andraikitra manoloana
amend	0.688	0.406	0.658	ataovy tsara
amendment	0.531	0.459	0.606	FANITSIANA
amends	0.640	0.366	0.517	hanonitra
amenity	0.750	0.327	0.574	amenity
amethyst	0.622	0.406	0.517	ametysta
amiable	0.847	0.290	0.483	mahafinaritra
amicable	0.875	0.330	0.507	milamina
amid	0.510	0.340	0.256	eo anivon'ny
amidst	0.480	0.330	0.316	anatin'ny
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	ammo
ammonia	0.292	0.587	0.409	amoniaka
ammonium	0.354	0.396	0.368	Ammonium
ammunition	0.338	0.635	0.667	bala
amnesia	0.296	0.330	0.308	amnesia
amnesty	0.551	0.451	0.814	famotsoran-keloka
amorous	0.844	0.670	0.636	Amorous
amorphous	0.327	0.402	0.349	amorphous
amortization	0.592	0.491	0.522	amortization
amount	0.562	0.422	0.649	vola
amour	0.865	0.480	0.652	amour
amp	0.439	0.393	0.375	DIEM
ampersand	0.480	0.448	0.483	ampersand
amphetamines	0.133	0.667	0.526	amphetamines
amphibian	0.427	0.357	0.474	sahona
amphibious	0.479	0.346	0.445	amphibious
amphitheater	0.653	0.480	0.545	fanaovana fampisehoana
ample	0.744	0.349	0.719	ampy
amplification	0.690	0.677	0.810	amplification
amplify	0.677	0.735	0.827	hanamafisana
amplitude	0.694	0.439	0.692	amplitude
amply	0.781	0.431	0.766	ampy
amputate	0.092	0.660	0.509	tapa-kazo
amputation	0.100	0.755	0.483	fanapahana ilay rantsambatana
amuck	0.385	0.602	0.321	amuck
amulet	0.781	0.260	0.630	amulet
amuse	0.812	0.684	0.664	voly
