English Word	Valence	Arousal	Dominance	Albanian Word
acknowledge	0.786	0.370	0.661	pranoj
acknowledged	0.714	0.443	0.765	pranoi
acknowledgement	0.819	0.539	0.830	mirënjohje
acknowledgment	0.796	0.528	0.777	mirënjohje
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	aknet
acorn	0.448	0.198	0.192	lis
acoustic	0.542	0.462	0.536	akustike
acoustics	0.611	0.330	0.509	akustikë
acquaint	0.646	0.491	0.639	të njohur
acquaintance	0.656	0.290	0.670	njohje
acquainted	0.906	0.358	0.632	i njohur
acquiescence	0.542	0.480	0.554	pajtim
acquire	0.833	0.468	0.700	fitojnë
acquiring	0.735	0.510	0.817	duke përvetësuar
acquisition	0.698	0.509	0.736	përvetësimi
acquisitions	0.773	0.660	0.790	blerjet
acquit	0.583	0.571	0.611	shfajësoj
acquittal	0.760	0.497	0.700	shfajësimi
acre	0.583	0.387	0.423	hektar
acreage	0.741	0.450	0.528	sipërfaqe në sipërfaqe
acres	0.510	0.363	0.500	hektarë
acrobat	0.708	0.828	0.602	akrobat
acrylic	0.582	0.279	0.420	akrilik
act	0.656	0.704	0.735	veprojnë
acting	0.698	0.643	0.500	duke vepruar
action	0.760	0.898	0.802	veprim
action figure	0.615	0.774	0.611	figure aksioni
actionable	0.673	0.702	0.613	vepruese
activate	0.764	0.650	0.806	aktivizoni
activation	0.781	0.800	0.754	aktivizimi
active	0.847	0.730	0.731	aktive
activist	0.531	0.653	0.877	aktivist
activity	0.701	0.660	0.807	aktivitet
actor	0.653	0.561	0.629	aktor
actress	0.633	0.556	0.596	aktore
actual	0.729	0.400	0.716	aktuale
actuality	0.750	0.464	0.600	aktualiteti
actuary	0.510	0.404	0.491	aktuari
acuity	0.469	0.378	0.741	mprehtësia
acumen	0.564	0.660	0.679	mendjemprehtësi
acupuncture	0.531	0.324	0.549	akupunkturë
acute	0.427	0.652	0.534	akute
acutely	0.417	0.543	0.491	në mënyrë akute
ad	0.521	0.705	0.558	ad
adage	0.517	0.415	0.566	fjalë e urtë
adamant	0.344	0.529	0.575	këmbëngulës
adapt	0.740	0.355	0.551	përshtaten
adaptable	0.735	0.423	0.641	adaptueshëm
adaptation	0.663	0.365	0.609	adaptim
add	0.728	0.490	0.554	shtoni
added	0.562	0.405	0.509	shtuar
addendum	0.392	0.370	0.418	shtojcë
adder	0.388	0.461	0.588	shtues
addict	0.075	0.696	0.327	i varur
addicted	0.156	0.712	0.483	i varur
addiction	0.180	0.806	0.420	varësia
addictive	0.302	0.683	0.472	të varur
addition	0.562	0.373	0.471	shtesë
additional	0.673	0.462	0.526	shtesë
additive	0.561	0.633	0.691	aditiv
address	0.650	0.327	0.567	adresë
addressee	0.622	0.382	0.538	adresues
addresses	0.510	0.354	0.450	adresat
adept	0.594	0.539	0.789	i aftë
adequacy	0.615	0.435	0.702	përshtatshmërisë
adequate	0.854	0.264	0.705	adekuate
adhere	0.633	0.339	0.554	përmbahen
adherence	0.760	0.307	0.630	aderimin
adherent	0.561	0.385	0.555	aderues
adhering	0.612	0.561	0.537	duke u përmbajtur
adhesion	0.521	0.445	0.586	ngjitja
adhesive	0.604	0.350	0.413	ngjitës
adieu	0.250	0.471	0.342	lamtumire
adipose	0.333	0.350	0.391	dhjamor
adjacency	0.365	0.417	0.375	afërsi
adjacent	0.645	0.276	0.536	ngjitur
adjective	0.570	0.316	0.569	mbiemër
adjoining	0.520	0.400	0.393	ngjitur
adjourn	0.385	0.456	0.475	shtyj
adjournment	0.438	0.510	0.370	shtyrje
adjudicate	0.559	0.520	0.683	gjykoj
adjudication	0.551	0.462	0.691	gjykimi
adjunct	0.459	0.440	0.426	ndihmës
adjust	0.647	0.327	0.638	rregulloj
adjuster	0.510	0.540	0.760	rregullues
adjustment	0.590	0.520	0.661	rregullimi
adjuvant	0.510	0.500	0.456	ndihmës
admin	0.688	0.420	0.854	admin
administer	0.635	0.425	0.860	administrojnë
administration	0.625	0.404	0.786	administrata
administrative	0.542	0.415	0.579	administrative
administrator	0.538	0.480	0.902	administratori
admirable	0.929	0.600	0.870	e admirueshme
admiral	0.844	0.490	0.847	admirali
admiralty	0.594	0.547	0.733	admiraliteti
admiration	0.969	0.583	0.726	admirim
admire	0.867	0.692	0.704	admiroj
admired	0.917	0.560	0.815	i admiruar
admirer	0.796	0.720	0.650	admirues
admiring	0.867	0.578	0.629	admirues
admissibility	0.802	0.580	0.602	pranueshmëria
admissible	0.780	0.528	0.642	e pranueshme
admission	0.802	0.415	0.732	pranimi
admit	0.538	0.423	0.667	pranoj
admittance	0.690	0.451	0.598	pranimi
admitted	0.720	0.490	0.767	pranuar
admitting	0.620	0.500	0.546	duke pranuar
admixture	0.450	0.375	0.438	përzierje
admonition	0.357	0.606	0.455	këshillë
ado	0.520	0.423	0.385	zhurmë
adobe	0.500	0.319	0.328	qerpiçi
adolescence	0.487	0.694	0.444	adoleshencës
adolescent	0.781	0.680	0.509	adoleshent
adopt	0.694	0.612	0.701	adoptojnë
adoption	0.625	0.566	0.589	adoptimi
adoptive	0.531	0.469	0.520	adoptuese
adorable	0.969	0.519	0.457	i adhurueshëm
adoration	0.885	0.699	0.708	adhurim
adore	0.854	0.438	0.657	adhuroj
adoring	0.885	0.620	0.717	adhuruese
adorn	0.910	0.424	0.482	zbukuroj
adornment	0.918	0.373	0.377	stolisje
adrenalin	0.865	0.920	0.786	adrenalin
adrenaline	0.765	0.965	0.825	adrenalinën
adrift	0.398	0.486	0.230	larguar
adult	0.815	0.491	0.787	i rritur
adulterated	0.188	0.865	0.370	i falsifikuar
adulterer	0.229	0.814	0.407	kurorëshkelës
adultery	0.120	0.922	0.510	tradhtia bashkëshortore
adulthood	0.541	0.454	0.652	moshën madhore
advance	0.673	0.472	0.858	përpara
advanced	0.844	0.623	0.797	i avancuar
advancement	0.776	0.650	0.839	avancimi
advancing	0.929	0.608	0.812	duke avancuar
advantage	0.917	0.548	0.859	avantazh
advantageous	0.837	0.640	0.789	të favorshme
advent	0.665	0.560	0.627	ardhjen
adventure	0.917	0.857	0.710	aventurë
adventurer	0.781	0.839	0.868	aventurier
adventures	0.812	0.764	0.749	aventurat
adventurous	0.969	0.898	0.722	aventureske
adversary	0.349	0.777	0.457	kundërshtar
adverse	0.323	0.610	0.385	i pafavorshëm
adversity	0.276	0.760	0.538	fatkeqësia
advertise	0.500	0.529	0.580	reklamoj
advertisement	0.600	0.566	0.539	shpallje
advertising	0.622	0.608	0.632	reklamat
adverts	0.551	0.500	0.595	reklamat
advice	0.698	0.408	0.688	këshilla
advisable	0.867	0.480	0.510	e këshillueshme
advise	0.760	0.393	0.705	këshillë
advised	0.823	0.330	0.509	këshilluar
advisement	0.698	0.235	0.655	këshillim
adviser	0.745	0.362	0.705	këshilltar
advisor	0.646	0.350	0.689	këshilltar
advisory	0.656	0.429	0.633	këshillimore
advocacy	0.500	0.646	0.731	avokatia
advocate	0.551	0.530	0.818	avokat
aegis	0.490	0.439	0.462	egjis
aeration	0.550	0.500	0.433	ajrimi
aerial	0.615	0.461	0.463	ajrore
aerobics	0.708	0.771	0.627	gjimnastikë
aerodrome	0.541	0.740	0.678	aerodromi
aerodynamic	0.561	0.724	0.728	aerodinamike
aerodynamics	0.590	0.663	0.722	aerodinamika
aeronautics	0.551	0.633	0.688	aeronautikë
aeroplane	0.714	0.642	0.644	aeroplan
aerospace	0.643	0.520	0.779	hapësirës ajrore
aesthetic	0.708	0.442	0.526	estetike
aesthetics	0.847	0.327	0.549	estetike
aetiology	0.480	0.398	0.615	etiologji
afar	0.396	0.373	0.358	larg
affable	0.704	0.380	0.452	i dashur
affair	0.520	0.459	0.657	çështje
affect	0.458	0.569	0.578	ndikojnë
affecting	0.350	0.574	0.394	duke prekur
affection	0.898	0.559	0.696	dashuri
affectionate	0.949	0.422	0.550	i dashur
affections	0.760	0.547	0.655	afeksionet
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	betim
affiliated	0.673	0.519	0.535	të lidhur
affiliation	0.615	0.594	0.500	përkatësia
affinity	0.800	0.500	0.537	afiniteti
affirm	0.745	0.509	0.731	pohoj
affirmation	0.750	0.500	0.689	pohim
affirmative	0.854	0.589	0.816	pohuese
affirmatively	0.908	0.500	0.811	në mënyrë pozitive
affix	0.438	0.335	0.411	fiksoj
afflict	0.302	0.555	0.293	mundoj
afflicted	0.271	0.500	0.167	të vuajtur
affliction	0.294	0.635	0.392	vuajtje
affluence	0.663	0.618	0.722	begati
affluent	0.756	0.388	0.477	i pasur
afford	0.571	0.580	0.575	përballojë
affordable	0.840	0.398	0.493	të përballueshme
affront	0.327	0.740	0.547	fyerje
affronted	0.385	0.750	0.527	i fyer
afield	0.594	0.370	0.373	larg
afire	0.367	0.904	0.675	një zjarr
afloat	0.602	0.427	0.444	në det
afore	0.500	0.337	0.382	më parë
aforementioned	0.490	0.316	0.408	të lartpërmendura
aforesaid	0.531	0.358	0.478	e lartpërmendur
afraid	0.010	0.775	0.245	frikësuar
afresh	0.643	0.521	0.480	i ri
aft	0.480	0.417	0.518	pas
afterlife	0.571	0.567	0.568	jetën e përtejme
aftermath	0.312	0.449	0.444	pasojat
afternoon	0.533	0.388	0.339	pasdite
aftershave	0.406	0.384	0.415	pas rruajtjes
aftertaste	0.354	0.362	0.455	amëz
afterthought	0.396	0.392	0.349	pasmendim
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	agat
age	0.561	0.226	0.498	mosha
aged	0.135	0.365	0.236	i moshuar
agency	0.460	0.296	0.583	agjenci
agenda	0.531	0.296	0.553	rend dite
agent	0.480	0.439	0.755	agjent
agglomeration	0.450	0.765	0.509	grumbullim
aggravate	0.224	0.770	0.464	rëndojnë
aggravated	0.079	0.760	0.430	e rënduar
aggravates	0.108	0.778	0.357	rëndon
aggravating	0.257	0.794	0.640	rënduese
aggravation	0.071	0.784	0.613	rëndim
aggregate	0.730	0.378	0.556	agregat
aggregation	0.583	0.517	0.694	grumbullimi
aggresive	0.059	0.971	0.639	agresive
aggression	0.094	0.929	0.533	sulm
aggressive	0.125	0.949	0.648	agresive
aggressively	0.250	0.926	0.688	në mënyrë agresive
aggressiveness	0.077	0.913	0.648	agresiviteti
aggressor	0.146	0.948	0.823	agresor
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	i tmerruar
aghhh	0.281	0.635	0.243	aghhh
agile	0.800	0.657	0.775	i shkathët
agility	0.720	0.702	0.815	shkathtësi
aging	0.214	0.255	0.284	plakjes
agitate	0.300	0.796	0.593	agjitojnë
agitated	0.444	0.882	0.491	i trazuar
agitation	0.240	0.931	0.447	agjitacion
aglow	0.780	0.510	0.797	ndezur
agnostic	0.306	0.396	0.574	agnostik
ago	0.317	0.280	0.404	më parë
agonizing	0.083	0.800	0.340	vuajtëse
agony	0.083	0.775	0.393	agoni
agoraphobia	0.127	0.712	0.438	agorafobia
agree	0.906	0.260	0.545	dakord
agreeable	0.906	0.500	0.696	e pranueshme
agreed	0.797	0.449	0.574	ra dakord
agreeing	0.854	0.480	0.557	duke rënë dakord
agreement	0.760	0.440	0.736	marrëveshje
agressive	0.083	0.918	0.751	agresive
agricultural	0.686	0.321	0.473	bujqësore
agriculture	0.640	0.357	0.465	bujqësia
aground	0.333	0.340	0.445	në tokë
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	përpara
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhhh
ahoy	0.500	0.497	0.380	ahoy
aid	0.796	0.491	0.541	ndihma
aide	0.724	0.342	0.434	ndihmës
aiding	0.643	0.533	0.569	duke ndihmuar
aids	0.561	0.480	0.500	ndihmat
ail	0.375	0.434	0.385	sëmundje
ailing	0.094	0.518	0.153	i sëmurë
ailment	0.146	0.734	0.277	sëmundje
aim	0.481	0.569	0.567	synojnë
aimless	0.150	0.267	0.183	pa qëllim
air	0.708	0.163	0.427	ajri
airbag	0.510	0.402	0.433	airbag
airborne	0.542	0.519	0.385	ajrore
aircraft	0.646	0.644	0.691	avion
aircraft carrier	0.490	0.740	0.727	aeroplanmbajtës
airfield	0.601	0.650	0.645	aeroporti
airhead	0.271	0.481	0.276	koka ajrore
airlift	0.573	0.622	0.642	transport ajror
airline	0.650	0.482	0.688	linjë ajrore
airliner	0.667	0.777	0.647	aeroplan
airlock	0.398	0.520	0.447	bllokimi i ajrit
airman	0.587	0.716	0.721	fluturues
airplane	0.719	0.702	0.708	aeroplan
airport	0.729	0.684	0.682	aeroporti
airs	0.583	0.196	0.370	ajroset
airship	0.542	0.472	0.529	aeroplan
airspace	0.562	0.510	0.640	hapësirën ajrore
airspeed	0.583	0.780	0.544	shpejtësia ajrore
airstrip	0.550	0.690	0.649	pistë ajrore
airtight	0.479	0.381	0.570	hermetik
airway	0.638	0.585	0.482	rrugë ajrore
aisle	0.438	0.222	0.283	rresht
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	i hapur
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	të ngjashme
alabaster	0.542	0.404	0.445	alabastri
alarm	0.241	0.882	0.698	alarmi
alarm clock	0.542	0.727	0.642	orë me zile
alarmed	0.188	0.822	0.492	i alarmuar
alarming	0.204	0.890	0.585	alarmante
alas	0.571	0.310	0.279	mjerisht
alb	0.521	0.380	0.427	Alb
albatross	0.500	0.445	0.527	albatrosi
albino	0.500	0.240	0.358	albinos
album	0.635	0.349	0.453	album
alchemy	0.541	0.583	0.693	alkimia
alcohol	0.323	0.667	0.377	alkoolit
alcoholic	0.153	0.688	0.361	alkoolike
alcoholism	0.061	0.779	0.407	alkoolizmi
alcove	0.490	0.340	0.356	kthinë
alderman	0.550	0.459	0.691	kryetar
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	vigjilent
alertness	0.375	0.875	0.750	vigjilencë
alerts	0.337	0.804	0.673	alarmet
alfalfa	0.546	0.250	0.311	jonxhë
algebra	0.440	0.340	0.565	algjebër
algebraic	0.531	0.412	0.441	algjebrike
algorithm	0.448	0.394	0.559	algoritmi
alias	0.541	0.353	0.333	pseudonimi
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	i huaj
alienate	0.247	0.500	0.523	tjetërsoj
alienated	0.410	0.423	0.559	të tjetërsuar
alienation	0.378	0.530	0.462	tjetërsimi
alight	0.667	0.657	0.605	i ndezur
align	0.656	0.364	0.627	rreshtoj
aligned	0.583	0.275	0.553	të përafruar
alignment	0.643	0.412	0.683	radhitje
alike	0.653	0.173	0.444	njësoj
alimentation	0.781	0.551	0.602	ushqimi
alimony	0.612	0.477	0.464	alimentacioni
aliquot	0.440	0.310	0.404	alikuot
alive	0.816	0.637	0.731	të gjallë
alkali	0.490	0.350	0.408	alkali
alkaloids	0.433	0.562	0.402	alkaloide
allay	0.417	0.406	0.398	qetësoj
allegation	0.578	0.578	0.608	pretendim
allege	0.418	0.482	0.587	pretendojnë
alleged	0.365	0.522	0.520	i supozuar
allegiance	0.917	0.398	0.750	besnikërinë
allegorical	0.517	0.558	0.598	alegorike
allegory	0.615	0.580	0.509	alegori
allegro	0.635	0.627	0.453	alegro
allergic	0.135	0.549	0.273	alergjike
allergy	0.296	0.606	0.389	alergji
alleviate	0.869	0.270	0.528	zbut
alleviation	0.735	0.200	0.491	zbutje
alley	0.347	0.500	0.355	rrugicë
alleyway	0.357	0.471	0.382	rrugicë
alliance	0.696	0.473	0.769	aleancë
allied	0.714	0.245	0.642	aleate
alligator	0.354	0.704	0.645	aligator
allocate	0.673	0.462	0.672	ndajnë
allocation	0.604	0.388	0.679	alokimi
allot	0.622	0.481	0.616	ndajë
allotment	0.600	0.390	0.640	ndarje
allow	0.698	0.429	0.538	lejojnë
allowable	0.698	0.500	0.561	e lejueshme
allowance	0.673	0.382	0.591	kompensim
allowed	0.730	0.360	0.655	lejohet
alloy	0.583	0.443	0.593	aliazh
allsmiles	0.786	0.528	0.430	buzeqeshje
allure	0.804	0.585	0.686	joshje
alluring	0.837	0.745	0.843	joshëse
allusion	0.440	0.308	0.462	aludim
alluvial	0.323	0.490	0.491	aluviale
ally	0.792	0.320	0.688	aleat
almanac	0.688	0.190	0.412	almanak
almighty	0.938	0.874	0.958	i plotfuqishëm
almond	0.698	0.183	0.314	bajame
aloft	0.771	0.373	0.700	lart
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	vetëm
alongside	0.458	0.333	0.347	krahas
aloof	0.189	0.423	0.302	i përmbajtur
aloud	0.458	0.713	0.750	me zë të lartë
alpha	0.708	0.340	0.755	alfa
alphabet	0.562	0.204	0.672	alfabeti
alphabetical	0.537	0.296	0.535	alfabetike
alpine	0.594	0.337	0.474	alpine
alreadyyyyy	0.592	0.717	0.351	tashmë yyyy
altar	0.724	0.387	0.635	altar
altar boy	0.434	0.206	0.350	djalë altar
alter	0.333	0.694	0.654	ndryshoj
alteration	0.167	0.798	0.609	ndryshim
altercation	0.170	0.806	0.500	grindje
altered	0.255	0.765	0.500	i ndryshuar
alternate	0.625	0.363	0.589	alternative
alternating	0.480	0.494	0.542	të alternuara
alternative	0.628	0.373	0.631	alternativë
altimeter	0.615	0.510	0.580	lartësimatës
altitude	0.708	0.482	0.736	lartësi mbidetare
alto	0.656	0.404	0.730	alto
altogether	0.833	0.324	0.644	krejt
aluminum	0.449	0.280	0.434	alumini
alumnus	0.633	0.368	0.422	ish-student
alveolar	0.469	0.481	0.367	alveolare
alzheimers	0.194	0.518	0.319	alzheimerët
amalgam	0.438	0.333	0.510	amalgamë
amalgamation	0.406	0.470	0.531	shkrirje
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	grumbulloj
amateur	0.469	0.500	0.409	amator
amaze	0.896	0.843	0.783	mahnitin
amazed	0.796	0.779	0.533	i habitur
amazedness	0.827	0.872	0.510	habi
amazement	0.750	0.800	0.639	habi
amazing	0.906	0.837	0.849	e mahnitshme
amazingly	0.918	0.765	0.920	në mënyrë të mahnitshme
ambassador	0.651	0.529	0.917	ambasador
amber	0.635	0.308	0.369	qelibar
ambience	0.735	0.356	0.426	ambienti
ambient	0.625	0.360	0.582	ambienti
ambiguity	0.164	0.460	0.370	paqartësi
ambiguous	0.265	0.462	0.358	i paqartë
ambit	0.479	0.380	0.386	ambit
ambition	0.510	0.804	0.661	ambicie
ambitious	0.484	0.821	0.717	ambicioz
ambivalent	0.510	0.404	0.482	ambivalent
ambrosia	0.571	0.452	0.480	ambrosia
ambulance	0.500	0.750	0.609	ambulancë
ambush	0.281	0.830	0.500	pritë
ameliorate	0.770	0.548	0.747	përmirësoj
amen	0.781	0.182	0.542	amin
amenable	0.448	0.410	0.406	të pranueshme
amend	0.688	0.406	0.658	ndryshoj
amendment	0.531	0.459	0.606	amendament
amends	0.640	0.366	0.517	ndryshon
amenity	0.750	0.327	0.574	komoditet
amethyst	0.622	0.406	0.517	ametist
amiable	0.847	0.290	0.483	i dashur
amicable	0.875	0.330	0.507	miqësore
amid	0.510	0.340	0.256	mes
amidst	0.480	0.330	0.316	në mes
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	municion
ammonia	0.292	0.587	0.409	amoniaku
ammonium	0.354	0.396	0.368	amonit
ammunition	0.338	0.635	0.667	municioni
amnesia	0.296	0.330	0.308	amnezi
amnesty	0.551	0.451	0.814	amnisti
amorous	0.844	0.670	0.636	dashurore
amorphous	0.327	0.402	0.349	amorfe
amortization	0.592	0.491	0.522	amortizimi
amount	0.562	0.422	0.649	shuma
amour	0.865	0.480	0.652	dashuri
amp	0.439	0.393	0.375	amp
ampersand	0.480	0.448	0.483	ampersand
amphetamines	0.133	0.667	0.526	amfetaminat
amphibian	0.427	0.357	0.474	amfib
amphibious	0.479	0.346	0.445	amfib
amphitheater	0.653	0.480	0.545	amfiteatri
ample	0.744	0.349	0.719	të bollshme
amplification	0.690	0.677	0.810	amplifikimi
amplify	0.677	0.735	0.827	amplifikoj
amplitude	0.694	0.439	0.692	amplituda
amply	0.781	0.431	0.766	bollshëm
amputate	0.092	0.660	0.509	amputoj
amputation	0.100	0.755	0.483	amputimi
amuck	0.385	0.602	0.321	mbytet
amulet	0.781	0.260	0.630	amulet
amuse	0.812	0.684	0.664	zbavitem
amused	0.942	0.847	0.596	i zbavitur
amusement	0.929	0.837	0.803	zbavitje
amusing	0.960	0.829	0.632	zbavitëse
ana	0.541	0.300	0.314	ana
anaconda	0.146	0.830	0.540	anakonda
anaesthesia	0.350	0.217	0.473	anestezi
anaesthetic	0.449	0.268	0.509	anestetik
anagram	0.552	0.327	0.449	anagram
anal	0.333	0.798	0.334	anale
analgesic	0.417	0.321	0.441	analgjezik
analogous	0.531	0.270	0.500	analoge
analogue	0.570	0.320	0.446	analoge
analogy	0.510	0.367	0.509	analogji
analysis	0.729	0.448	0.705	analiza
analyst	0.604	0.415	0.755	analist
analytic	0.665	0.521	0.634	analitike
