English Word	Valence	Arousal	Dominance	Cebuano Word
absentee	0.235	0.330	0.279	absent
absenteeism	0.404	0.273	0.357	pagka-absent
absinthe	0.481	0.510	0.462	absinthe
absolute	0.526	0.510	0.827	hingpit
absolution	0.715	0.500	0.664	pagpasaylo
absolve	0.684	0.449	0.660	pasayloon
absorb	0.469	0.558	0.670	mosuhop
absorbed	0.490	0.471	0.519	nasuyop
absorbent	0.552	0.394	0.718	mosuhop
absorbing	0.490	0.490	0.578	pagsuyop
absorption	0.609	0.422	0.446	pagsuyop
abstain	0.385	0.385	0.427	paglikay
abstention	0.271	0.264	0.509	paglikay
abstinence	0.260	0.392	0.429	paglikay
abstract	0.438	0.292	0.444	abstract
abstraction	0.469	0.439	0.525	abstraction
absurd	0.188	0.656	0.284	binuang
absurdity	0.115	0.528	0.227	kabuang
abundance	0.812	0.690	0.852	kadagaya
abundant	0.958	0.590	0.760	abunda
abuse	0.071	0.873	0.469	pag-abuso
abused	0.021	0.874	0.235	giabusohan
abusive	0.125	0.903	0.567	abusado
abutment	0.500	0.265	0.616	abutment
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	abysmal
abyss	0.353	0.725	0.296	kahiladman
academic	0.781	0.420	0.812	akademiko
academy	0.704	0.473	0.792	akademya
accede	0.698	0.510	0.537	musugot
accelerant	0.643	0.844	0.802	paspas
accelerate	0.615	0.902	0.759	pagpadali
accelerated	0.610	0.812	0.682	gipaspasan
acceleration	0.704	0.905	0.843	pagpatulin
accelerator	0.593	0.830	0.812	accelerator
accent	0.598	0.357	0.509	accent
accentuate	0.673	0.556	0.667	ipasiugda
accept	0.847	0.286	0.565	dawata
acceptable	0.812	0.286	0.583	madawat
acceptance	0.833	0.287	0.755	pagdawat
acceptances	0.847	0.413	0.648	mga pagdawat
access	0.714	0.472	0.567	access
accessible	0.796	0.410	0.645	accessible
accession	0.612	0.383	0.636	pagsulod
accessory	0.562	0.292	0.445	accessory
accident	0.125	0.908	0.336	aksidente
accidental	0.319	0.784	0.307	aksidente
accidentally	0.333	0.741	0.333	aksidente
acclaim	0.562	0.809	0.718	pagdayeg
accolade	0.688	0.591	0.775	pasidungog
accommodate	0.844	0.375	0.566	accommodate
accommodation	0.817	0.415	0.587	kapuy-an
accompaniment	0.740	0.479	0.695	duyog
accompany	0.833	0.406	0.585	kuyog
accompanying	0.787	0.460	0.582	nag-uban
accomplice	0.408	0.580	0.510	kauban
accomplish	0.929	0.673	0.816	matuman
accomplished	0.870	0.520	0.798	nahuman
accomplishment	0.917	0.694	0.888	kalampusan
accord	0.898	0.264	0.382	uyon
accordance	0.659	0.349	0.600	uyon
accordion	0.604	0.490	0.361	akordyon
account	0.531	0.347	0.472	asoy
accountability	0.755	0.537	0.833	pagkamay tulubagon
accountable	0.709	0.282	0.777	may tulubagon
accountant	0.625	0.450	0.639	accountant
accounting	0.552	0.390	0.677	accounting
accounts	0.592	0.340	0.471	mga account
accredited	0.669	0.479	0.768	akreditado
accretion	0.448	0.519	0.672	pagdugang
accrue	0.520	0.481	0.602	makaipon
accueil	0.450	0.451	0.470	akusasyon
accumulate	0.573	0.536	0.607	tapok
accumulation	0.479	0.527	0.600	panagtapok
accuracy	0.604	0.481	0.802	katukma
accurate	0.743	0.360	0.737	tukma
accursed	0.135	0.745	0.345	tinunglo
accusation	0.073	0.718	0.564	sumbong
accusative	0.198	0.755	0.482	accusative
accuse	0.133	0.752	0.500	sumbong
accused	0.130	0.670	0.420	akusado
accuser	0.122	0.779	0.615	tigsumbong
accusing	0.156	0.745	0.324	pagsumbong
accustomed	0.542	0.365	0.441	naanad
ace	0.643	0.481	0.546	ace
acetic	0.333	0.420	0.519	acetic
acetylene	0.306	0.469	0.509	acetylene
ache	0.146	0.760	0.312	kasakit
achieve	0.816	0.545	0.843	makab-ot
achieved	0.896	0.519	0.775	nakab-ot
achievement	0.896	0.808	0.759	kalampusan
aching	0.053	0.880	0.348	nagsakit
achy	0.167	0.840	0.373	achy
acid	0.265	0.642	0.566	asido
acidity	0.156	0.663	0.360	kaasiman
acknowledge	0.786	0.370	0.661	moila
acknowledged	0.714	0.443	0.765	giila
acknowledgement	0.819	0.539	0.830	pag-ila
acknowledgment	0.796	0.528	0.777	pag-ila
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	bugasbugas
acorn	0.448	0.198	0.192	acorn
acoustic	0.542	0.462	0.536	acoustic
acoustics	0.611	0.330	0.509	acoustics
acquaint	0.646	0.491	0.639	kaila
acquaintance	0.656	0.290	0.670	kaila
acquainted	0.906	0.358	0.632	nakaila
acquiescence	0.542	0.480	0.554	pagsugot
acquire	0.833	0.468	0.700	makuha
acquiring	0.735	0.510	0.817	pagbaton
acquisition	0.698	0.509	0.736	pag-angkon
acquisitions	0.773	0.660	0.790	mga pag-angkon
acquit	0.583	0.571	0.611	abswelto
acquittal	0.760	0.497	0.700	pag-absuwelto
acre	0.583	0.387	0.423	ektarya
acreage	0.741	0.450	0.528	ektarya
acres	0.510	0.363	0.500	ektarya
acrobat	0.708	0.828	0.602	akrobat
acrylic	0.582	0.279	0.420	acrylic
act	0.656	0.704	0.735	lihok
acting	0.698	0.643	0.500	paglihok
action	0.760	0.898	0.802	aksyon
action figure	0.615	0.774	0.611	action figure
actionable	0.673	0.702	0.613	maaksyonan
activate	0.764	0.650	0.806	pagpaaktibo
activation	0.781	0.800	0.754	pagpaaktibo
active	0.847	0.730	0.731	aktibo
activist	0.531	0.653	0.877	aktibista
activity	0.701	0.660	0.807	kalihokan
actor	0.653	0.561	0.629	aktor
actress	0.633	0.556	0.596	artista
actual	0.729	0.400	0.716	aktuwal
actuality	0.750	0.464	0.600	aktuwalidad
actuary	0.510	0.404	0.491	actuary
acuity	0.469	0.378	0.741	acuity
acumen	0.564	0.660	0.679	katakus
acupuncture	0.531	0.324	0.549	acupuncture
acute	0.427	0.652	0.534	mahait
acutely	0.417	0.543	0.491	mahait
ad	0.521	0.705	0.558	ad
adage	0.517	0.415	0.566	panultihon
adamant	0.344	0.529	0.575	lig-on
adapt	0.740	0.355	0.551	ipahiangay
adaptable	0.735	0.423	0.641	mapahiangay
adaptation	0.663	0.365	0.609	pagpahiangay
add	0.728	0.490	0.554	idugang
added	0.562	0.405	0.509	gidugang
addendum	0.392	0.370	0.418	addendum
adder	0.388	0.461	0.588	adder
addict	0.075	0.696	0.327	adik
addicted	0.156	0.712	0.483	naadik
addiction	0.180	0.806	0.420	pagkaadik
addictive	0.302	0.683	0.472	makaadik
addition	0.562	0.373	0.471	pagdugang
additional	0.673	0.462	0.526	dugang
additive	0.561	0.633	0.691	makadugang
address	0.650	0.327	0.567	adres
addressee	0.622	0.382	0.538	addressee
addresses	0.510	0.354	0.450	mga adres
adept	0.594	0.539	0.789	hanas
adequacy	0.615	0.435	0.702	kaangayan
adequate	0.854	0.264	0.705	igo
adhere	0.633	0.339	0.554	pagsunod
adherence	0.760	0.307	0.630	pagsunod
adherent	0.561	0.385	0.555	nagsunod
adhering	0.612	0.561	0.537	pagsunod
adhesion	0.521	0.445	0.586	pagpapilit
adhesive	0.604	0.350	0.413	patapot
adieu	0.250	0.471	0.342	pahibalo
adipose	0.333	0.350	0.391	adipose
adjacency	0.365	0.417	0.375	kasikbit
adjacent	0.645	0.276	0.536	tapad
adjective	0.570	0.316	0.569	adhetibo
adjoining	0.520	0.400	0.393	kasikbit
adjourn	0.385	0.456	0.475	pag-undang
adjournment	0.438	0.510	0.370	paglangan
adjudicate	0.559	0.520	0.683	hukman
adjudication	0.551	0.462	0.691	hukom
adjunct	0.459	0.440	0.426	kadugtong
adjust	0.647	0.327	0.638	adjust
adjuster	0.510	0.540	0.760	adjuster
adjustment	0.590	0.520	0.661	pagpahiangay
adjuvant	0.510	0.500	0.456	adjuvant
admin	0.688	0.420	0.854	admin
administer	0.635	0.425	0.860	mangalagad
administration	0.625	0.404	0.786	administrasyon
administrative	0.542	0.415	0.579	administratibo
administrator	0.538	0.480	0.902	tigdumala
admirable	0.929	0.600	0.870	dalaygon
admiral	0.844	0.490	0.847	admiral
admiralty	0.594	0.547	0.733	pagdayeg
admiration	0.969	0.583	0.726	pagdayeg
admire	0.867	0.692	0.704	pagdayeg
admired	0.917	0.560	0.815	gidayeg
admirer	0.796	0.720	0.650	admirer
admiring	0.867	0.578	0.629	nagdayeg
admissibility	0.802	0.580	0.602	pagkamadawaton
admissible	0.780	0.528	0.642	madawat
admission	0.802	0.415	0.732	admission
admit	0.538	0.423	0.667	moangkon
admittance	0.690	0.451	0.598	pagsulod
admitted	0.720	0.490	0.767	miangkon
admitting	0.620	0.500	0.546	miangkon
admixture	0.450	0.375	0.438	pagsagol
admonition	0.357	0.606	0.455	pahimangno
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	pagkatin-edyer
adolescent	0.781	0.680	0.509	batan-on
adopt	0.694	0.612	0.701	pagsagop
adoption	0.625	0.566	0.589	pagsagop
adoptive	0.531	0.469	0.520	pagsagop
adorable	0.969	0.519	0.457	madanihon
adoration	0.885	0.699	0.708	pagsimba
adore	0.854	0.438	0.657	simbahon
adoring	0.885	0.620	0.717	nagsimba
adorn	0.910	0.424	0.482	pag-adorno
adornment	0.918	0.373	0.377	dayandayan
adrenalin	0.865	0.920	0.786	adrenalin
adrenaline	0.765	0.965	0.825	adrenaline
adrift	0.398	0.486	0.230	naanod
adult	0.815	0.491	0.787	hamtong
adulterated	0.188	0.865	0.370	gisagol
adulterer	0.229	0.814	0.407	mananapaw
adultery	0.120	0.922	0.510	pagpanapaw
adulthood	0.541	0.454	0.652	pagkahamtong
advance	0.673	0.472	0.858	abante
advanced	0.844	0.623	0.797	abante
advancement	0.776	0.650	0.839	pag-uswag
advancing	0.929	0.608	0.812	pag-abante
advantage	0.917	0.548	0.859	bentaha
advantageous	0.837	0.640	0.789	mapuslanon
advent	0.665	0.560	0.627	pag-abot
adventure	0.917	0.857	0.710	adventure
adventurer	0.781	0.839	0.868	adventurer
adventures	0.812	0.764	0.749	mga panimpalad
adventurous	0.969	0.898	0.722	mapangahason
adversary	0.349	0.777	0.457	kaaway
adverse	0.323	0.610	0.385	dili maayo
adversity	0.276	0.760	0.538	kalisdanan
advertise	0.500	0.529	0.580	advertise
advertisement	0.600	0.566	0.539	advertisement
advertising	0.622	0.608	0.632	advertising
adverts	0.551	0.500	0.595	mga ad
advice	0.698	0.408	0.688	tambag
advisable	0.867	0.480	0.510	angay
advise	0.760	0.393	0.705	tambagi
advised	0.823	0.330	0.509	gitambagan
advisement	0.698	0.235	0.655	tambag
adviser	0.745	0.362	0.705	magtatambag
advisor	0.646	0.350	0.689	magtatambag
advisory	0.656	0.429	0.633	tambag
advocacy	0.500	0.646	0.731	adbokasiya
advocate	0.551	0.530	0.818	manlalaban
aegis	0.490	0.439	0.462	aegis
aeration	0.550	0.500	0.433	aeration
aerial	0.615	0.461	0.463	aerial
aerobics	0.708	0.771	0.627	aerobics
aerodrome	0.541	0.740	0.678	aerodrome
aerodynamic	0.561	0.724	0.728	aerodynamic
aerodynamics	0.590	0.663	0.722	aerodynamics
aeronautics	0.551	0.633	0.688	aeronautics
aeroplane	0.714	0.642	0.644	eroplano
aerospace	0.643	0.520	0.779	aerospace
aesthetic	0.708	0.442	0.526	aesthetic
aesthetics	0.847	0.327	0.549	aesthetics
aetiology	0.480	0.398	0.615	etiology
afar	0.396	0.373	0.358	layo
affable	0.704	0.380	0.452	affable
affair	0.520	0.459	0.657	relasyon
affect	0.458	0.569	0.578	makaapekto
affecting	0.350	0.574	0.394	nakaapekto
affection	0.898	0.559	0.696	pagbati
affectionate	0.949	0.422	0.550	mabinationg
affections	0.760	0.547	0.655	mga pagmahal
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	affidavit
affiliated	0.673	0.519	0.535	kauban
affiliation	0.615	0.594	0.500	koneksyon
affinity	0.800	0.500	0.537	pagkasuod
affirm	0.745	0.509	0.731	gipamatud-an sa
affirmation	0.750	0.500	0.689	pagmatuod
affirmative	0.854	0.589	0.816	apirmatibo
affirmatively	0.908	0.500	0.811	apirmatibo
affix	0.438	0.335	0.411	affix
afflict	0.302	0.555	0.293	pagsakit
afflicted	0.271	0.500	0.167	gisakit
affliction	0.294	0.635	0.392	kasakitan
affluence	0.663	0.618	0.722	kadato
affluent	0.756	0.388	0.477	adunahan
afford	0.571	0.580	0.575	makapalit
affordable	0.840	0.398	0.493	barato
affront	0.327	0.740	0.547	pagbiaybiay
affronted	0.385	0.750	0.527	gisakitan
afield	0.594	0.370	0.373	sa gawas
afire	0.367	0.904	0.675	sunog
afloat	0.602	0.427	0.444	naglutaw
afore	0.500	0.337	0.382	kaniadto
aforementioned	0.490	0.316	0.408	nahisgotan na
aforesaid	0.531	0.358	0.478	nahisgotan na
afraid	0.010	0.775	0.245	kahadlok
afresh	0.643	0.521	0.480	pag-usab
aft	0.480	0.417	0.518	luyo
afterlife	0.571	0.567	0.568	sunod nga kinabuhi
aftermath	0.312	0.449	0.444	pagkahuman
afternoon	0.533	0.388	0.339	hapon
aftershave	0.406	0.384	0.415	aftershave
aftertaste	0.354	0.362	0.455	aftertaste
afterthought	0.396	0.392	0.349	nahunahunaan
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	agata
age	0.561	0.226	0.498	edad
aged	0.135	0.365	0.236	tigulang
agency	0.460	0.296	0.583	ahensya
agenda	0.531	0.296	0.553	agenda
agent	0.480	0.439	0.755	ahente
agglomeration	0.450	0.765	0.509	aglomerasyon
aggravate	0.224	0.770	0.464	makapasamot
aggravated	0.079	0.760	0.430	nagkagrabe
aggravates	0.108	0.778	0.357	nagpasamot
aggravating	0.257	0.794	0.640	makapasamot
aggravation	0.071	0.784	0.613	pagsamot
aggregate	0.730	0.378	0.556	aggregate
aggregation	0.583	0.517	0.694	panagtapok
aggresive	0.059	0.971	0.639	agresibo
aggression	0.094	0.929	0.533	agresyon
aggressive	0.125	0.949	0.648	agresibo
aggressively	0.250	0.926	0.688	agresibo
aggressiveness	0.077	0.913	0.648	pagkaagresibo
aggressor	0.146	0.948	0.823	aggressor
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	kapungot
aghhh	0.281	0.635	0.243	aghhh
agile	0.800	0.657	0.775	abtik
agility	0.720	0.702	0.815	kaliksi
aging	0.214	0.255	0.284	pagkatigulang
agitate	0.300	0.796	0.593	samok
agitated	0.444	0.882	0.491	nabalisa
agitation	0.240	0.931	0.447	kasamok
aglow	0.780	0.510	0.797	abtik
agnostic	0.306	0.396	0.574	agnostiko
ago	0.317	0.280	0.404	kaniadto
agonizing	0.083	0.800	0.340	nagsakit
agony	0.083	0.775	0.393	kasakit
agoraphobia	0.127	0.712	0.438	agoraphobia
agree	0.906	0.260	0.545	mouyon
agreeable	0.906	0.500	0.696	mauyonan
agreed	0.797	0.449	0.574	miuyon
agreeing	0.854	0.480	0.557	nagkauyon
agreement	0.760	0.440	0.736	kasabutan
agressive	0.083	0.918	0.751	agresibo
agricultural	0.686	0.321	0.473	agrikultural
agriculture	0.640	0.357	0.465	agrikultura
aground	0.333	0.340	0.445	nasandig
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	sa unahan
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhhh
ahoy	0.500	0.497	0.380	uy
aid	0.796	0.491	0.541	tabang
aide	0.724	0.342	0.434	katabang
aiding	0.643	0.533	0.569	pagtabang
aids	0.561	0.480	0.500	mga tabang
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	nagsakit
ailment	0.146	0.734	0.277	sakit
aim	0.481	0.569	0.567	tumong
aimless	0.150	0.267	0.183	walay tumong
air	0.708	0.163	0.427	hangin
airbag	0.510	0.402	0.433	airbag
airborne	0.542	0.519	0.385	gipalupad sa hangin
aircraft	0.646	0.644	0.691	ayroplano
aircraft carrier	0.490	0.740	0.727	tigdala sa ayroplano
airfield	0.601	0.650	0.645	airfield
airhead	0.271	0.481	0.276	ulo sa hangin
airlift	0.573	0.622	0.642	airlift
airline	0.650	0.482	0.688	eroplano
airliner	0.667	0.777	0.647	eroplano
airlock	0.398	0.520	0.447	airlock
airman	0.587	0.716	0.721	airman
airplane	0.719	0.702	0.708	eroplano
airport	0.729	0.684	0.682	airport
airs	0.583	0.196	0.370	hangin
airship	0.542	0.472	0.529	airship
airspace	0.562	0.510	0.640	kahanginan
airspeed	0.583	0.780	0.544	tulin sa hangin
airstrip	0.550	0.690	0.649	airstrip
airtight	0.479	0.381	0.570	walay hangin
airway	0.638	0.585	0.482	agianan sa hangin
aisle	0.438	0.222	0.283	pasilyo
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	abtik
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	susama
alabaster	0.542	0.404	0.445	alabastro
alarm	0.241	0.882	0.698	alarma
alarm clock	0.542	0.727	0.642	alarm clock
alarmed	0.188	0.822	0.492	naalarma
alarming	0.204	0.890	0.585	makapaalarma
alas	0.571	0.310	0.279	alaut
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatross
albino	0.500	0.240	0.358	albino
album	0.635	0.349	0.453	album
alchemy	0.541	0.583	0.693	alchemy
alcohol	0.323	0.667	0.377	alkohol
alcoholic	0.153	0.688	0.361	alkoholiko
alcoholism	0.061	0.779	0.407	alkoholismo
alcove	0.490	0.340	0.356	alcove
alderman	0.550	0.459	0.691	alderman
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	alerto
alertness	0.375	0.875	0.750	pagkaalerto
alerts	0.337	0.804	0.673	mga alerto
alfalfa	0.546	0.250	0.311	alfalfa
algebra	0.440	0.340	0.565	algebra
algebraic	0.531	0.412	0.441	algebraic
algorithm	0.448	0.394	0.559	algorithm
alias	0.541	0.353	0.333	alyas
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	langyaw
alienate	0.247	0.500	0.523	magpahilayo
alienated	0.410	0.423	0.559	nahimulag
alienation	0.378	0.530	0.462	pagbulag
alight	0.667	0.657	0.605	pagkanaog
align	0.656	0.364	0.627	align
aligned	0.583	0.275	0.553	nahiangay
alignment	0.643	0.412	0.683	paglinya
alike	0.653	0.173	0.444	pareha
alimentation	0.781	0.551	0.602	pagkaon
alimony	0.612	0.477	0.464	alimony
aliquot	0.440	0.310	0.404	aliquot
alive	0.816	0.637	0.731	buhi
alkali	0.490	0.350	0.408	alkali
alkaloids	0.433	0.562	0.402	alkaloids
allay	0.417	0.406	0.398	paghupay
allegation	0.578	0.578	0.608	alegasyon
allege	0.418	0.482	0.587	alegasyon
alleged	0.365	0.522	0.520	giingong
allegiance	0.917	0.398	0.750	pagkamaunongon
allegorical	0.517	0.558	0.598	alegoriko
allegory	0.615	0.580	0.509	pasumbingay
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	alerdyik
allergy	0.296	0.606	0.389	alerdyi
alleviate	0.869	0.270	0.528	paghupay
alleviation	0.735	0.200	0.491	pagpagaan
alley	0.347	0.500	0.355	eskinita
alleyway	0.357	0.471	0.382	eskinita
alliance	0.696	0.473	0.769	alyansa
allied	0.714	0.245	0.642	kaalyado
alligator	0.354	0.704	0.645	buaya
allocate	0.673	0.462	0.672	paggahin
allocation	0.604	0.388	0.679	alokasyon
allot	0.622	0.481	0.616	gahin
allotment	0.600	0.390	0.640	pahat
allow	0.698	0.429	0.538	tugoti
allowable	0.698	0.500	0.561	gitugotan
allowance	0.673	0.382	0.591	allowance
allowed	0.730	0.360	0.655	gitugotan
alloy	0.583	0.443	0.593	sinubong
allsmiles	0.786	0.528	0.430	all smiles
allure	0.804	0.585	0.686	pagdani
alluring	0.837	0.745	0.843	makapadani
allusion	0.440	0.308	0.462	pasumbingay
alluvial	0.323	0.490	0.491	aluvial
ally	0.792	0.320	0.688	kaalyado
almanac	0.688	0.190	0.412	almanac
almighty	0.938	0.874	0.958	makagagahum sa tanan
almond	0.698	0.183	0.314	almendras
aloft	0.771	0.373	0.700	sa ibabaw
aloha	0.698	0.440	0.441	gugma
alone	0.333	0.167	0.216	nag-inusara
alongside	0.458	0.333	0.347	kauban
aloof	0.189	0.423	0.302	layo
aloud	0.458	0.713	0.750	kusog
alpha	0.708	0.340	0.755	alpha
alphabet	0.562	0.204	0.672	alpabeto
alphabetical	0.537	0.296	0.535	alpabetiko
alpine	0.594	0.337	0.474	alpine
alreadyyyyy	0.592	0.717	0.351	naa nayyyy
altar	0.724	0.387	0.635	altar
altar boy	0.434	0.206	0.350	bata nga altar
alter	0.333	0.694	0.654	usbon
alteration	0.167	0.798	0.609	pagbag-o
altercation	0.170	0.806	0.500	panaglalis
altered	0.255	0.765	0.500	giusab
alternate	0.625	0.363	0.589	puli-puli
alternating	0.480	0.494	0.542	nagpulipuli
alternative	0.628	0.373	0.631	alternatibo
altimeter	0.615	0.510	0.580	altimetro
altitude	0.708	0.482	0.736	kahitas-an
alto	0.656	0.404	0.730	alto
altogether	0.833	0.324	0.644	tanan
aluminum	0.449	0.280	0.434	aluminyo
alumnus	0.633	0.368	0.422	alumni
alveolar	0.469	0.481	0.367	alveolar
alzheimers	0.194	0.518	0.319	mga Alzheimer
amalgam	0.438	0.333	0.510	amalgam
amalgamation	0.406	0.470	0.531	paghiusa
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	magtapok
amateur	0.469	0.500	0.409	amateur
amaze	0.896	0.843	0.783	katingala
amazed	0.796	0.779	0.533	nahibulong
amazedness	0.827	0.872	0.510	katingala
amazement	0.750	0.800	0.639	katingala
amazing	0.906	0.837	0.849	katingalahan
amazingly	0.918	0.765	0.920	katingalahan
ambassador	0.651	0.529	0.917	embahador
amber	0.635	0.308	0.369	amber
ambience	0.735	0.356	0.426	ambiance
ambient	0.625	0.360	0.582	ambient
ambiguity	0.164	0.460	0.370	kalabuan
ambiguous	0.265	0.462	0.358	dili klaro
ambit	0.479	0.380	0.386	ambot
ambition	0.510	0.804	0.661	ambisyon
ambitious	0.484	0.821	0.717	ambisyoso
ambivalent	0.510	0.404	0.482	ambivalent
ambrosia	0.571	0.452	0.480	ambrosia
ambulance	0.500	0.750	0.609	ambulansya
ambush	0.281	0.830	0.500	ambush
ameliorate	0.770	0.548	0.747	pag-ayo
amen	0.781	0.182	0.542	amen
amenable	0.448	0.410	0.406	uyon
amend	0.688	0.406	0.658	usbon
amendment	0.531	0.459	0.606	amendment
amends	0.640	0.366	0.517	nag-amendar
amenity	0.750	0.327	0.574	amenity
amethyst	0.622	0.406	0.517	amethyst
amiable	0.847	0.290	0.483	buotan
amicable	0.875	0.330	0.507	mahigalaon
amid	0.510	0.340	0.256	taliwala
amidst	0.480	0.330	0.316	taliwala
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	bala
ammonia	0.292	0.587	0.409	ammonia
ammonium	0.354	0.396	0.368	ammonium
ammunition	0.338	0.635	0.667	bala
amnesia	0.296	0.330	0.308	amnesia
amnesty	0.551	0.451	0.814	amnestiya
amorous	0.844	0.670	0.636	hinigugma
amorphous	0.327	0.402	0.349	amorphous
amortization	0.592	0.491	0.522	amortisasyon
amount	0.562	0.422	0.649	kantidad
amour	0.865	0.480	0.652	gugma
amp	0.439	0.393	0.375	amp
ampersand	0.480	0.448	0.483	ampersand
amphetamines	0.133	0.667	0.526	mga amphetamine
amphibian	0.427	0.357	0.474	amphibian
amphibious	0.479	0.346	0.445	amphibious
amphitheater	0.653	0.480	0.545	ampiteatro
ample	0.744	0.349	0.719	igo
amplification	0.690	0.677	0.810	pagpadako
amplify	0.677	0.735	0.827	pagpadako
amplitude	0.694	0.439	0.692	amplitude
amply	0.781	0.431	0.766	igo
amputate	0.092	0.660	0.509	putlon
amputation	0.100	0.755	0.483	pagputol
amuck	0.385	0.602	0.321	ambot
amulet	0.781	0.260	0.630	anting-anting
amuse	0.812	0.684	0.664	kalingawan
amused	0.942	0.847	0.596	nalingaw
amusement	0.929	0.837	0.803	kalingawan
amusing	0.960	0.829	0.632	makalingaw
ana	0.541	0.300	0.314	ana
anaconda	0.146	0.830	0.540	anaconda
anaesthesia	0.350	0.217	0.473	anesthesia
anaesthetic	0.449	0.268	0.509	anestisya
anagram	0.552	0.327	0.449	anagram
anal	0.333	0.798	0.334	anal
analgesic	0.417	0.321	0.441	analgesic
analogous	0.531	0.270	0.500	susama
analogue	0.570	0.320	0.446	analogue
analogy	0.510	0.367	0.509	analohiya
analysis	0.729	0.448	0.705	pagtuki
analyst	0.604	0.415	0.755	analista
analytic	0.665	0.521	0.634	analitiko
analytical	0.625	0.324	0.800	analitiko
analyze	0.667	0.462	0.710	analisa
analyzer	0.625	0.556	0.854	analisador
anaphylactic	0.378	0.588	0.500	anaphylactic
anarchism	0.125	0.804	0.623	anarkismo
anarchist	0.204	0.700	0.759	anarkista
anarchy	0.146	0.755	0.620	anarkiya
anastomosis	0.375	0.470	0.490	anastomosis
anathema	0.286	0.490	0.519	tunglo
