English Word	Valence	Arousal	Dominance	Japanese Word
accordion	0.604	0.490	0.361	アコーディオン
account	0.531	0.347	0.472	アカウント
accountability	0.755	0.537	0.833	説明責任
accountable	0.709	0.282	0.777	説明責任
accountant	0.625	0.450	0.639	会計士
accounting	0.552	0.390	0.677	会計
accounts	0.592	0.340	0.471	アカウント
accredited	0.669	0.479	0.768	認定された
accretion	0.448	0.519	0.672	降着
accrue	0.520	0.481	0.602	発生する
accueil	0.450	0.451	0.470	アクイユ
accumulate	0.573	0.536	0.607	たまる
accumulation	0.479	0.527	0.600	累積
accuracy	0.604	0.481	0.802	正確さ
accurate	0.743	0.360	0.737	正確
accursed	0.135	0.745	0.345	呪われた
accusation	0.073	0.718	0.564	告発
accusative	0.198	0.755	0.482	対格
accuse	0.133	0.752	0.500	非難する
accused	0.130	0.670	0.420	被告人
accuser	0.122	0.779	0.615	告発者
accusing	0.156	0.745	0.324	非難する
accustomed	0.542	0.365	0.441	慣れた
ace	0.643	0.481	0.546	エース
acetic	0.333	0.420	0.519	酢酸
acetylene	0.306	0.469	0.509	アセチレン
ache	0.146	0.760	0.312	痛み
achieve	0.816	0.545	0.843	成し遂げる
achieved	0.896	0.519	0.775	達成
achievement	0.896	0.808	0.759	業績
aching	0.053	0.880	0.348	痛む
achy	0.167	0.840	0.373	痛い
acid	0.265	0.642	0.566	酸
acidity	0.156	0.663	0.360	酸度
acknowledge	0.786	0.370	0.661	認めます
acknowledged	0.714	0.443	0.765	認めた
acknowledgement	0.819	0.539	0.830	了承
acknowledgment	0.796	0.528	0.777	了承
acme	0.408	0.435	0.375	アクメ
acne	0.167	0.474	0.308	にきび
acorn	0.448	0.198	0.192	どんぐり
acoustic	0.542	0.462	0.536	音響
acoustics	0.611	0.330	0.509	音響
acquaint	0.646	0.491	0.639	知り合い
acquaintance	0.656	0.290	0.670	知り合い
acquainted	0.906	0.358	0.632	知り合い
acquiescence	0.542	0.480	0.554	黙認
acquire	0.833	0.468	0.700	取得
acquiring	0.735	0.510	0.817	取得
acquisition	0.698	0.509	0.736	取得
acquisitions	0.773	0.660	0.790	買収
acquit	0.583	0.571	0.611	無罪放免
acquittal	0.760	0.497	0.700	免罪
acre	0.583	0.387	0.423	エーカー
acreage	0.741	0.450	0.528	面積
acres	0.510	0.363	0.500	エーカー
acrobat	0.708	0.828	0.602	アクロバット
acrylic	0.582	0.279	0.420	アクリル
act	0.656	0.704	0.735	行為
acting	0.698	0.643	0.500	演技
action	0.760	0.898	0.802	アクション
action figure	0.615	0.774	0.611	アクションフィギュア
actionable	0.673	0.702	0.613	実行可能
activate	0.764	0.650	0.806	活性化
activation	0.781	0.800	0.754	アクティベーション
active	0.847	0.730	0.731	アクティブ
activist	0.531	0.653	0.877	活動家
activity	0.701	0.660	0.807	アクティビティ
actor	0.653	0.561	0.629	俳優
actress	0.633	0.556	0.596	女優
actual	0.729	0.400	0.716	実際
actuality	0.750	0.464	0.600	現実
actuary	0.510	0.404	0.491	アクチュアリー
acuity	0.469	0.378	0.741	視力
acumen	0.564	0.660	0.679	洞察力
acupuncture	0.531	0.324	0.549	鍼
acute	0.427	0.652	0.534	急性
acutely	0.417	0.543	0.491	急に
ad	0.521	0.705	0.558	広告
adage	0.517	0.415	0.566	格言
adamant	0.344	0.529	0.575	断固たる
adapt	0.740	0.355	0.551	適応する
adaptable	0.735	0.423	0.641	適応可能な
adaptation	0.663	0.365	0.609	適応
add	0.728	0.490	0.554	追加
added	0.562	0.405	0.509	追加した
addendum	0.392	0.370	0.418	補遺
adder	0.388	0.461	0.588	加算器
addict	0.075	0.696	0.327	常習者
addicted	0.156	0.712	0.483	中毒
addiction	0.180	0.806	0.420	中毒
addictive	0.302	0.683	0.472	中毒性のある
addition	0.562	0.373	0.471	添加
additional	0.673	0.462	0.526	追加
additive	0.561	0.633	0.691	添加剤
address	0.650	0.327	0.567	住所
addressee	0.622	0.382	0.538	宛名
addresses	0.510	0.354	0.450	住所
adept	0.594	0.539	0.789	達人
adequacy	0.615	0.435	0.702	妥当性
adequate	0.854	0.264	0.705	適切
adhere	0.633	0.339	0.554	遵守する
adherence	0.760	0.307	0.630	遵守
adherent	0.561	0.385	0.555	固執する
adhering	0.612	0.561	0.537	付着している
adhesion	0.521	0.445	0.586	接着力
adhesive	0.604	0.350	0.413	接着剤
adieu	0.250	0.471	0.342	さようなら
adipose	0.333	0.350	0.391	脂肪
adjacency	0.365	0.417	0.375	隣接
adjacent	0.645	0.276	0.536	隣接
adjective	0.570	0.316	0.569	形容詞
adjoining	0.520	0.400	0.393	隣接
adjourn	0.385	0.456	0.475	休会する
adjournment	0.438	0.510	0.370	延期
adjudicate	0.559	0.520	0.683	裁く
adjudication	0.551	0.462	0.691	裁定
adjunct	0.459	0.440	0.426	付属品
adjust	0.647	0.327	0.638	調整
adjuster	0.510	0.540	0.760	アジャスター
adjustment	0.590	0.520	0.661	調整
adjuvant	0.510	0.500	0.456	アジュバント
admin	0.688	0.420	0.854	管理者
administer	0.635	0.425	0.860	管理する
administration	0.625	0.404	0.786	管理
administrative	0.542	0.415	0.579	行政
administrator	0.538	0.480	0.902	管理者
admirable	0.929	0.600	0.870	立派な
admiral	0.844	0.490	0.847	提督
admiralty	0.594	0.547	0.733	アドミラルティ
admiration	0.969	0.583	0.726	感嘆
admire	0.867	0.692	0.704	憧れ
admired	0.917	0.560	0.815	賞賛した
admirer	0.796	0.720	0.650	賛美者
admiring	0.867	0.578	0.629	賞賛する
admissibility	0.802	0.580	0.602	許容性
admissible	0.780	0.528	0.642	許容できる
admission	0.802	0.415	0.732	入場料
admit	0.538	0.423	0.667	認める
admittance	0.690	0.451	0.598	アドミタンス
admitted	0.720	0.490	0.767	認めた
admitting	0.620	0.500	0.546	認める
admixture	0.450	0.375	0.438	混合物
admonition	0.357	0.606	0.455	訓戒
ado	0.520	0.423	0.385	騒ぎ
adobe	0.500	0.319	0.328	アドビ
adolescence	0.487	0.694	0.444	思春期
adolescent	0.781	0.680	0.509	思春期
adopt	0.694	0.612	0.701	採用
adoption	0.625	0.566	0.589	可決
adoptive	0.531	0.469	0.520	養子縁組
adorable	0.969	0.519	0.457	愛らしい
adoration	0.885	0.699	0.708	礼拝
adore	0.854	0.438	0.657	崇拝します
adoring	0.885	0.620	0.717	崇拝する
adorn	0.910	0.424	0.482	飾る
adornment	0.918	0.373	0.377	装飾品
adrenalin	0.865	0.920	0.786	アドレナリン
adrenaline	0.765	0.965	0.825	アドレナリン
adrift	0.398	0.486	0.230	漂流
adult	0.815	0.491	0.787	大人
adulterated	0.188	0.865	0.370	粗悪品
adulterer	0.229	0.814	0.407	姦通者
adultery	0.120	0.922	0.510	姦通
adulthood	0.541	0.454	0.652	成人期
advance	0.673	0.472	0.858	前進
advanced	0.844	0.623	0.797	高度
advancement	0.776	0.650	0.839	アドバンス
advancing	0.929	0.608	0.812	前進
advantage	0.917	0.548	0.859	アドバンテージ
advantageous	0.837	0.640	0.789	有利
advent	0.665	0.560	0.627	出現
adventure	0.917	0.857	0.710	冒険
adventurer	0.781	0.839	0.868	冒険家
adventures	0.812	0.764	0.749	冒険
adventurous	0.969	0.898	0.722	冒険的な
adversary	0.349	0.777	0.457	敵対者
adverse	0.323	0.610	0.385	不利な
adversity	0.276	0.760	0.538	逆境
advertise	0.500	0.529	0.580	宣伝する
advertisement	0.600	0.566	0.539	広告
advertising	0.622	0.608	0.632	広告
adverts	0.551	0.500	0.595	広告
advice	0.698	0.408	0.688	アドバイス
advisable	0.867	0.480	0.510	お勧め
advise	0.760	0.393	0.705	助言する
advised	0.823	0.330	0.509	助言した
advisement	0.698	0.235	0.655	忠告
adviser	0.745	0.362	0.705	顧問
advisor	0.646	0.350	0.689	アドバイザー
advisory	0.656	0.429	0.633	勧告
advocacy	0.500	0.646	0.731	擁護
advocate	0.551	0.530	0.818	提唱する
aegis	0.490	0.439	0.462	イージス
aeration	0.550	0.500	0.433	エアレーション
aerial	0.615	0.461	0.463	空中
aerobics	0.708	0.771	0.627	エアロビクス
aerodrome	0.541	0.740	0.678	飛行場
aerodynamic	0.561	0.724	0.728	空力
aerodynamics	0.590	0.663	0.722	空気力学
aeronautics	0.551	0.633	0.688	航空学
aeroplane	0.714	0.642	0.644	飛行機
aerospace	0.643	0.520	0.779	航空宇宙
aesthetic	0.708	0.442	0.526	美的
aesthetics	0.847	0.327	0.549	美学
aetiology	0.480	0.398	0.615	病因
afar	0.396	0.373	0.358	遠く
affable	0.704	0.380	0.452	愛嬌のある
affair	0.520	0.459	0.657	事件、出来事
affect	0.458	0.569	0.578	影響
affecting	0.350	0.574	0.394	影響
affection	0.898	0.559	0.696	愛情
affectionate	0.949	0.422	0.550	愛情深い
affections	0.760	0.547	0.655	愛情
affiche	0.479	0.265	0.402	アフィシェ
affidavit	0.469	0.584	0.526	宣誓供述書
affiliated	0.673	0.519	0.535	提携している
affiliation	0.615	0.594	0.500	所属
affinity	0.800	0.500	0.537	親和性
affirm	0.745	0.509	0.731	肯定する
affirmation	0.750	0.500	0.689	肯定
affirmative	0.854	0.589	0.816	肯定的
affirmatively	0.908	0.500	0.811	肯定的に
affix	0.438	0.335	0.411	接辞
afflict	0.302	0.555	0.293	苦しめる
afflicted	0.271	0.500	0.167	苦しんだ
affliction	0.294	0.635	0.392	苦悩
affluence	0.663	0.618	0.722	豊かさ
affluent	0.756	0.388	0.477	裕福な
afford	0.571	0.580	0.575	余裕ある
affordable	0.840	0.398	0.493	手頃な価格
affront	0.327	0.740	0.547	侮辱
affronted	0.385	0.750	0.527	侮辱された
afield	0.594	0.370	0.373	遠く
afire	0.367	0.904	0.675	火災
afloat	0.602	0.427	0.444	浮かぶ
afore	0.500	0.337	0.382	前に
aforementioned	0.490	0.316	0.408	前述の
aforesaid	0.531	0.358	0.478	前述の
afraid	0.010	0.775	0.245	恐れ
afresh	0.643	0.521	0.480	あらためて
aft	0.480	0.417	0.518	後方
afterlife	0.571	0.567	0.568	来世
aftermath	0.312	0.449	0.444	余波
afternoon	0.533	0.388	0.339	午後
aftershave	0.406	0.384	0.415	アフターシェーブ
aftertaste	0.354	0.362	0.455	後味
afterthought	0.396	0.392	0.349	結果論
aga	0.542	0.327	0.398	アガ
agape	0.612	0.529	0.464	アガペー
agate	0.540	0.377	0.483	瑪瑙
age	0.561	0.226	0.498	年
aged	0.135	0.365	0.236	高齢者
agency	0.460	0.296	0.583	エージェンシー
agenda	0.531	0.296	0.553	議題
agent	0.480	0.439	0.755	エージェント
agglomeration	0.450	0.765	0.509	凝集
aggravate	0.224	0.770	0.464	悪化させる
aggravated	0.079	0.760	0.430	悪化した
aggravates	0.108	0.778	0.357	悪化させる
aggravating	0.257	0.794	0.640	悪化させる
aggravation	0.071	0.784	0.613	悪化
aggregate	0.730	0.378	0.556	集計
aggregation	0.583	0.517	0.694	集計
aggresive	0.059	0.971	0.639	攻撃的な
aggression	0.094	0.929	0.533	侵略
aggressive	0.125	0.949	0.648	攻撃的
aggressively	0.250	0.926	0.688	積極的に
aggressiveness	0.077	0.913	0.648	攻撃性
aggressor	0.146	0.948	0.823	侵略者
agh	0.260	0.500	0.400	ああああ
aghast	0.133	0.865	0.464	びっくり
aghhh	0.281	0.635	0.243	ああああ
agile	0.800	0.657	0.775	アジャイル
agility	0.720	0.702	0.815	機敏
aging	0.214	0.255	0.284	エージング
agitate	0.300	0.796	0.593	かき混ぜる
agitated	0.444	0.882	0.491	動揺した
agitation	0.240	0.931	0.447	攪拌
aglow	0.780	0.510	0.797	輝く
agnostic	0.306	0.396	0.574	不可知論者
ago	0.317	0.280	0.404	前に
agonizing	0.083	0.800	0.340	苦しむ
agony	0.083	0.775	0.393	苦痛
agoraphobia	0.127	0.712	0.438	広場恐怖症
agree	0.906	0.260	0.545	同意
agreeable	0.906	0.500	0.696	納得
agreed	0.797	0.449	0.574	同意した
agreeing	0.854	0.480	0.557	同意する
agreement	0.760	0.440	0.736	合意
agressive	0.083	0.918	0.751	攻撃的な
agricultural	0.686	0.321	0.473	農業
agriculture	0.640	0.357	0.465	農業
aground	0.333	0.340	0.445	座礁
agua	0.598	0.180	0.436	アグア
ahead	0.708	0.520	0.673	先に
ahhh	0.562	0.517	0.241	ああ
ahhhhhhhh	0.552	0.649	0.288	ああああああ
ahoy	0.500	0.497	0.380	おいおい
aid	0.796	0.491	0.541	援助
aide	0.724	0.342	0.434	補佐官
aiding	0.643	0.533	0.569	助ける
aids	0.561	0.480	0.500	AIDS
ail	0.375	0.434	0.385	よくない
ailing	0.094	0.518	0.153	病んでいる
ailment	0.146	0.734	0.277	病気
aim	0.481	0.569	0.567	標的
aimless	0.150	0.267	0.183	あてもなく
air	0.708	0.163	0.427	空気
airbag	0.510	0.402	0.433	エアバッグ
airborne	0.542	0.519	0.385	空挺
aircraft	0.646	0.644	0.691	航空機
aircraft carrier	0.490	0.740	0.727	空母
airfield	0.601	0.650	0.645	飛行場
airhead	0.271	0.481	0.276	エアヘッド
airlift	0.573	0.622	0.642	空輸
airline	0.650	0.482	0.688	航空会社
airliner	0.667	0.777	0.647	旅客機
airlock	0.398	0.520	0.447	エアロック
airman	0.587	0.716	0.721	エアマン
airplane	0.719	0.702	0.708	飛行機
airport	0.729	0.684	0.682	空港
airs	0.583	0.196	0.370	放映
airship	0.542	0.472	0.529	飛行船
airspace	0.562	0.510	0.640	空域
airspeed	0.583	0.780	0.544	対気速度
airstrip	0.550	0.690	0.649	滑走路
airtight	0.479	0.381	0.570	気密
airway	0.638	0.585	0.482	気道
aisle	0.438	0.222	0.283	通路
ait	0.385	0.390	0.402	エイト
ajar	0.460	0.413	0.446	半開き
aka	0.459	0.358	0.351	別名
akin	0.639	0.343	0.523	同族の
alabaster	0.542	0.404	0.445	アラバスター
alarm	0.241	0.882	0.698	警報
alarm clock	0.542	0.727	0.642	目覚まし時計
alarmed	0.188	0.822	0.492	警戒した
alarming	0.204	0.890	0.585	憂慮すべき
alas	0.571	0.310	0.279	悲しいかな
alb	0.521	0.380	0.427	アルブ
albatross	0.500	0.445	0.527	アルバトロス
albino	0.500	0.240	0.358	アルビノ
album	0.635	0.349	0.453	アルバム
alchemy	0.541	0.583	0.693	錬金術
alcohol	0.323	0.667	0.377	アルコール
alcoholic	0.153	0.688	0.361	アルコール依存症
alcoholism	0.061	0.779	0.407	アルコール依存症
alcove	0.490	0.340	0.356	アルコーブ
alderman	0.550	0.459	0.691	市会議員
ale	0.530	0.450	0.358	エール
alert	0.479	0.820	0.648	アラート
alertness	0.375	0.875	0.750	覚醒
alerts	0.337	0.804	0.673	アラート
alfalfa	0.546	0.250	0.311	アルファルファ
algebra	0.440	0.340	0.565	代数
algebraic	0.531	0.412	0.441	代数的
algorithm	0.448	0.394	0.559	アルゴリズム
alias	0.541	0.353	0.333	エイリアス
alibi	0.396	0.528	0.556	アリバイ
alien	0.410	0.615	0.491	エイリアン
alienate	0.247	0.500	0.523	疎外する
alienated	0.410	0.423	0.559	疎外された
alienation	0.378	0.530	0.462	疎外
alight	0.667	0.657	0.605	降りる
align	0.656	0.364	0.627	整列する
aligned	0.583	0.275	0.553	整列
alignment	0.643	0.412	0.683	アラインメント
alike	0.653	0.173	0.444	似ている
alimentation	0.781	0.551	0.602	栄養補給
alimony	0.612	0.477	0.464	慰謝料
aliquot	0.440	0.310	0.404	アリコート
alive	0.816	0.637	0.731	生きている
alkali	0.490	0.350	0.408	アルカリ
alkaloids	0.433	0.562	0.402	アルカロイド
allay	0.417	0.406	0.398	和らげる
allegation	0.578	0.578	0.608	申し立て
allege	0.418	0.482	0.587	主張する
alleged	0.365	0.522	0.520	申し立てられた
allegiance	0.917	0.398	0.750	忠誠
allegorical	0.517	0.558	0.598	寓話的な
allegory	0.615	0.580	0.509	アレゴリー
allegro	0.635	0.627	0.453	アレグロ
allergic	0.135	0.549	0.273	アレルギー
allergy	0.296	0.606	0.389	アレルギー
alleviate	0.869	0.270	0.528	緩和する
alleviation	0.735	0.200	0.491	軽減
alley	0.347	0.500	0.355	路地
alleyway	0.357	0.471	0.382	路地
alliance	0.696	0.473	0.769	アライアンス
allied	0.714	0.245	0.642	同盟した
alligator	0.354	0.704	0.645	アリゲーター
allocate	0.673	0.462	0.672	割り当てる
allocation	0.604	0.388	0.679	割り当て
allot	0.622	0.481	0.616	割り当てる
allotment	0.600	0.390	0.640	割当
allow	0.698	0.429	0.538	許可する
allowable	0.698	0.500	0.561	許容できる
allowance	0.673	0.382	0.591	手当
allowed	0.730	0.360	0.655	許可された
alloy	0.583	0.443	0.593	合金
allsmiles	0.786	0.528	0.430	オールスマイル
allure	0.804	0.585	0.686	魅力
alluring	0.837	0.745	0.843	魅力的な
allusion	0.440	0.308	0.462	ほのめかし
alluvial	0.323	0.490	0.491	沖積
ally	0.792	0.320	0.688	味方
almanac	0.688	0.190	0.412	アルマナック
almighty	0.938	0.874	0.958	全能
almond	0.698	0.183	0.314	アーモンド
aloft	0.771	0.373	0.700	アロフト
aloha	0.698	0.440	0.441	アロハ
alone	0.333	0.167	0.216	1人
alongside	0.458	0.333	0.347	並んで
aloof	0.189	0.423	0.302	よそよそしい
aloud	0.458	0.713	0.750	大声で
alpha	0.708	0.340	0.755	アルファ
alphabet	0.562	0.204	0.672	アルファベット
alphabetical	0.537	0.296	0.535	アルファベット順
alpine	0.594	0.337	0.474	高山
alreadyyyyy	0.592	0.717	0.351	もうええええ
altar	0.724	0.387	0.635	祭壇
altar boy	0.434	0.206	0.350	祭壇の少年
alter	0.333	0.694	0.654	変更する
alteration	0.167	0.798	0.609	変更
altercation	0.170	0.806	0.500	口論
altered	0.255	0.765	0.500	変更されました
alternate	0.625	0.363	0.589	代わりの
alternating	0.480	0.494	0.542	交互に
alternative	0.628	0.373	0.631	別
altimeter	0.615	0.510	0.580	高度計
altitude	0.708	0.482	0.736	高度
alto	0.656	0.404	0.730	アルト
altogether	0.833	0.324	0.644	全体的に
aluminum	0.449	0.280	0.434	アルミニウム
alumnus	0.633	0.368	0.422	卒業生
alveolar	0.469	0.481	0.367	肺胞
alzheimers	0.194	0.518	0.319	アルツハイマー
amalgam	0.438	0.333	0.510	アマルガム
amalgamation	0.406	0.470	0.531	合併
amaretto	0.543	0.551	0.375	アマレット
amass	0.552	0.465	0.465	集める
amateur	0.469	0.500	0.409	アマチュア
amaze	0.896	0.843	0.783	驚く
amazed	0.796	0.779	0.533	驚いた
amazedness	0.827	0.872	0.510	驚愕
amazement	0.750	0.800	0.639	驚き
amazing	0.906	0.837	0.849	すばらしい
amazingly	0.918	0.765	0.920	驚くほど
ambassador	0.651	0.529	0.917	大使
amber	0.635	0.308	0.369	アンバー
ambience	0.735	0.356	0.426	雰囲気
ambient	0.625	0.360	0.582	周囲
ambiguity	0.164	0.460	0.370	あいまいさ
ambiguous	0.265	0.462	0.358	あいまいな
ambit	0.479	0.380	0.386	アンビット
ambition	0.510	0.804	0.661	野心
ambitious	0.484	0.821	0.717	野心的
ambivalent	0.510	0.404	0.482	相反する
ambrosia	0.571	0.452	0.480	アンブロシア
ambulance	0.500	0.750	0.609	救急車
ambush	0.281	0.830	0.500	待ち伏せ
ameliorate	0.770	0.548	0.747	改善する
amen	0.781	0.182	0.542	アーメン
amenable	0.448	0.410	0.406	従順
amend	0.688	0.406	0.658	改める
amendment	0.531	0.459	0.606	修正
amends	0.640	0.366	0.517	修正する
amenity	0.750	0.327	0.574	アメニティ
amethyst	0.622	0.406	0.517	アメジスト
amiable	0.847	0.290	0.483	愛嬌のある
amicable	0.875	0.330	0.507	友好的
amid	0.510	0.340	0.256	真ん中
amidst	0.480	0.330	0.316	中に
amino	0.551	0.402	0.433	アミノ
ammo	0.323	0.765	0.621	弾薬
ammonia	0.292	0.587	0.409	アンモニア
ammonium	0.354	0.396	0.368	アンモニウム
ammunition	0.338	0.635	0.667	弾薬
amnesia	0.296	0.330	0.308	健忘症
amnesty	0.551	0.451	0.814	恩赦
amorous	0.844	0.670	0.636	好色な
amorphous	0.327	0.402	0.349	まとまりのない
amortization	0.592	0.491	0.522	償却
amount	0.562	0.422	0.649	額
amour	0.865	0.480	0.652	情事
amp	0.439	0.393	0.375	アンプ
ampersand	0.480	0.448	0.483	アンパサンド
amphetamines	0.133	0.667	0.526	アンフェタミン
amphibian	0.427	0.357	0.474	両生類
amphibious	0.479	0.346	0.445	水陸両用
amphitheater	0.653	0.480	0.545	円形劇場
ample	0.744	0.349	0.719	十分な
amplification	0.690	0.677	0.810	増幅
amplify	0.677	0.735	0.827	増幅する
amplitude	0.694	0.439	0.692	振幅
amply	0.781	0.431	0.766	十分に
amputate	0.092	0.660	0.509	切断する
amputation	0.100	0.755	0.483	切断
amuck	0.385	0.602	0.321	ばか
amulet	0.781	0.260	0.630	お守り
amuse	0.812	0.684	0.664	アミューズ
amused	0.942	0.847	0.596	面白がった
amusement	0.929	0.837	0.803	アミューズメント
amusing	0.960	0.829	0.632	面白い
ana	0.541	0.300	0.314	アナ
anaconda	0.146	0.830	0.540	アナコンダ
anaesthesia	0.350	0.217	0.473	麻酔
anaesthetic	0.449	0.268	0.509	麻酔薬
anagram	0.552	0.327	0.449	アナグラム
anal	0.333	0.798	0.334	アナル
analgesic	0.417	0.321	0.441	鎮痛剤
analogous	0.531	0.270	0.500	類似の
analogue	0.570	0.320	0.446	アナログ
analogy	0.510	0.367	0.509	類推
analysis	0.729	0.448	0.705	分析
analyst	0.604	0.415	0.755	アナリスト
analytic	0.665	0.521	0.634	分析的な
analytical	0.625	0.324	0.800	分析的な
analyze	0.667	0.462	0.710	分析する
analyzer	0.625	0.556	0.854	アナライザ
anaphylactic	0.378	0.588	0.500	アナフィラキシー
anarchism	0.125	0.804	0.623	アナキズム
anarchist	0.204	0.700	0.759	アナキスト
anarchy	0.146	0.755	0.620	無政府状態
anastomosis	0.375	0.470	0.490	吻合
anathema	0.286	0.490	0.519	アナテマ
anatomic	0.562	0.442	0.546	解剖学的
anatomy	0.562	0.390	0.571	解剖学
ancestor	0.592	0.388	0.594	祖先
ancestral	0.640	0.481	0.750	祖先の
ancestry	0.708	0.519	0.717	祖先
anchor	0.520	0.284	0.564	アンカー
anchorage	0.500	0.325	0.639	停泊地
ancient	0.420	0.217	0.439	古代
ancillary	0.449	0.442	0.278	補助的な
androgen	0.255	0.523	0.527	アンドロゲン
android	0.663	0.436	0.500	アンドロイド
anecdote	0.583	0.529	0.500	逸話
anemia	0.188	0.327	0.310	貧血
anemic	0.167	0.279	0.155	貧血
anemone	0.552	0.538	0.327	アネモネ
anesthesia	0.365	0.216	0.394	麻酔
anesthesiologist	0.419	0.224	0.526	麻酔科医
anesthetic	0.350	0.264	0.482	麻酔薬
aneurysm	0.115	0.690	0.536	動脈瘤
